[00:00:09.346 --> 00:00:14.970]  We are back on the continuing 24 plus hour broadcast for the InfoWars Money Bomb.
[02:09:09.429 --> 02:09:10.930]  Oh, well, absolutely not.
[02:09:11.251 --> 02:09:18.497]  And it was very easy to see within a few hours, but certainly within 24 hours.
[02:09:20.559 --> 02:09:26.144]  These were not spontaneous riots from people who'd had enough.
[02:09:26.965 --> 02:09:29.307]  It just didn't stack up.
[02:09:29.327 --> 02:09:35.012]  We know how difficult it is to organize people across the country.
[02:09:35.653 --> 02:09:44.200]  And here we have the British government saying that riots were being organized in not only London, but other cities across the UK.
[02:09:44.540 --> 02:09:47.083]  That these riots were being organized by young
[02:09:47.723 --> 02:09:50.686]  Black teenagers using BlackBerry phones.
[02:09:50.706 --> 02:09:53.188]  This is absolute nonsense.
[02:09:53.228 --> 02:10:10.263]  What was actually happening was the violence was being created by government agitators and we also know from residents in some of the areas where the riots took place that they watched police deliberately held back
[02:10:11.073 --> 02:10:17.421]  So that they didn't intervene and the thing then grew, the trouble on the streets grew.
[02:10:18.042 --> 02:10:23.790]  So somebody was ordering the police, let's stand back, let's allow this thing to grow, let's kick it off.
[02:10:24.856 --> 02:10:48.927]  And we've got better information than that because some British policemen, and these are brilliant people because they're so brave, they have actually been leaking information that when they were taken into an area where the rioting had started, they saw other so-called police units
[02:10:49.873 --> 02:10:51.534]  Who they didn't recognize.
[02:10:51.574 --> 02:10:54.515]  They had no idea what units these really were.
[02:10:54.555 --> 02:10:57.096]  They had no idea where the people had come from.
[02:10:57.116 --> 02:11:06.239]  And in many cases, they were talking about so-called policemen who didn't have any formal number or name identity on them.
[02:11:07.190 --> 02:11:24.800]  So, we have British policemen who are themselves now starting to blow the whistle on the fact that when there is trouble on the streets, there are agitators who are being moved into position, you know, via our own policing system.
[02:11:25.726 --> 02:11:32.030]  So this is very, very dangerous because we have now got government-backed agitation.
[02:11:32.871 --> 02:11:36.994]  And if listeners are thinking, you know, where do they want to take this?
[02:11:37.614 --> 02:11:38.875]  I'll give my opinion.
[02:11:38.895 --> 02:11:41.937]  So this is just Brian Gerrish's opinion on this one.
[02:11:42.577 --> 02:11:47.461]  They want absolute major violence on the streets of Britain.
[02:11:48.181 --> 02:11:55.406]  Because if they can create that major violence, they will bring in the Civil Contingencies Act.
[02:11:56.126 --> 02:11:59.109]  Which is roughly equivalent to the American Patriot Act.
[02:11:59.690 --> 02:12:06.896]  The moment the Civil Contingencies Act is in place, we are living in a dictatorship.
[02:12:07.805 --> 02:12:17.875]  So, whenever we're giving talks as the UK Column or the British Constitution Group, we're constantly warning that we need people to be peaceful.
[02:12:18.616 --> 02:12:24.661]  We don't need fights between blacks and whites or Muslims or Christians, whatever the groups are.
[02:12:25.322 --> 02:12:30.127]  If we fight amongst ourselves, the criminals who are in power,
[02:12:31.162 --> 02:12:39.169]  In the Senate, in America, and Congress, and in Westminster in Britain, those criminals win.
[02:12:39.430 --> 02:12:42.552]  We've got to be smarter than violence at the moment.
[02:12:43.073 --> 02:12:51.140]  We've got to keep it calm and peaceful, and we've got to get the truth out about how our countries are being destroyed from the inside.
[02:12:53.357 --> 02:13:08.303]  I mean, just to bite you up, we actually did a story in regard to the riots where Twitter users were reporting that men claiming to represent the media were actually driving around the streets and paying them to riot.
[02:13:08.464 --> 02:13:10.444]  Paying them to break shop windows.
[02:13:10.985 --> 02:13:13.206]  As he said, paying them to become agitators.
[02:13:13.266 --> 02:13:15.987]  So, I mean, those riots obviously
[02:13:16.727 --> 02:13:28.453]  After it went on the social meme and it was on the news every night, you had copycats going out and doing the same thing, but the genesis of those riots, as you said, was definitely provocateur-ed in many ways.
[02:13:30.623 --> 02:13:46.460]  Extrapolating this out, just about the general state of Britain, Brian, perhaps the best way to frame that is to ask, what do groups like Common Purpose want to turn Britain into and how far have they got down that path?
[02:13:47.682 --> 02:13:54.952]  Well, very simply, Common Purpose wants to create a new society.
[02:13:56.153 --> 02:14:01.801]  It doesn't ever define the society properly because this is how the con works.
[02:14:03.163 --> 02:14:17.838]  If you said to people, join Common Purpose and we are working to overturn present society and we want to create a new society that's going to be governed by a political elite, most people would run away.
[02:14:17.858 --> 02:14:21.101]  So what Common Purpose is doing is being very
[02:14:21.361 --> 02:14:32.386]  It's sucking people into courses where it's giving them an education to impose this new ideology on them.
[02:14:33.206 --> 02:14:40.950]  And we know how it is being done, and I really would ask listeners to go away and research this for themselves.
[02:14:41.570 --> 02:14:47.553]  The way they are doing it is to use NLP, neuro-linguistic programming.
[02:14:48.334 --> 02:14:52.338]  This is a form, technically it's a form of hypnosis.
[02:14:53.479 --> 02:15:00.726]  But these are very, very, very sophisticated techniques of messing around with people's minds.
[02:15:01.727 --> 02:15:08.313]  And although NLP can be used to help people, it can be used in therapeutic ways.
[02:15:08.333 --> 02:15:12.598]  What we are seeing is NLP being used
[02:15:13.218 --> 02:15:23.181]  to promote a very dangerous political agenda and it's being used to change people's views and values without them actually being aware of it.
[02:15:24.101 --> 02:15:27.262]  Now, if you say to me, how bad has it got?
[02:15:28.082 --> 02:15:37.665]  I'm going to be able to say with total confidence, because the UK column has published this stuff in detail, we've now got common purpose
[02:15:38.645 --> 02:15:41.467]  embedded at the highest level of government.
[02:15:42.188 --> 02:15:51.714]  One of Cameron's ministers who's helping promote it is Oliver Letwin, who I'll say just happens to be an ex-MN Rothschild man.
[02:15:52.835 --> 02:15:56.478]  But we've got Common Purpose, which is a political charity.
[02:15:56.998 --> 02:15:57.439]  I know that.
[02:15:57.899 --> 02:16:02.422]  I've already said earlier that it's not possible to be political, but I'm sure you they are.
[02:16:03.323 --> 02:16:07.746]  They are now bedded straight into the government cabinet office.
[02:16:08.872 --> 02:16:19.418]  And they have been put under contract to help set up behavioural change units in every government department.
[02:16:20.178 --> 02:16:23.260]  Now this is not fantasy, this is fact.
[02:16:23.420 --> 02:16:27.702]  We've got the documents, we know the names, we know when the meetings took place.
[02:16:28.403 --> 02:16:34.306]  So in the UK at the moment, every key government department has a cell
[02:16:35.422 --> 02:16:43.044]  Which is tasked, first of all, with changing the views and values and behaviour of the government department people.
[02:16:43.964 --> 02:16:52.587]  And when they've achieved that, the departments are going to use the same effect on us to change our views and values in society.
[02:16:53.627 --> 02:16:54.387]  In society.
[02:16:54.487 --> 02:17:00.668]  Now, the government's own documents, and I'll quote one of them, which is called Mindspace.
[02:17:01.489 --> 02:17:03.689]  Mindspace, you can find it on Google.
[02:17:04.269 --> 02:17:15.992]  In that document, it actually admits that the psychological processes they're using, the NLP they're using, can change our views and values and beliefs.
[02:17:17.052 --> 02:17:22.073]  We may not even know that those things have been changed.
[02:17:22.777 --> 02:17:33.589]  These modern applied psychology tools are so powerful we can have our views changed we're not even aware the views changed.
[02:17:34.725 --> 02:17:41.287]  Alternatively, we might realize we've changed, we're doing different things, but we don't know how it was done to us.
[02:17:41.887 --> 02:17:45.548]  Now that's not Brian Gerrish telling the audience that.
[02:17:46.068 --> 02:17:48.869]  That has come straight out of government document.
[02:17:49.689 --> 02:17:51.469]  So let's start to put this together.
[02:17:51.969 --> 02:17:58.511]  We've got, in Britain, and the same thing's happening in America, we have international criminals
[02:17:59.304 --> 02:18:06.567]  Who have now wormed their way... We've been stupid enough to elect them, but they're now in positions of power in government.
[02:18:07.087 --> 02:18:08.627]  They're leaked to arms dealers.
[02:18:08.867 --> 02:18:11.268]  They're calling for wars throughout the world.
[02:18:12.029 --> 02:18:19.871]  And these people are prepared to use applied psychology on their own citizens in order to get their agenda through.
[02:18:19.891 --> 02:18:24.453]  This is very, very dangerous stuff, and we've got to take the lid off it.
[02:18:27.216 --> 02:18:33.041]  And I mean, NLP, which you were talking about before, goes right to the heart of what you just said.
[02:18:33.081 --> 02:18:34.963]  It's about manipulating behaviour.
[02:18:35.003 --> 02:18:38.586]  It's about certain phrases and emphasis on words.
[02:18:38.646 --> 02:18:42.309]  And this is used in advertising, it's used in speeches, it's used in politics.
[02:18:42.890 --> 02:18:43.871]  And it's about trying to...
[02:18:44.511 --> 02:18:46.452]  Get people to do what you want them to do.
[02:18:46.532 --> 02:18:50.455]  Get them to think what you want them to think by the words that you use.
[02:18:50.495 --> 02:18:58.580]  I mean, it's sold as a self-help tool, and I'm sure a lot of people do use it for that, but it's been hijacked, and it's now being used for nefarious ends.
[02:18:59.140 --> 02:19:10.808]  Just as a... Can I... Paul, can I... Sorry to cut you off, but if I may, because I'm watching the time, something I'd like to bring to the attention of the American audience is that in South Wales,
[02:19:12.067 --> 02:19:16.569]  South Wales being obviously part of the United Kingdom.
[02:19:17.609 --> 02:19:30.474]  Over the last two years, in a very small geographic area, we now have over 40 teenagers, very young teenagers and young people committing suicide.
[02:19:31.662 --> 02:19:34.603]  It's been going on for two years.
[02:19:34.623 --> 02:19:36.884]  The suicides are still continuing.
[02:19:37.844 --> 02:19:43.366]  And what is so terrible is these are children aged 15, 14, 15, 16, and up through to sort of young 20s.
[02:19:49.529 --> 02:19:53.910]  And the method of suicide is that they are all hanging themselves.
[02:19:54.310 --> 02:19:58.771]  Now, this is not a very nice topic, but we're in very dangerous times at the moment.
[02:19:59.491 --> 02:20:04.293]  When we look at the suicides, and we see they're all hanging themselves, this is unusual.
[02:20:04.973 --> 02:20:14.955]  Because the facts are, statistically, that boys normally hang themselves, or men hang themselves, whereas girls and women take drugs and maybe cut their wrists.
[02:20:16.015 --> 02:20:17.996]  But these people are all hanging themselves.
[02:20:18.897 --> 02:20:31.273]  Now, at the moment, the British government has put a media clampdown on these suicides because they do not want people in Britain to realise that something very, very nasty is happening with young people.
[02:20:32.694 --> 02:20:37.540]  But when we dig into what is actually happening in this area of South Wales,
[02:20:42.744 --> 02:21:06.915]  I can speak with confidence on this because we actually now have NLP trainers, people who are professional trainers in NLP, they have come forward to us
[02:21:07.759 --> 02:21:19.535]  to give us information because they are absolutely horrified that what they regard as a therapeutic skill is being unleashed on children in a political sense.
[02:21:20.669 --> 02:21:36.514]  Now, what one of these professional NLP people explained to me, and I think it's a very, very good analogy, if you buy yourself a new computer, and it's a very fast machine, and you're very pleased with it, this is like the human brain.
[02:21:36.674 --> 02:21:37.594]  It's working well.
[02:21:38.594 --> 02:21:46.557]  And then you add a program, and everything's fine, and you add a few more programs, and then you fancy a game, and you add a couple of computer games,
[02:21:47.575 --> 02:21:52.538]  And after you've added so many things into your computer, eventually you get the odd problem.
[02:21:52.778 --> 02:21:54.459]  It freezes or it stops.
[02:21:55.340 --> 02:22:07.087]  And if you really overload it with lots of little screensavers and games and programs, eventually you can have major problems with your computer until you get it cleaned out.
[02:22:08.108 --> 02:22:15.112]  Now what the NLP trainer explained to me is that if you start to put in NLP clips,
[02:22:15.988 --> 02:22:20.533]  NLP programs into the minds of children and young people.
[02:22:21.654 --> 02:22:26.239]  You do a bit in this lesson, a bit in that lesson, a bit in next year's lesson.
[02:22:26.940 --> 02:22:28.762]  Eventually you get problems.
[02:22:29.921 --> 02:22:41.209]  And his view, and I think he's absolutely correct, is that we are now starting to see the political pushing of applied behavioral psychology.
[02:22:41.729 --> 02:22:46.492]  This is now starting to result in our young people committing suicide.
[02:22:47.113 --> 02:22:53.457]  This is very dangerous stuff, and exactly the same processes are being used in American schools.
[02:22:56.897 --> 02:23:09.141]  And it's interesting you touch upon that subject because a couple of weeks ago I wrote an article about Demos, which of course is the think tank of which Cameron regularly gives speeches, so did Tony Blair.
[02:23:09.582 --> 02:23:15.984]  Founded by Marxists, Julian Middleton, who of course is majorly involved with Common Purpose, sits on their board.
[02:23:16.764 --> 02:23:24.806]  And there was a story recently about Demos sending their agents out to schools to basically train them how to judge sources.
[02:23:25.066 --> 02:23:34.408]  And of course, anything designated as a quote, conspiracy theory, anything that disagrees with the official orthodoxy was denigrated and rubbished.
[02:23:34.508 --> 02:23:42.890]  So they're actually sending out Demos people to train school children to dismiss anything that goes against the government line.
[02:23:43.350 --> 02:23:44.250]  And we actually had
[02:23:45.070 --> 02:23:51.413]  One of the Demos employees on the Alex Jones Nightly News after, and of course he denied everything.
[02:23:52.093 --> 02:23:55.774]  From my perspective it seemed like he was just working at the lower level.
[02:23:55.814 --> 02:23:58.976]  He's got no idea what the overall organisation is about.
[02:23:59.096 --> 02:24:04.138]  Although he did admit that Demos is funded by the British government.
[02:24:04.158 --> 02:24:12.361]  So of course that's going to have an influence on what they're allowed to do and what kind of programmes they're allowed to bring to schools and introduce to the curriculum.
[02:24:12.981 --> 02:24:13.882]  But one more thing.
[02:24:14.622 --> 02:24:16.885]  Brian, we've got a few minutes before we end here.
[02:24:17.766 --> 02:24:24.834]  It's interesting that we did an article on these Common Purpose promo videos which were on YouTube a couple of years ago.
[02:24:26.175 --> 02:24:28.838]  Really downright creepy stuff.
[02:24:29.619 --> 02:24:30.099]  We're good.
[02:24:50.016 --> 02:24:56.701]  I mean, Common Purpose had a thing on their website recently saying, you know, attacking you basically, saying what you say is all rubbish.
[02:24:56.741 --> 02:25:02.866]  But it's very interesting, when you point out these things, they seem to get very nervous and start to remove material.
[02:25:02.906 --> 02:25:05.367]  Is that the case from what you're experiencing?
[02:25:05.648 --> 02:25:07.329]  Yeah, that is absolutely correct.
[02:25:07.429 --> 02:25:09.971]  But let's look at this on a positive side.
[02:25:10.211 --> 02:25:15.635]  If these people have nothing to hide, they should be very proud of all their material up.
[02:25:16.515 --> 02:25:26.200]  The fact that when you lift the stone, you shine the spotlight on them, they start to backtrack instantly tells you they're up to no good.
[02:25:26.900 --> 02:25:36.605]  So I'm delighted when stuff gets taken down because what the government is doing for free is telling us that we're beginning to look in the right areas.
[02:25:37.145 --> 02:25:38.846]  We're beginning to look in the right direction.
[02:25:39.346 --> 02:25:45.429]  And just to come back to Demos very quickly, I'm really glad that you mentioned Demos is a
[02:25:45.749 --> 02:25:51.593]  It's a Marxist organisation, and it is right next to the British government.
[02:25:52.154 --> 02:25:57.257]  It's a policy creation think tank.
[02:25:57.918 --> 02:26:07.945]  It has advised Labour, it's advised the Liberal Democrats, and now it's interwoven into the so-called Conservative government.
[02:26:08.445 --> 02:26:12.348]  And yes, you're absolutely right, Julia Middleton linked to Demos.
[02:26:14.089 --> 02:26:28.535]  Everywhere we now turn, where the country, Britain and America is being ripped apart, it's being done because the Marxist ideology has been let loose inside the country.
[02:26:28.635 --> 02:26:41.261]  Well, we've got very, very brave American men and women serving their country in the American Armed Forces, and they think they're out there on the front line defending their country.
[02:26:41.901 --> 02:26:54.689]  What is actually going on is that the Marxists have put their people in power straight into Congress, straight into the Senate, and in Britain, straight into Westminster.
[02:26:55.269 --> 02:26:57.370]  We know who these people are.
[02:26:57.770 --> 02:26:59.752]  In Britain, we certainly know who they are.
[02:27:00.452 --> 02:27:03.354]  And all we've got to do is remove them.
[02:27:04.214 --> 02:27:05.115]  Is it possible?
[02:27:05.515 --> 02:27:08.457]  I'm going to say it's going to start to happen very quickly.
[02:27:09.077 --> 02:27:10.318]  And the beauty of it is
[02:27:10.970 --> 02:27:22.898]  But initially, I think things will get a little bit ugly, but the longer we keep it peaceful, the faster the truth comes out, and the quicker these people start running.
[02:27:23.078 --> 02:27:30.584]  You only had to see the fear on Liam Fox's face when he started to be exposed in the press.
[02:27:31.344 --> 02:27:46.194]  So if you want to know how to hurt these people, how to get rid of them, you've got to name them, you've got to get their photographs into the media, onto the internet, and we've got to name them for what they are.
[02:27:46.294 --> 02:27:58.242]  They are dangerous criminals, they're Marxists, many of them are child abusers, certainly in the British political circles, and we need to expose them for what they really are.
[02:27:58.482 --> 02:27:59.523]  If we do that,
[02:28:00.503 --> 02:28:03.064]  We can overcome what's happening.
[02:28:05.105 --> 02:28:13.729]  And just to conclude, Brian, give people the websites, tell them how they can get involved with the British Constitution Group, UK Column, etc.
[02:28:14.329 --> 02:28:14.690]  Okay.
[02:28:15.050 --> 02:28:27.055]  Well, the UK Column is a newspaper, is a voluntary newspaper, but we're reporting on what's happening in the country and we're analysing it, and that is simply www.uk.gov.uk.
[02:28:29.612 --> 02:28:31.153]  UK Column.
[02:28:32.093 --> 02:28:36.255]  That's C-O-L-U-M-N.
[02:28:37.355 --> 02:28:41.697]  www.ukcolumn.org, O-R-G.
[02:28:43.038 --> 02:28:55.903]  The British Constitution Group, which is showing how common law and constitution is being undermined, is www.thebcgroup.
[02:28:56.143 --> 02:28:57.163]  All one word.
[02:28:59.332 --> 02:29:19.032]  www.bcgroup.org.uk and if you go to either of those sites you'll start to see what we're about and if you're interested in Common Purpose I've another site which is called www.cpexposed.com
[02:29:24.141 --> 02:29:28.845]  That is going to get a big update fairly shortly but there's a lot of information on Common Purpose.
[02:29:29.505 --> 02:29:42.395]  And can I just lastly say that this coming Saturday the British Constitution Group has got a big talk in London in which we are going to be exposing the traitors in Westminster.
[02:29:43.135 --> 02:29:54.350]  And in the evening at half past five there are big demonstrations planned by Anonymous and Occupy London and these are
[02:29:56.068 --> 02:30:02.976]  People who have now decided to come out on the streets and protest against the criminals in Parliament.
[02:30:03.697 --> 02:30:13.309]  So I doubt if much of it will come out on mainstream press, but I hope Paul and Alex at the Alex Jones Show will cover some of that event.
[02:30:15.794 --> 02:30:22.437]  Okay, Brian Gerrish, we'll get this interview on YouTube, be seen by tens of thousands of people, we'll get the information out.
[02:30:23.317 --> 02:30:27.259]  Really appreciate you joining me this morning, and you've got my email address.
[02:30:27.299 --> 02:30:32.301]  As soon as you want to come on again, just shoot me an email, and we'll get you on again with Alex.
[02:30:32.401 --> 02:30:34.102]  Brian Gerrish, thank you very much.
[02:30:34.582 --> 02:30:34.922]  Thank you.
[02:30:36.701 --> 02:30:40.543]  Okay, there goes Brian Gerrish, UK colon dot org.
[02:30:41.563 --> 02:30:52.408]  We're going to go to a video now before we get our next guest on and this is of an event in London of which Brian Gerrish was a speaker concerning the state child abduction issue.
[02:30:53.609 --> 02:31:00.112]  I believe it was in Trafalgar Square so we're going to go to this interview for a few minutes then we're going to come back with our guest and we're going to
[02:31:01.465 --> 02:31:02.286]  Get a bit weird!
[02:31:02.506 --> 02:31:11.713]  It's going to be a topic that's rarely covered on the Alex Jones Show, but we're going to get Tony topping on UFO Researcher, going to cover a host of controversial subjects.
[02:31:12.253 --> 02:31:14.795]  So now we go to this Brian Gerrish clip.
[02:31:14.995 --> 02:31:15.656]  Stay tuned.
[02:31:15.736 --> 02:31:18.118]  InfoWarsMoneyBomb.com.
[02:31:18.158 --> 02:31:19.319]  We'll be back in a few minutes.
[02:31:27.597 --> 02:31:49.893]  I couldn't believe it until families, mums, dads, partners began to bring documentation which showed overwhelmingly and without any doubt that what we were seeing happen in courts was that children were being taken away from their parents.
[02:31:51.594 --> 02:31:55.357]  And some of you will be thinking, well they must have done something wrong.
[02:31:56.522 --> 02:32:01.625]  They must have hurt their children or they must have been dangerous or they must have had mental illness.
[02:32:02.765 --> 02:32:05.847]  Well certainly for some families that's true.
[02:32:06.728 --> 02:32:16.293]  But what began to interest us is when we started to see that children were taken away from perfectly good, loving mums and dads.
[02:32:21.426 --> 02:32:36.431]  On false evidence, false accusations, false documentation, court documents with no official court stamp and no signature by a judge.
[02:32:36.911 --> 02:32:47.994]  We started to find out that the police were collaborating with the courts and social services in order to take children away from their parents.
[02:32:49.105 --> 02:32:55.707]  And if you ask me what's happening to the children when they're taken away from their parents, they're being abused.
[02:32:56.688 --> 02:33:01.649]  And if you don't know what that means, it can mean that just psychological abuse.
[02:33:02.509 --> 02:33:03.790]  They're given a rough time.
[02:33:03.890 --> 02:33:08.011]  And for some of them it means they're sexually abused.
[02:33:09.092 --> 02:33:15.934]  And I didn't believe this either until I started to listen to some of these mums and dads and I started to look at the evidence.
[02:33:17.265 --> 02:33:22.413]  And then we started to realise that some of these children disappear into the system.
[02:33:24.256 --> 02:33:26.459]  And you may wonder how they can disappear.
[02:33:26.479 --> 02:33:27.801]  So I've got a question.
[02:33:28.583 --> 02:33:30.786]  Is the BBC present today?
[02:33:34.789 --> 02:33:38.310]  Are any of the major newspapers present today?
[02:33:38.370 --> 02:33:39.851]  No.
[02:33:41.291 --> 02:33:44.912]  Do we have any of the mainstream media present?
[02:33:45.132 --> 02:33:47.113]  No.
[02:33:47.253 --> 02:33:58.356]  So we have a rally in central London where people are warning that the children are being taken and there is not one single representative of mainstream media.
[02:33:59.736 --> 02:34:02.837]  Can I ask if there are any Members of Parliament here?
[02:34:04.386 --> 02:34:07.351]  Is Mr John Hemming in the audience perhaps?
[02:34:08.473 --> 02:34:09.234]  Are there any MPs?
[02:34:11.139 --> 02:34:12.440]  Are there any counsellors?
[02:34:13.581 --> 02:34:22.590]  I've just been told that Mr John Heming gave his apology so I'll say he is a man who's starting to do some things.
[02:34:23.330 --> 02:34:36.862]  But the reason this is going on is because there is a massive media clampdown which says when we start to talk about what is happening to children and how they are being snatched by the state
[02:34:37.843 --> 02:34:41.425]  You cannot get a single article into the papers.
[02:34:42.085 --> 02:34:45.947]  There is not a single documentary on mainstream TV.
[02:34:46.768 --> 02:34:52.951]  And if you want to know what's happening in the courts, you have to go into the court with the parents.
[02:34:53.591 --> 02:34:56.633]  Because the courts are secret courts.
[02:34:57.995 --> 02:35:10.420]  Never mind what the law lords say, Judge Judge and Mr Mumby, if you look at what is happening in the family courts in Britain, they are secret courts.
[02:35:11.240 --> 02:35:24.266]  The public is not allowed in, there are no juries, and the press, if they are allowed in at all, are told by the judges what they can and cannot report.
[02:35:25.807 --> 02:35:29.349]  These are unlawful courts.
[02:35:29.869 --> 02:35:41.617]  They are unlawful at common law under the British Constitution and they are in fact administrative courts or statute law courts.
[02:35:42.377 --> 02:35:44.619]  And the fact there is a single judge
[02:35:46.013 --> 02:35:49.637]  Hundreds of nations have fallen to tyranny in the last century alone.
[02:35:50.017 --> 02:35:53.041]  This is our last chance to not relive history.
[02:35:53.281 --> 02:35:58.046]  As we're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[02:35:58.066 --> 02:36:04.313]  I have tremendous influence on our President and Congress, and they really are calling the shots.
[02:36:04.473 --> 02:36:06.695]  I think it's incumbent upon all of us
[02:36:07.216 --> 02:36:07.516]  Tim Geithner?
[02:36:07.536 --> 02:36:07.976]  Bernanke?
[02:36:08.056 --> 02:36:08.697]  They're arsonists!
[02:36:08.717 --> 02:36:09.717]  They're asking for more matches!
[02:36:09.797 --> 02:36:12.238]  And the Congress is saying, who do we make the check out to?
[02:36:26.144 --> 02:36:27.965]  Today seems like nobody does care.
[02:36:28.265 --> 02:36:33.047]  And right now in Washington, D.C., we have seen a fall of the republic.
[02:36:33.407 --> 02:36:42.530]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[02:37:38.982 --> 02:37:46.986]  Welcome back, it's the InfoWars Moneybomb Marathon Live, now approaching half ten in the UK.
[02:37:47.006 --> 02:37:50.108]  The guys in the office, some of them have had some sleep, some haven't.
[02:37:50.708 --> 02:37:52.389]  Alex Jones is going to be back soon.
[02:37:54.130 --> 02:37:58.632]  InfoWarsMoneybomb.com, I see we're already at 215,000, so we've got several hours left.
[02:38:03.354 --> 02:38:09.960]  Remaining of this 24-hour broadcast and we're hoping to get up there somewhere close to the 500,000 mark.
[02:38:10.000 --> 02:38:16.726]  I know a lot of the money isn't counted until after it comes in, so it's really important that you support us.
[02:38:17.147 --> 02:38:26.575]  As I wrote in my article a few days ago, unlike media matters, unlike the big liberal leftist organizations, we don't get
[02:38:27.296 --> 02:38:36.123]  Half a million dollar, five hundred thousand dollar, five million dollar checks from the likes of George Soros were not funded by the Carnegie Institute.
[02:38:36.583 --> 02:38:44.009]  We don't force people to pay license fees for content they may not even want with government backing it up like the BBC.
[02:38:44.729 --> 02:38:46.771]  So that's why we need your support.
[02:38:46.811 --> 02:38:48.972]  You've seen what we've done over the last year or so.
[02:38:49.940 --> 02:38:55.102]  We've built the TV studio reaching, you know, conservatively double the amount of people.
[02:38:55.602 --> 02:39:00.264]  Infowars.com gets more traffic than MSNBC.com.
[02:39:00.824 --> 02:39:03.525]  And yet we don't take handouts from General Electric.
[02:39:03.865 --> 02:39:08.066]  So how have we managed to get more traffic than MSNBC.com?
[02:39:08.106 --> 02:39:10.707]  Well, because of your support in the last two money bombs.
[02:39:11.067 --> 02:39:13.368]  And that's why we need your support once again.
[02:39:13.828 --> 02:39:18.750]  Infowarsmoneybomb.com to take the info war to the next level.
[02:39:19.170 --> 02:39:23.832]  I can't emphasize how much we're taking on the establishment and winning.
[02:39:24.052 --> 02:39:32.435]  We get more traffic than a lot of big news websites, establishment media funded by giant transnational corporations.
[02:39:32.475 --> 02:39:36.517]  That's got to be judged as a measure of success and none of it
[02:39:37.017 --> 02:39:42.661]  None of it would be possible without your support, which we've generously had over the past several years.
[02:39:42.701 --> 02:39:53.189]  So please go to infowarsmoneybomb.com and support the Info War, which Hillary Clinton admitted they're losing and we're winning.
[02:39:53.609 --> 02:39:53.890]  Why?
[02:39:54.010 --> 02:39:55.331]  Because of your support.
[02:39:55.411 --> 02:39:57.412]  Infowarsmoneybomb.com
[02:39:58.573 --> 02:40:01.976]  Now, we're going to plunge headfirst into a controversial topic.
[02:40:02.857 --> 02:40:14.889]  It's often speculative and nebulous, which is why we don't cover it too much on the Alex Jones Show, what with all the other crises, scandals and cover-ups staring us in the face.
[02:40:15.770 --> 02:40:20.855]  But, you know, if it's good enough for the likes of the History Channel, then why shouldn't we talk about it?
[02:40:21.756 --> 02:40:26.698]  And that, of course, is the ever-controversial subject of UFOs and ufology.
[02:40:27.418 --> 02:40:41.183]  And to talk about this, we welcome UFO researcher Tony Topping, a man who's appeared on the likes of BBC, Sky News, Channel 4, and is, in fact, TalkSport's resident ufologist to discuss this fascinating subject.
[02:40:41.523 --> 02:40:44.024]  Tony, welcome to the Alex Jones Show this morning.
[02:40:44.384 --> 02:40:47.245]  Oh, well, welcome, Paul, and thank you very much indeed.
[02:40:47.285 --> 02:40:49.567]  Sincere thanks for having me come on air.
[02:40:50.207 --> 02:40:58.871]  There are lots of people who come on the Alex Jones Show discussing lots of subjects, and so I feel very humbled that you chose me to come on the show.
[02:41:00.152 --> 02:41:06.195]  This morning, before I came on air, and we'll go into all that, I was once again harassed this morning.
[02:41:07.135 --> 02:41:11.157]  And what we're doing at Brian Gerrish was talking about, I think, one level of a conspiracy,
[02:41:11.537 --> 02:41:25.181]  And I think we're gonna click it up for the listeners in the US and in the UK and talk about the conspiracy that is paranormal and where the two meet and the UFO stuff and all that I've been subjected to, etc, etc, Paul.
[02:41:26.261 --> 02:41:34.344]  Well, just start off, Tony, by telling the audience about yourself, how you got involved in all this and why you think it's important.
[02:41:35.407 --> 02:41:37.067]  Yeah, well, this is absolutely right.
[02:41:37.187 --> 02:41:47.390]  I was, since early childhood, since the age of two, I had my first paranormal experience where something walked through a wall.
[02:41:48.170 --> 02:41:54.232]  And I remember at the age of two being unable to decipher what I was seeing walking through that wall.
[02:41:54.532 --> 02:41:57.012]  And I was screaming at my father and pointing at the wall.
[02:41:57.032 --> 02:42:01.493]  And I still can see myself now doing this, even at two.
[02:42:01.573 --> 02:42:03.054]  I've got quite a visual memory.
[02:42:03.074 --> 02:42:04.294]  I can see this event happening.
[02:42:04.714 --> 02:42:07.275]  And my father going, oh, don't worry, there's nothing there.
[02:42:07.415 --> 02:42:10.016]  I remember the word now, there's nothing there, and he put me back in my cot.
[02:42:10.736 --> 02:42:31.463]  And since then, I had all kinds of paranormal experiences from the age of seven, eight, into my teenage years, I dabbled a bit into the occult, and it wasn't really until about 1991, before I went to drama school in London, that I had a UFO appear over the house, like something out of Close Encounters.
[02:42:31.983 --> 02:42:33.204]  It was there, it was gone,
[02:42:33.824 --> 02:42:37.687]  And I wondered why it was there, what its purpose was.
[02:42:37.747 --> 02:42:40.850]  I wondered for months about it as to what it was and did I really see it.
