[00:00:10.478 --> 00:00:14.460]  Today in the studio we talked to Stuart Rose, the founder of Oath Keepers.
[00:47:02.328 --> 00:47:10.974]  Bottom line, the patriots are getting organized, the system is scared, because they know that we found one of their major weak spots.
[00:47:12.179 --> 00:47:13.640]  And they're jumping the shark in reaction.
[00:47:14.060 --> 00:47:25.965]  Whenever they start labeling someone who is simply growing a pot plant in their backyard as an enemy, or labeling Vaughn Nothouse who, you know, simply had sound money in his pocket as a terrorist.
[00:47:26.285 --> 00:47:26.945]  Things like this.
[00:47:27.045 --> 00:47:29.986]  Labeling veterans, returning veterans, as suspected terrorists.
[00:47:30.246 --> 00:47:31.547]  It lets everybody know we were right.
[00:47:31.667 --> 00:47:33.247]  This whole Patriot Act's for us.
[00:47:33.287 --> 00:47:34.068]  This is a tyranny.
[00:47:34.628 --> 00:47:35.650]  And they wake other people up.
[00:47:35.670 --> 00:47:37.793]  It becomes so absurd and so ridiculous.
[00:47:37.813 --> 00:47:38.794]  Like I said, they're jumping the shark.
[00:47:38.995 --> 00:47:40.978]  They're going, it's such an absurd length.
[00:47:41.158 --> 00:47:41.699]  They have to.
[00:47:41.979 --> 00:47:45.004]  Because all we're doing is defending what's really constitutional.
[00:47:45.024 --> 00:47:49.891]  They're absurd tyrants and so now the absurdity of them defending what they're doing is becoming...
[00:47:51.473 --> 00:47:55.698]  I mean, it's beyond 1984 in so many respects.
[00:47:55.738 --> 00:48:01.285]  I mean, the White House comes out this week and says, yeah, we're going to hold your passcodes for your computer and your bank account.
[00:48:01.305 --> 00:48:02.907]  We're going to watch everything you do.
[00:48:03.628 --> 00:48:08.034]  And even mainstream media universally said, this is absolute police state.
[00:48:09.205 --> 00:48:10.887]  And they think they're going to be able to chill our speech.
[00:48:10.907 --> 00:48:13.249]  They think Americans will cower in fear.
[00:48:13.509 --> 00:48:14.990]  But the exact opposite has happened.
[00:48:15.010 --> 00:48:17.112]  Truth is, Americans have just been decadent and lazy.
[00:48:17.532 --> 00:48:19.354]  Once Americans get roused, they're ready for a fight.
[00:48:19.574 --> 00:48:19.774]  Right.
[00:48:19.834 --> 00:48:21.956]  And all they're doing is waking up the sleeping jobs.
[00:48:21.976 --> 00:48:22.656]  That's exactly right.
[00:48:22.696 --> 00:48:23.437]  They're swelling our ranks.
[00:48:25.080 --> 00:48:31.024]  They're showing that the truth, what we've been saying for years, what you've been saying for a long time, and they're just demonstrating it.
[00:48:31.044 --> 00:48:34.666]  They're saying, like you said earlier, they're showing that it's all actually true.
[00:48:35.066 --> 00:48:48.514]  And they think they can say, well, yes, and we're going to do this, this, and this to you, if you do... And this guy put out silver coins, he's arrested, he's a terrorist, and marijuana's terrorism, and yeah, we got blimps watching, and yeah, we're listening to you, but it's not a police state.
[00:48:49.014 --> 00:48:51.296]  But you said five years ago you weren't spying without warrants.
[00:48:51.416 --> 00:48:52.817]  Shut up, conspiracy terrorist!
[00:48:53.433 --> 00:48:54.034]  It's not going to work.
[00:48:54.054 --> 00:48:55.356]  It's not going to suppress us.
[00:49:12.122 --> 00:49:15.125]  The Commerce Secretary came out and said, you're a conspiracy theorist.
[00:49:15.445 --> 00:49:16.847]  They never intellectually debate us.
[00:49:16.867 --> 00:49:23.594]  They just have a throwaway line of, well yes, you'll have a government issued ID to do anything on the internet, but you're a conspiracy theorist.
[00:49:25.216 --> 00:49:26.096]  It doesn't work anymore.
[00:49:26.757 --> 00:49:27.297]  No, it doesn't.
[00:49:27.977 --> 00:49:31.338]  The website for the Tenth Amendment Center is TenthAmendmentCenter.com, obviously.
[00:49:31.538 --> 00:49:34.219]  Oath Keepers, OathKeepers.org.
[00:49:35.019 --> 00:49:37.740]  And I want to thank you, Michael Bolden, for joining us.
[00:49:37.760 --> 00:49:38.981]  Now we're going to bring in Brandon Smith.
[00:49:39.161 --> 00:49:39.841]  Thank you so much, Alex.
[00:49:39.881 --> 00:49:40.561]  Thank you so much.
[00:49:41.362 --> 00:49:41.922]  We'll be right back.
[00:49:43.971 --> 00:49:48.436]  Well, Stuart, why don't you introduce our next guest?
[00:49:49.077 --> 00:49:55.444]  Well, this is Brandon Smith, and he did write under the pen name Giordano Bruno on economics.
[00:49:55.464 --> 00:49:56.846]  We posted some of your stuff at InfoWars.
[00:49:56.986 --> 00:49:58.648]  You have for a couple of years now.
[00:49:59.088 --> 00:49:59.788]  Very good stuff.
[00:49:59.828 --> 00:50:14.936]  And so I saw him, I could tell he was a person of sincere belief in freedom and consistent, and I approached him with the idea of starting a movement, a grassroots movement, to get people to decouple from the fiat system, to unplug from the matrix.
[00:50:15.196 --> 00:50:20.459]  So I kind of lit a fire into him to start the Alternate Market Project, and now we're doing it.
[00:50:20.659 --> 00:50:22.140]  Now this is what Gandhi did.
[00:50:22.720 --> 00:50:27.703]  For those that don't know, Gandhi, peacefully, it took him over a decade, said, stop buying from the British.
[00:50:28.103 --> 00:50:28.884]  Stop supporting them.
[00:50:28.904 --> 00:50:29.684]  Just turn your backs.
[00:50:30.185 --> 00:50:31.946]  Basically, don't serve them when they come into your business.
[00:50:32.446 --> 00:50:33.647]  They're here occupying us.
[00:50:35.208 --> 00:50:36.188]  This isn't going to work anymore.
[00:50:36.248 --> 00:50:37.969]  Support your own local community.
[00:50:38.610 --> 00:50:40.571]  And this idea is really scaring the system.
[00:50:40.591 --> 00:50:45.914]  So before we get into his decentralized model, let's talk about what happened to Bernard von Nothaus.
[00:50:45.974 --> 00:50:50.797]  Because they're now calling this guy, who for 13 years put out a competing currency,
[00:50:52.058 --> 00:50:59.846]  Was not counterfeit and they're saying that it was counterfeit and they found a moronic federal hand-picked jury to convict him.
[00:51:00.086 --> 00:51:06.133]  So both of you break that down and let's go through your alternative model that you cover at alt-market.com.
[00:51:07.984 --> 00:51:08.644]  Well, what the U.S.
[00:51:08.705 --> 00:51:25.996]  Attorney Anne Tompkins did essentially was take a very broad statuette dealing with the making of gold and silver currency and interpreted it to mean almost any flat metal
[00:51:27.157 --> 00:51:28.198]  Well, he was also attacking
[00:51:54.276 --> 00:52:06.141]  He initiated a lawsuit against the federal government right before, ironically, that they raided Liberty Dollar.
[00:52:06.781 --> 00:52:12.724]  But the only thing he did on his coins is use the term dollar and he used the dollar sign.
[00:52:12.984 --> 00:52:16.225]  I've seen that on casino chips for decades in Las Vegas.
[00:52:17.866 --> 00:52:25.971]  They took a vague federal statute that used to be used to go after real counterfeiters, and now they're going after him for what you just said.
[00:52:26.191 --> 00:52:27.652]  Because they don't like what he's doing.
[00:52:27.892 --> 00:52:31.054]  Because he's giving people an alternative of using real money.
[00:52:31.374 --> 00:52:32.315]  That's the real threat.
[00:52:34.056 --> 00:52:38.817]  Are counterfeiting the counterfeit fellow reserve notes itself a counterfeit item.
[00:52:38.837 --> 00:52:39.818]  That's the big joke here.
[00:52:40.058 --> 00:52:43.439]  And so it's not like people are out there counterfeiting silver and gold coins.
[00:52:43.519 --> 00:52:43.739]  Right.
[00:52:44.079 --> 00:52:44.939]  I mean this is insane.
[00:52:44.979 --> 00:52:49.080]  But let's continue with him saying he's a special type of terrorist.
[00:52:49.100 --> 00:52:50.761]  This sets an amazing precedent.
[00:52:51.286 --> 00:52:51.767]  Right, right.
[00:52:51.807 --> 00:52:54.929]  They actually, in the post-trial statement from Ann Tompkins, she says,
[00:53:11.184 --> 00:53:23.310]  We are determined to meet these threats through infiltration, disruption, and dismantling of organizations which seek to challenge the legitimacy, which is very funny, of our democratic form of government.
[00:53:23.670 --> 00:53:24.551]  Wow!
[00:53:24.691 --> 00:53:29.253]  So, by challenging the Federal Reserve that hijacked us 100 years ago, 98 years ago,
[00:53:32.378 --> 00:53:37.521]  If you even criticize them, they're saying that you're an enemy they'll infiltrate.
[00:53:37.641 --> 00:53:38.882]  That sounds like Cass Sunstein.
[00:53:39.122 --> 00:53:39.522]  Or China.
[00:53:39.562 --> 00:53:47.347]  China just said they're going to arrest people who reveal accurate economic information that might hurt the Chinese economy.
[00:53:47.647 --> 00:53:48.928]  Our government is saying the same thing.
[00:53:49.208 --> 00:53:52.950]  If you even just use legitimate currency, that's undermining it.
[00:53:53.650 --> 00:53:58.471]  Right, and the NotHoss case was, you know, not about counterfeiting at all.
[00:53:58.551 --> 00:54:03.232]  It's really about people using sound money in their communities and in their states.
[00:54:03.652 --> 00:54:08.253]  That competes with the fraudulent Federal Reserve system that's going the way of the Weimar Republic.
[00:54:08.293 --> 00:54:20.535]  I want to give you both the floor now to break this down, and we've only got about eight minutes left, and to go over your alternative that's completely decentralized and that this Death Star system can't stop.
[00:54:21.115 --> 00:54:26.597]  Well, Alex, what we're doing with Operation Sleeping Giant is telling veterans they have to focus on four key areas.
[00:54:26.917 --> 00:54:32.438]  And with Brandon and I, with Altered Market also, which is his effort, is to take the same thing, the same message.
[00:54:32.658 --> 00:54:38.220]  There are four critical things that must be in place for us to survive an economic collapse and be free.
[00:54:38.500 --> 00:54:46.483]  And the first one is you've got to have food security, you've got to have emergency communications, and also emergency medical and other preparedness.
[00:54:46.503 --> 00:54:48.403]  Because food is the hardest thing to improvise.
[00:54:48.783 --> 00:54:50.844]  The second thing you've got to have in a hierarchy of needs
[00:54:51.124 --> 00:54:51.604]  We're good to go.
[00:55:12.034 --> 00:55:12.595]  We're good to go.
[00:55:26.237 --> 00:55:35.705]  Well, the bottom line is if communities don't take back their commerce, they're going to be completely dependent on the Federal Reserve and the dollar.
[00:55:36.146 --> 00:55:39.348]  Right now we're seeing an extreme devaluation of the dollar.
[00:55:39.629 --> 00:55:40.930]  We're seeing inflation.
[00:55:41.590 --> 00:55:43.572]  Most commodities have doubled in the past two years.
[00:55:44.413 --> 00:55:48.877]  If communities remain hooked to the dollar, they're going to be desperate
[00:55:49.497 --> 00:55:56.159]  And they're going to go along with anything that the federal government says when the final collapse occurs.
[00:55:56.659 --> 00:56:04.821]  So what we are proposing is that communities take back their commerce, they institute local barter networks and trade.
[00:56:06.281 --> 00:56:12.083]  Along with that would come sound money and at the state level sound money legislation.
[00:56:14.448 --> 00:56:32.002]  Well, the main thing is that as individuals and as neighborhoods and on up, one pillar would be public action, going to your town council and your county government and saying, please use gold and silver for example, going to your state legislature as Utah just did, so that's public.
[00:56:32.022 --> 00:56:36.285]  The other side of it is don't rely only on that, also work in the private sphere.
[00:56:36.605 --> 00:56:36.886]  I think so.
[00:56:53.326 --> 00:56:56.370]  All of us in this community will patronize your store.
[00:56:56.511 --> 00:57:04.742]  We will not shop at Walmart if you'll start taking silver currency, for example, and you entice them to help you de-plug.
[00:57:04.962 --> 00:57:06.785]  Help us shop at your store instead of Walmart.
[00:57:09.048 --> 00:57:16.696]  The first steps towards this, and that includes prepping, storing foods and goods, storing materials for self-defense.
[00:57:17.236 --> 00:57:19.138]  The problem is that this isn't going to be enough.
[00:57:19.559 --> 00:57:23.723]  People need to start building community and looking out for each other.
[00:57:24.504 --> 00:57:31.450]  And the idea of the lone wolf survivor out in the hills is just not going to cut it anymore.
[00:57:32.371 --> 00:57:40.699]  So what we're proposing is people really get out of their houses, start thinking about working together within their communities.
[00:57:41.200 --> 00:57:44.703]  And it only takes two people to start a barter network.
[00:57:45.844 --> 00:57:49.568]  And then hopefully, you know, that the person you're working with brings in his friends.
[00:57:49.908 --> 00:57:51.329]  And maybe they bring in their families.
[00:57:51.389 --> 00:57:52.931]  And you grow and you grow and you grow.
[00:57:53.811 --> 00:57:54.832]  That's really the goal here.
[00:57:55.412 --> 00:57:57.373]  We need to attack the problem on multiple levels.
[00:57:57.933 --> 00:58:02.015]  We need to go after the Federal Reserve at the federal level.
[00:58:02.815 --> 00:58:07.157]  We also need to institute Tenth Amendment legislation at the state level.
[00:58:07.518 --> 00:58:16.742]  And we also need to pursue private barter, private commerce to protect ourselves at the local level.
[00:58:18.120 --> 00:58:22.424]  So what we want people to do is go to alt-market.com.
[00:58:23.185 --> 00:58:24.526]  We've launched a website.
[00:58:24.586 --> 00:58:25.707]  It's a networking website.
[00:58:25.727 --> 00:58:26.348]  You can go on.
[00:58:26.388 --> 00:58:34.075]  You can meet people in your local area who are also interested in bartering, who are also of like mind, interested in sound money.
[00:58:35.396 --> 00:58:36.056]  You meet with them.
[00:58:36.477 --> 00:58:37.498]  You start working with them.
[00:58:37.978 --> 00:58:43.282]  If you like who you're working with, maybe you can grow your network more.
[00:58:44.402 --> 00:58:48.445]  It doesn't have to be huge, it could be small, or you can take it to the state level.
[00:58:48.865 --> 00:58:55.109]  What we really want people to do is start pursuing a state level barter system.
[00:58:55.990 --> 00:59:01.393]  For instance, during the Great Depression, California, the state of California alone, had a 300,000 member barter network.
[00:59:03.835 --> 00:59:10.880]  So, these kinds of things pop up, barter networks pop up, after every economic collapse.
[00:59:12.001 --> 00:59:15.063]  The problem is they always institute them after the fact.
[00:59:15.223 --> 00:59:20.928]  What we want people to do now is preempt the collapse that we know is coming and insulate themselves.
[00:59:21.368 --> 00:59:23.870]  Well, Brandon Smith, I really appreciate you coming in the studio.
[00:59:23.890 --> 00:59:25.011]  Thanks for having me, Alex.
[00:59:25.131 --> 00:59:25.371]  You bet.
[00:59:25.391 --> 00:59:27.652]  It's very exciting the tour you guys have got going.
[00:59:29.246 --> 00:59:31.687]  They say imitation is the most sincere form of flattery.
[00:59:31.707 --> 00:59:40.309]  I hope other folks pick up, you know, the historical information you're putting out and spread it to everybody else because nobody can stop an idea whose time has come.
[00:59:40.749 --> 00:59:44.330]  It was Victor Hugo who said no army can stop an idea whose time has come.
[00:59:44.750 --> 00:59:46.350]  Folks, again, thank you for watching.
[00:59:46.390 --> 00:59:48.231]  I hope you get this information out to everybody.
[00:59:48.571 --> 00:59:54.072]  This information can save America, save the Republic, and defeat these globalists.
[00:59:55.032 --> 00:59:55.892]  It's time to defeat them.
[00:59:57.333 --> 00:59:58.113]  Ideas are bulletproof.
[01:00:07.972 --> 01:00:10.653]  Ask yourselves, what are you doing in this time of great challenge?
[01:00:11.593 --> 01:00:13.234]  What are you doing to unlock mine?
[01:00:14.434 --> 01:00:20.616]  Go to InfoWars.com and PrisonPlanet.tv for the latest headlines and cutting-edge information.
