[00:00:04.989 --> 00:00:06.390]  I am absolutely honored
[01:32:05.835 --> 01:32:14.697]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[01:32:14.697 --> 01:32:19.318]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[01:32:19.318 --> 01:32:30.140]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[01:32:30.780 --> 01:32:40.283]  With continued legislation threatening the sale of nanosilver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[01:32:40.283 --> 01:32:45.725]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[01:32:45.725 --> 01:32:53.208]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[01:32:53.208 --> 01:32:55.609]  That's www.silverlungs.com.
[01:33:09.170 --> 01:33:16.621]  Okay, well, we have Representative David Simpson on, and he's trying to be a gentleman and be nice, but Senator Dan Patrick's a senior senator.
[01:33:16.621 --> 01:33:23.050]  He's on record saying that Dewhurst, basically at the behest of Perry, killed the whole thing secretly.
[01:33:23.050 --> 01:33:23.591]  Well, no kidding.
[01:33:23.591 --> 01:33:23.931]  They had
[01:33:25.774 --> 01:33:32.578]  Every vote in the Senate but one, unanimous in the House, and then they killed it, and Dewhurst said we didn't have the votes.
[01:33:32.578 --> 01:33:35.160]  Well, see, the Lieutenant Governor can kill bills himself.
[01:33:35.160 --> 01:33:36.140]  He killed it.
[01:33:36.140 --> 01:33:39.002]  But then told people, I don't want my fingerprints on this.
[01:33:39.002 --> 01:33:40.163]  No kidding.
[01:33:40.163 --> 01:33:42.204]  Because they want to move up and be federal toadies.
[01:33:42.204 --> 01:33:43.565]  They want to play ball.
[01:33:43.565 --> 01:33:50.269]  But we've let Rick Perry, and the whole nation's let Rick Perry know, listen, buddy, we're going to keep your hind end in line.
[01:33:50.269 --> 01:33:54.332]  It's the same thing with Obama saying, these aren't wars, these aren't wars, for the last three months.
[01:33:55.362 --> 01:33:57.463]  In Libya and other areas?
[01:33:57.463 --> 01:33:58.543]  In Yemen?
[01:33:58.543 --> 01:34:10.068]  And no one's buying it now, so the Washington Post and others have gone from saying, it's not a war, you're a conspiracy theorist to call it one, to going, Obama losing credibility, no one buying it.
[01:34:10.068 --> 01:34:12.489]  So this is the type of exciting things that are happening.
[01:34:15.191 --> 01:34:24.513]  I've done something a little special that's a gift to Rick Perry to try to get people to actually pay attention to his real history.
[01:34:24.513 --> 01:34:37.517]  And I want to be clear with listeners that you can just search the term, or we have links to it in the story, at InfoWars.com, 14 Reasons Why Rick Perry Would Be a Really, Really Bad President.
[01:34:38.502 --> 01:34:45.792]  And I had forgotten some of the things that are in this article, like number seven.
[01:34:45.792 --> 01:34:50.478]  Back in 88, Rick Perry supported Al Gore, link to mainstream news for president.
[01:34:50.478 --> 01:34:53.962]  In fact, Rick Perry actually served as Al Gore's campaign chairman.
[01:34:54.423 --> 01:34:58.784]  This isn't somebody who supported Al Gore accidentally or was low-level.
[01:34:58.784 --> 01:35:04.166]  He was the campaign chairman for Al Gore in the state of Texas.
[01:35:04.166 --> 01:35:10.288]  I mean, Perry back then was anti-gun, pro-socialism, environmental land-grabber.
[01:35:10.288 --> 01:35:15.269]  I mean, you might as well elect Bill Clinton again.
[01:35:18.374 --> 01:35:21.596]  And it goes on all the taxes he raised in Texas.
[01:35:21.596 --> 01:35:28.039]  And one of the most sickening things Rick Perry does is he gets up on the news and he says that he's the reason Texas is doing so good.
[01:35:28.039 --> 01:35:34.722]  No, in spite of you, we aren't in as bad as a recession or depression as some other areas of the country.
[01:35:34.722 --> 01:35:39.364]  Now, we have titled this video, Rick Perry Announces Presidential Run.
[01:35:40.527 --> 01:35:44.048]  And technically he hasn't, but in reality he has.
[01:35:44.048 --> 01:35:49.730]  That's why three and a half years ago I said he'd run for president in 2012 in my film Endgame, because he went to Bilderberg.
[01:35:49.730 --> 01:35:51.551]  He wrote the presidential book.
[01:35:51.551 --> 01:35:55.072]  He's had Karl Rove in town secretly meeting with him.
[01:35:55.072 --> 01:35:57.693]  And I've seen Karl Rove in town on top of it.
[01:35:57.693 --> 01:35:59.754]  I know this from his security staff.
[01:35:59.754 --> 01:36:03.455]  I know this from Fox News high-level consultant.
[01:36:03.455 --> 01:36:05.696]  I'm not going to say which vice president.
[01:36:05.696 --> 01:36:07.376]  I have this from a Fox News host.
[01:36:07.376 --> 01:36:08.637]  This is over a year ago.
[01:36:08.637 --> 01:36:09.737]  And it's going to be Palin.
[01:36:11.274 --> 01:36:13.195]  Now, that doesn't mean it's 100%.
[01:36:13.195 --> 01:36:14.215]  He's going to run.
[01:36:14.215 --> 01:36:15.455]  That's 100%.
[01:36:15.455 --> 01:36:20.016]  The system's going to kind of beta test Palin and Perry and others.
[01:36:20.016 --> 01:36:31.118]  But they believe that people hate Obama so much that even though Texas has a bad connotation with some Americans because of Bush, that America is going to go for it.
[01:36:31.118 --> 01:36:32.339]  And he gives good speeches.
[01:36:32.339 --> 01:36:33.259]  He's smart.
[01:36:33.259 --> 01:36:33.899]  So is Palin.
[01:36:34.679 --> 01:36:37.781]  They're going to run against each other, then team up with him on the top of the ticket.
[01:36:50.728 --> 01:36:54.169]  Here is the special report, ladies and gentlemen.
[01:36:54.169 --> 01:36:56.390]  The special report premiering here.
[01:36:56.390 --> 01:36:58.471]  Rick Perry announces presidential run.
[01:36:58.471 --> 01:37:01.713]  Because with his actions, he has, he's now broken his pledge.
[01:37:01.713 --> 01:37:03.633]  He says, I'm rethinking my pledge.
[01:37:03.633 --> 01:37:05.034]  Of course he's already running.
[01:37:05.034 --> 01:37:07.375]  Look at all the speeches he's giving.
[01:37:07.375 --> 01:37:11.777]  So we're just going to announce it for you, Perry, because we already know from inside your campaign.
[01:37:11.777 --> 01:37:12.177]  Here it is.
[01:37:13.641 --> 01:37:17.703]  Rick Perry's actions speak louder than words.
[01:37:17.703 --> 01:37:23.525]  Everything he's done so far tells the world I'm running for president.
[01:37:23.525 --> 01:37:28.207]  And our inside sources confirm that's exactly what he's planning to do.
[01:37:28.207 --> 01:37:29.708]  That's right!
[01:37:29.708 --> 01:37:39.112]  Texas Governor Rick Perry has announced that he's running for the Republican nomination for president in 2012.
[01:37:39.112 --> 01:37:41.893]  And you're hearing it here first at InfoWars.com.
[01:37:44.741 --> 01:37:52.663]  Now, as the world media tunes in to this video, they're saying, well, where else do we have this information?
[01:37:52.663 --> 01:37:59.625]  Well, you see, officially, Rick Perry hasn't announced that he's running for president.
[01:37:59.625 --> 01:38:02.626]  But in the real world, he has.
[01:38:02.626 --> 01:38:05.427]  And I want to talk about that right now.
[01:38:05.427 --> 01:38:10.488]  Almost four years ago, I released a film called Endgame, Blueprint for Global Enslavement.
[01:38:11.308 --> 01:38:17.229]  Where we predicted that Rick Perry would be running for president coming up in 2012.
[01:38:17.229 --> 01:38:22.091]  Now Jim, my governor, Rick Perry, it's in the front of the Dallas Morning News.
[01:38:22.091 --> 01:38:27.372]  The headline reads, Texas Governor Rick Perry to attend Bilderberg.
[01:38:27.372 --> 01:38:34.474]  What does it mean to have the governor of Texas in the Dallas Morning News just admitting he's going to Bilderberg Group?
[01:38:34.474 --> 01:38:36.234]  It means he's a potential president.
[01:38:36.800 --> 01:38:39.401]  And he indeed is now positioning himself for that.
[01:38:39.401 --> 01:38:44.182]  You see, he told you that he had a pledge that he was not going to run for president in 2012, but now he's rethinking that pledge.
[01:38:59.380 --> 01:39:11.988]  To go through all the data is mind-boggling, but bottom line here, we have sources inside Fox News, we have sources inside Rick Perry's security detail.
[01:39:11.988 --> 01:39:20.754]  After all, I live here in Austin, Texas, been on the radio and TV for 16 plus years, and we've known that for more than a decade,
[01:39:21.641 --> 01:39:32.143]  Rick Perry has been groomed to run for president by none other than Karl Rove, who back in the mid-1990s got him to flip from Democrat to Republican.
[01:39:33.493 --> 01:39:42.159]  And he was in that same stable as Senator Graham, of course later President Bush, and now Governor Rick Perry.
[01:39:42.159 --> 01:39:47.722]  And so it was Karl Rove who basically put him in the position he is today.
[01:39:47.722 --> 01:39:59.110]  The inside baseball from sources in media, Texas Monthly, Fox News, inside the Perry camp, including people that work not just in his security, but in his office.
[01:40:00.336 --> 01:40:04.998]  Everything from day one has been about Rick Perry being president.
[01:40:04.998 --> 01:40:11.742]  And now the media is saying he is the frontrunner, even when he has not even announced yet.
[01:40:13.550 --> 01:40:26.119]  So Rick Perry let us know that he had announced for president with the establishment, with the people that bankroll presidential candidates when he went to Bilderberg in 2007.
[01:40:26.119 --> 01:40:36.948]  And we were on the scene documenting the fact that Rick Perry was basically there begging to be the heir apparent and that he was chosen.
[01:40:37.668 --> 01:40:46.032]  The modern political manipulators are masters at building up a candidate as the answer to all your problems.
[01:40:46.032 --> 01:40:54.435]  Everybody was mad at George W. Bush, so here comes Barack H. Obama, financed by the very same Wall Street interest.
[01:40:54.435 --> 01:40:56.176]  We are on record calling it.
[01:40:57.281 --> 01:41:01.324]  That Rick Perry would be positioned to run for president.
[01:41:01.324 --> 01:41:03.226]  And now it's happening.
[01:41:03.226 --> 01:41:05.948]  But he plays the part of this reluctant candidate.
[01:41:05.948 --> 01:41:10.451]  Oh dear, I've put out the presidential book of fed up.
[01:41:10.451 --> 01:41:16.456]  Oh dear, I'm going to all the big conservative conferences and talking about how much I love Jesus.
[01:41:16.456 --> 01:41:18.698]  Oh dear, I don't wanna run.
[01:41:18.698 --> 01:41:25.323]  And then Rush Limbaugh and all the other big king makers come out and say, come on Perry, we're drafting you.
[01:41:25.323 --> 01:41:26.464]  You've gotta do it.
[01:41:26.744 --> 01:41:29.508]  You're the only one that will save us.
[01:41:29.508 --> 01:41:34.155]  The whole thing is 100% scripted.
[01:41:34.155 --> 01:41:36.118]  So let's look at Rick Perry's record.
[01:41:36.118 --> 01:41:41.485]  We already talked about the fact that he was a Democrat who was flipped by Karl Rove.
[01:41:42.503 --> 01:41:56.298]  But since then, as he rose up through Texas politics to the governorship, we have seen an extremely duplicitous politician in an overall field of lying scallywags.
[01:41:56.298 --> 01:42:00.262]  He is a master manipulator.
[01:42:00.262 --> 01:42:01.683]  Let's fast forward to 2007.
[01:42:01.683 --> 01:42:02.724]  The incumbent governor,
[01:42:04.847 --> 01:42:19.339]  Travels to Bilderberg to be vetted by the global elite, just as Bill Clinton, the obscure Arkansas governor, traveled there in 1991 to then be catapulted in 1992 and 93 to the presidency of the United States.
[01:42:19.339 --> 01:42:32.950]  A few years later, the obscure, even more obscure, member of parliament, Tony Blair, went to Bilderberg, bowed down before them, pledged to push England into the European Union.
[01:42:34.042 --> 01:42:38.829]  He becomes the new heir apparent and is put in as British Prime Minister.
[01:42:38.829 --> 01:42:45.198]  Well, Rick Perry had studied history and his advisors had explained to him that bowing down to the globalists was key.
[01:42:46.368 --> 01:42:48.470]  First, he had to prove himself to them.
[01:42:48.470 --> 01:42:54.275]  He had to hand over the Texas power plant infrastructure to private offshore consortiums.
[01:42:54.275 --> 01:43:05.666]  He had to sign over more than 8,000 miles of paid-for Texas roads directly to the private Spanish company Centra and put tolls on those roads.
[01:43:05.666 --> 01:43:10.070]  And when the Texas legislature voted by an overwhelming majority,
[01:43:10.993 --> 01:43:18.979]  To stop the trans-Texas North American Union highway system, Rick Perry came in and vetoed it.
[01:43:18.979 --> 01:43:21.722]  But that wasn't enough to prove himself.
[01:43:21.722 --> 01:43:32.470]  He then came out in a giant criminal hoax and said, all Texas schoolgirls must take the Gardasil vaccine.
[01:43:32.470 --> 01:43:35.472]  It is the law, I am commanding you.
[01:43:35.472 --> 01:43:36.994]  Well, first off, a governor can't do that.
[01:43:37.765 --> 01:43:42.208]  All he did was recommend it be on the list of recommended vaccines to the state health department.
[01:43:42.208 --> 01:43:50.193]  Then it came out that Gardasil was a product that the big pharma didn't want to put on the market because it was killing girls in the trials.
[01:43:50.193 --> 01:44:05.784]  And so by government mandating it, vaccine protection laws kicked in that protected the companies from liability, from the deaths they knew would result from this dangerous live virus vaccine being put on the market.
[01:44:07.995 --> 01:44:10.996]  But something else happened in that key year of 2007.
[01:44:10.996 --> 01:44:15.278]  Ron Paul was announcing his run for the presidency out of Texas.
[01:44:15.278 --> 01:44:26.823]  The Tea Party's formed right here in this state and had huge marches rebuking the Democrats but also George W. Bush for his tax and spend system and all of his wars.
[01:44:27.603 --> 01:44:33.207]  Rick Perry in 2008-2009 was being booed at Republican events.
[01:44:33.207 --> 01:44:35.008]  Suddenly he shifted gears.
[01:44:35.008 --> 01:44:42.532]  He said, why I kill coyotes in the middle of Austin while I'm jogging, I want Texas to secede.
[01:44:42.532 --> 01:44:46.635]  I'm against the New World Order, down with their world government.
[01:44:46.635 --> 01:44:48.056]  I'm tough.
[01:44:48.056 --> 01:44:49.617]  I'm going to deal with corruption.
[01:44:51.016 --> 01:44:59.183]  All of this was the establishment realizing that blue blood Rockefeller republicanism was dead with the populace.
[01:44:59.183 --> 01:45:01.945]  So the Tea Party had rejected him.
[01:45:01.945 --> 01:45:06.448]  The Texas legislature had overridden his vetoes.
[01:45:06.448 --> 01:45:09.291]  Perry was in deep trouble.
[01:45:09.291 --> 01:45:15.476]  So he rebranded himself as the ultimate super patriot who was going to fight the new world order.
[01:45:16.570 --> 01:45:27.440]  And now he's positioned himself, along with Sarah Palin and others, to be the presidential candidate who gets the nomination in 2012.
[01:45:27.440 --> 01:45:29.042]  So you heard it here first.
[01:45:29.042 --> 01:45:37.410]  Rick Perry is going to announce all of his actions have already technically announced that he's running for president.
[01:45:37.410 --> 01:45:39.331]  All the speaking tours, the book,
[01:45:40.012 --> 01:45:43.514]  Everything he has said and done shows you that he's running.
[01:45:43.514 --> 01:46:06.930]  But from all of our sources, Fox News host, Fox News executive, people inside the Perry camp who work with him in the state government, other inside media sources I have in Austin, including Texas Monthly, have all confirmed that it has always been the establishment's plan to put Perry in the White House as our new imperial emperor.
[01:46:08.274 --> 01:46:16.725]  And then you have Perry, don't forget, breaking his pledge and saying, I'll never run for president, I'm all about Texas, we may have to have our own country.
[01:46:16.725 --> 01:46:21.451]  And exaggerating his Texas accent to now, I may break that pledge.
[01:46:23.066 --> 01:46:28.731]  Well, he proves himself to be a corrupt politician and not a statesman again.
[01:46:28.731 --> 01:46:40.821]  Just like Bill Clinton saying, I didn't have sex with that woman, or George W. Bush's daddy saying, read my lips, no new taxes, or Obama lying about ending the torture and not hiring lobbyists.
[01:46:40.821 --> 01:46:48.388]  Rick Perry is like his father, the political establishment that can be described as nothing less than devilish.
[01:46:49.636 --> 01:46:58.785]  And so, in the interest of time, I will give you one more example that didn't happen a couple years ago, but is happening right now.
[01:46:58.785 --> 01:47:12.118]  Texas unanimously voted in the House, 138 to 0, to enforce the law and to order the TSA not to sexually grope people that are attempting to travel on aircraft.
[01:47:14.165 --> 01:47:29.473]  And he used his minion, Lieutenant Governor David Dewhurst, according to Senator Patrick and others, to kill that bill in the Senate when they had every vote in the Senate on their side but one.
[01:47:29.473 --> 01:47:37.517]  They could have passed it with a overwhelming majority, but Dewhurst killed that bill.
[01:47:37.517 --> 01:47:40.218]  Then we fought for a special session.
[01:47:40.218 --> 01:47:41.659]  The special session was called.
[01:47:42.788 --> 01:47:52.994]  And I interviewed the different members of the State House, and they said, we just know Rick Perry, who's claimed he supports this bill, is going to put it on the special session.
[01:47:52.994 --> 01:47:56.717]  Only the governor can list the bills on the special session.
[01:47:56.717 --> 01:47:58.638]  And what did Rick Perry do?
[01:47:58.638 --> 01:48:06.963]  Rick Perry waited a few weeks as the Washington Times and Lou Rockwell and others begged him and said, your only hope, the nation's looking at you.
[01:48:08.066 --> 01:48:10.049]  What the TSA is doing is wrong.
[01:48:10.049 --> 01:48:11.872]  It's a federal power grab.
[01:48:11.872 --> 01:48:14.016]  Add it to the special session.
[01:48:14.016 --> 01:48:19.064]  Don't make the rumors true that you had your minions kill it in the Senate.
[01:48:19.064 --> 01:48:21.748]  And Rick Perry was silent.
[01:48:21.748 --> 01:48:22.490]  But finally,
[01:48:23.675 --> 01:48:35.121]  After he was confronted over and over again, he publicly lied, and we're going to play a clip of that in a moment, and told people at book signings and other events that, oh, I'm sorry.
[01:48:35.121 --> 01:48:40.384]  There's just not time to get it into the session when the governor can expand the session out as long as he wants.
[01:48:41.226 --> 01:48:42.607]  And then he went on to tell a bigger lie.
[01:48:42.607 --> 01:48:45.348]  He said, we don't have the votes.
[01:48:45.348 --> 01:48:55.672]  When they have a near unanimous vote already lined up on record, and the bill has been tentatively reintroduced, he just has to give it a seal of approval.
[01:48:55.672 --> 01:48:57.192]  We're fed up with TSA tyranny.
[01:48:57.192 --> 01:48:59.273]  I could sign that.
[01:48:59.273 --> 01:49:03.515]  So I'm just wondering what your intent is on bringing the TSA legislation in the special session.
[01:49:04.662 --> 01:49:06.343]  They don't have the votes on either side.
[01:49:06.343 --> 01:49:07.824]  That's what I told them.
[01:49:07.824 --> 01:49:11.606]  I said, bring me a multitude of votes.
[01:49:11.606 --> 01:49:19.110]  Well, Senator Patrick's read a letter two days ago indicating that there was the votes in the Senate and there's 112 co-sponsors in the House.
[01:49:19.110 --> 01:49:22.932]  So in view of that, would you consider bringing it up?
[01:49:22.932 --> 01:49:24.333]  Not in a time of concession.
[01:49:25.976 --> 01:49:28.459]  So he's lied publicly.
[01:49:28.459 --> 01:49:34.367]  He used his minions inside, on record now, the statehouse to kill it quietly.
[01:49:34.367 --> 01:49:36.190]  And he didn't want his fingerprints on it.
[01:49:36.190 --> 01:49:39.334]  Senator Patrick and others exposed.
[01:49:39.334 --> 01:49:41.837]  Now he waited to put it on the special session.
[01:49:42.972 --> 01:49:43.232]  I think?
[01:50:03.803 --> 01:50:09.425]  The head of the Energy Commission was flying out of New Orleans with state reps.
[01:50:09.425 --> 01:50:14.267]  They pulled them aside, grabbed their testicles, crushed them, racking them in pain.
[01:50:14.267 --> 01:50:15.507]  And they said, why are you doing this?
[01:50:15.507 --> 01:50:16.528]  To punish me?
[01:50:16.528 --> 01:50:19.009]  And they said, yeah, we're doing this to punish you.
[01:50:19.009 --> 01:50:20.469]  The feds are so out of control.
[01:50:20.469 --> 01:50:26.231]  They're singling out our Texas leaders and our legislators and literally torturing them.
[01:50:26.231 --> 01:50:27.512]  Let me put this delicately.
[01:50:27.512 --> 01:50:33.034]  I was still feeling the effects of the pat down as I sat in my seat.
[01:50:33.752 --> 01:50:37.834]  From New Orleans to Houston and then Houston to Austin.
[01:50:37.834 --> 01:50:41.196]  And Rick Perry gets up and lies and says we don't have the votes.
[01:50:41.196 --> 01:50:47.299]  Alright folks, we're going to come back and play the rest of that special report.
[01:50:47.299 --> 01:50:56.764]  Then I'll get into a bunch of geopolitical news, economic news, police state news, nanny state news, and the good news of how the population is waking up to fight back.
[01:50:56.764 --> 01:50:59.525]  And Gerald Solente is coming up in the next hour.
[01:50:59.525 --> 01:50:59.966]  Stay with us.
[01:51:00.976 --> 01:51:05.219]  You've been waiting, and waiting, and waiting, to prepare.
[01:51:05.219 --> 01:51:07.100]  And now, it's here now!
[01:51:07.100 --> 01:51:10.942]  The huge summer blowout sale at TrueWilderness.com!
[01:51:10.942 --> 01:51:12.163]  How much will you save?
[01:51:12.163 --> 01:51:14.284]  Up to 70% storewide!
[01:51:14.284 --> 01:51:16.045]  Save this week on Alpine Air No.
[01:51:16.045 --> 01:51:23.529]  10 cans, Weiss food storage, Berkey water filters, food dehydrators, pressure cookers, Sawyer water filters, and much more at up to 70% off!
[01:51:24.730 --> 01:51:26.851]  But only at TrueWilderness.com!
[01:51:26.851 --> 01:51:29.752]  This is the preparedness sale you've been waiting for!
[01:51:29.752 --> 01:51:33.293]  TrueWilderness.com has every item you need for any emergency.
[01:51:33.293 --> 01:51:39.996]  Shelter and backpacks, knives and tools, lighting and radios, first aid, food storage, water filters, and much more!
[01:51:39.996 --> 01:51:42.777]  And now, during the huge summer blowout sale, save up to 70%!
[01:51:42.777 --> 01:51:42.917]  Call 877-573-7173
[01:51:47.279 --> 01:51:49.121]  Or go to TrueWilderness.com.
[01:51:49.121 --> 01:51:49.601]  Hurry!
[01:51:49.601 --> 01:51:55.147]  Call 877-573-7173 or shop online at TrueWilderness.com.
[01:51:55.147 --> 01:51:57.869]  This summer sale is going on now through June 25th!
[01:51:57.869 --> 01:52:00.272]  True Wilderness, an urban survival company.
[01:52:01.937 --> 01:52:05.300]  Hi, I'm Mark Craighead, founder of Crossbreed Holsters.
[01:52:05.300 --> 01:52:13.506]  I designed our top-selling holster, the SuperTuck Deluxe, to solve the problems of being poked, pinched, and gouged while carrying concealed.
[01:52:13.506 --> 01:52:18.810]  The SuperTuck Deluxe is the most comfortable, most concealable holster on the market today.
[01:52:18.810 --> 01:52:21.792]  We offer a two-week free trial and a lifetime warranty.
[01:52:21.792 --> 01:52:24.134]  Visit us at crossbreedholsters.com.
[01:52:25.695 --> 01:52:30.940]  Don't forget crossbreedholsters.com.
[01:52:30.940 --> 01:52:35.905]  235 years ago our forefathers signed the Declaration of Independence to escape tyranny and oppression.
[01:52:35.905 --> 01:52:38.468]  Today there is a need to reinforce that declaration.
[01:52:38.468 --> 01:52:44.954]  What can we do to protect our health as a nation and in our homes from those who wish to control the quality of our air and water?
[01:52:45.154 --> 01:52:52.519]  To find out, you need to visit www.airandaqua.com right now or call 612-767-2777.
[01:52:52.519 --> 01:52:56.242]  You will receive a free copy of our Constitution, a newsletter and bonus items.
[01:52:56.242 --> 01:52:57.843]  www.airandaqua.com.
[01:52:57.843 --> 01:52:59.984]  Purify your life today!
[01:52:59.984 --> 01:53:02.506]  Big Berkey water filters are in high demand.
[01:53:02.506 --> 01:53:04.347]  Storable foods are also in high demand.
[01:53:04.347 --> 01:53:09.411]  www.bigberkeywaterfilters.com has always kept our focus on the Berkey water filter products.
[01:53:09.591 --> 01:53:13.297]  But increasingly, our customers have been asking for storable foods.
[01:53:13.297 --> 01:53:20.527]  After months of research, BigBerkyWaterFilters.com now offers great tasting, long-lasting, storable foods.
[01:53:20.527 --> 01:53:24.113]  These ready-to-eat meals are packed in airtight nitrogen pouches.
[01:53:24.113 --> 01:53:25.435]  All you do is just add water.
[01:53:25.655 --> 01:53:29.557]  And because they're sealed so well, they come with a 25-year shelf life.
[01:53:29.557 --> 01:53:38.741]  Combine our Berkey water filters, which are powerful enough to purify treated, untreated, or even stagnant pond water with our storable foods, and you have a winning combination.
[01:53:38.741 --> 01:53:45.744]  Remember, we offer free shipping on every order over $50, and GCN listeners receive 5% off all ceramic filter systems.
[01:53:46.124 --> 01:53:52.510]  Visit BigBerkeyWaterFilters.com or call 877-99-BERKEY.
[01:53:52.510 --> 01:53:55.072]  That's BigBerkeyWaterFilters.com or call 877-99-BERKEY today!
[01:54:21.624 --> 01:54:23.769]  Okay, we've launched this Rick Perry video.
[01:54:23.769 --> 01:54:26.295]  It's gone up on Infowars.com.
[01:54:26.295 --> 01:54:28.199]  Rick Perry announces presidential run.
[01:54:30.171 --> 01:54:40.562]  Rob Jacobson who stayed up all night to finish the video wrote a little blurb, but I've got Kurt writing a blurb under it to explain why we're announcing for him.
[01:54:40.562 --> 01:54:45.987]  Because we've known for a year absolutely that he was going to do it.
[01:54:45.987 --> 01:54:51.112]  Texas Monthly reports they have sources that confirm he's been getting ready for it and plans to.
[01:54:51.112 --> 01:54:53.255]  And he's doing this whole reluctant hero thing.
[01:54:54.463 --> 01:54:58.467]  And so he's lied to people and said, I'm not going to run.
[01:54:58.467 --> 01:54:59.449]  I pledge.
[01:54:59.449 --> 01:55:00.830]  Now he's going to rethink his pledge.
[01:55:00.830 --> 01:55:03.393]  He was lying when he gave that pledge.
[01:55:03.393 --> 01:55:05.135]  He didn't rethink it.
[01:55:05.135 --> 01:55:06.396]  That's the key.
[01:55:06.396 --> 01:55:08.939]  And that's what Kurt Demme is going to add under the video.
[01:55:08.939 --> 01:55:10.380]  He lied.
[01:55:10.380 --> 01:55:13.344]  He was when he gave that pledge three or four months ago.
[01:55:13.344 --> 01:55:16.046]  And now the headlines Perry rethinking pledge.
[01:55:17.389 --> 01:55:17.449]  He
[01:55:35.430 --> 01:55:37.011]  Has announced for president.
[01:55:37.011 --> 01:55:39.051]  Because he was always intending to.
[01:55:39.051 --> 01:55:42.812]  And when he said, I pledge to not run, he was lying then.
[01:55:42.812 --> 01:55:45.873]  He didn't just reluctantly then start to change his mind.
[01:55:45.873 --> 01:55:46.914]  He's a deceiver.
[01:55:46.914 --> 01:55:50.455]  He was Al Gore's campaign chairman in Texas.
[01:55:50.455 --> 01:55:54.056]  He's for the NAFTA highways, the forced deadly inoculations.
[01:55:54.056 --> 01:56:00.118]  He covertly used Dewhurst, according to Senator Patrick, who said he witnessed it, to kill the bill.
[01:56:00.118 --> 01:56:01.958]  Then he wouldn't put it on special session.
[01:56:01.958 --> 01:56:03.619]  Then he lied and said he didn't have the votes.
[01:56:04.864 --> 01:56:05.164]  And so
[01:56:23.860 --> 01:56:26.462]  I mean, I'm basically just giving you in my mind why I did this.
[01:56:26.462 --> 01:56:30.125]  That's the big issue for me, is that we knew he was running.
[01:56:30.125 --> 01:56:37.592]  We had it from his security detail, Fox News exec, Fox News host, how it was going to be paling, the whole way this whole thing was planned.
[01:56:39.655 --> 01:56:46.677]  More info for more of the security detail in just the last few days from separate sources.
[01:56:46.677 --> 01:56:48.297]  He's got a big security detail.
[01:56:48.297 --> 01:56:53.218]  This is an open secret and he's going, oh I pledge I'm not gonna run in 2012.
[01:56:53.218 --> 01:56:54.918]  I pledge!
[01:56:54.918 --> 01:56:57.639]  Knowing the whole time he was.
[01:56:57.639 --> 01:57:00.660]  It was his plan to run for president back when
[01:57:04.619 --> 01:57:07.501]  I almost called him his White House name of Turd Blossom.
[01:57:07.501 --> 01:57:09.582]  Well, there I did.
[01:57:09.582 --> 01:57:18.667]  Karl Rove picked him, George Bush, and Senator Phil Graham, before he was a senator, picked them out of Texas politics and put them to where they are.
[01:57:18.667 --> 01:57:19.848]  It's always been his plan.
[01:57:19.848 --> 01:57:21.989]  He's got the pre-presidential book.
[01:57:21.989 --> 01:57:23.190]  He's got the tour.
[01:57:23.190 --> 01:57:25.211]  He lies and says we don't have the votes.
[01:57:25.931 --> 01:57:27.653]  I mean, this is incredible.
[01:57:27.653 --> 01:57:28.434]  This is incredible.
[01:57:28.434 --> 01:57:31.917]  He is a deceiver, and so Rick Perry's announced for president.
[01:57:31.917 --> 01:57:33.679]  He's announced by all of his actions.
[01:57:33.679 --> 01:57:35.261]  He always planned to.
[01:57:35.261 --> 01:57:40.226]  So that's why we gave it that headline, so it gets the maximum attention, so we can expose who this Trojan horse is.
[01:57:40.226 --> 01:57:48.374]  We're going to go out to break with the end of the special report, and we'll come back with a third hour with Webster Tarpley, and then we're also going to have Gerald Cilente on.
[01:57:48.374 --> 01:57:48.654]  Here it is.
[01:57:49.475 --> 01:57:59.565]  He knows damn well it passed unanimously in the House, and the sponsor of the bill says they've got the votes to ram the sucker through, and they've got all the votes on record.
[01:57:59.565 --> 01:58:01.006]  He's counting on your ignorance.
[01:58:01.006 --> 01:58:06.031]  He's counting on you to buy into the packaging of a Texan and of a patriot.
[01:58:07.418 --> 01:58:15.206]  When all Rick Perry will do is give Texas and America a bad name, and he'll betray you just like George W. Bush and Barack H. Obama.
[01:58:15.206 --> 01:58:22.934]  And he'll ensure that somebody like Ron Paul, who doesn't have the fancy hair of Rick Perry, but has the Constitutionalist record, is defeated.
[01:58:24.167 --> 01:58:31.269]  If you so-called rhino conservatives buy into Rick Perry, you get what you deserve, just like you Obamanoid idiots.
[01:58:31.269 --> 01:58:32.850]  So there you have it.
[01:58:32.850 --> 01:58:35.531]  Rick Perry has announced he's running for president.
