[00:00:26.035 --> 00:00:32.323]  Good evening and welcome to the Monday, October 17, 2011 edition of InfoWars Nightly News.
[00:53:52.767 --> 00:53:56.530]  By the way, fish are dying in the bay, which doesn't normally have red tide.
[00:53:57.230 --> 00:53:59.932]  Red tide, red tide, my behind.
[00:54:00.692 --> 00:54:02.454]  There is some brown tide out there.
[00:54:02.514 --> 00:54:03.294]  Look at the dead fish.
[00:54:03.334 --> 00:54:04.115]  Good Lord, Richard.
[00:54:05.097 --> 00:54:06.298]  I bet that smells really good.
[00:54:06.318 --> 00:54:07.899]  That's my luck.
[00:54:07.939 --> 00:54:13.583]  I take the family on a four-day working vacation down to the Texas coast and there's just millions of dead fish everywhere.
[00:54:15.244 --> 00:54:16.285]  Those aren't dead fish.
[00:54:16.965 --> 00:54:18.366]  They love the government.
[00:54:19.507 --> 00:54:20.748]  I'm a conspiracy theorist.
[00:54:20.788 --> 00:54:21.949]  I'm a slave that even
[00:54:22.709 --> 00:54:24.770]  Even being able to talk is now a conspiracy theory.
[00:54:25.370 --> 00:54:26.370]  You don't like tyranny?
[00:54:26.390 --> 00:54:27.491]  You're a conspiracy theorist.
[00:54:28.091 --> 00:54:29.591]  All right, Aaron, I've been ranting here.
[00:54:29.651 --> 00:54:31.832]  I just want to say there's a lot of lovely things in life.
[00:54:32.312 --> 00:54:33.573]  I love the wonderment of life.
[00:54:33.633 --> 00:54:34.613]  I love the beauty of life.
[00:54:35.133 --> 00:54:36.874]  And good people can stand up to this.
[00:54:36.914 --> 00:54:42.736]  But I get a little bit cynical sometimes with satire, just to illustrate how much we've put up with, how much bull.
[00:54:42.836 --> 00:54:49.838]  I mean, they're doing giant geoengineering, spraying barium salts, aluminum dioxide, and radioactive isotopes on the public.
[00:54:50.638 --> 00:54:53.521]  I told people for years they're putting radioactive isotopes in the water.
[00:54:53.581 --> 00:54:56.643]  Now it's on the news, but they say we don't know where it's coming from.
[00:54:56.703 --> 00:54:57.925]  It's in the damn fluoride.
[00:54:58.345 --> 00:55:06.912]  I mean, all of this is happening, and I just wanted to say thank you to the crew, our sponsors, who are the listeners and subscribers to PrisonPlanet.tv.
[00:55:06.952 --> 00:55:08.774]  But they're basically ranted and raved.
[00:55:09.114 --> 00:55:10.696]  America's giving in to total fear.
[00:55:11.236 --> 00:55:13.878]  The Mexican cartels working for the Mexican government are
[00:55:15.860 --> 00:55:17.842]  Conscripting the public to work for them.
[00:55:17.902 --> 00:55:20.024]  If you don't agree to work for them, they're killing them.
[00:55:20.264 --> 00:55:21.666]  They're now trying to conscript U.S.
[00:55:21.686 --> 00:55:22.186]  citizens.
[00:55:22.787 --> 00:55:23.587]  That's in the news.
[00:55:23.687 --> 00:55:25.429]  Fox News, AP, all over Texas.
[00:55:25.729 --> 00:55:31.455]  They're conscripting the young school children now to rob and steal and extort and kidnap and it's all exploding.
[00:55:31.755 --> 00:55:34.177]  Just all the wonderful fruits of globalism.
[00:55:34.477 --> 00:55:36.279]  All the wonderful fruits of New World Order.
[00:55:36.559 --> 00:55:38.801]  All the wonderful fruits of drug prohibition.
[00:55:39.062 --> 00:55:40.203]  All the wonderful fruits
[00:55:40.663 --> 00:55:48.626]  of getting rid of the Constitution and ushering in a bunch of high-tech criminals swaggering around on top of us, destroying our entire future.
[00:55:49.466 --> 00:55:50.186]  I've got to go, though.
[00:55:50.206 --> 00:55:59.049]  I've got to go wait around in the toxic red tide, and I'm going to fill out some forms while I'm here to make sure the private Federal Reserve gets all the stupid tax money.
[00:56:00.389 --> 00:56:04.671]  So donate to us even more, buy our books and videos, because we try to fly above
[00:56:05.211 --> 00:56:10.254]  The radar, in the radar, so they can't destroy us for whatever reason, and we're trying to expand this operation.
[00:56:10.574 --> 00:56:12.095]  And Aaron is just letting me rant here.
[00:56:12.115 --> 00:56:14.276]  Aaron, what do you think of this information?
[00:56:14.716 --> 00:56:20.920]  Yeah, it sounds like you're deep in the trenches as usual, and I wish the public would listen too, but it's like you said, they wait for the headline.
[00:56:21.718 --> 00:56:23.479]  Hey, you know, sir, there's a red tide out there.
[00:56:23.499 --> 00:56:24.559]  It's really dangerous.
[00:56:24.619 --> 00:56:25.459]  My eyes are burning.
[00:56:25.499 --> 00:56:26.200]  People can't breathe.
[00:56:26.240 --> 00:56:26.780]  I looked it up.
[00:56:26.840 --> 00:56:29.201]  It's a neurotoxin, like cobra poison.
[00:56:29.601 --> 00:56:30.181]  It's in the air.
[00:56:30.221 --> 00:56:31.162]  There's fish dead everywhere.
[00:56:31.802 --> 00:56:32.382]  Get inside!
[00:56:32.402 --> 00:56:36.404]  And they're just like... And then I went in the hotel and watched them running back in.
[00:56:36.424 --> 00:56:37.764]  Five minutes later, couldn't breathe.
[00:56:39.265 --> 00:56:39.785]  Look at this.
[00:56:40.265 --> 00:56:42.026]  He just paused it on the fish thing.
[00:56:42.226 --> 00:56:47.348]  What do you think of this phenomenon, this psychological phenomenon, that when a fellow slave warns you
[00:56:48.448 --> 00:56:50.091]  It's an attribute to not listen to them.
[00:56:50.371 --> 00:56:59.124]  But when some pot-bellied criminal like Janet the Troll Napolitano tells you something, you grovel in fear and hide under your bed at night from the evil Iranians.
[00:56:59.144 --> 00:57:00.627]  I mean, why do you think that is?
[00:57:01.007 --> 00:57:02.690]  Yeah, because we've been dehumanized, Alex.
[00:57:05.385 --> 00:57:05.866]  Exactly!
[00:57:05.906 --> 00:57:10.910]  We see a fellow human killed and it's kind of fun, but then we see the Marines kill a puppy and that can't be a real puppy.
[00:57:11.531 --> 00:57:12.932]  Arrest those Marines if it is.
[00:57:13.032 --> 00:57:14.533]  Execute them, you know, the media said.
[00:57:14.894 --> 00:57:17.116]  Because we haven't been taught to hate a puppy.
[00:57:17.136 --> 00:57:20.118]  We've been taught to hate each other and not to have value in each other.
[00:57:20.298 --> 00:57:25.703]  We've got to start, that's what the telescreens in Walmart and other locations are, saying don't trust anyone but Janet Napolitano.
[00:57:25.903 --> 00:57:26.864]  Don't trust your neighbors.
[00:57:26.884 --> 00:57:27.585]  Terrorists are everywhere.
[00:57:27.825 --> 00:57:31.327]  Only government supports you, because they are the terrorists shipping in the drugs.
[00:57:31.587 --> 00:57:32.548]  They are the criminals.
[00:57:32.588 --> 00:57:37.091]  They are the dog trainers trying to break our will, train us to stick their hands down our pants.
[00:57:37.451 --> 00:57:42.074]  I mean, imagine handing our kids over for the high priest of pot-bellied government to molest them.
[00:57:42.314 --> 00:57:46.136]  This is the ridiculous wages of the filth they spew down our throats.
[00:57:48.078 --> 00:57:54.722]  Yeah, and they leave the borders wide open, but you have to be supplicated to their harassing questions a hundred miles in, as you know.
[00:57:56.097 --> 00:58:04.343]  There's helicopters attacking, fires, rocket attacks, reporters hanging dead from bridges, miles from where I'm at, bedlam, dead bodies everywhere.
[00:58:05.344 --> 00:58:09.707]  They have helicopter attacks a couple hundred yards from a football stadium with a game going.
[00:58:09.927 --> 00:58:13.349]  The cops won't even let their kids go to public school inside Texas now.
[00:58:13.990 --> 00:58:19.614]  But the cops keep quiet and send everybody else's kids because they need to pull the parents over as they drive them to school for money.
[00:58:20.683 --> 00:58:23.006]  I mean, it's gotten to just pure parasite world.
[00:58:23.606 --> 00:58:25.889]  And of course the cops pull over a nice looking family.
[00:58:26.049 --> 00:58:28.011]  They're not scared of them.
[00:58:29.213 --> 00:58:36.361]  But they bow and literally grovel like a dog on their back, showing their belly to the loving Mexican cartels, their bosses.
[00:58:37.819 --> 00:58:38.640]  Outrageous, Alex.
[00:58:39.140 --> 00:58:40.061]  Well, thanks for joining us.
[00:58:40.081 --> 00:58:42.202]  I mean, I've had all these Mexican nationals come up to me.
[00:58:42.823 --> 00:58:49.368]  Because the wealthy and middle class Mexicans are all running up here to get away from just the total shakedowns and crime down there.
[00:58:49.388 --> 00:58:50.549]  And they're like, it's coming here.
[00:58:50.829 --> 00:58:52.150]  Now it's happening here, Alex.
[00:58:52.671 --> 00:58:54.072]  You're so brave to speak out.
[00:58:54.132 --> 00:58:54.832]  How do you do it?
[00:58:55.133 --> 00:58:58.015]  Because once we all just roll over to these people, we lose.
[00:58:58.395 --> 00:59:01.498]  A nation of cowards will be ruled by a nation of wolves.
[00:59:01.798 --> 00:59:03.799]  And I'm not putting up with it anymore, Aaron.
[00:59:04.180 --> 00:59:06.662]  We've got to get crazed for liberty today.
[00:59:07.605 --> 00:59:13.586]  Hey, I tell you this too, I've seen those border checkpoints for years and years where they ask you how many people's in the car and if you're hiding people.
[00:59:13.666 --> 00:59:17.927]  I was down near the border a couple weeks ago too and now they do it at state parks right here in Austin.
[00:59:19.167 --> 00:59:20.567]  I mean, it's just everything has to expand.
[00:59:20.587 --> 00:59:21.787]  At state parks in Austin, what happened?
[00:59:21.867 --> 00:59:23.628]  Yeah, they asked if you're hiding someone in the car.
[00:59:23.688 --> 00:59:25.108]  Is this all that's in the car?
[00:59:25.128 --> 00:59:26.548]  Is anyone else hiding in here?
[00:59:26.568 --> 00:59:27.588]  Hmm.
[00:59:28.069 --> 00:59:28.529]  Outrageous.
[00:59:28.789 --> 00:59:29.129]  No, no.
[00:59:29.169 --> 00:59:34.810]  I mean, that's like when I flew to San Francisco to infiltrate the bohemian grove again and give that speech.
[00:59:37.714 --> 00:59:38.615]  You went with me, didn't you?
[00:59:38.756 --> 00:59:39.537]  Yeah, that's right.
[00:59:40.399 --> 00:59:41.601]  Yeah, it all becomes a blur.
[00:59:41.641 --> 00:59:42.483]  Yeah, you remember.
[00:59:42.943 --> 00:59:44.526]  I mean, it's like our plane's delayed.
[00:59:44.607 --> 00:59:45.769]  It gets in at like midnight.
[00:59:46.270 --> 00:59:46.510]  It's like 1130.
[00:59:47.071 --> 00:59:49.115]  I'm there at the rental car place.
[00:59:50.424 --> 00:59:52.987]  And it's this little, you know, 20-year-old blonde number.
[00:59:53.007 --> 00:59:57.612]  And I watch her with, like, 10 people in front of me going, where are you going?
[00:59:57.632 --> 00:59:58.473]  What you doing?
[00:59:58.493 --> 00:59:59.274]  Who you visiting?
[00:59:59.654 --> 01:00:04.039]  And people are like, I'm here to visit my mother, or I'm here to sell, you know, painting supplies.
[01:00:04.380 --> 01:00:04.700]  Oh, really?
[01:00:04.720 --> 01:00:05.201]  What kind of paints?
[01:00:05.221 --> 01:00:05.901]  What company do you work for?
[01:00:05.922 --> 01:00:07.503]  And she's, like, putting it all in a database.
[01:00:07.904 --> 01:00:09.706]  And I get up to her and I go, you're a spy for the government.
[01:00:10.959 --> 01:00:12.822]  I said, I mean, who watches the government?
[01:00:12.862 --> 01:00:18.210]  I said, you're putting us through a behavioral thing, and I guess this rental car place is selling it.
[01:00:18.851 --> 01:00:24.219]  And I give her my address, which is the one on my driver's license, and she laughs at me and pulls up my real address.
[01:00:26.631 --> 01:00:31.833]  And she was on such a power trip, and I'm like, don't you get it, you stupid little hussy?
[01:00:32.693 --> 01:00:37.735]  This is all going to be used on you, this petty power you've been given, this whole secret police grid.
[01:00:38.515 --> 01:00:44.097]  And so now you go to city parks or state parks, is anyone else in the vehicle?
[01:00:44.337 --> 01:00:46.458]  Like we're all criminals randomly.
[01:00:46.898 --> 01:00:53.041]  And that's what this is about, guilty until proven innocent, random cops coming over to us while the government ships in the narcotics.
[01:00:53.621 --> 01:00:54.863]  What, you tried to go to a park?
[01:00:54.903 --> 01:00:55.584]  Where did this happen?
[01:00:55.624 --> 01:00:59.969]  Yeah, this was right here outside of Austin, McKinney Falls, and they demanded my zip code too.
[01:00:59.990 --> 01:01:03.574]  I didn't give it to them, but they were databasing there as well.
[01:01:04.195 --> 01:01:06.598]  Okay, I want you to go out there for a report tomorrow.
[01:01:07.748 --> 01:01:13.070]  I want you to get saddled up, and I want you to go over there with, you know, the little nice Zoom camera.
[01:01:13.091 --> 01:01:14.911]  We've got to buy another one of those, by the way.
[01:01:14.951 --> 01:01:18.213]  The one I have got rained on at the end of the Fed thing, and it's now not working properly.
[01:01:19.033 --> 01:01:20.534]  It causes us big problems down here.
[01:01:20.594 --> 01:01:23.795]  But I want you to go over there and show that.
[01:01:24.236 --> 01:01:27.297]  And I want you to pull up and have it running in your lap recording.
[01:01:27.317 --> 01:01:28.157]  When they start asking you to say,
[01:01:29.398 --> 01:01:30.818]  What is this, the airport, too?
[01:01:31.639 --> 01:01:36.020]  Not only do you want my money, but now you want to ask, is anyone else hiding in the car?
[01:01:36.060 --> 01:01:38.080]  Is anyone else hiding in your room?
[01:01:38.800 --> 01:01:40.881]  It's a psychological thing that you're a criminal.
[01:01:41.161 --> 01:01:41.781]  You're bad.
[01:01:41.961 --> 01:01:42.761]  The state's good.
[01:01:42.941 --> 01:01:43.622]  It's the government.
[01:01:43.822 --> 01:01:44.382]  It loves you.
[01:01:44.522 --> 01:01:46.702]  It wants to ship narcotics in and sell them to your kids.
[01:01:46.902 --> 01:01:48.563]  It wants to stick its hands down your pants.
[01:01:48.743 --> 01:01:49.683]  It wants to boss you.
[01:01:49.843 --> 01:01:50.983]  It wants to break your will.
[01:01:51.023 --> 01:01:54.664]  I mean, everywhere, these ninnying people are making me want to throw up.
[01:01:55.424 --> 01:01:55.644]  Yeah.
[01:01:56.485 --> 01:01:57.365]  Howdy, power trips.
[01:01:57.952 --> 01:01:58.713]  I'm sick of it!
[01:01:58.813 --> 01:01:59.553]  I'm sick of it!
[01:01:59.593 --> 01:02:00.274]  I'm sick of it!
[01:02:00.314 --> 01:02:01.775]  I'm sick of being treated like a slave!
[01:02:02.036 --> 01:02:02.876]  Folks, don't you get it?
[01:02:02.896 --> 01:02:04.598]  The order's gone out to break our will.
[01:02:04.898 --> 01:02:07.841]  So what did you say when they were like, is there someone else hiding in there?
[01:02:08.942 --> 01:02:11.484]  What did you... I'm trying to go to a stinking park over there!
[01:02:11.504 --> 01:02:12.845]  I'm taking my kids there!
[01:02:13.125 --> 01:02:18.310]  Can't I go anywhere without being harassed by you control freak jackasses looking to run somebody's life?
[01:02:18.550 --> 01:02:21.232]  Yeah, meanwhile the pools and the waterfalls are covered in trash.
[01:02:21.252 --> 01:02:22.313]  They can't even keep it picked up.
[01:02:22.914 --> 01:02:23.094]  Yeah.
[01:02:23.534 --> 01:02:25.456]  I don't know what you do with these petty power tripping people.
[01:02:27.199 --> 01:02:29.261]  Well, you know, it flooded recently after the drought.
[01:02:29.281 --> 01:02:30.742]  That's why all the trash went in there.
[01:02:31.723 --> 01:02:32.964]  Down in, what is that, Onion Creek?
[01:02:33.344 --> 01:02:33.504]  Yeah.
[01:02:33.524 --> 01:02:37.047]  You know, that's one of the, that's a volcano, Cinder Cone, over there.
[01:02:37.067 --> 01:02:37.767]  Did you get to that part?
[01:02:38.748 --> 01:02:39.629]  We were in the area, yeah.
[01:02:40.831 --> 01:02:41.411]  Well, you'll know.
[01:02:41.471 --> 01:02:43.433]  It looks like Planet of the Apes when you get in the right area.
[01:02:44.133 --> 01:02:46.195]  But see, you've got to pass through a little gatekeeper.
[01:02:46.495 --> 01:02:47.496]  Hello.
[01:02:48.016 --> 01:02:49.998]  Here in Austin, you can't build on your own property.
[01:02:50.278 --> 01:02:51.138]  We're taking over.
[01:02:51.158 --> 01:02:54.861]  You know that toilet, that Curly Q light bulb, and that dishwasher that doesn't work?
[01:02:55.161 --> 01:02:57.703]  That's only the beginning of your home inspection, slave.
[01:02:58.544 --> 01:02:59.784]  Who else is in the vehicle?
[01:02:59.804 --> 01:03:05.368]  I mean, your little bitty truck that obviously can't hide anybody and doesn't even have tinted windows?
[01:03:06.542 --> 01:03:10.284]  I would say to him, so that's supposed to make me feel like I'm guilty and I've done something wrong?
[01:03:10.344 --> 01:03:11.584]  Why would you say something like that?
[01:03:12.064 --> 01:03:13.305]  Why would you treat me like that?
[01:03:13.805 --> 01:03:16.046]  Why do you think your bosses have told you to treat me like that?
[01:03:16.306 --> 01:03:17.586]  Tell me what happened when you went over there.
[01:03:18.067 --> 01:03:20.928]  Yeah, well, when I first pulled up, they demanded zip code.
[01:03:21.668 --> 01:03:23.069]  And I said, no, I'm not giving you zip code.
[01:03:23.249 --> 01:03:25.710]  Anywhere you go to buy anything now, zip code.
[01:03:26.758 --> 01:03:32.420]  Yeah, it was just like that, and then... Let's get ready to swipe some deal in the future for Herman Cain's new sales tax.
[01:03:32.440 --> 01:03:33.361]  Go ahead, what came next?
[01:03:33.741 --> 01:03:40.964]  Yeah, and then the questions about, is there anyone else hiding in the car so they can collect their little five dollars to go in the park, per person, per head.
[01:03:42.044 --> 01:03:51.628]  And yeah, and once I was kind of a... Yeah, I was a little smart with them, didn't answer her questions, and then she started talking to me like I was literally a child, as I've seen repeatedly.
[01:03:52.909 --> 01:03:54.950]  I would say, why are you talking to me like I'm a child?
[01:03:55.070 --> 01:03:55.690]  Mm-hmm, yeah.
[01:03:57.981 --> 01:03:59.062]  But it's everywhere.
[01:03:59.142 --> 01:04:00.082]  It's corporations.
[01:04:00.282 --> 01:04:01.863]  They're there to make you feel like dirt.
[01:04:03.344 --> 01:04:04.865]  People gotta stop putting up with it.
[01:04:04.885 --> 01:04:06.887]  I watch people sheepishly go through it now.
[01:04:07.147 --> 01:04:14.891]  And you just hand your baby... I've seen them take a baby and pull the diaper off and some fat man's going... I mean, this is America.
[01:04:15.992 --> 01:04:19.114]  Now, McKinney Falls, that's a city park, isn't it?
[01:04:19.835 --> 01:04:20.875]  That's a state park, Alex.
[01:04:22.716 --> 01:04:23.377]  God help us.
[01:04:23.417 --> 01:04:24.517]  This country's so blown.
[01:04:25.652 --> 01:04:27.813]  And you know, you know who's going to be their army.
[01:04:27.873 --> 01:04:34.076]  This whole Occupy Wall Street, the leadership of it is just going to, if they take over, it's a ball stick revolution.
[01:04:34.096 --> 01:04:41.961]  They'll be in uniforms with their machine guns, just stomping our guts out, just reveling in it, just because they won't build anything.
[01:04:42.001 --> 01:04:42.621]  They won't do anything.
[01:04:42.641 --> 01:04:46.643]  They're the children of burnout, hippie yuppies, and they just love it.
[01:04:46.663 --> 01:04:52.706]  I mean, I've seen the cycle of this in every civilization, but thank God for the founders and the fact that they armed us against this scum.
[01:04:52.726 --> 01:04:53.927]  Hmm.
[01:04:56.806 --> 01:05:00.027]  All right, well, I said I'd just do 10 minutes because I'm in a hurry, but I guess I didn't, Aaron.
[01:05:00.588 --> 01:05:01.928]  What have I done, like 40 minutes here now?
[01:05:02.148 --> 01:05:05.089]  Yeah, I think half an hour or so, but it's interesting, of course.
[01:05:06.910 --> 01:05:09.811]  Well, I guess that's it for InfoWars Nightly News.
[01:05:09.951 --> 01:05:12.172]  Aaron, you want me to take everybody out for the show here?
[01:05:12.612 --> 01:05:13.813]  Yep, let's do it.
[01:05:15.441 --> 01:05:22.742]  Ladies and gentlemen, that's it for this edition, October 17th, 2011, Monday edition of InfoWars Nightly News.
[01:05:23.222 --> 01:05:24.303]  We are the resistance.
[01:05:24.503 --> 01:05:25.583]  You are the resistance.
[01:05:25.623 --> 01:05:29.123]  If you're hearing and seeing me right now, you are our only hope.
[01:05:29.283 --> 01:05:30.024]  Look in the mirror.
[01:05:30.144 --> 01:05:33.784]  Classical, hardcore, stinking tyranny is on us.
[01:05:34.544 --> 01:05:43.206]  It is attempting to break our will and totally complete our journey into abject slavery for your own life, for your children's life, for common decency.
[01:05:43.886 --> 01:05:50.990]  Realize resisting this scum is the only way to go, and supporting outlets that expose this scum is the only way to go.
[01:05:51.451 --> 01:06:00.596]  If you are not a subscriber to PrisonPlanet.TV, please become one today and spread the word about InfoWars.com and the radio show and all we do.
[01:06:00.896 --> 01:06:02.257]  We are exponentially growing.
[01:06:02.357 --> 01:06:04.318]  Our growth curve is stratospheric.
[01:06:04.779 --> 01:06:06.680]  The problem is the globalists have seen this.
[01:06:06.700 --> 01:06:09.281]  They're trying to begin to curtail alternative media.
[01:06:09.562 --> 01:06:13.104]  We've got to hit escape velocity and get into orbit so we can
[01:06:13.504 --> 01:06:15.746]  Continue to go after the globalists in the Infowar.
[01:06:16.026 --> 01:06:17.487]  That's my analogy for the evening.
[01:06:17.787 --> 01:06:20.409]  Help us, support us, spread the word about what we're doing.
[01:06:20.809 --> 01:06:24.511]  Twitter, Facebook, all of it, and purchase the books, DVDs, and more.
[01:06:25.012 --> 01:06:28.414]  Signing off for the Infowars crew and Aaron Dykes, I'm Alex Jones.
[01:06:28.454 --> 01:06:29.415]  God bless you all.
