[00:00:00.209 --> 00:00:01.469]  You've got it, brother.
[00:51:04.182 --> 00:51:07.805]  This is Ron Paul in the last debate being asked, who's your running mate going to be?
[00:51:07.805 --> 00:51:11.068]  And Ron Paul says, well, I am now in the polls number three.
[00:51:11.068 --> 00:51:14.211]  So as soon as I'm number one or number two, I'll announce who my running mate will be.
[00:51:14.211 --> 00:51:15.032]  Think about it.
[00:51:15.032 --> 00:51:21.598]  The establishment will not report that in all the scientific polls, he's number one, number two, or number three.
[00:51:21.598 --> 00:51:24.100]  And Paul just says, I'm number three.
[00:51:24.100 --> 00:51:28.004]  And you're being told by talk show hosts, local and national, he cannot win.
[00:51:29.144 --> 00:51:37.849]  And they get frustrated with all the Ron Paul supporters calling in like you're a kook or you're some minority.
[00:51:37.849 --> 00:51:43.112]  All we've got to do is expose Rick Perry and Mitt Romney's real record and it's over for them.
[00:51:43.112 --> 00:51:49.775]  We've got three and a half good months ahead of the beginning of the caucuses and primaries in Iowa, Florida, New Hampshire.
[00:51:49.775 --> 00:51:51.616]  We can put Ron Paul in there.
[00:51:51.616 --> 00:51:56.639]  He is exponentially growing and he's broken through the first few hoaxes that he can't win.
[00:51:57.745 --> 00:52:05.688]  In fact, I told you that Rick Perry's poll numbers would start dropping before he'd even announced he was number one.
[00:52:05.688 --> 00:52:08.909]  Now he's following number two, number three, or number four in every poll.
[00:52:08.909 --> 00:52:16.733]  Here's Time Magazine out this week, the rise of Rick Perry, and trying to prop him up, trying to say he's the man.
[00:52:16.733 --> 00:52:18.773]  And what does it say in here on the first page?
[00:52:18.773 --> 00:52:20.634]  Give me a document cam shot for viewers.
[00:52:20.634 --> 00:52:27.097]  It says, if he can deal with the Tea Party, if he can win them over because they don't think he's real,
[00:52:28.055 --> 00:52:31.278]  He can win.
[00:52:31.278 --> 00:52:31.639]  You see?
[00:52:31.639 --> 00:52:36.884]  He's got to become Ron Paul to win.
[00:52:36.884 --> 00:52:40.747]  Aggie yell leader, that means cheerleader, Texas governor, one-time Democrat.
[00:52:40.747 --> 00:52:44.831]  Since launching his campaign for president, Rick Perry has turned the Republican Party upside down.
[00:52:44.831 --> 00:52:49.075]  Can he win over the Tea Party without making independent voters cringe?
[00:52:49.075 --> 00:52:50.417]  As if the Tea Party's unpopular.
[00:52:51.564 --> 00:52:56.526]  The ideas of liberty and freedom and Second Amendment and private property rights, those are extremely popular ideas.
[00:52:56.526 --> 00:53:00.087]  But the controlled media says, oh, you're white if you're in the Tea Party.
[00:53:00.087 --> 00:53:04.788]  Automatically trying to say if you're black or Hispanic or Asian, you can't be for freedom.
[00:53:04.788 --> 00:53:07.109]  It's always about dividing everybody.
[00:53:07.109 --> 00:53:08.229]  So here's Rick Perry.
[00:53:08.229 --> 00:53:11.490]  Now, what's happened to Rick Perry?
[00:53:11.490 --> 00:53:12.551]  I'll show you this article.
[00:53:12.551 --> 00:53:15.212]  Herman Cain wins Florida straw poll in stunning victory.
[00:53:15.212 --> 00:53:16.412]  Rick Perry in deep trouble.
[00:53:18.254 --> 00:53:26.039]  You know, as slick-talking as Allen West is, you notice he went ahead and voted for the spending increase, even though he promised he wouldn't.
[00:53:26.039 --> 00:53:27.941]  Same thing with Herman Cain.
[00:53:27.941 --> 00:53:37.568]  Pro-Patriot Act, formerly worked for the Federal Reserve, pro-torture, pro-national sales tax, and by the way, now he's announced they're going to keep the income tax as well.
[00:53:38.336 --> 00:53:44.261]  It was always the plan to bring in a sales tax or a consumption tax, a VAT tax.
[00:53:44.261 --> 00:53:45.421]  That's what the big central banks want.
[00:53:45.421 --> 00:53:46.762]  They're not going to get rid of the income tax.
[00:53:46.762 --> 00:53:47.983]  They're going to change the name of it.
[00:53:47.983 --> 00:53:50.145]  You're not going to get rid of the income tax and get a sales tax.
[00:53:50.145 --> 00:53:51.426]  You're going to get both.
[00:53:51.426 --> 00:53:53.468]  And I told you that 15 years ago.
[00:53:53.468 --> 00:53:55.209]  It's always been the central bank's plan.
[00:53:55.209 --> 00:53:58.511]  It's what they're demanding right now in Europe.
[00:53:58.511 --> 00:54:00.433]  But again, why did folks vote for Herman Cain?
[00:54:00.433 --> 00:54:04.316]  He spent the last two years there before he even announced his campaign, basically campaigning there.
[00:54:05.287 --> 00:54:09.570]  So he won, Rick Perry didn't win, and what do they say?
[00:54:09.570 --> 00:54:12.171]  Herman Cain wins Florida straw poll in stunning victory.
[00:54:12.171 --> 00:54:16.174]  Rick Perry in deep trouble.
[00:54:16.174 --> 00:54:17.815]  And I agree with the Miami Herald.
[00:54:17.815 --> 00:54:24.899]  His poll numbers are plunging.
[00:54:24.899 --> 00:54:27.160]  His poll numbers are plunging.
[00:54:27.160 --> 00:54:30.602]  What, Rick Perry got 14% Ron Paul right behind him.
[00:54:30.602 --> 00:54:31.523]  And that's in Florida.
[00:54:34.167 --> 00:54:44.614]  So again, who can beat Barack Obama in all the major polls in a head-to-head race?
[00:54:44.614 --> 00:54:46.095]  Ron Paul.
[00:54:46.095 --> 00:54:59.284]  Who is undisputedly in third place with the establishment, Democrat, Republican, across the board, telling you he can't win and scared to death of him, and when he does win polls, dragging it off the NBC or Fox websites?
[00:55:00.782 --> 00:55:01.663]  Ron Paul.
[00:55:01.663 --> 00:55:03.485]  That's who they're scared of.
[00:55:03.485 --> 00:55:08.571]  Oh, by the way, I thought I would mention this.
[00:55:08.571 --> 00:55:11.694]  Rick Perry literally gets up there as 10 years as governor.
[00:55:11.694 --> 00:55:19.482]  He doubled the size of the state budget, doubled taxes, brought in three new taxes, the franchise tax and others that are really an income tax on businesses.
[00:55:20.498 --> 00:55:28.262]  Rick Perry, who tried to hand 8,000 miles of roads over to foreign companies and grab hundreds of thousands, if not millions of acres in eminent domain.
[00:55:28.262 --> 00:55:31.204]  A guy that's for forced inoculations, on and on and on.
[00:55:31.204 --> 00:55:41.489]  While he was governor and made cities sanctuary cities and in-state tuition and all the rest of it, he said, well, it'd be downright mean in the debate to not give illegals in-state tuition.
[00:55:41.489 --> 00:55:44.510]  Really, somebody from Oklahoma doesn't get that coming to Texas.
[00:55:44.510 --> 00:55:49.513]  You know, if you go to Mexico, you don't get in-state tuition.
[00:55:50.976 --> 00:55:53.800]  If you're an illegal or an immigrant, you get arrested.
[00:55:53.800 --> 00:55:57.365]  Mexico has some of the most draconian immigration laws in the world, but that's okay.
[00:55:57.365 --> 00:55:59.628]  We're just supposed to have bleeding hearts here and have open borders.
[00:56:01.274 --> 00:56:03.116]  By the way, I want Mexico to have freedom.
[00:56:03.116 --> 00:56:08.061]  I don't want the UN down there forcing the people off their land up to Mexico City and then north.
[00:56:08.061 --> 00:56:10.723]  The point is it's all globalism and the globalists are for it.
[00:56:10.723 --> 00:56:22.755]  But 81% of the jobs were immigrants and 95% of those, this is Wall Street Journal, Daily Mail, you name it, 93% of those weren't even legal.
[00:56:24.928 --> 00:56:29.589]  80 plus percent were immigrants and 90 plus percent were illegals.
[00:56:29.589 --> 00:56:38.732]  That's the new jobs in Texas because Rick Perry made it the biggest sanctuary state in the country after California.
[00:56:38.732 --> 00:56:43.494]  Vicente Fox came here six years ago and gave him awards that I bullhorned.
[00:56:43.494 --> 00:56:45.354]  I shut down their speech at the governor's mansion.
[00:56:45.354 --> 00:56:46.294]  It's on video.
[00:56:46.294 --> 00:56:46.795]  It's online.
[00:56:46.795 --> 00:56:48.355]  Just type in Battle for the Republic.
[00:56:48.355 --> 00:56:49.796]  That's the name of the documentary.
[00:56:49.796 --> 00:56:50.496]  It's in there.
[00:56:50.496 --> 00:56:50.836]  Online.
[00:56:50.836 --> 00:56:51.176]  YouTube.
[00:56:52.794 --> 00:56:57.681]  I bullhorned him, and I always get emails going, show me where Rick Perry got awards from Vicente Fox.
[00:56:57.681 --> 00:57:01.867]  And I send people out the email, or I send them the video.
[00:57:01.867 --> 00:57:03.949]  Yes, yes, yes, here it is.
[00:57:03.949 --> 00:57:07.094]  Immigrants take most jobs in Texas as Americans fill only 20%.
[00:57:09.534 --> 00:57:09.874]  I don't know.
[00:57:25.655 --> 00:57:28.356]  93% of the 81% of jobs are illegal aliens.
[00:57:28.356 --> 00:57:30.257]  That's who Rick Perry is!
[00:57:30.257 --> 00:57:32.018]  Carbon taxes!
[00:57:32.018 --> 00:57:33.499]  Hillary care!
[00:57:33.499 --> 00:57:35.360]  Same thing with Mitt Romney!
[00:57:35.360 --> 00:57:40.803]  And you idiot Republicans love getting up there on the radio and supporting it.
[00:57:40.803 --> 00:57:42.584]  And you're gonna get what you deserve!
[00:57:42.584 --> 00:57:45.606]  A bankrupt, imploded, police state America!
[00:57:45.606 --> 00:57:48.148]  You're just as idiots as the Obama supporters!
[00:57:48.148 --> 00:57:48.668]  You're idiots!
[00:57:50.455 --> 00:57:52.036]  Hello friends, Alex Jones here.
[00:57:52.036 --> 00:57:55.479]  You all know I've worked for years with Steve Shank and eFoods Direct.
[00:57:55.479 --> 00:57:58.061]  I have eFoods for my own emergency food supply.
[00:57:58.061 --> 00:58:01.123]  You know Steve, life is different now for all of us, isn't it?
[00:58:01.123 --> 00:58:01.923]  Very different.
[00:58:01.923 --> 00:58:05.426]  People are using this great food to survive the present hurricane season.
[00:58:05.726 --> 00:58:11.871]  And we've already had $40 billion worth of damage from floods, storms, quakes, and droughts.
[00:58:11.871 --> 00:58:14.113]  And that's just the first eight months of this year.
[00:58:14.113 --> 00:58:18.216]  Natural disasters are newsworthy, but only touch a few of us Americans.
[00:58:18.216 --> 00:58:21.879]  The huge issue of the Greatest Depression is on everyone's mind.
[00:58:21.879 --> 00:58:28.245]  The unemployment, the loss of homes, lost businesses, and skyrocketing food costs are hitting every American.
[00:58:28.245 --> 00:58:29.946]  So everyone needs food security.
[00:58:30.086 --> 00:58:33.990]  Folks, this month you will get free shipping on every food order from eFoodsDirect.
[00:58:33.990 --> 00:58:37.214]  That's right, every order gets free shipping starting September 6th.
[00:58:37.214 --> 00:58:43.541]  Get stocked up with the best storable foods out there with eFoodsDirect and be prepared for any emergency before it happens.
[00:58:43.541 --> 00:58:46.544]  To take advantage of this special, call 800-409-5633 or go to eFoodsDirect.com forward slash Alex.
[00:58:51.593 --> 00:58:55.614]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:58:55.614 --> 00:58:58.855]  This is our last chance to not relive history.
[00:58:58.855 --> 00:59:03.636]  As they're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:59:03.636 --> 00:59:10.038]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:59:10.038 --> 00:59:12.279]  I think it's incumbent upon all of us
[00:59:12.819 --> 00:59:13.979]  Tim Geithner, Bernanke, they're arsonists!
[00:59:13.979 --> 00:59:14.740]  They're asking for more matches!
[00:59:14.740 --> 00:59:17.080]  And the Congress is saying, who do we make the check out to?
[00:59:31.724 --> 00:59:33.846]  Today seems like nobody does care.
[00:59:33.846 --> 00:59:39.010]  And right now in Washington, D.C., we have seen a fall of the republic.
[00:59:39.010 --> 00:59:51.501]  Get your copy of Fall of the Republic on DVD at Infowars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[00:59:51.501 --> 00:59:55.085]  Coast to Coast, direct from Austin.
[00:59:55.085 --> 00:59:58.287]  You're listening to the Alex Jones Broadcasting Network.
[01:00:01.997 --> 01:00:08.622]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:00:08.622 --> 01:00:11.624]  It's Alex Jones and the GCN Radio Network.
[01:00:13.542 --> 01:00:22.826]  Okay, look, it's so elementary and so simple that Ron Paul is being cheated that I've gotten so angry today that I have hardly been able to talk.
[01:00:22.826 --> 01:00:26.788]  I rarely stumble about and I've done that some today because it's so ridiculous.
[01:00:26.788 --> 01:00:30.010]  I watched the entire establishment running scared from Ron Paul.
[01:00:30.010 --> 01:00:36.973]  I know we got a bunch of callers, the Robert, Barry, TJ, Jim, Carol, Troy, Benjamin, Jerry, Will, Chase, Kathy, Brian.
[01:00:36.973 --> 01:00:38.734]  I will get to every single one of you.
[01:00:39.734 --> 01:00:46.758]  Luke Rodowski's just popping in for five, six minutes with an update on the arrest at Wall Street, the demonstrations there.
[01:00:46.758 --> 01:00:51.780]  Popping in for about five minutes the next segment, just back from Colorado with a martial law drill is Aaron Dice.
[01:00:51.780 --> 01:00:53.961]  He's going to pop in and then back to your calls.
[01:00:53.961 --> 01:00:58.984]  Now I say if you disagree, go to the head of the line, if you volunteer that information.
[01:00:58.984 --> 01:01:02.406]  The problem is most people that disagree now don't really disagree.
[01:01:02.406 --> 01:01:04.287]  They just use it as an excuse to go to the head of the line.
[01:01:05.054 --> 01:01:07.995]  Or they want to lecture me on how I should do the show or something.
[01:01:07.995 --> 01:01:10.837]  I mean disagree with something I've said.
[01:01:10.837 --> 01:01:15.399]  But let's see if Carl does, because that actually gets me to wake up when somebody disagrees.
[01:01:15.399 --> 01:01:17.600]  Carl in Michigan, you're on the air, go ahead.
[01:01:17.600 --> 01:01:21.722]  I want to say thanks for taking my call.
[01:01:21.722 --> 01:01:29.325]  And yes, I have three points of disagreement, but I must admit they are more about the delivery of your content than the content itself.
[01:01:29.325 --> 01:01:30.126]  They always are.
[01:01:31.340 --> 01:01:33.361]  I don't want to talk about me all day, though!
[01:01:33.361 --> 01:01:34.722]  I mean, that's the issue!
[01:01:34.722 --> 01:01:37.224]  Well, one of the ideas can help Ron Paul get elected.
[01:01:37.224 --> 01:01:38.865]  Okay, go ahead.
[01:01:38.865 --> 01:01:48.130]  Okay, the first one is Alex Jones, you mentioned before that you turned down publishing deals because you don't have the time and you can reach more people over the internet.
[01:01:48.130 --> 01:01:55.235]  I believe that's true, but we need to get the reading public on our side and here's an easy way to get your message to them.
[01:01:55.235 --> 01:01:57.016]  Transcribe broadcasts.
[01:01:57.568 --> 01:02:02.493]  I think that could really get your word out with a minimum time investment and increase the revenue to your operation.
[01:02:13.086 --> 01:02:24.751]  Yeah, I think the thing is, I want to write like some awesome 1984 non-fiction tome, and really crystallize it, and really get behind it, and not just churn out pulp.
[01:02:24.751 --> 01:02:29.793]  But you're right, I should do it, I should do more, and I should call back all these publishers that are calling me.
[01:02:29.793 --> 01:02:37.536]  But hell, if that little turkey Glenn Beck, Mr. Pro bailout, Mr. Pro Rick Perry can have his own imprint, I sure should.
[01:02:37.536 --> 01:02:40.577]  I'd dwarf him on the web, and the web is the future.
[01:02:40.577 --> 01:02:42.578]  Tell me what else I've done wrong here, or other...
[01:02:42.918 --> 01:02:45.359]  That's not really disagreeing, Carl.
[01:02:45.359 --> 01:02:49.241]  Alright, well, I apologize if I'm wasting your time, but I feel these ideas... You're not wasting my time!
[01:02:49.241 --> 01:02:49.902]  They're great ideas.
[01:02:49.902 --> 01:02:50.702]  What's next?
[01:02:50.702 --> 01:02:55.465]  Alright, well, I believe the true measure of a leader is the influence they have on others.
[01:02:55.465 --> 01:03:01.868]  And while I know you have great influence over some, in the end, I believe that you scare more people into merely observing the truth.
[01:03:06.730 --> 01:03:07.331]  I disagree.
[01:03:07.331 --> 01:03:09.855]  I've been the most effective person out there other than Ron Paul.
[01:03:09.855 --> 01:03:11.217]  Nobody can deny that.
[01:03:11.217 --> 01:03:12.519]  And I'm not trying to scare folks.
[01:03:12.519 --> 01:03:14.201]  I believe people aren't cowards.
[01:03:14.201 --> 01:03:18.167]  I'm trying to shock them out of complacency in their trance.
[01:03:19.144 --> 01:03:37.194]  Oh, and I agree that you have been very influential in the alternative news media, but I feel that you do come across very tough to some people, and I'm not saying you change who you are, because you are who you are, and that's impossible to change, and you have made great strides because you stand firm on your principles.
[01:03:37.194 --> 01:03:40.736]  But what I really disagree with is something called the losada.
[01:03:41.332 --> 01:03:49.939]  So, it pretty much is a term derived from a psychologist who said that for every one negative interaction, you need three positive interactions.
[01:03:49.939 --> 01:03:51.420]  Hey, hold on one second!
[01:03:51.420 --> 01:03:52.200]  Yes?
[01:03:52.200 --> 01:03:54.922]  There's music playing in here.
[01:03:54.922 --> 01:03:56.624]  And earlier, music just turned off.
[01:03:56.624 --> 01:03:59.025]  Okay, just, sir, go ahead.
[01:03:59.025 --> 01:04:06.231]  Okay, well, a psychologist named Losada did research showing that for every one negative remark, you need three positive remarks.
[01:04:06.693 --> 01:04:09.854]  To really allow a human to flourish in a team environment.
[01:04:09.854 --> 01:04:17.278]  And you want your listeners to be part of the team for freedom that promotes ideas of liberty and justice.
[01:04:17.278 --> 01:04:22.340]  And I feel that for every one positive remark, you have three negative remarks.
[01:04:22.340 --> 01:04:25.962]  Listen, I gotta go, but I heard your points and it's good constructive criticism.
[01:04:27.031 --> 01:04:31.552]  Look, I don't have the time and the energy to sit here and craft everything I say and do.
[01:04:31.552 --> 01:04:36.854]  Some days it's genius, other days, you know, it's moderately effective.
[01:04:36.854 --> 01:04:39.935]  Anything in the face of this dehumanization is good.
[01:04:39.935 --> 01:04:41.675]  Resistance is victory.
[01:04:44.503 --> 01:04:49.208]  I see it as positive to say negative things about the globalist.
[01:04:49.208 --> 01:04:52.411]  So you're looking at things from a two-dimensional perspective.
[01:04:52.411 --> 01:04:57.516]  Telling somebody, hey, there's a big ditch over there, don't run your car off in it, that's positive, it's not negative.
[01:05:00.427 --> 01:05:02.128]  Hi folks, this is Alex Jones.
[01:05:02.128 --> 01:05:07.430]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[01:05:07.430 --> 01:05:08.970]  Saving means to make money.
[01:05:08.970 --> 01:05:17.754]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[01:05:18.494 --> 01:05:26.019]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[01:05:26.019 --> 01:05:34.024]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[01:05:34.024 --> 01:05:39.247]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[01:05:39.247 --> 01:05:41.409]  Getting a free catalog is easy by calling 800-
[01:05:42.929 --> 01:05:47.411]  Call 800-340-7091 or see Calvin on the web at FiveStarSoap.com.
[01:05:47.411 --> 01:05:51.913]  Take charge of your health now by calling 800-340-7091 or see Calvin on the web at FiveStarSoap.com.
[01:06:03.939 --> 01:06:04.139]  Yeah!
[01:06:04.139 --> 01:06:04.500]  Let me at him!
[01:06:04.500 --> 01:06:05.280]  Alright, here's the deal.
[01:06:18.905 --> 01:06:25.091]  I got Aaron in here to give us a report on the big Marshall Law financial collapse drill they just had out in Denver.
[01:06:25.091 --> 01:06:26.292]  I had our reporters there.
[01:06:26.292 --> 01:06:31.196]  I got Luke Rudowsky popping in about arrests on Wall Street, but I want to get to your calls.
[01:06:31.196 --> 01:06:35.320]  Robert, Barry, everybody else that's holding, we're going to get to you, well, here in about a minute or two.
[01:06:35.320 --> 01:06:39.223]  I want to play a clip that I've been mentioning of Ron Paul.
[01:06:39.223 --> 01:06:42.806]  This is in the last debate, being asked who he would take as his running mate.
[01:06:43.687 --> 01:06:50.453]  And he was saying, well, once he is a first or second place candidate, that he would do that, that he is in third place.
[01:06:50.453 --> 01:06:53.576]  And that's a very moderate, conservative statement by Ron Paul.
[01:06:54.608 --> 01:06:57.069]  He is third place, probably second.
[01:06:57.069 --> 01:07:06.592]  And Rick Perry, as the Miami Herald points out, is plunging as people learn he worked for Al Gore, campaigned for Hillary Care, forced inoculations.
[01:07:06.592 --> 01:07:09.573]  But Romney is exactly the same!
[01:07:09.573 --> 01:07:13.734]  These are globalist, socialist, corporate cronyites.
[01:07:13.734 --> 01:07:18.375]  Because the corporations want to pool your money so they can then suck it offshore.
[01:07:18.375 --> 01:07:20.456]  And if you idiot Republicans vote for
[01:07:22.594 --> 01:07:24.995]  Mitt Romney or Rick Perry, you get what you deserve.
[01:07:24.995 --> 01:07:27.536]  Just like you idiot Democrats.
[01:07:27.536 --> 01:07:30.377]  Of course the economy didn't get better with Obama.
[01:07:30.377 --> 01:07:32.258]  Of course the wars continued.
[01:07:32.258 --> 01:07:34.218]  Of course the torture continued.
[01:07:34.218 --> 01:07:36.359]  Of course the spying continued.
[01:07:36.359 --> 01:07:39.020]  Of course all the insider garbage.
[01:07:39.020 --> 01:07:41.141]  Look at who financed him.
[01:07:41.141 --> 01:07:43.782]  Look at how the system supported Obama.
[01:07:44.082 --> 01:07:49.889]  When the system, like Time Magazine, is supporting somebody like Rick Perry, look out!
[01:07:49.889 --> 01:07:57.357]  When they're lying, and deceiving, and pulling polls, and saying somebody can't win, that's who you go to!
[01:07:57.357 --> 01:08:00.261]  It's so simple, it makes me get very angry.
[01:08:00.261 --> 01:08:02.603]  And you don't want to see me when I'm angry.
[01:08:02.603 --> 01:08:04.566]  Let's go ahead and go to this Ron Paul clip, here it is.
[01:08:06.015 --> 01:08:10.556]  I plan to make a choice at the moment because I am on national polls.
[01:08:10.556 --> 01:08:12.997]  It seems like I'm in third place now.
[01:08:12.997 --> 01:08:14.738]  I think it would be inappropriate.
[01:08:14.738 --> 01:08:20.120]  As soon as I'm one of the two top tier, then I will start thinking along that line.
[01:08:20.120 --> 01:08:30.303]  But right now I'm going to defer and just work very hard and make sure that I stay in the top tier and then eventually be one of the top two contenders.
[01:08:33.635 --> 01:08:35.562]  Texas Congressman Ron Paul, he joins me now.
[01:08:35.562 --> 01:08:36.264]  How are you Congressman?
[01:08:36.264 --> 01:08:36.946]  That's enough.
[01:08:38.663 --> 01:08:47.805]  You know, I've had a chance to talk to Ron Paul quite a bit off the record before, and when he was first going to run, I said, look, sir, you probably won't win this first time, but you can probably win the second time.
[01:08:47.805 --> 01:08:53.126]  And you know you're going to influence the debate and warn people about currency devaluation and everything else.
[01:08:53.126 --> 01:08:56.407]  We need you to get in there to keep putting heat on the Federal Reserve.
[01:08:56.407 --> 01:08:57.527]  And he said, no, you're probably right.
[01:08:57.527 --> 01:08:58.767]  I'm probably going to run.
[01:08:58.767 --> 01:09:02.428]  And then, of course, I didn't say anything for a few months knowing he was going to run.
[01:09:02.428 --> 01:09:05.549]  And it's the same thing before this last race.
[01:09:06.409 --> 01:09:10.951]  I don't ever try to call Ron Paul up and give him advice, but I think I am.
[01:09:10.951 --> 01:09:12.292]  And it's this.
[01:09:12.292 --> 01:09:16.274]  He needs to get up at the next debate and say, hold on a minute!
[01:09:16.274 --> 01:09:23.057]  And hold up a sheet and say, the average candidate was given 10 minutes in the last debate, I was given 4 minutes.
[01:09:23.057 --> 01:09:25.118]  I've been given the least amount of time in every debate.
[01:09:25.118 --> 01:09:28.800]  And if the moderators aren't saying that in the question, say, listen!
[01:09:28.800 --> 01:09:31.201]  I know you got an agenda, give me the floor!
[01:09:31.201 --> 01:09:33.702]  And I know Ron Paul can get angry, because I've seen it before.
[01:09:34.867 --> 01:09:37.048]  Okay, it's always the nice guy that's being real friendly.
[01:09:37.048 --> 01:09:39.630]  That's because they're actually a Tyrannosaurus.
[01:09:39.630 --> 01:09:44.113]  Only guy on the Congressional Baseball team to ever knock out a home run.
[01:09:44.113 --> 01:09:51.258]  You saw when that bearer Sasha Cohen went after him, Ron Paul, you know, basically slapped him upside the head, pushed him out of the way.
[01:09:51.258 --> 01:09:54.240]  Ron Paul is a nice guy because he's aggressive.
[01:09:54.240 --> 01:09:57.542]  Aggressive people have trained themselves to be friendly.
[01:09:57.542 --> 01:10:00.284]  But he needs to turn loose and open up a can of you-know-what.
[01:10:00.284 --> 01:10:01.945]  He needs to say, listen!
[01:10:02.785 --> 01:10:05.347]  I've been giving less time to everybody else up here.
[01:10:05.347 --> 01:10:06.668]  I've won most of the straw polls.
[01:10:06.668 --> 01:10:10.931]  I've come in first, second, and third in all the scientific polls, but everybody says I can't win.
[01:10:10.931 --> 01:10:14.153]  That's because I'm the only one up here not bought and paid for.
[01:10:14.153 --> 01:10:15.494]  I'm not a globalist whore.
[01:10:15.494 --> 01:10:16.835]  You want America back.
[01:10:16.835 --> 01:10:18.276]  You want the Republic back.
[01:10:18.276 --> 01:10:21.579]  Vote for me and stop letting the controlled media tell you who's gonna win.
[01:10:21.579 --> 01:10:24.481]  And I'm gonna go further here.
[01:10:24.481 --> 01:10:27.083]  And then just basically lay out the facts.
[01:10:28.775 --> 01:10:33.176]  And he needs to get aggressive and say, I have been in the top tier since the beginning.
[01:10:33.176 --> 01:10:34.577]  The top three is the top tier.
[01:10:34.577 --> 01:10:36.457]  I actually have to disagree with Ron Paul.
[01:10:36.457 --> 01:10:38.858]  This thing about, I'd be in the first or second tier.
[01:10:38.858 --> 01:10:40.498]  You're definitely in the top tier.
[01:10:40.498 --> 01:10:42.499]  The top tier is the top three candidates.
[01:10:42.499 --> 01:10:43.959]  First, second, and third place.
[01:10:43.959 --> 01:10:46.140]  That's how any game, any race works.
[01:10:46.140 --> 01:10:48.780]  The top three are the main contenders.
[01:10:48.780 --> 01:10:53.382]  The top three teams in the NBA, the NFL, the National Baseball League.
[01:10:53.382 --> 01:10:56.763]  That's how it works!
[01:10:56.763 --> 01:10:57.763]  In horse racing!
[01:10:59.275 --> 01:11:05.999]  And for them to say that a top contender is not a contender is a rigged game out in the open!
[01:11:05.999 --> 01:11:10.562]  And he should instantly surge to number one just by evidence of that.
[01:11:10.562 --> 01:11:18.347]  If you people want the same thing over and over again, vote for Mitt Romney, Rick Perry, or Barack Obama.
[01:11:18.347 --> 01:11:22.370]  A bunch of slick guys in fancy suits reading off teleprompters.
[01:11:22.370 --> 01:11:24.251]  Alright, I'm gonna shut up.
[01:11:24.251 --> 01:11:25.132]  I'm just getting angry now.
[01:11:28.354 --> 01:11:28.954]  Rick Perry.
[01:11:28.954 --> 01:11:32.535]  81% of the new jobs are illegal aliens.
[01:11:32.535 --> 01:11:34.096]  Yeah, I guess you did bring some jobs here.
[01:11:34.096 --> 01:11:41.899]  You drove down the wages while you were here and passed a bunch of new taxes you can give to the illegal aliens and free welfare, you piece of trash.
[01:11:41.899 --> 01:11:43.099]  I just can't handle it anymore.
[01:11:43.099 --> 01:11:49.781]  Some dirty Hillary supporter, some dirty Obama supporter, dirty Bill Clinton supporter, Al Gore supporter.
[01:11:49.781 --> 01:11:51.602]  I can't handle it.
[01:11:51.602 --> 01:11:54.543]  Mitt Romney supports carbon taxes?
[01:11:55.990 --> 01:11:59.391]  I'm so sick of the fact that I spend all my time being informed and other people aren't informed.
[01:11:59.391 --> 01:12:01.112]  I had Lord Moncton on a week ago.
[01:12:01.112 --> 01:12:02.152]  Great guy.
[01:12:02.152 --> 01:12:10.676]  But he was like, well, once the Congress, once the Democrats heard I was here to debate Al Gore, they said I couldn't speak or Gore wouldn't speak and they put Newt Gingrich in instead.
[01:12:10.676 --> 01:12:11.796]  He did a pretty good job.
[01:12:11.796 --> 01:12:18.098]  Newt Gingrich does TV ads supporting carbon taxes and global warming with, who's he do it with?
[01:12:18.098 --> 01:12:18.579]  I forget.
[01:12:18.579 --> 01:12:22.040]  Pull up the, go to YouTube.
[01:12:22.040 --> 01:12:24.461]  Newt Gingrich does global warming ad.
[01:12:26.800 --> 01:12:29.682]  I think it's Hillary Clinton he's sitting there with.
[01:12:29.682 --> 01:12:36.468]  The point is, he wrote the foreword to Alvin and Heidi Topler's book calling for the end of America and global government.
[01:12:36.468 --> 01:12:37.488]  I'm sick of it!
[01:12:37.488 --> 01:12:39.290]  He's a Bilderberg Group member!
[01:12:39.290 --> 01:12:47.196]  You don't get invited to the Bilderberg Group unless you've shown you'll spread your legs to any New World Order operative politically.
[01:12:47.196 --> 01:12:49.318]  This is with Pelosi.
[01:12:49.318 --> 01:12:50.499]  Show the stinking video.
[01:12:51.380 --> 01:12:53.649]  Then I'll go to the calls and Aaron, or maybe I won't.
[01:12:53.649 --> 01:12:56.118]  I'm just getting more and more wound up here.
[01:12:56.118 --> 01:12:57.222]  If I have to sl-
