[00:00:23.171 --> 00:00:24.232]  And we are back!
[00:42:15.626 --> 00:42:17.987]  Done through the law, when people try to run over them.
[00:42:18.127 --> 00:42:19.207]  It's normal.
[00:42:19.588 --> 00:42:27.671]  How did the land of the free and home of the brave turn into a national flag of an obese guy who's had his testicles chopped off sucking a lollipop?
[00:42:28.291 --> 00:42:32.132]  I mean, how did America become a sheep sticking its head in the ground?
[00:42:32.172 --> 00:42:32.973]  The ostrich sheep.
[00:42:33.553 --> 00:42:35.574]  How did we become this?
[00:42:36.054 --> 00:42:38.035]  We became this way through chemical warfare.
[00:42:39.315 --> 00:42:44.177]  And so as people wake up to this fact that it's happening, they say, oh no, no, no, no, don't listen to him.
[00:42:46.152 --> 00:42:46.893]  Just go with it!
[00:42:48.354 --> 00:42:48.914]  Just go with it!
[00:42:49.855 --> 00:42:56.720]  And they do this, and then they have all the messages in the media everywhere pushing, oh, you know, you're not attracted to women, well you should do this.
[00:42:56.960 --> 00:42:58.221]  People ask, well how do hormones do this?
[00:42:58.261 --> 00:43:08.028]  It affects the endocrine system, it affects the olfactory nerve, it gets into smell, it gets into hormonal triggers, it gets into a whole cornucopia of things.
[00:43:08.288 --> 00:43:12.491]  But it's not just the curves of a woman that are supposed to attract a man, it's the smell.
[00:43:13.091 --> 00:43:14.953]  Even things you can't consciously pick up.
[00:43:15.925 --> 00:43:16.245]  Okay?
[00:43:17.306 --> 00:43:19.187]  And so it's the smell of a woman.
[00:43:19.928 --> 00:43:21.649]  And for women, it's the scent of a man.
[00:43:23.370 --> 00:43:24.531]  That's what this is all about.
[00:43:24.591 --> 00:43:26.332]  And so they're messing with that.
[00:43:27.553 --> 00:43:29.033]  They're playing games with it.
[00:43:29.314 --> 00:43:36.058]  And they're sitting back, laughing at us, and then they make it a civil right when you don't want this done to your kids.
[00:43:36.158 --> 00:43:44.984]  Oh, the government has a right to put the chemicals in there and then come in and take control of your child when they're confused with the school counselor to make sure they get on a path to never have children.
[00:43:46.075 --> 00:43:49.038]  And that is an incredible evil, and that I will expose.
[00:43:49.398 --> 00:43:51.039]  Stop bombarding us with hormones.
[00:43:51.400 --> 00:43:53.362]  Leave me alone like I naturally am.
[00:43:53.382 --> 00:44:00.248]  And then you find out for some of these groups, it is about recruiting, it is about a revolution, it is about domination.
[00:44:00.688 --> 00:44:09.196]  It is about those who do not like what is the dominant existing order of life on this planet, overthrowing it in their own image.
[00:44:11.496 --> 00:44:12.457]  And that is blasphemous.
[00:44:12.477 --> 00:44:20.529]  Even if you don't believe in God, it is blasphemy against the incredible biosphere, against the incredible life forms of this planet, against that amazing balance that is life.
[00:44:21.451 --> 00:44:26.839]  It is a bunch of men playing the part of God and jacking with our entire food supply and system.
[00:44:28.646 --> 00:44:37.591]  And again, I'm glad that the media attacked me for that simple line about they want to create gender confusion and break up the family, which I just read to you, just some of the proof.
[00:44:37.991 --> 00:44:39.472]  We'll have even more coming out later in the week.
[00:44:40.032 --> 00:44:42.133]  Because I was really warning women about breast cancer.
[00:44:42.353 --> 00:44:51.298]  And so when people flood in here to attack me for being this wicked homophobe, because I'm pointing out they're jacking us with these chemicals, I
[00:44:53.817 --> 00:45:02.059]  We'll take the blame, which is great, and then people will learn about the hormones being added that are massively increasing cancers in women, not as much in men, but it's also bad in men.
[00:45:02.079 --> 00:45:03.599]  Because that's all I care about.
[00:45:03.639 --> 00:45:05.419]  This will save a lot of people, and that's good.
[00:45:06.140 --> 00:45:08.100]  CBS News and others don't want you to know about that.
[00:45:08.720 --> 00:45:11.141]  You did find the article about U.S.
[00:45:11.201 --> 00:45:11.741]  military.
[00:45:11.801 --> 00:45:15.362]  Yes, Air Force looked at spray to turn enemy gay.
[00:45:16.662 --> 00:45:17.022]  Look at that.
[00:45:17.182 --> 00:45:17.822]  London Guardian.
[00:45:18.442 --> 00:45:21.483]  When I reported on that, I was attacked, and they said I made that up.
[00:45:22.452 --> 00:45:24.093]  This is what's been done.
[00:45:24.973 --> 00:45:26.534]  This is what's going on.
[00:45:27.174 --> 00:45:28.555]  This is what is happening.
[00:45:29.015 --> 00:45:35.898]  They are trying to take our free will away and chemically do this to us and then say that everybody's born this way.
[00:45:42.642 --> 00:45:43.082]  There it is.
[00:45:43.162 --> 00:45:45.043]  Far from being the product of conspiracy theorists.
[00:45:45.063 --> 00:45:48.264]  Documents released to a biological weapons watchdog in Austin.
[00:45:49.145 --> 00:45:50.025]  Texas confirmed the U.S.
[00:45:50.045 --> 00:45:51.506]  military did investigate the idea.
[00:45:53.234 --> 00:45:56.998]  Yeah, you noticed conspiracy theory because they'd already been attacking me for it and others.
[00:45:57.759 --> 00:45:58.620]  It's just right there.
[00:45:58.700 --> 00:46:00.882]  Okay, London Guardian, biggest paper in Europe, not just England.
[00:46:00.902 --> 00:46:01.903]  All right, I'm out of time.
[00:46:02.103 --> 00:46:04.626]  We're going to break and come back with two interviews on key subjects.
[00:46:04.846 --> 00:46:11.133]  But get this video out to everybody and know later in the week a big report we put a lot of work into is coming out to expose this.
[00:46:11.153 --> 00:46:12.094]  So get it out to everybody you know.
[00:46:13.275 --> 00:46:14.076]  Great job to the crew.
[00:46:14.096 --> 00:46:14.677]  We'll be right back.
[00:46:19.417 --> 00:46:25.839]  If you believe in this information and want to support its viral spread, go to the InfoWars store at InfoWars.com.
[00:46:26.159 --> 00:46:27.020]  We've got the new G.I.
[00:46:27.060 --> 00:46:29.000]  Joe InfoWars t-shirts.
[00:46:29.360 --> 00:46:35.483]  We've got the incredible ProPure gravity-fed filters available at InfoWars.com in the store.
[00:46:36.043 --> 00:46:40.404]  We've got a new DVD, Sinus Under Attack, the Don't Tread on Me flag.
[00:46:41.104 --> 00:46:45.046]  We've got all sorts of different bumper stickers to help spread the rebellion virally.
[00:46:45.706 --> 00:46:46.347]  It's all there.
[00:46:46.367 --> 00:46:49.211]  Wristbands, citizen rule books, in every order.
[00:46:49.671 --> 00:46:52.395]  Order online at InfoWars.com today.
[00:46:52.635 --> 00:46:55.659]  The water filters, the canteens, it's all there.
[00:46:56.080 --> 00:46:57.021]  InfoWars.com
[00:47:01.135 --> 00:47:04.738]  We were brought up loving our country and our Constitution.
[00:47:05.338 --> 00:47:08.360]  That in the United States of America, we were free.
[00:47:09.481 --> 00:47:12.323]  And that's an attitude that we've tried to instill in our children.
[00:47:12.343 --> 00:47:16.025]  I met my wife while in the Air Force.
[00:47:16.125 --> 00:47:17.866]  I was a combat pilot in Vietnam.
[00:47:18.447 --> 00:47:20.248]  I served in Desert Storm as a commander.
[00:47:21.649 --> 00:47:25.312]  When I graduated from the Academy, I took the oath of office.
[00:47:26.212 --> 00:47:30.075]  And as a commander, I administered that oath to many people.
[00:47:32.415 --> 00:47:40.217]  Now I wonder about the understanding people have of our Constitution and I think about our candidates for President of the United States.
[00:47:42.158 --> 00:47:56.481]  It's interesting to see the support Ron Paul gets from the military and if we think back to the Code of Conduct and people raising their right hand that they were going to support and defend the Constitution of the United States.
[00:47:57.401 --> 00:47:58.542]  Why would those same people
[00:47:59.801 --> 00:48:02.248]  Support in great numbers on Paul.
[00:48:04.193 --> 00:48:08.103]  I think it's because they know that he supports the Constitution of the United States.
[00:48:09.056 --> 00:48:10.976]  It doesn't mean you have to go to war to do it.
[00:48:11.876 --> 00:48:24.119]  It means you have to understand what the Constitution is and be a supporter inside of your own country, whether you're in the military or not, of that Constitution and make the United States strong.
[00:48:25.199 --> 00:48:26.799]  And Ron Paul does that.
[00:48:27.339 --> 00:48:28.099]  That's his feeling.
[00:48:28.179 --> 00:48:28.919]  That's his thrust.
[00:48:29.640 --> 00:48:37.101]  And that's why if you look at the percentages that support him in the military, it's huge.
[00:48:37.961 --> 00:48:38.522]  Why is that?
[00:48:39.223 --> 00:48:40.745]  Because they've raised their right hands.
[00:48:41.205 --> 00:48:44.590]  And they're putting their lives on the line for us here in the United States.
[00:48:45.211 --> 00:48:46.873]  And they know that Ron Paul does the same.
[00:48:55.134 --> 00:48:55.655]  Welcome back.
[00:48:55.695 --> 00:48:57.596]  It's InfoWars Nightly News.
[00:48:57.656 --> 00:49:10.368]  Coming up in the next segment, we're going to talk to InfoWars correspondent Patrick Henningsen from London concerning Iran and the huge destabilization campaign the New World Order is carrying out in the Middle East and North Africa.
[00:49:10.788 --> 00:49:15.350]  Leading to what many, even mainline journalists, call the beginnings of what could turn into World War III.
[00:49:15.650 --> 00:49:17.631]  That's coming up with Patrick Henningsen.
[00:49:18.191 --> 00:49:25.014]  But first, because we're getting close to the end of 2011, I wanted to get documentary filmmaker Jason Bermas on with us.
[00:49:25.034 --> 00:49:32.117]  He, of course, directed the film that I produced, Invisible Empire, breaking down the history and goals of the New World Order.
[00:49:32.577 --> 00:49:40.400]  Absolutely key, seminal film for anybody that wants to have even a basic understanding of how this system works, the system we all live
[00:49:40.660 --> 00:49:41.920]  Great to be with you, Alex.
[00:50:00.984 --> 00:50:12.298]  Alright, we talked about a lot of stuff, and I've got a lot of issues I want to raise, including the one about how they're now fitting bugs with surveillance devices to keep track of the globalist enemies that is the general population.
[00:50:13.059 --> 00:50:18.926]  But out of all the things going on that you're tracking right now, what's number one on your radar screen?
[00:50:20.424 --> 00:50:25.505]  Well, probably today the number one thing on my radar screen is actually what's happening in Iraq.
[00:50:26.086 --> 00:50:29.807]  We've had the troop withdrawal, Alex, but it wasn't really a troop withdrawal.
[00:50:29.987 --> 00:50:35.248]  We have military personnel there, we have more military contractors there than ever.
[00:50:35.328 --> 00:50:44.211]  First they were Blackwater, then they were XE Services, and just this month they changed their name yet again to Academy, with an E-I at the end.
[00:50:44.611 --> 00:50:48.292]  And right on cue, right after the troop withdrawal, what happens?
[00:50:48.732 --> 00:51:07.396]  Well, Al-Qaeda strikes again, Alex, and this is fit to basically scare the public into believing in this boogeyman enemy and basically submitting to anything they put forward to us, including more and more out-of-control TSA personnel on the streets here.
[00:51:08.660 --> 00:51:09.260]  Well, you're right.
[00:51:09.280 --> 00:51:22.405]  In fact, you have the LA Times article, ten years too late, saying TSA not just for airports anymore, they're going to be at the malls, the highways, grabbing your genitals, grabbing your wife's breast, all part of basic slave training.
[00:51:22.465 --> 00:51:23.786]  But look at al-Qaeda.
[00:51:23.806 --> 00:51:25.846]  They admit there's four groups of al-Qaeda in Iraq.
[00:51:26.127 --> 00:51:30.268]  They're using them to attack Iran, while separately blaming Iran for 9-11.
[00:51:31.148 --> 00:51:34.790]  You've got al-Qaeda being given control of Libya, al-Qaeda being shipped in,
[00:51:35.791 --> 00:51:37.152]  On top of it, into Syria.
[00:51:37.432 --> 00:51:38.754]  This is all on record.
[00:51:39.415 --> 00:51:44.701]  So, I mean, Al-Qaeda created by the CIA to fight the Russians, to attack the Serbs.
[00:51:45.202 --> 00:51:49.006]  I mean, it's like a skeleton key, a Rosetta Stone.
[00:51:49.026 --> 00:51:50.188]  They use them for everything.
[00:51:50.508 --> 00:51:51.810]  How dumb do they think we are?
[00:51:53.413 --> 00:51:55.735]  Well, basically, they think we're extremely dumb.
[00:51:55.835 --> 00:52:03.200]  They think that they can put the public into a state of fear where we just go along with anything they say.
[00:52:03.240 --> 00:52:09.304]  And they have been beating the drums against Iran on an unprecedented level over the last six months.
[00:52:09.344 --> 00:52:13.787]  And just as you said, they're now blaming them for the 9-11 attacks.
[00:52:14.148 --> 00:52:15.929]  Of course, Iran has refuted this.
[00:52:16.389 --> 00:52:18.631]  And this is all coming into play at the same time
[00:52:18.931 --> 00:52:24.678]  That Iran is outing CIA spies in their country, and even putting one of them on trial, Alex.
[00:52:25.118 --> 00:52:29.263]  Let me bring this up to you, because I don't want to just glaze over this key point you've brought up.
[00:52:29.743 --> 00:52:32.266]  Al Qaeda takes credit for the bombs that have gone off.
[00:52:32.346 --> 00:52:33.287]  That wasn't hard to predict.
[00:52:33.327 --> 00:52:36.911]  We said, as soon as the quote, regular military pulls out,
[00:52:37.472 --> 00:52:41.274]  You're going to see Al-Qaeda attack, so there's a pretext to say, oh, see, we need you.
[00:52:41.875 --> 00:52:44.837]  And now they're talking about breaking the country up into three different parts.
[00:52:45.437 --> 00:52:47.759]  I mean, it really is amazing that this is happening.
[00:52:48.319 --> 00:52:49.440]  It's always been the plan.
[00:52:49.460 --> 00:52:54.383]  Since before the war, we broke it down to partition the country into three parts.
[00:52:55.304 --> 00:52:56.825]  Jason, they're now doing it again.
[00:52:57.987 --> 00:52:59.207]  And they think that we're so stupid.
[00:52:59.227 --> 00:53:06.030]  I mean, they've built dozens of these giant embassies where, as you pointed out, there's a hundred and something thousand mercenaries.
[00:53:07.450 --> 00:53:09.451]  And so supposedly it's not an occupied country.
[00:53:09.491 --> 00:53:11.712]  It's not a war if the official U.S.
[00:53:11.832 --> 00:53:17.294]  military minimum wage people are gone and if it's all these mercenaries coming in.
[00:53:17.934 --> 00:53:23.456]  I mean, this just shows a new level of psyop where people think the war is over and it's still going on.
[00:53:24.335 --> 00:53:31.800]  And it's also coming at a very convenient time to bring home military when the NDAA bill only needs to be signed by our president.
[00:53:32.120 --> 00:53:33.321]  It's gone through the House.
[00:53:33.421 --> 00:53:34.461]  It went through the Senate.
[00:53:34.661 --> 00:53:40.805]  It was then approved by the House again, and now we're just waiting for it to be penned by Barack Obama.
[00:53:40.845 --> 00:53:44.948]  And remember, the White House postured and said, oh, we're never going to sign this.
[00:53:45.268 --> 00:53:48.750]  As soon as it was agreed upon, of course we're going to sign it.
[00:53:48.950 --> 00:53:53.173]  And isn't it convenient that we're having all of these military personnel come home
[00:53:53.473 --> 00:53:59.099]  At a time when they are actually starting to build and man FEMA camps through what?
[00:53:59.479 --> 00:54:04.184]  Military contractor Kellogg, Brown & Root, a subsidiary of Howard.
[00:54:05.319 --> 00:54:10.542]  You know, Jason, we get attacked over the years for reading globalist documents, for being obsessed with reality.
[00:54:11.342 --> 00:54:12.242]  We're the bad guys.
[00:54:12.322 --> 00:54:23.488]  We told people there'd be a global economic implosion based on derivatives, that the very megabanks that sold all this fraud would hold the world captive and create a new bank of the world that we'd pay our VAT and carbon taxes to.
[00:54:24.068 --> 00:54:25.049]  Now, it's admitted.
[00:54:25.529 --> 00:54:30.732]  They say global authoritarianism is here, run by banks, but even The Economist says that's a good thing.
[00:54:31.312 --> 00:54:35.955]  So we've been right, and now we're saying they plan to kick off a giant war in the Middle East.
[00:54:36.415 --> 00:54:37.195]  Now that's here.
[00:54:39.056 --> 00:54:41.918]  But instead of being patted on the back for being right, we're the bad guys.
[00:54:43.266 --> 00:54:50.013]  Absolutely, and I'm really glad that you brought up the carbon tax because that's being implemented by stealth in the United States.
[00:54:50.473 --> 00:54:50.994]  How so?
[00:54:51.274 --> 00:54:58.001]  A European judge has actually ruled that they can implement carbon taxes on all flights.
[00:54:58.041 --> 00:55:02.385]  That's American Airlines, United Airlines, Continental Airlines, you name it.
[00:55:02.805 --> 00:55:04.486]  On US flights as well.
[00:55:04.526 --> 00:55:10.531]  So you won't know you're paying a tax, but your flight fees are going to go up, up, and up some more.
[00:55:10.851 --> 00:55:16.236]  Just as they did when they made the excuse, oh we have to start charging for luggage because there's a gas crisis.
[00:55:16.456 --> 00:55:19.218]  Well when that gas crisis ended, did they take away the luggage fee?
[00:55:19.698 --> 00:55:20.679]  Absolutely not.
[00:55:21.112 --> 00:55:24.214]  And now some of them are claiming to be insolvent on top of that.
[00:55:24.594 --> 00:55:35.140]  And with a European judge being given the authority to basically tax the American people on a global level for breathing, because that's what a carbon tax is.
[00:55:35.320 --> 00:55:37.201]  You exhale carbon dioxide.
[00:55:37.381 --> 00:55:38.281]  It is not a toxin.
[00:55:38.481 --> 00:55:39.362]  It is not a poison.
[00:55:39.562 --> 00:55:42.343]  It is not something we should be paying taxes on.
[00:55:42.604 --> 00:55:46.266]  But we're going to start paying taxes on it, whether we know it or not, Alex.
[00:55:46.546 --> 00:55:47.146]  That's right.
[00:55:47.246 --> 00:55:47.706]  And U.S.
[00:55:47.806 --> 00:55:50.168]  airlines and others that have hubs in Europe
[00:55:51.068 --> 00:55:56.454]  They're going to have to adopt it, and now American companies are saying, OK, when your people come here, we're going to tax you as well.
[00:55:56.774 --> 00:55:57.435]  I mean, it's here.
[00:55:57.895 --> 00:56:00.818]  And it doesn't matter it's all discredited fraud, a power grab.
[00:56:01.159 --> 00:56:02.220]  They're just going ahead with it.
[00:56:03.544 --> 00:56:18.327]  Absolutely, and that's why they tried so hard some years ago with the Copenhagen Treaty to just kind of pass it along the line, to create this global authority that would inherit global taxes from everybody and get us to sign on to it.
[00:56:18.788 --> 00:56:24.329]  Thank God for people like Lord Christopher Monckton who really brought this into the spotlight and allowed
[00:56:25.069 --> 00:56:28.094]  Others like yourself to run with it and expose it on a national level.
[00:56:28.114 --> 00:56:30.198]  And we were able to defeat it then, Alex.
[00:56:30.458 --> 00:56:32.642]  But they keep taking these incremental steps.
[00:56:32.902 --> 00:56:39.473]  And now when they can't pass it on a taxation level, they'll just pass it through European foreign judges.
[00:56:42.199 --> 00:56:58.390]  Now, Jason, shifting gears into the police state, these banksters are counting on using this authoritarian system and all the paramilitary police to suppress the public while they bring us into this New World Order system.
[00:56:58.810 --> 00:57:12.059]  And we were talking before we went live here on air about more and more reports out there about governments coming out, not just with artificial dragonflies, but with bugs that have been turned into little cyborgs to crawl in your house and surveil you.
[00:57:12.880 --> 00:57:14.261]  And this isn't new technology.
[00:57:14.321 --> 00:57:17.464]  You know, we've been talking about the Hummingbird drone for some time now.
[00:57:17.725 --> 00:57:26.073]  The CIA, like you said, had Dragonfly drones back in the 1970s, only becoming public a little bit over a year ago.
[00:57:26.133 --> 00:57:33.660]  But now we're talking about bugs this size and smaller being fitted with cameras and other sensors.
[00:57:33.701 --> 00:57:36.103]  And of course, Alex, it's under the guise of
[00:57:36.523 --> 00:57:38.384]  And we've got one of those little robo-bugs up on
[00:58:02.461 --> 00:58:03.002]  Screen.
[00:58:04.023 --> 00:58:22.300]  What's so ridiculous about all this is this governing class of kleptocrats are on total power trips and they've got unlimited taxpayer money to surveil us and stomp on our rights while arrogantly lecturing us all day about what great humanitarians they are and how lucky we are to have them.
[00:58:23.381 --> 00:58:26.345]  I mean, I don't think all their high-tech crap is going to save them in the end.
[00:58:26.365 --> 00:58:27.406]  They've committed so many crimes.
[00:58:27.746 --> 00:58:28.967]  Look at John Corzine.
[00:58:29.368 --> 00:58:33.953]  Caught perjuring himself to Congress that he didn't know where the billion-plus dollars went.
[00:58:34.433 --> 00:58:37.076]  Now caught lying and he doesn't even get in trouble.
[00:58:37.337 --> 00:58:40.039]  There's got to be a limit to what these guys can get away with.
[00:58:40.745 --> 00:58:51.395]  Well, you would think so, but ex-president of France, Jacques Chirac, last week was actually convicted of embezzling funds from the public to the tune of millions.
[00:58:51.435 --> 00:58:52.376]  And you know what, Alex?
[00:58:52.436 --> 00:58:53.437]  He didn't get in trouble.
[00:58:53.777 --> 00:58:56.760]  They just commuted his sentence and pardoned him.
[00:58:57.020 --> 00:59:04.822]  See, when you're on the global elites team, when you play ball with them, when you promote their agendas, you don't do jail time.
[00:59:05.062 --> 00:59:10.323]  Your sentence is commuted like Jacques Chirac, like Scooter Libby some years ago.
[00:59:10.603 --> 00:59:23.346]  And unfortunately, the American public has not made enough of an outcry, a decry, to get these systems changed so that we do convict criminals on all levels, especially at the upper echelons.
[00:59:26.806 --> 00:59:28.566]  Jason, what else is on your radar?
[00:59:29.907 --> 00:59:33.268]  Well, Alex, you know, we were talking about the TSA being all over.
[00:59:33.668 --> 00:59:40.669]  We already know the TSA has groped children, has strip-searched old women, but now we've got a new one.
[00:59:40.729 --> 00:59:43.670]  Yes, explosive cupcake frosting.
[00:59:44.010 --> 00:59:47.971]  You can't go through airport security with a tasty cupcake
[00:59:48.251 --> 00:59:55.738]  That you bought at one of the eateries within the airport anymore because that glaze right there, that could be the next big explosive.
[00:59:55.778 --> 01:00:00.302]  Forget about the shoe bomber or the diaper bomber and all those other bombers.
[01:00:00.602 --> 01:00:04.305]  Now liquid frosting is a hazard to flying.
[01:00:05.026 --> 01:00:14.971]  And of course we can laugh at this, Jason, but what they're doing is always expanding what's a threat so that everybody can be treated like they're guilty.
[01:00:15.271 --> 01:00:16.472]  This is prisoner training.
[01:00:16.512 --> 01:00:19.793]  That's what the groping is all about in the microwave ovens.
[01:00:19.893 --> 01:00:28.518]  It's throwing the precept of innocent until proven guilty into guilty, guilty, guilty, government is your god.
[01:00:29.438 --> 01:00:31.601]  Absolutely, and unfortunately, this seems to be sliding towards
[01:00:44.961 --> 01:00:53.809]  A Chinese type society where they just come, grab you, put you in a hole, don't tell you or your family where you're going to be.
[01:00:54.229 --> 01:00:59.154]  We had this happen with Wei Chen some months ago and then there was an outcry of people.
[01:00:59.194 --> 01:01:00.074]  People came to his aid.
[01:01:00.275 --> 01:01:01.255]  Well, what happened, Alex?
[01:01:01.295 --> 01:01:04.058]  Well, just this week there was a trial against this man.
[01:01:04.258 --> 01:01:09.683]  He was sentenced to nine years in prison and he was never even allowed to make
[01:01:10.083 --> 01:01:18.205]  A statement following up on that three days later, we have the same thing happening to another Chinese political dissident.
[01:01:18.526 --> 01:01:21.967]  And we don't even have the freedom of the press in this world anymore.
[01:01:22.007 --> 01:01:31.650]  We now have Swedish journalists who have been convicted of basically going against the state and now will serve 11 years in prison.
[01:01:32.310 --> 01:01:39.552]  And we have to protect ourselves from these megalomaniacs that would prosecute any purveyors of free speech and freedom.
[01:01:40.319 --> 01:01:40.899]  Well, you're right.
[01:01:40.939 --> 01:01:44.322]  Look, the criminal class thought that they could just ignore the alternative media.
[01:01:44.622 --> 01:01:52.407]  But we have become the mainstream media, not just in information, being truthful, but in total viewers.
[01:01:53.287 --> 01:02:03.194]  And it was a couple of years ago we passed the Rubicon where so-called alternative media together is bigger than all the so-called mainstream media who put the crown on their own head.
[01:02:03.254 --> 01:02:04.455]  It's the emperor's new clothes.
[01:02:05.015 --> 01:02:12.519]  We are the real media, the system knows it, so now they've got this new Internet Act, which in their own words shuts down free speech.
[01:02:13.540 --> 01:02:24.246]  And now they've got the NDAA, all those that said, oh, you're crazy, the government isn't going to secretly arrest Americans, they're not going to get rid of posse comitatus, even though we'd been to the urban warfare drills and witnessed it.
[01:02:24.626 --> 01:02:26.267]  Now it's all just passe.
[01:02:26.727 --> 01:02:29.529]  Yeah, there's a world government, yeah, the military is going to arrest you.
[01:02:30.049 --> 01:02:32.671]  I mean, it's just open authoritarianism
[01:02:33.391 --> 01:02:38.113]  And as the Bill of Rights and Constitution goes out the window, notice the economy went out the window with it.
[01:02:38.933 --> 01:02:43.015]  Oh, so people that said, well, I'm not bad, you know, I'm not worried about a tyranny.
[01:02:43.535 --> 01:02:44.956]  It doesn't matter if you're not bad.
[01:02:44.996 --> 01:02:47.537]  If you were bad and evil, they'd hire you to work for them.
[01:02:47.857 --> 01:02:49.338]  It's not, I have nothing to hide.
[01:02:49.638 --> 01:02:50.958]  That's why you got a problem.
[01:02:51.338 --> 01:02:52.639]  They want you to be their slave.
[01:02:52.839 --> 01:02:53.759]  They want to eat your lunch.
[01:02:53.800 --> 01:02:54.900]  They want to dominate you.
[01:02:55.680 --> 01:02:56.721]  Because that's what crooks do.
[01:02:58.064 --> 01:03:01.445]  If you were a bad person and had something to hide, you'd go work for them.
[01:03:01.785 --> 01:03:02.306]  Dummies!
[01:03:03.066 --> 01:03:03.526]  Okay?
[01:03:04.026 --> 01:03:04.526]  Get that?
[01:03:04.947 --> 01:03:11.269]  All the time people say, well, I don't care if they secretly arrest people and torture them, because I haven't done anything wrong.
[01:03:11.669 --> 01:03:12.930]  Hey, jackass!
[01:03:14.490 --> 01:03:17.611]  Don't you understand a lot of people didn't do anything wrong to Stalin?
[01:03:17.651 --> 01:03:18.472]  That's why he wanted them.
[01:03:18.632 --> 01:03:21.073]  They were just little farmers that weren't dependent on him.
[01:03:21.293 --> 01:03:22.193]  So he killed them!
[01:03:22.873 --> 01:03:24.054]  Hitler, the same thing!
[01:03:24.494 --> 01:03:25.374]  Mao Zedong!
[01:03:26.075 --> 01:03:26.675]  Pol Pot!
[01:03:27.594 --> 01:03:29.495]  Julius Caesar, grow up!
[01:03:29.776 --> 01:03:30.576]  Grow up!
[01:03:30.796 --> 01:03:36.260]  You're in danger, jackass, because the criminals see you as a chump who'll put up with anything!
[01:03:38.082 --> 01:03:47.429]  Absolutely, and I'm glad that you talked about the faltering economy, because we have big stores like Kmart and Sears just announcing, you know what, we're gonna have to shut down a hundred plus stores.
[01:03:47.749 --> 01:03:54.394]  We have banks such as Bank of America, JP Morgan, they're saying they're going to fire a hundred and fifty thousand
[01:03:54.774 --> 01:04:02.638]  People this year alone, maybe this will help them to hide from the American public and the world populace that they're basically insolvent at this point.
[01:04:02.878 --> 01:04:12.122]  Even though you have heads of the IMF coming out and saying, well we really are in a global depression right now and we're not sure where the economy's actually going to be going.
[01:04:12.662 --> 01:04:21.566]  All this while our sitting president has now broken the record for the most money raised for any campaign of a presidency
[01:04:22.146 --> 01:04:22.807]  We're good to go.
[01:04:38.123 --> 01:04:39.644]  You know, let's give him $20 million.
[01:04:40.004 --> 01:04:43.727]  That's a tenth of what the man in office is spending.
[01:04:43.907 --> 01:04:46.048]  And who has more support on the streets, Alex?
[01:04:46.329 --> 01:04:48.530]  Who has more signs out there than anybody else?
[01:04:48.550 --> 01:04:48.910]  No, no, no.
[01:04:48.990 --> 01:04:52.473]  Ron Paul, on average, his donations are about $25.
[01:04:53.353 --> 01:05:03.640]  With Obama, it's all these billionaire fat cats, and you've got all these moron Democrats thinking he's going to save them from something when he's bankrolled by the various people that are bankrolling.
[01:05:05.402 --> 01:05:07.543]  And all these other scumbags like Romney.
[01:05:07.824 --> 01:05:09.965]  I mean, it is so transparent.
[01:05:10.286 --> 01:05:13.088]  Well, undoubtedly 2012 is going to be a crazy year.
[01:05:13.208 --> 01:05:19.874]  In closing, what are your predictions or perspectives on what you think is going to happen in this coming big 2012?
[01:05:21.786 --> 01:05:32.098]  Well, I really hope that people get off their butts and get out there and say no to this NDAA bill, especially if it is signed by the White House.
[01:05:32.138 --> 01:05:39.346]  I really feel like they're biding their time, they're waiting for another distraction, another disaster, to do it under the cover of night.
[01:05:39.506 --> 01:05:40.968]  And if this thing passes,
[01:05:41.508 --> 01:05:59.885]  All you occupiers out there, all you tea parties out there, everybody who has any bit of semblance in their heart for freedom must get out to D.C., must get out to the lawn of the Capitol and the White House and say no to this because it's not only
[01:06:00.465 --> 01:06:01.085]  Un-American.
[01:06:01.105 --> 01:06:02.746]  It is against humanity, Alex.
[01:06:02.826 --> 01:06:03.366]  Well, you're right.
[01:06:03.386 --> 01:06:09.227]  The whole world now says, well, we'll secretly arrest and torture and kill because America, the good guys, do it.
[01:06:09.287 --> 01:06:11.567]  I mean, we've now become an open tyranny.
[01:06:12.527 --> 01:06:14.888]  Jason Burmas, thank you so much for spending time with us.
[01:06:15.088 --> 01:06:16.528]  We've had on screen your Twitter account.
[01:06:16.568 --> 01:06:18.929]  Is that the best place for folks to check out your work?
[01:06:19.509 --> 01:06:20.009]  Absolutely.
[01:06:20.949 --> 01:06:23.750]  All right, Jason Burmas, thank you for giving us your perspective.
[01:06:24.350 --> 01:06:24.830]  Thank you, Alex.
[01:06:25.447 --> 01:06:32.330]  All right, my friends, we're going to go to break and come back with another great InfoWars.com correspondent, Patrick Henningsen.
[01:06:32.350 --> 01:06:47.277]  He's going to report on geopolitical developments, what could turn into World War III with Iran, the military drills in the Strait of Hormuz that could shut down 40% of world oil supplies, the Iranians threatening Western helicopters to blow them out of the sky.
[01:06:47.677 --> 01:06:49.039]  Things are certainly heating up.
[01:06:49.079 --> 01:06:56.770]  We'll also look at Al Qaeda forces that Burma mentioned earlier, openly working for the same mega banks that have hijacked this country.
[01:06:57.090 --> 01:06:58.692]  It's InfoWars Nightly News.
