[00:00:00.029 --> 00:00:02.173]  A program note for everyone out there.
[00:50:04.536 --> 00:50:05.717]  You have your own self-preservation.
[00:50:05.737 --> 00:50:07.879]  Why do birds get shiny objects and put them in their nest?
[00:50:07.899 --> 00:50:09.641]  I don't know, tell me.
[00:50:12.967 --> 00:50:18.329]  Well, it's not because they're greedy and evil, and Madison Avenue told them.
[00:50:18.489 --> 00:50:20.930]  They like the shiny thing.
[00:50:21.671 --> 00:50:33.536]  So to say that humans wanting things, or wanting a house on a hill because they can see a beautiful vista, to claim that people wanting things is inherently bad, it's just that it's lower on the hierarchy of needs.
[00:50:33.776 --> 00:50:38.198]  And if you will do immoral things for things, that's bad.
[00:50:38.218 --> 00:50:39.958]  I'm not putting words in my mouth.
[00:50:39.978 --> 00:50:41.059]  I'm not putting words in your mouth.
[00:50:43.635 --> 00:50:44.655]  Hey, let me talk to him.
[00:50:44.915 --> 00:50:46.196]  We'll stay on air here for a minute.
[00:50:46.216 --> 00:50:50.938]  Hey, we're going to have a one minute break and we'll come right back to you for the second hour, okay?
[00:50:51.418 --> 00:50:51.778]  Alright, Alex.
[00:50:51.818 --> 00:50:56.480]  And we're going to play some clips of Zeitgeist Addendum here and get your response to those.
[00:50:56.500 --> 00:51:00.961]  You know, I'd really appreciate it if you'd actually let me respond because I have a very simple train of thought I'm luring here.
[00:51:01.001 --> 00:51:01.721]  Look, I mean, look, look.
[00:51:01.741 --> 00:51:03.062]  You're jumping off on cliffs, man.
[00:51:03.582 --> 00:51:17.737]  Hey Peter, it sounds to me you're another one of these intellectuals who will say vicious, aggressive things and then piss their pants if anybody else... hold on a minute... piss their pants if anybody else says anything half as mean back to them.
[00:51:18.238 --> 00:51:18.818]  Okay?
[00:51:18.918 --> 00:51:22.462]  And now I'm really going to do a critique of you and now I'm getting out the fine-tooth comb.
[00:51:22.682 --> 00:51:23.163]  So get ready.
[00:51:25.225 --> 00:51:25.746]  Uh-huh, yeah.
[00:51:25.966 --> 00:51:27.047]  Hey, hey, listen, here we go.
[00:51:27.107 --> 00:51:28.008]  What if I said negative?
[00:51:28.048 --> 00:51:33.353]  Hey, what you don't realize is I've said a hundred times on air that 2995 is manipulative, and I point out on air it is.
[00:51:33.653 --> 00:51:35.715]  So, again... Well, I'm just making the example out here.
[00:51:35.735 --> 00:51:37.156]  Okay, hey, here we go, here we go.
[00:51:38.678 --> 00:51:39.779]  Back to the full audience in 20 seconds.
[00:51:39.799 --> 00:51:48.547]  The information you need to effectively wake up your fellow man and fight the New World Order is available right now at truthnews.us and prisonplanet.tv.
[00:51:48.887 --> 00:51:50.349]  Join the info war today.
[00:51:54.148 --> 00:51:56.028]  Waging war on corruption.
[00:51:56.529 --> 00:51:59.449]  Alex Jones on the GCN Radio Network.
[00:52:07.491 --> 00:52:13.913]  This all started a couple weeks ago when I watched Zeitgeist Addendum.
[00:52:14.833 --> 00:52:17.794]  And I came on air and I said, look, all I know is I'm hearing the same buzzwords.
[00:52:18.954 --> 00:52:23.195]  Government withering away, eradication of the classes, and we're going to play those clips.
[00:52:24.878 --> 00:52:27.159]  And I said, I think these people all mean well, and I think it's all interesting.
[00:52:27.199 --> 00:52:28.120]  It's just human nature.
[00:52:28.140 --> 00:52:33.322]  And look, human nature, you've got two men on the air, and look, he's getting fiery, he's getting upset.
[00:52:33.382 --> 00:52:34.403]  That's the passion!
[00:52:34.703 --> 00:52:37.144]  That's not evil or even something competitive.
[00:52:37.505 --> 00:52:44.568]  That is the tectonic, volcanic fury spewing out of Vulcan's
[00:52:46.409 --> 00:52:47.370]  Blacksmith shop.
[00:52:47.710 --> 00:52:48.690]  That's humanity.
[00:52:50.331 --> 00:52:52.593]  So listen, I tried to give you ten minutes earlier just to run.
[00:52:52.873 --> 00:52:56.395]  You say I keep interrupting, but you keep making statements at me, so I'm going to make counters.
[00:52:56.415 --> 00:52:57.495]  So I'm going to just go.
[00:52:57.615 --> 00:52:58.196]  Run with it.
[00:52:58.216 --> 00:52:58.796]  You've got the floor.
[00:53:00.188 --> 00:53:04.350]  Well, first of all, it's not the passion for me to get irritated and express that irritation.
[00:53:04.390 --> 00:53:06.170]  It's the condition that you've set up.
[00:53:06.210 --> 00:53:11.492]  Because apparently the only way to communicate with you is through this kind of WWF aggression that you seem to perpetuate.
[00:53:11.832 --> 00:53:12.273]  Exactly.
[00:53:12.293 --> 00:53:17.335]  You've got to sit up there with a big bubble alien head, like on Star Trek, and I'm the dumb Captain Kirk down here.
[00:53:17.595 --> 00:53:19.155]  You're like, I am the Watcher.
[00:53:19.195 --> 00:53:20.436]  You are the little... Yeah, keep it going.
[00:53:20.456 --> 00:53:20.976]  Yeah, that's right.
[00:53:20.996 --> 00:53:22.276]  No, no, you always push yourself.
[00:53:22.557 --> 00:53:23.717]  Oh, I'm up here.
[00:53:25.278 --> 00:53:26.358]  I'm figuring it out.
[00:53:26.498 --> 00:53:28.859]  If you listen to anything that was ever presented in my films, I don't...
[00:53:29.199 --> 00:53:29.520]  I know!
[00:53:29.620 --> 00:53:29.940]  Listen!
[00:53:30.000 --> 00:53:30.481]  Go, man!
[00:53:30.521 --> 00:53:31.342]  You got the floor!
[00:53:32.643 --> 00:53:39.031]  Well, actually, my whole point was to actually discuss things with you, Alex, and I'm going to say a bunch of things, and you're going to come back on, and you're going to project a bunch of other things.
[00:53:39.091 --> 00:53:46.120]  So, what I will say is essentially what I said before, because your audience is the most important thing here, and that's who I really would like to speak with.
[00:53:46.681 --> 00:53:47.382]  Ladies and gentlemen,
[00:53:47.990 --> 00:53:50.972]  People, we have to start thinking about root causes of behavior.
[00:53:51.052 --> 00:53:53.934]  We can't have these superstitious notions of reality.
[00:53:54.354 --> 00:53:57.296]  Religion wants us to believe that there's a good and an evil.
[00:53:57.336 --> 00:53:58.817]  This is easy to understand.
[00:53:58.877 --> 00:54:02.860]  It's easy to think that some people are just naturally good and naturally bad.
[00:54:02.880 --> 00:54:05.502]  This is a sad, sad worldview of humanity.
[00:54:05.942 --> 00:54:14.288]  It's perpetuated and consolidated in our mind because the system that's been created continues this bad human tendency.
[00:54:14.767 --> 00:54:18.149]  It continues this need for self-perpetuation, self-preservation.
[00:54:18.189 --> 00:54:19.911]  Wait, how can you say there's even a bad?
[00:54:19.931 --> 00:54:22.412]  I mean, bad, evil, same thing?
[00:54:23.653 --> 00:54:25.634]  I never said that evil didn't exist.
[00:54:25.795 --> 00:54:28.016]  In a sense, I'm redefining the term, Alex.
[00:54:28.056 --> 00:54:29.217]  It's not bad or good.
[00:54:29.517 --> 00:54:31.539]  I'm giving it a quantitative nation to make it relevant.
[00:54:31.779 --> 00:54:35.021]  It is bad for people to beat each other up, as far as I'm concerned.
[00:54:35.041 --> 00:54:37.342]  There is a quality distinction, but it's not evil.
[00:54:37.363 --> 00:54:38.443]  There's reasons behind it.
[00:54:38.463 --> 00:54:42.266]  When you say evil, you are implying a religious connotation that rejects
[00:54:42.648 --> 00:54:44.793]  Be- behavioral conditioning of that person.
[00:54:45.114 --> 00:54:49.504]  And every single human being is born- there's no difference between a Gandhi baby and a Hitler baby.
[00:54:49.544 --> 00:54:50.406]  I hate to break it to you.
[00:54:50.874 --> 00:54:52.195]  It's all a matter of conditioning.
[00:54:52.235 --> 00:54:54.816]  Until you address this, nothing's going to change.
[00:54:55.156 --> 00:54:56.416]  The New World Order will continue.
[00:54:56.736 --> 00:54:57.937]  People at the top will be arrested.
[00:54:57.977 --> 00:54:59.497]  We'll have more false flag terrorist attacks.
[00:54:59.517 --> 00:55:00.378]  Society will break down.
[00:55:00.398 --> 00:55:01.398]  You'll have power consolidation.
[00:55:01.438 --> 00:55:06.020]  Even the rich elite will eventually suffer because they are completely out of line with nature.
[00:55:06.320 --> 00:55:07.461]  And that's the entire point.
[00:55:07.781 --> 00:55:12.022]  You cannot have a system based on differential advantage in society and expect progress.
[00:55:12.062 --> 00:55:12.943]  And back to your other point.
[00:55:13.263 --> 00:55:15.043]  Progress is not money.
[00:55:15.524 --> 00:55:17.845]  It's human creativity and science and technology.
[00:55:17.945 --> 00:55:18.785]  Everything you have
[00:55:19.225 --> 00:55:20.886]  You owe it to science and technology.
[00:55:21.127 --> 00:55:24.749]  Everything in your studio right now, the chair you're sitting on... Oh, that's the human mind.
[00:55:25.510 --> 00:55:27.851]  Of course it is, and that's the beauty of the human being.
[00:55:27.891 --> 00:55:31.334]  We have the ability to create something that the animal kingdom does not have.
[00:55:31.654 --> 00:55:33.015]  Not to the extent that we... Well, B.F.
[00:55:33.055 --> 00:55:38.339]  Skinner said beyond good and evil, and then once you're beyond good and evil, then they say it's okay for them to do whatever they want.
[00:55:38.899 --> 00:55:39.880]  But you're not saying that.
[00:55:41.841 --> 00:55:42.342]  Say that again?
[00:55:43.343 --> 00:55:45.485]  Skinner and people talked about beyond good and evil.
[00:55:48.188 --> 00:55:52.732]  So by any time we try to make a moral judgment, people say that's just religious.
[00:55:53.633 --> 00:55:56.355]  Or, well hold on, I know Brahma cattle.
[00:55:56.696 --> 00:55:58.777]  Brahma cattle are very aggressive genetically.
[00:55:58.798 --> 00:56:01.100]  They're some of the most dangerous type of cows to have.
[00:56:02.301 --> 00:56:03.902]  And that is genetic.
[00:56:03.942 --> 00:56:05.624]  That's not trained into the Brahma cows.
[00:56:09.775 --> 00:56:17.625]  Well, I mean, they've done all sorts of genetic studies, and I mean, a lot of aggression is genetic, and then it can be taken down or it can be jacked up.
[00:56:18.346 --> 00:56:18.586]  Sure.
[00:56:18.986 --> 00:56:24.994]  But I think you'll tend to find, though, there's a lot of discontinuous information, a lot of bad research that's gone into the geneticists.
[00:56:25.487 --> 00:56:26.108]  Ideologies.
[00:56:26.148 --> 00:56:29.151]  For example, the reason that these cattle might be violent has nothing to do with their genetics.
[00:56:29.171 --> 00:56:32.915]  It's the fact that they're born into this violent herd, and they condition those responses.
[00:56:33.395 --> 00:56:34.737]  This is the nature with all dogs.
[00:56:34.757 --> 00:56:38.020]  It's the nature... You know, there's a cliche of Rottweilers being mean.
[00:56:38.040 --> 00:56:38.641]  This isn't true.
[00:56:38.681 --> 00:56:45.428]  It just happens to be that the people that get these Rottweilers do so with a specific intent, and the statistics support that they're conditioned aberrantly.
[00:56:45.968 --> 00:56:57.316]  Well, I think that's a big part of it, but a lot of people have nice, sweet pit bulls and rottweilers, and one day it bites their child's face off, so I don't understand that.
[00:56:57.336 --> 00:56:58.417]  We're going to skip this break, too.
[00:57:01.906 --> 00:57:08.731]  Look, in the limited time we have here, I really don't want to make this a fight, and I don't want to get... Well, you're not acting like it, man.
[00:57:08.751 --> 00:57:12.193]  I'm really offended that you're yelling at me because I'm just presenting ideas.
[00:57:12.733 --> 00:57:19.498]  No, I was yelling excitedly here on air, and I want to try to go through some other areas of the film.
[00:57:20.058 --> 00:57:31.646]  I want to try to go through some other facets, because I agree with you about how the monetary system's working, but are you saying that's basically any system that uses symbols to try to grease the skids of commerce?
[00:57:32.166 --> 00:57:39.129]  No, what I'm saying is that you're using a system of exchange that's based on scarcity, and based on differential advantage.
[00:57:39.210 --> 00:57:43.432]  Money is inherently a corrupt, behavior-producing element.
[00:57:43.532 --> 00:57:45.553]  It can't be any other way, because it's scarce.
[00:57:45.953 --> 00:57:47.053]  Just like everything in nature.
[00:57:47.073 --> 00:57:50.415]  This is why animals behave the way they do in nature for food, and what have you.
[00:57:50.785 --> 00:57:56.330]  You can't have a system of inherent scarcity and ever, ever expect people to behave in any so-called ethical way.
[00:57:56.390 --> 00:57:58.532]  So what do you propose to replace money?
[00:57:58.572 --> 00:57:59.473]  How is this metamorphosis?
[00:57:59.493 --> 00:58:02.676]  This is exactly what we were talking about with the resource-based economy.
[00:58:02.996 --> 00:58:03.937]  Money doesn't exist.
[00:58:04.017 --> 00:58:04.858]  Money is not real.
[00:58:04.898 --> 00:58:05.659]  It never has been.
[00:58:06.121 --> 00:58:06.521]  Labor.
[00:58:06.541 --> 00:58:08.563]  90% of the jobs people have today.
[00:58:08.583 --> 00:58:09.604]  I'm talking about employment labor.
[00:58:09.624 --> 00:58:11.806]  I'm not talking about human interest in working.
[00:58:11.826 --> 00:58:12.887]  There's a big distinction there.
[00:58:12.907 --> 00:58:14.288]  I think you've got that wrong in your argument.
[00:58:14.308 --> 00:58:15.149]  So how does this start?
[00:58:15.209 --> 00:58:16.230]  Where do we get the land?
[00:58:16.270 --> 00:58:16.690]  Who gives it?
[00:58:16.710 --> 00:58:19.732]  I mean, do you take somebody's land and give it to another group?
[00:58:20.213 --> 00:58:20.913]  Of course not.
[00:58:20.933 --> 00:58:21.834]  You're jumping way ahead.
[00:58:21.854 --> 00:58:23.876]  You have to get the ideology down first.
[00:58:24.276 --> 00:58:26.558]  And then the communication will begin on a vast scale.
[00:58:26.578 --> 00:58:34.402]  But don't I need to know that if an ideology is going to work good and I'm going to sign on to it, I need to war game it out historically and try to look at it?
[00:58:35.103 --> 00:58:38.325]  Or I just accept the ideology first and then hope it works?
[00:58:38.965 --> 00:58:41.527]  No, you don't accept the ideology first and hope it works.
[00:58:41.547 --> 00:58:43.048]  That's a faith-based ideology.
[00:58:43.388 --> 00:58:51.433]  What you have is an intellectual analysis of the environmental conditions of the planet itself, and you begin to restructure society based on what we understand today.
[00:58:51.714 --> 00:58:53.615]  How do we restructure society?
[00:58:53.635 --> 00:59:01.660]  That isn't going to have a central... First of all, well, the first thing that I think the natural progression would be to build the first city.
[00:59:01.720 --> 00:59:05.503]  As I said earlier, this is a technological development.
[00:59:05.583 --> 00:59:08.785]  We have to recognize that everything we have is of the technology.
[00:59:09.195 --> 00:59:10.597]  It's owed to human creativity.
[00:59:10.617 --> 00:59:13.581]  It's owed that we can create things that relieve us of human labor.
[00:59:13.961 --> 00:59:22.732]  I point out this tendency, this clash we have with the labor system and human employment, excuse me, labor system and automation, and this is extremely prevalent.
[00:59:23.193 --> 00:59:24.955]  We used to have all factory jobs.
[00:59:24.975 --> 00:59:26.137]  Now we have a service industry.
[00:59:26.624 --> 00:59:28.805]  And service industry is slowly being phased out as well.
[00:59:29.065 --> 00:59:31.246]  This isn't some plot of the New World Order.
[00:59:31.266 --> 00:59:35.247]  This is a natural element of technology replacing human labor.
[00:59:35.287 --> 00:59:38.448]  So rather than be fearful of this, we have to harness it.
[00:59:38.749 --> 00:59:47.532]  We have to utilize technology for what its real gift is, and that's extensions of us to relieve us of different things that we do not want to do, or don't need to do, or are dangerous to do.
[00:59:47.972 --> 00:59:51.173]  And that is a central philosophical point in this arrangement.
[00:59:51.613 --> 00:59:55.895]  To build the first city would rely entirely on pure renewable energy.
[00:59:56.505 --> 00:59:58.246]  Transportation that's completely clean.
[00:59:58.586 --> 01:00:00.007]  You know, it would cost more money.
[01:00:00.067 --> 01:00:01.488]  Hold on, here we go back to the full audience.
[01:00:01.548 --> 01:00:02.148]  Explain it to people.
[01:00:02.168 --> 01:00:02.549]  Here we go.
[01:00:03.769 --> 01:00:06.491]  ...proudly presents the Alex Jones Show.
[01:00:06.851 --> 01:00:09.152]  Because there's a war on for your mind.
[01:00:09.533 --> 01:00:13.035]  We're talking with Peter Joseph, the creator of Zeitgeist.
[01:00:13.055 --> 01:00:14.115]  And he's now made a dendum.
[01:00:14.655 --> 01:00:20.019]  I would hope that some of the Zeitgeist viewers would check out my documentary films.
[01:00:20.899 --> 01:00:25.942]  Because I know the society is engineered, it's stated, it is called the Scientific Dictatorship.
[01:00:26.302 --> 01:00:42.411]  My film, Endgame, Blueprint for Global Enslavement, details just a small part with specifics of what they're doing, how they understand human progression, how they want to face humans out of involvement with the machines, with the systems.
[01:00:42.431 --> 01:00:47.374]  Whereas this could be an empowering thing, as Zeitgeist is talking about, and I actually agree with that in a lot of the film,
[01:00:48.534 --> 01:01:07.583]  They are using it as a way to say they don't need humans, and that we're overpopulated, and we're a scourge, and we've got to just be gotten rid of, and that's been widely discussed and is being pushed by the leading transhumanists, not the whole movement, and the eugenicists, the crypto-eugenicists, and others.
[01:01:07.623 --> 01:01:17.308]  And I was asking the fellow we're talking to with his ideas, the Venus Project ideas, how we would start, and I actually agree, it would be a model system
[01:01:18.909 --> 01:01:26.836]  You know, a town, a city, an area, to be a demonstration of the future and what we can move into.
[01:01:26.856 --> 01:01:40.748]  But then I would ask him the question, how do you stop the establishment from trying to move in and block its development, because they're trying to block anything that decentralizes power?
[01:01:41.429 --> 01:01:42.650]  Yeah, that's a very good question.
[01:01:42.690 --> 01:01:43.831]  That is not a simple answer.
[01:01:44.386 --> 01:01:56.336]  Essentially, the establishment would do everything it could to stop any type of system that was self-preserving in its own way, self-sustaining, excuse me, because you can't get profit off of efficiency, sustainability, or abundance.
[01:01:56.616 --> 01:02:09.447]  That's why our system right now, the free market as we call it, or monetary system, monetaryism as I coined, will never ever work because you can never have a world without war or poverty on a system that's based on differential advantage and scarcity.
[01:02:09.507 --> 01:02:11.529]  The profit is made off of scarcity.
[01:02:11.909 --> 01:02:14.671]  The limited number of things available makes it more profitable.
[01:02:14.711 --> 01:02:23.176]  The old companies have been raping people all the past few years, or continuously since the 1970s, with this general tactic, and it's pervasive throughout the entire system.
[01:02:23.236 --> 01:02:27.018]  So, naturally, the establishment will reject this, and I'm very aware of that.
[01:02:27.058 --> 01:02:30.360]  That is why, at the end of Zeitgeist Addendum, I have a series of boycotts.
[01:02:30.880 --> 01:02:40.526]  When the public begins to wake up to the reality of what's possible as a human species, away from all these ridiculous institutions that have no relevance to anything,
[01:02:41.167 --> 01:02:43.230]  Then, that's when the true awakening will occur.
[01:02:43.670 --> 01:02:48.215]  People will try to distort the system, they will try to bomb it, do whatever, anything could happen, but it doesn't matter.
[01:02:48.516 --> 01:02:51.399]  Because the system will prevail because it's based on something true.
[01:02:51.779 --> 01:02:55.524]  Not money, not competition, but resources and creativity.
[01:02:55.624 --> 01:02:59.709]  But that's what the Great Leap Forward and the Cultural Revolution said they were going to do in China.
[01:03:00.765 --> 01:03:06.366]  Well, obviously it didn't work, and there's probably many good reasons for that, because China is a monetary system, too.
[01:03:06.667 --> 01:03:08.967]  Look, that's why the world system has to change.
[01:03:09.027 --> 01:03:12.828]  That's why the human values system has to begin to understand what's going on.
[01:03:12.908 --> 01:03:15.069]  I'm not saying this is an easy thing to do.
[01:03:15.129 --> 01:03:17.189]  What I'm saying is that this is the next step.
[01:03:17.529 --> 01:03:22.731]  You have to have world unification intellectually to understand the planetary resources and what's capable of it.
[01:03:22.771 --> 01:03:26.332]  But see, then people won't unify, so what do you do about them?
[01:03:26.352 --> 01:03:27.392]  They're going to hold it back!
[01:03:28.052 --> 01:03:31.094]  Well, then, they make that decision, and they sit in their world.
[01:03:31.334 --> 01:03:35.016]  You can have a... Sadly enough, you know, there's no perfect scenario here.
[01:03:35.117 --> 01:03:36.317]  Oh, there's no us against them?
[01:03:37.358 --> 01:03:38.499]  No, there's no us against them.
[01:03:38.519 --> 01:03:40.560]  If someone wants to do something else, they do it.
[01:03:40.620 --> 01:03:43.742]  No one's eradicated, as you belligerently put in your October 8th.
[01:03:43.782 --> 01:03:45.423]  This is a silly, silly notion.
[01:03:45.823 --> 01:03:47.224]  There's nothing... No, I was repeating.
[01:03:47.324 --> 01:03:50.266]  He was talking about classes, everything would be eradicated.
[01:03:50.306 --> 01:03:54.048]  He was talking about the human values system adjusting and growing and adapting.
[01:03:54.088 --> 01:03:54.969]  That's what he's talking about.
[01:03:55.209 --> 01:03:56.750]  Hold on, let's play that clip.
[01:03:57.530 --> 01:03:58.511]  Let me play that clip.
[01:03:59.451 --> 01:04:04.774]  That's the clip we were playing last week, John, which sounds very similar to the H.G.
[01:04:04.794 --> 01:04:06.635]  Wells stuff, but not the H.G.
[01:04:06.675 --> 01:04:07.136]  Wells clip.
[01:04:07.916 --> 01:04:12.058]  It was the clip number 10 is what it's called.
[01:04:12.078 --> 01:04:13.179]  Go ahead and play that.
[01:04:14.281 --> 01:04:19.002]  We're such an abominable, sick society that we won't make the history book.
[01:04:19.262 --> 01:04:24.803]  They just say that large nations took land from smaller nations, used force and violence.
[01:04:25.083 --> 01:04:31.964]  You'll get history talked about as corrupt behavior all the way along until the beginning of the civilized world.
[01:04:32.244 --> 01:04:34.405]  That's when all the nations work together.
[01:04:35.245 --> 01:04:42.306]  World unification, working toward common good for all human beings and without anyone
[01:04:42.694 --> 01:04:54.624]  being subservient to anyone else without social stratification whether it be technical elitism or any other kind of elitism eradicated from the face of the earth.
[01:04:55.305 --> 01:04:58.908]  The state does nothing because there is no state.
[01:04:59.629 --> 01:05:00.870]  There is no state.
[01:05:02.122 --> 01:05:09.030]  Okay, I was saying I heard similar things from the Communists and the Fabian Socialists.
[01:05:09.490 --> 01:05:16.778]  If you go back to your YouTube clip, you specifically project out to your audience that it's an eradication by guns to the head.
[01:05:16.938 --> 01:05:18.500]  Don't even try to deny it, Alex.
[01:05:18.720 --> 01:05:22.084]  No, no, what I'm saying is... No, no, no, what I said is... No, that's what I said.
[01:05:22.104 --> 01:05:27.871]  I said over and over again in society, you know, we hear all these ideas, similar things.
[01:05:27.911 --> 01:05:28.792]  I'm not saying it's the same.
[01:05:29.113 --> 01:05:30.734]  I'm not saying there isn't a lot of value in what you're saying.
[01:05:30.795 --> 01:05:36.642]  I'm saying what happens in the process of getting there generally turns out pretty bad.
[01:05:38.559 --> 01:05:43.705]  Okay, well, that's an assumption that you assume, but it has absolutely no relevance to what he's talking about.
[01:05:43.765 --> 01:05:46.128]  At the very end of this section, he's speaking idealistically.
[01:05:46.148 --> 01:05:48.230]  He's talking about the needs in a broad scheme.
[01:05:48.530 --> 01:05:50.993]  We are an incredibly sick society.
[01:05:51.053 --> 01:05:52.455]  Our value system... Who's sick?
[01:05:52.515 --> 01:05:53.155]  Like evil?
[01:05:53.255 --> 01:05:53.816]  Like evil?
[01:05:53.896 --> 01:05:55.918]  No, sick because we're misinformed.
[01:05:56.459 --> 01:06:05.802]  We have turbulent value systems, we have distortions like religion, we have distortions like fashion, we have distortions like greed and competition that are pervasive and completely perilous.
[01:06:05.822 --> 01:06:07.463]  Let me ask you a question.
[01:06:07.543 --> 01:06:08.023]  You're listening.
[01:06:08.043 --> 01:06:08.884]  That is what he's talking about.
[01:06:09.004 --> 01:06:09.144]  Stop.
[01:06:09.184 --> 01:06:10.124]  Let me finish my point.
[01:06:10.244 --> 01:06:11.204]  I need to ask you a question.
[01:06:11.245 --> 01:06:12.305]  Let me finish my point.
[01:06:13.072 --> 01:06:15.376]  The point is, is that he's speaking idealistically.
[01:06:15.396 --> 01:06:16.878]  World unification without a state.
[01:06:16.918 --> 01:06:17.539]  What does that mean?
[01:06:17.599 --> 01:06:19.321]  No one can even think about something like that.
[01:06:19.622 --> 01:06:23.508]  It means that the state does not serve the function of any type of state we've ever known.
[01:06:23.948 --> 01:06:25.811]  It's not a state of control.
[01:06:26.212 --> 01:06:28.856]  Humans are based in a condition of
[01:06:29.719 --> 01:06:41.984]  Humans are deriving their products from a system that is self-generating and self-sustaining, and they contribute to society not because they want money in return, or power, or any of the nonsensical inventions that we've created.
[01:06:42.264 --> 01:06:46.766]  They contribute to society because they understand that the more you give, the more you get.
[01:06:46.906 --> 01:06:49.269]  Well, here's the problem.
[01:06:49.749 --> 01:07:03.044]  Every time people try to have anarchy in groups of bigger than three or four people, always somebody becomes what we would call corrupt, or sick as you would call them, and starts dominating the others.
[01:07:03.784 --> 01:07:05.827]  And so what I'm saying is, you're a good guy.
[01:07:05.867 --> 01:07:07.168]  I believe you're a nice guy who means well.
[01:07:08.393 --> 01:07:08.993]  Yes, of course we are.
[01:07:09.013 --> 01:07:10.514]  No one's ignorant to the current state of things.
[01:07:26.263 --> 01:07:28.644]  You know, you're sitting there telling me I'm a good guy, right?
[01:07:28.924 --> 01:07:33.387]  And off the air, you come on, you tell me that I'm one of these intellectual elites that pisses his pants.
[01:07:33.627 --> 01:07:34.687]  No, that was on air.
[01:07:34.707 --> 01:07:35.608]  That was on air, bro.
[01:07:35.628 --> 01:07:36.128]  Well, great.
[01:07:36.168 --> 01:07:37.309]  We've been on air the whole time.
[01:07:37.769 --> 01:07:38.909]  Wrong again.
[01:07:39.310 --> 01:07:40.110]  That was on air.
[01:07:40.350 --> 01:07:43.552]  We were yelling at each other, and you just said that I was yelling at you.
[01:07:43.572 --> 01:07:43.932]  Stop, stop.
[01:07:43.972 --> 01:07:44.652]  I'm trying to talk to you.
[01:07:44.672 --> 01:07:45.733]  Put him on hold for just a minute.
[01:07:46.013 --> 01:07:47.954]  Look, I gotta tell you something, man.
[01:07:47.974 --> 01:07:49.015]  You come on here and you say,
[01:07:49.855 --> 01:07:56.118]  Like with some vitriol that I'm back as a $29.95 and I'm selling things and then you admit I'm forced to, you know, yourself.
[01:07:56.738 --> 01:07:59.940]  Buddy, you're playing sad and spooky music on your stuff.
[01:08:00.300 --> 01:08:03.882]  That could be seen as a form of deception much greater than saying $29.95.
[01:08:04.002 --> 01:08:07.564]  I mean, if you want to take the gloves off, I can take them way off here.
[01:08:08.084 --> 01:08:19.672]  Okay, I am trying to be nice here, and I understand you're in this view that you're so intellectual and so sweet and loving that you're just this higher pothead alien, and I'm this lower Neanderthal down here.
[01:08:20.033 --> 01:08:20.933]  I understand all that.
[01:08:20.973 --> 01:08:24.356]  You know, us Texans, I'm crapping in an outhouse out here every five minutes.
[01:08:24.696 --> 01:08:34.983]  My point is, with you, is that I haven't been here trying to shoot you down or attack you, and I said on air about the pissing in the pants.
[01:08:35.143 --> 01:08:35.704]  Okay, so go ahead.
[01:08:36.380 --> 01:08:37.680]  Well, sure, fine.
[01:08:37.800 --> 01:08:38.361]  Wrong again.
[01:08:38.701 --> 01:08:44.122]  You're being extremely irrational with this because I haven't said anything to him.
[01:08:44.182 --> 01:08:49.043]  No, I just said I think you're a nice guy and a smart guy and you came back with an aggressive thing.
[01:08:49.323 --> 01:08:50.944]  You came back with a debate point.
[01:08:51.104 --> 01:08:55.145]  I think you're a little bit two-faced on this and I want to make sure that's apparent that you understand that.
[01:08:55.165 --> 01:08:56.105]  No, it was on air, pal.
[01:08:56.145 --> 01:08:57.146]  Don't try to say it wasn't.
[01:08:57.166 --> 01:08:59.406]  No, I'm not telling the people on air.
[01:08:59.446 --> 01:09:01.107]  There's no two-face about it, buddy.
[01:09:01.347 --> 01:09:02.407]  It's all straight up here.
[01:09:03.266 --> 01:09:04.027]  Okay, well good.
[01:09:04.248 --> 01:09:05.009]  I'm glad to hear that.
[01:09:05.029 --> 01:09:05.950]  Hey, let me ask you a question.
[01:09:06.031 --> 01:09:13.002]  Earlier in your film, I'm going to play the clip, you're talking disdainfully about religion and money and fashion and the family.
[01:09:13.282 --> 01:09:14.744]  And he shows a family.
[01:09:14.985 --> 01:09:15.946]  What about those?
[01:09:15.986 --> 01:09:16.647]  Tell me about them.
[01:09:18.249 --> 01:09:19.570]  Of course the family is a good thing.
[01:09:19.590 --> 01:09:20.611]  Family is a natural institution.
[01:09:37.833 --> 01:09:45.035]  Family is where people will return to in this type of situation, but there'll be a different association because the family will become the community in many ways.
[01:09:45.335 --> 01:09:50.696]  The extensionality that we feel, this thing we call love, is not restricted to your little group or your family.
[01:09:50.716 --> 01:09:51.936]  But love is religious!
[01:09:51.996 --> 01:09:54.217]  It doesn't exist either, just like evil doesn't exist!
[01:09:54.757 --> 01:09:57.478]  Because if evil doesn't exist, good doesn't exist!
[01:09:58.818 --> 01:09:59.898]  I never said evil doesn't exist.
[01:09:59.958 --> 01:10:00.998]  It's a different terminology.
[01:10:01.018 --> 01:10:03.059]  You use it in a religious context very frequently.
[01:10:03.079 --> 01:10:03.459]  I am not!
[01:10:04.321 --> 01:10:04.841]  Well, fine.
[01:10:04.881 --> 01:10:07.743]  If you want to use the word evil, I'll just use the word bad as a synonym.
[01:10:08.084 --> 01:10:09.685]  There is an element of alignment.
