[00:00:04.622 --> 00:00:06.305]  There's too much confusion.
[00:51:51.658 --> 00:51:55.400]  I've interviewed FBI agent Tyrone Powers, who talked about how they would frame people.
[00:51:56.060 --> 00:51:57.561]  The different criminal things they would do.
[00:51:58.841 --> 00:52:00.202]  Tulea, Texas.
[00:52:00.222 --> 00:52:00.922]  56 black people.
[00:52:01.302 --> 00:52:02.143]  No criminal record.
[00:52:02.263 --> 00:52:03.303]  No drug paraphernalia.
[00:52:03.363 --> 00:52:03.863]  No nothing.
[00:52:04.163 --> 00:52:09.726]  On the word of one corrupt cop, gave them all 20 to 90 years in prison.
[00:52:10.746 --> 00:52:11.667]  Now you think about that.
[00:52:11.687 --> 00:52:13.467]  Houston Crime Lab.
[00:52:13.487 --> 00:52:16.829]  Thousands framed indiscriminately.
[00:52:18.049 --> 00:52:19.510]  The police chief had to admit it.
[00:52:19.986 --> 00:52:21.166]  Because his job's on the line.
[00:52:21.186 --> 00:52:23.227]  He's claiming, oh, I'm going to fix that problem.
[00:52:24.107 --> 00:52:28.568]  It's the equivalent of Herman Goering promising to stop what Hitler was up to.
[00:52:29.588 --> 00:52:31.429]  This is amazing, ladies and gentlemen.
[00:52:31.689 --> 00:52:34.489]  So this is why we restrict the scope and size of government.
[00:52:34.729 --> 00:52:36.230]  And it's power over us and our lives.
[00:52:36.510 --> 00:52:37.990]  Because we know there's criminals on the street.
[00:52:38.150 --> 00:52:39.111]  We know there's bad people.
[00:52:39.251 --> 00:52:49.333]  But they don't have the massive mechanisms, the machinery of government, and military, and militarized police, and prison complexes to oppress at levels
[00:52:50.228 --> 00:52:51.029]  Never before seen.
[00:52:51.369 --> 00:52:54.632]  Last century, 200 million killed by government.
[00:52:55.012 --> 00:52:55.633]  200 million killed.
[00:52:55.913 --> 00:52:58.956]  Millions of American Indians, Native Americans, killed in this country.
[00:52:59.156 --> 00:53:10.306]  So don't tell me we shouldn't have a concern when the most draconian legislation in the history of the world, dwarfing Byzantine Spain and France, is rolled out against the people.
[00:53:19.160 --> 00:53:27.422]  Now, I could list the crimes of the FBI, the Defense Department, state police, local police, all day long.
[00:53:27.742 --> 00:53:35.464]  My point is, history shows us that we must watch and we must control and we must limit powerful men.
[00:53:36.264 --> 00:53:39.705]  Because power corrupts and absolute power corrupts absolutely.
[00:53:40.565 --> 00:53:44.166]  And I challenge members of this distinguished body
[00:53:44.798 --> 00:53:45.798]  To be part of history.
[00:53:45.818 --> 00:53:46.839]  To not abstain.
[00:53:47.219 --> 00:53:51.081]  To get out on the field, in your life, and you'll truly be alive.
[00:53:52.361 --> 00:53:54.782]  To not sell out to this corrupt system.
[00:53:56.263 --> 00:53:59.004]  You know, I spoke right before Ron Paul just a few weeks ago, right outside Austin.
[00:53:59.024 --> 00:54:08.388]  He talked about how his poll numbers just go up and up and up, and the support just gets greater and greater and greater as he resists all of this, and as he says no to this, and as he throws the lobbyist out of his office.
[00:54:08.969 --> 00:54:14.371]  The truth is, when the whole world's sold out, you guys are going to get more power out of not going with the system.
[00:54:15.131 --> 00:54:16.953]  This thing is in terminal velocity.
[00:54:18.794 --> 00:54:20.976]  This thing is falling down around itself.
[00:54:21.156 --> 00:54:25.099]  The corruption, the comprehensive annual financial reports, the scams.
[00:54:25.979 --> 00:54:28.181]  Now, I've got about nine minutes left.
[00:54:28.201 --> 00:54:30.863]  I'm going to try to go through these points because they're all very, very important.
[00:54:33.565 --> 00:54:40.851]  Section 213 of the First Patriot Act lets them break into your house or any business and take whatever they want or plant whatever they want and not tell you for six months they were there.
[00:54:41.091 --> 00:54:42.132]  And they're administrative.
[00:54:42.292 --> 00:54:43.173]  They're rubber stamps.
[00:54:44.238 --> 00:54:48.646]  They aren't for Billy Bob's house because we think he has this under the Fourth Amendment.
[00:54:49.828 --> 00:54:50.769]  They're for everybody.
[00:54:50.789 --> 00:54:52.232]  They're for whole classes of people.
[00:54:53.115 --> 00:54:58.858]  And now under the new Patriot Act, they have sections where they say, our officers need not even need these administrative subpoenas or warrants.
[00:54:59.038 --> 00:55:03.140]  They can just carte blanche, go anywhere they want for any crime or suspected crime.
[00:55:03.560 --> 00:55:17.767]  And the spokesman for the Justice Department just a few months ago, after Ashcroft admitted, OK, there is a Patriot Act too, went before the House and Senate, and this was in the news, in the Associated Press, and said, well, yeah, we're going to use this in all crimes, all drug crimes, everything.
[00:55:18.087 --> 00:55:20.828]  Misdemeanors, third degree felonies, everything.
[00:55:20.969 --> 00:55:21.749]  That's on the record.
[00:55:23.127 --> 00:55:23.227]  U.S.
[00:55:23.287 --> 00:55:27.588]  attorneys, deputy attorneys, system attorneys, all these people, they're saying, yeah, we're going to use this for everything.
[00:55:28.108 --> 00:55:29.289]  They are using it for everything.
[00:55:29.469 --> 00:55:44.493]  The Victory Act, which is a continual salvo in this attack on the American people, clearly states that any possession of a controlled substance is an act of terrorism under Section 802, pointing back to that enacting clause.
[00:55:45.373 --> 00:55:46.333]  Well, it endangers human life.
[00:55:46.373 --> 00:55:47.553]  It's a weapon of mass destruction.
[00:55:47.894 --> 00:55:53.375]  They've actually got articles in the news about, oh yeah, they're charging people with weapons of mass destruction because they had marijuana.
[00:55:54.535 --> 00:55:55.695]  We don't want to be part of this.
[00:55:55.735 --> 00:55:56.655]  This is crazy!
[00:55:57.316 --> 00:55:58.976]  People disappearing in the middle of the night.
[00:55:58.996 --> 00:56:02.217]  I mean, what did Alexander Sholtsanitsa say in Gulag Archipelago?
[00:56:02.557 --> 00:56:09.318]  Oh, how we burned in the camps later, wishing that when the secret police went out at night to come to our doors, we would have met them.
[00:56:10.298 --> 00:56:13.799]  Met them downstairs with pokers and axes and daggers.
[00:56:27.637 --> 00:56:30.641]  We're on the march, the empire's on the run.
[00:56:31.582 --> 00:56:34.365]  Alex Jones and the GCN Radio Network.
[00:56:37.529 --> 00:56:43.917]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:56:44.298 --> 00:56:45.960]  The enemy struck America on September 11th.
[00:56:46.932 --> 00:56:47.932]  But who is the enemy?
[00:56:48.453 --> 00:56:48.993]  Bin Laden.
[00:56:49.253 --> 00:56:50.253]  This is his ammo.
[00:56:50.274 --> 00:56:51.554]  We have to look to the Middle East.
[00:56:51.614 --> 00:56:53.295]  We have to look to Osama Bin Laden.
[00:56:53.615 --> 00:57:00.378]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:57:00.778 --> 00:57:01.198]  Some U.S.
[00:57:01.238 --> 00:57:06.921]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:57:07.601 --> 00:57:11.084]  I'm aware that some Israeli citizens have been detained.
[00:57:11.104 --> 00:57:21.352]  Bin Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:57:21.572 --> 00:57:22.333]  Fabled enemies.
[00:57:22.813 --> 00:57:30.079]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[00:57:30.579 --> 00:57:33.922]  Either you are with us or you are with the terrorists.
[00:57:37.250 --> 00:57:40.291]  You ever have one of those days where everything goes right?
[00:57:40.671 --> 00:57:42.732]  First, I get the best parking space at work.
[00:57:42.992 --> 00:57:45.992]  Tonight, I have a date with a very lovely Rachel.
[00:57:46.272 --> 00:57:52.774]  And today, I gave a killer presentation in Sydney, finalized a contract in London, and demoed our new product in Boston.
[00:57:53.154 --> 00:57:55.275]  Online, from my desk, with Webex.
[00:57:55.775 --> 00:57:58.836]  Webex lets me take meetings and give presentations from my desk.
[00:57:59.077 --> 00:58:03.719]  I just talk to clients on the phone and they watch what's happening on my desktop from their desktop.
[00:58:03.859 --> 00:58:07.540]  So I can travel the world and still be here for my date tonight with Rachel.
[00:58:07.781 --> 00:58:09.301]  Travel less, meet online.
[00:58:09.421 --> 00:58:11.902]  Go to Webex.com and try Webex free.
[00:58:12.083 --> 00:58:14.404]  Just click the radiographic and enter promo code 500.
[00:58:15.484 --> 00:58:21.529]  To get a free trial and a free webcam, too, remember that code, 500, to qualify for the free webcam.
[00:58:21.769 --> 00:58:26.352]  Webex, now part of Cisco, and used by more than five and a half million people every month.
[00:58:26.452 --> 00:58:27.753]  Give it a try, free.
[00:58:28.014 --> 00:58:33.338]  Go to Webex.com and enter the promo code 500, W-E-B-E-X.com.
[00:58:33.438 --> 00:58:34.839]  Free webcams available while supplies last.
[00:58:34.879 --> 00:58:35.799]  Terms and restrictions apply.
[00:58:35.819 --> 00:58:36.680]  See website for details.
[00:58:37.781 --> 00:58:40.243]  David J. Smith for Newswatch Magazine.
[00:58:41.303 --> 00:58:50.230]  Did you know that the Rhodes Scholar was founded by Cecil Rhodes of England for the purpose of educating bright young men to learn to rule the world?
[00:58:51.110 --> 00:58:57.835]  He said in 1890 that within a hundred or so years there would be enough trained men that world government could be achieved.
[00:58:58.696 --> 00:59:02.559]  President Bill Clinton and several in his administration were Rhodes Scholars.
[00:59:03.159 --> 00:59:04.560]  Was Cecil Rhodes right?
[00:59:05.301 --> 00:59:07.102]  Are we approaching this world government?
[00:59:07.714 --> 00:59:16.420]  We'd like to help you understand why these things are happening by offering you an absolutely free one-year subscription to Newswatch Magazine.
[00:59:17.360 --> 00:59:18.861]  Just call our toll-free number 1-800-516-8736.
[00:59:18.881 --> 00:59:19.362]  That's 1-800-516-8736.
[00:59:19.402 --> 00:59:25.125]  Call now while operators are standing by to receive your call.
[00:59:25.186 --> 00:59:25.606]  It's free.
[00:59:39.884 --> 00:59:48.969]  We'd like to help you understand why these things are happening by offering you an absolutely free one-year subscription to Newswatch Magazine.
[00:59:49.550 --> 00:59:51.030]  Just call our toll-free number, 1-800-516-8736.
[00:59:51.050 --> 00:59:51.511]  That's 1-800-516-8736.
[00:59:51.571 --> 00:59:57.334]  Call now while operators are standing by to receive your call.
[00:59:57.354 --> 00:59:57.774]  It's free.
[01:00:17.011 --> 01:00:18.072]  Who is that horseman?
[01:00:18.112 --> 01:00:18.812]  I think I know him.
[01:00:18.872 --> 01:00:20.213]  Minnie a young maid.
[01:00:20.273 --> 01:00:21.193]  Minnie a soldier.
[01:00:21.213 --> 01:00:22.133]  You are living history.
[01:00:22.153 --> 01:00:25.035]  Things are negative, but at the same time they're very positive.
[01:00:50.682 --> 01:00:54.444]  The New World Order is being revealed.
[01:00:54.904 --> 01:01:10.312]  And the millions of freedom-lovers who exposed the New World Order to so many, their credibility is rising right now.
[01:01:11.112 --> 01:01:13.073]  We were right.
[01:01:13.653 --> 01:01:18.155]  We were the watchmen and women on the wall.
[01:01:18.195 --> 01:01:18.756]  We were there.
[01:01:25.796 --> 01:01:26.576]  We're good to go.
[01:01:58.430 --> 01:01:59.451]  We told the truth.
[01:01:59.491 --> 01:02:00.713]  We didn't falter.
[01:02:15.905 --> 01:02:19.530]  One thing that never dies is the fame of a
[01:02:45.654 --> 01:02:50.937]  And those heroes will be back again, and again, and again.
[01:02:51.237 --> 01:02:55.658]  And I salute you all.
[01:02:55.779 --> 01:03:05.943]  All right, I'm going to go to Joel, George, Fred, Robert, Travis, and a few others if we have time.
[01:03:05.963 --> 01:03:07.743]  I want to recap the top stories today.
[01:03:07.803 --> 01:03:11.745]  Incredible developments that we have witnessed at the end on the economy.
[01:03:12.623 --> 01:03:20.746]  Before I do that, this show is made possible... And we're no longer live on prisonpanda.tv, right?
[01:03:21.246 --> 01:03:21.446]  Good.
[01:03:21.846 --> 01:03:27.328]  That was a pretty good rant I just did then, for the camera.
[01:03:27.508 --> 01:03:29.189]  Love fighting the new world order, ladies and gentlemen.
[01:03:30.209 --> 01:03:36.011]  Before I go any further, I want to tell you about the great folks at Acola Bloom.
[01:03:37.205 --> 01:03:38.946]  It's an atmospheric water generator for the home.
[01:03:38.986 --> 01:03:41.247]  Pays for itself in one year if you buy your water from the store.
[01:03:41.307 --> 01:03:44.209]  Pure, clean water without the fluoride and limited water from the humidity in the air.
[01:03:44.629 --> 01:03:46.150]  Machine produces up to 28 liters in 24 hours, 7.5 gallons.
