[00:00:00.009 --> 00:00:02.410]  Justin Texas, Alex Jones.
[00:47:59.691 --> 00:48:08.036]  All we can do is fight on to the end, whatever the cost may be, so I hope you'll visit InfoWars.com and get some of the great books and videos and films we've made.
[00:48:08.676 --> 00:48:10.837]  They're the best out there, and get them out to people.
[00:48:11.098 --> 00:48:16.281]  And I hope you'll get a PrisonPlanet.tv membership so we can expand our operations here and fight the New World Order.
[00:48:18.126 --> 00:48:29.620]  I also hope that you will support sponsors like eFoodsDirect.com, the J. Michael Stevens Group, eFoodsDirect.com, the longest continually operating storable foods company in the nation.
[00:48:30.040 --> 00:48:35.406]  Big banners to eFoodsDirect.com, at the top of Infowars.com and PrisonPlanet.com.
[00:48:35.767 --> 00:48:37.789]  Again, eFoodsDirect.com.
[00:48:38.570 --> 00:48:42.853]  You can go there and watch videos and listen to audios about storable foods and preparedness.
[00:48:42.893 --> 00:48:44.194]  Really good stuff from Steve Shank.
[00:48:44.714 --> 00:48:51.779]  Or you can call toll free and get a free brochure or audio CD or order storable foods, high quality storable foods.
[00:48:51.799 --> 00:48:54.761]  1-800, very affordable though, 1-800-409-5633.
[00:48:54.781 --> 00:48:57.203]  The big thing is take care of yourselves.
[00:48:57.643 --> 00:49:00.545]  Take care of yourselves first, then you can take care of other people.
[00:49:00.565 --> 00:49:00.605]  800-409-5633.
[00:49:05.295 --> 00:49:09.216]  800-409-5633 or efoodsdirect.com.
[00:49:10.917 --> 00:49:13.457]  And I hope that you will certainly check them out.
[00:49:13.957 --> 00:49:20.319]  There's also Ecoloblue, and it is spelled out for everybody.
[00:49:20.879 --> 00:49:23.240]  E-C-O-L-O-B-L-U-E dot com.
[00:49:23.280 --> 00:49:26.181]  Big banner up on infowars.com if you forget it.
[00:49:26.561 --> 00:49:28.181]  But it's Ecoloblue dot com.
[00:49:28.281 --> 00:49:30.382]  E-C-O-L-O-B-L-U-E dot com.
[00:49:31.302 --> 00:49:33.903]  And it's humidity right out of the air.
[00:49:35.205 --> 00:49:37.746]  And it does 7.5 gallons a day in normal humidity.
[00:49:38.386 --> 00:49:39.607]  About half that in a desert.
[00:49:40.467 --> 00:49:43.768]  And you can just grab water out of the air and plug a solar panel into it or into the wall.
[00:49:44.228 --> 00:49:45.869]  Atmospheric water generator for the home.
[00:49:45.889 --> 00:49:45.989]  1-866-585-4044.
[00:49:46.009 --> 00:49:46.289]  1-866-585-4044.
[00:49:46.309 --> 00:49:47.050]  Or at colablue.com.
[00:49:47.090 --> 00:49:47.490]  Don't wait.
[00:49:47.630 --> 00:49:48.310]  It's a great system.
[00:49:48.330 --> 00:49:49.430]  Check it out today.
[00:49:49.450 --> 00:49:49.490]  866-585-4044.
[00:49:59.315 --> 00:49:59.875]  I'm sorry.
[00:50:00.155 --> 00:50:03.899]  We'll have a bunch of big guests tomorrow and your phone calls throughout the week.
[00:50:03.960 --> 00:50:06.082]  Really important shows lined up for you.
[00:50:06.502 --> 00:50:08.244]  And how does the radio show grow?
[00:50:09.045 --> 00:50:10.046]  By you spreading the word.
[00:50:10.627 --> 00:50:16.753]  If you're an internet listener, not an MRFM, but an internet listener, you can tune right back in to the show at InfoWars.com.
[00:50:16.793 --> 00:50:18.615]  A bunch of key economic news at the start of the show.
[00:50:19.056 --> 00:50:20.257]  InfoWars.com streams.
