[00:00:00.669 --> 00:00:01.770]  Government cover-ups.
[01:41:12.131 --> 01:41:18.916]  Anybody who drives and smokes now has an extra, especially if you smoke a pack a day, I gotta figure you're spending an extra $100 to $200 a week on
[01:41:22.088 --> 01:41:22.589]  On garbage.
[01:41:22.810 --> 01:41:23.291]  On lies.
[01:41:23.331 --> 01:41:31.672]  I mean, the tobacco companies lose lawsuits, and then the taxpayers end up paying for it, and the smokers just end up having to pay more to get cancer.
[01:41:32.617 --> 01:41:34.297]  I mean, the system is so twisted.
[01:41:34.317 --> 01:41:38.158]  And then to say that you're not allowed to go get gas in another state because it's cheaper?
[01:41:38.578 --> 01:41:46.881]  I mean, people would be outraged if you did that in New York because, believe it or not, New Jersey still has much cheaper gas than New York City and the border is right there.
[01:41:46.901 --> 01:41:51.382]  I know a lot of people that go directly to Jersey because gas is about $1.52 cheaper.
[01:41:51.662 --> 01:41:56.783]  When they start regulating you by your license plate or where you're from stateside to get gas,
[01:41:57.913 --> 01:41:59.214]  Yeah, that's scary stuff.
[01:41:59.274 --> 01:42:00.455]  I had not heard that story.
[01:42:00.495 --> 01:42:05.378]  I would suggest you email it over to Aaron at Infowars.com or tips at Infowars.com.
[01:42:05.418 --> 01:42:06.979]  You got anything else for me, Chris?
[01:42:07.280 --> 01:42:15.065]  Yeah, it's also, we did have the newspaper here, the Courier-Journal here in Louisville also now, so they're going to have massive roadblocks of checkpoints everywhere this weekend.
[01:42:15.105 --> 01:42:16.546]  So this is not freedom this weekend.
[01:42:17.006 --> 01:42:21.970]  No, it's definitely not, and it'll all be in light of, you know, drunk drivers and all this other stuff, but
[01:42:22.540 --> 01:42:26.282]  You know, I understand where people are like, well, we need to save lives.
[01:42:26.422 --> 01:42:27.083]  It's a holiday.
[01:42:27.123 --> 01:42:31.545]  But what we don't need is Fourth Amendment breaking checkpoints.
[01:42:31.605 --> 01:42:33.366]  If somebody is swerving on the road, that's great.
[01:42:33.406 --> 01:42:34.267]  Double the cops today.
[01:42:34.287 --> 01:42:35.247]  I have no problem with that.
[01:42:36.448 --> 01:42:36.688]  Yeah.
[01:42:36.728 --> 01:42:38.309]  Just don't stop us for no reason.
[01:42:38.329 --> 01:42:38.489]  Yeah.
[01:42:38.529 --> 01:42:39.830]  That's triple the cops today.
[01:42:40.070 --> 01:42:40.370]  Whatever.
[01:42:40.410 --> 01:42:41.271]  Have them on the lookout.
[01:42:41.311 --> 01:42:43.792]  You know, there's enough rats out there anyway today.
[01:42:43.852 --> 01:42:46.714]  If someone swerves just slightly off the road, everybody's got a cell phone.
[01:42:46.954 --> 01:42:49.095]  I know plenty of people that call it in, you know,
[01:42:49.716 --> 01:43:01.623]  There's no reason to have us stop, let me see your papers, okay, get out of the car, and then even if you're not drunk or haven't done anything illegal, oh I see you don't have your seatbelt on, well there's a $200 fine, here you go sir, just pull over for a moment.
[01:43:02.264 --> 01:43:03.264]  It's a total rape fest.
[01:43:04.405 --> 01:43:08.948]  And that's what they're conditioning with this high price of gas by just having the state police sit at checkpoint.
[01:43:08.968 --> 01:43:09.868]  Yeah, absolutely man.
[01:43:09.909 --> 01:43:10.949]  Alright, thank you Chris.
[01:43:10.969 --> 01:43:13.191]  We're going to jump to the next caller.
[01:43:13.611 --> 01:43:15.532]  Let's go to Louie in Texas.
[01:43:15.572 --> 01:43:16.052]  What's up Louie?
[01:43:18.328 --> 01:43:18.849]  What's on your mind?
[01:43:18.869 --> 01:43:19.589]  Yes, what's on your mind?
[01:43:19.629 --> 01:43:20.430]  You're on the air.
[01:43:20.450 --> 01:43:25.394]  Hey, you're going to have Bob Chapman of the International Forecaster pretty soon?
[01:43:25.574 --> 01:43:26.695]  Yeah, he's going to be on at 1 o'clock.
[01:43:27.356 --> 01:43:27.636]  Okay.
[01:43:28.177 --> 01:43:34.202]  I'm just wondering, one little thing I was thinking about is we're getting payments, you know, that refund check.
[01:43:34.262 --> 01:43:35.463]  Yeah, the $600 check.
[01:43:35.663 --> 01:43:35.903]  Yes.
[01:43:36.604 --> 01:43:40.307]  And then money from the state also, if you're on a pension and things like that.
[01:43:40.347 --> 01:43:45.812]  Doesn't the Constitution require federal and states to pay what they owe in silver and gold?
[01:43:47.232 --> 01:43:49.334]  They have a class action action right there.
[01:43:49.674 --> 01:43:53.417]  Well, I think they changed that when they brought in the Federal Reserve Banking System, right?
[01:43:53.437 --> 01:43:54.819]  I'm pretty sure that's what it was.
[01:43:54.839 --> 01:43:57.541]  I don't think they had a constitutional amendment for that.
[01:43:57.961 --> 01:43:59.923]  All right, well, what do you want me to ask Chapman?
[01:44:00.383 --> 01:44:07.950]  I'll ask him if there's a possibility to kick-start class action in every state for any payment you get from the state or federal government.
[01:44:08.130 --> 01:44:09.711]  That is not silver or gold.
[01:44:09.731 --> 01:44:10.712]  All right, I'll ask him that, man.
[01:44:10.752 --> 01:44:11.733]  I thank you for the call.
[01:44:12.053 --> 01:44:14.875]  Let's jump to Joe in Pennsylvania.
[01:44:14.975 --> 01:44:15.696]  Joe, what's happening?
[01:44:16.289 --> 01:44:17.329]  Hey, how are you doing, Jason?
[01:44:17.429 --> 01:44:17.830]  Good, man.
[01:44:18.610 --> 01:44:43.057]  Listen, I've got to tell you, I downloaded, I'm a Prison Planet team member, and I downloaded Truth Rising, and about 20 minutes into it, I mean, I just started weeping, because, you know, there's so many people, you guys put so much effort into this, and my heart goes out to all those people that were, you know, they were arguing back and forth, and they don't realize that you guys are down there trying to help, and they don't know.
[01:44:43.917 --> 01:44:44.738]  They don't know.
[01:44:46.260 --> 01:44:55.225]  You know, I just, it's an incredible effort and it just made me want to, you know, like I said, I've been on before, I'm in a wheelchair, I'm quadriplegic, and I want to get down there.
[01:44:55.945 --> 01:45:01.428]  And I don't know, I got some people here that may be able to bring me down on September 11th, that's the one coming up.
[01:45:01.648 --> 01:45:01.848]  Yep.
[01:45:02.028 --> 01:45:08.291]  But it's a fantastic video, and not only that, there's so many more sources out there.
[01:45:08.331 --> 01:45:12.133]  These people, you know, they call you guys nutjobs, Alex Jones is a nutjob.
[01:45:12.514 --> 01:45:15.315]  They don't realize, like, I go on the internet and I look at
[01:45:16.055 --> 01:45:25.057]  You know, hundreds of sources of different people exposing the truth, and that BBC guy that's gonna supposedly discredit the Building 7 thing?
[01:45:25.497 --> 01:45:38.181]  He's going to look stupid because, you know, it's not just... There's so much information out there to the contrary, and I have people, you know, they're called sheeple, right?
[01:45:38.561 --> 01:45:38.741]  Yes.
[01:45:38.841 --> 01:45:43.162]  And I got a guy that I racked, a buddy of mine, just emailed me and said,
[01:45:44.257 --> 01:45:46.538]  I wished him a happy Fourth of July.
[01:45:46.558 --> 01:45:51.439]  I asked him how he was doing, and he said, you know, we don't need to be here.
[01:45:51.459 --> 01:45:52.479]  They need to get the U.S.
[01:45:52.579 --> 01:45:55.499]  out because, he said, Afghans don't want them there.
[01:45:55.519 --> 01:45:58.540]  He said they're basically big targets.
[01:45:59.320 --> 01:45:59.940]  Oh, absolutely.
[01:46:00.160 --> 01:46:00.800]  But you know what?
[01:46:00.820 --> 01:46:02.481]  Let me just stop you for a second.
[01:46:02.921 --> 01:46:08.042]  They have now set it up to make sure people understand that there is no getting out of Afghanistan.
[01:46:08.840 --> 01:46:15.925]  Let's see, I did the show two weeks ago, a little over two weeks ago, and the big news on Friday was, oh, prison break!
[01:46:15.985 --> 01:46:17.086]  Kandahar prison break!
[01:46:17.126 --> 01:46:19.948]  A thousand people escaped, many of them Taliban.
[01:46:20.680 --> 01:46:25.922]  On Monday, it was Taliban have a new stronghold in Afghanistan, and they've been hyping that up the past couple weeks.
[01:46:26.322 --> 01:46:28.522]  By Monday afternoon, it was reported that the U.S.
[01:46:28.562 --> 01:46:32.203]  forces gave the green light for that attack, and they may have even helped.
[01:46:32.343 --> 01:46:34.184]  Well, they did that because they're not going anywhere.
[01:46:34.204 --> 01:46:36.064]  They need an external threat.
[01:46:36.104 --> 01:46:40.446]  They need an enemy to fight or people get hip to it, just like your soldier friend.
[01:46:40.906 --> 01:46:47.268]  And you know that a lot of the soldiers know over there there's no reason to be in Afghanistan other than to secure some rich guy's interests.
[01:46:47.668 --> 01:46:48.628]  I mean, it's sad, man.
[01:46:49.247 --> 01:46:53.868]  And I hope that movies like this one show how we can make a difference over here.
[01:46:54.128 --> 01:46:58.109]  You know, we need to help those people over there by making people aware over here.
[01:46:58.129 --> 01:46:58.930]  And you're right, man.
[01:46:58.970 --> 01:47:06.331]  It does make me very, very sad and disheartened sometimes when I'm talking to somebody, and you're right, I'm trying to help, and they just don't get it.
[01:47:06.411 --> 01:47:09.352]  But I really feel like we can break through that facade.
[01:47:09.372 --> 01:47:09.872]  You know what I mean?
[01:47:10.252 --> 01:47:16.194]  Well, they're coming home, and I am encouraging them to not re-enlist.
[01:47:17.060 --> 01:47:23.862]  And I want to show him the videos, and there was a guy, a kid, he came up to me, and he's like, oh, I just got a $30,000 a year job.
[01:47:23.882 --> 01:47:25.002]  I'm going into the military.
[01:47:25.042 --> 01:47:27.643]  And I said, listen, if it's about money, I said, did you do your training?
[01:47:28.203 --> 01:47:29.363]  He said, yeah, I did my training.
[01:47:29.423 --> 01:47:31.484]  I said, did you sign documents and all that?
[01:47:31.504 --> 01:47:32.024]  He said, yeah.
[01:47:32.504 --> 01:47:33.605]  I said, did they inoculate you?
[01:47:33.625 --> 01:47:34.205]  And he's like, no.
[01:47:34.245 --> 01:47:38.706]  And I said, well, if it's just about the money, I said, you know, if you're not a patriot, go to Blackwater.
[01:47:38.746 --> 01:47:41.967]  They'll hire you for $100,000 a year if you don't give a shit about your country.
[01:47:42.287 --> 01:47:42.587]  Sorry.
[01:47:42.627 --> 01:47:43.867]  Yeah, I got to let you go.
[01:47:43.887 --> 01:47:44.808]  Hey, I understand, man.
[01:47:46.983 --> 01:47:47.964]  I'll let you go after that.
[01:47:48.964 --> 01:47:49.805]  I feel your sentiment.
[01:47:49.845 --> 01:47:52.026]  I'm glad you're a PrisonPlan.TV subscriber.
[01:47:52.046 --> 01:47:53.067]  I'm glad you dig the film.
[01:47:53.387 --> 01:47:54.608]  Hope you spread it out to your friends.
[01:47:55.028 --> 01:47:58.090]  Alright, let's go to Jay in North Carolina.
[01:47:58.150 --> 01:47:58.971]  Jay, what's the haps?
[01:47:59.811 --> 01:48:00.511]  Hey, Jason.
[01:48:00.972 --> 01:48:02.673]  I just wanted to make a couple of comments.
[01:48:03.173 --> 01:48:04.374]  A friend of mine just called me.
[01:48:04.414 --> 01:48:07.136]  I'm an over-the-road truck driver, and he just called me from
[01:48:08.376 --> 01:48:16.321]  from Washington and she just went to her local 4th of July parade and they had a 9-11 truth float in the parade.
[01:48:17.001 --> 01:48:17.962]  Oh, that is awesome!
[01:48:18.022 --> 01:48:18.602]  Where was this?
[01:48:19.823 --> 01:48:24.066]  It was in Tacoma Park, just a suburb of Washington, D.C.
[01:48:24.526 --> 01:48:27.207]  Now, I've been doing this since the one-year anniversary.
[01:48:27.267 --> 01:48:28.608]  I've been handing out information.
[01:48:28.628 --> 01:48:31.110]  I've handed out over 8,000 DVDs to people.
[01:48:33.371 --> 01:48:34.452]  We are winning, people.
[01:48:34.812 --> 01:48:37.554]  We are winning this fight and this
[01:48:38.638 --> 01:48:39.218]  We're good to go.
[01:49:01.215 --> 01:49:13.218]  Well, we hope that this movie is that, and we hope that this brings thousands of people to ground zero yet again this year, on the anniversary of 9-11, and just redoubles our efforts.
[01:49:13.539 --> 01:49:15.499]  We hope that it starts new chapters of We Are Change.
[01:49:15.699 --> 01:49:17.440]  We hope it starts other organizations.
[01:49:17.680 --> 01:49:20.581]  We hope it triples the activism in the next six months.
[01:49:20.601 --> 01:49:22.501]  I think that this movie can do that, Jay.
[01:49:23.301 --> 01:49:28.483]  Listen, Jason, about a month and a half ago, I drove through one of these Draw Your Blood checkpoints.
[01:49:29.827 --> 01:49:32.467]  Down in Albuquerque, New Mexico.
[01:49:32.487 --> 01:49:32.948]  Mm-hmm.
[01:49:33.848 --> 01:49:37.848]  And I was actually interviewed on a radio station for the whole hour about it.
[01:49:37.908 --> 01:49:39.809]  The whole situation was kind of weird.
[01:49:41.969 --> 01:49:45.710]  There was about 200 police on I-40.
[01:49:45.750 --> 01:49:49.530]  They had I-40 shut down both ways, just east of Albuquerque.
[01:49:49.550 --> 01:49:50.130]  Mm-hmm.
[01:49:50.911 --> 01:49:55.231]  And they had... It was a four-lane road at that point.
[01:49:55.251 --> 01:49:59.032]  They had three lanes with checkpoints and they had all semis left lane.
[01:49:59.468 --> 01:50:28.099]  Well, I got waved through this checkpoint, but as I was driving by it, I was looking at this scene, and they had, um, they had four, uh, three deep, four long checkpoints with three officers at each one to check your car as you drove up to it, um, and, and, um, and then just past that, they had a whole bunch of cops milling around, and then just past that, down the exit ramp, they had ten ambulances, all with their doors open and all with their lights on.
[01:50:29.361 --> 01:50:32.925]  And just past that, they had about 200 impounded cars.
[01:50:33.206 --> 01:50:33.486]  Wow.
[01:50:33.606 --> 01:50:37.571]  Alright, Jay, I gotta let you go, but it's a scary world we live in, when they're taking your blood.
[01:50:37.851 --> 01:50:41.736]  It's not freedom, folks, but it is the 4th of July, so let's declare our independence.
[01:50:42.256 --> 01:50:43.177]  It's the Alex Jones Show.
[01:50:43.197 --> 01:50:44.239]  We'll be back after this.
[01:50:52.173 --> 01:50:56.378]  Would you like to know how you can use water as fuel and laugh at the rising price of gas?
[01:50:56.598 --> 01:50:58.560]  Then keep listening for a very special offer.
[01:50:58.741 --> 01:51:03.886]  GasFreedom.info has the information you need to learn about a simple technology you can have right now.
[01:51:04.107 --> 01:51:08.311]  Gas Freedom is a do-it-yourself, affordable, practical, free-energy device.
[01:51:08.572 --> 01:51:12.676]  It uses electricity from your car's battery to separate water into a gas called HHF.
[01:51:15.816 --> 01:51:16.396]  Thanks for watching!
[01:51:31.861 --> 01:51:35.602]  Visit gasfreedom.info and receive $100 off of your order.
[01:51:35.762 --> 01:51:38.543]  Turn any car into a hybrid and laugh all the way to the bank.
[01:51:38.743 --> 01:51:40.203]  Visit gasfreedom.info.
[01:51:40.303 --> 01:51:41.264]  That's gasfreedom.info.
[01:51:41.404 --> 01:51:41.684]  Or call 239-628-3708.
[01:51:41.704 --> 01:51:42.124]  That's 239-628-3708.
[01:51:42.164 --> 01:51:42.844]  Call today.
[01:51:43.004 --> 01:51:43.764]  It is a big idea.
[01:51:43.824 --> 01:51:44.505]  A new world order.
[01:51:44.565 --> 01:51:45.045]  In the near future.
[01:51:56.937 --> 01:51:59.659]  Earth is dominated by a powerful world government.
[01:51:59.999 --> 01:52:02.141]  It's known as the Bilderberg Group.
[01:52:02.821 --> 01:52:05.063]  Could their objective be world domination?
[01:52:05.603 --> 01:52:08.045]  For thousands of years, their dark order grew.
[01:52:08.806 --> 01:52:16.111]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[01:52:19.141 --> 01:52:24.104]  For the first time in history, the elite's plan for world government is blown wide open.
[01:52:24.585 --> 01:52:28.087]  You will learn the secret that drives the entire New World Order agenda.
[01:52:28.447 --> 01:52:30.949]  Bill of Rights makes great progress for the world government.
[01:52:31.029 --> 01:52:32.190]  Most people have no idea.
[01:52:32.210 --> 01:52:32.950]  They're not after money.
[01:52:32.970 --> 01:52:34.071]  They have all the money they need.
[01:52:34.251 --> 01:52:34.972]  They're after power.
[01:52:35.232 --> 01:52:36.052]  That's what they're after.
[01:52:36.393 --> 01:52:44.638]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com or watch it online right now at PrisonPlanet.tv.
[01:52:45.118 --> 01:52:47.420]  Endgame, blueprint for global enslavement.
[01:52:47.900 --> 01:52:49.001]  You have been warned.
[01:52:49.741 --> 01:52:52.803]  You ever have one of those days where everything goes right?
[01:52:53.163 --> 01:52:55.244]  First, I get the best parking space at work.
[01:52:55.484 --> 01:52:58.486]  Tonight, I have a date with a very lovely Rachel.
[01:52:58.786 --> 01:53:05.269]  And today, I gave a killer presentation in Sydney, finalized a contract in London, and demoed our new product in Boston.
[01:53:05.670 --> 01:53:07.771]  Online, from my desk, with Webex.
[01:53:08.271 --> 01:53:11.333]  Webex lets me take meetings and give presentations from my desk.
[01:53:11.573 --> 01:53:16.215]  I just talk to clients on the phone and they watch what's happening on my desktop from their desktop.
[01:53:16.355 --> 01:53:20.037]  So I can travel the world and still be here for my date tonight with Rachel.
[01:53:20.297 --> 01:53:21.818]  Travel less, meet online.
[01:53:21.898 --> 01:53:24.399]  Go to Webex.com and try Webex free.
[01:53:24.579 --> 01:53:26.901]  Just click the radiographic and enter promo code 500.
[01:53:27.941 --> 01:53:31.282]  To get a free trial and a free webcam, too, remember that code, 500.
[01:53:32.463 --> 01:53:38.885]  To qualify for the free webcam, Webex, now part of Cisco, and used by more than five and a half million people every month.
[01:53:39.125 --> 01:53:40.426]  Give it a try, free.
[01:53:40.586 --> 01:53:45.788]  Go to Webex.com and enter the promo code 500, W-E-B-E-X.com.
[01:53:45.888 --> 01:53:47.308]  Free webcams available while supplies last.
[01:53:47.328 --> 01:53:48.189]  Terms and restrictions apply.
[01:53:48.209 --> 01:53:49.129]  See your website for details.
[01:54:09.264 --> 01:54:12.107]  There must be some kind of way out of here.
[01:54:13.568 --> 01:54:17.492]  Said a joker to the thief.
[01:54:17.912 --> 01:54:19.714]  There's too much confusion.
[01:54:19.834 --> 01:54:24.559]  I can't get no relief.
[01:54:26.461 --> 01:54:29.404]  Been standing to drink my wine.
[01:54:38.142 --> 01:54:39.363]  Alright folks, we're back!
[01:54:39.563 --> 01:54:43.047]  It's the Alex Jones Show.
[01:54:43.167 --> 01:54:44.088]  I'm Jason Berman.
[01:54:44.528 --> 01:54:46.290]  My little website is loosechange911.com.
[01:54:46.370 --> 01:54:52.897]  You can check out Loose Change 2nd Edition, Loose Change Final Cut over there.
[01:54:53.797 --> 01:54:57.618]  If you want to check me out, it's MySpace.com slash Jason Bermas, B-E-R-M-A-S.
[01:54:58.198 --> 01:55:02.099]  And we're going to have Bob Chapman on in the next hour, but I'm going to shoot through.
[01:55:02.179 --> 01:55:04.760]  I'm going to try to go through four calls, so we've got to make it quick, folks.
[01:55:05.580 --> 01:55:07.180]  Let's go to Archie in Portland.
[01:55:07.200 --> 01:55:07.801]  What's up, Archie?
[01:55:09.381 --> 01:55:09.901]  Hey, Jason.
[01:55:10.341 --> 01:55:10.921]  How you doing, man?
[01:55:11.702 --> 01:55:12.162]  I'm good.
[01:55:12.762 --> 01:55:13.762]  I will make it quick.
[01:55:14.422 --> 01:55:19.123]  I don't know if... I haven't seen Truth Rising, but I did see Loose Change Final Cut.
[01:55:19.143 --> 01:55:20.404]  I got it from my local library.
[01:55:20.644 --> 01:55:21.244]  Oh, awesome!
[01:55:21.707 --> 01:55:22.528]  Yeah, and it's really good.
[01:55:22.588 --> 01:55:27.611]  I like the way you guys, you know, sort of dropped some of the things that weren't approvable and tightened it up.
[01:55:27.731 --> 01:55:28.892]  Very good presentation.
[01:55:28.932 --> 01:55:33.055]  I can't imagine anyone watching it and not being convinced that it was an inside job.
[01:55:33.496 --> 01:55:41.942]  To that, I'm reading the 9-11 Commission report, and you guys may have covered this on Alex's show or in the blog or somewhere, but I haven't heard it.
[01:55:42.562 --> 01:55:44.183]  On page 320, paragraph 136, it says,
[01:55:46.929 --> 01:55:58.713]  At about 9.57, an EMS paramedic approached the FDNY Chief of Department and advised that an engineer in front of 7 WTC had just remarked that the Twin Towers, in fact, were in imminent danger of a total collapse.
[01:55:59.333 --> 01:56:00.273]  Who is this engineer?
[01:56:00.573 --> 01:56:01.554]  Who is the paramedic?
[01:56:02.254 --> 01:56:05.695]  And why, you know, I don't know if you guys have ever... No, that's a good question.
[01:56:06.075 --> 01:56:06.495]  I don't know.
[01:56:06.535 --> 01:56:11.677]  There's just so much disinfo about the times and what happened at 7, for instance,
[01:56:12.342 --> 01:56:29.174]  Uh, in that first FEMA report, they try to say that Barry Jennings and, uh, Michael Hess weren't in the building till after both planes had struck so that they can move the timeline over, uh, so that when they experience that explosion in Building 7, they say it's the collapse of the first tower.
[01:56:29.214 --> 01:56:34.718]  Well, the thing is that the collapse of the first tower didn't really cause all that much damage to the South Face of 7.
[01:56:35.299 --> 01:56:40.102]  We now have video of the South Face of 7, and there's barely any windows even blown out.
[01:56:40.142 --> 01:56:40.663]  You know what I mean?
[01:56:41.403 --> 01:56:44.406]  I saw that in the film.
[01:56:45.046 --> 01:56:47.669]  No one knew that they were going to come down, so how could there be an engineer?
[01:56:47.689 --> 01:56:50.411]  Well, someone did know, and it wasn't an engineer, my friend.
[01:56:50.451 --> 01:56:56.156]  Let me also point out the fact that Rudy Giuliani, who was in 7 in the morning, okay?
[01:56:56.176 --> 01:56:57.557]  That's why Michael Hess was there.
[01:56:58.038 --> 01:57:02.822]  He got moved out of there, and then he got moved to a command center on Barkley Street.
[01:57:03.102 --> 01:57:07.106]  He got on with Peter Jennings and said that he had gotten a warning from someone.
[01:57:07.146 --> 01:57:08.207]  Didn't say who it was.
[01:57:08.727 --> 01:57:19.412]  But then later, on I believe it was the 16th or 15th of September, he did an interview on 2020 with Barbara Walters, where he revealed that Dick Cheney had indeed given him a call that morning.
[01:57:19.592 --> 01:57:24.434]  He didn't say Dick Cheney warned him the towers were going to fall, but he did say that Dick Cheney did call him.
[01:57:24.474 --> 01:57:26.355]  Now remember, Cheney's in the PEOC.
[01:57:26.675 --> 01:57:30.137]  He's the guy that's, you know, neck deep in this Pentagon situation.
[01:57:30.437 --> 01:57:30.977]  He's also
[01:57:31.872 --> 01:57:36.033]  The guy who who basically probably was the most in the know that morning.
[01:57:36.153 --> 01:57:38.333]  He's the one that knew about Air Force One's threat.
[01:57:38.413 --> 01:57:39.614]  He had called the president there.
[01:57:39.854 --> 01:57:41.414]  He didn't warn anybody in the Pentagon.
[01:57:41.434 --> 01:57:42.634]  He allowed the Pentagon strike.
[01:57:43.054 --> 01:57:47.715]  I think Cheney was the middleman that got the insiders that weren't in the know out.
[01:57:47.875 --> 01:57:50.556]  I think he's the guy that was saying, hey, you need to get out of there.
[01:57:51.076 --> 01:57:52.416]  They're about to blow those buildings up.
[01:57:53.817 --> 01:57:55.037]  I mean, that's my personal opinion.
[01:57:56.843 --> 01:57:58.144]  Well, thank you very much.
[01:57:58.164 --> 01:57:58.824]  You got it, brother.
[01:57:59.004 --> 01:57:59.905]  Hey, thanks for the call, Archie.
[01:57:59.925 --> 01:58:01.585]  All right, let's jump to Fred in Philadelphia.
[01:58:02.006 --> 01:58:03.306]  All right, we're already at the bottom.
[01:58:03.726 --> 01:58:06.708]  If you guys hold over, we'll try to take some calls while Bob Chapman is in.
[01:58:07.108 --> 01:58:08.909]  Internationalforecaster.com.
[01:58:09.329 --> 01:58:12.171]  We're going to be talking about the skyrocketing prices of oil.
[01:58:13.471 --> 01:58:15.432]  You know, the fact the economy's in the dubs.
[01:58:15.672 --> 01:58:17.413]  We're almost on parity with the peso, folks.
[01:58:18.594 --> 01:58:19.674]  It's the Alex Jones Show.
[01:58:19.714 --> 01:58:20.315]  PrisonPlanet.com.
[01:58:32.182 --> 01:58:35.544]  Thank you for listening to GCN.
[01:58:35.584 --> 01:58:39.047]  Visit GCNlive.com today.
[01:58:40.888 --> 01:58:42.910]  May I have everybody's attention, please?
[01:58:43.030 --> 01:58:45.452]  I've come with a message of information.
[01:58:45.472 --> 01:58:47.713]  9-11 was an inside job.
[01:58:47.753 --> 01:58:49.274]  Do you like being a puppet, sir?
[01:58:49.314 --> 01:58:50.935]  Do you like being a puppet for the New World Order?
[01:58:50.995 --> 01:58:53.858]  How do the American people know that 9-11 was a stage?
[01:58:53.898 --> 01:58:59.822]  Was it engineered by you, David Rockefeller, the Trilateral Commission, the CFR, to send a hot shot?
[01:59:00.342 --> 01:59:06.872]  The day that we stop asking questions is the day that we have allowed the seeds of despotism to grow at our own door.
[01:59:07.173 --> 01:59:12.120]  Seven years after the attacks of September 11th, a global awakening has taken place.
[01:59:13.342 --> 01:59:14.423]  An inside job.
[01:59:15.845 --> 01:59:19.666]  How dare you?
[01:59:19.926 --> 01:59:23.347]  If you know that there's treason going on, you can be held accountable for treason yourself.
[01:59:23.367 --> 01:59:26.148]  All hell is breaking loose on 6th Avenue.
[01:59:26.248 --> 01:59:32.690]  And if the government has not told the truth in 5 years, we will be here on the 10th anniversary of... Truth Rising.
[01:59:32.730 --> 01:59:35.291]  Download the film at PrisonPlanet.tv right now.
[01:59:35.571 --> 01:59:37.551]  Or get the DVD at Infowars.com.
[01:59:37.811 --> 01:59:40.292]  It's now time to take the revolution to the next level.
[01:59:43.348 --> 01:59:45.268]  Waging war on corruption.
[01:59:45.749 --> 01:59:48.629]  Alex Jones on the GCN Radio Network.
[01:59:53.590 --> 01:59:54.631]  Mainstream media.
[01:59:55.331 --> 01:59:56.431]  Government cover-ups.
[01:59:57.091 --> 01:59:57.911]  You want answers?
[01:59:58.692 --> 01:59:59.572]  Well, so does he.
[01:59:59.592 --> 02:00:03.893]  He's Alex Jones on the GCN Radio Network.
[02:00:04.413 --> 02:00:08.474]  And now, live from Austin, Texas, Alex Jones.
[02:00:09.972 --> 02:00:11.352]  All right, folks, we are back.
[02:00:11.752 --> 02:00:12.813]  It is the Alex Jones Show.
[02:00:12.913 --> 02:00:21.175]  I am Jason Thermos, sitting in on this Independence Day, this Fourth of July, this Fireworks Friday, if you will.
[02:00:21.715 --> 02:00:22.735]  Very exciting stuff.
[02:00:22.815 --> 02:00:31.517]  And joining me now is Bob Chapman of the internationalforecaster.com in a time of great sorrow for this country.
[02:00:31.657 --> 02:00:34.378]  Our currency just continues to be devalued.
[02:00:34.438 --> 02:00:36.438]  Gas prices continue to shoot up.
[02:00:37.205 --> 02:00:44.908]  But even with all this, we still do have, you know, days like today where we are supposed to celebrate our independence, or what we have left of it.
[02:00:45.389 --> 02:00:48.110]  What do we have left of our independence, Mr. Chapman?
[02:00:48.130 --> 02:00:48.690]  What do you think?
[02:00:49.991 --> 02:00:55.273]  Well, I think very little, considering what eyewitnesses a young person in America.
[02:00:57.074 --> 02:01:00.555]  You know, the whole concept of freedom has been changed.
[02:01:01.475 --> 02:01:04.557]  We have laws today, the Patriot Act, among other things, that
[02:01:05.585 --> 02:01:11.811]  Uh, allow the government to, uh, ferret into our lives and find out things that they have no right to know.
[02:01:12.892 --> 02:01:20.220]  And, uh, also, these laws have a great controlling factor on people within our society.
[02:01:21.101 --> 02:01:23.423]  And, uh, it has also moved our government
[02:01:23.968 --> 02:01:37.998]  From what used to be a democratic republic, democracy if you may, into the hands of people who believe that we should have a corporatist, nationalist, socialist, fascist government.
[02:01:38.579 --> 02:01:41.221]  And that's what it's evolved into and that's what we've got.
[02:01:41.841 --> 02:01:52.309]  And people better get smart and realize it quickly because it's extremely dangerous to our freedom and everything else that we do in America.
[02:01:53.479 --> 02:01:54.160]  Absolutely.
[02:01:54.760 --> 02:02:04.926]  And days like today when we have a large audience, I really am hoping that when people go to their next barbecue, their family event, that this is on the table.
[02:02:04.966 --> 02:02:13.912]  That we're going to be talking about the fact that the country is in the dumps financially to get out of the dollar, to get into hard currency like silver and gold.
[02:02:14.833 --> 02:02:19.096]  And also to be aware that Barack Obama is not going to save you.
[02:02:19.176 --> 02:02:21.637]  John McCain and him pretty much play ball for the same folks.
[02:02:23.661 --> 02:02:38.446]  Until we become the government again, until we go out there and take the seats of power, a government formed by the people, until we go into our local communities and say, hey, I'm going to be the mayor, I'm going to be the city councilman, I'm going to be the governor, I'm going to be the congressman, I'm going to be the state senator.
[02:02:38.866 --> 02:02:44.047]  We're not going to change the system, you know, and that's why I'm enjoying what Ron Paul's doing with CampaignForLiberty.org.
[02:02:44.627 --> 02:02:46.988]  And I hope that this summer is a big awakening.
