[00:00:06.092 --> 00:00:06.392]  He's here.
[01:56:35.497 --> 01:56:40.279]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[01:56:40.660 --> 01:56:51.765]  The KDF Dual Media Shower Filter works with both hot and cold water, and it's designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[01:56:52.165 --> 01:56:57.710]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons, or one year, whichever comes first.
[01:56:57.950 --> 01:57:04.015]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[01:57:04.215 --> 01:57:04.856]  What about you?
[01:57:05.256 --> 01:57:11.281]  Order your KDF shower filter normally, $49 for our special price of only $39.99, with free shipping.
[01:57:11.682 --> 01:57:13.824]  Call the Berkey guy and order now by calling 1-877-886-3653.
[01:57:17.165 --> 01:57:17.626]  That's 1-877-886-3653.
[01:57:17.646 --> 01:57:20.453]  Or simply click on the banner at GCNLive.com to order online now.
[01:57:26.053 --> 01:57:28.595]  Terror Storm, a history of government-sponsored terror.
[01:57:28.915 --> 01:57:30.196]  Loose Change Final Cut.
[01:57:30.476 --> 01:57:32.477]  Endgame, blueprint for global enslavement.
[01:57:32.617 --> 01:57:34.398]  The true story of the Bilderberg Group.
[01:57:34.538 --> 01:57:35.759]  The late great USA.
[01:57:36.019 --> 01:57:37.420]  America, freedom to fascism.
[01:57:37.780 --> 01:57:44.624]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[01:57:44.804 --> 01:57:48.747]  When you visit prisonplanet.com, you can connect to our amazing online store.
[01:57:48.887 --> 01:57:52.269]  Whether you're looking for survival and wellness products like Berkey water filters,
[01:57:52.569 --> 01:57:53.029]  We're good to go.
[01:58:12.578 --> 01:58:22.831]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the new world order is available right now at truthnews.us and prisonplanet.tv.
[01:58:23.172 --> 01:58:24.654]  Join the info war today!
[01:58:25.268 --> 01:58:29.872]  Phase One of the Insiders' plan for a One World Government has been initiated with the recent bailout.
[01:58:30.192 --> 01:58:37.378]  International bankers and power brokers have engineered the current crisis to create a new currency and a new World Bank to act as savior.
[01:58:37.639 --> 01:58:39.020]  But we've only seen the beginning.
[01:58:39.260 --> 01:58:43.143]  Their next engineered crisis will be on a scale never before seen in modern times.
[01:58:43.403 --> 01:58:46.986]  Shortages and empty shelves will spread fear and panic across the land.
[01:58:47.247 --> 01:58:51.310]  The Insiders have discovered that they must control two things to seize total power.
[01:58:51.710 --> 01:58:53.652]  Phase One is a One World Currency.
[01:58:53.812 --> 01:58:55.699]  Which we are currently being prepared to accept.
[01:58:55.719 --> 01:58:57.585]  Phase 2 of their insidious plan.
[01:59:00.825 --> 01:59:04.427]  www.foodshortageusa.com for the details.
[01:59:04.828 --> 01:59:08.370]  That's www.foodshortageusa.com.
[01:59:08.450 --> 01:59:11.852]  To learn how to prepare for the unthinkable, don't wait for empty shelves.
[01:59:12.152 --> 01:59:15.034]  Learn how to make your own survival foods for pennies on the dollar.
[01:59:15.194 --> 01:59:17.876]  Go to foodshortageusa.com or call 877-327-0365.
[01:59:17.916 --> 01:59:18.196]  That's 877-327-0365.
[01:59:26.677 --> 01:59:32.300]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[01:59:34.001 --> 01:59:35.362]  All right, let me make this statement.
[01:59:37.443 --> 01:59:46.728]  This is key in psychological warfare in the info wars that the military industrial complex owned by the private banks are launching.
[01:59:48.649 --> 01:59:53.852]  And almost all the information I'm about to cover is in their own white papers, their own admissions at the international level.
[01:59:56.317 --> 02:00:14.506]  Just like at Waco, when they were ramming the Bradley fighting vehicles into the building and machine-gunning everyone as they tried to run out the back, all in the FLIR footage, and this came out in Congressional testimony, Delta Force was there shooting the men, women, and children, they were announcing this is not an assault, this is not an assault, while they were doing it.
[02:00:15.747 --> 02:00:22.590]  So, even as you see the economy implode, even as you see, if we're unable to stop it, martial law and troops on the streets,
[02:00:24.195 --> 02:00:26.737]  They will continue to deny it's martial law.
[02:00:27.118 --> 02:00:29.060]  They will continue to deny it's a problem.
[02:00:29.080 --> 02:00:32.363]  They will continue to laugh at anyone that even brings it up.
[02:00:32.383 --> 02:00:45.995]  I mean, if you read the Army Times and they say they're going to engage the American people with non-lethal weapons and aid the police for civil unrest, and then you say that, and then they say to Naomi Wolf, we never said that, counting on people not reading the Army Times.
[02:00:47.168 --> 02:00:48.649]  So this is part of a psychology.
[02:00:48.669 --> 02:00:51.531]  They're going to deny it and deny it and deny it and deny it.
[02:00:51.571 --> 02:00:53.133]  It's like for a year before the U.S.
[02:00:53.153 --> 02:00:59.998]  invaded Panama, they had helicopters and troops and doing drills and touch-and-go's and inserting special forces and pulling them out.
[02:01:00.539 --> 02:01:03.241]  And Panama kept saying, you're going to invade, you're going to invade, you're going to invade.
[02:01:03.941 --> 02:01:06.503]  And they said, you're crazy, you're nuts, it's a conspiracy theory.
[02:01:07.104 --> 02:01:10.106]  And then they later made a History Channel thing showing the psychological warfare.
[02:01:10.726 --> 02:01:14.589]  It's the same thing here, but they're acclimating the police, the military, the local governments.
[02:01:15.370 --> 02:01:26.419]  At these urban warfare drills with the Army, the Marines, and others all over the country, they practice taking over the city council, the city hall, the county commissioners, the state capitals.
[02:01:27.339 --> 02:01:33.064]  They practice arresting the lawmakers, guys in suits walking out of city halls with their hands behind their head.
[02:01:33.504 --> 02:01:39.689]  This is all Pavlovian psychological operant conditioning of the public.
[02:01:40.996 --> 02:01:44.258]  And it's all right in your face, and Naomi Wolf is absolutely right.
[02:01:44.519 --> 02:01:53.085]  We have to scream bloody murder, say no, have the facts, make an issue about this, because they want to... It's the way you domesticate a wild animal.
[02:01:53.945 --> 02:02:05.554]  You open up a pen, put some grain in there, leave it open for months, let the wild horses, wild pigs, whatever it is you're wanting to capture, wild cows, bovine, come in, and then finally after a few months of that, you just one day
[02:02:07.211 --> 02:02:09.333]  Nowadays they have a timer on the gate and it just closes.
[02:02:09.713 --> 02:02:15.779]  But in the old days, a person would just walk up and close the gate on them and then keep feeding them for a few months, showing them you're friendly.
[02:02:16.380 --> 02:02:19.543]  And then start taking the babies from the pigs, the babies from the horses.
[02:02:20.404 --> 02:02:21.485]  Those are the first you tame.
[02:02:22.246 --> 02:02:27.150]  Then the other horses see that the baby's being taken care of, then they think you're part of their troop or their clutch.
[02:02:27.631 --> 02:02:30.514]  It's the same way that ducks or geese imprint.
[02:02:31.755 --> 02:02:35.818]  So they're imprinting us right now that all of this is okay and good.
[02:02:35.858 --> 02:02:40.480]  It's like when the Delta Force, it's just like they take over third world countries.
[02:02:41.601 --> 02:02:45.504]  They came into South Texas town, San Antonio, and they went and bribed the mayors and
[02:02:46.528 --> 02:02:54.552]  The fire chiefs, and finally the police chief of San Antonio, they brought in about $200,000 in a big cash bucket and said, we just want you to be friends with the Army.
[02:02:55.253 --> 02:02:56.934]  And he said, well, what is this?
[02:02:56.954 --> 02:02:58.254]  They said, just be friends with us.
[02:02:59.035 --> 02:03:01.836]  And he said, I was in Army Intelligence, this is illegal, get out of here.
[02:03:02.276 --> 02:03:04.417]  Then he was in the news, I went and interviewed him, that's in Police State 2000.
[02:03:05.717 --> 02:03:15.384]  And so what we've discovered is, just like they've paid off the Iraqi constabulary, that's the real surge, with these, you know, sixty-something billion and hundred dollar bills they're flown in, they've also corrupted the troops.
[02:03:15.784 --> 02:03:26.412]  A private gets thirty thousand, a standard-rated sergeant gets about a hundred grand, and folks, I've even got family that I know, I brought it up to them and they get real mad and won't talk about it.
[02:03:26.732 --> 02:03:28.314]  They've been bought off, they've been compromised.
[02:03:28.954 --> 02:03:38.002]  The series Rome is pretty accurate, and in that, Caesar takes a centurion for just one part of Rome, and says, I need you to carry out corruptions for me.
[02:03:39.002 --> 02:03:43.246]  And a corruption is, once you get somebody on the take, now they're corrupted along with you.
[02:03:43.806 --> 02:03:48.991]  And so, they have these emergency management centers they built in every county and city and state that are federal.
[02:03:49.731 --> 02:03:51.734]  And they have CIA officers in those now.
[02:03:52.195 --> 02:03:54.017]  And they have CIA liaisons in the city.
[02:03:54.598 --> 02:03:59.706]  And so, in most counties and cities, they've run thousands of former FBI agents to be sheriffs and police chiefs.
[02:04:00.326 --> 02:04:01.228]  They're everywhere now.
[02:04:01.769 --> 02:04:03.611]  And see, that's what militaries do throughout history.
[02:04:04.355 --> 02:04:14.198]  They take over societies with Caesar, you know, two thousand forty-something years ago in Rome, I guess two thousand fifty-one now, crossing the Rubicon.
[02:04:14.638 --> 02:04:19.440]  They build up this army, they bring it into Rome, they bring it into Washington, and that's what this brigade's for.
[02:04:19.520 --> 02:04:22.201]  It's to menace the government and menace the rest of the military.
[02:04:22.221 --> 02:04:25.942]  They've hired felons for the military, illegal alien felons, aggravated felons.
[02:04:26.282 --> 02:04:28.903]  We told you about that ten years before it was in the news, now it's in the news.
[02:04:29.363 --> 02:04:30.564]  So, this is real.
[02:04:31.184 --> 02:04:33.807]  This is happening, and it's about the looting.
[02:04:33.927 --> 02:04:48.821]  This is about the International Crime Syndicate, the brokerage firms, the select group of banks, creating a vertical integration of the economy, cutting off liquidity to cause a depression, then they'll have the only liquidity to buy it all up, and they know you're going to riot and crime's going to go up, and then you're going to beg
[02:04:49.522 --> 02:04:50.082]  for the U.S.
[02:04:50.142 --> 02:04:51.543]  military to be used.
[02:04:52.003 --> 02:04:53.184]  So, you're seeing the military.
[02:04:53.204 --> 02:04:54.464]  We're going to help you at car wrecks.
[02:04:54.484 --> 02:04:56.205]  We're going to be out there aiding firemen and police.
[02:04:56.545 --> 02:04:57.726]  They're just introducing it.
[02:04:58.086 --> 02:04:59.827]  Not just the public, but the military as well.
[02:05:00.127 --> 02:05:01.808]  Now, that's my little four-minute comment.
[02:05:01.848 --> 02:05:06.250]  Naomi Wolf, you've got the floor to comment on this, but this is historical.
[02:05:06.510 --> 02:05:08.971]  This happens 99% of the time in countries.
[02:05:09.452 --> 02:05:11.292]  Empires never last more than 200 years.
[02:05:11.733 --> 02:05:15.434]  It's happening here now, and we'll let the cops go ahead and be part of it.
[02:05:15.734 --> 02:05:17.235]  They're going to have their pension funds taken, too.
[02:05:17.255 --> 02:05:18.456]  They're going to have their dollar devalued.
[02:05:18.996 --> 02:05:21.779]  You know, the good news about this is these things always end up falling.
[02:05:22.059 --> 02:05:22.640]  Naomi Wolf?
[02:05:23.781 --> 02:05:31.128]  Well, you know, once again you're adding dimensions that I wasn't aware of.
[02:05:31.228 --> 02:05:42.019]  I mean, I did know that millions of dollars are being pumped into, as I believe I mentioned, police departments across the country in order to get the militarization that we saw at the RNC.
[02:05:43.792 --> 02:05:54.399]  I did know that... I mean, one really important thing I learned from my research in Give Me Liberty is that something that always, always works in bringing down a tyrant is mass protests.
[02:05:55.139 --> 02:05:58.001]  But they're not the kind of protests that are legal in the United States now.
[02:05:58.021 --> 02:06:08.348]  The kind of mass protests that brought down the Berlin Wall, or that restored people power in the Philippines, or that liberated the Baltic States, or, you know, restored democracy in Pakistan, are illegal.
[02:06:08.468 --> 02:06:11.890]  And now that we have these heavily armed police, they're very dangerous as well.
[02:06:13.804 --> 02:06:17.066]  You're not allowed to step in the street for a legal protest in the U.S.
[02:06:17.106 --> 02:06:19.467]  because of the 30 years of over-permititization.
[02:06:19.927 --> 02:06:27.530]  So I teach people in Give Me Liberty how to stage a real protest and how to dress safely to protect yourself from most of these technologies.
[02:06:27.590 --> 02:06:33.333]  Obviously, some of them, the ones you've described... But Naomi, I go back to the fear of precept.
[02:06:33.373 --> 02:06:36.635]  I go back to the... Oh yeah, so let's talk about psychological programming.
[02:06:37.295 --> 02:06:39.156]  I hate... I mean, it sounds so...
[02:06:39.907 --> 02:06:42.088]  Extreme to think that this could be possible.
[02:06:42.148 --> 02:06:46.309]  However, I have to say, I have some evidence that you're right.
[02:06:46.689 --> 02:07:01.993]  There's some very chilling footage from the RNC that people can see in the End of America movie, which I mentioned, where you see Amy Goodman or other protesters being, not Amy Goodman being beaten, she's being rounded up, but other people are being beaten and this heavily armed cop, could be a cop, could be
[02:07:02.495 --> 02:07:04.076]  No, that's psychological warfare!
[02:07:18.721 --> 02:07:19.041]  Exactly.
[02:07:19.061 --> 02:07:25.345]  Whenever we had people attack us at the DNC and break our bullhorns and things, they would say, I have rights!
[02:07:25.605 --> 02:07:27.687]  As they pull out a knife and cut the cord, it's on video.
[02:07:27.907 --> 02:07:28.467]  I have rights!
[02:07:28.727 --> 02:07:29.368]  Extraordinary.
[02:07:29.428 --> 02:07:31.649]  So, this is clearly organized.
[02:07:31.889 --> 02:07:37.152]  And, you know, I'm experiencing something which is quite fascinating online.
[02:07:37.713 --> 02:07:44.277]  This viral video that's calling for people to sign up with the Citizens' Peaceful Army to restore liberty.
[02:07:44.970 --> 02:07:46.031]  I don't know.
[02:08:04.296 --> 02:08:04.937]  I think so.
[02:08:21.696 --> 02:08:27.262]  About six months ago, when the Army confirmed it was real, about how the Army in Latin America would do the same thing.
[02:08:27.302 --> 02:08:30.805]  If somebody was getting really successful, they would come out and say they're an agent.
[02:08:31.306 --> 02:08:32.327]  Oh, really?
[02:08:32.347 --> 02:08:37.612]  Yeah, but see, the government, and they admit Northcom is involved, quote, fighting an info war, CENTCOM.
[02:08:38.653 --> 02:08:39.213]  We're good to go.
[02:09:01.946 --> 02:09:05.927]  Although, as we've discussed, he left me out of it.
[02:09:05.947 --> 02:09:08.007]  Regardless, you judge a tree by its fruits.
[02:09:08.687 --> 02:09:10.888]  Regardless, it isn't even about Naomi Wolf or Alex Jones.
[02:09:11.188 --> 02:09:14.128]  This is happening, so what are we going to do about it?
[02:09:14.148 --> 02:09:17.769]  And they always use fear and say, they'll get you, they'll round you up.
[02:09:17.829 --> 02:09:18.069]  No, no.
[02:09:19.049 --> 02:09:24.230]  We need to not go quietly in the night, not have a chilling effect, stand up and say no.
[02:09:24.910 --> 02:09:26.890]  That's the only way, historically.
[02:09:27.150 --> 02:09:28.811]  Are you a member of the Council on Foreign Relations?
[02:09:29.411 --> 02:09:30.011]  No, I'm not.
[02:09:31.018 --> 02:09:53.398]  Well, I mean, regardless, the CFR, when it was 2,000 members set up by British intelligence in 1922, was clearly a shadow government, and still is, but now they've expanded to close to 5,000, and they have inner boards of it that are on the know and part of the military-industrial complex, invisible empire system, but they also try to co-opt, I mean, I happen to know, I'm not going to say that.
[02:09:53.678 --> 02:09:56.319]  I happen to know about Angelina Jolie and Brad Pitt.
[02:09:56.919 --> 02:09:58.719]  I happen to know they're anti-New World Order.
[02:09:59.199 --> 02:10:03.700]  And I happen to know that she's being co-opted in the name of helping African children.
[02:10:04.200 --> 02:10:08.962]  So just because she's a member of the CFR doesn't mean Angelina Jolie is New World Order.
[02:10:08.982 --> 02:10:10.962]  Some of the films are trying to suck her in.
[02:10:11.002 --> 02:10:14.523]  The point is that we can't become a bunch of McCarthyites
[02:10:15.003 --> 02:10:16.184]  Talking about the activists.
[02:10:16.224 --> 02:10:26.129]  The point is, NORTHCOM has announced this, this is happening, and why do people in our movement always police us instead of looking at what's happening?
[02:10:26.149 --> 02:10:27.270]  And most of the time they're operatives.
[02:10:27.630 --> 02:10:33.594]  And they explain in the Army Field Manual how to go out and claim that the real activists are agents.
[02:10:34.274 --> 02:10:35.095]  That's so fascinating.
[02:10:35.135 --> 02:10:36.135]  I'll have to take a look at that.
[02:10:36.776 --> 02:10:41.939]  Well, in the meantime, I think we need to create some positive strategy for what to do.
[02:10:42.099 --> 02:10:44.380]  I mean, one of the things I really want to urge people to do is
[02:10:44.798 --> 02:10:53.203]  And again, you've been very instrumental in helping me get past this, being stuck in this left-right paradigm, is that we really need to build this trans-partisan army of citizens.
[02:10:55.069 --> 02:11:02.594]  You know, in a closing society, when individuals say no according to their own circumstances, it's very powerful, because it sends a message to the people around you.
[02:11:02.614 --> 02:11:09.099]  So, like, when officers at the RNC refused to arrest these Iraq vets for peace, that's a way to say no.
[02:11:09.820 --> 02:11:13.823]  Talking about impeachment, bipartisan impeachment, and prosecution of the President is a way to say no.
[02:11:13.843 --> 02:11:15.003]  We can talk about that when you like.
[02:11:15.023 --> 02:11:17.545]  I hear the music revving up.
[02:11:17.625 --> 02:11:18.006]  Yeah, sure.
[02:11:18.026 --> 02:11:19.547]  For the Internet audience, I'm going to skip this.
[02:11:19.587 --> 02:11:20.207]  Pray for everybody else.
[02:11:20.227 --> 02:11:21.628]  We'll be right back with your phone calls.
[02:11:21.968 --> 02:11:23.790]  On the other side, Naomi Wolf is our guest.
[02:11:27.403 --> 02:11:28.624]  Naomi, I know we're all over the map.
[02:11:28.664 --> 02:11:35.807]  It's because I have such passion, like you do, on this subject, and I know they've been creeping up, setting it up.
[02:11:36.428 --> 02:11:52.476]  I've been studying it, probably like nobody else, and I'm so sad for my children, my wife, my family, for everybody else, because I know how real it is, and I've seen the video of the police saying, as they're beating you, I have rights, I have rights.
[02:11:52.536 --> 02:11:53.077]  It's so
[02:11:54.117 --> 02:12:09.105]  Sick and it's so and they're destroying their own future, you know, they're compartmentalized And most of our post-traumatic stress disorder troops who are completely mentally ill, you know from I mean They they put them in three four or five tours on purpose to fry their brains.
[02:12:09.646 --> 02:12:10.146]  Oh my god.
[02:12:10.186 --> 02:12:13.408]  I never thought of that No, well, we've got government documents on that as well.
[02:12:13.928 --> 02:12:15.669]  So the oh my god.
[02:12:15.989 --> 02:12:17.230]  Yeah, you know, this is a
[02:12:18.050 --> 02:12:21.633]  What are your plans, practically?
[02:12:22.474 --> 02:12:24.035]  We're just going to go down with America.
[02:12:24.475 --> 02:12:27.518]  We're going to stay here, just like Masada or something.
[02:12:29.039 --> 02:12:33.863]  I think we can stop it if we're bold, if we have courage, if we speak out, if we say no.
[02:12:35.164 --> 02:12:43.310]  What's most encouraging is, I had a couple members of Congress on, and I saw others, I think I saw Feinstein say 9,000 to 1 calls, but the other Congressman said about 1,000 to 1.
[02:12:43.891 --> 02:12:45.792]  Phone calls against the Banker Takeover Bill.
[02:12:46.593 --> 02:12:48.014]  Yeah, but did it help?
[02:12:48.034 --> 02:12:49.556]  Well, they threatened martial law, so no it didn't.
[02:12:49.576 --> 02:12:54.600]  But the point is, is that no dictatorship can make it with 90 plus percent against them.
[02:12:55.181 --> 02:12:58.884]  And so that's why they need a new president.
[02:13:00.105 --> 02:13:02.327]  Because it's a new front and people think it's changed.
[02:13:02.347 --> 02:13:04.249]  I'm going to tell you, Northcom runs everything.
[02:13:04.809 --> 02:13:05.910]  They're in total control.
[02:13:05.971 --> 02:13:06.911]  It was really set up in 93, not in 2002.
[02:13:06.971 --> 02:13:07.892]  And their speeches CFR put out,
[02:13:12.421 --> 02:13:22.704]  Well, I think I've brought this up before, but I've been to events at the Council on Foreign Relations, and I've been a Rhodes Scholar, and I know all these Rhodes Scholars, and never has anyone crossed my path with any hint of these other agendas.
[02:13:22.785 --> 02:13:24.465]  I mean, I guess what I said to you last time is that
[02:13:42.239 --> 02:13:55.726]  An elite doesn't need to plan, you know, so overtly in the sense of, you know, by definition these Rhodes Scholars are in various positions of influence, but there's no, nobody ever speaks about an agenda the kind that you described, that I'm aware of.
[02:13:56.026 --> 02:13:56.927]  Well, here's the deal.
[02:13:57.947 --> 02:14:05.771]  For my study, not everybody that becomes a Rhodes Scholar, because it's so expanded, you know, is on the inner circle, but Cecil Rhodes said he wanted an invisible British Empire ruling through
[02:14:07.632 --> 02:14:11.716]  I want to prepare my audience for victory.
[02:14:27.512 --> 02:14:33.836]  You know, I mean, they're so shocked that I can get movie stars on, or rock and roll people, or, you know, foreign presidents.
[02:14:33.856 --> 02:14:43.303]  I mean, we have to be ready that we're telling the truth, that we're going to have allies, that people on the inside, people who have been part of the establishment, are going to wake up and join us.
[02:14:43.623 --> 02:14:50.828]  And we have to understand that, you know, as we have some victories, people go, well, it's impossible, we couldn't be having a victory, they must be agents.
[02:14:50.868 --> 02:14:52.209]  And that's not what's happening.
[02:14:54.230 --> 02:14:54.911]  Sorry, go ahead.
[02:14:54.971 --> 02:15:04.176]  So much of this system is based on people in newspapers, in media, in the elite, the mid-level elite, thinking it's a good system and not seeing the big picture.
[02:15:04.376 --> 02:15:08.439]  And as we pull the veil aside, we better be ready to have a bunch of allies.
[02:15:08.459 --> 02:15:12.201]  We better be ready to have victories and not have this loser attitude.
[02:15:13.742 --> 02:15:16.123]  I hear what you're saying and I think that's very positive.
[02:15:16.563 --> 02:15:19.465]  Can I ask, because your voice is very influential,
[02:15:19.972 --> 02:15:36.935]  It's appropriate for you to ever vouch for me, you know, in terms of these... Well, Naomi, I say judge a tree by its fruits, and all your suggestions are great, and the information you put out is very accurate, and they don't like what you're doing right now, and they're trying to counter it, so certainly
[02:15:37.375 --> 02:15:39.876]  Clearly, you're against this, and so it doesn't matter.
[02:15:40.157 --> 02:15:55.165]  The information stands on its face, and I mean, I do vouch that your information's accurate, and you seem like a very nice, intelligent person who means well, and you talk about shattering the left-right paradigm, not just on this show, but I've seen you do it elsewhere, and so, and that's what they don't want.
[02:15:55.345 --> 02:15:56.766]  They don't want people coming together.
[02:15:57.306 --> 02:15:58.047]  Here we go.
[02:15:59.167 --> 02:15:59.467]  Back live.
[02:16:06.255 --> 02:16:08.996]  But the clouds are coming too.
[02:16:09.016 --> 02:16:09.716]  He ain't my friend.
[02:16:10.796 --> 02:16:11.637]  And I'll ride again.
[02:16:11.697 --> 02:16:12.357]  Naomi Wolf is our guest.
[02:16:30.663 --> 02:16:36.907]  I want to go to some phone calls, but Naomi, plug where people get the new book, where they get the new video.
[02:16:36.927 --> 02:16:41.530]  Specifically, I know they get it on Amazon and places, but specifically, how do they go to the sites?
[02:16:42.851 --> 02:16:43.151]  Sure.
[02:16:43.632 --> 02:16:49.416]  Well, the new book is called Give Me Liberty, and you can get it in bookstores or on Amazon, or on my website.
[02:16:50.356 --> 02:16:57.281]  And there's a new movie of The End of America, and our distribution strategy is very much influenced by Alex Jones.
[02:16:57.833 --> 02:17:04.095]  Basically saying, let the people have the information, and let them have it in a way that works for them, no matter what.
[02:17:04.315 --> 02:17:09.376]  So a lot of people have moved heaven and earth to do an internet release yesterday.
[02:17:09.496 --> 02:17:22.160]  So you can go to endofamericamovie.com and just download it for free, or order the DVD if you like, and people can do screenings, which we're urging them to do, for their fellow citizens, for their neighbors and friends, to alert them.
[02:17:22.180 --> 02:17:25.321]  This is very vivid footage, a lot of archival footage, interviews with
[02:17:26.040 --> 02:17:34.084]  Journalists and politicians have come forward, and ordinary Americans whose lives have been ruined by these 10 steps, and who've stood up and fought back.
[02:17:34.785 --> 02:17:35.805]  And then there are action steps.
[02:17:36.205 --> 02:17:50.553]  And at myamericaproject.org, we're building... It's not completed yet, but we're in the process of building a site where citizens... We want to build a trans-partisan movement of many millions of Americans to be a kind of...
[02:17:51.408 --> 02:17:58.192]  An army for the Constitution, an army for the restoration of the rule of law, and, you know, we're in a war, as Alex says.
[02:17:58.212 --> 02:18:03.876]  There are shades of difference in our understanding of the war, but we're clearly in Give Me Liberty.
[02:18:04.036 --> 02:18:04.617]  We're in a war.
[02:18:04.697 --> 02:18:05.917]  It's a war against citizens.
[02:18:06.198 --> 02:18:07.518]  We have to recognize that we're in a war.
[02:18:07.558 --> 02:18:13.462]  We're in the front lines, and the war is being kind of waged in a very stealthy way, and it's time for us to fight back.
[02:18:13.883 --> 02:18:17.665]  So at the end of Give Me Liberty, there are these 55 action steps, whether it's
[02:18:18.258 --> 02:18:19.399]  Here's how you write the op-ed.
[02:18:19.439 --> 02:18:20.661]  Here's how you become the media.
[02:18:20.841 --> 02:18:21.742]  Here's how you do radio.
[02:18:22.482 --> 02:18:24.304]  It's not just Alex Jones and Naomi Wolf.
[02:18:24.324 --> 02:18:26.626]  It should be everyone who's concerned about these issues.
[02:18:26.706 --> 02:18:28.048]  Raising their voices.
[02:18:28.108 --> 02:18:28.888]  Creating media.
[02:18:28.948 --> 02:18:29.589]  Documenting.
[02:18:29.609 --> 02:18:31.571]  Well, Naomi, that's the key.
[02:18:31.851 --> 02:18:33.433]  That's what tells me you're for real.
[02:18:34.594 --> 02:18:38.477]  And that your heart is in the right place with people asking that.
[02:18:38.497 --> 02:18:41.580]  It's because you're saying to individuals
[02:18:42.421 --> 02:18:46.783]  Go out with the info, take action, and then the info you're putting out is accurate.
[02:18:47.064 --> 02:19:01.672]  And so instead of arguing about whether Naomi Wolf or Alex Jones are good men or women, folks, we have a predatory elite criminally consolidating and vertically integrating the world economy under tyrannical globalism.
[02:19:04.193 --> 02:19:08.017]  We have to stand up and we have to fight back and we have to say no now.
[02:19:08.397 --> 02:19:18.226]  And I say to the military and the police and the bureaucrats and all of you, you're in your tightly sequestered kind of mob, gang mentality, little peer pressure cultures.
[02:19:18.827 --> 02:19:20.789]  We have no future if you don't break out of that.
[02:19:21.129 --> 02:19:26.253]  And I assure you, things are going to lead in this country, and the globalists plan this, to be very violent and very bloody.
[02:19:26.633 --> 02:19:35.080]  It's not going to go well for you, and the globalists are going to come in, posing as the saviors later, with the velvet glove fist, after you've been discredited and a lot of you go into prison.
[02:19:35.620 --> 02:19:36.841]  So I see an even larger
[02:19:37.919 --> 02:19:38.979]  Set up and all of that.
[02:19:39.459 --> 02:19:45.320]  And so I'm warning you, you better do a gut check, an intellectual check, and stand up for the Bill of Rights, the Constitution.
[02:19:45.340 --> 02:19:52.041]  If you can't see that what the Executive is doing, and what the Congress is doing, is tyrannical on its face, then you better look again.
[02:19:52.682 --> 02:19:54.082]  Naomi, again, give out those websites.
[02:19:54.102 --> 02:19:55.062]  Sure thing.
[02:19:55.442 --> 02:20:02.943]  It's endofamericamovie.com, and it's myamericaproject.org, and again, we're building those 55 steps.
[02:20:02.983 --> 02:20:06.144]  You can also reach me at naomiwolfe.com.
[02:20:09.444 --> 02:20:25.777]  Yeah, and I'm going to various cities as well, and we're signing people up there to pass legislation to restore the Constitution, the rule of law, to organize people into democracy commando teams where you can take power back and be as powerful as vested interests with your representatives.
[02:20:26.117 --> 02:20:33.123]  We're calling for a national referendum, for instance, to give power back to the people and break the stranglehold of special interests over Congress.
[02:20:33.887 --> 02:20:35.728]  You know, again, 55 action steps.
[02:20:35.948 --> 02:20:37.429]  You can start your own political movement.
[02:20:37.469 --> 02:20:39.369]  You can, you know, we teach you how to fundraise.
[02:20:39.389 --> 02:20:41.250]  We teach you how to start a non-profit.
[02:20:41.370 --> 02:20:45.052]  And regardless, the ideas she's putting out have been proven and work.
[02:20:45.372 --> 02:20:46.973]  Just take it and do your own model, folks.
[02:20:47.233 --> 02:20:49.534]  Instead of rationalizing, going, I don't know if I like her.
[02:20:49.574 --> 02:20:50.534]  I don't know if I agree with her.
[02:20:50.814 --> 02:20:51.855]  I don't know if I like Alex.
[02:20:52.135 --> 02:20:52.455]  Fine!
[02:20:52.975 --> 02:20:54.276]  Take what you want and leave the rest.
[02:20:54.296 --> 02:21:01.384]  Just get up off your butts and move against this tyranny now instead of in the peanut gallery, you know, playing secret agent all day.
[02:21:01.444 --> 02:21:02.084]  Get out there.
[02:21:02.165 --> 02:21:03.045]  Expose the tyranny.
[02:21:03.386 --> 02:21:04.687]  Expose the unconstitutional garbage.
[02:21:04.707 --> 02:21:07.210]  We're going to come right back and I promise we're going right to your calls.
[02:21:07.230 --> 02:21:09.632]  We're going to skip this break too for the internet audience right now.
[02:21:09.672 --> 02:21:10.073]  Stay with us.
[02:21:17.785 --> 02:21:45.292]  Naomi, another thing I can do, and we did this at DNC, we had several hundred cameras there and I believe that's why they didn't stage as much as at the RNC, and now it's happened in Canada and other places where we catch the police posing as anarchists and we have people spread out who never stay in the crowd so that when the cop runs up in the anarchist outfit and tumps over a trash can or knocks out some
[02:21:46.192 --> 02:21:46.352]  Yes.
