[00:00:00.069 --> 00:00:00.230]  Hmm?
[00:50:40.868 --> 00:50:48.958]  Because I had covered this probably a hundred times 5, 6, 7, 8, 9, 10, 11, 12 years ago and now we haven't covered it in so long.
[00:50:49.018 --> 00:50:54.525]  I wanted to give you the evidence and yet again a government chemical weapon made by genetically engineered bacteria.
[00:50:55.563 --> 00:50:56.724]  They know exactly what they're doing.
[00:50:57.285 --> 00:51:05.394]  Alright, Shifting Gears, NuffRespect website on YouTube that we know of has 20-30 million views.
[00:51:05.795 --> 00:51:10.781]  Some of his videos have 5-6 million views per short videos that he makes.
[00:51:11.301 --> 00:51:14.024]  He's an absolutely amazing individual.
[00:51:15.222 --> 00:51:27.675]  And then his videos get copied to hundreds of other video sharing sites and so really we don't know how many tens of millions more have seen his material just in two short years on the internet.
[00:51:27.695 --> 00:51:29.657]  He lives in the United Kingdom in Cardiff.
[00:51:30.038 --> 00:51:34.743]  He's made some great videos with my material that I've really been flattered that he's done that.
[00:51:36.926 --> 00:51:49.135]  He has stood up for us when YouTube and Google have been censoring us, banning our videos, knocking our hit counts down to knock us out of the top ten so that people don't see us there on the front page of YouTube or Google.
[00:51:50.416 --> 00:51:52.658]  He has put out videos.
[00:51:52.958 --> 00:52:00.604]  He won, of the three people that won, we had three different contests, he won one of the contests for the best internet censorship video a few months ago.
[00:52:01.625 --> 00:52:04.267]  He won the first round of contest exposing
[00:52:06.179 --> 00:52:11.221]  The different cocktail, the different ways, there's a lot of different ways they're shutting down, regulating the web.
[00:52:11.821 --> 00:52:13.701]  Obama has announced upgrading the internet.
[00:52:13.721 --> 00:52:19.363]  That is, internet to the consortium to start shutting down the old free open web that we told you about.
[00:52:20.083 --> 00:52:23.724]  They're going to have free internet wireless nationwide with taxpayer money paying for it.
[00:52:23.764 --> 00:52:24.305]  Nothing's free.
[00:52:24.605 --> 00:52:28.826]  It's going to be highly censored with only a few thousand sites of the billions that you can actually visit.
[00:52:29.886 --> 00:52:37.808]  Canada's openly saying they're going to restrict the web, Australia headline in their newspapers, Chinese style censorship, banning all alternative sites basically.
[00:52:39.088 --> 00:52:40.109]  It's here, it's happening.
[00:52:40.869 --> 00:52:47.430]  And he had all these top honors of top director in the UK, one of the top directors in the US, the most hits, the most views.
[00:52:48.010 --> 00:52:51.151]  He was up there in the top 20 in every category.
[00:52:51.631 --> 00:52:53.732]  So they basically restricted him.
[00:52:55.276 --> 00:52:56.778]  Knocked him off the front page.
[00:52:57.478 --> 00:53:00.382]  And again, we don't care about having little blue ribbons for being number one.
[00:53:00.422 --> 00:53:04.866]  We don't care about being on the front page for, you know, the fame or whatever.
[00:53:04.947 --> 00:53:10.152]  It's that that's where the billions of people that visit YouTube and Google go to do their viewing.
[00:53:10.473 --> 00:53:11.554]  It's like the TV Guide.
[00:53:12.694 --> 00:53:19.403]  We know they've been restricting my hit counts, my views, because when you upload a Google video, you can still see what your hits and views are.
[00:53:19.904 --> 00:53:27.755]  When we complained a year ago about them knocking us from 10 million, 20 million views on a video down to zero, they'd build back up in millions in a day, they'd knock it down again.
[00:53:28.456 --> 00:53:31.657]  They just made those numbers secret, unless you're the person that posted it.
[00:53:31.957 --> 00:53:32.797]  You can still see it.
[00:53:33.097 --> 00:53:35.297]  We saw them censor fabled enemies a few months ago.
[00:53:35.317 --> 00:53:40.058]  When it came out, it hit number one within two days, and they just erased our numbers.
[00:53:40.098 --> 00:53:42.938]  There was over a million views because we uploaded it.
[00:53:42.998 --> 00:53:43.719]  We could see that.
[00:53:44.139 --> 00:53:50.740]  Only people that could, us and Google, before it was public, and a year ago they changed it, and we saw them internally knock it off.
[00:53:51.220 --> 00:53:53.820]  And we also got screenshots of them knocking us off the front page.
[00:53:54.560 --> 00:53:57.361]  And I have asked people like enough respect
[00:53:58.362 --> 00:54:02.445]  Being censored, being cheated is horrible, but it lets you know you're hurting them.
[00:54:03.065 --> 00:54:06.688]  So please, enough respect, do not leave YouTube.
[00:54:06.748 --> 00:54:09.810]  And all of you, when you get attacked, know it means you're hurting them.
[00:54:10.251 --> 00:54:15.915]  Just start uploading to two or three other backup sites, other smaller video services.
[00:54:15.955 --> 00:54:20.838]  People are on my message board at InfoWars.com and PrisonPlanet.com saying, why do you care?
[00:54:20.878 --> 00:54:21.799]  Forget YouTube and Google.
[00:54:22.981 --> 00:54:26.993]  Well, YouTube's like number four or five on the web, Google's number two on the web.
[00:54:27.654 --> 00:54:30.483]  Yeah, there are other sites getting millions of views a day, total.
[00:54:31.240 --> 00:54:34.581]  But you can get millions of views per video for your video on YouTube and Google.
[00:54:34.942 --> 00:54:37.983]  That's ninety-something percent of the video sharing area.
[00:54:38.683 --> 00:54:39.904]  That's where we need to be.
[00:54:39.964 --> 00:54:41.704]  We don't retreat from the field of battle.
[00:54:42.164 --> 00:54:43.965]  Enough respect is calling on everyone.
[00:54:44.746 --> 00:54:45.026]  Enough.
[00:54:45.086 --> 00:54:48.567]  I'd love it if you made another video including just overall internet censorship.
[00:54:48.607 --> 00:54:51.108]  Now this is the front lines, this fight at YouTube.
[00:54:51.188 --> 00:54:55.450]  I would love to promote that, push that myself, but we're playing in the background.
[00:54:55.490 --> 00:54:57.191]  The challenge you've got for December 19th
[00:54:58.598 --> 00:55:08.024]  To make your video number one overall on YouTube and then to show people if they do censor and keep you off the front page as they do my videos.
[00:55:08.064 --> 00:55:09.505]  And again, this is how it all starts.
[00:55:10.046 --> 00:55:18.792]  We know that Lieberman and others in the Congress with the Violent Radicalization Act have said, we want to censor the web, we want the government to tell you what to take down, what to put up.
[00:55:19.372 --> 00:55:25.633]  We see YouTube shifting away from user-made videos that have made it so popular to fluff and corporate videos on the front page.
[00:55:25.953 --> 00:55:26.973]  They did that this weekend.
[00:55:26.993 --> 00:55:30.334]  There was a huge backlash, so they stopped it for the time being.
[00:55:30.374 --> 00:55:34.075]  But they say on their rules page that they're probably going to go back to this.
[00:55:34.155 --> 00:55:37.815]  So they let us build YouTube and Google up, then they kick us off of it.
[00:55:38.175 --> 00:55:42.336]  And so without further ado, we go to John Wadkins in Cardiff in the United Kingdom.
[00:55:42.836 --> 00:55:45.337]  And I've never talked to you in person.
[00:55:45.657 --> 00:55:47.217]  John, we appreciate you coming on with us.
[00:55:48.075 --> 00:55:50.077]  Hi Alex, thanks for having me on the show.
[00:55:50.097 --> 00:55:52.459]  It is a real pleasure to be able to speak with you.
[00:55:53.500 --> 00:55:54.601]  I mean, yeah, you were so right.
[00:55:54.661 --> 00:55:56.223]  Everything you said is just so right.
[00:55:56.323 --> 00:56:13.079]  You know, this censorship issue is something that we really can't afford to ignore because, you know, it's our free speech we're talking about really, you know, and I noticed this, you know, the first time I actually noticed this kind of censorship taking place on the internet was about two years ago when
[00:56:13.689 --> 00:56:27.614]  Google started censoring movies like Peristorm and Loose Change, and the censorship was just so crude and so obvious and so sneaky that it was just infuriating to watch.
[00:56:27.674 --> 00:56:36.718]  I mean, for example, as you said, resetting the hit counts on certain videos like Peristorm to knock them out of the top 10 list.
[00:56:36.738 --> 00:56:40.439]  When I saw that, first of all, I thought, well, maybe it is some kind of software error.
[00:56:41.061 --> 00:56:44.843]  It was happening so often, and it only seemed to happen for truth videos.
[00:56:45.463 --> 00:56:53.827]  And another thing I noticed was that on Google Video, they would display the top 10 videos on their homepage.
[00:56:54.528 --> 00:56:59.190]  And now, at this time, two years ago, I think Terror, Storm and Loose Change were there in the top 10.
[00:56:59.650 --> 00:57:04.653]  They displayed every other video that was in the top 10 on their homepage, except Terror, Storm and Loose Change.
[00:57:04.673 --> 00:57:09.615]  And again, you know, that set a few alarm bells ringing, you know, in my mind.
[00:57:10.399 --> 00:57:25.745]  Then in February of 2007, a couple of months later, Google pulled the infamous BBC video where they reported that Building 7 had collapsed, you know, 20 minutes before it actually did collapse.
[00:57:26.706 --> 00:57:31.567]  And, you know, every time somebody tried to upload that video, it was pulled within minutes.
[00:57:31.748 --> 00:57:34.389]  And it really was laughable to see.
[00:57:34.429 --> 00:57:36.529]  You know, you could sense the panic at Google.
[00:57:36.569 --> 00:57:37.710]  They didn't want that video
[00:57:38.402 --> 00:57:38.642]  You think?
[00:57:53.388 --> 00:57:55.669]  Videos were actually the most popular.
[00:57:55.689 --> 00:57:57.809]  We just basically had to take Google's word for it.
[00:57:57.969 --> 00:58:04.471]  And YouTube is now moving in that same direction, as is Myspace and many others, censoring at every level.
[00:58:04.531 --> 00:58:10.432]  So, it's here, it's happening, and they shouldn't hold themselves out as this free, open community.
[00:58:11.252 --> 00:58:18.514]  And then, when our videos don't violate any other rules or terms, they go in and specifically target them for censorship.
[00:58:18.574 --> 00:58:20.515]  This is false advertising.
[00:58:20.555 --> 00:58:21.315]  This is fraud.
[00:58:22.188 --> 00:58:24.409]  Exactly, that's exactly what it is.
[00:58:24.529 --> 00:58:38.278]  It is fraudulent, you know, and it was this censorship that I ran two years ago on Google that made me want to start up a YouTube channel, and back then Google didn't own YouTube, and there wasn't that much censorship going on on YouTube at that time.
[00:58:38.298 --> 00:58:49.325]  There probably was some, but it was nothing like it is today, you know, so at that time I thought, you know, I'll put out some videos on YouTube and hopefully try and get this information out there to people, you know, and
[00:58:50.120 --> 00:58:55.244]  So, you know, it's thanks to you, Alex, and people like you that, you know, I've been able to expand my worldview.
[00:58:55.304 --> 00:59:04.452]  And when you sort of, when you realize the manipulation that's taking place, you know, due to this globalist elite, the first thing you want to do is inform other people.
[00:59:04.512 --> 00:59:10.576]  And that's what I'm trying to do on YouTube is just to get, you know, info out there to wake people up.
[00:59:10.657 --> 00:59:14.179]  And now it's become so difficult, and it only seems to be
[00:59:15.558 --> 00:59:21.442]  After Google bought YouTube, that is when all the censorship seemed to kick in.
[00:59:21.462 --> 00:59:24.925]  Because it didn't really exist back two years ago.
[00:59:25.025 --> 00:59:28.467]  But now it's rife on YouTube right now.
[00:59:28.627 --> 00:59:32.970]  And that's because we're going into a worldwide controlled depression.
[00:59:32.990 --> 00:59:34.671]  The banks are engineering it.
[00:59:34.692 --> 00:59:35.932]  They're getting ready to launch new wars.
[00:59:35.952 --> 00:59:40.836]  They just tried to start World War III between Pakistan and India, as Paul Watson covered earlier.
[00:59:40.856 --> 00:59:42.177]  We need you to make one on that enough.
[00:59:42.977 --> 00:59:45.178]  Exactly, that's right.
[00:59:45.198 --> 00:59:48.099]  And I think it scares them that we're getting information out there for the masses.
[01:00:10.541 --> 01:00:16.084]  And, you know, I mean on YouTube, the methods of censorship now are just so blatant.
[01:00:16.264 --> 01:00:22.428]  You know, one method is where, I mean, they remove videos under the excuse that they contain inappropriate content.
[01:00:22.833 --> 01:00:25.375]  This has happened to me a few times.
[01:00:25.455 --> 01:00:31.058]  I'll have videos that don't even show a woman in a short skirt and they get banned for inappropriate.
[01:00:31.739 --> 01:00:34.120]  Or people creating fake Alex Jones accounts.
[01:00:34.981 --> 01:00:37.783]  Then they themselves go and complain on me.
[01:00:38.163 --> 01:00:39.303]  Stuff gets shut down.
[01:00:39.864 --> 01:00:43.806]  There's people also editing my videos together where I'm saying racist things.
[01:00:44.727 --> 01:00:46.128]  Tell folks about some of the other tactics.
[01:00:46.966 --> 01:00:53.288]  Well, um, I'd just say, you know, they, they remove videos under the pretense that they contain inappropriate content.
[01:00:53.648 --> 01:00:58.649]  But YouTube doesn't give you any explanation as to what it is that they deem to be inappropriate.
[01:00:58.669 --> 01:01:00.970]  So you're, you're just left in the dark, basically.
[01:01:01.550 --> 01:01:14.414]  And, you know, the one thing I noticed with the videos that they removed of mine, under the pretense of, you know, inappropriate content, they, the one thing they all have in common was that they all chalked up a lot of views within the first
[01:01:15.150 --> 01:01:15.390]  12 hours.
[01:01:15.430 --> 01:01:18.613]  I think it's like 20,000 views within the first 12 hours.
[01:01:19.093 --> 01:01:27.860]  And so it seems to me that Google doesn't mind us uploading videos that sort of expose what's happening with this globalist agenda.
[01:01:28.550 --> 01:01:35.093]  But they don't seem to like it when those videos, you know, gather a lot of views very quickly, because obviously... Yeah, here's an example.
[01:01:35.133 --> 01:01:37.575]  You made that one about Question Your Reality.
[01:01:37.955 --> 01:01:50.281]  It got 200,000 views in one day, it was number one, and then suddenly the comments kept going up by the thousands, but suddenly it was frozen for a few days, frozen in its hits, to knock it out of the top.
[01:01:50.961 --> 01:01:53.463]  That's right, that's exactly what I do, what they do.
[01:01:54.583 --> 01:01:58.165]  What I noticed with that video was it generated a huge number of hits.
[01:01:58.625 --> 01:01:59.166]  Are you kidding?
[01:01:59.186 --> 01:01:59.646]  200,000 in one day?
[01:02:15.976 --> 01:02:20.242]  I mean, that's just one example of what's happening on YouTube at the moment.
[01:02:20.302 --> 01:02:22.625]  And it only seems to happen with truth videos.
[01:02:22.645 --> 01:02:28.674]  It doesn't seem to happen with all the mainstream sort of stuff, you know, the Britney Spears and all the rest of it.
[01:02:29.034 --> 01:02:31.418]  It's only the kind of videos that I upload.
[01:02:32.037 --> 01:02:33.737]  And it's not just me that it's happening to.
[01:02:33.777 --> 01:02:36.138]  It's happening to so many different channels on YouTube.
[01:02:36.278 --> 01:02:38.459]  Well, now Obama is announcing Internet 2.
[01:02:38.519 --> 01:02:39.019]  That's what it is.
[01:02:39.379 --> 01:02:45.360]  Tens of billions into that is to create the new web, force all of us off, as Internet 2 is declared.
[01:02:45.761 --> 01:02:46.461]  Now is the fight.
[01:02:46.501 --> 01:02:52.242]  We come back in the final segment with the creator of the EnoughRespect channel, YouTube forward slash EnoughRespect.com.
[01:02:52.502 --> 01:02:55.203]  We link to it all the time at InfoWars.com, John Wadkins.
[01:02:55.563 --> 01:03:01.208]  There's so many other great channels like the Alex Jones Channel that a guy runs and they ran off Gatekeeper Invasion.
[01:03:01.248 --> 01:03:03.691]  They ran off so many other great folks.
[01:03:04.151 --> 01:03:07.314]  To all the other wonderful people out there, you go make your own channels.
[01:03:07.334 --> 01:03:08.355]  You've got video talent.
[01:03:08.695 --> 01:03:10.817]  You go out there and put out whatever you think is important.
[01:03:11.238 --> 01:03:14.181]  Don't let them silence the fight against the New World Order.
[01:03:14.341 --> 01:03:16.783]  We're talking to John Watkins, an amazing individual.
[01:03:17.043 --> 01:03:19.806]  Final segment with him and a challenge he's got for you.
[01:03:20.106 --> 01:03:20.607]  Stay with us.
[01:03:22.264 --> 01:03:26.986]  Don't be a victim of sudden cardiac arrest due to inflammation of the arterial walls.
[01:03:27.346 --> 01:03:33.688]  Our hemp foods are anti-inflammatory and gluten-free and can greatly benefit the health of the human body.
[01:03:34.429 --> 01:03:42.792]  By calling 908-691-2608 or visiting hempusa.org, you can benefit from this wonderful natural food source.
[01:03:43.452 --> 01:03:50.875]  Our customers are also purchasing this natural food for long-term storage, camping, survival and emergency food rations.
[01:03:51.377 --> 01:03:56.899]  Call 908-691-2608 or visit hempusa.org today.
[01:03:56.919 --> 01:04:04.861]  Hempusa.org believes that now is the time to plan for the future and food will be your greatest asset.
[01:04:05.481 --> 01:04:12.283]  People spend money on all kinds of things, but our warning is prepare now for food shortages in the future.
[01:04:13.103 --> 01:04:15.064]  So don't delay, call today!
[01:04:15.935 --> 01:04:21.820]  908-691-2608 and see what our powder, seeds, and oil can do for you.
[01:04:22.781 --> 01:04:24.182]  It is a big idea.
[01:04:24.202 --> 01:04:26.324]  A new world order.
[01:04:27.025 --> 01:04:31.749]  In the near future, Earth is dominated by a powerful world government.
[01:04:31.929 --> 01:04:34.711]  It's known as the Bilderberg Group.
[01:04:34.751 --> 01:04:37.013]  Could their objective be world domination?
[01:04:37.534 --> 01:04:39.936]  For thousands of years, their dark order grew.
[01:04:40.689 --> 01:04:48.026]  Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[01:04:51.064 --> 01:04:56.007]  For the first time in history, the elite's plan for world government is blown wide open.
[01:04:56.488 --> 01:04:59.970]  You will learn the secret that drives the entire New World Order agenda.
[01:05:00.370 --> 01:05:02.852]  Bill Burgess is making great progress toward a world government.
[01:05:02.932 --> 01:05:04.073]  Most people have no idea.
[01:05:04.093 --> 01:05:04.853]  They're not after money.
[01:05:04.873 --> 01:05:05.954]  They have all the money they need.
[01:05:06.154 --> 01:05:06.875]  They're after power.
[01:05:07.135 --> 01:05:08.256]  That's what they're after these years.
[01:05:08.296 --> 01:05:12.839]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[01:05:13.039 --> 01:05:15.821]  Or watch it online right now at PrisonPlanet.tv.
[01:05:15.981 --> 01:05:19.283]  Endgame, blueprint for global enslaving.
[01:05:19.823 --> 01:05:20.864]  You have been warned.
[01:05:21.878 --> 01:05:25.180]  The United States is bankrupt and the bankers want you bankrupt also.
[01:05:25.420 --> 01:05:27.782]  How would you like to be debt free in 90 days?
[01:05:27.902 --> 01:05:28.563]  Guaranteed!
[01:05:28.963 --> 01:05:35.607]  DebtCrisisSolutions.com has helped tens of thousands out of debt since 1993 and will free you from the debt trap.
[01:05:35.887 --> 01:05:43.593]  DebtCrisisSolutions.com legally guarantees to put an end to wage garnishment, bank levies and liens and you won't pay one dime to creditors.
[01:05:43.853 --> 01:05:51.658]  With Debt Crisis Solutions program, you'll also restore your credit history and be protected from legal action without making one more payment to creditors.
[01:05:51.918 --> 01:05:59.124]  DebtCrisisSolutions.com specializes in credit report restoration, preventing wage garnishment and bank levies, liens and judgments.
[01:05:59.524 --> 01:06:01.645]  Doing nothing doesn't make the debt go away.
[01:06:01.846 --> 01:06:04.387]  Become debt free in 90 days, guaranteed.
[01:06:04.588 --> 01:06:07.830]  Call Debt Crisis Solutions now for a free consultation at 718-615-0123.
[01:06:07.890 --> 01:06:08.130]  That's 718-615-0123.
[01:06:08.150 --> 01:06:10.612]  Or visit them online at DebtCrisisSolutions.com.
[01:06:10.852 --> 01:06:12.373]  That's DebtCrisisSolutions.com today!
[01:06:25.023 --> 01:06:31.048]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:06:31.648 --> 01:06:34.631]  It's Alex Jones and the GCN Radio Network.
[01:06:36.388 --> 01:06:40.350]  Newspapers are declaring and filing for bankruptcy all over the United States.
[01:06:40.370 --> 01:06:41.650]  New York Times is broke.
[01:06:41.770 --> 01:06:44.832]  Headline, mortgages, their headquarters and cash crunch.
[01:06:45.592 --> 01:06:46.592]  They're going to strike back.
[01:06:47.473 --> 01:06:55.456]  Obama's new Internet czar is going to restrict free speech and set up Internet 2, where you have a sub-domain, just like NeffRespect has with YouTube, so they can shut him down.
[01:06:56.076 --> 01:06:58.737]  I would have a huge YouTube, but I don't have the money for people.
[01:06:59.878 --> 01:07:04.460]  I mean, I'm spending twenty grand a month right now on bandwidth, just with PrisonPlanet.tv and my websites.
[01:07:05.180 --> 01:07:08.223]  So you have to understand that this is how they're going to do it.
[01:07:08.843 --> 01:07:14.008]  The future web, you're going to have all your data on a separate server that they're going to control what you have access to.
[01:07:14.028 --> 01:07:15.869]  Now, with respect, you're a great interviewer.
[01:07:15.889 --> 01:07:25.878]  Let me set you up for like a full hour sometime next week to talk about your great films, who you are, getting other people involved, the big event you're having December 19th.
[01:07:27.641 --> 01:07:31.145]  That said, I just want to commend you and thank you for all you've done.
[01:07:31.165 --> 01:07:32.086]  You're another testament.
[01:07:32.106 --> 01:07:41.595]  I mean, today we've talked about retraining Americans how to shoot the history of the founding fathers, then don't drink the aspartame, how it's deadly, now we're fighting against censorship.
[01:07:41.936 --> 01:07:43.938]  I mean, the example of everybody I've had on the day
[01:07:44.678 --> 01:07:53.921]  And you've reached more than anybody in just two years on the web, reaching tens of millions conservatively with just the, you know, one or two, three videos a month that you make.
[01:07:54.421 --> 01:07:59.283]  I salute you, and you are the model of the type of person that's going to turn this world around.
[01:08:00.463 --> 01:08:01.024]  Thanks, Alex.
[01:08:01.124 --> 01:08:03.384]  I mean, that's really nice of you to say that.
[01:08:04.005 --> 01:08:04.965]  I mean, it's thanks to you.
[01:08:05.285 --> 01:08:09.086]  You know, if it wasn't for you, there would be no Neprospect channel on YouTube.
[01:08:09.146 --> 01:08:11.687]  It's because of you that I got into doing all this.
[01:08:11.707 --> 01:08:13.768]  Because when she, as I say, when she realized
[01:08:14.352 --> 01:08:17.453]  You know, the manipulation that's taking place, you know, in this world.
[01:08:17.473 --> 01:08:23.656]  The one thing you want to do is inform other people, and that's all I'm trying to do on YouTube, is just try and wake people up, basically.
[01:08:24.076 --> 01:08:28.398]  You know, and YouTube is thwarting my efforts every step of the way, you know?
[01:08:28.878 --> 01:08:40.403]  So many different methods of censorship, and they're all really crude and sneaky, and it kind of upsets me, because it's not just me it's happening to, it's so many people on YouTube who are just trying to do the same as what I'm doing.
[01:08:41.118 --> 01:08:43.899]  You know, and they make it really hard for us.
[01:08:44.099 --> 01:08:47.540]  You know, there's just so many different ways that they're doing this now.
[01:08:47.840 --> 01:08:49.541]  You know, and some are more blatant than others.
[01:08:49.621 --> 01:08:56.864]  But, you know, I've seen it enough times to know, you know, I mean, some things you could just brush off as software error, for example.
[01:08:56.924 --> 01:09:01.885]  But, you know, some of the things I've seen, you know, it is definite censorship.
[01:09:01.905 --> 01:09:04.206]  There's no other way to describe it, really.
[01:09:04.226 --> 01:09:06.447]  I mean, another method they use to
[01:09:07.131 --> 01:09:07.792]  I think so.
[01:09:25.430 --> 01:09:29.391]  And then when you try and snap up another channel, nobody really knows for sure whether it's you or not.
[01:09:29.411 --> 01:09:29.672]  That's right.
[01:09:29.692 --> 01:09:35.073]  So we need to create a... Doppelgangers, you need to create... When they used to hack my websites, that's why I have so many.
[01:09:35.334 --> 01:09:39.415]  You just create more and promote them all, and let people know you're under attack.
[01:09:39.455 --> 01:09:45.337]  In the minute and a half we've got left, and I'm going to say to you... I'm going to say bye to you at the end of the show here, privately, so don't hang up.
[01:09:46.698 --> 01:09:50.399]  Tell us what's coming up the 19th, the challenge video you've got up there right now.
[01:09:51.138 --> 01:10:04.785]  Oh yeah, well that's from a user on YouTube called Legitimacy Coalition, and basically he's organizing this thing where what we want to do is get everybody to basically boycott YouTube on December the 19th.
[01:10:05.506 --> 01:10:10.688]  Just not log in to YouTube at all, not use it in any way, shape or form for that date.
[01:10:11.208 --> 01:10:14.690]  And hopefully if enough of us do that, it'll have an impact.
[01:10:14.730 --> 01:10:17.492]  You know, we've got to make our voices heard in some way.
[01:10:18.328 --> 01:10:24.870]  You know, these are the things we're going to have to do now to try and get YouTube to sort of... And we have to boycott it to save it!
[01:10:25.350 --> 01:10:26.370]  And again, why are we there?
[01:10:26.410 --> 01:10:29.971]  Because it's the biggest place where we can virally reach the people.
[01:10:30.311 --> 01:10:35.913]  John Watkins, we'll talk to you and the maker of that channel coming up next week for a full hour if you can do it.
[01:10:36.393 --> 01:10:36.833]  Stay there.
[01:10:36.853 --> 01:10:37.413]  No problem.
[01:10:38.354 --> 01:10:39.254]  It's been great having you on.
[01:10:40.114 --> 01:10:40.635]  Thanks, Alex.
[01:10:40.735 --> 01:10:41.355]  Thanks very much.
[01:10:41.475 --> 01:10:41.776]  You bet.
[01:10:41.796 --> 01:10:42.076]  Stay there.
[01:10:42.116 --> 01:10:43.557]  I'm going to say bye to you when the show ends.
[01:10:44.318 --> 01:10:46.100]  Folks, I had Paul Watson on.
[01:10:46.140 --> 01:10:47.041]  I had Betty Martini.
[01:10:47.461 --> 01:10:48.962]  I had the guest on about the militias.
[01:10:49.723 --> 01:10:51.265]  And, of course, I had enough respect on.
[01:10:51.645 --> 01:10:55.869]  Be sure and listen to the retransmission now on the internet at infowars.com.
[01:10:56.249 --> 01:10:57.490]  They're not censoring us yet.
[01:10:57.510 --> 01:10:58.471]  They sure are trying.
[01:10:58.792 --> 01:11:00.273]  Spread the word about the free podcast.
[01:11:00.293 --> 01:11:00.994]  God bless you all.
