[00:00:13.493 --> 00:00:15.434]  It is already the second day of July 2008.
[00:50:17.235 --> 00:50:24.902]  Kind of like I've talked to the people for Time Lapse Books that were told to destroy the evidence at the back of Kennedy's head blown off, and I've seen those photos.
[00:50:25.342 --> 00:50:26.103]  They need to release them.
[00:50:26.183 --> 00:50:28.165]  I'll tell you what, Richard C. Hoagland, stay there.
[00:50:28.225 --> 00:50:29.566]  Back in 60 seconds.
[00:50:34.650 --> 00:50:36.212]  Thank you for listening to GCN.
[00:50:37.153 --> 00:50:39.455]  Be sure to visit GCNlive.com today.
[00:50:42.583 --> 00:50:44.244]  Our beloved Republic is on her knees.
[00:50:44.545 --> 00:50:47.987]  The forces of globalism are destroying national sovereignty worldwide.
[00:50:48.167 --> 00:50:50.029]  But in Liberty's darkest hour, there is hope.
[00:50:50.629 --> 00:50:53.351]  The first time in modern history, the people are beginning to wake up.
[00:50:53.652 --> 00:50:59.136]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[00:50:59.396 --> 00:51:03.319]  We have a short time frame to fully awaken and energize the people to meet this threat.
[00:51:03.639 --> 00:51:08.562]  In the Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[00:51:08.842 --> 00:51:11.603]  PrisonPlanet.tv is a vault of forbidden information.
[00:51:11.883 --> 00:51:18.727]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[00:51:19.107 --> 00:51:24.930]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[00:51:25.070 --> 00:51:29.172]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much
[00:51:30.458 --> 00:51:31.879]  Alex Jones on the GCN Radio Network.
[00:52:09.047 --> 00:52:16.950]  Richard C. Hoagland is our guest for another 30 minutes.
[00:52:17.090 --> 00:52:19.051]  Gotta have him back up sooner rather than later.
[00:52:22.617 --> 00:52:25.481]  Okay Richard, there's so much to cover.
[00:52:25.521 --> 00:52:27.704]  Obviously we're scratching the surface of Dark Mission.
[00:52:27.764 --> 00:52:28.725]  Very impressive book.
[00:52:29.866 --> 00:52:31.969]  No doubt NASA is covering up a lot.
[00:52:32.770 --> 00:52:34.913]  I guess all bets are off then.
[00:52:34.953 --> 00:52:36.875]  We can speculate all day.
[00:52:38.617 --> 00:52:42.159]  But there are some things that we can prove they're covering up.
[00:52:43.279 --> 00:52:49.001]  What about my question about NASA or the real program behind it in mind control?
[00:52:49.041 --> 00:53:00.286]  Because in government documents, in government hearings, NASA keeps popping up over the years, and then from separate sources it keeps popping up, and you're one of the foremost experts on NASA outside of its system now.
[00:53:00.966 --> 00:53:02.707]  Does that ever come across your radar screen?
[00:53:03.740 --> 00:53:06.521]  Well, it certainly did in a very curious way.
[00:53:07.101 --> 00:53:11.541]  First of all, let me say that there are, if you go to Google, Google is your friend.
[00:53:11.601 --> 00:53:15.862]  That's, you know, besides the lie is different at every level, the other mantra is Google is your friend.
[00:53:16.502 --> 00:53:18.283]  Use Google liberally, freely.
[00:53:18.483 --> 00:53:19.683]  It's an amazing tool.
[00:53:19.983 --> 00:53:22.923]  The Internet, I wish you realized that we wouldn't have a prayer if we didn't have the Internet.
[00:53:23.764 --> 00:53:31.205]  The Internet, you know, thank God for Bill Gates and DARPA, the Defense Advanced Research Project Agency, which gave us the Internet.
[00:53:32.103 --> 00:53:36.587]  Um, has given us the tools to fight and fight effectively, because information is power.
[00:53:37.127 --> 00:53:42.991]  So what you do is you go to Google, and you start looking at all the patents from mind control.
[00:53:43.572 --> 00:53:44.392]  They're right out there.
[00:53:45.073 --> 00:53:50.397]  This is not airy-fairy, you know... By the way, speaking of Google, they're now in bed with NASA, but go ahead.
[00:53:51.278 --> 00:53:59.584]  Well, they've been in bed for quite a while with certain interesting agencies, but the information is there if you go look for it.
[00:54:00.600 --> 00:54:04.881]  Google mind-control technologies, mind-altering technologies.
[00:54:04.941 --> 00:54:08.283]  We all know, or most of this audience probably knows, but MKUltra.
[00:54:08.963 --> 00:54:20.727]  It looks like they've been at the idea of manipulating and mind-controlling other people, the other side, whoever the enemy is, and we're, in their eyes, the enemy, for a long, long time.
[00:54:20.747 --> 00:54:22.247]  20, 30, 40 years.
[00:54:23.027 --> 00:54:24.448]  The question is, how good are they?
[00:54:25.430 --> 00:54:41.764]  I think that NASA, if they themselves did not have the technology, were allied with those agencies that did have the technology, that developed it, out of World War II, the Nazis, we're back to the Nazis and those weird medical experiments again that we've all heard about.
[00:54:42.885 --> 00:54:51.051]  I ran into this first person when I was invited to Wyoming back in the early 90s.
[00:54:52.406 --> 00:54:58.929]  To do a series of programs for the school district in, in one of the southern towns, I think it was Billings.
[00:55:00.049 --> 00:55:07.332]  And I would have been invited by a former CIA guy, who was married to a doctor, a medical doctor.
[00:55:08.493 --> 00:55:14.315]  And what I decided, because they wanted me to come out and talk about the Mars stuff, based on what I talked about at the UN.
[00:55:15.336 --> 00:55:17.937]  And instead, I unveiled a surprise.
[00:55:18.437 --> 00:55:20.238]  Because at this Billings conference,
[00:55:20.953 --> 00:55:26.016]  For the first time, I talked about the structures we had found upon the moon.
[00:55:27.056 --> 00:55:34.400]  Well, Alex, you would have thought I had taken a small nuclear weapon and detonated it in the middle of the conference.
[00:55:35.561 --> 00:55:47.087]  I literally was manhandled by this guy, and put up against a wall, and browbeat for not following what I had said I was going to talk about, etc., etc., etc.
[00:55:48.260 --> 00:55:52.343]  Now, you know that Wyoming is one of the places where they put these CIA guys out to pasture?
[00:55:53.523 --> 00:55:58.227]  They buy them all ranches, and they live like kings, and basically it's CIA country.
[00:55:58.307 --> 00:56:05.191]  Montana, Wyoming... Well, not just that, they're putting them in, FBI, CIA, almost every major sheriff.
[00:56:06.572 --> 00:56:12.636]  Well, this was a retired intel guy, who of course is never retired, but here's the nub of the story.
[00:56:13.911 --> 00:56:22.756]  When we were doing this conference, we were setting it up with this guy and his wife, and his wife was a medical doctor.
[00:56:23.636 --> 00:56:34.622]  And at one point, one of the people I was with was trying to get her to talk about her experiences, and she revealed that she had been part of the quarantine team.
[00:56:35.535 --> 00:56:39.221]  Debriefing the astronauts when they came back from the moon.
[00:56:39.441 --> 00:56:40.142]  Wow, stay there.
[00:56:40.202 --> 00:56:42.265]  Let's tie all this together after the break.
[00:56:42.285 --> 00:56:47.012]  A quick break, we're going to talk behind the scenes as well, but we'll finish up with that story when we get back from the main audience.
[00:56:47.373 --> 00:56:47.834]  Stay with me.
[00:56:55.382 --> 00:57:05.408]  Again, Richard, this is kind of schizophrenic how we do this, but I don't want to waste the time, because we'll tell one little three-minute story here and then come back with the other story after, but that way you don't waste your time with the ads.
[00:57:06.669 --> 00:57:10.032]  And folks really do like it, and I appreciate you coming on.
[00:57:10.592 --> 00:57:11.873]  I hope you're having a good time on the show.
[00:57:13.010 --> 00:57:15.212]  It's just too brief.
[00:57:15.392 --> 00:57:18.194]  I'm going to have to have you on four or five hours or two or three more interviews.
[00:57:18.855 --> 00:57:25.781]  When we get back I want to hear the rest of the story and then go into what's happening with the modern NASA system.
[00:57:30.004 --> 00:57:36.110]  What is your opinion on how advanced NASA really is from all the pieces of data you've got and how much of their
[00:57:38.257 --> 00:57:40.097]  You know, ShadowNASA or whatever you want to call it.
[00:57:41.518 --> 00:57:44.278]  I mean, just how big and powerful that really is and what they've really developed.
[00:57:44.958 --> 00:57:46.439]  Well, again, I'm a data guy.
[00:57:46.859 --> 00:57:52.460]  You know, I don't like wild speculation, even though people, my enemies, accuse me of incredible wild speculation.
[00:57:52.620 --> 00:57:55.520]  Everything that we talk about, we can support with evidence.
[00:57:56.561 --> 00:58:05.542]  If you go to the various websites, like YouTube, and you download the shuttle video, STS-48 and STS-80,
[00:58:08.416 --> 00:58:19.561]  And you look at the events going on in this official NASA video of these bizarre crafts streaking around doing 200,000 G maneuvers.
[00:58:19.581 --> 00:58:26.544]  200,000 times the force of gravity that would smear an occupant all over the walls of the cabin like, you know, toothpaste.
[00:58:27.164 --> 00:58:30.065]  And you see them doing this with abandon, freely.
[00:58:30.926 --> 00:58:34.327]  You are looking at spacecraft, obviously, that are not rockets.
[00:58:34.587 --> 00:58:36.208]  Incredibly advanced technology.
[00:58:37.116 --> 00:58:50.721]  Well, I discovered that all of these maneuvers are taking place over key latitudes on Earth, like 19.5 degrees over the Western Australia Outback, or 19.5 degrees over South America.
[00:58:50.901 --> 00:58:51.581]  So what is it?
[00:58:51.701 --> 00:58:55.583]  I mean, is it... It's a ritual, and it's our spacecraft.
[00:58:55.623 --> 00:58:56.123]  It's human.
[00:58:56.143 --> 00:58:58.144]  It's not UFOs, not aliens, not ETs.
[00:58:59.167 --> 00:59:13.082]  Frankly, I'm beginning to believe the entire ET UFO scenario is another huge lie to cover the secret space program by humans here on Earth, which gets us into why did the Catholic Church
[00:59:13.857 --> 00:59:16.339]  Which, years ago, did some very peculiar things.
[00:59:16.659 --> 00:59:18.681]  Why are they now saying aliens are real?
[00:59:19.221 --> 00:59:24.305]  Not only that, Alex, why are they saying they're our extraterrestrial brothers?
[00:59:24.406 --> 00:59:27.588]  Okay, let's come back and talk about mind control, and then let's get into that.
[00:59:27.648 --> 00:59:28.349]  Let's go right now.
[00:59:28.609 --> 00:59:30.731]  This is just absolutely amazing.
[00:59:30.931 --> 00:59:32.952]  Richard C. Hoagland is our guest.
[00:59:33.012 --> 00:59:34.754]  Enterprise Institute.
[00:59:34.794 --> 00:59:35.975]  Give out all the sites again.
[00:59:36.275 --> 00:59:38.497]  Alright, EnterpriseMission.com.
[00:59:38.697 --> 00:59:39.718]  Think of a mission, Alex.
[00:59:39.978 --> 00:59:44.804]  EnterpriseMission.com and then you've also got the DarkMission.net.
[00:59:45.144 --> 00:59:46.205]  DarkMission.net.
[00:59:46.245 --> 00:59:49.289]  Everything you wanted to know about what's in Dark Mission and didn't know who to ask.
[00:59:49.409 --> 00:59:49.990]  Okay, here we go.
[00:59:57.159 --> 00:59:57.800]  Big Brother.
[00:59:58.460 --> 00:59:59.501]  Mainstream media.
[01:00:00.241 --> 01:00:01.342]  Government cover-ups.
[01:00:01.983 --> 01:00:02.803]  You want answers?
[01:00:03.564 --> 01:00:04.465]  Well, so does he.
[01:00:04.485 --> 01:00:08.728]  He's Alex Jones on the GCN Radio Network.
[01:00:09.329 --> 01:00:13.432]  And now, live from Austin, Texas, Alex Jones.
[01:00:16.474 --> 01:00:18.956]  It's an amazing discussion with Richard C. Hoagland.
[01:00:19.236 --> 01:00:20.717]  Really thankful for him being with us.
[01:00:23.059 --> 01:00:25.161]  Darkmission.net's the website for the book.
[01:00:27.039 --> 01:00:52.481]  Consultant to NASA, curator of a major museum, helped design the gold tablet, you know, message to the stars, sent out on one of the more famous spacecraft, worked with CBS News and Walter Cronkite, and now the biggest whistleblower out there on NASA corruption, and so much of what I've been talking about 15 years ago has now come out, that's what blows me away, because I try to just focus in on what I can prove,
[01:00:53.081 --> 01:00:56.282]  And reading his book, so much of it I can prove, and that's what scares me.
[01:00:56.802 --> 01:00:57.422]  Mind control.
[01:00:57.442 --> 01:00:58.903]  You were finishing up with mind control.
[01:00:59.403 --> 01:01:06.786]  So you're out at this event, you bring up cover-ups of things on the moon, and this guy literally bulls up against you, shoves you up against a wall.
[01:01:07.166 --> 01:01:11.327]  His wife's some government physician that works with the astronauts.
[01:01:11.367 --> 01:01:13.708]  So finish that up, and then I want to get into these
[01:01:14.608 --> 01:01:24.151]  These official videos they've shown on the news from the space shuttle with these craft flying around and Richard, again, we don't talk about little green men here.
[01:01:24.471 --> 01:01:32.053]  These are official government footage and Hoagland believes it's all part of a larger government program.
[01:01:32.073 --> 01:01:33.974]  But get back to the mind control first, sir.
[01:01:35.083 --> 01:01:43.407]  Well, we were having this dinner one night and, you know, basically when you go into a new town, you meet new people, your host, and we were staying there and all that.
[01:01:43.427 --> 01:01:47.089]  It was very social and very protocol and all that.
[01:01:47.109 --> 01:01:49.810]  Um, they did not know yet what I was going to talk about.
[01:01:50.451 --> 01:02:02.817]  So, it was kind of, you know, you're a friend, you're a friend of a friend of ours, you're going to do this thing for the school the next couple of days, you know, and so I would just started asking questions, you know, what are you doing here and what do you used to do?
[01:02:03.703 --> 01:02:04.324]  What did you do?
[01:02:04.344 --> 01:02:12.753]  I discovered that his wife, this intel agent's wife, CIA guy in real life, was a doctor, medical doctor.
[01:02:13.393 --> 01:02:19.780]  And that she had been part of the team debriefing in the quarantine the astronauts coming back from the moon.
[01:02:21.141 --> 01:02:26.067]  And, you know, I'm trying to be very diplomatic and not give away what I'm going to talk about the next day.
[01:02:27.205 --> 01:02:44.854]  The next day when I laid my bombshell on everybody that we found structures on the moon from the Apollo program and the other programs and showed the photographs, the reaction was so bizarre because not only was I slammed up against the wall by this guy and basically threatened, but his wife
[01:02:45.675 --> 01:02:47.677]  Never would come to the conference.
[01:02:48.117 --> 01:02:49.238]  She orbited around.
[01:02:49.438 --> 01:03:01.008]  She would go to a coffee shop down the street and have coffee, or she would go to the supermarket, or she would go and, you know, go back to the house, but she would never came to the whole... Through a three-day, she never came to the conference.
[01:03:01.769 --> 01:03:11.797]  One of my associates, who'd kind of gotten friendly with her, because I was there with several other people, kind of got her aside at one point and was asking her some questions.
[01:03:12.466 --> 01:03:21.533]  And it turns out that even though she remembered that she'd been part of the team to debrief the astronauts, she couldn't remember a thing that they said.
[01:03:22.294 --> 01:03:26.277]  She couldn't remember why she no longer was working with NASA.
[01:03:26.938 --> 01:03:38.267]  She couldn't remember... In other words, her memory lapses were enormous, and I don't think they were faint, because we now found the same pattern in all the flight crews, starting with Ed Mitchell.
[01:03:39.053 --> 01:03:50.060]  Ed Mitchell, when he and I did the debate with Art some years ago, live, coast-to-coast, admitted freely that he was very troubled when he came back to Earth after Apollo 14.
[01:03:50.740 --> 01:04:00.166]  And a young kid at one of these school events, because they all did school events, you know, exciting the next generation, one of the kids asked him, what did it feel like, Dr. Mitchell, to walk on the moon?
[01:04:01.147 --> 01:04:05.850]  And he realized, he admitted in his own book, The Way of the Explorer, Ed Mitchell's book,
[01:04:06.641 --> 01:04:17.610]  And he admitted again on the air with Art and me that night that what troubled him immensely is he could not remember what it felt like to walk on the moon.
[01:04:18.671 --> 01:04:21.193]  Now, Ed is a very emotional guy.
[01:04:21.313 --> 01:04:23.815]  He's a scientist, you know, but he's one of the more emotional.
[01:04:23.835 --> 01:04:26.257]  In other words, he's not repressing his emotions.
[01:04:26.857 --> 01:04:31.021]  So for him not to remember the emotions really bothered him.
[01:04:31.061 --> 01:04:35.284]  And it got so bad that he actually went to a therapist to try to have post-hypnotic
[01:04:35.669 --> 01:04:40.013]  Regression, to see why it was he couldn't remember the feeling.
[01:04:40.053 --> 01:04:41.714]  He remembered the mission plan.
[01:04:41.734 --> 01:04:49.961]  We did this, we did that, you know, Station A, Station B, we traversed the Earth, you know, turned this on, all that, but he couldn't remember the emotions.
[01:04:50.801 --> 01:04:59.628]  And when he got in the therapy session, it turned out that there was a block so big that he literally could not be regressed through it.
[01:04:59.668 --> 01:05:01.310]  He could not penetrate the block.
[01:05:01.650 --> 01:05:04.032]  He would say things like, oh, that's not important, I don't need to know that.
[01:05:04.910 --> 01:05:22.520]  So, this is one clue, the major clue I have, that the astronauts, probably, when they look into the camera and they say there's nothing there, or they say that Hogan's nuts or whatever, they're telling from their perspective the truth, because the awful truth, Alex, is they have been brainwashed.
[01:05:22.601 --> 01:05:23.961]  They have been mind-controlled.
[01:05:24.281 --> 01:05:28.304]  They have had a technology, a very sophisticated technology,
[01:05:28.917 --> 01:05:31.719]  Which took away the real missions that they experienced.
[01:05:31.739 --> 01:05:37.842]  Now we have had a few of the astronauts come out and say that they did see craft on the moon, around the moon, and around the Earth.
[01:05:37.862 --> 01:05:38.303]  Those are lies.
[01:05:38.463 --> 01:05:39.063]  Those are lies.
[01:05:39.143 --> 01:05:40.164]  That's more digression.
[01:05:40.184 --> 01:05:41.285]  That's more disinformation.
[01:05:41.965 --> 01:05:43.446]  That's absolutely not true.
[01:05:44.126 --> 01:05:46.007]  What they saw there were structures.
[01:05:46.087 --> 01:05:47.628]  What they saw there was technology.
[01:05:47.668 --> 01:05:48.589]  They were sent there.
[01:05:49.238 --> 01:06:03.501]  The mission of Apollo, I believe, and we lay this out in Dark Mission, was to bring back technology that the in-crowd, the controllers, whoever they are, the people behind NASA, want desperately from the 1960s.
[01:06:03.561 --> 01:06:10.623]  Okay, well let me just stop you right there, because in the second interview I want to spend two hours on that, but I mean, here's what I have to say about the issue.
[01:06:10.963 --> 01:06:16.644]  You mentioned during the last segment we had behind the scenes for presentplanet.tv viewers and folks on the InfoWars.com streams,
[01:06:17.404 --> 01:06:23.968]  Yeah, and I've seen those footage, I remember back in the 90's or whenever it was, seeing it on the news, and NASA released, and why would they release it?
[01:06:25.449 --> 01:06:36.096]  Footage... I mean, what shows, I mean, get into that now, and then you told me that you believe that that is, you know, human, terrestrial... It's our craft, it's our spacecraft.
[01:06:36.116 --> 01:06:43.521]  Well, I mean, regardless, we have to talk about that, because that is on the tape, and lasers shooting up, I mean, it's crazy.
[01:06:44.372 --> 01:06:47.494]  Well, it's not laser, it looks like particle beams or some kind of test.
[01:06:47.694 --> 01:06:49.936]  Where the, where the, where the objective... Yeah, particle beams.
[01:06:50.416 --> 01:06:51.417]  Direct energy weapons.
[01:06:51.757 --> 01:06:56.400]  Yeah, direct energy and... I don't want to get technical, but I mean, just go ahead and get into that for me.
[01:06:56.680 --> 01:07:00.423]  Well, the spacecraft, whatever it is, nimbly dances out of the way.
[01:07:00.483 --> 01:07:12.551]  I mean, this is a technology which can control gravity, controls inertia, does not use something primitive as... So why do we see particle beams, huge ones, firing at things that are, you were saying 200,000 Gs?
[01:07:14.472 --> 01:07:14.612]  Yep.
[01:07:14.952 --> 01:07:16.133]  I mean, go over that.
[01:07:16.953 --> 01:07:21.496]  Well, because I think it's part of a test for if there are bad guys out there.
[01:07:21.716 --> 01:07:26.098]  Or maybe they're doing preparations for factions.
[01:07:26.138 --> 01:07:28.059]  Maybe looking at more than one faction.
[01:07:28.760 --> 01:07:30.821]  Remember, these groups tend to fragment.
[01:07:31.241 --> 01:07:32.582]  They fractally fragment.
[01:07:32.962 --> 01:07:36.504]  So that you have wars within wars within wars.
[01:07:36.864 --> 01:07:40.746]  But why would NASA release that footage?
[01:07:41.347 --> 01:07:43.808]  Well, remember, you've got all the good guys at NASA.
[01:07:44.699 --> 01:07:46.700]  And then you've got a few who are not good guys.
[01:07:47.401 --> 01:07:50.703]  The good guys don't know that there's something to keep secret.
[01:07:50.843 --> 01:07:52.204]  Remember, the lies are for the liberal.
[01:07:52.244 --> 01:07:53.785]  They believe the lies they've been told.
[01:07:54.145 --> 01:08:02.791]  So when you set up a structure, an institution, which is supposed to be open and above board and is supposed to present live TV of the shuttle missions, they present live TV!
[01:08:03.737 --> 01:08:08.361]  Now, the controllers can't say, oh, well, you can broadcast this, but you can't broadcast that.
[01:08:08.741 --> 01:08:11.704]  Because the honest guys are going to say, why can't we broadcast that?
[01:08:11.804 --> 01:08:12.144]  Sure.
[01:08:12.164 --> 01:08:14.766]  So, people always say, if this was happening, it would come out.
[01:08:15.227 --> 01:08:16.868]  And it is coming out.
[01:08:17.148 --> 01:08:18.229]  Well, I mean, I agree with you.
[01:08:18.249 --> 01:08:21.492]  When you've got the Catholic Church saying we need to love the aliens, they're our brothers.
[01:08:21.812 --> 01:08:24.154]  When you've got every major denomination saying it.
[01:08:24.875 --> 01:08:27.277]  When you've got all the movies and you've got
[01:08:27.677 --> 01:08:33.001]  You know, in the 80s, huge programs at the Olympics with aliens landing, you know, fake aliens.
[01:08:33.261 --> 01:08:41.066]  And you've got huge things the size of three football fields floating over Dallas and stuff all over the place.
[01:08:41.866 --> 01:08:46.309]  Something's going on in every government documents about fake extraterrestrial landings.
[01:08:46.990 --> 01:08:47.630]  You know, any of this.
[01:08:47.730 --> 01:08:48.090]  Why?
[01:08:48.111 --> 01:08:49.632]  I mean, you believe it's fake.
[01:08:49.672 --> 01:08:51.573]  Remember Operation Northwoods.
[01:08:52.153 --> 01:08:52.433]  Yes.
[01:08:53.134 --> 01:08:53.494]  OK.
[01:08:53.794 --> 01:08:56.056]  Or we can go to the, you know, September 11th.
[01:08:57.290 --> 01:09:03.656]  Governments do huge, big things to sway populations at key nodal points in history.
[01:09:03.676 --> 01:09:04.376]  They love hoaxes!
[01:09:05.277 --> 01:09:07.959]  Yeah, well, this manufactured history is what it is.
[01:09:08.780 --> 01:09:17.187]  We are building... I mean, all my UFO friends... I need to shake them, because they're so... Frankly, they're extremely naive, Alex.
[01:09:17.548 --> 01:09:20.370]  They really believe we're building toward disclosure.
[01:09:21.491 --> 01:09:23.793]  I believe we're building toward a mass
[01:09:24.355 --> 01:09:41.012]  Carefully manufactured fake event where ETs, who are really humans, who are really part of this secret clique, who are probably Nazis, you know, who developed or perfected their technology from World War II, which is why you've got to get, you know, Joseph on.
[01:09:42.020 --> 01:09:44.921]  They are going to basically fake out the world.
[01:09:45.181 --> 01:09:46.902]  Well, now that's been declassified.
[01:09:46.922 --> 01:09:48.663]  The Nazis already had A-bombs.
[01:09:48.683 --> 01:09:50.803]  They call them radiation weapons.
[01:09:51.284 --> 01:09:53.144]  They already had broken the sound barrier.
[01:09:53.164 --> 01:09:54.385]  It's Farrell's research.
[01:09:54.505 --> 01:10:07.790]  And the reason he's got access to this documentation is that when East and West Germany reunited after the wall fell, a huge number of documents from the Polish Secret Service came out.
[01:10:08.749 --> 01:10:16.093]  And in German, of course, which they had purloined and taken back after World War II as part of their spoils from the war.
[01:10:16.833 --> 01:10:18.194]  They have been declassified.
[01:10:18.814 --> 01:10:25.177]  And there's an incredible window on the Nazi black ops program.
[01:10:25.297 --> 01:10:38.224]  The compartmentalized, incredible high-technology efforts that were being funded by the Nazi war machine, particularly toward the end of the war in a desperate effort to win the war, and they fastened their hopes on several key technologies
[01:10:38.964 --> 01:10:44.304]  Some of which appear to be the control of gravity itself.
[01:10:45.270 --> 01:10:52.074]  Which, again, is a separate piece of data from my work, which came at this from a hyper-dimensional physics perspective.
[01:10:52.094 --> 01:10:54.115]  I mean, we know there's a lot of suppressed technology.
[01:10:54.135 --> 01:10:58.557]  I mean, 20 years after the B-2 bomber was already in service, they declassified it.
[01:10:58.797 --> 01:11:00.758]  So we have a lot of cases of that.
[01:11:00.818 --> 01:11:02.519]  We know there's a whole shadow government.
[01:11:02.920 --> 01:11:09.243]  This is technology and physics, Alex, that would make anything you think you know like a candle flame compared to a hydrogen bomb.
[01:11:09.986 --> 01:11:13.947]  This is a physics that literally allows you to rearrange time.
[01:11:13.967 --> 01:11:18.048]  Again, those pale beside what I'm talking about, which is torsion field physics, which is another whole program.
[01:11:35.063 --> 01:11:36.945]  Yeah, well, final segment with Richard C. Hoagland.
[01:11:36.965 --> 01:11:41.930]  When we come back, I want to talk about what we know about this giant shadow reality.
[01:11:41.991 --> 01:11:43.012]  I mean, imagine the elites.
[01:11:43.052 --> 01:11:45.454]  They get to know the reality, know what's going on.
[01:11:45.775 --> 01:11:52.382]  We're down here caring about Angelina Jolie and Brad Pitt and what they're trying to build, what their endgame is.
[01:11:52.642 --> 01:11:53.663]  Jim Newcomer from Midas.
[01:11:53.863 --> 01:11:54.143]  July 7, 2008.
[01:11:54.223 --> 01:11:54.543]  You know what?
[01:11:54.563 --> 01:11:56.085]  Let me talk to him behind the scenes.
[01:11:56.305 --> 01:11:57.826]  I don't want to waste my time.
[01:11:57.926 --> 01:11:58.987]  John, bring him up.
[01:11:59.027 --> 01:12:01.048]  Let's go ahead and have another behind the scenes discussion.
[01:12:01.068 --> 01:12:01.729]  This is too interesting.
[01:12:02.790 --> 01:12:04.491]  We're going to come back with the endgame in a moment.
[01:12:04.531 --> 01:12:08.694]  But I mean, imagine, you've got all these compartments in these pyramids.
[01:12:08.754 --> 01:12:11.216]  Pyramids within pyramids of compartmentalization.
[01:12:11.236 --> 01:12:12.918]  That's why that's the New World Order symbol.
[01:12:13.698 --> 01:12:17.079]  I mean, we don't know what they've got because they are so secret.
[01:12:17.119 --> 01:12:18.059]  We know they lie so much.
[01:12:18.099 --> 01:12:19.240]  We just know it's advanced.
[01:12:19.760 --> 01:12:22.541]  Mainline scientists say they're 30 years advanced.
[01:12:22.581 --> 01:12:26.982]  So Richard C. Hoagland, what I'm saying to you is, I'm entertaining what you're saying.
[01:12:27.022 --> 01:12:27.522]  I respect you.
[01:12:27.542 --> 01:12:28.463]  I think you're a great guy.
[01:12:28.483 --> 01:12:34.485]  My only issue is, like you said, dealing with what we know they could be up to.
[01:12:34.505 --> 01:12:37.906]  The fact is, Alex, we have done experiments.
[01:12:38.046 --> 01:12:39.466]  We have our own data.
[01:12:39.766 --> 01:12:42.127]  We have experiments now from the Soviet Union.
[01:12:42.994 --> 01:12:52.257]  30, 40 years when the Iron Curtain came down, you know, when Glasnost finally prevailed, a huge amount of stuff was declassified from the KGB as well.
[01:12:52.897 --> 01:12:54.697]  And we now have put this data together.
[01:12:55.057 --> 01:12:57.858]  We not only know what the physics is, we know what it can do.
[01:12:57.918 --> 01:12:59.038]  We know what it's based on.
[01:12:59.438 --> 01:13:00.799]  We know how to make it work.
[01:13:00.839 --> 01:13:03.760]  We've seen in our own experiments ample evidence.
[01:13:03.780 --> 01:13:10.261]  We've seen experiments across the American landscape and even in Europe that vindicate various parts of this.
[01:13:10.681 --> 01:13:12.422]  And the latest thing I'm working on
[01:13:13.234 --> 01:13:31.308]  It looks like von Braun himself was deeply involved in some of this early physics experimentation, and we've got a paper trail now to what he found that was suppressed by NASA up to and including the current time frame, which allowed us to leapfrog the Russians
[01:13:31.707 --> 01:13:31.807]  Yes.
[01:14:02.268 --> 01:14:04.350]  It's not a matter of belief, it's a matter of data.
[01:14:04.930 --> 01:14:08.154]  You know, again, this is why, if you really want to do this, you've got to read the book.
[01:14:08.754 --> 01:14:09.755]  You have to read the book.
[01:14:09.775 --> 01:14:12.258]  That's why people write books, because you can't do it in an hour and a half.
[01:14:12.298 --> 01:14:13.479]  No, I mean, I've read the book.
[01:14:13.539 --> 01:14:16.041]  I mean, I understand, but we're here still having a radio discussion about it.
[01:14:16.662 --> 01:14:17.983]  Well, you've got to look at the photographs.
[01:14:18.043 --> 01:14:23.509]  The photographs are downloadable from official NASA websites, in addition to Ken Johnston.
[01:14:24.215 --> 01:14:29.957]  We now have a bunch of hidden whistleblowers inside the agency who obviously have figured out that something is not, you know, right.
[01:14:29.977 --> 01:14:39.299]  Okay, well we're going to do a part two on that, then we'll get into all the wild stuff, which, boy, I mean, if that's the case, they're leaking stuff and things like Total Recall.
[01:14:39.859 --> 01:14:40.199]  Yes!
[01:14:40.840 --> 01:14:41.260]  Of course!
[01:14:41.920 --> 01:14:48.082]  Total Recall, by the way, I had a good friend at Fox told me was stolen line for line, almost, from Monument to Mars.
[01:14:48.642 --> 01:14:49.242]  My first book.
[01:14:52.003 --> 01:14:53.023]  And who was Arnie, really?
[01:14:55.675 --> 01:14:59.860]  Okay, listen, we're going live here in about a minute.
[01:15:00.580 --> 01:15:02.162]  Just an amazing interview, Richard.
[01:15:03.223 --> 01:15:04.064]  Amazing interview.
[01:15:04.765 --> 01:15:12.633]  Let's come back and just briefly talk about the hierarchy and also talk about what really happened with that crazy astronaut and the attempted murder, okay?
[01:15:12.993 --> 01:15:14.034]  Well, let's do big picture.
[01:15:15.256 --> 01:15:15.396]  Okay.
[01:15:15.416 --> 01:15:16.457]  And give people some context.
[01:15:16.717 --> 01:15:17.238]  Okay, here we go.
[01:15:19.627 --> 01:15:22.070]  ...and still be here for my date tonight with Rachel.
[01:15:22.311 --> 01:15:23.853]  Travel less, meet online.
[01:15:23.933 --> 01:15:26.417]  Go to Webex.com and try Webex free.
