[00:00:00.289 --> 00:00:05.652]  ...to say Merry Christmas, then giving a gift of safety and security from Pepperspray.com.
[00:53:36.781 --> 00:53:46.108]  DNA is about two to four percent different, and that's mostly hundreds or thousands of mutations, any one of which can become dangerous or deadly to human beings.
[00:53:46.108 --> 00:53:48.590]  Well, let me just interrupt again.
[00:53:48.590 --> 00:53:56.837]  A quick idea, Jeffrey, of how much two to four percent or two to three percent is, that's about the difference between a human and a chimpanzee.
[00:53:56.837 --> 00:53:58.318]  That's interesting, well said.
[00:53:58.318 --> 00:53:58.918]  That's what they say.
[00:53:58.918 --> 00:54:01.180]  They say it's four percent difference, but go ahead.
[00:54:01.180 --> 00:54:05.784]  Well, what happens is, so any genetically engineered crop at this point
[00:54:06.474 --> 00:54:13.699]  ...might carry poisons in it, simply because of this primitive and random nature of transforming a cell.
[00:54:13.699 --> 00:54:28.167]  So, whether it's cotton, corn, soy, canola, the four major crops, and now sugar beets, the fifth, we don't know really what possible poisons or allergens it's created because there's hardly any tests before they go on the market.
[00:54:28.167 --> 00:54:29.428]  So that's the first thing.
[00:54:29.428 --> 00:54:33.371]  The second thing is, the actual gene that they put into the cotton
[00:54:34.326 --> 00:54:38.589]  is designed to produce a pesticide.
[00:54:38.589 --> 00:54:39.630]  It kills bugs.
[00:54:39.630 --> 00:54:40.371]  It's a poison.
[00:54:40.371 --> 00:54:43.793]  It's called Bacillus thuringiensis, or BT for short.
[00:54:43.793 --> 00:54:58.304]  Now, the reason why they allow it into crops, it's also in corn, is because the regulators believed the biotech industry, who said, well, BT in its natural state, it's a soil organism, soil bacteria,
[00:54:58.752 --> 00:54:58.912]  I think?
[00:55:18.229 --> 00:55:24.256]  Developed allergic type reactions when they were sprayed with BT when it was used for gypsy moth infestation.
[00:55:24.256 --> 00:55:33.708]  And mice that were fed BT, not only did it survive digestion, it caused damage to their intestines and a high, a very pronounced immune response.
[00:55:34.864 --> 00:55:39.127]  So, it hasn't been properly tested, and it's now in the food supply.
[00:55:39.127 --> 00:55:50.796]  I say food supply, because it's in corn, but also cotton is part of our food supply, because it's in cotton seed oil, and also the oil seed cakes, and sometimes the whole plant is fed to animals.
[00:55:50.796 --> 00:56:01.204]  Now, the issue here with the animals that have been feeding on the cotton plants after harvest, which started out, we heard about it from sheep in 2006,
[00:56:03.352 --> 00:56:24.547]  Someone was a union leader for shepherds and farmers was in a government veterinary office and was reviewing the postmortems just to see the trend and he was surprised to see there was 11 postmortem deaths on sheep and the cause of death was eating BT cotton plants.
[00:56:25.718 --> 00:56:28.740]  And this was quite alarming because, you know, 11 is a lot.
[00:56:28.740 --> 00:56:30.161]  I had never seen it before.
[00:56:30.161 --> 00:56:33.063]  So they quickly called a fact-finding team together.
[00:56:33.063 --> 00:56:37.526]  Some of these people I'll be interviewing on video in a few weeks in India.
[00:56:37.526 --> 00:56:45.050]  And they started to visit some villages nearby, and they called... In one day, they went to four different villages, and they called all the shepherds together.
[00:56:45.050 --> 00:56:53.456]  And in the first village, they were stunned to find that the shepherds reported that 25% of their herd, of their shepherds' herds, died.
[00:56:54.116 --> 00:56:55.977]  Within five to seven days.
[00:56:55.977 --> 00:56:56.817]  Oh my God.
[00:56:56.817 --> 00:57:00.598]  They went to the second place, the same thing happened.
[00:57:00.598 --> 00:57:05.240]  In the third, they couldn't have a big meeting, but they went around and started asking people the same thing with the fourth.
[00:57:05.240 --> 00:57:11.002]  The shepherds there estimated 10,000 sheep died in this one region in India.
[00:57:11.002 --> 00:57:20.885]  Now, when this was released, the person, the veterinarian in India, who had written down probable cause of death, BT toxin,
[00:57:21.829 --> 00:57:31.212]  She was originally enthusiastic about that diagnosis, but soon after she started changing her thinking and then started taking the other side, saying it must be something else.
[00:57:31.212 --> 00:57:39.574]  They went back to the original documentation and someone had taken a different color pen and written in, uh, cause of death, pesticides.
[00:57:40.314 --> 00:57:52.038]  And so I contacted the activists and said, go to the shepherds who are interviewed for each of these post-mortems and videotape the interview and ask them if they brought up a pesticide.
[00:57:52.038 --> 00:57:56.620]  It turns out they never actually used the pesticides in these farms.
[00:57:57.677 --> 00:57:58.638]  And it was totally...
[00:58:29.718 --> 00:58:30.798]  Looking for profit?
[00:58:30.798 --> 00:58:32.439]  Looking for safety and security?
[00:58:32.439 --> 00:58:35.780]  The $10 Olympic Commemorative Gold Coin offers both.
[00:58:35.780 --> 00:58:43.402]  This low-mintage collector coin, with a total series mintage under $600,000, has sold at four times its current price.
[00:58:43.402 --> 00:58:46.884]  Falling dollar values and inflation make this likely to happen again.
[00:58:46.884 --> 00:58:48.984]  Secure your position today.
[00:58:48.984 --> 00:58:50.225]  Call Midas Resources at 1-800-686-2237.
[00:58:50.225 --> 00:58:50.525]  That's 1-800-686-2237.
[00:58:59.857 --> 00:59:02.158]  Hello, I'm Steve Schenk.
[00:59:02.158 --> 00:59:05.641]  We're entering a holiday season never before seen in America.
[00:59:05.641 --> 00:59:14.467]  We're thankful for the warning given by members of Mr. Obama's campaign team of the coming international incident which will force unpopular decisions.
[00:59:14.467 --> 00:59:20.771]  Without this warning, many of us who still have money available would have unknowingly wasted it on Christmas gifts that would
[00:59:20.831 --> 00:59:20.971]  I think?
[00:59:42.073 --> 00:59:43.954]  You're not smart enough to prepare.
[00:59:43.954 --> 00:59:47.115]  The greatest gift this Christmas is life itself.
[00:59:47.115 --> 00:59:49.456]  Food for these unknown times.
[00:59:49.456 --> 00:59:49.636]  Call 800-409-5633.
[00:59:49.636 --> 00:59:50.456]  On the web, efoodsdirect.com.
[00:59:50.456 --> 00:59:50.516]  800-409-5633.
[00:59:50.516 --> 00:59:51.857]  And a new name is added to the U.S.
[00:59:51.857 --> 00:59:52.797]  Senate candidate list.
[00:59:52.797 --> 00:59:53.537]  You are listening to GCN.
[00:59:53.537 --> 00:59:54.758]  In Texas, check your watch, it's 5 o'clock.
[01:00:13.152 --> 01:00:16.233]  IRN USA Radio News, I'm Jody Jordan.
[01:00:16.233 --> 01:00:18.434]  The President has traveled to Iraq.
[01:00:18.434 --> 01:00:19.395]  Here's Robert Reid.
[01:00:19.395 --> 01:00:29.279]  President George W. Bush has made a surprise farewell visit to Iraq just 37 days before he hands off the war to a successor who has pledged to end it.
[01:00:29.279 --> 01:00:37.322]  Bush will be talking with Iraq's Prime Minister about the newly appointed U.S.-Iraq Security Agreement, which calls for a drawdown of troops starting next year.
[01:00:38.024 --> 01:00:40.685]  Bush's National Security Advisor sees the U.S.
[01:00:40.685 --> 01:00:43.885]  in an increasingly subordinate role in Iraq.
[01:00:43.885 --> 01:00:47.546]  Stephen Hadley is hailing the new U.S.-Iraq Security Pact.
[01:00:47.546 --> 01:00:54.867]  He calls it a remarkable document in the Arab world because it was publicly debated and adopted by elected lawmakers.
[01:00:54.867 --> 01:01:00.709]  And White House officials say don't expect an announcement on an auto industry rescue plan today or tomorrow.
[01:01:00.709 --> 01:01:05.350]  The automakers have said they could run out of cash within weeks without government help.
[01:01:05.350 --> 01:01:07.510]  This is IRN USA Radio News.
[01:01:09.878 --> 01:01:12.520]  Our dog was turning our home upside down.
[01:01:12.520 --> 01:01:14.841]  Mommy, he's jumping on me!
[01:01:14.841 --> 01:01:17.643]  People were giving us looks like we couldn't control our dog.
[01:01:17.643 --> 01:01:19.544]  But how can you control a puppy?
[01:01:19.544 --> 01:01:23.386]  We tried obedience school, doggy daycare, even electric collars.
[01:01:23.386 --> 01:01:26.368]  But then our veterinarian told us about Poise calming treats.
[01:01:26.368 --> 01:01:29.430]  Poise has two formulas, instant and daily.
[01:01:29.430 --> 01:01:35.654]  Instant works to immediately calm your dog for those occasions when you need him to relax and behave, while daily alleviates long
[01:01:35.794 --> 01:01:36.174]  I don't know.
[01:01:52.006 --> 01:01:55.129]  Call right now for your 30-day risk-free trial of POIS.
[01:01:55.129 --> 01:01:55.390]  Call 1-800-733-0904.
[01:01:55.390 --> 01:01:55.710]  That's 1-800-733-0904.
[01:01:55.710 --> 01:01:57.712]  Veterinarian developed and recommended.
[01:01:57.712 --> 01:01:58.112]  Call 1-800-733-0904.
[01:01:58.112 --> 01:01:58.373]  That's 1-800-733-0904.
[01:02:09.986 --> 01:02:16.210]  The upper Midwest and Plains states are getting a wintry wallop as a powerful Arctic front sweeps through.
[01:02:16.210 --> 01:02:20.193]  Forecasters say western Colorado can expect 1 to 3 feet of snow.
[01:02:20.193 --> 01:02:25.336]  At least 8 inches of snow is already piling up around Interstate 70.
[01:02:25.336 --> 01:02:28.438]  Gusty winds are also expected in Kansas.
[01:02:28.438 --> 01:02:31.780]  Sam Walker is a meteorologist with the National Weather Service.
[01:02:31.780 --> 01:02:36.183]  With those temperatures we end up with wind chills down around 50 below, sometimes colder.
[01:02:36.798 --> 01:02:42.423]  So going outside without being dressed properly can be very hazardous.
[01:02:42.423 --> 01:02:48.108]  And if you happen to get stuck in the snow and you try to walk away from your vehicle, that can be catastrophic at times.
[01:02:48.108 --> 01:02:54.714]  And authorities in New Hampshire are trying to get the word out that some residents may not have power again until Thursday or Friday.
[01:02:54.714 --> 01:02:59.798]  The Saco, Maine resident is staying at a Red Cross shelter because all of the ice.
[01:02:59.798 --> 01:03:00.739]  Couldn't open my door.
[01:03:01.815 --> 01:03:04.497]  Had to wham it with an axe not to keep the door open.
[01:03:04.497 --> 01:03:09.801]  For more news and analysis, log on to IRNnews.com.
[01:03:09.801 --> 01:03:11.902]  Do you suffer from cold sores?
[01:03:11.902 --> 01:03:16.746]  Relieve One Day Cold Sore Symptom Treatment is out to prove how fast it really works.
[01:03:17.370 --> 01:03:24.757]  If you suffer from those nasty sores, try Relieve and find out for yourself if Relieve works really fast for you.
[01:03:24.757 --> 01:03:28.080]  Relieve is spelled R-E-L-E-E-V.
[01:03:28.080 --> 01:03:31.363]  It's easy to find and is in all major drugstores.
[01:03:31.363 --> 01:03:37.809]  So if you get cold sores, remember to get Relieve now and keep it ready to use the moment a cold sore attacks.
[01:03:40.091 --> 01:03:44.197]  British Prime Minister Gordon Brown has been meeting with leaders of Pakistan and India today.
[01:03:44.197 --> 01:03:49.885]  He's been pledging more support in the war on terrorism and funding in the wake of deadly attacks in India.
[01:03:50.598 --> 01:03:58.179]  Also today, India's Prime Minister is calling for normalized relations with Pakistan amid rising tensions between the neighbors.
[01:03:58.179 --> 01:03:59.320]  Here's Sam Dolnik.
[01:03:59.320 --> 01:04:07.481]  He reiterated that he wants normalized relations with Pakistan and that he wants a friendship with Pakistan and cooperation.
[01:04:07.481 --> 01:04:10.862]  I think he said he called for mutual wisdom and cooperation.
[01:04:10.862 --> 01:04:14.062]  The wave of youth violence in Greece is continuing.
[01:04:14.062 --> 01:04:18.303]  Scores of young people attacked a police station, stores and banks yesterday.
[01:04:18.943 --> 01:04:28.026]  The latest violence comes as candlelit vigils were held, marking a week since the police killing of a 15-year-old boy that triggered riots.
[01:04:28.026 --> 01:04:29.546]  Here's Demetrius Nellis.
[01:04:29.546 --> 01:04:39.729]  If you talk to the youth themselves, they say they're frustrated about certain things, like the educational system, their job prospects, but there is a small group bent on mayhem anyway.
[01:04:39.729 --> 01:04:46.791]  In a bomb explosion at a bank in Woodburn, Oregon, Friday killed both a police officer and a state bomb disposal technician.
[01:04:47.478 --> 01:04:53.480]  Police say they have no suspects and that whoever did it is dangerous and needs to be found soon.
[01:04:53.480 --> 01:04:59.122]  Jeffrey Thomas, who works at a restaurant across the street, says he heard the big blast.
[01:04:59.122 --> 01:05:01.223]  All of a sudden I just heard a loud explosion.
[01:05:01.223 --> 01:05:04.564]  It sounded like all the windows rattling in the entire building.
[01:05:04.824 --> 01:05:08.627]  I'm Jody Jordan for IRN USA Radio News.
[01:05:08.627 --> 01:05:14.771]  Have you thought about investing in storable foods or in survival kits for your home, car, office, or child's school?
[01:05:14.771 --> 01:05:17.212]  This holiday season, give the gift of safety.
[01:05:17.212 --> 01:05:19.074]  Give the gift of peace of mind.
[01:05:19.074 --> 01:05:22.796]  Give the gift of survival from SurvivalGearSource.com.
[01:05:22.796 --> 01:05:29.901]  SurvivalGearSource.com is the only website that offers the very best in high-quality preparedness gear at the lowest prices around.
[01:05:30.541 --> 01:05:34.362]  Give that friend or family member the gift they would never buy for themselves.
[01:05:34.362 --> 01:05:44.666]  From 72-hour survivor kits, to survival tools, to toys for the kids to help pass hard times, SurvivalGearSource.com has something for everyone on your Christmas list.
[01:05:44.666 --> 01:05:49.308]  As we enter this new year full of uncertainty, be ready and be prepared.
[01:05:49.308 --> 01:05:52.129]  Shop online at SurvivalGearSource.com.
[01:05:52.129 --> 01:05:54.710]  That's SurvivalGearSource.com.
[01:05:54.710 --> 01:05:57.911]  Use the coupon code GCN and receive a Patriot Bar with your order.
[01:05:58.331 --> 01:05:59.012]  Or call 877-231-1925.
[01:05:59.012 --> 01:05:59.912]  That's 877-231-1925.
[01:05:59.912 --> 01:06:02.814]  Or online at survivalgearsource.com.
[01:06:02.814 --> 01:06:06.236]  Prepare yourself for a talk radio experience like no other.
[01:06:06.236 --> 01:06:07.837]  He stands for truth.
[01:06:07.837 --> 01:06:10.339]  He stands for justice.
[01:06:10.339 --> 01:06:12.260]  He stands for what's right.
[01:06:27.791 --> 01:06:36.116]  The reason we're interviewing author and filmmaker Jeffrey M. Smith is because he's probably one of the most
[01:06:58.317 --> 01:07:01.580]  Prominent, outspoken, but also conservative.
[01:07:01.580 --> 01:07:04.884]  And by conservative, it's far worse than even what he's saying.
[01:07:04.884 --> 01:07:08.888]  He only goes off of what is absolutely documented.
[01:07:08.888 --> 01:07:11.831]  Researchers on genetically modified organisms in our food.
[01:07:11.831 --> 01:07:18.738]  Now again, this is not splicing two cherry trees or cross-pollinating to get a hybridization.
[01:07:18.738 --> 01:07:19.459]  That's natural.
[01:07:20.879 --> 01:07:28.323]  This is artificial mutation using insect genes, plant genes, mammal genes, all mixing them together.
[01:07:28.323 --> 01:07:31.845]  For some reason, the cockroach is one of their favorites.
[01:07:31.845 --> 01:07:36.447]  It's in a lot of potatoes, tomatoes, that you're eating on the store shelves.
[01:07:36.447 --> 01:07:38.889]  But the major food crops have been converted to this.
[01:07:39.609 --> 01:07:59.344]  Also, these GMO crops take over the naturally occurring, let's say it's GMO corn, it takes over and infects the natural of the hundreds of varieties, and most varieties, by the way, have been infected, and then cross-pollinates those through the hybridization process, using that natural process, and we've only covered a tiny area of this.
[01:07:59.344 --> 01:08:00.105]  To be specific,
[01:08:01.181 --> 01:08:11.884]  They take this fungus bacteria, they take it, they alter it, it's naturally occurring, but they make the plant grow the fungus in its own genetic makeup so bugs won't eat it.
[01:08:11.884 --> 01:08:13.445]  If they do, they die.
[01:08:13.445 --> 01:08:16.146]  Then they say, oh, but that's safe for humans to eat.
[01:08:16.146 --> 01:08:24.328]  And then now in German studies that's been leaked, linked with the corn to the honeybees dying because the honeybees, unlike other insects, will still eat it.
[01:08:24.328 --> 01:08:26.509]  And you know the honeybees aren't doing too hot.
[01:08:26.509 --> 01:08:28.850]  There's all these other areas to discuss.
[01:08:30.448 --> 01:08:35.052]  That's outside of just what we're eating, like Hong Kong for at least seven, eight years.
[01:08:35.052 --> 01:08:37.173]  You can pull this up in MSNBC.
[01:08:37.173 --> 01:08:39.255]  You can buy glowing rhesus monkeys.
[01:08:39.255 --> 01:08:43.838]  They glow in the dark because they have jellyfish genetics in their skin.
[01:08:43.838 --> 01:08:45.179]  And they can make them glow.
[01:08:45.179 --> 01:08:54.086]  They can make them glow bright blue in the dark, but it also changes other DNA in the monkey, and it's very, very dangerous, and it's jumping into other species.
[01:08:54.086 --> 01:08:56.488]  There's just a huge area to discuss here.
[01:08:56.488 --> 01:08:56.828]  All these
[01:08:58.832 --> 01:09:06.237]  Human-animal hybrids, where they're putting human genetics into other animals, so they can get body parts or heart valves out of them.
[01:09:06.237 --> 01:09:15.004]  I mean, this is science fiction, but we are 2008, and it is going on, and the FDA, the EPA do nothing, basically, to stop it.
[01:09:15.004 --> 01:09:17.806]  In fact, it's a revolving door, and that's what Jeffrey Smith covered.
[01:09:17.806 --> 01:09:20.728]  But the good news is, we'll talk about this later, the tipping point
[01:09:21.539 --> 01:09:35.329]  How we counter this, and the fact is that we can counter it, and we have had victories against it, but we need to have even more victories now because they're about to go from four, five, or six staple foods, you know, being altered to basically everything being altered.
[01:09:36.135 --> 01:09:37.676]  And a complete takeover.
[01:09:37.676 --> 01:09:43.799]  So, as bad as things are now, they're getting ready, the big three GMO companies, to shoot the moon, as they say.
[01:09:43.799 --> 01:09:54.705]  Okay, so Jeffrey, continuing with the discussion of, they tried to cover up the death of these sheep, saying it was pesticides, but then they weren't using those pesticides at these farms.
[01:09:54.705 --> 01:09:58.807]  Exactly, and I called in to try and, you know, get to the bottom of it.
[01:09:58.807 --> 01:10:05.210]  I spoke to that veterinarian who originally was in favor of the idea that it was the genetically engineered cotton that caused the deaths,
[01:10:05.834 --> 01:10:08.937]  And then she reversed her opinion, and I said, uh, can I talk to you?
[01:10:08.937 --> 01:10:10.078]  She said, I can't talk to you.
[01:10:10.078 --> 01:10:11.259]  You have to speak to the director.
[01:10:11.259 --> 01:10:12.700]  So she had been gagged.
[01:10:12.700 --> 01:10:16.023]  So I called the director, and I said, how come I can't speak to the veterinarian?
[01:10:16.023 --> 01:10:16.703]  He said, oh, no, no.
[01:10:16.703 --> 01:10:17.364]  You can speak to her.
[01:10:17.364 --> 01:10:18.344]  Call her back.
[01:10:18.344 --> 01:10:23.108]  So I called her back, and I asked her a question, and I hear the director's voice shouting the answer.
[01:10:24.450 --> 01:10:30.574]  And him, and then the veterinarian, a woman, repeating every word for word, whatever he told her to say.
[01:10:30.574 --> 01:10:34.557]  So this is the way that they un-gagged the veterinarian.
[01:10:34.557 --> 01:10:38.440]  Now, there's a big thing going on in India.
[01:10:38.440 --> 01:10:48.188]  The Supreme Court stepped in and found that the Genetic Engineering Approval Committee was allowing things to be approved without going through the law.
[01:10:48.188 --> 01:10:49.769]  And they declared them, you know,
[01:10:50.580 --> 01:10:53.982]  It's illegal to start to put all these new products in the market.
[01:10:53.982 --> 01:10:57.384]  They assigned a scientist to investigate this committee.
[01:10:57.384 --> 01:11:01.067]  The scientists found evidence of fraudulent conclusions.
[01:11:01.067 --> 01:11:08.031]  The GEAC, the committee, said, oh no, no, the sheep deaths were due to something else, and that's what the study shows.
[01:11:08.031 --> 01:11:11.193]  Well, this independent investigator, a top scientist in India,
[01:11:11.653 --> 01:11:16.537]  But that happened in 96 in England when the government's own top researcher who was pro-GMO found out that it was herding the rats
[01:11:35.570 --> 01:11:37.791]  And then all these years later it's been proven he was right.
[01:11:37.791 --> 01:11:57.483]  Let's talk about, because the average folks in the West are so decadent they don't care about Indians, let's talk about specifically what we know about sterilization, what we know about sperm counts, what we know about the GMO food, these cross-species hybrids that we're eating here in the United States and Europe.
[01:11:57.483 --> 01:11:58.264]  What is it doing?
[01:11:58.264 --> 01:12:00.045]  What do we know that it's been doing?
[01:12:00.485 --> 01:12:03.006]  Alright, we've got two levels of knowledge.
[01:12:03.006 --> 01:12:08.287]  We've got laboratory research and we have reports from farmers.
[01:12:08.287 --> 01:12:10.467]  Let's start with the farmers and get through that quickly.
[01:12:10.467 --> 01:12:20.330]  I've spoken to a number of farmers in Iowa who say that when their pigs or cows ate certain varieties of genetically modified corn, they couldn't get pregnant.
[01:12:20.330 --> 01:12:23.610]  And when they switched to the non-GM corn, they got pregnant.
[01:12:23.610 --> 01:12:26.231]  And when they switched back to that GM corn, they couldn't get pregnant.
[01:12:26.878 --> 01:12:39.184]  In India, I know we're visiting India again, there was also a problem with sterility and premature deliveries and problems among the offspring and deaths among the offspring.
[01:12:39.184 --> 01:12:41.445]  Now let's look at laboratories.
[01:12:41.445 --> 01:12:45.507]  If you look at rats, these were studied in Russia.
[01:12:45.507 --> 01:12:53.631]  They fed rats, female rats, genetically engineered soy, the same soy that's grown on 91% of the soy acreage in the United States.
[01:12:54.249 --> 01:13:01.333]  And then they got them pregnant, and they continued to feed them soy, and about 56% of their offspring died within three weeks.
[01:13:01.333 --> 01:13:03.334]  No, that's what we're reading.
[01:13:03.334 --> 01:13:08.776]  Yeah, compared to only about 10% whose mothers ate non-genetically engineered food.
[01:13:08.776 --> 01:13:16.020]  So we have an 80% increase in death, and that's what we're reading, and of course they study rats because they're most similar in their metabolic system to humans.
[01:13:16.804 --> 01:13:25.028]  And the offspring from the GM group, they were smaller on average, and when they tried to mate the offspring together, they were sterile.
[01:13:25.028 --> 01:13:27.549]  They couldn't conceive.
[01:13:27.549 --> 01:13:39.635]  Now, the other thing they did, they gave genetically engineered soybeans to male rats, and they changed the color of their testicles, and it changed the structure of the cells within the testicles.
[01:13:40.450 --> 01:13:48.102]  Now, this woman, Irina Rybakova, had done this study three times, small study, very few rats, and ran out of money.
[01:13:49.156 --> 01:13:58.700]  And also what happened was the rat chow that was being used to feed all of the housed rats at the facility switched to become GM soy based.
[01:13:58.700 --> 01:14:04.042]  So she couldn't do any more studies at that point because now all of the rats at the facility were eating GM soy.
[01:14:04.042 --> 01:14:06.023]  But when she complained, tell them what they told her.
[01:14:06.023 --> 01:14:07.704]  Don't worry, we've got to get rid of the people.
[01:14:07.704 --> 01:14:08.744]  Exactly, exactly.
[01:14:08.744 --> 01:14:09.344]  Well, I'll get there.
[01:14:09.344 --> 01:14:10.025]  Give me a beat first.
[01:14:10.905 --> 01:14:22.909]  So what happened was, she couldn't do any more studies, but within two months, the infant mortality rate among all of the rats in the facility that others were studying had gone up to 56.3%.
[01:14:22.909 --> 01:14:25.010]  Now, the other thing is this.
[01:14:25.010 --> 01:14:27.231]  She was told she couldn't do any more studies.
[01:14:27.231 --> 01:14:30.792]  We were sitting together at the European Parliament after giving a presentation there, and she said,
[01:14:31.292 --> 01:14:33.193]  Documents were burnt on her desk.
[01:14:33.193 --> 01:14:34.473]  Samples were stolen.
[01:14:34.473 --> 01:14:40.074]  She received... She was told by her director that his director was being pressured so she couldn't do any more GM research.
[01:14:40.074 --> 01:14:47.336]  She was finally told, oh, you can only do research on genetic engineering if you sign this contract which says you can't talk about your results for three years.
[01:14:47.336 --> 01:14:49.136]  We can replace any of your colleagues.
[01:14:49.136 --> 01:14:50.657]  It was completely draconian.
[01:14:50.657 --> 01:14:52.697]  In other words, basically trying to shut her up.
[01:14:52.697 --> 01:14:53.638]  She couldn't sign it.
[01:14:53.638 --> 01:14:55.138]  So a colleague of hers
[01:14:55.598 --> 01:14:55.798]  Oh.
[01:14:55.798 --> 01:14:55.858]  Oh.
[01:15:08.908 --> 01:15:11.409]  We have some additional evidence from other studies.
[01:15:11.409 --> 01:15:28.395]  We have an Italian research group that fed rats genetically, mice genetically engineered soy, the same soy, looked at the testicles of the male mice and found that there was changes or damage in their sperm cells, young sperm cells in the testicles in general.
[01:15:28.395 --> 01:15:36.938]  Then they looked at the offspring when the parents were fed genetically engineered soy and found changes in the way that the DNA worked inside the embryo.
[01:15:38.158 --> 01:15:58.852]  Now, a study that came out in November from the Austrian government, they fed genetically engineered corn, this was corn that was both producing its own pesticide, and also like the soybean, engineered not to die when you spray herbicide on it, so it was called herbicide tolerant or roundup ready, meaning it could spray roundup on it and it wouldn't die.
[01:15:58.852 --> 01:16:01.074]  So, they fed the corn to mice,
[01:16:02.063 --> 01:16:08.666]  Stay there, let's hear what happened.
[01:16:08.666 --> 01:16:12.188]  Before you throw away your used batteries, you need to listen to this.
[01:16:12.188 --> 01:16:14.089]  Now, going green can save money.
[01:16:14.089 --> 01:16:19.651]  Go green and save money by giving life to your used batteries by charging them with the Renaissance Charger.
[01:16:19.651 --> 01:16:27.695]  The Renaissance Charger uses a new revolutionary battery charging technology that effectively extends the life of new batteries and gives new life to used batteries.
[01:16:27.695 --> 01:16:31.237]  Invented by legendary audio genius John Bedini, this unique and
[01:16:31.938 --> 01:16:45.669]  Renaissance Charge offers a full line of products made in the USA for all types and sizes of batteries.
[01:16:45.669 --> 01:16:51.194]  Find out why our customers tell us the Renaissance Charger is the only battery charger they will ever use.
[01:16:51.194 --> 01:16:52.314]  Save your money.
[01:16:52.314 --> 01:16:53.656]  Save the environment.
[01:16:53.656 --> 01:16:56.398]  Visit us online at r-charge.com.
[01:16:56.638 --> 01:16:57.539]  We're good to go.
[01:17:17.875 --> 01:17:18.255]  We're good to go.
[01:17:40.100 --> 01:17:40.761]  I caught it!
[01:18:11.488 --> 01:18:15.591]  How would you like to save up to 90% on your phone bill?
[01:18:15.591 --> 01:18:18.594]  It can be done thanks to Empire One Telecom.
[01:18:18.594 --> 01:18:25.300]  EOT offers voice over IP technology that will allow you to make phone calls from your home or business without the high cost.
[01:18:25.300 --> 01:18:30.184]  Take advantage of EOT's most popular plan which includes unlimited long distance throughout the U.S.
[01:18:30.184 --> 01:18:37.069]  and Canada and 360 minutes of international calling for only $19.95 a month.
[01:18:37.069 --> 01:18:37.790]  Plus all calling
[01:18:40.350 --> 01:18:44.912]  Including call waiting, caller ID, and three-way calling free!
[01:18:44.912 --> 01:18:48.994]  Take your phone number on the road with you thanks to EOT's travel-friendly box.
[01:18:48.994 --> 01:18:53.556]  Simply plug your adapter into any internet connection and start making phone calls.
[01:18:53.556 --> 01:18:54.937]  It's that easy!
[01:18:54.937 --> 01:19:02.700]  So if you have a high-speed internet connection and are ready to dramatically lower your monthly phone bill, choose your plan now at EOTTech.com.
[01:19:02.700 --> 01:19:04.921]  That's EOTTech.com.
[01:19:04.921 --> 01:19:06.102]  EOTTech.com.
[01:19:08.720 --> 01:19:12.022]  So you've finally decided you're going to stock up and store food.
[01:19:12.022 --> 01:19:14.604]  But why settle for bland, tasteless food?
[01:19:14.604 --> 01:19:16.025]  Why settle for less?
[01:19:16.025 --> 01:19:17.666]  There is an alternative.
[01:19:17.666 --> 01:19:19.388]  InternetGrocer.net.
[01:19:19.388 --> 01:19:22.890]  Enjoy the most delicious, storable food at amazing prices.
[01:19:22.890 --> 01:19:26.773]  Enjoy creamy, delicious, real cheddar cheese in a can.
[01:19:26.773 --> 01:19:29.575]  Indulge in real canned meats and real canned butter.
[01:19:29.875 --> 01:19:36.862]  Storable meals from InternetGrocer.net will bring such variety and flavor you won't be able to tell you're actually eating storable food.
[01:19:36.862 --> 01:19:39.184]  You can purchase by the can or by the case.
[01:19:39.184 --> 01:19:42.147]  Choose a variety pack or an entire year's worth of food.
[01:19:42.147 --> 01:19:47.272]  InternetGrocer.net has non-hybrid seeds that will produce delicious food for you and your family.
[01:19:47.532 --> 01:19:49.554]  Ensure your food supply for years.
[01:19:49.554 --> 01:19:52.497]  Find out just how delicious storable food can be.
[01:19:52.497 --> 01:19:53.038]  Call 903-356-6443.
[01:19:53.038 --> 01:19:53.478]  That's 903-356-6443.
[01:19:53.478 --> 01:19:54.119]  Open from 9 a.m.
[01:19:54.119 --> 01:19:54.580]  to 6 p.m.
[01:19:54.580 --> 01:19:55.400]  Central Standard Time.
[01:19:55.400 --> 01:19:57.022]  Or shop online at internet-grocer.net.
[01:19:57.022 --> 01:19:58.444]  Again, that's internet-grocer.net.
[01:20:11.777 --> 01:20:14.219]  Are you tired of searching for Great Talk Radio?
[01:20:14.219 --> 01:20:15.500]  Well, search no more!
[01:20:15.500 --> 01:20:17.581]  We are the GCN Radio Network!
[01:20:25.976 --> 01:20:35.344]  By the way, ladies and gentlemen, if you're a new listener, I've probably interviewed, I don't know, over a hundred top scientists, you know, top of their class, work for these companies.
[01:20:35.344 --> 01:20:47.215]  They would feed it to the guinea pigs or the mice and they'd sterilize or they'd have tumors or mutations, which aren't supposed to even happen after utero, but they would mutate after.
[01:20:47.215 --> 01:20:48.976]  We're all eating this stuff.
[01:20:48.976 --> 01:20:50.898]  It's very hard to find real organic food.
[01:20:52.376 --> 01:20:57.017]  Because the staple crops have all been infected and we're talking to the amazing author.
