[00:00:00.009 --> 00:00:00.349]  I believe.
[00:46:31.714 --> 00:46:32.875]  Some kids are like that.
[00:46:32.915 --> 00:46:36.897]  So because little baby mammals jump around a bunch, we drug them.
[00:46:36.917 --> 00:46:43.100]  When your puppy jumps around and runs around in your house, do you take them to the vet and say, my puppy's chewing on things and has a lot of energy?
[00:46:43.320 --> 00:46:43.961]  Well, darn it.
[00:46:44.181 --> 00:46:45.922]  Give it something that burns its brain out.
[00:46:46.602 --> 00:46:48.904]  Not unless you're Ellen DeGeneres.
[00:46:49.144 --> 00:46:50.585]  Hey, you got dogs, Kevin.
[00:46:50.665 --> 00:46:52.526]  I mean, I mean, they're puppies if they jump around.
[00:46:52.726 --> 00:47:01.732]  Well, yeah, I mean, basically what you need to do is like what I would do with kids, too, is that you need to just give them enough exercise to where they just can't, you know, exactly, you know.
[00:47:02.492 --> 00:47:11.239]  They're watching television all day, picking their noses, eating Hot Pockets, and drinking Capri Sun, or drinking Coca-Cola, and so then they're all weird and fidgety.
[00:47:11.479 --> 00:47:16.523]  If they were running around climbing trees for eight hours a day like I did, there wouldn't be any acting up, because they're not in the house!
[00:47:16.663 --> 00:47:19.846]  Yeah, I mean, I wasn't allowed to watch but a couple hours of TV when I was younger.
[00:47:19.866 --> 00:47:22.768]  You know, much less, like, sit around and play video games.
[00:47:25.387 --> 00:47:27.994]  I had brought him to his neurologist, right?
[00:47:28.094 --> 00:47:31.283]  And as I'm driving him there, you know, it's my younger brother.
[00:47:31.303 --> 00:47:32.346]  We've got a good rapport or whatever.
[00:47:32.931 --> 00:47:36.612]  And I said to him, I say, hey, you know, how do you feel with this stuff?
[00:47:36.632 --> 00:47:37.532]  Do you feel like you need it?
[00:47:37.872 --> 00:47:43.253]  And he's going, nah, you know, I feel like, you know, I could achieve the grades that I'm getting, because now he's doing really well.
[00:47:43.673 --> 00:47:47.294]  He says, you know, I think I could achieve the grades that I'm getting without taking the stuff, right?
[00:47:47.774 --> 00:47:49.955]  So I said, hey, have you ever brought it up to my mom, right?
[00:47:49.975 --> 00:47:51.535]  We both live with our mother still.
[00:47:51.815 --> 00:47:54.096]  And he goes, no, I haven't.
[00:47:54.296 --> 00:47:55.656]  Or he said, yes, he had.
[00:47:56.076 --> 00:48:01.381]  Yeah, but she is under the belief that this is the miracle drug that's helping him get his grades.
[00:48:14.293 --> 00:48:18.796]  Even a hundred years ago, even eighty years ago, it was a class thing to be able to get a doctor to come out to see you.
[00:48:19.036 --> 00:48:26.179]  They were expensive, they were somewhat rare, medicine was really worshipped, and it was a big deal to have the doctor come out to your farm or ranch.
[00:48:26.820 --> 00:48:32.883]  And so people love the medical system, and they see it as a loving thing to do.
[00:48:33.483 --> 00:48:34.644]  And Kevin, you want to comment on that?
[00:48:36.185 --> 00:48:37.165]  Yeah, I mean, and now it's
[00:48:39.494 --> 00:48:41.296]  It's completely been blown out the other way.
[00:48:41.356 --> 00:48:48.441]  Now the healthcare system has made it so you're lucky if you can see like a really crummy doctor and the doctors will just prescribe you anything.
[00:48:48.481 --> 00:48:50.403]  You know, it just seems like when you go to the doctor now...
[00:48:51.348 --> 00:48:53.570]  They don't even like really test you or do anything.
[00:48:53.630 --> 00:48:56.071]  They'll just like write you a bunch of giant prescriptions.
[00:48:56.191 --> 00:49:04.237]  And that's because they're not going to treat the hernia or the compacted disc or the impaction or the cyst in your uterus.
[00:49:04.257 --> 00:49:05.437]  They're just going to put you on Prozac.
[00:49:05.698 --> 00:49:09.660]  And that started what almost 18 years ago, 17 years ago with the Gulf War.
[00:49:09.920 --> 00:49:21.128]  The problem is that, you know, the second that law enforcement and prisons became profitable, the second that, you know, like the whole health industry became just this total profit driven monster.
[00:49:21.748 --> 00:49:23.229]  It was kind of on a doomed course.
[00:49:23.289 --> 00:49:24.630]  Well, yeah, it's the insurance companies.
[00:49:24.650 --> 00:49:25.851]  They don't want you to get real care.
[00:49:26.071 --> 00:49:26.611]  Yeah.
[00:49:26.671 --> 00:49:29.673]  And now a computer screen tells doctors what they can do.
[00:49:29.933 --> 00:49:35.697]  And that's exactly another reason why they're also against medical marijuana, because one, people can grow it on their own.
[00:49:35.737 --> 00:49:37.638]  They can regulate it themselves.
[00:49:37.738 --> 00:49:40.179]  People that get on it, like, stop going to the doctor.
[00:49:41.900 --> 00:49:49.245]  And there's just a million reasons why they don't want people to use medical marijuana, because they all lead to one thing, and that is profit.
[00:49:50.538 --> 00:49:51.218]  Absolutely.
[00:49:51.238 --> 00:49:53.079]  Let's go ahead and take another call here.
[00:49:54.440 --> 00:49:58.122]  Let's go ahead and talk to Steve in Utah.
[00:49:58.162 --> 00:49:58.722]  You're on the air.
[00:49:58.762 --> 00:49:59.122]  Go ahead.
[00:50:00.223 --> 00:50:00.503]  Hello.
[00:50:01.223 --> 00:50:01.884]  Hello, Steve.
[00:50:01.904 --> 00:50:03.705]  How are you doing?
[00:50:03.885 --> 00:50:04.625]  Great guest today.
[00:50:04.645 --> 00:50:06.026]  I just wanted to comment.
[00:50:06.666 --> 00:50:10.508]  A couple weeks ago, I guess I was the victim of the drug war.
[00:50:11.108 --> 00:50:16.771]  My house was raided for nothing more than, you know,
[00:50:17.882 --> 00:50:20.123]  I just wanted to
[00:50:36.618 --> 00:50:44.482]  You know, something to do with heroin, and I believe they probably all started out using the Oxycontin, and then moved on to the harder stuff.
[00:50:44.602 --> 00:50:48.684]  Yeah, let me comment, let me comment on that, since you bring that up, and I appreciate your call.
[00:50:49.005 --> 00:50:50.525]  I'm sorry to hear that happen to you.
[00:50:53.527 --> 00:50:55.888]  Well, Kevin, you've had your own experiences.
[00:50:55.928 --> 00:51:04.453]  Yeah, with Oxycontin, yeah, I mean, I myself became addicted to Oxycontin, and you know, it reminds me, makes me realize an interesting point.
[00:51:05.109 --> 00:51:10.694]  Isn't it interesting that you don't really hear stories about the government shipping in giant amounts of marijuana?
[00:51:11.454 --> 00:51:14.337]  Because, you know, it doesn't fit their whole agenda.
[00:51:15.069 --> 00:51:18.652]  You know, I mean, it's another kind of interesting angle on this whole thing.
[00:51:18.912 --> 00:51:24.977]  Well, that's what happens is you go to the doctor for a hurt back and they give you something that's synthetic heroin.
[00:51:24.997 --> 00:51:36.406]  And then Rush Limbaugh, I remember hearing him hundreds of times back when they would point out that, crack, a black guy would get 25 years, but then a lawyer caught with three 8-balls wouldn't get a month.
[00:51:37.186 --> 00:51:40.129]  And Limbaugh would defend that, and then when he was caught,
[00:51:40.689 --> 00:51:47.758]  With a hundred plus pills a day, I mean we're talking a decade in prison, doctor shopping, he doesn't get in trouble and he's still for the drug war!
[00:51:48.459 --> 00:51:50.441]  I mean they're just hypocritical bastards!
[00:51:51.297 --> 00:51:52.457]  Yeah, yeah.
[00:51:52.557 --> 00:51:57.599]  That's why I like the thing in the film where Tommy Chong forgives him while he's sitting in prison.
[00:51:57.639 --> 00:52:00.660]  That always gets a big laugh and a big cheer in the theater.
[00:52:00.880 --> 00:52:01.880]  Yeah, tell that story.
[00:52:01.900 --> 00:52:03.481]  Also tell what he says about Schwarzenegger.
[00:52:03.521 --> 00:52:08.462]  People need to get the film to see this at Infowars.com.
[00:52:08.482 --> 00:52:20.406]  Tommy was arrested, not for marijuana charges, but he was arrested because his son was using his face and his name to sell these expensive handmade glass pipes on the internet.
[00:52:21.305 --> 00:52:22.686]  They were making some serious money.
[00:52:24.226 --> 00:52:32.308]  The DEA actually placed an employee inside of their company to do the phone sales.
[00:52:33.349 --> 00:52:37.730]  And the DEA then would set up these phony head shops.
[00:52:38.410 --> 00:52:47.132]  And they set up a phony head shop in Pennsylvania, in a county where it's illegal to ship paraphernalia into.
[00:52:47.333 --> 00:52:48.753]  And they created a phony buy.
[00:52:49.782 --> 00:52:52.984]  Um, then which made it so the Chong's had committed a felony.
[00:52:53.164 --> 00:52:54.844]  And that's absolute entrapment!
[00:52:54.884 --> 00:53:03.928]  So they had the person on the phone to make sure that the other people in the family with the Chong's or the company didn't do the right thing and not sell to the county, to the city.
[00:53:03.948 --> 00:53:12.312]  I mean, again... Yeah, because the Chong's all knew that they weren't supposed to sell to that county and they'd even told their employees that they weren't supposed to do it, yet it happened anyway.
[00:53:12.552 --> 00:53:14.233]  And the guy that did it, like, disappeared.
[00:53:15.540 --> 00:53:16.763]  Well that's what they always do.
[00:53:16.783 --> 00:53:19.529]  I mean I saw this about four years ago in the
[00:53:21.334 --> 00:53:31.118]  In the Seattle papers, it was in several of them, and the major papers, the Seattle Times and others reported that in the nice area of Seattle, the majority of the bars are now owned by police.
[00:53:31.178 --> 00:53:35.699]  And they said the police go in the bathroom and they sell drugs to each other.
[00:53:35.719 --> 00:53:38.160]  It's not even an informant in the bathroom selling to somebody.
[00:53:38.740 --> 00:53:44.622]  They sell to each other and then they take it and then they don't even bother now to give the bar to another cop.
[00:53:44.762 --> 00:53:45.703]  They then own it.
[00:53:46.703 --> 00:53:52.887]  I mean, it's just, well it's like Dallas where they pull over random cars and throw bags of chalk in the back and take their car and home.
[00:53:52.967 --> 00:54:07.997]  I mean, it is... What sucks is that, you know, your average cop doesn't make that much money, your average guy in the military doesn't make that much money, so it's real easy for them to be controlled by these kind of things.
[00:54:09.191 --> 00:54:17.038]  And at the same time, it's hard for guys like us to be in a position to make films and do all that, because it takes money.
[00:54:18.439 --> 00:54:31.870]  And the government has also done a good job at convincing most people that if you're going to spend your life protesting, and if you're going to be an activist, then you're probably going to be broke and live some terrible, horrible little lifestyle.
[00:54:31.930 --> 00:54:35.173]  And so the whole system just lends itself
[00:54:35.799 --> 00:54:43.081]  To, you know what, if you want to have a nice car, a nice boat, a nice house, all those things, well, you know, you're going to have to, like, screw over your fellow man.
[00:54:43.101 --> 00:54:44.142]  It's just the way it goes.
[00:54:45.762 --> 00:54:47.663]  And people buy into it, and they do it.
[00:54:47.963 --> 00:54:50.944]  Well, and they also call it being winners.
[00:54:51.584 --> 00:54:59.187]  I mean, it's a huge joke to them, and I just can't believe how many lives that they ruin doing all of this.
[00:54:59.387 --> 00:55:05.249]  You know, real quick, back to the OxyContin thing, you know, I had gone through many years of back problems, and I had a doctor that
[00:55:06.104 --> 00:55:11.148]  Actually, he finally gave me this, uh, like an epidural in my lower back and fixed my problem.
[00:55:11.828 --> 00:55:15.130]  And when I told my doctor, I was like, wow, my back is better, but you know what?
[00:55:15.150 --> 00:55:17.212]  I need some help getting off of these pain pills.
[00:55:17.272 --> 00:55:18.853]  He just kept writing me the prescriptions.
[00:55:19.574 --> 00:55:21.975]  Even though I was like going, I need help.
[00:55:22.375 --> 00:55:25.177]  You know, he was like, ah, you need to just keep taking the OxyContin.
[00:55:25.197 --> 00:55:25.938]  Here's another script.
[00:55:27.134 --> 00:55:30.879]  And at that point I was like, wow, this is really happening.
[00:55:30.899 --> 00:55:33.102]  I'm really addicted to something.
[00:55:33.162 --> 00:55:40.172]  I remember you calling me at home, Aaron Austin, and telling me, going, they won't help me, man, they just keep giving them to me.
[00:55:40.452 --> 00:55:41.433]  Yeah, it's crazy.
[00:55:41.894 --> 00:55:46.436]  You know, once you're in that little thing, they don't want you to get out of it.
[00:55:46.936 --> 00:55:49.197]  Well, I mean, that's classic drug dealer right there.
[00:55:49.398 --> 00:55:50.078]  That's what it is.
[00:55:50.118 --> 00:55:51.178]  The government are drug dealers.
[00:55:51.599 --> 00:55:53.099]  The higher up cops are drug dealers.
[00:55:53.399 --> 00:55:54.600]  But that's compartmentalized.
[00:55:54.660 --> 00:55:55.780]  Let's take a few more calls.
[00:55:56.421 --> 00:55:58.862]  Let's go ahead and talk to Harvey in Florida.
[00:55:59.142 --> 00:56:07.706]  You're on the air with the Maker of American Drug War, available right now on DVD, and it's the only place you get the three-plus hours of extras on the DVD, so that's five hours.
[00:56:07.786 --> 00:56:09.067]  It's just amazing.
[00:56:09.387 --> 00:56:11.128]  Let's say you already know all about this, folks.
[00:56:11.188 --> 00:56:14.170]  Your friends, your family, your neighbors, even a lot of cops don't know.
[00:56:14.710 --> 00:56:17.331]  It's interesting, Kevin, and we will go to Harvey in a second.
[00:56:17.551 --> 00:56:18.852]  I just thought of this, and I'll forget.
[00:56:18.872 --> 00:56:20.013]  That's what always happens.
[00:56:20.033 --> 00:56:23.514]  That's why I always interrupt, folks, because then if I shut up, I then forget, and we never get to it.
[00:56:24.935 --> 00:56:26.136]  In fact, I think I just did it right then.
[00:56:26.156 --> 00:56:30.578]  I was going to bring up the point, what were we talking about just now?
[00:56:31.758 --> 00:56:35.680]  How the government wants you to be addicted.
[00:56:37.341 --> 00:56:38.341]  Oh, it doesn't matter now.
[00:56:38.361 --> 00:56:40.042]  It was so important.
[00:56:40.062 --> 00:56:44.424]  I think about such key angles for people that I want them to think about and then I just forget about it.
[00:56:45.024 --> 00:56:46.005]  Harvey in Florida, go ahead.
[00:56:46.741 --> 00:56:48.242]  Hey Alex, how are you doing today?
[00:56:48.282 --> 00:56:48.842]  Hi Kevin.
[00:56:49.043 --> 00:56:49.683]  Hi, what's up?
[00:56:49.763 --> 00:56:55.327]  I'm glad you got that email I sent you about what's going on in California today with the Chinese troops.
[00:56:55.427 --> 00:56:58.629]  That story about... Chinese troops policing Americans.
[00:56:59.649 --> 00:57:01.290]  Oh, they said it quite nonchalantly.
[00:57:01.310 --> 00:57:05.713]  They slipped it in on the Paul Harvey News just before noon today.
[00:57:05.873 --> 00:57:06.694]  I have the AP.
[00:57:06.774 --> 00:57:08.295]  What did they say when you heard Harvey?
[00:57:09.537 --> 00:57:19.440]  Well, it was a guy replacing Paul Harvey, sometimes he has stand-ins, and he just said it very nonchalantly, oh yeah, and it'll be international troops protecting the torch.
[00:57:20.620 --> 00:57:32.683]  I think if you go to ABC7 from San Francisco, and I don't want to pull people away from your broadcast, but later on, I think they're showing actual live streaming footage of the protest.
[00:57:32.723 --> 00:57:35.484]  Hey Kevin, will you email that link to Aaron at InfoWars.com?
[00:57:37.529 --> 00:57:39.751]  You're at your computer right now, aren't you?
[00:57:40.071 --> 00:57:40.872]  Yeah, give me a minute.
[00:57:40.912 --> 00:57:42.093]  I've got everyone working.
[00:57:42.113 --> 00:57:43.294]  Can I send it to Trey?
[00:57:44.255 --> 00:57:46.957]  Yeah, you can send it to Eddie Bear or you can send it to Pickle Bear.
[00:57:47.337 --> 00:57:47.978]  Okay.
[00:57:48.078 --> 00:57:49.599]  Everyone gets their designation here.
[00:57:52.882 --> 00:57:58.747]  I wish a lot of young people would listen to your show, Alex, when you talk about the drugs and who's bringing them in.
[00:57:58.807 --> 00:58:01.430]  It's so important for people to know what it's all about.
[00:58:01.470 --> 00:58:03.271]  Well, that's a point I forgot to say earlier.
[00:58:04.132 --> 00:58:07.955]  People get into the drug culture because whatever the government makes illegal becomes
[00:58:09.216 --> 00:58:13.961]  Very cool, very avant-garde, very cutting-edge.
[00:58:14.842 --> 00:58:17.805]  There's money associated with it, and so it's forbidden.
[00:58:18.445 --> 00:58:22.349]  And they understand psychology, and I know a lot of people like marijuana and you enjoy it.
[00:58:22.429 --> 00:58:23.691]  It's just better not doing it.
[00:58:24.071 --> 00:58:26.674]  It's just better not doing any of it.
[00:58:27.094 --> 00:58:30.577]  You beat these people by being healthy, by being in shape, by living well.
[00:58:31.158 --> 00:58:33.099]  And of course, they're going to make everything else illegal, too.
[00:58:33.159 --> 00:58:35.161]  That's what tyranny does, to catch good people on their net.
[00:58:35.721 --> 00:59:00.337]  But just live better than them, know their scum, educate everybody how they're terrorists and how they're the enemy, and just know that our people are everywhere, our numbers are growing, and that we are... I mean, when we take this country back, I want them to have due process, I want them to have trials, I want to have public trials, and we're going to turn loose all these innocent people out of prison, and all these people that were non-violent, and all these people that dealt drugs and stole people's children,
[00:59:00.877 --> 00:59:02.118]  I'm gonna call for the death penalty.
[00:59:03.299 --> 00:59:04.039]  Yeah, no, I agree.
[00:59:04.059 --> 00:59:15.387]  I mean, I think, you know, back to the drug war and the whole possession thing, and, you know, who should go to jail, you know, committing a crime is what should send you to jail, and possessing drugs isn't a crime.
[00:59:15.467 --> 00:59:20.250]  Yeah, victim crimes are what you get the book thrown at you for, but now they don't do that.
[00:59:20.350 --> 00:59:21.731]  It's all victimless crap.
[00:59:21.971 --> 00:59:23.613]  Right.
[00:59:24.073 --> 00:59:29.897]  And Judge Gray puts it really well in the film, you know, because people keep talking, like, well, but why is marijuana
[00:59:30.580 --> 00:59:31.300]  Still illegal.
[00:59:31.320 --> 00:59:33.901]  Well, he put it, I think, very best, I've said it on your show before.
[00:59:33.921 --> 00:59:44.064]  He said, because over 80% of all illegal drug users, say that again, over 80% of all illegal drug users... Yeah, it's 87.
[00:59:45.004 --> 00:59:46.605]  ...only smoke marijuana.
[00:59:47.285 --> 00:59:47.505]  Okay?
[00:59:47.952 --> 00:59:52.835]  So if you remove marijuana from this whole drug war equation, it's all going to come crumbling to the ground.
[00:59:52.855 --> 00:59:57.618]  And that's why we've had, what, almost 20 states vote to decriminalize, and the feds say no!
[00:59:57.959 --> 01:00:05.784]  Yeah, I mean, they just go like, it's so ridiculous on world news, they'll be like, well, you know, 80% of all Americans want to legalize, but nope, you know, Superior Court, not yet.
[01:00:06.224 --> 01:00:08.946]  Eighty percent don't want to be in Iraq, but so what?
[01:00:09.026 --> 01:00:11.728]  Ninety percent don't want the borders open, but no.
[01:00:12.548 --> 01:00:15.731]  Eighty-four percent want a new investigation and say 9-11 was an inside job.
[01:00:15.811 --> 01:00:16.911]  Oh, we don't care what you want.
[01:00:17.292 --> 01:00:17.932]  Anything else, sir?
[01:00:19.273 --> 01:00:19.933]  Yes, Alex.
[01:00:20.234 --> 01:00:29.240]  I don't know if you saw those hearings yesterday with Atreus, and this is something I don't often get to get through on the line, so it's very important that you know this.
[01:00:29.901 --> 01:00:42.893]  There was one senator that had a speech all prepared, and he was talking about how he was there recently over in Iraq, one of the senators, and he went around the prison system over there.
[01:00:42.973 --> 01:00:46.436]  Do we have detainees by the tens of thousands?
[01:00:47.917 --> 01:00:48.177]  Yes, sir.
[01:00:50.453 --> 01:00:55.456]  And he went around and the General showed him around and it's really doing wonderful over there, Alex.
[01:00:55.957 --> 01:01:13.628]  The people in detention are having very good food, they're getting training, they're getting job training, and a lot of them, according to this senator, this wasn't set up or anything, a lot of the people over there are having such a good time when they want to release them, they don't want to leave, they want to stay and do their studies.
[01:01:14.286 --> 01:01:20.169]  So that's our media telling us, and our government saying, oh, and the gulags, they've been re-educated, they love it.
[01:01:20.189 --> 01:01:21.290]  It's all working.
[01:01:22.130 --> 01:01:25.171]  Oh, this was so unbelievably pathetic.
[01:01:25.552 --> 01:01:26.592]  Oh, that's what I mean.
[01:01:26.632 --> 01:01:28.433]  We have Chinese police ruling over us.
[01:01:28.733 --> 01:01:30.994]  They're telling us their gulags are good on our news.
[01:01:31.094 --> 01:01:32.375]  I've seen similar stuff, Kevin.
[01:01:32.795 --> 01:01:38.658]  There was one of the funny quotes that I've got former drug czar Barry McCaffrey in a film going.
[01:01:38.678 --> 01:01:40.459]  He goes, drug use is down 14% from last month.
[01:01:43.729 --> 01:01:44.950]  It's just made up crap.
[01:01:45.010 --> 01:01:55.414]  It's like 1984 where they're going, we made 45 million pairs of shoes, choco rations are up, there's more tobacco, there's more housing, and meanwhile Winston's going, this is absolute crap.
[01:01:55.914 --> 01:01:57.595]  I haven't gotten any cigarettes in months.
[01:01:58.075 --> 01:02:01.397]  Yeah, they're having such a good time, they don't want to leave when their time is up, Alex.
[01:02:01.477 --> 01:02:02.877]  So it must be really pretty wonderful.
[01:02:02.917 --> 01:02:04.338]  No more Abu Ghraib.
[01:02:05.078 --> 01:02:08.420]  Well, those slave camps, those forced labor camps are wonderful.
[01:02:09.380 --> 01:02:10.381]  You know, I've been in prison.
[01:02:10.421 --> 01:02:13.823]  I was sent to prison on marijuana charge when I was young, when I was 20 years old.
[01:02:13.883 --> 01:02:16.184]  Alex, I can tell you, I was put in there with mass murderers.
[01:02:16.885 --> 01:02:21.087]  I was put in there with people that were just released for the atrocities at Attica.
[01:02:21.708 --> 01:02:22.608]  And it's no picnic.
[01:02:22.648 --> 01:02:25.110]  And if they ever opened those doors, I'd be the first one out.
[01:02:25.550 --> 01:02:26.250]  Yeah, no, I agree.
[01:02:26.270 --> 01:02:34.015]  And I think, I think one of the things, if we have to focus on this thing incrementally, needs to start with marijuana and needs to start with medical marijuana.
[01:02:34.075 --> 01:02:35.096]  And then we need to start by
[01:02:35.583 --> 01:02:41.627]  Releasing, or definitely start by releasing any non-violent marijuana person who's serving time.
[01:02:42.287 --> 01:02:44.208]  And we need to start with stronger laws.
[01:02:44.749 --> 01:02:48.851]  When a cop gets caught murdering somebody or dealing drugs, they slap him on the wrist.
[01:02:48.891 --> 01:02:51.633]  No, we need execution.
[01:02:52.073 --> 01:02:56.436]  We need the strongest laws for government officials and cops.
[01:02:56.556 --> 01:02:58.837]  Yeah, absolutely, when you portray the public trust.
[01:02:59.018 --> 01:03:08.083]  You know, because that's the whole point of my film is, you know, and I open with the opening line of the film is that, you know, now some of the people that I've elected to protect me are the ones that I fear the most.
[01:03:08.243 --> 01:03:10.184]  And I think that's how a lot of people feel these days.
[01:03:10.264 --> 01:03:14.067]  Well, maybe Ron Paul, Alex, will make you the drug czar when he gets in.
[01:03:14.847 --> 01:03:17.429]  Yeah, well, I mean, I'll be total decriminalization.
[01:03:18.789 --> 01:03:19.510]  I love you, Alex.
[01:03:19.630 --> 01:03:20.471]  Keep up the great work.
[01:03:20.511 --> 01:03:20.911]  Take care.
[01:03:21.963 --> 01:03:23.624]  Yeah, I hate drugs, ladies and gentlemen.
[01:03:23.885 --> 01:03:25.326]  And, I mean, food's a drug.
[01:03:25.446 --> 01:03:26.207]  Alcohol's a drug.
[01:03:26.227 --> 01:03:27.508]  I mean, I've liked alcohol before.
[01:03:27.528 --> 01:03:30.670]  I wouldn't call myself an out-of-control drunk, but, you know, I like it.
[01:03:31.191 --> 01:03:33.332]  Cigarettes, I'm a two-pack a day if I get on them.
[01:03:33.933 --> 01:03:35.194]  And those are, I mean, those kill.
[01:03:35.534 --> 01:03:36.055]  And sugar.
[01:03:36.375 --> 01:03:36.915]  Junk food.
[01:03:38.196 --> 01:03:40.518]  Oh my God, the chemicals they put in food are drugs.
[01:03:40.538 --> 01:03:45.783]  Yeah, I mean, it's like, you know, it's like, to me, McDonald's is a bigger drug dealer, you know?
[01:03:45.843 --> 01:03:47.524]  I mean, it's endless.
[01:03:47.724 --> 01:03:48.485]  It's just endless.
[01:03:48.645 --> 01:03:49.386]  I'm gonna move fast.
[01:03:49.426 --> 01:03:50.707]  Greg in New York, you're on the air.
[01:03:51.741 --> 01:03:53.503]  Hi Alex, such a pleasure.
[01:03:53.803 --> 01:03:55.745]  First time caller, big time listener.
[01:03:56.285 --> 01:03:58.707]  Also, American Drug War looks fantastic, I can't wait.
[01:03:58.948 --> 01:04:02.171]  You guys were talking about movies before they get killed by the New World Order.
[01:04:02.631 --> 01:04:09.798]  Ah, Southland Tales is all police state, all really important stuff for people to see about their, you know, possible future.
[01:04:09.818 --> 01:04:12.000]  It's called Southland Tales?
[01:04:12.380 --> 01:04:14.522]  Yeah, see, even Alex Jones doesn't even know about this.
[01:04:14.602 --> 01:04:15.103]  It's crazy.
[01:04:15.143 --> 01:04:16.184]  It's such a good movie.
[01:04:16.944 --> 01:04:17.605]  It deals with
[01:04:18.191 --> 01:04:26.723]  Big time stars and how, uh, there's a, you know, second internet that monitors everything and there's guns aimed at our borders inwards.
[01:04:26.903 --> 01:04:29.687]  Justin Timberlake point kills people on the beach in Venice.
[01:04:29.767 --> 01:04:30.408]  It's crazy.
[01:04:30.428 --> 01:04:32.471]  I'll check it out.
[01:04:33.106 --> 01:04:35.949]  Okay, and also, just real quick, because you guys are talking about the corruption.
[01:04:35.969 --> 01:04:40.293]  $30,000 just came out of my police station by some cop.
[01:04:40.353 --> 01:04:43.896]  Now there's going to be two, like, you know, trials and counter-sue.
[01:04:43.996 --> 01:04:49.962]  It's going to cost the taxpayers millions just because they keep a bunch of drug money in the police station for poor cops to grab.
[01:04:52.196 --> 01:05:16.355]  Look, I grew up in Rockwall, where I would be at people's houses, and I wasn't into drugs, but this was the eighties, everybody was into it, and the local cop would pull in and bring in cocaine and marijuana, I mean duffel bags of it, and then I'd go to school five years, I mean this was when I was like eleven, twelve, playing baseball in the neighborhood, I've told the story before, and then I would go with my friend who was a couple years old, and he'd have like an eighteen-year-old brother, and I'd be over there watching TV,
[01:05:18.877 --> 01:05:21.358]  And by the time I was like 12, I'd be doing beer bongs.
[01:05:21.378 --> 01:05:23.159]  There was plenty of alcohol involved in that too.
[01:05:23.199 --> 01:05:27.602]  My parents had no idea I was down the street beer bonging, sucking down whole beers out of funnels.
[01:05:28.362 --> 01:05:39.068]  And then the cops would show up with the cocaine and marijuana, and then the older brother would go off and sell it to the bimbo wives of the rich golfers.
[01:05:39.348 --> 01:05:44.451]  I grew up in a nice neighborhood where our four bedroom house was the small house.
[01:05:45.671 --> 01:05:50.793]  Uh, and, you know, there were 20 bedroom houses and stuff, so I was in and around all of it, and the cops just delivered the drugs.
[01:05:50.833 --> 01:05:59.336]  It was all part of... And then, a few years later, I was in school, and they had drug dogs and pledges not to use drugs, and they were showing us the drugs, which I knew was really an advertisement.
[01:05:59.837 --> 01:06:04.938]  And then, cops... I remember walking up to the cops going, hey man, I've seen you deal drugs.
[01:06:05.519 --> 01:06:06.919]  And then they said, we're gonna kill you.
[01:06:07.599 --> 01:06:08.540]  See, I didn't understand.
[01:06:08.580 --> 01:06:11.201]  I was like... See, that's how I woke up.
[01:06:11.281 --> 01:06:12.741]  I'm like, you're a drug dealer.
[01:06:12.781 --> 01:06:13.542]  What are you doing here?
[01:06:14.602 --> 01:06:16.643]  You know, I saw you three years ago deliver cocaine.
[01:06:17.303 --> 01:06:24.625]  Yeah, they photographed my school parking lot and meanwhile I see them meeting up with Lamborghinis at three o'clock in the morning because I drive a cab.
[01:06:24.985 --> 01:06:29.486]  So it's like, what's really going on if you guys have to have secret meetings with Lamborghinis?
[01:06:30.427 --> 01:06:34.388]  Let me tell you, 90% of narcotics police deal drugs.
[01:06:34.948 --> 01:06:39.189]  I mean, they had three purges in New York where they fired 75% of them each time.
[01:06:39.889 --> 01:06:41.410]  Yeah, American Gangster style.
[01:06:41.803 --> 01:06:47.687]  You know, it's like members of that Freeway Ricky Ross Task Force have gotten more trouble than Ricky did.
[01:06:48.588 --> 01:06:50.249]  They got caught doing more stuff than Ricky did.
[01:06:50.269 --> 01:06:53.091]  You know, Ricky had his own set of police after all.
[01:06:53.131 --> 01:06:54.192]  It's an incredible story.
[01:06:55.013 --> 01:06:59.456]  Ricky Ross' story will definitely be like another American gangster when it gets done correctly.
[01:07:00.300 --> 01:07:01.201]  Oh, I can't wait.
[01:07:01.581 --> 01:07:02.242]  Thank you, Greg.
[01:07:02.903 --> 01:07:03.683]  Oh, thank you, guys.
[01:07:04.444 --> 01:07:08.667]  Eric in Pennsylvania, and then Bill and Joel, and that's it, because we're going to have to end this transmission.
[01:07:08.707 --> 01:07:09.068]  Go ahead.
[01:07:09.848 --> 01:07:14.753]  Yo, I love the extra, you should do two, three hours extra, Dad.
[01:07:15.473 --> 01:07:17.155]  First time caller, big fan.
[01:07:18.856 --> 01:07:20.337]  I have a list of statements.
[01:07:22.299 --> 01:07:26.743]  I was talking the other day to a high school kid about how the government flies in drugs, and he goes,
[01:07:27.706 --> 01:07:32.610]  Oh, I saw that movie Drug War and then they spent like 45 minutes on it talking about it.
[01:07:34.512 --> 01:07:37.635]  I also got a prescription for Marinol from my doctor.
[01:07:39.109 --> 01:07:41.411]  So I don't fail my drug test and lose my job.
[01:07:42.432 --> 01:07:45.155]  I also want to say that THC is a psychoactive substance.
