[00:00:00.049 --> 00:00:00.169]  It is...
[00:42:37.441 --> 00:42:45.508]  And now there's a widespread program, on record, fleshed out a bit more, because I want to do our own story on it and link whatever you guys put out.
[00:42:46.028 --> 00:42:48.310]  Specifically, you're trying to go to all these labs.
[00:42:48.350 --> 00:42:52.413]  How many labs did you contact to test other products, not just baby formula?
[00:42:53.494 --> 00:42:56.576]  And specifically, what types of products are they?
[00:42:56.676 --> 00:43:00.900]  And then you're saying all these labs are saying, no, no, no, we're not going to test that for you.
[00:43:01.926 --> 00:43:07.209]  I don't want to reveal yet what types of products they are, because I don't want to be preempted by any of these companies.
[00:43:07.309 --> 00:43:07.769]  I understand.
[00:43:07.789 --> 00:43:08.229]  I understand.
[00:43:08.249 --> 00:43:09.770]  We called ten different labs.
[00:43:10.490 --> 00:43:13.652]  Only one agreed to test at levels below one part per million.
[00:43:14.092 --> 00:43:17.834]  And they said they would test at levels as low as 20 parts per billion.
[00:43:18.514 --> 00:43:23.236]  The other said they won't do the test, because the FDA standard is now one part per million.
[00:43:23.596 --> 00:43:24.377]  But these are products
[00:43:25.855 --> 00:43:30.516]  That are made by big companies and they contain milk protein.
[00:43:30.816 --> 00:43:32.477]  So that's what we're searching for.
[00:43:32.497 --> 00:43:36.038]  And we're going to tell the truth about what we find.
[00:43:36.058 --> 00:43:37.978]  You know, we're going to post the lab results ourselves.
[00:43:38.419 --> 00:43:39.459]  I'm not going to be timid about it.
[00:43:39.679 --> 00:43:40.779]  The public deserves to know.
[00:43:40.999 --> 00:43:44.320]  I mean, somebody's got to do actual journalism in this country, you know, Alex?
[00:43:45.460 --> 00:43:46.021]  Absolutely.
[00:43:47.541 --> 00:43:48.741]  I mean, the AP did a good job.
[00:43:48.761 --> 00:43:53.423]  You know, I congratulate them for filing the Freedom of Information Act request.
[00:43:53.543 --> 00:43:54.783]  Good job on the AP's part.
[00:43:55.373 --> 00:43:57.538]  They don't always do a good job, but they did it in that case.
[00:43:58.360 --> 00:44:00.626]  But we gotta follow up on this and test more products.
[00:44:00.666 --> 00:44:04.014]  I mean, the FDA... We're doing the FDA's job!
[00:44:05.316 --> 00:44:14.465]  Well, you know, under the Patriot Act, they made it law that any private investigators trying to investigate chemical plants dumping poison, that that's national security and that's terrorism.
[00:44:14.806 --> 00:44:23.475]  And they actually put out an arrest warrant for Greg Pallast of ABC News and the BBC for videotaping a FEMA camp in Mississippi.
[00:44:24.696 --> 00:44:28.239]  Now it's terrorism if you talk about the poison in the food.
[00:44:29.107 --> 00:44:34.471]  Well, the USDA has made it illegal for cattle farmers to test their own cows for mad cow disease.
[00:44:34.831 --> 00:44:36.152]  Don't forget about that fact, too.
[00:44:36.332 --> 00:44:43.457]  In fact, there was a big premium prime beef company, what, in Missouri, who got shut down because they were doing it.
[00:44:44.298 --> 00:44:44.878]  Yeah, exactly.
[00:44:44.898 --> 00:44:54.685]  I mean, how insane has it become, really, when companies trying to test for problems, trying to increase food safety, are branded criminals and put out of business?
[00:44:56.086 --> 00:44:58.728]  We now have tens of thousands a year in the U.S.
[00:44:58.768 --> 00:45:04.933]  and other Western nations getting the early onset of Alzheimer's when they're 25, 30.
[00:45:05.293 --> 00:45:05.753]  Yeah.
[00:45:08.275 --> 00:45:11.157]  This is, in part, I believe, caused by vaccines.
[00:45:11.926 --> 00:45:16.427]  And in fact, there was an excellent article written by Byron Richards, another health freedom champion.
[00:45:16.987 --> 00:45:19.748]  We published it on naturalnews.com a couple of weeks ago.
[00:45:20.808 --> 00:45:33.171]  He talked about the chemicals in vaccines having a purposeful inflammatory effect in order to incite an immune system response to the weakened genetic material in the vaccine.
[00:45:34.052 --> 00:45:35.792]  And these inflammation chemicals
[00:45:36.480 --> 00:45:39.983]  Maybe contributing very strongly to Alzheimer's.
[00:45:40.083 --> 00:45:51.773]  Well they've conclusively proven that many brain disorders like Parkinson's is due to now environmental outside sources triggering chronic inflammation or chronic allergic response in the brain.
[00:45:52.622 --> 00:45:53.523]  That's right, that's right.
[00:45:53.944 --> 00:45:59.049]  We've got C-reactive proteins, another indicator of inflammation in the cardio system.
[00:45:59.630 --> 00:46:03.855]  Basically, inflammation is bad for you and vaccines promote inflammation.
[00:46:03.875 --> 00:46:04.936]  Well, here's an example.
[00:46:05.197 --> 00:46:06.478]  GMO foods, as you know,
[00:46:08.080 --> 00:46:08.620]  Yeah, that's right.
[00:46:08.640 --> 00:46:10.822]  The hypersensitivity caused by these chemicals is very real.
[00:46:10.842 --> 00:46:11.723]  A lot of people suffer from it.
[00:46:11.783 --> 00:46:12.384]  They go to their doctor.
[00:46:37.125 --> 00:46:44.031]  And unfortunately, they just get treated with medication rather than, you know, undergoing any honest assessment of the source of their problems.
[00:46:44.131 --> 00:46:45.533]  Here's the sterilization clip.
[00:46:45.573 --> 00:46:49.736]  This is a little PR piece that was put on news about how wonderful it is to get sterilized.
[00:46:52.539 --> 00:46:56.562]  Elena Fix is 34 years old and she'll never have a period again.
[00:46:56.983 --> 00:47:01.447]  The pregnancies are wonderful, our lives are wonderful, so we are complete.
[00:47:01.877 --> 00:47:06.063]  Her family of four complete, Alana decided to stop her heavy periods.
[00:47:06.563 --> 00:47:08.826]  My first three days were very heavy.
[00:47:09.407 --> 00:47:12.852]  And then I would like spot for seven days, which would get really old.
[00:47:15.882 --> 00:47:16.542]  Good morning!
[00:47:16.903 --> 00:47:21.865]  Dr. Dennis Eisenberg, an OBGYN, recommended a newer method of endometrial ablation.
[00:47:22.285 --> 00:47:27.928]  This is just a new technique that makes it much simple, much easier on the patient and the doctor.
[00:47:28.248 --> 00:47:31.410]  This is for women who don't want any or any more children.
[00:47:31.690 --> 00:47:37.213]  Performed in a doctor's office in 90 seconds, cells in the lining of the uterus are burned.
[00:47:37.413 --> 00:47:39.554]  75% of patients never menstruate again.
[00:47:39.914 --> 00:47:42.195]  The others have light spotting once a month.
[00:47:42.611 --> 00:47:47.856]  They'll still maintain their same hormonal fluctuations, but they just won't bleed with their cycles.
[00:47:48.196 --> 00:47:53.801]  Once I went to pick some medicine, went to bed, woke up in the morning, and if I had a job, I could have gone to work the next day.
[00:47:53.821 --> 00:47:58.545]  That time of the month behind her, Alanna can now focus fully on her two little girls.
[00:47:59.185 --> 00:48:00.827]  Meredith Land, NBC News.
[00:48:01.542 --> 00:48:14.470]  Okay, now, I've seen studies showing that the menstrual cycle is the reason women on average live about six years longer in every culture than men, because it allows them to detoxify.
[00:48:14.991 --> 00:48:22.295]  Also, I've seen studies years ago that women that have had similar procedures, then all the toxins build up.
[00:48:22.796 --> 00:48:27.138]  It's still being delivered by the blood supply in there to be offloaded.
[00:48:27.158 --> 00:48:30.441]  The woman hasn't been made pregnant, hasn't been impregnated.
[00:48:31.221 --> 00:48:33.102]  I mean, this is insane!
[00:48:34.482 --> 00:48:39.084]  Yeah, the procedure described in that audio clip, I mean, it's just sick, Alex.
[00:48:39.264 --> 00:48:42.645]  It's sick, it's criminal, in my opinion, maiming women.
[00:48:42.945 --> 00:48:46.546]  They're scarring them for life, internally, physically.
[00:48:47.126 --> 00:48:47.806]  I mean, you're right.
[00:48:48.227 --> 00:48:53.088]  Menstruation is a normal part of being a female human being.
[00:48:53.108 --> 00:48:55.409]  It's a necessary part of being healthy.
[00:48:56.658 --> 00:49:00.421]  The blood needs to flow for lots of different reasons.
[00:49:00.442 --> 00:49:10.730]  Well, the studies out there show that women who have abortions have massive increases in cancer because it messes with hormones.
[00:49:10.770 --> 00:49:15.574]  I've seen the studies on this, having all the spotting and problems because of all the hormones in the food she's eating.
[00:49:16.516 --> 00:49:24.004]  But you know what's so disturbing about that clip is the willingness of that woman to go along with this procedure and to praise it.
[00:49:24.024 --> 00:49:26.487]  It's just like the people who love to be microchipped.
[00:49:27.127 --> 00:49:32.293]  You know, how stupid can you be, people, to let these mad scientists do this stuff to you?
[00:49:33.054 --> 00:49:35.977]  And then be happy that you were just maimed for life?
[00:49:37.058 --> 00:49:38.620]  That's the most disturbing part about it.
[00:49:39.858 --> 00:49:40.278]  I agree.
[00:49:40.338 --> 00:49:44.759]  Let's jam in a phone call or two, and then we'll continue taking phone calls.
[00:49:45.220 --> 00:49:47.260]  Is Steven Chicago still there?
[00:49:47.280 --> 00:49:50.401]  Go ahead, Steve.
[00:49:50.641 --> 00:49:52.401]  Steven Chicago, thanks for holding her on the air.
[00:49:53.202 --> 00:49:58.363]  I hate to change the subject, Alex, but you were talking about our governor as a gun grabber.
[00:49:59.343 --> 00:50:00.564]  Keep in mind one thing.
[00:50:00.984 --> 00:50:03.344]  Who's spurring this on and instigating this?
[00:50:03.525 --> 00:50:05.185]  Alderwoman Sandy Jackson.
[00:50:05.580 --> 00:50:08.461]  Well, I know that he's going to be the new senator, isn't he?
[00:50:26.536 --> 00:50:28.658]  I mean, people have all got their loan issues.
[00:50:29.558 --> 00:50:33.561]  Hey man, I just reported they're doing gun confiscation with the Army in Illinois.
[00:50:34.121 --> 00:50:36.543]  And then it gets turned into I'm covering up the Jacksons.
[00:50:36.563 --> 00:50:39.745]  I don't even know anything about that specifically.
[00:50:40.386 --> 00:50:46.410]  Anytime you say something that's true, that is blunt, Alex, you're going to invoke a lot of different reactions.
[00:50:46.430 --> 00:50:50.693]  And the only way to avoid doing that is to say nothing, and that's what the mainstream media does.
[00:50:52.574 --> 00:50:54.236]  Yeah, they just milk-toast garbage.
[00:50:54.996 --> 00:50:55.516]  It's incredible.
[00:50:56.460 --> 00:50:59.642]  All right, we'll be right back in the final segment with the Health Ranger.
[00:50:59.702 --> 00:51:03.364]  Be sure and check out his website, healthranger.org.
[00:51:03.744 --> 00:51:04.484]  We'll be right back.
[00:51:04.544 --> 00:51:04.984]  Stay with us.
[00:51:19.025 --> 00:51:19.305]  Hey Alex!
[00:51:19.325 --> 00:51:19.686]  How ya goin' man?
[00:51:46.687 --> 00:51:47.847]  Take it off speakerphone, bro.
[00:51:47.867 --> 00:51:48.408]  You're on the air.
[00:51:48.508 --> 00:51:49.888]  Can't understand a word on speakerphone.
[00:51:51.188 --> 00:51:52.109]  Yeah, I understand you, dude.
[00:51:52.749 --> 00:52:01.671]  Hey, uh, just so, out to all the international callers out there, I've been waiting for you for one hour and twenty-three minutes, and I haven't paid a cent.
[00:52:01.971 --> 00:52:07.953]  So that one hundred, one hundred, uh, eight hundred number actually works on Skype.
[00:52:08.273 --> 00:52:09.134]  You don't pay a cent.
[00:52:09.534 --> 00:52:11.334]  Good.
[00:52:11.354 --> 00:52:12.995]  I'm sorry for not getting to you.
[00:52:13.035 --> 00:52:13.435]  Go ahead.
[00:52:13.555 --> 00:52:13.995]  You're on the air.
[00:52:15.026 --> 00:52:16.967]  You don't have to apologise for nothing, man.
[00:52:18.328 --> 00:52:24.350]  If Neil Armstrong and you were in the same room and I only had one handshake, it would be you.
[00:52:29.513 --> 00:52:36.376]  Right, what was the name of the lead organiser of the 9-11 victims' families?
[00:52:36.936 --> 00:52:41.038]  You interviewed about six months ago and you asked him directly,
[00:52:42.100 --> 00:52:45.843]  What is the consensus over there, man, with the 9-11 victims' families?
[00:52:45.903 --> 00:52:50.427]  And he said around 50% believe 9-11 is an inside job.
[00:52:50.547 --> 00:52:52.028]  Yeah, it's Bill Doyle.
[00:52:52.249 --> 00:52:53.810]  Yeah, 50% or more believe it's an inside job.
[00:52:54.450 --> 00:52:56.052]  And he believes it.
[00:52:56.212 --> 00:53:00.155]  I'll try to Google it, you know, just using my Doyle.
[00:53:00.736 --> 00:53:01.957]  Alright, cheers for that, dude.
[00:53:02.257 --> 00:53:05.680]  Because I'm being attacked full-blown on YouTube.
[00:53:05.880 --> 00:53:10.824]  Do you think it's even worth arguing in the comment sections in YouTube?
[00:53:11.468 --> 00:53:15.292]  You were saying earlier on, these guys can't be this stupid.
[00:53:15.712 --> 00:53:18.114]  You know, I find that hard to believe too, man.
[00:53:18.614 --> 00:53:31.526]  And so these guys on YouTube attacking you, what I want to know is, what you imagine, like, using your gut visceral, what percentage of these guys are useful idiots?
[00:53:31.706 --> 00:53:32.286]  Let me explain.
[00:53:33.635 --> 00:53:35.276]  It's a snowball or a mockingbird.
[00:53:35.896 --> 00:53:40.077]  The operative says it over and over again, then weak minds parrot it.
[00:53:40.577 --> 00:53:43.178]  So I'd say 90% of them are just damaged goods.
[00:53:43.198 --> 00:53:44.139]  They attack everybody.
[00:53:44.159 --> 00:53:45.819]  They're just unhappy, mentally destroyed.
[00:53:46.479 --> 00:53:49.360]  And about 10% are operatives, are paid bloggers.
[00:53:49.400 --> 00:53:49.921]  We know that.
[00:53:49.961 --> 00:53:50.601]  It's on record.
[00:53:52.782 --> 00:53:53.522]  Provocative.
[00:53:53.942 --> 00:53:55.743]  And only because 10% are Alex.
[00:53:56.903 --> 00:54:00.024]  Now, man, I want to get on to this one.
[00:54:00.324 --> 00:54:02.565]  This one, the Sean Fitzgerald tragedy.
[00:54:03.903 --> 00:54:07.164]  Yeah, well just ignore it.
[00:54:07.184 --> 00:54:15.286]  I mean, I could tell that person was, and I appreciate your call, I gotta jump here, I could tell that person was mentally ill when I was getting the phone calls.
[00:54:16.086 --> 00:54:16.446]  Okay?
[00:54:16.827 --> 00:54:20.508]  And that's why I poo-pooed it on air and just said, you know, I think that guy's had some problems.
[00:54:21.268 --> 00:54:23.088]  And so I'm not involved in it, and that's the way it is.
[00:54:23.148 --> 00:54:26.569]  I have millions of listeners, we're gonna have schizophrenic listeners, and I feel sorry for them.
[00:54:27.149 --> 00:54:28.050]  God bless that family.
[00:54:28.270 --> 00:54:29.490]  Okay, let's go back to the full audience.
[00:54:35.816 --> 00:54:49.787]  What COINTELPRO does, we read the army manuals, the FBI manuals, they try to get us into controversies to argue about things that don't matter or side issues instead of getting the word out and reaching out to people and effecting change.
[00:54:50.868 --> 00:54:51.568]  That's what they want.
[00:54:52.229 --> 00:54:54.811]  And that's why I don't spend time in these diversions and distractions.
[00:54:57.213 --> 00:55:05.140]  You know, our guest is Mike Adams and I hope you'll check out healthranger.org and some of the other websites that he is affiliated with.
[00:55:05.481 --> 00:55:06.382]  Just a great guy.
[00:55:06.462 --> 00:55:12.107]  Books and videos and materials and audios, most of it free, up there on the site.
[00:55:12.367 --> 00:55:15.690]  And some of the books and videos he mentioned that he hasn't produced and put out.
[00:55:16.431 --> 00:55:20.753]  We sell at Infowars.com on the secure online video and bookstore shopping cart.
[00:55:21.274 --> 00:55:25.396]  So I hope you get Genetic Roulette and Siege of Destruction, the books and videos, because your life depends on it.
[00:55:25.836 --> 00:55:27.017]  It's very important information.
[00:55:27.037 --> 00:55:29.318]  That's why we have them heavily discounted on the website.
[00:55:30.239 --> 00:55:30.699]  You know what?
[00:55:30.779 --> 00:55:34.841]  I'm not going to take any more calls because we're just out of time and I'll be back live tomorrow.
[00:55:34.881 --> 00:55:37.963]  But in the three or four minutes we've got left, Mike, you've got the floor.
[00:55:38.343 --> 00:55:40.925]  Tell us about what you guys are up to, how folks can get involved.
[00:55:41.785 --> 00:55:48.869]  Millions of people visiting your sites, exponentially growing, and how people can protect themselves and their families.
[00:55:50.010 --> 00:55:51.691]  Well, thanks for that opportunity, Alex.
[00:55:51.771 --> 00:55:54.292]  Our main site is naturalnews.com.
[00:55:54.913 --> 00:55:57.514]  If you go there, you can sign up for the free email newsletter.
[00:55:58.095 --> 00:56:07.700]  We post breaking news several times a day, and we have a very people-powered or people-empowered point of view on this.
[00:56:09.707 --> 00:56:10.548]  We stand for freedom.
[00:56:10.628 --> 00:56:12.709]  We're against what the FDA is doing to America.
[00:56:12.749 --> 00:56:17.212]  We're against the exploitation of people by big companies, by big pharma.
[00:56:17.633 --> 00:56:19.354]  We're against genetically modified organisms.
[00:56:19.374 --> 00:56:24.237]  You know, we stand for truth and honesty and healing in medicine.
[00:56:24.497 --> 00:56:29.421]  And the big issue that's coming up next year, I think, is going to be what I call gunpoint medicine, Alex.
[00:56:30.241 --> 00:56:34.384]  And that's where they're going to start criminalizing people who say no to vaccines.
[00:56:34.404 --> 00:56:35.885]  They've already done it in some states.
[00:56:36.005 --> 00:56:37.006]  Maryland, for example.
[00:56:37.746 --> 00:56:38.347]  It's going to spread.
[00:56:39.119 --> 00:56:47.370]  And we're going to see people being arrested and having their children taken away from them because they are attempting to protect their children from these dangerous vaccines.
[00:56:47.471 --> 00:56:48.592]  And we've got to fight that, folks.
[00:56:49.013 --> 00:56:52.578]  We've got to stand up and demand real health freedoms, Ron Paul style.
[00:56:53.356 --> 00:56:54.256]  That's the only way we're going to get it.
[00:56:54.276 --> 00:56:59.159]  Well, I mean, in Maryland I had the state attorney on and he laughed and said, I don't give my children shots.
[00:56:59.199 --> 00:57:00.320]  And I said, it's not the law.
[00:57:00.400 --> 00:57:03.781]  You kick them out for being truant and then trigger those criminal charges.
[00:57:04.062 --> 00:57:05.342]  And he laughed at me on air.
[00:57:05.722 --> 00:57:06.403]  The arrogance.
[00:57:06.683 --> 00:57:13.847]  And they had police dogs out, 1,500 kids and their parents crying, saying, I don't want the shots being shot up and there's no law.
[00:57:14.687 --> 00:57:17.168]  I mean, then we... Line them up like cattle.
[00:57:21.122 --> 00:57:33.427]  It's literally a rounding up of human beings for the purposes of invading their bodies with dangerous chemicals that make money for Big Pharma and create future profits because of the way they harm these children.
[00:57:33.447 --> 00:57:35.627]  You've got to realize they're not just making money on the shot.
[00:57:36.348 --> 00:57:40.269]  They're making money on all the side effects and problems that are caused by the shots.
[00:57:41.903 --> 00:57:48.208]  Absolutely, and the compartmentalized doctors, they're not research physicians, they don't know, and they're like, how dare you attack me!
[00:57:48.508 --> 00:57:51.110]  But more and more they're finding out what's going on.
[00:57:51.150 --> 00:58:05.602]  It's like the head dentist, government official, I forget his name, I've had him on in Canada, who 20 years ago got them fluoridated, then he found out it wasn't calcium fluoride, it was deadly sodium fluoride, and under that name, all these other chemicals from toxic waste, and he said, let's get it out!
[00:58:06.182 --> 00:58:07.063]  I didn't know this!
[00:58:08.450 --> 00:58:11.252]  It's all a deception game out there in conventional medicine.
[00:58:11.392 --> 00:58:12.292]  Be informed, folks.
[00:58:12.492 --> 00:58:13.353]  Empower yourself.
[00:58:13.713 --> 00:58:14.414]  Save yourself.
[00:58:14.434 --> 00:58:15.054]  Save your family.
[00:58:15.254 --> 00:58:16.055]  It's all about to switch.
[00:58:16.075 --> 00:58:17.916]  We'll talk to you next Thursday, 1 to 3 p.m.
[00:58:18.276 --> 00:58:20.737]  Central, with Mike Adams, the health ranger.
[00:58:20.777 --> 00:58:23.519]  Fire out some of the other sites, Mike.
[00:58:23.599 --> 00:58:24.920]  Naturalnews.com.
[00:58:25.000 --> 00:58:25.821]  That's the main site.
[00:58:26.381 --> 00:58:27.782]  And we'll have articles there every day.
[00:58:28.282 --> 00:58:28.462]  All right.
[00:58:28.482 --> 00:58:29.883]  You're doing a super job.
[00:58:29.923 --> 00:58:32.424]  Look forward to the whole melamine baby formula.
[00:58:32.805 --> 00:58:33.585]  I know we're radical.
[00:58:33.645 --> 00:58:36.107]  Mommies should just give their babies milk, not out of a factory.
[00:58:36.407 --> 00:58:37.187]  Appreciate you, Mike.
[00:58:37.207 --> 00:58:37.908]  We'll talk to you soon.
[00:58:38.772 --> 00:58:39.172]  Thanks Alex.
[00:58:39.613 --> 00:58:40.314]  God bless you all.
[00:58:40.334 --> 00:58:42.256]  Get those videos at InfoWars.com.
[00:58:42.877 --> 00:58:44.418]  Get the book at InfoWars.com.
[00:58:44.458 --> 00:58:45.279]  Learn what's in your food.
[00:58:45.539 --> 00:58:48.823]  Rebroadcast starts now with all the big important guests we had on today on Key Info.
[00:58:49.083 --> 00:58:49.444]  Stay with us.
[00:58:49.664 --> 00:58:50.325]  InfoWars.com.
