[00:00:00.169 --> 00:00:01.729]  Wait and feel great!
[02:08:33.756 --> 02:08:34.136]  What is it?
[02:08:34.756 --> 02:08:38.258]  Obama, Barack H. Obama, the unauthorized biography.
[02:08:38.278 --> 02:08:43.781]  The unauthorized biography, kind of like your George Bush unauthorized biography, which is really a tradition.
[02:08:43.982 --> 02:08:45.142]  Let me just add one quick thing.
[02:08:45.162 --> 02:08:54.147]  You know, one person from the 9-11 truth movement who has, I think, completely understood the profound change, the phase change that we've gone through, is Phil Berg.
[02:08:54.608 --> 02:08:59.811]  And Phil Berg, I believe, will be at the Supreme Court here in Washington, the United States Supreme Court.
[02:09:00.351 --> 02:09:01.433]  Yeah, he's appealing it, right?
[02:09:17.612 --> 02:09:25.914]  Making him an illegal alien, and people who are concerned about illegal aliens, better start with this one, or it's going to be a lost cause any other way.
[02:09:26.634 --> 02:09:30.275]  So, Berg is waging a valiant struggle, and I urge people to support him.
[02:09:30.295 --> 02:09:36.236]  He's got a website called Obama Crimes, and you can go there and give him a contribution, encourage him.
[02:09:37.056 --> 02:09:39.757]  He's gotten tremendous media impact.
[02:09:39.797 --> 02:09:44.058]  He's got 70 to 80 million hits on this website in about two months.
[02:09:44.538 --> 02:10:02.946]  And this is an example of somebody who learned the lesson of 9-11, which is covert operations by the intelligence agencies designed to manipulate public opinion are bad, whether they're left cover, like Obama, or the right-wing racist war on terror stuff from 9-11.
[02:10:03.926 --> 02:10:07.768]  Not to get off on a tangent before we go into calls, but you just mentioned the
[02:10:08.644 --> 02:10:15.491]  Kenya's citizenship thing, do you think that's something that might come out after this man is already president and will, like, automatically amend the Constitution?
[02:10:16.071 --> 02:10:19.855]  No, I think there are a lot of things that are held over Obama's head for control.
[02:10:19.875 --> 02:10:32.047]  In other words, the whole Resco complex, the whole sewer and cesspool of corruption with Tony Resco, Nadhimi Aouchi, Al Samari, these characters from
[02:10:32.908 --> 02:10:35.490]  Well, from Chicago, but also from the Eastern Mediterranean.
[02:10:35.530 --> 02:10:38.712]  They're all Levantine Arabs.
[02:10:39.252 --> 02:10:42.455]  Obama's got these three convicted felons that are his godfathers.
[02:10:42.815 --> 02:10:47.958]  I'm sure that the feds could indict Obama at any time, but they're holding that over his head.
[02:10:47.998 --> 02:10:51.421]  If people are interested in Obama, the unauthorized biography,
[02:10:51.901 --> 02:10:56.764]  I do that in comparison to Harry S. Truman, who was controlled, among other things, in the same way.
[02:10:56.824 --> 02:11:01.007]  With Truman, it was the Pendergast machine in Missouri that he came out of.
[02:11:01.267 --> 02:11:07.210]  Truman could have been indicted at any point that the bankers decided that he wasn't obeying them.
[02:11:07.491 --> 02:11:08.951]  And Obama will be the same story.
[02:11:08.991 --> 02:11:18.037]  I'd rather think that the hope of the ruling elite is to keep the citizenship issue as yet another means to beat him over the head if he starts getting rambunctious in office.
[02:11:18.969 --> 02:11:19.870]  Alright, let's go to callers.
[02:11:19.910 --> 02:11:21.892]  Let's take Aaron in California.
[02:11:21.912 --> 02:11:22.692]  Aaron, are you with us?
[02:11:23.893 --> 02:11:25.315]  Yeah, hi Jason and Webster.
[02:11:25.355 --> 02:11:33.101]  I just wanted to talk about Michelle Obama when she gave that big speech where she was wearing that teal shirt of some type.
[02:11:33.381 --> 02:11:35.843]  Right smack in the middle of her shirt was a sun symbol.
[02:11:36.404 --> 02:11:40.267]  Sure enough, today on the Drudge Report, there's a picture of her from yesterday on
[02:11:42.051 --> 02:11:45.956]  Jay Leno or maybe a few days ago and sure enough she's got a sun symbol right on her shirt.
[02:11:45.976 --> 02:11:47.037]  I mean, is that a coincidence?
[02:11:47.077 --> 02:11:48.499]  Because I don't think so.
[02:11:48.699 --> 02:11:49.740]  Well, I'll say this.
[02:11:49.920 --> 02:11:50.661]  You know, I'll say this.
[02:11:50.681 --> 02:11:51.762]  You know, they're CFR.
[02:11:51.822 --> 02:11:53.124]  They're obviously globalists.
[02:11:53.444 --> 02:11:54.626]  They're obviously, you know...
[02:11:55.675 --> 02:11:56.876]  Social climbers as well.
[02:11:56.936 --> 02:11:57.897]  Are they into the occult?
[02:11:58.378 --> 02:11:58.778]  I don't know.
[02:11:58.858 --> 02:12:00.580]  I mean, I don't know if they go to Bohemian Grove.
[02:12:00.620 --> 02:12:03.202]  I don't know how seriously they would take that if they did.
[02:12:03.262 --> 02:12:06.185]  I haven't seen a whole lot of evidence, but it does follow suit.
[02:12:06.225 --> 02:12:10.409]  It does seem like a lot of the upper echelon elites do get into that sort of thing.
[02:12:10.469 --> 02:12:11.850]  So is it a possibility?
[02:12:12.090 --> 02:12:12.350]  Yes.
[02:12:12.791 --> 02:12:13.832]  Is it a probability?
[02:12:14.192 --> 02:12:16.054]  You know, let me weigh in with some more evidence.
[02:12:17.295 --> 02:12:23.838]  These people, this is the deployment of the trilateral Bilderberg-Rand Chicago School right now.
[02:12:23.858 --> 02:12:30.102]  In other words, this is what the trilaterals and Bilderbergers are doing right now in our time.
[02:12:30.122 --> 02:12:31.222]  It's not somebody else.
[02:12:31.282 --> 02:12:35.745]  It's not like they want McCain or Hillary Clinton or, you know, John Edwards.
[02:12:36.645 --> 02:12:37.366]  It's these people.
[02:12:37.746 --> 02:12:39.027]  They are the prime deployment.
[02:12:39.067 --> 02:12:45.230]  Now, that thing, I suppose that's the old Solon Victor Smithra from the Byzantine Empire.
[02:12:45.550 --> 02:12:48.692]  The other thing you've got to see about these people is the foundation milieu.
[02:12:48.712 --> 02:12:49.873]  I haven't talked about that enough.
[02:12:50.353 --> 02:12:53.415]  The mother of Obama worked for the Ford Foundation, top official.
[02:12:53.755 --> 02:12:55.976]  Obama's whole life is working for foundations.
[02:12:56.256 --> 02:12:59.418]  The Joyce, the Gamaliel, the Woods, the Annenberg.
[02:12:59.698 --> 02:13:05.602]  His friend, the weatherman, terrorist, bomber, killer, butcher, cop killer, Bill Ayers.
[02:13:06.523 --> 02:13:10.488]  You've got all sorts of money from the Annenberg Foundation, tens of millions of dollars.
[02:13:10.889 --> 02:13:18.258]  Bernadine Dorn, another weatherman, terrorist, butcher, cop killer, comes with money from the MacArthur Foundation.
[02:13:18.619 --> 02:13:19.460]  How does this happen?
[02:13:19.760 --> 02:13:24.326]  Well, my explanation is, having known these people, I knew them personally at least for
[02:13:24.326 --> 02:13:27.127]  From a distance in SDS 40 years ago.
[02:13:27.467 --> 02:13:28.968]  Those were always agents.
[02:13:29.068 --> 02:13:30.488]  They were always operatives.
[02:13:31.089 --> 02:13:34.970]  They were foundation-funded terrorists in the middle 1960s.
[02:13:35.570 --> 02:13:38.171]  And Obama has bought into this mentality.
[02:13:38.211 --> 02:13:43.353]  In other words, with Obama, you are in effect putting a weatherman terrorist into the White House.
[02:13:43.473 --> 02:13:46.614]  Or someone who thinks like a weatherman terrorist.
[02:13:46.654 --> 02:13:50.176]  Because as far as I can see, Bill Ayers is the guy's best friend.
[02:13:50.496 --> 02:13:53.517]  And that represents a very, very personal choice for him.
[02:13:54.397 --> 02:13:56.799]  Alright, let's jump to Daniel in California.
[02:13:56.879 --> 02:13:57.839]  Daniel, what's on your mind?
[02:13:59.820 --> 02:14:00.380]  You there, Daniel?
[02:14:01.401 --> 02:14:02.121]  Yes, Jason.
[02:14:02.341 --> 02:14:10.946]  I'm a first-time caller and I wanted to bring up the subject on why Obama supporters are so fervent over Obama.
[02:14:14.228 --> 02:14:19.751]  Basically, I've found a pretty plausible theory as to why that's the case.
[02:14:22.287 --> 02:14:28.775]  Basically, he uses hidden or covert hypnosis techniques in his speeches.
[02:14:30.497 --> 02:14:33.300]  Let me say this before we get into hypnosis and things like that.
[02:14:34.699 --> 02:14:36.881]  People orate and speak a certain way.
[02:14:36.921 --> 02:14:37.842]  They move their hands.
[02:14:38.062 --> 02:14:40.204]  There's a guy out in the UK that does a show.
[02:14:40.924 --> 02:14:42.345]  It's not David Blaine and stuff.
[02:14:42.385 --> 02:14:43.586]  His name is Darren Brown.
[02:14:43.646 --> 02:14:48.110]  It's more how the mind works, how you're able to plant certain words.
[02:14:48.851 --> 02:14:52.314]  So, you know, certain part of the brain activate to move a certain manner.
[02:14:52.534 --> 02:15:03.423]  And these people are especially, you know, agents that are recruited by intelligence organizations like the CIA and the NSA, when they're going to be speakers, are taught these techniques that are there
[02:15:03.983 --> 02:15:08.469]  To basically corral people, to convince them, to persuade them to do things.
[02:15:08.489 --> 02:15:09.470]  Isn't that correct, Webster?
[02:15:09.930 --> 02:15:10.151]  Yes.
[02:15:10.531 --> 02:15:14.015]  In particular, though, there's also the emotional need.
[02:15:14.055 --> 02:15:20.283]  In other words, when somebody joins what amounts to a fascist mass movement or a neo-fascist mass movement of the Obama type,
[02:15:20.965 --> 02:15:24.467]  They're doing this for the satisfaction of immediate emotional needs.
[02:15:24.547 --> 02:15:26.768]  In effect, they want to be duped.
[02:15:27.208 --> 02:15:37.073]  Part of it is the hatred for Bush, Cheney, and the neocons, which I can understand, which in some ways I share, has blinded people, and that's where you have to part company.
[02:15:37.113 --> 02:15:42.336]  They've lost all criteria of judgment, as long as you're something other than Bush, Cheney.
[02:15:42.616 --> 02:15:44.817]  There's also this question of alienation.
[02:15:45.378 --> 02:15:47.499]  The previous caller mentioned Michelle Obama.
[02:15:47.919 --> 02:15:54.447]  The centerpiece of Michelle Obama's speeches during the primaries was this stuff about our souls are broken.
[02:15:54.848 --> 02:15:56.490]  We all have broken souls.
[02:15:56.570 --> 02:16:04.580]  We need the healing touch of the beatific personality, the one, the Messiah, the Mahdi, Barack Obama.
[02:16:05.821 --> 02:16:16.790]  There's a passage in Mein Kampf by Hitler where he talks about the fact that if you're a worker and you're in your factory, you're living an alienated life where nothing really belongs to you emotionally.
[02:16:17.010 --> 02:16:24.197]  But if you go to a National Socialist Rally, then you feel fulfilled nationally, racially, and in all these other ways.
[02:16:24.457 --> 02:16:28.280]  And there's a very similar dynamic in these Obama mass meetings, right?
[02:16:29.261 --> 02:16:31.664]  He prefers stadiums.
[02:16:31.704 --> 02:16:33.847]  He prefers large crowds.
[02:16:33.907 --> 02:16:35.088]  Again, read Mein Kampf.
[02:16:35.108 --> 02:16:39.453]  Hitler says, the bigger the crowd, the more easy it is to control.
[02:16:39.473 --> 02:16:45.160]  The more people that are there, the more you can brainwash them, and the more undifferentiated.
[02:16:45.180 --> 02:16:47.223]  In other words, what you want is the massy mass.
[02:16:47.723 --> 02:16:52.707]  Not people who are there as consumers, or workers, or housewives, but just the mass.
[02:16:53.027 --> 02:17:08.099]  And when you've got the mass, especially at night, he says, at night is better because people are more irrational, then you can get them in the palm of your hand, and you're not convincing them with arguments, you're convincing them with an emotional experience which is irrefutable.
[02:17:08.139 --> 02:17:12.442]  Yeah, like the hive-like mentality of being around all these things and just going with the flow.
[02:17:12.742 --> 02:17:14.223]  Yeah, but it's dangerous.
[02:17:14.243 --> 02:17:24.066]  When you get a mass movement of this sort under depression conditions, after all the tremendous damage done to the society by Bush and Cheney, this is where it gets really, really scary.
[02:17:24.326 --> 02:17:26.447]  What we need is some time to build an alternative.
[02:17:26.487 --> 02:17:28.527]  Right now, there's tremendous confusion.
[02:17:29.708 --> 02:17:31.968]  People say, oh, I want the Austrian school.
[02:17:32.328 --> 02:17:33.549]  I want the free market.
[02:17:34.289 --> 02:17:35.890]  This is impossible in a depression.
[02:17:35.950 --> 02:17:36.850]  I advocate
[02:17:37.330 --> 02:17:39.491]  Well, you were just talking about schools of philosophy.
[02:18:04.657 --> 02:18:07.679]  Just gotta ask you, have you seen the Zeitgeist Addendum yet?
[02:18:08.440 --> 02:18:15.524]  I'm not interested in this stuff because of this vulgar attack on religion, which I think is just useless and pointless.
[02:18:15.784 --> 02:18:25.231]  You gotta remember, the British intelligence is running a huge attack on Christianity, with Christopher Hitchens, with this awful Darwinian character, Dawkins.
[02:18:25.391 --> 02:18:27.112]  Yeah, Dawkins, the god of delusion.
[02:18:29.153 --> 02:18:32.277]  I mean, just the most... Well, there's some counter stuff out there, too.
[02:18:32.477 --> 02:18:38.084]  Ben Stein just put out a movie called Expelled, the case for intelligent design, where he takes Dawkins and others on pretty hardcore.
[02:18:38.104 --> 02:18:40.087]  He talks about social Darwinism.
[02:18:40.107 --> 02:18:41.809]  Yeah, yeah.
[02:18:41.869 --> 02:18:42.570]  Here's the problem.
[02:18:44.672 --> 02:18:59.982]  The problem with Darwin, and the problem with Malthus, and anybody who follows them, is that it assumes that the universe is entirely random, and that it's a matter of indifference whether there's development or higher energy states, or whether there's not.
[02:19:00.062 --> 02:19:12.851]  So, therefore, Darwin has to assume that all the progress in evolution, which undoubtedly is there, there's no doubt about evolution, and the progress towards humanity from lower life forms, that's all clear.
[02:19:13.291 --> 02:19:15.553]  But he says this is the blind watchmaker.
[02:19:15.813 --> 02:19:21.196]  This is all a matter of just chance, interaction, and it could happen or it could not happen.
[02:19:21.256 --> 02:19:22.477]  No, it's wrong.
[02:19:22.737 --> 02:19:26.660]  The Darwinian-Malthusian universe is not the universe that you see.
[02:19:26.980 --> 02:19:29.942]  The universe that you see is a Gottfried Wilhelm Leibniz.
[02:19:30.302 --> 02:19:32.843]  We're gonna be back after this with more calls.
[02:19:32.963 --> 02:19:36.824]  It's the Alex Jones Show with Infowars.com and PrisonPlanet.com.
[02:20:02.490 --> 02:20:04.331]  Heart disease is on the rise.
[02:20:04.471 --> 02:20:11.152]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[02:20:11.412 --> 02:20:19.594]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[02:20:19.814 --> 02:20:25.536]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[02:20:25.956 --> 02:20:27.497]  My blood pressure has normalized.
[02:20:27.557 --> 02:20:29.718]  My diabetes has totally improved.
[02:20:29.838 --> 02:20:34.120]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[02:20:34.281 --> 02:20:36.382]  I recommend Heart and Body Extract to everyone.
[02:20:36.502 --> 02:20:44.246]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[02:20:44.446 --> 02:20:48.329]  Order your two-month supply today by calling 866-295-5305.
[02:20:48.629 --> 02:20:52.352]  That's 866-295-5305.
[02:20:52.532 --> 02:20:55.354]  Or order online at hbextract.com.
[02:20:55.554 --> 02:20:57.676]  Heart and body extract, 866-295-5305.
[02:20:57.816 --> 02:21:01.559]  Or hbextract.com.
[02:21:02.259 --> 02:21:08.564]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[02:21:08.904 --> 02:21:10.646]  The enemy struck America on September 11th.
[02:21:11.526 --> 02:21:12.568]  But who is the enemy?
[02:21:13.068 --> 02:21:13.609]  Bin Laden.
[02:21:13.869 --> 02:21:14.690]  This is his MO.
[02:21:14.750 --> 02:21:16.232]  We have to look to the Middle East.
[02:21:16.252 --> 02:21:17.913]  We have to look to Osama Bin Laden.
[02:21:18.234 --> 02:21:24.981]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[02:21:25.382 --> 02:21:25.842]  Some U.S.
[02:21:25.882 --> 02:21:31.529]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[02:21:32.209 --> 02:21:35.691]  I'm aware that some Israeli citizens have been detained.
[02:21:35.711 --> 02:21:38.512]  Either you are with us, or you are with the terrorists.
[02:22:02.921 --> 02:22:04.881]  Holidays are right around the corner.
[02:22:05.162 --> 02:22:12.403]  The crowds, the countless hours in traffic, finding a parking spot just to buy a gift you're worried they might not like anyway.
[02:22:12.683 --> 02:22:17.444]  How about surprising your loved ones with a gift they can use every day of the year?
[02:22:17.745 --> 02:22:21.985]  Give the gift of safety with security products from Pepperspray.com.
[02:22:22.146 --> 02:22:28.207]  Pepperspray.com carries the largest assortment of pepper spray and other personal safety devices on the web.
[02:22:28.447 --> 02:22:31.650]  For your spouse, your children, your co-workers, and more!
[02:22:31.890 --> 02:22:39.616]  When you purchase the perfect gift from Pepperspray.com, you'll receive 10% off just by using the coupon code GCN.
[02:22:39.977 --> 02:22:46.322]  What better way to say Merry Christmas than giving the priceless gift of safety and security from Pepperspray.com?
[02:22:46.342 --> 02:22:46.843]  Shop now!
[02:22:47.463 --> 02:22:48.044]  That's right.
[02:23:02.671 --> 02:23:06.152]  Attention, this is an extremely urgent self-reliant news bulletin.
[02:23:06.492 --> 02:23:12.933]  If you have ever wanted to produce your own cheaper-than-dirt survival food, this is going to be the most important message you will ever hear.
[02:23:13.593 --> 02:23:14.354]  Here is why.
[02:23:15.034 --> 02:23:24.956]  This network has just learned of a new video course that reveals the secrets of how to safely prepare and store all types of survival foods in an event of social unrest and food shortages here in the U.S.
[02:23:25.496 --> 02:23:27.878]  Grain shortages and hunger are spreading across the globe.
[02:23:28.238 --> 02:23:30.319]  Will troops guard the food supplies in the U.S.
[02:23:30.339 --> 02:23:30.859]  this fall?
[02:23:31.320 --> 02:23:31.840]  Don't wait.
[02:23:32.180 --> 02:23:35.902]  Learn the food shortage skills that can keep you and your family alive in a crisis.
[02:23:36.022 --> 02:23:39.044]  Get the details at foodshortageusa.com.
[02:23:39.545 --> 02:23:41.686]  That's foodshortageusa.com.
[02:23:42.246 --> 02:23:43.507]  Or you can call toll-free 877-327-0365.
[02:23:43.527 --> 02:23:44.428]  Don't wait for empty shelves.
[02:23:48.730 --> 02:23:51.996]  Go to FoodShortageUSA.com while you still have time.
[02:23:52.597 --> 02:23:56.805]  www.FoodShortageUSA.com or toll free at 877-327-0365.
[02:23:56.845 --> 02:23:57.185]  Act now!
[02:24:17.557 --> 02:24:18.618]  It's the Alex Jones Show.
[02:24:18.638 --> 02:24:19.819]  I'm Jason Bermas subbing in.
[02:24:19.999 --> 02:24:23.622]  You can, uh, check out my stuff over at loosechange911.com.
[02:24:23.682 --> 02:24:30.647]  You can go to myspace.com slash Jason Bermas and befriend me and, uh, email me stuff.
[02:24:30.687 --> 02:24:31.528]  I don't get everything.
[02:24:31.608 --> 02:24:32.349]  I am a human being.
[02:24:32.409 --> 02:24:33.269]  I do make mistakes.
[02:24:33.370 --> 02:24:37.953]  I am imperfect, but I do put out some good products, I think, and I think Fabled Enemies is one of them.
[02:24:37.973 --> 02:24:40.415]  It really goes into the intelligence ties behind 9-11.
[02:24:40.715 --> 02:24:41.276]  It really lets you
[02:24:42.046 --> 02:24:46.951]  Understand this international intelligence cartel, so I encourage people to grab that right now.
[02:24:46.991 --> 02:24:48.492]  We're finishing up with Webster Tarley.
[02:24:48.512 --> 02:24:49.473]  We've talked the bailout.
[02:24:49.493 --> 02:24:54.157]  We've talked Obama, the postmodern coup, the new Obama unauthorized biography.
[02:24:54.177 --> 02:24:56.820]  You can get that over at Amazon.com and we're taking your calls.
[02:24:57.200 --> 02:24:59.502]  So let's jump to Kevin in Boston.
[02:24:59.542 --> 02:25:00.383]  Kevin, what's on your mind?
[02:25:01.247 --> 02:25:03.229]  Thank you, Jason, for taking my call.
[02:25:03.530 --> 02:25:18.187]  Webster, I respect your research and the books, and I agree with you that we want no Obama, punish those who voted for the bailout, and no to fascism, but I think the suggestion that by voting for McCain is going to be anything but Obama is just
[02:25:18.767 --> 02:25:26.553]  Falling into the false left-right dialectic, you know, of paradigm, left-right paradigm, that both candidates are puppets of the New World Order.
[02:25:26.793 --> 02:25:36.420]  Chuck Baldwin, whether he gets in or gets not, at least you're voting for something that's not going to be more the same, where there is no, Obama is going to be defeated and that's going to be a difference.
[02:25:36.440 --> 02:25:37.301]  They're going to be the same.
[02:25:38.001 --> 02:25:40.323]  The idea that the big deal, that the New Deal worked,
[02:25:40.943 --> 02:25:43.706]  As an answer to the economic problems in the past, I think it's a fallacy.
[02:25:44.046 --> 02:25:49.351]  If we just simply end the Fed and stop being interested for use of our own money, that that would be an answer.
[02:25:49.671 --> 02:25:56.637]  And I think there's a book Dan Hopsicker wrote called Barry and the Boys, the CIA, the Mob, and America's Secret History.
[02:25:56.658 --> 02:25:58.039]  It had a picture on the photo.
[02:25:58.559 --> 02:25:59.120]  We're good to go.
[02:26:14.996 --> 02:26:31.418]  These people connect to Clintons and the Bushes right up through... Your point, sir, is that this thing continues, that this leviathan has been around for, you know, 30 or 40 years at least, at least this wanta of the Bush regime and this shadow government continuity of government program, and you don't think it's going to end, right?
[02:26:31.858 --> 02:26:38.124]  Yeah, to say no Obama, anything Obama, as if that is any sort of an answer, misses the point of all this research.
[02:26:38.144 --> 02:26:39.405]  Alright, Kevin, it's a good call.
[02:26:39.445 --> 02:26:40.966]  I gotta give him a chance to respond.
[02:26:41.046 --> 02:26:44.409]  There's something of a counter-movement inside the Democratic Party.
[02:26:44.449 --> 02:26:45.110]  It's the Puma.
[02:26:45.610 --> 02:26:46.631]  The Puma Democrats.
[02:26:46.671 --> 02:26:50.174]  You can go to Puma's Unleashed, just say no deal.
[02:26:50.654 --> 02:26:52.156]  There's a whole complex of sites.
[02:26:52.196 --> 02:26:54.458]  They vary in political quality, quite obviously.
[02:26:54.978 --> 02:27:05.585]  But it is essentially the backlash out of the Democratic Party against the Obama-Howard Dean seizure of power, and one of the benefits here is that there's an openness to New Deal.
[02:27:05.705 --> 02:27:10.968]  Now, this candidate that you've mentioned, the problem there of course is
[02:27:11.448 --> 02:27:16.130]  That this is pure, reactionary, Republican, Herbert Hoover economics.
[02:27:16.190 --> 02:27:22.072]  This is the kind of thinking that made the Great Depression as deep and as destructive as it was.
[02:27:22.152 --> 02:27:26.313]  There is no debate, really, about what effective economics are.
[02:27:26.453 --> 02:27:27.714]  It's New Deal economics.
[02:27:27.794 --> 02:27:31.635]  If you're in a depression, you better get New Deal economics up and down the line.
[02:27:31.655 --> 02:27:34.116]  That would be... But let's get beyond that, because we only have a couple minutes.
[02:27:34.156 --> 02:27:39.778]  I want to know what you think about his power structure comment, that these guys have really... I think this is misleading.
[02:27:39.818 --> 02:27:40.258]  In other words,
[02:27:40.598 --> 02:27:44.560]  It's clear that Wall Street has a very strong, decided preference.
[02:27:44.900 --> 02:27:47.761]  If you don't know that Wall Street's the enemy, that's a problem.
[02:27:47.801 --> 02:27:50.602]  A lot of libertarians think that government is their main enemy.
[02:27:50.882 --> 02:27:52.282]  I think that's extremely foolish.
[02:27:52.723 --> 02:27:54.883]  Government is dominated by Wall Street.
[02:27:55.224 --> 02:28:00.365]  If you look at somebody like Greenspan, is that the Federal Reserve is an independent power?
[02:28:02.146 --> 02:28:07.651]  In essence, their operational arm, their think tank arm, where a lot of their ideas come down to.
[02:28:08.051 --> 02:28:18.920]  A lot of this is people looking for reasons not to mobilize, essentially to do nothing, and to say, well, I'll just vote for this one third-party candidate and leave it at that.
[02:28:18.980 --> 02:28:24.204]  That's really choosing, I think, a very facile way out of it.
[02:28:24.344 --> 02:28:25.785]  All right, well, let's certainly take another call then.
[02:28:25.805 --> 02:28:27.506]  All right, let's jump to John in Ohio.
[02:28:27.526 --> 02:28:28.267]  John, what's on your mind?
[02:28:30.850 --> 02:28:33.834]  Yes, I agree with very much of what Rev.
[02:28:33.934 --> 02:28:35.375]  Tarpley is saying.
[02:28:35.395 --> 02:28:37.017]  I really appreciate it.
[02:28:37.077 --> 02:28:47.570]  But I think my approach would be that we have to show the overlap between these neocon fascists to the Bush-Cheney group, the McCain group.
[02:28:48.190 --> 02:28:58.820]  And the Obama, because I think if I'm going to vote for somebody it's going to be from a genuine left, a WSWS.org or a workers org type of real left point of view.
[02:28:59.761 --> 02:29:08.008]  The fake left has been the favorite of the CIA all the way back to the Vietnam War, where they preferred to have a fake liberal cover.
[02:29:08.548 --> 02:29:14.752]  On right-wing propaganda, anti-communist, pro-war, Vietnam War propaganda.
[02:29:14.952 --> 02:29:28.401]  What I'd like to say, though, is I think we can show the overlap between, and compare Obama's reality, he is every bit as much of a warmonger and then some as Bush and Cheney around the world.
[02:29:28.441 --> 02:29:29.361]  I gotta let you go, John.
[02:29:29.401 --> 02:29:30.162]  I gotta let you go.
[02:29:30.262 --> 02:29:30.902]  Finish up, Webster.
[02:29:30.922 --> 02:29:32.023]  I got about 20 seconds.
[02:29:32.103 --> 02:29:36.466]  In other words, the new group around Brzezinski and Soros is worse.
[02:29:37.126 --> 02:29:40.749]  Because the neocons have the elementary cunning of a bully.
[02:29:40.809 --> 02:29:42.250]  Pick on defenseless countries.
[02:29:42.710 --> 02:29:44.151]  With Brzezinski, you don't have that.
[02:29:44.171 --> 02:29:45.792]  He's picking on Russia and China.
[02:29:46.133 --> 02:29:49.015]  He's picking on states that have... Alright, Webster, I gotta jump.
[02:29:49.095 --> 02:29:49.635]  I gotta jump.
[02:29:49.675 --> 02:29:51.116]  Thank you so much for joining us.
[02:29:51.396 --> 02:29:53.458]  Obama... We're on the march.
[02:29:53.938 --> 02:29:55.539]  The empire's on the run.
[02:29:56.440 --> 02:29:59.122]  Alex Jones and the GCN Radio Network.
[02:30:02.316 --> 02:30:07.620]  What will you do when the economy collapses, store shelves are empty, and your stored food is gone?
[02:30:07.780 --> 02:30:09.481]  How will you feed your family?
[02:30:09.621 --> 02:30:16.786]  True self-sufficiency and peace of mind is being able to grow a wide range of crops, ensuring a well-balanced diet for your family.
[02:30:16.966 --> 02:30:24.311]  GetSeeds.net is offering 100 different varieties of GM-free vegetable seeds for only $49 with free shipping.
[02:30:24.431 --> 02:30:26.772]  You get over 14,000 seeds for only $49.
[02:30:27.993 --> 02:30:32.016]  We offer a complete range of seeds, including heirloom tomatoes, old-fashioned beans,
[02:30:32.176 --> 02:30:32.796]  I think so.
[02:31:02.216 --> 02:31:04.238]  May I have everybody's attention, please?
[02:31:05.179 --> 02:31:07.781]  I've come with a message of information.
[02:31:07.801 --> 02:31:08.982]  9-11 was an inside job.
[02:31:09.062 --> 02:31:10.583]  Do you like being a puppet, sir?
[02:31:10.623 --> 02:31:12.205]  Do you like being a puppet for the New World Order?
[02:31:12.285 --> 02:31:15.127]  How do the American people know that 9-11 was a stage?
[02:31:15.187 --> 02:31:19.311]  Was it engineered by you, David Rockefeller, the Trilateral Commission, the CFR?
[02:31:24.702 --> 02:31:28.444]  We have allowed the seeds of despotism to grow at our own door.
[02:31:28.484 --> 02:31:33.786]  Seven years after the attacks of September 11th, a global awakening has taken place.
[02:31:34.606 --> 02:31:35.787]  An inside job?
[02:31:37.128 --> 02:31:39.429]  How dare you?
[02:31:39.589 --> 02:31:44.671]  If you know that there's treason going on, you can be held accountable for treason yourself.
[02:31:44.811 --> 02:31:47.472]  All hell is breaking loose on 6th Avenue.
[02:31:47.552 --> 02:31:51.834]  And if the government has not told the truth, in five years we will be here on the 10th
[02:31:52.950 --> 02:31:53.650]  Truth Rises.
[02:31:53.690 --> 02:31:56.612]  Download the film at PrisonPlanet.tv right now.
[02:31:56.852 --> 02:31:58.873]  Or get the DVD at Infowars.com.
[02:31:59.093 --> 02:32:01.654]  It's now time to take the revolution to the next level.
[02:32:01.974 --> 02:32:10.998]  Did you know that it's a documented fact 80% of all Americans and 85% of people around the world suffer from internal parasites and parasitic infections?
[02:32:11.238 --> 02:32:19.266]  You may be one of millions of people suffering from one of dozens of debilitating chronic diseases from these parasites, and your doctor would never know it.
[02:32:19.406 --> 02:32:23.931]  In fact, clinically detected parasites account for only 1% of all cases.
[02:32:24.011 --> 02:32:26.633]  Don't continue to suffer from pain due to misdiagnosis.
[02:32:26.773 --> 02:32:35.622]  Now you can fight internal parasites, heavy metal poisoning, and high cholesterol naturally and safely by mixing fossilized phytoplankton powder, also known as
[02:32:35.762 --> 02:32:36.462]  I think so.
[02:33:02.907 --> 02:33:04.152]  Big John!
[02:33:04.173 --> 02:33:05.016]  Big John!
[02:33:08.977 --> 02:33:23.500]  Alright folks, we're back at the Alex Jones Show.
[02:33:23.560 --> 02:33:26.200]  I'm Jason Bermas and I keep my promises.
