[00:00:13.279 --> 00:00:14.099]  All right, folks!
[00:46:10.916 --> 00:46:11.236]  No, no, no.
[00:46:11.276 --> 00:46:13.458]  This is absolutely the Alex Jones Show.
[00:46:13.478 --> 00:46:14.599]  I'm just subbing in for the week.
[00:46:14.619 --> 00:46:16.861]  And I'm not even one of the We Are Changers.
[00:46:16.901 --> 00:46:18.722]  I'm one of the guys that put together a loose change.
[00:46:18.782 --> 00:46:22.385]  But I love the We Are Change guys, and we had a couple of them on today.
[00:46:23.331 --> 00:46:29.094]  Yeah, I think it's a... it's a... Foxy Moore and the guys over at the Liberty Bell preaching the Bible and they're arresting him.
[00:46:29.474 --> 00:46:31.415]  That's where our country's heading.
[00:46:31.735 --> 00:46:32.355]  Yeah, absolutely.
[00:46:32.375 --> 00:46:34.456]  Well, you know, there is no free speech in this country.
[00:46:34.496 --> 00:46:36.517]  You know, we don't even have a Fourth Amendment, apparently.
[00:46:36.537 --> 00:46:39.198]  We're not freeing our persons and property anymore.
[00:46:39.238 --> 00:46:41.279]  It's just another tale of the police state.
[00:46:41.299 --> 00:46:42.459]  I thank you for the call, Kyle.
[00:46:43.020 --> 00:46:45.961]  Let's go to Renee in North Carolina.
[00:46:46.001 --> 00:46:46.721]  Renee, are you with us?
[00:46:48.002 --> 00:46:48.542]  Hello!
[00:46:48.582 --> 00:46:49.743]  You're doing a great job, Jason.
[00:46:50.003 --> 00:46:50.443]  Well, thank you.
[00:46:51.749 --> 00:47:10.843]  I try to engage public officials, mayor's office, police department or whatever in conversation wherever I can and I'll tell you they must have huge jars of blue pills from the matrix in all government offices because I'd rather reason with a drunk
[00:47:15.137 --> 00:47:21.282]  Well, they are often drunks and drug addicts, but that's besides the point.
[00:47:21.302 --> 00:47:22.203]  That's absolutely true.
[00:47:22.223 --> 00:47:23.144]  Well, you know what you need to do?
[00:47:23.184 --> 00:47:25.886]  You need to say, if you're going to keep ignoring me, I'm taking your job.
[00:47:26.146 --> 00:47:36.815]  I mean, that's what Ventura did, and I know that that's not an easy thing to do, and it's a big commitment, and a lot of us have lives outside of this, and we have jobs, and we have people to take care of, but if they're going to keep ignoring you,
[00:47:37.702 --> 00:47:48.727]  Yeah, you have to say, well you know what, I'm from this district too, and I know you've had this cushy job, you've been in this position, elected five or six times, I think it's time for a change, because I'm going to do something about these issues.
[00:47:49.108 --> 00:47:55.171]  And if we had people all throughout the country that wanted to do that, you know, problems might be fixed tomorrow.
[00:47:55.591 --> 00:48:00.353]  It's going to be a long road, because people just aren't convinced that they have the power to win that type of an election.
[00:48:00.713 --> 00:48:06.316]  But you know, I encourage you to keep trying to inform them, it's just, unfortunately you're right, it often falls on deaf ears, doesn't it?
[00:48:06.912 --> 00:48:13.236]  Well yeah, because everybody wants to feel good about themselves, even if they have to lie to themselves to do it.
[00:48:13.576 --> 00:48:19.899]  And basically these people's job is being overseer on the government plantation.
[00:48:20.140 --> 00:48:28.304]  And nobody wants to really know that they're taking money to be the overseer on the plantation.
[00:48:28.624 --> 00:48:29.545]  Who wants to do that?
[00:48:29.845 --> 00:48:33.007]  So they're more than happy to take the blue pill
[00:48:33.627 --> 00:48:41.391]  So they can be happily delusional, believing they're really good guys, and believing what they want to believe.
[00:48:41.711 --> 00:48:43.192]  Yeah, we all have our own realities.
[00:48:43.252 --> 00:48:44.272]  I've got to agree with you there.
[00:48:44.352 --> 00:48:51.676]  And people often prop themselves up as more important than others and put themselves in authority positions to feel that power.
[00:48:51.976 --> 00:48:54.177]  And that's who gravitates to these things mostly.
[00:48:54.217 --> 00:48:57.899]  And again, that's why we need to become the local government.
[00:48:57.939 --> 00:49:00.160]  And then hopefully, you know, the federal government.
[00:49:00.260 --> 00:49:02.922]  A for-and-by-the-people establishment.
[00:49:03.362 --> 00:49:05.464]  Like we tried, you know, in the 1700s.
[00:49:05.725 --> 00:49:06.526]  I thank you for the call.
[00:49:06.566 --> 00:49:06.986]  Think about it.
[00:49:07.046 --> 00:49:08.228]  A government formed by the people.
[00:49:08.888 --> 00:49:09.549]  One more time.
[00:49:10.550 --> 00:49:12.512]  Together again for the very first time, folks.
[00:49:12.633 --> 00:49:13.273]  Us and liberty.
[00:49:13.814 --> 00:49:14.695]  Us and the Constitution.
[00:49:14.915 --> 00:49:15.596]  I dream of it!
[00:49:16.377 --> 00:49:17.017]  I dream of it!
[00:49:17.778 --> 00:49:19.440]  Alright, let's go to Arthur in Kansas.
[00:49:19.500 --> 00:49:20.101]  Arthur, are you there?
[00:49:20.561 --> 00:49:21.342]  Hello, Jason.
[00:49:21.422 --> 00:49:21.843]  How you doing?
[00:49:22.678 --> 00:49:30.022]  I'm wondering if anybody could check out Michael Reagan's birth family for insanity.
[00:49:30.522 --> 00:49:31.563]  We'd have to dig into that.
[00:49:31.623 --> 00:49:32.683]  I think that's a good idea.
[00:49:32.703 --> 00:49:33.904]  Let's get to the family tree.
[00:49:34.244 --> 00:49:35.545]  Maybe he has some kind of defection.
[00:49:36.025 --> 00:49:37.346]  Or what about DNA?
[00:49:38.046 --> 00:49:39.047]  You know what?
[00:49:39.167 --> 00:49:44.489]  I gotta say though, I don't think his birth mother and father can be held accountable.
[00:49:44.529 --> 00:49:47.531]  I think it's probably the Reagan brainwashing.
[00:49:47.771 --> 00:49:51.373]  I think it's probably, again, this kid, he's not a kid, but when he was a kid I'm sure
[00:50:01.927 --> 00:50:03.648]  Sorry, I lost you there for a second.
[00:50:03.708 --> 00:50:07.849]  I don't know what's going on here, but that's the second time I've had that happen, and thank God it's almost the end of the show.
[00:50:08.229 --> 00:50:10.370]  I just said it could be in the gene someplace.
[00:50:10.730 --> 00:50:16.093]  You know, I gotta say that I think this one, in nature versus nurture, this one is nurture.
[00:50:17.674 --> 00:50:19.475]  And, uh, I just don't know.
[00:50:19.515 --> 00:50:21.377]  I mean, I think it's the environment.
[00:50:21.417 --> 00:50:24.380]  This kid probably grew up spoiled, raw, and above the law.
[00:50:24.840 --> 00:50:28.103]  Had access like you wouldn't believe to just about everybody, I'm sure.
[00:50:28.404 --> 00:50:30.305]  He's met a ton of celebrities in his day.
[00:50:30.546 --> 00:50:33.448]  He's just not in... He's in a delusional mindset.
[00:50:33.468 --> 00:50:35.310]  He's probably on a payroll somewhere, Arthur.
[00:50:35.410 --> 00:50:36.371]  I thank you for the call.
[00:50:36.792 --> 00:50:38.593]  We're gonna take your calls at the very end here.
[00:50:38.613 --> 00:50:40.195]  It's the Alex Jones Show.
[00:50:40.215 --> 00:50:41.136]  We'll be back after this.
[00:50:59.730 --> 00:51:03.973]  With the hot and muggy season upon us, most people shut their windows to stay cool.
[00:51:04.293 --> 00:51:08.796]  The problem is, the air you breathe inside your home is not as clean as outdoor air.
[00:51:09.096 --> 00:51:13.939]  And who wants an ugly, plastic, noisy air purifier taking up space in their beautiful home?
[00:51:14.340 --> 00:51:16.021]  Well, there is an alternative.
[00:51:16.201 --> 00:51:19.063]  Himalayan Crystal Salt Lamps from Ionic Salt.
[00:51:19.423 --> 00:51:22.545]  These lamps are handmade from the most prized salts on the planet.
[00:51:22.725 --> 00:51:26.768]  With so many various lamps to choose from, your home will look good and you'll feel great.
[00:51:27.048 --> 00:51:32.772]  Visit IonicSalts.com today to see for yourself the true beauty of Himalayan Crystal Salt Lamps.
[00:51:32.972 --> 00:51:39.076]  Ionic Salts also carries Gourmet Table Salts and a wide variety of Bath Salts for even more relaxation.
[00:51:39.336 --> 00:51:44.919]  Ionic Salts provides free shipping along with a 15% discount on orders of $100 or more.
[00:51:45.140 --> 00:51:50.083]  Offered exclusively to GCN listeners by entering coupon code GCN.
[00:51:50.203 --> 00:51:51.864]  Visit IonicSalts.com.
[00:51:51.944 --> 00:51:55.586]  That's I-O-N-I-C-Salts.com.
[00:51:55.766 --> 00:51:56.507]  Ionic Salts.
[00:51:56.827 --> 00:51:58.769]  See the beauty, breathe the difference.
[00:51:59.809 --> 00:52:02.331]  Terror Storm, a history of government-sponsored terror.
[00:52:02.672 --> 00:52:03.932]  Loose Change, Final Cut.
[00:52:04.233 --> 00:52:06.214]  Endgame, Blueprint for Global Enslavement.
[00:52:06.374 --> 00:52:08.136]  The True Story of the Bilderberg Group.
[00:52:08.276 --> 00:52:09.517]  The Late Great USA.
[00:52:09.757 --> 00:52:11.178]  America, Freedom to Fascism.
[00:52:11.538 --> 00:52:18.363]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[00:52:18.563 --> 00:52:22.486]  When you visit prisonplanet.com, you can connect to our amazing online store.
[00:52:22.626 --> 00:52:26.009]  Whether you're looking for survival and wellness products like Berkey water filters,
[00:52:26.309 --> 00:52:26.789]  We're good to go.
[00:52:46.321 --> 00:52:56.565]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now at truthnews.us and prisonplanet.tv.
[00:52:56.925 --> 00:52:58.386]  Join the info war today!
[00:53:02.534 --> 00:53:03.194]  We're good to go.
[00:53:25.123 --> 00:53:29.146]  They are called Illuminati, elite, proponents of the New World Order.
[00:53:29.527 --> 00:53:31.989]  They oppose everything that is God and truth.
[00:53:32.309 --> 00:53:35.532]  They are of the line that was disinherited two thousand years ago.
[00:53:35.872 --> 00:53:40.736]  Everything they have built over the centuries, the wealth they have accumulated, the power they have established,
[00:53:40.996 --> 00:53:48.422]  The poisoning of the masses, the destruction of the earth and mankind, we will undo through the authority that has now been delegated to us.
[00:53:48.862 --> 00:53:52.385]  Visit our website at unveilingthem.com.
[00:53:52.585 --> 00:53:56.588]  That's U-N-V-E-I-L-I-N-G them dot com.
[00:53:56.888 --> 00:53:58.209]  The message of his kingdom.
[00:54:02.932 --> 00:54:04.554]  Oh man, I want to listen to this tune.
[00:54:05.494 --> 00:54:07.756]  But I can't because we got some breaking news.
[00:54:08.176 --> 00:54:10.058]  Another victory for the Republic, folks!
[00:54:11.767 --> 00:54:14.890]  Oklahoma has declared its sovereignty.
[00:54:15.270 --> 00:54:17.952]  That's right, it's broken away from the federal government.
[00:54:18.993 --> 00:54:20.515]  Introduced by a Republican.
[00:54:21.235 --> 00:54:21.636]  Okay?
[00:54:22.509 --> 00:54:34.833]  Charles Key, the Republican state representative who authored the resolution, told WND that he introduced it because he believes the federal government's overstepping its bounds has put our constitutional form of government in danger.
[00:54:35.173 --> 00:54:43.556]  The more we stand by and watch the federal government get involved in areas where it has no legal authority, we kill the Constitution a little at a time, he said.
[00:54:43.976 --> 00:54:48.337]  The last few decades, the Constitution has been hanging by a thread.
[00:54:48.557 --> 00:54:49.457]  Folks, this past 92 to 3,
[00:54:51.278 --> 00:54:53.379]  Okay, we're going to lead with this story tomorrow.
[00:54:53.399 --> 00:54:55.399]  92-3.
[00:54:55.439 --> 00:54:58.020]  Think about that.
[00:54:59.641 --> 00:55:01.582]  I mean, it's not, it's not, it's not funny!
[00:55:02.142 --> 00:55:02.962]  Thank God!
[00:55:03.422 --> 00:55:04.262]  Thank the Lord!
[00:55:04.843 --> 00:55:06.723]  That Oklahoma said, we've had enough.
[00:55:07.964 --> 00:55:09.804]  I hope the other states follow suit.
[00:55:11.025 --> 00:55:12.165]  They're not just going to take it.
[00:55:12.805 --> 00:55:13.946]  Man, that's, that's awesome.
[00:55:14.146 --> 00:55:15.566]  Alright, let's continue to take callers.
[00:55:15.906 --> 00:55:17.107]  Let's go to Christian in Texas.
[00:55:17.127 --> 00:55:17.767]  Christian, are you there?
[00:55:19.868 --> 00:55:20.628]  What's on your mind, Christian?
[00:55:21.730 --> 00:55:22.790]  Hey, Jason, how are you?
[00:55:22.930 --> 00:55:45.917]  I just wanted to call attention to something that you can see on, if you go to 9-11 Blogger, right now, one of the Pacifica stations, I think the one in L.A., KPFK, is doing their drive, and one of their shows, called Beneath the Surface, which is on 4-6, covers 9-11 Truth a lot, and if people don't know, the way that these
[00:55:46.954 --> 00:55:52.818]  It depends on how much each show pulls in.
[00:55:52.858 --> 00:55:58.302]  A lot of people could donate, I did last week, to this show.
[00:55:58.322 --> 00:55:59.643]  It would send a message to the station.
[00:56:01.773 --> 00:56:03.274]  Oh, uh... Wait, say that again?
[00:56:03.474 --> 00:56:04.234]  What was the show again?
[00:56:04.434 --> 00:56:04.814]  One more time?
[00:56:04.834 --> 00:56:06.475]  The show is called Beneath the Surface.
[00:56:06.675 --> 00:56:07.136]  Alright, man.
[00:56:07.336 --> 00:56:08.196]  I appreciate the call.
[00:56:08.216 --> 00:56:09.417]  I've only got a couple more people.
[00:56:09.517 --> 00:56:10.737]  I gotta take them real quick.
[00:56:11.157 --> 00:56:13.618]  But yeah, KPFK helped launch Loose Change.
[00:56:13.659 --> 00:56:14.359]  Really hardcore.
[00:56:14.779 --> 00:56:16.420]  And they have a lot of good people working there.
[00:56:16.980 --> 00:56:18.761]  Let's go to Lisa in New York.
[00:56:18.801 --> 00:56:19.361]  Lisa, are you there?
[00:56:19.961 --> 00:56:20.482]  Hi, yes.
[00:56:21.402 --> 00:56:22.823]  Great, great show, Jason.
[00:56:22.843 --> 00:56:23.383]  Well, thank you.
[00:56:23.763 --> 00:56:29.266]  Real quickly, I mean, do you fear, I mean, that possibly
[00:56:31.075 --> 00:56:33.878]  There's going to be some kind of event that's going to call off the election.
[00:56:33.898 --> 00:56:34.679]  Yeah, all the time.
[00:56:34.739 --> 00:56:37.182]  Well, you know, I've got to tell you, I hope they don't.
[00:56:37.202 --> 00:56:38.823]  And then lots of law will be instated.
[00:56:38.884 --> 00:56:40.005]  It seems to me that that's...
[00:56:41.058 --> 00:56:43.499]  It's a possibility, but come on, let's be honest here.
[00:56:43.699 --> 00:56:51.582]  They've been exposed at such a high level for 9-11 alone in this country, I think it's going to be tough for them to pull off any high-scale event in this country.
[00:56:52.042 --> 00:57:00.686]  But, I mean, look, they're drilling for a dirty bomb over at the DNC, and can you imagine if they sacrificed some of our Democratic leaders?
[00:57:00.986 --> 00:57:04.047]  Can you imagine how quick martial law really would come into existence?
[00:57:04.287 --> 00:57:04.868]  So it is a fear.
[00:57:05.928 --> 00:57:11.230]  But, you know, I still... But it shouldn't stop anybody from moving in the direction that you're moving.
[00:57:11.270 --> 00:57:12.711]  Yeah, exactly, exactly.
[00:57:13.111 --> 00:57:15.192]  And, you know, it's always a fear.
[00:57:15.292 --> 00:57:20.714]  I mean, I think that they pulled off 7-7 across seas again because the information was just too hot here.
[00:57:20.734 --> 00:57:22.054]  I don't think it would have flown here.
[00:57:22.554 --> 00:57:23.975]  Absolutely, I agree with that.
[00:57:24.435 --> 00:57:26.937]  I agree with all of that, and there's no doubt in my mind.
[00:57:26.957 --> 00:57:30.479]  In fact, I'm in New York at 9-1-1 that same day.
[00:57:30.499 --> 00:57:35.962]  I completely, the hairs stood up on the back of my neck because I suspected it was an inside job.
[00:57:36.362 --> 00:57:38.463]  Well, thank God there are people like you.
[00:57:38.723 --> 00:57:40.144]  Well, you look at those buildings full.
[00:57:40.164 --> 00:57:42.105]  A lot of people have their suspicions.
[00:57:42.145 --> 00:57:43.306]  I thank you for the call, Lisa.
[00:57:43.626 --> 00:57:45.487]  Let's go to our final caller.
[00:57:45.507 --> 00:57:47.488]  Let's go to Tom in California.
[00:57:47.528 --> 00:57:48.149]  Tom, are you with us?
[00:57:48.909 --> 00:57:50.030]  Hey, Jason.
[00:57:50.210 --> 00:57:52.832]  You and Alex are wonderful people, and I'm glad you guys have the show.
[00:57:54.187 --> 00:58:07.893]  I just wanted to say, yesterday I was listening to, I think it's a free speech radio news, and there was somebody on there talking about the levee break in Iowa and how the museum and several other buildings were completely evacuated.
[00:58:07.933 --> 00:58:09.974]  Send it over to Aaron at InfoWars.com.
[00:58:09.994 --> 00:58:10.754]  It's the end of the show.
[00:58:10.814 --> 00:58:13.615]  I haven't looked into that, but if it's a big story, we'll cover it tomorrow.
[00:58:13.635 --> 00:58:20.118]  Remember, if you missed any of the four-hour broadcast today, folks, you can go to www.InfoWars.com and watch it all over again.
[00:58:21.431 --> 00:58:22.692]  Let's get Endgame out to people.
[00:58:22.712 --> 00:58:24.572]  Let's get Loose Change Final Cut out to people.
[00:58:24.612 --> 00:58:25.973]  Let's get Terror Storm out to people.
[00:58:25.993 --> 00:58:27.273]  Let's make a difference, folks!
[00:58:27.493 --> 00:58:28.394]  We're fightin' the battle!
[00:58:28.454 --> 00:58:29.494]  It's the Alex Jones Show!
[00:58:29.554 --> 00:58:30.254]  I'll see you tomorrow!
[00:58:37.477 --> 00:58:38.018]  Great job, Bur-
