[00:00:00.109 --> 00:00:01.650]  This is the GCN Radio Network.
[00:50:05.436 --> 00:50:06.837]  I'm a first-time caller.
[00:50:06.837 --> 00:50:10.059]  I'm calling from Binghamton, New York.
[00:50:10.059 --> 00:50:13.701]  I'd like to say thank you for all the hard work that you're doing.
[00:50:13.701 --> 00:50:15.082]  We really appreciate it here in Binghamton.
[00:50:16.909 --> 00:50:17.909]  I really got working up.
[00:50:17.909 --> 00:50:22.451]  I have three quick things and one question for you.
[00:50:22.451 --> 00:50:31.734]  The first thing is that on November 6th at my school, BCC, my college, we're showing your film Endgame at Titchener Hall at 3pm.
[00:50:31.734 --> 00:50:33.495]  To anyone out there in Binghamton who's listening or Ithaca,
[00:50:34.471 --> 00:50:42.718]  Also, regarding the insider trading that took place on 9-11, I was watching a film today on Google Videos.
[00:50:42.718 --> 00:50:43.598]  It's called Ring of Fire.
[00:50:43.598 --> 00:50:47.842]  I don't know how good it is or whatever, because we had the trouble with the Zeitgeist thing.
[00:50:47.842 --> 00:50:48.662]  I don't know how good it is.
[00:50:48.662 --> 00:50:51.565]  It's kind of really critical of religion.
[00:50:51.565 --> 00:50:59.731]  It's called Ring of Fire, and on that, it mentioned that regarding the insider trading that took place on 9-11, it said Merrill Lynch, HSBC, Morgan Stanley,
[00:51:00.524 --> 00:51:05.846]  Bank of America, Lehman Brothers, and General Motors and a few others were the ones involved in the insider trading.
[00:51:05.846 --> 00:51:10.748]  And the reason I bring this up is because you keep mentioning the banker bailout.
[00:51:10.748 --> 00:51:12.009]  And these are the same guys.
[00:51:12.009 --> 00:51:17.231]  Well, for those that don't know, there was record put options never before that big and never after that big.
[00:51:17.951 --> 00:51:24.154]  Uh, specifically not just on airlines, but specifically on United and American in the four days leading up to it.
[00:51:24.154 --> 00:51:27.595]  And we all heard, we're going to find out who was behind it because of the insider trading.
[00:51:27.595 --> 00:51:34.038]  And then it led to Buzzy Krongaard, executive director of the CIA, and Alex Brown, the company, and others.
[00:51:34.038 --> 00:51:35.638]  So it got shut down.
[00:51:35.638 --> 00:51:36.739]  Yes, absolutely.
[00:51:36.739 --> 00:51:43.522]  And the third thing is, um, I'm not sure if you're familiar with this one guy that people call him a scholar, but I don't know too much about him.
[00:51:43.522 --> 00:51:46.803]  His name is Cornel West, but he was on C-SPAN like
[00:51:47.891 --> 00:51:53.733]  About a year ago, and he mentioned Will Smith, and said it was a Scientologist or something like that.
[00:51:53.733 --> 00:51:59.014]  Now the reason I bring this up is that I remember a good movie just recently called I Am Legend.
[00:51:59.014 --> 00:52:12.258]  And in that movie, it was supposed to be like some virus that caused 85% of the world's population... Yeah, it's a vaccine that's supposed to cure people of cancer, and then it kills the majority of the world population.
[00:52:12.258 --> 00:52:12.898]  Absolutely.
[00:52:12.898 --> 00:52:16.919]  So my point is, do you see this being part of the globalist agenda where
[00:52:18.093 --> 00:52:21.816]  They're intending on using something similar to the depiction in this movie.
[00:52:21.816 --> 00:52:23.258]  This man, again, is an insight.
[00:52:23.258 --> 00:52:29.964]  He's like maybe a Scientologist that he's in, and he has some insight into what the plan is, but so he glorifies it in some way.
[00:52:29.964 --> 00:52:41.976]  Well, I Am Legend was written back in the early 1950s, and then it was made into Omega Man, and then they made an I Am Legend, and then they made the newest one under the same title.
[00:52:43.904 --> 00:53:00.110]  You know, when I get up on air and I say that the United Nations and the IMF and the World Bank and the Club of Rome and the Council on Foreign Relations put out white papers saying they want to exterminate 80 to 90 percent of the population, I mean, my films Road to Tyranny and Endgame cover that.
[00:53:00.110 --> 00:53:02.731]  And by the way, a lot of my films have bibliographies.
[00:53:02.731 --> 00:53:08.773]  Endgame, a three-hour film, well, it's about two hours, 40 minutes, and has an hour extra, so it's...
[00:53:10.189 --> 00:53:13.612]  The point is, is that it has a bibliography.
[00:53:13.612 --> 00:53:20.058]  And every second of the film, every video clip, every document, we have linked up on whatistheendgame.com.
[00:53:20.058 --> 00:53:24.502]  www.whatistheendgame.com.
[00:53:24.502 --> 00:53:26.965]  And yes, they are putting sodium fluoride in the water.
[00:53:28.057 --> 00:53:49.471]  Just Google sodium fluoride cancer and I mean hundreds of mainline studies that it more than doubles cancer just in bone cancer alone or that they decided in the 50s to put the particular type there were hundreds of types of plastic they could adopt but they had adopted the BPA based plastic they knew would sterilize men in the West that's why sperm counts are down by about 85% women are infertile
[00:53:51.532 --> 00:53:54.735]  Because, you know, too much of this hormone ends up sterilizing you.
[00:53:54.735 --> 00:53:58.979]  And I could go on and on, but I mean, how do you get the public to come to grips with that?
[00:53:58.979 --> 00:54:00.181]  I mean, I'm sorry.
[00:54:00.181 --> 00:54:02.723]  I told you the Banker Bailout Bill was a scam, and it is.
[00:54:02.723 --> 00:54:03.904]  I tell you everything.
[00:54:03.904 --> 00:54:06.126]  I told you 9-11 was going to happen before it happened.
[00:54:06.126 --> 00:54:06.947]  This is what I do.
[00:54:06.947 --> 00:54:10.691]  I'm not an expert on Texas Tech and UT and the Cowboys.
[00:54:10.691 --> 00:54:12.752]  I'm an expert on the New World Order, folks.
[00:54:12.752 --> 00:54:14.834]  And let me tell you, they're eugenicists.
[00:54:14.834 --> 00:54:16.376]  If you don't know what that term is, Google it.
[00:54:16.923 --> 00:54:19.825]  Okay, let's go ahead and talk to George in Texas.
[00:54:19.825 --> 00:54:20.706]  George, you're on the air.
[00:54:20.706 --> 00:54:21.566]  Welcome.
[00:54:21.566 --> 00:54:22.767]  Good afternoon, Alex.
[00:54:22.767 --> 00:54:23.728]  Hi.
[00:54:23.728 --> 00:54:29.212]  Yes, you know mom, last week my wife came home in tears.
[00:54:29.212 --> 00:54:34.316]  She was threatened arrest at the DPS because she refused to get a thumb scan.
[00:54:34.924 --> 00:54:35.444]  That's right.
[00:54:35.444 --> 00:54:38.407]  That's all part of the international agreement.
[00:54:38.407 --> 00:54:42.029]  That is a world ID card, not just a national ID card.
[00:54:42.029 --> 00:54:44.771]  It's all part of submitting to your enslavement.
[00:54:44.771 --> 00:54:46.412]  I mean, is it color of law to do that?
[00:54:46.412 --> 00:54:48.374]  You will thumbprint to buy and sell.
[00:54:48.374 --> 00:54:55.979]  They're going in the tanning salons, the stores, the churches, the libraries, parents to get their children at public schools, you know, thumb scanning.
[00:54:55.979 --> 00:54:56.980]  And what did they say?
[00:54:56.980 --> 00:54:58.241]  Driving is a privilege.
[00:54:58.241 --> 00:54:58.681]  It isn't.
[00:54:58.681 --> 00:54:59.902]  I have the Supreme Court rulings.
[00:55:00.562 --> 00:55:04.245]  But in the 30s, they said, well, these trucks are tearing up the road.
[00:55:04.245 --> 00:55:09.069]  If you're involved in commerce, trucks need a driver's license.
[00:55:09.069 --> 00:55:15.894]  And then 15, 20 years later, depending on the state, they phased in that it was a privilege to drive, but only under commerce.
[00:55:15.894 --> 00:55:18.756]  And the state police were really federal set up in the late 30s.
[00:55:19.617 --> 00:55:22.320]  And they have no idea what's going on, and they don't believe me.
[00:55:22.320 --> 00:55:25.243]  They love the system, so give your children more fluoride water.
[00:55:25.243 --> 00:55:27.725]  Don't believe me, just give them more mercury shots.
[00:55:27.725 --> 00:55:30.088]  You know, don't believe me, just love your government.
[00:55:30.088 --> 00:55:30.969]  Well, it's not your government.
[00:55:30.969 --> 00:55:32.170]  It's criminal bankers.
[00:55:32.170 --> 00:55:33.411]  You're under eugenics.
[00:55:33.411 --> 00:55:34.072]  Thumbscan.
[00:55:34.072 --> 00:55:34.813]  Enjoy yourselves.
[00:55:34.813 --> 00:55:38.036]  You're going to have a national sales tax on top of the income tax.
[00:55:38.036 --> 00:55:41.640]  Everything you're doing being tracked under carbon credits on your card.
[00:55:42.675 --> 00:55:45.018]  Also, tell me what they said to your wife.
[00:55:45.018 --> 00:55:48.122]  Well, they told her, if you don't take this thumbprint, you're going to be arrested.
[00:55:48.122 --> 00:55:50.065]  And I'm not going to use the color of law to take that thumbprint.
[00:55:50.065 --> 00:55:54.390]  I mean, they should have just said, well, you know, you don't get a license and then you'll get arrested.
[00:55:54.390 --> 00:55:56.333]  Now, citizens get arrested for no ID.
[00:55:56.333 --> 00:55:57.214]  Illegal aliens don't.
[00:55:57.774 --> 00:56:00.815]  And I've had police admit this, and it's been in the news.
[00:56:00.815 --> 00:56:08.479]  So, again, it's all part of humiliation, all part of domination, all part of bringing the country to its knees, all part of us learning how to be slaves.
[00:56:08.479 --> 00:56:08.999]  And we are.
[00:56:08.999 --> 00:56:10.360]  We are now slaves.
[00:56:10.360 --> 00:56:14.281]  The public just sits down and shuts up and goes along with anything.
[00:56:14.281 --> 00:56:20.104]  And also, too, she went to the health department and asked for a federal vaccine waiver form, and they say there ain't no such thing.
[00:56:20.845 --> 00:56:22.046]  Well, that's another lie.
[00:56:22.046 --> 00:56:24.848]  Number one, there's no law to take any vaccines.
[00:56:24.848 --> 00:56:30.392]  Number two, they then kick your kids out under truancy laws, saying it's a school policy.
[00:56:30.392 --> 00:56:37.197]  Then criminal charges kick in for the truancy, not for the, quote, non-existent law of taking vaccines.
[00:56:37.197 --> 00:56:38.899]  And so, yes, they are criminals.
[00:56:38.899 --> 00:56:39.779]  They will lie.
[00:56:39.779 --> 00:56:41.761]  Google this.
[00:56:41.761 --> 00:56:45.484]  Vaccine exemption or vaccine waiver form.
[00:56:45.484 --> 00:56:48.486]  But why do you need a waiver for something that isn't a law to begin with?
[00:56:50.095 --> 00:57:04.308]  Hey, Google forced vaccine Maryland, and I even had the head of the state on, the head attorney, they had police dogs barking and thousands of kids showing up crying, being quote, forcibly injected under color of law.
[00:57:04.308 --> 00:57:06.530]  It is a bankrupt criminal government.
[00:57:06.530 --> 00:57:12.595]  And anybody that doubts me, only a criminal government would lie and say that you have to take a vaccine.
[00:57:12.595 --> 00:57:13.616]  When there's no law.
[00:57:13.616 --> 00:57:15.778]  I kind of see the people down the road pushing back.
[00:57:16.964 --> 00:57:18.265]  They are going to push back.
[00:57:18.265 --> 00:57:26.388]  That's why they openly admit the local police are now dialing in to the spy satellites, the control grids, the FEMA camps.
[00:57:26.388 --> 00:57:36.012]  Every major city has helicopters standing by, according to declassified documents in 2000 by the Sunshine Project, with helicopters with opiate knockout gases waiting to gas every major city.
[00:57:36.932 --> 00:57:42.393]  Well, I just pray that this election is peaceful, but I don't think it's going to be peaceful.
[00:57:42.393 --> 00:57:47.935]  I talked to a woman who lives in the Caribbean, who came from Africa, and this is what she said.
[00:57:47.935 --> 00:57:48.715]  She's a black woman.
[00:57:48.715 --> 00:57:54.036]  She sat there and said, Barack Obama will lead the black people down to the slaughter.
[00:57:54.036 --> 00:58:00.578]  I said, these charismatic leaders, once they get in power, I said, that's when the horror starts.
[00:58:00.578 --> 00:58:04.119]  Yeah, we have a completely criminal elite looting everything in power.
[00:58:04.119 --> 00:58:05.659]  During the break, I'm going to Google
[00:58:07.088 --> 00:58:10.231]  It's no secret that Genesis Communications Network depends on listeners like you.
[00:58:10.231 --> 00:58:12.474]  Now you can do even more to hear Genesis shows in your area.
[00:58:28.490 --> 00:58:33.052]  Simply call your local radio stations and tell them about your favorite GCN programs.
[00:58:33.052 --> 00:58:33.752]  It's easy.
[00:58:33.752 --> 00:58:40.374]  Log on to GCNlive.com or call us toll free 877-807-4048.
[00:58:40.374 --> 00:58:41.135]  Make a difference.
[00:58:41.135 --> 00:58:46.516]  Call your local stations and contact us through affiliate relations at GCNlive.com or call 877-807-4048.
[00:58:46.516 --> 00:58:46.877]  Call today.
[00:58:52.219 --> 00:58:53.319]  Looking for profit?
[00:58:53.319 --> 00:58:54.940]  Looking for safety and security?
[00:58:54.940 --> 00:58:58.282]  The $10 Olympic commemorative gold coin offers both.
[00:58:58.282 --> 00:59:05.907]  This low mintage collector coin with a total series mintage under $600,000 has sold at four times its current price.
[00:59:05.907 --> 00:59:09.649]  Falling dollar values and inflation make this likely to happen again.
[00:59:09.649 --> 00:59:11.510]  Secure your position today.
[00:59:11.510 --> 00:59:12.751]  Call Midas Resources at 1-800-686-2237.
[00:59:12.751 --> 00:59:13.031]  That's 1-800-686-2237.
[00:59:21.118 --> 00:59:23.720]  Gee, honey, those new shoes look great on you.
[00:59:23.720 --> 00:59:26.481]  And look, they show off my new toenails, too.
[00:59:26.481 --> 00:59:27.762]  New toenails?
[00:59:27.762 --> 00:59:29.423]  What happened to the old ones?
[00:59:29.423 --> 00:59:32.785]  Well, they're not really new, just clear and healthy looking.
[00:59:32.785 --> 00:59:34.767]  Remember how embarrassed I was?
[00:59:34.767 --> 00:59:37.448]  They were so discolored, ugh, really awful looking.
[00:59:37.448 --> 00:59:39.310]  Well, they sure look clear now.
[00:59:39.310 --> 00:59:41.271]  I wish I could wear sandals again.
[00:59:41.271 --> 00:59:43.332]  My toenails are a disaster.
[00:59:43.332 --> 00:59:46.214]  Look, this one looks white, and that one's thick and yellow.
[00:59:46.394 --> 00:59:49.177]  Here's my secret, Non-X Nail Gel.
[00:59:49.177 --> 00:59:53.581]  It clears out yellowing keratin debris, the cause of nail discoloration.
[00:59:53.581 --> 00:59:54.541]  So that's it.
[00:59:54.541 --> 00:59:57.865]  I've got ugly keratin debris build up under my nails.
[00:59:57.865 --> 01:00:00.167]  And Non-X Nail Gel gets rid of it.
[01:00:00.167 --> 01:00:03.810]  You'll need to use it daily, but clear nails are worth it.
[01:00:03.810 --> 01:00:04.471]  You bet.
[01:00:04.471 --> 01:00:09.055]  When we go to the beach next summer, my toenails are going to look just as good as yours do.
[01:00:09.375 --> 01:00:11.136]  Thanks to Non-X Nail Gel.
[01:00:11.136 --> 01:00:13.718]  Non-X Nail Gel for clear, healthy looking nails.
[01:00:13.718 --> 01:00:21.162]  Now at Walgreens, Rite Aid, CVS, Long's, Meijer, Target, and other fine pharmacies and mass retailers in the foot care section.
[01:00:21.162 --> 01:00:22.703]  Will not face charges.
[01:00:22.703 --> 01:00:24.344]  We'll have those stories and more.
[01:00:24.344 --> 01:00:29.067]  You are listening to GCN, the Genesis Communications Radio Network.
[01:00:29.067 --> 01:00:30.508]  Texas, it's 5 o'clock.
[01:00:35.300 --> 01:00:37.181]  IRM USA Radio News.
[01:00:37.181 --> 01:00:38.222]  I'm Jody Jordan.
[01:00:38.222 --> 01:00:44.707]  He may be leading in the polls, but Barack Obama is not easing up on a final weekend before the election.
[01:00:44.707 --> 01:00:49.450]  He'll campaign today in Ohio, hoping to pocket a traditionally Republican state.
[01:00:49.450 --> 01:00:51.932]  I don't believe for a second this election's over.
[01:00:51.932 --> 01:00:54.854]  Don't think for a minute that power will concede without a fight.
[01:00:54.854 --> 01:00:58.757]  John McCain will spend his last day of campaigning in Pennsylvania and New Hampshire.
[01:00:58.757 --> 01:01:03.440]  He says he's fighting back from being down in the polls and urges voters to prove the pundits wrong.
[01:01:04.048 --> 01:01:14.236]  Britain's Prime Minister is in Saudi Arabia where he's trying to coax oil-rich countries in the Middle East to donate to the bailout reserves of the International Monetary Fund.
[01:01:14.236 --> 01:01:17.678]  Gordon Brown says he's confident the Saudis will help.
[01:01:17.678 --> 01:01:28.466]  If we're going to protect the world against what we might call the contagion of something happening in one country affecting another, then we do need the countries with reserves and resources to contribute to that.
[01:01:28.466 --> 01:01:30.508]  This is IRN USA Radio News.
[01:01:32.069 --> 01:01:37.352]  Here's a word about Israel from Dr. Jack Hayford, President of the International Church of the Foursquare Gospel.
[01:01:37.352 --> 01:01:40.994]  To go to Israel is to change the way you will ever approach the Bible.
[01:01:40.994 --> 01:01:47.458]  The Bible becomes faced in an entirely deeper and richer way because you have been where it happened.
[01:01:47.458 --> 01:01:50.460]  You'll never be the same when you visit Israel.
[01:01:50.460 --> 01:01:54.082]  To start planning your trip to Israel today, visit www.goisrael.com.
[01:02:01.844 --> 01:02:05.647]  Imagine what your life would be like if over half your credit card debt was gone.
[01:02:05.647 --> 01:02:08.229]  You don't have to imagine life without credit card debt.
[01:02:08.229 --> 01:02:12.973]  You can call Financial Freedom of America for a free, no-obligation debt consultation.
[01:02:12.973 --> 01:02:17.876]  Their friendly staff will show you how they can wipe out 30 to 60 percent of your credit card bills.
[01:02:17.876 --> 01:02:19.237]  Not available in all states.
[01:02:19.237 --> 01:02:20.218]  The call is free.
[01:02:20.218 --> 01:02:21.719]  The consultation is free.
[01:02:21.719 --> 01:02:22.019]  Call 800-515-4749.
[01:02:22.019 --> 01:02:22.100]  800-515-4749.
[01:02:22.100 --> 01:02:22.840]  Don't wait another minute.
[01:02:22.840 --> 01:02:23.140]  Call 800-515-4749.
[01:02:32.210 --> 01:02:39.095]  And more on the road to the White House, where Republican presidential candidate John McCain will be busy between now and Election Day.
[01:02:39.095 --> 01:02:40.516]  Here's Warren Levinson.
[01:02:40.516 --> 01:02:51.385]  New Hampshire has revived John McCain before in the Republican primaries of 2000 and 2008, and the campaign makes a symbolic visit to a town meeting in Peterborough on the last Sunday before Election Day.
[01:02:51.385 --> 01:02:56.529]  Before that, a return to Pennsylvania, where he campaigned yesterday, and a late-night rally in Crucial, Florida.
[01:02:56.529 --> 01:02:59.491]  The pundits have counted us out, McCain told supporters, again.
[01:02:59.591 --> 01:03:05.776]  When I see this momentum, when I see this great support, I know, I know we're gonna win.
[01:03:05.776 --> 01:03:07.277]  I know we're gonna win.
[01:03:07.277 --> 01:03:08.998]  Warren Levenson with the McCain campaign.
[01:03:08.998 --> 01:03:09.478]  New York.
[01:03:09.478 --> 01:03:15.503]  And it's a small group of people who would willingly stick a pumpkin on their head and run down a crowded city street naked.
[01:03:15.503 --> 01:03:17.024]  At least in part.
[01:03:17.024 --> 01:03:18.665]  That's because it's illegal.
[01:03:18.665 --> 01:03:26.031]  Police in Boulder, Colorado ticketed about a dozen people for making such a run Friday night despite cries of protest from the crowd.
[01:03:26.727 --> 01:03:30.118]  For more news and analysis, log on to IRNnews.com.
[01:03:31.818 --> 01:03:35.539]  I'm Errol Squires, inventor of Relieve One Day Cold Sore Symptom Treatment.
[01:03:35.539 --> 01:03:41.020]  I invented Relieve because I wanted a very effective, natural treatment for cold sores that work really fast.
[01:03:41.020 --> 01:03:44.900]  Relieve works so well and so fast for me, my family and friends.
[01:03:44.900 --> 01:03:47.641]  I wanted to help other people who suffer from cold sores.
[01:03:47.641 --> 01:03:50.521]  I think people are smart enough to know if something works.
[01:03:50.521 --> 01:03:54.722]  If you suffer from cold sores, try Relieve and find out if it works for you.
[01:03:54.722 --> 01:03:58.063]  Relieve is comprised of botanical extracts and is guaranteed.
[01:03:58.063 --> 01:04:00.363]  Buy Relieve now at all major stores.
[01:04:02.230 --> 01:04:10.663]  Boeing's commercial airplane factories began getting back to normal tonight now that the machinist union has accepted a new contract.
[01:04:10.663 --> 01:04:14.109]  A key issue of the eight-week strike was job security.
[01:04:14.770 --> 01:04:17.151]  You can't please everyone 100% of the time.
[01:04:17.151 --> 01:04:22.772]  I think that a 74% acceptance is a strong, strong acceptance by the membership and they feel good about it.
[01:04:22.772 --> 01:04:24.432]  Here's Mark Smith.
[01:04:42.788 --> 01:04:50.754]  With Obama running to make history, Bruce Springsteen's his warm-up act in Cleveland, one of three cities Obama's hitting here.
[01:04:50.754 --> 01:04:58.260]  Polls give the Democrat a narrow lead in a state that decided the outcome four years ago, but he's telling supporters take nothing for granted.
[01:04:58.260 --> 01:05:04.905]  I need you to close the deal, because the time for change has come, you know it, and we've got a righteous wind at our backs.
[01:05:04.905 --> 01:05:10.789]  Coming full circle, Obama ends this day in Florida, where the run for the White House was decided in 2000.
[01:05:12.091 --> 01:05:15.032]  Mark Smith with the Obama campaign, Columbus, Ohio.
[01:05:15.032 --> 01:05:22.815]  And Afghan officials are waiting to hear from kidnappers who seized the brother of Afghanistan's finance minister Friday.
[01:05:22.815 --> 01:05:26.737]  No word yet on who they are or what they may want.
[01:05:26.737 --> 01:05:30.218]  I'm Jody Jordan for IRN USA Radio News.
[01:05:31.483 --> 01:05:33.144]  Senator Barkley, I presume.
[01:05:33.144 --> 01:05:35.606]  Governor Ventura, what are you doing down here?
[01:05:35.606 --> 01:05:38.789]  Looking for a way out for me and all these taxpayers.
[01:05:38.789 --> 01:05:40.370]  Are we where I think we are?
[01:05:40.370 --> 01:05:43.393]  Yes, it appears we're at the bottom of a very deep hole.
[01:05:43.393 --> 01:05:44.654]  Did we do something wrong?
[01:05:44.654 --> 01:05:45.254]  Not us.
[01:05:45.254 --> 01:05:49.838]  It seems some schemers on Wall Street dug this hole, and we're down here to get them out of it.
[01:05:50.118 --> 01:05:54.220]  I don't see too many investment bankers or insurance company executives down here.
[01:05:54.220 --> 01:05:55.880]  I don't see Al Franken here either.
[01:05:55.880 --> 01:05:59.802]  Senator, I said we're down here with taxpayers.
[01:05:59.802 --> 01:06:01.963]  I don't see Norm Coleman down here either.
[01:06:01.963 --> 01:06:06.785]  Well, since Norm Coleman became Senator, the federal deficit went up three trillion dollars.
[01:06:06.785 --> 01:06:09.566]  Governor, you and I know the first rule of getting out of a hole.
[01:06:09.946 --> 01:06:11.568]  Stop digging!
[01:06:11.568 --> 01:06:14.651]  During my administration, we ran budget surpluses.
[01:06:14.651 --> 01:06:16.673]  And we gave money back to taxpayers.
[01:06:16.673 --> 01:06:19.036]  That's the kind of thinking we need in Washington.
[01:06:19.036 --> 01:06:24.521]  Please go to SenatorBarclay.com to make a contribution and help take back our country.
[01:06:24.521 --> 01:06:27.485]  I'm Senator Dean Barclay and I approve this message.
[01:06:27.485 --> 01:06:30.488]  And so do I. Paid for by Barclay for Senate.
[01:06:41.901 --> 01:06:44.663]  He stands for truth.
[01:06:44.663 --> 01:06:47.884]  He stands for justice.
[01:06:47.884 --> 01:06:50.325]  He stands for what's right.
[01:06:50.325 --> 01:06:53.606]  This is the Alex Jones Show.
[01:06:53.606 --> 01:06:57.267]  Call Alex now, toll free at 877-590-5525.
[01:06:57.267 --> 01:07:00.869]  Now live from Austin, Texas.
[01:07:05.189 --> 01:07:09.812]  Here's Alex Jones.
[01:07:09.812 --> 01:07:24.182]  Alright, I want to take a lot of phone calls on the election, the economy, the new world order being openly announced by all these world leaders, but this is a microcosm of everything we're dealing with that I'm about to cover here briefly.
[01:07:24.182 --> 01:07:33.808]  A caller calls in, and I see it in the news every day, I scan hundreds of newspapers, and he says, yeah, my wife went in to the health department
[01:07:34.426 --> 01:07:48.211]  To get the exemption for vaccination, and they have them for certain jobs, they claim you have to do it, they have it for the public schools, the private schools, they claim, it's the law, it's the law, it's the law.
[01:07:48.211 --> 01:07:53.894]  And I said, sir, just Google Texas Vaccine Exemption Form, or just add your state's name.
[01:07:53.894 --> 01:07:55.334]  And for Texas, I got 56,200 hits.
[01:07:55.334 --> 01:07:56.815]  Texas Vaccine Exemption Form.
[01:08:01.115 --> 01:08:02.456]  Texas vaccine exemption.
[01:08:02.456 --> 01:08:03.137]  State of Texas.
[01:08:03.137 --> 01:08:21.631]  The state of Texas law grants and acknowledges, well see that's the new system they grant us because we're slaves, and acknowledges the rights of parents to exempt their children or themselves from vaccinations because the vaccine exemption forms for reasons of conscious including, and you can go through, it's DSHS
[01:08:24.446 --> 01:08:36.322]  dot state dot texas dot us forward slash immunization forward slash school forward slash default dot s h t m but but just google texas vaccine exemption form now now here's the issue
[01:08:37.253 --> 01:08:47.260]  Every year, in August, right before school starts, on Austin News, on Dallas News, on New York News, everywhere, they announce, it's the law, you'll be arrested.
[01:08:47.260 --> 01:09:02.189]  Thousands show up for free immunization at the local Zilker Park, or thousands show up at the Texas Stadium up in Dallas, or thousands show up at the health department in St.
[01:09:02.189 --> 01:09:02.990]  George County
[01:09:04.321 --> 01:09:12.271]  Maryland and on hand was the state attorney making sure they follow the law and then there were images just in that case in Maryland.
[01:09:12.271 --> 01:09:13.572]  We called and got the guy on.
[01:09:13.572 --> 01:09:17.317]  This is at the start of school this year.
[01:09:18.081 --> 01:09:30.644]  And it shows police dogs barking, police in riot gear because they've got a lot of threatening phone calls, and over 2,000 children and thousands of parents lined up with these mobile vans being injected and parents crying on the news.
[01:09:30.644 --> 01:09:43.168]  You can go pull these up, it was on CNN, ABC, everywhere going, I just think it's wrong, it's the law, we gotta take these, I don't like these, I can't believe it, you know, vaccines can make you sick, I can't believe they're threatening to arrest us.
[01:09:43.168 --> 01:09:44.148]  And I had the guy on,
[01:09:45.245 --> 01:09:49.169]  The state attorney, and he said, well, it's true, I don't vaccinate my children, and started laughing.
[01:09:49.169 --> 01:09:51.091]  You can go YouTube that.
[01:09:51.091 --> 01:09:52.293]  It's been posted.
[01:09:52.293 --> 01:09:55.556]  People take the audio of it and post it to video on the web.
[01:09:55.556 --> 01:09:58.699]  And he said, well, you're right, there is no law.
[01:09:58.699 --> 01:10:00.221]  And he said, oh, you want to be a lawyer?
[01:10:00.221 --> 01:10:00.982]  You're real smart.
[01:10:00.982 --> 01:10:05.787]  Yeah, it's our policy, and then we kick you out for truancy, and then criminal charges come in.
[01:10:08.405 --> 01:10:12.690]  But on the news, nationwide, they advertised, it's the law, gotta do it.
[01:10:12.690 --> 01:10:17.875]  Police dogs barking at the people as they were herded into the stadium.
[01:10:17.875 --> 01:10:21.939]  Now, people also email me and say, I'm a liar, it's the law, you gotta take it.
[01:10:21.939 --> 01:10:22.460]  No, you don't.
[01:10:22.460 --> 01:10:28.847]  Not to be a doctor, not to be a nurse, not to go to college, not to go to public school, not to go anywhere.
[01:10:28.847 --> 01:10:30.869]  And by the way, then they try this idiot line of, well,
[01:10:31.693 --> 01:10:36.896]  We've got to lie and say it's the law because you can infect other children if you don't have it.
[01:10:36.896 --> 01:10:48.221]  Wait a minute, if they're protected with a smallpox shot or a flu shot or whatever it is, MMR, Measles, Mumps, Rubella, Tetanus, Hepatitis, on and on and on again.
[01:10:48.221 --> 01:10:51.683]  Of course, Tetanus isn't even communicable, as reported by other people.
[01:10:51.683 --> 01:10:52.143]  The point is,
[01:10:53.616 --> 01:10:56.118]  Then your child is protected.
[01:10:56.118 --> 01:11:06.824]  And by the way, the last six years in a row now, they haven't even guessed a year before what mutated version of the flu shot to produce.
[01:11:06.824 --> 01:11:08.325]  So when you take it, it does nothing.
[01:11:08.325 --> 01:11:09.386]  By the way, here's another one.
[01:11:09.386 --> 01:11:13.568]  Google flu shot Alzheimer's.
[01:11:13.568 --> 01:11:14.589]  Hundreds of studies
[01:11:15.834 --> 01:11:20.816]  And the lowest study shows a doubling in Alzheimer's for those who have taken more than three flu shots in their life.
[01:11:20.816 --> 01:11:23.057]  And some studies show a five-fold.
[01:11:23.057 --> 01:11:23.737]  Oh, don't believe me?
[01:11:23.737 --> 01:11:24.537]  Just Google it.
[01:11:24.537 --> 01:11:27.938]  And you're going to be on government sites, research facilities.
[01:11:27.938 --> 01:11:29.899]  It's all there.
[01:11:29.899 --> 01:11:32.440]  Now, imagine if they're lying to you about that.
[01:11:32.440 --> 01:11:36.841]  Lying to you and saying it's the law, you've got to take shots.
[01:11:36.841 --> 01:11:38.262]  I mean, they CPS people's kids.
[01:11:38.262 --> 01:11:39.843]  They kidnap people's kids.
[01:11:39.843 --> 01:11:40.963]  Because the parents don't know.
[01:11:42.921 --> 01:11:43.841]  They do this all the time.
[01:11:43.841 --> 01:11:48.422]  We have a rogue criminal government that cons us and manipulates us.
[01:11:48.422 --> 01:11:55.364]  Now, there's no law that you've got to have vaccines.
[01:11:55.364 --> 01:11:59.705]  And so it's a fraud that they even tell you that you then need a waiver form.
[01:11:59.705 --> 01:12:02.466]  Okay, let's get some calls and we'll come back and take the rest of them.
[01:12:02.466 --> 01:12:05.027]  Joe in Wisconsin, you're on the air.
[01:12:05.027 --> 01:12:06.047]  Go ahead, Joe.
[01:12:06.047 --> 01:12:10.608]  The saccharine study, didn't they use cancer wraps also?
[01:12:11.337 --> 01:12:12.557]  I just thought I'd throw that out.
[01:12:12.557 --> 01:12:17.019]  I was going to make the point that government is your psychotic neighbor.
