[00:00:00.009 --> 00:00:01.434]  Right now at TruthNews.us
[00:44:25.545 --> 00:44:28.526]  Just stop saying you want to kill me, and stop saying you're going to get us.
[00:44:29.207 --> 00:44:30.427]  Why is it okay for you to say that?
[00:44:30.447 --> 00:44:31.908]  And they'll laugh and go, listen, gringo.
[00:44:32.848 --> 00:44:35.629]  You know, you know we don't like you and you don't like us.
[00:44:35.689 --> 00:44:37.289]  And I go, no, I don't dislike you.
[00:44:37.889 --> 00:44:39.290]  And I said, I'm not going to be part of this.
[00:44:39.630 --> 00:44:42.590]  And they go, it doesn't matter what you want, gringo.
[00:44:42.950 --> 00:44:44.451]  We're taking over and we're going to get you.
[00:44:45.131 --> 00:44:46.991]  And I say, well, the New World Order is engineering all this.
[00:44:47.031 --> 00:44:48.172]  He goes, we'll get them too.
[00:44:48.552 --> 00:44:49.712]  You're not going to get anybody.
[00:44:49.992 --> 00:44:52.173]  You can't even get your own Mexican government down there.
[00:44:52.413 --> 00:44:53.273]  And I'm not blaming you.
[00:44:53.293 --> 00:44:57.534]  They've got weapons and machine guns and armored vehicles and it's an incredibly corrupt society.
[00:44:58.654 --> 00:45:00.656]  It's just that I would support Mexican independence.
[00:45:00.676 --> 00:45:07.861]  If they had a true republic government, I mean, if they had people in Mexico that truly wanted liberty and freedom and were rebelling against their country, I'd support them.
[00:45:07.901 --> 00:45:09.041]  I'd say, send them money.
[00:45:09.462 --> 00:45:10.182]  I'd try to support them.
[00:45:10.202 --> 00:45:11.363]  I'd probably go down there and fight with them.
[00:45:12.924 --> 00:45:14.465]  I mean, frankly, I like Latin Americans.
[00:45:14.585 --> 00:45:16.627]  I mean, you know, it's interesting people.
[00:45:16.647 --> 00:45:22.250]  You know, a mix of Mesoamericans, Spanish, Portuguese, African.
[00:45:23.710 --> 00:45:27.613]  Irish, German, it's just an interesting, nice, hard-working family people.
[00:45:27.674 --> 00:45:28.774]  They don't like the New World Order.
[00:45:28.815 --> 00:45:30.016]  They don't trust vaccines.
[00:45:30.076 --> 00:45:33.759]  When CPS comes for Mexican kids who are Mexican, they just leave.
[00:45:34.820 --> 00:45:35.700]  Their kids come first.
[00:45:35.720 --> 00:45:37.402]  They just leave and go to another town.
[00:45:37.422 --> 00:45:38.243]  They go to Mexico.
[00:45:38.543 --> 00:45:40.004]  Their kids are number one.
[00:45:40.364 --> 00:45:42.726]  Not conditioned blacks, whites, and American Mexicans.
[00:45:42.766 --> 00:45:44.047]  We just, oh, have our baby.
[00:45:44.288 --> 00:45:44.888]  Go ahead.
[00:45:45.268 --> 00:45:46.089]  Oh, you're the government.
[00:45:46.129 --> 00:45:46.389]  Okay.
[00:45:46.610 --> 00:45:47.771]  I'll give you my baby.
[00:45:48.524 --> 00:45:49.805]  Over my dead body, folks!
[00:45:50.225 --> 00:45:51.446]  So, hail the Mexicans!
[00:45:51.866 --> 00:45:52.807]  Hail their family!
[00:45:53.027 --> 00:45:54.008]  Hail their Raza!
[00:45:54.328 --> 00:46:00.972]  I have nothing against them caring about their people and being proud of who they are, and wanting to have their families, and wanting to have children, and wanting to live.
[00:46:02.073 --> 00:46:03.994]  But don't you tell me I gotta die!
[00:46:04.054 --> 00:46:06.036]  Don't you tell me to get out of the way for you!
[00:46:06.056 --> 00:46:07.377]  Because you're gonna get a fight!
[00:46:08.477 --> 00:46:09.718]  You're gonna get one, believe me.
[00:46:10.038 --> 00:46:11.219]  And you're gonna get a serious one.
[00:46:12.480 --> 00:46:15.442]  And I, you know, the New World Order is your enemy, whether you figured it out or not.
[00:46:15.502 --> 00:46:16.463]  It's not me, the gringo.
[00:46:18.720 --> 00:46:21.190]  Do gringos predominate the global hierarchy?
[00:46:21.250 --> 00:46:21.551]  Yes!
[00:46:22.830 --> 00:46:25.871]  But if you hadn't, Latin Americans would have gotten all the power.
[00:46:25.891 --> 00:46:26.951]  It would be the same thing.
[00:46:27.311 --> 00:46:28.631]  It's the way humans operate.
[00:46:29.151 --> 00:46:32.672]  But the big gringos have got you convinced the little gringos are your problem.
[00:46:32.932 --> 00:46:36.653]  When the real elite, and I've got their own documents, they don't like the little gringos.
[00:46:37.153 --> 00:46:39.033]  They are most worried about the little gringos.
[00:46:39.813 --> 00:46:40.713]  Okay, understand that?
[00:46:41.273 --> 00:46:48.135]  And you're being used to bring down the middle class, whether it is a Mexican, Chinese, it doesn't matter.
[00:46:48.755 --> 00:46:49.475]  White, black,
[00:46:51.786 --> 00:46:52.726]  It's divide and conquer.
[00:46:52.906 --> 00:46:55.327]  It's called The Great Game by the British Empire.
[00:46:55.608 --> 00:46:56.688]  Google The Great Game.
[00:46:57.288 --> 00:46:58.189]  Art of statescraft.
[00:46:58.329 --> 00:47:00.050]  Learn how you're manipulated.
[00:47:05.613 --> 00:47:08.514]  Let's go ahead and play this Grand Theft Auto clip.
[00:47:08.554 --> 00:47:11.916]  This is a piece where they joke around with it, basically.
[00:47:12.857 --> 00:47:14.698]  Where they've taken video from it and re-edited it.
[00:47:14.738 --> 00:47:15.178]  Here it goes.
[00:47:19.155 --> 00:47:20.216]  It's a noisy laptop.
[00:47:20.236 --> 00:47:20.876]  We're going to fix it.
[00:47:20.956 --> 00:47:22.318]  My name is Brian O'Toole.
[00:47:22.758 --> 00:47:25.660]  I wanted to fight the war on terror, but I don't read so good.
[00:47:25.981 --> 00:47:27.282]  Most careers were closed to me.
[00:47:27.642 --> 00:47:29.764]  That's why I joined the LCPD.
[00:47:30.224 --> 00:47:34.047]  Now I'm on the front lines, helping tourists and fighting terrorists.
[00:47:34.668 --> 00:47:37.430]  I rifle through people's bags on the subway to protect freedom.
[00:47:37.750 --> 00:47:41.813]  I arrest protesters at political conventions for staying outside the free speech zone.
[00:47:42.134 --> 00:47:44.095]  Being a cop used to be about stopping crime.
[00:47:44.395 --> 00:47:48.359]  Now, thanks to politicians, it's about fighting terrorists, one old lady at a time.
[00:47:49.239 --> 00:47:51.461]  I'm protecting freedom, whatever the cost.
[00:47:51.841 --> 00:47:53.403]  I'm a hero, and I know it.
[00:48:01.169 --> 00:48:03.311]  Man, they have got it in this 45 second thing.
[00:48:03.351 --> 00:48:04.732]  I'm gonna play it again, it's just too good.
[00:48:04.752 --> 00:48:06.794]  I'm gonna play it again for you.
[00:48:10.626 --> 00:48:12.027]  My name is Brian O'Toole.
[00:48:12.448 --> 00:48:15.350]  I wanted to fight the war on terror, but I don't read so good.
[00:48:15.670 --> 00:48:16.972]  Most careers were closed to me.
[00:48:17.332 --> 00:48:19.474]  That's why I joined the LCPD.
[00:48:19.894 --> 00:48:23.737]  Now I'm on the front lines, helping tourists and fighting terrorists.
[00:48:24.358 --> 00:48:27.120]  I rifle through people's bags on the subway to protect freedom.
[00:48:27.441 --> 00:48:31.504]  I arrest protesters at political conventions for staying outside the free speech zone.
[00:48:31.824 --> 00:48:33.786]  Being a cop used to be about stopping crime.
[00:48:34.086 --> 00:48:38.070]  Now, thanks to politicians, it's about fighting terrorists, one old lady at a time.
[00:48:38.932 --> 00:48:41.121]  I'm protecting freedom, whatever the cost.
[00:48:41.543 --> 00:48:43.089]  I'm a hero, and I know it.
[00:48:45.918 --> 00:48:47.539]  Man, they really got the mindset.
[00:48:47.579 --> 00:48:49.220]  See how dumb that cop looks on this?
[00:48:49.560 --> 00:48:50.600]  Just totally dumb.
[00:48:50.640 --> 00:48:52.201]  Dumb as a box of rocks, man.
[00:48:53.162 --> 00:48:53.622]  I'm sorry.
[00:48:53.642 --> 00:48:57.224]  They're giving retards badges and guns now, and I've had enough of it.
[00:48:57.865 --> 00:48:59.385]  I mean, I look in some of these guys' eyes.
[00:48:59.446 --> 00:49:04.268]  I mean, when I was a kid growing up, you'd see cops who were always kind of shifty and sneaky looking, but you could tell they were smart.
[00:49:04.789 --> 00:49:09.331]  And now you look at them, it's like, duh, duh, duh, duh, duh, duh, duh, duh.
[00:49:09.631 --> 00:49:11.332]  And I'm not trying to be mean here.
[00:49:12.353 --> 00:49:23.934]  I mean, let them go, you know, clean the pigeon traps at the local park or clean the pools out or, you know, let them, you know, put a helmet on them and let them, you know, run around.
[00:49:25.026 --> 00:49:25.406]  Sorry.
[00:49:26.207 --> 00:49:27.408]  Man, I apologize, folks.
[00:49:27.468 --> 00:49:28.910]  I just can't handle it anymore.
[00:49:29.350 --> 00:49:35.155]  The image of that cop swaying back and forth, whoever did that, got the exact... I mean, I've looked at them do that.
[00:49:35.416 --> 00:49:38.558]  Because they do like this little meerkat dance of power.
[00:49:38.599 --> 00:49:42.782]  When they're doing something bad, they go... They always do that.
[00:49:44.044 --> 00:49:44.564]  I don't know.
[00:49:44.884 --> 00:49:46.326]  Man, this is incredible.
[00:49:46.886 --> 00:49:47.407]  Watch it!
[00:49:47.647 --> 00:49:47.988]  Watch it!
[00:49:48.048 --> 00:49:48.428]  Here it is.
[00:49:48.448 --> 00:49:49.570]  I can't help it.
[00:49:49.931 --> 00:49:51.894]  I mean, this is exactly what it looks like right here.
[00:49:52.294 --> 00:49:56.260]  The guy right at the end, I'm going to pause it on him, and that's who we're going to worship.
[00:49:56.300 --> 00:49:57.141]  That's going to be our new God.
[00:49:57.622 --> 00:49:58.303]  Oh, I'm sorry.
[00:49:58.323 --> 00:49:59.525]  I had the audio down.
[00:49:59.545 --> 00:50:00.747]  Let's just restart it here.
[00:50:01.291 --> 00:50:02.571]  Most careers were closed to me.
[00:50:02.931 --> 00:50:05.092]  That's why I joined the L.C.P.D.
[00:50:05.532 --> 00:50:06.652]  Now I'm on the front lines.
[00:50:07.052 --> 00:50:07.792]  Helping tourists.
[00:50:08.292 --> 00:50:09.332]  And fighting terrorists.
[00:50:09.952 --> 00:50:12.633]  I rifle through people's bags on the subway to protect freedom.
[00:50:12.653 --> 00:50:17.094]  I arrest protesters at political conventions for straying outside the free speech zone.
[00:50:17.414 --> 00:50:19.374]  Being a cop used to be about stopping crime.
[00:50:19.674 --> 00:50:22.315]  Now, thanks to politicians, it's about fighting terrorists.
[00:50:22.615 --> 00:50:24.395]  One old lady at a time.
[00:50:24.535 --> 00:50:26.695]  I'm protecting freedom, whatever the cost.
[00:50:27.135 --> 00:50:27.716]  I'm a hero.
[00:50:28.696 --> 00:50:29.776]  There he is, right there.
[00:50:30.876 --> 00:50:31.697]  That's him, dude.
[00:50:31.737 --> 00:50:32.998]  That is the Mac leader.
[00:50:33.478 --> 00:50:34.659]  David, New York, and others.
[00:50:34.719 --> 00:50:36.760]  Final segment straight ahead, In The Zone.
[00:50:37.201 --> 00:50:43.886]  I'll be showing my new film, Truth Rising, coming up this Saturday and Sunday on Woodrofthouse.
[00:50:44.946 --> 00:50:46.347]  It is a big idea.
[00:50:46.367 --> 00:50:48.469]  A new world order.
[00:50:49.190 --> 00:50:53.653]  In the near future, Earth is dominated by powerful world government.
[00:50:53.873 --> 00:50:55.794]  It's known as the Bilderberg.
[00:50:56.915 --> 00:50:59.077]  Could their objective be world domination?
[00:50:59.671 --> 00:51:02.092]  For thousands of years, their dark order grew.
[00:51:02.853 --> 00:51:10.197]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:51:13.197 --> 00:51:18.179]  For the first time in history, the elite's plan for world government is blown wide open.
[00:51:18.659 --> 00:51:22.300]  You will learn the secret that drives the entire New World Order agenda.
[00:51:22.520 --> 00:51:25.041]  Build America is making great progress toward a world government.
[00:51:25.101 --> 00:51:26.221]  Most people have no idea.
[00:51:26.241 --> 00:51:27.001]  They're not after money.
[00:51:27.021 --> 00:51:28.122]  They have all the money they need.
[00:51:28.322 --> 00:51:29.062]  They're after power.
[00:51:29.582 --> 00:51:30.502]  That's how they look.
[00:51:43.915 --> 00:51:45.295]  Wake up, Protestant America!
[00:51:45.515 --> 00:51:49.036]  There is an ecumenical movement now being planned to join church and state.
[00:51:49.196 --> 00:51:55.118]  This confederation of evangelicals, Catholics, and Protestant denominations will form one huge political voting bloc.
[00:51:55.238 --> 00:51:58.999]  Their agenda is enforcement of religious worship and morality by legislation.
[00:51:59.319 --> 00:52:03.800]  Our forefathers wrote the Bill of Rights to guarantee all Americans this freedom, liberty of conscience.
[00:52:04.060 --> 00:52:06.421]  History and the Bible prove to them that these two systems
[00:52:06.641 --> 00:52:08.522]  Church and state must be kept separate.
[00:52:08.722 --> 00:52:12.484]  It must be our love of God and of country that prompts or constrains us.
[00:52:12.784 --> 00:52:15.186]  This will change the character, not civil enforcement.
[00:52:15.386 --> 00:52:20.489]  From history we saw that when church and state united, known as Papal Rome, religious intolerance resulted.
[00:52:20.689 --> 00:52:24.071]  This union would go directly contrary to the great principles of our nation.
[00:52:24.351 --> 00:52:26.992]  America and Papal Rome are uniting in this agenda.
[00:52:27.152 --> 00:52:29.694]  Protestant America, awake before it is too late!
[00:52:29.914 --> 00:52:31.615]  The prophecies are fast fulfilling.
[00:52:31.835 --> 00:52:33.196]  Jesus is coming soon!
[00:52:33.416 --> 00:52:42.599]  For free materials call 888-211-1715 or write The Bible Says, Box 99, Lenore City, Tennessee, 37771.
[00:52:43.400 --> 00:52:49.282]  Attention GCN listeners, would you like to watch uncensored, unregulated, even banned TV on your computer?
[00:52:49.402 --> 00:53:00.867]  Well now you can watch satellite TV on your PC with an extremely simple hookup that allows computer owners to pick up more channels than any sane person can even watch without paying monthly cable or satellite fees.
[00:53:01.267 --> 00:53:02.108]  Here's the story.
[00:53:02.408 --> 00:53:10.271]  New video feed technology lets anyone with a high-speed internet connection gain instant access to an endless list of underground channels from all over the globe.
[00:53:10.572 --> 00:53:11.632]  And here's the best part.
[00:53:11.732 --> 00:53:13.013]  It's 100% legal.
[00:53:13.413 --> 00:53:19.476]  And it works at home, the office, or even in other countries to grab television channels and video feeds at your command.
[00:53:19.836 --> 00:53:20.516]  I think so.
[00:54:01.508 --> 00:54:04.869]  That's why you Genesis want to kill you.
[00:54:04.889 --> 00:54:06.850]  Take a shot, take a shot.
[00:54:06.950 --> 00:54:09.891]  Let's go ahead and get sterilized.
[00:54:10.212 --> 00:54:11.972]  Cause the government loves you.
[00:54:12.032 --> 00:54:16.334]  You know we're gonna kill you.
[00:54:16.934 --> 00:54:21.776]  To bring some lovin' here today.
[00:54:21.916 --> 00:54:24.558]  We're a criminal government.
[00:54:24.678 --> 00:54:26.298]  Criminal, criminal, criminal.
[00:54:26.558 --> 00:54:29.760]  Criminal, criminal, criminal, criminal.
[00:54:34.203 --> 00:54:34.843]  I got this A.V.
[00:54:34.903 --> 00:54:35.704]  Club newspaper.
[00:54:35.724 --> 00:54:37.644]  It's about Chris Carter, creator of the X-Files.
[00:54:37.664 --> 00:54:38.965]  He's making a new X-Files movie.
[00:54:39.805 --> 00:54:41.066]  And I was reading this this morning.
[00:54:42.586 --> 00:54:43.526]  And I meant to get to it today.
[00:54:43.546 --> 00:54:45.847]  I'm going to leave it on my desk and try to cover it tomorrow.
[00:54:46.427 --> 00:54:50.129]  But he just said, oh, you thought the old X-Files thought the government was bad behind everything.
[00:54:50.149 --> 00:54:51.889]  He goes, I really now believe that.
[00:54:52.470 --> 00:54:54.030]  And basically our country's gone.
[00:54:54.070 --> 00:54:56.131]  And so my new film says the government's pure evil.
[00:54:57.531 --> 00:55:01.833]  And then that is, we just found out on their website, that is a Grand Theft Auto trailer.
[00:55:03.192 --> 00:55:29.629]  and uh... what's the tagline the american dream wake up and uh... my gosh and chris carter says everybody's woken up to the government i think you guys went too far like with shell chescue so go ahead hire some more SWAT teams waddle around have haliburton moved to dubai and run public white slave rings it's over and for the good cops and good people in government i suggest you join us quickly because when grand theft auto and it doesn't get any more pop culture than that
[00:55:31.288 --> 00:55:37.492]  When Grand Theft Auto wakes up, the New World Order has got a serious, serious problem.
[00:55:37.512 --> 00:55:38.833]  That's a nice young lady right there.
[00:55:38.853 --> 00:55:40.555]  I'm sure she's very good.
[00:55:40.575 --> 00:55:42.996]  Probably a college student working hard.
[00:55:46.019 --> 00:55:48.140]  Let's go ahead and take another call.
[00:55:49.581 --> 00:55:50.422]  Oh, never mind.
[00:55:51.602 --> 00:55:52.763]  How are you doing Alex?
[00:55:52.783 --> 00:55:56.684]  I'll try to be as quick as possible since I know it's almost 4 o'clock.
[00:55:56.704 --> 00:55:58.625]  I just want to thank you for informing me 7 years ago.
[00:56:18.333 --> 00:56:25.777]  But one thing, I don't actually know, but it does sicken me that I think the government is behind AIDS, since you're actually talking about bioweapons.
[00:56:25.957 --> 00:56:27.038]  Oh, there's no doubt they're behind it.
[00:56:27.098 --> 00:56:27.738]  It's a fact, sir.
[00:56:28.358 --> 00:56:31.880]  So, I know I was actually reading and looking at the flowchart online.
[00:56:32.021 --> 00:56:35.703]  I'm just also wondering, have you ever had Dr. Boydie Graves on your show?
[00:56:36.866 --> 00:56:38.527]  Yes, I have.
[00:56:38.547 --> 00:56:41.990]  Would it be possible, maybe, for you to actually get him up again?
[00:56:42.010 --> 00:56:45.273]  Because I definitely would like to hear you question him and figure it out.
[00:56:45.293 --> 00:56:49.336]  Because I actually questioned everything, but the minute I saw the flowchart, it kind of opened my mind.
[00:56:49.736 --> 00:56:57.082]  Because, like you said, it's kind of hard to even sink that in, and it's sickened me since a lot of people's friends, family have died because of it.
[00:56:57.442 --> 00:56:59.464]  So, since you're on the topic of bioweapons, that's right.
[00:57:00.225 --> 00:57:00.746]  No, I hear it.
[00:57:00.786 --> 00:57:01.847]  It's a saddening topic.
[00:57:01.887 --> 00:57:04.269]  I shouldn't be joking around while you're even talking about it.
[00:57:05.730 --> 00:57:08.593]  It's terrible, and we're going to have more guests on about that.
[00:57:08.613 --> 00:57:09.894]  We've been having guests on about it.
[00:57:10.455 --> 00:57:12.897]  Endgame 2, I don't know if I'm going to call it Endgame 2.
[00:57:13.538 --> 00:57:14.939]  I might call it 2012 something.
[00:57:16.200 --> 00:57:19.003]  But that certainly is something we're working on, sir.
[00:57:20.154 --> 00:57:31.500]  I hear you talking recently about bioweapons, and most of your audience is informed, so for those that are listening in that don't know, you know that way you can open up their mind and also have other people that have no idea about it.
[00:57:31.540 --> 00:57:33.701]  Because I think that's something that should really be talked about.
[00:57:33.721 --> 00:57:34.221]  I hear you.
[00:57:34.261 --> 00:57:35.262]  We're out of time, David.
[00:57:35.302 --> 00:57:35.622]  Thank you.
[00:57:35.662 --> 00:57:43.166]  I'll be back tomorrow live, 11 to 3, Central Standard Time, and I will be back in one minute with the start of the first hour.
[00:57:43.186 --> 00:57:45.167]  A lot of key news and info got covered.
[00:57:45.187 --> 00:57:49.769]  If you missed any of it, if you just tuned in, the start of the show from four hours ago.
[00:57:50.289 --> 00:57:53.931]  It's about to re-air at InfoWars.com on those audio streams.
[00:57:55.352 --> 00:57:59.995]  A lot of key stuff that I covered right at the start of the show, so I hope you'll tune in to that right now.
[00:58:00.075 --> 00:58:02.297]  For all the MNFM stations out there, we appreciate you.
[00:58:02.897 --> 00:58:08.581]  All the sponsors, the listeners, the folks running the show here in Austin, John Harmon in Minnesota.
[00:58:09.041 --> 00:58:10.282]  Big guests coming up next week.
[00:58:10.802 --> 00:58:13.223]  Alamo Draft House, Saturday and Sunday.
[00:58:13.263 --> 00:58:14.044]  Get your tickets now.
[00:58:14.064 --> 00:58:16.405]  They're almost sold out at InfoWars.com.
[00:58:16.445 --> 00:58:17.106]  God bless you all.
[00:58:19.312 --> 00:58:21.356]  Again, retransmission starts now at InfoWars.com.
[00:58:21.376 --> 00:58:22.839]  InfoWars.com!
