[00:00:00.009 --> 00:00:01.170]  Saudi Arabian connection.
[00:50:17.714 --> 00:50:22.035]  So even the locals on the floor, the exchange guys making a lot of money are still getting hosed by
[00:50:22.591 --> 00:50:23.251]  The big banks.
[00:50:23.311 --> 00:50:27.133]  I mean, it's not... That's right, they make them turn deals in and change them at the head.
[00:50:27.613 --> 00:50:28.093]  Exactly.
[00:50:28.293 --> 00:50:33.075]  And then what happened was, a couple years ago, the FBI did an investigation into that after the Bell trading.
[00:50:33.095 --> 00:50:37.376]  Because the Bell fell out at 3 o'clock, and then you've got to be done trading on the pits.
[00:50:37.736 --> 00:50:43.018]  Well, what was happening was, people might have made trades a couple minutes, you know, like 20 seconds late or something like that.
[00:50:43.058 --> 00:50:45.619]  So they put a bunch of FBI guys down in the pits.
[00:50:46.839 --> 00:50:49.760]  And they did this investigation to try to find, you know, what's going on, what's going on.
[00:50:49.800 --> 00:50:51.941]  Hold on, I want to hear more about this when we get back.
[00:50:53.066 --> 00:50:54.575]  The United States of corruption.
[00:50:55.399 --> 00:50:56.706]  The inmates running the asylum.
[00:50:59.847 --> 00:51:03.109]  Silver is mankind's oldest natural antibiotic.
[00:51:03.289 --> 00:51:07.352]  This very special mineral has been used for centuries by most cultures throughout the world.
[00:51:07.532 --> 00:51:18.980]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water without use of animal protein, nitrates, or saline solutions.
[00:51:19.200 --> 00:51:29.647]  Because our colloidal silver is made up of nano-sized particles, it can be better utilized at the cellular level, and germs can't mutate to be resistant like they can to modern-day antibiotics.
[00:51:29.967 --> 00:51:30.488]  I think so.
[00:52:00.049 --> 00:52:06.052]  Unlike any other in the long course of American history, a terrorist act of war against this country.
[00:52:06.432 --> 00:52:08.393]  The enemy struck America on September 11th.
[00:52:09.073 --> 00:52:10.094]  But who is the enemy?
[00:52:10.614 --> 00:52:11.154]  Bin Laden.
[00:52:11.414 --> 00:52:12.435]  This is his ammo.
[00:52:12.455 --> 00:52:13.716]  We have to look to the Middle East.
[00:52:13.756 --> 00:52:15.416]  We have to look to Osama Bin Laden.
[00:52:15.777 --> 00:52:22.540]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:52:22.920 --> 00:52:23.360]  Some U.S.
[00:52:23.400 --> 00:52:29.063]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:52:29.743 --> 00:52:33.204]  I'm aware that some Israeli citizens have been detained.
[00:52:33.224 --> 00:52:35.405]  Either you are with us, or you are with the terrorists.
[00:52:59.727 --> 00:53:01.709]  How much food do you have in your fridge?
[00:53:01.990 --> 00:53:04.974]  How long would it last in the event of a nationwide crisis?
[00:53:05.074 --> 00:53:09.621]  SurvivalGearsource.com is America's number one source for survival kits and supplies.
[00:53:11.198 --> 00:53:14.081]  SurvivalGearSource.com is everything you need to be prepared.
[00:53:14.141 --> 00:53:16.764]  Get your storable food at SurvivalGearSource.com.
[00:53:16.884 --> 00:53:19.807]  We've supplied thousands of Americans with our ready-to-eat meals.
[00:53:20.007 --> 00:53:22.149]  Sealed, portable, and will last for years.
[00:53:22.250 --> 00:53:24.232]  Get your portable flameless ovens for cooking.
[00:53:24.312 --> 00:53:26.514]  Get your ultra-portable survival kits now.
[00:53:26.654 --> 00:53:28.056]  Tailored for 1, 4, 10, or even the 100-person
[00:53:29.417 --> 00:53:29.677]  I think so.
[00:54:04.301 --> 00:54:08.524]  Don't call your name out my window, I'm leavin'.
[00:54:11.445 --> 00:54:16.028]  Don't call my name out your window, I'm leavin'.
[00:54:17.469 --> 00:54:21.031]  I won't even turn my... Yeah, he's gonna go ramblin'.
[00:54:21.791 --> 00:54:23.592]  Walkin' from town to town for a few weeks.
[00:54:24.313 --> 00:54:26.854]  Wouldn't make it far, he'd be tasered to death within hours.
[00:54:27.675 --> 00:54:28.515]  Ha ha ha!
[00:54:28.656 --> 00:54:29.976]  Land of the free, home of the brave.
[00:54:29.996 --> 00:54:31.277]  What are you doin', boy?
[00:54:31.817 --> 00:54:32.598]  Walkin' down the street.
[00:54:34.229 --> 00:54:34.769]  Huh?
[00:54:34.949 --> 00:54:40.571]  I'm gonna light you up a little voltage.
[00:54:41.091 --> 00:54:44.032]  Just lay there and let the government urinate on ya.
[00:54:44.052 --> 00:54:46.732]  That's what it's all about.
[00:54:46.832 --> 00:54:48.873]  Land of the slave, home of the coward.
[00:54:48.893 --> 00:54:52.634]  That's right, you're the masters, we're the slaves.
[00:54:52.754 --> 00:54:53.354]  Yes, sir, boss.
[00:54:55.006 --> 00:54:56.027]  We are the slaves.
[00:54:56.307 --> 00:54:57.708]  You are in charge!
[00:54:58.228 --> 00:54:59.850]  You are burning America down!
[00:55:00.170 --> 00:55:01.191]  You're taking her down!
[00:55:01.271 --> 00:55:02.031]  Good job!
[00:55:02.532 --> 00:55:04.733]  And it's going to get a lot worse a lot faster.
[00:55:07.896 --> 00:55:12.519]  Alright, look, I got phones loaded, tons of audio clips, tons of news I want to cover.
[00:55:15.201 --> 00:55:19.364]  You know, I just use the scheme-ass cop as the image of the New World Order.
[00:55:19.544 --> 00:55:22.146]  I'm talking about the government, the social engineers.
[00:55:22.286 --> 00:55:24.248]  They're the ones that caused all this.
[00:55:26.025 --> 00:55:27.226]  And, look in the mirror.
[00:55:27.866 --> 00:55:28.267]  It's us.
[00:55:28.707 --> 00:55:29.467]  We did this.
[00:55:31.709 --> 00:55:34.771]  If you become decadent and lay down, evil will fill the vacuum.
[00:55:36.452 --> 00:55:39.894]  I want to get into Henry Paulson and the martial law threat.
[00:55:39.914 --> 00:55:41.295]  You know, we just calmly talk about it now.
[00:55:41.716 --> 00:55:45.738]  Oh, now the Senators admit it's Henry Paulson threatening martial law.
[00:55:45.778 --> 00:55:46.739]  They didn't go along.
[00:55:47.279 --> 00:55:48.961]  Oh, yeah, they're building FEMA camps.
[00:55:49.261 --> 00:55:49.901]  Oh, yeah.
[00:55:50.381 --> 00:55:52.983]  Oh, Dick Cheney's been indicted by a Texas grand jury.
[00:55:54.400 --> 00:55:55.400]  Just no big deal.
[00:55:56.261 --> 00:55:58.142]  Going back to John in Illinois.
[00:55:58.842 --> 00:56:00.163]  So there's all these FBI agents.
[00:56:00.643 --> 00:56:03.124]  Was this the mercantile or was this on the stock exchange?
[00:56:03.184 --> 00:56:03.984]  He just dropped off.
[00:56:04.304 --> 00:56:05.185]  He just dropped off!
[00:56:05.225 --> 00:56:06.245]  I wanted to hear his story!
[00:56:07.526 --> 00:56:08.987]  But I couldn't sing for 60 seconds?
[00:56:09.007 --> 00:56:09.747]  Alright, doesn't matter.
[00:56:09.967 --> 00:56:11.228]  Call back some other day and tell me, John.
[00:56:11.468 --> 00:56:14.829]  That's fine, because I wanted to finish this before the hour ended this hour.
[00:56:15.189 --> 00:56:18.391]  I know some stations don't carry the fourth hour, because that's somewhat new.
[00:56:18.411 --> 00:56:19.891]  We've been doing it only about six or seven months.
[00:56:22.304 --> 00:56:22.744]  Here it is.
[00:56:23.285 --> 00:56:24.866]  PrisonPlanet.com.
[00:56:24.946 --> 00:56:28.729]  Paulson was behind bailout martial law threat.
[00:56:28.829 --> 00:56:33.732]  Inhofe says Treasury Secretary made dire warnings in conference call on September 19th.
[00:56:33.752 --> 00:56:34.713]  Well, we talked to two congressmen.
[00:56:34.733 --> 00:56:38.516]  It was a threat of the President doing it without Congress under martial law.
[00:56:39.056 --> 00:56:53.022]  But here is Senator Inhofe yesterday on the syndicated radio show and we have a link to that at the bottom of the page with him on the Tulsa News Station.
[00:56:53.402 --> 00:56:57.604]  So here is Senator Inhofe yesterday saying it was Paulson.
[00:57:00.763 --> 00:57:01.684]  Somebody in D.C.
[00:57:01.764 --> 00:57:04.766]  was feeding you guys quite a story prior to the bailout.
[00:57:04.806 --> 00:57:10.691]  A story that if we didn't do this, if we didn't do this, we were going to see something on the scale of the Depression.
[00:57:10.751 --> 00:57:17.356]  There were people that were talking about, you know, martial law being instituted, civil unrest, all this kind of stuff.
[00:57:17.396 --> 00:57:18.857]  Who was feeding you guys this stuff?
[00:57:18.877 --> 00:57:23.000]  Because, I mean, clearly it worked on Sullivan, clearly it worked on Coburn.
[00:57:23.280 --> 00:57:23.961]  It didn't work on you.
[00:57:24.041 --> 00:57:25.242]  Who was feeding you this information?
[00:57:25.262 --> 00:57:25.923]  That's Henry Paulson.
[00:57:26.243 --> 00:57:27.704]  We had a conference call.
[00:57:28.320 --> 00:57:38.728]  Early on, it was on a Friday, I think a week and a half before this, the vote on October 1st, so it would have been the middle, what was it, 19th of September, we had a conference call.
[00:57:39.809 --> 00:57:57.402]  In this conference call, and I guess there's no reason for me not to repeat what he said, but he painted this picture you just described, he said, this is serious, this is the most serious thing that we face, it's far going to be far worse than the Great Depression of the 30s, and all these things, he was very descriptive of exactly what would happen if
[00:57:58.144 --> 00:58:03.828]  If we didn't buy out these toxic assets, which he abandoned the day after he got the money.
[00:58:05.229 --> 00:58:09.471]  Okay, that was Senator Inhofe on Tulsa, Oklahoma's 1170 KFAQ.
[00:58:09.491 --> 00:58:10.152]  Appreciate that.
[00:58:10.172 --> 00:58:14.615]  It's up on PrisonPlanet.com in this headline.
[00:58:15.055 --> 00:58:16.916]  By the way, I've got some news articles I've been wanting to show you.
[00:58:16.996 --> 00:58:23.380]  People send us news clippings, and I thought, why not every day or a few times a week on the document cam or live at PrisonPlanet.tv
[00:58:25.020 --> 00:58:27.582]  Why not show people some of those clippings?
[00:58:27.982 --> 00:58:28.983]  And I've got some of those.
[00:58:29.063 --> 00:58:32.665]  Like, the government wants to put cameras in all our cars to watch us.
[00:58:33.106 --> 00:58:35.527]  They're doing a study up north on this.
[00:58:35.607 --> 00:58:37.048]  So, that's coming up too.
[00:58:37.108 --> 00:58:37.609]  Stay with me.
[00:58:37.629 --> 00:58:41.712]  I'm going to keep rolling right now.
[00:58:41.812 --> 00:58:41.992]  Yeah.
[00:58:42.092 --> 00:58:46.895]  Let's go ahead and get the document cam set up.
[00:58:48.216 --> 00:58:50.638]  Where's my remote control to control the document cam?
[00:58:52.029 --> 00:58:53.550]  I've got such a messy desk in here.
[00:58:53.710 --> 00:58:55.071]  I can't keep track of it all anymore.
[00:58:56.852 --> 00:58:57.232]  Oh, we're good?
[00:58:57.252 --> 00:58:58.493]  We're on the document cam right now?
[00:58:58.793 --> 00:58:59.314]  Okay, good.
[00:59:00.915 --> 00:59:01.515]  Fabulous.
[00:59:01.875 --> 00:59:03.156]  Absolutely fabulous.
[00:59:04.337 --> 00:59:07.559]  I'll go dig those articles out I've got in the other room and show those later.
[00:59:08.359 --> 00:59:09.800]  Here's Paulson right here, folks.
[00:59:10.681 --> 00:59:12.002]  Oh, loving Paulson.
[00:59:12.882 --> 00:59:13.703]  Turn the lights on.
[00:59:17.512 --> 00:59:18.792]  So, uh, there he is.
[00:59:18.972 --> 00:59:21.393]  Folks, I'm just punch drunk with these allergies or whatever.
[00:59:21.533 --> 00:59:22.653]  Everybody in town has been sick.
[00:59:22.733 --> 00:59:26.835]  I mean, everybody I know, with their heads about to explode for two, three weeks in Austin.
[00:59:27.795 --> 00:59:30.616]  And I have family grew up here.
[00:59:30.656 --> 00:59:34.017]  My mother, my grandmother, none of them ever had allergies till now.
[00:59:34.077 --> 00:59:35.137]  Now they're all sick too.
[00:59:35.197 --> 00:59:36.137]  Something's going on.
[00:59:37.577 --> 00:59:39.478]  I'll just eat some more GMO food.
[00:59:39.978 --> 00:59:40.678]  Everything's fine.
[00:59:41.058 --> 00:59:43.599]  Paulson was behind bailout martial law threat.
[00:59:44.539 --> 00:59:45.960]  Give him a little mustache there.
[00:59:46.080 --> 00:59:46.500]  There we go.
[00:59:47.756 --> 00:59:49.738]  Now let's give him a little... There you go.
[00:59:50.598 --> 00:59:51.899]  Now he looks a little bit better.
[00:59:55.622 --> 00:59:56.623]  Talk about a dark guy.
[00:59:56.643 --> 00:59:59.546]  He is with the Nature Conservancy.
[01:00:00.346 --> 01:00:01.647]  He is a eugenicist.
[01:00:02.728 --> 01:00:03.449]  Anti-human.
[01:00:04.330 --> 01:00:06.451]  And boy, he's going to hurt you bad and your family.
[01:00:06.511 --> 01:00:11.315]  That's what it's all about.
[01:00:11.335 --> 01:00:11.916]  Here we go live.
[01:00:19.481 --> 01:00:21.445]  We are live, ladies and gentlemen.
[01:00:21.806 --> 01:00:26.777]  I want to go ahead now into our second hour here on PrisonPlanet.tv, doing two hours today.
[01:00:30.162 --> 01:00:31.803]  I want to go ahead and go to this first clip.
[01:00:31.863 --> 01:00:42.090]  This is Dr. Michael Kaufman from Endgame 1.5, reading from a government commission study about what they were going to do to the public, breaking up the family, drugging the population.
[01:00:42.410 --> 01:00:44.171]  I played this earlier in the week, but I want to play it again.
[01:00:44.191 --> 01:00:46.233]  And then the next segment, I'm going to play the clip.
[01:00:47.790 --> 01:00:48.830]  I don't know why I don't just play it from here.
[01:00:48.850 --> 01:00:50.751]  I can actually play the video from here to show it to folks.
[01:00:50.771 --> 01:00:53.952]  But regardless, it's up on InfoWars.com and PrisonPlanet.com.
[01:00:54.292 --> 01:01:08.637]  This other clip from Endgame 1.5, that's on PrisonPlanet.tv, where Estalin, in June of 2006, were at the hotel after he had just met, literally in the woods near the hotel.
[01:01:08.677 --> 01:01:11.998]  He had to go out the back and hide from people following him.
[01:01:12.018 --> 01:01:13.878]  We were being followed around in the hotels.
[01:01:14.138 --> 01:01:15.019]  That happened this year up in
[01:01:16.135 --> 01:01:18.596]  Up in Virginia, we had spooks all over us.
[01:01:18.616 --> 01:01:21.478]  I mean, flipping us off, wearing clown masks, following us.
[01:01:22.018 --> 01:01:23.559]  Oh, yeah, wait until all that footage comes out.
[01:01:24.780 --> 01:01:30.302]  Paul, you're... Paul didn't see... I usually just hire folks, you know, like, hey, you look like a good person to work for me.
[01:01:30.322 --> 01:01:32.784]  You know, you're doing a good job over here at this other radio station.
[01:01:32.804 --> 01:01:33.604]  I do a show out of here.
[01:01:33.644 --> 01:01:34.104]  Come over here.
[01:01:34.444 --> 01:01:35.725]  He had no idea what he was getting into.
[01:01:36.746 --> 01:01:40.027]  But... Yes, Paul, we have it all on tape.
[01:01:40.888 --> 01:01:44.750]  Let's go ahead... I mean, there's photos and video of him in the mask and flipping us off.
[01:01:45.737 --> 01:01:48.698]  Those have been posted on InfoWars.com, but side issue.
[01:01:49.798 --> 01:01:50.738]  Here is Kaufman.
[01:01:50.758 --> 01:01:51.138]  Stay with us.
[01:01:51.799 --> 01:02:03.381]  Back in 1965, the Department of Health and Education and Welfare, HEW, sponsored a study to define how they're going to get from where they were then in 1965 to where we are now in the 21st century.
[01:02:06.420 --> 01:02:14.905]  They came out with a report in 1969 called the Behavioral Science Teacher Education Program that's now fully integrated within our educational program.
[01:02:15.286 --> 01:02:24.811]  And this is what they said, and I want to have you hang on to your hats because you will not believe what they planned to do back in 1965-69 and what is happening actually today.
[01:02:25.792 --> 01:02:31.896]  He said, calculations of the future and how to modify it are no longer considered to be an obscure academic pursuit.
[01:02:32.586 --> 01:02:37.490]  Long-range planning and implementation of plans will be made by a technological scientific elite.
[01:02:37.890 --> 01:02:40.692]  This will strain the democratic fabric to the ripping point.
[01:02:41.293 --> 01:02:46.757]  The Protestant ethic will atrophy as more and more enjoy a varied leisure and guaranteed sustenance.
[01:02:47.397 --> 01:02:50.600]  Work as a means and an end of living will diminish.
[01:02:51.080 --> 01:02:58.866]  Most people will tend to be hedonistic, and a dominant elite will provide the bread and circuses to keep social dissension and disruption to a minimum.
[01:02:59.426 --> 01:03:01.868]  A small elite will carry society's burdens.
[01:03:02.554 --> 01:03:09.921]  The resulting impersonal manipulation of most people's lifestyles will be softened by provision for pleasure-seeking and guaranteed physical necessities.
[01:03:10.582 --> 01:03:15.907]  The controlling elite will engage in power plays largely without the involvement of most of the people.
[01:03:16.287 --> 01:03:17.589]  And that is so true today.
[01:03:18.169 --> 01:03:21.172]  Most people have no idea what's going on in the international arena.
[01:03:21.332 --> 01:03:21.833]  Have none.
[01:03:22.213 --> 01:03:24.115]  Almost all of this is being done in secrecy.
[01:03:25.094 --> 01:03:26.236]  Going on with this report.
[01:03:26.576 --> 01:03:28.358]  The society will be a leisurely one.
[01:03:28.478 --> 01:03:30.361]  People will study, play, and travel.
[01:03:30.461 --> 01:03:33.805]  Some will be in various stages of the drug-induced experiences.
[01:03:34.451 --> 01:03:34.931]  It's amazing
[01:04:03.806 --> 01:04:09.090]  How back in the 1960s, they begin the process of getting us to where we are right now.
[01:04:09.270 --> 01:04:14.933]  If you look at society today, almost every one of the characteristics that I read have come true.
[01:04:15.054 --> 01:04:16.735]  We are living in a planned society.
[01:04:17.155 --> 01:04:20.737]  We are living focused on leisure and recreation.
[01:04:21.038 --> 01:04:22.839]  We live in a drug-induced society.
[01:04:23.259 --> 01:04:27.082]  All of the things that they talked about in the 1960s have become a reality by the 21st century.
[01:04:28.789 --> 01:04:31.711]  This is the level of extent of control that they have.
[01:04:32.131 --> 01:04:36.454]  Most people's opinions are not done by through education and through knowledge.
[01:04:36.675 --> 01:04:39.136]  They're done by molding your ideas.
[01:04:39.837 --> 01:04:50.424]  And that's why it's very hard for the average person to understand the fact that we're moving into a global society that is totally controlled by puppeteers, the global elite.
[01:04:51.385 --> 01:04:54.407]  And moving towards their ultimate objective of having world government.
[01:04:56.368 --> 01:04:57.029]  We'll be right back.
[01:05:00.137 --> 01:05:01.439]  Hello, this is Steve Schenck.
[01:05:01.980 --> 01:05:05.405]  The economic disaster is taking food out of the mouths of our families.
[01:05:05.825 --> 01:05:08.109]  Let me go ahead and talk to John.
[01:05:08.129 --> 01:05:14.558]  Yeah, we keep getting all these emails and calls going, you guys are talking during the breaks.
[01:05:15.139 --> 01:05:15.940]  Yes, we know that.
[01:05:16.670 --> 01:05:30.390]  That's the whole point, is that at PrisonPlanet.tv, when you're a member of PrisonPlanet.tv, you get to see what's going on behind the scenes here, the document cam exclusive video that we stream first here on air, everything!
[01:05:31.288 --> 01:05:34.649]  And then we also archive all that for PrisonPlanet.tv members.
[01:05:34.709 --> 01:05:39.030]  So if you're listening on the internet streams that are free, please spread the word about them.
[01:05:39.070 --> 01:05:42.031]  Don't forget we have a free podcast at InfoWars.com.
[01:05:42.051 --> 01:05:45.292]  You can subscribe to it, not just to the streams, to listen to how you want, when you want.
[01:05:45.312 --> 01:05:46.732]  We have the archives posted as well.
[01:05:46.772 --> 01:05:51.334]  That's now there the last few months in the non-podcast delivery form.
[01:05:51.954 --> 01:05:53.514]  It's about $110,000 a day now.
[01:05:53.994 --> 01:05:55.695]  We're downloading the free podcast during the week.
[01:05:56.618 --> 01:06:00.779]  The Sunday show, only about 65,000 are downloading that show each day after the show.
[01:06:01.039 --> 01:06:02.620]  But it's growing about 5,000 a week.
[01:06:03.100 --> 01:06:04.120]  So that's quite a growth curve.
[01:06:04.520 --> 01:06:10.282]  And the millions of listeners on the AM and FM dial, it's very, very exciting and I'm honored to be your host and honored that you're supporting us.
[01:06:10.902 --> 01:06:19.544]  And yeah, until December 25th, we have five plus, it comes up to 5.3 months, free, when you sign up at PrisonPlanet.tv.
[01:06:20.004 --> 01:06:23.205]  And especially for our web-savvy folks, this is so easy to do.
[01:06:24.329 --> 01:06:25.590]  Takes about a minute to sign up.
[01:06:25.650 --> 01:06:27.671]  You get a monthly membership or a yearly membership.
[01:06:27.691 --> 01:06:31.292]  But really, you pay for 6.7 months and you get 5.3 months free.
[01:06:31.732 --> 01:06:33.053]  That's the special we're doing right now.
[01:06:33.073 --> 01:06:38.655]  You get a year, pay for a year, you get five plus months free at PrisonPlanet.tv.
[01:06:39.396 --> 01:06:46.479]  And before, when we didn't have really powerful servers, we would keep it to about two or three IP addresses so people couldn't share their passcode.
[01:06:47.780 --> 01:06:50.441]  Now that we have these great CDNs and stuff isn't overloaded,
[01:06:51.445 --> 01:06:51.645]  Yes!
[01:07:14.921 --> 01:07:15.281]  Boom!
[01:07:15.822 --> 01:07:18.623]  They are on there downloading it, watching it in high quality.
[01:07:18.643 --> 01:07:19.964]  I mean it's almost TV quality.
[01:07:20.405 --> 01:07:25.508]  So please support PrisonPlanet.tv and it is a great gift to give.
[01:07:25.548 --> 01:07:30.651]  You'll save a lot of money not battling people at the stores or the economy so bad there's not much battling going on.
[01:07:31.952 --> 01:07:39.476]  But you'll save a lot of money, it's inexpensive, and it gives the gift of knowledge and information there at PrisonPlanet.tv.
[01:07:39.536 --> 01:07:53.724]  And yes, with this economy going down, we need to be capitalized more than ever, so I can keep all my troops hired, you know, my crew here on board, so we can keep fighting now in these dark times that we're needed more today than ever before.
[01:07:54.265 --> 01:07:55.665]  Here we go back to the full audience.
[01:07:55.926 --> 01:07:57.767]  That Kaufman clip's basically over, isn't it, John?
[01:07:58.867 --> 01:07:59.788]  It's got about a minute left.
[01:08:00.296 --> 01:08:04.219]  Okay, yeah, let's come back in and finish that and then play the next clip from Endgame 1.5.
[01:08:07.882 --> 01:08:10.684]  That's right, the GCN Radio Network, I am Alex Jones.
[01:08:11.684 --> 01:08:16.948]  Darryl Rundas, who popped in last week with ideas of taking on the New World Order, will be with us in the last 30 minutes of the day again.
[01:08:16.968 --> 01:08:22.813]  I know we have calls, a bunch of clips I want to play, some other news, jam-packed final hour here.
[01:08:23.373 --> 01:08:25.395]  But before I do that today,
[01:08:26.953 --> 01:08:31.380]  I wanted to finish up the Dr. Michael Kaufman clip and then another clip from Endgame, so here it is.
[01:08:32.421 --> 01:08:35.906]  They have created various crises along the way over the last 100 years.
[01:08:36.006 --> 01:08:38.329]  World War I, as we've talked about, was contrived.
[01:08:38.389 --> 01:08:39.671]  World War II was contrived.
[01:08:39.691 --> 01:08:43.697]  We got the United Nations as a result of World War II, which is one of their big goals.
[01:08:44.326 --> 01:08:52.695]  Even though they denied the fact that they ever intended to have the United Nations as a world government, some of their more esoteric documents show very clearly that that's what they intended right from the start.
[01:08:52.975 --> 01:08:55.938]  And we're starting to see that now with the Commission on Global Governance.
[01:08:56.379 --> 01:09:03.927]  All the international treaties that we're looking at, especially the environmental treaties, basically are like these strands over Gulliver and Gulliver's travels.
[01:09:04.554 --> 01:09:31.414]  One strand does not necessarily trap us, but when you have hundreds of these international treaties and all of these regulations, when you have the North American Union where you give up your basic sovereignty to a group of international bureaucrats, all of these things are strands that literally tie us down to the point that we no longer have freedom to cause development, we no longer have economic freedom, we no longer have a free market enterprise, we no longer have the ability to profit from innovation.
[01:09:31.974 --> 01:09:33.876]  And that will ultimately destroy us.
[01:09:34.426 --> 01:09:53.101]  Now that we no longer have war to maintain stability within the population, maintain control, which kings and queens and bureaucrats and tyrants and so forth through history have used war, we have to have an alternative form of terror in order to maintain the stability of people and the allegiance of people behind their government.
[01:09:53.661 --> 01:09:55.783]  That is now taking the form of terrorism.
[01:09:57.984 --> 01:09:59.065]  Absolutely, okay.
[01:10:00.495 --> 01:10:04.298]  We're also going to stream this video at PrisonPlanet.tv, but we're going to play it from John's end.
[01:10:05.018 --> 01:10:07.780]  This is Daniel Estillin, and then it cuts into some other people.
[01:10:08.741 --> 01:10:14.505]  Myself, Jim Tucker, talking about the inside info from Bilderberg two and a half years ago.
[01:10:15.025 --> 01:10:17.507]  And he talks about how they were going to go up to $150 a barrel.
[01:10:18.148 --> 01:10:19.689]  It had hit $60 a barrel then.
[01:10:20.029 --> 01:10:23.431]  He talks about how they're going to sucker people back in the stock market by running it up to $14,000.
[01:10:23.511 --> 01:10:25.413]  I mean, they run things, folks, okay?
[01:10:28.716 --> 01:10:29.802]  This is really happening.
[01:10:30.426 --> 01:10:31.311]  So, here it is.
[01:10:34.454 --> 01:10:41.358]  One of the things that, you know, we're getting from this morning's conference, this morning's conference was about the energy crisis in the rest of the world.
[01:10:41.398 --> 01:10:57.928]  The afternoon conference, which started about 4 o'clock, 4-4-30, they were talking about one of the American delegates, I wasn't told who exactly it was, was talking about the concern that the American citizens have had with the housing crisis going down, so they're not investing that money.
[01:10:57.948 --> 01:11:01.731]  So what they needed to do is they needed to create the illusion that everything is going well.
[01:11:01.751 --> 01:11:03.912]  So what they're going to do over the next year, year and a half,
[01:11:04.352 --> 01:11:04.612]  We're good.
[01:11:14.512 --> 01:11:15.133]  Bottom dropout.
[01:11:15.153 --> 01:11:28.704]  They need to destroy the economy, because as we're running out of oil, when people don't travel, at least that's what they're saying, when people don't travel, when people don't have money, they don't travel, they don't spend any money, which means they don't waste a lot of oil and natural gas.
[01:11:29.145 --> 01:11:32.708]  That's actually the true people, who are members of the Bill of Rights Club.
[01:11:32.728 --> 01:11:38.252]  They're members of the Bill of Rights Club, who for years and years and years have been going and participating in all the conversations.
[01:11:38.272 --> 01:11:39.653]  They've always been there, always.
[01:11:40.214 --> 01:11:42.075]  And last year they said the oil prices are going to go up to 150,
[01:11:43.089 --> 01:11:45.870]  At the time it was 39, went up to 76, basically doubled.
[01:11:46.270 --> 01:11:50.031]  If it doubles again, it's going to be back to where these people should be.
[01:11:50.471 --> 01:11:53.211]  Well, the Iran thing is on the back burner.
[01:11:53.411 --> 01:12:07.215]  It was very much on the agenda last year, but from what I'm getting at this year's lunch, today's lunch, today's lunch, and a few people playing golf, Iran is definitely sour, and they're not exactly sure how to do this thing.
[01:12:07.315 --> 01:12:09.395]  There's just too many consequences, too many repercussions.
[01:12:09.995 --> 01:12:11.036]  Anyway, they told him no.
[01:12:12.376 --> 01:12:16.160]  I mean, they said don't attack Iraq, half of them back in... Well, I think it's different.
[01:12:16.180 --> 01:12:22.828]  I think the Bush administration is not in the same position as they were two, three, four years ago as they are now.
[01:12:22.868 --> 01:12:25.491]  So the whole point is that... 28% of her writing, yeah.
[01:12:25.611 --> 01:12:29.255]  We still have two days of Bill of Rights, because it started late, a day late.
[01:12:29.275 --> 01:12:31.698]  It's going to go on until Sunday afternoon.
[01:12:31.778 --> 01:12:33.220]  I think it's going to go Sunday morning still.
[01:12:33.900 --> 01:12:40.104]  The New World Order, as we're seeing it evolve, is exactly the opposite of what our Founding Fathers intended by developing the Constitution.
[01:13:01.308 --> 01:13:07.292]  The tri-part form of government where you have division of powers between the legislative, judicial, and executive branches.
[01:13:08.473 --> 01:13:16.739]  When our founding fathers established the Constitution in the United States, they intended to have the local government as being the superior government over the state government and the federal government.
[01:13:17.199 --> 01:13:21.242]  Unfortunately, over the last 50 years, the reverse has occurred.
[01:13:21.442 --> 01:13:23.724]  Now we have an all-powerful federal government.
[01:13:24.204 --> 01:13:26.366]  Jefferson said when that happens, we will have a
[01:13:27.133 --> 01:13:31.815]  Tyranny that is far worse than the one that they had just separated, which was, of course, England.
[01:13:32.516 --> 01:13:37.658]  We now have a government, basically, that is a tyrannical form of government in the federal government.
[01:13:37.678 --> 01:13:42.901]  It will become more so in the future because they have no accountability to the actual local person.
[01:13:43.301 --> 01:13:52.746]  The reason why we had local government as being the most powerful government in our Constitution was the fact that these were people that were being elected by the people over which they had jurisdiction.
[01:13:53.226 --> 01:13:56.308]  Now we have jurisdiction by bureaucracy at the federal level
[01:13:56.581 --> 01:13:58.943]  That has no accountability whatsoever to the local person.
[01:13:59.463 --> 01:14:02.245]  And that will always result in tyranny, eventually.
[01:14:02.466 --> 01:14:14.435]  Middlebury's ultimate goal is a world government, for the United Nations to evolve into a world government, and they're making progress, and we must stop that progress.
[01:14:16.417 --> 01:14:23.342]  The fact that the UN is now the standing army of, I mean, NATO is now the standing army
[01:14:24.125 --> 01:14:35.328]  of the United Nations that was established at the 50th anniversary celebration of NATO, pending before the UN.
[01:14:35.348 --> 01:14:35.708]  Okay.
[01:14:36.828 --> 01:14:45.131]  And then of course, Jim later predicted that George Bush was actually going to say global warming was real, that we needed the carbon tax, which he indeed later did do.
