[00:00:02.870 --> 00:00:04.771]  We now go to Dr. Nick Begich.
[00:50:14.261 --> 00:50:16.142]  We're going to continue right now.
[00:50:23.044 --> 00:50:24.666]  Okay, uh, anything else, Mason?
[00:50:25.708 --> 00:50:26.629]  Um, one more thing.
[00:50:27.029 --> 00:50:29.232]  Um, I was thinking about buying a rifle.
[00:50:29.913 --> 00:50:30.494]  You think I should?
[00:50:31.014 --> 00:50:31.275]  Yes.
[00:50:32.176 --> 00:50:34.138]  Okay, I was thinking about getting like a semi-automatic AK.
[00:50:35.031 --> 00:50:39.815]  Well, I wouldn't call it an AK, because your weak-minded neighbors will say he's got an AK.
[00:50:39.855 --> 00:50:47.202]  And an AK is a fully automatic, and without your federal firearms stamp, you'll be SWAT team rated, and they'll call you a terrorist.
[00:50:47.242 --> 00:50:50.124]  Plus, you don't want fully auto for self-defense.
[00:50:50.224 --> 00:50:55.068]  You want what they call a MAC-90, or whatever the variant term is.
[00:50:56.550 --> 00:51:00.893]  Chinese is more inexpensive, but Bulgarian, Russian, Hungarian, that is a good 7.62, 3.9.
[00:51:03.015 --> 00:51:04.036]  Okay, and one last thing.
[00:51:31.047 --> 00:51:33.889]  Internet basically gets reordered.
[00:51:33.929 --> 00:51:34.950]  I think it's pretty much over.
[00:51:36.551 --> 00:51:37.792]  Well, we're not going to let that happen.
[00:51:37.952 --> 00:51:41.095]  They've already tried a bunch of these internet attacks and we've hammered them.
[00:51:41.295 --> 00:51:42.116]  I appreciate your call.
[00:51:42.156 --> 00:51:43.156]  In fact, your take on that.
[00:51:43.497 --> 00:51:45.158]  Dr. Begich, we have a lot of power.
[00:51:45.198 --> 00:51:46.279]  We've been effecting change.
[00:51:47.480 --> 00:51:48.280]  I think that's true.
[00:51:48.300 --> 00:51:58.568]  When you go back to other things that have happened where the internet served us and talk radio served us, you go back to when the FDA wanted to regulate everything out of existence back in the 90s again.
[00:51:59.913 --> 00:52:04.356]  And people, you know, the biggest response ever, 30,000 letters to the FDA.
[00:52:05.117 --> 00:52:06.238]  They've never seen anything like it.
[00:52:06.418 --> 00:52:10.441]  And, you know, the fact is, as long as information does remain free, we have a fighting chance.
[00:52:10.521 --> 00:52:15.044]  But it's not over, I think, until it's really, truly over.
[00:52:15.064 --> 00:52:16.145]  And I think we're far from it.
[00:52:16.285 --> 00:52:20.748]  You know, the American public is always two minutes to midnight, but boy, that two minutes, a lot happens.
[00:52:21.303 --> 00:52:25.750]  Exactly, the sleeping giant always two minutes to midnight there in sudden death overtime.
[00:52:26.150 --> 00:52:28.474]  We don't have a choice and it's the fighting spirit.
[00:52:28.854 --> 00:52:33.461]  It's knowing that we can affect change and that we're not going to give up no matter how bad it gets.
[00:52:35.290 --> 00:52:38.393]  That's what allows us to win, and of course, trusting God, our Creator.
[00:52:38.953 --> 00:52:39.394]  Absolutely.
[00:52:39.514 --> 00:52:52.405]  I mean, looking at history, just modern time, I mean, haven't you in your personal life, I mean, I've seen this, but I'm guessing you've seen it, seen just people go from calling us kooks to almost everybody agreeing with us?
[00:52:53.126 --> 00:52:59.792]  Oh yeah, and the thing about it is, and you're careful with this as well, you know, you always have the sources, you always have the citations.
[00:53:00.379 --> 00:53:02.540]  And eventually, the mainstream does catch up.
[00:53:02.600 --> 00:53:06.581]  People start, they hear it, and then they go, oh wait, now the mainstream's reporting a little bit of this.
[00:53:06.641 --> 00:53:11.362]  And then it starts to make sense in the context of the experience that we're all living together.
[00:53:11.382 --> 00:53:18.244]  And when the predictions start coming true in terms of how technology gets used, and you made them 10, 12 years ago, you know, the record's clear.
[00:53:18.585 --> 00:53:22.846]  And it's not so much, I told you so, as it's, hey, it isn't over yet.
[00:53:22.966 --> 00:53:30.028]  You know, let's still get in the game, recognize that things that are in front of each of us, we all have a sphere of influence that we can impact.
[00:53:30.512 --> 00:53:32.292]  We just need to step into what we can do.
[00:53:32.332 --> 00:53:32.412]  Sure.
[00:53:32.432 --> 00:53:34.293]  It might be talking to our neighbors, it might be more than that.
[00:53:34.313 --> 00:53:34.473]  Sure.
[00:53:34.593 --> 00:53:35.893]  Here we go, back to the main transmission.
[00:53:40.234 --> 00:53:43.755]  All right, Dr. Nick Baggage, earthpulse.com is our guest.
[00:53:43.995 --> 00:53:47.636]  Get his books and videos at implowars.com.
[00:53:47.676 --> 00:53:50.356]  Discounted out of the gates, hope you'll order them there today.
[00:53:50.756 --> 00:53:53.097]  Support both of our works, we can continue onward.
[00:53:53.837 --> 00:53:59.158]  We're talking to Rusty here in just a moment, but I want to go back to what the last caller was saying about
[00:53:59.938 --> 00:54:01.499]  People laugh at me, they don't want to listen.
[00:54:01.539 --> 00:54:07.221]  Well, that may be your circle of friends, but I have found with the general public, most people are finally paying attention.
[00:54:07.561 --> 00:54:11.842]  And Dr. Begich and myself and others aren't saying, nanny nanny, boo boo, you were wrong, we were right.
[00:54:12.323 --> 00:54:14.283]  It's like, hey, it's okay, it's not too late.
[00:54:14.624 --> 00:54:16.724]  Now join us, we've got to fix things quick.
[00:54:17.064 --> 00:54:20.526]  We have a very wicked, very ruthless elite in control.
[00:54:21.506 --> 00:54:30.774]  Extremely psychopathic, very unstable, very intelligent and inbred but very dangerous, like hybrid dogs or hybrid horses.
[00:54:30.794 --> 00:54:33.516]  They can run real fast but they'll bite you and they're nuts.
[00:54:35.157 --> 00:54:36.298]  This is what we're facing.
[00:54:37.859 --> 00:54:41.060]  Before we go back to the calls, well, let's go to calls, but don't let me forget under baggage.
[00:54:41.641 --> 00:54:43.862]  I want to get your view on the Elites' endgame.
[00:54:44.242 --> 00:54:47.603]  From their documents, from their source research, you are a big stickler on this.
[00:54:48.083 --> 00:54:56.167]  What you believe they want to build, what type of world they want to construct, when they talk about a matrix-like grid, before you leave us.
[00:54:56.207 --> 00:54:58.028]  But right now, let's go to Rusty in Arkansas.
[00:54:58.048 --> 00:54:58.908]  You're on the air, Rusty.
[00:55:00.329 --> 00:55:01.009]  Hey, Alex.
[00:55:01.069 --> 00:55:05.691]  I just wanted to first come out and say I apologize the way my call went last Friday when I called in.
[00:55:06.848 --> 00:55:08.889]  And I just want to tell you I'm sorry about that.
[00:55:08.909 --> 00:55:11.791]  I didn't mean for you to get on the rant and go the way that it went.
[00:55:12.211 --> 00:55:13.591]  Well, don't apologize for calling in, sir.
[00:55:13.611 --> 00:55:13.992]  Go ahead.
[00:55:14.352 --> 00:55:24.596]  But I'm an info warrior as well as the rest of the callers, and we're out there pumping out CDs and trying to get out there and informing the public the best way we can.
[00:55:24.636 --> 00:55:30.139]  And I just want to call on all of you to remember Alex in your prayers if you're a spiritual person.
[00:55:30.719 --> 00:55:32.800]  And all of the guests, remember them in your prayers as well.
[00:55:33.741 --> 00:55:34.521]  For your guest today,
[00:55:35.222 --> 00:55:52.381]  I just wanted to ask where you thought that the antivirus software companies might end up going due to the fact that they won't be needed with the internet too and with all the internet security software providers and everything they're out there now basically when they go to this
[00:55:53.809 --> 00:55:56.090]  Net neutrality system, there won't be a need for it.
[00:55:56.130 --> 00:56:11.513]  Well, let me just say, even on their grids, you're still going to have viruses and things, so they're going to have more of that, and virus software companies have been caught before making the viruses, so, oh, don't worry, the viruses won't be going away, Dr. Begich.
[00:56:12.174 --> 00:56:12.994]  Yeah, that's true.
[00:56:13.034 --> 00:56:17.415]  In fact, most people don't know this, but I think it's going to be used in the propaganda.
[00:56:17.475 --> 00:56:21.436]  It's going to be because terrorists, and China in particular,
[00:56:22.017 --> 00:56:30.659]  I have basically gone in and analyzed every commercial and every governmental site as far into it as even the Joint Chiefs of Staff have been hacked.
[00:56:31.319 --> 00:56:38.180]  And what a lot of people don't realize is that residing in a lot of people's software are programs that can be activated.
[00:56:39.000 --> 00:56:47.602]  We develop our own software, so our engineers went through ours periodically and we find periodically, right in the middle of it, a code
[00:56:48.038 --> 00:56:48.439]  That's right.
[00:57:01.483 --> 00:57:03.164]  Most people have already been hacked.
[00:57:03.264 --> 00:57:09.025]  Most of the utilities in the country, most of the things that we rely on have been hacked through.
[00:57:09.105 --> 00:57:09.665]  Well, here's an example.
[00:57:09.685 --> 00:57:11.446]  I think there will be a crisis.
[00:57:11.546 --> 00:57:13.026]  Well, there's economic hacking.
[00:57:13.847 --> 00:57:24.210]  Microsoft, this has all happened because they built things for their own back doors, and they built it so their NSA snoop systems could plug right in, and now that's opened them up to all the other hackers.
[00:57:24.950 --> 00:57:25.170]  Right.
[00:57:25.230 --> 00:57:29.755]  Plus, at the same time, it's a case of building that commercial information.
[00:57:29.795 --> 00:57:36.262]  I mean, knowing wherever you go is a very useful thing for commercial purposes and extremely valuable.
[00:57:36.322 --> 00:57:42.328]  Data valence, something we reported on as far back as 2000 in the book, Earth Rising, The Revolution.
[00:57:42.348 --> 00:57:44.570]  You know, we got into this whole concept
[00:57:44.986 --> 00:57:47.327]  Before it was even in people's minds.
[00:57:47.347 --> 00:57:47.867]  I know you did.
[00:57:47.907 --> 00:57:48.868]  I remember having it on.
[00:57:48.888 --> 00:57:55.630]  Well, the British News yesterday, and it was in my stack, I didn't get to it, but it was on InfoWars.com and PrisonPlanet.com.
[00:57:56.030 --> 00:57:57.711]  So much there that isn't on the show, folks.
[00:57:57.731 --> 00:57:58.731]  Be sure to visit those sites.
[00:57:59.852 --> 00:58:02.173]  And right there it said, oh, the government
[00:58:02.793 --> 00:58:07.116]  Yeah, and it was in those days, and it was actually laid out even further back in 1989.
[00:58:26.681 --> 00:58:29.963]  There was a document that was put together by the U.S.
[00:58:30.003 --> 00:58:41.130]  Army War College, and we talk about it all the time, and it was laying out this sort of plan for using GPS to track business travelers in case there were some conflict, they'd be able to extract them.
[00:58:41.570 --> 00:58:48.694]  And it morphed into, well, what later became cell phone technology and personal pagers, and then OnStar on your automobile.
[00:58:48.754 --> 00:58:54.117]  And, you know, now most people, I'm probably one of the few that don't carry a cell phone, you know?
[00:58:55.285 --> 00:59:02.110]  And it's not so much because of the idea of sticking a microwave next to my head and the health consequences alone.
[00:59:02.171 --> 00:59:04.112]  It's basically the whole package.
[00:59:04.232 --> 00:59:09.777]  You know, not only do I get unhealthy, but I'm enslaved to this device that I'm on a 24-hour call.
[00:59:09.817 --> 00:59:14.021]  And then thirdly, it's the invasiveness of the invasion in your personal privacy.
[00:59:14.501 --> 00:59:15.602]  And I resent that.
[00:59:15.822 --> 00:59:17.524]  And I think it should have been safeguarded.
[00:59:17.684 --> 00:59:21.988]  And the thing about a lot of the laws is they don't provide safeguards, but they're civil.
[00:59:22.475 --> 00:59:25.837]  These things need to be criminal laws that nail people and put them in jail.
[00:59:25.877 --> 00:59:33.702]  You know, when a few CEOs go to jail for illegal wiretapping instead of making it legal and getting people basically clemency for whatever evil they've done.
[00:59:34.808 --> 00:59:38.510]  We need to put some people in jail over this, and then the game changes.
[00:59:38.590 --> 00:59:45.093]  And the American public is sick and tired of having our digital doors kicked in by the Nazis of the 21st century.
[00:59:45.253 --> 00:59:45.713]  I agree.
[00:59:45.933 --> 00:59:46.794]  Anything else, Rusty?
[00:59:46.814 --> 00:59:47.554]  We've got to move quicker.
[00:59:47.834 --> 00:59:49.015]  Go.
[00:59:49.195 --> 00:59:49.775]  Thank you, Rusty.
[00:59:49.815 --> 00:59:51.096]  Paige in Michigan.
[00:59:51.116 --> 00:59:52.257]  You're on the air worldwide.
[00:59:52.297 --> 00:59:52.617]  Welcome.
[00:59:53.437 --> 00:59:54.978]  Hi, thanks for taking my call.
[00:59:55.778 --> 01:00:01.501]  I wanted to ask Dr. Begich, because I know he works a lot with electromagnetic technologies.
[01:00:02.490 --> 01:00:06.433]  If he had ever heard about this thing called the Clark Zapper?
[01:00:07.873 --> 01:00:10.935]  Yes, Hilda Clark's device.
[01:00:11.596 --> 01:00:13.557]  She wrote a really excellent book on the subject.
[01:00:14.197 --> 01:00:18.340]  It's one of many technologies, the idea of using electromagnetic fields to affect health.
[01:00:19.641 --> 01:00:23.583]  Being able to quantify and qualify that, there's a lot of material
[01:00:24.267 --> 01:00:24.648]  I don't
[01:00:41.403 --> 01:00:43.724]  That's used for acupuncture treatments.
[01:00:43.744 --> 01:00:46.546]  It's been very effective in treating a number of disorders.
[01:00:46.626 --> 01:00:51.748]  But these are, again, these are technologies that sort of give you back your power because they're curative.
[01:00:52.068 --> 01:00:57.451]  Whereas most of the pharmaceutical industry is based on this idea of coming back for more.
[01:00:57.531 --> 01:00:58.832]  In fact, there's an excellent book.
[01:00:58.892 --> 01:01:00.152]  It's called Dirty Medicine.
[01:01:00.953 --> 01:01:01.833]  Maybe out of print.
[01:01:01.853 --> 01:01:04.434]  It was published in Great Britain back in the 90s.
[01:01:04.454 --> 01:01:07.556]  900 page expose on the pharmaceutical industry.
[01:01:07.990 --> 01:01:11.672]  With over, I think it was like a thousand reference sources or more.
[01:01:11.792 --> 01:01:12.992]  But I want to say this as well.
[01:01:13.232 --> 01:01:18.535]  We have to police ourselves because obviously there is frequency and light treatments.
[01:01:18.575 --> 01:01:20.536]  The Japanese are doing it, the Germans, the Dutch.
[01:01:21.016 --> 01:01:25.538]  As you know, there's a lot of things that are confirmed, thousands of different types of treatments.
[01:01:26.058 --> 01:01:26.558]  That is exactly right.
[01:01:26.578 --> 01:01:28.440]  And this is where people need to be careful.
[01:01:28.480 --> 01:01:29.480]  Don't look at testimonials.
[01:01:29.520 --> 01:01:30.821]  Look at real scientific evidence.
[01:01:31.181 --> 01:01:32.182]  And there's plenty of it around.
[01:01:51.832 --> 01:01:52.953]  And that's the point.
[01:01:53.293 --> 01:01:54.955]  And today, it's easy.
[01:01:54.995 --> 01:01:55.876]  We ought to be able to find it.
[01:01:55.896 --> 01:01:56.316]  We can.
[01:01:56.837 --> 01:01:59.259]  And there's a lot of medical practice.
[01:01:59.299 --> 01:01:59.859]  A simple thing.
[01:02:00.219 --> 01:02:03.763]  Artificial discs for your back just came into the United States two years ago.
[01:02:03.783 --> 01:02:05.504]  They've been done in Germany since 1983.
[01:02:06.785 --> 01:02:07.586]  And successfully.
[01:02:07.606 --> 01:02:13.852]  Where a guy working a jackhammer, getting his L1 and L2 replaced, his back working a jackhammer in ten weeks.
[01:02:14.112 --> 01:02:18.576]  But they would rather go in and cut a piece of your hip out, because it costs three times as much.
[01:02:19.326 --> 01:02:19.546]  Right.
[01:02:19.666 --> 01:02:23.867]  And not only that, but the Germans have to post their medical procedures or total cost.
[01:02:24.627 --> 01:02:25.048]  Post them.
[01:02:25.148 --> 01:02:25.708]  They're online.
[01:02:25.728 --> 01:02:26.748]  You can actually look them up.
[01:02:26.848 --> 01:02:30.209]  And German technology is not a slouch technology.
[01:02:30.229 --> 01:02:33.970]  And their public health departments are very much more active than ours.
[01:02:34.030 --> 01:02:37.491]  In fact, the German public health department warned schools
[01:02:38.075 --> 01:02:42.257]  That Wi-Fi was a risk to adolescents and small children.
[01:02:42.337 --> 01:02:48.061]  And the Germans also, years ago, said vaccines are bad for small children, they have mercury in them.
[01:02:48.801 --> 01:02:58.066]  Showing that not all the mid-level elites are bad, it's that the higher-up elites know exactly what they're doing, and it's just so cold-blooded.
[01:02:59.167 --> 01:03:00.128]  And then we tell people...
[01:03:01.008 --> 01:03:01.488]  Sorry, go ahead.
[01:03:02.229 --> 01:03:03.930]  I was gonna say the science knowledge in Germany.
[01:03:03.950 --> 01:03:06.251]  See, the average person has a little bit higher science knowledge.
[01:03:06.291 --> 01:03:07.472]  They can't lie so readily.
[01:03:07.752 --> 01:03:16.177]  You know, and what people know at high school in chemistry is sufficient for them to look at a report and understand, hey, wait a minute, this doesn't make sense.
[01:03:16.747 --> 01:03:18.829]  And we've dumbed our population down.
[01:03:34.440 --> 01:03:37.442]  I mean, it's this built-in denial by people, denying things.
[01:03:38.243 --> 01:03:40.925]  I remember ten years ago, people saying, there's no mercury in shots.
[01:03:40.945 --> 01:03:43.928]  And I'd go, here is the handout that comes with the shot.
[01:03:44.248 --> 01:03:44.988]  Yes, it's in there.
[01:03:45.008 --> 01:03:48.892]  And then the government said, okay, it's in there, but it's good for you.
[01:03:48.932 --> 01:03:50.073]  Then they said, oh, we took it out.
[01:03:50.353 --> 01:03:53.235]  Now they say, no, we never took it out, but it is good for you.
[01:03:53.275 --> 01:03:55.357]  Well, now they say it's in there, but it's bad for you.
[01:03:55.377 --> 01:03:59.060]  I mean, how many lies, Dr. Baggage, do we have to get
[01:03:59.600 --> 01:04:03.743]  Well, and you know, it's unfortunately the truth, and it's time to recognize the things that have corrupted.
[01:04:04.023 --> 01:04:09.347]  And when you start to look at all these issues combined, I mean, I still think Americans
[01:04:21.502 --> 01:04:25.964]  You generate some pretty creative people and some of the most outstanding, if interesting, are homeschooled.
[01:04:27.605 --> 01:04:37.210]  You know, as a past president of a teacher's organization, I'm the only one that I know of that was president of a statewide teacher's organization that supports homeschooling nationally.
[01:04:37.310 --> 01:04:39.511]  And the reason I do is because it works.
[01:04:39.891 --> 01:04:41.732]  And it works very, very effectively.
[01:04:42.813 --> 01:04:48.756]  The way we used to teach and educate, it was about reading, about studying, and about mentoring.
[01:04:49.632 --> 01:04:55.095]  Now it's about script reading and propaganda, and this is where homeschooling and public schooling differs.
[01:04:55.576 --> 01:04:57.017]  All these things do link together.
[01:04:57.077 --> 01:04:58.778]  It's one big package.
[01:04:59.138 --> 01:05:04.101]  We're going to skip this break to continue getting through the calls, then I'm going to ask the big question to Dr. Begich.
[01:05:04.221 --> 01:05:05.101]  What is the endgame?
[01:05:05.241 --> 01:05:09.164]  If the globalists win, if this unified, technocratic elite
[01:05:09.924 --> 01:05:11.425]  Funded by the private central banks.
[01:05:11.545 --> 01:05:12.405]  Has their way.
[01:05:13.165 --> 01:05:14.106]  What will it look like?
[01:05:14.226 --> 01:05:17.047]  What are we facing in the short, medium, and long term?
[01:05:17.547 --> 01:05:19.247]  EarthPulse.com is his website.
[01:05:19.567 --> 01:05:20.068]  Stay with us.
[01:05:23.329 --> 01:05:25.550]  Okay, Doc, let me ask you in front of all the internet listeners.
[01:05:25.730 --> 01:05:29.951]  I know we had you until the bottom of the hour, but I want to... This is so interesting.
[01:05:29.971 --> 01:05:31.091]  We've got to do this more often.
[01:05:31.332 --> 01:05:32.352]  We're just both so busy.
[01:05:32.712 --> 01:05:36.733]  I want to go ahead and keep you to the end of the show, which is in about 35 minutes.
[01:05:36.773 --> 01:05:37.954]  If you can't do it, that's okay.
[01:05:38.891 --> 01:05:45.117]  Just give me about 5 to 12, because I've got to change and run to a meeting at 12.30, but that would be fine.
[01:05:45.717 --> 01:05:47.279]  So 5 until the hour, we can go until then.
[01:05:47.399 --> 01:05:47.799]  That's fine.
[01:05:47.819 --> 01:05:49.280]  In fact, I'll let you get out of here at 51 after.
[01:05:49.360 --> 01:05:51.262]  Alright, that's perfect.
[01:05:51.282 --> 01:05:53.584]  That must be one of the breaks that we keep missing.
[01:05:53.604 --> 01:05:57.908]  So you're saying, as long as you're gone by the last 5 minutes, you're fine?
[01:05:58.468 --> 01:05:59.509]  I'm good, yeah.
[01:05:59.870 --> 01:06:00.971]  So you're good until 51 after this hour?
[01:06:02.714 --> 01:06:03.154]  That's good.
[01:06:03.274 --> 01:06:03.674]  Good, good.
[01:06:03.955 --> 01:06:08.056]  Okay, let's continue so we don't waste the time we've got.
[01:06:08.096 --> 01:06:08.396]  Go ahead.
[01:06:09.016 --> 01:06:30.765]  You know, when you start to look at all of this as it connects together, you know, when you think about education as an example, some of the technologies are out there that could accelerate the educational process in some pretty dramatic ways in terms of being able to retain information, being able to use that information more creatively, and yet these technologies stay on the shelf for 20, 30 years before public education ever gets a grip of them.
[01:06:31.132 --> 01:06:43.006]  In the case of attention deficit disorders, as an example, there are technologies today that in 80% of the children that have used them, within 30 to 45 days they can be taken off of all their psychoactive drugs.
[01:06:43.426 --> 01:06:50.915]  Their brain capacity, in terms of being able to moderate their brain activity into the range where you're ideally suited for intellectual learning,
[01:06:51.548 --> 01:06:52.428]  It's self-controlled.
[01:06:52.448 --> 01:06:54.789]  In other words, they don't need the drugs anymore.
[01:06:54.849 --> 01:07:00.290]  They can get into a focused state of learning like you and I can do when we read a book or we normally function.
[01:07:00.310 --> 01:07:03.431]  But that would put the drug companies out of business and they don't want that.
[01:07:03.931 --> 01:07:05.291]  Let's go ahead and go back to the calls.
[01:07:05.331 --> 01:07:06.191]  Paige, anything else?
[01:07:06.211 --> 01:07:09.252]  Okay, she's gone.
[01:07:09.312 --> 01:07:09.652]  J.D.
[01:07:09.692 --> 01:07:11.772]  in Texas, you're on the air with Dr. Nick Beckett.
[01:07:11.792 --> 01:07:12.152]  Go ahead.
[01:07:13.113 --> 01:07:15.453]  Yeah, Alex, can you hear me okay?
[01:07:15.473 --> 01:07:16.033]  Yes, I can.
[01:07:17.073 --> 01:07:17.934]  Okay, I was
[01:07:20.908 --> 01:07:39.656]  Looking on C-SPAN, and I was going to tape this thing, and it had EPA on there, and had three of them, two EPA types, and another independent, and they swore them in, and then they gave their opening statements.
[01:07:40.616 --> 01:07:50.380]  Well, the independent, I call him the whistleblower, he was about to spill the beans on the whole thing, and C-SPAN cut him off.
[01:07:50.976 --> 01:07:54.659]  Right in the middle of his testimony and went to another program.
[01:07:55.059 --> 01:07:56.400]  You're on global warming?
[01:08:18.283 --> 01:08:20.644]  It was a Senate committee investigation.
[01:08:20.664 --> 01:08:30.627]  They were going to have a testimony, and then they were going to tell the Senate what they needed to do to fix it.
[01:08:30.647 --> 01:08:31.768]  Well, let me bring this up.
[01:08:31.928 --> 01:08:46.793]  The guy's name is Roy Spencer, and he's a former senior climate scientist, former NASA Marshall Space Flight Center.
[01:08:47.921 --> 01:08:49.682]  And his name is Roy Spencer.
[01:08:49.802 --> 01:08:53.904]  Sounded like a good guy you need to get in touch with and get him on the program.
[01:08:54.585 --> 01:08:56.626]  And did it say where he was from or who he's with now?
[01:08:56.686 --> 01:09:02.189]  Because a former senior climate... Scientist.
[01:09:02.489 --> 01:09:04.811]  Scientist at the Marshall Space Center?
[01:09:05.491 --> 01:09:06.472]  Well, yeah.
[01:09:06.752 --> 01:09:07.572]  N.A.S.A.
[01:09:08.593 --> 01:09:10.494]  Marshall Space Flight Center.
[01:09:11.556 --> 01:09:13.277]  I don't understand all that.
[01:09:13.338 --> 01:09:14.779]  Sure, let me bring this up to Dr. Begich.
[01:09:16.000 --> 01:09:27.469]  One of the top climatologists who studies carbon load in Australia has come out and said he was wrong and bullied into saying it was man-made, that it's not man-made.
[01:09:27.729 --> 01:09:33.774]  They have a huge exodus of top scientists saying that it's not man-made and that it's natural.
[01:09:33.974 --> 01:09:35.395]  Dr. Begich, that's going to be a problem.
[01:09:35.575 --> 01:09:37.017]  Well, we're coming back to the live program.
[01:09:37.037 --> 01:09:37.277]  Here we go.
[01:09:41.818 --> 01:09:44.039]  We were just talking to J.D.
[01:09:44.080 --> 01:09:49.763]  in Texas about C-SPAN cutting off a climatologist, formerly with NASA.
[01:09:51.324 --> 01:09:55.367]  Dr. Begich, they have top rocket scientists, top climatologists.
[01:09:55.387 --> 01:09:58.889]  I mean, every day they're going public saying it's all fraud, it's lies.
[01:09:59.930 --> 01:10:02.091]  People who they claim have signed on to U.N.
[01:10:02.131 --> 01:10:03.672]  agreements are saying it's all lies.
[01:10:04.132 --> 01:10:04.953]  They're in trouble.
[01:10:05.013 --> 01:10:06.714]  I mean, their little hoax is in trouble.
[01:10:07.540 --> 01:10:10.862]  Well, you know, the biggest contributors are not man.
[01:10:10.903 --> 01:10:12.203]  Man contributes less than 1%.
[01:10:13.605 --> 01:10:14.165]  It's nature.
[01:10:14.225 --> 01:10:22.331]  You know, right now we have two volcanoes going off in Alaska that are producing more than man's producing at any given moment, I can assure you, on this planet.
[01:10:23.031 --> 01:10:35.881]  When you start to look at the real releases, you know, methane gas, which is a big contributor, 20 times more than CO2, and methane is being released because of natural climate change here in the Arctic.
[01:10:36.300 --> 01:10:58.111]  We have permafrost across the Arctic regions of Alaska, Russia, Canada, and the permafrost is like 100,000 years of soil that hasn't had a chance to fully degrade of organic matter that is now degrading and releasing methane 20 times more potent, and that is actually accelerating the cycle, but it's a natural cycle.
[01:10:58.191 --> 01:11:01.953]  It happens from time to time, and people don't recognize it as such.
[01:11:02.386 --> 01:11:05.269]  There are other contributing factors for climate change.
[01:11:05.349 --> 01:11:08.511]  Pole shift, which happens fairly regularly geologically.
[01:11:08.932 --> 01:11:14.637]  The last time it happened was 15,000 years ago, which correlates to the last ice age.
[01:11:15.217 --> 01:11:25.166]  It's starting to end, and when you start to look at all these things together, and we do in our videos and books, we analyze a lot of this, and the reality is nature is doing it.
[01:11:25.426 --> 01:11:29.250]  Well, that's why I had one of the Rothschilds on, the guy pushing
[01:11:30.259 --> 01:11:35.522]  All this stuff, and I brought up, well, why are the ice caps melting on Mars?
[01:11:36.643 --> 01:11:40.305]  And he just said, because Mars is closer to the sun than Earth.
[01:11:40.345 --> 01:11:41.325]  And I said, no, it's not.
[01:11:41.365 --> 01:11:46.669]  And he just laughed, knowing that the average American is so dumbed down they're just going to believe him.
[01:11:47.648 --> 01:11:52.333]  And then I was debating another one of these guys on air and he just said there are no ice caps on Mars.
[01:11:52.793 --> 01:11:54.555]  And I was like, you know there's ice caps.
[01:11:55.055 --> 01:11:56.036]  They just don't care.
[01:11:56.476 --> 01:11:59.079]  They are counting on people being dumbed down.
[01:11:59.459 --> 01:12:00.921]  And that's a great insult to people.
[01:12:01.521 --> 01:12:02.582]  And it is.
[01:12:02.742 --> 01:12:05.665]  And it's a system that, you know, and scientists are very elite.
[01:12:05.725 --> 01:12:07.667]  You know, you think there's a lot of competition in business.
[01:12:07.687 --> 01:12:09.669]  You've not seen anything until you've met scientists.
[01:12:10.209 --> 01:12:12.832]  And these guys are ruthless.
[01:12:13.567 --> 01:12:16.588]  And in terms of how they behave towards one another.
[01:12:16.728 --> 01:12:17.728]  And it's amazing.
[01:12:18.208 --> 01:12:26.690]  And yet, they claim, almost like it's... If you challenge them, outside of their discipline, they're supposed to be an expert in everything, and nobody is.
[01:12:26.730 --> 01:12:27.270]  None of us are.
[01:12:27.370 --> 01:12:38.533]  And the fact is, even Ben Easton, when we first were dealing with Ben, you know, he and I, we had a good rapport, and we were always friends up until his death, but he started to... He listened.
[01:12:38.613 --> 01:12:41.594]  You know, he looked at what we raised, and he analyzed that, and then he...
[01:12:42.285 --> 01:13:02.249]  Actually started talking about activists not being ignored but actually being listened to because people can get educated outside of their discipline and this is where the arrogance of so much science and the expectation that the average person won't ask the questions and science feels like somehow they're above the challenge and they should be challenged just as vigorously as
[01:13:02.779 --> 01:13:06.662]  Uh, as anyone else, whether you're in politics, business, or the arts.
[01:13:06.742 --> 01:13:07.282]  Well, I agree.
[01:13:07.462 --> 01:13:15.147]  But bottom line, the message is, the ice caps and the ice moons of Jupiter and Saturn are not melting because of SUVs.
[01:13:15.748 --> 01:13:16.408]  That's right.
[01:13:16.768 --> 01:13:18.950]  And it is reality, and they know it.
[01:13:19.426 --> 01:13:23.547]  And they've monitored it, and all of that tells us, again, it's the solar cycle.
[01:13:23.687 --> 01:13:26.088]  And there's many, many scientists saying this today.
[01:13:26.248 --> 01:13:33.350]  Yeah, and now they want to tax on carbon dioxide, that is one of the four ingredients of life.
[01:13:33.570 --> 01:13:36.050]  Light, water, carbon dioxide, and oxygen.
[01:13:36.491 --> 01:13:41.192]  Gotta have those four things or you don't have life on this planet, but by being able to tax
[01:13:41.772 --> 01:13:48.114]  One of the key, you know, basic factors of life that gives the private banks total control.
[01:13:48.174 --> 01:13:53.036]  And think of the boldness, the arrogance of brainwashing for decades about the environment.
[01:13:53.776 --> 01:14:01.259]  It hijacks any real environmental concerns of the cross-species engineering and the toxic waste dumping and rainforest chopping.
[01:14:01.519 --> 01:14:06.921]  All accelerates, but we all feel good and tax our evil carbon that the rainforest
