[00:00:00.009 --> 00:00:04.090]  You are listening to GCN, the Genesis Communications Radio Network.
[00:48:17.885 --> 00:48:18.505]  Hundreds die.
[00:48:18.505 --> 00:48:21.026]  It's now over 2,000 alone in one city.
[00:48:21.026 --> 00:48:30.652]  As breakaway Georgian province AP, this is today, Russia dispatched an armored column to the breakaway Georgian enclave of South Ossetia on Friday after Georgians, a U.S.
[00:48:30.652 --> 00:48:34.074]  ally, launched a surprise offensive against South Ossetian separatists.
[00:48:34.074 --> 00:48:35.995]  Witnesses said hundreds of civilians were killed.
[00:48:35.995 --> 00:48:38.376]  Let me read that again.
[00:48:38.376 --> 00:48:40.578]  Georgia launched a surprise offensive.
[00:48:40.578 --> 00:48:40.978]  Now remember,
[00:48:41.972 --> 00:48:43.533]  This is a demilitarized zone.
[00:48:43.533 --> 00:48:46.456]  These are areas that have always been part of Russia.
[00:48:46.456 --> 00:48:49.598]  Two large enclaves.
[00:48:49.598 --> 00:48:51.019]  Nothing violent was going on.
[00:48:51.019 --> 00:48:54.322]  There has not been any fighting since 1992.
[00:48:54.322 --> 00:49:00.066]  Russian troops have been there in the 90-plus percent Russian enclave.
[00:49:00.066 --> 00:49:05.311]  And Georgia launches an attack to drive them out.
[00:49:05.311 --> 00:49:07.392]  Now, people are asking, what is all this about?
[00:49:07.392 --> 00:49:08.253]  Why is this happening?
[00:49:09.170 --> 00:49:10.231]  The Pipeline War.
[00:49:10.231 --> 00:49:13.313]  Russia, Bear, goes for West Juggler.
[00:49:13.313 --> 00:49:14.094]  UK Daily Mail.
[00:49:14.094 --> 00:49:16.075]  Now, of course, BP owns that pipeline.
[00:49:16.075 --> 00:49:17.636]  They mention that later in the article.
[00:49:17.636 --> 00:49:23.681]  So, again, still a deceptive headline, like Russia went for something.
[00:49:23.681 --> 00:49:30.486]  It's like if you get mugged, an old lady's getting mugged and she beats the guy away from her with her cane, or with her umbrella.
[00:49:30.486 --> 00:49:33.348]  Is the headline, Old Lady Attacks Innocent Man?
[00:49:33.348 --> 00:49:35.629]  No, it's Old Lady Attacks Mugger.
[00:49:35.629 --> 00:49:36.230]  But, um,
[00:49:37.552 --> 00:49:43.356]  Again, Georgia has today withdrawn its troops from the capital of South Ossetia, according to reports.
[00:49:43.356 --> 00:49:46.338]  And, uh, it says the day after heightened international tensions.
[00:49:46.338 --> 00:49:49.060]  Talks about the Russians trying to bomb the pipeline.
[00:49:49.060 --> 00:49:50.361]  Let's go ahead and take some phone calls.
[00:49:50.361 --> 00:49:53.203]  Before we do that, Burmans, anything else you want to add?
[00:49:53.203 --> 00:49:54.044]  Not really.
[00:49:54.044 --> 00:49:58.947]  I mean, I was just looking at this other story where it's now come out a CIA officer has said that, uh,
[00:49:59.944 --> 00:50:09.211]  Cheney likely ordered the forgery of the Iraq 9-11 letter, the one where they tried to say, you know, Muhammad Ata had met with them and... Well ABC News is reporting it's not likely.
[00:50:09.211 --> 00:50:13.974]  The CIA guy has said they were ordered a false file letter saying Iraq launched the anti-terrorist attack.
[00:50:13.974 --> 00:50:17.637]  Yeah, and Douglas Faith, actually, Douglas Faith is the guy who wrote it up.
[00:50:17.637 --> 00:50:20.599]  I mean, it's unbelievable that these criminals still walk around and have
[00:50:21.159 --> 00:50:23.260]  You know, are just adored by the public, Alex.
[00:50:23.260 --> 00:50:24.061]  It makes me sick.
[00:50:24.061 --> 00:50:25.522]  Well, they're not adored by the public.
[00:50:25.522 --> 00:50:30.384]  It's an illusion that the public adores it, but... I mean, I feel like... I guess there's 25% that does.
[00:50:30.384 --> 00:50:35.167]  Yeah, yeah, and I feel like those that don't adore them aren't doing enough to get them out of power or bring them to justice.
[00:50:35.167 --> 00:50:35.928]  It's few and far between.
[00:50:35.928 --> 00:50:43.272]  Well, it's come out they ordered Robert Mueller, head of the FBI, to blame the anthrax attacks on Iraq, knowing, of course, they launched the attacks.
[00:50:43.272 --> 00:50:45.653]  They were on the ship for the drug that fought it and all the rest of the evidence.
[00:50:45.653 --> 00:50:46.654]  Prior to it being released.
[00:50:46.654 --> 00:50:49.796]  They've ordered the CIA to create fake documents with Mohammed Adab.
[00:50:50.757 --> 00:50:52.362]  And Iraq.
[00:50:52.362 --> 00:50:53.565]  And it just comes out.
[00:50:53.565 --> 00:50:58.218]  It just came out in mainstream news last week that Cheney wanted to stage attacks on our ships.
[00:51:00.259 --> 00:51:01.280]  They're cold-blooded killers, Alex.
[00:51:01.280 --> 00:51:04.923]  But a lot of the public who does support this thinks they're part of the elite and they're part of the system.
[00:51:04.923 --> 00:51:08.726]  No, they're gonna take your pension funds, your freedom, your dollar, your future, too.
[00:51:08.726 --> 00:51:09.647]  You're not part of the elite.
[00:51:09.647 --> 00:51:11.389]  This criminal group's gonna hurt you as well.
[00:51:11.389 --> 00:51:13.370]  And don't think Barack Obama's gonna save you.
[00:51:13.370 --> 00:51:14.671]  I don't know who's first up here.
[00:51:14.671 --> 00:51:15.872]  Who should I go to first?
[00:51:15.872 --> 00:51:17.654]  Let's go to line one.
[00:51:17.654 --> 00:51:19.255]  Jesse in Canada.
[00:51:19.255 --> 00:51:19.956]  You're on the air.
[00:51:19.956 --> 00:51:21.357]  Go ahead, Jesse.
[00:51:21.357 --> 00:51:22.558]  Hey, what's up, Alex?
[00:51:22.558 --> 00:51:24.900]  On a worldwide radio show.
[00:51:24.900 --> 00:51:25.761]  Alright.
[00:51:28.499 --> 00:51:30.540]  Been drinking or something there.
[00:51:30.540 --> 00:51:32.401]  Kevin in Canada, you're on the air, go ahead.
[00:51:32.401 --> 00:51:33.941]  How you doing, Alex?
[00:51:33.941 --> 00:51:34.461]  Good.
[00:51:34.461 --> 00:51:42.385]  I just wanted to say, as soon as you were telling us about that audit that's coming up on September 30th from the International Bank of Settlement, I knew this was going to happen.
[00:51:42.385 --> 00:51:46.006]  I mean, we had this on September 10th when they announced the $2.3 trillion missing.
[00:51:47.021 --> 00:51:47.742]  That's right.
[00:51:47.742 --> 00:51:51.245]  The AP reported that someone in the Pentagon stole $1.9 trillion.
[00:51:51.245 --> 00:51:55.368]  It's now $3.9 trillion from all the military pension funds are gone.
[00:51:55.368 --> 00:51:58.150]  And then they staged 9-11 two days after that came out.
[00:51:58.150 --> 00:52:03.254]  And yeah, the whole world is headed towards crises right now.
[00:52:03.254 --> 00:52:04.595]  Can't understand you, but go ahead.
[00:52:07.805 --> 00:52:20.681]  I think it's thanks to you though that they have to at least basically start these kind of aggressions now and not try and pull another 9-11 because there's too many people that have woken up now thanks to efforts like yours and a lot of others.
[00:52:20.681 --> 00:52:22.023]  But they can't get away with this.
[00:52:22.023 --> 00:52:25.227]  We're not going to tolerate another inside job.
[00:52:26.135 --> 00:52:28.678]  I mean, I'm ready to pack it in myself, Alex.
[00:52:28.678 --> 00:52:33.843]  I hope they don't stage some new event to get us into war with Iran.
[00:52:33.843 --> 00:52:36.365]  I mean, now they're going to have four aircraft carrier groups there.
[00:52:36.365 --> 00:52:40.589]  They're sending two more, talking about attacking them during October.
[00:52:40.589 --> 00:52:41.730]  I mean, this is insane.
[00:52:41.730 --> 00:52:44.913]  Meanwhile, Pakistan's been given nukes by our criminal government.
[00:52:44.913 --> 00:52:46.455]  Thank you so much, Kevin.
[00:52:46.455 --> 00:52:48.256]  Let's talk to Josh in North Carolina.
[00:52:48.256 --> 00:52:49.638]  You're on the air worldwide, Josh.
[00:52:50.583 --> 00:52:53.485]  Hey Alex, good to talk to you.
[00:52:53.485 --> 00:52:56.567]  So, I have a couple points I'd like to raise.
[00:52:56.567 --> 00:53:02.270]  I had some discussions with some friends of mine in the intelligence community and some of the things I'd like to raise.
[00:53:02.270 --> 00:53:07.013]  First off, some of the reasons I've heard for why they did this is
[00:53:07.833 --> 00:53:16.016]  Also, it's turned out a bunch of the oligarchs they've arrested that stole all of Russia's wealth after it fell, turns out are British or Rothschild agents, according to the Times of London.
[00:53:33.786 --> 00:53:34.626]  Exactly.
[00:53:34.626 --> 00:53:36.347]  Right.
[00:53:36.347 --> 00:53:45.149]  So, from what I've been told and what I understand at this point, they have a better idea of what we are capable of than we do them.
[00:53:45.149 --> 00:53:48.310]  The other point that this is... Well, by the way, we keep using the term we.
[00:53:48.310 --> 00:53:49.110]  It's not our government.
[00:53:49.110 --> 00:53:50.510]  It's not our military anymore.
[00:53:50.510 --> 00:53:55.952]  It's been used to preemptively attack Russia, and they think the American people are so dumb, they tell us Russia did this.
[00:53:57.066 --> 00:53:59.508]  Exactly, which is really, really sad.
[00:53:59.508 --> 00:54:00.168]  Agreed there.
[00:54:00.168 --> 00:54:07.034]  Yeah, that's the big story here, is that I talk to the public everywhere and they think Russia attacked out of a clear blue sky.
[00:54:07.034 --> 00:54:08.755]  Uh, no, I've run into quite a few people.
[00:54:08.755 --> 00:54:13.298]  I've even actually run into somebody who thought it was the state of Russia, like you joked about.
[00:54:13.298 --> 00:54:16.060]  So I was, I was... The state of Georgia, you mean?
[00:54:16.060 --> 00:54:16.581]  Exactly.
[00:54:16.581 --> 00:54:19.323]  Oh, you ran into someone that thought the Russians had attacked America?
[00:54:19.323 --> 00:54:20.003]  Yeah, they did.
[00:54:20.003 --> 00:54:20.644]  It was, it was pretty funny.
[00:54:20.644 --> 00:54:21.885]  Was it Miss South Carolina?
[00:54:22.801 --> 00:54:25.643]  I'm in North Carolina, so... No, but I mean, remember her?
[00:54:25.643 --> 00:54:27.664]  Let's pull up Miss South Carolina.
[00:54:27.664 --> 00:54:31.226]  Pull her up where she doesn't even know what side of the planet she's on.
[00:54:31.226 --> 00:54:32.607]  Well, no, no, I mean, that's what's happening.
[00:54:32.607 --> 00:54:38.511]  Meanwhile, it's also a diversion, uh, you know, launched during the Olympics.
[00:54:38.511 --> 00:54:40.192]  A diversion for the attack on Iran.
[00:54:40.928 --> 00:54:43.611]  That's exactly the point I was about to bring up.
[00:54:43.611 --> 00:54:57.423]  They're hoping that they can possibly divert Russian attention away from the attack that is about to occur in Iran, which, in my opinion, is a very stupid gamble and may very well, like you've mentioned, lead to World War III.
[00:54:57.423 --> 00:55:00.006]  Well, I hear you and I appreciate your call.
[00:55:00.006 --> 00:55:05.511]  I mean, I've got the mainstream news here with a Russian foreign minister threatening military action against Western Europe.
[00:55:06.937 --> 00:55:07.818]  And the United States.
[00:55:07.818 --> 00:55:09.499]  In fact, let me just dig it out here.
[00:55:09.499 --> 00:55:11.441]  Russia threatens military response to U.S.
[00:55:11.441 --> 00:55:12.983]  missile defense deal.
[00:55:12.983 --> 00:55:19.649]  When you read into, uh, there's a bunch of reports going back over the last six months where they keep saying it, including using their nuclear arsenal.
[00:55:19.649 --> 00:55:22.271]  But, hell, you know the neocons don't care.
[00:55:22.271 --> 00:55:27.956]  Um, yeah, here's... Recent polls have shown a fifth of Americans can't locate the U.S.
[00:55:27.956 --> 00:55:29.538]  on a world map.
[00:55:29.538 --> 00:55:30.359]  Why do you think this is?
[00:55:32.871 --> 00:55:35.657]  I personally believe that U.S.
[00:55:35.657 --> 00:55:39.544]  Americans are unable to do so because some
[00:55:41.252 --> 00:55:58.055]  People out there in our nation don't have that, and I believe that our education, like such as in South Africa and the Iraq, everywhere like such as, and I believe that they should, our education over here in the U.S.
[00:55:58.055 --> 00:56:07.377]  should help the U.S., or should help South Africa, and should help the Iraq and the Asian countries, so we will be able to build up our future.
[00:56:07.377 --> 00:56:09.738]  And listen, we make fun of her.
[00:56:09.738 --> 00:56:10.938]  That's the average American.
[00:56:11.798 --> 00:56:16.902]  And I told you, I mean, I've seen websites and news reports, they think Russia attacked Georgia.
[00:56:16.902 --> 00:56:21.445]  Not only was it not Russia that attacked Georgia and the Caucasus, they're on the Black Sea.
[00:56:21.445 --> 00:56:25.608]  They're on the eastern side of the Black Sea bordering Russia.
[00:56:25.608 --> 00:56:29.931]  But they believe Georgia, with Georgia peaches, in the south was attacked.
[00:56:29.931 --> 00:56:31.573]  You know, Robert E. Lee, all that stuff.
[00:56:31.573 --> 00:56:34.235]  And I mean, you know, you can't help them.
[00:56:34.235 --> 00:56:37.337]  You know, they think George Bush is a conservative, Barack Obama's a good guy.
[00:56:40.419 --> 00:56:42.740]  Well, Alex, there's different levels of propaganda for everybody.
[00:56:42.740 --> 00:56:51.025]  For instance, the John Edwards story was really big to try to get the politicos away from this story of Russia attacking Georgia.
[00:56:51.025 --> 00:56:52.366]  Georgia really attacked Russia.
[00:56:52.366 --> 00:56:54.927]  I heard of the hardcore quote patriot shows.
[00:56:54.927 --> 00:56:56.988]  Friday, they weren't even covering this in Georgia.
[00:56:56.988 --> 00:56:57.649]  Yeah, it's insane.
[00:56:57.649 --> 00:57:00.210]  They were talking about he has sexual
[00:57:00.951 --> 00:57:08.179]  And on the other level for the even dumbed down masses, even more dumbed down, it's Bernie Mac and now Isaac Hayes have died.
[00:57:08.179 --> 00:57:08.940]  Two celebrities.
[00:57:08.940 --> 00:57:11.142]  So there's two celebrity deaths this week.
[00:57:11.142 --> 00:57:12.164]  The media will run with that all week.
[00:57:12.164 --> 00:57:14.807]  Hey, Friday night you saw it on Yahoo, you showed me at the office.
[00:57:15.427 --> 00:57:22.710]  The top stories were John Edwards, Celebrity Heritage, and the car wreck day three of the guy in Batman.
[00:57:22.710 --> 00:57:24.150]  Yes, yeah, Morgan Freeman.
[00:57:24.150 --> 00:57:25.331]  That's right, he was in a car wreck.
[00:57:25.331 --> 00:57:31.353]  They love this filtered, celebritainment news that just mesmerizes people.
[00:57:31.353 --> 00:57:38.255]  Well, folks, the country is in trouble when the United States-backed forces, now they're reporting dead U.S.
[00:57:38.255 --> 00:57:39.976]  troops, attack Russia.
[00:57:39.976 --> 00:57:41.557]  Premeditated out of the clear blue sky.
[00:57:41.557 --> 00:57:42.237]  Terrorist attack.
[00:57:43.055 --> 00:57:45.216]  And they just tell you that it's the other way around.
[00:57:45.216 --> 00:57:46.537]  We're going to start the next hour.
[00:57:46.537 --> 00:57:51.840]  We'll get to many other people that are patiently holding 877-590-5525.
[00:57:51.840 --> 00:57:52.160]  877-590-5525.
[00:57:52.160 --> 00:58:01.705]  Locally in Central Texas, if you're listening to us on the Mothership Station, it's radio 590 KLBJ.
[00:58:01.705 --> 00:58:02.625]  It's 836-0590.
[00:58:02.625 --> 00:58:06.427]  Our websites are InfoWars.com and PrisonPlanet.com.
[00:58:06.427 --> 00:58:08.688]  Film Director Jason Bermes is my guest.
[00:58:08.688 --> 00:58:11.310]  His new film, Fabled Enemies, comes out September 1st.
[00:58:11.310 --> 00:58:11.770]  Stay with us.
[00:58:14.443 --> 00:58:14.883]  Yeah, I think so.
[00:58:19.495 --> 00:58:23.859]  It's no secret that Genesis Communications Network depends on listeners like you.
[00:58:23.859 --> 00:58:26.761]  Now you can do even more to hear Genesis shows in your area.
[00:58:26.761 --> 00:58:31.324]  Simply call your local radio stations and tell them about your favorite GCN programs.
[00:58:31.324 --> 00:58:32.025]  It's easy.
[00:58:32.025 --> 00:58:38.630]  Log on to GCNlive.com or call us toll free 877-807-4048.
[00:58:38.630 --> 00:58:39.390]  Make a difference.
[00:58:39.390 --> 00:58:44.775]  Call your local stations and contact us through affiliate relations at GCNlive.com or call 877-807-4048.
[00:58:44.775 --> 00:58:45.155]  Call today.
[00:58:50.499 --> 00:58:51.579]  Looking for profit?
[00:58:51.579 --> 00:58:53.380]  Looking for safety and security?
[00:58:53.380 --> 00:58:56.721]  The $10 Olympic commemorative gold coin offers both.
[00:58:56.721 --> 00:59:04.185]  This low mintage collector coin with a total series mintage under $600,000 has sold at four times its current price.
[00:59:04.185 --> 00:59:07.946]  Falling dollar values and inflation make this likely to happen again.
[00:59:07.946 --> 00:59:09.507]  Secure your position today.
[00:59:09.507 --> 00:59:11.008]  Call Midas Resources at 1-800-686-2237.
[00:59:11.008 --> 00:59:11.228]  That's 1-800-686-2237.
[00:59:19.418 --> 00:59:20.178]  Attention!
[00:59:20.178 --> 00:59:24.139]  This is an extremely urgent news update on the global food shortage.
[00:59:24.139 --> 00:59:31.201]  If you've ever wanted to produce your own dirt-cheap survival foods, this is going to be the most important message you will ever hear.
[00:59:31.201 --> 00:59:42.204]  This network has just learned of a new video course that reveals the secrets of how to safely prepare and store all kinds of survival foods in event of social unrest and food shortages here in the U.S.
[00:59:42.204 --> 00:59:43.524]  And here's the best part.
[00:59:43.524 --> 00:59:46.845]  This course teaches you how to store food for pennies on the dollar.
[00:59:47.345 --> 00:59:49.526]  Hunger is spreading across the globe.
[00:59:49.526 --> 00:59:52.627]  Food riots have already broken out in over 20 countries.
[00:59:52.627 --> 00:59:55.027]  Will troops guard food supplies in the U.S.
[00:59:55.027 --> 00:59:55.908]  this winter?
[00:59:55.908 --> 00:59:56.888]  Don't wait!
[00:59:56.888 --> 01:00:01.530]  Learn the food storage secrets that can keep you and your family alive in a crisis.
[01:00:01.530 --> 01:00:05.151]  Get all the details at FoodShortageUSA.com.
[01:00:05.151 --> 01:00:07.491]  That's FoodShortageUSA.com.
[01:00:07.491 --> 01:00:08.672]  Or call toll free at 877-327-0365.
[01:00:08.672 --> 01:00:10.132]  Don't wait for long lines and empty shelves.
[01:00:15.934 --> 01:00:18.135]  Go to FoodShortageUSA.com.
[01:00:33.465 --> 01:00:36.406]  IRN USA Radio News, I'm Jody Jordan.
[01:00:36.406 --> 01:00:42.748]  Russia is expanding its bombing blitz against neighboring Georgia, targeting the country's capital for the first time.
[01:00:42.748 --> 01:00:48.749]  Meanwhile, Georgian troops are pulling out of the breakaway province of South Ossetia, as Russia has demanded.
[01:00:48.749 --> 01:00:53.611]  But Moscow says it now needs to verify the withdrawal before it will negotiate a ceasefire.
[01:00:54.171 --> 01:00:57.095]  And the White House is urging both sides to stop fighting.
[01:00:57.095 --> 01:00:58.016]  Here's Mark Smith.
[01:00:58.016 --> 01:01:11.452]  Whether or not Georgia was right to send troops into South Ossetia to retake control of the breakaway region, Press Secretary Dana Perino says it was wrong of Russia to hit back with air attacks and armor columns that went far beyond the disputed enclave.
[01:01:11.452 --> 01:01:14.135]  President Bush does think that the Russian response has been disproportionate.
[01:01:14.215 --> 01:01:19.159]  The White House warns if those attacks don't stop, Russia's ties with America will be harmed.
[01:01:19.159 --> 01:01:26.705]  The President's spoken twice to Vladimir Putin here in Beijing, though Perino won't comment on reports the two argued at the Olympic opening ceremonies.
[01:01:26.705 --> 01:01:28.787]  This is IRN USA Radio News.
[01:01:30.217 --> 01:01:38.280]  If you're driving down the road and trying to decide whether you need a home equity loan just to buy gas, you might want to consider starting a home business.
[01:01:38.280 --> 01:01:40.161]  Hi, how in the world are you anyway?
[01:01:40.161 --> 01:01:44.063]  This is Andy Willoughby with the 3-Step Plan Home Business System.
[01:01:44.830 --> 01:01:48.533]  If you build a home business with the 3-Step Plan, you would walk to work every day.
[01:01:48.533 --> 01:01:54.018]  It would only take about 10 seconds, you wouldn't have to deal with any traffic, and it wouldn't use any gas.
[01:01:54.018 --> 01:01:58.722]  Of course, some 3-Step Plan members keep their jobs and start a home business part-time.
[01:01:58.722 --> 01:02:01.225]  That's one of the great things about the 3-Step Plan.
[01:02:01.225 --> 01:02:03.066]  You get to make the choices.
[01:02:03.066 --> 01:02:05.649]  For information, go to 3stepplan.com or call 800-480-2102.
[01:02:05.649 --> 01:02:07.871]  If you would like to put more money in your pocket,
[01:02:13.435 --> 01:02:17.016]  Take a proactive approach to today's changing economy.
[01:02:17.016 --> 01:02:19.537]  Find out how you can make more money working from home.
[01:02:19.537 --> 01:02:21.938]  Go to 3stepplan.com or call 800-480-2102.
[01:02:21.938 --> 01:02:21.978]  800-480-2102.
[01:02:30.592 --> 01:02:39.596]  In a meeting with the Chinese President today, President Bush praised the country for its swift response to a stabbing attack that killed the father of a 2004 U.S.
[01:02:39.596 --> 01:02:43.278]  Olympian, while the man was visiting a historic site.
[01:02:43.278 --> 01:02:44.558]  Here's Warren Levinson.
[01:02:44.558 --> 01:02:49.200]  The attacker was identified as 47-year-old Tang Yongming from a province in eastern China.
[01:02:49.200 --> 01:02:51.741]  Interpol has run his name through a database of 178,000 individuals.
[01:02:53.422 --> 01:02:55.623]  If she's refusing DNA testing, you know, he is presumed innocent.
[01:03:21.145 --> 01:03:24.809]  Uh, until, you know, DNA proves him, you know, the father.
[01:03:30.143 --> 01:03:31.383]  You're finally there.
[01:03:31.383 --> 01:03:34.124]  You've taken your idea and turned it into a reality.
[01:03:34.124 --> 01:03:35.405]  You're starting a business.
[01:03:35.405 --> 01:03:42.407]  When it comes to setting up your limited liability company, S Corporation or C Corporation, make sure you go to people you can trust.
[01:03:42.407 --> 01:03:43.808]  Inkfile.com.
[01:03:43.808 --> 01:03:51.451]  Inkfile is how more than 30,000 people just like yourself protect their investment, with plans starting at just $49, plus state filing fees.
[01:03:51.451 --> 01:03:55.932]  For a limited time, use promo code RADIO and receive a $25 discount only at Inkfile.com.
[01:04:00.532 --> 01:04:00.973]  The U.S.
[01:04:00.973 --> 01:04:05.837]  men's volleyball team played with heavy hearts in a five-set win over Venezuela.
[01:04:05.837 --> 01:04:13.225]  Team captain Thomas Hoff says it was an easy concentrating of the game after Saturday's fatal stabbing of the coach's father-in-law.
[01:04:13.225 --> 01:04:20.252]  We all came here to do this and it's very hard to continue on but obviously our first and foremost thoughts and prayers are
[01:04:20.992 --> 01:04:22.053]  Are with their family.
[01:04:22.053 --> 01:04:27.098]  The United States leads in the overall medal count in the Olympics with eight medals so far.
[01:04:27.098 --> 01:04:33.484]  Michael Phelps won his first gold medal of the Beijing Olympics in the 400 meter individual melody.
[01:04:33.484 --> 01:04:35.326]  American Ryan Lochte was second.
[01:04:35.866 --> 01:04:38.767]  Phelps says seeing President Bush was a thrill.
[01:04:38.767 --> 01:04:39.248]  It was cool.
[01:04:39.248 --> 01:04:44.050]  I looked up and he waved the flag and nodded his head.
[01:04:44.050 --> 01:04:45.871]  That was pretty cool.
[01:04:45.871 --> 01:04:50.393]  Pretty cool feeling to have the President say congratulations and have him here in the crowd tonight.
[01:04:50.393 --> 01:04:59.617]  American Dara Torres won silver in the 400 freestyle relay, while Larson Jensen and Katie Hoff earned bronze medals in swimming.
[01:04:59.617 --> 01:05:03.759]  And more on Friday's Texas bus accident that killed at least 16 people.
[01:05:04.398 --> 01:05:13.043]  Police emergency call tapes released show a scene of panic and chaos with screams and moans heard over phone calls reporting the wreck.
[01:05:13.043 --> 01:05:16.486]  Debbie Hernsman is with the National Transportation Safety Board.
[01:05:16.486 --> 01:05:24.871]  At the time of the accident, neither company was operating legally in interstate bus commerce.
[01:05:24.871 --> 01:05:28.153]  I'm Jody Jordan and that's news from the Information Radio Network.
[01:05:29.318 --> 01:05:36.002]  With oil at $105 per barrel and counting, we need radical change if we're to avert becoming a third world nation.
[01:05:36.002 --> 01:05:41.225]  It's time to jump on the next wave of free energy and radical natural alternative health solutions.
[01:05:41.225 --> 01:05:43.186]  Introducing Orgon products.
[01:05:43.186 --> 01:05:48.168]  Orgon is the universal life force, the basic building block of all matter on the material planet.
[01:05:48.168 --> 01:05:51.750]  Orgon electromedicine is the wave of the future dating back to the late 1800s.
[01:05:52.891 --> 01:05:53.652]  I think so.
[01:06:09.614 --> 01:06:12.196]  Health doesn't need to be expensive or complicated.
[01:06:12.196 --> 01:06:16.240]  Simple technology equals profound results at orgonproducts.org.
[01:06:16.240 --> 01:06:19.362]  That's O-R-G-O-N-E products dot org.
[01:06:19.362 --> 01:06:22.245]  O-R-G-O-N-E products dot org.
[01:06:22.245 --> 01:06:22.705]  Or call 646-498-5309.
[01:06:22.705 --> 01:06:22.965]  That's 646-498-5309.
[01:06:22.965 --> 01:06:24.647]  Prepare yourself for a talk radio experience.
[01:06:40.111 --> 01:06:42.872]  He stands for truth.
[01:06:42.872 --> 01:06:46.073]  He stands for justice.
[01:06:46.073 --> 01:06:48.514]  He stands for what's right.
[01:06:48.514 --> 01:06:51.835]  This is the Alex Jones Show.
[01:06:51.835 --> 01:06:54.516]  Call Alex now, toll free at 877-590-5525.
[01:06:54.516 --> 01:06:58.797]  Now live from Austin, Texas, here's Alex Jones.
[01:07:11.588 --> 01:07:25.604]  I had a regular guest, former Wall Street Journal editor, former head of the Treasury Department, father of economics, Dr. Paul Kirk Roberts on Friday calling this evil criminal action against Russia an attempt to test them for a wider war.
[01:07:27.555 --> 01:07:48.971]  In Eastern Europe and Central Asia, the United States-backed forces of Georgia premeditatedly Thursday night into Friday when the Olympics kicked off as a smokescreen viciously attacked a string of towns and cities in southern Ossetia on the border with Russia, killing more than 2,000 civilians, scores of peacekeepers, and at least 15 Russian troops.
[01:07:48.971 --> 01:07:52.234]  Russia responded with attacks, but this is an exclusive.
[01:07:52.234 --> 01:07:55.997]  Dr. Roberts, I'm not going to be on this today, but he sent me his story for
[01:07:56.903 --> 01:07:57.564]  We're good to go.
[01:08:10.422 --> 01:08:15.305]  As I write in the liberal Washington Post that has written an editorial using the U.S.
[01:08:15.305 --> 01:08:19.947]  to go to war with Russia, with this editorial stopping Russia as the headline, the U.S.
[01:08:19.947 --> 01:08:23.589]  and its allies must unite against Moscow's war on Georgia.
[01:08:23.589 --> 01:08:37.237]  The Washington Post has established a world record for maximum number of lies in a number of single words, number of words, except for the Washington Post, the entire world knows that Georgia, the birthplace of Joseph Stalin, not Georgia, USA,
[01:08:38.359 --> 01:08:42.481]  I made the joke with him on air that he better put in his article that it wasn't Georgia, USA.
[01:08:42.481 --> 01:08:49.063]  Initiated the aggression that killed Russian peacekeepers and hundreds of civilians, just now more than 2,000, in South Ossetia.
[01:08:49.063 --> 01:08:55.425]  Peacekeepers who were there for the blessing of Georgia and the international agreements for more than 10 years, since 93.
[01:08:55.425 --> 01:09:04.589]  The true facts are available all over the world press, but the quote liberal Washington Post serves up the lie that Russia has attacked Georgia and
[01:09:05.347 --> 01:09:08.168]  Conceivably plans to conquer all of Georgia.
[01:09:08.168 --> 01:09:09.128]  This is a grave challenge.
[01:09:09.128 --> 01:09:15.170]  The United States and Europe thunders the Bush regime's mouthpiece, aka the liberal media.
[01:09:15.170 --> 01:09:22.852]  Thirsting for blood, the liberal media declares the United States and its NATO allies must together impose a price on Russia.
[01:09:22.852 --> 01:09:23.512]  And it goes on.
[01:09:24.730 --> 01:09:25.451]  That's an exclusive.
[01:09:25.451 --> 01:09:26.892]  This isn't even out yet.
[01:09:26.892 --> 01:09:31.915]  I want to go to one of our other contributors who contributes each week, and that's Bob Chapman of the International Forecaster.
[01:09:31.915 --> 01:09:43.203]  I will then get to Greg in Fort Worth, Pam in New York, Carl in Canada, Randy in Chicago, Mike in New Jersey, and others that are holding while Bob Chapman rides shotgun with us.
[01:09:43.203 --> 01:09:46.825]  Bob Chapman, of course, worked in intelligence against the Russians.
[01:09:46.825 --> 01:09:50.528]  Then he became the largest gold and silver broker in the world and has had the largest
[01:09:50.988 --> 01:09:51.608]  We're good to go.
[01:10:20.689 --> 01:10:24.431]  Abkhazia as well, and they repulse that attack.
[01:10:24.431 --> 01:10:28.693]  The Georgians, even though they claim to cease fire, are still attacking.
[01:10:28.693 --> 01:10:30.874]  This is just unbelievable, and most U.S.
[01:10:30.874 --> 01:10:34.056]  newspapers are saying Russia attacked Georgia.
[01:10:34.056 --> 01:10:41.940]  A new level of disregard of the people, treating us like complete morons, but I guess we are morons, so why not?
[01:10:41.940 --> 01:10:43.321]  Bob Chapman, thanks for coming on with us.
[01:10:44.392 --> 01:10:45.513]  Well, thank you.
[01:10:45.513 --> 01:10:46.934]  It's very nice to be here again.
[01:10:46.934 --> 01:10:56.303]  As I said, I guess it was on Thursday, Friday, Friday, that Russia would expand this.
[01:10:56.303 --> 01:10:59.246]  And they had no choice.
[01:10:59.246 --> 01:11:06.813]  The whole climate of relations now have changed severely between Russia, Western Europe, England, and the United States.
