[00:14:10.250 --> 00:14:11.692]  You, Alex, are fearless.
[02:16:47.438 --> 02:16:48.338]  All I can tell her
[02:16:48.978 --> 02:16:49.699]  We're good to go.
[02:17:08.650 --> 02:17:13.993]  We're on record for using chemical weapons no fewer than 52 times.
[02:17:14.453 --> 02:17:27.280]  ISIS could quite easily have done this, hoping the world would blame Assad and the Russians, particularly in the wake of the arguments that are still going on about the poisonings that took place in Salisbury, England.
[02:17:27.320 --> 02:17:29.481]  So, the answer is, we don't know.
[02:17:29.621 --> 02:17:30.722]  You're a leading expert on this.
[02:17:30.802 --> 02:17:32.683]  Why is the left allied with radical Islam?
[02:17:32.943 --> 02:17:33.864]  Why are they trying to flood?
[02:17:34.909 --> 02:17:36.049]  Because they hate Christianity.
[02:17:36.730 --> 02:17:47.693]  They deny absolutely our Judeo-Christian culture, which if you think about it actually are the roots completely of our nations and our civilization.
[02:17:47.733 --> 02:17:48.554]  They deny that.
[02:17:48.994 --> 02:17:52.655]  They also, don't forget Alex, they want to abolish the nation state.
[02:17:52.715 --> 02:17:53.915]  They want to get rid of it.
[02:17:54.416 --> 02:18:02.338]  They want to replace it with the globalist project and the European Union is the prototype for the new world order.
[02:18:02.678 --> 02:18:04.419]  Do you know, if Hillary had won that election,
[02:18:05.149 --> 02:18:10.353]  Last year, she was going to sign America up to get really close to this kind of thing.
[02:18:10.393 --> 02:18:16.418]  So, you know, we may sit here right now, Alex, and be a bit critical of Trump, but on many other things, he's got things right.
[02:18:16.718 --> 02:18:24.824]  And when you send a message, when Angela Merkel sends a message, as many of you as want to come can come, what do you think they're going to do?
[02:18:24.844 --> 02:18:30.708]  In fact, the liberals have become the very fascists that they try and criticise with their rhetoric.
[02:18:30.748 --> 02:18:31.909]  And look, what's really happening here?
[02:18:31.929 --> 02:18:34.231]  You know, don't underestimate
[02:18:34.831 --> 02:18:37.795]  How massive the seismic shock of 2016 was.
[02:18:38.115 --> 02:18:39.196]  The victory of Brexit.
[02:18:39.476 --> 02:18:40.397]  The victory of Trump.
[02:18:41.018 --> 02:18:41.859]  You know, we're winning.
[02:18:42.199 --> 02:18:43.281]  Look at Hungary the other day.
[02:18:43.521 --> 02:18:51.149]  We are winning, but it doesn't feel like we're winning because the left and the state are fighting back with all their might.
[02:18:51.229 --> 02:18:52.030]  And you know something?
[02:18:52.571 --> 02:18:53.372]  If we can resist,
[02:18:54.168 --> 02:19:03.276]  This politically correct charge, this attempt to stop us thinking and speaking freely, if we can resist that, then our victory actually will be complete.
[02:19:03.316 --> 02:19:05.057]  So don't get down, everybody.
[02:19:05.358 --> 02:19:06.198]  Don't get depressed.
[02:19:06.539 --> 02:19:09.041]  They're behaving like this because we're beating them.
[02:19:09.858 --> 02:19:15.621]  And let's remember, you're the guy when Trump thought three months before he was going to lose the game and privately cheered him up and cheered up the troops.
[02:19:15.961 --> 02:19:18.762]  And you were a critical catalyst in this, just as you were in Brexit.
[02:19:19.042 --> 02:19:19.702]  You're amazing.
[02:19:19.923 --> 02:19:20.603]  Thank you for joining us.
[02:19:20.663 --> 02:19:21.483]  I know you're very busy.
[02:19:22.064 --> 02:19:23.424]  But that's as the EU has said.
[02:19:23.464 --> 02:19:25.945]  They'll try to start a wider war to keep the EU.
[02:19:25.985 --> 02:19:29.367]  Don't you think that's what part of this attempt to start World War III is about in Syria?
[02:19:30.602 --> 02:19:43.275]  I think the globalists have wanted to have some form of conflict with Russia as an argument for us all to surrender our national sovereignty and give it up to a higher global level.
[02:19:43.635 --> 02:19:49.121]  They've wanted it for years and now they see their opportunity and we must protect it.
[02:19:49.601 --> 02:19:50.923]  Thank you so much Nigel Farage.
[02:19:57.452 --> 02:20:00.153]  You're listening to the Alex Jones Show.
[02:20:15.380 --> 02:20:20.402]  Before America can be great again, she must be free again.
[02:20:20.903 --> 02:20:23.604]  You're listening to the Alex Jones Show.
[02:20:27.679 --> 02:20:28.361]  Welcome back.
[02:20:30.746 --> 02:20:36.397]  You're on the Alex Jones Show, and I'm your pinch-hitting host, Roger Stone.
[02:20:39.992 --> 02:20:46.173]  Joining us is our legal analyst and libertarian activist, Tyler Nixon.
[02:20:46.833 --> 02:21:03.197]  Tyler, you recently brought my attention to an extraordinary performance by Clinton campaign manager Robbie Mook on CNN when he was interviewed by the snowflake Jake Tapper.
[02:21:04.197 --> 02:21:06.017]  Give us your analysis.
[02:21:06.057 --> 02:21:07.918]  Tell the listeners and viewers.
[02:21:08.638 --> 02:21:10.419]  What Mr. Mook had to say.
[02:21:10.439 --> 02:21:16.460]  Yeah, well, you know, this guy, they keep dredging him back up.
[02:21:16.520 --> 02:21:17.361]  He's a loser.
[02:21:17.861 --> 02:21:19.021]  He lost the campaign.
[02:21:19.121 --> 02:21:26.183]  I mean, look, he got his pants beat off by Manafort and the brilliant leaders over at the Trump campaign.
[02:21:26.243 --> 02:21:28.364]  So, you know, he's basically embittered.
[02:21:28.945 --> 02:21:34.468]  He reflects the Hillary Clinton sort of milieu of just nastiness.
[02:21:34.508 --> 02:21:37.390]  They are going to go out and try to destroy Donald Trump.
[02:21:37.430 --> 02:21:42.093]  They are sore losers, the sorest of losers we've ever seen, and Mook is one of them.
[02:21:42.834 --> 02:21:49.158]  You know, he came on this show, and of course, you know, they gave him, Tapper gave him just free reign to say whatever he wanted.
[02:21:49.518 --> 02:21:51.079]  He called you out by name.
[02:21:52.721 --> 02:21:54.023]  This is what they've done.
[02:21:54.043 --> 02:21:57.648]  This is how the leftist media operates.
[02:21:58.048 --> 02:22:06.019]  Now you recall there was this secret cabal of journalists called the Journalist, run by Ezra Klein.
[02:22:06.039 --> 02:22:08.382]  Now these people were coordinating their message.
[02:22:09.143 --> 02:22:17.265]  Secretly in this private email list, behind the scenes, as to what the message would be, how they would help Barack Obama.
[02:22:17.505 --> 02:22:19.346]  I mean, a literal cabal of journalists.
[02:22:19.506 --> 02:22:22.046]  But of course, we're the conspiracy theorists, right?
[02:22:22.586 --> 02:22:29.108]  So this is exactly the kind of thing done in the case, and I've noticed in the case of you, what they do, Roger, is they take the story,
[02:22:29.808 --> 02:22:30.489]  We're good to go.
[02:22:51.665 --> 02:22:54.347]  Is a, you know, is an arm of the Russian state.
[02:22:54.367 --> 02:22:55.609]  You know, Assumption No.
[02:22:55.629 --> 02:22:59.612]  4, Roger Stone arranged, you know, is in touch with WikiLeaks and therefore in touch with the Russians.
[02:22:59.972 --> 02:23:01.053]  And on and on and on it goes.
[02:23:01.453 --> 02:23:14.564]  And what they do is, I've noticed, they'll take that story or that essential, you know, nugget of misstatement or, you know, untruth, and they'll pass it down the line of different journalists.
[02:23:15.124 --> 02:23:19.188]  So, for example, you'll have, you know, recently you had Jonathan Chait writing his
[02:23:19.788 --> 02:23:20.790]  Yeah, I think so.
[02:23:32.216 --> 02:23:32.496]  I think so.
[02:23:52.310 --> 02:24:00.354]  Where you go around the circle, and you're supposed to repeat a certain phrase, and by the time it gets all the way around, you're laughing your heads off because it's ridiculous.
[02:24:00.414 --> 02:24:02.115]  It sounds nothing like the original story.
[02:24:02.375 --> 02:24:06.177]  Well, that's exactly what these people are doing on a national level to you, and to others.
[02:24:06.198 --> 02:24:08.719]  To you in particular, Roger, I mean, it's really a disgrace.
[02:24:08.759 --> 02:24:15.763]  I mean, it makes me sick to my stomach, frankly, just as a person who's fair and ethical-minded, to see this happen to someone.
[02:24:15.783 --> 02:24:19.865]  Because, you know, I know you well enough, and I know up close that this is such a crock
[02:24:20.745 --> 02:24:22.566]  A crock of shit, frankly, is what it is.
[02:24:22.586 --> 02:24:31.892]  I'm almost speechless here, because it disgusts me to no end, what they've done.
[02:24:32.353 --> 02:24:38.136]  And you see another one come out, it's like, my God, you've just beaten back the last raft of bullshit they've floated at you.
[02:24:38.697 --> 02:24:41.078]  And here comes another one, with a new twist to it.
[02:24:42.339 --> 02:24:47.685]  What they don't seem to understand is that I thrive on combat.
[02:24:48.225 --> 02:24:53.270]  Now, Adam Schiff, Eric, the dumb surfer boy, Swalwell,
[02:24:54.406 --> 02:24:58.047]  Diane, octogenarian, criminal, brain-dead senator.
[02:24:58.607 --> 02:25:00.348]  They enjoy congressional immunity.
[02:25:00.948 --> 02:25:02.188]  They can smear you.
[02:25:02.308 --> 02:25:04.389]  They can utilize innuendo.
[02:25:04.449 --> 02:25:05.669]  They can state falsehoods.
[02:25:06.069 --> 02:25:07.229]  There are no consequences.
[02:25:07.789 --> 02:25:10.230]  Mook, on the other hand, is another question.
[02:25:10.810 --> 02:25:14.431]  Now, he publicly accused me of treason and criminal activity.
[02:25:15.451 --> 02:25:17.372]  And he is subject to the courts.
[02:25:18.280 --> 02:25:20.523]  Now, I have enough defensive actions.
[02:25:20.603 --> 02:25:23.806]  I've got to beat back the phony lawsuits against me.
[02:25:24.447 --> 02:25:28.031]  But I'm thinking seriously about suing Mr. Mook.
[02:25:28.472 --> 02:25:30.454]  Running up his legal bills.
[02:25:30.974 --> 02:25:33.958]  Bringing, calling him to account for his lies.
[02:25:34.038 --> 02:25:35.099]  I want to confront him.
[02:25:35.520 --> 02:25:36.941]  Mook, I hope you're listening.
[02:25:37.722 --> 02:25:40.886]  Show us the proof that the Russians hacked the DNC.
[02:25:41.267 --> 02:25:44.330]  Show us the proof that the DNC was hacked at all.
[02:25:44.591 --> 02:25:46.673]  You wouldn't let the FBI see their servers.
[02:25:47.214 --> 02:25:50.658]  Show us the proof that I received anything for the Russians.
[02:25:51.019 --> 02:25:54.623]  Show us the evidence that I passed anything on to WikiLeaks.
[02:25:54.984 --> 02:25:56.225]  Because if you cannot,
[02:25:56.926 --> 02:25:58.487]  I want a judgment against you.
[02:25:59.148 --> 02:26:00.369]  I'm coming for you, Mook.
[02:26:00.769 --> 02:26:07.435]  And I've got a mean-ass lawyer named Tyler Nixon, who's gonna take your miserable ass to the cleaners.
[02:26:08.756 --> 02:26:12.339]  Well, I think being Robbie Mook is punishment in itself.
[02:26:13.400 --> 02:26:16.262]  But that being said, he was careful, I must unfortunately say.
[02:26:16.282 --> 02:26:19.205]  And you know, it's funny, because he would have gone on
[02:26:20.083 --> 02:26:27.029]  With repeating this defamation, Roger, but guess who interrupted him and corrected him and made sure that he walked it back right on the air right there?
[02:26:27.369 --> 02:26:28.070]  Jake Tapper.
[02:26:28.650 --> 02:26:29.511]  Jake Tapper was smart.
[02:26:29.551 --> 02:26:36.757]  You know, this is how they look out for the Clinton-esque or the Clintonites and the Obamaites, you know, to make sure that we want to protect our people.
[02:26:37.117 --> 02:26:42.021]  We wouldn't want them to get sued like they're waging a lawfare campaign against you and others.
[02:26:42.661 --> 02:26:43.962]  And, you know, the bottom line is this.
[02:26:44.282 --> 02:26:58.589]  Robby Mook, for example, has overseen illegal payments or, you know, or let's just say unreported contributions to the campaign money that was shuttled to Fusion GPS by this law firm, Perkins Coie.
[02:26:59.070 --> 02:27:07.134]  And there is an FEC complaint currently against the Clinton campaign against Hillary for America pending, which of course, you know, has been held up.
[02:27:07.174 --> 02:27:09.595]  They've had to sue the FEC just to get action on it.
[02:27:10.115 --> 02:27:15.797]  In which they basically disguised these payments as legal fees and compliance fees.
[02:27:16.137 --> 02:27:17.738]  Now, Robby Mook oversaw that.
[02:27:18.018 --> 02:27:32.744]  So he was paying, he was overseeing the payment of Fusion GPS to create the fake, dirty dossier, disguising it behind the mask of a law firm in order to deceive the American people about what they were really, who they were paying, who they were buying.
[02:27:33.625 --> 02:27:48.487]  And of course, this entire Fusion GPS dossier is what launched the entire Mueller campaign, the Mueller effort against the President, which is, I mean, boy, don't get me started on that, or if you want to get me started, I'm glad to go into it, because I think it's disgusting.
[02:27:49.039 --> 02:27:51.541]  Well, we've got about just a minute left here.
[02:27:51.561 --> 02:28:00.847]  I want to thank Tyler Nixon, who always is on the money with his acute legal analysis for both the Alex Jones Show and The War Room.
[02:28:01.468 --> 02:28:02.128]  Here's the thing.
[02:28:02.649 --> 02:28:10.875]  When you win a successful presidential campaign as the campaign manager, you can dine out on it forever.
[02:28:11.435 --> 02:28:16.759]  You are assured a future of wealth and prominence.
[02:28:17.964 --> 02:28:24.228]  Take Ed Rollins, for example, a stone-cold loser who dined out on Ronald Reagan's great victory for years.
[02:28:24.729 --> 02:28:30.312]  Robbie Mook will go down in history and will die a penniless loser.
[02:28:30.933 --> 02:28:33.234]  Thanks for joining us on the Alex Jones Show.
[02:28:33.555 --> 02:28:35.296]  Thank you for Tyler Nixon joining us.
[02:28:35.676 --> 02:28:40.980]  We'll be right back with Owen Schroer from the NRA Convention in Dallas, Texas.
[02:28:54.022 --> 02:28:55.783]  Fueling your body is hard work.
[02:28:56.343 --> 02:29:01.524]  That's why we've introduced the InfoWars Life Daily Digestive Pack to help you fuel it right.
[02:29:02.125 --> 02:29:10.167]  Combine FloraLife Everyday Maintenance and Carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive.
[02:29:10.547 --> 02:29:12.768]  There's no better way to power your body.
[02:29:13.308 --> 02:29:19.850]  Floralife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[02:29:20.190 --> 02:29:30.734]  When paired with Carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[02:29:31.354 --> 02:29:38.257]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[02:29:38.797 --> 02:29:44.447]  There's no better time to try Floralife and Carnivore to see how well they can support your body.
[02:29:44.948 --> 02:29:48.534]  Don't miss out on the chance to fuel your body and support recovery.
[02:29:48.795 --> 02:29:51.960]  Try the InfoWars Life Daily Digestive Pack today!
[02:29:53.695 --> 02:29:58.958]  Climb to the top of the food chain with Alpha Power by Infowars Life.
[02:29:59.678 --> 02:30:02.980]  For those who want to increase testosterone and energy levels.
[02:30:03.820 --> 02:30:10.083]  Most men know that testosterone levels begin to decline starting around 30 at a rate of about 1-2% per year.
[02:30:11.864 --> 02:30:18.206]  This drop can show signs such as fatigue, low energy, low sex drive, and muscle loss.
[02:30:19.006 --> 02:30:24.248]  Alpha Power is packed with some of the most potent and clinically tested ingredients on the market.
[02:30:24.868 --> 02:30:40.893]  The secret is in the synergistic blend of ancient ingredients that have been concentrated into their most potent forms, including uricoma longifolia, originally from Malaysia, maca root from Peru, horny goatweed from China,
[02:30:41.733 --> 02:30:42.295]  We're good.
[02:30:53.490 --> 02:30:55.251]  Fueling your body is hard work.
[02:30:55.811 --> 02:31:00.994]  That's why we've introduced the InfoWars Life Daily Digestive Pack to help you fuel it right.
[02:31:01.594 --> 02:31:09.658]  Combine FloraLife Everyday Maintenance and Carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive.
[02:31:10.018 --> 02:31:12.239]  There's no better way to power your body.
[02:31:12.779 --> 02:31:19.325]  Floralife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[02:31:19.666 --> 02:31:30.215]  When paired with Carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[02:31:30.836 --> 02:31:37.743]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[02:31:38.263 --> 02:31:43.909]  There's no better time to try Floralife and Carnivore to see how well they can support your body.
[02:31:44.429 --> 02:31:47.993]  Don't miss out on the chance to fuel your body and support recovery.
[02:31:48.253 --> 02:31:51.417]  Try the InfoWars Life Daily Digestive Pack today!
[02:31:56.377 --> 02:31:57.798]  Let's talk to Victor in Florida.
[02:31:57.838 --> 02:31:59.299]  Victor, you're calling.
[02:31:59.359 --> 02:31:59.699]  Go ahead.
[02:31:59.819 --> 02:32:00.100]  Yes.
[02:32:00.520 --> 02:32:01.260]  Hi, Alex.
[02:32:01.361 --> 02:32:07.565]  First, I just want to mention, if people just go and try the products, they will be ordering all the time.
[02:32:07.765 --> 02:32:11.748]  I've ordered several of the products over and over because it's amazing.
[02:32:11.988 --> 02:32:13.429]  In particular, Silver Bullet.
[02:32:13.809 --> 02:32:20.494]  As soon as I start to feel like I get a little sick, you know, maybe like a little raspiness in my throat, I drop some Silver Bullet in it.
[02:32:20.574 --> 02:32:23.436]  Like, I'll still feel a little sick, but it won't last as long.
[02:32:24.317 --> 02:32:29.019]  Well, let me just say something, Victor.
[02:32:29.059 --> 02:32:36.884]  It's people like you that then fund the whole operation, because a very small percentage of people buy products, and a very small percentage of them buy a lot of the products, so thank you.
[02:32:36.904 --> 02:32:42.728]  But when you mention the Silver Bullet colloidal silver, it's got thousands of reviews, a 98% review.
[02:32:42.868 --> 02:32:48.171]  It is our highest-reviewed product, because it is from the top lab in the country, discounted, high-quality colloidal silver.
[02:32:48.251 --> 02:32:51.253]  It's not a Silver Bullet, but it's the closest thing you're going to find to a Silver Bullet.
[02:32:57.322 --> 02:33:01.526]  You're listening to The Alex Jones Show.
[02:33:07.471 --> 02:33:13.696]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[02:33:17.566 --> 02:33:20.527]  Welcome back to the Alex Jones Show.
[02:33:21.228 --> 02:33:37.235]  It's been a topsy-turvy day because I led the top of the judge report this morning in a bogus CNBC report that says that I am now in special counselor Robert Mueller's crosshairs.
[02:33:38.115 --> 02:33:48.738]  Because of my close relationship, which is in fact virtually non-existent, with former Trump campaign staffer Rick Gates.
[02:33:49.798 --> 02:34:02.822]  They're probing the dinners we had, except for we didn't have any but one with many other people present to discuss the delegation to the Republican National Convention from New York State.
[02:34:03.502 --> 02:34:09.008]  They're investigating the meetings I had with Gates at Trump Tower.
[02:34:09.448 --> 02:34:12.511]  Except for I didn't have any, not a one.
[02:34:13.332 --> 02:34:20.319]  They are focused on the work that Gates and I did together in the 80s, according to CNBC.
[02:34:21.560 --> 02:34:25.663]  Except for we didn't do any, because I didn't know Gates in the 80s.
[02:34:26.924 --> 02:34:35.309]  This fellow, Brian Fake News Schwartz, with CNBC, has been buffaloed by somebody.
[02:34:35.909 --> 02:34:39.152]  Brian, your source is Foley Schiff.
[02:34:39.992 --> 02:34:49.399]  Joining us now from Dallas, Texas and the NRA convention is Owen Schroeske, the Russian agent.
[02:34:49.579 --> 02:34:51.901]  Welcome to the Alex Jones Show.
[02:34:52.321 --> 02:34:54.303]  Owen, I'm delighted that you can join us.
[02:34:55.644 --> 02:34:57.726]  Good to be with you, Comrade Stoneski.
[02:34:57.906 --> 02:35:00.768]  Well, I am here at the NRA convention in Dallas.
[02:35:00.848 --> 02:35:02.769]  It is very poppin', very lively.
[02:35:02.909 --> 02:35:04.571]  I will go ahead and make a prediction now.
[02:35:05.282 --> 02:35:20.620]  That the amount of funds raised for the NRA at this convention will be record for the NRA and you can thank the students of Parkland like David Hogg for helping grow the NRA to numbers and monies that they've never seen before.
[02:35:20.920 --> 02:35:22.943]  Roger, I've been going around here today not just
[02:35:23.743 --> 02:35:29.648]  Broadcasting live, showing people all the sights and scenes and the guns and everything, but I've been asking people one specific question.
[02:35:30.168 --> 02:35:33.091]  What do they think about the Robert Mueller investigation?
[02:35:33.491 --> 02:35:41.017]  There is not one person that I have found here, and you can say, well, you might expect that from an NRA crowd, but there's thousands and thousands of people here and their opinion matters too.
[02:35:42.496 --> 02:35:43.737]  Nobody here believes it, Roger.
[02:35:44.037 --> 02:35:46.400]  Nobody here believes that Trump colluded with Russia.
[02:35:46.941 --> 02:35:51.766]  Nobody here thinks that the Mueller investigation is actually looking for Russian collusion.
[02:35:51.846 --> 02:35:56.170]  Everybody understands that it's just to try to remove Trump or to undermine his presidency.
[02:35:56.851 --> 02:36:02.317]  And it's amazing how they keep doubling down, tripling down, quadrupling down, repeating the same news cycles.
[02:36:02.737 --> 02:36:10.323]  Telling the same fake news and then expanding the range of the probe into anyone Donald Trump has ever communicated with.
[02:36:10.703 --> 02:36:17.868]  Or maybe, you know, maybe you used the same toilet that Donald Trump used in the same bathroom at the same hotel 20 years ago.
[02:36:18.108 --> 02:36:22.411]  Now you might be in Mueller's crosshairs because you used the same toilet as Donald Trump.
[02:36:22.712 --> 02:36:23.912]  This is how absurd it's gotten.
[02:36:24.233 --> 02:36:25.674]  But nobody buys it, Roger.
[02:36:25.774 --> 02:36:26.915]  That's the amazing thing.
[02:36:26.955 --> 02:36:28.676]  We have this investigation going on.
[02:36:29.446 --> 02:36:36.731]  Totally fake, totally fraudulent, wasting taxpayer dollars, really tearing this country apart, and nobody buys it.
[02:36:36.791 --> 02:36:44.056]  This is so unprecedented that I don't even think we understand the truly historical context of this.
[02:36:44.176 --> 02:36:45.217]  This is Stalin-esque.
[02:36:45.277 --> 02:36:46.298]  This is Kafka-esque.
[02:36:46.338 --> 02:36:51.121]  This is 1984 in the flesh that we're seeing right now, Roger, and we are in the middle of it.
[02:36:51.161 --> 02:36:52.342]  We are in the forefront of it.
[02:36:52.742 --> 02:36:56.565]  A fake investigation to bring down a duly elected president.
[02:36:56.605 --> 02:36:58.526]  You cannot make this stuff up.
[02:37:00.097 --> 02:37:02.420]  Well, I completely agree with you, Owen.
[02:37:02.821 --> 02:37:15.459]  My concern, my fear, is that Mueller is inviting a spasm of violence in this country that will lead to a virtual armed civil war.
[02:37:16.300 --> 02:37:17.360]  This is not 1963.
[02:37:17.860 --> 02:37:20.821]  This is not 1974.
[02:37:21.301 --> 02:37:24.542]  We will not go gladly into that good night.
[02:37:24.962 --> 02:37:28.223]  They are not going to strip our constitutional freedoms.
[02:37:28.603 --> 02:37:31.584]  They are not going to strip us of our civil liberties.
[02:37:31.984 --> 02:37:34.724]  They are not going to erase our borders.
[02:37:35.164 --> 02:37:40.386]  They are not going to take down Donald Trump in some illegitimate coup.
[02:37:41.226 --> 02:37:41.966]  Adam Schiff
[02:37:43.251 --> 02:37:50.860]  Eric Swalwell, Ted Light in the Loafer's Loo, Senator Mark Warner.
[02:37:51.501 --> 02:37:53.983]  No, you will be held responsible.
[02:37:54.364 --> 02:37:59.370]  You will be hunted down and hounded for your illegal activities.
[02:38:00.090 --> 02:38:03.253]  This is a powder keg we are sitting on.
[02:38:03.714 --> 02:38:06.617]  This is why their agenda is clear.
[02:38:07.338 --> 02:38:08.479]  Get their guns.
[02:38:09.139 --> 02:38:11.081]  We have to get their guns.
[02:38:11.602 --> 02:38:14.245]  We have to also strip them of their megaphone.
[02:38:14.745 --> 02:38:16.967]  Take Alex Jones off of the internet.
[02:38:18.849 --> 02:38:21.412]  Take InfoWars off of YouTube.
[02:38:21.773 --> 02:38:22.714]  Silence them.
[02:38:22.874 --> 02:38:23.955]  Shut them down.
[02:38:24.216 --> 02:38:25.057]  Gag them.
[02:38:25.577 --> 02:38:27.680]  File these phony lawsuits.
[02:38:27.740 --> 02:38:30.503]  Then we can use the headlines generated.
[02:38:31.536 --> 02:38:35.199]  To rationalize our attempts to censor them.
[02:38:35.940 --> 02:38:50.633]  It's a slippery slope, but American patriots, the ones attending that convention, the ones who are well armed, they are not going to stand by idly and see their freedoms stripped away.
[02:38:51.273 --> 02:38:55.097]  They are not going to stand for an unconstitutional coup.
[02:38:55.737 --> 02:38:57.259]  Do you read it that way, as I do?
[02:38:58.968 --> 02:39:00.970]  Well, I think you've hit the nail on the head, Roger.
[02:39:01.190 --> 02:39:02.591]  That's the threat to these people.
[02:39:03.312 --> 02:39:07.595]  As soon as the public becomes awakened and unified, they're done.
[02:39:07.875 --> 02:39:16.422]  Everything that they've done to this country, all the lies, all the wars, all the corruption, and now this trying to remove President Trump, it's all going to be exposed.
[02:39:16.502 --> 02:39:17.904]  And I think you hit it right on the head.
[02:39:18.244 --> 02:39:19.305]  Their biggest threat
[02:39:20.367 --> 02:39:36.632]  Politically is Donald Trump, but their biggest threat to their overall agenda worldwide government is the American people that are armed, the American people that are educated, and yes, the American people that listen to InfoWars and get news and education from us to understand exactly what's going on.
[02:39:36.672 --> 02:39:38.153]  So yeah, you hit it right on the head, Roger.
[02:39:38.713 --> 02:39:40.934]  What are they going to do right now?
[02:39:41.034 --> 02:39:44.675]  If you think about the Hillary Clintons, the James Comeys and the like,
[02:39:45.572 --> 02:39:46.312]  What are they thinking?
[02:39:46.352 --> 02:39:47.012]  What are they going to do?
[02:39:47.052 --> 02:39:48.513]  Well, they're peeing their pants.
[02:39:49.033 --> 02:39:53.534]  They are shifting their shorts because they know that justice awaits them.
[02:39:53.794 --> 02:39:55.335]  So like you said, what would you do?
[02:39:55.675 --> 02:39:57.215]  We have to get the guns.
[02:39:57.575 --> 02:40:01.736]  We have to shut down the news outlets that are reporting on our crimes.
[02:40:01.956 --> 02:40:02.957]  We have to shut them down.
[02:40:02.997 --> 02:40:03.957]  This cannot stand.
[02:40:04.177 --> 02:40:04.937]  So that's what it is.
[02:40:05.277 --> 02:40:10.499]  In their last desperate moment of panic to try to maintain the facade that they've been
[02:40:11.779 --> 02:40:15.723]  Robbing this country just bone dry for the last decade.
[02:40:16.043 --> 02:40:20.927]  They try to maintain this facade that oh We're we have America's best interest in mind.
[02:40:20.967 --> 02:40:21.948]  You don't need a border.
[02:40:22.228 --> 02:40:23.149]  You don't need guns.
[02:40:23.189 --> 02:40:25.991]  You don't need free speech We're trying to protect you balls.
[02:40:26.352 --> 02:40:28.333]  You're trying to destroy this country and we know it.
[02:40:28.373 --> 02:40:36.000]  So that's why they want to shut us down That's why they want to take the guns Roger because we call them out and just like you said they're afraid of justice and
[02:40:36.420 --> 02:40:49.146]  And if you are a worldwide criminal and your name is known, and you know that there's armed people that, you know, might want to take things into their own hands because of your great crimes, what are you going to do?
[02:40:49.607 --> 02:40:50.707]  Take the guns.
[02:40:50.927 --> 02:40:52.448]  That's what it all comes down to, Roger.
[02:40:53.103 --> 02:40:59.728]  Well, let's be very clear, because we know that the snowflakes like David Brock are listening.
[02:41:00.228 --> 02:41:02.730]  No, we are not the ones advocating violence.
[02:41:03.230 --> 02:41:07.073]  You are the ones, through Antifa, who are utilizing violence.
[02:41:07.513 --> 02:41:10.655]  No, we are not advocating strong-arm tactics.
[02:41:11.116 --> 02:41:14.338]  You are the ones utilizing strong-arm tactics.
[02:41:14.758 --> 02:41:22.644]  Breaking into Paul Manafort's home at 5 o'clock in the morning, busting into Michael Cohen's locker in his home, in his hotel room,
[02:41:22.984 --> 02:41:25.287]  Where his legal records are kept.
[02:41:25.647 --> 02:41:30.973]  You are the ones running roughshod on our civil liberties and our constitutions.
[02:41:31.353 --> 02:41:33.556]  You are leading with your chin.
[02:41:33.916 --> 02:41:42.445]  You are begging for a violent eruption for the peaceable people in this country who aren't going to let you hijack the nation.
[02:41:43.346 --> 02:41:44.608]  I fear for America.
[02:41:45.248 --> 02:41:47.451]  I fear for our constitutional system.
[02:41:47.971 --> 02:41:56.601]  Comey, Brennan, Mueller, McCabe, Rosenstein, the weasel, you will be brought to justice.
[02:41:57.041 --> 02:41:59.464]  You will be punished in a court of law.
[02:42:00.345 --> 02:42:02.206]  Barry Obama himself!
[02:42:02.746 --> 02:42:05.067]  You sold guns to ISIS!
[02:42:05.527 --> 02:42:06.927]  You're going down!
[02:42:07.247 --> 02:42:09.328]  You will rot in a prison cell!
[02:42:09.908 --> 02:42:12.169]  The justice of the Trump Revolution!
[02:42:12.189 --> 02:42:17.530]  The justice of the American people that they voted for in the last election!
[02:42:18.011 --> 02:42:21.792]  Justice will find every one of you criminals!
[02:42:22.512 --> 02:42:29.041]  I suggest we start with the psychopath criminal, Wahhabist, John Brennan.
[02:42:29.501 --> 02:42:31.304]  Stop threatening the President!
[02:42:31.584 --> 02:42:33.266]  We're coming for you, Brennan!
[02:42:33.547 --> 02:42:34.768]  We're coming for you!
[02:42:35.649 --> 02:42:40.496]  I'm on InfoWars, it's the Alex Jones Show, and we'll be right back.
[02:42:53.240 --> 02:42:56.122]  Mike and Eric, Frank in North Carolina, thanks for holding so long.
[02:42:56.142 --> 02:42:56.562]  Go ahead.
