[00:00:06.066 --> 00:00:07.707]  Hitler took the guns.
[01:54:14.371 --> 01:54:16.832]  It's globalism that impoverishes the third world.
[01:54:17.272 --> 01:54:18.973]  It's globalism that's tax-exempt.
[01:54:19.613 --> 01:54:23.134]  And so it's just always such an ignorant, ninnying statement.
[01:54:24.068 --> 01:54:42.120]  From pseudo-intellectuals that might pick up a Rothschild-published Economist magazine once or twice a year, and they just restate these talking points over and over again because Trump doesn't want to give a bunch of multinational corporations complete carte blanche to overrun nation-states and the voters.
[01:54:44.241 --> 01:54:44.801]  Absolutely.
[01:54:44.941 --> 01:54:56.505]  And to follow up with that, she did praise Australia and Switzerland for the kind of, they're a little bit set aside from the kind of the globalism in general, especially Switzerland being in the midst of the EU.
[01:54:56.545 --> 01:54:58.986]  But she said that's the strengths of these countries that
[01:55:00.146 --> 01:55:03.788]  They're a little bit separated from the, you know, the globalist enclave.
[01:55:04.228 --> 01:55:08.390]  And I was just thinking in my head, well, that's exactly what Trump wants for the United States.
[01:55:08.470 --> 01:55:14.433]  It's not that he doesn't want to do business with these countries and do bilateral agreements.
[01:55:14.493 --> 01:55:23.038]  It's just that he doesn't want us interwoven into this globalist economic web that is clearly taking so many first world countries down to a second world status.
[01:55:23.735 --> 01:55:24.696]  You know, that's the funny thing.
[01:55:24.736 --> 01:55:27.838]  Most Democrats I know that do have a business, will not pay taxes.
[01:55:28.218 --> 01:55:31.060]  And the conservatives all know, pay them religiously, even though they don't like them.
[01:55:31.580 --> 01:55:32.361]  And it's the same thing.
[01:55:33.261 --> 01:55:44.068]  Leftists will be trying to hide out in the middle of nowhere, and then they never liked the policies of globalism, but then here comes Trump destroying it, and then they hate him, and they're only doing it to virtue signal, you see?
[01:55:44.488 --> 01:55:52.754]  Even though his ideas actually probably line up with theirs, more than a Barack Obama, they just feel good that they're bandwagoning with the media, don't they get?
[01:55:53.695 --> 01:55:54.916]  Mainstream media is a joke?
[01:55:56.918 --> 01:55:58.720]  Groupthink is very powerful.
[01:55:58.780 --> 01:56:00.421]  Collectivism is a powerful drug.
[01:56:00.942 --> 01:56:04.525]  So I think that that still has a hold on a lot of people's minds.
[01:56:04.565 --> 01:56:11.312]  But as we spoke about last night, there is definitely an awakening and it's happening even at the highest levels, even within Davos.
[01:56:11.332 --> 01:56:11.772]  You have the
[01:56:13.033 --> 01:56:14.534]  The defectors here and there.
[01:56:14.975 --> 01:56:18.618]  And this video that you're airing right now, I watched that earlier today.
[01:56:18.938 --> 01:56:20.580]  The awe that Trump puts everyone in.
[01:56:20.620 --> 01:56:21.721]  He silenced the room.
[01:56:21.781 --> 01:56:24.943]  Someone called it that he had turned Davos into Versailles.
[01:56:25.304 --> 01:56:28.747]  And it was an incredible reception that he received there.
[01:56:29.027 --> 01:56:32.490]  And I think they all know they're in the presence of a lion, a true alpha male.
[01:56:33.166 --> 01:56:35.187]  That's because he's going against the grain.
[01:56:35.267 --> 01:56:41.671]  They're a bunch of followers following something set up by the Rothschilds and the Rockefellers at the end of World War II.
[01:56:42.231 --> 01:56:45.353]  And they tried to launch the same thing at the end of World War I and it failed.
[01:56:46.154 --> 01:56:54.759]  They're all just following along, putting their money and power into this thing to build this big unelected world government that no one's ever going to accept, Dan!
[01:56:56.252 --> 01:56:57.513]  I think it's just easier for them.
[01:56:57.553 --> 01:57:05.521]  They'd rather have someone else do these things for them and then either be employed by them or just be in the hierarchy somehow above all the plebs and the peasants.
[01:57:06.422 --> 01:57:13.429]  Even on the ride in, we're staring at feet of snow and I overhear people talking about global warming on the way in and they're attributing it to that.
[01:57:13.989 --> 01:57:17.493]  I find that shocking, but as I said, collectivism is a hell of a drug.
[01:57:18.666 --> 01:57:19.246]  Well, it is.
[01:57:19.827 --> 01:57:27.132]  I've got articles on Infowars.com where a guy tweeted out there are only two genders and he got fired from his job and people are calling for more.
[01:57:27.152 --> 01:57:28.693]  I mean, there are only men and women.
[01:57:28.833 --> 01:57:36.119]  It doesn't matter if you describe yourself as a golden dragon or a beautiful ornate building or if I describe myself as Colonel Sanders.
[01:57:36.879 --> 01:57:38.140]  It's just not true.
[01:57:38.180 --> 01:57:43.124]  But it's all about them making us accept what they want us to accept.
[01:57:43.164 --> 01:57:44.985]  It's not about being nice to somebody.
[01:57:45.025 --> 01:57:46.186]  It's about being an occult.
[01:57:46.606 --> 01:57:47.147]  We'll be back.
[01:57:47.167 --> 01:57:47.507]  Stay with us.
[01:57:50.689 --> 01:57:55.130]  Melatonin's on average $19, $19.95 a bottle, and a lot of it's not even organic type.
[01:57:55.350 --> 01:58:00.051]  I talked to the big organic producer companies that we have making it, and I said, how much money is really in that?
[01:58:00.651 --> 01:58:06.512]  They said, on average, about maybe a dollar of melatonin, and then the container costs 50 cents or so, or less.
[01:58:06.912 --> 01:58:19.514]  And I said, so I can put the same amount of melatonin in, just make it a bigger capsule that's powdered so you have to absorb it, and then add L-tryptophan, valerian root, lemon balm, chamomile, and then you get a sleep.
[01:58:20.274 --> 01:58:28.959]  Unlike other systems, I mean, Randall Wilhite, his name is on the Texas Family Code, the last four or five issues, and he writes the Texas Law of the Family Code.
[01:58:28.979 --> 01:58:30.880]  He's one of the top family law lawyers in the country.
[01:58:31.200 --> 01:58:32.320]  The point is, he's a smart guy.
[01:58:32.341 --> 01:58:33.641]  He doesn't smoke marijuana.
[01:58:33.821 --> 01:58:35.002]  He doesn't drink anything.
[01:58:35.222 --> 01:58:36.683]  He goes, man, I gotta really thank you.
[01:58:37.203 --> 01:58:38.824]  I am sleeping eight hours through the night.
[01:58:39.144 --> 01:58:40.624]  I only have to take one knockout.
[01:58:40.964 --> 01:58:43.566]  I've gone and showed, you know, UT science, this and everything else.
[01:58:43.606 --> 01:58:44.466]  This is insane.
[01:58:44.886 --> 01:58:46.507]  I said, yeah, you look 10 years younger.
[01:58:46.747 --> 01:58:49.308]  He said, oh yeah, it's just, I'm off all the sleep drugs.
[01:58:49.748 --> 01:58:51.289]  He says, this is totally free.
[01:58:51.309 --> 01:58:53.150]  But he goes, do you know what it is in there?
[01:58:53.170 --> 01:58:55.010]  And I said, it's the synergy of it.
[01:58:55.891 --> 01:59:01.813]  Of the chamomile, the lemon balm, the L-tryptophan, the valerian root, the melatonin, and several other ingredients.
[01:59:02.053 --> 01:59:03.394]  All just moderate dose.
[01:59:04.923 --> 01:59:12.907]  They're all the recommended dose, and they just fuse together, and whatever they do chemically in the brain, that Mother Nature, God gave us a Mother Nature, is incredible.
[01:59:12.947 --> 01:59:15.329]  So, that's available infullwarestore.com or 888-253-3139.
[01:59:15.369 --> 01:59:16.509]  But thank you for committing.
[01:59:20.581 --> 01:59:23.404]  They get the great products, the books, the films, the t-shirts, you name it.
[01:59:23.784 --> 01:59:26.386]  But it takes selling a lot of stuff to be able to fund this.
[01:59:26.406 --> 01:59:31.191]  We're not like raiding countries like George Soros and stealing millions and then, you know, funding race war.
[01:59:31.631 --> 01:59:37.776]  It's just selling t-shirts, selling books, selling films and, you know, it's just hustling to be able to get high quality products out.
[01:59:37.796 --> 01:59:40.919]  So you have a great response and reorder, reorder, reorder, reorder.
[01:59:41.259 --> 01:59:42.561]  It's called reap what you sow.
[01:59:51.283 --> 01:59:55.395]  Leading a frontal assault on the lies of the New World Order.
[01:59:55.917 --> 01:59:57.201]  It's Alex Jones!
[02:00:14.645 --> 02:00:20.709]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[02:00:21.389 --> 02:00:23.751]  It's Alex Jones.
[02:00:23.791 --> 02:00:25.372]  So, Dan Lyman is in Switzerland.
[02:00:25.392 --> 02:00:26.433]  He got Trump's arrival.
[02:00:26.593 --> 02:00:27.553]  All of it amazing.
[02:00:27.573 --> 02:00:29.034]  Your calls are coming up in the next segment.
[02:00:29.094 --> 02:00:30.936]  Mark, John, Mitch, Candace is up first.
[02:00:31.316 --> 02:00:34.358]  Kevin, Dan and many others as we look at the release of the memo.
[02:00:34.378 --> 02:00:36.739]  Supposedly coming on Monday is what I've been told, but we'll see.
[02:00:37.660 --> 02:00:38.521]  You were describing
[02:00:39.361 --> 02:00:43.647]  How the press is saying he silenced the room, people were in awe.
[02:00:44.088 --> 02:00:50.017]  It was like being at Versailles, which I meant I guess the Royal Court of the Sun King at Versailles.
[02:00:50.037 --> 02:00:52.320]  Because it's Macron calling himself the Sun King.
[02:00:52.640 --> 02:00:55.505]  Looks like that's starting to happen with Trump without him saying it, Mr. Lyman.
[02:00:56.641 --> 02:01:05.065]  In a way, it was just a video that I caught coming back on the train and it was just so powerful that the caption had said something to the effect of, this is true power.
[02:01:05.585 --> 02:01:08.666]  Trump silence is a room full of media journalists and globalists.
[02:01:09.087 --> 02:01:10.387]  And it's true.
[02:01:10.427 --> 02:01:12.248]  I mean, these people, they don't shut up.
[02:01:12.328 --> 02:01:13.769]  I hear them talking constantly.
[02:01:13.809 --> 02:01:14.869]  They're always on the phone.
[02:01:14.909 --> 02:01:15.810]  They're talking to each other.
[02:01:16.170 --> 02:01:19.711]  And then when you see Trump coming in the room, it's just like every cell phone is out.
[02:01:19.811 --> 02:01:20.652]  Everyone's in awe.
[02:01:20.992 --> 02:01:23.133]  Trump brings that Trump aura.
[02:01:23.493 --> 02:01:31.621]  Which, you know, translates so great to just the American aura, the power, confidence through strength, and peace as well.
[02:01:31.721 --> 02:01:36.146]  And, you know, he just brought that into the room and you could see that in that video and his entrance in general.
[02:01:36.626 --> 02:01:39.469]  And you see all the followers looking at the Maverick.
[02:01:42.572 --> 02:01:43.313]  And Trump... Go ahead.
[02:01:45.276 --> 02:01:54.003]  The man they said that couldn't beat the establishment, he couldn't beat the globalists, they were all against him, and now they worship the ground that he walks on, whether they want to admit it or not.
[02:01:54.424 --> 02:01:55.345]  That happened yesterday.
[02:01:55.965 --> 02:01:58.167]  Suddenly, the heads of Davos said, we love Trump.
[02:01:58.287 --> 02:02:03.631]  I had the headline here, it was like, we love him, it's been a great year, actually, the world economy's better, thank God for Trump!
[02:02:03.952 --> 02:02:08.295]  And it's like, suddenly they've all been attacking him, and then now they all start saying, we love Trump, we love Trump.
[02:02:09.136 --> 02:02:13.470]  This just shows how Rockefellers and people were able to bully all these guys into line.
[02:02:13.751 --> 02:02:15.797]  Trump's not even bullying it, he's just leading.
[02:02:17.466 --> 02:02:17.986]  No question.
[02:02:18.006 --> 02:02:24.409]  You probably covered it earlier in the show, but the Heritage Foundation is saying that Trump's first year was better than Reagan's.
[02:02:24.669 --> 02:02:26.870]  And, you know, we'll take that all with a grain of salt.
[02:02:26.930 --> 02:02:32.053]  But for, you know, the Heritage Foundation would definitely be, you know, Reagan is the greatest man ever.
[02:02:32.073 --> 02:02:36.074]  And for them to put Trump on a pedestal above him, it speaks volumes.
[02:02:36.275 --> 02:02:38.576]  Even some of these never-Trumpers are coming around.
[02:02:38.736 --> 02:02:41.557]  And, you know, he's changing the world at this moment.
[02:02:41.897 --> 02:02:42.357]  No, you're right.
[02:02:42.397 --> 02:02:44.399]  The Heritage Foundation did not support Trump.
[02:02:44.799 --> 02:02:46.400]  They pitched this quote, free trade.
[02:02:46.440 --> 02:02:53.284]  That means let China have huge tariffs on you with lower taxes and screw us and not have a two-way street.
[02:02:53.324 --> 02:02:54.885]  And you're right, they're all starting to get in line.
[02:02:57.099 --> 02:03:00.120]  You know what I did found interesting and I wanted to ask you about it actually.
[02:03:00.800 --> 02:03:08.163]  John Claude Juncker, the head of the EU basically, he cancelled at the last second and he cites a stomach flu as the reason for that.
[02:03:08.444 --> 02:03:12.105]  Now if you recall not too long ago, a few months ago, Juncker was all
[02:03:17.539 --> 02:03:19.861]  If there was a Texas exit, he was going to get behind that.
[02:03:19.921 --> 02:03:22.444]  But of course, he couldn't possibly back Brexit.
[02:03:22.724 --> 02:03:27.368]  So I was going to ask you, do you think he bowed out because of cowardice, or do you think he really is sick?
[02:03:28.374 --> 02:03:32.736]  Oh no, Junker is literally the greatest heir of the Nazis.
[02:03:33.116 --> 02:03:36.897]  His family was the first or second most rich, depending on the history books.
[02:03:37.338 --> 02:03:40.579]  The main armories were Junker bombers, Junker munitions.
[02:03:40.619 --> 02:03:41.659]  That was his grandfather.
[02:03:42.500 --> 02:03:43.860]  His father was a top Nazi.
[02:03:44.280 --> 02:03:49.402]  And Junker's family paratrooped into Luxembourg, the richest country in the world per capita, stole the country.
[02:03:49.783 --> 02:03:53.304]  He said 13 months ago, we will crush Trump.
[02:03:53.584 --> 02:03:54.705]  We control America.
[02:03:55.085 --> 02:03:57.486]  We're going to show America economic war.
[02:03:58.486 --> 02:04:01.108]  And you can pull that up.
[02:04:01.168 --> 02:04:07.612]  In fact, the videos I shot about it were, you know, heir of the Nazi fortune pledges to stop Trump and stop America.
[02:04:08.112 --> 02:04:09.913]  And so he's an absolute joke.
[02:04:11.114 --> 02:04:19.540]  Why should that piece of Nazi scum, anti-American globalists that opened Europe up to the Islamists, I mean, he is the head of the unelected EU.
[02:04:19.640 --> 02:04:20.400]  He is the enemy.
[02:04:20.860 --> 02:04:26.304]  So why would Hitler show up to face Churchill, basically?
[02:04:28.024 --> 02:04:38.077]  Essentially, I do wonder if this was a moment of cowardice on his part or another moment of Trump-incursed divine providence where Juncker goes down with the flu right when Trump comes into town.
[02:04:38.518 --> 02:04:40.841]  Wow, this will be a day long remembered.
[02:04:42.005 --> 02:04:42.405]  I love it.
[02:04:42.846 --> 02:04:43.166]  God.
[02:04:44.567 --> 02:04:46.288]  You watch Juncker in the speeches he gives.
[02:04:46.328 --> 02:04:47.769]  He is such an inbred.
[02:04:49.270 --> 02:04:50.131]  Mental deficient.
[02:04:50.451 --> 02:04:55.195]  He's all... Your whole thing's going to hell.
[02:04:55.235 --> 02:04:55.675]  We'll be back.
[02:04:55.775 --> 02:04:56.676]  We got huge news, by the way.
[02:04:56.696 --> 02:04:57.076]  The biggest news.
[02:04:57.116 --> 02:04:57.596]  I just got it.
[02:04:57.837 --> 02:04:59.158]  They just found the text messages.
[02:05:00.759 --> 02:05:01.259]  Not a group.
[02:05:01.299 --> 02:05:02.680]  You developed Living Defense for us.
[02:05:02.720 --> 02:05:03.801]  It took you over a year to do it.
[02:05:04.061 --> 02:05:04.922]  Why is this so good?
[02:05:05.262 --> 02:05:10.485]  Because people are actually waking up to the problem that pretty much scares me the most.
[02:05:10.565 --> 02:05:24.132]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[02:05:24.192 --> 02:05:30.496]  Right now, with all the refugees spreading disease around, we have biological warfare going on everywhere.
[02:05:30.596 --> 02:05:31.857]  These are all parasites.
[02:05:31.897 --> 02:05:32.997]  Tell us about all the stuff that's in it.
[02:05:33.017 --> 02:05:34.058]  There's so many things that are in it.
[02:05:34.349 --> 02:05:38.651]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[02:05:38.871 --> 02:05:42.012]  I recommend doing a parasite cleanse at least twice a year.
[02:05:42.172 --> 02:05:45.213]  Alright, well, I'm glad we've got some back in because I'm going back on it today.
[02:05:45.253 --> 02:05:46.253]  It just came back in yesterday.
[02:05:46.293 --> 02:05:48.174]  Living Defense, Infowarslife.com.
[02:05:48.234 --> 02:05:49.254]  And folks, you can't lose.
[02:05:49.274 --> 02:05:51.355]  It's full of stuff that's great for your body, period.
[02:05:51.995 --> 02:05:53.856]  And you support the broadcast.
[02:05:53.916 --> 02:05:55.016]  Infowarslife.com.
[02:05:55.276 --> 02:05:57.157]  Thank you, Dr. Group from the Global Healing Center.
[02:05:57.537 --> 02:05:59.498]  Thank you so much for all your work, sir, on this great product.
[02:06:12.420 --> 02:06:14.583]  Waging war on corruption.
[02:06:15.044 --> 02:06:16.446]  It's Alex Jones.
[02:06:39.156 --> 02:06:43.079]  There's a tactic that's absolutely key that people absolutely must be aware of.
[02:06:44.179 --> 02:06:54.586]  Just like Trump said, if you've been here 20, 30 years, you've got a degree, you're working hard, you don't have a big criminal record, whatever, you have a misdemeanor or something, then we're gonna let you stay in the country.
[02:06:54.906 --> 02:06:57.308]  That would be a fair DREAM Act, and I agree with that myself.
[02:06:58.269 --> 02:07:03.312]  But then the media said he wants to kill all the Mexicans, hates them, blah blah blah, wants to ban everybody, period.
[02:07:05.458 --> 02:07:11.205]  And then when Trump doesn't do that, the right wing goes, oh my god, he was supposed to throw everybody out who wasn't born here.
[02:07:12.427 --> 02:07:13.528]  Well, it's the same thing with Davos.
[02:07:13.588 --> 02:07:16.152]  I saw headlines everywhere in the London Guardian and the New York Times.
[02:07:16.472 --> 02:07:18.234]  Trump sells out his base last week.
[02:07:18.495 --> 02:07:19.696]  He's going to Davos.
[02:07:19.996 --> 02:07:21.638]  He's going to kiss the hand of the elite.
[02:07:22.574 --> 02:07:24.275]  He walks in, they fall on their faces.
[02:07:24.575 --> 02:07:29.117]  The head of the thing, the dictator of the EU, unelected, Juncker, doesn't show up.
[02:07:29.538 --> 02:07:31.118]  The heir to the main Nazi fortune.
[02:07:31.579 --> 02:07:34.540]  His family was the first or second richest family in Germany.
[02:07:34.560 --> 02:07:38.162]  Again, the history books vary, but they're the top Nazis, okay?
[02:07:39.283 --> 02:07:43.085]  And then they still control European countries that they just own through fraud.
[02:07:43.645 --> 02:07:45.386]  So he doesn't show up.
[02:07:47.333 --> 02:07:49.495]  And Donald Trump is guaranteed to betray his base.
[02:07:49.535 --> 02:07:49.735]  Yeah.
[02:07:49.755 --> 02:07:51.396]  I mean, this has been going on for a long time.
[02:07:51.936 --> 02:08:01.223]  And then he doesn't betray, and he kills TPP and delivers on the economy, and they still keep flipping out, saying that he's going to sell us out.
[02:08:01.403 --> 02:08:03.325]  I'm glad he went for a victory lap.
[02:08:03.905 --> 02:08:07.488]  I'm glad he went to talk to the companies that want to move to the United States.
[02:08:08.668 --> 02:08:09.029]  There it is.
[02:08:09.109 --> 02:08:10.610]  Trump's ready to pull another fast one.
[02:08:10.890 --> 02:08:13.172]  The president's trip to Davos has three serious issues.
[02:08:14.164 --> 02:08:15.065]  And it goes on from there.
[02:08:15.425 --> 02:08:25.633]  Oh yeah, he sure pulled a fast one with our economy coming roaring back, and with veterans getting double the amount of visits that they had just a year ago, and the border's 70% secure, and the border wall's starting to go in.
[02:08:25.953 --> 02:08:28.455]  Yeah, sure pulled a fast one, and now this big breaking news.
[02:08:28.695 --> 02:08:30.917]  We're going to your calls with Dan Lyman, who's in Davos.
[02:08:33.599 --> 02:08:34.259]  This is The Hill.
[02:08:34.359 --> 02:08:34.879]  It's breaking.
[02:08:35.300 --> 02:08:37.021]  I just tweeted it out at Real Alex Jones.
[02:08:37.461 --> 02:08:43.326]  DOJ office says it has found the missing text messages of FBI officials.
[02:08:45.535 --> 02:08:49.558]  Months of missing text messages between two FBI officials have been located.
[02:08:49.578 --> 02:09:04.348]  According to a letter obtained by The Hill, Justice Department Inspector General Michael Horowitz told Senator Chuck Grassley of Iowa and Ron Johnson of Wisconsin in a letter with the messages spanning from December of 16 to 17.
[02:09:04.428 --> 02:09:05.809]  See, nobody bought this.
[02:09:06.809 --> 02:09:14.474]  Previously thought missing, that is, hit one button that was in the NSA, due to technology glitch affecting FBI phones have been found.
[02:09:16.596 --> 02:09:16.916]  Oh, really?
[02:09:16.936 --> 02:09:17.376]  You think so?
[02:09:18.256 --> 02:09:19.877]  By the way, Congress has all of it.
[02:09:19.897 --> 02:09:20.677]  Trump has all of it.
[02:09:21.057 --> 02:09:29.379]  The Office of the Inspector General has been investigating this matter, and this week succeeded in using forensic tools to recover text messages from FBI devices.
[02:09:29.639 --> 02:09:30.360]  Oh, of course.
[02:09:30.500 --> 02:09:30.740]  Yes.
[02:09:31.300 --> 02:09:31.580]  Yes.
[02:09:32.120 --> 02:09:33.220]  It's always hard-coded.
[02:09:34.141 --> 02:09:42.923]  From the Telecommunications Act of 96, all phones, all printers, all these communication devices save the material.
[02:09:44.670 --> 02:09:49.595]  And it's why they've got internal hard drives that things just stop working in a few years because it fills up.
[02:09:50.616 --> 02:09:52.918]  And that's the stuff I told you about a long, long time ago.
[02:09:54.739 --> 02:09:55.220]  There it is.
[02:09:56.021 --> 02:09:57.061]  Missing text messages.
[02:09:57.122 --> 02:09:59.944]  Anti-Trump FBI agents uncovered by DOJ.
[02:10:01.240 --> 02:10:01.840]  They found them.
[02:10:02.220 --> 02:10:03.921]  Infowars.com now live.
[02:10:04.181 --> 02:10:10.424]  We are in a minute-by-minute, play-by-play, Second American Revolution war with the Deep State.
[02:10:10.945 --> 02:10:14.006]  Lou Dobbs comes out and says, it's time to declare war on the Deep State.
[02:10:14.727 --> 02:10:15.887]  The walls are closing in.
[02:10:15.947 --> 02:10:19.289]  Sean Hannity, this isn't rhetoric you've been hearing from me.
[02:10:19.589 --> 02:10:21.050]  We're in extraordinary times.
[02:10:21.210 --> 02:10:22.490]  This is happening!
[02:10:23.091 --> 02:10:23.651]  Literally!
[02:10:23.791 --> 02:10:24.992]  And I agree with an earlier caller.
[02:10:25.012 --> 02:10:28.473]  I want to ask Dan Lyman and then we're going to let him go and ask the callers this.
[02:10:29.053 --> 02:10:29.554]  Then we've got
[02:10:30.455 --> 02:10:36.583]  Tyler Nixon coming in, who's a very interesting lawyer and political analyst, really smart guy, and just so happens to be related to Richard Nixon, but we won't get into that part.
[02:10:36.823 --> 02:10:37.945]  Been friends with Roger Stone.
[02:10:40.925 --> 02:10:45.448]  This is all happening, but I'm telling you, I think they'll release a bioweapon like the earlier caller said.
[02:10:45.728 --> 02:10:50.571]  They did that after 9-11 when the globals were involved with the jihadis and wanted to cover it up when stuff started coming out.
[02:10:50.811 --> 02:10:54.233]  They did the anthrax to intimidate Congress into a bunch of stuff.
[02:10:54.454 --> 02:11:00.377]  I'm really concerned, as I keep saying, that we not be too celebratory here because they're going to strike back.
[02:11:00.417 --> 02:11:01.298]  What do you think, Dan Lyman?
[02:11:02.873 --> 02:11:05.916]  I think that there's no question anything is on the table at this point.
[02:11:06.076 --> 02:11:09.239]  I'm honestly surprised things haven't gotten worse in the last year.
[02:11:09.279 --> 02:11:14.764]  I thought that there would be more drastic measures taken, although I think that we did see something strange go down in
[02:11:18.868 --> 02:11:19.208]  I don't know.
[02:11:19.228 --> 02:11:20.088]  It's very interesting.
[02:11:20.108 --> 02:11:32.572]  I'm so optimistic now at this point, now that we're a year in, but I know not to get my hopes up too high because anything can happen at any given moment, especially with the economy doing so well and the stock market doing so well.
[02:11:32.632 --> 02:11:37.233]  You hear all financial advisors and traders, they say they've never seen a market like this.
[02:11:37.293 --> 02:11:39.134]  It's going on longer than they ever thought it would.
[02:11:39.674 --> 02:11:52.028]  And I wonder, is the Trump effect going to break this cycle that the globalists have, this chokehold they've had on the markets where they, you know, there's a catastrophic event every eight years or whatever, and then it sends the market into a spiral?
[02:11:52.268 --> 02:11:58.335]  Hasn't happened this time around, so I'm wondering what dam, what the dams are holding back right now, and it's probably pretty ugly.
[02:11:59.161 --> 02:11:59.902]  Well, I know this.
[02:11:59.962 --> 02:12:01.323]  They haven't given up on me.
[02:12:01.423 --> 02:12:05.387]  They are still throwing stuff at us that is directly from Hillary, directly from Soros.
[02:12:05.747 --> 02:12:07.989]  I'll soon be able to reveal the details of it.
[02:12:08.109 --> 02:12:09.931]  I mean, I've even got to go to D.C.
[02:12:09.951 --> 02:12:10.592]  in a couple weeks.
[02:12:11.993 --> 02:12:13.754]  I'm not supposed to get into this yet.
[02:12:14.095 --> 02:12:18.339]  Just believe me, when I do, we have caught them red-handed, okay?
[02:12:18.959 --> 02:12:23.564]  And you can argue I got a tiger by the tail or vice versa, but these are just crazy times.
[02:12:24.571 --> 02:12:26.653]  Because, I mean, I wasn't going to put up with their crap.
[02:12:26.713 --> 02:12:33.439]  I put counter-surveillance on their people, spent a lot of money, and did a lot of stuff, and had a lot of help.
[02:12:33.479 --> 02:12:34.299]  We'll just leave it at that.
[02:12:34.480 --> 02:12:39.484]  And let me tell you, these people are sick.
[02:12:39.524 --> 02:12:40.605]  They're going after everybody.
[02:12:40.885 --> 02:12:42.647]  They're going after thousands of prominent people.
[02:12:42.947 --> 02:12:44.268]  And you see these congressmen up there?
[02:12:44.308 --> 02:12:45.589]  They already tried to kill them.
[02:12:47.210 --> 02:12:48.411]  So you think about that, folks.
[02:12:48.431 --> 02:12:49.993]  They're trying to kill everybody right now.
[02:12:51.365 --> 02:12:58.747]  So, I mean, we kind of smile about this in Texas and, yeah, we're in a fight, yeah, it's all crazy, but we're not like SJWs that are considering crying about it.
[02:12:58.767 --> 02:12:59.727]  It's actually quite exciting.
[02:12:59.787 --> 02:13:00.667]  I'm having a great time.
[02:13:01.387 --> 02:13:04.508]  It's just, we're not in Kansas anymore, folks.
[02:13:04.528 --> 02:13:05.228]  This is the real deal.
[02:13:06.048 --> 02:13:07.508]  Let's go to Candace in Tennessee.
[02:13:07.528 --> 02:13:08.389]  Thanks for holding, Candace.
[02:13:08.409 --> 02:13:08.929]  You're awesome.
[02:13:09.169 --> 02:13:11.469]  You're on the air worldwide with Dan Lyman from Switzerland.
[02:13:11.489 --> 02:13:11.769]  Go ahead.
[02:13:12.509 --> 02:13:13.530]  Hey, Alex and Dan.
[02:13:13.550 --> 02:13:14.390]  How are you doing?
[02:13:14.610 --> 02:13:14.830]  Good.
[02:13:15.610 --> 02:13:16.310]  Good.
[02:13:16.350 --> 02:13:19.831]  First, real quick, I would just like to ask a quick question before I get to my comment.
[02:13:20.855 --> 02:13:25.656]  I know you were very busy, but have you and your crew had a chance to pick the winners of the People's Choice Awards yet?
[02:13:25.696 --> 02:13:33.538]  You know, I'm like a guy in a bunker giving orders on that, and I have said these are the winners, they have been picked, and you know what?
[02:13:33.618 --> 02:13:36.719]  I'm going to announce them at the end of the show next hour, one way or the other.
[02:13:36.799 --> 02:13:39.299]  It's going to happen.
[02:13:39.359 --> 02:13:39.699]  Okay, great.
[02:13:39.759 --> 02:13:47.041]  And also, I agree with the other caller that these people are just so cornered that I think that there's going to be a false flag attack for sure.
[02:13:48.831 --> 02:13:52.492]  Well, that's what everybody's group collective mind is saying, and I think you're on target.
[02:13:53.112 --> 02:13:54.053]  Keep going, Candace.
[02:13:55.113 --> 02:13:58.594]  Yeah, I mean, I just, you know, their darkest secrets are getting exposed.
[02:13:58.674 --> 02:14:04.276]  So, you know, they're just like a dog in a corner, and I just think they're going to pull something major.
[02:14:05.424 --> 02:14:06.365]  And they're such arrogant.
[02:14:06.385 --> 02:14:20.657]  Whenever you watch Comey or Mueller walk into Congress bugging their eyes out like they're God with all these guys behind them, all these lawyers just going... Like they are just the best people in the world when they're the... Those guys are the Clinton scum or the trash of the earth.
[02:14:21.337 --> 02:14:23.079]  They're like cancer inside the FBI.
[02:14:23.559 --> 02:14:24.820]  And they are so arrogant.
[02:14:24.880 --> 02:14:28.063]  Imagine all that hubris is getting wiped away, Candace, right now.
[02:14:28.083 --> 02:14:30.385]  Yeah, that's great.
[02:14:30.485 --> 02:14:34.288]  They're just sickening, so it's good to see them be putting their point.
[02:14:35.091 --> 02:14:39.313]  Absolutely, but don't think they're the types that will blow themselves up to stop the recovery.
[02:14:39.353 --> 02:14:39.933]  What do you think, Dan?
[02:14:39.953 --> 02:14:40.694]  What's your gut tell you?
[02:14:41.854 --> 02:14:42.434]  No question.
[02:14:42.474 --> 02:14:44.375]  And I think that it's not even just the U.S.
[02:14:44.415 --> 02:14:46.236]  crisis at this point for them.
[02:14:46.716 --> 02:14:48.157]  It's on the international scale.
[02:14:48.237 --> 02:14:52.679]  So we should be prepared for anything, anywhere, to be honest, not just in the United States.
[02:14:52.699 --> 02:14:55.700]  That is the smartest thing I've heard all day.
[02:14:55.720 --> 02:14:57.681]  And I've heard a lot of really intelligent statements.
[02:14:57.801 --> 02:14:58.281]  You're right.
[02:14:58.861 --> 02:14:59.502]  North Korea.
