[00:00:23.547 --> 00:00:24.727]  From the front lines.
[02:06:28.741 --> 02:06:33.523]  Michael Rotundo's mom and dad are so fed up, they're suing to get him out of the house.
[02:06:34.023 --> 02:06:36.745]  I don't see why the judge wants to throw people out on the street.
[02:06:37.105 --> 02:06:43.849]  His parents filed the extraordinary lawsuit following months of repeated attempts to get him to leave their home in Syracuse, New York.
[02:06:44.269 --> 02:06:46.450]  And the story is getting lots of attention.
[02:06:46.730 --> 02:06:50.971]  A judge asked why he didn't just move in with his girlfriend, and the man said, girlfriend?
[02:06:51.051 --> 02:06:52.872]  I'm a 30-year-old man living at home.
[02:06:52.952 --> 02:06:54.613]  Dude, there's no girlfriend.
[02:06:55.773 --> 02:06:57.594]  Michael Rotondo is here.
[02:06:57.634 --> 02:06:59.414]  But you know, something happened to you.
[02:06:59.474 --> 02:07:01.855]  You went out years ago, I guess 2022.
[02:07:01.995 --> 02:07:04.096]  I've got the timeline here.
[02:07:04.736 --> 02:07:07.857]  You had a baby with a woman.
[02:07:07.877 --> 02:07:08.797]  It's your child.
[02:07:08.817 --> 02:07:09.458]  Boy or girl?
[02:07:09.718 --> 02:07:09.938]  Boy.
[02:07:11.238 --> 02:07:12.539]  And how old is your son?
[02:07:12.859 --> 02:07:13.119]  He's eight.
[02:07:14.312 --> 02:07:24.479]  Well, he needs you, and he needs you in case something happened to the mom or whatever, you know, to be self-sufficient, so that you can take care of him until he's 18.
[02:07:26.341 --> 02:07:29.663]  Well, I would actually support him until he found something that suited him.
[02:07:32.385 --> 02:07:34.787]  But what if something never suits you?
[02:07:35.387 --> 02:07:36.068]  That's a good question.
[02:07:36.108 --> 02:07:43.033]  I thought about that, and I thought that, um... You know, Donald Trump had some pretty wives before.
[02:07:44.461 --> 02:07:47.403]  Melania, though, is a whole other universe.
[02:07:48.183 --> 02:07:49.564]  But he hadn't run into Melania yet.
[02:07:49.604 --> 02:07:52.446]  Melania wasn't born yet when Trump got his first wife.
[02:07:54.627 --> 02:07:57.709]  You have to get while the getting's good, son.
[02:08:06.149 --> 02:08:06.530]  Okay.
[02:08:06.550 --> 02:08:12.957]  You're telling me to get, I gotta, I gotta get some kind of commitment out of a woman now while I have a chance?
[02:08:13.017 --> 02:08:14.038]  Hey, look at Owen Schroer.
[02:08:14.058 --> 02:08:15.380]  Look at the smile on Schroer.
[02:08:15.420 --> 02:08:16.261]  Bring him up right now.
[02:08:16.281 --> 02:08:17.602]  Can we punch that up?
[02:08:18.363 --> 02:08:20.366]  Schroer, that's a guy afraid to get out and do anything.
[02:08:21.693 --> 02:08:26.594]  Oh, and I don't want to be mean to this guy, but the media acts like he's so rare, everybody looks down their nose at it.
[02:08:26.994 --> 02:08:30.075]  This guy is the future right here on the course we are.
[02:08:30.475 --> 02:08:32.515]  And I'm trying to get money, trying to get him a job.
[02:08:33.175 --> 02:08:34.656]  I'm like, hey, you want to be a reporter for us?
[02:08:34.756 --> 02:08:35.416]  I'm serious.
[02:08:35.816 --> 02:08:39.637]  And if you just do some basic stuff and get better and better, you could be really successful with us.
[02:08:39.937 --> 02:08:41.257]  But you gotta go out and do it.
[02:08:42.837 --> 02:08:45.798]  It sounds like I could do a lot of good with...
[02:08:47.739 --> 02:08:49.921]  Do what must be done, Lord Vader.
[02:08:50.281 --> 02:08:51.442]  Show no mercy.
[02:08:52.963 --> 02:08:54.044]  I'm not a Star Wars fan.
[02:08:54.965 --> 02:08:55.225]  I'm not.
[02:08:55.485 --> 02:08:56.285]  I'm a Palpatine fan.
[02:08:56.526 --> 02:08:56.606]  Oh.
[02:08:58.427 --> 02:09:00.028]  You didn't know Emperor Palpatine's my spirit animal?
[02:09:00.769 --> 02:09:01.009]  No.
[02:09:01.949 --> 02:09:03.490]  They overlooked that when they were mucking me up.
[02:09:03.571 --> 02:09:05.152]  Emperor Palpatine is my co-pilot.
[02:09:06.052 --> 02:09:06.312]  Okay.
[02:09:08.274 --> 02:09:08.834]  I don't know what that is.
[02:09:08.854 --> 02:09:09.815]  Emperor Palpatine's my boyfriend.
[02:09:09.835 --> 02:09:11.336]  I thought you had a wife.
[02:09:12.748 --> 02:09:14.169]  I said my spirit, it's a joke!
[02:09:14.289 --> 02:09:15.631]  Okay!
[02:09:16.691 --> 02:09:18.273]  It's a joke, Ian McDiarmid.
[02:09:18.653 --> 02:09:19.934]  Okay, the actor, he's hilarious.
[02:09:21.976 --> 02:09:23.357]  Emperor Palpatine is a comic genius.
[02:09:24.598 --> 02:09:25.079]  You know that.
[02:09:25.899 --> 02:09:28.061]  Owen Troyer, you want to say something to this great American?
[02:09:28.101 --> 02:09:29.763]  You've got your big veteran show coming up today.
[02:09:30.185 --> 02:09:36.793]  Yeah, I'm looking forward to that, and we're going to be talking about that here in just a minute in studio, but I actually had a couple questions for Michael.
[02:09:36.813 --> 02:09:40.197]  You know, we're about the same age, so I figured I could ask him a couple questions.
[02:09:40.397 --> 02:09:41.058]  How old are you, Owen?
[02:09:41.278 --> 02:09:41.659]  I'm 28.
[02:09:42.660 --> 02:09:45.363]  You've got your degree in psychology, you're a Jedi Sith Lord.
[02:09:46.224 --> 02:09:54.671]  I just want to know, because one of my, I mean, when I was younger, one of my biggest causes to want to get out of the house was so that, you know, I could have, like, a girl over.
[02:09:54.691 --> 02:09:58.594]  So I'm just curious, how do you, do you, do you even try to attempt to get women anymore?
[02:09:58.654 --> 02:09:59.394]  I was thrown out of the house!
[02:09:59.414 --> 02:10:00.855]  How do you bring women into the parents' house?
[02:10:01.236 --> 02:10:04.118]  I was thrown out of the house because my mom did not like this old girlfriend.
[02:10:04.498 --> 02:10:09.802]  And when that girlfriend, old Cindy, smart-mouthed my mom in the kitchen, my mom had me thrown out in two days.
[02:10:10.182 --> 02:10:11.744]  She said, David, get him out of here.
[02:10:12.714 --> 02:10:15.318]  So I can kind of think of her being smart-mouthed by my mom, I might still be there, huh?
[02:10:15.638 --> 02:10:16.159]  Sorry, sorry.
[02:10:16.279 --> 02:10:17.241]  Owen, ask your question again.
[02:10:17.741 --> 02:10:18.623]  I remember what it was.
[02:10:18.663 --> 02:10:19.584]  You can ask me if you want, though.
[02:10:20.726 --> 02:10:21.727]  No, so I'm just curious.
[02:10:21.767 --> 02:10:25.152]  I mean, do you even attempt to meet women anymore, or have you given up on that yet?
[02:10:25.172 --> 02:10:26.313]  Or do you bring women in the house?
[02:10:26.434 --> 02:10:27.916]  No, I don't bring anyone in the house.
[02:10:28.457 --> 02:10:28.617]  Okay.
[02:10:30.259 --> 02:10:30.679]  Is it time?
[02:10:31.340 --> 02:10:33.761]  I don't have time to fraternize with women, really.
[02:10:33.801 --> 02:10:34.661]  Okay, so, but you know what?
[02:10:34.681 --> 02:10:35.442]  You said that earlier.
[02:10:35.462 --> 02:10:38.683]  You also said that you are... Do you have a law degree?
[02:10:39.464 --> 02:10:39.664]  No.
[02:10:39.984 --> 02:10:40.304]  So what?
[02:10:40.324 --> 02:10:41.425]  You said you do legal work.
[02:10:41.445 --> 02:10:42.485]  So what legal work are you doing?
[02:10:42.605 --> 02:10:43.986]  Oh, and you've got a degree in psychology.
[02:10:44.026 --> 02:10:47.387]  Does this guy not act like he's got Asperger's with a helping of laziness?
[02:10:47.688 --> 02:10:49.909]  Well, I'm not a doctor, but... I understand, but you've got a...
[02:10:50.589 --> 02:10:51.930]  But I don't, I mean, I don't, I don't know.
[02:10:51.970 --> 02:10:53.791]  It's a nature versus a nurture argument.
[02:10:53.931 --> 02:10:55.751]  Then it doesn't seem like it's the nurture.
[02:10:55.771 --> 02:10:58.573]  So maybe it's a vaccine or the food or something.
[02:10:58.613 --> 02:10:58.913]  I don't know.
[02:10:59.033 --> 02:11:03.835]  What if you had to, if you had to pick one, if you had to say Asperger's or no, what would you pick?
[02:11:03.855 --> 02:11:11.599]  Well, I think your Asperger's spectrum undoubtedly just by all of it, but then you've got the overlay of the, of the environment that is inducive towards the zombiosis.
[02:11:11.639 --> 02:11:12.999]  What if I'm just a regular guy?
[02:11:13.700 --> 02:11:14.740]  What if you're just a lazy bum?
[02:11:14.780 --> 02:11:15.661]  Maybe you are just a bum.
[02:11:17.081 --> 02:11:21.845]  A contrarian bum that will never get the perfect thing he really wants.
[02:11:21.926 --> 02:11:24.147]  I'm just trying to figure out, is it a comfort thing?
[02:11:24.268 --> 02:11:28.671]  If you really want me to answer that question, why do you want to live at home?
[02:11:28.811 --> 02:11:29.952]  What is the deal with that?
[02:11:30.012 --> 02:11:31.273]  Why don't you want to get out?
[02:11:31.754 --> 02:11:32.935]  I don't want to live at home.
[02:11:33.035 --> 02:11:35.557]  What I've told other reporters is that
[02:11:37.719 --> 02:11:41.722]  When I had my son, he was a baby and I had him three full days a week.
[02:11:41.762 --> 02:11:44.344]  Two full weekdays and one weekend day.
[02:11:44.784 --> 02:11:46.886]  And it was really hard for me to find full-time employment like that.
[02:11:46.906 --> 02:11:47.847]  Wait a second, hold on a second.
[02:11:47.867 --> 02:11:48.487]  This is blowing my mind.
[02:11:48.507 --> 02:11:49.588]  You're a white male!
[02:11:50.149 --> 02:11:51.430]  You're an effing white male!
[02:11:51.490 --> 02:11:54.512]  White people don't know what it's like to be poor!
[02:11:54.532 --> 02:11:54.772]  What?
[02:11:59.341 --> 02:12:02.462]  It's obviously an inside joke that you haven't heard yet.
[02:12:02.542 --> 02:12:05.002]  But apparently, you know, a white man has the white man privilege.
[02:12:05.022 --> 02:12:07.903]  So you're telling me you can't get a job so that you can move out of the house.
[02:12:07.923 --> 02:12:08.563]  That's what you're telling me.
[02:12:08.603 --> 02:12:09.243]  I didn't say that.
[02:12:09.283 --> 02:12:17.785]  I said that it wasn't really... I didn't have a lot of opportunities with all those days that I was, you know, being a father to my son, which was important and necessary.
[02:12:17.805 --> 02:12:19.125]  But do you have visiting rights right now?
[02:12:19.305 --> 02:12:19.465]  No.
[02:12:20.045 --> 02:12:21.105]  So what are you so busy with?
[02:12:21.286 --> 02:12:22.266]  I'm still trying to figure this out.
[02:12:22.366 --> 02:12:23.346]  Trying to get to see him again.
[02:12:23.366 --> 02:12:25.926]  That's what I've been doing for a long time.
[02:12:25.946 --> 02:12:28.187]  So you're battling with the courts and with lawyers right now?
[02:12:29.093 --> 02:12:29.673]  Just the courts.
[02:12:30.074 --> 02:12:30.734]  Oh, yeah, and lawyers.
[02:12:30.774 --> 02:12:31.335]  Yeah, courts and lawyers.
[02:12:31.355 --> 02:12:31.795]  You're exactly right.
[02:12:31.815 --> 02:12:38.020]  Okay, don't you think it might be advantageous for you to maybe, like, get some money behind this effort and maybe hire a lawyer?
[02:12:38.040 --> 02:12:41.503]  It's not going to change the merit of my contentions.
[02:12:42.708 --> 02:12:44.249]  Yeah, but it might help you, don't you think?
[02:12:44.289 --> 02:12:45.790]  I mean, this is a court of law.
[02:12:46.110 --> 02:12:46.811]  How would that help?
[02:12:47.411 --> 02:12:49.153]  Just by saying the magic words?
[02:12:49.973 --> 02:12:53.776]  I mean, dude, if you don't know how the judicial system works, I mean, clearly you don't.
[02:12:53.796 --> 02:12:54.536]  How does the judicial system work?
[02:12:54.556 --> 02:12:55.077]  Well, let me tell you.
[02:12:55.097 --> 02:12:57.298]  My ex-wife took the kids and filed up.
[02:12:57.498 --> 02:13:04.123]  I'd only have them four hours on the weekend and I went and got lawyers and went and had a big court battle and, you know, got my kids half the time.
[02:13:04.383 --> 02:13:06.024]  Have you ever been on your own, Michael?
[02:13:06.065 --> 02:13:07.285]  Have you ever been out of the parents' house?
[02:13:07.425 --> 02:13:07.626]  I have.
[02:13:08.345 --> 02:13:09.285]  And what was that like for you?
[02:13:09.325 --> 02:13:10.405]  Did you not like it?
[02:13:10.525 --> 02:13:11.226]  No, I loved it.
[02:13:11.246 --> 02:13:13.746]  It was great.
[02:13:14.126 --> 02:13:15.226]  You're very busy all the time.
[02:13:15.246 --> 02:13:16.307]  You gotta work.
[02:13:17.407 --> 02:13:26.989]  I think you should take up something like kickboxing or something athletic.
[02:13:27.009 --> 02:13:28.889]  Are you engaged in any athletic pursuits?
[02:13:29.529 --> 02:13:30.710]  I like to bicycle.
[02:13:32.290 --> 02:13:33.290]  Let's see, ride my bicycle.
[02:13:33.310 --> 02:13:34.410]  Another Bernie Sanders favorite?
[02:13:35.031 --> 02:13:35.291]  Is it?
[02:13:36.431 --> 02:13:36.771]  Is he around?
[02:13:38.228 --> 02:13:47.535]  How would you like, how would you like to be Bernie Sanders' assistant?
[02:13:49.556 --> 02:13:51.318]  Probably wouldn't like to assist someone else.
[02:13:52.078 --> 02:13:57.442]  Ah, I just figured because he wants to take care of everybody that's poor and that needs help, so I think he should give you a job.
[02:13:59.523 --> 02:14:02.826]  But you're not going to have any leftists actually offer anybody jobs, that's conservatives that do that.
[02:14:07.875 --> 02:14:08.595]  Were you breastfed?
[02:14:11.257 --> 02:14:11.897]  I don't remember.
[02:14:11.917 --> 02:14:20.641]  That's actually very important because the fatty acids in natural breast milk give you, your brain, a lot more power to develop than the formula.
[02:14:21.702 --> 02:14:26.204]  The brain will actually weigh 10-15% less, have a lot less neuron density.
[02:14:26.364 --> 02:14:28.865]  So wait, let me ask Michael, how old is your child?
[02:14:28.885 --> 02:14:29.005]  Eight.
[02:14:30.706 --> 02:14:30.866]  Eight?
[02:14:31.026 --> 02:14:32.566]  So you had that child at age 22?
[02:14:32.887 --> 02:14:33.947]  That's right.
[02:14:34.267 --> 02:14:36.968]  And so for eight years you've been fighting for custody?
[02:14:37.008 --> 02:14:37.848]  I mean, how does this go?
[02:14:38.088 --> 02:14:42.169]  Well, uh, when he was a baby, I really, I really, it wasn't feasible for me to work full-time.
[02:14:42.429 --> 02:14:46.670]  Um, after he started going to school... Seems like it's never feasible, feasible for you to work full-time.
[02:14:46.690 --> 02:14:48.810]  You know, I don't think anybody would like to work full-time.
[02:14:48.830 --> 02:14:52.331]  You know, everybody would like to just retire or live in someone's house.
[02:14:52.411 --> 02:14:53.331]  But I mean, you know... Not me!
[02:14:53.492 --> 02:14:55.012]  I want to, I want to work 24 hours a day.
[02:14:55.848 --> 02:14:58.492]  I had lost my job prior to that.
[02:14:58.512 --> 02:14:59.293]  I was fired.
[02:14:59.313 --> 02:15:00.895]  I was a little frustrated with employment.
[02:15:01.075 --> 02:15:11.549]  But after I had my son, after I was a father for a little while, I found that I had the gift that public schools offer us, which is the time to work with our kids.
[02:15:12.956 --> 02:15:15.939]  Uh, kept taking care of his school, and I found that I could.
[02:15:15.959 --> 02:15:22.145]  Did you see the WikiLeaks where Hillary said, I hate my constituents, they're a bunch of basement dwellers, and they're a bunch of idiot Maurice's.
[02:15:22.165 --> 02:15:27.931]  Well, a lot of Maurice's, a lot of Maurice's that live really good lives, but that's who she thinks her people are.
[02:15:28.331 --> 02:15:31.392]  I'm putting down the fact that you, like so many other millennials and trendies, don't have any
[02:15:52.452 --> 02:15:55.814]  Aspirations for life in the world, except politically running my life.
[02:15:56.175 --> 02:15:59.937]  You don't have the whole liberal control freak contingent though, so you're a little bit different.
[02:16:00.178 --> 02:16:00.778]  We'll be right back.
[02:16:09.284 --> 02:16:12.266]  What do you wanna do with your life?
[02:16:12.946 --> 02:16:13.747]  I wanna rock.
[02:16:14.468 --> 02:16:18.971]  When this baby hits 88 miles per hour,
[02:16:20.040 --> 02:16:21.802]  You're gonna see some serious s***.
[02:16:21.822 --> 02:16:28.267]  You know, someone very profoundly once said, many years ago, that if fascism ever comes to America, it'll come in the name of liberalism.
[02:16:33.834 --> 02:16:38.276]  Those who seek to inflict harm are not fazed by gun control laws.
[02:16:39.416 --> 02:16:41.557]  I happen to know this from personal experience.
[02:16:41.637 --> 02:16:43.498]  I could end this guy, John, tomorrow.
[02:16:43.618 --> 02:16:46.019]  All you gotta do is arm all your best.
[02:16:46.299 --> 02:16:54.663]  I don't think that you should look back and whine and bellyache or try to hold somebody else guilty for everything you did.
[02:16:54.803 --> 02:16:55.463]  Where's the beat?
[02:16:55.823 --> 02:16:57.724]  Alright, what is the Trilateral Commission?
[02:16:58.902 --> 02:17:02.044]  An organization founded in 1973 by David Rockefeller.
[02:17:02.104 --> 02:17:10.270]  You see, what they're really up to is a scheme to plant their own loyal members in positions of power in this country.
[02:17:10.630 --> 02:17:21.418]  To work to erase national boundaries, create an international community, and, in time, bring about a one-world government with David Rockefeller pulling the shot!
[02:17:22.769 --> 02:17:39.557]  As Oliver North's public battle over government secrets and the illegal supply of weapons to the Nicaraguan Contras is waged in Washington, Congressional investigators in recent months have tried to learn if Mena, Arkansas was an illegal staging area for shipping guns to the U.S.-backed Contra rebels.
[02:17:39.818 --> 02:17:46.401]  It all begins in 1982, when this man, Adler Berryman Seal, showed up in Mena, Arkansas.
[02:17:46.741 --> 02:17:47.862]  He used to smuggle drugs.
[02:17:48.123 --> 02:17:52.748]  Then he got caught and he became one of the government's most valuable informants in the war against cocaine.
[02:17:52.888 --> 02:17:57.514]  But last night in Louisiana, Barry Seale's enemies caught up with him and killed him.
[02:17:58.422 --> 02:18:03.085]  17-year-old Kevin Ives and 16-year-old Don Henry were struck by a train.
[02:18:03.386 --> 02:18:07.549]  The medical examiner has said that the boys were asleep and drugged with marijuana.
[02:18:07.589 --> 02:18:10.391]  The parents, however, disputed that claim.
[02:18:10.451 --> 02:18:17.936]  The boys were killed because they had stumbled upon a large shipment of drugs dropped from an airplane.
[02:18:18.277 --> 02:18:22.600]  Tears in the fabric indicate that Don had been stabbed before he was run over by the train.
[02:18:22.900 --> 02:18:28.224]  In light of this new evidence, the grand jury changed its ruling from probable homicide to definite homicide.
[02:18:29.289 --> 02:18:30.429]  I'm scared of these people.
[02:18:31.149 --> 02:18:33.490]  I'm very scared of them.
[02:18:33.650 --> 02:18:40.571]  How do you think the crack drop gets into the country?
[02:18:40.611 --> 02:18:42.012]  We don't own any planes.
[02:18:42.472 --> 02:18:43.552]  We don't own no ships.
[02:18:43.792 --> 02:18:47.133]  We are not the people who are flying and floating that shit in here.
[02:18:47.393 --> 02:18:54.094]  I will tell you, Director Deutch, as a former Los Angeles police narcotics detective, that the agency has dealt drugs throughout this country for a long time.
[02:18:56.415 --> 02:19:03.639]  Men who were working for the CIA's army were responsible for bringing all that cocaine into Los Angeles that sparked the crack epidemic.
[02:19:03.679 --> 02:19:08.621]  My boss goes on a fishing trip with George Bush and when they come back they say the ends justify the means.
[02:19:08.661 --> 02:19:15.744]  Sir, the Republicans are trying to blame you for the existence of a small airbase at Mena, Arkansas.
[02:19:16.185 --> 02:19:22.988]  This base was set up by George Bush and Oliver North and the CIA to help the Iran-contras
[02:19:23.548 --> 02:19:28.772]  And they brought in plane load after plane load of cocaine there for sale in the United States.
[02:19:29.552 --> 02:19:35.456]  And then they took the money and bought weapons and took them back to the Congress, all of which was illegal, as you know, under the Bowling Act.
[02:19:36.056 --> 02:19:41.060]  But tell me, did they tell you that this had to be in existence because of national security?
[02:19:41.260 --> 02:19:44.442]  We had nothing, zero, to do with it.
[02:19:44.962 --> 02:19:47.604]  And everybody who's ever looked into it knows that.
[02:19:48.324 --> 02:19:52.608]  I did not have sexual relations with that woman, Ms.
[02:19:52.648 --> 02:19:52.929]  Lewinsky.
[02:19:53.449 --> 02:19:55.391]  These allegations are false.
[02:19:56.752 --> 02:20:02.277]  If you are receiving this transmission, you are in the resistance.
[02:20:05.800 --> 02:20:08.443]  You're listening to the Alex Jones Show.
[02:20:39.648 --> 02:20:41.109]  You found it, the tip of the spear.
[02:20:41.169 --> 02:20:47.491]  I'm Alex Jones and Michael Rotondo, the 30-year-old who refused to move out of his parents' house, had been taken to court.
[02:20:47.571 --> 02:20:49.032]  The judge said, yeah, you got to get out.
[02:20:50.112 --> 02:20:53.393]  Liberal media, conservative media made fun of him and said, what a bum, what a horrible person.
[02:20:54.694 --> 02:20:58.195]  I was talking to Owen Schroer during the break and I said, what is your prognosis?
[02:20:58.615 --> 02:20:59.336]  You're a smart guy.
[02:20:59.356 --> 02:21:04.798]  And I talked to some of the other folks in there and they pretty much all came up with the same conclusion that I have in my heart.
[02:21:04.858 --> 02:21:05.518]  I think it's this.
[02:21:06.038 --> 02:21:07.339]  Owen, give us your take.
[02:21:08.407 --> 02:21:11.929]  Well, I think that you've just never had anybody really empower you.
[02:21:12.089 --> 02:21:21.393]  You've never felt that anyone has had faith in you or trust in you, so you've never felt the inclination to make more of yourself because you don't feel like anyone's ever believed in you.
[02:21:21.973 --> 02:21:34.139]  And when I saw that moment when Alex handed you the check but also talked about maybe hiring you, there was an emotion that I think came over you and I saw it in your face that it felt like for the first time somebody was willing to invest in you
[02:21:34.839 --> 02:21:40.405]  And that was empowering for you, to have that feeling that somebody is willing to stick their neck out there for you and invest in you.
[02:21:40.766 --> 02:21:42.968]  And I think for a lot of people, that's all it takes sometimes.
[02:21:42.988 --> 02:21:47.533]  It's just that little push of somebody having faith in you and investing in you that gets you going.
[02:21:47.553 --> 02:21:53.079]  And by the way, the globalists believe everybody's already done, so they're trying to dumb people down to control them to then depopulate.
[02:21:53.139 --> 02:21:55.923]  And that's what this whole anti-man, anti-woman agenda is.
[02:21:56.423 --> 02:21:59.884]  They admit in the WikiLeaks and the government documents the whole gay agenda is about that.
[02:21:59.924 --> 02:22:00.944]  I'm not bashing gay people.
[02:22:01.145 --> 02:22:01.885]  That's always happened.
[02:22:01.905 --> 02:22:02.765]  That's always been there.
[02:22:03.005 --> 02:22:06.166]  But the artificiality pushing it is about depopulation.
[02:22:06.526 --> 02:22:13.108]  And so people are going into these Asperger's type things that are artificial from the programming, from the television, from the Internet.
[02:22:13.549 --> 02:22:15.269]  And we're hypocrites.
[02:22:15.329 --> 02:22:16.309]  We're on this thing, too.
[02:22:16.750 --> 02:22:17.850]  That's how we're reaching people.
[02:22:17.890 --> 02:22:20.691]  But I'm telling you, I see this in more and more young people.
[02:22:21.658 --> 02:22:28.263]  I know you are 30, but I'm seeing this in a lot of males, especially, who don't thrive in the outside world.
[02:22:28.303 --> 02:22:33.326]  People don't, you know, have barbecues or, you know, outside at night like when I was a kid.
[02:22:33.346 --> 02:22:34.827]  People were still outside most of the time.
[02:22:35.107 --> 02:22:36.668]  Maybe we watch a Saturday night movie or...
[02:22:37.549 --> 02:22:40.711]  Well, I'll just say this, and if there's anybody else that wants to talk to Michael here.
[02:23:06.084 --> 02:23:06.824]  I think you're right, Alex.
[02:23:06.864 --> 02:23:13.526]  I think this is a common issue and it's different than the government just saying, oh, you know, here's a check or welfare or a hand up or everything.
[02:23:13.766 --> 02:23:14.966]  That doesn't really empower you.
[02:23:15.006 --> 02:23:16.126]  That doesn't really influence you.
[02:23:16.146 --> 02:23:18.047]  That makes you want to get more comfortable.
[02:23:18.387 --> 02:23:25.709]  Whereas if somebody, if a person invests in you, now you're answering to them and there's a, there's a, there's an actual human experience there.
[02:23:25.729 --> 02:23:28.489]  There's a bonding experience there that can make a man a man.
[02:23:28.949 --> 02:23:30.710]  So I think that that's the big difference here.
[02:23:30.950 --> 02:23:33.751]  And, um, I think that this is just something that a lot of people lack.
[02:23:33.771 --> 02:23:34.651]  They don't have leadership.
[02:23:34.691 --> 02:23:35.371]  They don't, whether it's,
[02:23:36.032 --> 02:23:39.862]  In a family or in school or whatever it is, they just don't have somebody that's willing to invest in them.
[02:23:40.483 --> 02:23:43.612]  And I'll just say this in closing, you know, I don't know, I don't know what...
[02:23:45.037 --> 02:23:58.045]  I'll just say this, Michael, I don't know what you think the best options are right now for you to get your kid back, but I would say your best option is to work your tail off and get a great job, and yeah, make some money, get your own home, and then the judge will whip you better.
[02:23:58.065 --> 02:24:03.669]  We're going to keep it in here for one episode, one more segment, when Saw Man comes on with you, when we're plugging your big veteran special.
[02:24:03.969 --> 02:24:11.434]  He's coming up today on The War Room, and Saw Man, former Navy SEAL patriot, his buddy just got the Congressional Medal of Honor yesterday, pretty big deal.
[02:24:12.134 --> 02:24:14.917]  We're going to be breaking all that down and heading into Memorial Day.
[02:24:14.957 --> 02:24:16.017]  But great points, Owen.
[02:24:16.518 --> 02:24:18.099]  And again, jump at any time, Michael.
[02:24:18.600 --> 02:24:23.604]  Again, the man that's 30 years old, being evicted from his parents' house in court this week, if you just tuned in.
[02:24:23.624 --> 02:24:29.929]  And let's bring in Daria, or let's bring in Jake Lloyd, or let's bring in any of the other folks that want to get on there.
[02:24:30.029 --> 02:24:31.010]  Well, I want to answer his question.
[02:24:31.050 --> 02:24:31.791]  Go ahead.
[02:24:31.951 --> 02:24:38.839]  What he said was, you know, that he alluded to the fact that he believed that I had never had someone who believed in me, and that's not true.
[02:24:38.880 --> 02:24:40.622]  I've had great school teachers who have believed in me.
[02:24:40.662 --> 02:24:47.630]  I think everyone has had that, but I don't think it happens enough, and I think that a lot of what you're speaking to with the
[02:24:50.808 --> 02:24:55.290]  Things that you wish would change comes from the schools.
[02:24:55.550 --> 02:24:57.911]  Well you need to not, here's the deal, you need to not procrastinate.
[02:24:58.271 --> 02:25:01.412]  You need to let yourself be in other organizations and not at the top.
[02:25:01.852 --> 02:25:05.934]  And learn that if you just execute and innovate, you'll be moved to the top immediately.
[02:25:06.254 --> 02:25:06.574]  Alright.
[02:25:07.214 --> 02:25:14.097]  Look, people are looking for people who will just do what they're told, understand the information, and then move up in the hierarchy of things.
[02:25:14.537 --> 02:25:17.538]  And you'll find once you move up in the hierarchy of things, it's actually a big responsibility.
[02:25:17.918 --> 02:25:23.583]  But it does advance your mental clarity, understanding as you learn how to deal with more responsibility, more stress.
[02:25:23.603 --> 02:25:24.003]  You understand?
[02:25:24.143 --> 02:25:24.323]  Yeah.
[02:25:24.924 --> 02:25:27.926]  And that's what the whole hierarchy of needs in life is about.
[02:25:27.986 --> 02:25:31.289]  And it's about ascending to the level of where you actually want to then help others.
[02:25:31.890 --> 02:25:32.310]  Like your son.
[02:25:32.610 --> 02:25:33.131]  Which you want to do.
[02:25:33.911 --> 02:25:35.132]  So you aspire to that.
[02:25:35.152 --> 02:25:36.333]  It's not about helping, it's my son.
[02:25:36.553 --> 02:25:36.814]  I know.
[02:25:36.894 --> 02:25:42.859]  But you have to sacrifice and not do things the way you want them every time to get in the position to get your son back.
[02:25:45.160 --> 02:25:45.381]  Maybe.
[02:25:46.361 --> 02:25:46.502]  No!
[02:25:48.203 --> 02:25:49.984]  Without sacrifice, there's nothing, my friend.
[02:25:50.484 --> 02:25:53.105]  Let's bring Jake Lloyd in and Drew wants to get in and whoever else.
[02:25:54.585 --> 02:25:58.527]  Yeah, so I guess what I'm wondering is where is your motivation?
[02:25:58.747 --> 02:26:01.508]  Like, did you ever have any dreams when you were a kid?
[02:26:01.528 --> 02:26:03.229]  Did you have any motivation or anything?
[02:26:03.269 --> 02:26:05.950]  Because I guess it doesn't make a lot of sense to me.
[02:26:06.310 --> 02:26:07.671]  I joined the Army at 17.
[02:26:08.171 --> 02:26:08.711]  I got out.
[02:26:08.851 --> 02:26:09.451]  I'm working here now.
[02:26:09.471 --> 02:26:13.493]  I'm 21 years old and I feel like I'm not motivated enough because I measure up
[02:26:14.133 --> 02:26:21.016]  I measure myself against people in the past, like Teddy Roosevelt, people who were doing great things in the past, and I'm doing what I'm doing now.
[02:26:21.076 --> 02:26:21.796]  It's good, but it's not that.
[02:26:21.836 --> 02:26:24.677]  So I don't, I guess, I'm just curious, where is your motivation in life?
[02:26:24.957 --> 02:26:27.978]  And if it's to get your son back, what are you doing to get him back?
[02:26:28.498 --> 02:26:37.502]  Because you say, oh, he's incredibly important to me, he's all that I, you know, the biggest thing in my life, but that doesn't seem to be true because you're not acting that out in your life.
[02:26:38.851 --> 02:26:48.918]  I've been going through a very arduous and costly and time-consuming legal process to try and get him back, based on the fact that I was entitled to get him back.
[02:26:49.799 --> 02:26:53.882]  Not based on the fact that I need to have a job to get him back.
[02:26:54.702 --> 02:26:55.423]  You do need a job.
