[00:00:13.002 --> 00:00:16.625]  It's funny.
[01:55:20.158 --> 01:55:20.718]  E. Howard Hunt.
[01:55:22.352 --> 01:55:31.378]  He's the guy that reportedly had over 200 kills in China by himself, parachuted in at the start of World War II as an intelligence operative.
[01:55:31.639 --> 01:55:32.359]  He's a famous guy.
[01:55:32.379 --> 01:55:41.546]  He didn't pull the trigger, but he was there running the killing of Kennedy, and he lost that lawsuit against the spotlight.
[01:55:45.008 --> 01:55:50.192]  And now he gave a video and audio confession that premiered here and on Coast to Coast AM with George Norring.
[01:55:52.308 --> 01:55:56.391]  In 2008, I was a benchwarmer on the operation.
[01:55:57.192 --> 01:56:00.134]  Kordmeier was mad because Kennedy had been banging his wife.
[01:56:00.154 --> 01:56:02.856]  And there's old Jim Mars.
[01:56:02.896 --> 01:56:05.999]  What a great... Those interviews are online right now on our YouTube channel they're trying to get rid of.
[01:56:07.520 --> 01:56:10.102]  That's some of the first videos we put up on that YouTube channel in 2008.
[01:56:12.864 --> 01:56:13.905]  Oh, it's been taken down!
[01:56:15.106 --> 01:56:15.787]  Click on those.
[01:56:16.507 --> 01:56:17.388]  World exclusive.
[01:56:17.788 --> 01:56:18.229]  Click on one.
[01:56:19.312 --> 01:56:20.792]  This video's unavailable.
[01:56:21.232 --> 01:56:28.394]  And I've also noticed we were over 2 million views, YouTube just deletes our videos all the time, and then doesn't even tell us why.
[01:56:29.214 --> 01:56:30.335]  So that had millions of views.
[01:56:30.395 --> 01:56:31.815]  It went down to like 1.5 billion.
[01:56:31.835 --> 01:56:39.537]  They're like, count your car, the speedometer, or the tachometer, you know, the mileage goes backwards.
[01:56:40.362 --> 01:56:42.905]  My car's got 40,000 minus miles on it.
[01:56:43.426 --> 01:56:44.828]  I thought I drove 40,000 miles.
[01:56:45.609 --> 01:56:49.353]  So, our YouTube channel, the view count goes backwards.
[01:56:54.042 --> 01:56:57.243]  And then they're on the news going, hurry up and censor Alex Jones!
[01:56:57.803 --> 01:57:01.645]  They're already censoring us all over the place, but then it's having a Streisand effect.
[01:57:02.385 --> 01:57:11.008]  And all these weird Ivy League CIA, they're all wimps, who never were actually in the military or anything, but they just, they want to be analysts and in charge of men.
[01:57:12.461 --> 01:57:22.587]  And then they all just want little CIA decoder rings and little secret societies and you know they go to Yale and crap on each other's faces and flop around having gay sex.
[01:57:23.307 --> 01:57:33.433]  And by the way, that's even in The Good Shepherd, which is an accurate rendition of Skull and Bones with Matt Damon and of course Prudish and directed
[01:57:34.676 --> 01:57:35.817]  By Robert De Niro.
[01:57:35.877 --> 01:57:39.018]  But then the media goes, Jones claims they pee on each other and still vote.
[01:57:39.038 --> 01:57:39.539]  What a liar.
[01:57:39.819 --> 01:57:41.099]  We all know that's Trump and Russia.
[01:57:41.120 --> 01:57:42.440]  No, they crap on each other.
[01:57:43.701 --> 01:57:43.961]  Alright?
[01:57:44.041 --> 01:57:48.003]  And then worship Lucifer and are born again undead and eat crap.
[01:57:48.684 --> 01:57:50.945]  That's who runs saying a bunch of Ivy League people that eat turds.
[01:57:52.887 --> 01:58:04.414]  I knew about iodine a long time ago and the effects of iodine because looking at, again, the root cause of what's going on, we are all exposed to endocrine-disrupting chemicals every single day.
[01:58:04.454 --> 01:58:05.414]  We're exposed to lead.
[01:58:05.454 --> 01:58:06.475]  We're exposed to mercury.
[01:58:06.515 --> 01:58:11.497]  We're exposed to bromine, chlorine, and fluoride, the other toxic halogens.
[01:58:11.878 --> 01:58:16.900]  But think about what's going on right now in America and around the world.
[01:58:17.001 --> 01:58:19.122]  What does an iodine deficiency do?
[01:58:19.902 --> 01:58:21.283]  Well, causes you to gain weight.
[01:58:21.423 --> 01:58:25.045]  Think of all the thyroid problems that we're having and we're seeing right now around the world.
[01:58:25.145 --> 01:58:30.128]  Our bodies absolutely must have the good halogen, iodine, or we will die.
[01:58:30.508 --> 01:58:35.971]  And you look at all of the thyroid problems and all the people that don't have energy, that have all sorts of hormone problems.
[01:58:36.351 --> 01:58:41.574]  And from my research, and a lot of just mainline research, it leads back to iodine over
[01:58:41.934 --> 01:58:42.875]  And over and over again.
[01:58:42.955 --> 01:58:49.838]  If you've been in this field as long as I have, like 20-something years, you know it's very hard to detoxify and to get those things out of the body.
[01:58:50.058 --> 01:58:52.260]  Iodine is one of those miracle substances.
[01:58:52.280 --> 01:58:53.920]  I mean, this is so massive.
[01:58:54.000 --> 01:59:07.228]  Just iodine alone is just as critical as vitamin C. I would say it's even more critical because you look at all of the glandular tissue in the body, the reproductive tissue, the ovaries, the breast tissue in women, the prostate gland.
[01:59:07.248 --> 01:59:07.988]  Fertility is key.
[01:59:08.508 --> 01:59:25.095]  Fertility, but all your glands are what, really, your pituitary gland, which gets calcified with fluoride, the parathyroid, the pancreas, the GI tract, actually, the whole GI tract is a gland that needs iodine because the GI tract produces serotonin and all these things.
[01:59:25.475 --> 01:59:29.497]  Iodine is the miracle substance that pretty much everybody needs.
[01:59:29.537 --> 01:59:33.078]  And you're carrying your kid on your shoulder up a big hill, and you get up to take him off, it's like you're flying.
[01:59:33.558 --> 01:59:34.919]  All of a sudden, it was like, boom!
[01:59:35.419 --> 01:59:37.221]  Started losing weight, all this energy.
[01:59:37.581 --> 01:59:39.623]  I guess the iodine was sucking garbage out.
[01:59:39.923 --> 01:59:44.387]  It's as important as vitamin C. You gotta have vitamin C. You gotta have iodine to live.
[01:59:44.407 --> 01:59:45.448]  You gotta have water to live.
[01:59:45.628 --> 01:59:49.131]  Get your Survival Shield X2 Nascent Iodine.
[01:59:49.291 --> 01:59:52.734]  Now 25% off at Infowarsstore.com.
[01:59:55.256 --> 01:59:59.359]  Leading a frontal assault on the lies of the New World Order.
[01:59:59.880 --> 02:00:01.141]  It's Alex Jones.
[02:00:14.793 --> 02:00:22.957]  Coming to you from the former United States of America, from deep in the heart of Texas, it's Alex Jones.
[02:00:39.318 --> 02:01:01.978]  Yeah, you know, I think we need to come in the next segment with Tiger by the Tail because Georgetown, a supposed private university that gets hundreds of millions of dollars a year in taxpayer money for their law school, thinks they're going to sue me using taxpayer money trying to overthrow free speech.
[02:01:03.464 --> 02:01:15.049]  And they think, because they've picked a quote, radical target like Infowars, and Congressman Ellen West, who they say is a white supremacist, they actually say he's alt-right, which means white supremacist, he's black guy, black army colonel.
[02:01:17.290 --> 02:01:26.895]  They think we'll all just roll over or they'll sue enough people that somebody will settle so they can declare victory, and then set a precedent that we're fake news in the agreement
[02:01:27.901 --> 02:01:31.402]  So they can then start massive censorship in this country.
[02:01:31.722 --> 02:01:32.162]  It's incredible.
[02:01:32.182 --> 02:01:37.223]  I'm going to play a special Paul Watson report coming up in the next segment that I'm going to get through.
[02:01:37.243 --> 02:01:40.364]  A bunch of the news we haven't hit on the economy, Tillerson, you name it.
[02:01:40.404 --> 02:01:48.166]  But just briefly here, because it's so important and it's funding our operation, it's been sold out for months and now it's back.
[02:01:48.546 --> 02:01:50.307]  It's MycoZX Plus.
[02:01:51.420 --> 02:01:59.285]  Lower price, more ingredients because we scaled up, signed a year contract with an even bigger organic manufacturer and producer.
[02:01:59.625 --> 02:02:03.048]  Scalability, but I am signed up for a year contract to buy a lot of it.
[02:02:03.368 --> 02:02:07.651]  But now we're able to go at 50% off to $27 instead of $39, 50% off.
[02:02:07.691 --> 02:02:12.614]  Because there's a lot of product and a lot of ingredient in MycoZx.
[02:02:12.654 --> 02:02:14.095]  Now it's the other side of the equation.
[02:02:14.295 --> 02:02:17.157]  Everybody thinks about probiotics and how great they are for your gut.
[02:02:17.677 --> 02:02:23.419]  Because of toxins in the environment, pesticides, herbicides, bioaccumulate, it kills off good bacteria, bad ones move in.
[02:02:23.439 --> 02:02:33.804]  But more importantly than bad bacteria, the probiotics help displace yeast mold and other things that fill in those gaps, create slime walls.
[02:02:35.189 --> 02:02:40.973]  And once the candida and the yeast and the mold and all that get in there, it causes all sorts of serious issues.
[02:02:40.993 --> 02:02:43.115]  And a lot of people understand this and know this.
[02:02:43.155 --> 02:02:46.277]  They know about yeast and molds and the mutations and all things that are going on.
[02:02:46.297 --> 02:02:55.723]  Well, this has got a bunch of concentrated herbs in it and compounds known to destroy that slime wall and known to flush that out of your body.
[02:02:57.184 --> 02:03:00.186]  I take three or four pills for a week each day.
[02:03:00.427 --> 02:03:01.187]  Incredible results.
[02:03:01.207 --> 02:03:02.188]  I only do it a few times a year.
[02:03:03.430 --> 02:03:06.753]  But you can do it basically all the time because these herbs are all really good for you.
[02:03:07.473 --> 02:03:14.319]  With all the dangerous toxins and new sources of food and drinks that come into the world, it's becoming more important to make sure your gut is in check.
[02:03:14.799 --> 02:03:20.564]  That's why our team of dedicated scientists working hard to create a new advanced formula to build upon your gut health.
[02:03:21.482 --> 02:03:29.589]  Michael ZX Plus is a unique natural formula designed to support the healthy natural cleansing of yeast and fungal organisms in the gut.
[02:03:30.009 --> 02:03:36.514]  Made from wild-crafted and organically certified herbs, Michael ZX Plus is formulated for maximum effectiveness.
[02:03:37.055 --> 02:03:43.960]  Michael ZX Plus contains incredible ingredients in one powerful supplement that supports healthy microbial balance in the body.
[02:03:44.821 --> 02:03:52.943]  Made with specifically selected ingredients that focus on intestinal yeast, supports a healthy digestive tract, addresses internal yeast.
[02:03:53.523 --> 02:04:00.764]  Our formula is fueled by unique ingredients that power up its potential, including grapefruit seed extract.
[02:04:00.784 --> 02:04:02.104]  I always pronounce this wrong.
[02:04:02.904 --> 02:04:03.725]  Paw-dee-arco.
[02:04:03.745 --> 02:04:05.245]  Is that right, guys?
[02:04:06.145 --> 02:04:08.905]  Paw-dee-arco.
[02:04:09.346 --> 02:04:10.046]  Paw-dee-arco.
[02:04:10.806 --> 02:04:11.406]  Moringa.
[02:04:14.145 --> 02:04:18.407]  Garlic bulb and many other concentrated known herbs good for the gut.
[02:04:19.368 --> 02:04:21.669]  Don't wait to start detoxifying your body until it's too late.
[02:04:21.949 --> 02:04:27.612]  Pick up a bottle of the new and improved MycoZX Plus now from the InfoWars store.
[02:04:29.178 --> 02:04:34.480]  Ladies and gentlemen, it's 50% off out of the gate, because I want you to see how great it is.
[02:04:34.760 --> 02:04:36.640]  Sign up for AutoShip, an additional 10% off.
[02:04:36.700 --> 02:04:38.661]  It's basically a lost liter at that price.
[02:04:38.701 --> 02:04:43.543]  But when you sign up for AutoShip, you still get it each month, or every two months or three months, whatever you click the button for.
[02:04:43.883 --> 02:04:44.623]  Cancel any time.
[02:04:45.143 --> 02:04:48.064]  You get it over and over again so you can remember to support us and support your own health.
[02:04:48.324 --> 02:04:49.565]  It's all symbiotic.
[02:04:49.885 --> 02:04:51.105]  A non-zero-sum game.
[02:04:51.425 --> 02:04:53.146]  A total 360 win that I coined.
[02:04:53.646 --> 02:04:56.907]  We'll be right back on the other side with a critical report from Paul Watson.
[02:04:57.287 --> 02:04:59.428]  I think this will even shock InfoWars listeners.
[02:04:59.708 --> 02:05:02.109]  Please spread the live links and the local stations you're listening to.
[02:05:04.102 --> 02:05:11.306]  Introducing Icarin, a 30-day liver and kidney cleanse, exclusively available at InfoWarsLife.com.
[02:05:11.806 --> 02:05:20.951]  We have set out with top researchers and developers to bring you the strongest, purest, most potent, documented system for your liver and your kidneys.
[02:05:21.232 --> 02:05:26.354]  There are two different formula blends in one powerful capsule.
[02:05:26.614 --> 02:05:29.476]  It also funds the InfoWar, a total 360 win.
[02:05:29.876 --> 02:05:32.458]  Icarin, available now at InfoWarsLife.com.
[02:05:33.925 --> 02:05:35.546]  You think our information's hardcore?
[02:05:35.906 --> 02:05:37.167]  You think our focus is brutal?
[02:05:37.388 --> 02:05:38.949]  Try our nutraceuticals.
[02:05:39.209 --> 02:05:40.009]  Try our supplements.
[02:05:40.290 --> 02:05:42.931]  We've taken BrainForce and made it BrainForce Plus.
[02:05:43.152 --> 02:05:46.914]  Now at 20% more in the bottle and an even more hardcore formula.
[02:05:47.355 --> 02:05:49.716]  You owe it to yourself to get these products.
[02:05:49.756 --> 02:05:52.238]  They really have worked for myself, my family.
[02:05:52.258 --> 02:05:54.400]  They have five-star reviews by the thousands.
[02:05:55.000 --> 02:05:58.543]  Secure your BrainForce Plus today at InfoWarsLife.com.
[02:05:58.563 --> 02:05:58.883]  Now 20% stronger.
[02:05:58.903 --> 02:05:59.603]  Again, InfoWarsLife.com.
[02:06:04.805 --> 02:06:11.013]  I've got a tiger by the tail that's plain to see.
[02:06:11.273 --> 02:06:14.938]  I won't be much when you get through with me.
[02:06:15.538 --> 02:06:17.641]  He never gives up.
[02:06:17.781 --> 02:06:23.869]  He's Alex Jones, broadcasting from deep in the heart of Texas, worldwide.
[02:06:33.514 --> 02:06:44.797]  Last Friday, I was reading the news that Tillerson was sick in Kenya and couldn't give speeches, and then my phone rang from a certain little birdie who's stuck on a plane that's late.
[02:06:44.817 --> 02:06:45.658]  He'll be with us tomorrow.
[02:06:46.538 --> 02:06:52.700]  And the certain little birdie bird told me that no, Tillerson was out, but that we need to wait on that.
[02:06:52.820 --> 02:06:54.160]  It might be a couple weeks.
[02:06:54.620 --> 02:06:56.881]  Well, he was actually fired that day.
[02:06:58.510 --> 02:07:00.331]  So we're waiting for Tillerson.
[02:07:00.351 --> 02:07:01.951]  They're saying to make a statement at the State Department.
[02:07:01.971 --> 02:07:03.211]  I guess he flew back from Africa.
[02:07:04.592 --> 02:07:07.372]  And so again, that just shows their disinfo.
[02:07:07.712 --> 02:07:13.014]  He wasn't feeling too well after he had his little talk with the Chief of Staff John Kelly.
[02:07:14.034 --> 02:07:15.014]  So we're going to be watching that.
[02:07:15.034 --> 02:07:19.936]  Can we punch up Fox for folks so people can see the press briefing room there?
[02:07:20.216 --> 02:07:21.136]  And we will watch that.
[02:07:22.640 --> 02:07:33.027]  As it develops, and again right there as you can see for TV viewers, we are watching that at 2.07 Eastern Time, 1.07 Central Standard Time.
[02:07:33.287 --> 02:07:46.335]  But I want to play this report, just to illustrate this for you from our own Paul Joseph Watson, that there they are, stopping Brittany Pettibone and Lauren Southern and others coming in.
[02:07:46.355 --> 02:07:50.558]  They've been to the UK many times, have no criminal records, they're journalists, to interview Tommy Robinson.
[02:07:52.287 --> 02:08:00.814]  But they let radical Islamists who are admittedly part of terror groups to come in and to go back and forth and even rehabilitate them and give them money and put them in government housing.
[02:08:01.134 --> 02:08:03.476]  So this just illustrates how the left's allied with Islam.
[02:08:03.496 --> 02:08:06.539]  Sadiq Khan's here in Austin, you know, calling for censorship.
[02:08:06.619 --> 02:08:07.680]  It just goes on and on.
[02:08:07.700 --> 02:08:09.461]  The Islamic mayor of London.
[02:08:09.721 --> 02:08:11.203]  So here's what's really happening in London.
[02:08:11.223 --> 02:08:12.684]  Here's Paul Joseph Watson's report.
[02:08:25.964 --> 02:08:29.245]  The UK is really good at keeping out extremists.
[02:08:29.285 --> 02:08:36.069]  You know, like when they kept out Iraqi extremist Ahmed Hassan after he told border officials he'd been trained to kill by ISIS.
[02:08:36.289 --> 02:08:38.109]  Oh no, they let him in and gave him asylum.
[02:08:38.129 --> 02:08:48.014]  But at least they deported him after he was caught watching ISIS videos and singing jihadi songs with the lyrics, We are coming with you to the slaughter in your home and country.
[02:08:48.154 --> 02:08:50.557]  Oh no, they didn't, and he went on to bomb a train.
[02:08:50.617 --> 02:08:52.520]  Okay, but wait, that's just one case.
[02:08:52.700 --> 02:09:02.333]  Yousef Zagbar, who in 2016 told officials, quote, I'm going to be a terrorist, and then went on to carry out the London Bridge terrorist attack a year later.
[02:09:02.373 --> 02:09:03.975]  It's not like we let that guy in.
[02:09:06.892 --> 02:09:07.012]  Oh.
[02:09:07.252 --> 02:09:16.635]  Sheikh Hamza Saudegar, who called for homosexuals to be burned to death and thrown off cliffs, was stopped from entering the UK when he tried to give a series of lectures in London.
[02:09:16.795 --> 02:09:18.656]  Oh no, he was given a visa and welcomed in.
[02:09:18.816 --> 02:09:21.376]  Okay, but some are gonna slip through the cracks, right?
[02:09:21.396 --> 02:09:23.097]  Syed Musafar Shah Qadri,
[02:09:23.237 --> 02:09:26.840]  A preacher considered so extreme he was banned in Pakistan.
[02:09:26.860 --> 02:09:32.105]  Someone who praised the murderer of a politician in Pakistan who spoke out against blasphemy laws.
[02:09:32.266 --> 02:09:34.908]  At least he was banned from the UK.
[02:09:34.968 --> 02:09:38.431]  No, he was allowed in and went on to do a speaking tour of British mosques.
[02:09:38.612 --> 02:09:47.480]  Okay, but Mohammed Naqib U Rehman and Hassam Hasib U Rehman, two Muslim clerics who praised the same assassin in Pakistan, they were kept out.
[02:09:47.560 --> 02:09:47.880]  Right?
[02:09:48.000 --> 02:09:48.140]  No.
[02:09:48.260 --> 02:09:50.562]  They were welcomed by the Archbishop of Canterbury.
[02:09:50.622 --> 02:09:52.102]  Okay, mistakes were made.
[02:09:52.222 --> 02:09:57.245]  But at least we stopped 400 returning ISIS jihadists from re-entering the UK.
[02:09:57.725 --> 02:09:58.045]  Right?
[02:09:58.165 --> 02:10:02.668]  At least we were serious enough about stopping extremism to make sure that didn't happen.
[02:10:02.728 --> 02:10:02.888]  No.
[02:10:02.968 --> 02:10:05.809]  They were all allowed in and then offered council housing and welfare.
[02:10:05.869 --> 02:10:14.774]  Okay, but at least the UK doesn't roll out the red carpet for leaders of Saudi Arabia, a country in which gay people are fined, arrested, imprisoned, tortured and killed!
[02:10:18.067 --> 02:10:18.167]  Oh.
[02:10:18.407 --> 02:10:21.871]  So what extremists are we stopping from entering the UK?
[02:10:21.911 --> 02:10:29.419]  Martin Sellner, a right-wing activist who planned to give a speech in Speaker's Corner Hyde Park about the threat to free speech.
[02:10:29.479 --> 02:10:29.939]  Banned.
[02:10:30.119 --> 02:10:38.287]  Brittany Pettibone, an author and activist who planned to conduct an interview with Tommy Robinson, a national figure who's made numerous appearances on national television.
[02:10:38.368 --> 02:10:38.708]  Banned.
[02:10:39.008 --> 02:10:43.971]  Lauren Southern, a conservative journalist who planned to make videos and work on a documentary.
[02:10:43.991 --> 02:10:44.491]  Banned!
[02:10:44.672 --> 02:10:49.455]  Lauren was specifically banned for handing out leaflets which said, Allah is a gay God.
[02:10:49.535 --> 02:10:57.339]  Maybe if she'd have just represented a country that enforces the industrial persecution of homosexuals, she'd have been embraced with open arms.
[02:10:58.609 --> 02:11:03.614]  It's also interesting how Pettibone was detained and deported for attempting to interview Tommy Robinson.
[02:11:03.694 --> 02:11:10.881]  A fate that didn't await journalists from ABC and NBC News when they arrived in the UK to interview Tommy Robinson.
[02:11:10.921 --> 02:11:16.247]  Now just indulge me for a second, but it's almost as if all these reasons are absolute bulls**t.
[02:11:16.807 --> 02:11:28.615]  And the real reason for them being banned is that the UK is an authoritarian country, which has de facto begun enforcing blasphemy laws that make criticism of Islam, which is a belief system and not a race, a criminal offense.
[02:11:28.655 --> 02:11:29.696]  Okay, let's stop right there.
[02:11:30.417 --> 02:11:31.698]  We'll come back with more of this in a moment.
[02:11:31.718 --> 02:11:41.364]  Let's go to the Secretary of State, former Secretary of State, outgoing Rex Tillerson, sacked with his deputy, Goldstein removed as well as Trump purges the neocons and globals.
[02:11:41.384 --> 02:11:41.885]  Let's go to this.
[02:11:42.125 --> 02:11:51.671]  Most important is to ensure an orderly and smooth transition during a time that the country continues to face significant policy and national security challenges.
[02:11:54.173 --> 02:12:02.258]  As such, effective at the end of the day, I'm delegating all responsibilities of the Office of the Secretary to Deputy Secretary of State Sullivan.
[02:12:03.919 --> 02:12:08.081]  My commission as Secretary of State will terminate at midnight March the 31st.
[02:12:10.797 --> 02:12:23.034]  Between now and then, I will address a few administrative matters related to my departure and work towards a smooth and orderly transition for Secretary of State-designate Mike Pompeo.
[02:12:26.278 --> 02:12:39.903]  I'm encouraging my policy planning team and undersecretaries and assistant secretaries, those confirmed, as well as those in acting positions, to remain at their post and continue our mission at the State Department.
[02:12:40.504 --> 02:12:45.025]  And my office team and policy planning later today to thank them for their service.
[02:12:46.146 --> 02:12:53.789]  They have been extraordinarily dedicated to our mission, which includes promoting values that I view as being very important.
[02:12:54.815 --> 02:12:57.676]  For the safety and security of our State Department personnel.
[02:12:58.756 --> 02:13:02.817]  Accountability, which means treating each other with honesty and integrity.
[02:13:03.897 --> 02:13:05.078]  And respect for one another.
[02:13:06.558 --> 02:13:11.639]  Most recently, in particular, to address challenges of sexual harassment within the Department.
[02:13:14.680 --> 02:13:23.082]  I want to speak now to my State Department colleagues and to our interagency colleagues and partners at DOD and the Joint Chiefs of Staff, most particularly.
[02:13:24.474 --> 02:13:30.080]  To my Foreign Service officers and civil service colleagues, we all took the same oath of office.
[02:13:31.241 --> 02:13:37.847]  Whether you're a career, employee, or political appointee, we are all bound by that common commitment.
[02:13:39.208 --> 02:13:40.950]  To support and defend the Constitution.
[02:13:42.432 --> 02:13:44.734]  To bear true faith and allegiance to the same.
[02:13:46.192 --> 02:13:48.456]  And to faithfully discharge the duties of our office.
[02:13:48.756 --> 02:13:49.657]  Well, this is all coded.
[02:13:50.338 --> 02:13:52.682]  As a State Department, we're bound together by that oath.
[02:13:52.862 --> 02:13:53.723]  This is really cryptic.
[02:13:53.763 --> 02:13:58.751]  We remain steadfast here in Washington and at post across the world.
[02:13:59.927 --> 02:14:03.270]  This is some kind of signal to stay behind networks.
[02:14:03.310 --> 02:14:04.470]  He's really proven to be a double agent.
[02:14:04.490 --> 02:14:05.171]  This is all coded.
[02:14:30.476 --> 02:14:36.859]  These are experiences that no lecture hall in an academic environment or at a think tank can teach you.
[02:14:37.980 --> 02:14:42.942]  Only by people going to the front lines to serve can they develop this kind of talent.
[02:14:44.503 --> 02:14:56.969]  To the men and women in uniform, I'm told for the first time in most people's memory, the Department of State and Department of Defense have a close working relationship where we all agree the U.S.
[02:14:56.989 --> 02:14:59.310]  leadership starts with diplomacy.
[02:15:00.931 --> 02:15:11.493]  The men and women in uniform at the Department of Defense, under the leadership of Secretary Mattis and General Dunford, protect us as Americans and our way of life daily, at home and abroad.
[02:15:13.314 --> 02:15:25.276]  As an all-volunteer military... Alright, he's just basically virtue signaling now, but that earlier stuff about taking the oath and everybody needs to stay at their posts and everything, that was... Stay your post, I guess means deep state.
[02:15:26.716 --> 02:15:29.057]  Stay there, hang on, cavalry's coming.
[02:15:30.945 --> 02:15:32.525]  Let me tell you, there's major infiltration.
[02:15:32.565 --> 02:15:36.366]  And look, I'm not even saying Tillerson's a bad guy, but he's a yes man.
[02:15:36.386 --> 02:15:39.207]  He can't handle the pressure of what I'm sure they've done to him.
[02:15:41.127 --> 02:15:52.369]  But the word is, he's being removed and was so stunned by what he was told Friday that he couldn't be seen for a day because people try to cover their butts.
[02:15:53.249 --> 02:15:55.070]  Lottie, there's no covering your butt in this battle.
[02:15:56.050 --> 02:15:57.230]  We're going in, we're going in 100%.
[02:15:57.530 --> 02:15:58.371]  Get that through your head.
[02:15:58.431 --> 02:15:58.971]  We'll be right back.
[02:16:04.287 --> 02:16:06.688]  Our latest product, by the way, is Immunewald.
[02:16:07.428 --> 02:16:09.528]  It's very, very affordable at $29.95.
[02:16:10.129 --> 02:16:11.969]  It's 25% off out of the gates.
[02:16:12.509 --> 02:16:18.591]  And we set out with beta glucans, olive leaf, and a bunch of other key compounds that are absolutely documented.
[02:16:18.631 --> 02:16:23.012]  We can even make claims about what this does to
[02:16:23.872 --> 02:16:29.881]  Bolster your immune system and make you healthier, especially if you're going to be traveling, or you're under stress, or it's in the winter months.
[02:16:30.422 --> 02:16:32.685]  This is something everybody should be taking.
[02:16:32.745 --> 02:16:37.712]  Wellmune is patented and documented in all the hundreds of studies.
[02:16:38.774 --> 02:16:39.595]  Then you got the Ancient.
[02:16:39.815 --> 02:16:45.400]  That stuff there as well, the organic olive leaf extract is what the Roman soldiers would take whenever they started getting sick.
[02:16:45.821 --> 02:16:49.264]  Just chop full of all those key enzymes and vitamin C and so much more.
[02:16:49.704 --> 02:16:55.770]  Then it's got all the concentrated highest quality organic types of mushrooms that are documented for your body.
[02:16:55.810 --> 02:17:01.155]  And then concentrated citrus peel, orange peel, lemon peel, organic orange peel.
[02:17:02.657 --> 02:17:05.820]  It's all there, ladies and gentlemen, and I'm not going to sit here and hype this product up.
[02:17:06.943 --> 02:17:09.744]  So whether it's the sleep aid knockout you need, which is amazing.
[02:17:09.904 --> 02:17:12.885]  Melatonin's on average $19, $19.95 a bottle.
[02:17:12.965 --> 02:17:14.345]  And a lot of it's not even organic type.
[02:17:14.685 --> 02:17:19.026]  And I said, I talked to the big organic producer companies that we have make it, and I said, how much are you in that?
[02:17:19.626 --> 02:17:25.968]  They said on average about maybe a dollar of melatonin, and then the container costs 50 cents or so, or less.
[02:17:27.369 --> 02:17:41.113]  And I said, so, I can put the same amount of melatonin in, make it a bigger capsule that's powdered so you can actually absorb it, and then add L-tryptophan, valerian root, lemon balm, chamomile, and several other things.
[02:17:41.433 --> 02:17:42.293]  And I checked with scientists.
[02:17:42.333 --> 02:17:43.353]  None of them interact badly.
[02:17:43.373 --> 02:17:44.093]  They're all from nature.
[02:17:44.113 --> 02:17:44.934]  They're all healthy.
[02:17:44.974 --> 02:17:46.774]  They all have good, you know, good clean records.
[02:17:47.054 --> 02:17:49.615]  And then you get a sleep unlike other systems.
[02:17:50.993 --> 02:17:57.139]  Randall Wilhite, his name is on the Texas Family Code, the last four or five issues, and he writes the Texas Law Family Code.
[02:17:57.159 --> 02:17:59.061]  He's one of the top family law lawyers in the country.
[02:17:59.081 --> 02:18:00.923]  The point is, he's a smart guy.
[02:18:00.943 --> 02:18:03.826]  You know, doesn't smoke marijuana, doesn't drink.
[02:18:03.846 --> 02:18:06.629]  He goes, man, I gotta really thank you.
[02:18:07.170 --> 02:18:08.751]  I am sleeping eight hours through the night.
[02:18:08.771 --> 02:18:10.794]  I only have to take one knockout.
[02:18:12.017 --> 02:18:15.141]  I've gone and showed, you know, UT Science this and everything else.
[02:18:15.181 --> 02:18:16.023]  This is insane.
[02:18:16.483 --> 02:18:17.425]  Wow, it's incredible.
[02:18:17.445 --> 02:18:19.487]  I've taken melatonin stuff by itself and it didn't help.
[02:18:19.648 --> 02:18:20.849]  Wow, this is incredible.
[02:18:21.150 --> 02:18:22.231]  And I said, yeah, I don't know.
[02:18:22.271 --> 02:18:27.218]  I just had the idea to mix everything known, you know, scientifically and in the wives' tales together to make you sleep.
[02:18:27.338 --> 02:18:28.279]  And, you know, it's powerful.
[02:18:28.920 --> 02:18:30.062]  And they're all game changers.
[02:18:30.102 --> 02:18:34.930]  You need to really go read the third-party reviews or power reviews and others that we have linked.
[02:18:35.551 --> 02:18:39.037]  Our average review on InfoWareStore.com, there's more than 40,000 reviews now, is 94%.
[02:18:43.689 --> 02:18:48.991]  They even had media investigations with BuzzFeed and people calling them going, we want to see it, it must be fake.
[02:18:49.011 --> 02:18:51.271]  They're like, no, it's really real.
[02:18:52.572 --> 02:18:56.393]  So they've had campaigns that people go on there and try to vote stuff down.
[02:18:56.433 --> 02:19:06.236]  I mean, they are just so angry where they test our stuff and test it and test it in California labs that has stuff nine times higher than EU that has the next highest standards.
[02:19:06.556 --> 02:19:12.584]  I mean, basically, there's more lead in the air in California than you can, quote, put in a supplement or any other product, unless you call it a food product.
[02:19:12.884 --> 02:19:15.367]  But 60-something of our products are all California standard.
[02:19:15.387 --> 02:19:20.774]  But if you've got something that's got, I don't know, 10, 15 ingredients in it, and it's also a large serving like Caveman?
[02:19:21.094 --> 02:19:23.697]  Yes, ladies and gentlemen, any can of chicken noodle soup.
[02:19:24.378 --> 02:19:27.220]  Has probably five times the lead California says is allowed.
[02:19:27.340 --> 02:19:28.100]  It's just insane.
[02:19:28.521 --> 02:19:31.663]  And then we test and test and test more than anybody we know of because we know.
[02:19:31.683 --> 02:19:34.084]  Now we're under a microscope, ladies and gentlemen.
[02:19:34.625 --> 02:19:36.846]  But thank you for committing to get the great products.
