[00:00:29.647 --> 00:00:50.156]  I'm watching the midterms, then you would think our country is Mad Max Thunderdome.
[01:52:50.686 --> 01:52:51.947]  Senate seat.
[01:52:52.167 --> 01:52:56.352]  Rasmussen has an eerie record for accuracy.
[01:52:57.473 --> 01:53:01.297]  I'm uncertain of their methodology, but you can't argue with results.
[01:53:01.798 --> 01:53:03.259]  I certainly hope that he is right.
[01:53:03.960 --> 01:53:07.102]  I do think we've come a long way from behind.
[01:53:07.162 --> 01:53:11.284]  In other words, I do think pre-Kavanaugh, we were heading for a drubbing.
[01:53:11.764 --> 01:53:18.547]  Kavanaugh, I think, galvanized the President's base, and people saw the lawlessness of the Democrats.
[01:53:18.847 --> 01:53:23.209]  They saw them actively promoting violence, and they didn't like it.
[01:53:23.409 --> 01:53:27.491]  And they saw the attempted lynching of Judge Kavanaugh, and they didn't like it.
[01:53:27.591 --> 01:53:31.733]  And now, the media, the controlled media, just totally cut it off once we didn't buy it.
[01:53:33.354 --> 01:53:34.495]  Well, uh, if you...
[01:53:55.984 --> 01:54:00.868]  If you want to see what's going to happen if the Democrats take the House, look at the Kavanaugh example.
[01:54:01.308 --> 01:54:04.090]  This was the dress rehearsal for the takedown of Donald Trump.
[01:54:04.510 --> 01:54:06.151]  This was their dry run.
[01:54:06.512 --> 01:54:08.073]  You're going to see a duplicate.
[01:54:08.173 --> 01:54:19.421]  If the Democrats take the House, Jerry Nadler and Adam Schiff and Eric Swalwell and other vermin like that will move articles of impeachment against the President.
[01:54:19.741 --> 01:54:23.064]  Since they have nothing on Russian collusion, nothing at all,
[01:54:23.684 --> 01:54:30.348]  They're going to recycle the 19 women who made false accusations against our president during the 2016 campaign.
[01:54:30.808 --> 01:54:39.593]  They will have no more evidence than the accusers of Kavanaugh, but we're going to be told they must be believed because they're survivors.
[01:54:40.294 --> 01:54:43.436]  This is coming as sure as night comes after day.
[01:54:44.597 --> 01:54:45.438]  If we lose the House.
[01:54:45.578 --> 01:54:52.844]  You predicted a year ago that the way they were setting it up to come after you last, and I guess my name's in the hopper too, that they're planning to hang everything on you.
[01:54:52.984 --> 01:55:02.631]  That's now admitted with no evidence, absolutely ridiculous, that they're planning to hang the entire Russia fable, the fiasco, on you.
[01:55:02.932 --> 01:55:10.237]  And they're saying all over the news, is there any truth to it, because they lie so much, Politico, New York Times, Washington Post, that right after the election that
[01:55:11.458 --> 01:55:14.160]  That Mueller's going to the barrels, whatever that means?
[01:55:14.640 --> 01:55:17.002]  What they're saying is it's Stone's time in the barrel.
[01:55:17.042 --> 01:55:19.744]  Look, there's a lot of fiction and disinformation out there.
[01:55:19.864 --> 01:55:23.266]  Newsweek, the New York Times, and others.
[01:55:23.566 --> 01:55:29.650]  The truth is, there is no evidence whatsoever that I had received, had communication with Assange.
[01:55:30.290 --> 01:55:40.097]  There's no evidence that I received anything including allegedly hacked emails from him, or the Russians, or WikiLeaks, or Guccifer, or Jerry Corsi, or Santa Claus.
[01:55:40.817 --> 01:55:44.140]  It's a false, it's a canard, a fairy tale.
[01:55:44.940 --> 01:55:49.203]  So will they try to hook up some phony charge against me?
[01:55:49.223 --> 01:55:55.308]  Yeah, because I was effective in helping elect our president, because the left hates me because of it.
[01:55:56.008 --> 01:56:01.354]  I wasn't hyping the WikiLeaks disclosures to aggrandize myself, Alex.
[01:56:01.855 --> 01:56:06.961]  I was hyping them so that the voters and the media would pay attention to the news.
[01:56:06.981 --> 01:56:08.463]  Well, that was our whole strategy.
[01:56:08.963 --> 01:56:09.764]  We set it on air.
[01:56:09.804 --> 01:56:10.845]  We hyped it all up.
[01:56:11.246 --> 01:56:11.746]  Everybody did.
[01:56:12.307 --> 01:56:14.787]  But the point is, I acted on the basis of a tip.
[01:56:15.088 --> 01:56:17.708]  The tipster now denies that he gave me that tip.
[01:56:18.068 --> 01:56:19.228]  He has perjured himself.
[01:56:20.368 --> 01:56:33.131]  Mr. Mueller is well aware of the fact that there's an exculpatory witness that they have interviewed, who confirmed that Randy Credico, the progressive radio host, told me that this was coming, told me that it was big.
[01:56:33.211 --> 01:56:39.632]  Well, I don't want to get sucked into this, but you told me it's a talk show host in New York, he's going to England, I hope he gets a meeting and finds out what's in it.
[01:56:40.072 --> 01:56:46.534]  But Wikileaks has said that it's going to really embarrass Clinton and Podesta because Assange had said that on TV.
[01:56:46.674 --> 01:56:48.874]  Well, I was constantly trying to find out what was in there.
[01:56:49.114 --> 01:56:51.375]  I could never find out the substance or the source.
[01:56:51.575 --> 01:56:52.515]  I didn't know either.
[01:56:53.055 --> 01:57:02.838]  All I was told by my source beginning in early July and then with greater specificity afterwards that it was big, devastating, a bombshell, was going to take
[01:57:02.998 --> 01:57:07.179]  And it certainly was, and when he didn't release it when he was supposed to, Sons, we got mad at him.
[01:57:07.619 --> 01:57:10.720]  That's true, but here's the small print.
[01:57:11.180 --> 01:57:21.483]  When he did not release it on October 2nd, he said, according to Politico, that there would be weekly releases for the next 10 weeks, and that all of the U.S.
[01:57:21.623 --> 01:57:26.944]  election-related material would be released in the weeks before the election.
[01:57:27.284 --> 01:57:29.825]  The Washington Post reported that as, quote,
[01:57:30.385 --> 01:57:35.330]  Assange made vague predictions about future releases.
[01:57:35.671 --> 01:57:38.013]  So nothing I told... Alright, stay there.
[01:57:38.353 --> 01:57:44.300]  Ride shotgun with me, but let's do five more minutes on who you blame in the Republican Party if we lose this.
[01:57:44.380 --> 01:57:49.205]  Because it's not about blame, it's about seeing where they failed and let the Democrats engage in fraud.
[01:57:51.980 --> 01:58:00.208]  It's really hard to have the energy at the end of the day to still get to the gym or to go for a run or go to the park or heck, even take your dog for a walk.
[01:58:00.388 --> 01:58:01.649]  Believe me, I know.
[01:58:01.869 --> 01:58:06.193]  I spend hours in front of a screen and then hours in front of bright lights every day.
[01:58:06.613 --> 01:58:11.618]  But thanks to super male vitality at Infowarstore.com, I still have that energy.
[01:58:11.858 --> 01:58:32.086]  There's no way I could have the energy at the end of a long day to fight back against the chemicals in the food and water, to fight back against the modern-day lifestyle with the screen time and the extended hours, to still have the stamina and endurance, energy and drive to get to the gym, get to the park, and get exercise that you need for your health.
[01:58:32.586 --> 01:58:36.348]  So go to Infowarsstore.com and get Supermail Vitality before it's gone.
[01:58:36.368 --> 01:58:40.049]  This is actually our last run of Supermail Vitality.
[01:58:40.289 --> 01:58:44.811]  So I want you to experience Supermail Vitality before it's too late.
[01:58:45.331 --> 01:58:47.332]  Unleash the Supermail in you.
[01:58:48.053 --> 01:58:50.534]  Supermail Vitality from Infowarsstore.com.
[01:58:51.960 --> 01:58:58.742]  Whether you're looking to boost the benefits of our fish oil formula or just want an alternative, InfoWars Life has the formula for you.
[01:58:59.442 --> 01:59:08.104]  Ultimate Krill Oil is a powerhouse formula that takes advantages of the EPA, DHA, and Omega-3s found in our high-quality, ultra-pure krill oil concentrate.
[01:59:08.684 --> 01:59:17.686]  Containing powerful antioxidants such as astaxanthin and Omega-3s, Ultimate Krill Oil can help you experience the benefits of fish oil with less required DHA and EPA.
[01:59:18.653 --> 01:59:29.421]  This incredible formula can help your body in many ways, including supporting heart health, joint health, and cognitive health, aiding and regulating fat metabolism, helping to maintain cognitive function, and more.
[01:59:30.101 --> 01:59:39.208]  And while other krill oil formulas may chemically modify their formulas, we're giving you the benefits of a simple formula that contains unmodified, high-quality krill oil concentrate.
[01:59:39.648 --> 01:59:41.988]  Paired with our Ultimate Fish Oil or used separately.
[01:59:42.389 --> 01:59:45.769]  It's time to see what Krill Oil can do for you with Ultimate Krill Oil.
[01:59:46.049 --> 01:59:48.610]  Now available at InfoWarsStore.com.
[01:59:54.191 --> 02:00:00.152]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:00:04.172 --> 02:00:08.193]  When I was summoned from Montgomery, I had my guitar on my back.
[02:00:10.165 --> 02:00:13.748]  When a stranger stopped beside me in an antique Cadillac.
[02:00:14.869 --> 02:00:19.734]  He was dressed like 1950, half drunk and hollow-eyed.
[02:00:20.435 --> 02:00:24.839]  He said, it's a long walk to Nashville, would you like to ride?
[02:00:25.219 --> 02:00:27.341]  Waging war on corruption.
[02:00:27.862 --> 02:00:32.666]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[02:00:32.686 --> 02:00:34.268]  I sat down in the front seat.
[02:00:35.216 --> 02:00:36.798]  You know, as you said, Roger...
[02:00:48.385 --> 02:00:51.849]  The president needs to take action a year ago on the censorship.
[02:00:51.949 --> 02:00:53.130]  Now it's just rampant.
[02:00:53.170 --> 02:00:54.411]  But I understand he can't do everything.
[02:00:54.431 --> 02:00:55.112]  He's not perfect.
[02:00:55.652 --> 02:01:05.843]  But since you brought it up, here's a clip of him just yesterday talking to Axios for HBO, saying they are looking at going after them, Big Tech, for antitrust violations.
[02:01:06.834 --> 02:01:09.196]  So we want to talk about what's been happening on social media.
[02:01:09.216 --> 02:01:13.499]  A lot of people questioning whether or not these companies are getting too big, too fast.
[02:01:13.539 --> 02:01:14.860]  Your Facebooks, your Amazons.
[02:01:15.120 --> 02:01:20.304]  Have you put thought into how Amazon and Facebook specifically should be regulated?
[02:01:20.724 --> 02:01:26.448]  You look at the European Union, they find, I guess it was Google, billions of dollars.
[02:01:27.369 --> 02:01:31.232]  And frankly, I don't like that they're doing that because that's an American company.
[02:01:31.272 --> 02:01:32.753]  I don't think it's good that they're doing that.
[02:01:33.073 --> 02:01:35.415]  But if anybody does that, that should be us doing it.
[02:01:36.115 --> 02:01:37.978]  That shouldn't be the European Union.
[02:01:37.998 --> 02:01:39.340]  Do you think he'll regulate in the first term?
[02:01:39.620 --> 02:01:45.087]  You know, you get into the whole thing with freedom of speech and what do you think and... But what about monopoly?
[02:01:45.207 --> 02:01:47.250]  What about saying the Justice Department look into that?
[02:01:47.330 --> 02:01:52.017]  I have so many people saying that, but it's certainly something that we have looked at and are looking at.
[02:01:52.037 --> 02:01:52.958]  Would you ever break them up?
[02:01:53.418 --> 02:01:54.799]  They were talking about this years ago.
[02:01:54.839 --> 02:02:01.785]  You know, they were actually talking about this same subject, monopoly, years ago, long before I was in office.
[02:02:01.805 --> 02:02:02.866]  Do you think you were the man to do it?
[02:02:02.886 --> 02:02:08.250]  In fact, a lot of people thought it was going to happen, and then I guess a previous administration stopped it from happening.
[02:02:08.270 --> 02:02:09.090]  But you're in charge now?
[02:02:09.671 --> 02:02:10.271]  I am in charge.
[02:02:10.331 --> 02:02:12.913]  I am definitely in charge, and we are certainly looking at it.
[02:02:12.933 --> 02:02:13.754]  This is antitrust?
[02:02:14.614 --> 02:02:15.295]  Antitrust, yes.
[02:02:15.315 --> 02:02:16.356]  For Amazon?
[02:02:17.036 --> 02:02:18.718]  For all three.
[02:02:20.202 --> 02:02:20.962]  Now let me just stop.
[02:02:21.382 --> 02:02:26.363]  I personally, working with law firms and with Mike Adams and other groups, wrote three briefs that we got to the President.
[02:02:26.823 --> 02:02:35.025]  And I made the point, Mr. President, I'm all about not regulating, but the EU and others are already coming in with regulation because there's a vacuum.
[02:02:35.045 --> 02:02:38.986]  Because we're not regulating, they're bringing in the demands of censorship and control.
[02:02:39.006 --> 02:02:42.407]  And it's a cartel decision, so it's an antitrust decision.
[02:02:42.727 --> 02:02:46.628]  It's not a free speech issue because they're working in conjunction from outside pressure.
[02:02:47.288 --> 02:02:51.751]  And I was told the President specifically called in his lawyers and said that made perfect sense.
[02:02:52.131 --> 02:02:53.813]  That was three months ago, two months ago.
[02:02:54.133 --> 02:02:57.295]  To see it bearing fruit now right there is very, very exciting.
[02:02:57.535 --> 02:03:01.197]  Because here's the deal, all the other lawyers are scared to do this themselves in D.C.
[02:03:01.217 --> 02:03:07.742]  So I went out, spent the money, got the groups together, had the listeners hammer the White House with it, but also got it hand-delivered to him.
[02:03:08.022 --> 02:03:16.748]  So I gotta say, another big win, another big, fat, juicy torpedo that we have gotten to the President that he now is about to fire at the enemy.
[02:03:17.748 --> 02:03:18.929]  I think he gets it, Alex.
[02:03:19.589 --> 02:03:21.590]  I think in his heart he understands the issue.
[02:03:21.750 --> 02:03:25.271]  The question he's got is that he has an unresponsive Justice Department.
[02:03:25.772 --> 02:03:29.173]  This is also true in the area of voter security.
[02:03:29.973 --> 02:03:37.296]  I really fear massive fraud tomorrow because the Justice Department in this administration has done nothing to secure an honest vote.
[02:03:37.376 --> 02:03:41.198]  We're going to have widespread voter fraud in states like California and New York.
[02:03:42.318 --> 02:03:51.565]  I spoke to a New York police officer this morning, NYPD, who says the number of illegals voting in New York in his precinct are beyond belief.
[02:03:51.665 --> 02:03:55.008]  He knows because he works with ICE rounding them up.
[02:03:55.148 --> 02:03:56.089]  That's what he does.
[02:03:56.109 --> 02:04:00.232]  So you have massive voter fraud going on across the country.
[02:04:00.252 --> 02:04:01.132]  You've got to come back.
[02:04:01.573 --> 02:04:09.318]  You've got to stay then because we've got the head of Breitbart Texas on right now and I want you to talk about this because we have all the famous videos of Veritas.
[02:04:10.519 --> 02:04:19.144]  And they're there, you know, showing the head of New York voting operations saying, oh, we load the illegals and homeless up, we have them all vote ten times apiece.
[02:04:19.464 --> 02:04:21.525]  Yeah, it happens regularly in New York State.
[02:04:21.565 --> 02:04:26.067]  So when Andrew Cuomo wins big tonight, don't think that that's a mandate, because it's not.
[02:04:26.468 --> 02:04:28.689]  It's the result of massive voter fraud.
[02:04:29.429 --> 02:04:31.171]  We'll stay there for the rest of the hour.
[02:04:31.231 --> 02:04:31.951]  I'd shotgun with us.
[02:04:31.971 --> 02:04:34.814]  We have the head of Breitbart, Texas joining us coming up.
[02:04:35.254 --> 02:04:36.996]  Brandon Darby in just 60 seconds.
[02:04:37.036 --> 02:04:39.298]  Folks, we have a huge audience.
[02:04:39.378 --> 02:04:39.578]  You.
[02:04:39.618 --> 02:04:40.299]  You're wonderful.
[02:04:40.319 --> 02:04:42.481]  You're the heart and soul and blood of this country and the world.
[02:04:43.061 --> 02:04:48.706]  But without you spreading the links to InfoWars.com forward slash show and the link on the main page of InfoWars.
[02:04:48.806 --> 02:04:50.187]  Watch our live election coverage.
[02:04:50.468 --> 02:04:52.349]  The video links, the audio links won't get out to people.
[02:04:52.730 --> 02:04:53.550]  Send it out to everybody.
[02:04:53.630 --> 02:04:54.591]  Text message it, please.
[02:04:54.932 --> 02:04:56.253]  Call friends and family and say watch
[02:05:02.536 --> 02:05:11.820]  The globalists know that if they suppress the good halogen and pump the environment full of the bad halogens, fluoride, chlorine, bromine, you name it, that it lowers IQ.
[02:05:11.860 --> 02:05:14.142]  It literally dumbs the population down.
[02:05:14.742 --> 02:05:20.805]  And on our quest to bring our listeners and viewers the best iodine in the world, we've gone through two permutations.
[02:05:21.485 --> 02:05:27.307]  First, seaweed-based iodine that was pretty good, but hard to source, and the Globels tried to block us getting a supply of it.
[02:05:27.767 --> 02:05:33.370]  So we discovered deep-earth crystals of pure nascent iodine and brought you X2 that's been incredible.
[02:05:34.090 --> 02:05:41.053]  Now, due to the establishment trying to block that, we did more research and secured more of the deep-earth crystals of nascent iodine.
[02:05:42.213 --> 02:05:54.760]  Chemists, scientists, and others showed us the research that by combining it with three other compounds, two forms of iodine and vitamin C, it supercharges it and makes it even more bioavailable.
[02:05:55.281 --> 02:05:59.043]  Ladies and gentlemen, you want to research it, you want to see it, it's an incredible discovery.
[02:05:59.543 --> 02:06:02.265]  X3, now available at InfoWarsLife.com.
[02:06:13.459 --> 02:06:17.405]  If you are receiving this transmission, you are the resistance.
[02:06:17.825 --> 02:06:20.149]  You're listening to Alex Jones.
[02:06:35.205 --> 02:06:38.107]  We are broadcasting worldwide already into the third hour.
[02:06:38.128 --> 02:06:40.329]  We're going till midnight tonight with live coverage.
[02:06:40.449 --> 02:06:46.695]  Roger Stone with us as he was two years ago on the eve of the election and the night of the election.
[02:06:46.975 --> 02:06:51.459]  He'll be with us right through tomorrow night with 24-hour live coverage right through the evening.
[02:06:51.499 --> 02:06:53.721]  He's riding shotgun with us right now.
[02:06:54.201 --> 02:06:58.024]  Now, Brandon Darby, I want to get him in studio sometime because he's a fellow Texan for a full hour.
[02:06:59.005 --> 02:07:00.807]  Because, I mean, I'll admit something.
[02:07:00.827 --> 02:07:08.674]  It was like 10 years ago, I have writers here that are no longer here, and one of them wrote an article about Mr. Darby, which I later learned was not true.
[02:07:08.694 --> 02:07:14.079]  It was actually an article like defending Antifa from the Infowars perspective.
[02:07:14.139 --> 02:07:15.000]  Boy, I gotta tell you.
[02:07:15.280 --> 02:07:16.902]  And that's just a side note.
[02:07:17.362 --> 02:07:24.210]  Mr. Darby's been demonized by the left, they've made false documentaries about him, you name it, and now I've gotten to experience that myself.
[02:07:24.230 --> 02:07:30.036]  So I've apologized before without him on the air, but I apologize for getting things wrong a decade ago, but now we're getting them right.
[02:07:30.677 --> 02:07:38.645]  Brandon Darby, Breitbart.com, he is their Texas editor, Texas head, at Brandon Darby on Twitter, and he joins us
[02:07:39.286 --> 02:08:02.863]  Really, to give us an update, spending much of his time on the Texas border, Arizona border, working with ICE, about the caravan, about Beto, and reportedly the Project Veritas information, but also just the level of MS-13 lawlessness and how dangerous this is, and how crazy it is to see Nancy Pelosi and others call them all God's children, and why is the left allying with not just illegals, but the most
[02:08:03.263 --> 02:08:04.964]  criminal types out there.
[02:08:04.984 --> 02:08:13.930]  And as Roger Stone just added, if you just joined us, listeners and viewers, where Brandon missed it five minutes ago, he was talking to an NYPD detective that he knows quite well that works with ICE.
[02:08:13.970 --> 02:08:16.552]  He said, listen, I've never seen so many illegal aliens voting.
[02:08:17.092 --> 02:08:19.854]  And of course, Project Veritas exposed all that with undercover video.
[02:08:19.874 --> 02:08:23.897]  So, Brandon, you're really the expert in the two segments we have, so you can lead us here.
[02:08:24.217 --> 02:08:26.819]  Where do you want to start on the real situation on the border?
[02:08:26.839 --> 02:08:28.340]  Because you're one of the leading experts.
[02:08:30.152 --> 02:08:34.815]  First off, Alex, thank you for having me on and thank you for what you said while I wasn't on.
[02:08:35.456 --> 02:08:36.356]  That meant a lot to me.
[02:08:38.558 --> 02:08:41.060]  Like most things in the world, everything is complex.
[02:08:41.080 --> 02:08:41.440]  There's nuance.
[02:08:43.556 --> 02:08:48.518]  There's complexity to everything, and the border is the same exact way.
[02:08:48.538 --> 02:08:52.400]  You know, we have a southwest border that's made up of nine sectors, right?
[02:08:52.440 --> 02:08:53.080]  That's the U.S.
[02:08:53.100 --> 02:08:57.762]  border with Mexico, and all of those nine sectors are dealing with something very different.
[02:08:58.022 --> 02:09:01.624]  Some of those sectors have multiple things they're dealing with.
[02:09:01.684 --> 02:09:03.465]  Every 40 miles is different, right?
[02:09:03.505 --> 02:09:10.448]  And what the Border Patrol agents deal with, and what the Mexican cartels are trying to do, and the way that the Mexican cartels operate.
[02:09:10.928 --> 02:09:13.813]  So we, in Texas, we have several sectors.
[02:09:13.833 --> 02:09:19.123]  We have the Rio Grande Valley sector, the Laredo sector, and the Del Rio sector.
[02:09:19.183 --> 02:09:21.848]  That's all the ones against the coast, right, going from east to west.
[02:09:22.992 --> 02:09:25.614]  And we're dealing with Los Zetas and the Gulf Cartel.
[02:09:26.094 --> 02:09:34.418]  And those are really the most brutal cartels along the border, across the entire US-Mexico border, because of the way that they do business.
[02:09:34.439 --> 02:09:44.324]  So it's very important, and it's very good that you're having your listeners, that you're talking about this and that you're bringing me on to talk about it, because we really do have threats, not only to us,
[02:09:44.884 --> 02:09:55.890]  But even liberals who are constantly worried about the migrants and constantly worried about Mexico, well it turns out what's currently happening, not only does it hurt us, but it also hurts Mexico.
[02:09:55.950 --> 02:10:04.134]  We're perpetuating the oppression, we're perpetuating the very systems that people are trying to get away from in the first place by allowing this to continue.
[02:10:05.945 --> 02:10:06.506]  Break that down.
[02:10:06.546 --> 02:10:11.651]  Is it allowing the lawlessness that goes back and forth from Central America to North America into the U.S.?
[02:10:12.712 --> 02:10:16.756]  I mean, is that what allows Mexico to stay so failed?
[02:10:17.904 --> 02:10:18.785]  Well, here's what happens.
[02:10:18.825 --> 02:10:23.389]  So, in Mexico, you have organized criminal circles or networks, right?
[02:10:23.869 --> 02:10:30.134]  And the cartel, the drug dealing part, is just one small part of that criminal network.
[02:10:30.655 --> 02:10:41.484]  Well, that criminal network, in the case of Los Zetas and the Gulf Cartel, they make as much or more from illegal immigration than they make from narcotics.
[02:10:42.111 --> 02:10:49.456]  So they're actually, you could call them drug cartels, or you could call them illegal immigration cartels, or migrant trafficking cartels.
[02:10:50.417 --> 02:10:53.999]  So what happens is, these networks have power in Mexico.
[02:10:54.940 --> 02:10:59.083]  They have so much power that they have someone who works in all of the news outlets.
[02:10:59.643 --> 02:11:02.525]  That person in the news outlet is called the link, and that link
[02:11:03.268 --> 02:11:22.781]  Tells them it works for the cartel and tells them what they can and can't write about which politicians they can support Which crimes they can write about which crimes they can't write about who to blame for those crimes So the media it's almost like you when we talk about governmental control or we talk about We look at the former Soviet Union, right?
[02:11:23.241 --> 02:11:30.666]  And they had the communist minders and all the news outlets and in all the media places That's what they live under they live under abject oppression.
[02:11:30.686 --> 02:11:32.828]  So anything that fuels and fun
[02:11:33.588 --> 02:11:37.930]  Those networks, the people, is in fact contributing to that oppression.
[02:11:38.451 --> 02:11:53.559]  And so when we allow, when we say, oh this is horrible, this is happening, and we allow millions of people to come here, or tens of thousands each summer to come here, roughly 10,000 per week, 7 to 10,000 per week, all of those people
[02:11:56.840 --> 02:12:14.053]  If they don't have the money to pay Los Etos at the Gulf Cartel right away, they get into indentured servitude and they make agreements to keep paying those cartels every week or two through Orlandi-Veluta or through Western Union, but they keep paying those cartels money for 10 years.
[02:12:14.773 --> 02:12:29.740]  And then that gives the cartels a beachhead here, and I'm not a rocket scientist on this, but if Soros and the UN can open up Latin America and crush the Mexican border, we won't just have a Mexican problem of illegals and drugs and human smuggling and these people being in district servants.
[02:12:30.080 --> 02:12:38.064]  Now it'll be ten times bigger and can all be managed and controlled, and then we'll build even bigger cartel bases inside El Norte.
[02:12:39.591 --> 02:12:47.582]  Well, so we have a major problem, and the problem is that basically it sucks to live in Mexico, in parts of Mexico.
[02:12:47.683 --> 02:12:50.547]  It definitely sucks to live in most of Central America.
[02:12:51.047 --> 02:12:52.610]  That's called a push factor, right?
[02:12:52.630 --> 02:12:54.793]  So that pushes people away from those regions.
[02:12:54.813 --> 02:12:55.514]  They want to leave.
[02:12:56.158 --> 02:12:59.259]  And it's our policies that create what are called pull factors.
[02:12:59.739 --> 02:13:04.261]  So our policies, if it sucks to live there, that's pushing them away.
[02:13:04.321 --> 02:13:13.805]  And then if we have policies that allow people to stay, that pull factor pulls them and it creates, I guess it finishes the circle.
[02:13:14.485 --> 02:13:16.226]  It allows people to come here.
[02:13:16.606 --> 02:13:17.666]  A chain reaction!
[02:13:17.766 --> 02:13:18.647]  A chain reaction!
[02:13:19.687 --> 02:13:20.868]  Absolute chain reaction.
[02:13:20.928 --> 02:13:37.379]  And so there's a good humanitarian argument to be made for border security, and no one's really making that argument, which is really stupid, because the truth is, is that what we're perpetuating, we're perpetuating a situation, I mean, think about, you focus on liberty, you think about freedom.
[02:13:37.899 --> 02:13:54.346]  If everyone in Central America or parts of Mexico who wants something better, who have that drive to have better and to have a better life for them and their family, if all of those people are allowed to come here, who is left to change and have revolution and change things in their nations of birth?
[02:13:54.466 --> 02:13:55.486]  Nobody's left there.
[02:13:55.786 --> 02:13:57.547]  And so it perpetuates the problem.
[02:13:58.737 --> 02:14:08.223]  Well, I don't think I've heard anybody encapsulate it in seven minutes as good as you just did, and I mean that's why I wanted to keep you on the show, because I see you on national TV, I see you on Breitbart, I see you on our other shows.
[02:14:09.084 --> 02:14:10.345]  Why is Soros in the UN?
[02:14:10.365 --> 02:14:11.485]  Because they're admittedly involved.
[02:14:12.426 --> 02:14:14.868]  Why are the leftists and the Democrats so involved?
[02:14:14.928 --> 02:14:17.569]  And like I said, Pelosi and others even praising MS-13.
[02:14:20.566 --> 02:14:25.829]  Well, I think that we're in a situation right now, and this is where we probably differ a little bit.
[02:14:25.869 --> 02:14:37.656]  Like, I do think that Soros-funded groups contribute to this, just like I think that the Catholic Church contributes to it, and so do Evangelical or Protestant churches in a lot of ways.
[02:14:38.096 --> 02:14:44.140]  I think that, for the most part, I think the average person on the left actually thinks they're helping.
[02:14:44.853 --> 02:14:47.114]  The world, and I think that they're wrong.
[02:14:47.314 --> 02:14:48.794]  You know, I think that that's the problem.
[02:14:49.054 --> 02:14:51.055]  I think that they don't have enough information.
[02:14:51.675 --> 02:14:59.337]  When the media, you know, this is a situation that you're in, and Breitbart's into it to a lesser extent right now, but it's still going through it.
[02:14:59.777 --> 02:15:10.960]  When mainstream media outlets and legacy media outlets control all of the news, and they control what information people are exposed to, and then people who are trying to
[02:15:12.279 --> 02:15:12.619]  I think so.
[02:15:35.603 --> 02:15:36.204]  Oh, let me be clear.
[02:15:36.244 --> 02:15:38.346]  I totally agree that most of the liberals mean well.
[02:15:38.366 --> 02:15:39.447]  I totally agree with you.
[02:15:39.467 --> 02:15:40.248]  I think you're right.
[02:15:40.668 --> 02:15:43.311]  And that's why they're so scared of Brandon Darby, because he used to be a liberal.
[02:15:43.671 --> 02:15:47.114]  Then he saw how bad some of them were, and he turned against them, so he's a big enemy.
[02:15:47.154 --> 02:15:50.598]  And then, of course, I watched their films and believed it, which shows I could be a moron.
[02:15:50.938 --> 02:15:51.739]  We'll be right back.
[02:15:51.799 --> 02:15:53.200]  Roger Stone's going to chime in as well.
[02:15:53.240 --> 02:15:54.561]  Brandon Darby straight ahead.
[02:15:54.842 --> 02:15:56.063]  It's live election coverage.
[02:15:56.083 --> 02:15:59.106]  We have one of the top border experts on with us right now.
[02:15:59.126 --> 02:16:00.127]  Brandon Darby from Breitbart.
[02:16:01.857 --> 02:16:14.788]  What I'm about to break down is so simple and so apparent, so prima facie, that I almost don't want to play 2001 Space Odyssey music to build it up.
[02:16:14.868 --> 02:16:15.268]  You know what?
[02:16:16.229 --> 02:16:18.250]  Simplicity and truth deserves it.
[02:16:19.346 --> 02:16:27.191]  Introducing Survival Shield X3, iodine in an energized quantum state, or an atomic state.
[02:16:27.531 --> 02:16:29.753]  That doesn't mean radioactive, it means elemental.
[02:16:30.393 --> 02:16:41.780]  All three forms, including deep earth crystal iodine, two other forms and a tiny amount of vitamin C, to stop it from oxidizing and keep it in that state of true purity.
[02:16:42.321 --> 02:16:47.004]  So that when it hits your cells, when it goes into your body, it has the amazing effect.
[02:16:48.137 --> 02:16:50.098]  We all need oxygen to live on this planet.
[02:16:50.138 --> 02:16:52.019]  We all need water to live.
[02:16:52.039 --> 02:16:52.699]  We all need food.
[02:16:53.539 --> 02:17:02.083]  But there are other key building blocks, other key elements, that if we don't have them, well, we got a big problem.
[02:17:03.124 --> 02:17:07.786]  And Survival Shield X3 is the next level of that, ladies and gentlemen.
[02:17:08.286 --> 02:17:15.189]  And what we've been able to develop and come up with takes the game-changing, trailblazing,
[02:17:16.828 --> 02:17:21.051]  Things that we witnessed with X2, and it takes it to a whole other level.
[02:17:21.231 --> 02:17:32.678]  We have it in two ounce bottles, we have it in one ounce bottles, and this is the best thing of scientists, chemists, researchers, to come up with a formula that is beyond true iodine.
[02:17:32.718 --> 02:17:36.440]  It is all forms of it, energized,
[02:17:37.677 --> 02:17:46.365]  Active and ready to energize the body the iodine in x3 comes from thousands of feet below the earth's surface hit
[02:17:47.524 --> 02:17:53.907]  From the oxygenation and radiation and toxins that are on the surface for tens of thousands of years.
[02:17:55.027 --> 02:18:02.971]  X3, ladies and gentlemen, is the, from our research, ultimate form of true atomic iodine.
[02:18:03.351 --> 02:18:09.694]  Fused with other forms of iodine and vitamin C to keep it in its energetic state.
[02:18:11.007 --> 02:18:18.234]  Look, I've got piles of papers and research and scientists I've been talking to for years, and to try to put it all in just a few minutes is impossible.
