[00:00:05.615 --> 00:00:07.376]  All right, my friends.
[01:25:47.052 --> 01:25:54.076]  Albert Eade, 77, pled guilty to criminally negligent homicide and was sentenced to five years probation.
[01:25:55.537 --> 01:25:59.499]  Five years probation by Suffolk County Court Judge C. Randall.
[01:26:00.059 --> 01:26:04.342]  I wonder if C. Randall Henrich is a member of the Lodge.
[01:26:04.975 --> 01:26:12.698]  The plea and sentence were negotiated by prosecutors with the consent of the family of the victim, William James, 47, of Medford.
[01:26:13.378 --> 01:26:15.839]  Folks, I predicted this guy would get probation.
[01:26:17.239 --> 01:26:17.700]  So sick.
[01:26:18.540 --> 01:26:22.581]  A shaken and emotional id wept openly during the sentencing.
[01:26:22.921 --> 01:26:25.202]  William was my friend and it's terrible, he said.
[01:26:25.822 --> 01:26:30.184]  The accident occurred on March 7th in the basement of the Southside Masonic Temple.
[01:26:31.443 --> 01:26:38.984]  James was seated on a chair, this was in Long Island, with tin cans placed on a platform beside his head.
[01:26:39.584 --> 01:26:53.527]  As part of the ceremony, which was for a social club related to that lodge, Ed was to shoot a gun filled with only blanks at James as other lodge brothers knocked over the cans with a stick.
[01:26:54.567 --> 01:26:59.908]  Ed also had a gun loaded with live ammunition, which he showed to James to scare him before the ceremony.
[01:27:00.689 --> 01:27:08.315]  But from just 20 feet away, it accidentally pulled out the wrong gun and fired at James, hitting him in the nose and killing him.
[01:27:09.556 --> 01:27:10.636]  I'm going to stop right there.
[01:27:11.957 --> 01:27:16.401]  Number one, I don't believe we can rule this out as not being an accident.
[01:27:17.942 --> 01:27:26.448]  Actually, do a search for Klan or Masonic ritual deaths, accidental deaths, accidentally hanging people, accidentally shooting people.
[01:27:27.229 --> 01:27:28.790]  You say, what's the Klan have to do with it?
[01:27:28.850 --> 01:27:29.951]  It's a Masonic organization.
[01:27:31.317 --> 01:27:32.838]  Check the encyclopedia if you don't believe me.
[01:27:34.099 --> 01:27:36.020]  And there's been quite a few of these.
[01:27:36.340 --> 01:27:41.724]  So I'm not sure it's an accident and they cover it up and he gets a few years probation.
[01:27:42.764 --> 01:27:48.808]  But even if it is an accident, which I hope it is, I probably can tell you which ritual this is.
[01:27:49.108 --> 01:27:53.691]  They have a whole bunch of them where you go into higher levels of initiation where you have to do blood oaths.
[01:27:54.292 --> 01:27:59.055]  If you ever let any secrets out, you'll kill people, including your family, in order to do so.
[01:27:59.941 --> 01:28:08.327]  And, uh, that is, you'll go kill people who've let information out, or that you understand you're gonna be killed if you ever let these secrets out.
[01:28:09.587 --> 01:28:12.970]  And, uh, they do lots of this, lots of this stuff.
[01:28:13.710 --> 01:28:17.272]  So... Very Christian!
[01:28:17.492 --> 01:28:20.134]  You know, down there on the black altar, shooting people in the head.
[01:28:21.695 --> 01:28:23.096]  Very, very conservative.
[01:28:24.637 --> 01:28:28.139]  When we get back, folks, I haven't even gotten to the really important news yet.
[01:28:28.219 --> 01:28:29.220]  We'll go over it.
[01:28:30.379 --> 01:28:33.341]  And take your calls at 1-800-25-25-25.
[01:28:33.361 --> 01:28:37.705]  The website, of course, is PrisonPlanet.tv.
[01:28:38.746 --> 01:28:43.570]  Stay with us.
[01:28:43.630 --> 01:28:44.550]  We're on the march.
[01:28:45.031 --> 01:28:46.652]  The Empire's on the run.
[01:28:47.553 --> 01:28:50.235]  Alex Jones and the GCN Radio Network.
[01:28:53.385 --> 01:28:57.089]  You've heard about PAWS from BioLox International and its Bubble Up technology.
[01:28:57.369 --> 01:29:01.654]  But have you heard about BioLox Citrus Concentrate that also uses Bubble Up technology?
[01:29:01.894 --> 01:29:08.822]  BioLox Citrus Concentrate harnesses the power of oxygen to safely attack and remove dirt, stains, odors, and soils at the source.
[01:29:09.222 --> 01:29:15.872]  It's a sad fact, but in just seconds your carpet can be soiled with mud, your sofa ruined by pizza sauce, or your walls by color crayons.
[01:29:16.193 --> 01:29:19.638]  But in minutes, you can remove those problems with BioWox Citrus Concentrate.
[01:29:19.658 --> 01:29:20.439]  Call 877-289-7297 or visit biowox.com.
[01:29:24.745 --> 01:29:31.908]  Bubble Up Technology is part of the reason Bio-Ox International will guarantee you will have a cleaner and healthier home after using Bio-Ox Citrus Concentrate.
[01:29:31.968 --> 01:29:38.671]  You can throw out all those bottles of harmful cleaning chemicals because it's just better to use Bio-Ox Citrus Concentrate to clean your home.
[01:29:38.891 --> 01:29:43.574]  Call 877-289-7297 or visit Bio-Ox.com.
[01:29:43.734 --> 01:29:46.275]  That's B-I-O-O-X dot com.
[01:29:46.435 --> 01:29:51.077]  When you see the difference, you'll know why it's just better to use Bio-Ox family of products.
[01:29:53.418 --> 01:29:56.980]  Do you know where the 78 potentially active volcanoes in the U.S.
[01:29:57.020 --> 01:29:57.541]  are located?
[01:29:57.741 --> 01:30:01.123]  And do you know the locations of the top 300 prime terrorist targets?
[01:30:01.343 --> 01:30:06.066]  You can find these answers and more in the new interactive CD book, Prudent Places USA.
[01:30:06.346 --> 01:30:17.613]  With the more than 50 interactive parameters, you can pinpoint natural and man-made disaster areas, brewing environmental catastrophes, the safest cities, the best places for solar and wind energy, and much, much more.
[01:30:17.893 --> 01:30:32.336]  Complete with three gigabytes of detailed information on each of 3,000 plus counties in the U.S., including 550 high-resolution full-color maps and full-color photographs, as well as detailed information and analysis to help you zero in on the best places to live.
[01:30:32.596 --> 01:30:37.217]  The ideal location for cabins and vacation homes, as well as safe and unsafe areas.
[01:30:37.517 --> 01:30:42.878]  Get Prudent Places USA for only $49 plus shipping by calling New Millennium at 888-803-4438.
[01:30:45.339 --> 01:30:46.080]  That's 888-803-4438.
[01:30:46.600 --> 01:30:51.344]  To order on the web or at Berkeywater.com.
[01:30:55.009 --> 01:31:00.494]  Why continue to suffer from pain, illness and disease when natural health and wellness therapies are within your reach?
[01:31:00.914 --> 01:31:05.157]  Hundreds of people report improved health and wellness using Rife Frequency Technology.
[01:31:05.378 --> 01:31:12.423]  In the 1920s, research scientist Royal Raymond Rife discovered that disease organisms can be destroyed using resonant frequencies.
[01:31:12.804 --> 01:31:18.909]  The BioSolutions Frequency Instrument uses this same technology for relief or elimination of pain and disease conditions.
[01:31:18.929 --> 01:31:20.270]  There are no side effects.
[01:31:20.590 --> 01:31:23.552]  Join others in discovering a return to natural health and wellness.
[01:31:23.712 --> 01:31:24.592]  Eliminate the cost.
[01:31:24.672 --> 01:31:25.733]  Don't just treat symptoms.
[01:31:26.033 --> 01:31:33.257]  BioSolutions has over 450 pre-programmed auto-sequences for various health conditions and is very easy to use.
[01:31:33.577 --> 01:31:36.959]  It comes with a 30-day return policy and a one-year limited warranty.
[01:31:37.379 --> 01:31:40.520]  For more information, call Alternative Technologies toll-free.
[01:31:40.540 --> 01:31:40.800]  866-885-6625.
[01:31:40.820 --> 01:31:40.860]  866-885-6625.
[01:31:40.880 --> 01:31:42.080]  One more time, that's 866-885-6625 call today.
[01:31:42.140 --> 01:31:43.580]  Waging war on corruption.
[01:31:43.600 --> 01:31:44.900]  Alex Jones on the GCN Radio Network.
[01:32:11.369 --> 01:32:15.271]  All right, your calls are coming up here in a few minutes, but let's keep going over the news for now.
[01:32:16.592 --> 01:32:20.354]  Bush, the king, blows $50 million on coronation.
[01:32:21.194 --> 01:32:27.237]  The sight of the observer president's lavish inauguration is obscene when U.S.
[01:32:27.277 --> 01:32:29.919]  troops are dying in Iraq war, says critics.
[01:32:30.703 --> 01:32:32.945]  It will be one of the biggest parties in American history.
[01:32:33.445 --> 01:32:37.848]  But half of the country will be left out with a price tag of up to $50 million.
[01:32:37.908 --> 01:32:41.410]  President George W. Bush's inauguration is 11 days time.
[01:32:41.430 --> 01:32:49.436]  It will be an unabashed celebration of red America's victory over blue America in last November's election.
[01:32:50.333 --> 01:32:55.616]  It is going to be the most expensive, most security-obsessed event in the history of Washington, D.C.
[01:32:55.996 --> 01:33:15.147]  An army of 10,000 police, Secret Service officers, and FBI agents will patrol the Capitol for four days of massive celebrations that some critics have described as reminiscent of the lavish shidlings thrown by Louis XIV, France's extravagant son king.
[01:33:17.987 --> 01:33:19.227]  Lavish shindigs.
[01:33:19.367 --> 01:33:20.808]  I invented a word there earlier.
[01:33:21.648 --> 01:33:24.189]  Okay, now, here's the deal.
[01:33:24.549 --> 01:33:25.850]  I have the Washington Times.
[01:33:26.650 --> 01:33:30.831]  They are hiring, what is it, 400 members of the TSA.
[01:33:30.891 --> 01:33:35.393]  You know, the people with the turbans who don't speak English who broke your wife.
[01:33:37.533 --> 01:33:38.774]  Really, a lot of times it's like that.
[01:33:40.314 --> 01:33:42.175]  At these airports, you've heard the horror stories.
[01:33:42.725 --> 01:33:49.890]  And of course they're not all in turbans, I'm being sarcastic, but in some cases it really is illegal aliens working there doing this, has been on the news.
[01:33:51.131 --> 01:33:55.013]  They're actually hiring them to take them to D.C.
[01:33:55.734 --> 01:34:04.820]  to a special form of psychological behaviorism where the key things you do mean that you're going to be interrogated or arrested.
[01:34:06.471 --> 01:34:09.293]  Any type of criticism, protest, it's just not allowed.
[01:34:09.333 --> 01:34:10.374]  It's in the newspaper.
[01:34:10.994 --> 01:34:13.176]  We're sorry that might be terror-related.
[01:34:13.196 --> 01:34:21.182]  And so there's going to be 400 of these individuals commanding the police and the National Guard that will be out in attendance.
[01:34:21.202 --> 01:34:26.686]  So we're going to have the TSA as the commanders of all this, as I said they would do three years ago.
[01:34:27.945 --> 01:34:42.632]  Not because I have a crystal ball, but because I saw Ridge on television on C-SPAN for two hours with all these big corporate CEOs in one of the office buildings at the Capitol saying that we're going to take what we do in the airports and we're going to duplicate it.
[01:34:42.812 --> 01:34:44.193]  This is even before Ridge got funding.
[01:34:45.293 --> 01:34:46.674]  Right before the funding bill went through.
[01:34:47.598 --> 01:34:58.341]  Saying that it's going to be at the bus terminals, and the highways, and the schools, and you're going to have to have a national ID card to have a job, and they laid it all out!
[01:34:59.161 --> 01:35:06.943]  And so, the type of harassment you get at the airport, you see, is slowly spreading across the nation.
[01:35:08.304 --> 01:35:13.065]  Shifting gears, this is out of the weekly standard that Mr. Crystal edits.
[01:35:13.665 --> 01:35:16.626]  Again, poses as a conservative, neocon chieftain,
[01:35:20.570 --> 01:35:27.072]  And this article, the UN Sex Scandal, is a good article.
[01:35:27.672 --> 01:35:30.893]  And it's written by Joseph Lokenit.
[01:35:32.013 --> 01:35:33.613]  It just came out a few days ago.
[01:35:33.813 --> 01:35:40.395]  But the article talks about the UN and kidnapping and torture and
[01:35:41.696 --> 01:35:45.298]  Kidnapping children and all the horrible things they do.
[01:35:45.738 --> 01:35:52.042]  The sex trade, white slavery, industrialized, the UN's evil, let's shut them down.
[01:35:52.663 --> 01:35:55.324]  Everywhere they go they do this, they're a bunch of perverts.
[01:35:56.865 --> 01:36:10.093]  But they don't mention how DynCorp in Serbia contracted with the UN for flying out 200,000 women and children to undisclosed locations as part of a sex trade.
[01:36:12.083 --> 01:36:18.768]  And some of the women were also being flown out just to be slave maids in houses in Saudi Arabia and Malaysia.
[01:36:19.028 --> 01:36:20.689]  And yes, in Israel too, folks.
[01:36:20.709 --> 01:36:24.993]  They're one of the biggest traffickers and users of this.
[01:36:26.714 --> 01:36:36.481]  No mention of how our government gives DynCorp all the big contracts in Iraq for security and the big contracts in Afghanistan and other areas in this country.
[01:36:37.839 --> 01:36:43.862]  Dyncor has since changed their name, they're always doing that, but the point is, is that they lost the suit.
[01:36:44.623 --> 01:36:53.107]  They fired a Dyncor employee, other UN people went public, said we're not going to be part of this, and they took them to civil court and won in civil court.
[01:36:53.308 --> 01:36:53.908]  This came out.
[01:36:54.528 --> 01:37:03.113]  So see, it's like when they get into Bill Clinton giving nuclear reactors to North Korea and the evil traitor, Madeleine Albright, oh she's so bad,
[01:37:04.770 --> 01:37:08.694]  But then there's no mention that it was Donald Rumsfeld making the transfer.
[01:37:09.775 --> 01:37:17.782]  So, see, we have these fake fights to make you think they're against the UN and to make you think they're the moral, upstanding people fighting all of this.
[01:37:19.304 --> 01:37:25.790]  Whereas, in reality, the neocons are intimately involved in covering this whole thing up.
[01:37:28.092 --> 01:37:30.513]  And there's so many other examples of this.
[01:37:30.993 --> 01:37:35.994]  I've got an article here out of MSNBC where George Bush and Bill Clinton love each other.
[01:37:36.614 --> 01:37:44.557]  They're buddies, and it shows them hugging and smiling, and man, they really agree on so many policies, which is true.
[01:37:44.577 --> 01:37:46.837]  And they're friends.
[01:37:46.917 --> 01:37:47.397]  Well, yeah.
[01:37:47.817 --> 01:37:55.400]  Bill Clinton met with George Herbert Walker Bush 11 times from 1991 to 1992, quietly in private meetings.
[01:37:55.500 --> 01:37:56.760]  It was all staged.
[01:37:58.027 --> 01:37:59.889]  The whole election wasn't even real.
[01:38:00.269 --> 01:38:03.912]  It was meant to get Clinton in there to co-op the Democrats, to get the agenda through.
[01:38:04.633 --> 01:38:07.776]  And they were drug dealers together at Mena, Arkansas.
[01:38:07.816 --> 01:38:12.140]  I've interviewed the actual CIA officers unloading the cocaine.
[01:38:13.801 --> 01:38:15.223]  So it goes way back, folks.
[01:38:15.663 --> 01:38:17.265]  It's like WWF wrestling.
[01:38:17.605 --> 01:38:24.291]  Hulk Hogan and Macho Man, after they have the grudge match, they go have a beer together and, you know, eat a hamburger.
[01:38:26.257 --> 01:38:36.287]  And I know you want to call me up and say, no, Hulk Hogan and Macho Man really fight, or, you know, The Rock and The Undertaker really fight today, and, you know, it's real.
[01:38:36.307 --> 01:38:38.470]  Look, it's not real, okay?
[01:38:38.910 --> 01:38:42.354]  Well, just like you have to be told that that's not real, some of you.
[01:38:42.694 --> 01:38:46.538]  Look, politics at this level is staged, folks.
[01:38:46.618 --> 01:38:47.940]  It's totally staged!
[01:38:49.153 --> 01:38:53.875]  Great example, Bush and Kerry being cousins, being members of the same secret society, on and on and on.
[01:38:54.095 --> 01:38:55.616]  Their policies almost identical.
[01:38:55.956 --> 01:38:58.658]  And then Kerry doesn't challenge the fraudulent results of the election.
[01:38:59.258 --> 01:39:01.139]  Because it was staged, staged, staged.
[01:39:03.300 --> 01:39:04.901]  And so they do this over and over again.
[01:39:05.661 --> 01:39:15.946]  And so you read this article and it's how UN Secretary General Kofi Annan had to admit that UN peacekeepers and staff had sexually abused or exploited war refugees in the Democratic Republic of Congo.
[01:39:18.138 --> 01:39:19.139]  And it goes on and on.
[01:39:20.220 --> 01:39:24.463]  And they talk about the worst of the 150 or so allegations of misconduct.
[01:39:24.883 --> 01:39:25.504]  Misconduct?
[01:39:25.924 --> 01:39:30.688]  Some of them captured on video include pedophilia, rape, and prostitution.
[01:39:31.668 --> 01:39:33.630]  Folks, we had photos of U.N.
[01:39:33.690 --> 01:39:40.435]  troops, as in the New American, barbecuing small children over fires and beating them to death.
[01:39:42.217 --> 01:39:43.998]  I mean, that was six, seven years ago.
[01:39:45.228 --> 01:39:45.648]  But again, 150?
[01:39:45.688 --> 01:39:47.589]  The U.N.
[01:39:47.629 --> 01:39:53.590]  got- been convicted in civil court of 200,000 in one country!
[01:39:56.551 --> 01:39:59.091]  But again, see, that's how they manage the news.
[01:39:59.911 --> 01:40:02.192]  Here's a press release, news release.
[01:40:02.772 --> 01:40:10.714]  Headquarters, United States Central Command, MacDill Air Force Base, Florida, for immediate release.
[01:40:10.794 --> 01:40:13.435]  Detainee dies of apparent natural causes.
[01:40:13.475 --> 01:40:14.575]  We see one of these every week.
[01:40:15.643 --> 01:40:20.410]  A security detainee died Wednesday afternoon at Camp Bucca, internment facility.
[01:40:20.851 --> 01:40:23.816]  Of what appears to be natural causes, an autopsy is pending.
[01:40:24.076 --> 01:40:25.198]  Determine the cause of death.
[01:40:25.218 --> 01:40:28.763]  Detainees notified the guards at approximately 2.40 p.m.
[01:40:28.783 --> 01:40:30.446]  that the individual appeared to be suffering
[01:40:31.227 --> 01:40:32.308]  A medical problem.
[01:40:32.368 --> 01:40:37.250]  A medic immediately provided life-saving first aid for what appeared to be cardiac arrest.
[01:40:37.270 --> 01:40:45.754]  The detainee was immediately transferred to the internment facility aid station where the medical staff continued life-saving measures which failed to revive him.
[01:40:47.175 --> 01:40:56.500]  He was a 31-year-old male who had been, who had held as an attorney since August 2004 as a threat to the security of Iraq.
[01:40:56.540 --> 01:40:58.841]  He was not being treated for any medical conditions.
[01:41:01.733 --> 01:41:21.019]  So, just a lot of 20-year-olds, 18-year-olds, 35-year-olds, and then later the families get the bodies and there's burn marks, shot marks on the bottom of their feet, teeth pulled out with pliers, fingernails all missing, bruises from head to toe.
[01:41:23.440 --> 01:41:26.501]  And they just give them to the family and go, he had a heart attack!
[01:41:27.276 --> 01:41:28.297]  I don't know about this case.
[01:41:29.017 --> 01:41:31.439]  This just came out, but we've seen many of these.
[01:41:32.080 --> 01:41:34.342]  Oh, just, he had a boo-boo, you know.
[01:41:35.483 --> 01:41:36.784]  Just had a little problem.
[01:41:37.144 --> 01:41:38.785]  Well, this was a war after all.
[01:41:42.488 --> 01:41:47.492]  Pentagon considering assassinations and kidnapping special forces in Iraq.
[01:41:47.812 --> 01:41:48.793]  Oh, and guess what?
[01:41:49.093 --> 01:41:52.516]  This is a positive article from MSNBC.
[01:41:52.836 --> 01:41:56.259]  By positive, they just talk about it being pretty good, you know.
[01:41:59.068 --> 01:42:04.211]  And then they just come right out and say that, well, yeah, we're going to start.
[01:42:05.712 --> 01:42:09.894]  And they even name it after Latin American operations where they kill whole families.
[01:42:10.755 --> 01:42:11.835]  We have a little comment here.
[01:42:12.195 --> 01:42:14.477]  Practicing terrorism, the name of fighting terrorism.
[01:42:14.517 --> 01:42:17.458]  We need to be told that terrorists kidnap and kill people.
[01:42:17.979 --> 01:42:20.420]  I guess it becomes moral when the authorities are behind it.
[01:42:22.370 --> 01:42:26.615]  And MSNBC begins, what to do about the deepening quagmire of Iraq?
[01:42:26.675 --> 01:42:30.579]  The Pentagon's latest approach is being called the Salvador option.
[01:42:32.125 --> 01:42:37.831]  And the fact that it is being discussed at all is a measure of just how worried Donald Rumsfeld really is.
[01:42:38.231 --> 01:42:42.215]  What everyone agrees is that we can't go on as we are.
[01:42:42.395 --> 01:42:47.860]  One senior military officer told Newsweek, we have to find a way to take the offensive against the insurgents.
[01:42:47.920 --> 01:42:50.883]  Right now, we are playing defense and we are losing.
[01:42:51.103 --> 01:42:52.024]  Wow, you're losing!
[01:42:52.485 --> 01:42:55.608]  Last November's operation in Fallujah, most analysts agreed.
[01:42:56.933 --> 01:43:05.695]  Succeeded less in breaking the back of the insurgency, as Marine General John Sattler optimistically declared at the time, than it did in spreading it.
[01:43:05.775 --> 01:43:08.015]  Folks, the Pentagon knew it was going to spread it.
[01:43:08.595 --> 01:43:21.257]  They know that when one sniper shoots at somebody, and they arrest all the men in a town of 5,000, down to age 10, and then bulldoze every date palm, every tangerine orchard.
[01:43:21.277 --> 01:43:22.777]  I mean, they know.
[01:43:23.318 --> 01:43:25.898]  They know, folks, that they've made everybody the enemy.
[01:43:26.815 --> 01:43:27.516]  This is the plan.
[01:43:27.596 --> 01:43:29.437]  It's P-2-O-G, the Pentagon plan.
[01:43:29.797 --> 01:43:35.922]  We enrage the Arab world to make them fight even harder, to widen the war so the globalists make more money prosecuting the war.
[01:43:36.643 --> 01:43:40.806]  And so then we can be seen as the bad cop at the end of it, and the UN comes in as the savior.
[01:43:41.387 --> 01:43:52.216]  Now Newsweek has learned the Pentagon is intensively debating an option that dates back to the still-secret strategy in the Reagan administration's battle against the leftist guerrilla insurgency in El Salvador in the early 80s.
[01:43:53.556 --> 01:44:09.986]  Now again, a month ago we got the mainstream articles out of Latin America where thousands, thousands of the former torture masters and secret police and known drug dealers are being hired upwards of two hundred, three hundred thousand dollars a year to go there and do this.
[01:44:10.266 --> 01:44:16.830]  They can't even find enough of our soldiers to torture and kill and murder, so they're hiring the Latin American death squads.
[01:44:17.250 --> 01:44:18.591]  But here it is in MSNBC.
[01:44:19.212 --> 01:44:22.013]  Then faced with a losing war against Salvadorian rebels, the U.S.
[01:44:22.033 --> 01:44:23.034]  government funded
[01:44:24.329 --> 01:44:34.016]  Or supported nationalist forces that allegedly included so-called death squads directed to pump down and kill rebel leaders and sympathizers.
[01:44:34.136 --> 01:44:36.878]  Eventually, the insurgency was quelled and many U.S.
[01:44:36.918 --> 01:44:41.741]  conservatives considered, yeah, you're conservatives, banning 50-cals, pro-abortion, everything.
[01:44:42.062 --> 01:44:49.587]  The policy to have been a success despite the deaths of innocent civilians and the subsequent Iran-Contra arms for hostage scandal
[01:44:50.589 --> 01:44:52.751]  Again, arming Al Qaeda and Iran as usual.
[01:44:53.091 --> 01:45:00.777]  According to current administration officials who dealt with Central America back then is John Necroponte, who was sent to Iraq, who is today the U.S.
[01:45:00.817 --> 01:45:02.438]  Ambassador to Iraq under Reagan.
[01:45:02.718 --> 01:45:05.260]  He was Ambassador to Honduras.
[01:45:08.282 --> 01:45:16.188]  Following that model, one Pentagon proposal would send Special Forces teams to advise, support, and possibly train Iraqi soldiers, most likely hand-picked Kurdish,
[01:45:17.234 --> 01:45:28.203]  Fighters and Shiite militiamen to target Sunni insurgents and their sympathizers even cross the border into Syria and attack, according to military insiders familiar with the discussions.
[01:45:28.864 --> 01:45:38.632]  It remains unclear, however, whether this would be a policy of assassination or so-called snatch and grab operations in which the targets are sent to secret facilities for interrogation.
[01:45:39.913 --> 01:45:44.076]  Ah, then we can hear about 18-year-olds and 31-year-olds dying of heart attacks, can't we?
[01:45:45.377 --> 01:45:46.558]  His heart just gave out.
[01:45:47.586 --> 01:45:53.631]  Looks like he was put through a wood chipper, but that's what happens when you have a heart attack.
[01:45:55.152 --> 01:45:55.953]  Didn't you know that?
[01:45:55.993 --> 01:45:57.494]  We're just blowing off some steam.
[01:45:58.715 --> 01:46:00.676]  Here's another one, this is out of the advertiser.
[01:46:02.558 --> 01:46:09.143]  Soldier who made Iraqis jump off bridge, killing one, gets just six months, is not discharged.
[01:46:10.436 --> 01:46:16.321]  And it says that the young men were caught out after nine o'clock at night breaking their curfew.
[01:46:16.361 --> 01:46:18.563]  They said they were coming back from visiting a friend's house.
[01:46:19.383 --> 01:46:21.845]  And so they drowned them systematically.
[01:46:24.507 --> 01:46:27.630]  And well, you know, that's just what you get.
[01:46:28.450 --> 01:46:30.692]  Here's Paul Watson's comment above this.
[01:46:31.513 --> 01:46:36.357]  If a police officer had done this in America, would he be allowed back on the force?
[01:46:36.917 --> 01:46:37.698]  They are able to get
[01:46:38.670 --> 01:46:43.274]  Off so lightly because of one overriding precept.
[01:46:43.434 --> 01:46:47.738]  That Iraqis are subhuman and thus you can treat them ten times worse than anybody else.
[01:46:48.538 --> 01:46:50.920]  This truly obliterates the myth that the U.S.
[01:46:50.960 --> 01:46:52.382]  is over there to liberate them.
[01:46:52.682 --> 01:46:58.307]  Remember, the cardinal sin committed by the Iraqis was that they broke a 9 p.m.
[01:46:58.347 --> 01:46:58.767]  curfew.
[01:46:58.807 --> 01:47:02.490]  Curfews were another example of how we gave them freedom.
[01:47:03.411 --> 01:47:04.752]  Up is down, down is up.
[01:47:06.573 --> 01:47:19.879]  Well, now they say that people went back into Fallujah to be given ID cards with retina scans, and they even said on NBC, they said on NBC Nightly News, if you're caught going anywhere but your house or to work or to an aid station, you are killed.
[01:47:20.399 --> 01:47:21.860]  Deadly force, they blow your head off.
[01:47:23.740 --> 01:47:24.360]  Here's another one.
[01:47:24.400 --> 01:47:28.323]  Sharon considered Mideast war to distract from corruption probe.
[01:47:28.343 --> 01:47:30.024]  This is in the major Israeli papers.
[01:47:30.424 --> 01:47:42.791]  One of the most conservative members of Sharon's party has gone public saying what Sharon said to distract from his corruption probe that they might need to go ahead and invade local Arab countries as a distraction.
[01:47:45.072 --> 01:47:46.413]  There's that article I mentioned earlier.
[01:47:47.299 --> 01:47:52.363]  Metro officers keep a keen eye on riders' new behavioral profiling techniques.
[01:47:52.404 --> 01:47:55.646]  TSA training help target suspicious subway passengers.
[01:47:55.666 --> 01:48:00.350]  9-1-1 and The Passion top at the People's Choice Awards.
[01:48:01.652 --> 01:48:05.695]  Two controversial films that defined the odds to earn millions.
[01:48:06.276 --> 01:48:13.602]  Two controversial films that defied the odds to earn millions at the box office joined a familiar green
[01:48:15.559 --> 01:48:19.624]  Or to take top honors at the 31st Annual People's Choice Awards.
[01:48:19.984 --> 01:48:22.847]  The Passion of the Christ and Fahrenheit 9-11 both won.
[01:48:23.548 --> 01:48:29.354]  Showing, I would say, that people want alternative news, alternative forms of information.
[01:48:30.455 --> 01:48:32.718]  They are sick and tired of establishment pap.
[01:48:35.345 --> 01:48:38.906]  Presidents Bubba and W warming up to each other.
[01:48:38.966 --> 01:48:42.967]  Again, I mentioned this, MSNBC shows them smiling and loving each other.
[01:48:43.567 --> 01:48:51.070]  For years now, George W. used to call him the shadow and promised a fresh start by pledging to uphold the honor and dignity of the presidency.
[01:48:51.090 --> 01:48:54.371]  Yeah, and blocking Dan Burton's committee that could have had Bill Clinton arrested.
[01:48:54.731 --> 01:49:02.073]  He even joked to late night TV's David Letterman that one of the top ten priorities in the White House would be to give the Oval Office one heck of a scrubbing.
[01:49:02.699 --> 01:49:08.083]  But then President Bush welcomed Bill Clinton into that same office last week.
[01:49:08.123 --> 01:49:14.327]  Those barbs were ancient history after Clinton remarked how much he liked the new Oval Office rug.
[01:49:14.407 --> 01:49:15.187]  Bush encouraged him.
[01:49:15.507 --> 01:49:18.249]  Folks, this is sick.
[01:49:19.910 --> 01:49:20.851]  This is totally sick.
[01:49:21.291 --> 01:49:27.095]  I mean, when Herbert Walker Bush, Bush 41, isn't giving Schwarzenegger awards, he's giving them to Ted Kennedy.
[01:49:27.855 --> 01:49:28.696]  How much he loves him.
[01:49:29.616 --> 01:49:30.577]  It's all staged.
[01:49:31.553 --> 01:49:37.676]  Alright, we'll come back, take calls, then get into 85-year-old-man-beatin'-pepper-sprayed-by-police.
[01:49:38.576 --> 01:49:41.758]  Wait till you hear why this World War II vet was beatin' his own ass, by the way.
[01:49:43.099 --> 01:49:46.480]  And, uh, a bunch of key anti-depressant news.
[01:49:47.381 --> 01:49:50.302]  Prozac, Eli Lilly knew it was 1,200 times higher suicide rate.
[01:49:52.825 --> 01:49:54.766]  Hey folks, Alex Jones here.
[01:49:54.947 --> 01:49:58.029]  And the behavior of our police is a reflection of our government.
[01:49:58.169 --> 01:50:02.072]  One look in the mirror and we know our country is entering a high-tech police state.
[01:50:02.112 --> 01:50:06.355]  Here's just a sample from my documentary film, Police State 2 The Takeover.
[01:50:06.695 --> 01:50:10.477]  In downtown Seattle today, the First Amendment ended.
[01:50:10.618 --> 01:50:12.439]  A civil emergency was created by the police.
[01:50:13.019 --> 01:50:15.923]  Police attacked people on the streets indiscriminately.
[01:50:15.963 --> 01:50:20.688]  The medical bills are going to be enormous for me.
[01:50:20.828 --> 01:50:23.872]  You see them here with their hands cupped behind their backs.
[01:50:24.052 --> 01:50:26.915]  They are being led into the Sandpoint Brig.
[01:50:27.416 --> 01:50:33.543]  The neighbors in that area of Sandpoint Naval Air Station were shocked to hear that the old brig was being reopened.
[01:50:34.043 --> 01:50:37.846]  This information is absolutely vital for all freedom lovers in the United States.
[01:50:38.247 --> 01:50:39.628]  Order your video today.
[01:50:39.948 --> 01:50:41.009]  Call toll free at 888-253-3139.
[01:50:41.049 --> 01:50:44.151]  The number to order to take over again is 888-253-3139.
[01:50:44.171 --> 01:50:45.092]  Or go to my website, InfoWars.com.
[01:50:52.708 --> 01:50:57.310]  The Berkey Security Pack is your one-stop solution for unexpected emergencies.
[01:50:57.530 --> 01:51:01.972]  It provides you with purified water, light, power, and communications ability.
[01:51:02.152 --> 01:51:16.157]  The Security Pack includes a Berkey Light Water Purifier, an LED Base, two Berkey Sport Filtration Bottles, the Berkey Battery Adapter, the Berkey MP Solar Charger, as well as a backup set of two Black Berkey Purification Elements.
