[00:00:00.956 --> 00:00:01.417]  Hey, Alex.
[00:51:24.923 --> 00:51:30.147]  Three articles were on Infowars.com this weekend with CNN, MSNBC,
[00:51:32.608 --> 00:51:39.314]  And one of the Sunday morning shows, I forget which one, all saying, well, what will happen when Trump's removed one way or another?
[00:51:41.636 --> 00:51:44.538]  People like, oh, well, you know, they don't have the votes in the Senate.
[00:51:45.999 --> 00:51:53.105]  They're going to continue to threaten people and their families until they think they get the votes, or they're going to try a 22nd
[00:51:55.876 --> 00:51:58.639]  Amendment moves saying the president is mentally unfit.
[00:51:58.679 --> 00:52:09.690]  They're already saying that and the urgency of this is so serious that you didn't hear the president the last few times they tried to remove him say this is a coup, this is an attempt at civil war.
[00:52:10.751 --> 00:52:14.535]  This time they really mean it and they're really trying to do it.
[00:52:16.118 --> 00:52:18.919]  Because they know that Bernie's had a heart attack.
[00:52:19.099 --> 00:52:21.040]  Biden's obviously had a stroke and can't talk.
[00:52:21.360 --> 00:52:23.622]  Three candidates ahead of him have made more money than he has.
[00:52:24.102 --> 00:52:29.104]  The Democrats have raised less than half the money they did last time around in a presidential election this far in.
[00:52:29.464 --> 00:52:30.745]  The wheels are coming off.
[00:52:31.265 --> 00:52:32.366]  Everyone's turning against him.
[00:52:32.406 --> 00:52:33.546]  Everyone's fleeing their cities.
[00:52:34.507 --> 00:52:36.908]  All the dead people voting isn't getting them elected.
[00:52:37.448 --> 00:52:39.389]  The election fraud they're involved in is coming out.
[00:52:39.769 --> 00:52:42.590]  Trump is exposing the Clintons and child trafficking.
[00:52:42.630 --> 00:52:43.631]  That was in the news Friday.
[00:52:44.855 --> 00:52:50.460]  They're exposing all the corruption in Romania and Hungary and Ukraine with the Clintons and the Obamas looting.
[00:52:50.740 --> 00:52:52.202]  And so the whole deep state is scared.
[00:52:54.944 --> 00:52:55.945]  And it's making its move.
[00:52:56.105 --> 00:52:56.746]  And you watch.
[00:52:58.207 --> 00:52:59.769]  Inspector General report's coming out.
[00:53:02.449 --> 00:53:09.333]  The Democrats have been told, back down, stop it, stop trying to sabotage the economy, have a real election, and we'll leave you alone.
[00:53:09.893 --> 00:53:11.034]  The Democrats aren't stopping.
[00:53:11.354 --> 00:53:18.017]  So Barr is there, if they won't back down, and make a deal to go forward with the indictments.
[00:53:19.998 --> 00:53:23.740]  And the Democrats have said, we're playing a game of chicken, we're not turning off.
[00:53:23.980 --> 00:53:24.881]  And Trump's not turning off.
[00:53:25.621 --> 00:53:29.683]  So you got the two vehicles coming at each other, they're both going 180 miles an hour.
[00:53:34.793 --> 00:53:35.554]  And that's where we are.
[00:53:35.614 --> 00:53:48.523]  So I can sit here with a headline about, hey, Trump just called up the Marine Corps Reserves for a national emergency within the United States, which will come a little warning in threats to the homeland.
[00:53:48.543 --> 00:53:49.144]  Those are quotes.
[00:53:53.467 --> 00:53:55.328]  And folks that know have read the order.
[00:53:55.368 --> 00:53:56.189]  It's unprecedented.
[00:53:56.329 --> 00:54:01.233]  I've read previous orders that they do every year in case the Marines are needed to go under the civil authority.
[00:54:02.915 --> 00:54:11.002]  That's all in there, but there's a bunch of new language in there about emergency that comes with little warning.
[00:54:11.202 --> 00:54:12.243]  Threats in the homeland.
[00:54:13.784 --> 00:54:15.486]  Threats are not things like hurricanes.
[00:54:15.546 --> 00:54:16.627]  Threats are attacks.
[00:54:18.088 --> 00:54:21.291]  So whether this is 100% for that or not,
[00:54:23.171 --> 00:54:27.355]  Doesn't matter, because the President already says there's an ongoing coup and that we're in an emergency.
[00:54:27.935 --> 00:54:29.016]  It's a toll-free number to join us.
[00:54:29.457 --> 00:54:34.661]  I want your specific take on this, where you think this is going, what we can do to legally and lawfully stop this from happening.
[00:54:35.082 --> 00:54:38.565]  But what do we do is the big question if they kill Trump.
[00:54:39.670 --> 00:54:45.654]  What do we do if they hit the internet kill switch, which they admit Obama put in, where they can route all websites coming to the U.S.
[00:54:45.895 --> 00:54:48.336]  through one government website or group of sites?
[00:54:48.917 --> 00:54:50.998]  They've already set that up to, quote, trusted media.
[00:54:51.659 --> 00:54:52.840]  They've got all this set up.
[00:54:53.720 --> 00:54:55.842]  When Trump got through on them, they weren't ready yet.
[00:54:55.942 --> 00:55:02.427]  They've been building and getting ready and getting the censorship in place and getting all the controls in place so they can try to take him out.
[00:55:02.627 --> 00:55:03.648]  They think they're ready.
[00:55:06.826 --> 00:55:08.647]  And so they're attempting to make their move.
[00:55:08.747 --> 00:55:10.308]  What are we going to do about it?
[00:55:10.328 --> 00:55:14.951]  877-789-2539 is the number to call.
[00:55:14.971 --> 00:55:16.052]  877-789-Alex.
[00:55:16.072 --> 00:55:16.292]  877-789-2539.
[00:55:16.392 --> 00:55:25.718]  And tomorrow I'm going to open the phones up for people that think Trump should be removed and think we should all be locked up in prison.
[00:55:25.738 --> 00:55:27.399]  I'm going to do that during the weekday show tomorrow.
[00:55:28.540 --> 00:55:30.961]  Because there are a lot of people all over the news saying do that.
[00:55:31.221 --> 00:55:32.182]  Think about their rhetoric.
[00:55:32.522 --> 00:55:33.143]  Kill Trump.
[00:55:33.423 --> 00:55:34.443]  Put him in solitary confinement.
[00:55:34.503 --> 00:55:34.964]  Stabbing.
[00:55:35.899 --> 00:55:40.540]  That's being said by not just pundits, but former deputy directors of the CIA, like Phil Mudd.
[00:55:46.921 --> 00:55:48.041]  He said it again Friday.
[00:55:48.121 --> 00:55:49.401]  Somebody's gonna stab him in the back.
[00:55:50.182 --> 00:55:50.782]  Like Caesar.
[00:55:50.962 --> 00:55:51.862]  He better watch out.
[00:55:53.142 --> 00:55:55.442]  And he's up there all hyped up, angry, red-faced.
[00:55:55.462 --> 00:55:57.283]  Somebody's gonna stab the president in the back.
[00:56:00.543 --> 00:56:03.984]  I'll tell you at any other time, if George Washington was president,
[00:56:05.034 --> 00:56:13.501]  And somebody that had run covert operations killing people, Washington signed death warrants, said, we're gonna stab the president in the back.
[00:56:13.882 --> 00:56:17.845]  Washington would write a letter, he'd hand it to the army and he'd say, take him out.
[00:56:18.766 --> 00:56:22.549]  And that guy would be either running for his life or dead within 24 hours.
[00:56:23.049 --> 00:56:26.232]  I don't wish any harm against Phil Mudd, he's a little globalist wimp turd.
[00:56:27.353 --> 00:56:31.637]  But he's up there for one reason, to create the illusion of confidence.
[00:56:32.611 --> 00:56:34.372]  Oh, we got seven ways of Sunday to get the President.
[00:56:34.412 --> 00:56:35.172]  Oh, we're taking him out.
[00:56:35.472 --> 00:56:36.212]  Oh, he's a traitor.
[00:56:36.252 --> 00:56:36.852]  Oh, he's an idiot.
[00:56:37.092 --> 00:56:37.973]  Oh, he's a piece of crap.
[00:56:38.013 --> 00:56:38.833]  Oh, we're gonna kill him.
[00:56:39.133 --> 00:56:40.433]  Oh, we're gonna stab him in the back.
[00:56:40.893 --> 00:56:41.894]  Oh, Trump's the enemy.
[00:56:42.334 --> 00:56:43.894]  All these agencies are gonna get him.
[00:56:43.954 --> 00:56:44.835]  Come on, agencies!
[00:56:45.135 --> 00:56:45.475]  Get him!
[00:56:45.515 --> 00:56:46.235]  Come on, agencies!
[00:56:46.315 --> 00:56:47.095]  Kill the President!
[00:56:47.535 --> 00:56:49.076]  Phil Mudd isn't gonna kill anybody.
[00:56:49.456 --> 00:56:51.497]  He wants to get you to go kill him.
[00:56:52.797 --> 00:56:55.798]  He wants to get enough people ready to do it so when somebody gives the order,
[00:56:56.909 --> 00:56:59.309]  To shoot the President's vehicle with an anti-tank missile?
[00:56:59.569 --> 00:57:00.330]  The order's taken.
[00:57:00.610 --> 00:57:03.550]  Let me assure all of you people trying to gear a coup up.
[00:57:06.151 --> 00:57:15.352]  If you physically remove the President, which you know they're going to kill him, or they might just electroshock therapy him a bunch so they know who he is and say, oh, he had a stroke or whatever.
[00:57:15.372 --> 00:57:16.452]  That's another way they do it.
[00:57:16.873 --> 00:57:18.173]  That's a Hashim Ibarak.
[00:57:19.233 --> 00:57:24.794]  If they do that, you have released forces you will never contain again.
[00:57:26.263 --> 00:57:28.265]  I'm not talking about from me.
[00:57:28.285 --> 00:57:30.387]  I just know history and how things work.
[00:57:30.447 --> 00:57:34.291]  You are going to be just annihilated.
[00:57:35.352 --> 00:57:43.079]  I guarantee you, all these people shooting their mouths off and calling for violence, within a few weeks of this happening, almost all of them will be dead.
[00:57:46.357 --> 00:57:49.418]  And whatever group comes in, it won't be the group that thinks it's about to get power.
[00:57:49.738 --> 00:57:55.700]  The first thing the new group's going to do is kill all the people that behave like this and acted like this and that opened the drawbridge.
[00:57:55.720 --> 00:57:58.942]  That's always done by fascists, communists, by ancient rulers.
[00:57:59.022 --> 00:58:00.302]  It's guaranteed.
[00:58:00.862 --> 00:58:07.245]  You overthrow an elected, new government of good people, you're traitors like that, you don't have to worry about Alex Jones coming after you.
[00:58:08.185 --> 00:58:08.605]  You're dead.
[00:58:09.145 --> 00:58:10.726]  The globalists are going to kill all of you.
[00:58:10.746 --> 00:58:11.846]  You're such idiots.
[00:58:12.107 --> 00:58:12.967]  You're throwing out
[00:58:14.073 --> 00:58:17.056]  The heads of protection and due process this country had, you're fools!
[00:58:17.577 --> 00:58:19.939]  You think there's just one more third world country you're overthrowing?
[00:58:20.320 --> 00:58:21.861]  You're really the ones overthrowing yourselves.
[00:58:25.545 --> 00:58:32.052]  Live from the InfoWars.com studios, you're listening to the Alex Jones Show.
[00:58:37.295 --> 00:58:38.756]  Alright, welcome back ladies and gentlemen.
[00:58:38.776 --> 00:58:39.917]  If you just joined us, U.S.
[00:58:39.957 --> 00:58:49.602]  Marine Reserve units activated for emergency within the United States, close quote, which will come at any... A little warning, cites threats in the homeland.
[00:58:51.623 --> 00:58:57.567]  And it talks about helping the civilian authorities and under the command of the President.
[00:58:59.164 --> 00:59:00.285]  So what does that sound like?
[00:59:00.325 --> 00:59:10.652]  Well, the president says that there's a coup moving forward against him and there certainly is by a pack of criminals that have sold this nation out and are pissed that they thought they had the country down forever and now they realize they don't.
[00:59:12.873 --> 00:59:16.856]  But if you look at all the other things they're doing and the things that they're engaged in,
[00:59:18.052 --> 00:59:19.613]  I really have a lot of mixed feelings.
[00:59:19.673 --> 00:59:20.813]  I mean, we're fighting.
[00:59:21.073 --> 00:59:22.034]  We're taking the country back.
[00:59:22.054 --> 00:59:23.074]  A lot of good things have happened.
[00:59:23.094 --> 00:59:35.981]  But it also makes you really sad to know that we've had this big a group of criminals in control bipartisanly for so long that they really think they can remove the duly elected president.
[00:59:36.001 --> 00:59:44.285]  They really think they can shut down talk radio and shut down popular internet shows and censor all the nationalists.
[00:59:45.421 --> 01:00:02.631]  I mean, you look at the Project Veritas documents and the videos, and it's the Google and Twitter and Facebook employees talking about how much they hate America, and how they ban people that like American flags, and how much they hate Trump and hate Alex Jones, and how they shadow ban everybody, and how they're not going to let President Trump win again.
[01:00:02.691 --> 01:00:06.473]  And that was two, three years ago.
[01:00:06.653 --> 01:00:09.895]  And then now here we are, they really think they can get away with this.
[01:00:11.316 --> 01:00:12.737]  And they've got the censorship in place.
[01:00:14.844 --> 01:00:16.025]  They don't have the Marine Corps.
[01:00:16.065 --> 01:00:17.165]  They don't have the military.
[01:00:18.586 --> 01:00:26.010]  They have groups of people inside the bureaucracy who are still operating for the bad guys, but that's the split inside the government right now.
[01:00:27.391 --> 01:00:33.014]  So we're in a civil war in this nation between the bureaucracy that's pro-America and the bureaucracy that's anti-America.
[01:00:34.346 --> 01:00:42.629]  And the media is held by the globalists that are anti-American and is trying to make those of us that are patriotic and have common sense the bad guys.
[01:00:42.689 --> 01:00:46.730]  It's not working, so now they're moving forward to remove the president outside of impeachment.
[01:00:47.490 --> 01:00:48.811]  And they're saying it all over the news.
[01:00:51.172 --> 01:00:55.473]  And Brennan and Clapper are saying, we're going to remove Trump without impeachment.
[01:00:57.174 --> 01:00:58.094]  Well, how are you going to do that?
[01:00:58.174 --> 01:01:00.415]  Well, they said on MSNBC, on Joy Reid.
[01:01:01.547 --> 01:01:09.796]  No, we're going to do it by threatening the other Republicans and making a deal with them that they won't all go to prison if they put Pelosi in.
[01:01:09.856 --> 01:01:10.957]  That's the wild eye.
[01:01:11.197 --> 01:01:14.801]  We won't send you all to prison if you put Pelosi in!
[01:01:15.822 --> 01:01:16.884]  They're a group of terrorists.
[01:01:16.964 --> 01:01:18.105]  They're a group of mad dogs.
[01:01:18.826 --> 01:01:21.148]  No borders, no wall, no USA at all.
[01:01:21.168 --> 01:01:22.430]  They've gotten away with so much.
[01:01:25.626 --> 01:01:27.307]  That they think they can do this right now.
[01:01:27.367 --> 01:01:36.913]  So I want to take your calls, Jared, Kenneth, Chase, Chadwick, Benjamin, and others on this live Global Sunday Broadcast.
[01:01:36.953 --> 01:01:38.735]  And we were supposed to be off the air by now.
[01:01:38.755 --> 01:01:41.296]  We were supposed to not be here when they did all this.
[01:01:41.957 --> 01:01:49.642]  You know those big independent media that blew the whistle on Pelosi and her daughter trying to not seat Trump as the president, trying to have the delegates not put him in in 2017.
[01:01:53.527 --> 01:01:55.708]  And then they tried to remove him all those other ways.
[01:01:55.728 --> 01:01:57.229]  They tried to get impeachment started.
[01:01:57.249 --> 01:01:59.050]  Then they tried to find Russiagate evidence.
[01:01:59.070 --> 01:02:03.092]  They tried to test having women come out and say Trump had assaulted them on Kavanaugh.
[01:02:03.132 --> 01:02:04.092]  That blew up in their face.
[01:02:04.332 --> 01:02:06.573]  So they said the Covington kids assaulted and did bad things.
[01:02:06.793 --> 01:02:07.314]  That didn't work.
[01:02:07.334 --> 01:02:10.335]  So they had Jussie Smollett and hundreds of other events they've been caught in.
[01:02:10.735 --> 01:02:12.096]  Everything they do turns to crap.
[01:02:12.856 --> 01:02:14.897]  So now they say it's time to kill the president.
[01:02:14.917 --> 01:02:22.121]  They have all these famous, powerful people in government come out and say it to legitimize it.
[01:02:23.353 --> 01:02:30.135]  And they say, don't let Trump supporters have dinner, go to their houses, don't let them get gas, don't let them go to the grocery store, get in their faces.
[01:02:32.856 --> 01:02:34.677]  Now they're saying, go to their houses, attack them.
[01:02:38.498 --> 01:02:40.919]  And they're saying, we don't want to go to prison.
[01:02:41.459 --> 01:02:42.319]  I played it last hour.
[01:02:42.399 --> 01:02:44.020]  It's on Infowars.com and Newswars.com.
[01:02:46.192 --> 01:02:48.133]  Joy Reid Show fantasizes.
[01:02:48.153 --> 01:02:49.213]  They're not fantasizing, folks.
[01:02:49.233 --> 01:02:49.693]  They mean it.
[01:02:49.814 --> 01:02:50.734]  To get rid of the president.
[01:02:50.934 --> 01:02:53.875]  They say, if you don't want to go to prison, run up the white flag.
[01:02:54.475 --> 01:02:55.556]  They can't intimidate Trump.
[01:02:55.936 --> 01:02:57.077]  They can't make him back down.
[01:02:57.677 --> 01:03:00.818]  They tried to demonetize all the conservatives three years ago when Trump won.
[01:03:00.858 --> 01:03:01.438]  That didn't work.
[01:03:02.119 --> 01:03:03.379]  Then they tried to censor everybody.
[01:03:03.399 --> 01:03:03.899]  That didn't work.
[01:03:03.939 --> 01:03:05.080]  So then they banned everybody.
[01:03:05.360 --> 01:03:10.042]  Now they're taking NRA members, bank accounts away, merchant accounts away from Congress people.
[01:03:13.712 --> 01:03:16.794]  And now they're saying, you do what we say or we're gonna hurt you.
[01:03:17.875 --> 01:03:19.396]  Well, I'm not gonna start any fights.
[01:03:21.738 --> 01:03:26.122]  But these slime bags are crazy enough to come to everybody's houses.
[01:03:27.203 --> 01:03:28.624]  They've been planning it, they've been preparing it.
[01:03:29.324 --> 01:03:30.946]  So let me tell everybody something, they killed Trump.
[01:03:31.686 --> 01:03:42.695]  You better know if you're Tucker Carlson, you're Alex Jones, you're Sean Hannity, you're Matt Drudge, you're Congressman Nunes,
[01:03:45.393 --> 01:03:46.213]  Congressman Jordan.
[01:03:49.815 --> 01:03:50.976]  You're one of those type people.
[01:03:52.537 --> 01:03:53.917]  They're coming after you.
[01:03:54.898 --> 01:03:55.578]  And you get ready.
[01:03:57.059 --> 01:04:03.882]  In fact, I would suspect when they move on Trump, they're going to move directly on a couple hundred people simultaneously.
[01:04:06.023 --> 01:04:07.384]  And then they'll go down the phases.
[01:04:09.805 --> 01:04:11.746]  And everybody can decide at that point what they want to do.
[01:04:11.766 --> 01:04:13.107]  You want to try to get on an airplane and get out of here?
[01:04:14.195 --> 01:04:15.216]  No, that's not going to work out.
[01:04:15.236 --> 01:04:16.216]  No, you're not going to do that, are you?
[01:04:16.356 --> 01:04:17.197]  No, I don't think you are.
[01:04:18.758 --> 01:04:22.220]  Because these people never expect to get hit back.
[01:04:24.341 --> 01:04:25.001]  And that's the point.
[01:04:25.061 --> 01:04:27.623]  They're talking about putting us in jail, torturing us, killing everybody.
[01:04:27.903 --> 01:04:30.464]  You know, they're up there trying to organize this, you know.
[01:04:30.725 --> 01:04:32.045]  So we're just saying, oh, really?
[01:04:32.145 --> 01:04:32.506]  OK.
[01:04:32.526 --> 01:04:39.630]  Because, see, if you thought a few spaces ahead, you think Alamo-ing Trump is going to make people hate him?
[01:04:40.930 --> 01:04:41.471]  Instant
[01:04:42.583 --> 01:04:43.464]  Invincibility.
[01:04:44.024 --> 01:04:47.366]  The dead Trump is a thousand times more powerful than the living one.
[01:04:48.107 --> 01:04:54.130]  In fact, if I wanted to destroy you globalists once and for all, I'd do exactly what you're doing.
[01:04:54.230 --> 01:04:59.013]  But you are little handmaidens of Satan, and God uses Satan to carry out his larger plan.
[01:05:00.334 --> 01:05:03.917]  Satan doesn't take orders from God, just God made Satan knowing what Satan would do.
[01:05:04.597 --> 01:05:05.698]  Satan's our tester, so
[01:05:07.423 --> 01:05:10.586]  It's just my job to lay out the facts, and then people can decide which side they're on.
[01:05:10.986 --> 01:05:12.527]  I just think you're a bunch of fools.
[01:05:13.728 --> 01:05:14.769]  All right, let's take phone calls.
[01:05:15.750 --> 01:05:17.571]  Let's talk to Chadwick in Utah.
[01:05:17.591 --> 01:05:18.472]  Chadwick, thanks for holding.
[01:05:18.492 --> 01:05:19.392]  We'll go to Ryan and others.
[01:05:19.733 --> 01:05:20.573]  Welcome, Chadwick.
[01:05:21.574 --> 01:05:22.415]  Hey, thanks, Alex.
[01:05:22.615 --> 01:05:24.216]  First-time caller, long-time listener.
[01:05:26.458 --> 01:05:27.919]  I tripped over you in 2011 on YouTube.
[01:05:28.099 --> 01:05:29.180]  You woke me up.
[01:05:29.280 --> 01:05:33.363]  I was at the Defense Languages Institute learning Persian Farsi.
[01:05:34.599 --> 01:05:35.560]  Well, God bless you, sir.
[01:05:35.580 --> 01:05:37.361]  What's your view on this crazy time we're in?
[01:05:37.801 --> 01:05:39.523]  We're in a civil war, the president says.
[01:05:40.544 --> 01:05:41.644]  There's a coup going on.
[01:05:41.684 --> 01:05:42.265]  I mean, we're here.
[01:05:42.285 --> 01:05:42.265]  100%.
[01:05:44.126 --> 01:05:44.607]  We are here.
[01:05:44.907 --> 01:06:02.761]  And you're the reason, I mean, you've motivated me to take action politically and legally and lawfully, knowing that if the hot civil war comes, all of us military veterans, and I talk to a lot of them, you know, I run the veterans caucus here in Utah for the Republican Party, and we're ready.
[01:06:05.532 --> 01:06:14.675]  I think we're at this point where we need to, I remember Stuart Rhodes talking about how he wanted citizens to organize into like, you know, small A-teams, sort of in a proper way.
[01:06:15.455 --> 01:06:30.960]  I think all military veterans need to be doing that, you know, going from a low-ready to a high-ready in terms of getting ready to assist the President and the Marines and any sort of, you know, home defense action locally where we're all at.
[01:06:32.329 --> 01:06:33.430]  Let me ask you this question.
[01:06:33.510 --> 01:06:36.991]  Why do you think the globalist funded left is so secure?
[01:06:37.011 --> 01:06:41.453]  I mean, they are literally running around a fireworks factory with a flamethrower right now.
[01:06:41.473 --> 01:06:42.614]  I mean, they are out of their minds.
[01:06:45.575 --> 01:06:47.076]  Yeah, because they know their time is short.
[01:06:47.536 --> 01:06:51.798]  And, you know, if they're going to go down, I mean, they're going to go down no matter what.
[01:06:51.838 --> 01:06:53.219]  So I think they're going to make a move.
[01:06:53.239 --> 01:06:53.699]  They have to.
[01:06:53.739 --> 01:06:54.559]  They've got no choice.
[01:06:54.599 --> 01:06:55.420]  They can't let this go.
[01:06:55.460 --> 01:06:56.340]  Exactly.
[01:06:56.480 --> 01:06:58.841]  So they've already started a bunch of stuff, though.
[01:06:58.901 --> 01:06:59.902]  I just wish the president
[01:07:00.984 --> 01:07:05.808]  Maybe, I mean obviously he's been trying to walk that tightrope of not playing into their false narrative of looking like a fascist, looking like a dictator.
[01:07:05.828 --> 01:07:08.390]  Because like you said, they've projected everything they've done on him.
[01:07:29.173 --> 01:07:47.466]  Right, and so they've accused him of being, you know, the unlawfully elected leader, you know, they've accused him of being a dictator and all these things, and so obviously we all understand that our Constitutionalists, all of us Oath Keepers, we understand it's actually the President's job to go execute all these people post-pandemic.
[01:07:47.526 --> 01:07:49.147]  Exactly, so let me ask you this, Chadwick.
[01:07:49.447 --> 01:07:50.948]  Gut level, what do you think ends up happening?
[01:07:50.988 --> 01:07:51.509]  Just real quick.
[01:07:52.518 --> 01:07:52.838]  Civil War.
[01:07:52.858 --> 01:07:56.019]  That's why I relocated my family to Utah, uh, to survive.
[01:07:56.039 --> 01:07:57.219]  It's a very survivable place.
[01:07:58.119 --> 01:07:59.940]  Uh, you know, we were from the Chicago area.
[01:08:00.580 --> 01:08:01.000]  Yeah.
[01:08:01.020 --> 01:08:03.480]  But, written down, Civil War.
[01:08:03.620 --> 01:08:06.041]  You know, it's flashed World War.
[01:08:06.161 --> 01:08:08.381]  I know this, the communists and all of them just really want it.
[01:08:08.401 --> 01:08:10.262]  They really want to taste their teeth in their mouth.
[01:08:13.742 --> 01:08:20.224]  Live from the Infowars.com studios, you're listening to the Alex Jones Show.
[01:08:21.550 --> 01:08:24.420]  I'll teach you what love's all about tonight.
[01:08:36.700 --> 01:08:39.703]  Well, I gotta tell you, ladies and gentlemen, this is one hell of a time to be alive.
[01:08:39.723 --> 01:08:41.625]  I'll get to as many of these calls as I can tomorrow.
[01:08:41.645 --> 01:08:43.447]  I'm just gonna clear the decks and just take calls.
[01:08:44.087 --> 01:08:44.568]  I really am.
[01:08:44.908 --> 01:08:48.792]  I'm gonna come in here because, folks, they're openly saying martial law.
[01:08:48.832 --> 01:08:51.314]  They're openly saying kill the president, go after his supporters.
[01:08:51.334 --> 01:08:53.236]  They're openly saying all of this.
[01:08:53.276 --> 01:08:54.677]  The president says there's a coup happening.
[01:08:54.797 --> 01:08:57.099]  It is, by a bunch of globalist criminals.
[01:09:00.703 --> 01:09:01.924]  And you just gotta ask yourself,
[01:09:04.326 --> 01:09:05.407]  What do we do to stop this?
[01:09:05.427 --> 01:09:07.088]  I mean, that's really the frustration here.
[01:09:07.729 --> 01:09:10.291]  Is that you look at the rhetoric of the globalists and their minions.
[01:09:10.311 --> 01:09:11.192]  They hate America.
[01:09:11.572 --> 01:09:13.194]  They hate the already born children.
[01:09:13.234 --> 01:09:14.275]  They're just bad.
[01:09:14.355 --> 01:09:15.696]  And they've shown who they are.
[01:09:16.276 --> 01:09:19.639]  And put their war face on and say, we're getting your president.
[01:09:19.659 --> 01:09:20.260]  We're killing him.
[01:09:20.280 --> 01:09:23.382]  And we're going to kill you if you don't get on board.
[01:09:23.443 --> 01:09:25.604]  Well, I'm sure as hell not going to bow to that.
[01:09:26.385 --> 01:09:27.865]  In fact, I have no fear of these people.
[01:09:27.965 --> 01:09:34.247]  I have fear that I'm not working hard enough to beat them before this disintegrates into whatever's about to happen.
[01:09:35.267 --> 01:09:41.289]  Let me tell you, most of the people lined up wanting all this big fight they're looking for because they've never been in a fight in their life.
[01:09:42.789 --> 01:09:44.930]  And the veterans are awake, folks.
[01:09:44.950 --> 01:09:45.810]  That's all I can say.
[01:09:45.870 --> 01:09:52.492]  Let's go to... Let's go to... There's so many here to talk to.
[01:09:52.512 --> 01:09:54.433]  Let's go to Michael in Houston.
[01:09:54.473 --> 01:09:55.093]  Michael, you're on the air.
[01:09:55.113 --> 01:09:55.673]  Thanks for holding.
[01:09:58.578 --> 01:09:59.118]  Hey, Michael.
[01:09:59.138 --> 01:09:59.959]  Hey, Michael.
[01:09:59.979 --> 01:10:00.579]  Welcome, sir.
[01:10:00.799 --> 01:10:03.040]  How are you?
[01:10:03.341 --> 01:10:05.842]  This is Michael out of Houston.
[01:10:06.502 --> 01:10:08.824]  So there's two ways to restore the Republic.
[01:10:08.864 --> 01:10:16.508]  The first way is through the courts, and the second way is the way that it appears Trump is finally taking action, which is through the military.
[01:10:16.528 --> 01:10:22.371]  And if he doesn't do it, it's not going to be good.
[01:10:23.251 --> 01:10:27.974]  Either Pelosi's going to come in, or Hillary's going to come in if they complete the coup.
[01:10:29.462 --> 01:10:32.743]  And there's a few things, there's a few ways it could play out.
[01:10:33.783 --> 01:10:37.364]  And if we all know through the courts, it's not going to work.
[01:10:37.584 --> 01:10:38.624]  The courts are corrupted.
[01:10:39.384 --> 01:10:40.724]  The lawyers are all corrupt.
[01:10:41.345 --> 01:10:42.845]  The judges are all paid for.
[01:10:42.885 --> 01:10:44.685]  They all got skeletons in the closet.
[01:10:45.605 --> 01:10:53.307]  There's, there's no way to possibly restore the Republic back to its original intent through the courts.
[01:10:53.927 --> 01:10:58.128]  And so if Trump has the military, like you say, here in this report,
[01:10:59.079 --> 01:11:00.320]  I read up on it too.
[01:11:00.701 --> 01:11:09.549]  They bring in the military and start taking out some of these people that are trying to complete this coup.
[01:11:10.770 --> 01:11:15.053]  It can really make a difference and it could really set the
[01:11:18.211 --> 01:11:19.031]  Well, I know this.
[01:11:19.231 --> 01:11:20.832]  I mean, the criminals up there.
[01:11:20.912 --> 01:11:27.935]  Phil Mudd, former deputy director of the CIA for quote, anti-terrorism direct action.
[01:11:27.955 --> 01:11:29.136]  That's going and killing people.
[01:11:29.176 --> 01:11:29.716]  He didn't do it.
[01:11:29.736 --> 01:11:30.336]  He would order it.
[01:11:30.837 --> 01:11:31.577]  Little bureaucrat.
[01:11:32.935 --> 01:11:37.776]  That guy's saying kill the president and stab him in the back and, you know, slobbering on TV.
[01:11:37.836 --> 01:11:39.217]  I mean, that's obscene.
[01:11:39.977 --> 01:11:41.357]  No other country would put up with that.
[01:11:41.677 --> 01:11:43.598]  That guy would be in big trouble.
[01:11:44.158 --> 01:11:53.840]  But again, they're just up there roaring and screaming and yelling and calling for war with us and how they're going to torture us and how they're going to put us in prison and we better submit to them.
[01:11:53.900 --> 01:11:58.521]  It's just the tolerance of this country has put it in a very bad position.
[01:11:58.541 --> 01:11:59.022]  God bless you.
[01:11:59.462 --> 01:12:00.382]  I appreciate your call, sir.
[01:12:01.118 --> 01:12:04.704]  Okay, uh, let's go ahead and take a call from Chase in California.
[01:12:05.085 --> 01:12:06.467]  Chase, what do you make of all this?
[01:12:08.190 --> 01:12:09.372]  Hey, thanks for taking my call.
[01:12:09.452 --> 01:12:10.554]  Alex, it's Chase Pacer.
[01:12:10.594 --> 01:12:11.155]  Long time.
[01:12:11.495 --> 01:12:12.196]  Welcome, go ahead.
[01:12:13.106 --> 01:12:14.846]  Yeah, I was watching Meet the Press.
[01:12:14.906 --> 01:12:18.407]  I don't like watching it, but I do it because I got to make sure I know what the enemy is planning.
[01:12:18.747 --> 01:12:23.889]  And exactly like what you're talking about today, John Brennan was on there talking to old Chuck Todd.
[01:12:24.009 --> 01:12:25.169]  Sleepy-eyed Chuck Todd.
[01:12:25.529 --> 01:12:27.629]  And John Brennan was acting like the con man.
[01:12:27.669 --> 01:12:30.450]  He has to act confident because he's so nervous.
[01:12:30.510 --> 01:12:33.091]  But I want to bring up something that was a little more concerning.
[01:12:33.451 --> 01:12:36.231]  Chuck Todd, he brought up these statistics.
[01:12:36.672 --> 01:12:42.653]  He said 40% of America is getting false information and 60% is getting reality from us.
