[00:00:08.671 --> 00:00:09.511]  It's April 1st, 2019.
[01:48:12.062 --> 01:48:19.204]  He's now reintroduced these as well, and it is a breakaway group in the CIA and the Defense Department.
[01:48:20.219 --> 01:48:27.068]  That it interfaces with mainstream news, CNN, MSNBC, to try to overthrow Trump and shut down free press in this country.
[01:48:27.108 --> 01:48:28.690]  They've had the hearings, they've broken it all down.
[01:48:29.051 --> 01:48:30.272]  Document Cam, shot please.
[01:48:30.953 --> 01:48:35.919]  Remember this, Obama quietly signs the Countering Disinformation and Propaganda Act into law.
[01:48:36.817 --> 01:48:44.667]  Then they just call everyone Russians, who's domestic, and then they're able to use this money to fund hit pieces, lawsuits, and programs to deplatform folks.
[01:48:44.707 --> 01:48:45.568]  That's now come out.
[01:48:46.429 --> 01:48:50.815]  Murphy, Portman introduced measure to fight propaganda and disinformation.
[01:48:52.594 --> 01:48:55.197]  And so they already passed it in 2016, as you can see here.
[01:48:55.217 --> 01:48:57.660]  This is from his senate.gov website.
[01:48:57.680 --> 01:48:59.281]  This is directly from the senator.
[01:48:59.742 --> 01:49:06.910]  He tells you that he did this before, had to put the Defense Authorization Act, and then Obama signed executive orders as well.
[01:49:07.410 --> 01:49:09.353]  And these are groups of Democrats in the government
[01:49:10.421 --> 01:49:14.783]  With national security clearances, working against yours truly, President Trump, and others.
[01:49:14.823 --> 01:49:24.608]  And he was just on television last week saying, I killed one of the fathers of one of the Sandy Hook victims because I'm quote terrorizing them and I need to be taken off the air.
[01:49:24.628 --> 01:49:29.730]  And then it's quote, the democratic, democracy depends on Alex Jones and others being taken off.
[01:49:30.110 --> 01:49:32.931]  And he blamed Google and Facebook and YouTube.
[01:49:33.151 --> 01:49:35.973]  So they're trying to bully them under his control.
[01:49:36.753 --> 01:49:40.314]  And Trump's sitting on the sidelines while this happens saying, we're not going to regulate.
[01:49:40.574 --> 01:49:47.256]  Well, you've let the Democrats then, by the vacuum, and the EU, and all of them, come in with the regulation.
[01:49:48.777 --> 01:49:50.937]  And now you see Zuckerberg saying, yeah, go ahead and regulate me.
[01:49:51.357 --> 01:49:54.498]  That's because they'll have protection of law to censor.
[01:49:54.558 --> 01:49:56.439]  So I'm going to explain that again.
[01:49:57.399 --> 01:50:01.961]  Trump's done a great job on so many fronts, but this is his only big failure, is not fighting the censorship.
[01:50:02.001 --> 01:50:02.481]  He started.
[01:50:04.313 --> 01:50:10.200]  A few weeks ago with the move to strip the money of public universities that engage in this malice brainwashing.
[01:50:10.481 --> 01:50:12.183]  They're now centers of anti-free speech.
[01:50:12.223 --> 01:50:12.603]  That's good.
[01:50:13.144 --> 01:50:22.675]  But first, Mr. Barnes looking at this and the magnitude of it and that he's at the heart of quarterbacking all this and he wants me off the air.
[01:50:23.669 --> 01:50:25.050]  And then getting into what you think Trump should do.
[01:50:25.470 --> 01:50:25.870]  Absolutely.
[01:50:25.930 --> 01:50:42.417]  So, I mean, it's part of a coordinated campaign and the fact that Senator Murphy's on both sides of these, that he's out there promoting a message about the lawsuits, that propagandizes his reason to censor, shame, and control what people can say, what people can hear, what people can speak, what people can think.
[01:50:42.657 --> 01:50:44.679]  And he's the one constantly bringing up Sandy Hook, not me.
[01:50:44.919 --> 01:50:45.419]  Absolutely.
[01:50:45.719 --> 01:50:55.927]  So he's using it as his political excuse, his political premise, his political predicate, in order to engage in the thought control, speech control, and press control that he wants to have happen.
[01:50:56.247 --> 01:51:03.392]  And it's part of an ongoing campaign where they recognize that if people are allowed to get free press, get independent press, get independent... He'll lose.
[01:51:03.712 --> 01:51:04.212]  Precisely.
[01:51:04.493 --> 01:51:06.094]  They can't win in an open debate.
[01:51:06.474 --> 01:51:07.575]  That's what the real admission is.
[01:51:07.595 --> 01:51:21.821]  I mean, the reason why we have free speech and free press both together in the First Amendment to the United States Constitution is because it's the independent free press and the independent free speech of ordinary people and everyday people across the world that ends up getting us to the best place to protect our freedoms and our liberties.
[01:51:22.181 --> 01:51:32.886]  That respects the audience, that respects people to make up their own mind, and that respects the power of the idea to be successful, not rely on the power of the person who controls the microphone to be successful.
[01:51:33.266 --> 01:51:43.255]  And so what he believes, and what Senator Murphy believes, and a lot of these other Democratic politicians believe, and Big Tech believes, is that the great danger to America is freedom of thought, is freedom of speech, is freedom of press.
[01:51:43.515 --> 01:51:50.661]  There's a reason why it's in the First Amendment to the United States Constitution, because it was necessary to secure every other liberty, is independent free press.
[01:51:50.782 --> 01:51:56.146]  Not the big press, the little press, the everyday press, the independent press, that is critical and essential and fundamental.
[01:51:56.186 --> 01:51:59.649]  And that's getting into the First Amendment, I want you to get back into that, you're an expert in, but specifically,
[01:52:00.570 --> 01:52:03.512]  One of Trump's main failings is he can't get people appointed.
[01:52:03.532 --> 01:52:04.953]  He can't get into the bureaucracy.
[01:52:04.993 --> 01:52:05.693]  He's starting to.
[01:52:06.134 --> 01:52:11.717]  The first thing he needs to do, this is who captains and runs the censorship, is this stay-behind group.
[01:52:12.117 --> 01:52:18.001]  And one of the few areas a commander-in-chief can actually reverse congressional funding is how it's designated.
[01:52:18.341 --> 01:52:23.684]  He should take the money out of this group and put it towards the wall, or put it towards amputees or something, or bonuses for the troops.
[01:52:23.985 --> 01:52:29.268]  Not billions of dollars, over $2 billion total now, to finance the destruction of the press.
[01:52:29.688 --> 01:52:30.149]  Absolutely.
[01:52:30.689 --> 01:52:42.319]  It's deeply ironic that the very people who supported the seditious activity of the Deep State against the President are now trying to reclassify and redefine opposition to the institutional press and institutional power as itself seditious.
[01:52:42.720 --> 01:52:45.622]  And he shouldn't be any part of supporting it, any part of subsidizing it.
[01:52:45.903 --> 01:52:46.723]  He should defang it.
[01:52:47.004 --> 01:52:48.005]  He should demonetize it.
[01:52:48.045 --> 01:52:50.206]  He should do what YouTube has done to everybody who is independent.
[01:52:50.226 --> 01:52:52.689]  We have found the reactor shaft on the Death Star.
[01:52:53.732 --> 01:52:55.533]  I mean, this takes them out.
[01:52:55.873 --> 01:52:56.413]  Oh, precisely.
[01:52:56.613 --> 01:53:01.914]  This is their last gasp at social control, at media control, at thought control, and at press control.
[01:53:01.934 --> 01:53:08.416]  They're using state tools and state organs to achieve it and to attain it, and the president needs to take action to make sure it doesn't happen.
[01:53:08.496 --> 01:53:10.277]  I mean, we have a CIA body.
[01:53:10.477 --> 01:53:11.417]  This is back to Frank Church.
[01:53:11.837 --> 01:53:12.438]  Oh, absolutely.
[01:53:13.598 --> 01:53:16.919]  In fact, were you guys able to grab the trailer for Enemy of the State like I was asking?
[01:53:19.431 --> 01:53:19.831]  We have it.
[01:53:19.911 --> 01:53:22.112]  I mean, this is Gene Hackman and Will Smith.
[01:53:22.272 --> 01:53:22.912]  Great movie.
[01:53:22.932 --> 01:53:24.393]  Gene Hackman's probably my favorite actor.
[01:53:24.953 --> 01:53:25.513]  So classy.
[01:53:25.553 --> 01:53:26.873]  Wish he wouldn't retire, but I understand.
[01:53:27.694 --> 01:53:29.254]  And so sick of Hollywood.
[01:53:29.274 --> 01:53:30.995]  He lives like in North Carolina or something on a ranch.
[01:53:31.595 --> 01:53:33.456]  But this is based on how real stuff works.
[01:53:33.476 --> 01:53:37.477]  With the deep state, a breakaway group inside the NSA
[01:53:38.743 --> 01:53:43.326]  is using their power to try to bring in a police state for the globalists.
[01:53:43.726 --> 01:53:44.587]  Again, the police aren't bad.
[01:53:44.607 --> 01:53:45.467]  It's the police state.
[01:53:45.487 --> 01:53:47.068]  It means bad guys in control.
[01:53:47.088 --> 01:53:47.648]  Things like this.
[01:53:47.968 --> 01:53:48.769]  This is a police state.
[01:53:49.469 --> 01:53:51.370]  And they discovered that they're killing people.
[01:53:51.911 --> 01:53:57.034]  They discovered they've killed a senator who's trying to stop them from the illegal spying.
[01:53:57.094 --> 01:53:59.275]  And this is actually how the real world works.
[01:53:59.535 --> 01:54:02.437]  And Chris Murphy is the bad guy in this movie.
[01:54:02.477 --> 01:54:03.558]  He's one of the kingpins.
[01:54:04.078 --> 01:54:05.779]  It's just outrageously criminal.
[01:54:05.999 --> 01:54:07.260]  Let's go ahead and roll that trailer, please.
[01:54:09.335 --> 01:54:09.535]  Hi.
[01:54:09.756 --> 01:54:13.199]  Hey, hi.
[01:54:13.339 --> 01:54:15.441]  So you want some lingerie for your wife?
[01:54:15.861 --> 01:54:16.322]  Uh, yes.
[01:54:17.543 --> 01:54:20.525]  I'm not really experienced in this.
[01:54:20.685 --> 01:54:21.786]  I mean, don't get me wrong.
[01:54:21.827 --> 01:54:23.228]  I mean, I'm experienced.
[01:54:23.268 --> 01:54:26.271]  You know, I don't want to come in here and look stupid.
[01:54:26.551 --> 01:54:26.951]  Too late.
[01:54:27.011 --> 01:54:27.472]  Yeah.
[01:54:29.170 --> 01:54:30.191]  Should have gotten her a watch.
[01:54:31.191 --> 01:54:33.693]  Robert Clayton Dean was innocent.
[01:54:35.914 --> 01:54:40.056]  We have reason to believe that Mr. Zavitz may have passed sensitive materials to you.
[01:54:40.076 --> 01:54:40.717]  What kind of materials?
[01:54:41.137 --> 01:54:41.777]  Sensitive, sir.
[01:54:41.857 --> 01:54:42.738]  Let's get into his life.
[01:54:42.918 --> 01:54:45.680]  They have you bugged, Mr. Dean.
[01:54:46.060 --> 01:54:46.980]  Move to audio three.
[01:54:47.020 --> 01:54:48.741]  He was unsuspecting.
[01:54:48.761 --> 01:54:49.162]  Hey, hey!
[01:54:49.322 --> 01:54:51.023]  Finding the wrong house?
[01:54:51.203 --> 01:54:51.643]  Hello?
[01:54:52.003 --> 01:54:52.503]  Eric?
[01:54:52.523 --> 01:54:52.904]  Mr. Dean!
[01:54:54.785 --> 01:54:55.905]  He was unaware.
[01:54:55.945 --> 01:54:57.806]  You are the only woman in the world for me.
[01:54:58.467 --> 01:54:59.627]  You and Janet Jackson.
[01:54:59.988 --> 01:55:02.009]  Coming your way over.
[01:55:02.109 --> 01:55:05.351]  Now, what he doesn't know... I'd like to report a break-in.
[01:55:05.411 --> 01:55:06.371]  ...could kill him.
[01:55:06.951 --> 01:55:10.073]  Request immediate keyhole visual tasking, maximum resolution.
[01:55:10.133 --> 01:55:11.354]  He's on your six o'clock!
[01:55:11.394 --> 01:55:12.615]  You have something they want!
[01:55:12.635 --> 01:55:13.375]  Two targets, rooftop.
[01:55:13.395 --> 01:55:14.336]  I don't have anything!
[01:55:14.396 --> 01:55:16.257]  Maybe you do and you don't know it!
[01:55:16.617 --> 01:55:17.397]  You're a threat now.
[01:55:17.497 --> 01:55:17.937]  To whom?
[01:55:18.198 --> 01:55:18.798]  Everyone you know.
[01:55:18.858 --> 01:55:19.638]  Target's on the move.
[01:55:19.718 --> 01:55:20.679]  A name, a phone number?
[01:55:20.719 --> 01:55:21.479]  No, nothing!
[01:55:21.519 --> 01:55:22.440]  He didn't give me anything!
[01:55:24.997 --> 01:55:26.699]  How many federal agents you have following you?
[01:55:27.259 --> 01:55:29.982]  Stay exactly where you are.
[01:55:30.002 --> 01:55:32.884]  I'm gonna use every means possible to get what we need.
[01:55:32.924 --> 01:55:34.085]  From Jerry Bruckheimer.
[01:55:34.105 --> 01:55:34.706]  Get the cat.
[01:55:34.726 --> 01:55:35.687]  What's the cat's name?
[01:55:35.747 --> 01:55:36.147]  Babe.
[01:55:36.227 --> 01:55:37.188]  Producer of The Rock.
[01:55:37.669 --> 01:55:39.090]  Come here, baby.
[01:55:39.390 --> 01:55:40.671]  Baby, come, come, come here.
[01:55:40.791 --> 01:55:42.253]  A film by Tony Scott.
[01:55:42.333 --> 01:55:43.594]  Target is on 21.
[01:55:43.654 --> 01:55:45.035]  Director of Crimson Tide.
[01:55:45.055 --> 01:55:45.696]  Is this about me?
[01:55:45.716 --> 01:55:45.696]  20.
[01:55:45.796 --> 01:55:46.777]  Do they know me? 19.
[01:55:48.618 --> 01:55:49.179]  Who is that?
[01:55:49.199 --> 01:55:49.179]  18?
[01:55:49.299 --> 01:55:50.259]  He jumped to 17!
[01:55:50.299 --> 01:55:51.861]  You didn't know me!
[01:55:52.081 --> 01:55:54.643]  I don't know what you're talking about!
[01:55:55.364 --> 01:55:56.004]  Will Smith.
[01:55:56.104 --> 01:55:57.225]  You're one of them, aren't you?
[01:55:57.546 --> 01:55:58.527]  Former conspirer.
[01:55:58.607 --> 01:56:00.969]  Swing it, Johnny, swing it!
[01:56:01.009 --> 01:56:01.729]  Gene Hackman.
[01:56:01.769 --> 01:56:03.271]  This man, this is our problem.
[01:56:03.311 --> 01:56:05.052]  You live in another day, I'd be very impressed.
[01:56:05.072 --> 01:56:08.235]  It's not paranoia when they're really after you.
[01:56:09.996 --> 01:56:11.217]  Don't stop it now!
[01:56:13.539 --> 01:56:15.181]  Enemy of the State.
[01:56:16.835 --> 01:56:19.836]  A rogue criminal group trying to take the government over.
[01:56:20.236 --> 01:56:21.916]  That's what always happens in terrible countries.
[01:56:21.936 --> 01:56:22.836]  Now it's happening here.
[01:56:23.096 --> 01:56:23.837]  They've been caught.
[01:56:24.097 --> 01:56:25.057]  The President's talking about it.
[01:56:25.257 --> 01:56:26.477]  He's getting ready to prosecute them.
[01:56:26.797 --> 01:56:28.678]  Move against Chris Murphy now!
[01:56:29.078 --> 01:56:30.578]  Move against Blumenthal and his son!
[01:56:30.898 --> 01:56:31.318]  All of them!
[01:56:31.498 --> 01:56:33.139]  Protect the American people, President!
[01:56:33.359 --> 01:56:35.019]  Our intelligence agencies are good people!
[01:56:35.379 --> 01:56:38.440]  These are enemies working with the CHICOMS, and that's why they want me off air!
[01:56:39.040 --> 01:56:40.600]  They're working for the CHICOMS, dammit!
[01:56:40.920 --> 01:56:42.521]  Now protect us from these assholes!
[01:56:43.081 --> 01:56:43.641]  Go ahead, sorry.
[01:56:44.375 --> 01:57:05.875]  I mean, basically it's a sort of continuous coordinated effort to control thought, speech, and freedom in the United States because of the success of the independent free press, because of the success of people's independent activities politically, because of their empowering the President of the United States to reverse this Chinese model of economic and political control that the big tech is colluding with.
[01:57:06.075 --> 01:57:06.676]  Now they're trying it here.
[01:57:06.696 --> 01:57:07.537]  As Trump said, it's treason.
[01:57:07.557 --> 01:57:07.677]  It is.
[01:57:25.496 --> 01:57:26.316]  No doubt it is.
[01:57:26.476 --> 01:57:31.458]  Chris Murphy is involved in treason against the country, the First Amendment, and is a CHICOM operative.
[01:57:31.658 --> 01:57:32.018]  It's known.
[01:57:32.198 --> 01:57:34.219]  And he's scared, really scared of the show.
[01:57:34.419 --> 01:57:36.419]  He wants us off because we know who you are!
[01:57:36.639 --> 01:57:37.860]  You dirty traitor!
[01:57:38.320 --> 01:57:40.480]  You dirty anti-American filth!
[01:57:40.941 --> 01:57:42.281]  You're not going to beat Texas!
[01:57:42.501 --> 01:57:45.102]  You're not going to beat me because you are filth!
[01:57:45.662 --> 01:57:47.062]  God will defeat you!
[01:57:56.115 --> 01:58:00.017]  We have sustained under the total enemy attack of Soros, the Clintons, and their crime syndicate.
[01:58:00.037 --> 01:58:03.338]  They're losing control, they're failing on a global scale, but they're striking back.
[01:58:03.498 --> 01:58:06.300]  We've got to hold the line, and that means financial support.
[01:58:06.360 --> 01:58:07.320]  And you've done a great job.
[01:58:07.460 --> 01:58:08.400]  But we make it easy.
[01:58:08.520 --> 01:58:10.461]  RainForce Plus is an amazing nootropic.
[01:58:10.501 --> 01:58:14.843]  We've never had it at 60% off, but I want those of you that haven't used it to see how really great it is.
[01:58:15.003 --> 01:58:18.185]  BODY's Ultimate Turmeric Formula, 95% curcuminoid.
[01:58:18.205 --> 01:58:19.025]  Nobody else has that.
[01:58:19.045 --> 01:58:21.866]  The ultimate turmeric formula on the planet, from our research.
[01:58:21.886 --> 01:58:22.827]  60% off.
[01:58:22.907 --> 01:58:24.287]  These are lost leaders, by the way.
[01:58:24.407 --> 01:58:25.548]  I want you to see how great they are.
[01:58:25.708 --> 01:58:26.649]  Storewide free shipping.
[01:58:26.749 --> 01:58:30.933]  We've got X2, a limited run of the Deep Earth Crystal Pure Iodine that nobody else has.
[01:58:31.033 --> 01:58:35.377]  I got a pretty good size shipment in, but my goodness, people have been excited about it at 50% off.
[01:58:35.517 --> 01:58:36.899]  It's set to sell out in the next few weeks.
[01:58:36.939 --> 01:58:37.559]  I couldn't believe it.
[01:58:37.759 --> 01:58:40.882]  X2, the latest run, set to sell out 55% off.
[01:58:41.002 --> 01:58:42.984]  Infowarsstore.com, Infowarslife.com, or 888-253-3139.
[01:58:43.004 --> 01:58:42.984]  $17.95.
[01:58:43.024 --> 01:58:45.306]  You can look at that 98% approval rating for that.
[01:58:51.192 --> 01:58:52.254]  DNA Force.
[01:58:52.494 --> 01:58:55.959]  Many leading brands aren't even as strong with the Bio, PQQ, and CoQ10.
[01:58:56.099 --> 01:58:59.344]  Other key factors that slow the death of telomeres, the shrinking of telomeres.
[01:58:59.465 --> 01:59:00.246]  This is all facts.
[01:59:00.386 --> 01:59:01.708]  DNA Force is amazing.
[01:59:01.728 --> 01:59:02.269]  Go read about it.
[01:59:02.349 --> 01:59:03.070]  Leading competitors are $300, $400.
[01:59:03.130 --> 01:59:03.410]  Say it.
[01:59:03.431 --> 01:59:04.332]  Mark it up 5, 6, 7 times.
[01:59:04.352 --> 01:59:04.853]  We mark it up $150.
[01:59:07.096 --> 01:59:07.376]  We're good
[01:59:25.623 --> 01:59:25.883]  We're good.
[01:59:54.574 --> 01:59:58.697]  Leading a frontal assault on the lies of the New World Order.
[01:59:59.217 --> 02:00:00.538]  It's Alex Jones.
[02:00:05.262 --> 02:00:18.671]  Resistance to tyrants is obedience to God.
[02:00:19.392 --> 02:00:21.173]  It's Alex Jones.
[02:00:23.545 --> 02:00:25.386]  Well, listen, I'll use his name.
[02:00:25.406 --> 02:00:35.730]  We're talking about Alex Jones and the fact of the matter is that the companies that allow people like him, conspiracy theorists, to be able to purvey lies have a responsibility.
[02:00:36.551 --> 02:00:45.935]  There is no constitutional duty on an internet company to allow somebody to terrorize parents of mass tragedies like Alex Jones did for so long.
[02:00:46.696 --> 02:00:51.760]  The Newtown families are proceeding with a court case to try to hold him accountable.
[02:00:52.440 --> 02:01:05.150]  But the companies that allow for this nonsense, this garbage, to be spread out over the internet have a responsibility and a duty themselves to do something earlier than they did in the case of InfoWars.
[02:01:05.751 --> 02:01:11.976]  I wish that these parents could shut it all out, but they can't.
[02:01:12.836 --> 02:01:13.377]  They cannot.
[02:01:14.297 --> 02:01:16.680]  He and the media are the ones constantly promoting it.
[02:01:16.740 --> 02:01:17.841]  I barely even ever covered it.
[02:01:18.221 --> 02:01:19.522]  The internet didn't believe a lot of it.
[02:01:19.762 --> 02:01:21.143]  That's our right if people want to do that.
[02:01:21.444 --> 02:01:22.845]  And now they just won't stop.
[02:01:22.945 --> 02:01:24.707]  And it's a synthetic lie.
[02:01:24.927 --> 02:01:30.071]  And then this guy's running a stay-behind group that Obama put in government to shut down the press and Trump.
[02:01:30.432 --> 02:01:32.213]  And he's just a monster.
[02:01:32.573 --> 02:01:34.855]  I mean, he needs to be indicted for being part of this.
[02:01:34.916 --> 02:01:38.399]  And Trump is talking about indicting the co-conspirators, including Schiff.
[02:01:39.153 --> 02:01:39.673]  Oh, precisely.
[02:01:39.713 --> 02:01:56.238]  I mean, the actual coverage of InfoWars, of course, was 90% that Sandy Hook was a real event, and that the only reason, the only questions mostly that were raised were about whether there were second shooters or third shooters, whether or not Big Pharma's role in giving people SSRI drugs, where it was influencing.
[02:01:56.258 --> 02:01:57.298]  Let's be clear, you're the head lawyer.
[02:01:57.338 --> 02:01:59.939]  You've reviewed, you've done thousands of hours.
[02:02:00.279 --> 02:02:00.739]  Absolutely.
[02:02:00.779 --> 02:02:01.960]  So you review everything.
[02:02:02.000 --> 02:02:03.941]  Paul Watson, of course, always believed it was a real event.
[02:02:03.961 --> 02:02:05.702]  He's the editor-in-charge here of InfoWars.
[02:02:06.042 --> 02:02:15.488]  So that was always the message from InfoWars, was whether or not the government was being straightforward, whether the government was being clear, whether the government was doing its duty to disclose accurate, honest information.
[02:02:15.848 --> 02:02:21.912]  And of course, ultimately, the Connecticut Supreme Court determined that the law enforcement had hid information that they were not supposed to hide.
[02:02:22.312 --> 02:02:25.974]  And that included the horrifying aspect of this tragedy.
[02:02:26.334 --> 02:02:33.040]  Was that the school system did not give the teachers the means to safeguard the school by giving them the means to lock the doors from the inside.
[02:02:33.380 --> 02:02:40.767]  That was one of the things that apparently they were trying to cover up by focusing exclusively as the only sole culprit of this incident being a gun.
[02:02:41.127 --> 02:02:42.889]  They didn't want to talk about the role of drugs.
[02:02:42.969 --> 02:02:45.051]  They didn't want to talk about the role of the school system.
[02:02:45.071 --> 02:02:46.953]  They didn't want to talk about the role of law enforcement.
[02:02:47.633 --> 02:02:50.636]  That could have done things different, that could have protected people's lives.
[02:02:51.176 --> 02:03:01.865]  And so as a consequence, you see some of these high-ranking politicians in Connecticut try to demonize you, and try to demonize Infowars, and try to make that the sole source of any particular problem in this particular instance.
[02:03:02.465 --> 02:03:03.306]  And that's what's happening.
[02:03:03.326 --> 02:03:15.516]  And it's not a coincidence that the exact same Senator, Senator Murphy, that's leading this political warfare, and is engaging in supporting the lawfare that's taking place, and using his political connections and ties to help accomplish and achieve that,
[02:03:15.936 --> 02:03:24.481]  And again, our listeners are like, yeah, we know there's censorship.
[02:03:24.782 --> 02:03:25.802]  I understand, folks.
[02:03:26.082 --> 02:03:27.123]  This is the whole enchilada.
[02:03:27.723 --> 02:03:29.725]  This is the one thing Trump hasn't moved on.
[02:03:29.745 --> 02:03:36.028]  And I want to come back with Ben Garrison and you and talk about the next level of deception, where they said they're going to take people off for the comments on their page.
[02:03:36.349 --> 02:03:38.450]  So we're having to prepare legal action just to defend ourselves.
[02:03:38.490 --> 02:03:39.851]  I mean, this is a nightmare situation.
[02:03:39.891 --> 02:03:42.392]  But it's because, as you said, our speech is the truth.
[02:03:42.452 --> 02:03:42.893]  It's winning.
[02:03:44.352 --> 02:03:49.414]  But just briefly, what should the President do in 60 seconds first to stop these people?
[02:03:49.915 --> 02:03:59.839]  So he should do the same thing he did for universities and colleges and say that grants and other federal funding of these various big tech social media giants will not continue unless they support free speech and the First Amendment.
[02:04:00.199 --> 02:04:07.263]  And he should propose legislative changes to Section 230 of the immunity laws that says unless they comply with the First Amendment, they're no longer immune under the law.
[02:04:07.683 --> 02:04:12.265]  And if that could be, those two steps by themselves could reverse the equation in this situation.
[02:04:12.685 --> 02:04:20.751]  And could mean, for example, just yesterday, Unplanned, a very popular movie that's a pro-life movie, Twitter basically took them off and shadow banned them.
[02:04:20.791 --> 02:04:24.054]  They said you can't promote it and you can't spend money and promote it.
[02:04:24.234 --> 02:04:27.696]  Not only that, when people were trying to follow them, they would be unfollowed five seconds later.
[02:04:27.976 --> 02:04:31.359]  So someone would follow the Twitter feed, then it would magically disappear.
[02:04:31.419 --> 02:04:32.600]  It's everybody's speech.
[02:04:32.660 --> 02:04:33.140]  Absolutely.
[02:04:33.300 --> 02:04:34.922]  They're not going to stop at Alex Jones.
[02:04:35.122 --> 02:04:38.905]  They're using Alex Jones as the example to stop and suppress independent speech everywhere.
[02:04:40.770 --> 02:04:41.610]  It's like East Germany.
[02:04:41.910 --> 02:04:42.251]  Precisely.
[02:04:42.271 --> 02:04:43.812]  It's very much a Stasi mentality.
[02:04:43.832 --> 02:04:44.972]  It's a Soviet mentality.
[02:04:45.313 --> 02:04:46.774]  That's what the new left believes in.
[02:04:47.194 --> 02:04:48.075]  They believe in control.
[02:04:48.095 --> 02:04:48.935]  They don't believe in freedom.
[02:04:50.376 --> 02:04:52.718]  Pro-life movie unplanned, blocked on Twitter.
[02:04:52.758 --> 02:04:53.538]  Hours after release.
[02:04:53.878 --> 02:04:55.900]  And I think it was Google banned the ads.
[02:04:55.920 --> 02:04:56.540]  Yeah, pull that up.
[02:04:56.560 --> 02:04:57.561]  We'll talk about that when you come back.
[02:04:58.121 --> 02:05:00.323]  Google banned the... No, we're not taking your money!
[02:05:00.943 --> 02:05:02.064]  Your money's no good here!
[02:05:02.084 --> 02:05:03.885]  Wars.
[02:05:04.626 --> 02:05:05.646]  I mean, I've explained this.
[02:05:05.947 --> 02:05:07.688]  It's one thing to ban me on a bunch of...
[02:05:08.846 --> 02:05:17.633]  Social media last year saying that I beat up a 10-year-old kid, and they showed a video somebody else shot in another state and just said I did it.
[02:05:18.935 --> 02:05:25.180]  And by the time they banned me everywhere, Forbes, who first reported it, took it down and retracted, but the damage was done.
[02:05:26.632 --> 02:05:43.201]  But if you think I'm gonna sit here when you run with these Instagram headlines and these Vice headlines saying Alex Jones to be taken off Instagram for anti-Semitism and then it's for commenters or for somebody's art, I'm not going to take it anymore.
[02:05:44.833 --> 02:05:46.956]  And so, the letters are gonna be sent out Monday.
[02:05:46.976 --> 02:05:49.479]  I've already got the lawyers engaged.
[02:05:50.300 --> 02:05:51.461]  And we're gonna drop the hammer on you.
[02:05:51.482 --> 02:05:53.784]  We got some other folks about to get the hammer dropped on them as well.
[02:05:54.365 --> 02:05:56.568]  They're not stopping because they got Soros money.
[02:05:58.050 --> 02:05:59.472]  All I have is you supporting us.
[02:06:00.553 --> 02:06:01.194]  That's all I have.
[02:06:07.520 --> 02:06:09.702]  You walk into this room at your own risk.
[02:06:10.483 --> 02:06:11.864]  Because it leads to the future.
[02:06:12.645 --> 02:06:14.947]  Not a future that will be, but one that might be.
[02:06:16.108 --> 02:06:17.209]  This is not a new world.
[02:06:18.350 --> 02:06:21.633]  It is simply an extension of what began in the old one.
[02:06:22.742 --> 02:06:30.247]  It has patterned itself after every dictator who has ever planted the ripping imprint of a boot on the pages of history since the beginning of time.
[02:06:31.167 --> 02:06:38.111]  It has refinements, technological advances, and a more sophisticated approach to the destruction of human freedom.
[02:06:39.232 --> 02:06:43.855]  But like every one of the super states that preceded it, it has one iron rule.
[02:06:44.955 --> 02:06:47.197]  Logic is an enemy and truth is a menace.
[02:06:52.554 --> 02:06:54.395]  This is Mr. Romney Wordsworth.
[02:06:55.275 --> 02:07:00.938]  In his last 48 hours on Earth, he's a citizen of the state, but will soon have to be eliminated.
[02:07:01.938 --> 02:07:05.500]  Because he's built out of flesh, and because he has a mind.
[02:07:06.701 --> 02:07:11.363]  Mr. Romney Wordsworth, who will draw his last breaths in the Twilight Zone.
[02:07:31.021 --> 02:07:53.707]  He'd play the Red River Valley And he'd sit out in the kitchen and cry And run his fingers through seventy years of livin' And wonder, Lord, as ever will our drill run dry
[02:07:56.283 --> 02:08:00.865]  We were friends, me and this old man.
[02:08:01.305 --> 02:08:10.649]  Like desperadoes waiting for a train.
[02:08:11.410 --> 02:08:17.813]  Like desperadoes waiting for a train.
[02:08:17.893 --> 02:08:22.455]  Here's a drifter and a driller of oil wells.
[02:08:24.531 --> 02:08:53.092]  And an old school man of the world He let me drive his car when he's too drunk to And he'd wink and give me money for the girls And our lives were like some old western movie Like desperadoes waiting for a train
[02:08:59.662 --> 02:09:02.843]  Monday through Friday from 11 a.m.
[02:09:03.043 --> 02:09:03.463]  to 3 p.m.
[02:09:03.483 --> 02:09:04.123]  we're here live.
[02:09:04.143 --> 02:09:05.503]  David Knight.
[02:09:05.523 --> 02:09:05.663]  8 a.m.
[02:09:05.683 --> 02:09:10.404]  The David Knight Show Central.
[02:09:10.844 --> 02:09:12.225]  Owen Schroer, The War Room.
[02:09:12.245 --> 02:09:13.725]  3 p.m.
[02:09:13.745 --> 02:09:15.305]  Central.
[02:09:16.606 --> 02:09:18.966]  And they're doing their best to keep us from launching more shows.
[02:09:19.006 --> 02:09:21.087]  I plan to have like 20 hours live by the end of last year.
[02:09:21.127 --> 02:09:22.307]  We couldn't under all the attacks.
[02:09:23.411 --> 02:09:24.832]  And, you know, they fought us to a standstill.
[02:09:24.912 --> 02:09:25.753]  I'll just give you that report.
