[00:00:17.094 --> 00:00:21.237]  Defending the Republic from enemies, foreign and domestic.
[00:47:06.542 --> 00:47:09.264]  You're listening to the Alex Jones Show.
[00:47:16.290 --> 00:47:18.412]  Waging war on corruption.
[00:47:18.912 --> 00:47:24.136]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:47:26.598 --> 00:47:33.044]  Thousands and thousands of times in the last 20 plus years on air,
[00:47:34.687 --> 00:47:37.630]  I've prepared for hours and gotten all the notes and all the articles together.
[00:47:38.390 --> 00:47:42.054]  And then the magnitude of it just gets me upset with the earnestness.
[00:47:42.074 --> 00:47:42.574]  But you know what?
[00:47:42.974 --> 00:47:45.276]  The Lord works in mysterious ways, so thanks for putting up with me.
[00:47:46.758 --> 00:47:47.559]  But I go back to this.
[00:47:47.579 --> 00:47:51.522]  I've been fighting the globalists for 24 years on air.
[00:47:51.542 --> 00:47:54.044]  I've been politically active for 26.
[00:47:54.945 --> 00:47:59.049]  There are a lot of people who came before us that knew what was happening, and thank God for them or we wouldn't have any chance.
[00:48:00.069 --> 00:48:07.394]  We better be thanking Donald Trump for our lucky stars here because I get persecuted for supporting Trump.
[00:48:07.454 --> 00:48:08.955]  He gets persecuted for supporting America.
[00:48:08.975 --> 00:48:09.995]  It doesn't mean he's perfect.
[00:48:10.215 --> 00:48:11.676]  It isn't even about Trump anymore.
[00:48:12.217 --> 00:48:16.980]  It's about the globalist wanting control of the nation to sign it over and control it.
[00:48:18.520 --> 00:48:19.541]  So think about Limbaugh.
[00:48:19.621 --> 00:48:20.522]  I mentioned this earlier.
[00:48:20.782 --> 00:48:21.402]  I didn't play it.
[00:48:21.863 --> 00:48:22.263]  He comes out.
[00:48:22.303 --> 00:48:26.746]  He says there's a silent coup using FBI agents and then the deep state against the president.
[00:48:27.106 --> 00:48:28.827]  Well, the Washington Post calls it that now.
[00:48:29.972 --> 00:48:30.572]  And defend it.
[00:48:31.213 --> 00:48:35.354]  Hell, people say I'm this rocket scientist, and how did I know?
[00:48:35.474 --> 00:48:36.395]  Owen mentioned it earlier.
[00:48:36.415 --> 00:48:45.358]  Senator Schumer, when he was president-elect, two days before the president got sworn in, said the deep state has seven ways to Sunday to get back at somebody.
[00:48:45.859 --> 00:48:57.884]  So it's this entitled bureaucracy put in by the Bushes and the Clintons at the top that thinks they're invincible, but they're learning they're not invincible, and that's why they're getting scared.
[00:48:59.509 --> 00:49:06.405]  We're in a fight, but I'd say we're about 57% or about 43% in the fight.
[00:49:06.546 --> 00:49:09.392]  We are winning, not by a huge margin.
[00:49:10.379 --> 00:49:36.696]  But the longer Trump stays in, more nationalists are getting elected, more patriots are waking up, and the operating system, what we're talking about, nationalism, capitalism, the family, God, decency, men and women, children, being honest, that is what people want, that's what works, versus Hollywood, the satanic, Chi-Com-funded operating system that wants to destroy this country and demoralize us and take us down.
[00:49:37.356 --> 00:49:38.998]  This is an incredible time to be alive.
[00:49:39.018 --> 00:49:45.224]  So I'm not mad at Limbaugh, but instead of, you know, Limbaugh or any of these guys saying, well, Alex Jones was right.
[00:49:45.384 --> 00:49:47.386]  He said two years ago, there was a deep state coup.
[00:49:47.847 --> 00:49:50.830]  He specifically said who was doing it and how they were doing it.
[00:49:51.711 --> 00:49:52.511]  No, no, no, no.
[00:49:52.772 --> 00:49:54.393]  He said they were illegally spying on the president.
[00:49:54.754 --> 00:49:55.795]  He said, here's how they did it.
[00:49:55.915 --> 00:49:57.877]  Because I do the research.
[00:49:57.997 --> 00:49:58.998]  I know how they operate.
[00:49:59.930 --> 00:50:01.491]  Much of it was public intel.
[00:50:01.931 --> 00:50:04.994]  I only had to fill in like 20% of the information.
[00:50:05.014 --> 00:50:08.016]  The globalists act like we're morons.
[00:50:08.836 --> 00:50:09.797]  Like we're blind.
[00:50:09.817 --> 00:50:13.479]  And that's what they feed on, is a dumbed-down population.
[00:50:13.519 --> 00:50:14.120]  But Limbaugh...
[00:50:15.060 --> 00:50:19.143]  It comes out after the Washington Post, after the New York Times, after CNN.
[00:50:19.483 --> 00:50:21.385]  Okay, there's a deep state coup.
[00:50:21.405 --> 00:50:22.025]  Okay, it's real.
[00:50:22.565 --> 00:50:23.566]  We're trying to get the President out now.
[00:50:23.606 --> 00:50:31.772]  I'm glad he's saying it's bad, and I'm not taking limbo out of the woodshed, but why do we always have to report stuff years after it happens?
[00:50:32.612 --> 00:50:35.114]  See, I want to be tomorrow's news today.
[00:50:35.615 --> 00:50:37.996]  Two years ago, what they were doing was clear.
[00:50:38.917 --> 00:50:40.418]  A year ago, it was completely proven.
[00:50:42.529 --> 00:50:46.093]  You see, that's why they had to take down the YouTube page with 3 billion views.
[00:50:46.694 --> 00:50:54.242]  That's why they had to try it, because if anyone goes and watches that, they will see what I really said versus what they're saying now.
[00:50:54.282 --> 00:51:01.810]  And again, in those broadcasts, in what we do here now, holding on at the battle station is what will bring down the enemy.
[00:51:03.210 --> 00:51:03.530]  I think so.
[00:51:17.858 --> 00:51:19.179]  I want to hear the latest.
[00:51:19.199 --> 00:51:19.339]  False.
[00:51:19.559 --> 00:51:20.019]  Go ahead Owen.
[00:51:49.261 --> 00:52:07.091]  Well, Alex, I think that, again, like you said, the deep state or the Democrats or really just the evil is revealing itself right now, and I don't think there's a greater example than Nancy Pelosi coming out in some form of an imperialist, you know, trooper uniform, coming out saying, we're going to take the guns.
[00:52:07.111 --> 00:52:10.013]  I mean, go ahead, let's just roll this video, just take a look.
[00:52:10.193 --> 00:52:11.534]  Here's Nancy Pelosi.
[00:52:11.614 --> 00:52:13.275]  You can see the evil on her face, folks.
[00:52:13.315 --> 00:52:14.856]  But here's what I want the audience to think about.
[00:52:15.456 --> 00:52:19.278]  This woman is going out here telling you that there is no crisis at the southern border.
[00:52:19.358 --> 00:52:20.278]  It's all an illusion.
[00:52:20.598 --> 00:52:22.979]  Now think about the criminal fraud.
[00:52:23.320 --> 00:52:28.602]  Think about the criminal confidence it takes for a woman to say that there's nothing happening at the border.
[00:52:28.682 --> 00:52:30.523]  Again, like Alex said, they think you're blind.
[00:52:30.743 --> 00:52:31.543]  They think you're morons.
[00:52:31.703 --> 00:52:38.746]  So look at Nancy Pelosi in an imperial stormtrooper leader uniform just telling you, oh, there's nothing to see at the border.
[00:52:38.786 --> 00:52:40.127]  We need to keep the borders open.
[00:52:41.327 --> 00:52:41.848]  Exactly.
[00:52:42.008 --> 00:52:42.788]  Let's expand on that.
[00:52:42.808 --> 00:52:44.649]  Let's remember what happened a few weeks ago at the State of the Union.
[00:52:46.371 --> 00:52:48.733]  Trump talked about 3,000 plus women this year.
[00:52:48.953 --> 00:52:53.757]  That's this year in the list of first months saved from sex trafficking in hundreds of children.
[00:52:53.817 --> 00:52:54.358]  All confirmed.
[00:52:54.758 --> 00:52:56.179]  She wouldn't stand or clap.
[00:52:56.579 --> 00:52:57.620]  And neither would Cortez.
[00:52:58.421 --> 00:53:00.563]  And neither would Kamala Harris.
[00:53:00.623 --> 00:53:01.643]  These are monsters.
[00:53:02.004 --> 00:53:05.487]  And then when he said, we're going to pass a law, you can't kill a baby after it's born.
[00:53:05.507 --> 00:53:06.728]  That's already the damn law.
[00:53:06.768 --> 00:53:07.588]  It's called homicide.
[00:53:08.229 --> 00:53:09.230]  What the pass laws?
[00:53:09.270 --> 00:53:10.230]  It's federal laws.
[00:53:10.270 --> 00:53:14.314]  Screw Cuomo and that KKK guy down in Virginia.
[00:53:14.694 --> 00:53:15.735]  But that's the point is,
[00:53:16.815 --> 00:53:19.716]  They're trying to break our will and rub our noses in it.
[00:53:19.736 --> 00:53:20.876]  These are monsters.
[00:53:20.896 --> 00:53:21.756]  This is a ringwraith.
[00:53:21.776 --> 00:53:30.858]  This is a crone-like, evil, demon, drug-head, gangster family woman in some $5,000 Darth Vader outfit trying to look powerful.
[00:53:30.898 --> 00:53:32.718]  She's an empty, rotten husk.
[00:53:33.238 --> 00:53:34.818]  Since I mentioned it, here is Limp Bizkit.
[00:53:34.838 --> 00:53:36.579]  We'll get into the latest false flag.
[00:53:36.619 --> 00:53:36.979]  Here it is.
[00:53:38.679 --> 00:53:43.180]  Why do you call what was going on inside the FBI a silent coup?
[00:53:44.676 --> 00:53:46.176]  Because these people are unelected.
[00:53:46.877 --> 00:54:01.141]  They took it upon themselves to overthrow the election results of 2016, ignoring the potential real collusion and conspiracy between Democrats and Russians to undermine the Trump candidacy and the Trump presidency.
[00:54:01.181 --> 00:54:04.522]  The Mueller investigation, I believe, is a cover-up of all of that.
[00:54:04.722 --> 00:54:06.143]  It's to distract everybody's attention.
[00:54:07.343 --> 00:54:09.024]  You know, again, the Washington game.
[00:54:09.184 --> 00:54:10.564]  We're losing sight of what happened here.
[00:54:10.644 --> 00:54:23.229]  People, unelected, simply because they don't like a guy's hairstyle or like where he came from, decided the American people's decision was invalid and began a systematic process to get him thrown out of office.
[00:54:23.269 --> 00:54:24.489]  This is a silent coup.
[00:54:24.509 --> 00:54:27.790]  These guys, if you ask me, ought to be the ones in jail.
[00:54:27.930 --> 00:54:29.691]  They ought to be the ones under investigation.
[00:54:29.711 --> 00:54:35.553]  So Limbaugh says it like nobody else can, awesome guy, love him to death, and I'm glad he's saying it now.
[00:54:36.320 --> 00:54:37.521]  How about we say it two years ago?
[00:54:38.061 --> 00:54:40.562]  All I'm saying is, we have to attack what's happening now.
[00:54:41.342 --> 00:54:43.263]  And when I'm back tomorrow with Owen, I'm going to call him again.
[00:54:43.283 --> 00:54:44.744]  I'm going to talk about what's coming next.
[00:54:45.184 --> 00:54:47.525]  Roger Stone's popping in, talking about what's coming next.
[00:54:48.066 --> 00:54:49.606]  But they're coming after everything.
[00:54:49.827 --> 00:54:51.307]  They've told you, they're going to confiscate your guns.
[00:54:51.327 --> 00:54:53.348]  They're going to declare their own emergencies.
[00:54:53.628 --> 00:54:56.650]  They're going to declare a national emergency, 25th Amendment, and remove the president.
[00:54:56.750 --> 00:54:57.810]  We're in a crisis.
[00:54:57.870 --> 00:54:59.131]  I'm not trying to scare people.
[00:54:59.731 --> 00:55:00.792]  When your house is on fire,
[00:55:01.710 --> 00:55:04.371]  And your dad shakes you awake and says, get out of the house, it's on fire.
[00:55:04.391 --> 00:55:06.571]  He's not doing it to scare you, he's doing it to save you.
[00:55:06.591 --> 00:55:23.335]  And I know the audience knows this, folks, but they get us in this punch-drunk thing of being attacked all the time and saying, we're going to kill your babies after they're born, or the family's bad, don't say mother or father, to where we don't even know what to do when they do something even crazier, which is going to be arresting people and taking your guns.
[00:55:23.735 --> 00:55:26.656]  They're saying all this because they're getting everybody ready.
[00:55:26.676 --> 00:55:27.556]  Now, let me hit this last thing.
[00:55:28.783 --> 00:55:31.925]  Whatever this started, whatever it was, two weeks ago, the Empire guy.
[00:55:32.225 --> 00:55:33.185]  I looked up who he was.
[00:55:33.225 --> 00:55:34.166]  I looked up his background.
[00:55:34.186 --> 00:55:35.427]  I looked up all the propaganda.
[00:55:35.787 --> 00:55:40.709]  I looked up Infowars.com and Breitbart.com with hundreds and hundreds and hundreds of cases.
[00:55:41.130 --> 00:55:46.352]  Almost every poopswastika or n-word thing or noose around somebody's neck.
[00:55:46.693 --> 00:55:48.754]  I don't say almost, I think all that I've ever seen.
[00:55:50.097 --> 00:55:51.378]  I think so.
[00:56:07.645 --> 00:56:08.726]  We're good to go.
[00:56:23.883 --> 00:56:24.783]  Thanksgiving turkey.
[00:56:25.103 --> 00:56:28.304]  And now the media will quietly try to put this away and won't talk about it.
[00:56:28.324 --> 00:56:33.745]  But just like the Covington kids, these false flags, these staged events, are going to blow up in all their faces.
[00:56:33.825 --> 00:56:37.586]  And everyone, they want to sue me and shut me down for asking questions.
[00:56:37.606 --> 00:56:39.306]  Because sometimes things are real.
[00:56:40.206 --> 00:56:44.667]  Because the media and others stage so much stuff, everybody has to question everything.
[00:56:44.687 --> 00:56:45.408]  That's normal.
[00:56:46.128 --> 00:56:48.468]  It's part of a healthy, free society, Owen.
[00:56:48.948 --> 00:56:52.069]  And the good news is, so many of these things are getting exposed now.
[00:56:53.232 --> 00:56:56.155]  People everywhere are apologizing to me, saying, I think you were a kook.
[00:56:56.436 --> 00:57:00.019]  But now I understand why you question everything, because so much of this stuff stays.
[00:57:00.299 --> 00:57:03.262]  And that's what America is all about, is questioning this garbage.
[00:57:03.322 --> 00:57:05.024]  But this guy needs to go to jail.
[00:57:05.064 --> 00:57:09.368]  They've had 12 detectives for weeks looking into who supposedly did this.
[00:57:09.889 --> 00:57:10.149]  I think so.
[00:57:28.069 --> 00:57:31.150]  And that's why it's upon the American public to hold them responsible.
[00:57:31.170 --> 00:57:37.613]  Look, Jussie Smollett should be one of the most... I mean, everybody should be calling him out right now.
[00:57:37.673 --> 00:57:38.113]  Left, right.
[00:57:38.153 --> 00:57:39.694]  Like you said, CNN's trying to get out ahead of it.
[00:57:40.014 --> 00:57:40.894]  Now, Brian Seltzer.
[00:57:40.914 --> 00:57:41.595]  I've got the clip.
[00:57:41.935 --> 00:57:47.717]  They're blaming conservatives for hyping up this thing as a political event when they're the ones that lied about it.
[00:57:48.118 --> 00:57:49.458]  Smollett's the one that lied about it.
[00:57:49.558 --> 00:57:51.119]  It's they that pulled it off the hooks.
[00:57:52.810 --> 00:57:54.130]  Patriots are on the go.
[00:57:54.711 --> 00:57:58.912]  Hard-working Americans need high-quality energy when they're on the run.
[00:57:59.432 --> 00:58:09.755]  And ladies and gentlemen, we have spent years working with top developers to come out with the highest quality protein bar in vanilla coconut and chocolate peanut butter at InfoWarsLife.com.
[00:58:09.895 --> 00:58:13.716]  This is a high-end bar sold for up to six, seven dollars at Whole Foods.
[00:58:13.956 --> 00:58:15.197]  Similar bars, it's high-end.
[00:58:15.777 --> 00:58:18.678]  Normally we sell it for three dollars a piece when you get it in the box.
[00:58:19.338 --> 00:58:22.781]  But with the discount we're running right now as an introductory offer, it's $2.40 a bar.
[00:58:23.061 --> 00:58:23.962]  No one can top that.
[00:58:24.323 --> 00:58:26.444]  And it funds liberty and the fight against the globalists.
[00:58:26.765 --> 00:58:36.313]  Get your InfoWarsLife protein bars today with 15 grams of protein and so much more at InfoWarsLife.com or by calling toll-free, 888-253-3139.
[00:58:36.333 --> 00:58:37.474]  They're amazing.
[00:58:38.035 --> 00:58:41.738]  America is under globalist attack, but we've been having major victories.
[00:58:42.119 --> 00:58:45.382]  Their criminal EU is on the verge of literally collapsing.
[00:58:45.922 --> 00:58:50.224]  But the globalists are attempting to shut down independent media here in the United States.
[00:58:50.565 --> 00:58:54.047]  They're trying to shut down InfoWars as their number one enemy because we're so effective.
[00:58:54.447 --> 00:58:58.009]  And when you buy products at InfoWarsLife.com, you fund the whole operation.
[00:58:58.089 --> 00:59:02.151]  You are the heart, the blood, the guts, the mind, the brains, the backing of this thing.
[00:59:02.591 --> 00:59:06.914]  And these new energy bars, these new protein bars are incredible.
[00:59:07.074 --> 00:59:12.337]  They're high-end bars that would be sold for six, seven bucks at Whole Foods for as low as $2.40 a piece at InfoWarsLife.com.
[00:59:14.898 --> 00:59:21.941]  Take advantage of this, see how great they are, and help fund the InfoWars to take down the globalists all at the same time at InfoWarsLive.com.
[00:59:22.141 --> 00:59:24.521]  Go get your high-quality coffee at InfoWarsLive.com.
[00:59:25.102 --> 00:59:30.964]  Go get the things that you need for you and your family, like high-quality fish oil, or the protein bars, or Toe Burger Force, and then...
[00:59:31.784 --> 00:59:36.707]  You get great products at great prices and stop the Globalists from shutting us down in our critical fight against them.
[00:59:36.948 --> 00:59:37.688]  It's that simple.
[00:59:37.888 --> 00:59:41.431]  I'm very, very proud of the M4's Life Pro Team Bars that we've launched.
[00:59:41.691 --> 00:59:43.292]  Again, they are the highest quality.
[00:59:43.572 --> 00:59:44.493]  It's a total win-win.
[00:59:45.173 --> 00:59:46.174]  M4sLife.com.
[00:59:55.260 --> 01:00:01.184]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:00:14.661 --> 01:00:15.541]  Let me just ask you this.
[01:00:15.681 --> 01:00:20.323]  What do you say to your critics who say that you are creating a national emergency?
[01:00:20.343 --> 01:00:23.864]  That you're concocting a national emergency here in order to get your wall?
[01:00:25.504 --> 01:00:26.024]  What do you think?
[01:00:26.044 --> 01:00:27.485]  Do you think I'm creating something?
[01:00:28.045 --> 01:00:32.366]  Ask these incredible women who lost their daughters and their sons.
[01:00:33.846 --> 01:00:34.226]  Okay?
[01:00:35.027 --> 01:00:36.207]  Because your question is
[01:00:37.521 --> 01:00:39.883]  A very political question, because you have an agenda.
[01:00:40.063 --> 01:00:40.784]  You're CNN.
[01:00:40.824 --> 01:00:41.545]  You're fake news.
[01:00:41.605 --> 01:00:46.850]  Jim Acosta couldn't have encapsulated the left's disconnect from the plight of our fellow U.S.
[01:00:46.890 --> 01:00:53.796]  citizens better, championing the rights of illegal aliens in the Rose Garden while downplaying the murder of U.S.
[01:00:53.856 --> 01:00:58.080]  citizens, drug trafficking, and human smuggling by illegal aliens.
[01:00:58.320 --> 01:00:59.801]  Jim, what's your takeaway?
[01:00:59.821 --> 01:01:04.782]  Yes, Kate, I just want to talk very fast here because I'm so paranoid that they're going to pull the plug on us here in the Rose Garden.
[01:01:04.802 --> 01:01:17.366]  But I'm standing in front of some of these angel moms who came to the Rose Garden today to, I guess, testify to what they've been through in terms of their ordeals dealing with crime in this country and the undocumented immigrants.
[01:01:17.606 --> 01:01:20.047]  But as you heard in that question that I had with the president there,
[01:01:20.607 --> 01:01:26.871]  It was really about the facts and the data and this disconnect that we have when we hear the president talk about immigration.
[01:01:27.192 --> 01:01:32.215]  He tends to talk about it in ways that demonize immigrants and that just don't stick to the facts.
[01:01:32.615 --> 01:01:35.677]  We need to secure our borders to protect American citizens.
[01:01:36.098 --> 01:01:39.120]  President Trump is completely correct on this issue.
[01:01:39.160 --> 01:01:40.581]  We need to protect this country.
[01:01:41.181 --> 01:01:49.785]  And as expected, Mad Maxine Waters led the charge of the left against the much-needed wall on our southern border from her ivory tower.
[01:01:50.385 --> 01:01:58.489]  They're concerned that if a Democratic president gets elected, then they could use emergency powers to do a lot of the things that they don't like.
[01:01:58.809 --> 01:02:01.690]  And as you know, they don't believe in climate change.
[01:02:02.690 --> 01:02:10.614]  As you know, they don't want us to talk about Medicare for all or any of those subjects that they think will spend too much government money
[01:02:10.854 --> 01:02:13.796]  You know that I've been talking about impeachment for a long time.
[01:02:14.336 --> 01:02:21.281]  I am absolutely stunned and amazed that the American people are taking so much off of this president.
[01:02:21.661 --> 01:02:28.325]  This president has lied, and I think it has been documented over 8,000 times in the last two years.
[01:02:28.665 --> 01:02:32.988]  This president has committed obstruction of justice right before our very eyes.
[01:02:33.188 --> 01:02:48.758]  The actual work that is responsible and responsive to the real and legitimate concerns around fentanyl and methamphetamine, heroin and cocaine that is being done within the state of California is now being put at risk for a vanity project, for a monument to stupidity.
[01:02:49.919 --> 01:02:53.361]  Nancy Pelosi has run circles around the President of the United States, not once, now twice.
[01:02:55.162 --> 01:02:55.923]  He's been embarrassed.
[01:02:56.920 --> 01:03:01.282]  The House Judiciary Committee announced that it will investigate President Trump's national
[01:03:23.012 --> 01:03:23.312]  We're good.
[01:03:39.420 --> 01:03:43.803]  When the President declares this emergency, first of all, it's not an emergency.
[01:03:44.223 --> 01:03:47.625]  What's happening at the border is a humanitarian challenge to us.
[01:03:47.685 --> 01:03:51.848]  The President has tried to sell a bill of goods to America.
[01:03:51.928 --> 01:04:00.293]  The $72 million San Francisco is spending just to clean up its streets, this is what's called making a truce with illegality.
[01:04:00.713 --> 01:04:06.757]  There's no penalty for homelessness, they don't enforce the laws, and public urination is legal.
[01:04:07.037 --> 01:04:07.357]  Look at this.
[01:04:07.977 --> 01:04:10.819]  $12 million for homeless encampment housing.
[01:04:10.839 --> 01:04:13.101]  Okay, just to clean it up.
[01:04:13.281 --> 01:04:17.104]  $2.8 million to wash down biohazard material.
[01:04:17.204 --> 01:04:21.147]  And $3.1 million for pit stop portable toilets.
[01:04:21.247 --> 01:04:27.911]  The statistics are very real and have been increasingly ignored for decades by an elitist, do-nothing Congress.
[01:04:28.192 --> 01:04:32.875]  Just in Texas alone, according to DHS status indicators,
[01:04:33.095 --> 01:04:45.939]  Over 279,000 criminal aliens have been booked into local Texas jails between 2011 and 2019, of which over 190,000 were classified as illegal aliens by DHS.
[01:04:46.100 --> 01:04:51.061]  These 189,000... Alright, ladies and gentlemen, the full John Bowne report is at Infowars.com.
[01:04:51.101 --> 01:04:54.462]  We've got another huge report coming up on a national emergency.
[01:04:54.502 --> 01:04:56.223]  It's actually going to now be at the bottom of the hour.
[01:04:56.583 --> 01:04:59.564]  And then I've got a whole list of all the hoax crimes.
[01:05:00.064 --> 01:05:01.685]  Oh yes, that's right, this isn't the first.
[01:05:04.707 --> 01:05:08.109]  For those looking for the ultimate source of energy for their day.
[01:05:08.369 --> 01:05:08.789]  Every day.
[01:05:09.170 --> 01:05:11.211]  The Brain Synergy Combo is here.
[01:05:11.631 --> 01:05:21.036]  Combining the powerful Turbo Force and Brain Force Plus nootropic formulas, this combo has what you need to hit your maximum potential every day.
[01:05:21.417 --> 01:05:32.323]  Take the tasty tropical berry flavored Turbo Force instant ring hits with you on the go or at work to help provide you with focus, clarity, and energy and to reach your full potential.
[01:05:32.743 --> 01:05:44.652]  Hit the next generation of advanced neural activation with the Brain Force Plus Neutrogen, a fan-favorite formula fueled by powerful, time-tested ingredients for a true 360 win.
[01:05:45.073 --> 01:05:47.995]  With this combo, you can have energy wherever you need it.
[01:05:48.455 --> 01:05:51.377]  At home, on the go, in the car, and more.
[01:05:51.817 --> 01:05:59.880]  Get pure energy on tap and take advantage of old and new InfoWars powerhouse formulas with the Brain Synergy Combo.
[01:06:00.281 --> 01:06:03.182]  Head to InfoWarsStore.com today.
[01:06:09.168 --> 01:06:15.073]  And now, the tip of the spear, leading the fight to take back the nation.
[01:06:15.653 --> 01:06:17.335]  It's Owen Troyer.
[01:06:17.975 --> 01:06:20.717]  You're listening to the Alex Jones Show.
[01:06:21.498 --> 01:06:22.919]  So here's what we're gonna do in this segment.
[01:06:23.820 --> 01:06:28.023]  We're gonna take the Jesse Smollett story and we're just gonna bury it.
[01:06:31.506 --> 01:06:35.309]  Now let's just rewind the clocks back at how it all began.
[01:06:37.276 --> 01:06:40.018]  It breaks on, I think, a Saturday night.
[01:06:41.659 --> 01:06:46.242]  Jesse Smollett is out on the streets of Chicago, where it's like five degrees or something.
[01:06:47.102 --> 01:06:54.427]  And they say he had bleach thrown on him, had a noose put on him, they were chanting MAGA country, wearing MAGA hats, two white men, and it was a hate crime.
[01:06:56.633 --> 01:07:09.638]  And then it kind of just sat out there for a while and media continued to report it and hype it up as, oh look at this, more hate crimes against a member of the LGBTQ community because of Donald Trump.
[01:07:10.618 --> 01:07:12.499]  And so the media echoes and echoes.
[01:07:12.859 --> 01:07:18.121]  We have tweets from Cortez and other Democrats saying, this just shows how racist America is.
[01:07:18.982 --> 01:07:22.063]  The media saying, they had Democrats saying it was a lynching.
[01:07:23.697 --> 01:07:25.697]  I mean, so that happened for a week.
[01:07:26.158 --> 01:07:26.518]  Uh-oh.
[01:07:27.078 --> 01:07:27.798]  Then what happened?
[01:07:28.858 --> 01:07:30.839]  Some of the evidence started to come out.
[01:07:31.559 --> 01:07:32.259]  Ooh.
[01:07:33.139 --> 01:07:35.000]  Jussie Smollett started to change his story.
[01:07:35.020 --> 01:07:40.981]  Of course, this was after he cried on Good Morning America about this horrible hate crime against him.
[01:07:41.321 --> 01:07:41.681]  Wow.
[01:07:42.182 --> 01:07:43.902]  The actor of the year, indeed.
[01:07:46.623 --> 01:07:51.884]  Well, the two men of interest that were caught on camera were brought in by police.
[01:07:53.527 --> 01:07:55.409]  Questioned for a couple hours and then released.
[01:07:56.570 --> 01:07:57.851]  What happened in those two hours?
[01:07:57.971 --> 01:08:00.313]  Well, I think it's obvious now.
[01:08:00.954 --> 01:08:04.457]  They cooperated with the police investigation, told the cops everything.
[01:08:05.218 --> 01:08:19.211]  Jesse Smollett then hires a defense attorney, same one that Michael Avenetti hired, and is now having to cover his ass for what appears to be one of the most staged hate crimes in American media history.
[01:08:21.109 --> 01:08:23.852]  Now have you heard any of the media retract their stories?
[01:08:24.132 --> 01:08:28.256]  In fact, first let's go to this compilation in clip 12.
[01:08:28.796 --> 01:08:32.960]  Look at all the media reporting on this hate crime.
[01:08:33.678 --> 01:08:38.762]  Empire star Jussie Smollett was the victim of a vicious, racist, and homophobic attack.
[01:08:38.842 --> 01:08:42.144]  His attackers hurled racial and homophobic slurs.
[01:08:42.204 --> 01:08:45.086]  Two people yelled racist and homophobic slurs.
[01:08:45.266 --> 01:08:47.268]  Racial and homophobic slurs.
[01:08:47.288 --> 01:08:49.770]  Not only homophobia, we're talking about racism.
[01:08:49.790 --> 01:08:52.672]  We're talking about hate with steroids.
[01:08:53.012 --> 01:08:57.735]  They are looking for two suspects who are apparently wearing Make America Great Again hats.
[01:08:58.015 --> 01:09:00.516]  The offenders uttered, this is MAGA country.
[01:09:00.776 --> 01:09:03.578]  The hate crime went down early this morning in Chicago.
[01:09:03.758 --> 01:09:06.439]  Officials are investigating the alleged assault as a hate crime.
[01:09:06.539 --> 01:09:09.321]  And now police say they're investigating this as a possible hate crime.
[01:09:09.741 --> 01:09:13.543]  Anyone attacked in a hate crime like this is an outrage.
[01:09:13.623 --> 01:09:18.726]  This is stomach-turning, mind-boggling information.
[01:09:19.206 --> 01:09:20.087]  It's out of control.
[01:09:20.327 --> 01:09:26.788]  Speaker of the House Nancy Pelosi tweeting, the racist, homophobic attack on Jussie Smollett is an affront to our humanity.
[01:09:27.109 --> 01:09:32.510]  And Senator Cory Booker said the vicious attack on actor Jussie was an attempt at modern-day lynching.
[01:09:32.610 --> 01:09:36.231]  Kamala Harris calling the attack an attempted modern-day lynching.
[01:09:36.431 --> 01:09:37.711]  I'm so shaken by the story.
[01:09:38.311 --> 01:09:39.571]  This is horrible to report.
[01:09:39.591 --> 01:09:40.712]  This is a horrible story.
[01:09:40.732 --> 01:09:42.292]  I mean, this is a horrible story.
[01:09:42.312 --> 01:09:42.432]  Yeah.
[01:09:42.532 --> 01:09:44.413]  I mean, the circumstances are just horrific.
[01:09:44.433 --> 01:09:46.153]  Horrendous and unacceptable.
[01:09:46.713 --> 01:09:47.694]  Absolutely despicable.
[01:09:47.714 --> 01:09:51.436]  Yeah, a lot of people can't believe this is actually happening in 2019.
[01:09:51.576 --> 01:09:55.799]  It's hard to believe that we're reporting, that we're even saying words like this in 2019.
[01:09:55.859 --> 01:09:57.360]  Those are fake news.
[01:09:58.320 --> 01:10:00.282]  This is America in 2019.
[01:10:00.762 --> 01:10:01.883]  And CNN is fake news.
[01:10:02.063 --> 01:10:04.204]  So there you go, the compilation put together by Grabien.
[01:10:04.865 --> 01:10:12.770]  So, you wait until all those media outlets that you just saw issue a retraction on their comments.
[01:10:12.810 --> 01:10:14.911]  All those Democrats issue a retraction on their comments.
[01:10:16.263 --> 01:10:16.543]  Nope.
[01:10:17.724 --> 01:10:20.285]  You'll be waiting until you're dead, because it's not going to happen.
[01:10:21.245 --> 01:10:26.808]  And again, all of America should be repudiating Jussie Smollett for trying to divide this country.
[01:10:27.308 --> 01:10:32.511]  All of America should be repudiating the national media for going along with this hoax and not apologizing for it.
[01:10:34.632 --> 01:10:35.732]  Folks, here's what it looks like.
[01:10:36.532 --> 01:10:37.553]  The whole thing was staged.
[01:10:37.893 --> 01:10:38.673]  Who knows why?
[01:10:39.214 --> 01:10:43.756]  The reports are now that he paid the Nigerians to do this, and they even
[01:10:46.243 --> 01:10:48.825]  They even pretended to do this before.
[01:10:48.845 --> 01:10:51.087]  They practiced doing this before the thing even happened.
[01:10:52.488 --> 01:10:55.450]  So think about the desperation of this individual.
