[00:00:22.884 --> 00:00:24.244]  September 8, 2019.
[00:48:13.130 --> 00:48:19.232]  Anything off platform you do, including anything that their assistant, what's Facebook's assistant called?
[00:48:19.232 --> 00:48:21.092]  I forget.
[00:48:21.092 --> 00:48:23.893]  Echo or something, anything.
[00:48:23.893 --> 00:48:27.073]  Echo, Echo, I'm listening to you, listening to you.
[00:48:27.073 --> 00:48:29.394]  You heard of taking candy from a baby.
[00:48:29.394 --> 00:48:31.054]  How about taking organs from a baby?
[00:48:31.054 --> 00:48:38.316]  If you just tuned in, I just spent the last 45 minutes going over
[00:48:39.520 --> 00:48:40.721]  How evil these people are.
[00:48:40.721 --> 00:48:47.526]  And then the court transcript, well, they're saying, Your Honor, we don't want to tell you we keep babies alive.
[00:48:47.526 --> 00:48:50.589]  We get too many threats, and the judge goes, do it.
[00:48:50.589 --> 00:48:52.430]  They go, okay.
[00:48:52.430 --> 00:48:54.912]  Okay, we do.
[00:48:54.912 --> 00:49:00.116]  And reportedly, the judge, all these leftists are totally, their mouths are hanging open.
[00:49:00.116 --> 00:49:03.398]  You didn't know you were the bad guys?
[00:49:03.398 --> 00:49:06.201]  Really, you didn't know that?
[00:49:06.201 --> 00:49:09.003]  And again, this Attorney General indicted these two men.
[00:49:11.840 --> 00:49:25.852]  For simply getting a meeting at a restaurant and taping these ghouls talking about selling whole baby bodies for medical experiments.
[00:49:25.852 --> 00:49:34.660]  And I just played you the governor of Virginia when he's not running around in blackface or in a KKK outfit.
[00:49:34.660 --> 00:49:35.601]  That's okay, he's a Democrat.
[00:49:38.473 --> 00:49:47.160]  Saying we keep babies alive after they're born and decide what to do with them.
[00:49:47.160 --> 00:49:49.982]  And they do it as a giant cultural system of lies.
[00:49:49.982 --> 00:49:53.965]  The Nazis called it the cement of blood.
[00:49:53.965 --> 00:50:01.590]  That once they committed murders together, once they killed innocent people, they were in the club forever.
[00:50:01.590 --> 00:50:05.714]  And that's exactly what all of this is.
[00:50:07.475 --> 00:50:16.945]  It's by successive approximation, you don't get in the club unless you're selling babies, unless you're raping children, unless you're robbing and stealing.
[00:50:16.945 --> 00:50:19.648]  Every criminal group in the world has initiations.
[00:50:19.648 --> 00:50:21.009]  Most of them is committing a murder.
[00:50:21.920 --> 00:50:25.082]  For really nasty gangs, it's committing the murder of an innocent person.
[00:50:25.082 --> 00:50:32.407]  For MS-13, it's torturing an old woman or a small child to death for Satan.
[00:50:32.407 --> 00:50:32.907]  Don't believe me?
[00:50:32.907 --> 00:50:37.991]  Just type in MS-13, tortured girl to death in satanic initiation ritual.
[00:50:37.991 --> 00:50:41.393]  MS-13, raped and murdered 90-year-old woman.
[00:50:41.393 --> 00:50:42.934]  Why would they do it to an old woman?
[00:50:42.934 --> 00:50:47.497]  Because it's supposed to be upsetting to the person that does it.
[00:50:47.497 --> 00:50:48.978]  Rape and kill an old woman.
[00:50:51.547 --> 00:50:54.550]  There you go, ladies and gentlemen.
[00:50:54.550 --> 00:50:55.851]  Satan's real.
[00:50:55.851 --> 00:51:02.736]  Whether you want to believe it's an archetypal program in the brain, whether you want to believe it's an off-world entity.
[00:51:02.736 --> 00:51:10.323]  The point is, is it's here, and it's happening, and they want me off the air because I'm covering this and I'm exposing it.
[00:51:12.009 --> 00:51:14.610]  And each passing day, they can't get us off air.
[00:51:14.610 --> 00:51:16.430]  They get madder and they get more upset.
[00:51:16.430 --> 00:51:18.371]  Now, I've got all this other news.
[00:51:18.371 --> 00:51:20.271]  Look at all the preparation.
[00:51:20.271 --> 00:51:22.512]  I've got ready probably 10 hours for this.
[00:51:22.512 --> 00:51:24.132]  I've been up here four hours today.
[00:51:24.132 --> 00:51:26.272]  I was up here like seven hours yesterday.
[00:51:26.272 --> 00:51:27.153]  I've just been getting ready.
[00:51:27.153 --> 00:51:29.793]  I've got all this news here.
[00:51:29.793 --> 00:51:39.056]  But the heart of it, it's imagine how evil these people are and what they've gotten away with and what else they're doing.
[00:51:39.056 --> 00:51:40.376]  Joe Biden, I'll cover it next hour.
[00:51:41.761 --> 00:51:50.947]  He came out and said, he quote, will, he said, I guarantee you we're going to end fossil fuel.
[00:51:50.947 --> 00:51:57.872]  Even though that's where we get 80% of our power from, but China and India and 160 other plus countries, they're going to make zero cuts.
[00:51:57.872 --> 00:51:59.513]  They're ramping up.
[00:51:59.513 --> 00:52:03.936]  He promises you he's going to F you over because carbon dioxide is bad.
[00:52:03.936 --> 00:52:05.577]  No, it's not.
[00:52:05.577 --> 00:52:08.759]  Carbon dioxide is the lowest level ever recorded on this planet right now.
[00:52:08.759 --> 00:52:09.620]  It's a trace gas.
[00:52:12.694 --> 00:52:14.895]  I like the way that Google whistleblower boiled it down.
[00:52:14.895 --> 00:52:15.916]  It's true.
[00:52:15.916 --> 00:52:22.580]  If you compressed all the carbon dioxide in the first 50,000 feet of the atmosphere, there's almost none above that.
[00:52:22.580 --> 00:52:28.983]  Down to sea level, it'd be an inch thick, an inch of liquid.
[00:52:28.983 --> 00:52:31.345]  Without that, the whole planet's dead.
[00:52:31.345 --> 00:52:33.406]  D-E-A-D.
[00:52:33.406 --> 00:52:36.748]  They're not worried about genetic engineering, overfishing, toxic waste dumping.
[00:52:36.748 --> 00:52:38.369]  Oh, the left's all worried about straws.
[00:52:39.895 --> 00:52:43.858]  But they're not worried about needles and disease and bubonic plague coming back.
[00:52:43.858 --> 00:52:48.142]  And I've got a whole stack of news right here.
[00:52:48.142 --> 00:52:53.186]  Dealing with this surging homeless population in Los Angeles could spark increase in leprosy.
[00:52:53.186 --> 00:52:56.329]  Infowars.com, CDC admits.
[00:52:56.329 --> 00:53:00.713]  Typhus is back in a dark age diseases.
[00:53:00.713 --> 00:53:03.755]  Is a dark age disease the new American plague threat?
[00:53:03.755 --> 00:53:04.156]  The hill.
[00:53:06.567 --> 00:53:09.069]  And it's not lack of vaccines causing it.
[00:53:09.069 --> 00:53:19.835]  It's the breakdown of civilization and all these lazy slacker cultures that lay around injecting heroin and taking fentanyl, laying out in the sun everywhere doing nothing.
[00:53:19.835 --> 00:53:24.058]  The modern opium dens that China once had.
[00:53:24.058 --> 00:53:33.404]  Enough fentanyl to kill 10 billion, 600 plus million people caught being shipped through Mexico from China to the US.
[00:53:33.404 --> 00:53:35.225]  Just two weeks ago, barely made the news.
[00:53:36.323 --> 00:53:45.647]  Enough overdoses to kill 10 billion plus people, or the whole world over, and then close to 400 million more.
[00:53:45.647 --> 00:53:48.008]  And you wonder why there's all these homeless.
[00:53:48.008 --> 00:53:49.328]  I've gone and talked to them.
[00:53:49.328 --> 00:54:02.094]  Almost all of them are on fentanyl, or they're on heroin, and they're mean, and they're nasty, and they crap right in front of you, and then everyone hands them money, and they get government checks, and they're just all over the place.
[00:54:04.394 --> 00:54:07.496]  We are a drugged-out, demonic, devil-worshipping nation.
[00:54:07.496 --> 00:54:18.483]  And if you go read the transcript on InfoWars.com from the court hearings, you hear them talk about keeping the babies alive and selling their body parts.
[00:54:18.483 --> 00:54:21.105]  What more do you want to know about these people?
[00:54:21.105 --> 00:54:26.128]  I've gone out and I've faced these scum at these lapis events, and they'll tell you about all the videos.
[00:54:26.128 --> 00:54:28.570]  In fact, we'll dig up that four-minute abortion boil-down.
[00:54:29.468 --> 00:54:30.949]  Doesn't even have all the clips we've got.
[00:54:30.949 --> 00:54:33.471]  Just recently, when these women walk up and go, you're InfoWars!
[00:54:33.471 --> 00:54:34.351]  I hate kids!
[00:54:34.351 --> 00:54:35.452]  I want to kill them!
[00:54:35.452 --> 00:54:40.495]  I hate their little voices!
[00:54:40.495 --> 00:54:41.916]  Yeah, that's somebody else's article.
[00:54:41.916 --> 00:54:43.117]  We did the math.
[00:54:43.117 --> 00:54:44.457]  It's 10 billion.
[00:54:44.457 --> 00:54:46.359]  I did a whole segment on it last week.
[00:54:46.359 --> 00:54:47.339]  We're the source of that.
[00:54:47.339 --> 00:54:49.761]  With the federal government's own numbers.
[00:54:49.761 --> 00:54:50.261]  We can show that.
[00:54:50.261 --> 00:54:51.782]  It's on InfoWars.com.
[00:54:51.782 --> 00:54:57.926]  The exact headline was, China caught trying to ship in enough fentanyl to kill 10 billion
[00:55:01.109 --> 00:55:05.951]  And that was the article we did the equation calculation out of.
[00:55:05.951 --> 00:55:19.078]  If 66 pounds out of a Virginia bus would kill 14 million of pure fentanyl, then the calculation of 25 tons or 50,000 pounds would kill 10,600 plus million.
[00:55:19.078 --> 00:55:24.240]  But regardless, I have not gotten into the transcript yet, have I?
[00:55:24.240 --> 00:55:28.702]  I just suggest you go and you read this for yourself.
[00:55:28.702 --> 00:55:29.683]  Do you want to hear it?
[00:55:32.093 --> 00:55:35.076]  There's three pages of it, just what was put in LifeSite News.
[00:55:35.076 --> 00:55:39.660]  I got a link to even more.
[00:55:39.660 --> 00:55:49.488]  The CEO of StemCell admitted in court Thursday and Friday that biotech company supplies beating fetal hearts and intact fetal heads to medical researchers.
[00:55:49.488 --> 00:55:54.413]  She also admitted the hearing
[00:55:56.482 --> 00:56:03.805]  Of the two men charged for the Center for Medical Progress that the baby's head could be procured, attached to the baby's body, or could be torn away.
[00:56:03.805 --> 00:56:05.646]  Close quote.
[00:56:05.646 --> 00:56:21.153]  That is an especially gruesome admission, but it begs the question, how did they get those fully intact human children, says Peter Breen of the Thomas Moore Society, which is representing the men charged for daring to interview someone and tape them in a restaurant admitting this?
[00:56:22.802 --> 00:56:40.708]  If you have a fetus with an intact head and intact body, the intact extremities, that is something that would indicate the child was born alive and then had their organs cut out of them or that the child was the victim of illegal partial birth abortion, he told LifeSite News.
[00:56:40.708 --> 00:56:44.350]  Both of these are gruesome and violent acts.
[00:56:44.350 --> 00:56:44.990]  CPMs
[00:56:47.529 --> 00:57:03.298]  Deldon and Merritt are charged with 15, it was 18, felony counts of illegally taping of confidential information in connection with undercover videos they released in 2015 after a three-year covert investigation into the buying and selling of baby body parts, which is a felony.
[00:57:03.298 --> 00:57:05.579]  But the people engaged in the felony, they're good.
[00:57:06.348 --> 00:57:08.269]  They're good.
[00:57:08.269 --> 00:57:09.310]  The men that exposed it.
[00:57:09.310 --> 00:57:10.671]  Bad California says.
[00:57:10.671 --> 00:57:13.853]  What a wicked, wicked state.
[00:57:13.853 --> 00:57:20.837]  The covertly recorded videos expose Stim Express and the go-to California for Planned Parenthood's trafficking in baby body parts.
[00:57:20.837 --> 00:57:24.239]  The biotech company cut its ties with Planned Parenthood shortly after they were released.
[00:57:24.239 --> 00:57:26.761]  And then it gets into quotes from the court.
[00:57:27.521 --> 00:57:32.303]  I'll read the next five minutes to continue where they get into.
[00:57:32.303 --> 00:57:36.005]  The babies that they keep alive until it's time to harvest.
[00:57:36.005 --> 00:57:40.808]  When they deliver the hearts to Stanford, they're still beating.
[00:57:40.808 --> 00:57:41.528]  But who cares?
[00:57:41.528 --> 00:57:42.508]  Big deal.
[00:57:42.508 --> 00:57:45.730]  Let's all just fry ourselves with 5G and die.
[00:57:45.730 --> 00:57:46.530]  We'll be right back.
[00:57:46.530 --> 00:57:47.271]  Hour number two.
[00:57:51.041 --> 00:57:52.242]  We've had this in for two weeks.
[00:57:52.242 --> 00:57:55.605]  I've been so busy I haven't talked about it because I've been covering news.
[00:57:55.605 --> 00:57:56.846]  But it's very exciting.
[00:57:56.846 --> 00:57:59.168]  It's Super Silver Skin Cream.
[00:57:59.168 --> 00:58:00.689]  It's got all of these benefits.
[00:58:00.689 --> 00:58:01.770]  Too many to mention.
[00:58:01.770 --> 00:58:03.031]  But it's revolutionary.
[00:58:03.031 --> 00:58:03.992]  It's brand new.
[00:58:03.992 --> 00:58:04.873]  People are going to love it.
[00:58:04.873 --> 00:58:06.954]  Introducing the new Super Silver Skin Cream.
[00:58:06.954 --> 00:58:08.356]  Exclusively at InfoWarsTore.com.
[00:58:08.356 --> 00:58:09.737]  25% off introductory price.
[00:58:10.077 --> 00:58:12.539]  Super Silver Skin Cream is the best of both worlds.
[00:58:12.539 --> 00:58:14.761]  It helps reduce wrinkles and keep your skin healthy.
[00:58:14.761 --> 00:58:18.544]  Super Silver Skin Cream is infused with patented Silver Sol Technology.
[00:58:18.544 --> 00:58:23.669]  It's used by top hospitals and health clinics to kill off everything from MRSA to Candida fungus.
[00:58:23.669 --> 00:58:34.798]  It's also loaded with the best natural ingredients for your skin, like coconut oil, vitamin E. Unlike most skin creams, Super Silver Skin Cream is free of BPA, parabens, harsh preservatives, and sulfates.
[00:58:34.798 --> 00:58:36.800]  It's got the highly sought-after hyaluronic
[00:58:36.920 --> 00:58:39.522]  We have acid, we have little tubes of it, we have big tubes of it.
[00:58:39.522 --> 00:58:40.603]  This stuff is the real deal.
[00:58:40.603 --> 00:58:44.807]  Get Super Silver Skin Cream exclusively at Inforestore.com while supplies last.
[00:58:44.807 --> 00:58:47.750]  So please, check it out, the new products at Inforestore.com.
[00:58:47.750 --> 00:58:48.651]  25% off as an introductory.
[00:58:50.615 --> 00:58:55.079]  Let's look at what's in the 8-Pack Power Stack at InfoWarsLive.com.
[00:58:55.079 --> 00:59:00.384]  Nootropic Brain Formula helps you stay awake and alert throughout the entire day without nasty crash.
[00:59:00.384 --> 00:59:06.329]  Green's Detox Formula contains a full daily dose of antioxidants and organic compounds for maximum health.
[00:59:06.329 --> 00:59:10.973]  Joint Support Formula gives your joints and tendons what they need to help stay healthy and strong.
[00:59:10.973 --> 00:59:14.817]  Krill Oil Formula helps fight inflammation and support a healthy heart and more.
[00:59:15.057 --> 00:59:19.542]  Energy Kickstart Formula for another boost of clean energy to keep you going strong.
[00:59:19.542 --> 00:59:21.845]  Now let's look at what the PM Pack is loaded with.
[00:59:21.845 --> 00:59:25.830]  Immune Support Formula to rebuild your body while you sleep.
[00:59:25.830 --> 00:59:30.175]  Sound Sleep Formula helps you get a better night's sleep and fall asleep faster.
[00:59:30.175 --> 00:59:31.396]  Bone Support Formula.
[00:59:31.536 --> 00:59:32.977]  You're listening to the Alex Jones Show!
[01:00:03.729 --> 01:00:10.496]  Day after day, alone on a hill.
[01:00:10.496 --> 01:00:16.603]  The man with the foolish grin is keeping perfectly still.
[01:00:16.603 --> 01:00:22.149]  But nobody wants to know him, they can see that he's just a fool.
[01:00:24.036 --> 01:00:42.301]  Okay, I'm going to read the transcript when we come back in the next segment, and then I'm going to get to all this other news that ties into the exterminist event they're trying to carry out against the Western world that is the public-admitted sabotage of our operation to destroy the Christian ethos, which will take us to the next level, no doubt, as a planetary system.
[01:00:42.301 --> 01:00:45.181]  But let's go to this four-minute boil-down where they celebrate abortion.
[01:00:45.181 --> 01:00:47.682]  I know there are other videos where they say even more.
[01:00:48.522 --> 01:00:51.451]  Where they again say, I want to kill babies up to age three.
[01:00:51.451 --> 01:00:52.775]  We play that all the time.
[01:00:52.775 --> 01:00:54.139]  That's how sick these freaks are.
[01:00:54.139 --> 01:00:54.440]  Here it is.
[01:00:55.413 --> 01:00:58.676]  The story tonight concerns breast implants.
[01:00:58.676 --> 01:01:06.082]  Some are against them, others believe they're fine in rare cases, and many believe you should be able to get them whenever the f**k you want.
[01:01:06.082 --> 01:01:07.983]  Sorry, did I say breast implants?
[01:01:07.983 --> 01:01:09.304]  I meant abortions.
[01:01:09.304 --> 01:01:11.086]  Tonight's main topic concerns abortion.
[01:01:11.086 --> 01:01:20.994]  So tonight, in honor of America, I'd like to do a salute to abortion in the great 10th annual Salute to Abortion!
[01:01:23.507 --> 01:01:25.089]  Get out of my behind!
[01:01:25.089 --> 01:01:25.810]  Get out of my vagina!
[01:01:25.810 --> 01:01:27.492]  Get out!
[01:01:27.492 --> 01:01:31.176]  It's a woman's body and she should not be forced to carry anything inside of it.
[01:01:31.176 --> 01:01:33.659]  You wouldn't make her keep a tapeworm.
[01:01:33.659 --> 01:01:34.720]  Is that how the heart beats?
[01:01:34.720 --> 01:01:36.882]  So you're comparing a baby to a tapeworm?
[01:01:36.882 --> 01:01:38.905]  A fetus is a parasite, sweetie.
[01:01:38.905 --> 01:01:41.187]  That is not what a fetus looks like, okay?
[01:01:43.168 --> 01:01:47.210]  You think that it is the white man's duty to fix everybody's problems, right?
[01:01:47.210 --> 01:01:48.950]  How many did you adopt?
[01:01:48.950 --> 01:01:50.391]  How many did I adopt?
[01:01:50.391 --> 01:01:51.271]  I kill my kids.
[01:01:51.271 --> 01:01:52.531]  Oh, that's what you do to babies, huh?
[01:01:52.531 --> 01:01:54.012]  Yeah, I love it.
[01:01:54.012 --> 01:01:54.532]  You love it, huh?
[01:01:54.532 --> 01:01:55.152]  Yeah, I do.
[01:01:55.152 --> 01:01:57.573]  Okay, I hope that you come to Christ, sir.
[01:01:57.573 --> 01:01:59.074]  Oh, I never go to Christ.
[01:01:59.074 --> 01:02:00.174]  I hope that you come to Christ, sir.
[01:02:00.174 --> 01:02:01.274]  No, I don't go to Christ.
[01:02:01.274 --> 01:02:03.035]  A fertilized egg is a human being!
[01:02:03.715 --> 01:02:04.536]  Yeah.
[01:02:04.536 --> 01:02:05.558]  Why'd you spit at us?
[01:02:14.595 --> 01:02:16.476]  I, uh, don't agree with you.
[01:02:16.476 --> 01:02:19.337]  No uterus, no right to talk about it!
[01:02:19.337 --> 01:02:20.698]  Understand me, motherfucker?
[01:02:20.698 --> 01:02:30.483]  In the ninth month, you can take the baby and rip the baby out of the womb of the mother, just prior to the birth of the baby.
[01:02:30.483 --> 01:02:37.186]  Now, you can say that that's okay, and Hillary can say that that's okay, but it's not okay with me.
[01:02:37.406 --> 01:02:44.892]  Well, that is not what happens in these cases and using that kind of scare rhetoric is just terribly unfortunate.
[01:02:44.892 --> 01:02:53.178]  New York Governor Andrew Cuomo lit up the One World Trade Center's spire in pink to celebrate his radical expansion of abortion in New York.
[01:02:53.178 --> 01:03:01.385]  State lawmakers approved a law permitting abortion in the state for any reason until the 24th week of pregnancy and then up until birth.
[01:03:01.605 --> 01:03:05.268]  If a mother is in labor, I can tell you exactly what would happen.
[01:03:05.268 --> 01:03:07.329]  The infant would be delivered.
[01:03:07.329 --> 01:03:09.751]  The infant would be kept comfortable.
[01:03:09.751 --> 01:03:14.855]  The infant would be resuscitated, if that's what the mother and the family desired.
[01:03:14.855 --> 01:03:21.199]  And then a discussion would ensue between the physicians and the mother.
[01:03:21.199 --> 01:03:24.241]  Are you for third trimester abortions?
[01:03:24.241 --> 01:03:27.764]  My answer to you is that that should be a decision that the woman makes.
[01:03:30.362 --> 01:03:35.663]  There's scientific consensus that the lives of children are going to be very difficult.
[01:03:35.663 --> 01:03:37.484]  Is it okay to still have children?
[01:03:37.484 --> 01:03:45.566]  How do you justify the decision to allow Planned Parenthood to rent in this city for free?
[01:03:45.566 --> 01:03:53.528]  There's a new video out on InfoWars.com of two partial birth abortion, eight and a half month old babies.
[01:03:55.080 --> 01:03:58.141]  And, uh, and it makes you want to kill people.
[01:03:58.141 --> 01:04:00.722]  I'm just being honest with you right now.
[01:04:00.722 --> 01:04:07.645]  My guts, my spirit, sees a baby who got killed and its brain sucked out by some asshole.
[01:04:07.645 --> 01:04:09.146]  And then they make a joke out of it.
[01:04:09.146 --> 01:04:14.248]  These are abortion doctors with third trimester babies that were about to be born.
[01:04:14.248 --> 01:04:18.470]  Defiling them, making jokes about them, that they're having a fight.
[01:04:18.470 --> 01:04:22.352]  They're playing with dead babies in a little, um,
[01:04:22.892 --> 01:04:24.553]  Don't knock it till you try it.
[01:04:24.553 --> 01:04:25.893]  And when you do try it, really knock it.
[01:04:25.893 --> 01:04:27.754]  You know, you gotta get that baby out of there.
[01:04:27.754 --> 01:04:28.354]  They're slaves.
[01:04:58.726 --> 01:05:03.109]  Banned.video is the answer to censorship.
[01:05:03.109 --> 01:05:18.621]  Banned.video is the answer for libertarians, conservatives, nationalists, pro-gun, pro-life, pro-human individuals to have their own platform where videos banned by YouTube, Facebook, and Twitter are still available.
[01:05:18.621 --> 01:05:20.322]  We've launched it, ladies and gentlemen.
[01:05:20.322 --> 01:05:21.684]  It's now live.
[01:05:21.684 --> 01:05:23.645]  Banned.video.
[01:05:23.645 --> 01:05:27.528]  Banned.video isn't just going to be a home for Alex Jones
[01:05:27.708 --> 01:05:30.949]  David Niner, Owen Schroer, or Paul Watson banned videos.
[01:05:30.949 --> 01:05:48.793]  We are building it to be a place where banned memes are able to be posted, and where a growing list of freedom-loving contributors are able to have a home free from being shut down, free from being censored, free from being silenced by big tech, the chi-coms, the Hollywood scum, and the globalists.
[01:05:48.793 --> 01:05:50.454]  Freedom of speech has a home.
[01:05:51.014 --> 01:05:53.515]  It's called Band.Video.
[01:05:53.515 --> 01:06:09.262]  America and the world is fighting back against tyranny at Band.Video.
[01:06:09.262 --> 01:06:11.963]  He aligns himself with the truth.
[01:06:11.963 --> 01:06:14.944]  And it's time for you to choose a side.
[01:06:14.944 --> 01:06:17.245]  You're listening to Alex Jones.
[01:06:20.981 --> 01:06:22.982]  We are back live, ladies and gentlemen.
[01:06:22.982 --> 01:06:26.262]  Psalms, chapter 1, 3, 9, verses 11 through 14.
[01:06:26.262 --> 01:06:31.304]  Listen how deep this is.
[01:06:31.304 --> 01:06:37.346]  If I say, surely the darkness shall come over me, even the night shall be light about me.
[01:06:37.346 --> 01:06:40.066]  Like sunshine.
[01:06:40.066 --> 01:06:45.028]  Yea, the darkness hideth not from thee, but the light shineth as the day.
[01:06:45.028 --> 01:06:48.089]  The darkness and the light are both alike to thee.
[01:06:48.089 --> 01:06:49.329]  Thirteen for thou hast.
[01:06:50.222 --> 01:06:52.843]  Possessed my reigns.
[01:06:52.843 --> 01:06:56.783]  Thou hast covered me in my mother's womb.
[01:06:56.783 --> 01:07:01.784]  I shall praise thee, for I am fearfully and wonderfully made.
[01:07:01.784 --> 01:07:10.386]  Marvelously are thy works, and that my soul knoweth right well.
[01:07:10.386 --> 01:07:17.067]  But the children of Satan do not know good from evil.
[01:07:17.067 --> 01:07:18.428]  They do not know God.
[01:07:18.428 --> 01:07:19.668]  They know destruction.
[01:07:22.193 --> 01:07:28.456]  And they go about like a lion, roaring, seeing who they might devour.
[01:07:28.456 --> 01:07:30.056]  Who will bow to them?
[01:07:30.056 --> 01:07:31.977]  Who will give them authority?
[01:07:31.977 --> 01:07:38.820]  Who will let them tell you that there are no mothers and fathers?
[01:07:38.820 --> 01:07:48.644]  I was reading Mainline University articles coming out now, and toy manufacturers are saying, we're no longer going to have Noah's Ark,
[01:07:51.034 --> 01:07:56.399]  ...boats for children because it's biblical and there's only a male and female lion.
[01:07:56.399 --> 01:07:58.961]  You can't have just male and female, it hurts someone.
[01:07:58.961 --> 01:08:03.045]  Just a total assault on creation itself.
[01:08:03.045 --> 01:08:06.688]  On the very fabric of how we operate, on our genetic coding!
[01:08:11.308 --> 01:08:22.057]  And then I read the transcripts that are linked up on livesitenews.com, storiesoninfowars.com, a lot of actual videos that I guess they're afraid to post because they've gotten sued, attacked, people have been indicted for showing these.
[01:08:22.057 --> 01:08:26.160]  We've got the videos of them admitting they're killing babies and keeping them alive.
[01:08:26.160 --> 01:08:27.901]  Hell, the governor says it on TV.
[01:08:27.901 --> 01:08:30.383]  Normalizing it, see?
[01:08:30.383 --> 01:08:38.730]  They want us off air right now so they can normalize arresting people that undercover show the illegal activity going on.
[01:08:40.450 --> 01:08:58.241]  On Thursday, the court saw video clips of Stem Cell Express CEO identified as Doe 12, can't say the name of the company, oh they're so innocent, meeting in May of 2015 with Daliden and Merritt, who were posing as owners of a biotech company.
[01:08:58.241 --> 01:09:09.269]  Doe 12 says in the video, there's a great demand for raw fetal tissue, and the insanely fragile neurons of the brain tissue is best shipped with a whole
[01:09:10.129 --> 01:09:14.793]  Calaverium, or head, whereupon they say, just make sure the eyes are closed.
[01:09:14.793 --> 01:09:16.895]  Yeah, laughs Doe 12.
[01:09:16.895 --> 01:09:18.396]  Tell the lab techs it's coming.
[01:09:18.396 --> 01:09:21.058]  It's almost like they don't want to know what it is.
[01:09:21.058 --> 01:09:28.244]  And then it goes on to break down.
[01:09:28.244 --> 01:09:35.931]  Brain cold, the court that STEM Express was mentioned in connection with Stanford University Studies, where Lagendorff
[01:09:37.517 --> 01:09:41.078]  Perfusion was used, a technique that requires a beating heart.
[01:09:41.078 --> 01:09:46.120]  Does stem cell supply fetal hearts, they asked on the stand at Stanford?
[01:09:46.120 --> 01:09:52.822]  She hesitated to answer because, she said, there's so much targeting of researchers.
[01:09:52.822 --> 01:09:57.004]  However, Judge Christopher Haidt told her the question was relevant.
[01:09:57.004 --> 01:10:00.365]  Yes, we have provided heart tissue to Stanford.
[01:10:00.365 --> 01:10:02.806]  The beating heart tissue, Stanford.
[01:10:05.023 --> 01:10:09.345]  Keep them alive, selling their body parts.
[01:10:09.345 --> 01:10:12.886]  What more do you need to know about these people?
[01:10:12.886 --> 01:10:17.668]  I go out and face these scum.
[01:10:17.668 --> 01:10:20.429]  They crawl from under rocks.
[01:10:20.429 --> 01:10:22.870]  They have green colored skin.
[01:10:22.870 --> 01:10:27.191]  And they tell you, we want to kill babies.
[01:10:27.191 --> 01:10:28.332]  And I have all the footage.
[01:10:29.821 --> 01:10:30.441]  So much.
[01:10:30.441 --> 01:10:31.722]  I just showed you four minutes of it earlier.
[01:10:31.722 --> 01:10:33.283]  I've got hours of them.
[01:10:33.283 --> 01:10:38.206]  Go to a rally and ask women about... She goes, I like it!
[01:10:38.206 --> 01:10:39.466]  Hail Satan!
[01:10:39.466 --> 01:10:40.747]  It's been on the national news.
[01:10:40.747 --> 01:10:42.708]  Been to the Texas legislature.
[01:10:42.708 --> 01:10:47.171]  Women in business suits just start going... You love Satan.
[01:10:47.171 --> 01:10:48.411]  They have their tongues come out.
[01:10:48.411 --> 01:10:54.775]  They start sexually gyrating around feeling so good because they've never felt so much satanic power.
[01:10:57.130 --> 01:10:59.631]  Meanwhile, Joe Biden, who can barely talk,
[01:11:22.858 --> 01:11:26.900]  But they're now saying in mainstream news today, they're going to ask to step down and drop out.
[01:11:26.900 --> 01:11:28.881]  And it'll be Elizabeth Warren.
[01:11:28.881 --> 01:11:29.381]  Who?
[01:11:29.381 --> 01:11:34.864]  They're now saying, may step aside and run as the VP for Hillary, meeting secretly with Hillary.
[01:11:34.864 --> 01:11:38.646]  It's on Infowars.com.
[01:11:38.646 --> 01:11:42.028]  Told you, Biden's going to drop out.
[01:11:42.028 --> 01:11:49.451]  And then Hillary will zoom in to join another woman on an all-female ticket.
[01:11:49.451 --> 01:11:51.412]  You're for the women, aren't you?
[01:11:51.412 --> 01:11:52.673]  The women that protect
[01:11:57.502 --> 01:12:01.904]  Biden reiterates Green New Deal support.
[01:12:01.904 --> 01:12:11.807]  I guarantee you we're going to end fossil fuel for America, which supplies 80% of the nation's power.
[01:12:11.807 --> 01:12:15.168]  China builds dozens of new power plants that are coal-fired a month.
[01:12:15.168 --> 01:12:17.189]  We closed dozens until Trump got in.
[01:12:17.189 --> 01:12:20.150]  We had some of the most expensive power in the world.
[01:12:20.150 --> 01:12:20.990]  We had some of the cheapest.
[01:12:21.923 --> 01:12:29.168]  The left even wants to tear up hydroelectric dams, but India and China and everybody else, they can have jobs, but you can't America!
[01:12:29.168 --> 01:12:31.470]  We'll teach you to bow!
[01:12:31.470 --> 01:12:36.013]  We'll teach you about austerity in a post-industrial world.
[01:12:36.013 --> 01:12:38.595]  Leo DiCaprio will tell you why he flies around in his private jet.
[01:12:39.375 --> 01:12:42.357]  Pay those carbon taxes to Lord Rothschild.
[01:12:42.357 --> 01:12:45.019]  Big video breaks that down on InfoWars.com.
[01:12:45.019 --> 01:12:48.021]  Meet the group that wants to collapse civilization.
[01:12:48.021 --> 01:12:49.142]  It's an important report.
[01:12:49.142 --> 01:12:51.724]  I came out this morning at 8 a.m.
[01:12:51.724 --> 01:12:53.665]  to shoot it.
[01:12:53.665 --> 01:12:55.066]  And I shot a bunch of reports yesterday.
