[00:00:00.236 --> 00:00:01.857]  Come on man!
[02:09:10.747 --> 02:09:19.098]  But all the studies, just type in, studies show media giving attention to mass shootings triggers them because now it's an option for schizophrenics and nuts.
[02:09:19.619 --> 02:09:19.999]  I don't know.
[02:09:37.040 --> 02:09:40.302]  Or are they knowing something that we don't know, Robert Barnes?
[02:09:40.302 --> 02:09:52.711]  Well, think about who might stage such a provocation, who has a history of unique political involvement around the world, who might want to come in as the white horse to save the day when they can't decide between Bernie, Biden,
[02:09:53.291 --> 02:09:57.074]  Or Warren, because they all have huge institutional flaws.
[02:09:57.074 --> 02:10:10.002]  Who might want to ride in on the white horse, best done by staging violence outside the proceedings, that can come in and save the Democratic Party from itself and get reappointed to the presidency that she believes she's rightfully entitled to.
[02:10:10.002 --> 02:10:12.744]  That yesterday she was in front of a fake Oval Office desk.
[02:10:14.865 --> 02:10:18.147]  Pretending to actually read emails of all things.
[02:10:18.147 --> 02:10:19.508]  Pretending to be president.
[02:10:19.508 --> 02:10:23.271]  Who is it that would greatly benefit from a brokered convention?
[02:10:23.271 --> 02:10:25.372]  Who is it that would desire a brokered convention?
[02:10:25.372 --> 02:10:27.934]  Who would love to have sort of Antifa?
[02:10:27.934 --> 02:10:31.336]  Remember, in fact, we've seen previews for fake provocations like this.
[02:10:31.336 --> 02:10:32.957]  Or staged provocations.
[02:10:32.957 --> 02:10:36.760]  And staged just means, doesn't mean that the provocation itself isn't occurring.
[02:10:36.760 --> 02:10:37.840]  To create the climate.
[02:10:37.840 --> 02:10:38.461]  Exactly.
[02:10:38.461 --> 02:10:43.124]  Like Charlottesville, they're saying, I said the government killed the girl who had the heart attack or whatever.
[02:10:43.544 --> 02:10:44.204]  No!
[02:10:44.204 --> 02:10:49.487]  I'm saying the police stand down, they hire a bunch of fake right-wingers we know work for the left, most of them.
[02:10:49.487 --> 02:10:50.888]  Some real racist idiots show up.
[02:10:50.888 --> 02:10:54.510]  You bring out the Antifa scum and they have a huge conflagration.
[02:10:54.510 --> 02:10:58.432]  The police march them into each other hoping somebody got killed and then blame Trump.
[02:10:58.432 --> 02:11:03.594]  And then they sued me saying that I'm saying that this dude did it himself.
[02:11:03.594 --> 02:11:07.456]  And then they say in my name the defamation against themselves.
[02:11:07.456 --> 02:11:08.357]  Right, exactly.
[02:11:08.357 --> 02:11:10.578]  And what's amazing about all of that is the way...
[02:11:11.038 --> 02:11:18.604]  The way I always describe it to people is this, if you want to understand what it means to say an event is staged, just look at how the media covers Putin and Russia.
[02:11:18.604 --> 02:11:20.825]  So there they'll say, this is staged, this is staged.
[02:11:20.825 --> 02:11:22.586]  Oh, Islamics blew up a building.
[02:11:22.586 --> 02:11:23.687]  Putin did it!
[02:11:23.687 --> 02:11:24.888]  Putin, Putin, Putin!
[02:11:24.888 --> 02:11:28.130]  But then we say, hey, does somebody stand to gain from this?
[02:11:29.452 --> 02:11:31.434]  Perfect example of this, 2016.
[02:11:31.434 --> 02:11:45.233]  The way in which someone like Hillary might do this was what the mayor of Chicago, longtime Clinton ally at the time, remember they staged when Trump was supposed to come in, they staged a bunch of Bernie people creating a huge brawl, purportedly Bernie people.
[02:11:45.553 --> 02:11:48.475]  Even though Bernie people up to that point had had no history of being violent.
[02:11:48.475 --> 02:11:50.677]  And Tifa had, but Bernie people didn't.
[02:11:50.677 --> 02:11:56.101]  People purportedly being for Bernie, went in and staged a bunch of violence against Trump supporters.
[02:11:56.101 --> 02:11:56.681]  That was Hillary!
[02:11:56.681 --> 02:11:57.742]  It came out in WikiLeaks!
[02:11:57.742 --> 02:12:00.444]  The exact... And we said at the time it was Hillary.
[02:12:00.444 --> 02:12:01.505]  I said, looks like Hillary.
[02:12:01.505 --> 02:12:02.506]  She stands to gain.
[02:12:02.506 --> 02:12:02.966]  It was!
[02:12:03.246 --> 02:12:09.191]  And it was perfectly set up because the narrative coming out to the press was, Bernie people are crazy and dangerous.
[02:12:09.191 --> 02:12:11.272]  Trump people are crazy and dangerous.
[02:12:11.272 --> 02:12:12.653]  Who's the solution?
[02:12:12.653 --> 02:12:13.994]  Oh, Hillary is.
[02:12:13.994 --> 02:12:16.797]  So you can see the same sort of dynamic occur again.
[02:12:16.797 --> 02:12:25.924]  If you start to see that happen, if there is a brokered convention and you start to see those kind of events take place, you should be reasonably sus- And again, I want to be clear.
[02:12:25.924 --> 02:12:26.404]  Exactly.
[02:12:26.404 --> 02:12:27.785]  I don't make this stuff up.
[02:12:27.785 --> 02:12:30.327]  I know people that have guarded Hillary off and on for years.
[02:12:30.327 --> 02:12:30.968]  I'm going to leave it at that.
[02:12:31.860 --> 02:12:33.181]  Not just Secret Service, but that too.
[02:12:33.181 --> 02:12:36.203]  They're the ones that told us she drives around in a black ambulance.
[02:12:36.203 --> 02:12:38.145]  She's falling down every 45 minutes.
[02:12:38.145 --> 02:12:38.785]  Just follow her.
[02:12:38.785 --> 02:12:39.406]  Well, people did.
[02:12:39.406 --> 02:12:40.066]  They caught it.
[02:12:40.066 --> 02:12:41.787]  We caught it when she was in a tent.
[02:12:41.787 --> 02:12:45.750]  But others caught it in New York on September 11th a few years ago, three years ago.
[02:12:45.750 --> 02:12:46.551]  Three years ago yesterday.
[02:12:47.151 --> 02:13:06.239]  And so, that's really what this comes down to, and the same people are like, no, she's on the phone, she's in there, running the Democratic Party, her foundation's still getting money, and they all still kiss her ass because she's in control of Obama, of the stay-behind networks, and all the Democratic bureaucrats that they put in, and basically the Bush people just advocated to her, let her still kind of run it.
[02:13:06.239 --> 02:13:10.681]  So Hillary is still kind of the shadow president, kind of like in England, they'll have the main
[02:13:11.361 --> 02:13:17.426]  A person of the exchequer, but they'll have the, you know, the shadow person that's for the party out of power, but still has some power.
[02:13:17.426 --> 02:13:20.289]  That's how they're operating, the shadow government, the deep state.
[02:13:20.289 --> 02:13:22.631]  Is Hillary still bumbling around?
[02:13:22.631 --> 02:13:32.239]  She's still got all her people in with national security clearances doing this, and she still thinks that this is such a weak field that maybe she slips in, then Trump gets assassinated or something.
[02:13:32.239 --> 02:13:37.524]  Believe me, this woman runs around pretending to be the president all over TV shows, all over the media.
[02:13:37.524 --> 02:13:38.825]  She was doing it again yesterday.
[02:13:39.205 --> 02:13:39.605]  Exactly.
[02:13:39.605 --> 02:13:41.907]  Why is she doing that staged photo yesterday?
[02:13:41.907 --> 02:13:43.288]  Or look at a Politico article.
[02:13:43.288 --> 02:13:44.629]  And look how psychotic she is!
[02:13:44.629 --> 02:13:45.450]  Can we blow that up?
[02:13:45.450 --> 02:13:47.151]  Yeah, exactly!
[02:13:47.151 --> 02:13:47.591]  I don't mean that.
[02:13:47.591 --> 02:13:48.692]  I mean zoom in on it.
[02:13:48.692 --> 02:13:50.053]  Can we zoom in for TV viewers on her?
[02:13:50.053 --> 02:13:51.394]  I mean she looks like an...
[02:13:52.617 --> 02:13:55.240]  Animatronic robot at Chuck E. Cheese.
[02:13:55.240 --> 02:13:57.383]  Yes, he does.
[02:13:57.383 --> 02:13:59.386]  She still doesn't understand photo ops.
[02:13:59.386 --> 02:14:03.571]  That's what Trump was laughing about in 2016.
[02:14:03.571 --> 02:14:06.535]  He said, all these people that attack me, they always get these great photos of me.
[02:14:06.535 --> 02:14:08.818]  He's like, I have to go get those photos, because how good they are.
[02:14:09.138 --> 02:14:14.561]  But Dee, if you look at it, the other thing is, look at a Politico article, and Politico is sort of the insider publication in D.C.
[02:14:14.561 --> 02:14:20.845]  for the political consulting class, just a few days ago, where Hillary was taking credit for the Warren campaign.
[02:14:20.845 --> 02:14:26.309]  They said Warren's getting her advice from Hillary, Hillary's help, almost like a Henry Kissinger kind of piece.
[02:14:26.309 --> 02:14:30.812]  And so it was almost a message that she's setting something up so that there'll be one woman, Warren,
[02:14:31.913 --> 02:14:33.394]  Two guys, Bernie and Biden.
[02:14:33.394 --> 02:14:35.395]  Warren won't be able to get over the top.
[02:14:35.395 --> 02:14:44.942]  She comes in and says the only real way to protect women's rights is to nominate Hillary as the peace candidate between all of the different contingencies and constituencies within the Democratic Party.
[02:14:44.942 --> 02:14:46.563]  Look at the look on her face.
[02:14:46.563 --> 02:14:47.183]  Exactly.
[02:14:47.183 --> 02:14:48.985]  The entitlement, the mental illness.
[02:14:50.063 --> 02:14:50.784]  Yeah, precisely.
[02:14:50.784 --> 02:14:53.486]  And that's the person that's, one, the most dangerous.
[02:14:53.486 --> 02:14:57.489]  It's someone that's obsessed with power and disconnected from reality.
[02:14:57.489 --> 02:15:10.300]  And she has still disproportionate institutional influence because the Democratic... The Clintons did such a great job at decimating the Democratic base that you now will see tonight three leading candidates, Biden, Bernie, and Warren,
[02:15:10.720 --> 02:15:14.744]  Who cannot get any appeal from a big wing of the Democratic Party.
[02:15:14.744 --> 02:15:16.085]  And it's like a power cult!
[02:15:16.085 --> 02:15:18.448]  I mean, I've been around Democrats and I've watched the videos.
[02:15:18.448 --> 02:15:20.289]  They worship her!
[02:15:20.289 --> 02:15:21.751]  Oh, yes, yes.
[02:15:21.751 --> 02:15:24.533]  They worship her and fear her and obsess over her at the same time.
[02:15:24.533 --> 02:15:25.815]  You know, my ex-wife's mom...
[02:15:26.977 --> 02:15:27.878]  He's a big Democrat.
[02:15:27.878 --> 02:15:30.059]  I mean, Jimmy Carter's, you know, come over for dinner before.
[02:15:30.059 --> 02:15:34.602]  And they, like, 10 years ago, they were at a dinner with Hillary and Bill, and they said, what do you think of Alex Jones?
[02:15:34.602 --> 02:15:36.923]  And they thought they meant Alex S. Jones of the New York Times.
[02:15:36.923 --> 02:15:38.904]  She said, oh, he's a very important, wonderful person.
[02:15:38.904 --> 02:15:40.105]  They all had heart attacks.
[02:15:40.105 --> 02:15:40.625]  Couldn't believe it.
[02:15:40.625 --> 02:15:41.326]  We're all groveling.
[02:15:41.326 --> 02:15:43.367]  And I said, she means Alex S. Jones.
[02:15:43.367 --> 02:15:44.748]  They called her later and found out it was true.
[02:15:44.748 --> 02:15:46.529]  We're like, oh, good, because we hate you.
[02:15:46.529 --> 02:15:49.811]  But it's just, it's hilarious how much they worship this woman.
[02:15:53.382 --> 02:15:59.127]  Finally, there's a way for you to get into the blockchain, the hottest financial sector without all the speculation.
[02:15:59.127 --> 02:16:04.231]  Now, enjoy a 27% annualized payment each month without the ups and downs of Bitcoin.
[02:16:04.231 --> 02:16:11.697]  Seen on programs broadcast on Fox Business News, blockchain data centers offer an equipment leasing program in the explosive digital asset marketplace.
[02:16:11.937 --> 02:16:15.360]  Inspired by entrepreneurs who sold picks and shovels during the gold rush.
[02:16:15.360 --> 02:16:20.004]  The money is in the mining equipment used to manufacture dozens of critical digital assets.
[02:16:20.004 --> 02:16:21.805]  Not a security IPO or note.
[02:16:21.805 --> 02:16:30.452]  Blockchain data centers have a proven turnkey equipment sale leaseback program with a 27% annualized lease payment deposited into your bank account.
[02:16:30.692 --> 02:16:31.313]  Each month.
[02:16:31.313 --> 02:16:32.153]  Don't miss this one.
[02:16:32.153 --> 02:16:32.994]  Stake your claim today.
[02:16:32.994 --> 02:16:33.174]  Call 800-600-3388.
[02:16:33.174 --> 02:16:33.394]  That's 800-600-3388.
[02:16:33.394 --> 02:16:34.735]  These valuable lease contracts won't last long.
[02:16:34.735 --> 02:16:35.035]  Call now.
[02:16:35.035 --> 02:16:35.095]  800-600-3388.
[02:16:35.095 --> 02:16:35.195]  800-600-3388.
[02:16:35.195 --> 02:16:36.256]  Equipment offered poses a financial risk.
[02:16:36.256 --> 02:16:38.017]  Donors consult with financial professionals before purchasing.
[02:16:38.017 --> 02:16:40.579]  Not an offer to buy or sell a security which requires an offering document.
[02:16:53.371 --> 02:16:58.455]  Fellow Patriots, my name is Todd Savage, founder of BlackRifleRealEstate.com.
[02:16:58.455 --> 02:17:03.799]  Like you, I was a prisoner of the outleft sanctuary state until one day I chose to leave my family to freedom.
[02:17:03.799 --> 02:17:11.865]  Today we live on a sustainable 20-acre homestead where we shoot, hunt, garden, and homeschool our children without the tyranny of the nanny state looking over us.
[02:17:11.865 --> 02:17:17.310]  If you're ready to flee the city to the freedom of Idaho or Montana, our Black Rifle Real Estate team is here to help.
[02:17:17.310 --> 02:17:19.291]  Go to BlackRifleRealEstate.com.
[02:17:19.291 --> 02:17:21.133]  That's BlackRifleRealEstate.com.
[02:17:22.748 --> 02:17:25.350]  Hunters, anglers, campers and survivalists.
[02:17:25.350 --> 02:17:26.410]  Get back to nature.
[02:17:26.410 --> 02:17:33.595]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[02:17:33.595 --> 02:17:37.217]  Slingbow products are compact and models start from just $17.98.
[02:17:37.217 --> 02:17:40.439]  They're perfect for your bug out bag or storing in your vehicle.
[02:17:40.439 --> 02:17:44.521]  Give yourself and your loved ones the excitement and tradition of slingbow.
[02:17:44.521 --> 02:17:49.004]  A new frontier in archery and truly modern twist on this primitive survival tool.
[02:17:49.004 --> 02:17:51.626]  Feel the thrill only at slingbow.com.
[02:17:54.813 --> 02:18:00.555]  Super Silver Wound Gel is a private label from the top company in the U.S.
[02:18:00.555 --> 02:18:05.277]  that has their products in hospitals and is sold over the counter and approved for that by the FDA.
[02:18:05.277 --> 02:18:07.958]  We have been blessed with their listeners and let us private label it.
[02:18:07.958 --> 02:18:10.119]  In the last two years, it's been a bestseller.
[02:18:10.119 --> 02:18:22.164]  We convinced them to let us come out with a skin cream that basically mimics the top skin creams that are already out there at a lower price with their patented Silver Sol technology in it.
[02:18:22.164 --> 02:18:23.645]  It's got the hyaluronic acid,
[02:18:24.125 --> 02:18:31.787]  It's got the stearic acid, it's got the grapefruit essential oil, it's got the nano-silver coconut oil, and so much more.
[02:18:31.787 --> 02:18:37.288]  It's in two sizes, super silver skin cream in 3.4 ounce and in the smaller one.
[02:18:37.288 --> 02:18:41.509]  You're not going to find a product this good anywhere, and you're certainly not going to find it at this price.
[02:18:41.509 --> 02:18:45.230]  And it funds the InfoWar at InfoWarsLife.com.
[02:18:45.230 --> 02:18:48.231]  Get your super silver skin cream today.
[02:18:48.231 --> 02:18:52.532]  We can only run this special for another week or so as of taping this September 10th.
[02:18:54.508 --> 02:19:01.915]  There are few things in this universe that are a sure bet, but I'm here to tell you the products that Infowarslife.com are.
[02:19:01.915 --> 02:19:10.985]  We go out, we find out what is the best rated, best tested, most loved, most documented substances that God gave us through Mother Nature.
[02:19:11.565 --> 02:19:15.727]  And then we make it even stronger, even better, and lower the price.
[02:19:15.727 --> 02:19:22.370]  Now, turmeric has been known for thousands of years to help with inflammation, headaches, it's good for the immune system, so many things.
[02:19:22.370 --> 02:19:24.131]  It sells itself.
[02:19:24.131 --> 02:19:33.055]  But, normal turmeric only has 3-5% curcuminoid, the active enzyme or system in the plant.
[02:19:33.055 --> 02:19:34.236]  Originally, obviously, from India.
[02:19:35.516 --> 02:19:47.125]  Bodies Ultimate Turmeric Formula has a 95% curcuminoid level, but it's got other natural things that help boost it, help your body absorb it, and that's why people absolutely love it.
[02:19:47.125 --> 02:19:50.067]  I'm doing this offer for people that haven't tried it yet.
[02:19:50.067 --> 02:19:56.912]  50% off on Bodies at Infowarslive.com.
[02:19:56.912 --> 02:19:59.554]  You're listening to The Alex Jones Show.
[02:20:15.189 --> 02:20:19.530]  If you are receiving this transmission, you are the resistance.
[02:20:19.530 --> 02:20:21.851]  You're listening to Alex Jones.
[02:20:36.613 --> 02:20:37.134]  Welcome back.
[02:20:37.134 --> 02:20:38.074]  I'm Alex Jones, your host.
[02:20:38.074 --> 02:20:41.117]  Robert Barnes, who's a charming, likable, smart guy.
[02:20:41.117 --> 02:20:41.517]  I like him.
[02:20:41.517 --> 02:20:43.759]  He's our chief lawyer in our battles with the globalists.
[02:20:43.759 --> 02:20:47.341]  We're being very successful with, so they lie and say that we're losing.
[02:20:47.341 --> 02:20:48.182]  You're our backers, though.
[02:20:48.182 --> 02:20:49.323]  Without you, we are nowhere.
[02:20:49.323 --> 02:20:51.225]  Without you, the articles, the videos don't get out.
[02:20:51.225 --> 02:20:59.711]  I cannot see how critical that is to go to band.video and to share it on Twitter, Facebook, YouTube, your email, your text message, your word of mouth.
[02:20:59.711 --> 02:21:04.355]  And we're adding a bunch of new contributors and a bunch of new pages and a lot of new stuff.
[02:21:04.355 --> 02:21:05.616]  I'm coming in this Saturday.
[02:21:06.974 --> 02:21:12.916]  2 to 4 p.m., it's gonna be called the Infowars Roundtable Caller Show.
[02:21:12.916 --> 02:21:23.319]  And we'll have a host that hot shows it, and as we develop the callers, callers that host the show, some will be on Skype, some will be on the phone, and the best callers will end up having a show.
[02:21:23.319 --> 02:21:32.802]  And I intend to actually expand that out, quite frankly, to be honest with you, I have a plan to launch something that's like a Washington's Journal, but an America's Journal.
[02:21:34.184 --> 02:21:35.287]  Maybe even a world journal.
[02:21:35.287 --> 02:21:39.799]  After the first few hours, there's a caller from the U.S., then a caller from outside the U.S., something that starts at 4 a.m.
[02:21:39.799 --> 02:21:40.201]  in the morning.
[02:21:40.984 --> 02:21:49.966]  And then we have a host that just covers news, just shows the news, shows a clip, not much commentary, maybe a little bit of opinion after you take calls.
[02:21:49.966 --> 02:21:51.786]  And just really make it about callers.
[02:21:51.786 --> 02:21:56.187]  And we're trying to get more calls on the air here, but we get unlimited great calls.
[02:21:56.187 --> 02:21:59.908]  I'm trying to make the show more about calls as well because I love hearing what you say.
[02:21:59.908 --> 02:22:01.448]  I love the angles you take us in.
[02:22:01.448 --> 02:22:05.749]  But I'll be hosting that show with some of the callers that I've been getting over the years when I've had this idea.
[02:22:07.113 --> 02:22:10.655]  This Saturday, 2 to 4 p.m., and I'll be back live with the 4 to 6 p.m.
[02:22:10.655 --> 02:22:11.076]  Sunday Show.
[02:22:11.076 --> 02:22:12.376]  We've now been doing it for 12 years.
[02:22:12.376 --> 02:22:16.239]  Been doing this show and this time slot for 23 years.
[02:22:16.239 --> 02:22:17.820]  22 and a half years.
[02:22:17.820 --> 02:22:20.862]  So, let's get into this right now.
[02:22:20.862 --> 02:22:21.743]  Marianne Williamson.
[02:22:22.703 --> 02:22:23.023]  I don't
[02:22:46.730 --> 02:22:50.333]  The Democrats are some nasty, nasty folks.
[02:22:50.333 --> 02:22:52.615]  So Marianne Williamson really gets woke.
[02:22:52.615 --> 02:22:55.758]  Now says the left is mean and lies.
[02:22:55.758 --> 02:22:56.139]  Here it is.
[02:22:58.834 --> 02:23:02.396]  What does it say that Fox News is nicer to me than the lefties are?
[02:23:02.396 --> 02:23:03.576]  I'm sorry?
[02:23:03.576 --> 02:23:06.758]  What does it say that the conservatives are nicer to me?
[02:23:06.758 --> 02:23:08.059]  It's a bizarre world, ma'am.
[02:23:08.059 --> 02:23:10.860]  It's such a bizarre world.
[02:23:10.860 --> 02:23:12.121]  You know, I'm such a lefty.
[02:23:12.121 --> 02:23:13.481]  I mean, I'm a serious lefty.
[02:23:13.481 --> 02:23:17.223]  But they're so... I understand why people on the right call them godless.
[02:23:17.223 --> 02:23:21.365]  I mean, it's like... I didn't think the left was as mean as the right.
[02:23:21.365 --> 02:23:22.106]  They are!
[02:23:22.106 --> 02:23:23.687]  Well, I'm just...
[02:23:25.752 --> 02:23:29.656]  And again, she didn't even know she was on air.
[02:23:29.656 --> 02:23:32.058]  And similar comments are coming up.
[02:23:32.058 --> 02:23:32.879]  Here's another one.
[02:23:32.879 --> 02:23:36.823]  I mean, just on Monday, Rahm Emanuel said, we can't offer everything free.
[02:23:36.823 --> 02:23:39.345]  We're already almost bankrupt.
[02:23:39.345 --> 02:23:40.966]  If we don't really grow our way out of this, we are.
[02:23:42.131 --> 02:23:46.892]  And at the same time, you've seen other Democrats come out and admit that.
[02:23:46.892 --> 02:23:59.996]  But if they do, they get shouted down because the globalists want policies that collapse us, because they can loot the whole infrastructure, fire it back up and dominate the planet, but this time from a very anti-God, anti-freedom, anti-American perspective.
[02:23:59.996 --> 02:24:04.777]  Here it is, ex-Obama official, Dems going way too far to the left.
[02:24:04.777 --> 02:24:07.258]  Here it is on MSNBC with Jeh Johnson.
[02:24:07.258 --> 02:24:07.538]  Here it is.
[02:24:09.628 --> 02:24:22.914]  Look, most Americans want to be fair and treat in a humane way those who have migrated here, who are desperate, who are fleeing really bad conditions.
[02:24:22.914 --> 02:24:25.255]  We want to take care of people who came here as children.
[02:24:26.335 --> 02:24:29.057]  We want to take care of the DREAMers.
[02:24:29.057 --> 02:24:31.579]  But Americans also want secure borders.
[02:24:31.579 --> 02:24:34.541]  They want to get control of illegal migration.
[02:24:34.541 --> 02:24:39.984]  And that's true, I know, from Laredo, Texas to Detroit, Michigan.
[02:24:39.984 --> 02:24:52.272]  And so, when we talk about deprioritizing the deportation of those apprehended at the border, or decriminalizing illegal immigration,
[02:24:53.292 --> 02:24:58.954]  I know that we're going way too far to the left of the American consensus on where we should be on this.
[02:24:58.954 --> 02:25:10.659]  And you just cannot have a policy where a border patrol agent arrests someone at the border and says, in effect, you get to stay here unless you commit a crime.
[02:25:10.659 --> 02:25:13.980]  And they commit a crime to get here, and they expect everything free.
[02:25:13.980 --> 02:25:15.421]  And by the way, I should have opened the show up with this.
[02:25:16.380 --> 02:25:20.783]  We didn't just win this big Republican race, the Democrats put everything they had into a North Carolina.
[02:25:20.783 --> 02:25:23.544]  We didn't just, you know, see all these things unfold.
[02:25:23.544 --> 02:25:33.010]  We also have the Supreme Court ruling, we'll talk about in the next segment some, the Supreme Court ruling that of course Trump can have these strong amnesty laws, he can have these strong laws.
[02:25:33.550 --> 02:25:34.051]  I don't think so.
[02:25:53.388 --> 02:25:55.331]  But show up and say, I'm here to have my baby free.
[02:25:55.331 --> 02:25:57.234]  They'd kick your ass!
[02:25:57.234 --> 02:26:00.940]  I mean, my God, ladies and gentlemen, when you fly into Mexico, they say, what hotel are you staying at?
[02:26:00.940 --> 02:26:01.981]  They call, they check.
[02:26:01.981 --> 02:26:03.524]  You don't fly out the day you say?
[02:26:03.524 --> 02:26:04.445]  They arrest your ass!
[02:26:05.333 --> 02:26:08.335]  But then we're supposed to get everything and just give it away free.
[02:26:08.335 --> 02:26:09.835]  Simply incredible.
[02:26:09.835 --> 02:26:13.057]  And I see more and more Democrats coming out and saying, hey, back off guys.
[02:26:13.057 --> 02:26:15.218]  Not that they don't want this agenda to happen.
[02:26:15.218 --> 02:26:17.999]  They just want the Democrats to stop being honest.
[02:26:17.999 --> 02:26:18.700]  Oh, no doubt about it.
[02:26:18.700 --> 02:26:23.722]  I mean, what Marianne Williamson is talking about, you know, Marianne, we did a segment of meditation with Marianne.
[02:26:23.722 --> 02:26:25.743]  That's sort of her mindset, her mentality.
[02:26:25.743 --> 02:26:27.224]  Obama's, not Obama, but...
[02:26:29.225 --> 02:26:31.646]  Oprah Winfrey's spiritual advisor.
[02:26:31.646 --> 02:26:40.191]  That's sort of her persona and personality, and she's shocked by how harsh and vicious and vile and mean the left, the modern left, is.
[02:26:40.191 --> 02:26:54.578]  And what it is, is when the left, what the left accuses the right of, what my old friend John Avalon, who's on CNN, accused on 9-11, decided to use 9-11 to attack so-called right-wingers and make up this fictional white nationalist violence all across the country that's not occurring.
[02:26:55.980 --> 02:27:02.713]  What that reflects is the projection of the left onto the right of the left's violence, the left's anger.
[02:27:02.713 --> 02:27:05.198]  Let's talk more about that since you mentioned it.
[02:27:05.198 --> 02:27:06.521]  Here's a clip of that.
[02:27:13.338 --> 02:27:16.900]  At 11, right-wing terrorists have killed more people in the United States than jihadist terrorists.
[02:27:16.900 --> 02:27:19.061]  That's according to New America.
[02:27:19.061 --> 02:27:25.424]  There are some folks, for their own political purposes, would like to keep the focus on only one form of political violence over another.
[02:27:26.189 --> 02:27:30.994]  But that would be unwise, because we don't have the luxury of choosing which threats we face.
[02:27:30.994 --> 02:27:36.399]  And there's a case to be made that these threats actually echo each other, as our colleague Jim Sciutto and others have argued.
[02:27:36.399 --> 02:27:42.104]  They're weaponized versions of tribalism, motivated by fear and finding identity in their hatred of the other.
[02:27:42.104 --> 02:27:50.693]  As Max Fischer of The Times wrote, in both, there's the apocalyptic ideology that predicts and promises to hasten a civilizational conflict that will consume the world.
[02:27:51.650 --> 02:27:56.553]  To mark the 18th anniversary of 9-11 is to reflect on how we're all the children of 9-11.
[02:27:56.553 --> 02:28:00.155]  That attack unleashed destructive forces that we're still wrestling with.
[02:28:00.155 --> 02:28:06.860]  But to truly learn the lessons of 9-11 is to resolve not to let hate win or fear define us.
[02:28:07.640 --> 02:28:08.981]  And that's a reality check.
[02:28:27.398 --> 02:28:27.718]  Exactly.
[02:28:27.718 --> 02:28:28.979]  It's manipulation of the numbers.
[02:28:28.979 --> 02:28:29.720]  They know they are.
[02:28:29.720 --> 02:28:31.641]  There is no great white nationalist threat.
[02:28:31.641 --> 02:28:35.985]  Nobody is afraid of Klansmen marching down the street and burning all of their homes.
[02:28:35.985 --> 02:28:37.886]  That threat has long since passed.
[02:28:37.886 --> 02:28:43.331]  The only real politicized violence has come on the left, and it's come from politicized, radicalized Islam.
[02:28:43.331 --> 02:28:45.633]  There is no right... And of course, Antifa and others.
[02:28:45.633 --> 02:28:46.914]  It's the left bullying everybody.
[02:28:46.914 --> 02:28:47.714]  Everybody knows it.
[02:28:47.714 --> 02:28:49.916]  No amount of CNN lying will change that.
[02:28:49.916 --> 02:28:50.717]  We'll be right back.
[02:28:50.717 --> 02:28:51.237]  Stay with us.
[02:28:51.237 --> 02:28:51.818]  More coming up.
[02:28:53.976 --> 02:29:05.031]  When you have a pain in the neck, a real pain in the neck, back, shoulder or legs, you now have two convenient choices to get fast relief without taking another pill.
[02:29:05.031 --> 02:29:10.479]  Because now Sunny Bay heating wraps and pillows are available at both Amazon and Walmart.
[02:29:10.819 --> 02:29:11.480]  Yes.
[02:29:11.480 --> 02:29:17.724]  See Sunny Bay's four and a half to five star customer reviews on Amazon .com or Wal-Mart .com.
[02:29:17.724 --> 02:29:26.150]  Our microwavable heat wraps, heatable neck pillows and extra large body wraps are designed better for perfect support where and when you need it.
[02:29:26.150 --> 02:29:35.197]  Even while driving, Sunny Bay wraps will not burn and stay balanced to provide soothing, hot or cold therapy to help treat temporary or chronic pain.
[02:29:35.197 --> 02:29:36.658]  And the best part, Sunny Bay
[02:29:39.420 --> 02:29:47.452]  Join thousands of happy customers and see why Sunny Bay products have a lifetime 100% positive rating on both Amazon and Etsy.
[02:29:47.452 --> 02:29:48.234]  It's easy.
[02:29:48.234 --> 02:29:52.119]  Click Amazon or Walmart and search today for Sunny Bay.
[02:29:54.676 --> 02:30:02.103]  There are few things in this universe that are a sure bet, but I'm here to tell you, the products at Infowarslife.com are on offer.
[02:30:02.103 --> 02:30:11.173]  We go out, we find out what is the best rated, best tested, most loved, most documented substances that God gave us through Mother Nature.
[02:30:11.753 --> 02:30:15.895]  And then we make it even stronger, even better, and lower the price.
[02:30:15.895 --> 02:30:22.539]  Now, turmeric has been known for thousands of years to help with inflammation, headaches, it's good for the immune system, so many things.
[02:30:22.539 --> 02:30:24.320]  It sells itself.
[02:30:24.320 --> 02:30:32.344]  But normal turmeric only has 3-5% curcuminoid, the active enzyme or system in the plant.
[02:30:33.271 --> 02:30:34.932]  Originally, obviously, from India.
[02:30:34.932 --> 02:30:47.300]  Well, BODY'S Ultimate Turmeric Formula has a 95% curcuminoid level, but it's got other natural things that help boost it, help your body absorb it, and that's why people absolutely love it.
[02:30:47.300 --> 02:30:50.662]  I'm doing this offer for people that haven't tried it yet.
[02:30:50.662 --> 02:30:52.463]  50% off on BODY'S at Infowarslife.com.
[02:30:54.119 --> 02:30:59.884]  Super Silver Wound Gel is a private label from the top company in the U.S.
[02:30:59.884 --> 02:31:04.608]  that has their products in hospitals and is sold over the counter and approved for that by the FDA.
[02:31:04.608 --> 02:31:07.151]  We have been blessed with their listeners and let us private label it.
