[00:00:16.055 --> 00:00:18.077]  Hello, stupid Americans.
[01:29:09.880 --> 01:29:12.801]  It doesn't matter he did nothing, they will remove him.
[01:29:16.163 --> 01:29:17.404]  And then they're coming after everybody.
[01:29:18.465 --> 01:29:25.108]  They're already coming after everybody, but they say, oh, the system that got him elected, we have to crush them, we have to level them, we have to show them.
[01:29:26.909 --> 01:29:27.470]  And you're like, well,
[01:29:29.053 --> 01:29:29.933]  We'll just hold our powder.
[01:29:29.953 --> 01:29:32.234]  Well, that's good, except they're going to stage tough to be the victims.
[01:29:32.274 --> 01:29:43.699]  They've got all these movies in production, and they've tried to put them out, and they've put them out where patriots go out and shoot up everybody, and the Joker's meant to do that, and they've got movies in production where they're literally blaming me for mass shootings that are coming.
[01:29:44.019 --> 01:29:45.500]  I'll get to that next hour if I have time.
[01:29:45.520 --> 01:29:47.461]  There's an article up on InfoWars.com, a video of it.
[01:29:49.565 --> 01:29:51.125]  Yeah, but they're the ones all calling for violence.
[01:29:51.405 --> 01:29:52.426]  Then they say, we're causing it?
[01:29:52.446 --> 01:29:53.066]  That doesn't make sense.
[01:29:53.526 --> 01:29:54.806]  It doesn't need to make sense.
[01:29:54.846 --> 01:29:59.367]  These mentally ill followers can hold two opposite thoughts in their mind at the same time.
[01:29:59.427 --> 01:30:00.608]  It's called double-think.
[01:30:01.728 --> 01:30:02.408]  And they've got it.
[01:30:05.129 --> 01:30:06.749]  They just want to be on the winning team.
[01:30:06.889 --> 01:30:08.249]  They think they're on the winning team.
[01:30:09.490 --> 01:30:11.830]  And you look at them, they all look like they've had their souls sucked out.
[01:30:12.931 --> 01:30:14.231]  That's because they're followers.
[01:30:15.540 --> 01:30:23.805]  And because leaders have just decided in the modern world that it's not your job to be involved, your job politically fighting, evil has taken over.
[01:30:25.346 --> 01:30:33.571]  And now you can't even, at a press conference for the NBA, say, hey, what's your view, players, on free expression?
[01:30:35.452 --> 01:30:37.813]  Well, their view is, they said, next question, we're not answering that.
[01:30:39.214 --> 01:30:40.295]  They jerked the mic away from her.
[01:30:42.185 --> 01:30:42.745]  See how it works?
[01:30:43.846 --> 01:30:44.967]  Suddenly there's no speech.
[01:30:45.547 --> 01:30:45.827]  Nothing.
[01:30:46.968 --> 01:30:50.150]  It's whoever the biggest bully is, whoever has the biggest gun.
[01:30:50.610 --> 01:30:53.292]  Now you say, which way's the wind blow, master?
[01:31:03.098 --> 01:31:04.238]  Because they believe in something.
[01:31:05.159 --> 01:31:06.420]  The Communist Party, it's evil.
[01:31:07.472 --> 01:31:08.393]  You believe in nothing.
[01:31:08.453 --> 01:31:09.994]  I know our audience believes in everything.
[01:31:10.435 --> 01:31:10.675]  Good.
[01:31:10.915 --> 01:31:23.546]  But I'm saying, the soullessness of America, the emptiness, the seeking after, baubles, the seeking after the latest entertainment, it does not fulfill.
[01:31:26.684 --> 01:31:30.725]  Now, if you're fighting corruption, if you're engaged, if you're involved, then everything's more vivid.
[01:31:30.885 --> 01:31:35.005]  Colors, and food, and knowledge, and music, and sex.
[01:31:35.486 --> 01:31:38.946]  And it's like, why would anyone ever want to serve evil?
[01:31:39.246 --> 01:31:41.167]  Everything under evil is empty.
[01:31:42.487 --> 01:31:43.187]  Flavorless.
[01:31:46.087 --> 01:31:55.329]  Only the search for degeneracy creates like a carrot in the mine that you hope you can reach, that then you would have happiness.
[01:31:58.046 --> 01:31:59.086]  But it's not the happiness.
[01:32:00.287 --> 01:32:02.727]  It's the empty search for those that are empty.
[01:32:05.788 --> 01:32:11.350]  Emptiness upon emptiness upon emptiness, a hall of mirrors, an infinity of nothingness.
[01:32:13.010 --> 01:32:14.591]  Why would anyone want to sign on to that?
[01:32:20.013 --> 01:32:21.433]  Because there's something missing.
[01:32:24.028 --> 01:32:27.849]  A lot of people in this phase of humanity are NPCs.
[01:32:29.430 --> 01:32:37.232]  They've got so many generations of empty people before them that sold out that now they are a shadow of a human.
[01:32:41.854 --> 01:32:45.935]  And what little free will they had was given up early.
[01:32:47.802 --> 01:32:49.304]  And now they're nothing but drones.
[01:32:49.324 --> 01:32:50.105]  I'm gonna go to your calls.
[01:32:50.845 --> 01:32:52.347]  Jennifer in California, you're on the air.
[01:32:52.587 --> 01:32:53.128]  Thanks for holding.
[01:32:53.188 --> 01:32:54.069]  Welcome to the airwaves.
[01:32:54.129 --> 01:32:55.170]  What do you think's happening right now?
[01:32:55.470 --> 01:32:56.532]  How much danger is Trump in?
[01:32:57.898 --> 01:33:00.959]  Well, he's in a massive amount of danger.
[01:33:01.939 --> 01:33:03.719]  First, I want to say I'm a 12-year listener.
[01:33:03.819 --> 01:33:05.380]  Thank you for all that you do.
[01:33:05.720 --> 01:33:07.260]  I use your entire product line.
[01:33:07.340 --> 01:33:10.221]  I pray for you, your family, your entire team daily.
[01:33:10.241 --> 01:33:11.341]  I cover you in prayer.
[01:33:11.361 --> 01:33:16.722]  I want to say, you know, Trump's message last night was fantastic.
[01:33:16.762 --> 01:33:23.144]  I'm disappointed that he doesn't give you credit publicly because you do, in fact, know, as he knows,
[01:33:23.804 --> 01:33:24.665]  You got him elected.
[01:33:25.045 --> 01:33:26.325]  The listeners got him elected.
[01:33:26.405 --> 01:33:27.606]  So that's a disappointment.
[01:33:27.666 --> 01:33:50.957]  But in terms of the fact that, you know, he's in danger, if he doesn't start using his bully pulpit and declare a national state of emergency and suspend Congress and arrest them, these usurpers, these fraudsters, these liars and cheaters, if he doesn't get aggressive and take the offense and deal with them and arrest them,
[01:33:52.834 --> 01:33:54.715]  He could be taken down entirely.
[01:33:54.795 --> 01:33:56.296]  His life is at stake.
[01:33:57.476 --> 01:34:07.702]  On the same, you know, turn, if they do their crimes that they've committed
[01:34:08.905 --> 01:34:18.350]  Yeah, they're saying that he's done everything they've done, and because the Justice Department hasn't done its job, it's created this paradox.
[01:34:32.248 --> 01:34:34.289]  And look, I don't care about not getting credit.
[01:34:34.329 --> 01:34:38.089]  I got credit by the left and the media and got demonized and they came after us for the credit.
[01:34:38.570 --> 01:34:39.910]  The credit just puts a big mark on your head.
[01:34:40.350 --> 01:34:41.450]  I just want to see action.
[01:34:41.930 --> 01:34:46.211]  But yes, Trump got there because he knew to go on this show and knew to be populist.
[01:34:46.231 --> 01:34:49.012]  And his message, his Infoworks message, is just common sense.
[01:34:49.212 --> 01:34:49.932]  It's Americana.
[01:34:50.292 --> 01:34:55.034]  But the people around him getting him to quote, play it safe and stay on script, they're the problem.
[01:34:56.194 --> 01:34:58.174]  And they're the ones that are going along with the system.
[01:34:58.194 --> 01:34:59.735]  And they're the ones that are leaking.
[01:34:59.775 --> 01:35:00.595]  They're the ones that are
[01:35:01.823 --> 01:35:02.624]  We're good to go.
[01:35:31.917 --> 01:35:34.598]  I just don't know what you do when you're surrounded by a bunch of cowards.
[01:35:34.738 --> 01:35:41.321]  I mean, really, I think it comes down to us, Jennifer, is that Trump is totally surrounded.
[01:35:42.261 --> 01:35:44.903]  And so, instead of a million-man march up to D.C.
[01:35:44.943 --> 01:35:49.945]  the media ignores, we need a million people without orders from headquarters, like I said, to go to D.C.
[01:35:49.965 --> 01:35:50.365]  this month.
[01:35:51.209 --> 01:35:59.352]  I mean, by the middle of November, I think everybody listening right now, and I say I'll do it, but everyone needs to go to D.C.
[01:35:59.372 --> 01:36:01.753]  and, I mean, you go to those halls, they're almost empty.
[01:36:02.273 --> 01:36:04.834]  Senate buildings, House Office buildings, there's only five or six of them.
[01:36:05.154 --> 01:36:05.975]  I've been in most of them.
[01:36:06.435 --> 01:36:08.496]  And you're literally walking by and there they all are.
[01:36:08.536 --> 01:36:09.336]  There's their offices.
[01:36:09.716 --> 01:36:13.057]  And you'll see maybe a dozen or so Soros people that you always see.
[01:36:13.798 --> 01:36:16.378]  And you'll see a couple, you know, maybe 30, 40 media people.
[01:36:16.398 --> 01:36:17.279]  You can just go take over.
[01:36:18.100 --> 01:36:19.641]  Go to their offices, go talk to them.
[01:36:20.681 --> 01:36:22.262]  And I think that's really the answer.
[01:36:23.222 --> 01:36:27.804]  And I think taking over live media events when they're out in public, I mean, I think that's the answer.
[01:36:27.824 --> 01:36:28.385]  Thank you, Jennifer.
[01:36:28.425 --> 01:36:28.925]  God bless you.
[01:36:30.446 --> 01:36:31.546]  On to one call this second.
[01:36:31.566 --> 01:36:32.206]  Let's go to another one.
[01:36:32.647 --> 01:36:34.067]  Let's go to Misty in West Virginia.
[01:36:34.127 --> 01:36:34.908]  Misty, thanks for holding.
[01:36:34.928 --> 01:36:35.248]  Go ahead.
[01:36:35.268 --> 01:36:37.729]  Hello, Alex.
[01:36:37.829 --> 01:36:41.251]  I'm going to try to make this quick before commercial gets me.
[01:36:41.731 --> 01:36:43.332]  You talk about us being the resistance.
[01:36:43.432 --> 01:36:45.032]  We are the resistance.
[01:36:45.072 --> 01:36:46.513]  There's a song by Skillet.
[01:36:47.219 --> 01:36:48.840]  Uh, called the resistance.
[01:36:49.461 --> 01:37:00.670]  So, um, I think we are really in danger of seeing this president be impeached if the American people do not wake up and get off their asses and do something.
[01:37:01.410 --> 01:37:02.431]  Um, I don't know.
[01:37:02.451 --> 01:37:05.453]  I'm so excited about, uh, BAN.VIDEO.
[01:37:06.494 --> 01:37:12.419]  It's just amazing to be able to use your iPhone and, you know, put it right there on your home screen, click, and it's there.
[01:37:13.393 --> 01:37:17.678]  But that made me think you mentioned you had around 20 million views.
[01:37:18.098 --> 01:37:26.347]  If you were to maybe team up, I think there is a marketing group that works with Drudge Report Intermarket Advertisement Company.
[01:37:29.298 --> 01:37:29.918]  Yes, we are.
[01:37:30.738 --> 01:37:32.119]  We've advertised on that before.
[01:37:32.139 --> 01:37:33.079]  I was listening to you.
[01:37:33.699 --> 01:37:43.661]  And we are intending, if we get the funds to advertise Banned.Video on intermarkets, we got a good response to promoting Infowars.com forward slash show.
[01:37:44.141 --> 01:37:45.761]  And we're going to promote Banned.Video.
[01:37:45.801 --> 01:37:46.381]  Stay there, though.
[01:37:46.401 --> 01:37:50.002]  I want to come back to you, Misty, and finish up with why you think Trump's in so much danger.
[01:37:50.042 --> 01:37:50.862]  He obviously is.
[01:37:50.902 --> 01:37:51.522]  We all are.
[01:37:51.882 --> 01:37:54.602]  And so all I'm saying is we better not take stuff for granted.
[01:37:54.943 --> 01:37:57.023]  And we better all decide to do something right now.
[01:37:57.603 --> 01:37:58.724]  I mean, anybody can go up to D.C.
[01:37:58.764 --> 01:37:59.604]  and confront these people.
[01:37:59.884 --> 01:38:00.405]  We'll be right back.
[01:38:01.805 --> 01:38:02.506]  I want to be clear.
[01:38:05.467 --> 01:38:10.430]  We should be having a whole discussion about what happens if they do remove Trump and what is that process like.
[01:38:11.991 --> 01:38:14.012]  They are openly trying to start a civil war.
[01:38:14.272 --> 01:38:16.394]  They've decided to have one whether Trump's removed or not.
[01:38:18.515 --> 01:38:25.719]  And all the politicians being threatened and the media people going along with this need to know that
[01:38:29.514 --> 01:38:31.195]  The establishment means business.
[01:38:34.996 --> 01:38:39.258]  And all the acquiescence that Trump has had to big tech censorship has only greenlit this.
[01:38:39.678 --> 01:38:42.459]  The first thing you do before you take over a population is silence them.
[01:38:44.320 --> 01:38:45.360]  Then you demonize them.
[01:38:46.821 --> 01:38:50.982]  Then you start setting them up with false flags and persecuting them.
[01:38:53.963 --> 01:38:57.625]  And they're saying white men are terrorists, white men are evil, white men are bad.
[01:38:58.635 --> 01:39:08.377]  I haven't even gotten to clips yet of just city council meetings and state house meetings where people scream at white members of the government and say, shut up, you're white, man, shut up.
[01:39:09.077 --> 01:39:12.798]  I mean, it is the most racist craziness, but it's designed for total control.
[01:39:13.518 --> 01:39:19.860]  And universities saying no whites allowed this weekend or universities having events where they teach that whites are inherently bad.
[01:39:20.220 --> 01:39:23.461]  And then whites go, I'm sorry, I capitulate Stockholm syndrome.
[01:39:23.821 --> 01:39:25.041]  I'll do what you say.
[01:39:27.895 --> 01:39:32.579]  The idea that because your dad did something wrong, you're bad is evil.
[01:39:33.499 --> 01:39:45.368]  The idea because some white people in history did something is so authoritarian and so out of control that because white people did something in history, you're guilty?
[01:39:45.388 --> 01:39:52.434]  If I said because Charlie Manson killed some people, he's a white guy, I'm a bad person, you'd say that's crazy.
[01:39:53.837 --> 01:39:58.199]  Or because Bill Cosby might have raped some women, now black guys are all bad.
[01:39:58.419 --> 01:39:59.300]  You'd say, that's crazy!
[01:40:00.780 --> 01:40:01.461]  But it's being done.
[01:40:01.481 --> 01:40:06.723]  In fact, I'll play that clip next segment, just one of these clips, but we're going to your calls right now.
[01:40:07.643 --> 01:40:08.764]  Misty in West Virginia.
[01:40:10.445 --> 01:40:11.565]  You're saying call to action.
[01:40:11.785 --> 01:40:15.667]  What types of things do you think we should do to let the deep state know we're not intimidated?
[01:40:15.727 --> 01:40:19.649]  I mean, I think we should be on the offense where people should be everywhere.
[01:40:21.175 --> 01:40:23.756]  When the Democratic candidates go out and get in their face.
[01:40:23.776 --> 01:40:31.379]  But I think also everyone should go to NBA games with a t-shirt under a sweater saying free Hong Kong or free speech.
[01:40:31.759 --> 01:40:32.500]  Just free speech.
[01:40:32.600 --> 01:40:33.440]  I bet they throw you out.
[01:40:34.000 --> 01:40:34.961]  Or free expression.
[01:40:35.521 --> 01:40:40.063]  Or, you know, Google China organs or stuff like that.
[01:40:40.643 --> 01:40:43.984]  If everyone did it, we'll totally take over.
[01:40:44.044 --> 01:40:46.986]  We have to show them we have the power and that we're not jellyfish.
[01:40:49.847 --> 01:40:50.107]  Right.
[01:40:50.856 --> 01:40:54.199]  Well, I think it's really hard for Americans.
[01:40:54.299 --> 01:40:55.720]  I think we're tight on money.
[01:40:56.180 --> 01:41:04.968]  I really think that we should, like, it should be, like, fit into our budget how much we would donate, like, to this resistance.
[01:41:05.048 --> 01:41:18.159]  So, I mean, my first point was maybe your team could come up with a petition because the political development director at Intermarket, he launched a conservative petition
[01:41:18.915 --> 01:41:41.108]  If you're keen to come up with a petition for all of your listeners and viewers to sign a petition and let Congress, or however you would word it, let them know that we're not going to accept this coup attempt.
[01:41:41.168 --> 01:41:46.111]  I mean, when you have the intelligence community openly talking about
[01:41:46.667 --> 01:41:52.768]  You know, arresting this president, or shanking him, killing him, having him thrown in solitary confinement.
[01:41:53.169 --> 01:41:57.270]  I mean, I don't think they will stop at anything.
[01:41:58.050 --> 01:41:59.110]  No, you're right.
[01:41:59.130 --> 01:42:01.130]  I didn't know that InterMarkets, they're good folks.
[01:42:01.591 --> 01:42:02.191]  Pro-free speech.
[01:42:02.211 --> 01:42:03.551]  I didn't know they'd launched a petition site.
[01:42:04.251 --> 01:42:04.771]  You're absolutely right.
[01:42:04.791 --> 01:42:08.712]  We shouldn't be using change.org that just gets everybody's info and they use it for data mining.
[01:42:09.232 --> 01:42:10.373]  That's a total surveillance site.
[01:42:10.393 --> 01:42:11.933]  People should be using an independent new one.
[01:42:11.953 --> 01:42:15.574]  So do you happen to have the URL for InterMarkets' new petition site?
[01:42:16.468 --> 01:42:19.230]  It's called StandUnited.org.
[01:42:19.351 --> 01:42:20.512]  Oh, I've seen that.
[01:42:20.552 --> 01:42:20.832]  Okay.
[01:42:21.172 --> 01:42:22.473]  StandUnited.org.
[01:42:22.573 --> 01:42:22.894]  Okay.
[01:42:23.214 --> 01:42:23.754]  God bless you.
[01:42:23.794 --> 01:42:24.235]  Great points.
[01:42:24.255 --> 01:42:26.437]  Thank you so much, Misty, from West Virginia.
[01:42:28.118 --> 01:42:29.219]  I want to go to West Virginia.
[01:42:30.440 --> 01:42:31.581]  I've never been to West Virginia.
[01:42:31.601 --> 01:42:32.782]  It's one of the few states I've been to.
[01:42:32.802 --> 01:42:33.543]  I've been to Alaska.
[01:42:34.223 --> 01:42:40.309]  And I want to drive into that whole multi-thousand square mile area where the government bans all radio frequency.
[01:42:40.889 --> 01:42:41.790]  I want to experience it.
[01:42:41.810 --> 01:42:42.671]  They say it's so peaceful.
[01:42:43.775 --> 01:42:46.316]  Okay, let's go ahead and take another call here.
[01:42:49.257 --> 01:42:50.878]  Let's talk to John in North Carolina.
[01:42:50.898 --> 01:42:51.598]  Thanks for holding, John.
[01:42:54.139 --> 01:42:54.479]  Hey, Alex.
[01:42:54.499 --> 01:42:54.539]  Hi.
[01:42:55.559 --> 01:43:00.581]  I've been listening for about a year, and I just want to thank you for spreading the truth.
[01:43:01.382 --> 01:43:04.403]  Most importantly, the truth with the truth, the way, and the light.
[01:43:04.543 --> 01:43:07.724]  Jesus Christ, I appreciate you invoking that name for a long time.
[01:43:07.764 --> 01:43:10.005]  I wondered, is this man a Christian?
[01:43:10.025 --> 01:43:11.225]  And I'm glad that you are, brother.
[01:43:11.245 --> 01:43:13.086]  I'm glad that you've been studying and learning.
[01:43:13.533 --> 01:43:14.133]  You're on with it.
[01:43:15.274 --> 01:43:28.160]  My question to you is, Alex, do you think that the left and the establishment have threatened the Senate and scared the Senate enough to where they would be able to get this president removed?
[01:43:29.244 --> 01:43:33.187]  Well, I mean, I know all hell's been breaking loose around here since Hillary lost.
[01:43:33.348 --> 01:43:35.209]  And I went through all the stuff that's going on.
[01:43:35.249 --> 01:43:36.070]  It's like a movie.
[01:43:37.091 --> 01:43:37.851]  But it's criminal.
[01:43:38.192 --> 01:43:40.534]  And I know for senators, reportedly, it's even worse.
[01:43:40.754 --> 01:43:46.879]  And they harass your wives, your family, your neighbors, your grandma, your parents.
[01:43:46.979 --> 01:43:49.241]  They do stuff to your folks if they're in an old folks home.
[01:43:49.281 --> 01:43:50.722]  I mean, these people are dirty.
[01:43:51.583 --> 01:43:52.624]  They come after your kids.
[01:43:53.185 --> 01:43:54.045]  They come to your house.
[01:43:55.066 --> 01:44:00.649]  And then they've got all these other people hating you if you're a prominent conservative that just do all sorts of dirty things to you.
[01:44:02.010 --> 01:44:03.010]  And so it's a real commitment.
[01:44:03.030 --> 01:44:06.012]  But you've got to understand, it's going to get much worse if they totally take over.
[01:44:06.372 --> 01:44:08.153]  This just shows how bad these people are.
[01:44:09.234 --> 01:44:13.936]  So absolutely, Pat Buchanan has an excellent article, Is Impeachment Now Inevitable?
[01:44:13.956 --> 01:44:17.598]  It's linked up on InfoWars.com, it's on DrugReport.com, it's from WorldNetDaily.com.
[01:44:18.178 --> 01:44:20.280]  And Pat walks through why this is so serious.
[01:44:20.800 --> 01:44:22.361]  There's some other articles I'll get to.
[01:44:24.025 --> 01:44:29.329]  Coming up a little bit later, maybe the next segment, where the left is gleefully looking at why they think they have it.
[01:44:30.730 --> 01:44:32.191]  And so that's why this is so important.
[01:44:32.211 --> 01:44:42.099]  A lot of people know this isn't like having Congressman Al Green introduce stuff seven or eight times.
[01:44:42.159 --> 01:44:45.622]  That's just to get you used to it so you don't think it's serious when they actually attack.
[01:44:47.063 --> 01:44:47.984]  And again, you know how the U.S.
[01:44:48.004 --> 01:44:48.804]  invaded Panama in 89.
[01:44:50.950 --> 01:44:51.911]  You know how they did that, right?
[01:44:51.931 --> 01:44:53.252]  When George Herbert Walker Bush got in.
[01:44:53.292 --> 01:44:54.833]  They did drills for a year.
[01:44:54.853 --> 01:44:57.955]  They were going to invade with blinks.
[01:44:58.695 --> 01:45:07.541]  So that when they finally attacked the Panamanian Defense Forces, they blinked for about five minutes until most of them were knocked out because they didn't know it was a real assault.
[01:45:08.641 --> 01:45:13.344]  And so that's why they've been impeach, impeach, impeach like parrots since Trump got elected.
[01:45:13.745 --> 01:45:16.206]  So that when they make the real assault, people don't take it serious.
[01:45:16.226 --> 01:45:16.847]  Does that make sense?
[01:45:17.523 --> 01:45:18.664]  It makes sense, absolutely.
[01:45:19.145 --> 01:45:20.306]  And Alex, one other point.
[01:45:20.866 --> 01:45:27.953]  You brought this up, I think it was last week's show, and this is a big lie in the church, in the Christian community, is the rapture theory.
[01:45:28.434 --> 01:45:32.157]  Everyone thinking, hey, we're going to fly away one day, and that's not what's in the Bible.
[01:45:32.217 --> 01:45:32.598]  That's not...
[01:45:33.834 --> 01:45:34.594]  That's not the truth.
[01:45:34.894 --> 01:46:00.365]  No, it says that Christ defeats the devil in Armageddon, the archangel bounds him, puts him into a cage where everybody can see him for a thousand years, and that the dead in Christ are risen, so I guess it means we're kind of, they're in a purgatory if you believe the Bible, but these preachers don't follow the Bible, so they're basically frozen, and then you know, boom, then you're raised up and joined with Christ, you know, in the air, in space, and spirits go join with God, so that's a good point.
[01:46:00.385 --> 01:46:00.985]  Anything else, John?
[01:46:02.130 --> 01:46:05.111]  What do you think happens if he does get pulled out?
[01:46:05.151 --> 01:46:06.212]  What do you think about Mike Pence?
[01:46:06.272 --> 01:46:09.714]  Do you think he pulls the Lyndon Johnson, like JFK?
[01:46:09.754 --> 01:46:12.735]  JFK gets on the silver standard, gets away from the World Bank.
[01:46:13.295 --> 01:46:14.116]  Boom, he's gone.
[01:46:14.176 --> 01:46:15.756]  And what does his vice president do?
[01:46:16.136 --> 01:46:17.317]  Let me ask you what you think.
[01:46:17.377 --> 01:46:18.117]  That's a good question.
[01:46:18.137 --> 01:46:18.978]  You sound like a smart guy.
[01:46:18.998 --> 01:46:19.698]  Let me ask you, John.
[01:46:19.958 --> 01:46:21.119]  When we come back, stay with us.
[01:46:23.480 --> 01:46:25.161]  We are back live, taking your phone calls.
[01:46:26.224 --> 01:46:33.907]  Next hour is going to be jam-packed with Trump clips from his speech last night and the incredible vicious attack on Trump supporters.
[01:46:33.967 --> 01:46:34.928]  It's intensifying.
[01:46:35.888 --> 01:46:50.574]  And we're also going to get into some areas of how the media is trying to program folks to absolutely accept a civil war.
[01:46:51.535 --> 01:46:53.235]  So that is coming up here in just a moment.
[01:46:54.952 --> 01:47:00.417]  I just want to remind listeners of something very, very important here.
[01:47:01.377 --> 01:47:08.544]  And that is that we have really great products that will improve your life and make it a lot better.
[01:47:11.926 --> 01:47:17.531]  And then when you buy those products, it also funds this operation.
[01:47:17.971 --> 01:47:23.056]  So that really is a win-win-win and something that everybody should do.
[01:47:24.653 --> 01:47:25.673]  Let me give you an example.
[01:47:25.693 --> 01:47:26.854]  I'm going to go back to your phone calls.
[01:47:26.914 --> 01:47:28.334]  I'm going to try to move quick now to the calls.
[01:47:28.955 --> 01:47:31.616]  We've got a lot to, obviously, get to.
[01:47:32.136 --> 01:47:51.303]  We're running a combo special right now of a high-quality bottle of colloidal silver that is so good internally or topically with a bottle of immune wall, beta-glucan, and olive leaf that everyone should be taking in the fall and winter.
[01:47:52.324 --> 01:47:53.284]  Now, I want to explain something.
[01:47:56.465 --> 01:48:05.288]  We could sit there and run a bunch of ads for Immune Wall and sell all of what I've got, only got like 3,000 bottles of it, in the next month.
[01:48:06.888 --> 01:48:12.229]  So I could sell this for $20 all day long and end up selling out of it.
[01:48:14.370 --> 01:48:15.530]  But I'd just go with my gut.
[01:48:16.291 --> 01:48:17.891]  And I was sitting there and I said, you know what?
[01:48:18.371 --> 01:48:20.672]  I'm just gonna sell a bottle of Immune Wall
[01:48:22.520 --> 01:48:29.161]  That what cost us like $8 for the bottle, it's really high quality, with a bottle of Silver Bullet.
[01:48:30.001 --> 01:48:32.862]  It was normally $19.95, together for $19.95.
[01:48:34.222 --> 01:48:35.762]  Now, that's an incredible deal.
[01:48:37.563 --> 01:48:43.604]  Because I want you to see how great Immune Wall is, and how great the colloidal silver is, especially people that have been on the fence about having this in your medicine cabinet.
[01:48:43.884 --> 01:48:45.604]  But you want to take the Immune Wall.
[01:48:45.904 --> 01:48:48.945]  I mean, this is so good for you, the beta-glucan,
[01:48:49.858 --> 01:48:54.079]  What it's been proven to do for your cells, your body, and fighting off disease, and olive leaf.
[01:48:54.099 --> 01:48:58.720]  These are the two biggest things you can do for yourself and your children, and they're totally healthy and good for you.
[01:48:59.400 --> 01:49:04.761]  No side effects of beta-glucan and olive leaf.
[01:49:05.601 --> 01:49:07.301]  Everybody needs immune wall.
[01:49:08.321 --> 01:49:11.342]  I'm taking it, because I was sitting there in the falls here.
[01:49:11.362 --> 01:49:13.202]  I remember it.
[01:49:13.222 --> 01:49:13.683]  I go get it.
[01:49:13.723 --> 01:49:14.243]  I'm taking it.
[01:49:15.243 --> 01:49:16.123]  I'm giving some to my daughter.
[01:49:19.008 --> 01:49:20.209]  A little bit of a sore throat.
[01:49:20.229 --> 01:49:21.450]  We're taking some clothes over.
[01:49:21.630 --> 01:49:22.711]  It went away right away.
[01:49:22.731 --> 01:49:27.755]  And I'm like, you know, this just goes together.
[01:49:27.815 --> 01:49:29.636]  So let me give this to people at an insane deal.
[01:49:30.176 --> 01:49:33.479]  There's 30 something specials like this on the site right now.
[01:49:34.580 --> 01:49:35.961]  These are the biggest specials we've ever done.
[01:49:35.981 --> 01:49:37.942]  It's the everything must go super sale.
[01:49:38.062 --> 01:49:38.703]  Everything is 30.
[01:49:38.803 --> 01:49:42.486]  The banner says 40, but there's a few things that are 30, 30 to 70% off.
[01:49:45.748 --> 01:49:49.650]  Again, I have to do the skin cream at that, because at 40% with free shipping, we lose money on it.
[01:49:49.670 --> 01:49:52.432]  We lost a lot of money on the silver cream at 50% off.
[01:49:52.472 --> 01:49:54.953]  I just said 50% off everything, and it's a supplement.
[01:49:54.973 --> 01:49:57.595]  Well, it's not really classed as a supplement, so that was a mistake.
[01:49:57.955 --> 01:50:00.156]  We sold out of all the three-ounce tubes of it at that.
[01:50:00.176 --> 01:50:00.897]  Of course we did.
[01:50:01.937 --> 01:50:03.398]  Just a normal hyaluronic cream.
[01:50:03.899 --> 01:50:05.579]  At the store, you can't get for half that price.
[01:50:06.160 --> 01:50:07.921]  This has the patented silver, all of it in it.
[01:50:08.321 --> 01:50:10.222]  So there's just a bunch of specials right now on the side.
[01:50:10.242 --> 01:50:11.343]  I'm not going to go over them all.
[01:50:12.203 --> 01:50:12.864]  I mean, here's an example.
[01:50:13.817 --> 01:50:24.184]  People have been asking, how have you suddenly lost, it's now 26 pounds, I said like 22 the other day, I hadn't weighed in about a week, it's now 26 pounds in 49 days.
[01:50:25.385 --> 01:50:36.673]  And I've just been exercising and taking Gut Fusion every morning, and the Colloil Silver, and taking the Knockout, and the Chill Force to sleep better, and just all synergistically together.
[01:50:37.768 --> 01:50:40.109]  I've felt incredibly good and have been incredibly healthy.
[01:50:40.329 --> 01:50:41.889]  But take Gut Fusion, it's $19.95.
[01:50:42.309 --> 01:50:46.211]  Nobody's got a natural, healthy gut flush like this.
[01:50:46.311 --> 01:50:47.751]  And I'm not going to go into all the stuff that's in it.
[01:50:48.031 --> 01:50:48.611]  It's amazing.
[01:50:49.912 --> 01:50:50.932]  Everybody should be taking this.
[01:50:50.952 --> 01:50:53.293]  It's got seven reviews, 100% review.
[01:50:54.793 --> 01:50:56.314]  Okay, so I'm just going to stop right there.
[01:50:57.894 --> 01:51:01.935]  Infowarsstore.com, Infowarslife.com, or 888-253-3139.
[01:51:02.075 --> 01:51:03.916]  And that's how we fund our operation.
[01:51:04.556 --> 01:51:05.916]  Now, here's what happened today.
[01:51:06.077 --> 01:51:07.197]  I got super prepared.
[01:51:08.240 --> 01:51:13.283]  Last night and this morning in here, I have literally probably 50 clips to get to.
[01:51:13.323 --> 01:51:16.004]  I haven't gotten to put five of them.
[01:51:16.324 --> 01:51:31.512]  I have tons of amazing callers, and so what I'm gonna do is I'm just gonna take this board of calls, everybody that's holding, John, Laura, Robert, Justin, Kevin, Forrest, Corbin, Duncan, Tim, and Craig, and that's it.
[01:51:33.786 --> 01:51:39.391]  Because then I need to get to all these clips as well and all these other big reports I haven't hit yet because it's all very important.
[01:51:39.932 --> 01:51:40.632]  So thanks for holding.
[01:51:40.832 --> 01:51:42.434]  Let's finish up with John North Carolina though.
[01:51:42.914 --> 01:51:44.015]  What do you think happens?
[01:51:44.175 --> 01:51:47.959]  I mean, I don't think they're going to let Trump be removed and then not remove Pence.
