[00:00:01.235 --> 00:00:02.036]  Breaking news this hour.
[00:50:01.913 --> 00:50:06.015]  And almost all those people were innocent, but they're ordered to just, oh, be part of the coverup.
[00:50:06.035 --> 00:50:09.737]  No, you expose the damn thing out in the open.
[00:50:09.797 --> 00:50:10.157]  Anything else?
[00:50:10.857 --> 00:50:12.258]  No, I hope that's what we can do here today.
[00:50:12.498 --> 00:50:22.925]  I hope that's a step forward in that direction and, you know, I'm excited to get back to hitting the ground running and, you know, looking into this more, hopefully uncovering just as much damning information and bringing it to light.
[00:50:23.506 --> 00:50:25.707]  And you're doing such good work behind the scenes.
[00:50:25.988 --> 00:50:32.432]  I mean, I know you're ready to release the names and the text messages and all the recordings and all of it.
[00:50:32.452 --> 00:50:34.113]  You know, that's pretty dangerous stuff to have.
[00:50:34.553 --> 00:50:36.615]  You know, you've got it in safe places and, you know, other things.
[00:50:39.349 --> 00:50:43.573]  I think now's the time is more and more ripe for this to come out.
[00:50:43.653 --> 00:50:46.696]  So they better be looking over their shoulder.
[00:50:46.996 --> 00:50:47.197]  Yeah.
[00:50:48.458 --> 00:50:48.678]  All right.
[00:50:48.738 --> 00:50:49.098]  Thank you.
[00:50:49.759 --> 00:50:56.886]  We're going to go to a quick little break here and then we're going to come back and look at some of these charts and then we're going to finish up this special transmission.
[00:50:56.966 --> 00:50:57.747]  Thank you for watching.
[00:50:57.767 --> 00:50:58.588]  Please spread this link.
[00:51:00.530 --> 00:51:03.833]  Mr. Secretary, I watched President Bush.
[00:51:04.744 --> 00:51:13.510]  Deliver a moving speech at the United Nations in September 2003, in which he mentioned the crisis of the sex trade.
[00:51:14.410 --> 00:51:18.513]  The President called for the punishment of those involved in this horrible business.
[00:51:19.253 --> 00:51:27.539]  But at the very moment of that speech, DynCorp was exposed for having been involved in the buying and selling of young women and children.
[00:51:28.522 --> 00:51:41.127]  While all of this was going on, DynCorp kept the Pentagon contract to administer the smallpox and anthrax vaccines, and is now working on a plague vaccine through the Joint Vaccine Acquisition Program.
[00:51:42.367 --> 00:51:44.528]  Mr. Secretary, is it policy of the U.S.
[00:51:44.588 --> 00:51:48.049]  government to reward companies that traffic in women and little girls?
[00:51:49.910 --> 00:51:51.991]  Thank you, Representative.
[00:51:53.031 --> 00:51:55.252]  First, the answer to your first question is no.
[00:51:56.428 --> 00:51:57.348]  Absolutely not.
[00:51:57.468 --> 00:52:07.472]  The policy of the United States government is clear, unambiguous, and opposed to the activities that you described.
[00:52:07.793 --> 00:52:16.736]  Well, how do you explain the fact that DynCorp and its successor companies have received and continue to receive government contracts?
[00:52:18.377 --> 00:52:26.080]  I would have to go and find the facts, but there are laws and rules and regulations with respect to government contracts.
[00:52:26.806 --> 00:52:33.014]  And there are times that corporations do things they should not do, in which case they tend to be suspended for some period.
[00:52:33.527 --> 00:52:39.629]  There are times then that under the laws and the rules and regulations... Sources say there were dozens of victims.
[00:52:39.989 --> 00:52:43.330]  The teen girls were encouraged to recruit their friends.
[00:52:43.410 --> 00:52:44.490]  We were underage.
[00:52:45.190 --> 00:52:46.190]  We were little girls.
[00:52:46.330 --> 00:52:50.332]  By the time I was 16, I brought in up to 75 girls.
[00:52:50.972 --> 00:52:53.192]  All the ages of, you know, 14, 15, 16.
[00:52:53.832 --> 00:52:59.334]  People going from 8th grade to 9th grade at just school parties is where I would recruit them from.
[00:52:59.454 --> 00:53:16.023]  You know, before you know it, I'm being lent out to politicians and to academics and to people that you... royalty and people that you just... you would never think, like, how did you get into that position of power in the first place if you're this disgusting, evil, decrepit person on the inside?
[00:53:16.203 --> 00:53:17.743]  It's an absolute secret the U.S.
[00:53:17.803 --> 00:53:26.006]  government negotiated a deal that forgave multi-billionaire Jeff Epstein for procuring sex with about 40 children.
[00:53:26.046 --> 00:53:30.507]  The 2008 agreement protects Epstein and anyone who worked with him from federal charges.
[00:53:30.787 --> 00:53:32.908]  He was basically treated as a celebrity.
[00:53:33.268 --> 00:53:36.949]  He was allowed to come and go six days a week from the jail as he wanted.
[00:53:37.329 --> 00:53:38.890]  Every morning a chauffeur would come.
[00:53:39.330 --> 00:53:42.832]  Unbelievably, this evil pedophile monster served just 13 months in a county jail.
[00:54:02.703 --> 00:54:05.709]  Acosta is a George W. Bush appointee under the Bush Justice Department.
[00:54:16.949 --> 00:54:22.552]  He conducts his own investigation, he rubber stamps the state charge, and then he seals it.
[00:54:22.732 --> 00:54:26.074]  They were told, leave it alone, Jeffrey Epstein works for U.S.
[00:54:26.154 --> 00:54:27.435]  Intelligence and the FBI.
[00:54:27.555 --> 00:54:33.538]  Now, Bradley Edwards determined to get a federal judge to overturn the sweetheart plea deal.
[00:54:33.758 --> 00:54:42.843]  Somebody with money and power was able to communicate with the government in secrecy, in direct violation of the rights of the crime victims.
[00:54:43.183 --> 00:54:46.566]  I started getting somewhat of an inclination that this is a situation where somehow, for
[00:55:00.618 --> 00:55:08.268]  The defendant and the government are working together against the victims, although that kind of conspiracy theory sounds so preposterous that I didn't want to believe it.
[00:55:08.568 --> 00:55:13.855]  We told you about Jeffrey Epstein and everything he was up to and who he is years ago.
[00:55:14.396 --> 00:55:15.858]  Now it's gonna hit the mainstream.
[00:55:28.720 --> 00:55:40.402]  February 27th, 2019 is on record and is recognized not just as the biggest long form podcast in 2019, but the biggest ever.
[00:55:41.022 --> 00:55:44.683]  It was my second appearance on the Joe Rogan podcast.
[00:55:45.103 --> 00:55:49.744]  The third largest podcast he's ever done was my first appearance two and a half years ago.
[00:55:50.324 --> 00:55:51.304]  Now, why is that important?
[00:55:51.965 --> 00:55:53.685]  Well, it shows that
[00:55:54.645 --> 00:56:09.956]  What we're talking about and these issues of shadow government and the international blackmail rings and hidden technologies and breakaway civilizations and the post-human world that's being built is very, very popular.
[00:56:10.736 --> 00:56:14.679]  People are looking for the truth and that is a very, very positive thing.
[00:56:14.739 --> 00:56:19.242]  Now, that said, look at how overweight I am.
[00:56:20.283 --> 00:56:22.004]  In the video from the podcast.
[00:56:22.925 --> 00:56:26.307]  I have lost 39 pounds since then.
[00:56:27.128 --> 00:56:35.233]  In fact, a month later, I was in DC bullhorning the White House asking Trump to take action on internet censorship.
[00:56:35.553 --> 00:56:37.475]  I'd even gained more weight then.
[00:56:38.335 --> 00:56:49.623]  It was only about three and a half months ago that I made the decision to take all of the InfoWars life supplements that I've been promoting to the general public.
[00:56:50.183 --> 00:56:50.533]  That's right.
[00:56:51.860 --> 00:56:55.703]  I was working out the same amount, same lifestyle, everything.
[00:56:55.823 --> 00:56:57.224]  Working very hard under a lot of stress.
[00:56:57.804 --> 00:57:03.628]  And I had forgotten to take most of the supplements because I get busy and I stop taking them like everybody else does.
[00:57:04.208 --> 00:57:12.314]  And when I religiously began to take almost all of the supplements, some of them I don't need like the joint formula and things, and it's been incredible.
[00:57:12.734 --> 00:57:19.158]  The X2, the X3, the vitamin mineral fusion, the fish oil, the krill oil, the brain force plus.
[00:57:19.178 --> 00:57:21.440]  We've been getting more reports out of it, more focused.
[00:57:21.940 --> 00:57:22.301]  Thank you.
[00:57:38.098 --> 00:57:38.418]  I think so.
[00:57:59.298 --> 00:58:00.159]  It makes your life better.
[00:58:00.839 --> 00:58:01.859]  It funds our operation.
[00:58:02.480 --> 00:58:04.481]  It will defeat the globalists if you continue to support us.
[00:58:04.501 --> 00:58:05.541]  So it's a total 360 win.
[00:58:05.801 --> 00:58:07.282]  Whatever you do though, take action.
[00:58:07.322 --> 00:58:08.683]  It's made my life so much better.
[00:58:08.703 --> 00:58:10.123]  It's made my mind so much clearer.
[00:58:10.444 --> 00:58:12.985]  You'll find all the great products at InfoWarsLife.com.
[00:58:24.485 --> 00:58:28.267]  Now it's easier than ever to have Band.Video on your iPhone.
[00:58:28.788 --> 00:58:32.030]  Simply go to Band.Video with your Safari browser.
[00:58:32.270 --> 00:58:34.951]  Then you click the Share button at the bottom of the screen.
[00:58:35.552 --> 00:58:38.433]  When the menu comes up, you simply click Add to Home Screen.
[00:58:39.114 --> 00:58:40.775]  It will then ask you to name the app.
[00:58:41.355 --> 00:58:42.817]  I suggest BAN.VIDEO.
[00:58:43.437 --> 00:58:48.542]  You will now have BAN.VIDEO app on your home screen, despite the fact that Tim Cook tried to stop it.
[00:58:48.922 --> 00:58:56.870]  The globalists think you're lazy, but by taking a little bit of action, you can override them, have the app, and then tell others about it so they can get the app.
[00:58:57.410 --> 00:59:03.796]  So it's up to you whether you want to defy big tech and click the share buttons below on your email, on Facebook, on Twitter, on YouTube.
[00:59:04.136 --> 00:59:06.939]  However you want, be sure and share BAN.VIDEO.
[00:59:11.089 --> 00:59:30.885]  The last time I exposed this, about three and a half years ago, Megyn Kelly, who was still on Fox News, took what I covered on air concerning Hillary Clinton and policies that she officially had launched in the Middle East, killing millions of people.
[00:59:32.546 --> 00:59:35.929]  It so upset the establishment that they edited the tape.
[00:59:37.216 --> 00:59:53.011]  To make it sound like I was saying children were being murdered in a pizza place in DC to try to not just discredit what Hillary had done in the Middle East, but also here in the United States in the whole spirit cooking information that came out in WikiLeaks.
[00:59:53.332 --> 00:59:56.235]  So they killed two birds with one stone.
[00:59:57.233 --> 01:00:14.823]  Now what I said in that report three and a half years ago, that she then edited together to be deceptive, was that when Hillary and Bill were running things in the 90s, Madeleine Albright admitted on national television, we'll play a clip in a moment, that they had massively increased the sanctions that Bush Sr.
[01:00:14.843 --> 01:00:21.527]  had done on Iraq and that millions of people had starved to death, including a half million children.
[01:00:23.168 --> 01:00:38.631]  So you see, it's not just the human trafficking, it's not just the wars they start, it's the sanctions as well on food and medicine that Hillary's own best buddy, Marilyn Albright, is admitting killed half a million children, and then even more died after that.
[01:00:38.931 --> 01:00:42.891]  So, here's just another example of what they're doing to children out of their own mouths.
[01:00:43.431 --> 01:00:45.872]  We have heard that a half a million children have died.
[01:00:46.732 --> 01:00:50.453]  I mean, that's more children than died in Hiroshima.
[01:00:53.598 --> 01:00:55.139]  You know, is the price worth it?
[01:00:55.859 --> 01:01:00.541]  I think this is a very hard choice, but the price, we think the price is worth it.
[01:01:01.042 --> 01:01:05.804]  Now again, right now, I'm just showing you a few of many examples of worry.
[01:01:06.304 --> 01:01:10.907]  Madeleine Albright from the Clinton administration, and Hillary, later Secretary of State under Obama,
[01:01:11.837 --> 01:01:12.718]  Yes, we came, we saw, he died.
[01:01:38.106 --> 01:01:39.727]  We can talk about the Clinton death list.
[01:01:39.747 --> 01:01:42.509]  We can talk about their criminal networks all day long.
[01:01:43.250 --> 01:01:47.012]  But their crimes they commit are right out in the open.
[01:01:47.633 --> 01:01:52.296]  The head of Hillary's foundation at one time got convicted of smuggling kids.
[01:01:53.137 --> 01:01:54.358]  Now she runs the Amber Alert.
[01:01:55.278 --> 01:01:58.260]  This is like something out of a nightmare science fiction movie.
[01:01:58.280 --> 01:01:58.901]  But let's look
[01:02:00.782 --> 01:02:01.782]  at some of these documents.
[01:02:01.802 --> 01:02:04.603]  Here's a look at the Clinton body count.
[01:02:04.943 --> 01:02:06.903]  And these are just well-known cases.
[01:02:06.983 --> 01:02:14.044]  And now there's been so many others that have died that have been connected to the Clintons.
[01:02:14.685 --> 01:02:19.985]  And this whole network they're using of blackmail to control people through folks like Jeffrey Epstein.
[01:02:20.005 --> 01:02:27.887]  And then over here, you've got the Epoch Times breakdown of all of this and how they created the insurance policy and Fusion GPS, the fake dossier.
[01:02:29.107 --> 01:02:34.828]  Tried to set Trump up with double agents with the Russians, but Trump never took the bait.
[01:02:34.888 --> 01:02:50.632]  And now these people who are tied into this whole network are politically trying to impeach and remove the President of the United States, but they're getting more and more desperate as their operatives are exposed.
[01:02:51.612 --> 01:02:53.353]  So we've got to ask ourselves, what are they going to do?
[01:02:53.933 --> 01:02:54.853]  They're going to threaten
[01:02:56.223 --> 01:03:02.645]  To release dirt on all of these people that they've been blackmailing in this network if they don't do what they're told.
[01:03:02.765 --> 01:03:19.489]  But by Infowars and by you and by President Trump who's been going after these networks, exposing Spygate and exposing how they're controlling people with payoffs and blackmail and corruption and threats and lawsuits, then as this information comes out,
[01:03:20.652 --> 01:03:41.768]  It's only going to implicate them, because they can only get away with a blackmail when people don't know about the larger system, and they can just leak in the news that somebody was having sex with a 14-year-old girl, or that somebody is a Satanist, or that someone is involved in the occult, or somebody like Adam Schiff is admittedly at parties doing quote Egyptian rituals with Ed Buck.
[01:03:42.699 --> 01:03:45.561]  And all those dead black men that keep coming out of his house.
[01:03:57.697 --> 01:04:04.901]  See them in detail and follow all the links from the Clinton Body Count, the Dossier Network, to the Insurance Policy, to SpyGate.
[01:04:05.522 --> 01:04:07.503]  And this is the type of information we're presenting.
[01:04:07.583 --> 01:04:08.343]  It's documented.
[01:04:08.684 --> 01:04:09.384]  It's factual.
[01:04:09.604 --> 01:04:10.765]  And that's why they're so scared of us.
[01:04:11.225 --> 01:04:14.347]  That's why they take things out of context and try to shut us down and lie about us.
[01:04:14.387 --> 01:04:16.648]  But they can't stop you from getting this out.
[01:04:18.149 --> 01:04:23.651]  You look at Google, you look at Apple, you look at Twitter, you look at Facebook, all helping suppress us and cover this up.
[01:04:24.012 --> 01:04:27.433]  You try to say Jeffrey Epstein didn't kill himself, they'll block you on Facebook or Twitter.
[01:04:28.794 --> 01:04:30.634]  That's because they've been caught up in these networks.
[01:04:30.714 --> 01:04:33.696]  They've been corrupted by much of this as well.
[01:04:33.756 --> 01:04:35.216]  And so shame on them.
[01:04:36.097 --> 01:04:37.557]  They are on the wrong side of history.
[01:04:38.458 --> 01:04:40.699]  And they're going to be exposed because you
[01:04:41.704 --> 01:04:45.246]  are going to share this video and this report to everyone you know.
[01:04:45.947 --> 01:04:54.532]  Now, I'm going to go ahead and end this transmission with our guest and some more of him breaking down meme warfare, memetic warfare, he's absolutely right.
[01:04:54.993 --> 01:05:07.241]  And while you think it's good that there's this awakening, Jeffrey Epstein didn't kill himself, but if that becomes the only story, it's a cover-up because then it's only Jeffrey Epstein that did it and well, you know, he's supposedly dead and so everything is okay, everything's fine.
[01:05:08.081 --> 01:05:10.926]  Please remember, we're also listed as supported in FullWorksStore.com.
[01:05:11.046 --> 01:05:13.791]  Great products, t-shirts, books, films, amazing supplements.
[01:05:14.112 --> 01:05:18.720]  That's how we're able to have this crew here on the night before Christmas.
[01:05:19.764 --> 01:05:27.070]  Bringing you this information only because of your support and the great work of this crew is this possible.
[01:05:27.090 --> 01:05:31.213]  So we're gonna go ahead and finish up this report and again more reports are coming.
[01:05:31.614 --> 01:05:42.663]  You can do your own research and look into this and I'm sure we'll discover a lot of things we don't know because I've only covered 1% of what we know just because of time constraints but they have been attempting to silence me.
[01:05:43.629 --> 01:05:45.950]  They have been attempting to shut me down.
[01:05:46.530 --> 01:05:47.671]  And they've been celebrating it.
[01:05:47.711 --> 01:05:49.072]  But look at the archetype of that image.
[01:05:49.832 --> 01:05:50.793]  The red, white, and blue.
[01:05:51.313 --> 01:05:55.615]  Alex Jones with the dark hand of the deep state grabbing me and pulling me into the dark.
[01:05:55.895 --> 01:05:57.076]  They're saying, I'm Voldemort.
[01:05:57.536 --> 01:05:58.736]  He who must not be named.
[01:05:59.457 --> 01:06:02.558]  But really, they're the ones operating and acting in the dark.
[01:06:03.078 --> 01:06:06.180]  And I didn't talk to this artist, but I've talked to a lot of the other artists that work for the system.
[01:06:06.580 --> 01:06:09.862]  They say these globalists are so reptilian in their thinking that
[01:06:10.993 --> 01:06:17.843]  A lot of the art they put out and things they do actually help us, but that the system still thinks, oh, I like a dark hand dragging Alex into the dark.
[01:06:18.404 --> 01:06:25.534]  But the artists themselves are actually archetypally showing you the truth of the dark hands coming out, trying to silence and suppress America.
[01:06:26.502 --> 01:06:29.404]  No, they are who operate and act like Voldemort, not me.
[01:06:30.044 --> 01:06:30.345]  All right.
[01:06:30.985 --> 01:06:32.686]  Thank you so much for watching this transmission.
[01:06:32.986 --> 01:06:34.067]  Here is its conclusion.
[01:06:34.668 --> 01:06:35.448]  God bless you all.
[01:06:35.808 --> 01:06:45.015]  Please share this for the children, for our culture, and for our society so the blackmail can end and so the justice can be brought to these individuals.
[01:06:45.055 --> 01:06:45.335]  Thank you.
[01:06:59.981 --> 01:07:00.741]  InfoWars.
[01:07:01.081 --> 01:07:01.981]  Tomorrow's News.
[01:07:02.281 --> 01:07:02.762]  Today.
[01:07:04.062 --> 01:07:09.423]  The Jeffrey Epstein didn't kill himself meme has considerable value as a propaganda tool.
[01:07:10.103 --> 01:07:14.944]  Rarely do we find dissent against accepted narratives adopted in the mainstream media.
[01:07:14.964 --> 01:07:16.764]  Of course, rare exceptions do occur.
[01:07:17.384 --> 01:07:24.826]  Of those, the exceptions are predominantly aimed at misrepresentations, which undermine the credibility of dissidents and the basis of their dissent.
[01:07:25.706 --> 01:07:30.270]  By constructing a false narrative, dissent can be co-opted and consequently emasculated.
[01:07:30.911 --> 01:07:39.919]  Easy apparent examples of this are miscontextualized quotes, edits to interviews, and disingenuous forms for debate which ultimately just misconstrue facts.
[01:07:40.552 --> 01:07:53.498]  Yet, unusually, in the case of Jeffrey Epstein's purported death, the mainstream media has propagated what it would otherwise malign as a conspiracy theory by entertaining the premise that he may have been murdered instead of actually having committed suicide.
[01:07:53.959 --> 01:07:59.281]  Now, in doing so, the idea that Epstein didn't kill himself has very much become a meme.
[01:08:00.022 --> 01:08:04.024]  As such, the idea has been weaponized to effectuate a multitude of responses.
[01:08:04.844 --> 01:08:11.686]  All of which ultimately shift the narrative surrounding Epstein's life and crimes, instead of beckoning questions about the crimes that he committed.
[01:08:11.706 --> 01:08:26.350]  His network of accomplices, the ongoing nature of what that network is doing beyond his involvement, as well as the identities, whereabouts, and responsibilities of his co-conspirators, or even if Epstein is actually even dead to begin with.
[01:08:27.190 --> 01:08:39.661]  The media limits the dialogue surrounding this vast, complex issue into something simplistic, which stagnates any legitimate progress towards exposing the depth of Epstein's network, the crimes they committed, and likely continue to commit.
[01:08:40.464 --> 01:08:47.270]  So there's some background on memetics that shows that there is irrefutable evidence that memetic warfare campaigns exist.
[01:08:47.310 --> 01:08:52.776]  Now, the weaponization of memes is an accepted practice in the United States intelligence sphere.
[01:08:53.356 --> 01:08:57.300]  According to Robert Finkelstein, the president of Robotic Technology Incorporated,
[01:08:58.158 --> 01:09:12.209]  A meme warfare strategy has been carefully constructed following research projects performed by the Defense Advanced Projects Research Agency, also known as DARPA, one of which is titled, in a very literal sense, Military Memetics.
[01:09:12.809 --> 01:09:21.696]  That study evidences the use of memes as a propaganda tool by different entities within the United States Department of Defense and its associated intelligence agencies.
[01:09:22.296 --> 01:09:29.460]  Unsurprisingly, among those, the Central Intelligence Agency is one such entity to construct an articulate meme warfare initiative.
[01:09:30.040 --> 01:09:46.309]  Given its coalescence with the mainstream media channels, as evident through the declassification of files on Project MKUltra's Operation Mockingbird, as well as the frequency of hiring former intelligence officials, including the CIA's previous directors, as analysts on these channels,
[01:09:47.531 --> 01:09:53.306]  It is apparent that the mainstream media is utilizing this as a vehicle to disseminate memetic propaganda.
[01:09:55.060 --> 01:10:01.063]  So as this evidence shows, the use of memetics as a propaganda tool is factually irrefutable.
[01:10:01.463 --> 01:10:17.170]  This is a graph that is sourced from the WikiLeaks Vault 7 release that highlights how meme control centers are responsible for constructing articulate memetic warfare strategies with Vaults to utilize internal I-memes and external E-memes.
[01:10:17.250 --> 01:10:18.771]  Now the difference between I-memes
[01:10:19.611 --> 01:10:27.535]  And e-memes isn't that they are, you know, distinct from one another, but that each of them is a measurable facet of the impact that a meme has.
[01:10:27.735 --> 01:10:29.716]  So they use that to measure its success.
[01:10:29.796 --> 01:10:41.281]  Now, while e-memes are measured through their effect on human behavior and culture, i-memes are analyzed through the cognitive and neurological effect on the individuals within a given audience.
[01:10:42.179 --> 01:10:49.522]  So with this background in mind, we can see the impact that this memetic warfare strategy would have on shifting popular opinion in the Jeffrey Epstein case.
[01:10:49.842 --> 01:10:59.266]  Now, as the aforementioned document states, memes, as defined as above, are cultural bits of information replicated and transmitted from mind to mind.
[01:10:59.746 --> 01:11:04.828]  Memes influence, affect, generate, and ultimately alter ideals.
[01:11:05.916 --> 01:11:12.582]  Based upon the Department of Defense's lexicon, the Epstein-didn't-kill-himself phenomenon certainly qualifies as mean.
[01:11:13.283 --> 01:11:17.527]  As such, its value as a tool within the memetic warfare campaign is entirely viable.
[01:11:18.187 --> 01:11:21.210]  Now, the motives behind its intent are rather apparent.
[01:11:21.770 --> 01:11:25.474]  That is to say that the motive is to alter the perception of what happened to Epstein.
[01:11:25.954 --> 01:11:33.378]  Now, ultimately, one intention of that motive is to quash any examination of Epstein's network, its associates, and their crimes.
[01:11:33.478 --> 01:11:44.364]  Now, this is dangerous because it limits awareness of the figures who are integral to the success of Epstein's network and the possibility of a continuation of their criminal activity.
[01:11:45.222 --> 01:11:53.304]  Christmas 2019 is here and now it's going to be in the rear view mirror as we race forward into 2020.
[01:11:54.405 --> 01:11:56.645]  It's not just a critical election year.
[01:11:57.705 --> 01:12:03.387]  It's a year where I believe we're going to see an even bigger global awakening.
[01:12:03.467 --> 01:12:05.468]  True 2020 sight.
[01:12:06.008 --> 01:12:08.588]  I'm calling it the year of vision.
[01:12:09.429 --> 01:12:13.670]  Our vision of human liberty and a pro-human future versus the globalist nightmare
[01:12:14.844 --> 01:12:15.225]  We're good.
[01:12:22.793 --> 01:12:27.997]  Ladies and gentlemen, I've got two articles here that illustrate exactly what we're talking about that are up on InfoWars.com.
[01:12:28.478 --> 01:12:34.983]  Christmas cards from China halted after slave labor in prison factory begs for help.
[01:12:35.284 --> 01:12:48.295]  A slave laborer wrote a note literally put inside the Christmas card package saying, help us, we're not even Chinese, we've been arrested here, we're being put in forced labor, it's total hell, help us, notify
[01:12:50.216 --> 01:12:52.198]  Human Rights Organizations, please get us out of here.
[01:12:52.398 --> 01:12:53.199]  You've got to go read the article.
[01:12:53.479 --> 01:13:01.607]  And then another article, dealing with oppression, by Paul Joseph Watson, at Summit.News, InfoWars.com, teachers at U.S.
[01:13:01.647 --> 01:13:06.332]  school threatened to tell Muslim girls' parents after she removed her hijab.
[01:13:06.792 --> 01:13:13.539]  You know, Muslims stone people to death all over the world, or drown their daughters, or light them on fire.
[01:13:14.841 --> 01:13:16.122]  When they take their hijabs off.
[01:13:16.723 --> 01:13:30.719]  Oh, but the left that's so feminist and all about feminine empowerment all over is enforcing Orthodox Islam here in the United States on Muslim women and defending genital mutilation literally cutting their clitorises off.
[01:13:30.759 --> 01:13:32.240]  This is very serious.
[01:13:32.681 --> 01:13:33.662]  It's extremely evil.
[01:13:34.202 --> 01:13:41.108]  And it's going on in our face because the left wants to invite Islam in because it's anti-christian and will take over.
[01:13:41.588 --> 01:13:48.073]  These are the issues we're covering live on air at band.video in the live feeds and at fullwords.com forward slash show.
[01:13:48.133 --> 01:13:48.733]  The only way
[01:13:49.434 --> 01:13:51.815]  This information gets out is when you share those links.
[01:13:51.855 --> 01:13:57.817]  I know you know that, but it's so precious, it's so vital, it's so important, and it's so successful when you do it.
[01:13:58.358 --> 01:14:06.461]  Separately, we fund our operations with the products we sell at InfoWarshaw.com, and when I religiously take the supplements and work out the same amount, I just lose so much weight.
[01:14:06.501 --> 01:14:13.024]  I'm so incredibly healthy with the Super Mel Vitality, the X2, the BioTrue Selenium, the X3, the DNA Force Plus.
[01:14:13.684 --> 01:14:16.545]  If you'll just take these products, I know you'll see a great response.
[01:14:16.885 --> 01:14:26.569]  Not just in your own life, your own libido, your own focus, your own body, but also in your friends and family that you share them with, who then we see become customers.
[01:14:27.069 --> 01:14:30.390]  Not as the products, but they tune into the show and wake up to what's happening.
[01:14:30.550 --> 01:14:31.131]  A 360 win.
[01:14:31.171 --> 01:14:32.991]  So, help fund a pro-human future.
[01:14:33.431 --> 01:14:38.653]  Help promote freedom and justice into the future by getting great products that you need at InformedWorkstore.com.
[01:14:38.933 --> 01:14:41.815]  It's a no-brainer, so step up to the plate.
[01:14:41.875 --> 01:14:42.895]  Do the right thing for yourself.
[01:14:43.315 --> 01:14:45.517]  and your family going into the New Year 2020.
[01:14:46.518 --> 01:14:47.358]  Make the decision.
[01:14:47.839 --> 01:14:48.679]  Make the commitment.
[01:14:48.860 --> 01:14:49.380]  It's easy.
[01:14:50.341 --> 01:14:54.784]  And step into a better world at InfoWarsStore.com or InfoWarsLife.com or 888-253-3139.
[01:14:54.804 --> 01:14:55.745]  Thank you all for your support.
[01:14:55.765 --> 01:14:56.305]  Now, take action.
[01:15:05.487 --> 01:15:08.489]  Again, we have changed the world together.
[01:15:08.550 --> 01:15:10.751]  We've proven that we can do it.
[01:15:10.791 --> 01:15:12.052]  We've built these studios.
[01:15:12.312 --> 01:15:14.214]  We're on hundreds of radio and TV stations.
[01:15:14.574 --> 01:15:20.879]  We've gotten past the internet bans, and the globalists are angry, but now the real fight is here.
[01:15:20.999 --> 01:15:21.680]  So whatever
[01:15:27.177 --> 01:15:27.678]  The future is now.
[01:15:27.698 --> 01:15:34.423]  They had us as number one on Droid, number three on Apple, then we went back to get screenshots because our numbers showed us number one, and we're gone.
[01:15:55.512 --> 01:15:57.594]  How did you decide to ban Alex Jones?
[01:15:58.015 --> 01:16:02.720]  What users want from us, and what we've always provided them, is a curated platform.
[01:16:03.501 --> 01:16:06.024]  If you're going to curate, that should be all.
[01:16:06.044 --> 01:16:08.046]  Let me tell Tim Cook something.
[01:16:08.507 --> 01:16:10.429]  We're watching you and what you're doing.
[01:16:11.514 --> 01:16:15.915]  InfoWars is steps ahead of the globalist and their censorship agenda.
[01:16:16.116 --> 01:16:18.776]  Getting ready to launch the next few months new apps.
[01:16:18.876 --> 01:16:22.618]  Now it's easier than ever to have Band.Video on your iPhone.
[01:16:23.198 --> 01:16:26.419]  Simply go to Band.Video with your Safari browser.
[01:16:26.659 --> 01:16:29.320]  Then you click the share button at the bottom of the screen.
[01:16:29.940 --> 01:16:32.821]  When the menu comes up you simply click add to home screen.
[01:16:33.201 --> 01:16:36.222]  You will now have Band.Video app on your home screen.
[01:16:36.562 --> 01:16:38.283]  Despite the fact that Tim Cook tried to stop it.
[01:16:38.884 --> 01:16:42.702]  So it's up to you whether you want to defy big tech and click the share buttons below.
[01:16:43.084 --> 01:16:44.731]  Be sure and share Banned.Video.
