[00:00:04.182 --> 00:00:05.923]  Firm suspicions at Veritas.
[02:08:55.269 --> 02:08:58.591]  People who voted for the current president do not agree with our definition of fairness.
[02:08:58.611 --> 02:09:02.974]  So what's interesting, Alex, is that Google is saying here that they're able to define
[02:09:03.942 --> 02:09:09.111]  Fairness, and this algorithmic unfairness, and they have product intervention.
[02:09:09.131 --> 02:09:10.995]  So what the Google insider did is he sat down with me.
[02:09:11.545 --> 02:09:15.368]  And he googled Hillary Clinton's emails, just the phrase.
[02:09:15.908 --> 02:09:17.809]  And you can do it right now at your home computer.
[02:09:18.229 --> 02:09:21.491]  And it doesn't autocomplete, even though millions of people search for that.
[02:09:21.892 --> 02:09:27.635]  But then he typed in Donald Trump's emails, and it did autocomplete, even though very few people search for that.
[02:09:28.116 --> 02:09:36.381]  So Google is actually meddling in an election by virtue of defining what is fair and what is not fair, and they would never admit this publicly.
[02:09:37.026 --> 02:09:41.109]  And right now, they're in a huge world of trouble because that is not a low-level ranking employee.
[02:09:41.129 --> 02:09:43.211]  That is the head of their entire innovation department.
[02:09:43.791 --> 02:09:48.455]  And she, as well as Gorov Gite, corroborated the Google algorithmic unfairness document.
[02:09:48.475 --> 02:09:51.437]  Now, Alex, one thing I must tell you... And that's the censorship.
[02:09:51.737 --> 02:09:53.078]  That's the censorship blueprint.
[02:09:53.118 --> 02:09:57.582]  She's the head of innovation, which is ending the old algorithm, what's popular, going to censorship.
[02:09:58.311 --> 02:10:08.574]  I mean, you couldn't get better descriptors for the names of the departments if you went to Orwell or the protagonist Winston in 1984 who edits out, remember that movie where he edits out all the newspapers?
[02:10:08.594 --> 02:10:10.254]  Yeah, Ministry of Truth is the Ministry of Lies.
[02:10:10.274 --> 02:10:11.115]  Ministry of Truth.
[02:10:11.495 --> 02:10:16.516]  I mean, this document's called Definition of Algorithmic Unfairness.
[02:10:16.936 --> 02:10:19.077]  It's labeled privileged and confidential.
[02:10:19.137 --> 02:10:22.158]  Now, many of you are wondering, wow, these people are real heroes for blowing the whistle.
[02:10:22.618 --> 02:10:24.020]  Hell yeah, they're heroes.
[02:10:24.560 --> 02:10:26.622]  They make a lot of money and they don't care.
[02:10:26.642 --> 02:10:32.368]  And one of the things he said, the man in the silhouette there who works for Google, he said, I'm nothing but an ant.
[02:10:33.069 --> 02:10:35.632]  He says, I'm just, I'm going after Goliath here.
[02:10:36.112 --> 02:10:37.093]  And I said, are you scared?
[02:10:37.113 --> 02:10:37.674]  Are you frightened?
[02:10:37.694 --> 02:10:38.815]  He said, you know what?
[02:10:38.995 --> 02:10:41.558]  I hope I get away with it, but there are some things bigger than me.
[02:10:42.170 --> 02:10:42.830]  He said this to me.
[02:10:42.850 --> 02:10:43.191]  Beautiful.
[02:10:43.331 --> 02:10:46.892]  He said, there are some things bigger than me, and you know what's happened in the last few hours?
[02:10:47.272 --> 02:10:49.654]  I've already had a dozen more people email me.
[02:10:50.094 --> 02:10:59.538]  And I think you're seeing a watershed moment right now, right here today, as I sit here, where people are going to come forward, Alex, because they want the people to know what's going on.
[02:11:00.499 --> 02:11:01.399]  You said it, James.
[02:11:01.459 --> 02:11:02.560]  It's not hype.
[02:11:02.620 --> 02:11:03.660]  You can feel the history.
[02:11:03.700 --> 02:11:04.841]  This is watershed.
[02:11:05.766 --> 02:11:09.291]  And all the whistleblowers, it's now just cascading.
[02:11:09.591 --> 02:11:15.800]  And you look at the arrogance of their head of censorship under this Orwellian term, and she goes, it doesn't matter what Congress does.
[02:11:16.300 --> 02:11:20.025]  Well, you notice Sundar wouldn't even go to Congress a year ago and testify.
[02:11:20.706 --> 02:11:28.074]  And then they gave all the secrets that the Pentagon had given them to the Chinese with their dragonfly operation, their censorship office, and their AI project.
[02:11:28.695 --> 02:11:37.324]  And then now suddenly they're having to grovel a bit at the executive level, but still their employees, like you said, are programmed cult members still carrying this out.
[02:11:37.384 --> 02:11:38.165]  This is incredible.
[02:11:38.886 --> 02:11:39.767]  Their word's not yours.
[02:11:39.787 --> 02:11:39.987]  They say...
[02:11:42.202 --> 02:11:43.863]  That they're trying to quote program the people.
[02:11:43.923 --> 02:11:52.130]  And one of the things that Jani says is the reasons we launched the Artificial Intelligence Principles, there it is, ML Fairness, is because people were not putting that line in the sand.
[02:11:52.530 --> 02:11:54.852]  That they were not saying what's fair and what's equitable.
[02:11:55.232 --> 02:11:58.294]  So we're like, we're a big company, we're going to say it.
[02:11:58.355 --> 02:12:01.157]  So what Jani is saying is don't bust us up, Elizabeth Warren.
[02:12:01.397 --> 02:12:03.579]  By the way, I'm anxious to see what Elizabeth Warren has to say about this.
[02:12:03.839 --> 02:12:07.341]  Because she's being attacked by this Google executive.
[02:12:07.562 --> 02:12:09.123]  What they're saying is don't break us up.
[02:12:09.603 --> 02:12:13.566]  Don't get involved, Antitrust, because we need to stay the Leviathan.
[02:12:13.606 --> 02:12:18.450]  We need to be large, such that we can continue to define what is real.
[02:12:18.470 --> 02:12:25.436]  He's saying we need to be the big global monopoly to bully these evil conservatives that don't want to sexualize their five-year-olds or open the borders.
[02:12:26.499 --> 02:12:30.780]  Yes, she's saying, keep us large so that we can change the outcome.
[02:12:30.840 --> 02:12:33.861]  If 2016 happened again, would the outcome be different?
[02:12:33.881 --> 02:12:34.841]  I love you guys, producer.
[02:12:34.881 --> 02:12:36.121]  Your producers are so fast.
[02:12:36.161 --> 02:12:37.622]  You pull it up as soon as I'm bringing it up.
[02:12:38.042 --> 02:12:42.563]  If the algorithms happened again, would we have a different outcome than 2016?
[02:12:43.023 --> 02:12:43.783]  That's the quote.
[02:12:44.103 --> 02:12:46.604]  And Alex, I think there's going to be hearings as a result of this.
[02:12:46.944 --> 02:12:48.304]  I think there's going to be whistleblowers.
[02:12:48.784 --> 02:12:51.765]  I think, and I'm really sincere, I've known you for 9, 10 years.
[02:12:51.845 --> 02:12:52.905]  I don't think you think.
[02:12:52.925 --> 02:12:53.906]  The dam has broken.
[02:12:54.566 --> 02:12:55.286]  Sorry, go ahead.
[02:12:56.254 --> 02:13:00.276]  I really think this is the moment that we have been waiting for.
[02:13:00.316 --> 02:13:01.636]  We're the heroes amongst us.
[02:13:02.177 --> 02:13:06.378]  Because it's one thing, Alex, if I infiltrate or I go undercover, this is them.
[02:13:06.398 --> 02:13:09.359]  This is them giving us the information.
[02:13:09.799 --> 02:13:13.521]  So I'm just really excited and I know there's going to be more news to break.
[02:13:13.761 --> 02:13:14.141]  No, I agree.
[02:13:14.201 --> 02:13:23.565]  Remember two years ago, you brought it out and it later came out in the news, Google is more afraid of whistleblowers than anybody and is running NSA level spying on their own people.
[02:13:24.608 --> 02:13:29.009]  I think what we really need, though, is we need people to contact Google.
[02:13:29.910 --> 02:13:31.390]  Your listeners are all, what can I do?
[02:13:31.410 --> 02:13:31.870]  What can I do?
[02:13:31.910 --> 02:13:40.773]  Well, other than blow the whistle inside a company, I think, and you can do that by sending us an encrypted email, VeritasTipsAtProtonMail.com.
[02:13:41.234 --> 02:13:45.315]  But, what I think what we need to do is, I think if you just press
[02:13:46.161 --> 02:13:51.368]  I don't have the email just in front of me, but the press office at Google, we've got to email them and get a comment.
[02:13:51.388 --> 02:13:53.050]  We've got to get a statement from Google about this.
[02:13:53.070 --> 02:13:53.951]  We've got to get a reaction.
[02:13:54.592 --> 02:13:59.658]  Well, they're going to try to cover this up, but internally this is going to run through all their employees, and they know they're in a cult.
[02:14:00.458 --> 02:14:01.919]  They know it's getting more out of control.
[02:14:01.999 --> 02:14:02.740]  Let's shift the minutes.
[02:14:02.760 --> 02:14:03.000]  We have 11.
[02:14:03.260 --> 02:14:03.961]  Please come back soon.
[02:14:03.981 --> 02:14:04.822]  I know you're working very hard.
[02:14:05.142 --> 02:14:06.703]  James O'Keefe at ProjectVirtus.com.
[02:14:07.263 --> 02:14:10.126]  The audience here can override the AI, and that's why you're here.
[02:14:10.166 --> 02:14:14.449]  The audience has to email this, Facebook it, call talk radio, call C-SPAN, call the White House.
[02:14:14.789 --> 02:14:16.691]  Trump has to act now on this.
[02:14:16.811 --> 02:14:19.493]  I mean, this, like you said, congressional hearings coming in July.
[02:14:19.854 --> 02:14:22.476]  You've got Congress people calling you, obviously senators calling you.
[02:14:22.896 --> 02:14:24.817]  You have given them the motherload.
[02:14:24.858 --> 02:14:28.781]  This is like Al Capone being caught, you know, with dead bodies.
[02:14:29.537 --> 02:14:30.678]  But most people are on the take.
[02:14:30.798 --> 02:14:31.318]  I mean, right?
[02:14:31.398 --> 02:14:34.520]  The New York Times is supposed to be no fear or favor.
[02:14:34.941 --> 02:14:41.225]  The bottom line is most people in this country are either afraid or they are on the take that Google is such a powerful company.
[02:14:41.883 --> 02:14:50.872]  I mean, most people are afraid to publish a story about a company that can censor and define their income, because most distribution happens through the social media companies.
[02:14:51.293 --> 02:14:53.475]  So Project Veritas does not have any advertisers.
[02:14:54.216 --> 02:14:55.217]  I can't be boycotted.
[02:14:55.257 --> 02:14:56.498]  I can't be bought or sold.
[02:14:56.818 --> 02:14:58.560]  I refuse to compromise on my principles.
[02:14:58.940 --> 02:15:00.622]  I refuse to settle lawsuits, Alex.
[02:15:00.662 --> 02:15:01.843]  I've won five lawsuits.
[02:15:02.204 --> 02:15:05.047]  I'll go all the way to a jury verdict, which I did, and I won.
[02:15:05.727 --> 02:15:10.710]  And I think that people are... the Goliath fears the little guy if the little guy stands on principle, right?
[02:15:10.730 --> 02:15:16.774]  Well, I gotta say in these games, if people want to see a thoroughbred Americana hero and a crew that have gone through the fire, you're it.
[02:15:17.254 --> 02:15:18.175]  InfoWars has done it.
[02:15:18.275 --> 02:15:18.995]  Only a few others.
[02:15:19.115 --> 02:15:19.976]  You are the example.
[02:15:20.496 --> 02:15:24.739]  And we just salute you and thank you for all your courage and everything you've done.
[02:15:24.919 --> 02:15:29.422]  And I guess you've got even... I'm told... you told me a few months ago, I got really big stuff coming.
[02:15:30.182 --> 02:15:30.902]  What else is coming?
[02:15:30.922 --> 02:15:31.283]  Big stuff?
[02:15:32.604 --> 02:15:35.546]  All these people are coming to me in the last 24 hours.
[02:15:35.626 --> 02:15:36.606]  More insiders.
[02:15:36.646 --> 02:15:43.450]  Yes, I just learned last night there's another person in the company that wants to come forward.
[02:15:44.010 --> 02:15:45.131]  It doesn't get better than that.
[02:15:45.211 --> 02:15:47.772]  VeritasTipsAtProtonMail.com.
[02:15:48.653 --> 02:15:54.876]  I urge you, if you work for one of these organizations and you do want to tell the truth to people, contact us.
[02:15:54.916 --> 02:15:55.477]  We'll work with you.
[02:15:55.857 --> 02:15:57.137]  James, fabulous.
[02:15:57.498 --> 02:15:59.018]  I admire you and your whole crew.
[02:15:59.179 --> 02:16:00.859]  You are the blood of freedom.
[02:16:00.880 --> 02:16:01.500]  We salute you.
[02:16:09.986 --> 02:16:12.408]  So here's Lefto, but there's good news!
[02:16:13.969 --> 02:16:20.635]  I don't just come on air, willy-nilly, without something to offer ya!
[02:16:21.376 --> 02:16:26.100]  Not only is Lefto the Clown here live for this segment, but I got good news!
[02:16:27.121 --> 02:16:28.102]  You see, ladies and gentlemen,
[02:16:30.379 --> 02:16:33.360]  Lefto the Clown has friends out there in the political community.
[02:16:33.760 --> 02:16:35.481]  A lot of them are in the government.
[02:16:35.801 --> 02:16:41.323]  And some of them want to be President of the United States!
[02:16:42.823 --> 02:16:43.523]  That's right!
[02:16:44.384 --> 02:16:49.345]  Some of Lefto's buddies are running for President of the United States!
[02:16:50.285 --> 02:16:54.647]  Now I know you're out there probably jumping for joy, but hold your horses!
[02:16:55.666 --> 02:16:59.128]  Because there's even more to be excited about!
[02:17:00.069 --> 02:17:09.614]  Not just that Lefto's friends are running for president, but that next week, they will be hosting a clown show!
[02:17:10.655 --> 02:17:11.775]  That's right, ladies and gentlemen!
[02:17:12.256 --> 02:17:17.139]  Next week, the Democrats are having their first presidential debates!
[02:17:18.251 --> 02:17:19.552]  And you know what that means!
[02:17:20.153 --> 02:17:22.154]  It's the Clown World Show!
[02:17:22.214 --> 02:17:24.116]  The greatest comedy show on Earth!
[02:17:24.556 --> 02:17:26.057]  The first Democrat debate!
[02:17:26.778 --> 02:17:39.107]  But ladies and gentlemen, we're so committed to your entertainment, we're so committed to you getting the full picture, we're so committed to the Clown World, we're gonna stake it up a bit.
[02:17:40.188 --> 02:17:44.331]  Not only do we have one night,
[02:17:45.419 --> 02:17:55.349]  Of Presidential Democrat Debates, we give you two nights of The Clown World, the greatest comedy show on Earth, and the best news is yet to come!
[02:17:56.550 --> 02:18:01.696]  It's all gonna be streamed live at infowars.com slash show!
[02:18:04.707 --> 02:18:05.708]  Samuel, thanks for calling.
[02:18:05.948 --> 02:18:07.448]  Alex, it's a pleasure to talk to you.
[02:18:07.529 --> 02:18:07.869]  Hello.
[02:18:08.029 --> 02:18:12.291]  Alex, if I can just quickly, InfoWarsStore.com, I want to thank you for Pollen Block.
[02:18:12.431 --> 02:18:13.772]  It's amazing.
[02:18:13.892 --> 02:18:19.635]  I've used so many different antihistamines over the years because I get really bad hay fever, and the antihistamines
[02:18:20.035 --> 02:18:23.997]  Sometimes work, sometimes don't, but they never quite work fully.
[02:18:24.017 --> 02:18:29.019]  They don't block all the symptoms, they just kind of dry you up, or at least that's what they do for me, if they work at all.
[02:18:29.039 --> 02:18:30.540]  But hold and block, it works.
[02:18:30.740 --> 02:18:31.701]  It stops everything.
[02:18:31.821 --> 02:18:35.823]  I don't get the itchy eyes, I'm not sneezing, and I don't get the irritation.
[02:18:35.843 --> 02:18:36.703]  It is amazing.
[02:18:36.823 --> 02:18:39.064]  This is a known patent out of France.
[02:18:39.084 --> 02:18:49.728]  They have to pay for the patent, where they just discovered that if you feed a certain secret diet to quail, and then you get their eggs, it creates this incredible antihistamine of a certain type of quail.
[02:18:49.928 --> 02:18:52.289]  How fast did it take for pollen block to kick in for you?
[02:18:52.509 --> 02:18:55.930]  It's pretty much straight away, you know, in maybe 10 minutes, maybe 20 minutes.
[02:18:56.050 --> 02:18:56.751]  It just works.
[02:18:56.951 --> 02:19:07.475]  The antihistamines, the pharmaceutical products, I find that with those, I can't take them until I start getting symptoms, and even then, they might not kick in for half an hour, or they might not kick in at all, depending on the day.
[02:19:07.535 --> 02:19:10.096]  Pollen Block works every single time.
[02:19:10.196 --> 02:19:11.296]  Well, that's the great part about this.
[02:19:11.376 --> 02:19:14.737]  And for whatever reason, it's this thing that France discovered like 50 years ago.
[02:19:14.757 --> 02:19:17.058]  It's still got to be even in this region of France.
[02:19:17.118 --> 02:19:18.118]  It's very complex.
[02:19:18.138 --> 02:19:18.958]  They don't even know why.
[02:19:18.998 --> 02:19:22.279]  But they think it's the pollen in the area, the dust, what the quail are eating.
[02:19:22.879 --> 02:19:29.501]  Then they just produce in the eggs whatever this essence is that just turns the histamine response off.
[02:19:29.661 --> 02:19:31.381]  I go out and I do market research.
[02:19:31.521 --> 02:19:33.962]  And I say, what are the best-selling products in the world?
[02:19:34.142 --> 02:19:35.482]  And what have the best reviews in the world?
[02:19:35.802 --> 02:19:43.944]  And then what do people in America not know that in Japan, or in Europe, or in Russia, or in Africa, or in Latin America, is already a bestseller?
[02:19:43.984 --> 02:19:45.625]  Because a lot of stuff never gets here for some reason.
[02:19:45.705 --> 02:19:50.906]  And in Europe, and in Russia, and in Canada, there are a lot of brands of this stuff with the quail eggs.
[02:19:51.447 --> 02:19:52.007]  It's not here.
[02:19:52.427 --> 02:19:55.848]  So we just made a souped-up version of it and discounted it, and it's Palm Block.
[02:19:55.908 --> 02:19:57.228]  Infowarstore.com or 888-253-3139.
[02:20:05.828 --> 02:20:11.951]  You're listening to the Alex Jones Show.
[02:20:20.834 --> 02:20:29.498]  Crashing through the lies and disinformation, it's Alex Jones coming to you live from the front lines of the InfoWar.
[02:20:32.333 --> 02:20:39.579]  The reason why I decided to come to Project Veritas is because people need to know what's actually going on with Google.
[02:20:39.659 --> 02:20:47.105]  There's this fraud about what they're doing, but what they're actually doing, what the employees are actually seeing inside the company, is different.
[02:20:47.125 --> 02:20:51.688]  The reason we launched our AI principles was because people were not putting that line in the sand.
[02:20:51.708 --> 02:20:53.890]  They were not saying, it's fair, it's ethical.
[02:20:53.950 --> 02:20:56.572]  So we're like, well, we are a big company, we're going to say it.
[02:20:56.592 --> 02:20:59.975]  The people who voted for the current president do not agree.
[02:21:01.994 --> 02:21:03.516]  They're not an objective piece.
[02:21:04.016 --> 02:21:06.038]  They're not an objective source of information.
[02:21:06.438 --> 02:21:11.363]  But then there are things, you know, which are called ML Fairness.
[02:21:11.663 --> 02:21:12.664]  ML Fairness, it seems.
[02:21:12.684 --> 02:21:13.125]  Fairness.
[02:21:13.365 --> 02:21:13.505]  Yeah.
[02:21:13.525 --> 02:21:14.726]  You know, you need to be fair.
[02:21:14.986 --> 02:21:19.611]  We're also training our algorithms, like, if 2016 happens again, would we
[02:21:20.611 --> 02:21:30.898]  They are a highly biased political machine that is bent on never letting somebody like Donald Trump come to power again.
[02:21:31.138 --> 02:21:33.519]  This is a Goliath I invented.
[02:21:43.456 --> 02:21:45.897]  I'm trying to say that the emperor has no clothes.
[02:21:52.621 --> 02:21:56.383]  Being a small little ant, I can be crushed and I'm aware of that.
[02:21:57.003 --> 02:21:59.064]  But this is something that is bigger than me.
[02:21:59.124 --> 02:22:02.546]  This is something that needs to be said to the American public.
[02:22:03.206 --> 02:22:06.909]  Elizabeth Warren is saying that we should break up Google.
[02:22:07.049 --> 02:22:08.490]  I love her, but she is very misguided.
[02:22:08.550 --> 02:22:10.551]  Like, that will not make it better.
[02:22:10.631 --> 02:22:18.176]  It will make it worse, because now all these smaller companies who don't have the same resources that we do will be charged with preventing the next Trump situation.
[02:22:18.316 --> 02:22:23.240]  It's like a small company cannot do that.
[02:22:23.300 --> 02:22:23.720]  Mwah!
[02:22:35.310 --> 02:22:35.910]  I like it.
[02:22:37.030 --> 02:22:43.232]  Hey, by the way, in space no one can hear you scream, you can't hear explosions either.
[02:22:43.252 --> 02:22:53.374]  Let me tell you something, Congress and the Pentagon, that arrogant president of censorship running her mouth is the final freaking nail.
[02:22:53.995 --> 02:22:59.296]  Because there's things bigger than money in Congress, and little chicken necks running their mouths about stealing elections.
[02:23:01.636 --> 02:23:03.437]  You're not putting it back together, Humpty Dumpty.
[02:23:04.960 --> 02:23:07.081]  That's Death Star destruction level.
[02:23:07.981 --> 02:23:13.003]  That doesn't mean we've won the war, but we just blew the living snot out of him.
[02:23:13.643 --> 02:23:15.063]  They've tried to indict O'Keefe.
[02:23:16.424 --> 02:23:17.064]  They've sued him.
[02:23:17.124 --> 02:23:18.065]  He hasn't backed down.
[02:23:18.225 --> 02:23:20.825]  And there's a lot of other folks in the same boat as us.
[02:23:20.966 --> 02:23:21.546]  O'Keefe's hit.
[02:23:22.386 --> 02:23:27.508]  And so I admire what he's done, and I hope you financially support him, because he's gone through hell.
[02:23:27.528 --> 02:23:28.108]  But he loves it.
[02:23:28.128 --> 02:23:29.789]  He's gotten so much stronger over the years.
[02:23:31.049 --> 02:23:33.550]  He's gotten so much more eloquent and focused, just like we have.
[02:23:34.642 --> 02:23:36.944]  That which does not kill you only makes you stronger.
[02:23:36.964 --> 02:23:42.429]  If you want to use the analogy of your radio listener, you can't see this, but Gollum wants the ring.
[02:23:42.449 --> 02:23:43.370]  He goes after the power.
[02:23:43.410 --> 02:23:46.152]  He falls into the crack of doom where the ring was forged.
[02:23:47.093 --> 02:23:47.854]  Let's show that part.
[02:23:47.874 --> 02:23:48.294]  Back it up.
[02:23:49.075 --> 02:23:53.379]  And boy, finally, that big old eye blows up.
[02:23:57.642 --> 02:24:00.365]  It is a very, very exciting time.
[02:24:02.438 --> 02:24:02.978]  To be alive.
[02:24:03.558 --> 02:24:15.821]  And it doesn't mean that there's a lot of evil running around, and it doesn't mean things aren't really bad, but the tide is starting to turn, and the globalists know it, and they don't know what to do.
[02:24:16.701 --> 02:24:19.441]  So that eye, when Hillary lost, said, oh, it's Jones!
[02:24:20.362 --> 02:24:27.223]  It's James O'Keefe, it's Drudge, it's Trump, it's his sons, it's his... No, it's people not wanting to live under you.
[02:24:30.144 --> 02:24:31.824]  And you're not going to be able to put
[02:24:32.745 --> 02:24:35.806]  The genie back in the bottle, sweetheart.
[02:24:38.507 --> 02:24:39.827]  Because there's one thing about leftists.
[02:24:40.788 --> 02:24:42.228]  They are trained at universities.
[02:24:42.508 --> 02:24:44.209]  They are the ruling class.
[02:24:44.989 --> 02:24:46.209]  And they're gonna rule.
[02:24:47.390 --> 02:24:58.293]  And the minute they try to go out and rule people that are auto mechanics and police officers and people that own pool companies or restaurants or
[02:25:00.279 --> 02:25:14.585]  Machine factories, or farmers, or ranchers, or... The minute they try to go out and rule all these people that don't want to rule anybody, you're going to find out who knows how to work hard, who knows how to overpower you, who knows how to infiltrate you.
[02:25:14.865 --> 02:25:18.006]  We will destroy you, politically.
[02:25:19.587 --> 02:25:22.628]  So you better sit there, and you better double down.
[02:25:22.968 --> 02:25:27.010]  Let me tell you something, all your lies, at the end of the day, have only made us stronger.
[02:25:28.274 --> 02:25:36.457]  I'm not like you, where I believe in fantasy land, so if you say the most worst things about me all over every TV station everywhere, I walk with my head high.
[02:25:37.938 --> 02:25:44.301]  And I was in downtown Austin to see my middle daughter doing a music show.
[02:25:45.600 --> 02:25:53.384]  And I've never shook so many hands or had so many liberals or leftists come up to me and they said, I used to hate you, but I looked at what you said and thought it was truer.
[02:25:53.704 --> 02:25:57.025]  I saw that latest thing and I was kind of on the fence, but that's a lie.
[02:25:57.045 --> 02:25:58.386]  I said, it's okay.
[02:25:58.446 --> 02:25:58.926]  It's all right.
[02:25:59.386 --> 02:26:03.768]  They have attacked us and lied about us so much that it just made us stronger!
[02:26:05.709 --> 02:26:07.630]  And that's this incredible, real alchemy.
[02:26:09.022 --> 02:26:13.343]  They want to lie and cheat and steal and do all this stuff to us.
[02:26:14.183 --> 02:26:16.943]  And they thought we were bullied by them, but we were asleep.
[02:26:18.964 --> 02:26:19.824]  And now we're awake.
[02:26:22.304 --> 02:26:24.665]  So it's an incredible time to be alive, ladies and gentlemen.
[02:26:26.125 --> 02:26:28.005]  And you're going to see amazing things happen.
[02:26:28.145 --> 02:26:33.206]  Oh, Antifa says on this big July 4th parade, they're going to attack the July 4th parade.
[02:26:33.886 --> 02:26:36.767]  They're calling for attacking it, attacking anyone with American flags.
[02:26:38.171 --> 02:26:42.313]  Trump's having a Salute to America event outside the White House.
[02:26:42.433 --> 02:26:43.433]  It's $5 for each person.
[02:26:44.594 --> 02:26:47.716]  They vowed to attack that and keep anybody from getting into it.
[02:26:49.736 --> 02:26:53.138]  But the media will show the event before it opens and say no one was there, just like 2016.
[02:26:53.278 --> 02:26:56.800]  It wasn't that Trump cared about the crowd size, which was record.
[02:26:57.180 --> 02:27:03.323]  He cared about that the whole media would lie and show a photo before the gates opened to the Commons.
[02:27:04.906 --> 02:27:05.506]  To the monument.
[02:27:06.487 --> 02:27:07.008]  The mall.
[02:27:08.149 --> 02:27:09.610]  And he was just like, they're that bad?
[02:27:09.630 --> 02:27:14.694]  And it's a process for all of us to go through just how bad they are.
[02:27:15.875 --> 02:27:17.036]  And just how much they'll lie.
[02:27:17.556 --> 02:27:21.239]  And for them, they're on the air saying Trump's a Nazi.
[02:27:21.299 --> 02:27:22.500]  Concentration camps.
[02:27:22.921 --> 02:27:27.064]  Trump's election was like JFK and RFK and MLK being killed.
[02:27:27.424 --> 02:27:32.729]  And the lies just get crazier and more ridiculous and more stupid and more insane.
[02:27:34.468 --> 02:27:37.629]  Because they don't have any truth.
[02:27:38.410 --> 02:27:41.851]  They're just the globalists that got put in to sell us out to foreign powers.
[02:27:42.611 --> 02:27:45.512]  But the minute we woke up to that, we started putting our own people back in.
[02:27:45.872 --> 02:27:46.873]  Doesn't mean they're angels.
[02:27:47.113 --> 02:27:47.853]  Doesn't mean they're perfect.
[02:27:47.873 --> 02:27:48.393]  But you know what?
[02:27:48.593 --> 02:27:51.014]  They weren't born and bred to piss on the country.
[02:27:51.635 --> 02:27:53.695]  They weren't born and bred to hate capitalism.
[02:27:53.855 --> 02:27:56.456]  They weren't born and bred to hate somebody else because they had something.
[02:27:57.897 --> 02:28:00.618]  They were born and bred to end slavery and try to end racism.
[02:28:00.658 --> 02:28:03.139]  They were born and bred to empower women like nobody else did.
[02:28:04.309 --> 02:28:09.231]  So at the time of hating ourselves and being told we're pieces of crap, it's coming to an end.
[02:28:09.251 --> 02:28:13.992]  I want to air some special reports when we come back, and then Gerald Saliente's taking over.
[02:28:14.052 --> 02:28:16.153]  But yeah, we'll play this Ilhan Omar that I haven't gotten to.
[02:28:16.193 --> 02:28:17.174]  Just the arrogance!
[02:28:17.794 --> 02:28:22.715]  Because she makes up for the fact that she comes from a country of slavery, where her own people enslaved women.
[02:28:23.236 --> 02:28:25.897]  And she came here illegally, and married her brother, and reportedly had three children with him.
[02:28:26.177 --> 02:28:32.439]  And all she's got is her arrogance telling you how much you suck all day, and how you owe her something!
[02:28:34.821 --> 02:28:35.321]  We're on a break.
[02:28:35.341 --> 02:28:36.682]  We're coming back with it.
[02:28:36.842 --> 02:28:40.404]  And then, some special reports we've not aired that are so good, we gotta air them.
[02:28:41.645 --> 02:28:44.447]  Meanwhile, you can get to Paul Watson's latest report on Infowars.com.
[02:28:46.188 --> 02:28:51.411]  The Pentagon now recognizes incels as 99% of school shooters.
[02:28:52.091 --> 02:28:54.012]  We broke that years ago and profiled them.
[02:28:54.772 --> 02:29:00.896]  Devil-worshipping, white males who hate women are every mass shooter.
[02:29:11.793 --> 02:29:15.975]  InfoWars, the most banned network in the world.
[02:29:16.915 --> 02:29:30.680]  What do you do to a 100% American company standing up for unborn, standing up for babies being killed after they're born, standing up against sexualization of children and pedophile drag queen story time for kids?
[02:29:31.040 --> 02:29:31.681]  What do you do?
[02:29:32.481 --> 02:29:37.563]  Well, we just saw in thousands of publications, we just saw how they strike back on it.
[02:29:38.254 --> 02:29:40.795]  Well, and it's the same thing they always do with projection.
[02:29:41.096 --> 02:29:47.479]  It really makes you wonder about them projecting child porn and pedophilic activity onto you, which you're totally innocent of.
[02:29:47.559 --> 02:29:50.020]  It's totally proven in the documents, in the stories.
[02:29:50.240 --> 02:29:51.521]  They just run with a fake headline.
[02:29:51.921 --> 02:29:54.103]  But remember what happened in the 2016 election?
[02:29:54.683 --> 02:29:57.104]  Hillary Clinton colluded with Russia, and then what'd they say?
[02:29:57.404 --> 02:29:58.465]  Trump colluded with Russia.
[02:29:58.505 --> 02:30:05.589]  So it really makes you wonder if they're not doing that same psychology to you right now, who've been talking about the underground pedophile rings for decades.
[02:30:06.687 --> 02:30:09.848]  And again, we get hit with a fake Sandy Hook lawsuit.
[02:30:09.868 --> 02:30:10.488]  Stuff we didn't do.
[02:30:10.528 --> 02:30:11.528]  They're using the poor families.
[02:30:11.909 --> 02:30:14.049]  And they want all our emails.
[02:30:14.069 --> 02:30:15.109]  9.6 million that said Sandy Hook.
[02:30:15.610 --> 02:30:17.590]  We go, hey, how about just ones with Sandy Hook in them?
[02:30:18.070 --> 02:30:19.151]  And a bunch of other search terms.
[02:30:19.171 --> 02:30:20.251]  All the families, all the names.
[02:30:20.271 --> 02:30:21.531]  We don't even talk about them.
[02:30:21.551 --> 02:30:22.412]  They search it all.
[02:30:22.612 --> 02:30:23.672]  They go, we want your metadata.
[02:30:23.692 --> 02:30:24.332]  We're like, what's that?
[02:30:24.392 --> 02:30:25.332]  All the weird code.
[02:30:26.113 --> 02:30:30.754]  So they find hidden links in there and go report to the FBI.
[02:30:30.894 --> 02:30:32.094]  I got pissed about that.
[02:30:33.135 --> 02:30:34.155]  And so what's their response?
[02:30:35.367 --> 02:30:37.771]  Alex Jones sent Sandy Hook family's child porn.
