[00:00:00.089 --> 00:00:01.070]  GAMER CONDITIONING!
[02:03:55.741 --> 02:04:01.706]  Carter Page did not do anything to jeopardize or hurt the security of the United States.
[02:04:01.706 --> 02:04:03.187]  And the thing people forget.
[02:04:03.187 --> 02:04:05.369]  They keep saying, oh, Russia interfered in our 2016 election.
[02:04:08.097 --> 02:04:09.398]  Are people morons?
[02:04:09.398 --> 02:04:13.681]  The United States and the Russians and the former Soviet Union... Everybody does it!
[02:04:13.681 --> 02:04:24.909]  ...have been spying on each other for 80 plus years, engaged in a whole variety of intelligence collection activities designed to influence public opinion.
[02:04:24.909 --> 02:04:31.394]  So grow up, stop acting like a bunch of babies and pretending that this thing was somehow new and different.
[02:04:31.394 --> 02:04:35.997]  It was not new, it was not different, but what it did highlight was a complete
[02:04:36.761 --> 02:04:39.702]  It was not the failure of the Obama administration.
[02:04:39.702 --> 02:04:43.384]  They made a deliberate decision to weaponize this fact.
[02:04:43.384 --> 02:04:44.804]  Larry C. Johnson, stay there.
[02:04:44.804 --> 02:04:48.146]  CIA, let's come back then and get into where you think it goes next.
[02:04:48.146 --> 02:04:49.306]  And your warning to the establishment.
[02:04:49.306 --> 02:04:50.567]  I'm going to get your warning to them.
[02:04:56.167 --> 02:05:01.368]  Infowarsstore.com is how you support us, and it's not like we're selling stuff you don't need, you don't want.
[02:05:01.368 --> 02:05:09.930]  The air in your average American home is filled with toxins that put it on par with a major city.
[02:05:09.930 --> 02:05:12.910]  Some of the most polluted areas on earth are major cities.
[02:05:12.910 --> 02:05:14.650]  How can I solve that problem?
[02:05:14.650 --> 02:05:20.932]  So we have air filters at Infowarsstore.com, the Alexa Pure Breeze, which is right now $50 off.
[02:05:23.032 --> 02:05:28.356]  The Alexa Pure Breeze Groundbreaking Ion Cluster Air Filter Technology.
[02:05:28.356 --> 02:05:31.318]  And we've got a limited quantity of these left right now.
[02:05:31.318 --> 02:05:34.900]  We're basically selling these at cost because there was a big overhaul.
[02:05:34.900 --> 02:05:39.223]  Go ahead and read the hundreds of five-star reviews for yourself.
[02:05:39.223 --> 02:05:41.044]  I've got two in my home.
[02:05:41.044 --> 02:05:47.148]  You will notice the difference, ladies and gentlemen, with the Alexa Pure Breeze in your house.
[02:05:47.148 --> 02:05:47.989]  Don't live
[02:05:48.809 --> 02:05:52.872]  In a polluted major city in your home, have clean air.
[02:05:52.872 --> 02:05:54.213]  Go to Infowarsstore.com.
[02:05:54.213 --> 02:05:58.257]  Waging war on corruption.
[02:05:58.257 --> 02:06:00.478]  It's Alex Jones.
[02:06:22.992 --> 02:06:28.138]  Alright, final segment with Larry C. Johnson, decorated CIA leader.
[02:06:28.138 --> 02:06:38.370]  I'm not going to go over his whole bio, but he goes on a lot of national television, but most importantly, he laid out two years ago on this show and other shows what was really going on, the illegal spying, the attempted coup.
[02:06:39.767 --> 02:06:51.076]  But I know that the deep staters over the Carnegie Endowment, the Ford Endowment, the stay-behind networks, to use their words, the embeds, listen and watch this show.
[02:06:51.076 --> 02:06:53.277]  And they've wondered how we knew what they were doing, what they were up to.
[02:06:53.277 --> 02:06:54.878]  Well, I interviewed all the experts.
[02:06:54.878 --> 02:06:55.879]  I've studied history.
[02:06:55.879 --> 02:07:01.343]  Obama signed this countering disinformation and foreign propaganda act.
[02:07:01.343 --> 02:07:05.646]  They then called me a Russian agent in congressional hearings and the House Armed Services Committee.
[02:07:05.646 --> 02:07:08.248]  I then started enjoying the
[02:07:09.369 --> 02:07:23.623]  Counter-espionage operations they were running against me because I'm a loyal American and so I really got put in the deep end even though I'd historically studied this I got to experience it and I couldn't believe how their agents and their operatives were like mental patients.
[02:07:23.623 --> 02:07:27.987]  They actually shook in fear around me and believed I was the devil.
[02:07:27.987 --> 02:07:30.490]  So we've got a big leg up on these people.
[02:07:30.490 --> 02:07:32.392]  They have mental patients folks.
[02:07:32.972 --> 02:07:47.337]  They don't have serious focus people and I'm not claiming I'm just as a regular organic citizen Mr. Tough Guy but I mean I know how to tie my shoelaces I don't you know sit there and you know get the shakes when I got to do something and so I'm not saying oh we're superior I'm actually scared
[02:07:48.237 --> 02:07:57.610]  That the Democrats in the deep state, the ones that did this, are so unprofessional, so scared, so arrogant, so pathetic, because they're scared, but they're also super arrogant.
[02:07:57.610 --> 02:08:03.559]  So I know a big part of you in counterterrorism, and as one of their top guys, have to know what the establishment's doing, or your enemy.
[02:08:03.999 --> 02:08:04.259]  I don't
[02:08:25.146 --> 02:08:27.467]  Could sabotage U.S.
[02:08:27.467 --> 02:08:28.347]  military operations.
[02:08:28.347 --> 02:08:37.351]  I already talked to Pentagon folks that said early on that somebody was leaking where special operations was going to make Trump look bad in raids against ISIS.
[02:08:37.351 --> 02:08:41.233]  And so that's, I think, turned the military completely against Obama and Hillary.
[02:08:41.233 --> 02:08:42.573]  But that's what I'm saying, though.
[02:08:42.573 --> 02:08:50.516]  How many of these things, how many Air Force cadet commandants do you have to get caught staging false flag race war?
[02:08:50.516 --> 02:08:52.797]  How much do we have to put up with these crazy people?
[02:08:52.797 --> 02:08:54.078]  So correct me if I'm wrong.
[02:08:55.154 --> 02:08:58.538]  And then get into what is their mindset and what is your warning to them?
[02:08:58.538 --> 02:09:02.582]  Because you're really talking to the deep state rogue elements on the show, as you know.
[02:09:02.582 --> 02:09:05.985]  That's why you were openly earlier saying, get rid of this person, get rid of that person.
[02:09:05.985 --> 02:09:07.247]  They're watching, they're listening.
[02:09:07.247 --> 02:09:11.591]  So maybe like you're the FBI bullhorning into a group of bank robbers.
[02:09:11.591 --> 02:09:12.732]  Give up, you'll never get out.
[02:09:12.732 --> 02:09:15.195]  I mean, what do you say to these people to get them to stop?
[02:09:16.482 --> 02:09:26.053]  But it's important for your listeners to understand, Alex, that this relies entirely upon the veil of intelligence.
[02:09:26.053 --> 02:09:34.022]  So the intelligence that was initially collected by the British, and then later collected by NSA and CIA,
[02:09:34.933 --> 02:09:36.715]  It was all contrived.
[02:09:36.715 --> 02:09:39.658]  It wasn't based out of actual actions.
[02:09:39.658 --> 02:09:47.987]  Instead, it was done as a pretext or designed to paint Trump as having interactions with the Russians.
[02:09:47.987 --> 02:09:51.231]  Sure, to discredit the election and cover for their criminal activity.
[02:09:52.364 --> 02:09:57.645]  Yeah, and so within this, the FBI participated as well.
[02:09:57.645 --> 02:10:04.967]  When you look at the case of Felix Sater, for example, who played a critical role in the Trump Tower Moscow project.
[02:10:04.967 --> 02:10:09.869]  In fact, he was the one instigating and doing the negotiation, encouraged meetings with Putin.
[02:10:09.869 --> 02:10:19.611]  Once you realize he had been an FBI informant since 1998, and his status as an informant, he was signed up by none other than Andrew Weissman.
[02:10:19.611 --> 02:10:21.592]  Now, that's not just a mere coincidence.
[02:10:22.085 --> 02:10:32.470]  So what they counted on was they could justify their actions as a counterintelligence investigation because they had, quote, intelligence that was leading them to do this.
[02:10:32.470 --> 02:10:41.174]  But what they didn't admit to is that that intelligence was actually produced in response to requests from the Clinton campaign initially.
[02:10:41.574 --> 02:10:54.827]  And people affiliated with the Clinton campaign to come up and start doing opposition research on Donald Trump, but then to add the sort of the added flavor of having it appear as if it was legitimate intelligence.
[02:10:54.827 --> 02:11:03.676]  And you saw that in that clip that was played with Evelyn Farkas, the former DOD official, where she said, we got all this intelligence showing these contacts with Russia.
[02:11:04.281 --> 02:11:14.243]  And again, she was lying in that what they were not telling the people listening to her is that those contacts with Russians were staged.
[02:11:14.243 --> 02:11:18.264]  Staged by people, by groups like Military Intelligence, MI6.
[02:11:18.264 --> 02:11:19.744]  Explain that to people!
[02:11:19.744 --> 02:11:28.806]  These were double and triple agents, well-known to everybody, who they would then call Russians, who were really Western intelligence or cutouts, making contact with people who never made deals.
[02:11:28.806 --> 02:11:32.347]  You know, I'm so proud that they even have to admit no American would take the money
[02:11:32.907 --> 02:11:34.370]  Including me.
[02:11:34.370 --> 02:11:36.014]  No American would take the money.
[02:11:36.014 --> 02:11:39.982]  They couldn't get anybody who was a nationalist to sell out.
[02:11:39.982 --> 02:11:40.704]  Right.
[02:11:40.704 --> 02:11:42.929]  And you know, take the case of George Papadopoulos.
[02:11:43.576 --> 02:12:01.275]  He was approached by a professor, Joseph Massoud, and Massoud is characterized, even in this very disingenuous Mueller report, as a Russian agent, when in fact, Massoud has long, extensive contacts with both the British MI6 and the U.S.
[02:12:01.275 --> 02:12:02.857]  Central Intelligence Agency.
[02:12:03.377 --> 02:12:05.919]  He was a Western intelligence asset.
[02:12:05.919 --> 02:12:07.960]  He was not working for the Russians.
[02:12:07.960 --> 02:12:11.182]  He was working for Western intelligence agencies.
[02:12:11.182 --> 02:12:19.868]  And yet he was the one that presented George Papadopoulos with, hey, opportunities to meet with Putin and, hey, opportunities to get involved with Russia.
[02:12:19.868 --> 02:12:24.131]  And that was a deliberate provocative or provocation.
[02:12:24.131 --> 02:12:31.015]  It's like baiting a hook and throwing it out there, hoping that the fish will bite so you can reel him in and then blame the fish for getting caught.
[02:12:31.055 --> 02:12:33.177]  Sure, it's total entrapment, and so none of it worked.
[02:12:33.177 --> 02:12:34.879]  And why do you think Mueller then had to back down?
[02:12:34.879 --> 02:12:37.161]  Because he came up so empty?
[02:12:37.161 --> 02:12:38.762]  Yeah, because there was no there there.
[02:12:38.762 --> 02:12:42.266]  I mean, this, you know, I was saying two years ago that this was a lie.
[02:12:42.266 --> 02:12:47.170]  And this was based on nothing, that this was an actual contrived effort.
[02:12:47.170 --> 02:12:50.673]  And everyone said, oh, it's crazy and conspiracy theorists.
[02:12:50.673 --> 02:12:52.035]  But there was no there there.
[02:12:52.635 --> 02:13:10.971]  And when people begin to understand that apart from Felix Sater, who is a 20-year FBI informant working in the Trump Tower since 2003, Henry Greenberg, another one that made approaches to Michael Caputo and to Roger Stone, was also an FBI informant.
[02:13:10.971 --> 02:13:16.296]  When you begin to realize that the FBI was actively using informants to try to entrap
[02:13:17.020 --> 02:13:17.820]  Trump people.
[02:13:17.820 --> 02:13:20.801]  And as you said, everybody knows that who's informed.
[02:13:20.801 --> 02:13:26.343]  You read the report, they act like these that are known informants are FSB agents.
[02:13:26.343 --> 02:13:26.904]  It's insane.
[02:13:26.904 --> 02:13:29.024]  So I know you don't like to grandstand, but I'm serious.
[02:13:29.024 --> 02:13:36.527]  In the time we have, sir, Larry C. Johnson, former CIA counterterrorism, what would you say to the deep state or what do you think they're thinking right now?
[02:13:36.527 --> 02:13:38.328]  They've got to know the walls are closing in.
[02:13:38.328 --> 02:13:39.628]  They kept saying that about Trump.
[02:13:39.628 --> 02:13:40.769]  No, they're closing in on them.
[02:13:42.459 --> 02:13:48.920]  I don't think they fully realize or appreciate that the walls are going to completely close in on them.
[02:13:48.920 --> 02:13:55.702]  I think they're counting on the fact that they've still got some buddies and some friends on the inside that will help deflect and defuse this.
[02:13:55.702 --> 02:14:05.543]  But it's incumbent upon Trump, as I noted earlier, release the documents, declassify this information, expose to the American public.
[02:14:05.543 --> 02:14:08.124]  Start the prosecution and they'll fall like dominoes.
[02:14:09.130 --> 02:14:10.551]  Yeah, these are traitors.
[02:14:10.551 --> 02:14:12.433]  These are genuine traitors.
[02:14:12.433 --> 02:14:16.176]  People like Jim Clapper, John Brennan, they are absolute traitors.
[02:14:16.176 --> 02:14:28.125]  They were engaged with sedition, and they tried to disrupt a legitimately elected president simply because they didn't like his politics or his policies, but he was voted for by the American people.
[02:14:28.125 --> 02:14:31.928]  You know, you're a, when I say conservative, what you say is conservative.
[02:14:31.928 --> 02:14:33.670]  I've been watching you on the air for six, seven, eight years.
[02:14:34.390 --> 02:14:38.273]  And you did accurately lay all this out, but I know you got to go.
[02:14:38.273 --> 02:14:41.455]  But you just saying they're traitors, this is absolute traitors, we've got to do something.
[02:14:41.455 --> 02:14:43.356]  You're totally right.
[02:14:43.356 --> 02:14:45.338]  And I just can't believe we've gotten in this position.
[02:14:46.505 --> 02:14:51.188]  Yeah, this is the stuff that civil wars are made of.
[02:14:51.188 --> 02:14:56.652]  And what has made America, you know, America's had its flaws.
[02:14:56.652 --> 02:14:58.553]  And there have been mistakes over the years.
[02:14:58.553 --> 02:15:01.355]  You know, we saw it with the Hollywood blacklist period.
[02:15:01.355 --> 02:15:06.799]  And I never thought we would see the Democratic left engage in the same tactics that they accused
[02:15:07.559 --> 02:15:12.362]  And the Republicans are doing in the 1940s and early 50s.
[02:15:12.362 --> 02:15:18.485]  But here we are with the Democrats being more McCarthy-ite than anything that Joseph McCarthy did back in the day.
[02:15:18.485 --> 02:15:21.526]  All right, well listen, Larry C. Johnson, I want to invite you to fly to Austin.
[02:15:21.526 --> 02:15:22.027]  I'll fly you here.
[02:15:22.027 --> 02:15:23.487]  I'd love to have you in the studio.
[02:15:23.487 --> 02:15:24.388]  I know you've got to go.
[02:15:24.388 --> 02:15:25.208]  You've been very gracious.
[02:15:25.208 --> 02:15:29.030]  But since you bring up civil war, that's what other former CIA and FBI are saying.
[02:15:29.030 --> 02:15:30.591]  They've now gotten into antifa groups.
[02:15:30.591 --> 02:15:32.672]  They're actually planning this as they're overthrowing Trump.
[02:15:33.032 --> 02:15:39.076]  Do three more minutes with us on the other side, then I'll let you go, about you keep bringing up civil war, you keep bringing up this climate.
[02:15:39.076 --> 02:15:42.398]  That's how I think they're going to strike back, and I think that's how they're saying they're going to strike back.
[02:15:42.398 --> 02:15:48.662]  So just briefly on the other side, put bookends on this about the clear and present danger, because I don't think they're going to give up, and I think you're saying the same thing.
[02:15:48.662 --> 02:15:50.724]  That's where I was going next, even though you were going to leave us.
[02:15:50.724 --> 02:15:52.045]  So please tell us your view on that, sir.
[02:15:52.045 --> 02:15:52.825]  Thank you so much.
[02:15:52.825 --> 02:15:53.726]  We'll be right back, folks.
[02:15:53.726 --> 02:15:54.066]  Stay with us.
[02:15:55.211 --> 02:15:59.235]  Stocks and options trading involves financial risk and is not suitable for all investors.
[02:15:59.235 --> 02:16:02.578]  Hey guys, it's Scott Bauer here, CEO of Prosper Trading Academy.
[02:16:02.578 --> 02:16:04.460]  Are you looking for a super hot stock tip?
[02:16:04.460 --> 02:16:08.323]  Here at Prosper, we are always looking for exciting opportunities in the markets.
[02:16:08.323 --> 02:16:12.167]  And right now, all my students are salivating over this stock we are watching.
[02:16:12.167 --> 02:16:18.292]  In fact, I've got this hot stock written down right here, and I'm about to text it to you for free.
[02:16:18.292 --> 02:16:19.634]  I just need to know where to send it.
[02:16:20.194 --> 02:16:26.140]  Simply text HOT to 48542 and I'll text it to you instantly.
[02:16:26.140 --> 02:16:28.062]  How do I know this stock is so hot?
[02:16:28.062 --> 02:16:37.531]  Well, I'm a former CBOE market maker for Amazon Options, former Vice President of Goldman Sachs, and I have over 25 years of professional trading experience.
[02:16:37.531 --> 02:16:39.533]  I'm telling you, this stock is hot.
[02:16:39.533 --> 02:16:43.257]  But be warned, the stock may move soon, so you need to claim it before it does.
[02:16:43.257 --> 02:16:43.958]  Text HOT
[02:16:44.378 --> 02:16:48.682]  Text HOT to 48542 and I'll text you this hot stock instantly.
[02:16:48.682 --> 02:16:53.346]  Text HOT to 48542 and I'll text you this hot stock instantly.
[02:16:53.346 --> 02:16:54.848]  Message and data rates may apply.
[02:16:55.202 --> 02:16:57.564]  Know someone with a drinking or drug problem?
[02:16:57.564 --> 02:17:00.446]  Learn how to get sober after we share these stories.
[02:17:00.446 --> 02:17:05.529]  I was 35 with two beautiful children when my life and addiction started to spiral out of control.
[02:17:05.529 --> 02:17:12.694]  After my divorce, I went into a depression cycle and started drinking more often and using prescription drugs.
[02:17:12.694 --> 02:17:17.257]  After my second DWI and arrest, my ex-husband threatened to take our children away from me.
[02:17:17.837 --> 02:17:21.480]  I was 17 when I became addicted to heroin and meth.
[02:17:21.480 --> 02:17:24.623]  I thought I could quit on my own, but I couldn't.
[02:17:24.623 --> 02:17:27.245]  It hit me when I was arrested.
[02:17:27.245 --> 02:17:28.746]  Get sober now.
[02:17:28.746 --> 02:17:32.089]  Your private insurance may cover costs and we'll get you here.
[02:17:32.089 --> 02:17:32.889]  It's simple.
[02:17:32.889 --> 02:17:36.092]  Just call Elite Rehab Placement right now.
[02:17:36.092 --> 02:17:37.393]  Please, don't wait.
[02:17:37.393 --> 02:17:38.574]  Your life matters to us.
[02:17:38.814 --> 02:17:38.934]  800-213-9264.
[02:17:38.934 --> 02:17:39.114]  800-213-9264.
[02:17:39.114 --> 02:17:39.174]  800-213-9264.
[02:17:39.174 --> 02:17:41.056]  Call right now before it's too late.
[02:17:41.056 --> 02:17:41.276]  800-213-9264.
[02:17:41.276 --> 02:17:46.499]  Our grandparents, the great-grandparents, they canned food during the fall so you'd have it during the winter.
[02:18:02.408 --> 02:18:05.353]  And that's what I'm talking about at InfoWarsTour.com.
[02:18:05.353 --> 02:18:09.398]  With InfoWars Select, it's the full spectrum of my patronage supply.
[02:18:10.993 --> 02:18:12.354]  Most respected companies out there.
[02:18:12.354 --> 02:18:20.118]  But because I private label it, I'm able to go below cost on contracts that all their other distributors aren't able to do.
[02:18:20.118 --> 02:18:25.481]  But I want to be a market leader, and I want you to have storable food, so it's a total win-win.
[02:18:25.481 --> 02:18:27.763]  We have those incredible sell prices back.
[02:18:27.763 --> 02:18:31.265]  MFORWARDSTORE.COM on MFORWARDSELECT storable foods.
[02:18:31.265 --> 02:18:32.746]  They've got special diet foods.
[02:18:32.746 --> 02:18:36.728]  They've got three-month supplies, year's supplies, week emergency supplies.
[02:18:36.728 --> 02:18:38.949]  They've got so many great products there.
[02:18:38.949 --> 02:18:40.030]  Maybe you've got a three-year supply.
[02:18:40.490 --> 02:18:42.471]  If stuff happens, you can feed your whole block.
[02:18:42.471 --> 02:18:45.013]  It's up to us to be self-sufficient.
[02:18:45.013 --> 02:18:50.016]  You're buying War Bonds, bringing you great products, and together, with God's help, we are unstoppable.
[02:18:50.016 --> 02:18:55.400]  InfoWareStore.com and InfoWare Select, high-quality, storable foods powered by my Patriot Supply.
[02:18:56.109 --> 02:19:00.011]  Brain Force Plus is a top-tier nootropic.
[02:19:00.011 --> 02:19:01.211]  Focus.
[02:19:01.211 --> 02:19:02.172]  Clarity.
[02:19:02.172 --> 02:19:03.112]  Energy.
[02:19:03.112 --> 02:19:08.575]  But instead of having a 7x markup, we have a 150% markup.
[02:19:08.575 --> 02:19:10.756]  Right now, it's massively discounted.
[02:19:11.676 --> 02:19:18.041]  And when you get a bottle of it at 25% off, you get a free bottle of what is our total bestseller.
[02:19:18.041 --> 02:19:22.105]  It's not very profitable because we give it at such a low price, but it's amazing.
[02:19:22.105 --> 02:19:24.807]  And that, of course, is knockout, the ultimate sleep aid.
[02:19:24.807 --> 02:19:28.190]  So we've got a way to energize you, ramp you up in a healthy way during the day.
[02:19:28.610 --> 02:19:31.551]  And put you deep into that restful, healthy sleep at night.
[02:19:31.551 --> 02:19:34.712]  It's the Brain Force and Knockout Combo Deal.
[02:19:34.712 --> 02:19:39.754]  25% off Brain Force and a free bottle of Knockout together right now.
[02:19:39.754 --> 02:19:43.036]  Get the combo and experience both these great products today.
[02:19:43.036 --> 02:19:45.077]  Take advantage of it and fund the InfoWars.
[02:19:45.077 --> 02:19:46.637]  InfoWarsLife.com.
[02:19:46.637 --> 02:19:47.798]  InfoWarsStore.com.
[02:19:47.798 --> 02:19:51.019]  The Brain Force Plus Knockout Combo right now.
[02:19:51.019 --> 02:19:53.520]  Get your free bottle today at InfoWarsStore.com.
[02:19:58.650 --> 02:20:10.979]  You're listening to the Alex Jones Show!
[02:20:10.979 --> 02:20:18.565]  Alright, final segment with our guest and we're getting Millie Weaver on about the Joe Biden rally last night and more.
[02:20:25.169 --> 02:20:34.836]  Larry C. Johnson is a highly decorated, respected, former CIA operative, commander, counter-terrorism specialist.
[02:20:34.836 --> 02:20:46.044]  I'm not going to go over his whole awards and decorated past, but he's one of the most cogent, focused, accurate people in the last two-plus years that I was watching, saying what was really going on, what was going to come out.
[02:20:46.044 --> 02:20:51.288]  And again, I'm not one of these people that dreams of civil war and going out and getting the lefties.
[02:20:51.288 --> 02:20:52.669]  I mean, I'm not even a right-winger.
[02:20:52.669 --> 02:20:53.430]  I'm just a populist.
[02:20:55.578 --> 02:21:01.171]  When I go out in public, sometimes in Austin, and most people shake my hand, but others say, we're going to kill you, we're going to get you.
[02:21:01.171 --> 02:21:02.955]  They attack me, they think they're allowed to do that.
[02:21:04.192 --> 02:21:05.753]  They're at a crazed level.
[02:21:05.753 --> 02:21:07.254]  And then I get all these FBI reports.
[02:21:07.254 --> 02:21:08.595]  I don't just believe FBI reports.
[02:21:08.595 --> 02:21:09.776]  Some are true, some aren't.
[02:21:09.776 --> 02:21:11.338]  I've... Well, I'll just say it.
[02:21:11.338 --> 02:21:13.099]  We've infiltrated Antifa groups.
[02:21:13.099 --> 02:21:14.480]  Everybody knows that.
[02:21:14.480 --> 02:21:19.944]  Well, they're like, we're going to put people in camps, and we're going to have a race war, and we're going to link up with MS-13.
[02:21:19.944 --> 02:21:21.105]  I said that over a year ago.
[02:21:21.105 --> 02:21:22.686]  The media freaked out.
[02:21:22.686 --> 02:21:30.452]  And then now you've got other CIA former analysts like Kevin Schipp basically saying everything that our guest Larry C. Johnson is saying, that they're planning a violent overthrow.
[02:21:30.452 --> 02:21:31.834]  They want it.
[02:21:31.834 --> 02:21:32.974]  They're buying full-page ads.
[02:21:34.256 --> 02:21:40.243]  I don't think Antifa is going to lead this overthrow of Trump, but I think they could be the trigger for real civil unrest.
[02:21:40.243 --> 02:21:43.747]  And I just think if we know this is coming, we have a duty to stop it.
[02:21:43.747 --> 02:21:44.728]  This isn't free speech.
[02:21:44.728 --> 02:21:47.952]  So you talk about the climate being perfect for a civil war.
[02:21:47.952 --> 02:21:49.814]  Can you speak to that and how you think we can stop it?
[02:21:51.368 --> 02:21:57.431]  Well, this division that's being propagated by the media.
[02:21:57.431 --> 02:22:04.295]  I've never, you know, I've been involved with doing media talking head stuff since it started like 1995, 94.
[02:22:04.295 --> 02:22:06.696]  You've been on every chapter.
[02:22:06.696 --> 02:22:07.536]  Carlos the Jackal.
[02:22:07.536 --> 02:22:10.958]  And I was on ABC, CBS, NBC, MSNBC.
[02:22:10.958 --> 02:22:13.239]  I've seen you on Nightline, I think, like 20 years ago.
[02:22:13.239 --> 02:22:14.180]  So yeah, you've been everywhere.
[02:22:15.054 --> 02:22:17.616]  I did Nightline probably eight or nine times.
[02:22:17.616 --> 02:22:33.488]  So going back almost 30 years, I have never seen such a dishonest display, I mean, deliberate dishonesty on the part of media types, particularly at MSNBC and at CNN.
[02:22:33.488 --> 02:22:35.650]  But it's really going throughout the media.
[02:22:35.650 --> 02:22:38.852]  No one's actually trying to be honest about covering the stories.
[02:22:38.852 --> 02:22:40.774]  Now, the saving grace is this.
[02:22:41.474 --> 02:22:58.037]  Talk radio, like your show and like Rush Limbaugh's show, if you compare Rush Limbaugh's show to all the major media, as many people listen to Rush Limbaugh as watch ABC, CBS, NBC, CNN, MSNBC, and Fox News on any given night.
[02:22:58.037 --> 02:22:59.297]  Think about that.
[02:22:59.297 --> 02:23:06.339]  The total numbers that are just listening to Rush, as an example, are comparable to what's going on the television.
[02:23:06.339 --> 02:23:08.779]  And by the way, before they censored us, we were at that same level.
[02:23:09.591 --> 02:23:11.392]  Yeah, so that's what I say.
[02:23:11.392 --> 02:23:16.035]  Your show and other shows, it gets out there and it counters the argument.
[02:23:16.035 --> 02:23:17.075]  They can't control it.
[02:23:17.075 --> 02:23:18.656]  They want to try to control it.
[02:23:18.656 --> 02:23:25.820]  The way they try to control it is by destroying you, by destroying your reputation, and by trying to characterize you as a complete crank.
[02:23:25.820 --> 02:23:27.481]  So, I mean, that's how they do it.
[02:23:27.481 --> 02:23:29.962]  I've been called a complete conspiracy theorist.
[02:23:29.962 --> 02:23:30.583]  No, I saw it.
[02:23:30.583 --> 02:23:31.703]  You've been totally vindicated.
[02:23:31.703 --> 02:23:34.445]  So what does the corporate media do as they lose all credibility now?
[02:23:34.445 --> 02:23:36.546]  They're losing the little bit of ratings they had are gone.
[02:23:37.458 --> 02:23:38.979]  Well, and then they ignore you.
[02:23:38.979 --> 02:23:43.202]  So, they ignore this story.
[02:23:43.202 --> 02:23:47.525]  What's important in all of this is that we continue to hammer on the truth.
[02:23:47.525 --> 02:23:50.447]  Get the truth out there, get the facts out there, get the documents out there.
[02:23:50.447 --> 02:23:56.692]  Because at the core in America, there are people who are willing to be persuaded by facts, but they need to be educated.
[02:23:57.112 --> 02:23:58.553]  And they need to be taught.
[02:23:58.553 --> 02:23:59.614]  And I don't think... I totally agree.
[02:23:59.614 --> 02:24:00.895]  Let me say this in closing.
[02:24:00.895 --> 02:24:02.296]  Here's my concern.
[02:24:02.296 --> 02:24:05.179]  I think of criminal elements, because people say, well, you've got the CIA on.
[02:24:05.179 --> 02:24:06.119]  You say the CIA's bad.
[02:24:06.119 --> 02:24:07.340]  No, it's like anything.
[02:24:07.340 --> 02:24:08.461]  There's good people, bad people.
[02:24:08.461 --> 02:24:09.402]  Do you follow the Constitution?
[02:24:09.402 --> 02:24:11.564]  Do you not?
[02:24:11.564 --> 02:24:12.564]  It's which side you're on.
[02:24:12.564 --> 02:24:16.287]  I think you're on the Americana side, just on the free market side, on the Constitution side.
[02:24:16.287 --> 02:24:17.809]  Correct me if I'm wrong.
[02:24:17.809 --> 02:24:18.049]  Yes.
[02:24:18.049 --> 02:24:19.250]  But people don't seem to understand.
[02:24:20.600 --> 02:24:20.780]  He's
[02:24:37.151 --> 02:24:41.335]  I mean, I say to the establishment, the corrupt elements of it, this way leads doom.
[02:24:41.335 --> 02:24:52.747]  I mean, what do you see in your crystal ball in closing if they're able to trigger the race war, the civil war that are in WikiLeaks, that the Democrats are dreaming of, that Netflix is pushing, that they think is going to turn all this around?
[02:24:52.747 --> 02:24:54.889]  I don't think they can put Humpty Dumpty back together again.
[02:24:54.889 --> 02:24:59.794]  I think they can only summon the whirlwind that will destroy them, and I don't want to be in the middle of that.
[02:25:01.115 --> 02:25:08.980]  Yeah, well, unfortunately, I think if history teaches us anything, it's going to require some sort of external crisis to bring us back together.
[02:25:08.980 --> 02:25:17.386]  And at this point, we're still on a collision course where the divisions that are being encouraged and promoted by many in the media and many within Hollywood.
[02:25:18.138 --> 02:25:22.719]  Uh, that they're creating a mem of a deep, dark division in America.
[02:25:22.719 --> 02:25:25.400]  And yet, at the core of America, there's a good heart.
[02:25:25.400 --> 02:25:25.780]  There is.
[02:25:25.780 --> 02:25:27.701]  And there are people who are willing to come together.
[02:25:27.701 --> 02:25:33.722]  And I still believe and trust that that element can be touched and coalesced.
[02:25:33.722 --> 02:25:38.664]  And plus, the reality is most of them have guns and the folks advocating this other don't.
[02:25:39.224 --> 02:25:40.285]  Well, here's my final question.
[02:25:40.285 --> 02:25:42.066]  I really appreciate your time and I hope you're out of books.
[02:25:42.066 --> 02:25:42.967]  We can plug it.
[02:25:42.967 --> 02:25:46.210]  You're really a selfless patriot out there, I guess, for everybody's own interest.
[02:25:46.210 --> 02:25:55.317]  But you saw Brennan and Clapper, I'm sure, three weeks ago do the tour saying, OK, we did watch Trump because, you know, he's a Russian or whatever, still putting that lie on.
[02:25:55.317 --> 02:26:00.922]  We were ordered by Obama declaring executive privilege, executive authorization.
[02:26:00.922 --> 02:26:04.405]  I think that shows that they know they're caught and they're desperate now.
[02:26:04.405 --> 02:26:05.186]  I think that's a big deal.
[02:26:06.141 --> 02:26:07.822]  Yeah, it was a very big deal.
[02:26:07.822 --> 02:26:12.223]  Clapper was sort of the reins in chief on the intel side behind this, not Brennan.
[02:26:12.223 --> 02:26:17.905]  But Brennan was a willing participant and was an enthusiastic participant.
[02:26:17.905 --> 02:26:20.066]  Brennan's failing is just not very bright.
