[00:00:00.190 --> 00:00:01.838]  Offend Liberty Worldwide!
[01:44:42.652 --> 01:44:49.074]  Well, you know, when you watch and if you follow the history, and it's really important that we know our history, folks.
[01:44:50.413 --> 01:44:56.497]  We have many, many black folks in this country who are obviously descendants of slaves.
[01:44:57.258 --> 01:45:00.260]  And there's a lot of anger that still exists today.
[01:45:01.341 --> 01:45:06.404]  Now, with here being in Texas, something very important happened on the 19th of June, 1865.
[01:45:07.085 --> 01:45:13.049]  In Galveston, Texas, the news arrived that slaves were free.
[01:45:13.669 --> 01:45:18.333]  Now, if I do my math, that's just over, just a couple months past 150 years ago.
[01:45:20.194 --> 01:45:21.995]  So, what is the beef?
[01:45:22.295 --> 01:45:35.582]  What is the problem for any black person today to be mad at a white person today simply based on race to try to blame them for something that happened 150 years ago before they were born?
[01:45:35.902 --> 01:45:39.404]  This is the most stupid thinking I've ever seen.
[01:45:39.844 --> 01:45:42.346]  Judge people on that person.
[01:45:42.846 --> 01:45:47.368]  Do not try to put a blanket... It's the same thought that all cops are bad.
[01:45:47.508 --> 01:45:48.369]  That is lunacy.
[01:45:49.009 --> 01:45:50.430]  I've been in this business a long time.
[01:45:50.470 --> 01:45:51.751]  I know a lot of good officers.
[01:45:52.011 --> 01:45:53.092]  I've known a few bad ones.
[01:45:53.412 --> 01:46:00.418]  And what we have to do in law enforcement is make sure when we run across a bad one, is we get them out of this business immediately.
[01:46:00.458 --> 01:46:03.860]  And if that means we get them out via jail or prison, that's okay too.
[01:46:04.240 --> 01:46:05.882]  But we all have to follow the law.
[01:46:06.222 --> 01:46:07.142]  That's my point.
[01:46:07.183 --> 01:46:09.024]  That's what every sheriff in this country should be doing.
[01:46:09.966 --> 01:46:21.228]  Well, I know you're a constitutionalist, I love your platform, and I hope you win for sheriff, and I hope then you move on to state politics and beyond, because we need to stop, and I'm not bashing lawyers, but we don't need 90% of Congress to be lawyers.
[01:46:21.708 --> 01:46:29.169]  We need them to be shopkeepers, ranchers, police officers, former Marines, you know, folks like that have actually lived out there.
[01:46:30.750 --> 01:46:32.910]  Medical doctors, people like that, school teachers.
[01:46:33.010 --> 01:46:37.651]  It's just, we got a bunch of politicians up there, believing their own phlegm phlegm.
[01:46:37.991 --> 01:46:39.251]  I want to go to phone calls, but
[01:46:41.567 --> 01:46:52.296]  Getting back to the situation with the war on police, do you agree with Sheriff David Clark of Milwaukee County up in Wisconsin that this war on police has been launched by Obama?
[01:46:52.836 --> 01:46:58.320]  I believe that Obama has played a huge part in this because he has stood so silent
[01:46:59.298 --> 01:47:18.545]  When something happens in the black community, whether it was the Trayvon Martin issue that really didn't have direct police involvement, or it was the Ferguson incident, the New York incident, the Baltimore incident, he is in the Rose Garden giving speeches, and somehow, a man that I knew,
[01:47:19.878 --> 01:47:23.060]  In Harris County, Texas, was executed.
[01:47:24.140 --> 01:47:24.721]  Executed.
[01:47:25.381 --> 01:47:30.964]  And it took the president three and a half, four days to make a private phone call to the widow.
[01:47:31.764 --> 01:47:33.205]  Nothing, no press conference, no nothing.
[01:47:33.225 --> 01:47:34.186]  So he didn't humanize him?
[01:47:34.386 --> 01:47:41.850]  No, it was business as usual while I think he was flying to Alaska to rename Mount McKinley.
[01:47:42.750 --> 01:47:43.731]  That's how important it was.
[01:47:45.737 --> 01:47:46.758]  That is embarrassing.
[01:47:47.018 --> 01:47:48.559]  That's hurtful.
[01:47:49.920 --> 01:47:51.561]  Police officers guard the gate, folks.
[01:47:52.222 --> 01:47:58.727]  And if you don't think it's so, imagine for a moment that 911 calls went unanswered.
[01:47:58.807 --> 01:47:59.647]  Nobody showed up.
[01:48:00.228 --> 01:48:04.711]  You would quickly find out who's more important, the police officers or Barack Obama.
[01:48:04.971 --> 01:48:05.812]  Well, I'll say this.
[01:48:07.033 --> 01:48:11.176]  The Democratic Party can't try to take our guns and then have a war on police.
[01:48:11.656 --> 01:48:13.918]  It just shows a pure criminal communist instinct.
[01:48:15.069 --> 01:48:16.270]  I mean, you can really get down to it.
[01:48:16.890 --> 01:48:17.710]  That's who they are.
[01:48:17.870 --> 01:48:19.431]  I never believed General Partin.
[01:48:19.451 --> 01:48:24.113]  I thought he was right about most of it and all those other top experts saying it's communist, it's communist, it's communist.
[01:48:24.414 --> 01:48:26.495]  It's not just an ideology they use, they plan it.
[01:48:27.115 --> 01:48:29.156]  And they just, that's what they're into.
[01:48:29.276 --> 01:48:30.016]  It's insane.
[01:48:30.476 --> 01:48:31.117]  It's dangerous.
[01:48:31.917 --> 01:48:33.878]  Finally, then I'm gonna go to calls here.
[01:48:33.898 --> 01:48:34.919]  I'm gonna skip this network break.
[01:48:35.239 --> 01:48:36.179]  I'm only one today.
[01:48:36.439 --> 01:48:37.140]  Try to be a good boy.
[01:48:40.321 --> 01:48:41.742]  But you talked about it earlier.
[01:48:43.288 --> 01:48:51.958]  If we don't stop this, what are the people going to do that have bought into this system when all the freebies are cut off?
[01:48:51.998 --> 01:48:53.480]  Because that's what totalitarians do.
[01:48:54.060 --> 01:48:57.124]  They have a phase where they hand everything out for free, but then they take it all away.
[01:48:58.305 --> 01:49:03.011]  Is the public so dumb that's gone along with this that if this all falls apart, they'll never even know what hit them?
[01:49:04.119 --> 01:49:05.300]  A great many of them.
[01:49:05.680 --> 01:49:14.508]  Yes, I hate to use the word dumb, but if you're not willing to educate yourself with what's going on, you could be left in the dark.
[01:49:14.808 --> 01:49:20.954]  And I think a great many people in this country are in for one heck of a shock when the free stuff stops.
[01:49:22.270 --> 01:49:24.752]  I've never been anti-police, but I've been on air 20 years.
[01:49:24.812 --> 01:49:29.236]  I saw the development of the police state, the end of the Constitution, which came from the central government.
[01:49:29.677 --> 01:49:33.820]  I wasn't against police themselves, I was against the move towards totalitarianism.
[01:49:34.661 --> 01:49:37.784]  And we always said they'll then scapegoat the police before they really drop the hammer.
[01:49:37.824 --> 01:49:43.469]  That's always done in every other country, whether it be fascist or communist, it follows pretty much a formula.
[01:49:44.389 --> 01:49:51.213]  But the reason I've really reached out to police the last five or six years was they reached out to me or I experienced it with veterans, active duty, and police.
[01:49:51.733 --> 01:49:56.116]  Veterans are the most awake, then police after that, whether they be federal or local.
[01:49:56.656 --> 01:50:01.980]  That's why they want us to have a war with police, is because the globalists realize the most awake group
[01:50:02.700 --> 01:50:03.960]  is the police and military.
[01:50:04.380 --> 01:50:05.221]  I've experienced that.
[01:50:05.281 --> 01:50:06.861]  Have you experienced that?
[01:50:06.901 --> 01:50:17.223]  That behind closed doors, the police really, compared to the public, I talk to cops, I mean they're super awake compared to the public about how stuff works, who's behind things, what's going on.
[01:50:17.864 --> 01:50:23.705]  We can bash cops all day, but I just discovered they're one of the most awake groups to the New World Order conspiracy.
[01:50:24.045 --> 01:50:25.726]  Well, you know, we have to be, Alex.
[01:50:25.746 --> 01:50:27.968]  You know, we live this stuff.
[01:50:28.289 --> 01:50:30.871]  I mean, the streets are not exactly a safe place.
[01:50:31.411 --> 01:50:37.676]  And so if police officers are not paying attention to their surroundings, that's when we die.
[01:50:38.537 --> 01:50:41.119]  And we have to get better at doing what we're doing.
[01:50:41.620 --> 01:50:43.862]  We have to get much more
[01:50:44.682 --> 01:50:47.785]  In tune with everything happening around us.
[01:50:48.225 --> 01:50:54.530]  So, you know, one point I wanted to make, you brought up the military and I'm sure you've covered this.
[01:50:55.210 --> 01:51:01.475]  If you look at what Barack Obama has done by getting rid of all of the senior military officers,
[01:51:02.336 --> 01:51:05.480]  And I believe there is a very, very clear reason why.
[01:51:06.141 --> 01:51:17.874]  If you look at the oath taken by an enlisted member of the service versus the oath taken by an officer in the service, the officers take no oath to the Commander-in-Chief.
[01:51:17.954 --> 01:51:19.256]  It's only to the Constitution.
[01:51:19.756 --> 01:51:22.640]  So to get rid of these senior officers is very important.
[01:51:23.140 --> 01:51:27.205]  If you can bring in your own flunkies, I'll call them, that will do what you want.
[01:51:27.606 --> 01:51:36.376]  So I think it is very telling to me that some of these very, very senior decorated generals and admirals have been expelled from the service.
[01:51:36.396 --> 01:51:37.578]  They're getting rid of combat vets.
[01:51:37.658 --> 01:51:38.979]  I noticed they put a lot of Harvard...
[01:51:39.740 --> 01:51:42.541]  Uh, pencil pushers were never in combat as top people.
[01:51:42.781 --> 01:51:50.345]  Yes, and again, you know, you look at this move that they want to promote taking guns away, Second Amendment rights away from veterans.
[01:51:50.625 --> 01:51:51.665]  Why do you think that is?
[01:51:52.186 --> 01:52:01.370]  You know, I think it's because, well, if you've been to combat, uh, it's probably a pretty, uh, good chance that your ability to defend yourself with a weapon made you pretty proficient at it.
[01:52:01.890 --> 01:52:06.792]  So, don't fall for this thing about that guns are bad and guns kill people.
[01:52:06.832 --> 01:52:07.953]  Bad people kill people.
[01:52:08.653 --> 01:52:15.057]  And, you know, I could lay my weapon on this desk, it'll sit here for into the next millennium and not gonna harm a soul.
[01:52:15.417 --> 01:52:16.818]  It's gonna take an evil heart to do it.
[01:52:17.278 --> 01:52:24.203]  So, this push to get guns, they can't get the guns, you know, you've seen the DHS buying more ammunition than the military has.
[01:52:24.503 --> 01:52:29.366]  What could that possibly be for, if not to possibly be used against us?
[01:52:30.026 --> 01:52:33.769]  Oh, they admit that's what it's for, and it's so creepy that it's all happening
[01:52:34.469 --> 01:52:37.430]  And we just see it progressing and it gets crazier by the minute.
[01:52:37.991 --> 01:52:47.735]  I just hope that the bureaucrats up there and the socialist professors that think they're running this show, I hope they realize if they actually start this, they're not going to win it.
[01:52:47.815 --> 01:52:49.015]  And believe me, I don't want it to start.
[01:52:49.055 --> 01:52:50.956]  I don't have any delusions of grandeur.
[01:52:51.076 --> 01:52:55.398]  I just don't think they are really tuned in to what a true civil war in this country is going to look like.
[01:52:57.806 --> 01:53:04.171]  Americans are, we're a unique bunch because when you say American, what do you think about?
[01:53:04.191 --> 01:53:05.792]  Do you think about a particular color?
[01:53:06.012 --> 01:53:06.172]  No.
[01:53:06.513 --> 01:53:07.894]  You think about an ideology.
[01:53:08.334 --> 01:53:12.998]  We're a people from everywhere that have come here and call this place home.
[01:53:13.658 --> 01:53:15.880]  And so we're pretty protective of this place.
[01:53:16.540 --> 01:53:20.444]  And the thing that holds it all together is our founding documents.
[01:53:20.884 --> 01:53:25.468]  And that is why we must do everything necessary to protect those documents.
[01:53:25.808 --> 01:53:33.334]  And anybody who steps into office who does not uphold that oath that they take, that needs to be a criminal offense.
[01:53:33.795 --> 01:53:36.497]  Because it's bait and switch, and it's the most dangerous kind.
[01:53:36.977 --> 01:53:37.518]  Absolutely.
[01:53:37.558 --> 01:53:40.141]  Let's go to calls the next six minutes and five more minutes with our guest.
[01:53:40.402 --> 01:53:42.544]  Then we're going to have Ted Nugent on at 8 after next hour.
[01:53:42.885 --> 01:53:43.566]  He's impressive.
[01:53:43.626 --> 01:53:44.246]  Carl Pittman.
[01:53:44.266 --> 01:53:46.209]  He needs to be on cable news.
[01:53:46.609 --> 01:53:48.051]  He needs to get financial support.
[01:53:48.071 --> 01:53:49.153]  We need to put him in as sheriff.
[01:53:49.513 --> 01:53:50.875]  You want to fight the new world order, folks?
[01:53:50.895 --> 01:53:52.457]  You've got to get down in the trenches.
[01:53:52.877 --> 01:53:54.479]  Getting this guy elected as sheriff over
[01:53:55.000 --> 01:53:56.481]  Harris County is a big win.
[01:53:56.501 --> 01:54:05.787]  That's four plus million people that'll have a constitutionalist in there and not a bunch of crazy totalitarians because Battleground Texas, the left, is trying to take Houston over right now.
[01:54:06.267 --> 01:54:07.688]  And I mean, they mean business, folks.
[01:54:08.469 --> 01:54:11.290]  Let's go ahead and I don't know who to go to first here.
[01:54:12.231 --> 01:54:13.072]  Let's go to Ned.
[01:54:13.692 --> 01:54:14.553]  Ned, you're on the air.
[01:54:14.593 --> 01:54:14.933]  Go ahead.
[01:54:16.434 --> 01:54:19.157]  Yeah, I just want to applaud Sheriff Pittman.
[01:54:19.217 --> 01:54:22.801]  I think that he epitomizes what all sheriffs should be like.
[01:54:23.703 --> 01:54:30.130]  I live here in FEMA Region 10, Southern Oregon, and we've got a new black sheriff here who is really good, too.
[01:54:32.994 --> 01:54:33.214]  I don't
[01:54:50.086 --> 01:54:56.711]  Through the legislature saying that everybody here in this state has to register with the federal government.
[01:54:56.731 --> 01:55:02.836]  Yeah, no, that's so they can come after, exactly, even though it's not a law, it's constitutional, so they can have a persecution of gun owners.
[01:55:03.776 --> 01:55:04.237]  That's right.
[01:55:04.317 --> 01:55:05.518]  And it's also ammunition.
[01:55:05.678 --> 01:55:07.059]  They're doing the ammunition thing, too.
[01:55:07.239 --> 01:55:08.480]  I know, they're coming for the guns.
[01:55:08.880 --> 01:55:11.842]  How about this, Deputy Pittman?
[01:55:12.283 --> 01:55:19.228]  They came out and announced, as you know, outside of law, they're going to apply this algorithm that the VA has to everybody on Social Security that
[01:55:19.708 --> 01:55:28.417]  And the FBI said, if you're getting your check wired to you, that means you're financially inept, and so you're going to be declared inept and lose your guns.
[01:55:28.477 --> 01:55:29.378]  I mean, that's crazy!
[01:55:29.618 --> 01:55:40.269]  Well, you know, that example played out here in the United States not too long ago, and strangely enough, in support of exactly what I'm talking about, the sheriff of that county
[01:55:41.030 --> 01:55:44.052]  With others, stood and protected that veteran's right.
[01:55:44.232 --> 01:55:45.233]  That was in Oregon, too.
[01:55:45.273 --> 01:55:46.574]  No, Washington, yeah.
[01:55:46.634 --> 01:55:48.235]  And so that's just important.
[01:55:48.255 --> 01:55:50.197]  It goes to tell you all the things we're worried about.
[01:55:50.657 --> 01:55:58.083]  If we can truly get good constitutional sheriffs in as many counties in the United States as we can, we can stop a lot of these government overreaches.
[01:55:58.223 --> 01:55:58.483]  Sure.
[01:55:58.743 --> 01:55:59.884]  We always hear about a police state.
[01:56:00.525 --> 01:56:03.066]  It's aimed at everybody just to collect revenue and all the rest of it.
[01:56:03.086 --> 01:56:03.667]  I'm against that.
[01:56:04.027 --> 01:56:05.148]  But that's not the average cop.
[01:56:05.808 --> 01:56:07.570]  I'm surprised people haven't
[01:56:08.786 --> 01:56:14.670]  I'm surprised the police response and their restraint not going after people on radio saying it's time to go out and kill cops.
[01:56:15.750 --> 01:56:22.234]  I mean, if somebody said something about my family or my crew, go out and kill them, I would start, I would have trouble controlling myself.
[01:56:22.435 --> 01:56:26.357]  Well, but that's why we are professional law enforcement officers.
[01:56:26.477 --> 01:56:27.298]  If we go out
[01:56:27.918 --> 01:56:28.038]  Sure.
[01:56:44.934 --> 01:57:01.267]  If you decide that you want to engage yourself in a conflict with law enforcement in this country, and I can tell you, when elected sheriff of Harris County, if you decide that that's what you want to do in Harris County, and I truly hope you don't, we're going to make it an absolute point that you lose.
[01:57:02.088 --> 01:57:09.053]  Well, I mean, Louis Faircom, we're talking about him on the show, and I don't want to get in a fight with him, but some of these other groups, they talk about having a war and, like, winning.
[01:57:09.393 --> 01:57:10.293]  Nobody's going to win this.
[01:57:10.313 --> 01:57:11.114]  It's going to be horrible.
[01:57:11.294 --> 01:57:25.423]  Yes, yes, we don't need that, but there are some people that are, they have a foregone conclusion that they are trying to push this thing to some sort of armed conflict, and that's a dangerous thing for everybody involved.
[01:57:25.543 --> 01:57:27.184]  That's because they're politically not going to win.
[01:57:27.224 --> 01:57:28.404]  They want to turn over the chessboard.
[01:57:28.764 --> 01:57:31.145]  Let's talk to Brandon.
[01:57:31.565 --> 01:57:33.426]  Brandon, what state are you calling in from?
[01:57:34.567 --> 01:57:35.187]  Virginia.
[01:57:35.727 --> 01:57:36.307]  Go ahead, sir.
[01:57:36.327 --> 01:57:36.687]  You're on the air.
[01:57:36.707 --> 01:57:38.188]  We've got about a minute and a half in this segment.
[01:57:38.588 --> 01:57:40.109]  All right.
[01:57:40.229 --> 01:57:49.272]  I wanted to start by getting Senior Deputy Pittman to give his take on urban warfare drills.
[01:57:49.852 --> 01:57:53.354]  It seems like up here in Richmond that they happen almost every week.
[01:57:54.412 --> 01:57:58.475]  These drills are just, they're normal people that'll be the enemy.
[01:57:58.595 --> 01:58:01.757]  Whether it's pro-life or 9-11 truth, there's people protesting.
[01:58:01.897 --> 01:58:03.298]  You're saying you're a Marine Reservist.
[01:58:03.358 --> 01:58:04.118]  I see that on screen.
[01:58:04.138 --> 01:58:08.301]  We have it in the news that they are training to take on veterans and gun owners.
[01:58:08.341 --> 01:58:09.702]  They have the Marines training for that.
[01:58:09.762 --> 01:58:10.442]  I have video of it.
[01:58:10.942 --> 01:58:11.543]  Thank you for the call.
[01:58:11.563 --> 01:58:12.223]  It's a great question.
[01:58:12.263 --> 01:58:16.326]  What do you make of this open buildup, you alluded to it earlier, for war with veterans?
[01:58:17.126 --> 01:58:20.909]  Well, you know, I like to believe that I can speak only for myself.
[01:58:21.870 --> 01:58:25.973]  That oath I took many years ago to protect and defend the Constitution means just that.
[01:58:26.113 --> 01:58:28.415]  Did not die when I left the Marine Corps.
[01:58:29.136 --> 01:58:33.099]  And it is very similar to the oath that I took when I came into law enforcement.
[01:58:33.139 --> 01:58:38.643]  So, you know, I'm not going to tell you that there might not be some officers out there that would behave badly.
[01:58:38.683 --> 01:58:41.185]  I'm not going to tell you there might not be some members of the military.
[01:58:41.485 --> 01:58:44.948]  But I have a lot of faith in the folks that... Absolutely.
[01:58:45.328 --> 01:58:46.109]  ...that they'll do the right thing.
[01:58:46.169 --> 01:58:48.472]  I think it's going to backlash if they order gun confiscation.
[01:58:48.532 --> 01:58:52.398]  I think it's going to be big because those refusals and Katrina to do it, we've never heard about it.
[01:58:52.438 --> 01:58:53.420]  We'll be back in 70 seconds.
[01:58:53.440 --> 01:58:55.443]  Visit GCNlive.com today.
[01:58:59.517 --> 01:59:04.518]  Introducing Secret 12, the new InfoWarsLife vitamin B12 formulation.
[01:59:04.658 --> 01:59:10.520]  Secret 12 is a binary of nutrimedical grade bioavailable coenzyme forms of B12.
[01:59:10.760 --> 01:59:15.361]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[01:59:15.561 --> 01:59:18.862]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[01:59:19.122 --> 01:59:20.942]  No needles, no injections.
[01:59:21.102 --> 01:59:26.223]  Secure your revolutionary Secret 12 formula right now at InfoWarsLife.com or call 888-253-3139.
[01:59:29.464 --> 01:59:33.665]  Used since before the days of the Roman Empire to support the body's natural systems.
[01:59:33.845 --> 01:59:37.806]  Introducing the new Infowarslife.com oil of oregano formulation.
[01:59:37.986 --> 01:59:42.767]  We have now procured the most high quality and potent forms of oregano oil on the market.
[01:59:42.927 --> 01:59:47.448]  Extracted directly from the wild herb and sealed in easy to use capsules.
[01:59:47.588 --> 01:59:50.908]  You will no longer need to endure the burning of liquid oregano on the tongue.
[01:59:51.068 --> 01:59:54.409]  Now available in our limited first run at Infowarslife.com.
[01:59:54.529 --> 01:59:56.349]  That's Infowarslife.com or call 888-253-3139.
[02:00:01.477 --> 02:00:04.083]  You're listening to The Alex Jones Show!
[02:00:15.478 --> 02:00:16.119]  Big Brother.
[02:00:16.779 --> 02:00:17.800]  Mainstream media.
[02:00:18.561 --> 02:00:19.642]  Government cover-ups.
[02:00:20.302 --> 02:00:21.123]  You want answers?
[02:00:21.904 --> 02:00:22.805]  Well, so does he.
[02:00:23.445 --> 02:00:27.108]  He's Alex Jones on the GCN Radio Network.
[02:00:27.649 --> 02:00:31.693]  And now, live from Austin, Texas, Alex Jones.
[02:00:34.176 --> 02:00:35.797]  Final segment with Karl Pittman.
[02:00:36.237 --> 02:00:37.578]  Karl4Sheriff.com.
[02:00:37.838 --> 02:00:42.640]  If you don't support him, even if it's $10, $20 donation around the country, you're insane.
[02:00:43.401 --> 02:00:45.862]  And if you live in the Houston area and you don't support him, I don't know.
[02:00:46.222 --> 02:00:47.243]  People always want to do something.
[02:00:47.303 --> 02:00:50.444]  It's a war, folks, against organized evil.
[02:00:50.885 --> 02:00:52.525]  And we have to get good people elected.
[02:00:53.846 --> 02:01:02.215]  We are taking phone calls here in this last five minutes, and Ted Nugent, a friend of the Sheriff's Deputy, is going to be joining us, just showing all the great folks that are endorsing him.
[02:01:03.016 --> 02:01:06.399]  Let's go ahead and talk to Kevin in California.
[02:01:06.419 --> 02:01:07.020]  You're on the air.
[02:01:07.060 --> 02:01:07.701]  Thanks for calling.
[02:01:09.677 --> 02:01:11.159]  Hey Alex, how you doing?
[02:01:11.179 --> 02:01:11.539]  Props.
[02:01:11.999 --> 02:01:14.522]  Hey listen, much respect for you both of you.
[02:01:14.542 --> 02:01:15.723]  You're both hard chargers.
[02:01:17.524 --> 02:01:19.026]  Mr. Pittman, I have a question for you.
[02:01:19.046 --> 02:01:29.956]  I'm in Los Angeles County and unfortunately I'm with Oath Keepers and I'm also with the CSPOA and I've gone out here and I've talked to the sheriff's out here and I do not get an answer.
[02:01:31.520 --> 02:01:41.106]  To the effect that I'm looking for, I'm getting a no on that they will follow the Constitution in California at this location.
[02:01:41.166 --> 02:01:42.306]  Well, you're not in America.
[02:01:42.366 --> 02:01:42.967]  I mean, L.A.
[02:01:43.027 --> 02:01:43.807]  is not America.
[02:01:44.527 --> 02:01:46.629]  Might as well be Moscow in the 70s, but yeah, go ahead.
[02:01:48.143 --> 02:02:07.717]  I understand that, and I also, you know, being with the Oath Keepers, you know, I served in the United States Marine Corps, and when I separated from the Marine Corps under medical conditions, I did not hand over my oath and say that I was going to give that back.
[02:02:07.737 --> 02:02:08.197]  Absolutely.
[02:02:08.218 --> 02:02:16.924]  I hold that oath to the date, and I'm in uniform right now working on the borders between Nogales and Naco.
[02:02:17.805 --> 02:02:23.807]  As an Oath Keeper, and I get all good signs from the sheriffs that I work with down there.
[02:02:23.827 --> 02:02:28.849]  Sheriff Ohio, Sheriff Bayview, everybody's giving us good, even the Sheriff of Cochise County.
[02:02:28.869 --> 02:02:32.670]  Well they admit half Arizona's under Mexican control now with the Narcos.
[02:02:32.690 --> 02:02:33.311]  Thank you for the call.
[02:02:33.351 --> 02:02:35.791]  I want to give Sheriff's Deputy a chance to respond.
[02:02:35.831 --> 02:02:37.012]  What is your view of the Oath Keepers?
[02:02:37.512 --> 02:02:52.883]  Well, again, anyone who has taken that oath and is going to follow it, more importantly, we can absolutely not participate in any action in violation of the Constitution against the citizens of this nation.
[02:02:53.224 --> 02:02:53.624]  Period.
[02:02:53.944 --> 02:02:59.969]  There are no what-ifs, there's no buts, but we just can't do that because every time we start to negotiate
[02:03:00.729 --> 02:03:02.991]  Those things away, we'd lose more and more.
[02:03:03.291 --> 02:03:05.953]  So I commend Oath Keepers for doing that.
[02:03:06.874 --> 02:03:11.258]  I'm not a member of Oath Keepers, but I am an Oath Keeper also because it's my oath.
[02:03:11.338 --> 02:03:17.023]  I am a member of the Constitutional Sheriffs and Peace Officers Association that was founded by my good friend Richard Mack.
[02:03:17.683 --> 02:03:22.226]  Absolutely, and again, we're doing Facebook mentions right now, some behind-the-scenes stuff coming up here in a moment.
[02:03:22.527 --> 02:03:25.849]  Carl Pittman, carl4sheriff.com, running down in Harris County.
[02:03:26.149 --> 02:03:29.091]  Four and a half million people in the county, not just counting the city.
[02:03:29.351 --> 02:03:33.074]  So the county's the fifth largest jurisdiction of people in the United States.
[02:03:33.134 --> 02:03:36.997]  Really exciting to see constitutionalists running and winning across the country.
[02:03:37.757 --> 02:03:40.379]  I want to jam in one quick call from Robert in Missouri.
[02:03:41.240 --> 02:03:44.202]  Real quick, what's your point, sir, and we'll get the Sheriff's Deputy's response.
[02:03:45.638 --> 02:03:47.700]  Well yeah, I'm a former Marine too.
[02:03:47.740 --> 02:03:54.604]  I was locked and loaded on a 5-ton at Camp Las Folgas when the whole Rodney King went down at Camp Pendleton there.
[02:03:55.925 --> 02:03:58.968]  I live a stone's throw from Ferguson.
[02:03:59.008 --> 02:03:59.548]  I'm here in St.
[02:03:59.588 --> 02:03:59.848]  Louis.
[02:04:00.208 --> 02:04:00.929]  They've stripped
[02:04:01.229 --> 02:04:03.812]  The sheriffs in my area of their powers.
[02:04:03.872 --> 02:04:05.814]  Now you have police chiefs in both St.
[02:04:05.874 --> 02:04:06.675]  Louis County.
[02:04:06.715 --> 02:04:07.896]  That's a great final question.
[02:04:07.916 --> 02:04:09.518]  Hate to cut you off, but I gotta get a response.
[02:04:09.758 --> 02:04:14.243]  What about this federal globalist move to get rid of sheriffs and merge the departments?
[02:04:14.563 --> 02:04:17.847]  How do you get rid of a state charter that the sheriff selected?
[02:04:17.887 --> 02:04:18.648]  I mean, that's insane.
[02:04:18.928 --> 02:04:24.635]  Well, the only way that's going to happen is the legislators in your state have allowed this to happen.
[02:04:25.215 --> 02:04:26.336]  That is the simple answer.
[02:04:26.957 --> 02:04:33.404]  The sheriff here in Texas is a constitutional office, which means it is required to exist by our state constitution.
[02:04:34.005 --> 02:04:38.291]  Yeah, whatever, but I tell you what will happen.
[02:04:38.671 --> 02:04:45.760]  Again, we're watching this continued erosion of our country and there are people that have some bad intentions for us.
[02:04:45.800 --> 02:04:49.205]  Well, it's like TPP and all these globalist treaties that circumvent Congress.
[02:04:49.605 --> 02:04:51.908]  You get rid of the sheriff, get rid of the governor, get rid of Congress.
[02:04:52.188 --> 02:04:53.810]  Just make George Soros God.
[02:04:54.311 --> 02:04:56.874]  Sheriff, I'm going to be supporting you for winning that.
[02:04:56.994 --> 02:04:57.534]  Great job.
[02:04:57.574 --> 02:04:58.155]  God bless you.
[02:04:58.275 --> 02:04:58.475]  Yes, sir.
[02:04:58.496 --> 02:04:58.756]  God bless you.
[02:04:58.776 --> 02:05:01.139]  We got your buddy Ted Nugent coming up here in just a moment.
[02:05:01.479 --> 02:05:02.500]  So thank you so much.
[02:05:02.520 --> 02:05:02.881]  Thank you.
[02:05:02.981 --> 02:05:04.382]  He's too busy to even stay and have lunch.
[02:05:04.402 --> 02:05:07.206]  Well, he's going to run back to work down in Houston.
[02:05:07.446 --> 02:05:08.027]  We'll be right back.
[02:05:09.671 --> 02:05:14.674]  Over the Labor Day weekend, we had reports of 8 being killed and 46 being wounded.
[02:05:15.094 --> 02:05:19.096]  July 4th of this year, we had reports of 9 dead and 53 wounded.
[02:05:19.596 --> 02:05:25.479]  And let us not forget, July 4th of last year, we had reports of 14 killed and 82 shot.
[02:05:26.000 --> 02:05:27.880]  And these are not nationwide stats.
[02:05:28.401 --> 02:05:31.002]  All of these numbers come from the city of Chicago.
[02:05:31.422 --> 02:05:34.384]  The city with some of the strictest gun laws in the nation.
[02:05:34.884 --> 02:05:39.610]  Which is to say, if criminals expect you to be unarmed, they're more likely to attack you.
[02:05:40.031 --> 02:05:44.297]  Not to mention the fact that much of this violence is linked to gangs or drug activity.
[02:05:44.797 --> 02:05:51.646]  Meaning that for all the gun buybacks and anti-gun commercials, criminals just haven't decided to turn in their firearms.
[02:05:52.427 --> 02:05:57.233]  And I understand that police have many responsibilities and they can't be every place at once.
[02:05:57.573 --> 02:06:01.477]  But that's why you have a Second Amendment so you'll be able to protect yourself.
[02:06:02.018 --> 02:06:05.562]  You can find more reports on InfoWars.com
[02:06:09.432 --> 02:06:16.358]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[02:06:16.638 --> 02:06:26.066]  At InfoWarsLife, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[02:06:26.327 --> 02:06:31.271]  Now, InfoWarsLife.com has taken colloidal silver to the next level using a cutting-edge technique
[02:06:31.451 --> 02:06:32.272]  We're good to go!
[02:06:57.654 --> 02:07:00.656]  Exclusively available at Infowarslife.com.
[02:07:00.716 --> 02:07:08.041]  Secure your silver bullet today at Infowarslife.com or by calling toll free 888-253-3139.
[02:07:08.962 --> 02:07:17.968]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
