[00:00:08.140 --> 00:00:09.542]  Bilderberg, 2015.
[01:27:43.552 --> 01:27:46.194]  And there were times where I had to really school some people.
[01:27:46.194 --> 01:27:50.017]  You know, this one kid I asked, I said, do you think elite's meeting in secret is good?
[01:27:50.017 --> 01:27:50.738]  He goes, secret?
[01:27:50.738 --> 01:27:51.038]  Good.
[01:27:51.038 --> 01:27:52.680]  I'm like, no, it's not good.
[01:27:52.680 --> 01:27:53.540]  And I had to explain to him why.
[01:27:53.540 --> 01:27:55.502]  He probably meant, he thought you meant privacy.
[01:27:57.765 --> 01:27:59.306]  No, I think, I think he understood.
[01:27:59.306 --> 01:28:02.709]  I think he, I think he understood because we talked a little bit before that.
[01:28:02.709 --> 01:28:08.514]  And it was, it was just these, some of these people really had no idea what was going on Bilderberg wise, but they'd gone through the checkpoints.
[01:28:08.514 --> 01:28:11.456]  They just didn't know what it was about, but there were a few people that were awake.
[01:28:11.456 --> 01:28:13.878]  There was a guy wearing a Wu-Tang Clan t-shirt.
[01:28:13.878 --> 01:28:16.100]  It was very outspoken against them.
[01:28:16.100 --> 01:28:18.301]  And, uh, you know, just his bravado.
[01:28:18.301 --> 01:28:22.625]  I just admired that it, you know, these people aren't going to just sit down and take it.
[01:28:23.200 --> 01:28:24.321]  And you know, I encourage them.
[01:28:24.321 --> 01:28:26.303]  Go out, talk to your friends about this.
[01:28:26.303 --> 01:28:28.405]  Get some people organized.
[01:28:28.405 --> 01:28:29.866]  There's going to be a protest here this weekend.
[01:28:29.866 --> 01:28:30.687]  Be part of it.
[01:28:30.687 --> 01:28:43.960]  I wonder if what we saw, the locals in Switzerland actually lit torches like something out of a Frankenstein novel and marched up to the castle and then suddenly helicopters were taking off and the elite, a bunch of them left a half day early.
[01:28:43.960 --> 01:28:47.323]  And then we had a member of the EU Parliament charge in and get beaten up.
[01:28:47.323 --> 01:28:48.244]  I mean, it's been a circus.
[01:28:51.653 --> 01:28:53.174]  That was in Switzerland.
[01:28:53.174 --> 01:28:53.874]  Yeah, it has been.
[01:28:53.874 --> 01:28:55.734]  And that's the kind of things that need to happen.
[01:28:55.734 --> 01:28:57.555]  That was in St.
[01:28:57.555 --> 01:28:58.455]  Moritz, yeah.
[01:28:58.455 --> 01:29:02.276]  And actually, we posted today an old interview from Jim Tucker.
[01:29:02.276 --> 01:29:06.078]  While we were out filming the locals, I saw this guy walking.
[01:29:06.078 --> 01:29:10.479]  I saw the back of him at first, and I'm like, Josh, I think that's Jim Tucker, just kind of making fun.
[01:29:10.479 --> 01:29:12.820]  But he had the hat on, he was kind of walking the same way.
[01:29:12.820 --> 01:29:16.381]  And then we see him sitting in a restaurant a little bit later, I'm like, just shoot some footage of this guy.
[01:29:17.081 --> 01:29:20.302]  Just the spirit of Jim Tucker was alive here in Bilderberg 2015.
[01:29:20.302 --> 01:29:25.524]  I want to kind of put out a little memorial for him so people know where we've come from.
[01:29:25.524 --> 01:29:39.649]  You know people like Jim Tucker were kind of trailblazing this you know decades ago and now we're following in their footsteps and you know just as you've been doing it for years as well but just really taking that spirit of just standing up and saying hey we're gonna expose what you're doing and we're not gonna back down we're not afraid.
[01:29:40.356 --> 01:29:41.016]  That's it.
[01:29:41.016 --> 01:29:42.537]  You have done well, Rob Du.
[01:29:42.537 --> 01:29:47.559]  We're gonna come back and we're gonna play that clip with Josh of them going after your camera.
[01:29:47.559 --> 01:29:49.700]  We'll talk to Josh Owen straight ahead.
[01:29:49.700 --> 01:29:51.721]  Then we'll cover... We're on the march.
[01:29:51.721 --> 01:29:54.243]  The Empire's on the run.
[01:29:54.243 --> 01:29:56.924]  Alex Jones and the GCN Radio Network.
[01:30:01.152 --> 01:30:11.857]  Former DARPA Director and now Google Executive Regina Dugan will be attending the secretive 2015 Bilderberg Conference this year in Austria.
[01:30:11.857 --> 01:30:21.061]  Dugan, who is helping to develop and promote the idea of implantable microchips, will be there to head up the discussion on artificial intelligence.
[01:30:21.061 --> 01:30:25.462]  Regina Dugan is also an advocate for ingestible microchips.
[01:30:25.462 --> 01:30:28.804]  That's right, tiny microchips inside little pills.
[01:30:29.324 --> 01:30:35.990]  That users would swallow daily in order to obtain what Dugan describes as superpowers.
[01:30:35.990 --> 01:30:45.717]  By having your entire body act as a biological authentication system for cell phones, cars, door locks, and other devices.
[01:30:45.717 --> 01:30:52.043]  And she is quick to point out that these microchip pills have already been approved by the FDA.
[01:30:52.043 --> 01:30:58.468]  For the complete list of this year's Bilderberg attendees, be sure to check out InfoWars.com.
[01:31:00.862 --> 01:31:06.003]  Introducing Secret 12, the new InfoWars Life Vitamin B12 formulation.
[01:31:06.003 --> 01:31:12.125]  Secret 12 is a binary of nutrimedical grade, bioavailable, coenzyme forms of B12.
[01:31:12.125 --> 01:31:16.906]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[01:31:16.906 --> 01:31:20.467]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[01:31:20.467 --> 01:31:22.047]  No needles, no injections.
[01:31:22.447 --> 01:31:27.852]  Secure your revolutionary secret 12 formula right now at Infowarslife.com or call 888-253-3139.
[01:31:27.852 --> 01:31:29.333]  Alex Jones here.
[01:31:29.333 --> 01:31:40.722]  For the last two years, I've been working with top doctors, nutritionists, and chemists to design a nutraceutical formulation that has truly life-changing health benefits.
[01:31:41.002 --> 01:31:44.823]  Introducing the all-new Ancient Defense Herbal Immunity Blend.
[01:31:44.823 --> 01:31:53.125]  Experience the benefits of combining over 14 ancient herbs and extracts with exciting new advances in nutraceutical science.
[01:31:53.125 --> 01:31:55.926]  Visit Infowarslife.com or call 1-888-253-3139.
[01:31:55.926 --> 01:31:56.906]  That's Infowarslife.com.
[01:32:00.444 --> 01:32:01.384]  Hey, how you doing, Alex?
[01:32:01.384 --> 01:32:01.944]  Good, brother.
[01:32:01.944 --> 01:32:03.905]  Just recently started using your products.
[01:32:03.905 --> 01:32:05.606]  Everything you said about them is correct.
[01:32:05.606 --> 01:32:09.647]  Me and my wife both use a lot of them, and it's made a lot of changes in our lives here.
[01:32:09.647 --> 01:32:12.268]  Well, thank you, brother, because it also funds our operation.
[01:32:12.268 --> 01:32:14.688]  But doing that, I know I've got to have the highest quality.
[01:32:14.688 --> 01:32:16.729]  Super Mill Vitality was developed.
[01:32:16.989 --> 01:32:22.812]  To activate your body's own natural processes instead of using synthetic chemicals.
[01:32:22.812 --> 01:32:26.114]  We do the super male and the super female vitality.
[01:32:26.114 --> 01:32:27.635]  Big changes, a lot of energy.
[01:32:27.635 --> 01:32:30.556]  We've gotten off the cheap energy drinks, energy shots.
[01:32:30.556 --> 01:32:32.337]  Saving a ton of money there.
[01:32:32.337 --> 01:32:34.779]  Sourced from powerful organic herbs.
[01:32:35.299 --> 01:32:35.920]  I don't know.
[01:33:14.884 --> 01:33:21.756]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[01:33:21.756 --> 01:33:23.379]  It's Alex Jones.
[01:33:48.214 --> 01:33:49.894]  Made in America!
[01:33:49.894 --> 01:33:56.255]  Rock and Rolla!
[01:33:56.255 --> 01:33:58.096]  Monday through Friday from 11 a.m.
[01:33:58.096 --> 01:33:58.636]  to 2 p.m.
[01:33:58.636 --> 01:34:00.176]  We're here broadcasting worldwide.
[01:34:00.176 --> 01:34:09.098]  I want to go back to our intrepid reporters.
[01:34:09.098 --> 01:34:11.858]  You know, I get irritating.
[01:34:11.858 --> 01:34:15.539]  I irritate the crew sometimes and I can be irritable.
[01:34:17.659 --> 01:34:24.224]  And sometimes I do little snappish things on air, and that's because that's really how I am.
[01:34:24.224 --> 01:34:30.388]  I mean, when I blow up on air, that's real.
[01:34:30.388 --> 01:34:38.053]  And I've been psychoanalyzing this week why I have been in a controlled rage.
[01:34:38.053 --> 01:34:45.579]  And it makes me even sicker that the globalists are now out in the open, they're openly funding Al Qaeda,
[01:34:47.173 --> 01:34:54.416]  It's come out they're funding him to commit all these serious war crimes.
[01:34:54.416 --> 01:34:59.658]  And then I see comments in the news like, well, we've got to do what we've got to do to take out Assad.
[01:34:59.658 --> 01:35:02.739]  Like being Machiavellian is cool.
[01:35:02.739 --> 01:35:08.281]  And to see the weak public and the weak sellout prestitutes, Gerald Salente's term, he's coming up.
[01:35:10.384 --> 01:35:17.046]  To sit back in real politic with the general public and go, yeah, you gotta work on the dark side sometimes.
[01:35:17.046 --> 01:35:20.667]  Yeah, you gotta do really evil things for the greater good.
[01:35:20.667 --> 01:35:26.188]  It makes me want to slap them upside the head.
[01:35:26.188 --> 01:35:27.669]  They haven't studied history.
[01:35:27.669 --> 01:35:29.869]  They don't know how evil works.
[01:35:29.869 --> 01:35:31.010]  They are fools.
[01:35:31.010 --> 01:35:34.071]  They are destroying their prosperity.
[01:35:34.071 --> 01:35:38.852]  And I'll tell you, it's all these soft novices.
[01:35:40.316 --> 01:35:45.637]  Spoiled, entitled babies of every race, color, creed, and religion.
[01:35:45.637 --> 01:35:50.539]  Who feel entitled to everything.
[01:35:50.539 --> 01:35:52.819]  They want to play with evil.
[01:35:52.819 --> 01:35:56.340]  They think it's fun new tricks they've just discovered.
[01:35:56.340 --> 01:35:59.601]  It's not new, it's as old as the hills.
[01:35:59.601 --> 01:36:09.064]  And it leads to... Last century, government killed 262 million people according to the University of Hawaii at Honolulu.
[01:36:11.889 --> 01:36:12.930]  Democide.
[01:36:12.930 --> 01:36:15.753]  Non-military related deaths.
[01:36:15.753 --> 01:36:17.134]  Wars killed probably 500 plus million.
[01:36:17.134 --> 01:36:17.594]  Soldiers.
[01:36:17.594 --> 01:36:19.997]  262 million people.
[01:36:28.420 --> 01:36:30.542]  And it was most of the time the same.
[01:36:30.542 --> 01:36:34.885]  Societies that were somewhat industrialized or agrarian, everything was happy.
[01:36:34.885 --> 01:36:35.885]  Everybody's doing good.
[01:36:35.885 --> 01:36:37.626]  They let corrupt people get in.
[01:36:37.626 --> 01:36:38.607]  They want to expand.
[01:36:38.607 --> 01:36:39.548]  They want to raise taxes.
[01:36:39.548 --> 01:36:40.789]  They want to take freedom.
[01:36:40.789 --> 01:36:42.330]  They want to invade a neighbor.
[01:36:42.330 --> 01:36:44.531]  Pretty soon, folks are in forced labor camps.
[01:36:44.531 --> 01:36:47.333]  Black uniforms are everywhere.
[01:36:47.333 --> 01:36:48.954]  Spies are on the street corners.
[01:36:48.954 --> 01:36:50.535]  And the criminals take over.
[01:36:50.535 --> 01:36:52.376]  And then the prosperity goes down the drain.
[01:36:53.857 --> 01:37:04.905]  You've got to sit there scared while a guy in a black uniform is at your house, taking your 18-year-old daughter out on a date, lecturing, you know, to the 50-year-old parents about how the cow ate the cabbage.
[01:37:04.905 --> 01:37:07.567]  I mean, this is what happens in totalitarian places.
[01:37:07.567 --> 01:37:22.357]  All the nobodies, all the scum, all the filth, all the trash, just running everything, having their way with us, piling on greater men, piling on greater women, robbing art, directing the culture.
[01:37:24.358 --> 01:37:29.400]  Excellent movie based on a best-selling non-fiction book, The Lives of Others.
[01:37:29.400 --> 01:37:48.528]  About the true story of a Stasi sergeant, basically, who's over teams spying on people and watching people commit suicide and stuff.
[01:37:50.711 --> 01:38:08.277]  The playwrights, the artists being dominated by these fascist so-called leftists, and then demanding the starlets have sex with the, you know, communist bureau who's over the media, and just seeing the dehumanization, the opposite of a free market.
[01:38:09.141 --> 01:38:16.424]  Where just because you're Joe Stalin or Adolf Hitler or Mao Zedong, you get to play God.
[01:38:16.424 --> 01:38:17.564]  No, no, no!
[01:38:17.564 --> 01:38:19.785]  You will not take over!
[01:38:23.837 --> 01:38:25.799]  And they couldn't conquer this republic.
[01:38:25.799 --> 01:38:28.341]  They couldn't conquer America even though we had our problems.
[01:38:28.341 --> 01:38:31.723]  We were still hardcore freedom-based and that was spreading worldwide.
[01:38:31.723 --> 01:38:38.148]  So they jacked the water with super doses of hardcore chemical warfare.
[01:38:38.148 --> 01:38:41.011]  And they put in the baking products
[01:38:45.731 --> 01:38:50.253]  The powdered eggs, on average, have 300 parts per million.
[01:38:50.253 --> 01:38:54.155]  I remember I'd go to summer camp sometimes at a Christian camp that had powdered eggs, and I never threw up.
[01:38:54.155 --> 01:38:55.675]  I had an iron stomach.
[01:38:55.675 --> 01:39:00.537]  I still do.
[01:39:00.537 --> 01:39:05.259]  And I remember they'd serve powdered eggs, and I remember telling my dad the next year, I go, I've been there two years, and I don't want to go back to that camp.
[01:39:05.259 --> 01:39:07.700]  I throw up my breakfast, the powdered eggs.
[01:39:07.700 --> 01:39:09.541]  My body was like, what on earth?
[01:39:09.541 --> 01:39:10.822]  But a few times I held them down.
[01:39:12.082 --> 01:39:22.204]  And I remember as a kid, I remember drinking a big glass of tap water and getting a headache and feeling sick.
[01:39:22.204 --> 01:39:24.425]  Didn't even know to ask for bottled or filtered water.
[01:39:24.425 --> 01:39:29.726]  And there I was, having my IQ reduced by at least 10 points.
[01:39:29.726 --> 01:39:30.526]  Look at the Harvard study.
[01:39:30.526 --> 01:39:34.007]  I mean, my dad was top of his class.
[01:39:34.007 --> 01:39:38.568]  He was salutatorian because he played football, too, and sports, and enough time to be valedictorian.
[01:39:38.568 --> 01:39:40.028]  And then they did testing in the state.
[01:39:41.287 --> 01:39:43.148]  160 top smartest overall.
[01:39:43.148 --> 01:39:47.188]  They sent him to UT when he was a junior in high school.
[01:39:47.188 --> 01:39:49.849]  My dad, mathematically in other ways, is way smarter than me.
[01:39:49.849 --> 01:39:51.670]  Because he didn't grow up drinking fluoride, folks.
[01:39:51.670 --> 01:39:56.471]  I am a brain damaged person.
[01:39:56.471 --> 01:39:59.391]  Thanks a lot.
[01:39:59.391 --> 01:40:01.712]  My mom and her parents are just as smart as my dad's family.
[01:40:04.312 --> 01:40:11.755]  I mean, I've already had so much stolen from me and so have you by these people that poisoned our water!
[01:40:11.755 --> 01:40:12.775]  They're evil!
[01:40:12.775 --> 01:40:13.875]  Stop them!
[01:40:13.875 --> 01:40:15.296]  Stop them now!
[01:40:15.296 --> 01:40:20.257]  What is people's problem?
[01:40:20.257 --> 01:40:22.358]  And I just used the water example because it's there.
[01:40:22.358 --> 01:40:23.178]  It's admitted.
[01:40:23.178 --> 01:40:24.139]  They know it's deadly.
[01:40:24.139 --> 01:40:24.979]  It's a sick joke.
[01:40:28.463 --> 01:40:35.768]  1.3 parts per million will lower your IQ by 10 points in the Harvard study after six years of drinking it.
[01:40:35.768 --> 01:40:43.593]  What do you think 300 parts per million on average in a lot of products does?
[01:40:43.593 --> 01:40:47.755]  I'm surprised Americans can even wipe their butts.
[01:40:47.755 --> 01:40:53.058]  So we can't get mad at all these brain damaged zombies because we're all walking around under chemical attack.
[01:40:53.058 --> 01:40:55.320]  We'd all notice a big chemical attack
[01:40:56.530 --> 01:40:58.993]  That was, you know, they spray the town, everybody dies.
[01:40:58.993 --> 01:41:00.655]  Flops around like roaches, dying.
[01:41:00.655 --> 01:41:02.377]  They've been sprayed with raid.
[01:41:02.377 --> 01:41:05.881]  No, they just hit us and we kind of wander off and stumble around and, you know.
[01:41:09.638 --> 01:41:18.320]  And yes, they found that the highest fluoride levels, that's an EPA report, 754 parts per million in powdered eggs.
[01:41:18.320 --> 01:41:19.320]  On average, it's 300.
[01:41:19.320 --> 01:41:22.261]  But yeah, see, it's double plus what I said.
[01:41:22.261 --> 01:41:23.822]  Double plus horrible.
[01:41:23.822 --> 01:41:26.842]  That's EPA records, disposition schedule.
[01:41:26.842 --> 01:41:34.584]  This is why the EPA itself, its own scientists, have had a huge rebellion and said, we want it out of the food, we want it out of the water, we want it out of the pesticides.
[01:41:34.584 --> 01:41:35.484]  My God!
[01:41:35.484 --> 01:41:36.285]  And you know why?
[01:41:36.285 --> 01:41:37.765]  Some of these EPA people have testified.
[01:41:38.405 --> 01:41:40.106]  In closed session and it's come out?
[01:41:40.106 --> 01:41:42.147]  They got brain damaged kids, folks!
[01:41:42.147 --> 01:41:44.409]  People don't like having brain damaged kids!
[01:41:44.409 --> 01:41:47.951]  Alright, I'm gonna stop ranting.
[01:41:47.951 --> 01:41:49.131]  I'm gonna go to Josh Owens.
[01:41:49.131 --> 01:41:50.612]  I got a bunch of other news I'm gonna hit.
[01:41:50.612 --> 01:41:54.995]  But, I mean, this is why I blow up, folks.
[01:41:54.995 --> 01:41:58.617]  It's why I feel sorry for anybody that ever punches me or something.
[01:41:58.617 --> 01:42:00.158]  Because I got a lot of rage pent up.
[01:42:01.598 --> 01:42:03.959]  I mean, it's claustrophobic level.
[01:42:03.959 --> 01:42:05.340]  I sit here every day.
[01:42:05.340 --> 01:42:08.121]  Most people want to just go play and party, and I get it.
[01:42:08.121 --> 01:42:10.142]  All work and no play makes Jack a dull boy.
[01:42:10.142 --> 01:42:11.523]  I can't stop.
[01:42:11.523 --> 01:42:19.947]  All I think about is this, because all I do is just watch them run around like a group of satanic monkeys, sabotaging humanity.
[01:42:19.947 --> 01:42:23.249]  And they call themselves royalty.
[01:42:23.249 --> 01:42:27.771]  Some woman who gets paid by the state and is worth trillions of dollars, and her money's a state secret.
[01:42:28.820 --> 01:42:37.544]  And they sued the Associated Press and won because the AP videoed them on a yacht in South America and on jet skis in public.
[01:42:37.544 --> 01:42:42.447]  There's not even a presumption of privacy for these people in public.
[01:42:42.447 --> 01:42:43.427]  But they don't care.
[01:42:43.427 --> 01:42:44.668]  They think they're God.
[01:42:44.668 --> 01:42:45.388]  Well, guess what?
[01:42:45.388 --> 01:42:51.591]  You're not God, whore!
[01:42:51.591 --> 01:42:54.893]  And by whore, I mean drunk on the blood of the innocents is what you are.
[01:42:54.893 --> 01:42:55.333]  All of you.
[01:42:55.333 --> 01:42:56.574]  I'm sick of you.
[01:42:58.610 --> 01:43:02.472]  All you could do to dominate us was dumb us down from birth, poison our food and water.
[01:43:02.472 --> 01:43:04.913]  Well, guess what?
[01:43:04.913 --> 01:43:06.374]  We know about it.
[01:43:06.374 --> 01:43:09.296]  Even in a stunned state, once you're conscious, we're gonna defeat you.
[01:43:11.323 --> 01:43:12.443]  They want us to be like them, too.
[01:43:12.443 --> 01:43:16.264]  Their kids are all so inbred and so screwed up and committing suicide and on drugs.
[01:43:16.264 --> 01:43:21.626]  I mean, these globals will have like six, seven, eight kids trying to get one just to replace them.
[01:43:21.626 --> 01:43:24.327]  They can't even get a good kid out of five or six kids.
[01:43:24.327 --> 01:43:25.667]  You people are cursed!
[01:43:25.667 --> 01:43:27.508]  And you think your curse is on us?
[01:43:27.508 --> 01:43:30.289]  It's going to have any effect with your chemicals and biologicals?
[01:43:30.289 --> 01:43:35.430]  God's going to curse you with stuff that no bunker is going to allow you escape!
[01:43:35.430 --> 01:43:39.011]  Excuse me, let's go to Josh Owens covering Bilderberg 2015 in Austria.
[01:43:39.011 --> 01:43:40.792]  Josh Owens, go ahead.
[01:43:42.465 --> 01:43:44.565]  Hey Alex, Joshua Owens at Forwards.com.
[01:43:44.565 --> 01:43:54.067]  What you were talking about earlier with the cop trying to take my camera, it's on the video on the Alex Jones Channel called the Police Trying to Confiscate a Reporter's Camera.
[01:43:54.067 --> 01:44:05.569]  And when I was there, it was almost a little blip in what happened, but when I went back and re-watched the video, I realized he actually lunged for my camera and I know he hit my hand, but I was in the moment of everything that was going on.
[01:44:05.569 --> 01:44:08.090]  Look at the arrogance in his eyes and in the still image.
[01:44:08.090 --> 01:44:09.450]  I mean, what a joke!
[01:44:10.916 --> 01:44:17.079]  Well yeah, in that moment he was just trying to intimidate us because as soon as I pulled the camera away, he walked off.
[01:44:17.079 --> 01:44:21.741]  He walked off in the back and hid behind this little corner wall and kept saying, we did not call you.
[01:44:21.741 --> 01:44:22.421]  We did not call you.
[01:44:22.421 --> 01:44:24.642]  He was very upset that you... Exactly!
[01:44:24.642 --> 01:44:27.864]  We talk to you, you don't talk to... Hillary, you don't talk to her?
[01:44:27.864 --> 01:44:28.744]  You don't look her in the eye?
[01:44:28.744 --> 01:44:30.305]  That's Bilderberg meeting rules.
[01:44:30.305 --> 01:44:33.927]  You don't look at any of their godly faces.
[01:44:33.927 --> 01:44:34.387]  Sorry, go ahead.
[01:44:35.492 --> 01:44:35.952]  No, exactly.
[01:44:35.952 --> 01:44:43.358]  And I think just speaking from being in Copenhagen last year, I think that might be one of the reasons that they've gone back into hiding in such secluded areas.
[01:44:43.358 --> 01:44:45.580]  Because last year, we were right beside the hotel.
[01:44:45.580 --> 01:44:47.081]  I mean, we could smell the food they were eating.
[01:44:47.081 --> 01:44:48.102]  We were watching them eat.
[01:44:48.102 --> 01:44:49.863]  We were watching them smoke cigars.
[01:44:49.863 --> 01:44:54.006]  And now they've set up a perimeter to where, you know, we might see them.
[01:44:54.006 --> 01:44:54.867]  I'm not sure.
[01:44:54.867 --> 01:44:55.748]  But I think that's a big part of it.
[01:44:55.748 --> 01:44:58.690]  I'm telling you, they're going to have world leaders there at a secret summit or something.
[01:44:58.690 --> 01:44:59.691]  Something big's going on.
[01:45:02.546 --> 01:45:10.278]  Yeah, well, I mean, I think the point, well, last night I was talking to a friend and he said, you know, the reason that the cops freak out on you guys is because you're filming them.
[01:45:10.278 --> 01:45:12.562]  Most reporters don't go through there and film the checkpoints.
[01:45:12.562 --> 01:45:14.966]  They just go through them, get through it.
[01:45:15.493 --> 01:45:16.793]  And everything's fine.
[01:45:16.793 --> 01:45:19.274]  And I was like, yeah, but don't you realize that's the point?
[01:45:19.274 --> 01:45:27.155]  That's the whole reason that we're here is to keep these big, monolithic creatures from growing and spreading.
[01:45:27.155 --> 01:45:30.016]  If someone's not covering it, it just gets worse.
[01:45:30.016 --> 01:45:33.557]  It festers like a sore and then it's out of control.
[01:45:33.557 --> 01:45:38.318]  So obviously they don't freak out on other reporters because they're not filming them.
[01:45:38.318 --> 01:45:41.138]  The ones that do film them, they feel threatened.
[01:45:41.138 --> 01:45:42.899]  Well, that shows the mindset.
[01:45:42.899 --> 01:45:43.739]  Who are you talking to?
[01:45:43.739 --> 01:45:44.279]  Charlie Skelton?
[01:45:45.785 --> 01:45:48.828]  No, no, this was just one of my friends back home.
[01:45:48.828 --> 01:45:51.570]  I want to interview Charlie about what he went through.
[01:45:51.570 --> 01:45:55.773]  He's a really nice, friendly guy, and he gets harassed everywhere he goes, and he stands up to it.
[01:45:55.773 --> 01:46:07.463]  But then you run into other reporters who say, oh, you just ought to not get in Bilderberg's way, as if we're the ones imposing trying to cover this criminal organization, as if we're troublemakers.
[01:46:07.463 --> 01:46:08.004]  But exactly.
[01:46:09.042 --> 01:46:14.249]  People who are selfish minded always think, well why do you go to Bilderberg if you don't want to have this happen?
[01:46:14.249 --> 01:46:18.494]  It's this idea of just submit.
[01:46:18.494 --> 01:46:23.140]  No, we know, or people say, haha the cops rousted you, you're idiots.
[01:46:23.140 --> 01:46:25.062]  No, we know they're going to do that.
[01:46:25.062 --> 01:46:26.865]  We're there to show it's happening.
[01:46:28.749 --> 01:46:35.254]  I mean, it'd be like in World War II, flying a bomber over Germany, and then people write letters back going, uh-huh, I saw newsreels of you getting shot at.
[01:46:35.254 --> 01:46:36.034]  You're an idiot.
[01:46:36.034 --> 01:46:42.399]  As if you didn't know you were going to get shot at, you're there to draw fire, to show what's going on.
[01:46:42.399 --> 01:46:44.520]  Everything is military on the planet.
[01:46:44.520 --> 01:46:45.421]  Business, life.
[01:46:46.475 --> 01:46:55.659]  Absolutely, and people act like it's outrageous or absurd what we do when we cover the police being authoritarian, but you know the big secret is
[01:47:16.772 --> 01:47:20.373]  Everyone right now listening to this, you can pull your phone out and hold it like this.
[01:47:20.373 --> 01:47:21.654]  And that's about the extent of it.
[01:47:21.654 --> 01:47:23.655]  It's not hard to do.
[01:47:23.655 --> 01:47:24.776]  It's not difficult.
[01:47:24.776 --> 01:47:30.139]  People either say that it's so heroic to do it or that it's idiotic to do it and it's absurd.
[01:47:30.139 --> 01:47:37.963]  And the fact of the matter is that we've been harassed from the second we got here when we started ascending the mountain.
[01:47:38.564 --> 01:47:40.486]  A nation of sheep will be ruled by wolves, Thomas Jefferson.
[01:47:40.486 --> 01:47:41.106]  What doesn't the public
[01:48:05.208 --> 01:48:05.848]  Yeah.
[01:48:05.848 --> 01:48:07.189]  Don't act like prisoners.
[01:48:07.189 --> 01:48:08.490]  Don't act like perps.
[01:48:08.490 --> 01:48:14.093]  The public in general acts like criminals in front of the police and all scared and the cops act accordingly.
[01:48:14.093 --> 01:48:19.075]  I've noticed if you just smile at the cops, wave at them, come over and talk to them, most of the time they'll be eaten out of your hand.
[01:48:19.075 --> 01:48:23.338]  They're so used to the public hating them, they now hate the public.
[01:48:23.338 --> 01:48:25.479]  That's what George Soros and the globalists have set up.
[01:48:25.979 --> 01:48:26.779]  They brag about it.
[01:48:26.779 --> 01:48:35.683]  They are setting up where we're all fighting with each other locally, instead of taking our counties and cities back, putting police forces in like we want, and taking our world back.
[01:48:35.683 --> 01:48:36.844]  That's how we're going to do it.
[01:48:36.844 --> 01:48:37.884]  We're the winners.
[01:48:37.884 --> 01:48:39.205]  We're the good guys.
[01:48:39.205 --> 01:48:40.626]  We're out promoting freedom.
[01:48:41.346 --> 01:48:42.766]  And we're not ashamed of it.
[01:48:42.766 --> 01:48:43.927]  That's the key.
[01:48:43.927 --> 01:48:45.727]  Stop acting like you're ashamed of this.
[01:48:45.727 --> 01:48:47.308]  Be bold, folks.
[01:48:47.308 --> 01:48:49.528]  Be bold in the face of this scum.
[01:48:49.528 --> 01:48:52.049]  The only hope we've got is going in hard against these people.
[01:48:52.049 --> 01:48:52.409]  110%.
[01:48:52.409 --> 01:48:56.770]  And let me tell you, every time we take action, we have victory.
[01:48:56.770 --> 01:49:02.052]  That's what's so frustrating is people don't know how powerful good men are and how powerful good women are.
[01:49:05.555 --> 01:49:05.995]  Absolutely.
[01:49:05.995 --> 01:49:09.458]  And the fact of the matter is, is that at the end of the day, you're going to wish you had done it.
[01:49:09.458 --> 01:49:12.441]  You're going to wish that you had stood up before it got to the point where you couldn't.
[01:49:12.441 --> 01:49:17.786]  Because history proves that when it gets to that point, you're going to be begging that you could get that time back.
[01:49:17.786 --> 01:49:20.808]  And I just don't think people realize it because people aren't paying attention.
[01:49:20.808 --> 01:49:21.609]  Anything else you want to add?
[01:49:21.609 --> 01:49:24.291]  If we're going to go to break, I'm going to come back and hit Economic News and shift gears.
[01:49:24.291 --> 01:49:25.392]  I'm Gerald Cilente joining us.
[01:49:25.392 --> 01:49:26.373]  Anything else that needs to be added?
[01:49:26.373 --> 01:49:27.114]  What are you planning next?
[01:49:29.196 --> 01:49:31.857]  Tomorrow we have a lot of stuff planned.
[01:49:31.857 --> 01:49:40.741]  The meeting hasn't started yet, so tomorrow the meeting starts and hopefully we'll get to see the face of evil up close.
[01:49:40.741 --> 01:49:43.483]  Alright, well you guys are doing a fantastic job.
[01:49:43.483 --> 01:49:44.143]  God bless you.
[01:49:44.143 --> 01:49:45.483]  Folks are praying for you.
[01:49:45.483 --> 01:49:49.405]  Josh Owens, Paul Watson, and of course Rob New reporting from Austria.
[01:49:49.405 --> 01:49:50.686]  Thank you.
[01:49:50.686 --> 01:49:50.906]  Thank you.
[01:49:51.800 --> 01:49:56.384]  And we'll continue to watch and monitor their Twitter feeds at RealAlexJones.
[01:49:56.384 --> 01:50:04.751]  We'll continue to monitor everything that's happening and if something big happens, we'll go live on the Ustream, post the video to Infowars.com, PrisonPlanet.com.
[01:50:05.925 --> 01:50:10.208]  Sometimes during Bilderberg, InfoWars gets attacked and taken down, even though that's very sophisticated to do.
[01:50:10.208 --> 01:50:13.271]  They have to actually get into the control servers to do it.
[01:50:13.271 --> 01:50:17.074]  And we've got some of the best companies and individuals and hackers out there keeping the sites up.
[01:50:17.074 --> 01:50:18.755]  The attacks are pretty much continual.
[01:50:18.755 --> 01:50:22.338]  But if InfoWars goes down, then there's things like Prison Planet.
