[00:00:03.322 --> 00:00:05.182]  Gear up!
[01:53:26.026 --> 01:53:34.750]  Unfortunately, a bad guy can also get one of these readers and go around the city scanning people, collecting their credit card numbers and personal information without us knowing it.
[01:53:34.750 --> 01:53:35.370]  Wow!
[01:53:35.370 --> 01:53:36.691]  That sounds scary.
[01:53:36.691 --> 01:53:41.153]  Since you're getting a new wallet anyway, you should definitely get an ID Stronghold shielded wallet.
[01:53:41.153 --> 01:53:41.973]  Are they more expensive?
[01:53:42.413 --> 01:53:50.595]  No, in fact, I can get a shielded leather wallet from idstronghold.com for the same price or less than regular unshielded wallets from other stores.
[01:53:50.595 --> 01:53:51.795]  Sounds great!
[01:53:51.795 --> 01:53:54.416]  My wallet isn't falling apart yet, but let me pick one out too.
[01:53:54.416 --> 01:54:06.439]  I want to be protected, and these wallets at idstronghold.com look fantastic!
[01:54:06.439 --> 01:54:10.000]  Alex Jones here, back live speaking of Bilderberg, here is the New York Times.
[01:54:11.055 --> 01:54:14.077]  Former Governor Jeb Bush's chief of staff responded a few weeks ago.
[01:54:14.077 --> 01:54:21.462]  Bloomberg covered it to our tweet asking him, are you going to be attending Bilderberg because you're going to be in Germany and Austria when it's going on?
[01:54:21.462 --> 01:54:24.084]  And his chief of staff said no.
[01:54:24.084 --> 01:54:28.387]  And the media made jokes about it and said how dare they even respond to InfoWars.
[01:54:28.387 --> 01:54:30.349]  That's not real media.
[01:54:30.349 --> 01:54:36.253]  Really, they're holding the G7 in Europe right before Bilderberg and the very people that are at the G7 will be there.
[01:54:38.516 --> 01:54:45.340]  And so many other people that are about to run for president, like Bill Clinton and others, go to Bilderberg first to get vetted.
[01:54:45.340 --> 01:54:48.722]  But again, it's the mainstream media's job to make jokes out of that.
[01:54:48.722 --> 01:54:51.464]  Here's the headline out of the New York Times today.
[01:54:51.464 --> 01:54:58.568]  Berlin Leary of One Bush prepares to meet Jeb.
[01:54:58.568 --> 01:55:00.369]  And he's going to be giving a speech there.
[01:55:01.277 --> 01:55:03.118]  Hey Alex, we have Rob on the line.
[01:55:03.118 --> 01:55:05.019]  They are at the location.
[01:55:05.019 --> 01:55:06.259]  They are at the police station.
[01:55:06.259 --> 01:55:08.821]  Okay, let's go to Rob Dew in Austria reporting on Bilderberg.
[01:55:08.821 --> 01:55:10.361]  We just joined us.
[01:55:10.361 --> 01:55:12.883]  Austrian Federal Police are searching for InfoWars reporters.
[01:55:12.883 --> 01:55:14.123]  They came to the hotel.
[01:55:14.123 --> 01:55:15.344]  Our crew was gone.
[01:55:15.344 --> 01:55:17.925]  Josh and of course Rob Dew.
[01:55:17.925 --> 01:55:21.246]  And so Dew, go ahead, take over.
[01:55:21.246 --> 01:55:23.788]  Okay, well I'm about to walk in.
[01:55:23.788 --> 01:55:25.909]  I'm going to show everybody a shot of the police station.
[01:55:25.909 --> 01:55:26.829]  Can you hear me loud and clear?
[01:55:26.829 --> 01:55:28.410]  Yes we can, sir.
[01:55:28.410 --> 01:55:29.851]  Okay, so I'm about to go in.
[01:55:31.803 --> 01:55:35.406]  These look like the police vans that were driving around.
[01:55:35.406 --> 01:55:42.391]  You know, this is the same type of police van that was at our location earlier today, so this looks like it's the same.
[01:55:42.391 --> 01:55:48.375]  And when they say turn your camera off, just say to them, it's for my protection.
[01:55:48.375 --> 01:55:48.675]  Right.
[01:55:48.675 --> 01:55:54.639]  You guys have already been very rude and aggressive, and I'm here to file a complaint about them going to your hotel.
[01:55:54.639 --> 01:55:55.940]  Go ahead.
[01:55:55.940 --> 01:55:58.702]  Get on the offense with these people.
[01:55:58.702 --> 01:56:00.263]  Okay, I'm walking in now.
[01:56:04.939 --> 01:56:09.802]  Inside the Austrian substation of the state police.
[01:56:09.802 --> 01:56:14.644]  And tell them the feds are looking for you and you're there to talk to them.
[01:56:14.644 --> 01:56:16.525]  Okay.
[01:56:16.525 --> 01:56:17.726]  How do I change this to me?
[01:56:17.726 --> 01:56:19.066]  Is there a way to do that?
[01:56:19.066 --> 01:56:20.167]  Oh, you hit that?
[01:56:20.167 --> 01:56:21.228]  Okay.
[01:56:21.228 --> 01:56:21.688]  Okay.
[01:56:21.688 --> 01:56:22.248]  There you go, guys.
[01:56:22.248 --> 01:56:23.289]  Good job.
[01:56:23.289 --> 01:56:24.169]  Yeah.
[01:56:24.169 --> 01:56:25.350]  There I am.
[01:56:25.350 --> 01:56:31.533]  I'm hitting the intercom there to talk to them.
[01:56:35.765 --> 01:56:38.246]  They're probably freaking out.
[01:56:38.246 --> 01:56:41.767]  I love your 1776 hat.
[01:56:41.767 --> 01:56:48.290]  I had to wear a little plug if you're going to get arrested.
[01:56:48.290 --> 01:56:53.392]  That was the first time we fought the Germans was in 1776 when they brought over the Hessians.
[01:56:53.392 --> 01:56:55.473]  Of course most of them just defected and joined us.
[01:56:55.473 --> 01:56:58.774]  We just want to invite all the Germans and Austrians to join the move for freedom.
[01:56:58.774 --> 01:57:00.295]  There's a lot of great folks over there.
[01:57:03.695 --> 01:57:07.578]  In fact, some of our most active listeners are over there.
[01:57:07.578 --> 01:57:15.004]  Okay, it looks like they have someone in there right now, so they're not letting two people in.
[01:57:15.004 --> 01:57:16.065]  We'll see.
[01:57:16.065 --> 01:57:18.647]  This is the Austrian police substation.
[01:57:18.647 --> 01:57:22.169]  Hi.
[01:57:22.169 --> 01:57:24.251]  Hello, did I just talk to you on the phone?
[01:57:24.251 --> 01:57:25.072]  Okay, I called in.
[01:57:25.072 --> 01:57:25.772]  My name is Rob Dew.
[01:57:25.772 --> 01:57:27.253]  I'm a journalist out of Austin, Texas.
[01:57:27.253 --> 01:57:27.974]  How are you doing?
[01:57:29.045 --> 01:57:32.849]  Okay, so I'm broadcasting live for my protection.
[01:57:32.849 --> 01:57:34.650]  We're on a live radio show right now.
[01:57:34.650 --> 01:57:41.516]  But I got a call from my hotel manager and he said that the... I don't know.
[01:57:41.516 --> 01:57:41.936]  You don't know?
[01:57:41.936 --> 01:57:46.761]  What is this?
[01:57:46.761 --> 01:57:51.885]  We're on live, just... Yeah.
[01:57:51.885 --> 01:57:53.707]  So... Which hotel do you stay?
[01:57:53.707 --> 01:57:55.869]  I'm at the Rumferhof Hotel.
[01:57:58.567 --> 01:58:01.909]  And just tell them you're tired of being harassed.
[01:58:01.909 --> 01:58:04.510]  Yeah, so they came to our hotel twice.
[01:58:04.510 --> 01:58:06.991]  And today they came and we were there.
[01:58:06.991 --> 01:58:08.111]  Uh, we weren't there.
[01:58:08.111 --> 01:58:10.112]  And so my hotel manager called me and wanted to know... Hi.
[01:58:10.112 --> 01:58:14.214]  How are you doing?
[01:58:14.214 --> 01:58:16.275]  You're staying in your office room, right?
[01:58:16.275 --> 01:58:16.775]  Yes.
[01:58:16.775 --> 01:58:22.658]  Yeah, as my colleagues here told you yesterday, it's not allowed to film the police or anything from the police stations.
[01:58:22.658 --> 01:58:23.258]  Thank you.
[01:58:23.258 --> 01:58:23.658]  Goodbye.
[01:58:23.658 --> 01:58:24.559]  Ask him what the wall is.
[01:58:27.401 --> 01:58:29.383]  All right, well tell them you'll turn... Oh, look at those guys.
[01:58:29.383 --> 01:58:31.766]  They think they're so cool.
[01:58:31.766 --> 01:58:33.609]  Hold on.
[01:58:33.609 --> 01:58:34.049]  All right, dude.
[01:58:34.049 --> 01:58:36.172]  Go ahead and put your camera down when we come back in 70 seconds.
[01:58:36.172 --> 01:58:37.613]  Put your camera down.
[01:58:37.613 --> 01:58:38.615]  And then try to be nice to them.
[01:58:38.615 --> 01:58:41.238]  Play good cop with them.
[01:58:41.238 --> 01:58:43.380]  Thank you for listening to GCMI.
[01:58:43.380 --> 01:58:45.543]  I've never been over there, but my grandfathers were.
[01:58:45.543 --> 01:58:46.404]  Visit GCMI.com today.
[01:58:46.404 --> 01:58:46.905]  We'll be back.
[01:58:49.150 --> 01:59:05.798]  Ladies and gentlemen, you haven't really ever heard firearms manufacturers as sponsors on my syndicated radio show, or the nightly news, or the news website, InfoWars.com, because the companies I've been approached by were not the highest quality, and they weren't as affordable as they should be, so I refused.
[01:59:05.798 --> 01:59:09.300]  Probably 30, 40 firearms manufacturers over the years will then.
[01:59:09.660 --> 01:59:13.701]  About six months ago, we get contacted by Head Down Firearms.
[01:59:13.701 --> 01:59:15.242]  Hdfirearms.com.
[01:59:15.242 --> 01:59:18.563]  Owned and run by a bunch of former Navy SEALs, Special Ops people.
[01:59:18.563 --> 01:59:23.685]  They're veterans, they're patriots, they're listeners of the radio show, and they want to support the broadcast.
[01:59:23.685 --> 01:59:24.565]  It's always about security.
[01:59:24.665 --> 01:59:25.105]  I think so.
[01:59:51.617 --> 01:59:54.231]  You're listening to The Alex Jones Show.
[02:00:05.171 --> 02:00:10.035]  Big Brother, Mainstream Media, Government Cover-Ups.
[02:00:10.035 --> 02:00:11.596]  You want answers?
[02:00:11.596 --> 02:00:12.497]  Well, so does he.
[02:00:12.497 --> 02:00:14.999]  Alright, we're cutting straight to our last feed.
[02:00:14.999 --> 02:00:17.181]  Alex Jones here back live.
[02:00:17.181 --> 02:00:21.964]  Live video feed, audio feed from the state police headquarters in the area.
[02:00:21.964 --> 02:00:23.405]  Rob Dues has been thrown out.
[02:00:23.405 --> 02:00:25.247]  Tell us what happened during the break, Rob.
[02:00:25.247 --> 02:00:27.829]  I couldn't skip that break, it was in the hour.
[02:00:27.829 --> 02:00:31.592]  Sure, well you probably saw what the large guy came out.
[02:00:32.341 --> 02:00:33.922]  They seem to have a size differential.
[02:00:33.922 --> 02:00:39.123]  Whenever the large guys come out, there's always a bit of air and angst about them.
[02:00:39.123 --> 02:00:41.924]  But he came out and said, you're Abdul?
[02:00:41.924 --> 02:00:44.845]  Yes, we told you not to film the police.
[02:00:44.845 --> 02:00:48.546]  And then he said something else and then left.
[02:00:48.546 --> 02:00:52.468]  So I guess maybe that's what they're going to tell me, not to film the checkpoints anymore.
[02:00:52.468 --> 02:00:52.708]  Which...
[02:00:54.036 --> 02:00:57.118]  That seemed to be the message that they wanted to give me.
[02:00:57.118 --> 02:00:59.160]  They never said, don't film the checkpoints.
[02:00:59.160 --> 02:01:05.004]  All the guy said was, that's rude to do, to film checkpoints, or to film the police, when they had cameras on them.
[02:01:05.004 --> 02:01:06.985]  Yeah, you tried to ask him what the law is.
[02:01:06.985 --> 02:01:07.726]  What did he say to that?
[02:01:08.513 --> 02:01:09.433]  Hey, he didn't answer me.
[02:01:09.433 --> 02:01:11.734]  He walked off and then the other guy got all snippy.
[02:01:11.734 --> 02:01:13.955]  He goes, there's no discussion during the break.
[02:01:13.955 --> 02:01:15.256]  He said, there's no discussion.
[02:01:15.256 --> 02:01:16.896]  We have the whole thing on video.
[02:01:16.896 --> 02:01:18.297]  Josh shot it as well.
[02:01:18.297 --> 02:01:22.719]  I was also recording audio and we had a hidden pin camera.
[02:01:22.719 --> 02:01:25.900]  So I guess we've given them all our intelligence at this point.
[02:01:25.900 --> 02:01:26.840]  Uh, we're not hiding anything.
[02:01:26.840 --> 02:01:27.781]  You told him you were filming.
[02:01:27.781 --> 02:01:29.842]  Yeah, I told him we were filming.
[02:01:29.842 --> 02:01:32.983]  I told him we were broadcasting live and uh, you know,
[02:01:34.173 --> 02:01:40.619]  All I can say is they have a very pretty receptionist.
[02:01:40.619 --> 02:01:43.361]  Well, you're married and Josh has got a girlfriend.
[02:01:43.361 --> 02:01:44.182]  That's right.
[02:01:44.182 --> 02:01:46.624]  What happens in Austria stays in Austria.
[02:01:46.624 --> 02:01:47.525]  No, no, no.
[02:01:47.525 --> 02:01:49.726]  She did look receptive like she wanted you to pick her up.
[02:01:50.720 --> 02:01:52.542]  No, no.
[02:01:52.542 --> 02:01:57.728]  It was, uh, it's just very, this is just a very weird police state.
[02:01:57.728 --> 02:02:00.130]  There's not a lot of, you know, communication from them.
[02:02:00.130 --> 02:02:03.133]  I have no problem with not filming their checkpoints.
[02:02:03.133 --> 02:02:04.455]  They never said that.
[02:02:04.455 --> 02:02:05.356]  Oh, give me a break.
[02:02:05.356 --> 02:02:07.117]  They're checkpoints on a highway.
[02:02:07.117 --> 02:02:09.240]  They got the cameras all aimed at us.
[02:02:09.240 --> 02:02:11.822]  I mean, look, you're just acting like you've done something wrong.
[02:02:12.483 --> 02:02:13.784]  Wait, no, here's the thing, Alex.
[02:02:13.784 --> 02:02:18.367]  When we went there through the first checkpoint, the first time, we didn't even have our cameras going.
[02:02:18.367 --> 02:02:19.948]  And they flipped out!
[02:02:19.948 --> 02:02:21.449]  They were flipping out on us.
[02:02:21.449 --> 02:02:25.032]  They had their hands on their guns like we were doing something bad because we showed them U.S.
[02:02:25.032 --> 02:02:26.373]  passports.
[02:02:26.373 --> 02:02:27.153]  We showed them U.S.
[02:02:27.153 --> 02:02:27.914]  passports.
[02:02:27.914 --> 02:02:29.375]  The Yankees are attacking!
[02:02:29.375 --> 02:02:32.297]  That's kind of a Russian accent.
[02:02:32.297 --> 02:02:34.018]  Oh no, the Yankees are here!
[02:02:34.018 --> 02:02:35.059]  Oh no!
[02:02:35.059 --> 02:02:35.639]  Hans, run!
[02:02:35.639 --> 02:02:38.641]  What's the big deal?
[02:02:38.641 --> 02:02:42.104]  So, you know, of course, the next time we're going through the checkpoint, we're going to film it!
[02:02:42.739 --> 02:02:45.646]  And they got all mad that the second time I went through the checkpoint we filmed it.
[02:02:45.646 --> 02:02:47.932]  And then they tried to tell me I was rude for filming them.
[02:02:48.723 --> 02:02:51.685]  You know, and I'm like, look, I'm not trying to be rude.
[02:02:51.685 --> 02:02:53.486]  The point is, they keep turning it around.
[02:02:53.486 --> 02:02:57.028]  Dude, this is what they do.
[02:02:57.028 --> 02:03:06.793]  They make it like you're a criminal so you can defend yourself, changing the subject to them having checkpoints, trying to act like the press is illegal, covering a very important event.
[02:03:06.793 --> 02:03:09.955]  I would say to them next, is filming illegal in Austria?
[02:03:09.955 --> 02:03:11.415]  Tell me the law.
[02:03:11.415 --> 02:03:12.316]  We are press.
[02:03:12.316 --> 02:03:14.057]  Why are you covering up the criminal meeting?
[02:03:16.024 --> 02:03:20.106]  Because as soon as we did that in Switzerland, they stopped acting aggressive.
[02:03:20.106 --> 02:03:23.547]  We said, go back and check with your canton leaders, state leaders.
[02:03:23.547 --> 02:03:25.128]  You're going to get in a lot of trouble.
[02:03:25.128 --> 02:03:29.250]  And then next, they were very polite and helpful after those exchanges.
[02:03:29.250 --> 02:03:32.091]  So I would just say, hey, we're not criminals.
[02:03:32.091 --> 02:03:33.112]  We're here to cover this.
[02:03:33.112 --> 02:03:34.472]  You let us in the country.
[02:03:34.472 --> 02:03:36.333]  You ought to be glad we're covering it.
[02:03:36.333 --> 02:03:37.794]  Don't you want to know what's going on?
[02:03:37.794 --> 02:03:40.855]  Because I guarantee you, those people don't know anything.
[02:03:40.855 --> 02:03:43.016]  They're in there talking about sports scores all day.
[02:03:44.241 --> 02:03:45.123]  Right.
[02:03:45.123 --> 02:03:47.186]  And taking selfies.
[02:03:47.186 --> 02:03:53.658]  We're actually going back up to the other checkpoint, so I don't know, how much longer is the show going?
[02:03:53.658 --> 02:03:55.140]  We've got an hour left.
[02:03:55.140 --> 02:03:57.324]  So how far away from that checkpoint are you?
[02:03:58.143 --> 02:04:00.144]  I would say about six minutes.
[02:04:00.144 --> 02:04:04.486]  We've got a little bit of traffic getting down here, but after that it's smooth sailing.
[02:04:04.486 --> 02:04:07.127]  We'll do this.
[02:04:07.127 --> 02:04:09.448]  Pull over, take a break.
[02:04:09.448 --> 02:04:17.492]  I'm going to come in, talk for about five minutes about Bilderberg and some interesting developments with Joe Biggs, but be on Skype with us.
[02:04:17.492 --> 02:04:22.474]  And then with Joe Biggs in here with us, you can then go live up to the checkpoint.
[02:04:23.655 --> 02:04:28.356]  And when they come and say, I already told you no filming.
[02:04:28.356 --> 02:04:30.497]  You say, tell me the law.
[02:04:30.497 --> 02:04:32.598]  I want to know the law.
[02:04:32.598 --> 02:04:34.818]  Tell me why.
[02:04:34.818 --> 02:04:36.119]  Do you have cameras?
[02:04:36.119 --> 02:04:38.419]  I guarantee you they've got cameras at the checkpoint.
[02:04:38.419 --> 02:04:39.880]  And so just talk to them.
[02:04:39.880 --> 02:04:42.981]  Because believe me, they don't want to escalate this.
[02:04:42.981 --> 02:04:44.101]  They'd love to arrest you.
[02:04:44.841 --> 02:04:51.450]  And get brownie points with their masters, but they've been told don't do that because it'll draw more attention.
[02:04:51.450 --> 02:04:56.917]  And then the press will be forced to report on the criminal mafia meeting, Mafia 2.0, taking place.
[02:04:56.917 --> 02:04:57.978]  Rob New, just stay on the line with us.
[02:04:57.978 --> 02:04:58.939]  We're gonna come right back to you.
[02:04:59.815 --> 02:05:03.719]  Checkpoints, harassment, and Cobra Commandos.
[02:05:03.719 --> 02:05:06.982]  This is not your granddaddy's smoke-filled room.
[02:05:06.982 --> 02:05:10.105]  This is Bilderberg 2015.
[02:05:10.105 --> 02:05:18.192]  Every year, the Bilderberg Confab tweaks its efforts to lock out the media, deny transparency, and keep its agenda secret.
[02:05:19.153 --> 02:05:34.928]  Similar to the 6.2-mile exclusion zone around the radioactive Chernobyl plant, Austrian Federal Police have set up a similar-sized zone to keep the public away from the hotel where over 150 world leaders will meet in secret.
[02:05:34.928 --> 02:05:44.097]  InfoWars reporters were stopped at a checkpoint, had their vehicle searched, and even had police come to the front door of their hotel room.
[02:05:44.757 --> 02:05:51.962]  All in the name of keeping their cameras away from the 150 world leaders attempting to meet in secret.
[02:05:51.962 --> 02:05:57.026]  We'll have continual coverage of Bilderberg on the Alex Jones Channel on YouTube.
[02:05:58.499 --> 02:06:15.175]  Ladies and gentlemen, you haven't really ever heard firearms manufacturers as sponsors on my syndicated radio show, or the nightly news, or the news website, InfoWars.com, because the companies I've been approached by were not the highest quality, and they weren't as affordable as they should be, so I refused.
[02:06:15.175 --> 02:06:18.679]  Probably 30, 40 firearms manufacturers over the years will then.
[02:06:18.999 --> 02:06:22.904]  About six months ago, we get contacted by Head Down Firearms.
[02:06:22.904 --> 02:06:24.605]  Hdfirearms.com.
[02:06:24.605 --> 02:06:27.929]  Owned and run by a bunch of former Navy SEALs and Special Ops people.
[02:06:27.929 --> 02:06:33.055]  They're veterans, they're patriots, they're listeners of the radio show, and they want to support the broadcast.
[02:06:33.055 --> 02:06:33.916]  It's always about security.
[02:06:34.016 --> 02:06:34.436]  I think so.
[02:06:58.308 --> 02:06:59.229]  Hey, how you doing, Alex?
[02:06:59.229 --> 02:06:59.809]  Good, brother.
[02:06:59.809 --> 02:07:01.531]  Just recently started using your products.
[02:07:01.531 --> 02:07:03.472]  Everything you said about them is correct.
[02:07:03.472 --> 02:07:07.496]  Me and my wife both use a lot of them, and it's made a lot of changes in our lives here.
[02:07:07.496 --> 02:07:10.118]  Well, thank you, brother, because it also funds our operation.
[02:07:10.118 --> 02:07:12.540]  But doing that, I know I've got to have the highest quality.
[02:07:12.540 --> 02:07:20.406]  Super Mill Vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[02:07:20.706 --> 02:07:23.950]  We do the super male and the super female vitality.
[02:07:23.950 --> 02:07:25.492]  Big changes, a lot of energy.
[02:07:25.492 --> 02:07:28.535]  We've gotten off of the cheap energy drinks, energy shots.
[02:07:28.535 --> 02:07:30.177]  Saving a ton of money there.
[02:07:30.177 --> 02:07:35.503]  Sourced from powerful organic herbs, harvested around the planet and then concentrated
[02:07:35.503 --> 02:07:35.723]  Silver.
[02:08:05.792 --> 02:08:16.101]  Let me see you spread the Alex Jones Show.
[02:08:16.101 --> 02:08:25.549]  Because there is a war for you and I. This is the song you play on the PlayStation.
[02:08:25.549 --> 02:08:26.730]  Metropolis has nothing of this.
[02:08:26.730 --> 02:08:29.572]  We're in Austria, our reporters are.
[02:08:29.572 --> 02:08:30.853]  I take what we can.
[02:08:31.579 --> 02:08:32.681]  Joe Biggs is here.
[02:08:32.681 --> 02:08:34.904]  Let's keep rolling this song for a little bit of Rammstein.
[02:09:07.383 --> 02:09:08.850]  We're good to go.
[02:09:19.173 --> 02:09:20.173]  Joe Biggs is here with us.
[02:09:20.173 --> 02:09:21.874]  He's got news on Bilderberg.
[02:09:21.874 --> 02:09:24.155]  Big news from their own press.
[02:09:24.155 --> 02:09:25.355]  Very interesting.
[02:09:25.355 --> 02:09:28.897]  But before that, we've got Rob Dew and Josh Owens about to pull up to the checkpoint.
[02:09:28.897 --> 02:09:29.917]  They've been looking for him.
[02:09:29.917 --> 02:09:32.478]  They came to their hotel, but they dare videotape him.
[02:09:32.478 --> 02:09:39.441]  Let's take you now live to Austria, the site of Bilderberg, the criminal group meeting being protected by state and federal police.
[02:09:39.441 --> 02:09:43.402]  Josh Owens and Rob Dew, you are now in charge.
[02:09:43.402 --> 02:09:44.122]  Go ahead.
[02:09:44.122 --> 02:09:46.783]  Josh, or Jones, I just want to show you something here.
[02:09:46.783 --> 02:09:48.264]  If you look on that interhelping sign,
[02:09:49.244 --> 02:09:50.365]  It just went by.
[02:09:50.365 --> 02:09:54.708]  It had a InfoWars bumper sticker on it.
[02:09:54.708 --> 02:09:55.508]  I want to be clear.
[02:09:55.508 --> 02:09:58.150]  That's not you guys doing that, is it?
[02:09:58.150 --> 02:09:59.251]  No, not at all.
[02:09:59.251 --> 02:10:00.912]  I'll go by one more time.
[02:10:00.912 --> 02:10:03.533]  I'll go by one more time and then we'll head out and slow down right there.
[02:10:03.533 --> 02:10:06.295]  Because our stickers are all over the world.
[02:10:06.295 --> 02:10:07.936]  I mean, our stickers are all over the world.
[02:10:07.936 --> 02:10:09.917]  But I mean, really, I want to know.
[02:10:09.917 --> 02:10:13.620]  It's the dot in the I on the inner Alpen.
[02:10:15.123 --> 02:10:18.484]  So, I just wanted to, we just happened to be driving by that spot again.
[02:10:18.484 --> 02:10:21.645]  We saw that as we pulled in today, or yesterday.
[02:10:21.645 --> 02:10:22.966]  I took a picture, was it yesterday?
[02:10:22.966 --> 02:10:24.447]  Yeah, it was yesterday, I guess.
[02:10:24.447 --> 02:10:26.867]  I took a photo of it and tweeted that out.
[02:10:26.867 --> 02:10:29.028]  Oh good, you did tweet it.
[02:10:29.028 --> 02:10:31.289]  Alright, tell folks where you are, what's about to happen.
[02:10:31.289 --> 02:10:33.350]  Some stations don't carry that first five minutes.
[02:10:33.350 --> 02:10:34.710]  You were thrown out of the police station.
[02:10:34.710 --> 02:10:39.492]  They said, you robbed, you not film police.
[02:10:39.492 --> 02:10:41.273]  Yeah, we already told you that.
[02:10:41.273 --> 02:10:43.454]  And then no one ever said you can't film the police.
[02:10:43.454 --> 02:10:44.234]  No one ever said that.
[02:10:44.815 --> 02:10:45.835]  That's the funny thing.
[02:10:45.835 --> 02:10:47.936]  They're acting like this is old news.
[02:10:47.936 --> 02:10:50.337]  They never said to me, don't film the police.
[02:10:50.337 --> 02:10:53.239]  He's saying they came to your hotel to tell you that.
[02:10:53.239 --> 02:10:55.079]  Yeah, they came to my hotel.
[02:10:55.079 --> 02:10:57.420]  And that's... You know, really?
[02:10:57.420 --> 02:10:59.061]  That's what you came to my hotel for?
[02:10:59.061 --> 02:11:01.742]  Don't put up YouTube videos of police?
[02:11:01.742 --> 02:11:03.523]  I mean, what do you have to hide?
[02:11:03.523 --> 02:11:05.704]  We obviously... That's what they're worried about us.
[02:11:05.704 --> 02:11:07.045]  We obviously have something to hide.
[02:11:07.045 --> 02:11:12.607]  You know, they freaked out and we drove... Now this is... We're gonna drive past... This is where the checkpoint was yesterday.
[02:11:13.570 --> 02:11:13.770]  I don't
[02:11:32.766 --> 02:11:39.550]  And from what we heard, this happened because I guess people were complaining, so they made the security area smaller.
[02:11:39.550 --> 02:11:41.051]  Because this is where they had it yesterday.
[02:11:41.051 --> 02:11:42.732]  This is where we pulled off.
[02:11:42.732 --> 02:11:45.393]  And there's a giant thing that says, we're filming you.
[02:11:45.393 --> 02:11:49.736]  There's a giant camera sign right there that says, we're filming you.
[02:11:49.736 --> 02:11:53.158]  But they got mad when I was filming and called me rude.
[02:11:53.158 --> 02:11:53.958]  They're roving, Chuck.
[02:11:53.958 --> 02:11:58.160]  Well, tell them, when they say that it's bad character to film, say, well, you're filming down the street.
[02:11:58.160 --> 02:11:58.821]  You're filming here.
[02:12:01.371 --> 02:12:02.151]  Right.
[02:12:02.151 --> 02:12:04.452]  And I don't know if we're going to start losing signal.
[02:12:04.452 --> 02:12:08.594]  We're going out of the town area and going up the mountain.
[02:12:08.594 --> 02:12:21.158]  And it's a notoriously spotty surface up here, as we've been finding out from our different trying to... We see now the best reception down in Sidetail, so you can get a side view.
[02:12:21.158 --> 02:12:22.479]  This is looking down the mountain.
[02:12:23.263 --> 02:12:23.684]  Right now.
[02:12:23.684 --> 02:12:24.144]  Beautiful area.
[02:12:36.277 --> 02:12:38.558]  We're going to get your military perspective in a moment on that.
[02:12:38.558 --> 02:12:43.580]  You've dug up some interesting stuff out of the Austrian and Western press on Cobra.
[02:12:43.580 --> 02:12:51.023]  But before we get into Cobra, I'm going to stay with these guys until they hit the checkpoint or until their feed goes out.
[02:12:51.023 --> 02:12:53.544]  Amazing view of your radio listener.
[02:12:53.544 --> 02:12:55.365]  Looks like they're thousands of feet up on the mountain.
[02:12:55.365 --> 02:12:59.246]  It's frozen with the town down below them.
[02:12:59.246 --> 02:13:04.348]  I tell you, this has got to be, though, even though it's stressful, guys, a good place to be reporting from.
[02:13:04.348 --> 02:13:05.269]  Very, very beautiful.
[02:13:05.729 --> 02:13:12.973]  I expect to see Snow White any moment pop out.
[02:13:12.973 --> 02:13:15.014]  Any other comments, Rob Dew or Josh Owens?
[02:13:15.014 --> 02:13:17.495]  It's very comfortable.
[02:13:17.495 --> 02:13:21.257]  If you can hear me now, it's very comfortable in terms of temperature.
[02:13:21.257 --> 02:13:24.098]  It's nice and cool, but it's not super humid even though it's been raining.
[02:13:24.098 --> 02:13:28.000]  It rained yesterday, it rained today, but it doesn't feel really humid.
[02:13:30.714 --> 02:13:32.416]  But like you get normally in Austin, Texas.
[02:13:32.416 --> 02:13:36.339]  It's a different kind of temperature up here in the mountains.
[02:13:36.339 --> 02:13:44.467]  It just feels like you're breathing real air.
[02:13:44.467 --> 02:13:45.949]  We're losing their feed right now.
[02:13:45.949 --> 02:13:48.992]  You're listening to Bilderberg 2015 coverage that U.S.
[02:13:48.992 --> 02:13:50.033]  media will not cover.
[02:13:50.033 --> 02:13:51.834]  It's all over the foreign press.
[02:13:51.834 --> 02:13:52.695]  Here's the checkpoint.
[02:13:52.695 --> 02:13:53.096]  Here we go.
[02:13:57.628 --> 02:13:58.648]  Yeah.
[02:13:58.648 --> 02:14:00.049]  Here we go, coming through here.
[02:14:00.049 --> 02:14:01.749]  So we're going to find out what's going on here.
[02:14:01.749 --> 02:14:06.111]  And let your Skype stabilize.
[02:14:06.111 --> 02:14:08.432]  Stabilize your rear deflectors.
[02:14:08.432 --> 02:14:13.253]  Watch for enemy fighters.
[02:14:13.253 --> 02:14:16.294]  Bring up that you're filming up front.
[02:14:16.294 --> 02:14:18.195]  Just tell them, you know, is this a free country or not?
[02:14:24.434 --> 02:14:26.855]  We're saying the, uh, Interhop thing.
[02:14:26.855 --> 02:14:27.895]  Not, not Interhop.
[02:14:27.895 --> 02:14:32.376]  I'm, uh, I'm broadcasting live on Skype at the U.S., United States, America.
[02:14:32.376 --> 02:14:33.956]  Just letting you know.
[02:14:33.956 --> 02:14:35.716]  Um... We come from America!
[02:14:35.716 --> 02:14:39.237]  They have a picture of Josh and my, uh, passports.
[02:14:39.237 --> 02:14:42.978]  They're actually looking at us right now.
[02:14:42.978 --> 02:14:44.138]  So... Can you imagine?
[02:14:53.715 --> 02:14:54.696]  America's gonna be just like this.
