[00:00:16.411 --> 00:00:21.113]  Ladies and gentlemen, Owen Schroyer here hosting the Alex Jones Show.
[02:08:28.630 --> 02:08:37.337]  And when you take off the mask and sit at your table, it's going to remain at the table with you, even though it's said to be an airborne virus.
[02:08:37.737 --> 02:08:39.098]  It just does not make any sense.
[02:08:39.098 --> 02:08:40.540]  And there is no legal precedent.
[02:08:40.540 --> 02:08:48.106]  And the governor knows it, and all the legislators know it, because we have to have informed consent in this country.
[02:08:48.106 --> 02:08:55.052]  And the masks, as well as the vaccines, as well as the tests, are still in the emergency use authorization status.
[02:08:55.052 --> 02:08:57.314]  And so they have not been licensed and approved.
[02:08:57.314 --> 02:09:04.541]  And once it remains in that status, then we have to be able, we are the citizens, have a right to reject it.
[02:09:04.981 --> 02:09:06.942]  To reject its use, or to accept it.
[02:09:06.942 --> 02:09:08.183]  But it has to be informed.
[02:09:08.183 --> 02:09:14.346]  And at the end of the day, to require someone to wear a mask, I don't care if they even make it into a law, that law has to be repealed.
[02:09:14.346 --> 02:09:17.387]  Because you cannot force someone to restrict their breathing.
[02:09:17.387 --> 02:09:19.368]  Breathing is something that is necessary.
[02:09:19.368 --> 02:09:20.929]  It is a necessary form of life.
[02:09:20.929 --> 02:09:23.010]  Oxygen is necessary.
[02:09:23.010 --> 02:09:23.311]  Alright?
[02:09:23.311 --> 02:09:26.552]  It's a necessary element, a necessary gas in our body.
[02:09:26.552 --> 02:09:33.015]  Our body functions and needs certain things to intake, to take in, to carry out life processes.
[02:09:33.015 --> 02:09:33.756]  So when you're saying,
[02:09:34.742 --> 02:09:48.274]  No, and you're restricting our intake of oxygen and our ability to release other poisons such as carbon dioxide and other things, then you're pretty much subjecting someone to death.
[02:09:48.274 --> 02:09:51.837]  You're subjecting them to sickness, right?
[02:09:51.837 --> 02:09:54.980]  The very thing that you're trying to stop is what you're actually causing.
[02:09:55.882 --> 02:10:03.588]  Well, and I think most people would have to admit, I mean, aside from maybe the most deranged among us, people would have to admit that, yeah, it makes no sense.
[02:10:03.588 --> 02:10:11.415]  You walk into the restaurant with the mask and then you take it off to sit down or put it back on when you get up to go to the bathroom or, you know, whatever the nonsensical procedures are.
[02:10:12.657 --> 02:10:20.367]  But of course it gets enforced because of government, because of these medical bureaucracies.
[02:10:20.367 --> 02:10:26.516]  And so then restaurants are in fear that, oh, they're going to get shut down or they're going to get fined or they're going to get punished if they don't obey.
[02:10:26.516 --> 02:10:28.799]  And so then they have to force these nonsensical measures.
[02:10:29.299 --> 02:10:30.100]  Absolutely.
[02:10:30.100 --> 02:10:31.061]  Absolutely.
[02:10:31.061 --> 02:10:33.122]  And what people don't understand is the power that they have.
[02:10:54.258 --> 02:10:58.981]  We, the citizens in this country, have more power than what we're utilizing.
[02:10:58.981 --> 02:11:10.809]  We literally have the power and the authority to abolish the government if it fails to carry out the functions for which it was created, and to create a new government.
[02:11:10.809 --> 02:11:20.456]  And I am so serious about that, and we just need to go back to the documents that founded this country, you know, that have been amended to include certain things, but we're
[02:11:20.796 --> 02:11:22.938]  We just have to take back our power.
[02:11:40.270 --> 02:12:08.011]  Well, and it's amazing that we have to sit here and say things like, hey, you know, the Bill of Rights is good, the Declaration of Independence is good, breathing oxygen is good, but we're now in this scenario where it's like we have to refresh this, we have to remind ourselves of this, because we just look around at society, and it just seems to be breaking down and going crazy, and it's like, hey, remember, you need to breathe oxygen, hey, remember, you're a free citizen of this country, your government cannot oppress you like this, and it's sad that we have to have
[02:12:08.852 --> 02:12:16.120]  What should be just elementary conversations but on this platform because this is the craziness of society we're dealing with now.
[02:12:17.552 --> 02:12:25.359]  Absolutely, and it's even crazy because most people don't even know or they don't have the information that we do discuss, right?
[02:12:25.359 --> 02:12:28.081]  Schools are not teaching this information.
[02:12:28.081 --> 02:12:34.546]  Most kids are not coming out of school understanding the basics of the founding of this country.
[02:12:34.546 --> 02:12:38.850]  And that's coming out of elementary school and even high school.
[02:12:38.850 --> 02:12:43.654]  And unless you particularly go and take a course specific
[02:12:44.749 --> 02:12:48.350]  To getting this information, you won't even get it in college.
[02:12:48.350 --> 02:12:56.393]  And so, government has taken over education, it's infiltrated its way into every area of our life, and it has dumbed it down.
[02:12:56.393 --> 02:12:57.513]  That's what it has done.
[02:12:57.513 --> 02:13:04.416]  And it has manipulated it and changed it for their purposes, and to benefit them, not the people.
[02:13:04.416 --> 02:13:07.537]  Which is contrary, completely contrary to their purpose.
[02:13:08.397 --> 02:13:15.020]  What of this stalemate, it seems that we have a stalemate here, because I could ask you, I could say, hey, what legal action can people take?
[02:13:15.020 --> 02:13:17.221]  But the legal action has been taken.
[02:13:17.221 --> 02:13:20.622]  I mean, the mask mandate was banned from New York City.
[02:13:20.622 --> 02:13:24.764]  And then just one judge just comes about and says, nope, we are going to have the mask mandate.
[02:13:24.764 --> 02:13:31.947]  So so what do you make of this legal stalemate, this back and forth of, hey, no masks, OK, yes, mask, OK, no mask, OK, yeah.
[02:13:31.947 --> 02:13:34.148]  I mean, it's just with every one of these covid issues.
[02:13:35.586 --> 02:13:40.576]  I thank God for the judges that are bold enough to take a stand, but I am also very careful.
[02:13:41.446 --> 02:13:48.007]  When I read their rulings, and I said I had to read it more in depth.
[02:13:48.007 --> 02:13:49.928]  I wanted to go back over it and read it more in depth.
[02:13:49.928 --> 02:14:01.610]  But one thing I noticed in it, the judge made reference, which is very true, that it takes the legislators, right, to impose this, to make a law, pretty much, and to be able to impose this.
[02:14:01.610 --> 02:14:06.831]  And so at the way it stands right now, the mandates don't have the rule of law.
[02:14:06.831 --> 02:14:08.451]  They don't have the power of law.
[02:14:08.451 --> 02:14:09.211]  And so Harkle,
[02:14:10.276 --> 02:14:10.616]  Thank you.
[02:14:24.654 --> 02:14:30.323]  Because when I read it, I said, the next step is going to be legislation behind this.
[02:14:30.323 --> 02:14:32.646]  They're going to try to turn this into a law.
[02:14:32.646 --> 02:14:40.318]  They're going to make a law surrounding this so that when people break the law, now you become subject to the judicial system.
[02:14:40.758 --> 02:14:46.400]  And at that point, your freedoms are lost based upon our 13th Amendment and how it was written, the loophole.
[02:14:46.400 --> 02:14:48.501]  And so we have to be very careful.
[02:14:48.501 --> 02:14:58.485]  I am happy when I see the rulings because it shows that there is someone that has the fortitude to do what is right.
[02:14:58.485 --> 02:15:03.387]  But I'm also very careful because I watch to see the steps and what's coming next.
[02:15:03.971 --> 02:15:14.380]  And the inconsistent rulings can show that the law is there and everyone else is violating the law and that's why you're having inconsistent rulings coming out of the court.
[02:15:14.380 --> 02:15:30.733]  But the inconsistency can also be created to get it to the legislatures so that they can now create this law which shuts down all this conversation and all this debate and now you're going to be dealing with this from another angle and from a higher level.
[02:15:31.354 --> 02:15:35.555]  And so we have to be careful, and we have to get involved with what's going on.
[02:15:35.555 --> 02:15:44.578]  The legislative session is open, and there are tons of bills on the floor that are seeking to pretty much wipe away our rights.
[02:15:44.578 --> 02:15:49.099]  And the population has to get involved, the communities have to get involved.
[02:15:49.099 --> 02:15:52.940]  We have to... And in the meantime, the citizens are in this whirlpool of madness.
[02:15:52.940 --> 02:15:55.761]  We've got to go to break, but we'll be right back with Attorney Tricia Lindsey.
[02:15:55.761 --> 02:15:56.281]  Don't go anywhere.
[02:15:58.547 --> 02:16:05.691]  Both of these amazing products have been sold out for almost half a year because of supply chain breakdowns.
[02:16:05.691 --> 02:16:09.353]  You've done a great job supporting InfoWars and supporting your immune system.
[02:16:09.353 --> 02:16:13.756]  The problem is with all the COVID lockdowns, the Great Reset, we can't get these products in.
[02:16:13.756 --> 02:16:14.416]  So finally,
[02:16:14.716 --> 02:16:14.996]  I think?
[02:16:30.455 --> 02:16:30.675]  Thank you.
[02:16:59.738 --> 02:17:06.884]  I have the greatest sense of loss deep in my heart, deep in my soul, I've ever had in my 47 years on this planet.
[02:17:06.884 --> 02:17:09.386]  I've had a lot of loss, like everybody else has.
[02:17:09.386 --> 02:17:23.398]  And it's because it's a loss of ancestral freedom that so many people fought and died and bled and sweat for.
[02:17:23.398 --> 02:17:25.160]  And now we're just throwing it all away.
[02:17:26.920 --> 02:17:34.905]  And I see the general public in a medically-induced, scientifically-induced, behavioral, psychologically-controlled trance.
[02:17:34.905 --> 02:17:40.209]  And I know we're being fed into this globalist meat grinder, and it's so incredibly sad.
[02:17:40.209 --> 02:17:49.895]  But this is the process of birth, and then growth, and then falling apart, and then degenerating, and collapsing, and then coming back to life again.
[02:17:50.882 --> 02:17:58.384]  It's just the globalists are actively trying to steer and control this process of decadence and collapse to actually end the species as we know it.
[02:17:58.384 --> 02:18:04.805]  I want to tell you about a sale that we've just launched, especially if you have not properly prepped for a disaster.
[02:18:04.805 --> 02:18:09.366]  10% off all storable foods at infowarstore.com.
[02:18:09.366 --> 02:18:11.387]  It's insurance you can eat.
[02:18:11.387 --> 02:18:16.788]  The globalists have crept out of the shadows and are now openly trying to destabilize the entire planet.
[02:18:17.348 --> 02:18:27.533]  And in my opinion, now is the most crucial time to stock up on storable food and get ready for the next big crisis because these Democrats have already shown they're not holding anything back.
[02:18:27.533 --> 02:18:38.738]  In response to this communist sabotage of humanity, the team over at MyPatriotSupply has agreed to allow us to offer our customers 10% off all storable foods.
[02:18:38.738 --> 02:18:40.299]  But this deal can't last long.
[02:18:40.299 --> 02:18:42.880]  This is only available for a limited time.
[02:18:42.880 --> 02:18:43.861]  Your decision now
[02:18:44.221 --> 02:18:47.466]  Can mean saved time and money later.
[02:18:47.466 --> 02:18:51.132]  Not to mention insurance you can eat in a crisis.
[02:18:51.132 --> 02:18:56.079]  10% off all storable food right now at InfoWarsStore.com
[02:18:58.627 --> 02:19:02.169]  UN-run contact tracers aren't coming, they're here.
[02:19:02.169 --> 02:19:16.897]  All over the world, from Australia to the United States, from Canada to Germany, these tyrants are tracking everything you do, everywhere you go, and then coming to your house and threatening, in some cases actually, taking people away into the night to their facilities.
[02:19:16.897 --> 02:19:25.161]  And they're planning in the next year to expand their shield process, where they come and take, quote, healthy people away and put them in facilities for their safety.
[02:19:25.461 --> 02:19:27.282]  This is nothing less than martial law.
[02:19:27.282 --> 02:19:35.084]  And one big thing you can do to fight back is to get high-quality Faraday cages, many of which are made here in America and are very compliant, meeting U.S.
[02:19:35.084 --> 02:19:38.425]  government military grade at m4warstore.com.
[02:19:38.425 --> 02:19:40.346]  We have the entire line of silent
[02:19:40.586 --> 02:19:41.106]  We're good to go.
[02:20:42.037 --> 02:20:48.919]  Thank God for great people like Tricia Lindsey who are speaking up, making their voices heard.
[02:20:48.919 --> 02:20:55.801]  And I wanted to ask her now, what is it like in New York?
[02:20:55.801 --> 02:21:02.464]  I mean, because you obviously have some pushback against these mandates, but I mean, what does the scoreboard look like?
[02:21:02.464 --> 02:21:05.044]  What does kind of the team layout look like?
[02:21:05.044 --> 02:21:07.425]  I mean, are there a bunch of lawyers jumping on board?
[02:21:07.425 --> 02:21:09.786]  I mean, is there a lot of pushback on the governor?
[02:21:10.831 --> 02:21:13.512]  Does she even care if there's pushback?
[02:21:13.512 --> 02:21:17.633]  Is she just going to have her will no matter what with the medical tyranny?
[02:21:17.633 --> 02:21:24.875]  I mean, and then ultimately, I fear that, you know, New York will kind of be set as the example for the rest of the states.
[02:21:24.875 --> 02:21:28.396]  Maybe it doesn't make it to other states, but I think that that's the goal.
[02:21:28.396 --> 02:21:35.758]  So, I mean, where do you think it stands in New York right now when it comes to the medical tyranny versus the freedom of choice battle that's happening?
[02:21:37.256 --> 02:21:39.117]  I think more and more people are waking up.
[02:21:39.117 --> 02:21:41.939]  I think they're getting motivated.
[02:21:41.939 --> 02:21:49.945]  You have a number of rallies that are planned that I've been seeing coming across my phone and my email that are being planned.
[02:21:49.945 --> 02:21:53.347]  I believe there's one even happening right now, or it took place yesterday.
[02:21:53.347 --> 02:21:54.448]  Yeah, I can't even keep up.
[02:21:54.448 --> 02:21:55.209]  It's like every day.
[02:21:56.229 --> 02:21:57.570]  Yes, exactly.
[02:21:57.570 --> 02:22:04.552]  And I'll get the invitations to come, but I can't be at the rallies, otherwise I won't have a practice anymore, so I can't be everywhere.
[02:22:04.552 --> 02:22:16.697]  But there are a number of people that are pushing back at Governor Honko and at the local politicians, our local leaders, because they realize that something is wrong.
[02:22:16.697 --> 02:22:23.179]  The inconsistent rulings out of the court helps with that, too, as well as the inconsistent reports coming across the television.
[02:22:23.519 --> 02:22:23.759]  Right?
[02:22:23.759 --> 02:22:30.903]  They're using mainstream media to pretty much brainwash people and to spread fear and propaganda into them.
[02:22:30.903 --> 02:22:37.947]  But now with all the inconsistencies that are coming across the screen, it's causing people to think that weren't thinking before.
[02:22:37.947 --> 02:22:43.350]  And so they're waking up another section of the population that are saying, wait a minute, this doesn't make any sense.
[02:22:44.318 --> 02:22:49.319]  And now with the mask mandate being lifted, you have whole school districts that are planning to walk out.
[02:22:49.319 --> 02:22:52.640]  Teachers, parents are getting involved and saying, not anymore.
[02:22:52.640 --> 02:22:54.721]  We're not doing this anymore to our children.
[02:22:54.721 --> 02:23:00.822]  And so as that spreads, as that starts to happen, then the momentum will continue to drive, will continue to move.
[02:23:00.822 --> 02:23:04.603]  But I know that in New York, people are waking up.
[02:23:04.603 --> 02:23:11.745]  Restaurant owners are having a hard time because, I mean, let's face it, the vaccinated were going out before, but like your
[02:23:14.389 --> 02:23:24.917]  They said on this prior to the start of my interview, vaccinated people are getting tired of going out and having to show cards.
[02:23:24.917 --> 02:23:33.704]  They're getting tired of being asked and they're getting tired of being separated because I've been invited to a few events in New York City and I say I can't go and I'm not going because I'm not getting vaccinated.
[02:23:33.704 --> 02:23:35.105]  I'm not carrying a card.
[02:23:35.105 --> 02:23:38.628]  I'm not answering to that and I'm not going to any establishment that is supporting
[02:23:39.417 --> 02:23:40.817]  These slave passports.
[02:23:40.817 --> 02:23:45.859]  And so now the vaccinated are putting pressure on to the business owners and saying, we're not going.
[02:23:45.859 --> 02:23:51.300]  And I tell people come to this place, come to this area of New York, because this is not happening there.
[02:23:51.300 --> 02:23:53.601]  And so the momentum is driving.
[02:23:53.601 --> 02:23:59.863]  And from what I understand, there were a number of business owners that went and met with the new mayor and said, we can't do this anymore.
[02:23:59.863 --> 02:24:01.423]  We cannot take this anymore.
[02:24:01.423 --> 02:24:02.483]  We're losing business.
[02:24:02.483 --> 02:24:03.364]  We're going to shut down.
[02:24:03.364 --> 02:24:04.444]  We're not going to make it through.
[02:24:04.824 --> 02:24:06.006]  And I heard it through the grapevine.
[02:24:06.006 --> 02:24:12.718]  I didn't check it, but I heard it through the grapevine today that they are planning possibly on giving another bailout to the restaurants.
[02:24:13.681 --> 02:24:14.582]  Which is going to be crazy.
[02:24:14.582 --> 02:24:15.802]  Where's all this money coming from?
[02:24:15.802 --> 02:24:17.903]  There is no money in the economy.
[02:24:17.903 --> 02:24:25.527]  And they're taking our taxpayer dollars and giving it to businesses so that they can continue to oppress the people that are supporting them.
[02:24:25.527 --> 02:24:26.608]  It's just madness.
[02:24:26.608 --> 02:24:28.649]  But people are waking up.
[02:24:28.649 --> 02:24:30.710]  The momentum is growing.
[02:24:30.710 --> 02:24:32.611]  And I believe we are going to succeed.
[02:24:32.611 --> 02:24:34.152]  I know we're going to succeed.
[02:24:34.152 --> 02:24:35.372]  We just have to hold the line.
[02:24:35.372 --> 02:24:36.653]  We just have to stand strong.
[02:24:36.653 --> 02:24:41.856]  And I know it's easier for some people to say it than others because a number of people have lost their jobs.
[02:24:42.256 --> 02:24:48.398]  People, you know, are on the verge of losing their homes, but it's taking us back to the basics and it's causing an awakening to happen.
[02:24:48.398 --> 02:24:51.639]  And so we just have to hold the line, help and support each other.
[02:24:51.639 --> 02:24:53.320]  Don't fight with people.
[02:24:53.320 --> 02:25:00.502]  I don't argue with people about my stance on the vaccine or the mandates or anything if they are just so far gone.
[02:25:01.463 --> 02:25:03.624]  And that it's going to be a debate.
[02:25:03.624 --> 02:25:04.865]  I love them from a distance.
[02:25:04.865 --> 02:25:07.066]  I pray for them and I hope that they wake up.
[02:25:07.066 --> 02:25:09.647]  But if not, I leave them alone and I wish them well.
[02:25:09.647 --> 02:25:10.768]  You know what I mean?
[02:25:10.768 --> 02:25:12.849]  But we are there.
[02:25:12.849 --> 02:25:15.250]  The population is waking up and we are going to win this.
[02:25:15.250 --> 02:25:18.672]  Haku Party doesn't care because most of them are arrogant, right?
[02:25:18.672 --> 02:25:21.294]  They have the backing of whoever it is.
[02:25:21.294 --> 02:25:24.375]  These nefarious people sitting in high places.
[02:25:24.375 --> 02:25:29.078]  But what I know is that every high place eventually will come down and they will be made low.
[02:25:29.716 --> 02:25:30.877]  Yeah, I agree.
[02:25:30.877 --> 02:25:33.939]  Good ultimately defeats evil every time.
[02:25:33.939 --> 02:25:36.901]  Sometimes it takes longer than other times.
[02:25:36.901 --> 02:25:38.702]  That's because people are overall good.
[02:25:38.702 --> 02:25:40.463]  I do believe that.
[02:25:40.463 --> 02:25:49.268]  Now, when you see stories like this, and there's dozens of them now, man in Boston kicked off heart transplant list for not being vaccinated.
[02:25:49.268 --> 02:25:54.292]  He literally cannot get the vaccine because of the side effects on the heart could kill him.
[02:25:55.052 --> 02:25:59.975]  So now he's been sentenced to death because he won't get the vaccine and now he doesn't get a heart transplant.
[02:25:59.975 --> 02:26:09.781]  I mean, aside from just the clear evil here, from a legal standpoint, what goes through your head as an attorney when you see such discrimination?
[02:26:09.781 --> 02:26:14.504]  That every person involved in that situation are going to be held liable.
[02:26:15.011 --> 02:26:18.254]  For whatever happens to that man and I pray he makes it through.
[02:26:18.254 --> 02:26:28.181]  But every single person down to the doctor that refused to treat him will be held liable and they all need to be locked up in a prison and throw the key away.
[02:26:28.181 --> 02:26:33.385]  Because who in the world gave them the power and authority to decide who lives and who dies?
[02:26:33.385 --> 02:26:35.467]  Who deserves life and who deserves death?
[02:26:35.467 --> 02:26:42.172]  We have lost our minds in this country and that's why we have to hold the line and that's why we also have to unplug.
[02:26:42.472 --> 02:26:42.973]  Yes, absolutely.
[02:26:50.748 --> 02:26:52.389]  From their hospitals.
[02:26:52.389 --> 02:26:55.232]  And one person, I think, was terminated from Kaiser.
[02:26:55.232 --> 02:26:57.193]  And I said, we'll go build a new Kaiser.
[02:26:57.193 --> 02:26:58.434]  We have to unplug.
[02:26:58.434 --> 02:26:59.475]  We need to stop.
[02:26:59.475 --> 02:27:01.177]  I tell people, don't go to the hospitals.
[02:27:01.177 --> 02:27:05.300]  Because once you go to the hospital, there's no guarantee that you'll come back out alive.
[02:27:05.300 --> 02:27:06.141]  So don't go.
[02:27:06.141 --> 02:27:08.283]  And unfortunately, that's where we are right now.
[02:27:08.283 --> 02:27:16.710]  So every doctor that has been separated from their institution, every nurse, every teacher, we now need to create our own institutions.
[02:27:19.091 --> 02:27:21.172]  Doctors need to start going to people's homes.
[02:27:21.172 --> 02:27:22.592]  You have a medical license to treat.
[02:27:22.592 --> 02:27:24.852]  You don't have to treat them in a hospital.
[02:27:24.852 --> 02:27:25.893]  Treat them in their homes.
[02:27:25.893 --> 02:27:26.913]  Go and visit people.
[02:27:26.913 --> 02:27:28.873]  Get back to grassroots.
[02:27:28.873 --> 02:27:29.913]  That's what we have to do.
[02:27:29.913 --> 02:27:31.354]  That's where medicine started.
[02:27:31.354 --> 02:27:33.254]  There's no problem with that right now.
[02:27:33.254 --> 02:27:34.534]  The wealthy do it all the time.
[02:27:34.534 --> 02:27:36.415]  They don't have to go to a hospital all the time.
[02:27:36.415 --> 02:27:39.855]  They have their medical doctors come and see them at home and they treat them at home.
[02:27:39.855 --> 02:27:41.215]  Let's figure something out.
[02:27:41.215 --> 02:27:43.656]  We are not slaves to this system.
[02:27:44.757 --> 02:27:47.138]  But we don't have to be slaves to this system.
[02:27:47.138 --> 02:27:50.260]  We can make a choice to do something different and to unplug.
[02:27:50.260 --> 02:27:52.141]  And that's what this is pushing us to do.
[02:27:52.141 --> 02:27:59.086]  Because when you see situations like that, who wants to go to a hospital where someone is going to look at you and say, you're unvaccinated.
[02:27:59.086 --> 02:28:01.348]  So now you cannot be treated.
[02:28:01.348 --> 02:28:02.929]  That's going back to the black codes.
[02:28:02.929 --> 02:28:04.550]  That's going back to the slave passport.
[02:28:04.550 --> 02:28:06.351]  That to me is going back to the Holocaust.
[02:28:06.571 --> 02:28:10.253]  And I don't care what the media wants to say that we're comparing this to the Holocaust.
[02:28:10.253 --> 02:28:11.333]  Read the history.
[02:28:11.333 --> 02:28:17.255]  Read what took place years ago in the history of this country and in Germany and everywhere else.
[02:28:17.255 --> 02:28:21.517]  And there's no one that can debate that this is very similar to what took place.
[02:28:21.517 --> 02:28:25.379]  No, that's why they say those who don't know history are doomed to repeat it.
[02:28:25.379 --> 02:28:28.800]  And we're in the process of repeating it all right now.
[02:28:28.800 --> 02:28:31.761]  Trisha Lindsay, I know you're obviously busy running your law practice there.
[02:28:31.761 --> 02:28:33.702]  Is there any way you could do one more segment with me?
[02:28:35.234 --> 02:28:35.834]  Sure.
[02:28:35.834 --> 02:28:45.397]  That would be wonderful, because I'd also like to get into the crime spree that's happening in New York right now, and get your take on that, because that doesn't seem to be going away.
[02:28:45.397 --> 02:28:49.199]  Alright, so Tricia Lindsey, great interview, going to do one more segment with us on the other side.
[02:28:49.199 --> 02:28:51.739]  Folks, tell your friends and family to tune in.
[02:28:51.739 --> 02:28:54.480]  I know you can't share all the links, but we got futurenews.news.
[02:28:54.480 --> 02:28:56.241]  You can still share that link to the livestream.
[02:28:59.415 --> 02:29:07.100]  Sleepless nights seem to be a lot more common these days, with everything that's going on both at home and the world at large.
[02:29:07.100 --> 02:29:15.645]  If you're having trouble getting to that deep sleep we could all use more of, our new sleep support formula, Down and Out, is just the thing.
[02:29:15.645 --> 02:29:22.029]  It's our new, faster-absorbing liquid formula that is specifically designed to help you get the shut-eye you deserve.
[02:29:22.648 --> 02:29:33.100]  Formulated to improve upon our best-selling product, Knockout, with Down and Out, now the herbs and melatonin packed inside are extracted directly into the glycerin solution.
[02:29:33.100 --> 02:29:37.905]  So the ingredients are already dissolved into the formula before you even take it.
[02:29:37.905 --> 02:29:41.629]  One of the other sleep support herbs included is the Passionflower.
[02:29:41.849 --> 02:29:48.495]  Which was traditionally used by Native Americans like the Cherokees who used it for its relaxing qualities.
[02:29:48.495 --> 02:29:54.661]  Be sure to take this product when you are completely ready for sleep because you will be down and out.
[02:29:54.661 --> 02:29:56.963]  Selling out now at InfoWarsStore.com
[02:29:58.764 --> 02:30:06.173]  Ultimate Bone Broth is back and better than ever and 20% off plus free shipping and double Patriot points for our new sale.
[02:30:06.173 --> 02:30:13.301]  After years of being off the shelves, we're bringing back one of the biggest fan favorite formulas ever and it's now been reformulated and is even stronger.
[02:30:13.301 --> 02:30:15.183]  It's Ultimate Bone Broth Plus.
[02:30:15.843 --> 02:30:24.865]  It's got concentrated high-quality chicken broth protein, turmeric root that's so amazing, chaga mushroom, bee pollen, goji berry, alfalfa herb powder.
[02:30:24.865 --> 02:30:28.486]  Then it's got added magnesium and potassium for electrolytes.
[02:30:28.486 --> 02:30:35.027]  It's got real organic cocoa bean powder with natural chocolate flavor and a touch of sea salt.
[02:30:35.027 --> 02:30:39.448]  It even tastes better than the last formula and what it does for your body is simply amazing.
[02:30:39.448 --> 02:30:42.109]  Again, it has that cutting-edge chicken broth
[02:30:42.509 --> 02:30:46.874]  Protein isolate powder for better flavor and dissolvability.
[02:30:46.874 --> 02:30:51.039]  You're gonna love this and what it does for your joints, what it does for your body, what it does for your bones.
[02:30:51.039 --> 02:30:53.823]  It's simply amazing and it helps fund the InfoWar.
[02:30:53.823 --> 02:30:57.948]  This is really the best bone broth out there, so get yours at InfoWarStore.com today!
[02:30:58.388 --> 02:31:04.171]  Well, I'm very excited for several reasons that two of our very popular products are back in stock.
[02:31:04.171 --> 02:31:19.160]  Whole Food Multivitamin Essential Nutrient Multivitamin from Natural Healthy Sources, not synthetic, and Vitamin C and Zinc with Rosehips, the classic Linus Pauling Nobel Prize winning formula to supercharge your immune system and every cell in your body.
[02:31:19.160 --> 02:31:22.962]  They're both back in stock, sold out for more than four months at 40% off.
[02:31:25.003 --> 02:31:30.949]  Another reason I'm very, very excited about this is, this will fund our operation and keep us on air.
[02:31:30.949 --> 02:31:40.339]  So again, it's a 360 win, but whatever you do, go out and get an organic, whole food, multivitamin, Antec Vitamin C, Antec Zinc.
[02:31:40.919 --> 02:31:44.101]  We also have some great vitamin D products at InfoWarsTore.com that you can eat as well.
[02:31:44.101 --> 02:31:47.622]  But whatever you do, defend your body's immune system.
[02:31:47.622 --> 02:31:50.244]  We want to keep patriots in the game against the New World Order.
[02:31:50.244 --> 02:31:51.504]  So it's a 360 win.
[02:31:51.504 --> 02:31:57.827]  Get something essential for your body and your health and your longevity and your immune system while funding the InfoWar at InfoWarsTore.com.
[02:32:00.680 --> 02:32:02.080]  Keep us on air.
[02:32:02.080 --> 02:32:04.621]  We'll continue to bring you the banned guests.
[02:32:04.621 --> 02:32:08.482]  We'll continue to bring the information that no one else will touch.
[02:32:08.482 --> 02:32:09.263]  Keep us on air.
[02:32:09.263 --> 02:32:10.543]  Go to InfoWarsStore.com.
[02:32:10.543 --> 02:32:24.087]  The new supplements that we have, the latest in the InfoWars Life Supplement line, the Vitamin D3 with Calcium Gummies, the Vitamin C with Zinc, and the Whole Food Multivitamins, or if you buy the Combo Pack with all three, at InfoWarsStore.com.
[02:32:24.087 --> 02:32:26.548]  And you know, I'm telling you, the Vitamin D Gummies,
[02:32:27.608 --> 02:32:29.350]  This is a great thing for your kids.
[02:32:29.350 --> 02:32:30.051]  They're going to love it.
[02:32:30.051 --> 02:32:31.754]  They're going to love the taste of the gummies.
[02:32:31.754 --> 02:32:33.156]  It's healthy.
[02:32:33.156 --> 02:32:34.658]  So that's just a great thing for kids.
[02:32:34.658 --> 02:32:36.240]  I mean, we could just do marketing campaigns.
[02:32:36.240 --> 02:32:38.423]  I think for kids, that'd be great.
[02:32:38.423 --> 02:32:39.344]  Calcium, good for them.
[02:32:39.344 --> 02:32:39.805]  The vitamin D.
[02:32:41.095 --> 02:32:44.137]  So, that's at InfoWarsStore.com.
[02:32:44.137 --> 02:32:46.758]  And again, it's your support there that keeps us on the air.
[02:32:46.758 --> 02:32:54.982]  So, the supplements, the shirts, the air filters, the water filters, the emergency food supplies, the emergency supplies at InfoWarsStore.com.
[02:32:54.982 --> 02:32:56.623]  Your support there keeps us on the air.
[02:32:56.623 --> 02:32:59.084]  We cannot thank you enough.
[02:32:59.084 --> 02:33:04.987]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones.
[02:33:14.884 --> 02:33:20.114]  Infowars.com is tomorrow's news today.
[02:33:20.114 --> 02:33:23.160]  And now, your host, Owen Troyer.
[02:33:24.659 --> 02:33:26.160]  Tricia Lindsey is with us.
[02:33:26.160 --> 02:33:28.120]  She is an attorney based out of New York.
[02:33:28.120 --> 02:33:39.525]  She's been very outspoken against the medical tyranny that her state has been enduring, but I want to switch to another topic, which I think is very important as well.
[02:33:39.525 --> 02:33:49.689]  Maybe not as important as the medical tyranny and the long-term precedents that could be set with that, but very important for the people of New York, specifically New York City.
[02:33:51.072 --> 02:34:07.607]  What they're going through with these crime rates right now, and it's so bad that you've now had an activist who has put fake blood outside New York City District Attorney Alvin Bragg's Manhattan office to protest policies amid crime surge.
[02:34:07.607 --> 02:34:12.251]  Now, of course, that activist has now been arrested.
[02:34:12.251 --> 02:34:14.373]  I'm sure that that, or should I say,
[02:34:15.569 --> 02:34:21.379]  Yeah, I'm sure that that didn't come directly from Alvin Bragg's office to have that individual arrested.
[02:34:22.728 --> 02:34:28.452]  Because, you know, when liberals and Democrats go out and do their protesting, nobody seems to mind.
[02:34:28.452 --> 02:34:34.717]  Or when violent criminals go out and do their thing, the District Attorney Bragg doesn't seem to mind either.
