[00:00:00.089 --> 00:00:02.291]  The Liberal World Order!
[01:34:35.188 --> 01:34:41.551]  Before YouTube took down his 20-plus videos I watched last night, at least in five or six of them, he dresses as a woman.
[01:34:42.111 --> 01:34:45.772]  So now he dresses a woman to... High-zinity?
[01:34:45.852 --> 01:34:46.133]  No.
[01:34:46.973 --> 01:34:49.654]  He was drinking the New World Order Kool-Aid 110%.
[01:34:50.854 --> 01:34:55.796]  And so look for him to cover that up as well.
[01:34:55.997 --> 01:34:57.397]  All right, we're taking your phone calls.
[01:34:58.057 --> 01:35:02.899]  Leroy in Texas talking about inflation, the globalists making their move.
[01:35:02.939 --> 01:35:03.900]  What's your view on all this?
[01:35:05.851 --> 01:35:06.791]  Howdy, Mr. Jones.
[01:35:07.312 --> 01:35:07.632]  Yes, sir.
[01:35:08.912 --> 01:35:10.073]  Thank you for taking my call.
[01:35:11.554 --> 01:35:15.556]  Well, first of all, thanks for all the products you've got.
[01:35:16.316 --> 01:35:24.300]  I've got Alexa Breeze in all my rooms, and my wife, she gets a little upset when it's not running, so she's kind of used to that now.
[01:35:24.640 --> 01:35:25.720]  Thanks for keeping us on air.
[01:35:27.041 --> 01:35:27.381]  Yes, sir.
[01:35:27.901 --> 01:35:35.822]   So, I guess the one thing I want to bring up is, excuse me, Have you ever heard of Jonathan Kleck?
[01:35:37.723 --> 01:35:37.924]  No.
[01:35:39.485 --> 01:35:39.905]  You haven't?
[01:35:39.965 --> 01:35:41.526]  Well, he's right there in San Antonio.
[01:35:42.727 --> 01:35:44.528]  And he's got a line on all this stuff.
[01:35:45.989 --> 01:35:48.311]  And I gotta tell ya, he's really helped me.
[01:35:49.351 --> 01:35:51.913]  I listen to you during the day and I listen to him at night.
[01:35:51.933 --> 01:35:54.255]  Sure is his name.
[01:35:54.335 --> 01:35:55.596]  Jonathan Quick or Kleck?
[01:35:56.856 --> 01:35:57.217]  Kleck.
[01:35:58.958 --> 01:35:59.398]  Alright.
[01:35:59.558 --> 01:36:01.360]  His name means Jonathan Kleck.
[01:36:01.740 --> 01:36:03.401]  Yahweh has given a bell ringer.
[01:36:04.286 --> 01:36:12.988]  So, um, he's got, uh, he's got the explanation for all this transgender and all this, uh, alien.
[01:36:13.728 --> 01:36:18.689]  Uh, it's pretty, pretty, it's all Bible, uh, fact.
[01:36:19.689 --> 01:36:23.570]  So he, he kind of deciphers, he's got the unrolled scroll, I guess.
[01:36:23.630 --> 01:36:24.590]  I'm going to look it up, brother.
[01:36:24.610 --> 01:36:25.350]  I'm going to look it up.
[01:36:25.390 --> 01:36:26.250]  What else is on your mind?
[01:36:27.570 --> 01:36:30.631]  Well, I guess just, uh, just being able to talk to you.
[01:36:31.744 --> 01:36:32.304]  Nice stuff.
[01:36:32.704 --> 01:36:40.026]  Hopefully you can get him online because you've got Salty Cracker on there and all the other guys.
[01:36:41.286 --> 01:36:42.346]  He'd be a great addition.
[01:36:42.426 --> 01:36:44.707]  There are a bunch of other guests we want to get on, sir.
[01:36:44.767 --> 01:36:46.067]  Thank you so much, Leroy.
[01:36:46.727 --> 01:36:48.908]  All right, up next, Jason in Texas.
[01:36:48.968 --> 01:36:50.348]  Jason, you're on the air worldwide.
[01:36:52.408 --> 01:36:53.829]  Alex, thanks for taking my call.
[01:36:54.349 --> 01:36:55.489]  I'm going to be straight to the point.
[01:36:56.489 --> 01:37:00.810]  The elites are spitting in our face with predictive programming.
[01:37:01.485 --> 01:37:08.749]  The new Jurassic Park Dominion movie specifically talks about genetically modified locusts.
[01:37:08.769 --> 01:37:17.533]  Huge, huge genetically modified locusts eating up all the farmland and not eating the genetically modified crops.
[01:37:18.373 --> 01:37:24.396]  And in the movie, it specifically says that they're going to have a worldwide famine that'll kill millions.
[01:37:24.416 --> 01:37:29.799]  Sure, they only eat the normal crops, so we're forced to eat the GMO crops to sterilize us.
[01:37:33.326 --> 01:37:38.548]  If I could make a suggestion, it'd be great if you would make a VPN service so we could protect our internet.
[01:37:39.888 --> 01:37:40.909]  We know you wouldn't sell out.
[01:37:41.729 --> 01:37:43.990]  Well, there's a thousand things we need to do, brother, but I hear you.
[01:37:44.010 --> 01:37:47.571]  What else do you think is going to happen during the scorched earth New World Order policy?
[01:37:49.452 --> 01:37:50.132]  There's no telling.
[01:37:50.292 --> 01:37:51.653]  I feel like there's a big war coming.
[01:37:52.313 --> 01:37:53.273]  The war is already here.
[01:37:53.313 --> 01:37:56.654]  There's an economic war to collapse us and bring us to our knees.
[01:37:56.694 --> 01:37:57.755]  Thank you so much, Jason.
[01:37:58.495 --> 01:37:59.915]  Let's talk to Greg in Iowa.
[01:37:59.935 --> 01:38:00.676]  Greg, you're on the air.
[01:38:00.696 --> 01:38:01.076]  Go ahead, Greg.
[01:38:02.472 --> 01:38:09.574]  Yeah, um, I wanted to talk about CERN and, um, without going down a rabbit hole... No, go ahead.
[01:38:09.654 --> 01:38:15.615]  CERN, they're not just creating biological aliens, they're creating black holes, strange little things to destroy the planet.
[01:38:15.976 --> 01:38:23.577]  Here's BBC Today, and it says scientists find new exotic configurations of quarks, so they've turned CERN back on.
[01:38:24.898 --> 01:38:25.178]  Yeah.
[01:38:26.657 --> 01:38:38.501]  I've been doing a lot of research on that, and it's not real readily available, because they don't want to let it all out of the bag, but what they're looking for, and what they've actually captured already, is antimatter.
[01:38:39.381 --> 01:38:45.803]  Basically, when God created everything, he created light and darkness, and it's a balance that he created.
[01:38:45.883 --> 01:38:48.004]  I mean, there's a reason he put the snake in the garden.
[01:38:48.324 --> 01:38:51.305]  He didn't have to, but he did, because he wanted us to have that choice.
[01:38:52.538 --> 01:38:59.682]  And so, he created anti-matter and matter, and the matter that we know, you know, everything... Don't you love how CERN's symbol is three sixes?
[01:39:01.303 --> 01:39:01.503]  What?
[01:39:02.404 --> 01:39:05.225]  Don't you love how CERN's symbol is three sixes?
[01:39:05.525 --> 01:39:06.186]  Put it back on screen.
[01:39:06.206 --> 01:39:25.457]   Oh, yeah, and the satanic... I mean, they've got Apollo out... I mean, you could go on and on about how demonic it is, but they're trying to bring this anti-matter into our realm so that it It corrupts our matter as we know it.
[01:39:25.657 --> 01:39:27.799]  Like, if you have a log that's held together, right?
[01:39:27.859 --> 01:39:32.121]  It's controlled, it's held together until you light it on fire, and then it burns uncontrollably.
[01:39:32.942 --> 01:39:38.905]  But antimatter is the log already on fire, and it needs to be contained.
[01:39:38.965 --> 01:39:43.187]  It's like, you know, the opposite force of everything that we know is good.
[01:39:44.628 --> 01:40:00.465]   And by them trying to bring this into our realm, Their hope is that it will disrupt all of the stable matter that we have in this realm.
[01:40:01.605 --> 01:40:04.186]  And with that, darkness is tied to that.
[01:40:04.226 --> 01:40:10.827]  You know, all your demonic, all your evil... Well, it's just like Stephen King, who's definitely one of them's Dark Tower series.
[01:40:10.887 --> 01:40:13.028]  The Red King, Satan, wants to bring down reality.
[01:40:13.468 --> 01:40:17.689]  So he's waging war with any matter to destroy everything, because he hates God.
[01:40:19.788 --> 01:40:29.837]  It's very biblical, and if you just, I mean, study the Bible and what they're doing, it's, I mean, it's clear as day what's going on.
[01:40:29.917 --> 01:40:32.799]  They are waging war against the pillars of reality.
[01:40:33.360 --> 01:40:34.380]  I appreciate your call.
[01:40:34.420 --> 01:40:34.981]  God bless you.
[01:40:35.601 --> 01:40:37.163]  All right, more phone calls coming up.
[01:40:38.407 --> 01:40:43.448]  They have a special guest joining us, who's the lawyer involved with these big announcements that are being made.
[01:40:43.468 --> 01:40:44.349]  And it's in the news now.
[01:40:44.389 --> 01:40:46.829]  We told you about it yesterday, but it's in the news now.
[01:40:47.309 --> 01:40:54.051]  Texas counties declare invasion at southern border, and so much more coming up with that guest.
[01:40:54.091 --> 01:41:03.274]  But we're going to come back and take your phone calls, and then after that, your phone calls as well, here on this live Tuesday, July 5th, worldwide broadcast.
[01:41:03.954 --> 01:41:04.314]  And listen.
[01:41:05.282 --> 01:41:06.544]  I want to thank you all for your support.
[01:41:06.564 --> 01:41:08.226]  We have the July 4th special running right now.
[01:41:08.746 --> 01:41:09.487]  The biggest ever.
[01:41:09.547 --> 01:41:13.412]  We have to sell out of everything we've got to stay on air, which are great products.
[01:41:13.452 --> 01:41:19.159]  You need X2, the hair and beard formula that is really a multivitamin mineral, 75% off.
[01:41:21.221 --> 01:41:31.484]  All these products are available at InfoWarsTore.com, InfoWarsTore.com, Vitamin D3 Gummies, Alpha Power, The Great Coffee, Fish Oil, Krill Oil, so much more.
[01:41:31.544 --> 01:41:33.605]  It's at InfoWarsTore.com.
[01:41:33.625 --> 01:41:35.145]  The VasoBeats, so good for your heart.
[01:41:35.705 --> 01:41:36.786]  InfoWarsTore.com.
[01:41:36.866 --> 01:41:37.706]  I need your help.
[01:41:38.066 --> 01:41:39.126]  I don't have Jordan Soros.
[01:41:39.206 --> 01:41:40.527]  I have you, and I need your help.
[01:41:40.787 --> 01:41:41.647]  These are great products.
[01:41:41.687 --> 01:41:42.507]  Just take action.
[01:41:42.587 --> 01:41:43.128]  It's a winner.
[01:41:43.588 --> 01:41:44.728]  InfoWarsTore.com.
[01:41:44.768 --> 01:41:47.429]  Everything we do is an expression of your support.
[01:41:48.129 --> 01:41:53.010]  You know, we've gotten used to being surveilled by big tech and then censored and then lied about.
[01:41:53.030 --> 01:41:57.531]  To being silenced so they can lie about us and misrepresent what we said and done.
[01:41:57.891 --> 01:41:58.651]  That's the worst part.
[01:41:59.592 --> 01:42:06.173]  But boy, do they know how to turn the knife and put salt in the wound and piss in our faces.
[01:42:07.173 --> 01:42:10.554]  Big story by Don Salazar is up on InfoWars.com.
[01:42:11.054 --> 01:42:13.775]  You fight back against these monsters by sharing this article right now.
[01:42:15.299 --> 01:42:19.782]  Twitter suspended Dr. Zelenko's foundation that he launched two days before he died.
[01:42:19.802 --> 01:42:22.864]  A day after his death.
[01:42:24.405 --> 01:42:25.686]  They put a foundation up there.
[01:42:25.706 --> 01:42:30.209]  All the lies of Fauci and all the lies of Big Pharma.
[01:42:31.990 --> 01:42:35.693]  They suspended videos of him off of Twitter the day after he died.
[01:42:37.874 --> 01:42:38.895]  That's who these killers are.
[01:42:39.556 --> 01:42:41.577]  Aiding and abetting Big Pharma is big tech.
[01:42:41.977 --> 01:42:42.638]  It's one and the same.
[01:42:44.540 --> 01:42:46.201]  They won't suppress Dr. Zelenko.
[01:42:46.221 --> 01:42:47.242]  They won't suppress you.
[01:42:47.262 --> 01:42:50.584]  They won't suppress me as long as we have the fighting spirit.
[01:42:51.385 --> 01:42:53.426]  And Dr. Zelenko is alive with God now.
[01:42:54.206 --> 01:42:54.847]  The next level.
[01:42:56.788 --> 01:42:58.329]  We live together in the future as well.
[01:42:58.349 --> 01:43:01.631]  Because we don't submit.
[01:43:03.152 --> 01:43:05.614]  The Freedom Foundation account suspended.
[01:43:06.375 --> 01:43:07.415]  Doesn't that say it all?
[01:43:08.156 --> 01:43:09.637]  You don't get medical freedom.
[01:43:10.157 --> 01:43:11.158]  We control your bodies.
[01:43:12.901 --> 01:43:15.262]  Alright, taking calls, the order they are received.
[01:43:16.043 --> 01:43:18.664]  Mike, oh no, excuse me, not Mike, Marie.
[01:43:18.684 --> 01:43:20.205]  My eyes are going out.
[01:43:20.625 --> 01:43:22.426]  Marie in New York, go ahead.
[01:43:26.528 --> 01:43:28.149]  Hi Marie, you welcome to the show?
[01:43:29.250 --> 01:43:30.230]  Marie is gone.
[01:43:30.570 --> 01:43:36.353]  Alright, up next here in the order received would be a caller in South Dakota.
[01:43:37.574 --> 01:43:38.194]  D.C.
[01:43:38.294 --> 01:43:39.375]  in South Dakota, go ahead.
[01:43:41.860 --> 01:43:44.302]  Hey Jones, I got three main points I want to make.
[01:43:44.462 --> 01:43:47.485]  One about Mount Rushmore, Trump, and FLAC.
[01:43:47.845 --> 01:43:48.145]  Go ahead.
[01:43:48.165 --> 01:43:51.628]  First, Mount Rushmore, related to cultural warfare.
[01:43:51.648 --> 01:43:55.971]  So if you look at Mount Rushmore, we have the Founding Fathers, Jefferson, so on and so forth.
[01:43:56.392 --> 01:44:08.722]  They're right now putting up a crazy horse, a monument, a crazy horse, his own monument, who was at the time, you know, scalping the 7th Calvary, you know, when we fought in that region.
[01:44:09.418 --> 01:44:12.621]  It's a cultural war, and the left is winning the cultural war.
[01:44:13.021 --> 01:44:18.306]  And this is how I think Trump, coming in 2024, needs to get his game straight.
[01:44:18.406 --> 01:44:39.080]   So when Obama was running for a second election, all the marijuana festivals, these big left, not necessarily leftists, but definitely left-leaning marijuana conventions, so on and so forth, they had Obama printed on thousands and thousands Yeah, and then he didn't legalize marijuana.
[01:44:38.900 --> 01:44:39.900]  Remember that?
[01:44:39.900 --> 01:44:41.620]  Yeah, and then he didn't do nothing.
[01:44:41.620 --> 01:44:47.060]   But you know what it did is it allowed that single item group of people to vote on one
[01:44:47.060 --> 01:44:48.940]  issue to get their vote.
[01:44:48.940 --> 01:44:52.220]   And then they were so stoned they forgot about it and they voted for, you know, whoever,
[01:44:52.220 --> 01:44:54.499]  again, that promised the marijuana.
[01:44:54.499 --> 01:44:57.579]  What I'm saying is Trump needs to get on this topic.
[01:44:57.751 --> 01:44:59.112]  That's how he's going to get elected.
[01:44:59.212 --> 01:45:03.154]  That single item, the guns, the abortion, you're not changing anybody's opinion.
[01:45:03.655 --> 01:45:11.199]  He, that's a single issue that everybody, I think, that's a single issue voter will say, I'm voting Trump because he's going to do this.
[01:45:11.219 --> 01:45:13.921]  Appreciate your call, brother.
[01:45:13.961 --> 01:45:14.721]  Thank you, D.C.
[01:45:15.522 --> 01:45:17.703]  Let's talk to a FEMA Region 5 caller.
[01:45:18.264 --> 01:45:19.224]  Let's talk to Phil.
[01:45:19.284 --> 01:45:20.045]  Phil, you're on the air.
[01:45:20.065 --> 01:45:20.345]  Go ahead.
[01:45:21.215 --> 01:45:22.456]  Hey Alex, first time caller.
[01:45:22.616 --> 01:45:23.656]  Totally appreciate what you do.
[01:45:23.737 --> 01:45:34.843]  Listen, um, 12 years ago I was driving down the street about a half a block down the street and there was a mailbox and it said 9-11 was an inside job and InfoWars.com.
[01:45:35.724 --> 01:45:37.665]  And that was 12 years ago and that woke me up.
[01:45:38.665 --> 01:45:40.947]  And ever since then I've been watching everything you've done.
[01:45:41.007 --> 01:45:44.489]  I've got you on the, in the studio, uh, where I work every day.
[01:45:44.509 --> 01:45:51.408]   Um, the thing is, is that man put that sticker on that, um, Millbox for a reason.
[01:45:52.188 --> 01:45:52.929]  And it woke me up.
[01:45:53.029 --> 01:45:59.573]  And it also took me 12 years to kind of get the balls to go down there and introduce myself.
[01:45:59.793 --> 01:46:01.674]  You know, it's kind of a weird situation.
[01:46:02.435 --> 01:46:04.876]  And I mean, this is a neighbor.
[01:46:05.036 --> 01:46:06.317]  It's not a city block.
[01:46:06.437 --> 01:46:07.358]  It's a rural block.
[01:46:08.278 --> 01:46:16.823]  And long story short, Dr. Zev died on Thursday.
[01:46:17.964 --> 01:46:19.285]  And it was the Fourth of July weekend.
[01:46:19.747 --> 01:46:20.708]  And I said, this is the time.
[01:46:20.948 --> 01:46:22.469]  I'm going to go down and introduce myself.
[01:46:22.729 --> 01:46:24.470]  Got the balls, went down there, banged on the door.
[01:46:24.890 --> 01:46:29.273]  And I probably said the most old man thing I could probably ever say in my life at 48 years old.
[01:46:29.613 --> 01:46:31.915]  Young girl entered the door and I said, hello, is your dad home?
[01:46:32.695 --> 01:46:35.877]  And, um, dude comes to the door and I said, Hey, my name is Phil.
[01:46:36.118 --> 01:46:37.038]  I live down the street.
[01:46:37.899 --> 01:46:40.320]  And, um, your mailbox woke me up 12 years ago.
[01:46:40.520 --> 01:46:41.581]  And I want to thank you for that.
[01:46:42.602 --> 01:46:45.023]  And he lit up like it was the 4th of July.
[01:46:45.043 --> 01:46:48.085]  And we had a few words and he said, thank you.
[01:46:48.105 --> 01:46:48.946]  And I said, no, thank you.
[01:46:49.677 --> 01:46:54.539]  My life has changed 12 years ago because of that sticker on that mailbox.
[01:46:55.499 --> 01:47:02.142]  And flash forward to Saturday, still 4th of July weekend, and my wife and I are sitting on the porch.
[01:47:03.683 --> 01:47:06.564]  And here comes my neighbor with an armful of stuff.
[01:47:07.764 --> 01:47:14.167]  And he came over with a stack of InfoWars t-shirts and DVDs.
[01:47:15.758 --> 01:47:18.019]  And we both said the same thing on both days.
[01:47:18.119 --> 01:47:20.201]  If you need anything, you let me know.
[01:47:20.221 --> 01:47:28.065]  And come to find out, he, you know, knew some people that I went to high school with.
[01:47:29.186 --> 01:47:32.507]  Daughter plays a game that I'm an illustrator for, so I said, hold on.
[01:47:32.527 --> 01:47:35.869]  So I gave him a bunch of prints to give to his daughter.
[01:47:37.430 --> 01:47:39.411]  Signed and numbered and everything that I did.
[01:47:40.432 --> 01:47:57.039]   And I just want to say thank you because you're not Just putting out information you are bringing people together and this is a neighbor not even not even 200 300 feet down the street dude that I would have never met.
[01:47:57.990 --> 01:48:02.112]  Twelve years ago, if it wasn't for that bumper sticker of... Brother, don't thank me.
[01:48:02.172 --> 01:48:04.453]  I want to thank Phil and I want to thank your neighbor.
[01:48:05.193 --> 01:48:06.113]  That's what this is about.
[01:48:06.153 --> 01:48:07.714]  The power of human intelligence.
[01:48:08.054 --> 01:48:09.275]  We don't care about AI.
[01:48:09.295 --> 01:48:10.475]  We don't care about brainwashing.
[01:48:10.515 --> 01:48:11.696]  We care about human connection.
[01:48:11.996 --> 01:48:15.597]  And if we all just take action and connect, it's game over for the New World Order.
[01:48:15.617 --> 01:48:16.458]  So thank you so much.
[01:48:16.798 --> 01:48:18.378]  Folks, keep fighting hard.
[01:48:18.438 --> 01:48:19.279]  It's beautiful what you did.
[01:48:19.299 --> 01:48:20.399]  All right.
[01:48:21.240 --> 01:48:23.040]  We don't have time to jam another caller right now.
[01:48:23.060 --> 01:48:24.361]  We have a special guest joining us.
[01:48:25.919 --> 01:48:29.102]  Texas counties and cities are declaring their own emergency.
[01:48:29.683 --> 01:48:30.764]  Tens of thousands dead.
[01:48:30.924 --> 01:48:32.245]  The emergency is exploding.
[01:48:32.826 --> 01:48:34.307]  Tractor trailer is full of dead people.
[01:48:35.088 --> 01:48:38.831]  We're going to talk about it when we come back on the other side.
[01:48:38.851 --> 01:48:44.376]  And then after our guest leaves us, I will get to Laith and everybody else.
[01:48:44.417 --> 01:48:45.097]  But no more calls.
[01:48:45.117 --> 01:48:45.898]  They keep loading the phones.
[01:48:45.918 --> 01:48:47.700]  I'm going to get to everybody that's on the board here.
[01:48:49.008 --> 01:48:54.770]  And we got to end it, because I've got a guest host coming up, but I really want to talk to all of you, and I appreciate you all.
[01:48:55.130 --> 01:48:56.130]  This is going to be amazing.
[01:48:56.190 --> 01:49:04.973]  So Aubrey, and Frederick, and Ethan, and Brandon, and Lathe, and Kevin, and Michael, in the order your calls are received, I will go to you separately.
[01:49:07.065 --> 01:49:08.926]  It's listeners like that to keep us on air.
[01:49:08.986 --> 01:49:16.271]  We are up against Soros, the Democratic Party, suing us, lying about us, deplatforming us, debanking us, for years and years and years.
[01:49:16.311 --> 01:49:23.735]  But despite that, minute to minute, we're barely hanging on, but you keep us there, and it's God showing us that God's in control.
[01:49:24.035 --> 01:49:30.899]  The fact that we are just right there where we need to be, right at the moment of destruction, thanks to you taking action, we are still in the fight together.
[01:49:31.040 --> 01:49:31.480]  Amazing.
[01:49:32.671 --> 01:49:35.052]  So we have the big July 4th special still going right now.
[01:49:35.392 --> 01:49:36.172]  Biggest sale ever.
[01:49:36.192 --> 01:49:38.072]  Double Patriot points up to 75% off.
[01:49:38.593 --> 01:49:39.973]  Infowarsstore.com.
[01:49:39.993 --> 01:49:41.893]  I want to thank you all for your support.
[01:49:41.933 --> 01:49:48.195]  And if you want to stop procrastinating and get high quality, affordable food ready to ship right now, which everybody needs, preparetoday.com.
[01:49:48.715 --> 01:49:49.655]  Preparetoday.com.
[01:49:49.695 --> 01:49:52.176]  But infowarsstore.com is where you find everything.
[01:49:52.476 --> 01:49:53.156]  We'll be right back.
[01:49:53.216 --> 01:49:53.697]  Stay with us.
[01:49:53.737 --> 01:49:56.057]  Texas is about to declare a major emergency.
[01:49:57.017 --> 01:49:58.858]  Well, the United Nations came out.
[01:50:00.396 --> 01:50:06.864]  Yesterday and said officially that the Texas-Mexico border is the most deadly border in the world.
[01:50:08.854 --> 01:50:10.255]  Tens of thousands dead a year.
[01:50:10.976 --> 01:50:14.238]  Fifty-three dead in a tractor-trailer last week.
[01:50:14.398 --> 01:50:16.219]  Almost no coverage compared to mass shootings.
[01:50:16.920 --> 01:50:26.366]  Jonathan Houlihan is a great lawyer and a patriot practicing in Texas and New Mexico, who has been spearheading county citizens defending freedom.
[01:50:26.847 --> 01:50:27.667]  And at 3 p.m.
[01:50:27.707 --> 01:50:29.929]  today, it's being covered by a lot of Texas TV stations.
[01:50:30.409 --> 01:50:33.511]  We'll be covering it here with Owen Schroeder in the War Room, coming up at 3 p.m.
[01:50:33.551 --> 01:50:33.872]  Central.
[01:50:35.632 --> 01:50:40.596]  And this is an incredible time right now to be alive because the border is completely failed.
[01:50:40.997 --> 01:50:42.018]  There is an invasion.
[01:50:42.058 --> 01:50:45.641]  They're trying to get the governor to declare an emergency, which he should have already done.
[01:50:46.221 --> 01:50:48.403]  Trying to pressure Biden into taking action.
[01:50:48.804 --> 01:50:49.744]  Here's some of the headlines.
[01:50:49.784 --> 01:50:53.187]  Texas counties declare invasion at southern border today.
[01:50:53.548 --> 01:50:55.930]  So to give us a first look is Jonathan Houlihan.
[01:50:56.310 --> 01:50:58.692]  Jonathan, thank you so much for joining us today, sir.
[01:50:58.772 --> 01:51:00.554]  And good job with the work you're doing.
[01:51:02.199 --> 01:51:02.720]  Thanks, Alex.
[01:51:02.760 --> 01:51:09.847]  I really appreciate the opportunity to come on and get this issue out there in the media so people understand what's actually happening at the southern border.
[01:51:10.567 --> 01:51:11.709]  It is an invasion.
[01:51:12.850 --> 01:51:21.398]  Whether we're talking about human smuggling, trafficking, sex trafficking, fentanyl, opioids, guns, you name it, it's an invasion across our border.
[01:51:21.558 --> 01:51:28.821]   And I think the state of Texas and all states have a duty and an obligation to their citizens Uh, to stand up and protect their citizens and their property.
[01:51:29.421 --> 01:51:42.650]  And, uh, if it's not happening at the state level, we see what, uh, CUNY County is doing, declaring a state of emergency and, uh, and getting those, trying to get the visibility on it so they can declare an evasion and force the state to act.
[01:51:44.403 --> 01:51:46.545]  You have been the tip of the spear on this, organizing this.
[01:51:46.565 --> 01:51:47.787]  A lot of folks told me to have you on.
[01:51:47.807 --> 01:51:48.928]  I appreciate you coming on.
[01:51:49.008 --> 01:51:51.671]  Tell us, you're down there, what you're witnessing.
[01:51:51.711 --> 01:51:55.875]  We're already in an emergency, it should be declared, and what you're expecting to come out of this.
[01:51:55.935 --> 01:52:00.260]  What all of us need to do today to make sure this press conference gets a lot of attention.
[01:52:02.014 --> 01:52:05.896]  Well, just to be clear, I'm not the one actually organizing it.
[01:52:06.157 --> 01:52:14.021]  I have a lot of friends and relationships in there, and I know Sheriff Coe and the county attorney, and they're really pushing this from the government level.
[01:52:14.542 --> 01:52:18.644]  I'm just giving supporting fires where I can, trying to get the message out.
[01:52:18.944 --> 01:52:21.986]  So they deserve all the credit for organizing this and getting the word out.
[01:52:22.006 --> 01:52:23.527]  Okay, Ray, so tell us what's happening.
[01:52:24.808 --> 01:52:32.668]   So what's happening is the county, we saw Sheriff Coe last week, He was, he received four illegal aliens from border patrol.
[01:52:32.708 --> 01:52:36.950]  They said, Hey, go get these guys down to, to medical, have them cleared.
[01:52:37.070 --> 01:52:40.051]  And then, uh, and then, and then release them.
[01:52:40.071 --> 01:52:51.136]  And Sheriff Coe, being who Sheriff Coe is, he's a constitutional sheriff, decided I'm not going to release, uh, felons or criminals in the United States because I have, uh, I have, I have citizens I have to protect.
[01:52:51.636 --> 01:52:53.397]  And he actually ran a check on him.
[01:52:53.457 --> 01:52:58.873]   One of the illegals he found had a, uh, was a sex offender registered out of New Jersey.
[01:52:58.873 --> 01:53:02.713]   So he took him to the International Gateway and he released him and said, "Walk that way."
[01:53:02.713 --> 01:53:05.932]   So that was just kind of the thing that really pushed it over the edge.
[01:53:05.932 --> 01:53:12.152]   But this has been ongoing for months and months where they've organized to declare an emergency,
[01:53:12.152 --> 01:53:15.833]   declare an invasion, enforce the Texas governor to act,
[01:53:15.833 --> 01:53:22.092]   Governor Abbott, under the Texas Constitution, Article IV, Section 7,
[01:53:22.092 --> 01:53:26.073]   as the Commander-in-Chief of the Texas Constitution, allows him to repel invasions.
[01:53:26.441 --> 01:53:37.364]  And under the federal Constitution, under the Guarantee Clause, Article 4, Section 4, the federal government guarantees the states are free from invasion and guarantees a Republican form of government.
[01:53:37.384 --> 01:53:38.264]  And that's not happening.
[01:53:38.725 --> 01:53:46.147]  So you also see the states have warlike authority under the federal Constitution, Article 1, Section 10, Clause 3, where they can repel invasions.
[01:53:46.187 --> 01:53:47.727]  And it grants them warlike authority.
[01:53:48.263 --> 01:53:51.648]  All throughout history, these states, our states are sovereign.
[01:53:51.688 --> 01:53:53.190]  They have a right to protect their borders.
[01:53:53.911 --> 01:54:05.426]  And when the federal government fails to act or their intentional policy creates this nightmare, this mess, it's just sucking in all of these drugs and the cartel activity and rewarding the cartel activity.
[01:54:06.070 --> 01:54:08.091]  Uh, then we have to act and the state has to act.
[01:54:08.111 --> 01:54:13.793]  I mean, we, we have a duty and obligation to protect our citizens within the, within the confines of the constitution.
[01:54:13.833 --> 01:54:14.953]  I mean, I totally agree.
[01:54:14.973 --> 01:54:20.075]  And how powerful is it of the Mexican president last week say the U S border has collapsed.
[01:54:20.175 --> 01:54:21.316]  He wants to control it.
[01:54:21.576 --> 01:54:23.616]  The Mexican president is worried about this.
[01:54:25.097 --> 01:54:27.098]  Yeah, we, we do not control the border.
[01:54:27.118 --> 01:54:28.018]  I mean, I've been down there.
[01:54:28.078 --> 01:54:28.658]  I've been to Rome.
[01:54:28.718 --> 01:54:29.679]  I've been to Eagle pass.
[01:54:29.719 --> 01:54:33.120]  I've been to all the sections of the border and I've seen the misery down there.
[01:54:33.667 --> 01:54:34.488]  You know, I'm a veteran.
[01:54:34.528 --> 01:54:36.849]  I'm a former Navy JAG, active duty.
[01:54:36.889 --> 01:54:38.550]  I've deployed to Iraq and Afghanistan.
[01:54:38.590 --> 01:54:45.293]  I've been to those dangerous spots on the Syrian border in al-Qa'im and those other areas.
[01:54:45.413 --> 01:54:47.314]  And the border reminds me of that.
[01:54:47.354 --> 01:54:50.796]  It reminds me of this total lawlessness, total breakdown of the rule of law.
[01:54:51.797 --> 01:54:54.939]  And I feel so bad for our law enforcement down there, Border Patrol.
[01:54:54.959 --> 01:54:55.799]  They're just helpless.
[01:54:56.499 --> 01:54:57.720]  They're in a war zone.
[01:54:57.820 --> 01:55:01.322]  I mean, beheadings, murders, tractor trailers full of dead bodies.
[01:55:01.382 --> 01:55:02.823]  The level of death is insane.
[01:55:04.186 --> 01:55:05.067]  It absolutely is.
[01:55:05.168 --> 01:55:13.605]  It shocks the conscious to see that the United States of America has broken down into this almost third world country border situation.
[01:55:14.540 --> 01:55:15.820]  I feel bad for the people down there.
[01:55:15.840 --> 01:55:16.621]  I mean, they're suffering.
[01:55:16.641 --> 01:55:22.182]  And we, the people, and it starts at the county level, need to stand up and do something.
[01:55:22.202 --> 01:55:22.762]  And that's why... You're right.
[01:55:22.862 --> 01:55:24.103]  And Jonathan, you hit the key point.
[01:55:24.143 --> 01:55:26.544]  It's up to the local governments to declare the emergency and the people.
[01:55:26.984 --> 01:55:34.006]  You pointed out, force the governor, who's already trying, into the right announcement under the law, under the Constitution, state and federal.
[01:55:34.406 --> 01:55:36.146]  So what is the aim of this press conference?
