[00:00:00.169 --> 00:00:01.409]  Let me make the announcement.
[01:22:39.155 --> 01:22:45.875]   the technical medical aspects of this. I saw you mentioned like, why are people so responsive
[01:22:45.875 --> 01:22:50.595]   to Dr. McCullough? And I remember the first time I saw him, it was Halloween 2020.
[01:22:51.234 --> 01:23:00.117]   and somebody sent me a link and the The friend that sent it to me said, you know, all this BS that we've been hearing for the last six months.
[01:23:00.198 --> 01:23:07.284]  Finally, there's a real ranking academic medical guy who seems to be talking something sensible.
[01:23:07.764 --> 01:23:08.705]  And you know what I was doing?
[01:23:09.085 --> 01:23:27.986]   I had just had COVID-19 myself with some pulmonary involvement and I had just shown the world that I was in an FDA approved protocol, I took medicines in a sequence combination, and on illness day 8, treatment day 6, I went and ran two miles to show people I could do it.
[01:23:28.006 --> 01:23:34.089]  I was short of breath, Alex, but I was able to go two miles to the park and back and shot that video in Dallas.
[01:23:34.109 --> 01:23:37.691]  What I was surprised with is how it was zapped off of YouTube.
[01:23:37.931 --> 01:23:38.672]  This is in 2020.
[01:23:39.512 --> 01:23:41.833]  It was zapped off YouTube very quickly.
[01:23:41.913 --> 01:23:48.157]  No one wanted to see a doctor who had been in an FDA multi-drug treatment protocol recover from COVID-19.
[01:23:49.158 --> 01:23:49.678]  Unbelievable.
[01:23:50.479 --> 01:23:52.381]  And so that's when the investigation really starts.
[01:23:52.441 --> 01:23:56.126]  Why are they trying to suppress people and suppress questioning?
[01:23:56.166 --> 01:23:57.267]  That's the basis of science.
[01:23:57.648 --> 01:23:58.689]  Not, don't question.
[01:23:58.709 --> 01:23:59.530]  That's the new science.
[01:23:59.550 --> 01:24:01.793]  And then everything they told us has turned out to be a lie.
[01:24:02.805 --> 01:24:03.145]  It's true.
[01:24:03.185 --> 01:24:14.550]  I'll let John... Well, you know, my kind of point of understanding, or the metaphor that I worked with, was SARS-CoV-2 is like a military invasion.
[01:24:15.291 --> 01:24:17.792]  But it's not human beings with weapons.
[01:24:17.892 --> 01:24:20.333]  It's even more sort of strange and insidious.
[01:24:20.393 --> 01:24:22.074]  It's this invisible virus.
[01:24:22.154 --> 01:24:31.059]   And our health authorities and our mainstream media, the message straight away from the outset Was, this is unassailable.
[01:24:31.079 --> 01:24:41.851]  I mean, even though it was a novel virus, by their own assertion, it was, there's no treatment, there's nothing we can do about this, not even fractional treatment.
[01:24:42.111 --> 01:24:42.792]  Don't even try!
[01:24:42.892 --> 01:24:43.693]  Don't even try.
[01:24:44.214 --> 01:24:48.338]  And so that, that I found immediately highly suspect.
[01:24:49.326 --> 01:25:04.752]  And so, you know, imagine a foreign army invades and instead of our federal authorities saying, well, we're organizing some kind of, you know, a military resistance, if they just said, you know, there's absolutely nothing we can do about this.
[01:25:04.832 --> 01:25:07.012]  It's a completely unassailable army.
[01:25:08.253 --> 01:25:09.473]  Resistance is futile.
[01:25:09.553 --> 01:25:20.813]   Everybody just shelter in place, which is what our Dallas County judge Told us to do and then so fast forward a few months later and I see Dr. McCullough and he's not
[01:25:22.017 --> 01:25:23.778]  He's not an obscure doctor.
[01:25:23.898 --> 01:25:34.482]  I mean, he's a major public figure in our medical establishment in Dallas, and he's saying, no, actually, this is an assailable opponent.
[01:25:34.542 --> 01:25:36.623]  We can actually treat this thing.
[01:25:37.063 --> 01:25:39.824]  So that's when I contacted him, or shortly thereafter.
[01:25:39.844 --> 01:25:43.646]  I invited him to a studio interview in Dallas.
[01:25:44.186 --> 01:25:44.846]  It was great.
[01:25:45.547 --> 01:25:47.668]  The producer was electrified.
[01:25:47.908 --> 01:25:52.890]   He said, this is such a great interview, we should just Post it uncut to the world.
[01:25:52.910 --> 01:25:59.796]  I put it on YouTube and then I'd say an hour later YouTube took it down.
[01:26:00.116 --> 01:26:04.519]  Now this was a completely sober medical academic conversation.
[01:26:05.240 --> 01:26:13.946]  For YouTube to take that down an hour later, that was my first personal taste of there is a major censorship campaign afoot.
[01:26:14.767 --> 01:26:16.429]  Which is another element of the book.
[01:26:16.529 --> 01:26:23.738]  How did censorship creep into the public forum in the United States with our First Amendment?
[01:26:23.758 --> 01:26:25.641]  This is a big subject in the book.
[01:26:25.721 --> 01:26:32.550]  And so we have an organized, corporate, UN-run policy up front that nothing can save you except a shot that's coming.
[01:26:33.050 --> 01:26:48.725]  And then we have an organized global corporate mainstream media and big tech operation to unify, censor scientists and medical doctors, former chief scientist at Pfizer, inventor of mRNA, Dr. Malone, so many others.
[01:26:48.825 --> 01:26:52.529]  A unified blocking of the real credentialed professionals.
[01:26:52.849 --> 01:26:54.711]  That's where you really started seeing the organized crime.
[01:26:55.362 --> 01:27:00.669]  Yes, I mean, it seems that you would want to, you know, listen to these people.
[01:27:00.729 --> 01:27:05.515]  You would actually solicit their expertise and their commentary.
[01:27:05.655 --> 01:27:06.596]  So that was the other thing.
[01:27:06.856 --> 01:27:10.561]  Why is there a gagging and a suppression?
[01:27:11.642 --> 01:27:16.523]  You know, of anyone who could actually shed some light on this, but I'll go even one step further.
[01:27:16.543 --> 01:27:21.724]  You know, we're all impressed, and naturally so, medicine is a very technical thing.
[01:27:21.964 --> 01:27:41.407]   So, we're impressed by academic authority, but what I was thinking, again, to go back to the military metaphor, is, you know, imagine you're a commanding, you know, general in the Pentagon, and you have a Marine second lieutenant you know, in Fallujah in 2004, and you say, "Well, I
[01:27:41.407 --> 01:27:46.948]   understand that you're sending me situation reports from the field, but I'm not interested."
[01:27:46.948 --> 01:27:54.948]   You know, here in Washington, we don't... observational data that's coming from treating physicians in the field,
[01:27:54.948 --> 01:27:57.948]  we're not interested in hearing that. And that was...
[01:27:57.948 --> 01:28:03.037]   That's a perfect analogy, and that's... in fact, we're not just interested in hearing it, now we're going to silence
[01:28:03.037 --> 01:28:03.948]  you and target you.
[01:28:03.687 --> 01:28:04.088]  Correct.
[01:28:04.348 --> 01:28:04.628]  Correct.
[01:28:04.868 --> 01:28:13.594]  So, Vladimir Zelenko was a family doctor in New York, an independent family doctor in New York, and he called the NIH.
[01:28:13.954 --> 01:28:29.545]  Stephen Hahn at the FDA, through kind of a very odd twist and turn that I document in the book, told Dr. Zelenko, well, call the NIH to report your observational data about your treatment protocol.
[01:28:30.445 --> 01:28:46.263]  So he calls the NIH, and according to Dr. Zelenko, the person with whom he spoke said, well, we have no channel, no means of taking an observational report from the field.
[01:28:46.443 --> 01:28:48.045]  That's what the agency's supposed to do, right?
[01:28:48.325 --> 01:29:03.580]   You know, it was clear that From our federal agency, CDC, NIH, FDA, that there was going to be a willful blindness to any innovation in the field and there was going to be complicity in the academic institutions.
[01:29:03.640 --> 01:29:05.281]  Here we are more than two years into it.
[01:29:05.561 --> 01:29:10.864]  Do you know there's not a single hospital in the United States that claims to be a center of excellence for treating this illness?
[01:29:11.124 --> 01:29:12.945]  One of the most common reasons for hospitalization.
[01:29:13.225 --> 01:29:15.587]  They are being paid a premium for these admissions.
[01:29:16.187 --> 01:29:20.890]   No hospital claims To be excellent at taking care of COVID-19.
[01:29:21.311 --> 01:29:21.531]  U.S.
[01:29:21.571 --> 01:29:24.353]  News & World Report doesn't have a ranking on who's the best.
[01:29:24.694 --> 01:29:27.556]  Hospitals are not disclosing their mortality statistics.
[01:29:27.936 --> 01:29:33.281]  And none of them have opened up outpatient treatment centers as we begin another rise in cases.
[01:29:33.301 --> 01:29:38.565]  So all of the original set Western medicine defaults that made it so great are turned off from the beginning?
[01:29:38.866 --> 01:29:39.006]  Right.
[01:29:39.386 --> 01:29:39.927]  We're going to go to break.
[01:29:39.947 --> 01:29:41.529]  We're going to come back in the second hour.
[01:29:41.569 --> 01:29:44.253]  This is going to be powerful information straight ahead.
[01:29:44.293 --> 01:29:48.960]  The book, The Courage to Face COVID-19 with Dr. Peter McCullough and John Leake.
[01:29:49.060 --> 01:29:49.681]  I'm Alex Jones.
[01:29:49.701 --> 01:29:50.842]  Tell everybody you know, tune in now.
[01:29:52.566 --> 01:29:54.688]  All right, we're now into hour number three of the Alex Jones Show.
[01:29:54.728 --> 01:29:59.411]  Some stations don't carry this little five-minute segment, but we like to because a lot of people are tuned in via the internet.
[01:29:59.451 --> 01:30:09.859]  So I wanted you guys to just give us a prelude of some of the things we're going to cover when we come back and join the rest of the audience in the book, but also just their promotion of new lockdowns, monkeypox.
[01:30:09.879 --> 01:30:11.520]  Give us a little prelude of what you both think.
[01:30:12.860 --> 01:30:17.185]  We're going to talk about who is behind the suppression of early therapy.
[01:30:17.445 --> 01:30:26.175]  We're going to examine how there is an abundance of evidence that this was carefully organized, orchestrated, and planned in advance at least as early as 2017.
[01:30:26.255 --> 01:30:27.457]  Their motives and their methods.
[01:30:31.261 --> 01:30:45.821]  We're going to give some historic examples in the biopharmaceutical complex of how it hasn't been done at this scale, at this level of organization and capital, but there are forerunners of this that are very illustrative.
[01:30:46.922 --> 01:30:47.283]  Powerful.
[01:30:48.269 --> 01:30:59.594]  I can tell you, as cases of SARS-CoV-2, COVID-19, are rising again in the United States, the country's been injected with fear over a handful of cases of monkeypox.
[01:31:00.154 --> 01:31:07.777]  Monkeypox is related to smallpox, and this is a threat that the United States has been ready for.
[01:31:07.797 --> 01:31:07.857]  Wow.
[01:31:10.845 --> 01:31:18.107]  And I read the news, Bill Gates says it's coming soon, they already buy the vaccine, it's delivered this week, and now it's popping up around the country and the world.
[01:31:18.847 --> 01:31:23.328]  We already have therapy approved for this, far more important than the vaccine.
[01:31:23.788 --> 01:31:32.029]  We have Ticovirumat, or T-Pox, we have a stockpile of 2 million doses of this product that treats this illness.
[01:31:32.750 --> 01:31:39.211]  It's a pustular-like illness, it doesn't spread like SARS-CoV-2, COVID-19, and we'll tackle that in the next segment.
[01:31:39.679 --> 01:31:43.962]  All right, let's talk more about some of the tours you've been on as well.
[01:31:44.022 --> 01:31:47.184]  Are you going to do some more tours or where people can come see you speak?
[01:31:47.204 --> 01:31:52.728]  You know, I was just on the Better Way Conference being televised from Bath, England.
[01:31:52.788 --> 01:31:59.052]  It's actually chaired by Del Bigtree, but Majid Nawaz, many others on faculty there.
[01:31:59.112 --> 01:31:59.853]  Terrific meeting.
[01:31:59.873 --> 01:32:08.939]  You know, I've been working through a whole variety of health freedom groups all over the country now coming up on nearly 50 large programs going to major cities.
[01:32:09.819 --> 01:32:12.863]  Meetings with doctors, lawmakers, and then big public programs.
[01:32:13.424 --> 01:32:22.976]  America is undergoing a scientific reawakening as doctors such as myself and those in my circle bring the truth to the country.
[01:32:25.059 --> 01:32:27.943]  What other observations are you going to be covering coming up John?
[01:32:28.629 --> 01:32:33.691]  Well, you mentioned that Bill Gates is already back in business, I mean, with this monkeypox thing.
[01:32:33.931 --> 01:32:37.432]  We're going to talk about, he is a central figure in this.
[01:32:37.692 --> 01:32:54.357]   I mean, that's not exactly an original observation, but what's notable is that even though it's clearly ascertainable, his role and all of the malfeasance that we describe in our book, It's not really, in any way, diminished his bully pulpit.
[01:32:54.397 --> 01:32:57.998]  He's, you know, the Windows guy that the U.S.
[01:32:58.018 --> 01:33:04.359]  Department of Justice went after in 98 for violating the Sherman Antitrust Act.
[01:33:04.619 --> 01:33:10.420]  You know, he's kind of back to his monopolistic ways in the biopharmaceutical comm.
[01:33:10.440 --> 01:33:17.262]  And this time, instead of giving us computers that are overpriced and crash all the time, and bugs and spy tools, now he wants to control our bodies.
[01:33:17.882 --> 01:33:25.022]  Well, I mean, he was obsessed with viruses because they kept penetrating his software, so now he's going after them in a different arena.
[01:33:25.774 --> 01:33:28.575]  All right, in fact, we've got some clips of Bill Gates coming up.
[01:33:28.715 --> 01:33:30.295]  I'm going to read this book this weekend.
[01:33:30.335 --> 01:33:38.857]  I know it's going to be powerful and I'm going to order some at infowarestore.com, but people can just type in the courage to face COVID or they can go to the website, get it there, or get it at Amazon.
[01:33:38.877 --> 01:33:39.737]  But whatever you do, get it.
[01:33:40.077 --> 01:33:48.519]  And remember, folks, just because you're pretty much aware of a lot of this stuff, the general public knows they're being lied to, but they don't understand the organized crime nature of this.
[01:33:48.559 --> 01:33:51.159]  And a book like this will really take people to the next level.
[01:33:51.199 --> 01:33:53.420]  And again, we'll put it on screen when we come back, Dr. McAuliffe.
[01:33:54.361 --> 01:33:56.322]  Is the website TheCourageToFaceCOVID.com?
[01:33:56.743 --> 01:33:58.164]  Yeah, CourageToFaceCOVID.com.
[01:33:58.825 --> 01:34:01.107]  So just CourageToFaceCOVID.com.
[01:34:01.207 --> 01:34:03.029]  All right, folks, start your engines.
[01:34:03.049 --> 01:34:03.889]  We're going to go to break.
[01:34:04.350 --> 01:34:12.337]  We're going to come back and get fully into the book, and then we'll get into monkey pots and talk about more lockdowns and where all that is going.
[01:34:12.357 --> 01:34:13.558]  Just in 30 seconds, Doc.
[01:34:15.580 --> 01:34:18.323]  I mean, I'm pretty convinced that they're going to bring back more lockdowns if they can.
[01:34:19.025 --> 01:34:21.007]  Well, I reviewed it last night with Laura Ingram.
[01:34:21.047 --> 01:34:27.172]  The top states for increasing cases of COVID-19 are the most heavily vaccinated states.
[01:34:27.252 --> 01:34:28.994]  Interesting, they're all blue states.
[01:34:29.454 --> 01:34:29.775]  Unbelievable.
[01:34:29.795 --> 01:34:32.377]  All right, we're going to be back in 60 seconds to join stations.
[01:34:32.737 --> 01:34:35.020]  We're going to plunge directly into the book.
[01:34:35.100 --> 01:34:40.625]  And again, ladies and gentlemen, this is just like 2,000 mules conclusively proving that the election was stolen.
[01:34:41.525 --> 01:34:45.049]  I can tell you from the material Dr. McCullough has put out, this is the same thing when it comes to COVID.
[01:34:45.569 --> 01:34:53.335]  Bill Gates, Peter Daszak, the UN, Tedros, all of them, the CEO of Pfizer, they don't like what's happening here.
[01:34:54.156 --> 01:35:01.842]  And so I'm asking listeners to realize that we're going to stop the next lockdown, we're going to stop the next forced inoculations, the Global ID, which is all being rolled out right now.
[01:35:02.262 --> 01:35:07.206]  We need to get this book out to everybody, The Courage to Face COVID-19, Dr. Peter McCullough and John Leake.
[01:35:07.546 --> 01:35:09.047]  Gentlemen, let's get into the book.
[01:35:09.087 --> 01:35:13.651]  I'm going to try to just sit back and shut up and just let you guys roll through the different chapters and what's happening.
[01:35:14.414 --> 01:35:16.755]  Well, I'll let John kind of set the stage.
[01:35:17.115 --> 01:35:26.698]  I think since we just rolled off of Bill Gates and the desire for world dominance through vaccination, have John help us understand what CEPI is and how important it is.
[01:35:27.599 --> 01:35:45.887]   Yeah, so when I began to look at, you know, what on earth is going on here, this shelter-in-place, and what I began to observe is that the assertion, okay, the virus is unassailable, All we can do is stay at home.
[01:35:45.907 --> 01:35:53.575]  This was oftentimes combined with a second assertion, the only way we can go back to normal.
[01:35:53.995 --> 01:35:58.019]  I mean, Bill Gates himself wrote an editorial in the Washington Post.
[01:35:59.360 --> 01:36:10.585]  In early April of 2020, then he had a long conversation with Trevor Noah, and then on his Gates blog, his Gates Notes blog, he kept repeating this like a mantra.
[01:36:11.025 --> 01:36:21.890]  The only thing that will enable us to go back to normal is a vaccine, and it's only when every man, woman, and child on earth has taken it.
[01:36:21.970 --> 01:36:32.763]   So again, there's that monopolistic spirit, like every single person on earth Needs to get this vaccine and then we'll go back to normal.
[01:36:32.783 --> 01:36:47.990]  So it all it almost feels like you know, a prison keeper saying, you know, I have a key and you know, it's only when you scale this this impossible height that can you reach the key?
[01:36:48.010 --> 01:36:49.050]  Can you get out of here?
[01:36:49.069 --> 01:36:57.889]   It really felt like a sort of bargain that was being imposed on us from on high.
[01:36:57.889 --> 01:37:04.869]   And so I began to think, okay, this fanatical suppression of anything that could treat the
[01:37:04.869 --> 01:37:11.748]   disease, that could provide a prophylaxis or help us to get better so it's not such
[01:37:11.748 --> 01:37:14.849]  a severe thing, is being suppressed.
[01:37:14.849 --> 01:37:21.748]   It began to sort of take shape that it is in order, it's a psy-op in order to prepare
[01:37:21.748 --> 01:37:24.469]  us for mass vaccination.
[01:37:24.469 --> 01:37:28.828]  Rapidly developed, not a lot of testing.
[01:37:28.828 --> 01:37:30.509]  Gates himself said, with Trevor...
[01:37:30.506 --> 01:37:36.116]   No, we don't even have time to test To wait for the trial data to emerge.
[01:37:36.156 --> 01:37:38.597]  We need to ramp up production immediately.
[01:37:38.637 --> 01:37:44.498]  But it's safe and it's going to work and then they admit it doesn't work and erases your immune system after four or five shots.
[01:37:44.678 --> 01:37:44.978]  Wow.
[01:37:45.598 --> 01:37:46.059]  It's true.
[01:37:46.119 --> 01:37:55.481]  There have been recent breaking studies showing clinically the most vaccinated people are the ones who end up in the hospital sick and heaven forbid there are still a few deaths.
[01:37:56.041 --> 01:37:57.761]  Data from Ontario show that.
[01:37:58.081 --> 01:38:05.985]   There's been a recent analysis showing those who have been previously vaccinated They get less of an antibody and immune response when they do get COVID.
[01:38:06.645 --> 01:38:11.508]  So, there is an impairment of the antibody response, for instance, against the nucleocapsid.
[01:38:11.528 --> 01:38:13.169]  That's been demonstrated.
[01:38:13.490 --> 01:38:22.976]  So, in fact, those who have been previously vaccinated, when they get COVID, they are not getting a full, thrusted immune response in order to defend them against the next viral attack.
[01:38:24.212 --> 01:38:46.609]   You know, what's amazing is anytime that we detect and report the truth of something that organized interests don't like us detecting and reporting, there is this kind of blanket all, you know, Categorical bludgeon that's used across the board while you're being a conspiracy theorist.
[01:38:47.070 --> 01:38:54.583]  What I think is notable about this particular massive public policy operation...
[01:38:55.618 --> 01:38:58.479]  ...was that they published their plan.
[01:38:58.519 --> 01:39:03.761]  They had pandemic planning simulations in 2017 and 2019.
[01:39:04.922 --> 01:39:18.347]  And CEPI, the Center for Epidemic Preparedness Innovations, which was founded by the Gates Foundation and the World Economic Forum in 2017, CEPI actually published a business plan.
[01:39:19.287 --> 01:39:35.992]  In which they stated, um, another pandemic is coming, it's imminent, it's inevitable, and when it comes, our partnership, it's an elaborate partnership between public and private, pharmaceutical industry, national treasuries, when it comes...
[01:39:37.112 --> 01:39:44.074]  Here is going to be our response, and it was couched in the terminology of an opportunity.
[01:39:44.754 --> 01:39:48.515]  The next pandemic will be an opportunity for our partnership.
[01:39:48.835 --> 01:39:50.576]  Well, what is the opportunity?
[01:39:50.896 --> 01:39:55.137]  The rapid development and deployment of a vaccine.
[01:39:55.717 --> 01:39:59.698]  They're not in the public health business, they're in the vaccine business.
[01:39:59.798 --> 01:40:01.059]  And no mention of treatment?
[01:40:01.499 --> 01:40:02.219]  No, not one.
[01:40:02.539 --> 01:40:05.240]  In the 65-page business plan... No therapeutics.
[01:40:05.660 --> 01:40:06.501]  No therapeutics.
[01:40:06.841 --> 01:40:09.443]  A one-pronged approach.
[01:40:09.943 --> 01:40:11.144]  Mass vaccination.
[01:40:11.464 --> 01:40:13.306]  No consideration of therapeutics.
[01:40:13.726 --> 01:40:25.435]  One of the things we've seen across the entire portrayal of the pandemic is a willful blindness to treatment of acutely ill patients with this infection.
[01:40:26.115 --> 01:40:27.576]  Well, it's not in the business plan.
[01:40:27.917 --> 01:40:30.479]  I mean, treatment is not part of the opportunity.
[01:40:30.759 --> 01:40:33.482]  So, Alex, your listeners can look at it themselves.
[01:40:33.642 --> 01:40:39.187]  It's CEPI, C-E-P-I, the Preliminary Business Plan, 2017.
[01:40:39.327 --> 01:40:41.329]  Google it.
[01:40:41.349 --> 01:40:41.849]  It's right there.
[01:40:41.889 --> 01:40:42.770]  They can read it themselves.
[01:40:43.010 --> 01:40:43.590]  Absolutely.
[01:40:43.630 --> 01:40:49.973]  We've covered it, but it's important to bring it back up because you're the famous criminologist, historian, best-selling author of true crime.
[01:40:50.593 --> 01:40:59.077]  I, just as a layperson looking at it, when it's all organized, it's all centralized, they stand to gain, their fingerprints are all over making it, controlling it, blocking therapeutics.
[01:40:59.297 --> 01:41:04.337]   silencing anybody that speaks up about it or tries to help people. I mean, there's the open public
[01:41:04.337 --> 01:41:08.576]   conspiracy right there and everything they said five years ago and three years ago and two years
[01:41:08.576 --> 01:41:15.537]   ago they're following exactly as a blueprint. I mean, this is horrifying. So in March, on March
[01:41:15.537 --> 01:41:26.097]   the 16th, 2020, the NIAID, Anthony Fauci's outfit at the NIH, they published a press release saying
[01:41:26.097 --> 01:41:32.897]   Moderna and the NIAID has a new messenger RNA vaccine in development.
[01:41:33.055 --> 01:41:35.017]  We've just started our human trials.
[01:41:35.617 --> 01:41:41.883]  And you get about halfway down the press release and it says, you know, manufactured courtesy of CEPI.
[01:41:43.064 --> 01:41:45.207]  So, the business plan was activated.
[01:41:45.748 --> 01:41:46.288]  Immediately.
[01:41:46.308 --> 01:41:47.350]  It's like, here it is.
[01:41:47.410 --> 01:41:48.271]  We knew it was coming.
[01:41:48.311 --> 01:41:49.513]  We predicted it was coming.
[01:41:49.753 --> 01:41:50.434]  It's upon us.
[01:41:50.734 --> 01:41:52.797]  The opportunity, the game is on.
[01:41:52.857 --> 01:41:53.598]  Let's go for it.
[01:41:54.475 --> 01:41:58.237]  And again, they're building the business plan years before, describing exactly what would unfold.
[01:41:58.697 --> 01:41:59.938]  That's pretty open and shut.
[01:41:59.978 --> 01:42:08.322]  I mean, if I called the fire department and said, I think this house is going to burn down tomorrow, and then it did, I'd be the chief suspect from the fire inspector and the police.
[01:42:09.023 --> 01:42:13.605]  Well, here they are predicting everything, and now they've done it again with mousepox or monkeypox.
[01:42:13.665 --> 01:42:14.786]  It just seems pretty ridiculous.
[01:42:15.186 --> 01:42:17.608]  So I'm glad that you used the fire metaphor.
[01:42:17.648 --> 01:42:47.867]   We have a chapter in our book, it's taking a leaf from the play, a 1953 play called Biedermann and the Arsonists, and it's about just this, that there's an arsonist who's afoot in this town, he's burning everything down, but it's so obvious, he's out in the open, he looks very, they, there are two of them, they look very normal, they're sort of charming, they're sort of funny, So, even though everyone knows that there are arsonists afoot, they still manage to do this.
[01:42:48.327 --> 01:42:52.048]  And there's some psychology that seems to affect all of us.
[01:42:52.168 --> 01:42:55.749]  If it's out in the open, it's like people don't see it.
[01:42:55.809 --> 01:42:57.550]  It's hiding in plain sight.
[01:42:57.590 --> 01:43:02.572]  I think people maybe assume that an elaborate conspiracy is clandestine.
[01:43:02.632 --> 01:43:06.493]  It would be... No, the most dangerous ones are hiding in plain view and that's why they do it.
[01:43:06.513 --> 01:43:06.873]  Yeah.
[01:43:08.171 --> 01:43:20.757]  And so that's that's behavioral psychology, which we know they had Yale and Harvard and Princeton and a bunch of other psychology departments test before COVID and after how to make the public shut up, how to make them stay in place, how to make them take shots.
[01:43:20.797 --> 01:43:21.898]  So this has all been war game.
[01:43:22.018 --> 01:43:34.384]  And how to harness, manipulate and use social media to drive this campaign of mass vaccination with no attention to safety or efficacy.
[01:43:34.764 --> 01:43:35.445]  We're going to break.
[01:43:35.645 --> 01:43:36.747]  What are we going to cover when we come back?
[01:43:36.767 --> 01:43:38.149]  Because that was already riveting information.
[01:43:38.950 --> 01:43:39.751]  Propaganda.
[01:43:40.492 --> 01:43:47.161]  I think the public needs to understand just how much the public mind is being shaped by propaganda.
[01:43:48.160 --> 01:43:48.540]  I think.
[01:43:48.600 --> 01:43:50.861]  I totally agree because what you said earlier is so profound.
[01:43:51.741 --> 01:43:55.122]  That when they hide in plain view, we kind of buy into it because it couldn't be real.
[01:43:55.142 --> 01:43:56.102]  It doesn't look scary.
[01:43:56.122 --> 01:43:58.123]  It's a smiling guy, you know, on TV.
[01:43:58.583 --> 01:44:01.004]  But when you pull back, people are caught in it.
[01:44:01.324 --> 01:44:03.464]  Only by becoming aware of that can you shift out of it.
[01:44:03.824 --> 01:44:04.225]  Correct.
[01:44:04.505 --> 01:44:04.885]  Correct.
[01:44:04.905 --> 01:44:05.205]  Wow.
[01:44:06.328 --> 01:44:08.869]  Okay, we're going to break the courage to face COVID.
[01:44:09.370 --> 01:44:11.931]  The website's courage to face COVID.com.
[01:44:11.971 --> 01:44:13.332]  Get the book now, folks.
[01:44:13.392 --> 01:44:14.433]  They're not advertising with me.
[01:44:14.793 --> 01:44:15.733]  I want to get this book out.
[01:44:15.753 --> 01:44:16.714]  I'm going to buy a bunch of the book.
[01:44:16.974 --> 01:44:20.076]  I'm about like 10,000 of them today, but everybody needs to get this book.
[01:44:20.096 --> 01:44:20.636]  We'll be right back.
[01:44:20.656 --> 01:44:21.016]  Stay with us.
[01:44:22.017 --> 01:44:27.680]  So you, you would have your, what your two, you would add two, you'd add two vaccinations and then two booster shots.
[01:44:27.740 --> 01:44:28.121]  Is that right?
[01:44:29.081 --> 01:44:29.561]  That's right.
[01:44:29.721 --> 01:44:35.625]  And you know, for people over, you know, 50 or 60, uh, they'll probably have to be boosted.
[01:44:36.289 --> 01:44:39.051]  Every six months until we get even better vaccines.
[01:44:39.592 --> 01:44:41.874]  So I've been trying to figure this out for myself.
[01:44:42.514 --> 01:44:43.695]  I assume you know the answer to this.
[01:44:43.715 --> 01:44:47.939]  So I'll just ask you when do you get boosted again?
[01:44:47.979 --> 01:44:50.621]  I mean, now that you've had it, you know, I've had around the same time.
[01:44:50.681 --> 01:44:54.204]  I've only gotten three shots total only been boosted once.
[01:44:55.045 --> 01:45:00.329]  I guess we have immunity for a little while or but when do you decide to get boosted again?
[01:45:00.349 --> 01:45:03.332]  Yeah, so an infection.
[01:45:04.545 --> 01:45:08.086]  Where you'll get a high viral load would be like vaccination.
[01:45:09.327 --> 01:45:13.128]  But, you know, to be safe every six months, you're probably going to be vaccinated.
[01:45:13.388 --> 01:45:23.012]  As we get more data, they might even make that shorter for people who are, you know, say 60 or over 70, where the duration seems to be a bit lower.
[01:45:24.932 --> 01:45:29.174]  So we're in for ongoing vaccination to stay absolutely safe.
[01:45:30.436 --> 01:45:32.217]  So one shot will make you absolutely safe.
[01:45:32.237 --> 01:45:34.139]  Two years ago, now we just got to keep doing it.
[01:45:34.159 --> 01:45:35.080]  He sells it to you.
[01:45:35.500 --> 01:45:36.541]  He's such a philanthropist.
[01:45:36.581 --> 01:45:39.623]  You brought that clip up, and the crew was able to grab it during the break.
[01:45:39.643 --> 01:45:40.224]  Dr. McCullough?
[01:45:40.704 --> 01:45:42.726]  The vaccines have completely failed.
[01:45:43.246 --> 01:45:48.010]  Natural immunity is infinitely more powerful and protective than vaccine immunity.
[01:45:48.450 --> 01:45:49.711]  Gates is not a doctor.
[01:45:50.071 --> 01:45:50.732]  He's wrong.
[01:45:51.112 --> 01:45:54.655]  He's pushing every six-month vaccinations forever.
[01:45:55.195 --> 01:45:57.317]  And John Leake, during the break, you had a great way of putting it.
[01:45:57.904 --> 01:46:03.807]  Yeah, Cooper and Gates are acting out Einstein's definition of insanity.
[01:46:04.147 --> 01:46:09.270]  Continue to do the same thing that doesn't work while expecting a different result.
[01:46:10.834 --> 01:46:12.735]  How did they think they could do this and get away with it?
[01:46:12.755 --> 01:46:13.695]  Because the studies were there.
[01:46:13.715 --> 01:46:20.539]  You were talking about two years ago that they would stop working, that it wouldn't work, that if you gave people these shots, it would make the viruses mutate worse.
[01:46:20.959 --> 01:46:23.040]  And that's exactly what's happened.
[01:46:24.281 --> 01:46:25.561]  Anderson's had three shots.
[01:46:25.761 --> 01:46:27.022]  Gates has had four shots.
[01:46:27.322 --> 01:46:29.823]  They've just had SARS-CoV-2, COVID-19 infection.
[01:46:31.204 --> 01:46:43.413]  The idea that they're going to continue to load their body with messenger RNA and continued deposition of spike protein, they are basically leading themselves into chronic disease and misery.
[01:46:43.913 --> 01:46:47.155]  Well, I was just going to say that assumes they're being sincere.
[01:46:47.215 --> 01:46:50.978]  I mean, the point is that these guys committed to this.
[01:46:51.438 --> 01:46:54.140]  I mean, I like military history.
[01:46:54.381 --> 01:46:58.183]  I think there's an analog here with, for example, the First World War.
[01:46:59.444 --> 01:47:04.725]  After the Franco-Prussian War, there was this prediction it's going to come to blows between Germany and France again.
[01:47:04.765 --> 01:47:05.886]  It's just a matter of when.
[01:47:05.926 --> 01:47:07.766]  It's probably going to happen in Belgium.
