[00:00.000 --> 00:20.080]  Further escalation of the war, whether by accident or design, threatens all of humanity.
[1:03:01.120 --> 1:03:04.120]  And because I'm literally like an anthropologist.
[1:03:04.120 --> 1:03:08.120]  People ask, I got asked in my custody battle hearings, you know, five years ago.
[1:03:08.120 --> 1:03:10.120]  How often you smoke marijuana?
[1:03:10.120 --> 1:03:12.120]  We hear you're a big drug addict.
[1:03:12.120 --> 1:03:15.120]  I say about once a year, like a cultural thing, like a peace pipe.
[1:03:15.120 --> 1:03:16.120]  But it's so strong.
[1:03:16.120 --> 1:03:17.120]  I don't like it.
[1:03:17.120 --> 1:03:20.120]  Soros is funded, you know, in other groups making it weaponized.
[1:03:20.120 --> 1:03:21.120]  And they laughed at that.
[1:03:21.120 --> 1:03:24.120]  They're not laughing now.
[1:03:24.120 --> 1:03:25.120]  People aren't laughing now.
[1:03:25.120 --> 1:03:26.120]  They know how strong it is.
[1:03:26.120 --> 1:03:31.120]  I smoked some pot when I was out in California where it's legal.
[1:03:31.120 --> 1:03:34.120]  And I still feel it two days later.
[1:03:34.120 --> 1:03:44.120]  Smoked it one time at one sitting with somebody who's initial start with an M
[1:03:44.120 --> 1:03:48.120]  and end with a, the point is it's going to be huge when it comes out.
[1:03:48.120 --> 1:03:50.120]  But I mean, I did it when in Rome as the Romans.
[1:03:50.120 --> 1:03:57.120]  And I'm literally feel like marijuana felt in 1990 when I'd occasionally smoke it.
[1:03:57.120 --> 1:03:59.120]  You know, you take some cheerleader out on a date.
[1:03:59.120 --> 1:04:01.120]  She goes, let's smoke a joint before you go to the movie.
[1:04:01.120 --> 1:04:02.120]  You're like, I guess so.
[1:04:02.120 --> 1:04:04.120]  If you hit, it's kind of feel like this.
[1:04:04.120 --> 1:04:10.120]  This is what marijuana in 1990 felt like two days later after I smoked it.
[1:04:10.120 --> 1:04:14.120]  I feel like I just took hits of 1990 marijuana right now.
[1:04:14.120 --> 1:04:17.120]  But that's because I never take marijuana.
[1:04:17.120 --> 1:04:18.120]  So it hits me stronger.
[1:04:18.120 --> 1:04:21.120]  But the people that are on this stuff, you go to LA.
[1:04:21.120 --> 1:04:28.120]  There is just plentiful weaponized marijuana, plentiful weaponized everything else everywhere and fentanyl.
[1:04:28.120 --> 1:04:33.120]  And this is the chemical bio attack to take down America and turn us into zombies.
[1:04:33.120 --> 1:04:35.120]  And I'm not judging the people.
[1:04:35.120 --> 1:04:37.120]  You know, you got to go in and be in amongst it all.
[1:04:37.120 --> 1:04:42.120]  You know, you got to bond with them so I could then have a national discussion about this.
[1:04:42.120 --> 1:04:46.120]  But if I smoked pot like that every day, I'd be like these people.
[1:04:46.120 --> 1:04:52.120]  Hell, I feel like I'm ready to lie down on the side of the road and go to sleep a couple of months right now.
[1:04:52.120 --> 1:04:53.120]  I'm serious, folks.
[1:04:53.120 --> 1:05:19.120]  Five hits off California weed and I can barely get up.
[1:05:19.120 --> 1:05:25.120]  But because of so many scientists and engineers and researchers and others coming public and whistleblowers,
[1:05:25.120 --> 1:05:34.120]  now their whole project is falling apart because the people are aware that it is a world government corporate takeover.
[1:05:34.120 --> 1:05:37.120]  And so it's pulling back the curtain now more than ever.
[1:05:37.120 --> 1:05:42.120]  The problem is some globalist controlled areas are not going to give up on their takeover.
[1:05:42.120 --> 1:05:51.120]  In Canada, they've now declared a civil emergency in martial law in Ontario and other areas of the world are following suit like Australia.
[1:05:51.120 --> 1:05:53.120]  So pray for these folks big time.
[1:05:53.120 --> 1:05:55.120]  It's a very serious situation.
[1:05:55.120 --> 1:06:00.120]  And stay tuned into infowars.com because truth is absolutely paramount.
[1:06:00.120 --> 1:06:27.120]  Crashing through the lies and disinformation is Alex Jones.
[1:06:27.120 --> 1:06:33.120]  Ladies and gentlemen, we are back live broadcasting worldwide.
[1:06:33.120 --> 1:06:36.120]  I'm your host Alex Jones.
[1:06:36.120 --> 1:06:42.120]  We have some very big guests joining us coming up today, including in the next segment.
[1:06:42.120 --> 1:06:45.120]  But we'll introduce that guest when he joins us.
[1:06:45.120 --> 1:06:50.120]  Let me just read you a couple of these headlines here for you today.
[1:06:50.120 --> 1:06:57.120]  Francis warns final catastrophe close quote quote could extinguish human race.
[1:06:57.120 --> 1:07:04.120]  I really should do the whole show on that because he's absolutely telling the truth.
[1:07:04.120 --> 1:07:09.120]  Meanwhile, White House not interested in World War three.
[1:07:09.120 --> 1:07:17.120]  But all their surrogate sure are Ukraine President Zelensky calls on Biden to be the leader of peace by igniting World War three.
[1:07:17.120 --> 1:07:20.120]  And they ask Congress for more heavy weapons.
[1:07:20.120 --> 1:07:25.120]  And guess what Biden does 800 million mainly in attack drones.
[1:07:25.120 --> 1:07:26.120]  They call them drones.
[1:07:26.120 --> 1:07:41.120]  They're cheap inexpensive missiles that can loiter and then accelerate to 300 miles an hour and destroy large groups of people or machines.
[1:07:41.120 --> 1:07:44.120]  We've got a report on that coming up.
[1:07:44.120 --> 1:07:48.120]  He shipped in a bunch of the switchblade drone.
[1:07:48.120 --> 1:07:53.120]  Is there a peace deal Putin and Zelensky can accept?
[1:07:53.120 --> 1:08:02.120]  And I agree with Rand Paul when he said Putin miscalculated.
[1:08:02.120 --> 1:08:04.120]  Yeah, why do you miscalculate?
[1:08:04.120 --> 1:08:12.120]  Why did his Foreign Service FSB had their CIA had?
[1:08:12.120 --> 1:08:15.120]  Why did they tell them that everybody was going to surrender?
[1:08:15.120 --> 1:08:20.120]  Because let me tell you, if I knew that there were stay-behind networks there,
[1:08:20.120 --> 1:08:25.120]  and those stay-behind networks hadn't been compromised or paid off, the Russians would be in big trouble.
[1:08:25.120 --> 1:08:30.120]  If I knew that, and I did, I told you the CIA's been over there training them in 2014,
[1:08:30.120 --> 1:08:33.120]  and I know folks that have been over there, but it's not even a secret.
[1:08:33.120 --> 1:08:38.120]  Then you know Putin knew that or you knew that the FSB knew.
[1:08:38.120 --> 1:08:42.120]  So, I mean, maybe Putin didn't know.
[1:08:42.120 --> 1:08:47.120]  He sure as hell has arrested the head of the FSB Foreign Intelligence Service and his deputies and a bunch of others.
[1:08:47.120 --> 1:08:49.120]  How dangerous is that?
[1:08:49.120 --> 1:08:52.120]  And then this breaks yesterday, y'all know this.
[1:08:52.120 --> 1:08:57.120]  Exclusive secret CIA training program in Ukraine helped Kiev prepare for Russian invasion.
[1:08:57.120 --> 1:09:08.120]  Yeah, but it didn't start in 2015. It started in 1945.
[1:09:08.120 --> 1:09:14.120]  And the first war after World War II was not Korea.
[1:09:14.120 --> 1:09:17.120]  It was 1945 in Ukraine.
[1:09:17.120 --> 1:09:20.120]  That's actually in the mainline military history books.
[1:09:20.120 --> 1:09:31.120]  But, you know, the Cold War started, and Iron Curtain has descended down, as Churchill said, over Eastern Europe.
[1:09:31.120 --> 1:09:36.120]  And so, stay-behind networks that the Nazis had, the U.S. came in.
[1:09:36.120 --> 1:09:45.120]  That's why they recruited Adolf Ackman and Klaus Barbie and Joseph Mengele and all the rest of them,
[1:09:45.120 --> 1:09:52.120]  so they could control those networks and try to hold off the Soviets' political coups and overthrows in Eastern Europe.
[1:09:52.120 --> 1:09:55.120]  And in some areas, they were successful and most they weren't.
[1:09:55.120 --> 1:09:58.120]  But no stay-behind networks never went away.
[1:09:58.120 --> 1:10:01.120]  And so, the United States simply reactivated them.
[1:10:01.120 --> 1:10:06.120]  And isn't it funny? You could put seeds, almost any plant seed, in a drawer for hundreds of years,
[1:10:06.120 --> 1:10:08.120]  and they'll still be good when you plant them.
[1:10:08.120 --> 1:10:14.120]  They've dug up papyrus seeds in 3,000-year-old Egyptian tombs that sprout perfectly later.
[1:10:14.120 --> 1:10:21.120]  So you wonder why, when they put the miracle grow of an overthrow in a civil war on Ukraine,
[1:10:21.120 --> 1:10:25.120]  when Soros did that, that came up out of the dirt to Soros.
[1:10:25.120 --> 1:10:33.120]  Beautiful comrades he fought with against the Russians in World War II.
[1:10:33.120 --> 1:10:39.120]  Beautiful comrades came popping back up because they were just laying there dormant for 75 years under the soil,
[1:10:39.120 --> 1:10:42.120]  their children and grandchildren.
[1:10:42.120 --> 1:10:44.120]  But still, I don't support Putin and what he's done.
[1:10:44.120 --> 1:10:47.120]  I just know all the facts about it, or a lot of the facts, so I'm the bad man.
[1:10:47.120 --> 1:10:51.120]  Because, you know, you don't want the public actually knowing the pieces to make their own decision.
[1:10:51.120 --> 1:10:53.120]  And my decision is, let's end this war real quick.
[1:10:53.120 --> 1:10:56.120]  The West helped start it with stay-behind networks.
[1:10:56.120 --> 1:10:57.120]  Putin took the bait and came in.
[1:10:57.120 --> 1:11:01.120]  It endangers the world. Both sides have arguments. Let's end this now.
[1:11:01.120 --> 1:11:05.120]  Like the Pope said, we need peace. We need a deal. We need to stop this right now.
[1:11:05.120 --> 1:11:10.120]  And I'm not usually dealing, agreeing with the Pope, or even Biden saying we could have World War III.
[1:11:10.120 --> 1:11:12.120]  Because it needs to stop.
[1:11:12.120 --> 1:11:17.120]  And instead of being on Ukraine's side, like all the left of the media's, calling for World War II,
[1:11:17.120 --> 1:11:22.120]  or instead of being on the Russian side saying Putin's perfect and he deserves it all,
[1:11:22.120 --> 1:11:26.120]  and he's right and let's get behind him and crush, you know, Putin's to start leveling cities.
[1:11:26.120 --> 1:11:32.120]  He'll show them what to do. No, let's not do any of that.
[1:11:32.120 --> 1:11:35.120]  If you had to blame somebody, it's Soros on the left and the globalists.
[1:11:35.120 --> 1:11:38.120]  I mean, if you have to pick who started this and who drew first blood,
[1:11:38.120 --> 1:11:42.120]  and who got this all going, and who poked the bear over and over again,
[1:11:42.120 --> 1:11:44.120]  so it would come down the path and step in the bear trap.
[1:11:44.120 --> 1:11:46.120]  Yeah, it's the globalists. It's the New World Order.
[1:11:46.120 --> 1:11:49.120]  It's Barack Obama. It's George Soros. Yes.
[1:11:49.120 --> 1:11:56.120]  And they want to suck us into a global crisis that's the pretext for a global social credit score
[1:11:56.120 --> 1:12:02.120]  and a casual society they now admit that is the cover for what two years of COVID tyranny did destroying the economy.
[1:12:02.120 --> 1:12:04.120]  So the war is bad for the people.
[1:12:04.120 --> 1:12:09.120]  The war is bad for humans and prosperity and our basic liberties.
[1:12:09.120 --> 1:12:12.120]  And so knowledge is the answer.
[1:12:12.120 --> 1:12:15.120]  The people know what's happening. They will live in liberty.
[1:12:15.120 --> 1:12:17.120]  If they don't know, they will live in tyranny.
[1:12:17.120 --> 1:12:20.120]  And so the answer is seeing the whole thing from a globalist perspective,
[1:12:20.120 --> 1:12:23.120]  but being against their agenda, understanding what they're doing,
[1:12:23.120 --> 1:12:26.120]  but then saying, I'm not going to be part of this.
[1:12:26.120 --> 1:12:30.120]  I'm going to find a solution out of this so we don't kill each other
[1:12:30.120 --> 1:12:37.120]  and stop with this war model that we can't engage in now because of nuclear weapons and other things.
[1:12:37.120 --> 1:12:41.120]  Of course, the biolabs are real. Of course, all this is insane.
[1:12:41.120 --> 1:12:44.120]  The people running our country hate us.
[1:12:44.120 --> 1:12:48.120]  They hate us more than the Russians.
[1:12:48.120 --> 1:12:53.120]  One thing about being in LA for three days, man, I get sick every time I'm there.
[1:12:53.120 --> 1:13:00.120]  I would just say allergies like to the toxic dust. Every time I go there, I get a huge headache
[1:13:00.120 --> 1:13:04.120]  and just feel like hell. I don't know why I'm going off on a tangent here, but man,
[1:13:04.120 --> 1:13:09.120]  beautiful place, a lot of amazing stuff, but man, you don't want to build a big giant city
[1:13:09.120 --> 1:13:16.120]  of 10 million people between an ocean and a mountain range that captures all of the particular,
[1:13:16.120 --> 1:13:21.120]  all there in one spot. But don't worry, toxic cities is the least of our problems
[1:13:21.120 --> 1:13:26.120]  with nuclear fallout, obviously, on its way if we don't turn around very, very, very quickly.
[1:13:26.120 --> 1:13:29.120]  Let me get into some more of the headlines here.
[1:13:29.120 --> 1:13:32.120]  Oh, how loving. I mentioned this earlier.
[1:13:32.120 --> 1:13:37.120]  U.S. sending suicide drones to Ukraine.
[1:13:37.120 --> 1:13:42.120]  What they are is drones that are missile platforms that a one person can carry,
[1:13:42.120 --> 1:13:46.120]  four or five of them, but the average person carries two in a backpack.
[1:13:46.120 --> 1:13:52.120]  They're about two feet long and they can go out up to five miles and they target the grid.
[1:13:52.120 --> 1:13:56.120]  Somebody tells you where the enemy is, you fly out to it, you see where your target,
[1:13:56.120 --> 1:14:00.120]  that's someone's targeting usually, and then you fly into it.
[1:14:00.120 --> 1:14:08.120]  And China's answer is they're sitting in because the Russians are already fighting these.
[1:14:08.120 --> 1:14:12.120]  You know, but by the time you hear about it, they were already fighting it.
[1:14:12.120 --> 1:14:16.120]  The Russians don't have as many drones as the Chinese, so where does the Chinese
[1:14:16.120 --> 1:14:23.120]  have been flying into Russia? Tens of thousands of their drones that they were planning to use,
[1:14:23.120 --> 1:14:28.120]  these are little drones, for the attack on Taiwan if needed.
[1:14:28.120 --> 1:14:31.120]  And again, they hover around, they watch, they land on top of a building,
[1:14:31.120 --> 1:14:36.120]  they get solar power, they charge back up, they come and attack.
[1:14:36.120 --> 1:14:43.120]  There's a lot of different types of them. Some of them got rocket assist to take off, but they didn't use solar.
[1:14:43.120 --> 1:14:46.120]  And it's a big problem.
[1:14:46.120 --> 1:14:49.120]  And so the robot war is here.
[1:14:49.120 --> 1:14:52.120]  I remember ten years ago telling you there's going to be drone wars and all this,
[1:14:52.120 --> 1:14:55.120]  oh, you're crazy, and now it's just happening.
[1:14:55.120 --> 1:15:01.120]  And overnight we're now sucked in to oblivion.
[1:15:01.120 --> 1:15:03.120]  Enemy of the people.
[1:15:03.120 --> 1:15:06.120]  News media begged for war during White House press briefing.
[1:15:06.120 --> 1:15:10.120]  We've got this slobbering event as a bunch of women called for war.
[1:15:10.120 --> 1:15:14.120]  I thought women were anti-war.
[1:15:14.120 --> 1:15:17.120]  Putin claims U.S.'s network of controversial bioweapons labs is Ukraine.
[1:15:17.120 --> 1:15:19.120]  I love how we're like back to square one.
[1:15:19.120 --> 1:15:22.120]  They're there, it's on record they're there, the U.S. government admits they're there.
[1:15:22.120 --> 1:15:26.120]  They took over the Soviet labs and expanded them, but because the media then denies it,
[1:15:26.120 --> 1:15:31.120]  while the undersecretary of state, Victoria Newland, simultaneously admits it,
[1:15:31.120 --> 1:15:34.120]  we get caught up in a debate about whether it exists or not,
[1:15:34.120 --> 1:15:37.120]  as if we can't go out and find the fact that it does.
[1:15:37.120 --> 1:15:39.120]  That's called gaslighting.
[1:15:39.120 --> 1:15:43.120]  All right, we have the man that wrote the U.S. Biological Chemical Weapons Law,
[1:15:43.120 --> 1:15:47.120]  former top U.N. prosecutor of Salmabalajevic, and others on the straight away,
[1:15:47.120 --> 1:15:50.120]  to break down what's really happening with the biolabs and more.
[1:15:50.120 --> 1:15:53.120]  Dr. Francis Boyle, straight ahead, infowars.com.
[1:15:53.120 --> 1:16:02.120]  Tomorrow's news today.
[1:16:23.120 --> 1:16:32.120]  This legislation's being introduced, that if you amplify any quote pro-Russian information,
[1:16:32.120 --> 1:16:36.120]  you can be censored, you can be arrested, you can be imprisoned.
[1:16:36.120 --> 1:16:42.120]  And of course now, Canada's under this legislation, that if you have a thought crime,
[1:16:42.120 --> 1:16:47.120]  and they think you may have the intent to engage in hate speech online,
[1:16:47.120 --> 1:16:49.120]  that you will be censored and arrested.
[1:16:49.120 --> 1:16:54.120]  Ladies and gentlemen, the authoritarianism is being carried out by the globalists around the world,
[1:16:54.120 --> 1:16:59.120]  against humanity, that makes infowars.com more important than ever.
[1:16:59.120 --> 1:17:02.120]  So I did it. I signed up for the Austin Marathon.
[1:17:02.120 --> 1:17:05.120]  I've been training, probably not as much as they should be,
[1:17:05.120 --> 1:17:10.120]  but thank goodness for prayer, and thank goodness for infowarsstore.com.
[1:17:10.120 --> 1:17:16.120]  Before I set out on a run, I throw down some turbo force to give me that energy I need to get going.
[1:17:16.120 --> 1:17:21.120]  Besides the energy turbo force, it is giving me the vitamins I need, like vitamin C,
[1:17:21.120 --> 1:17:26.120]  to keep me healthy, and the essential B vitamins, plus the amino acids for sustained energy,
[1:17:26.120 --> 1:17:29.120]  giving me the best chance at getting through the training.
[1:17:29.120 --> 1:17:33.120]  And then every day now, I'm taking Dr. Jones' sore list.
[1:17:33.120 --> 1:17:35.120]  I have bad joints, thanks mom.
[1:17:35.120 --> 1:17:39.120]  So this is great for giving my joints the extra support they need right now,
[1:17:39.120 --> 1:17:42.120]  plus inflammation support and extra flexibility.
[1:17:42.120 --> 1:17:46.120]  The quick release capsules help me recover fast so I can get back to the training.
[1:17:46.120 --> 1:17:50.120]  Even if you are not crazy enough to take on a marathon, good news,
[1:17:50.120 --> 1:17:54.120]  turbo force that can still give you the energy and clarity you need for every day,
[1:17:54.120 --> 1:17:58.120]  and sore list can keep you moving and feeling great at any age.
[1:17:58.120 --> 1:18:03.120]  The powerful combination of both vitamin C and zinc are great stepping stones
[1:18:03.120 --> 1:18:05.120]  to leading a healthier life.
[1:18:05.120 --> 1:18:09.120]  Infowars has made it easier to make sure you are getting enough in your system
[1:18:09.120 --> 1:18:11.120]  with a supplement that contains both.
[1:18:11.120 --> 1:18:15.120]  This infowars life offering vitamin C plus zinc with rose hips
[1:18:15.120 --> 1:18:18.120]  should be your next purchase from the infowars store.
[1:18:18.120 --> 1:18:23.120]  The rose hips contained within are a part of the rose flower just below the petals
[1:18:23.120 --> 1:18:25.120]  that contain the rose plant seeds.
[1:18:25.120 --> 1:18:30.120]  Natural chemicals found in the hips may even be helpful for a variety of health conditions,
[1:18:30.120 --> 1:18:36.120]  including those with osteoarthritis and for those with pain after surgery studies have shown.
[1:18:36.120 --> 1:18:41.120]  As for vitamin C and zinc themselves, you probably already know that they play an important role
[1:18:41.120 --> 1:18:45.120]  in nutrition, immune defense, and the maintenance of your everyday health.
[1:18:45.120 --> 1:18:48.120]  It has been reported that intake of both is often inadequate,
[1:18:48.120 --> 1:18:51.120]  even in affluent populations like here in America.
[1:18:51.120 --> 1:18:55.120]  So next time you visit, be sure to check it out at infowarsstore.com
[1:18:55.120 --> 1:18:58.120]  where we promise our rose hips don't lie.
[1:18:58.120 --> 1:19:01.120]  UN-run contact tracers aren't coming.
[1:19:01.120 --> 1:19:05.120]  They're here all over the world from Australia to the United States from Canada to Germany.
[1:19:05.120 --> 1:19:08.120]  These tyrants are tracking everything you do everywhere you go,
[1:19:08.120 --> 1:19:11.120]  then coming to your house and threatening in some cases,
[1:19:11.120 --> 1:19:16.120]  actually taking people away into the night to their facilities.
[1:19:16.120 --> 1:19:20.120]  And they're planning in the next year to expand their shield process
[1:19:20.120 --> 1:19:24.120]  where they come and take, quote, healthy people away and put them in facilities for their safety.
[1:19:24.120 --> 1:19:26.120]  This is nothing less than martial law.
[1:19:26.120 --> 1:19:30.120]  And one big thing you can do to fight back is to get high quality Faraday cages,
[1:19:30.120 --> 1:19:33.120]  many of which are made here in America and are very compliant,
[1:19:33.120 --> 1:19:37.120]  meaning U.S. government military grade at infowarsstore.com.
[1:19:37.120 --> 1:19:43.120]  We have the entire line of silent pocket ready to ship to you when you visit infowarsstore.com.
[1:19:43.120 --> 1:19:46.120]  Again, we have big backpacks, we have special dry bags,
[1:19:46.120 --> 1:19:50.120]  we've got them for cell phones, we've got them for laptops, we've got them for iPads.
[1:19:50.120 --> 1:19:53.120]  It's all there at infowarsstore.com.
[1:19:53.120 --> 1:20:07.120]  So protect your privacy today and support the Infowar at infowarsstore.com.
[1:20:24.120 --> 1:20:27.120]  Welcome, ladies and gentlemen.
[1:20:27.120 --> 1:20:30.120]  We've got really one of the best experts we could have on about this.
[1:20:30.120 --> 1:20:35.120]  Dr. Francis Boyle went to Harvard and other universities and got the special degree,
[1:20:35.120 --> 1:20:38.120]  Ph.D., the only handout once a year, the same one Kissinger got,
[1:20:38.120 --> 1:20:40.120]  the same one Kissinger administered.
[1:20:40.120 --> 1:20:44.120]  So we got that top view of the Anglo-American globalist arm.
[1:20:44.120 --> 1:20:46.120]  And then, of course, he did many other things.
[1:20:46.120 --> 1:20:53.120]  He wrote the U.S. chemical and then later biological weapons laws,
[1:20:53.120 --> 1:20:55.120]  then was instrumental in the U.N. treaties as well.
[1:20:55.120 --> 1:21:02.120]  He was the lead U.N. also prosecutor in some of the biggest war crimes cases ever,
[1:21:02.120 --> 1:21:03.120]  including Sullivan-Milodrovic.
[1:21:03.120 --> 1:21:06.120]  His pedigrees know we don't need to go over it here
[1:21:06.120 --> 1:21:11.120]  because there's a lot to cover in the 45 minutes that we have here with him today.
[1:21:11.120 --> 1:21:17.120]  But to give a really real politic or 35,000-foot view of what the globalists are seeing
[1:21:17.120 --> 1:21:19.120]  or what's really happening there, I wanted to get him on.
[1:21:19.120 --> 1:21:22.120]  He's also an expert on biological weapons labs.
[1:21:22.120 --> 1:21:27.120]  I'm very frustrated in that I have hundreds of articles admitting that Obama and others
[1:21:27.120 --> 1:21:30.120]  went and basically refurbished these Soviet-era labs.
[1:21:30.120 --> 1:21:31.120]  It was in the Washington Post.
[1:21:31.120 --> 1:21:32.120]  It was everywhere. It's not debatable.
[1:21:32.120 --> 1:21:35.120]  And then Victoria Newland comes out last week, again,
[1:21:35.120 --> 1:21:38.120]  the deputy secretary of state and the Ukraine expert, as they call her,
[1:21:38.120 --> 1:21:41.120]  and admits that the labs are there.
[1:21:41.120 --> 1:21:43.120]  And then the media simultaneously says they don't exist.
[1:21:43.120 --> 1:21:44.120]  We made them up.
[1:21:44.120 --> 1:21:47.120]  And then you're a Russian agent, if you say they exist.
[1:21:47.120 --> 1:21:50.120]  And then, oh, but the Russians have seized two of them that don't exist,
[1:21:50.120 --> 1:21:54.120]  USA Today and CNN, saying they're going to attack us with them, but they don't exist.
[1:21:54.120 --> 1:22:00.120]  And so it just seems like we've entered a land of beyond the Tea Party in Alice in Wonderland.
[1:22:00.120 --> 1:22:04.120]  I mean, this seems to be not just propaganda,
[1:22:04.120 --> 1:22:08.120]  but a disconnected, incompetent state department in White House.
[1:22:08.120 --> 1:22:12.120]  I mean, you've got Biden not knowing who he is.
[1:22:12.120 --> 1:22:17.120]  You've got the vice president saying that Ukraine is NATO.
[1:22:17.120 --> 1:22:19.120]  We'll defend NATO.
[1:22:19.120 --> 1:22:25.120]  And then Biden saying that Iran has attacked Ukraine and that Russia has attacked Russia.
[1:22:25.120 --> 1:22:28.120]  I mean, this is really scary.
[1:22:28.120 --> 1:22:31.120]  Maybe it's not incompetence. Maybe it's something else.
[1:22:31.120 --> 1:22:35.120]  But this is wild. We have the CIA stay behind networks.
[1:22:35.120 --> 1:22:40.120]  The CIA now bragging in Yahoo News that they've been fighting the Russians since 2014,
[1:22:40.120 --> 1:22:42.120]  which we knew and told you from our sources.
[1:22:42.120 --> 1:22:44.120]  But now that's admitted.
[1:22:44.120 --> 1:22:50.120]  So it looks to me like Putin walked into a provocation and miscalculated and walked into a bear trap.
[1:22:50.120 --> 1:22:53.120]  I mean, I'm not lionizing Putin, but I know why he did it.
[1:22:53.120 --> 1:22:57.120]  So does Dr. Francis Boyle give us a 35,000 view?
[1:22:57.120 --> 1:23:00.120]  We'll get into all the details like you love to do in the next segment.
[1:23:00.120 --> 1:23:08.120]  Just as an American, as a law professor, as a person that obviously doesn't want nuclear war,
[1:23:08.120 --> 1:23:11.120]  in six minutes to break, what is your synopsis?
[1:23:11.120 --> 1:23:16.120]  If you were briefing the world, you are briefing millions right now about the some knowledge
[1:23:16.120 --> 1:23:21.120]  of what you would call this sleepwalking into Armageddon or what is it?
[1:23:21.120 --> 1:23:23.120]  Well, Alex, thank you very much for having me.
[1:23:23.120 --> 1:23:26.120]  I have my best year viewing your audience.
[1:23:26.120 --> 1:23:35.120]  Yes, it's as I see it, we really have to start with the promises made by Secretary of State Jim Baker
[1:23:35.120 --> 1:23:46.120]  and many of the other NATO leaders that if Secretary General Gorbachev agreed to the unification of Germany,
[1:23:46.120 --> 1:23:50.120]  NATO would not move to the east.
[1:23:50.120 --> 1:23:56.120]  But once Clinton got in there and they proceeded to expand NATO to the east,
[1:23:56.120 --> 1:24:06.120]  the promises that Baker and the other European leaders made to Gorbachev were binding under international law.
[1:24:06.120 --> 1:24:17.120]  High-level officials who give solemn assurances acting within their scope of authority can bind their states under international law.
[1:24:17.120 --> 1:24:20.120]  It's a basic principle of international law.
[1:24:20.120 --> 1:24:23.120]  Even the Russian lawyers know it.
[1:24:23.120 --> 1:24:27.120]  I've been over there lecturing to them and things of this nature.
[1:24:27.120 --> 1:24:30.120]  So Ukraine was part of this project.
[1:24:30.120 --> 1:24:44.120]  And what we saw in 2014 was Obama-Biden launched a coup d'état against a democratically elected government in Ukraine,
[1:24:44.120 --> 1:24:50.120]  the Yanukovych government, and Newland, as you know, had a critical role to play.
[1:24:50.120 --> 1:25:02.120]  Those tapes were released bragging that the United States had put at least $5 billion into this clearly illegal coup d'état.
[1:25:02.120 --> 1:25:11.120]  And then we effectively established a neo-Nazi regime over there in Ukraine.
[1:25:11.120 --> 1:25:26.120]  Right Sector, as of Brigades, many others whose dissent goes back directly to collaboration with Hitler and the Nazis when they occupied Ukraine.
[1:25:26.120 --> 1:25:38.120]  And then we proceeded to arm, equip, supply, train, finance, and direct these people until today.
[1:25:38.120 --> 1:25:41.120]  Biden's now arming them.
[1:25:41.120 --> 1:25:48.120]  To give you an example then, the front lines at Donbass were the Azov Brigade.
[1:25:48.120 --> 1:25:54.120]  These Nazis of the Azov Brigade were besieging Donetsk and Lugansk.
[1:25:54.120 --> 1:26:01.120]  They're only 460 kilometers from Stalingrad.
[1:26:01.120 --> 1:26:15.120]  And I have visited Stalingrad and I've toured Stalingrad and the genocidal bestiality of the Nazi army at Stalingrad literally took my breath away.
[1:26:15.120 --> 1:26:25.120]  Now, in December, as you know, the Russian government submitted two treaties to NATO and to the Biden administration.
[1:26:25.120 --> 1:26:30.120]  I've read them, I won't go through all of them here, there was a wish list, okay.
[1:26:30.120 --> 1:26:40.120]  The bottom line was, Russia wanted assurances that Ukraine was not going to join NATO.
[1:26:40.120 --> 1:26:50.120]  And that NATO would not expand, say, to Moldova and Georgia, which are right there in this area.
[1:26:50.120 --> 1:27:01.120]  And for two months, the Foreign Minister Laval fruitlessly negotiated with the Biden administration over this.
[1:27:01.120 --> 1:27:17.120]  And Biden refused, absolutely refused to make these assurances, which he should have given because they were required by the promises that Jim Baker had made for Bush Senior.
[1:27:17.120 --> 1:27:23.120]  And I think even today, I'm in favor of stopping the war.
[1:27:23.120 --> 1:27:34.120]  It could be stopped today if President Biden were to get up and announce and say publicly, yes, Ukraine will not be joining NATO.
[1:27:34.120 --> 1:27:50.120]  And NATO will not be expanding to the east in Georgia, Moldova, or elsewhere. And the rest we're prepared to negotiate, certainly over removing U.S. nuclear weapons for Europe,
[1:27:50.120 --> 1:27:57.120]  where they are there in five countries in violation of the 1968 Non-Proliferation Treaty.
[1:27:57.120 --> 1:28:11.120]  And also, we will negotiate over so-called ABMs in Poland and Romania that definitely threaten Russia and can be immediately converted into offensive systems.
[1:28:11.120 --> 1:28:21.120]  And Dr. Boyle, let's talk about this. I mean, everybody understands that if Russia moved troops into Mexico onto the U.S. border, we'd go to war with them in a matter of weeks, not a matter of years.
[1:28:21.120 --> 1:28:34.120]  And so it is true that all these treaties expired. The U.S. did not want to negotiate and let them expire. And so Putin saw this again as, wow, they've cut all their Cold War era and post-Cold War nuclear agreements.
[1:28:34.120 --> 1:28:40.120]  They're going to war with us. I mean, for people that aren't a diplomat like you, a top diplomat, former diplomat, that's a major provocation.
[1:28:40.120 --> 1:28:44.120]  I want to get your take on that when we come back and talk about where this is all going.
[1:28:44.120 --> 1:28:54.120]  Wow, the U.S. and Europe have gotten on a war footing with Russia, put troops on their border, committed war crimes in Russian ethnic areas, and the Russians have doubled down and invaded, and now they're caught in trap.
