[00:00.000 --> 00:07.000]  Ladies and gentlemen, thank you so much for joining us today.
[1:48:36.000 --> 1:48:44.000]  Ukrainian ambassador to Elon Musk, no Ukrainian will ever buy your effing Tesla crap f off.
[1:48:44.000 --> 1:48:54.000]  And then other such statements have been launched towards Elon Musk from Zelensky and other Ukrainian diplomats
[1:48:54.000 --> 1:48:56.000]  telling Elon Musk to eff off.
[1:48:56.000 --> 1:48:59.000]  Well, why would that be? Why would they be telling Elon Musk to back off?
[1:48:59.000 --> 1:49:03.000]  Well, the simple reason is because he wants peace.
[1:49:03.000 --> 1:49:07.000]  That's the simple reason.
[1:49:07.000 --> 1:49:18.000]  The more complex reason is that he's actually trying to have a negotiation for peace,
[1:49:18.000 --> 1:49:23.000]  calling for peace, and he's somewhat involved in the situation.
[1:49:23.000 --> 1:49:26.000]  And that angers these totalitarians in Ukraine.
[1:49:26.000 --> 1:49:33.000]  But it makes you wonder why all these Ukrainian leaders are now saying eff Elon Musk when he's calling for peace.
[1:49:33.000 --> 1:49:43.000]  Well, where have the hundreds of billions of dollars gone that went into Ukraine to help fight against Russia?
[1:49:43.000 --> 1:49:44.000]  Where did all that money go?
[1:49:44.000 --> 1:49:50.000]  My guess is all the Ukrainian leaders shouting eff you at Elon Musk for calling for peace.
[1:49:50.000 --> 1:49:53.000]  My first guess would be looking to their bank accounts.
[1:49:53.000 --> 1:49:54.000]  That would be my guess.
[1:49:54.000 --> 1:49:56.000]  Why do they want war?
[1:49:56.000 --> 1:50:00.000]  Because they're making millions of dollars.
[1:50:00.000 --> 1:50:03.000]  And so here comes Elon Musk saying, hey, we should go for peace.
[1:50:03.000 --> 1:50:04.000]  Uh-oh.
[1:50:04.000 --> 1:50:06.000]  Well, that costs us millions of dollars.
[1:50:06.000 --> 1:50:07.000]  That affects our bottom line.
[1:50:07.000 --> 1:50:10.000]  We can't have peace.
[1:50:10.000 --> 1:50:16.000]  Why else would Ukrainian diplomats and officials and Zelensky be saying eff you to Elon Musk for calling for peace?
[1:50:16.000 --> 1:50:21.000]  Because they want war.
[1:50:21.000 --> 1:50:23.000]  And they'll get rich off of it.
[1:50:23.000 --> 1:50:25.000]  But let's look at the Musk situation.
[1:50:25.000 --> 1:50:27.000]  Now, why did they get so mad at Musk?
[1:50:27.000 --> 1:50:33.000]  All Elon Musk really did was propose, it was just a poll on Twitter.
[1:50:33.000 --> 1:50:39.000]  He says, Ukraine, Russia, peace, redo elections of annexed regions under UN supervision.
[1:50:39.000 --> 1:50:41.000]  Russia leaves if that is the will of the people.
[1:50:41.000 --> 1:50:47.000]  Crimea formally part of Russia as it has been since 1783 until Khrushchev's mistake.
[1:50:47.000 --> 1:50:51.000]  Water supply to Crimea assured Ukraine remains neutral.
[1:50:51.000 --> 1:51:00.000]  And this poll concluded earlier today and it had 40% saying yes to that.
[1:51:00.000 --> 1:51:03.000]  Well, 41% saying yes to that, 59% saying no to that.
[1:51:03.000 --> 1:51:05.000]  But that's just because it's a little convoluted.
[1:51:05.000 --> 1:51:08.000]  People don't understand the overall issue.
[1:51:08.000 --> 1:51:11.000]  And so I'll revisit that in a second.
[1:51:11.000 --> 1:51:20.000]  But Elon Musk understanding that the poll might have been confusing issued a new poll today that said Ukraine should decide its own faith, its own faith.
[1:51:20.000 --> 1:51:25.000]  And if you pull that up, you'll see I think the last I checked it was like 70% said yes.
[1:51:25.000 --> 1:51:30.000]  Which is essentially what Elon Musk asked in the original poll that got 3 million votes.
[1:51:30.000 --> 1:51:37.000]  He just reworded it so the average person could interpret it better and the results changed.
[1:51:37.000 --> 1:51:43.000]  And so yeah, it's now basically the exact opposite of what the original poll was.
[1:51:43.000 --> 1:51:49.000]  Now 60% say yes, we should go for peace and 40% say no, we should go for war.
[1:51:49.000 --> 1:51:53.000]  Because that's really what the poll is in the simplest terms.
[1:51:53.000 --> 1:51:55.000]  But okay.
[1:51:55.000 --> 1:51:58.000]  So then they all come out and they say F you, Elon, you're bad.
[1:51:58.000 --> 1:52:01.000]  You know, we're never going to buy your crap.
[1:52:01.000 --> 1:52:04.000]  Let's not forget as Elon Musk points out,
[1:52:04.000 --> 1:52:11.000]  SpaceX's out-of-pocket cost to enable and support Starlink in Ukraine is $80 million so far.
[1:52:11.000 --> 1:52:13.000]  Our support for Russia is $0.
[1:52:13.000 --> 1:52:15.000]  Obviously we are pro-Ukraine.
[1:52:15.000 --> 1:52:19.000]  Trying to retake Crimea will cause massive death, probably fail and risk nuclear war.
[1:52:19.000 --> 1:52:22.000]  This would be a terrible situation for Ukraine and Earth.
[1:52:22.000 --> 1:52:29.000]  And that's basically what he said is, hey, if we can avoid a war for basically the same results and save millions of lives, why wouldn't we do that?
[1:52:29.000 --> 1:52:32.000]  Well, I don't know, there's a death cult that runs the planet apparently and they want to solve debt.
[1:52:32.000 --> 1:52:36.000]  And Liberals want a nuclear confrontation with Russia for a litany of reasons.
[1:52:36.000 --> 1:52:39.000]  But let's revisit the original poll.
[1:52:39.000 --> 1:52:46.000]  Ladies and gentlemen, when Elon Musk says that the elections need to be redone,
[1:52:46.000 --> 1:52:51.000]  that resulted in the annexation of the Ukraine regions into Russia,
[1:52:51.000 --> 1:52:57.000]  there's already proof that those results were legitimate.
[1:52:57.000 --> 1:53:05.000]  And that is, if you just go back and you look at the results from the last Ukrainian elections,
[1:53:05.000 --> 1:53:11.000]  where if you look at the disparity here, what do you see?
[1:53:11.000 --> 1:53:20.000]  Eastern Ukraine, heavily blue, meaning they voted for the pro-Russian Genukovych,
[1:53:20.000 --> 1:53:29.000]  and then Western Ukraine, mostly red and pink, where they voted for the anti-Russian Tamashenko.
[1:53:29.000 --> 1:53:39.000]  So Eastern Ukraine has been pro-Russian and the areas originally annexed by Russia,
[1:53:39.000 --> 1:53:43.000]  which are in the Far East over here, down to the Crimea, this area right here,
[1:53:43.000 --> 1:53:48.000]  you can see how deep blue that is. That's like just straight blue right here.
[1:53:48.000 --> 1:53:51.000]  These are the regions that got annexed to Russia.
[1:53:51.000 --> 1:53:56.000]  They were already voting pro-Russia, they already were pro-Russia, they speak Russian,
[1:53:56.000 --> 1:53:59.000]  they don't like Ukrainian leadership.
[1:53:59.000 --> 1:54:09.000]  And here's an example of that, that the media won't show you from a young family in Ukraine,
[1:54:09.000 --> 1:54:14.000]  talking about this in clip 26.
[1:54:14.000 --> 1:54:16.000]  How do you feel about voting?
[1:54:16.000 --> 1:54:22.000]  We are so happy that we are going to be a part of Russia, we are going to be a part of new history.
[1:54:22.000 --> 1:54:29.000]  We are very happy for this very important day for us, for all of us and vast people.
[1:54:29.000 --> 1:54:36.000]  I think I know how you voted, do you want to tell us how you voted or do you want to tell us what you voted?
[1:54:36.000 --> 1:54:39.000]  Yes, I want to be part of Russia.
[1:54:39.000 --> 1:54:42.000]  Why did you vote?
[1:54:42.000 --> 1:54:52.000]  Because already for eight and a half years we are suffering here under the war, under the bombs, so we want to live in peace,
[1:54:52.000 --> 1:54:57.000]  we want to be part of a normal country which is supporting us, which is helping us all the time.
[1:54:57.000 --> 1:55:00.000]  That's why we voted yes.
[1:55:00.000 --> 1:55:03.000]  What has been like here for the last eight years?
[1:55:03.000 --> 1:55:04.000]  For last what?
[1:55:04.000 --> 1:55:06.000]  For the last eight years.
[1:55:06.000 --> 1:55:16.000]  Actually, we were living not here, we came back here like one year ago, but my family was here,
[1:55:16.000 --> 1:55:26.000]  my mom, my auntie, my grandfather, so they were bombing all the time and no support from our country,
[1:55:26.000 --> 1:55:31.000]  like in Ukraine, they never helped us for these eight years.
[1:55:31.000 --> 1:55:38.000]  All the time Russia was supporting us and giving us food and everything, whatever we need,
[1:55:38.000 --> 1:55:47.000]  whatever the city needs, whatever people need, so that's why of course people don't want to be with them anymore.
[1:55:47.000 --> 1:55:51.000]  This seems to be a real happiness here today, joy, why is that today?
[1:55:51.000 --> 1:55:58.000]  We are very happy today because we are going to live a normal life soon.
[1:55:58.000 --> 1:56:01.000]  Just a little more information here.
[1:56:01.000 --> 1:56:09.000]  Eastern Ukraine was filled with a bunch of western proxy groups lined up as an affront towards Russia
[1:56:09.000 --> 1:56:14.000]  and they operate, they go down in the Middle East, they go into Syria, they go into a bunch of other regions
[1:56:14.000 --> 1:56:15.000]  and they operate out of there.
[1:56:15.000 --> 1:56:26.000]  It was filled with the Azov Battalion Nazis, the literal lineage of Nazis that escaped to that region of Ukraine
[1:56:26.000 --> 1:56:31.000]  after World War II, literally the descendants of Nazis, they run around with Nazi swastikas, Nazi symbols,
[1:56:31.000 --> 1:56:36.000]  doing the Nazi salute, literal Nazis, and it was a war-torn region, it was a corrupt region
[1:56:36.000 --> 1:56:38.000]  and Ukraine wasn't doing a damn thing.
[1:56:38.000 --> 1:56:43.000]  They were facilitating it and Russia was trying to help those people, so that's what that lady is describing.
[1:56:43.000 --> 1:56:51.000]  So yeah, when the Russians kicked out the Nazis and the Russians kicked out the western proxy groups,
[1:56:51.000 --> 1:56:55.000]  the Ukrainian people were celebrating in Eastern Ukraine and you saw Russian flags and everything
[1:56:55.000 --> 1:56:58.000]  and then they held the vote and they voted to join Russia.
[1:56:58.000 --> 1:57:04.000]  So you could redo that vote and you'll get the same results as you did in every other election
[1:57:04.000 --> 1:57:10.000]  where Eastern Ukraine wants pro-Russian leadership and Western Ukraine doesn't.
[1:57:10.000 --> 1:57:12.000]  And so that's what's happened.
[1:57:12.000 --> 1:57:14.000]  And that's what Elon Musk is pointing out.
[1:57:14.000 --> 1:57:21.000]  But all he does is say, we should have peace, and by the way, I've only supported Ukraine, not Russia.
[1:57:21.000 --> 1:57:25.000]  Why are you coming after me? Why are you telling me to eff off?
[1:57:25.000 --> 1:57:32.000]  And they continue to attack him and so Elon Musk responds saying, you are assuming that I wish to be popular.
[1:57:32.000 --> 1:57:38.000]  I don't care. I do care that millions of people may die needlessly for an essentially identical outcome.
[1:57:38.000 --> 1:57:48.000]  So Elon Musk now learning that the war hawks and the eugenicists want a war with Russia and I don't think he does.
[1:57:48.000 --> 1:57:54.000]  Look around you, everything I predicted from the Globlestone documents from their own admissions is now happening.
[1:57:54.000 --> 1:57:58.000]  Info wars credibility. My credibility has never been higher.
[1:57:58.000 --> 1:58:05.000]  And it's because of your backing of this operation that I could steadfastly, despite the censorship and the boycotts
[1:58:05.000 --> 1:58:08.000]  and the attacks and the lawsuits stay on air.
[1:58:08.000 --> 1:58:13.000]  But now we're reaching the most critical juncture in the fight together.
[1:58:13.000 --> 1:58:18.000]  So I want to ask all of you today to help keep me on the air.
[1:58:18.000 --> 1:58:21.000]  In my decades on air, I've never asked for personal donations.
[1:58:21.000 --> 1:58:27.000]  But I'm being forced by the bankruptcy court to pay for 40% of the legal fees and I can't fund those myself.
[1:58:27.000 --> 1:58:33.000]  It's unsustainable. So please visit saveinfowars.com.
[1:58:33.000 --> 1:58:41.000]  Saveinfowars.com where you can make straight donations, $5, $10, $50, $100, whatever you can so that I can continue to persevere.
[1:58:41.000 --> 1:58:44.000]  I'll never give up. I'll never give in, but I could give out.
[1:58:44.000 --> 1:58:48.000]  Thank you for your support. Wouldn't be without you. Saveinfowars.com.
[1:58:48.000 --> 1:58:53.000]  By the will of God and by God working through you and your support.
[1:58:53.000 --> 1:58:59.000]  Info wars continues to persevere against the attacks never before seen in the Western world against independent media.
[1:58:59.000 --> 1:59:01.000]  Thanks for keeping me in the fight.
[1:59:01.000 --> 1:59:03.000]  And over the years, you have come to the table.
[1:59:03.000 --> 1:59:08.000]  You have stepped to the plate so many times and kept info wars and free speech on the air.
[1:59:08.000 --> 1:59:14.000]  And I thank you. But now I have my own legal bills that have reached the point that I can't pay them and I need your support.
[1:59:14.000 --> 1:59:24.000]  So if you want to keep this operation moving forward, if you want to back me in this fight against the globalist, please visit saveinfowars.com.
[1:59:24.000 --> 1:59:31.000]  And saveinfowars.com takes you to a URL that gives in go for direct Alex Jones legal defense fund.
[1:59:31.000 --> 1:59:35.000]  This whole phase of their attacks, four years in the making is almost over.
[1:59:35.000 --> 1:59:39.000]  And right at the end, we're not giving up. We're not giving in, but we could give out.
[1:59:39.000 --> 1:59:58.000]  So please, if you support what we're doing and want to fight for liberty and freedom in just in the future, go to saveinfowars.com today.
[2:00:10.000 --> 2:00:13.000]  I really appreciate all of you for being here today.
[2:00:13.000 --> 2:00:21.000]  I have Robert Barnes, a well-known constitutional First Amendment and criminal lawyer who also worked on this case for several years.
[2:00:21.000 --> 2:00:25.000]  He can give you documented evidence that we gave them all the discovery so they didn't have case.
[2:00:25.000 --> 2:00:32.000]  So they were forced to default us because I'm this villain that deserves to be found guilty by this kangaroo court.
[2:00:32.000 --> 2:00:38.000]  This is Americans this on trial, even the worst people in the world, which I'm not,
[2:00:38.000 --> 2:00:42.000]  but even if I'm a bad person, as some say, I deserve my day in court.
[2:00:42.000 --> 2:00:47.000]  Even the local newspaper admits, I'm not allowed to defend myself.
[2:00:47.000 --> 2:00:52.000]  It's not Alex Jones saying this. It's the Hartford Current, an article published yesterday.
[2:00:52.000 --> 2:00:57.000]  Alex Jones had to testify at Santa Hook Defamation Trial this week. Here's what we know.
[2:00:57.000 --> 2:01:01.000]  It says he's prohibited from defending himself.
[2:01:01.000 --> 2:01:06.000]  They've had three weeks of people up there lying about me, twisting what I said,
[2:01:06.000 --> 2:01:10.000]  and basically have a memorial for dead children I didn't kill.
[2:01:10.000 --> 2:01:17.000]  All in effect, not just on the Second Amendment, but now, ladies and gentlemen, on the First Amendment of this country.
[2:01:17.000 --> 2:01:23.000]  This is not a trial. Now, I came here to testify two weeks ago. I came here this time to testify.
[2:01:23.000 --> 2:01:30.000]  And the judge today said that she will hold me in criminal contempt if I say I'm innocent, if I say I'm bankrupt,
[2:01:30.000 --> 2:01:34.000]  if I say I wasn't the first person to question Sandy Hook and over 10 other things.
[2:01:34.000 --> 2:01:39.000]  No judge in U.S. history has ever told somebody what they can and can't say.
[2:01:39.000 --> 2:01:46.000]  I'm being ordered to perjure myself when they ask me questions or I'll be arrested if I tell the truth.
[2:01:46.000 --> 2:01:50.000]  This is outrageous and you're all having your freedoms stolen.
[2:01:50.000 --> 2:01:56.000]  In this article, in the Hartford Current and many others, they say I gave over no discovery.
[2:01:56.000 --> 2:02:00.000]  Then on the last page, they say their whole case is based on discovery.
[2:02:00.000 --> 2:02:03.000]  I didn't give them that they twisted that I can't respond to.
[2:02:03.000 --> 2:02:08.000]  Robert Marge is my spokesperson. He'll be able to give a statement here and we'll both take your questions.
[2:02:08.000 --> 2:02:09.000]  Robert Marge.
[2:02:09.000 --> 2:02:14.000]  This is a case that has put the American justice system itself on trial.
[2:02:14.000 --> 2:02:21.000]  And the trial that has taken place here, this show trial, is an embarrassment to the rule of law in America
[2:02:21.000 --> 2:02:25.000]  and a disgrace and a travesty of American justice.
[2:02:25.000 --> 2:02:28.000]  Everybody knows you're supposed to get your day in court.
[2:02:28.000 --> 2:02:32.000]  Yet the one person who is being denied any day in court is Alex Jones.
[2:02:32.000 --> 2:02:41.000]  To such a degree that the court has made clear today that if he testifies honestly, if he testifies truthfully, he goes to jail.
[2:02:41.000 --> 2:02:47.000]  But if he answers the questions in the way the plaintiff's lawyers want, then he could also go to jail.
[2:02:47.000 --> 2:02:52.000]  No matter what he does, he goes to jail if he testifies in his own behalf, in his own defense.
[2:02:52.000 --> 2:02:54.000]  That is in a core American right.
[2:02:54.000 --> 2:03:01.000]  This is a case you have to ask yourself, what is the truth that the plaintiff's lawyers are so terrified that the people here?
[2:03:01.000 --> 2:03:03.000]  What is that truth?
[2:03:03.000 --> 2:03:10.000]  That truth is that Alex Jones participated in discovery more than any media defendant in American libel law history.
[2:03:10.000 --> 2:03:17.000]  A lot more than the New York Times did just down the road in New York in either the Project Veritas case or the Sarah Palin case,
[2:03:17.000 --> 2:03:25.000]  as is detailed in the Hartford Current publication, which talks about the internal emails, internal documents, internal financial records,
[2:03:25.000 --> 2:03:27.000]  all disclosed and divulged to plaintiff's lawyers.
[2:03:27.000 --> 2:03:32.000]  So this is a case where there has been a big lie, a fake case about supposed fake news.
[2:03:32.000 --> 2:03:37.000]  It's a fake case because the story they told about Alex Jones was never true.
[2:03:37.000 --> 2:03:44.000]  The story they told about Sandy Hook was not true in the sense that they blamed gun owners and blamed Alex Jones for what happened
[2:03:44.000 --> 2:03:48.000]  when the reality is that school safety was not up to snuff at Sandy Hook.
[2:03:48.000 --> 2:03:55.000]  Democratic politicians decided to pocket money meant to protect little kids' lives and little kids died who didn't need to die
[2:03:55.000 --> 2:03:57.000]  because politicians lied.
[2:03:57.000 --> 2:04:00.000]  That's the real truth of Sandy Hook, but they can't have any of that truth come out.
[2:04:00.000 --> 2:04:08.000]  They can't have the truth that Alex Jones and Infowars had nothing to do with promoting and instigating and originating those who had doubts about Sandy Hook.
[2:04:08.000 --> 2:04:15.000]  That came from media professors and school safety people and people completely outside of Alex Jones and Infowars.
[2:04:15.000 --> 2:04:24.000]  That's why they always had a fake case, and they won't allow them to tell the truth because the truth would let the world know that their case is based on a lie.
[2:04:24.000 --> 2:04:27.000]  And Bob, make the point you've made. You were involved in the first two years of the case.
[2:04:27.000 --> 2:04:31.000]  We gave them all this massive discovery that you see on the screen.
[2:04:31.000 --> 2:04:36.000]  Then they sit around and say we didn't give it to them so we're defaulted so we can't defend ourselves.
[2:04:36.000 --> 2:04:44.000]  Absolutely. Throughout the entire time frame, I challenge anybody out there to find any media defendant who has produced as many emails,
[2:04:44.000 --> 2:04:50.000]  as many documents, as many internal policies, as many as all the broadcasts that were relevant here.
[2:04:50.000 --> 2:04:55.000]  All right, ladies and gentlemen, press conference from outside the courtroom. We'll be right back here on The Alex Jones Show.
[2:05:21.000 --> 2:05:28.000]  As being the main impotest towards firing up their main base to defeat the New World Order.
[2:05:28.000 --> 2:05:38.000]  The only reason humanity is still in the fight today is because the viewers and listeners of this broadcast have taken action and supported this show.
[2:05:38.000 --> 2:05:42.000]  I don't take the credit. I give you the credit.
[2:05:42.000 --> 2:05:46.000]  And now Infowars is facing its darkest hours. It isn't going to give up.
[2:05:46.000 --> 2:05:51.000]  Without your support, we can be shut down. Please go to saveinfowars.com today.
[2:05:51.000 --> 2:06:17.000]  Saveinfowars.com today and donate for our legal defense fund.
[2:06:17.000 --> 2:06:22.000]  Ladies and gentlemen, quick programming note. We are going to be going back to the press conference right now.
[2:06:22.000 --> 2:06:27.000]  We're archiving it and we're going to be playing it on the bottom half of this hour.
[2:06:27.000 --> 2:06:32.000]  So if you want to hear more from Jones and Barnes outside of the courtroom, stay tuned. That's coming up.
[2:06:32.000 --> 2:06:40.000]  But I have a guest joining me now, Alan Dos Santos from TESRA Livre, a Brazilian journalist and reporter, talk show host,
[2:06:40.000 --> 2:06:54.000]  who got the political persecution and banishment from the very Supreme Court in Brazil that freed the corrupt president Lula from jail so he could run again against Bolsonaro.
[2:06:54.000 --> 2:07:03.000]  And now in the first round of the Brazilian elections, Lula did get more votes than Bolsonaro, but did not get the simple majority it takes to win.
[2:07:03.000 --> 2:07:07.000]  So there'll be a follow-up election. I believe that date is October 30th.
[2:07:07.000 --> 2:07:14.000]  And so I wanted to get Alan on here to discuss. Alan, I'll just open it up to you with my basic questions.
[2:07:14.000 --> 2:07:19.000]  And I was asking some friends of mine in Brazil how they felt about the results.
[2:07:19.000 --> 2:07:23.000]  And they said the same thing that I was thinking was they were stunned.
[2:07:23.000 --> 2:07:27.000]  They were shocked that Lula had such success. They couldn't believe it.
[2:07:27.000 --> 2:07:33.000]  And these are liberals that don't like Bolsonaro. They voted for NOVA and some of the other candidates that barely got any votes.
[2:07:33.000 --> 2:07:37.000]  They said, yeah, I voted for these candidates. I knew they wouldn't win, but I couldn't vote for Lula, even though I don't like Bolsonaro.
[2:07:37.000 --> 2:07:41.000]  You know, they think he's, you know, right-wing fascist, whatever, but they know Lula's corrupt.
[2:07:41.000 --> 2:07:50.000]  So I'm looking at this. I'm seeing some other Brazilian reporters reporting what we saw when Biden won, which was Bolsonaro up,
[2:07:50.000 --> 2:07:57.000]  and then these massive ballot dumps come in 100% for Lula and then putting him on top.
[2:07:57.000 --> 2:08:03.000]  So what is your takeaway from the Brazilian presidential election? Lula getting more votes than Bolsonaro.
[2:08:03.000 --> 2:08:08.000]  What do you think happened? Do you trust the results and what's coming next? Alan Dos Santos.
[2:08:08.000 --> 2:08:18.000]  First of all, thank you for having me here, Owen. It's a pleasure for me being here in the Info Wars, and I can assure you it's a rigged election in Brazil.
[2:08:18.000 --> 2:08:29.000]  This fraud don't shock me, but shock a lot of people that still do not realize what communists are capable to do.
[2:08:29.000 --> 2:08:44.000]  When we were following all the numbers and the results and official website of the Supreme Court, we saw something stopped in kind of being frozen
[2:08:44.000 --> 2:08:53.000]  from the 66.66%. And that moment...
[2:08:53.000 --> 2:08:57.000]  You're talking about the total number of ballots counted? Where does that number come from?
[2:08:57.000 --> 2:08:58.000]  Yeah.
[2:08:58.000 --> 2:09:01.000]  Wow. So they stopped it at 66.6. They stopped the counting.
[2:09:01.000 --> 2:09:02.000]  Yeah.
[2:09:02.000 --> 2:09:03.000]  Oh, my gosh.
[2:09:03.000 --> 2:09:10.000]  So they stopped, that got frozen, and then Lula started to have more votes than Bolsonaro.
[2:09:10.000 --> 2:09:15.000]  And not just few votes, 7 million votes.
[2:09:15.000 --> 2:09:21.000]  But the problem is, if you see the streets, all the videos, it's a viral internet.
[2:09:21.000 --> 2:09:28.000]  You can see that clearly Lula couldn't bring anyone to the street for the rallies or anything.
[2:09:28.000 --> 2:09:38.000]  And when you see Bolsonaro, even place that Bolsonaro wasn't able to go was more, way more packed.
[2:09:38.000 --> 2:09:40.000]  And the crowd was bigger.
[2:09:40.000 --> 2:09:43.000]  So it's a lot like what we saw in America.
[2:09:43.000 --> 2:09:47.000]  Trump 20, 30,000 people every rally, Biden 300 max.
[2:09:47.000 --> 2:09:51.000]  We saw virtually the same thing with Bolsonaro and Lula.
[2:09:51.000 --> 2:09:52.000]  Yeah.
[2:09:52.000 --> 2:10:00.000]  The situation is more clear when you see that Twitter is already doing the same in Brazil right now.
[2:10:00.000 --> 2:10:08.000]  So Matthew Turman from War Room and Project Veritas, he can't post anymore on Twitter.
[2:10:08.000 --> 2:10:13.000]  He just got his account, I think, was blocked.
[2:10:13.000 --> 2:10:15.000]  You talking about Bolsonaro?
[2:10:15.000 --> 2:10:16.000]  No.
[2:10:16.000 --> 2:10:22.000]  Matthew Turman from the Info Wars, from Project Veritas.
[2:10:22.000 --> 2:10:23.000]  Okay, got you.
[2:10:23.000 --> 2:10:26.000]  So they're censoring journalists reporting on this now?
[2:10:26.000 --> 2:10:27.000]  Yeah.
[2:10:27.000 --> 2:10:28.000]  In English.
[2:10:28.000 --> 2:10:34.000]  My account, of course, it's already blocked in worldwide.
[2:10:34.000 --> 2:10:37.000]  And you cannot save fraud anymore.
[2:10:37.000 --> 2:10:45.000]  You can't post anything on Instagram, Twitter, anywhere else, and they will just block your account.
[2:10:45.000 --> 2:10:53.000]  So a lot of people are afraid to say the truth, saying that we need to work on the second turn right now.
[2:10:53.000 --> 2:10:58.000]  The second election, it's going to be in the end of October.
[2:10:58.000 --> 2:11:07.000]  And people are now, let us not talk about fraud because we need to get more votes for Bolsonaro, trying to kind of void another fraud.
[2:11:07.000 --> 2:11:12.000]  But I don't believe that's going to be enough because they are corrupted.
[2:11:12.000 --> 2:11:14.000]  They are criminals.
[2:11:14.000 --> 2:11:24.000]  I mean, it's proven already that Lula da Silva has been proven the most corrupted person in the world, not only in Brazil.
[2:11:24.000 --> 2:11:33.000]  And how can you believe that people he nominated to the Supreme Court will count the votes and tell us the truth?
[2:11:33.000 --> 2:11:50.000]  And a lot of videos on internet is already showing people trying to hit the green button to confirm their votes and they can't end their moments on these voting machines.
[2:11:50.000 --> 2:11:52.000]  And these voting machines, you know, right?
[2:11:52.000 --> 2:11:58.000]  They have been a problem here in America, but everything started in Brazil.
[2:11:58.000 --> 2:12:06.000]  And that's why Trump retweeted me during the election because I spoke about these voting machines back then.
[2:12:06.000 --> 2:12:09.000]  And it's happening in Brazil.
[2:12:09.000 --> 2:12:13.000]  And I don't believe they are not going to fraud again.
[2:12:13.000 --> 2:12:15.000]  I do believe they will.
[2:12:15.000 --> 2:12:22.000]  They will really make this election rigged as it was on last Sunday.
[2:12:22.000 --> 2:12:30.000]  So obviously there's, you know, about three weeks until the second round, which will be Lula versus Bolsonaro on the ticket.
[2:12:30.000 --> 2:12:34.000]  You have to get a simple majority so they bring it to the final two contestants.
[2:12:34.000 --> 2:12:40.000]  I mean, what pushback are we seeing or are you seeing from Brazilian media?
[2:12:40.000 --> 2:12:44.000]  Are they being bullied not to talk about fraud as well with the threats of censorship?
[2:12:44.000 --> 2:12:50.000]  Are they just fully in the tank for the communist criminals and their representative Lula to be president again?
[2:12:50.000 --> 2:12:52.000]  I mean, what is Bolsonaro's option?
[2:12:52.000 --> 2:12:56.000]  If he doesn't trust the election results, where do we go from here?
[2:12:56.000 --> 2:12:58.000]  Well, it's a mystery, to be honest with you.
[2:12:58.000 --> 2:13:04.000]  Bolsonaro has the army in Brazil.
[2:13:04.000 --> 2:13:10.000]  It's also doing the auditing, the audition, sorry, for the election results.
[2:13:10.000 --> 2:13:19.000]  So we are waiting to see what the armed force will say about it because this is kind of the last hope.
[2:13:19.000 --> 2:13:26.000]  Someone proving not only mathematically, because mathematically it's already proving.
[2:13:26.000 --> 2:13:28.000]  You can see the results.
[2:13:28.000 --> 2:13:31.000]  It's not possible to have this kind of pattern.
[2:13:31.000 --> 2:13:39.000]  You know, the election is going in such a way and then everything changes after a frozen time.
[2:13:39.000 --> 2:13:54.000]  And Bolsonaro or he can get way more votes and even with a fraud, he could win because I don't know if you are familiar with this situation.
[2:13:54.000 --> 2:14:05.000]  You need to have a lot of votes for avoiding this fraud and way more than you can ever imagine.
[2:14:05.000 --> 2:14:13.000]  But I do not believe they're going to let Bolsonaro win because Bolsonaro just got the Congress and the Senate.
[2:14:13.000 --> 2:14:18.000]  So if they allow Bolsonaro win naturally, I mean, just counting the votes,
[2:14:18.000 --> 2:14:27.000]  Bolsonaro would have another Senate to impeach Alexandre de Morais, the Supreme Court Justice.
[2:14:27.000 --> 2:14:38.000]  And he also could pass every bill, every law that he could do in favor of Brazil for the first time.
[2:14:38.000 --> 2:14:43.000]  We never had this kind of Congress that we are going to have next year.
[2:14:43.000 --> 2:14:45.000]  So I do not believe they're going to do that.
[2:14:45.000 --> 2:15:03.000]  What options Bolsonaro have in a table, honestly, only the army, the army could speak about what they have seen on election and try to do something,
[2:15:03.000 --> 2:15:11.000]  maybe arresting these criminals because they are, this is my opinion, they should be arrested because they are all criminals.
[2:15:11.000 --> 2:15:14.000]  Lula da Silva, Alexandre de Morais, the Supreme Court Justice.
[2:15:14.000 --> 2:15:24.000]  If you see on old news, not recently, but if you see some old news when Alexandre de Morais got nominated to the Supreme Court,
[2:15:24.000 --> 2:15:37.000]  you see some accusations that he was a lawyer for a company honored by some criminals organization called PCC.
[2:15:37.000 --> 2:15:46.000]  These organization has been declared terrorist group here in the United States.
[2:15:46.000 --> 2:15:50.000]  This is just amazing. So many similarities between what happened in the U.S. and 2020.
[2:15:50.000 --> 2:16:08.000]  Alan Dos Santos on the air with us breaking down the Brazilian election. We'll be right back.
[2:16:08.000 --> 2:16:24.000]  We are engaging the globalist at point-blank range in the information war, but I don't deserve the credit.
[2:16:24.000 --> 2:16:29.000]  We're having now the greatest victories in the fight against the new war we've ever had.
[2:16:29.000 --> 2:16:39.000]  We are now entering the final mile of the marathon. And that's why today it's more important than ever to realize how important you've been in this fight
[2:16:39.000 --> 2:16:43.000]  and to continue in the efforts you've been tearing out and to intensify them.
[2:16:43.000 --> 2:16:52.000]  God bless you all. I salute you. I thank you. And I beg you to intensify what you're doing now because we are over the target and this is happening.
