[00:00.000 --> 00:10.000]  There is a lot of controversy around this network about Alex Jones, for example.
[1:06:35.000 --> 1:06:42.000]  whose plan for us is nothing but total enslavement and certain death.
[1:06:42.000 --> 1:06:48.000]  And the good news is, we've been on there for 28 years.
[1:06:48.000 --> 1:06:53.000]  And the good news is, we've not been caught with our pants down completely.
[1:06:53.000 --> 1:06:57.000]  We've not been caught totally flat footed.
[1:06:57.000 --> 1:07:06.000]  But now, if they think they can sell these crises and if they can pose as the saviors of the crises that they've authored,
[1:07:06.000 --> 1:07:10.000]  they are going to drop the hammer on all of us.
[1:07:10.000 --> 1:07:16.000]  If you think the last two and a half years of tyranny was bad, you ain't seen nothing yet in the last 30 months.
[1:07:16.000 --> 1:07:24.000]  That was a dress rehearsal for what's going down right now.
[1:07:24.000 --> 1:07:30.000]  And to watch last week, and play clips all week long during the weekday show,
[1:07:30.000 --> 1:07:41.000]  of corporate leaders announcing total censorship, world IDs, biomedical tyrannies, new lockdowns, forced inoculations.
[1:07:41.000 --> 1:07:48.000]  I mean, that's not just martial law, that's global martial law run by the UN and corporations,
[1:07:48.000 --> 1:07:57.000]  taking over the nation states that are involved in a hostile corporate takeover of your body.
[1:07:57.000 --> 1:08:05.000]  And a digital surveillance, censorship, dictatorship to enforce it.
[1:08:05.000 --> 1:08:12.000]  I watched hours and hours this week of the highlights, the lowlights, the nightmare lights that were set at this thing.
[1:08:12.000 --> 1:08:21.000]  And it was everything we knew, but man, the paradox of New York Times and Washington Post and CNN reports saying,
[1:08:21.000 --> 1:08:27.000]  there is no global government, there is no carbon tax, there is no universal ID, there is no...
[1:08:27.000 --> 1:08:35.000]  Any of this when it's all being announced and implemented in places like Italy and Canada and in select areas here in the US.
[1:08:35.000 --> 1:08:41.000]  I mean, the chains have been forged, and the chains are going on.
[1:08:41.000 --> 1:08:46.000]  And I just can't believe we're going to put up with this, and I don't believe we are.
[1:08:46.000 --> 1:08:53.000]  Now the good news is, and I played this on a special Saturday show I did yesterday, so I'm not going to play it again now,
[1:08:53.000 --> 1:08:58.000]  but I have harped and harped and harped on this.
[1:08:58.000 --> 1:09:07.000]  That if we don't get the good senators and house members and legislators and governors we have, like DeSantis and others,
[1:09:07.000 --> 1:09:13.000]  to come out and say what we're up against is a global corporate takeover, where we're non-essential, where they shut us down,
[1:09:13.000 --> 1:09:18.000]  where they consolidate control and censor us, we have no hope.
[1:09:18.000 --> 1:09:27.000]  But the good news is, we're hearing Rand Paul and DeSantis and Ted Cruz and Josh Hawley and Tom Cotton and many others come out
[1:09:27.000 --> 1:09:29.000]  and really nailing.
[1:09:29.000 --> 1:09:40.000]  This is a corporate fascist world government takeover using leftist ideology with a bunch of tax-exempt corporations screwing everybody.
[1:09:40.000 --> 1:09:46.000]  And so bravo to the listeners, bravo to our affiliates and crew and everybody that got it done.
[1:09:46.000 --> 1:09:52.000]  Yet again we have pushed this boulder up hill to the top and rolled it down hill on the enemy.
[1:09:52.000 --> 1:09:56.000]  We're not out of the woods yet, though they're lovely dark and deep.
[1:09:56.000 --> 1:10:04.000]  We have miles to go before we sleep, but to quote the great poem, to paraphrase it,
[1:10:04.000 --> 1:10:14.000]  but it just shows why you, the grassroots are so important, because this is the dog wagging the tail.
[1:10:14.000 --> 1:10:16.000]  Not the tail wagging the dog.
[1:10:16.000 --> 1:10:20.000]  So here's some of these clips and there's literally hundreds of these.
[1:10:20.000 --> 1:10:21.000]  We already played some of them.
[1:10:21.000 --> 1:10:26.000]  I want to play some again, but these are new ones from Friday, the last day of the conference.
[1:10:26.000 --> 1:10:28.000]  And we're going to censor you.
[1:10:28.000 --> 1:10:30.000]  We're going to arrest you for your speech.
[1:10:30.000 --> 1:10:32.000]  We're going to get rid of freedom.
[1:10:32.000 --> 1:10:36.000]  We're shutting off the fuel and oil to make you transition.
[1:10:36.000 --> 1:10:39.000]  This is all by design for the great reset.
[1:10:39.000 --> 1:10:41.000]  We control the world now.
[1:10:41.000 --> 1:10:43.000]  We control the future.
[1:10:43.000 --> 1:10:47.000]  Soon the transition to owning nothing will be here.
[1:10:47.000 --> 1:10:50.000]  Soon a computer will tell you if you're even allowed to leave your house.
[1:10:50.000 --> 1:10:52.000]  Soon you'll only work from home in the metaverse.
[1:10:52.000 --> 1:10:54.000]  I mean, I have all the clips.
[1:10:54.000 --> 1:10:57.000]  I have all the articles.
[1:10:57.000 --> 1:11:06.000]  And it's just for me to go from this being in policy reports 25 years ago to being real and happening.
[1:11:06.000 --> 1:11:12.000]  It's one thing to talk about something when it's academic, when it's theoretical, when it's an idea,
[1:11:12.000 --> 1:11:14.000]  but powerful people pushing it.
[1:11:14.000 --> 1:11:19.000]  But to be living in them actually trying to eat the elephant.
[1:11:19.000 --> 1:11:22.000]  They're not going to be able to eat the whole elephant.
[1:11:22.000 --> 1:11:25.000]  They're not going to be able to eat half the elephant.
[1:11:25.000 --> 1:11:29.000]  Even if we went along with this, this is not going to work.
[1:11:29.000 --> 1:11:32.000]  But nevertheless, they're trying it.
[1:11:32.000 --> 1:11:34.000]  And it's completely biblical.
[1:11:34.000 --> 1:11:36.000]  It's totally satanic.
[1:11:36.000 --> 1:11:41.000]  It's got Mark of the Beast written all over it.
[1:11:41.000 --> 1:11:44.000]  And the good news is, again, I monitor stuff.
[1:11:44.000 --> 1:11:45.000]  Just like you do.
[1:11:45.000 --> 1:11:46.000]  Churches all over the country.
[1:11:46.000 --> 1:11:51.000]  Big mega churches here in Austin.
[1:11:51.000 --> 1:11:55.000]  I told you on Easter my mom went to a friend's mega church in North Austin.
[1:11:55.000 --> 1:12:00.000]  They had 5,000 people inside, 10,000 outside on Jumbotrons.
[1:12:00.000 --> 1:12:03.000]  And my mom thought the preacher was Alex Jones.
[1:12:03.000 --> 1:12:08.000]  World government, great reset, new world order, forced injection, grow gardens, get ready.
[1:12:08.000 --> 1:12:12.000]  Mattie's going to win. Mark of the Beast. Yeah!
[1:12:12.000 --> 1:12:17.000]  So I called that family friend I've known for decades.
[1:12:17.000 --> 1:12:20.000]  Hell, I've known that family friend since she was like 3 years old.
[1:12:20.000 --> 1:12:21.000]  Now I'm 6 years old.
[1:12:21.000 --> 1:12:22.000]  Our parents are friends.
[1:12:22.000 --> 1:12:24.000]  I said, hey, thanks for taking my parents to that church.
[1:12:24.000 --> 1:12:26.000]  Was your preacher like that a couple years ago?
[1:12:26.000 --> 1:12:31.000]  She goes, no.
[1:12:31.000 --> 1:12:33.000]  And that's just one little example.
[1:12:33.000 --> 1:12:34.000]  So that's good news.
[1:12:34.000 --> 1:12:39.000]  These new world order globalists have declared war on all of us.
[1:12:39.000 --> 1:12:43.000]  And the good news is, humanity says, well, all right.
[1:12:43.000 --> 1:12:46.000]  I don't know how all this is going to end.
[1:12:46.000 --> 1:12:48.000]  But you're saying I'm obsolete.
[1:12:48.000 --> 1:12:49.000]  You're saying I'm not essential.
[1:12:49.000 --> 1:12:52.000]  You're saying I'm supposed to roll over and ditch and die.
[1:12:52.000 --> 1:12:53.000]  I'm going to study you.
[1:12:53.000 --> 1:12:54.000]  I'm going to find out who you are.
[1:12:54.000 --> 1:12:56.000]  I'm going to find out how you took over.
[1:12:56.000 --> 1:12:59.000]  And I'm going to stop complying with it.
[1:12:59.000 --> 1:13:01.000]  And I'm going to win.
[1:13:01.000 --> 1:13:07.000]  Because the children deserve it and God demands it.
[1:13:07.000 --> 1:13:09.000]  So let's get to a few of these clips.
[1:13:09.000 --> 1:13:17.000]  This is Davos reveals building blocks for green social credit score.
[1:13:17.000 --> 1:13:21.000]  And then that segues into Albanian president.
[1:13:21.000 --> 1:13:27.000]  Talks about green or Alibaba president talks about green travel.
[1:13:27.000 --> 1:13:29.000]  Here it is.
[1:13:29.000 --> 1:13:36.000]  Developing through technology and ability for consumers to measure their own carbon footprint.
[1:13:36.000 --> 1:13:38.000]  What does that mean?
[1:13:38.000 --> 1:13:40.000]  That's where are they traveling?
[1:13:40.000 --> 1:13:41.000]  How are they traveling?
[1:13:41.000 --> 1:13:43.000]  What are they eating?
[1:13:43.000 --> 1:13:45.000]  What are they consuming on the platform?
[1:13:45.000 --> 1:13:49.000]  So individual carbon footprint tracker.
[1:13:49.000 --> 1:13:50.000]  We call it green travel.
[1:13:50.000 --> 1:13:54.000]  So we have within our business something called AMAP, which is a mapping.
[1:13:54.000 --> 1:13:59.000]  We call it Google maps or ways plus travel destination business.
[1:13:59.000 --> 1:14:03.000]  And so what we're going to do is allow people to first calculate the best route,
[1:14:03.000 --> 1:14:07.000]  the most efficient route and also the most efficient form of transportation.
[1:14:07.000 --> 1:14:11.000]  And then if they take advantage of those recommendations,
[1:14:11.000 --> 1:14:15.000]  we'll give them bonus points that they can redeem elsewhere on our platform.
[1:14:15.000 --> 1:14:18.000]  So they're incentivized to do the right thing,
[1:14:18.000 --> 1:14:23.000]  even if they were provided with the opportunity to decide to do the wrong thing.
[1:14:23.000 --> 1:14:27.000]  So that's the social credit score training wheels.
[1:14:27.000 --> 1:14:31.000]  For the Davos group admits they want to make it mandatory to pay the carbon taxes
[1:14:31.000 --> 1:14:34.000]  when you get on a bus or a train or do any of that.
[1:14:34.000 --> 1:14:36.000]  Of course, they're all flying on private jets.
[1:14:36.000 --> 1:14:38.000]  None of them are following their own admissions.
[1:14:38.000 --> 1:14:42.000]  And of course, it then sends you to the select groups they want to send you to.
[1:14:42.000 --> 1:14:43.000]  And there's a big scam.
[1:14:43.000 --> 1:14:45.000]  Everything with these people is a fraud.
[1:14:45.000 --> 1:14:48.000]  Bono is their patron saint.
[1:14:48.000 --> 1:14:52.000]  And he's the guy they pushed as their cultural spokesperson.
[1:14:52.000 --> 1:14:58.000]  Their cultural master, their omnibudsman.
[1:14:58.000 --> 1:15:02.000]  He goes and raises now over the years over $10 billion to, quote,
[1:15:02.000 --> 1:15:04.000]  feed starving Africans.
[1:15:04.000 --> 1:15:10.000]  And he keeps 99%.
[1:15:10.000 --> 1:15:14.000]  That's called being a monster.
[1:15:14.000 --> 1:15:19.000]  That's called being a sicko.
[1:15:19.000 --> 1:15:21.000]  That's called being a psychopath.
[1:15:21.000 --> 1:15:24.000]  That's called being the New World Order.
[1:15:24.000 --> 1:15:28.000]  What an uncool, evil, disgusting group.
[1:15:28.000 --> 1:15:30.000]  What a shameful organization.
[1:15:30.000 --> 1:15:32.000]  But that's who these losers are.
[1:15:32.000 --> 1:15:35.000]  Opportunistic frontmen for the New World Order.
[1:15:35.000 --> 1:15:37.000]  And we've gotten, we've come back.
[1:15:37.000 --> 1:15:39.000]  I'm going to give you the guns at the bottom of the hour.
[1:15:39.000 --> 1:15:41.000]  What happened with Biden visiting Ubaldi at the bottom of the hour.
[1:15:41.000 --> 1:15:45.000]  But next segment, we're going to look at more of this.
[1:15:45.000 --> 1:15:48.000]  And again, the big line that you're all about to die from viruses
[1:15:48.000 --> 1:15:51.000]  because of global warming, not them cooking up in labs.
[1:15:51.000 --> 1:15:54.000]  We'll go to the day most group next. Stay with us.
[1:15:59.000 --> 1:16:02.000]  Sleepless nights seem to be a lot more common these days
[1:16:02.000 --> 1:16:07.000]  with everything that's going on both at home and the world at large.
[1:16:07.000 --> 1:16:11.000]  If you're having trouble getting to that deep sleep we could all use more of,
[1:16:11.000 --> 1:16:15.000]  our new sleep support formula, down and out, is just the thing.
[1:16:15.000 --> 1:16:18.000]  It's our new faster absorbing liquid formula
[1:16:18.000 --> 1:16:22.000]  that is specifically designed to help you get the shut eye you deserve.
[1:16:22.000 --> 1:16:26.000]  Formulated to improve upon our best selling product, knockout,
[1:16:26.000 --> 1:16:30.000]  with down and out, now the herbs and melatonin packed inside
[1:16:30.000 --> 1:16:33.000]  are extracted directly into the glycerin solution.
[1:16:33.000 --> 1:16:36.000]  So the ingredients are already dissolved into the formula
[1:16:36.000 --> 1:16:38.000]  before you even take it.
[1:16:38.000 --> 1:16:42.000]  One of the other sleep support herbs included is the passion flower,
[1:16:42.000 --> 1:16:46.000]  which was traditionally used by Native Americans like the Cherokees
[1:16:46.000 --> 1:16:49.000]  who used it for its relaxing qualities.
[1:16:49.000 --> 1:16:52.000]  Be sure to take this product when you are completely ready for sleep
[1:16:52.000 --> 1:16:55.000]  because you will be down and out.
[1:16:55.000 --> 1:16:58.000]  Selling out now at infowarstore.com.
[1:16:58.000 --> 1:17:02.000]  I designed over 200 t-shirts the last 25 years
[1:17:02.000 --> 1:17:06.000]  and we have some of those original designs still for sale at infowarstore.com.
[1:17:06.000 --> 1:17:08.000]  These are real classics.
[1:17:08.000 --> 1:17:13.000]  Gentlemen, they're all about to be limited edition because we're selling out of them.
[1:17:13.000 --> 1:17:16.000]  They're about to be history and we're selling out of the hoodies,
[1:17:16.000 --> 1:17:21.000]  the ball caps, the t-shirts, all these amazing designs at costinfowarstore.com
[1:17:21.000 --> 1:17:25.000]  except for this fundraiser shirt that is a real hit and people love it.
[1:17:25.000 --> 1:17:28.000]  It's $24.95, Alex Jones is right on the front, the Red Thunderbolt,
[1:17:28.000 --> 1:17:32.000]  and again on the back, bigboltinfowarstore.com.
[1:17:32.000 --> 1:17:36.000]  Exercise your First Amendment, don't let the leftist and the globalist bully
[1:17:36.000 --> 1:17:39.000]  silence you and fund the infowar at the same time.
[1:17:39.000 --> 1:17:42.000]  There is not a more politically incorrect shirt
[1:17:42.000 --> 1:17:45.000]  that sends a stronger message of freedom, resistance to the new world order
[1:17:45.000 --> 1:17:50.000]  than the Alex Jones was right shirt, exclusively available at infowarstore.com.
[1:17:50.000 --> 1:17:53.000]  And again, this shirt is limited edition as well.
[1:17:53.000 --> 1:17:55.000]  We're doing one more run and then no more.
[1:17:55.000 --> 1:17:58.000]  infowarstore.com, get yours today.
[1:17:58.000 --> 1:18:02.000]  FreeWorldOutlet.com
[1:18:02.000 --> 1:18:08.000]  That is a very important URL for infowar supporters that want to get great products
[1:18:08.000 --> 1:18:10.000]  and save massively.
[1:18:10.000 --> 1:18:16.000]  FreeWorldOutlet.com is an amazing organization that we have partnered with
[1:18:16.000 --> 1:18:19.000]  who is helping us purchase more products into the future
[1:18:19.000 --> 1:18:22.000]  so they can sell our products at a greater discount
[1:18:22.000 --> 1:18:26.000]  than you'll normally find at infowarstore.com.
[1:18:26.000 --> 1:18:29.000]  FreeWorldOutlet.com is amazing.
[1:18:29.000 --> 1:18:32.000]  We're partnered with them and things like DNA Force Plus
[1:18:32.000 --> 1:18:35.000]  that have been sold out at infowarstore is available there.
[1:18:35.000 --> 1:18:41.000]  Things like X2 being sold at full price, 40% off at freeworldoutlet.com
[1:18:41.000 --> 1:18:42.000]  and so much more.
[1:18:42.000 --> 1:18:43.000]  Here's some of the others.
[1:18:43.000 --> 1:18:45.000]  Knockout Sleep Support, 50% off.
[1:18:45.000 --> 1:18:47.000]  Brain Force Plus, 50% off.
[1:18:47.000 --> 1:18:49.000]  Ultimate Roan Broth, 50% off.
[1:18:49.000 --> 1:18:51.000]  And so many other specials you won't find anywhere else,
[1:18:51.000 --> 1:18:55.000]  but freeworldoutlet.com, freeworldoutlet.com
[1:18:55.000 --> 1:18:58.000]  and keep info wars in the air while getting great products.
[1:18:58.000 --> 1:19:02.000]  Here at info wars, our slogan is tomorrow's news today,
[1:19:02.000 --> 1:19:05.000]  whether it's politics or health or spirituality.
[1:19:05.000 --> 1:19:09.000]  We're about bringing you the very best documented,
[1:19:09.000 --> 1:19:12.000]  accurate, real-world information.
[1:19:12.000 --> 1:19:14.000]  And when it comes to our supplements,
[1:19:14.000 --> 1:19:16.000]  they are so game-changing for your body,
[1:19:16.000 --> 1:19:18.000]  for your health, your immunity, your libido,
[1:19:18.000 --> 1:19:20.000]  your middle clarity.
[1:19:20.000 --> 1:19:21.000]  They're incredible.
[1:19:21.000 --> 1:19:25.000]  And out of all the products, X2 is definitely the most amazing.
[1:19:25.000 --> 1:19:29.000]  It is the purest, highest quality, atomic iodine you're going to find.
[1:19:29.000 --> 1:19:33.000]  Most other iodine out there is bound to other minerals
[1:19:33.000 --> 1:19:37.000]  and compounds so you don't absorb it at all or fully.
[1:19:37.000 --> 1:19:39.000]  Ladies and gentlemen, we got a limited supply
[1:19:39.000 --> 1:19:41.000]  and it's been sold out for months because the supply chain
[1:19:41.000 --> 1:19:43.000]  right now is, but despite that,
[1:19:43.000 --> 1:19:46.000]  we're selling it at 25% off for one more week
[1:19:46.000 --> 1:19:48.000]  than it goes back to full price.
[1:19:48.000 --> 1:19:50.000]  Within two weeks, the current sales rate is going to sell out.
[1:19:50.000 --> 1:19:54.000]  Experience X2 for yourself today at infowarstore.com.
[1:19:54.000 --> 1:19:58.000]  X2 at infowarstore.com, take action now.
[1:19:58.000 --> 1:20:03.000]  Leading a frontal assault on the lies of the New World Order,
[1:20:03.000 --> 1:20:27.000]  it's Alex Jones.
[1:20:34.000 --> 1:20:38.000]  Hide what you've got to hide
[1:20:38.000 --> 1:20:42.000]  and tell what you've got to tell.
[1:20:42.000 --> 1:20:46.000]  You'll see your problems falsified
[1:20:46.000 --> 1:20:50.000]  if you continually decide.
[1:20:50.000 --> 1:20:53.000]  So Savannah Hernandez reporting for Rebel Media,
[1:20:53.000 --> 1:20:57.000]  printsocialandinfowar.com.
[1:20:57.000 --> 1:20:59.000]  Knocked it out of the park in the last week.
[1:20:59.000 --> 1:21:01.000]  Can't wait until she gets back tomorrow
[1:21:01.000 --> 1:21:04.000]  in studio with us next week with so much.
[1:21:04.000 --> 1:21:07.000]  They're in Switzerland, they're in Geneva
[1:21:07.000 --> 1:21:10.000]  just witnessing the New World Order unclog
[1:21:10.000 --> 1:21:12.000]  and just admit it's whole takeover plan
[1:21:12.000 --> 1:21:14.000]  in front of everybody.
[1:21:14.000 --> 1:21:17.000]  Absolutely stunning. Nobody can deny this is happening now.
[1:21:17.000 --> 1:21:19.000]  No one's denying it's going on.
[1:21:19.000 --> 1:21:21.000]  And again, they're mantra.
[1:21:21.000 --> 1:21:23.000]  Whether it's Ted Rose of the WHO
[1:21:23.000 --> 1:21:27.000]  or Bill Gates or any other UN spokesperson
[1:21:27.000 --> 1:21:30.000]  or mainstream media, they say everywhere
[1:21:30.000 --> 1:21:32.000]  deadly viruses are coming
[1:21:32.000 --> 1:21:34.000]  because we've been bad, the earth's too hot,
[1:21:34.000 --> 1:21:37.000]  it's going to come out of the jungle and kill you.
[1:21:37.000 --> 1:21:40.000]  And then it comes out of labs that they control
[1:21:40.000 --> 1:21:42.000]  and they have the so-called vaccine for
[1:21:42.000 --> 1:21:45.000]  that makes you even sicker and erases your immune system.
[1:21:45.000 --> 1:21:47.000]  This is their play, this is their operation,
[1:21:47.000 --> 1:21:50.000]  but oh, they're the doctors, they're the UN.
[1:21:50.000 --> 1:21:51.000]  They care about me.
[1:21:51.000 --> 1:21:54.000]  No, they've broken the social contract.
[1:21:54.000 --> 1:21:57.000]  They have taken your confidence in them
[1:21:57.000 --> 1:21:59.000]  and absolutely use it against you.
[1:21:59.000 --> 1:22:03.000]  They are monsters.
[1:22:03.000 --> 1:22:05.000]  So here is Savannah Hernandez,
[1:22:05.000 --> 1:22:07.000]  interviews a woman attending Davos
[1:22:07.000 --> 1:22:09.000]  and what does she say
[1:22:09.000 --> 1:22:11.000]  what I've been warning about for decades, there it is.
[1:22:11.000 --> 1:22:12.000]  I'm not a scientist.
[1:22:12.000 --> 1:22:14.000]  I'm not in a position to talk about vaccination,
[1:22:14.000 --> 1:22:18.000]  but this is not going to be the last pandemic that we see.
[1:22:18.000 --> 1:22:21.000]  We'll see more and more pandemics arising
[1:22:21.000 --> 1:22:23.000]  due to climate impacts
[1:22:23.000 --> 1:22:26.000]  and the emergence of new bacteria
[1:22:26.000 --> 1:22:29.000]  as a result of increased greenhouse gases
[1:22:29.000 --> 1:22:31.000]  and methane emissions,
[1:22:31.000 --> 1:22:34.000]  so that we just don't have immunity to.
[1:22:34.000 --> 1:22:36.000]  So I think as a collective,
[1:22:36.000 --> 1:22:38.000]  everyone's been talking about COVID,
[1:22:38.000 --> 1:22:41.000]  but okay, that's COVID and it's going to stay with us,
[1:22:41.000 --> 1:22:43.000]  but this is just the start.
[1:22:43.000 --> 1:22:45.000]  This is just the start.
[1:22:45.000 --> 1:22:47.000]  Says a woman with pink hair.
[1:22:47.000 --> 1:22:49.000]  And again, I don't care if you have blue hair, pink hair, green hair,
[1:22:49.000 --> 1:22:51.000]  but why do they all have pink, blue or green hair?
[1:22:51.000 --> 1:22:53.000]  It's about being unnatural.
[1:22:53.000 --> 1:22:55.000]  It's about being weird.
[1:22:55.000 --> 1:22:57.000]  And then spouting off this propaganda.
[1:22:57.000 --> 1:23:02.000]  Well, here I am in 1997 explaining what's going on.
[1:23:02.000 --> 1:23:04.000]  350 million or more people in Africa
[1:23:04.000 --> 1:23:07.000]  and then 12 die of Ebola in one little town.
[1:23:07.000 --> 1:23:11.000]  They go, oh, Ebola, Ebola, Ebola, Ebola.
[1:23:11.000 --> 1:23:13.000]  And they had CNN people saying,
[1:23:13.000 --> 1:23:16.000]  diseases will be coming out of the rainforest
[1:23:16.000 --> 1:23:18.000]  because Mother Earth is mad.
[1:23:18.000 --> 1:23:20.000]  Literally like witch doctors going,
[1:23:20.000 --> 1:23:22.000]  Booga Booga, some not come back.
[1:23:22.000 --> 1:23:25.000]  You know, when we have floods and rain and meteors might hit the Earth.
[1:23:25.000 --> 1:23:28.000]  What if a meteor hits the Earth tomorrow and destroys a city?
[1:23:28.000 --> 1:23:31.000]  Are they going to say this is because the people of Earth have been bad?
[1:23:31.000 --> 1:23:33.000]  That meteor just came from space.
[1:23:33.000 --> 1:23:35.000]  It's very primitive control apparatus.
[1:23:35.000 --> 1:23:38.000]  It's how chiefs and medicine doctors used to control and shaman
[1:23:38.000 --> 1:23:41.000]  with control of people say, oh, if you're not good, the crops won't come.
[1:23:41.000 --> 1:23:43.000]  Oh, the environment, if we're not good.
[1:23:43.000 --> 1:23:46.000]  I don't want to eat a piece of meat that's got dioxins in it
[1:23:46.000 --> 1:23:48.000]  from plastics production.
[1:23:48.000 --> 1:23:52.000]  I don't want them dumping nickel cadmium
[1:23:52.000 --> 1:23:55.000]  and heavy metal grignard reagents in the waters.
[1:23:55.000 --> 1:23:57.000]  So my kids are deformed.
[1:23:57.000 --> 1:23:59.000]  I don't want that. I'm from the environment.
[1:23:59.000 --> 1:24:03.000]  But these international corrupt people financing global population control,
[1:24:03.000 --> 1:24:06.000]  which is just nothing more but dictators' excuses to kill men, women, and children,
[1:24:06.000 --> 1:24:09.000]  and girls in slave labor camps in China making nikes.
[1:24:09.000 --> 1:24:11.000]  You call that good.
[1:24:11.000 --> 1:24:13.000]  And all these Hollywood people that say they love you
[1:24:13.000 --> 1:24:16.000]  are the ones that speak out against slave labor.
[1:24:16.000 --> 1:24:19.000]  The ones you find out later are the ones that own all the sweatshops,
[1:24:19.000 --> 1:24:21.000]  making their clotheslines.
[1:24:21.000 --> 1:24:23.000]  They're all hypocrites.
[1:24:23.000 --> 1:24:25.000]  They're all hypocrites using you.
[1:24:25.000 --> 1:24:28.000]  So here it is, global plan to fight infectious diseases.
[1:24:28.000 --> 1:24:32.000]  I haven't read this yet, but Washington, a new plan to coordinate
[1:24:32.000 --> 1:24:36.000]  international efforts to track and combat infectious diseases
[1:24:36.000 --> 1:24:40.000]  will be announcing by the leaders of the G7 group of industrial nations
[1:24:40.000 --> 1:24:42.000]  at this weekend's summit in Denver.
[1:24:42.000 --> 1:24:47.000]  It's Monday and the combustion engine is the greatest threat to civilization,
[1:24:47.000 --> 1:24:49.000]  like Al Gore says on Earth and the Balance.
[1:24:49.000 --> 1:24:54.000]  No, Mr. Gore, the combustion engine is civilization
[1:24:54.000 --> 1:24:57.000]  and the combustion engine is getting cleaned up
[1:24:57.000 --> 1:25:00.000]  because we're putting catalytic converters on the cars.
[1:25:00.000 --> 1:25:03.000]  Just like we got the horses out of the streets a hundred years ago
[1:25:03.000 --> 1:25:06.000]  and we don't have a horse manure problem anymore.
[1:25:06.000 --> 1:25:08.000]  Humans move forward.
[1:25:08.000 --> 1:25:10.000]  I know the bureaucrats don't want that.
[1:25:10.000 --> 1:25:12.000]  You want us to stay down and lonely.
[1:25:12.000 --> 1:25:15.000]  You don't want us to transcend, do you?
[1:25:15.000 --> 1:25:17.000]  And then of course you've got clubs from a couple years after that
[1:25:17.000 --> 1:25:20.000]  where I say they'll use the virus as a pretext to bring in lockdowns
[1:25:20.000 --> 1:25:22.000]  and total control, but you've already seen that.
[1:25:22.000 --> 1:25:29.000]  Here is a clip from the African nation of Tigray
[1:25:29.000 --> 1:25:34.000]  where they estimate 80% of the population is about to starve to death.
[1:25:34.000 --> 1:25:36.000]  Here they are laying it out.
[1:25:36.000 --> 1:25:41.000]  The start of the conflict 15 months ago, Ethiopian forces and their allies from Eritrea
[1:25:41.000 --> 1:25:45.000]  have taken part in the deliberate obstruction of aid coming into Tigray
[1:25:45.000 --> 1:25:48.000]  and strips on the ground have taken part in the deliberate destruction
[1:25:48.000 --> 1:25:51.000]  of food items and farming equipment across the region.
[1:25:51.000 --> 1:25:55.000]  In addition to the blockade on banking services and the withhold of state budget,
[1:25:55.000 --> 1:25:59.000]  the UN estimates that over 80% of the population into Tigray
[1:25:59.000 --> 1:26:02.000]  is food insecure and in need of urgent food assistance.
[1:26:02.000 --> 1:26:06.000]  Now, the president of Afar Regional State, Awal Araba,
[1:26:06.000 --> 1:26:08.000]  in an interview with the state media, EBC,
[1:26:08.000 --> 1:26:12.000]  has said that his forces are working to ensure no humanitarian aid
[1:26:12.000 --> 1:26:14.000]  will reach the people of Tigray.
[1:26:14.000 --> 1:26:33.000]  In a parliamentary address earlier this week,
[1:26:33.000 --> 1:26:37.000]  Abiy Ahmed had said that his forces are working closely with the Afar state
[1:26:37.000 --> 1:27:04.000]  to ensure a common objective.
[1:27:04.000 --> 1:27:08.000]  The government of Tigray had on multiple occasions issued a statement saying
[1:27:08.000 --> 1:27:12.000]  violence was being instigated by Afar regional forces and troops from Eritrea
[1:27:12.000 --> 1:27:38.000]  to hamper the delivery of much needed aid into the region.
[1:27:38.000 --> 1:27:44.000]  The U.N. plans to collapse the third world and have the U.N. organize
[1:27:44.000 --> 1:27:49.000]  and brainwash these giant third world populations to flood the west.
[1:27:49.000 --> 1:27:54.000]  Now, the EU is predicting 100 million people are going to try to flood Europe
[1:27:54.000 --> 1:27:58.000]  and they're going to open the borders up so they know exactly when they're doing it,
[1:27:58.000 --> 1:28:03.000]  exactly how they're doing it, over and over and over again.
[1:28:03.000 --> 1:28:06.000]  We're going to go to break and I want to come back and shift gears
[1:28:06.000 --> 1:28:09.000]  and talk about the tragedy in Yivaldi
[1:28:09.000 --> 1:28:12.000]  and we now know exactly basically what happened there
[1:28:12.000 --> 1:28:14.000]  and it is just outrageous.
[1:28:14.000 --> 1:28:17.000]  Biden is down there grandstanding right now,
[1:28:17.000 --> 1:28:23.000]  but the good news is humanity is waking up to this agenda
[1:28:23.000 --> 1:28:30.000]  and humanity understands how this is being done and who is behind it.
[1:28:30.000 --> 1:28:35.000]  And once again the people staging all this can't pose as the saviors.
[1:28:35.000 --> 1:28:38.000]  Harp on that every hour, it's game over.
[1:28:38.000 --> 1:28:40.000]  But if we don't know who we're in a war with,
[1:28:40.000 --> 1:28:44.000]  if we don't understand that, we don't have a chance in hell.
[1:28:44.000 --> 1:28:47.000]  Alright, two more segments coming up, jam packed.
[1:28:47.000 --> 1:28:50.000]  The Don't Destroyer takes over with Sunday Live,
[1:28:50.000 --> 1:28:52.000]  6 to 8 p.m. at infowars.com,
[1:28:52.000 --> 1:28:58.000]  4 slash show at band.video.
[1:28:58.000 --> 1:29:02.000]  The average person on the face of this incredible planet is still unaware
[1:29:02.000 --> 1:29:07.000]  that there's a war between free individuals and nation states on one side
