[00:00:00.229 --> 00:00:02.590]  Biden in Syracuse yesterday.
[01:24:36.378 --> 01:24:39.622]  But they'll try to take away the U.S.
[01:24:39.642 --> 01:24:40.122]  Senate seat.
[01:24:40.142 --> 01:24:51.254]  So there might be some disappointment on election night, but I think that we'll see Hershel Walker in Georgia outperform his polling.
[01:24:51.754 --> 01:24:53.396]  We're safe in Ohio.
[01:24:53.676 --> 01:25:00.562]   I'm not a fan of Dr. Oz, and personally I wouldn't vote for him, but I understand that a lot of I'll say this, Fetterman is worse.
[01:25:00.762 --> 01:25:01.983]  Fetterman is a Satanist.
[01:25:02.503 --> 01:25:05.945]  And so, you know, Patriots have a tough choice to make there.
[01:25:06.205 --> 01:25:08.187]  So I think that Dr. Oz will also perform.
[01:25:08.387 --> 01:25:10.208]  By the way, Fetterman really is a Satanist.
[01:25:10.248 --> 01:25:10.848]  I've looked into him.
[01:25:10.908 --> 01:25:12.169]  That guy is super evil.
[01:25:13.226 --> 01:25:17.591]  Right, and I was the first person to say it, even though people are trying to take credit for it now.
[01:25:17.891 --> 01:25:20.074]  They don't plan to have him serve out a full term.
[01:25:20.094 --> 01:25:24.359]  They plan to give his seat to his wife, who's even worse than he is.
[01:25:24.699 --> 01:25:27.582]  And so, we're watching a full... Think about this.
[01:25:28.083 --> 01:25:36.001]   Again, I was on the phone with our mutual friend Jason Jones last night, and I said, We now live in democracies without the consent of the people.
[01:25:36.222 --> 01:25:36.882]  What is that?
[01:25:37.162 --> 01:25:39.003]  He said, well, it's not a democracy at all.
[01:25:39.303 --> 01:25:40.304]  You know, it's a meme.
[01:25:40.344 --> 01:25:41.325]  It's effectively a meme.
[01:25:41.585 --> 01:25:51.911]  And all we're calling for, I think you and I are calling for, is, you know, if the public wants to go left or the public wants to go right, there ought to be a fair debate, not a censored debate, not a deplatformed debate.
[01:25:52.271 --> 01:25:53.272]  We exchange the ideas.
[01:25:53.292 --> 01:25:54.373]  We go to the ballot box.
[01:25:54.713 --> 01:25:55.614]  It's transparent.
[01:25:55.634 --> 01:25:56.614]  We're able to audit it.
[01:25:56.934 --> 01:25:58.956]  And then we go that way and we see if it works.
[01:25:58.996 --> 01:26:01.057]  And if it doesn't, then we go another way.
[01:26:01.137 --> 01:26:12.097]  That's all we want in a constitutional republic.
[01:26:12.147 --> 01:26:14.729]  We're clear there's two men in their underwear in the bedroom with hammers.
[01:26:15.610 --> 01:26:16.991]  He said he knew the guy when they got there.
[01:26:17.011 --> 01:26:18.172]  Now they're trying to change the subject.
[01:26:18.792 --> 01:26:19.433]  What does that mean?
[01:26:19.453 --> 01:26:22.275]  And then DeSantis Trump with this growing rift.
[01:26:22.335 --> 01:26:23.936]  Is that real or what do you see on that?
[01:26:23.956 --> 01:26:25.918]  Final segment with Ali Alexander.
[01:26:25.958 --> 01:26:30.241]  You can find his website and all his links there at alialexander.org.
[01:26:30.602 --> 01:26:32.023]  He's heavily censored and persecuted.
[01:26:32.043 --> 01:26:32.883]  Didn't back down.
[01:26:33.244 --> 01:26:34.165]  He deserves our support.
[01:26:34.425 --> 01:26:38.388]  We'll come right back and finish up with him and then Judge Joe Brown will cover the waterfront straight ahead.
[01:26:38.408 --> 01:26:39.108]  Hour number three.
[01:26:39.128 --> 01:26:39.509]  Stay with us.
[01:26:40.796 --> 01:26:42.317]  Final segment with Ali Alexander.
[01:26:42.557 --> 01:26:43.477]  Judge Joe Brown's coming up.
[01:26:43.877 --> 01:26:45.458]  Ali, you heard my questions before the break.
[01:26:46.078 --> 01:26:48.779]  This Pelosi situation, what do you really think's going on there?
[01:26:49.219 --> 01:26:52.561]  And then separately, this whole Trump-DeSantis rift, what's happening there?
[01:26:53.857 --> 01:26:58.199]  Yeah, I think with the Pelosi situation, we're seeing an exaggerated hoax.
[01:26:58.879 --> 01:27:08.643]  This is an attempt to obviously paint the Republicans as domestic terrorists or naturally violent or whatever.
[01:27:08.723 --> 01:27:25.930]   Nevermind that, you know, because we were going to repeal Obamacare, they had a Democrat activist, a Democrat campaign volunteer, go down and gun down Steve Scalise and in his pocket, He had the names of the House Freedom Caucus, the most conservative members of Congress.
[01:27:26.211 --> 01:27:28.051]  Never mind that, you know, that was a thing.
[01:27:28.631 --> 01:27:30.432]  So I think that this is a hoax.
[01:27:30.572 --> 01:27:32.253]  I'm looking forward to digging into it.
[01:27:32.853 --> 01:27:34.393]  I've talked to some other people.
[01:27:34.453 --> 01:27:39.275]  There's going to be FOIA requests that obtain the body cam footage.
[01:27:39.635 --> 01:27:43.396]  And so I'm following this pretty closely, you know, in public.
[01:27:43.436 --> 01:27:47.458]  There's great reporting at InfoWars.com, great reporting at TheGatewayPundit.com.
[01:27:48.057 --> 01:27:54.896]   And there's questions about this assailants, this alleged assailants, the authenticity of the accusation
[01:27:54.896 --> 01:27:56.976]  that he's responsible for these blogs that put up.
[01:27:56.976 --> 01:28:00.837]   So I don't think we really know what happened, except for I think it's too late, Nancy.
[01:28:00.837 --> 01:28:06.177]   I think quite frankly, I hate to say this, the American public doesn't care
[01:28:06.177 --> 01:28:11.117]   about the domestic violence that's happening 'cause it's mainly been left wing, quite frankly.
[01:28:11.117 --> 01:28:14.557]   And so the left normalized it and now they're trying to accuse us of it
[01:28:14.557 --> 01:28:19.557]   while people are paying 100, $110 to fill up their tanks.
[01:28:18.688 --> 01:28:26.737]  They're looking at the prospect of a of a World War three and getting you know supplements to make sure that they can survive you know radiation poisoning.
[01:28:27.017 --> 01:28:33.943]  So, quite frankly, people don't care about domestic disputes or, you know, whatever is actually happening there.
[01:28:34.303 --> 01:28:36.105]  And so I think that it was a hit and a miss.
[01:28:36.145 --> 01:28:39.507]  It was a wrap-up smear by Nancy Pelosi.
[01:28:39.527 --> 01:28:41.329]  That's my view on the Pelosi situation.
[01:28:41.769 --> 01:28:46.693]  What about the reports that are all over the news of an imminent indictment of Trump after the midterms?
[01:28:46.753 --> 01:28:48.315]  And how does that feed into DeSantis?
[01:28:49.520 --> 01:28:51.201]  Don't buy it.
[01:28:51.901 --> 01:28:52.702]  It's kind of weird.
[01:28:52.762 --> 01:29:07.531]  Just like right before the 2020 election, I went to my viewers and I said, for the first time ever, as someone who doesn't guess but tries to forecast events or have no opinion, my head is telling me something different than my spirit.
[01:29:08.195 --> 01:29:11.378]  And this is, again, the second time for it ever to happen.
[01:29:11.738 --> 01:29:23.749]  You know, my head for some reason is telling me that Donald Trump will not be indicted, that the deep state overplayed its hand, and yet my gut, you know, where maybe there's a little bit of fear, says he will be indicted.
[01:29:23.789 --> 01:29:37.123]   But I think that this recent leak Is actually a push, an internal push by mid-level managers or investigators to try to get him indicted and their desperation is actually a good sign for Donald Trump.
[01:29:37.163 --> 01:29:43.971]  Look, I've said this, you know, I was talking to you about this last year when a lot of people were telling me like, oh, this is going to go away soon.
[01:29:44.011 --> 01:29:44.932]  This is going to go away soon.
[01:29:45.172 --> 01:29:47.655]  I said, I think this is the next two or three years of our life.
[01:29:48.095 --> 01:29:57.558]  And I strongly suspect that they're trying to set up Donald Trump for either a process crime or process crime and then an immediate pardon by Joe Biden to taint him.
[01:29:57.978 --> 01:30:05.900]  And so we're looking at a very complex international coup, whether it's in Brazil, whether it's in the United States, whether it's in the UK.
[01:30:07.380 --> 01:30:10.562]  We're seeing a lot of people with their grubby hands into it.
[01:30:11.363 --> 01:30:16.126]  I'm praying that Donald Trump isn't indicted because of what it will do in breaking this country.
[01:30:16.166 --> 01:30:17.687]  It'll be worse than Watergate.
[01:30:18.027 --> 01:30:20.109]  It'll be, frankly, worse than the Civil War.
[01:30:20.129 --> 01:30:21.690]  And I say that as a black man.
[01:30:22.050 --> 01:30:23.571]  And we can't afford for it.
[01:30:23.651 --> 01:30:26.353]  If they're going to beat Donald Trump, beat him fair and square.
[01:30:26.373 --> 01:30:30.236]   Ron DeSantis and his donors They're hedging.
[01:30:30.596 --> 01:30:34.900]  They're saying, well, there's a good chance that Donald Trump is going to get indicted, so why don't we wait in the wings?
[01:30:35.280 --> 01:30:37.862]  I think this is sacrificing a little bit of party unity.
[01:30:38.503 --> 01:30:42.346]  But months and months and months ago, I told you, look, I hope that these men sharpen each other.
[01:30:42.366 --> 01:30:46.789]  I hope that Donald Trump sharpens DeSantis' critique against the deep state.
[01:30:47.030 --> 01:30:50.993]  And I hope that DeSantis sharpens Donald Trump on these poison jabs.
[01:30:51.693 --> 01:30:52.894]  Perfectly said.
[01:30:53.155 --> 01:30:54.256]  Absolutely superb.
[01:30:54.656 --> 01:30:56.357]  That is exactly my view of it.
[01:30:57.398 --> 01:31:03.501]  All I know is the general public's the real arbiter here or the real unknown.
[01:31:03.521 --> 01:31:08.684]  The people are engaged and informed and don't take this election for granted and get out there and vote and expose corruption.
[01:31:08.704 --> 01:31:09.204]  We're going to win.
[01:31:09.644 --> 01:31:11.145]  Ollie Alexander, thank you so much.
[01:31:11.165 --> 01:31:11.765]  Talk to you soon.
[01:31:11.785 --> 01:31:13.186]  Thank you, buddy.
[01:31:13.626 --> 01:31:15.147]  We're doing live election night coverage.
[01:31:15.167 --> 01:31:16.208]  Hopefully you'll join us.
[01:31:16.528 --> 01:31:19.429]  We're going to go until two in the morning coming up next week.
[01:31:19.569 --> 01:31:21.530]  Eight days until the key election.
[01:31:21.890 --> 01:31:23.131]  Judge Joe Brown's schedule.
[01:31:23.151 --> 01:31:24.292]  We'll cover the waterfront with him.
[01:31:24.372 --> 01:31:25.112]  Always amazing.
[01:31:25.292 --> 01:31:46.331]  Stay with us at fullwars.com.
[01:31:46.456 --> 01:31:48.076]  The First Amendment is unique in the world.
[01:31:48.357 --> 01:31:49.637]  That's what they want to take away.
[01:31:49.817 --> 01:31:51.198]  Your ability to speak freely.
[01:31:51.338 --> 01:31:52.879]  So they're going to go for Mike Lindell next?
[01:31:53.039 --> 01:31:54.280]  Or are they going to go for Steve Bannon?
[01:31:54.300 --> 01:31:55.701]  Or are they going to go for Tucker Carlson?
[01:31:56.121 --> 01:32:00.625]  I studied the globalists 30 years ago, but only 28 years, and I knew they were planning all of this.
[01:32:00.965 --> 01:32:02.907]  And I warned the public, as a modern Paul Revere.
[01:32:03.367 --> 01:32:05.069]  But I couldn't have done it without your support.
[01:32:05.389 --> 01:32:12.335]  And now, because we've been so successful warning the population of the planet, not just America, we're public enemy number one when it comes to the globalist agenda.
[01:32:12.955 --> 01:32:17.920]  That's why it's more important than ever to realize how successful InfoWars has been because of your past support.
[01:32:18.360 --> 01:32:27.269]  So I salute you and I thank you, and I ask you now, at the critical juncture of the battle, to redouble your efforts by visiting InfoWarsTore.com and getting amazing products that keep us on air.
[01:32:27.289 --> 01:32:29.391]  1776 is the promo code.
[01:32:29.451 --> 01:32:32.251]  The destination is Infowarsstore.com.
[01:32:32.251 --> 01:32:33.530]  And I thank you all for your support.
[01:32:34.530 --> 01:32:41.730]   You know, of all the sick things going on out there, I've seen the Democratic Party playing down fentanyl,
[01:32:41.730 --> 01:32:45.251]   which we know, the blue cities, I've witnessed it for myself in LA.
[01:32:45.271 --> 01:32:52.096]  and other areas, they're telling the police to stand down on what's killing over 100,000 people a year we know of.
[01:32:53.297 --> 01:32:59.742]  And here's Jimmy Kimmel making jokes about fentanyl and making fun of Herschel Walker, acting like fentanyl's no big deal.
[01:32:59.802 --> 01:33:01.063]  This makes me want to throw up.
[01:33:01.734 --> 01:33:08.734]   around the corner. And now the people of China and Mexico are dressing fentanyl up and look like candy.
[01:33:08.734 --> 01:33:14.234]   This is the new right-wing scare story right now. Mexico sneaking fentanyl into candy bars.
[01:33:14.234 --> 01:33:20.034]   And you know, I looked at the effects of fentanyl on the DAA website. They include sedation,
[01:33:20.034 --> 01:33:25.134]   drowsiness, dizziness, and confusion, which sounds a lot like Hershel Walker to me.
[01:33:25.134 --> 01:33:32.932]   So last night Jimmy Kimmel did a skit on kids and people who have passed away and died from fentanyl.
[01:33:33.029 --> 01:33:34.049]  So distasteful.
[01:33:34.790 --> 01:33:40.433]  People are cancelled on TV for ridiculous things.
[01:33:40.693 --> 01:33:48.777]  This guy's joking about a pandemic, epidemic of deaths in this country by fentanyl in this country.
[01:33:49.397 --> 01:33:51.018]  And I don't see where the humor is from.
[01:33:53.814 --> 01:33:58.237]  Disgusting what he's done, what he said, and there's somebody that should be cancelled.
[01:33:58.277 --> 01:34:06.303]  I'm talking about the death of my daughter and other people that are suffering in this country for the last couple of years with 300 deaths or better a day.
[01:34:09.255 --> 01:34:10.056]  Thanks everybody.
[01:34:09.916 --> 01:34:16.916]   Timmy Kimmel viral this I fight to eradicate childhood malnutrition from the planet and
[01:34:16.916 --> 01:34:23.716]   until they release the flight logs you the mainstream media Hollywood are all pedophiles
[01:34:23.716 --> 01:34:31.916]  to me.
[01:34:31.916 --> 01:34:34.036]  Now let's let's talk about Ebola.
[01:34:34.051 --> 01:34:39.253]  They knew that the COVID shots would erase your immune system, give you heart attacks, and make you get sick from COVID.
[01:34:40.393 --> 01:34:41.273]  Everything they said was a lie.
[01:34:42.874 --> 01:34:44.274]  But how long has this been going on?
[01:34:44.314 --> 01:34:52.757]  If you go back to the two anthrax rounds they did in the 90s and in 2000, it conservatively, Congress found, killed over 40,000 people.
[01:34:54.817 --> 01:34:59.919]  That was a beta test to see if this criminal group in our government could kill that many people and then get away with it.
[01:35:01.823 --> 01:35:06.446]  And since they got away with it, now they've scaled up with the shots that have killed, conservatively, 10 million people.
[01:35:07.606 --> 01:35:08.387]  And it's gonna kill more.
[01:35:10.028 --> 01:35:18.933]  But let's talk about chemotherapy that almost never works, and almost always brings the cancer back, and that the doctors get kickbacks from.
[01:35:19.213 --> 01:35:23.535]  Well, the doctors also got kickbacks if they said you were a COVID patient.
[01:35:23.675 --> 01:35:26.877]  If they put you on a ventilator, they got 50 plus thousand dollars.
[01:35:27.257 --> 01:35:48.345]   It's a bounty to kill people, and they're just Ratcheting up and expanding the level of these operations to have the institutions be mercenary to carry out these crimes and have the doctors and scientists who know COVID was a fraud made in the lab, who know the shots are deadly, go along with all of this and be corrupted.
[01:35:48.385 --> 01:35:51.807]  And now as it all comes out, they're involved in the cover-up, further corrupting them.
[01:35:53.148 --> 01:35:57.691]  Here's a clip of a well-known doctor I've interviewed many times laying out what really happens with chemotherapy.
[01:35:57.711 --> 01:35:59.572]  Talk about cancer a little bit.
[01:36:01.764 --> 01:36:02.925]  Various types out there.
[01:36:03.886 --> 01:36:10.110]  What are some of the things that you've seen in terms of your patients and what some of the things that you've been able to do?
[01:36:10.130 --> 01:36:16.194]  A better thing to talk about in relationship to... Well, I will talk about that, right?
[01:36:17.438 --> 01:36:23.762]  A better thing to talk about, however, is the relationship between profits and cancer in the United States.
[01:36:24.222 --> 01:36:26.243]  There was a study that was published, I believe it was in 1994.
[01:36:26.363 --> 01:36:31.126]  It was a 12-year program, 12-year study.
[01:36:31.146 --> 01:36:38.251]  They looked at adults who had developed cancer as an adult, not childhood cancer, but adult cancer, right?
[01:36:38.311 --> 01:36:41.633]  And this is the main types of cancer that we get here in the United States.
[01:36:42.533 --> 01:36:48.838]  They did a meta-analysis of these people all around the world who developed cancer as adults for 12 years and were treated with chemo.
[01:36:48.898 --> 01:36:50.940]  And they looked at the results.
[01:36:51.621 --> 01:36:55.364]  And they published the results in the Journal of Clinical Oncology.
[01:36:56.305 --> 01:36:59.107]  And the results?
[01:36:59.127 --> 01:37:03.791]  97% of the time chemotherapy does not work.
[01:37:04.671 --> 01:37:06.813]  97% of the time it doesn't work.
[01:37:07.614 --> 01:37:08.695]  So why is it still used?
[01:37:09.554 --> 01:37:11.315]  It's one reason and one reason only.
[01:37:11.935 --> 01:37:12.155]  Money.
[01:37:13.216 --> 01:37:21.500]  If you go to a medical doctor, an MD, with a sinus infection, and that doctor prescribes an antibiotic, he gets no financial kickback.
[01:37:22.440 --> 01:37:33.605]  Now, if he prescribes 5,000, you know, of that antibiotic in one month, the drug company that makes it might send him to Cancun for a conference, right?
[01:37:33.705 --> 01:37:35.506]  But he gets no direct remuneration.
[01:37:36.326 --> 01:37:38.969]  It's not with chemotherapeutic drugs.
[01:37:39.490 --> 01:37:39.971]  It's different.
[01:37:40.932 --> 01:37:47.560]  Chemotherapeutic drugs are the only classification of drugs that the prescribing doctor gets a direct cut of.
[01:37:48.841 --> 01:37:53.227]  So if your doctor prescribes chemotherapy for you, here's how it goes, more or less.
[01:37:54.437 --> 01:38:07.406]  The doctor buys it from the pharmaceutical company for $5,000, sells it to the patient for $12,000, insurance pays $9,000, and the doctor pockets the $4,000 difference.
[01:38:07.486 --> 01:38:10.748]  And there ought to be a law.
[01:38:11.428 --> 01:38:17.192]  The only reason chemotherapy is used is because doctors make money from it.
[01:38:17.773 --> 01:38:18.173]  Period.
[01:38:18.533 --> 01:38:19.434]  It doesn't work.
[01:38:19.454 --> 01:38:20.414]  97% of the time.
[01:38:23.493 --> 01:38:29.859]  If Ford Motor Company made an automobile that exploded 97% of the time, would they still be in business?
[01:38:30.019 --> 01:38:30.219]  No.
[01:38:31.841 --> 01:38:42.351]  This is the tip of the iceberg of the control that the pharmaceutical industry has on us.
[01:38:42.411 --> 01:38:44.933]  Most people have no idea of this at all now.
[01:38:45.033 --> 01:38:47.499]   I wrote a book It's called the M.D.
[01:38:47.619 --> 01:38:49.480]  Emperor Has No Gloves, right?
[01:38:50.520 --> 01:38:57.603]  In my book, I have a bulleted list of ten questions that every cancer patient should ask their doctor.
[01:38:58.343 --> 01:38:59.123]  Ten questions.
[01:39:00.303 --> 01:39:10.066]   I've had patients kicked out, literally, kicked out of the oncologist's office because the doctor was P.O.' 'd that the patient was asking them these questions.
[01:39:10.087 --> 01:39:11.587]  These are just common sense questions.
[01:39:13.596 --> 01:39:16.759]  Cancer treatment in the United States, we have lost the war on cancer.
[01:39:17.360 --> 01:39:19.682]  We have lost the war on cancer.
[01:39:19.762 --> 01:39:20.062]  Why?
[01:39:20.943 --> 01:39:24.766]  Because cancer is not a reductionistic phenomenon.
[01:39:25.427 --> 01:39:27.189]  Cancer is a holistic phenomenon.
[01:39:27.969 --> 01:39:38.399]  And when you try to bring a reductionistic methodology like drugs and surgery to bear on a holistic phenomenon, you will completely miss the boat each and every time.
[01:39:38.419 --> 01:39:39.460]  You cannot do it.
[01:39:40.476 --> 01:39:43.538]  Medical doctors are like colorblind art critics.
[01:39:45.380 --> 01:39:47.261]  They can see that that's a boat.
[01:39:48.202 --> 01:39:57.489]  They can see the black and white outline, but they're completely blind to all of the colors and textures that make up the substance of the thing.
[01:39:57.529 --> 01:39:59.891]  There's no difference with cancer.
[01:40:00.891 --> 01:40:10.043]   The reason that People get cancer in the United States, and the reason that we have completely lousy outcomes is because medical doctors are driving the research bus.
[01:40:10.703 --> 01:40:19.130]  When women get together and do a 5K run for breast cancer, all of that money, do you think any of that money goes to nutritional research?
[01:40:19.150 --> 01:40:25.795]  Do you think any of that money goes to homeopathic research, or acupuncture, or traditional Chinese medicine, or naturopathic research?
[01:40:26.076 --> 01:40:26.316]  No!
[01:40:27.077 --> 01:40:30.559]  All of it goes to drugs and surgery, which do not work!
[01:40:32.461 --> 01:40:35.582]  Now why aren't those women running for selenium?
[01:40:37.822 --> 01:40:44.263]  If every girl in this country took 200 micrograms of selenium, in one generation we'd eliminate breast cancer by 82%.
[01:40:44.723 --> 01:40:46.383]  That's a big number.
[01:40:47.043 --> 01:40:48.104]  Why aren't we doing that?
[01:40:48.904 --> 01:40:52.924]  Because medicine in the United States is a for-profit industry.
[01:40:53.505 --> 01:40:55.945]  And most people are completely unaware of this.
[01:40:56.405 --> 01:41:02.086]  And most people bow down to the altar of MD-directed high-tech.
[01:41:04.986 --> 01:41:06.047]  I haven't interviewed him in years.
[01:41:06.067 --> 01:41:06.908]  I'm gonna get him back on.
[01:41:07.889 --> 01:41:16.639]  So, they're just upping the scale of the cancer industry and all these other scams they run with COVID.
[01:41:17.420 --> 01:41:20.403]  Of course they know the shot doesn't work, except it makes you sicker.
[01:41:21.525 --> 01:41:22.405]  It's deliberate.
[01:41:22.805 --> 01:41:24.286]  Do some of the doctors not know what they're part of?
[01:41:24.326 --> 01:41:24.586]  Yeah.
[01:41:24.926 --> 01:41:39.749]  And the ones that do know what's happening, like Dr. Peter McCullough, who's done 600 major studies, run FDA major trials, one of the top cardiologists in America, they're trying to strip him of his medical license because he said the shots won't work and they're dangerous, which is all proven correct.
[01:41:41.190 --> 01:41:42.630]  But they can't have him celebrated.
[01:41:42.670 --> 01:41:43.890]  They can't have him proven right.
[01:41:44.310 --> 01:41:50.332]  No, they've got to punish him and say the doctor that said this is bad is being sued and lost his medical license.
[01:41:52.133 --> 01:41:56.855]  You gotta, you have to rally around the people the enemy's attacking and we've been proven right.
[01:41:58.955 --> 01:42:00.236]  Dr. Peter McCullough's flying in Saturday.
[01:42:00.256 --> 01:42:03.297]  We're in a special two-hour broadcast with him next Saturday.
[01:42:03.697 --> 01:42:07.658]  We'll be right back with a ton of breaking news and so much more.
[01:42:07.738 --> 01:42:08.318]  Please stay with us.
[01:42:09.679 --> 01:42:10.919]  Gonna fly!
[01:42:12.660 --> 01:42:16.281]  Freebird, yeah!
[01:42:17.862 --> 01:42:18.922]  Gotta sing a suspicion.
[01:42:19.402 --> 01:42:21.343]  Heaven sounds like this just about a trillion times better.
[01:42:22.233 --> 01:42:23.074]  All the angels playing.
[01:42:26.897 --> 01:42:28.858]  Best part just keeps cranking up right here.
[01:42:29.559 --> 01:42:30.340]  Right into infinity.
[01:42:31.621 --> 01:42:33.022]  Gotta love that hillbilly music.
[01:42:33.963 --> 01:42:35.063]  Just add a guitar.
[01:42:36.665 --> 01:42:37.465]  Or two or three.
[01:42:37.485 --> 01:42:41.549]  All right, let me get really serious here.
[01:42:43.090 --> 01:42:49.854]   This is Absolutely wild, but it's what we knew was going on.
[01:42:50.734 --> 01:42:52.074]  But it's all being externalized.
[01:42:52.155 --> 01:42:53.155]  It's not being hidden anymore.
[01:42:54.175 --> 01:43:06.739]  We know Obama put several billion dollars in a stay-behind network when Trump got elected, countering Foreign Disinformation Propaganda Act, which was then used by the agencies domestically to attack the American people and censor and control.
[01:43:06.759 --> 01:43:10.380]  And then it was Democrat, deep state, stay-behind groups.
[01:43:12.537 --> 01:43:18.903]  That then coordinated all the attacks and disinformation and election fraud that we then witnessed after that.
[01:43:19.724 --> 01:43:32.997]  And we know that groups like G2, that's a so-called international credit agency based in Boston and others, that have been running the establishment of a secret social credit score operation.
[01:43:34.833 --> 01:43:53.732]  And then now it's coming out that under Obama and even under Trump, because he wasn't running it, it was a rogue group, and then now under Biden it's expanded, that they have the State Department, the CIA, the big banks, with legacy media, they're seen as the professionals, surveilling even your private messages and email.
[01:43:53.992 --> 01:43:57.815]  If you're on Google Mail or using Twitter or Facebook or Instagram, you name it.
[01:43:58.775 --> 01:44:10.363]  So they're illegally spying on you, not just the NSA, but they're illegally spying on you, and then they farm out to the minions at the big tech companies who to go and shut down.
[01:44:12.064 --> 01:44:12.665]  It's incredible.
[01:44:13.345 --> 01:44:20.370]  So now the Intercept just came out with a huge bombshell report, truth cops, with these FOIA requests that were honored.
[01:44:21.591 --> 01:44:24.433]  And in it, what's going on?
[01:44:25.573 --> 01:44:47.849]   You have the Department of Homeland Security, Working with Legacy Dinosaur Media and other federal agencies and JPMorgan Chase and others, surveilling your email, your Twitter, your Facebook, your Google, your bank account, where these leftist activists are given access to everything.
[01:44:49.570 --> 01:44:52.192]  This is just a scandal beyond anything ever known.
[01:44:53.908 --> 01:45:03.039]  No wonder they're so arrogant, because they've got a bunch of leftist SJWs that went and got their college degree and were invoked into the cult of absolute criminal activity.
[01:45:05.373 --> 01:45:23.708]  And they're just normalizing, okay, yeah, we read your email, we read your private messages, and we watch your bank accounts, and we're gonna put you in a frickin' FEMA camp, because the head of the ADL said so, and don't be against that, or you're a Nazi, you're going to a camp, you're taking a forced shot, we're censoring you, or you're Hitler, you're Hitler, you're Hitler, you know, they're the ones that act just like Hitler.
[01:45:25.796 --> 01:45:36.261]  And they've got the emails, they've got the text messages, they've got it all, where DHS is coordinating with the private sector to attack the American people criminally.
[01:45:37.181 --> 01:45:38.862]  It's all coming out.
[01:45:39.362 --> 01:45:52.888]  And then you've got the head of the ADL threatening Elon Musk over the weekend in a letter saying, we want Trump banned, we want Alex Jones banned, and if you do not ban them, we will get you.
[01:45:54.659 --> 01:45:59.840]  And we have the head of the EU coming out over the weekend and saying, we'll criminally charge you, Musk.
[01:46:00.480 --> 01:46:02.821]  We're not just going to spy on people and censor them.
[01:46:03.201 --> 01:46:07.442]  We're going to control and we're going to organize people to attack them.
[01:46:09.262 --> 01:46:13.203]  The left is in control of the technocracy, run by big banks, and they're here to hurt us.
[01:46:13.783 --> 01:46:14.343]  And they will.
[01:46:15.544 --> 01:46:21.645]  If we don't recognize what criminals they are and completely break with them and realize how deep we are in this.
[01:46:23.072 --> 01:46:27.175]  Left-wing EU Commissioner warns Musk, the bird will fly by our rules.
[01:46:27.675 --> 01:46:33.640]  Threatens criminal and civil charges, billions in fines, if they don't follow their rules to censor.
[01:46:34.040 --> 01:46:34.901]  Questioning elections.
[01:46:35.161 --> 01:46:36.062]  Questioning lockdowns.
[01:46:36.462 --> 01:46:38.864]  Questioning forced injections.
[01:46:39.364 --> 01:46:41.185]  Questioning open borders.
[01:46:41.526 --> 01:46:43.107]  Questioning repla- anything!
[01:46:43.127 --> 01:46:51.253]  Because the truth is, Musk, if he's for real, is about to find out how they're in there running it all.
[01:46:53.226 --> 01:46:57.767]  Government agencies, private contractors, leftist groups.
[01:46:59.208 --> 01:47:01.128]  They kind of let the cat out of the bag about three years ago.
[01:47:01.748 --> 01:47:09.771]  They had Humpty Dumpty up there, Brian Stelter on his weekend show, Reliable Sources, with Oliver Darcy.
[01:47:10.471 --> 01:47:17.733]  And they said, yes, we've banned him on all these things, but we're checking with Facebook to see if he has a WhatsApp and to see if he's using it.
[01:47:18.173 --> 01:47:21.034]  Next week they go, well, we found out Alex Jones does not have a WhatsApp.
[01:47:22.185 --> 01:47:23.566]  So, they call up Facebook.
[01:47:23.586 --> 01:47:24.567]  Facebook goes and checks.
[01:47:24.767 --> 01:47:25.988]  It goes, no, Jones isn't on that.
[01:47:27.469 --> 01:47:32.834]  They do whatever they want, whenever they want, however they want.
[01:47:34.115 --> 01:47:34.816]  That's who they are.
[01:47:35.676 --> 01:47:36.657]  And they think they're going to beat us.
[01:47:38.218 --> 01:47:41.461]  They have all the money and all the systems, but everybody hates them.
[01:47:41.881 --> 01:47:43.823]  Everybody knows they're scum.
[01:47:45.104 --> 01:47:49.783]   So I want to play this clip and I've got to get this living legend back on the show soon.
[01:47:49.783 --> 01:47:54.583]   G. Edward Griffin, who was very successful in business, heard about the New World Order,
[01:47:54.583 --> 01:47:58.484]   didn't believe it, investigated it, found out it was true, and in the 60s and on made
[01:47:58.484 --> 01:48:02.724]   films and bestselling books that we stand on those shoulders today.
[01:48:02.724 --> 01:48:10.083]   Here he is in the 60s, early 60s, producing a TV program about communist documents that
[01:48:10.083 --> 01:48:15.764]   came out in '43 of how they plan to call American populists anti-Semitic or fascist.
[01:48:15.764 --> 01:48:18.363]   And you hear this playbook, you go, "That's the exact playbook today.
[01:48:18.363 --> 01:48:19.923]  Why do they keep running it?"
[01:48:19.923 --> 01:48:25.404]   Because it's worked until now because we didn't warn enough people about the playbook.
[01:48:25.404 --> 01:48:29.323]  So here from the historic vault is G. Edward Griffin.
[01:48:29.323 --> 01:48:35.003]   In 1943, the following directive was issued from party headquarters to all communists
[01:48:35.003 --> 01:48:36.682]  in the United States.
[01:48:36.682 --> 01:48:37.182]  Dread.
[01:48:37.182 --> 01:48:47.182]  [BLANK_AUDIO]
