[00:00.000 --> 00:20.800]  Infowars, the most banned network in the world.
[2:14:01.120 --> 2:14:05.840]  nuclear world war three being fired and by the way the russians notified us government i'm told
[2:14:05.840 --> 2:14:12.640]  this that dc washington dc new york and denver denver's a home of the continuity of government
[2:14:12.640 --> 2:14:20.400]  uh facilitating center in case of washington dc disappearing they've already told they the russians
[2:14:20.400 --> 2:14:26.640]  have told the united states what we're what they're going to do and the united states is basically
[2:14:26.640 --> 2:14:31.840]  saying uh well they're warning the people they better be ready to change clothes and a nuclear
[2:14:31.840 --> 2:14:38.880]  attack in the subway in new york the united states has no no civil defense no food no sanitation
[2:14:38.880 --> 2:14:46.080]  no even radiation sensors and yet any country that can shield its population and its industry
[2:14:46.080 --> 2:14:53.840]  as well as russia has basically russia's in the upper hand position and it's fascinating because
[2:14:53.840 --> 2:14:58.400]  now what we're watching is the statements of ordering you know two hundred ninety million
[2:14:58.400 --> 2:15:04.560]  dollars worth of any radiation pills all this stuff is too little too late we have sat as the
[2:15:04.560 --> 2:15:10.880]  american people and watched the theft of liberty the theft of freedom and now the theft of our
[2:15:10.880 --> 2:15:16.880]  lives and there's a disconnect alex because people are in a reality avoidance mentality
[2:15:16.880 --> 2:15:22.160]  but meanwhile we the false flag you are absolutely correct the false flag will
[2:15:22.160 --> 2:15:27.520]  take place in ukraine it will be an atomic uh event and then the russians will be blamed
[2:15:27.520 --> 2:15:35.120]  so the russians are on basic uh uh notification to everybody look we know this is coming but
[2:15:35.120 --> 2:15:41.680]  we're in there's no uh statements coming out of russia that it's going to be a tactical response
[2:15:42.240 --> 2:15:48.080]  they're talking strategic response they're stating that nato nations and the united states and they
[2:15:48.080 --> 2:15:53.360]  named the targets are what are going to stay there russia is getting ready for full nuclear war
[2:15:53.360 --> 2:16:02.240]  couldn't be a more important broadcast stay with us tequel i have been in a 28 year marathon battle
[2:16:02.240 --> 2:16:08.880]  with the globalist i have come from nowhere to the very heights of politics not just in america
[2:16:08.880 --> 2:16:15.600]  to the world we are engaging the globalists at point-blank range in the information war but i
[2:16:15.600 --> 2:16:20.800]  don't deserve the credit yes i've persevered but the listeners and viewers who support them for
[2:16:20.800 --> 2:16:26.720]  wars are the real reason we've had this success we're having now the greatest victories in the
[2:16:26.720 --> 2:16:33.920]  fight against the new order we've ever had we are now entering the final mile of the marathon
[2:16:33.920 --> 2:16:39.120]  and that's why today it's more important than ever realize how important you've been in this fight
[2:16:39.120 --> 2:16:45.040]  and to continue in the efforts you've been tearing out and to intensify that i bless you all i salute
[2:16:45.040 --> 2:16:50.960]  you i thank you and i beg you to intensify what you're doing now because we are over the target
[2:16:50.960 --> 2:16:56.240]  and this brief is happening the fight is my fight it's your fight it's our fight god bless you all
[2:16:57.360 --> 2:17:05.600]  ladies and gentlemen the biggest sale of 2022 is now live at infowarstore.com it's the info war store
[2:17:05.600 --> 2:17:13.440]  super sale 40 to 50 off all products in the store survival shield x3 sold out for almost six months
[2:17:13.440 --> 2:17:20.240]  back in stock 50% off brain force ultra back in stock 50% off brain force plus back in stock
[2:17:20.240 --> 2:17:26.160]  50% off dna force plus back in stock 50% off physique magnesium both of the highest quality
[2:17:26.160 --> 2:17:31.600]  types of magnesium nobody else has got that 50% off organic greens fiber caps highest quality
[2:17:31.600 --> 2:17:37.840]  50% off survival fatality fuel fatality 50% off ultimate creole back in stock 40% off knockout
[2:17:37.840 --> 2:17:44.400]  sleep support 40% off it goes on and on vitamin d3 gummies 40% off vasovics 40% off open fish
[2:17:44.400 --> 2:17:49.680]  roll 40% off you need to do this for your immune system this fall and winter plus it funds the info
[2:17:49.680 --> 2:17:54.800]  war thank you for your support the only way you lose is not going to infowarstore.com and getting
[2:17:54.800 --> 2:18:01.840]  40 to 50 off on all these amazing products the biggest sale of 2022 is now live exclusively at
[2:18:01.840 --> 2:18:10.080]  infowarstore.com the info war store super sale is now live 40 to 50% off bare minimum 40% off
[2:18:10.080 --> 2:18:16.480]  many of the products 15% off at infowarstore.com the most exciting of all these incredible products
[2:18:16.480 --> 2:18:22.720]  is x3 all three of the very best types of iodine that are natural and pure that should get into
[2:18:22.720 --> 2:18:29.840]  your cells are in x3 the deep earth crystal iodine and two other types to maximize full absorption
[2:18:29.840 --> 2:18:36.240]  this really is the missing link x3 sold out for a long time is finally back in stock available at
[2:18:36.240 --> 2:18:43.120]  infowarstore.com or by calling toll free triple eight two five three three one three nine now it
[2:18:43.120 --> 2:18:48.720]  takes a few weeks for this high quality iodine to kick in but almost everybody after that feels
[2:18:48.720 --> 2:18:54.320]  the effects it's not a sheer immune system but it's for your energy and so much more x3 back in
[2:18:54.320 --> 2:19:03.360]  stock at infowarstore.com 50% off the biggest sale of 2022 is now live exclusively at infowarstore.com
[2:19:03.360 --> 2:19:11.280]  the info war store super sale is now live 40 to 50% off bare minimum 40% off many of the products
[2:19:11.280 --> 2:19:18.560]  15% off at infowarstore.com the most exciting of all these incredible products is x3 all three of
[2:19:18.560 --> 2:19:25.200]  the very best types of iodine that are natural and pure that should get into your cells are in x3
[2:19:25.200 --> 2:19:30.720]  the deep earth crystal iodine and two other types to maximize full absorption this really is the
[2:19:30.720 --> 2:19:38.720]  missing link x3 sold out for a long time is finally back in stock available at infowarstore.com
[2:19:38.720 --> 2:19:44.400]  or by calling toll free triple eight two five three three one three nine now it takes a few weeks
[2:19:44.400 --> 2:19:50.000]  for this high quality iodine to kick in but almost everybody after that feels the effects it's not
[2:19:50.000 --> 2:19:56.320]  a sheer immune system but it's for your energy and so much more x3 back in stock at infowarstore.com
[2:19:56.320 --> 2:20:15.120]  50% off leading a frontal assault on the lies of the new world order it's alex jones
[2:20:15.120 --> 2:20:33.360]  there is a extreme surrealness to where we are the president of the united states talking about
[2:20:33.360 --> 2:20:40.960]  armageddon into the world the dictator now of ukraine he is the dictator he was elected
[2:20:40.960 --> 2:20:46.400]  to be some dictatorship calling for a preemptive nuclear strike on russia everybody from shan
[2:20:46.400 --> 2:20:50.880]  penn to you name it calling for nuclear war and liberals saying we love nuclear war it's liberal
[2:20:51.920 --> 2:20:58.640]  steve quill top analyst on this please continue we went to break you talking about a false flag
[2:20:58.640 --> 2:21:05.600]  in ukraine a nuclear false flag well right and what you're calling obviously the surrealness of
[2:21:05.600 --> 2:21:13.680]  the moment we are talking about the absolute worst case scenario the nightmare that's unfolding
[2:21:13.680 --> 2:21:19.680]  and there's a reality disengagement in the mainstream press alex everything and i want
[2:21:19.680 --> 2:21:23.840]  to say this everything that you've warned about everything you've made your videos about ladies
[2:21:23.840 --> 2:21:31.520]  and gentlemen alex is the tip of the spear and i'm encouraging you if you have any sense of
[2:21:31.520 --> 2:21:36.560]  saving the republic or at least the remnant of the republic please get behind him because
[2:21:37.280 --> 2:21:44.080]  ladies and gentlemen we are at a moment in time unlike any other and our defense department
[2:21:44.080 --> 2:21:49.360]  is making war on the american population the american servicemen and forgetting we've got
[2:21:49.360 --> 2:21:56.160]  real enemies out there and the cavalier that's the best word i know attitude of the by demonstration
[2:21:56.160 --> 2:22:04.000]  the uh the the mille military and the whole if you will war within us military the destruction
[2:22:04.000 --> 2:22:10.080]  of our advanced technology defunding them and i got to tell you alex red high heel shoes won't
[2:22:10.080 --> 2:22:15.440]  stop a hypersonic missile russia has demonstrated their prowess now look i'm going to say something
[2:22:15.440 --> 2:22:21.840]  the truth is the truth and we have in the united states broken every treaty every agreement we ever
[2:22:21.840 --> 2:22:28.400]  made with russia they have and i'm saying this i'm fighting your fighting to try and influence
[2:22:28.400 --> 2:22:34.400]  whoever's out there listening you don't want nuclear war you don't want the destruction now
[2:22:34.400 --> 2:22:40.400]  i'm talking to the average american but the globalists the illuminous they they are absolutely
[2:22:40.400 --> 2:22:45.840]  wetting themselves for joy over the fact that they're going to get rid of you know a billion
[2:22:45.840 --> 2:22:51.120]  people either not just from initial nuclear radiation effects but from the starvation
[2:22:51.120 --> 2:22:55.840]  the lack of communication everything is i mean i know there's estimates of a limited nuclear war
[2:22:55.840 --> 2:23:00.240]  in europe killing 900 something million but don't most estimates show to escalate quickly we're
[2:23:00.240 --> 2:23:05.840]  talking five billion dead yep pretty much and here's the thing when you're calculating deaths
[2:23:05.840 --> 2:23:11.360]  by nuclear weapons you know it's if there's not a hundred percent fission or fusion in the case
[2:23:11.360 --> 2:23:17.040]  of a hydrogen bomb but what we're talking about is the initial death due to the blast do the
[2:23:17.040 --> 2:23:22.160]  over pressure do the heat but we're talking billions and i'm sorry billions that are going
[2:23:22.160 --> 2:23:27.600]  to die and that's our biblical we are in the realm of the four horsemen the apocalypse
[2:23:27.600 --> 2:23:33.120]  and you know i think people better understand this we've watched the weather being modified
[2:23:33.120 --> 2:23:39.120]  weaponized against specifically florida and previously last year texas and now we've got
[2:23:39.120 --> 2:23:46.160]  the situation where again we cannot fight a two front war we cannot fight china we can't
[2:23:46.160 --> 2:23:52.960]  even fight russia and and trump the one thing i'll say to his credit is simply that he had a working
[2:23:52.960 --> 2:24:00.000]  relationship with putin and recognize putin as a very brilliant man with the images you're putting
[2:24:00.000 --> 2:24:04.960]  on the screen right now ladies and gentlemen these are the people that are running the government
[2:24:04.960 --> 2:24:10.480]  especially the image right now of the black leather that gentleman i guess that's a wrong
[2:24:10.480 --> 2:24:15.360]  but that pronoun person is in charge of the department of energy guess what the department
[2:24:15.360 --> 2:24:20.880]  of energy runs the nuclear how should i say not only production of weapons but also the
[2:24:20.880 --> 2:24:26.240]  distribution of weapons very powerful so they got the head of the monkeypox operation in satanic
[2:24:26.240 --> 2:24:30.560]  regalia saying he's a satanist you've got the army officers that got caught trying to sell
[2:24:30.560 --> 2:24:36.720]  cigarettes to china on delta force who's a woman i mean this is a cult this is a cult and it's a
[2:24:36.720 --> 2:24:44.400]  luciferian cult and i think what people lose track of alex they the luciferian cults as represented
[2:24:44.400 --> 2:24:52.400]  by the we efforts okay and obviously uval harari and schwab and the whole ilk they're on record
[2:24:52.400 --> 2:24:57.040]  is saying they own 50 percent of the governments of the world they have their people 50 percent of
[2:24:57.040 --> 2:25:01.200]  every government that's why you're seeing the breakdown of western europe that's why you're
[2:25:01.200 --> 2:25:09.200]  seeing the the whole petroleum industry destroyed because they do not want those and i'll just call
[2:25:09.200 --> 2:25:16.000]  it the entities that you're seeing they do not want humanities to survive they're transhumanists
[2:25:16.000 --> 2:25:21.360]  you've done a beautiful job on talking about that i've written about it but ladies and gentlemen
[2:25:21.360 --> 2:25:28.000]  the extinction of 250 million americans alex has carried the story i've talked about the story
[2:25:28.000 --> 2:25:34.800]  that according to the deagle report a rockefeller foundation if you will mouthpiece 250 million
[2:25:34.800 --> 2:25:41.520]  americans have to die in the next three years so alex there is no how should i say this there is no
[2:25:42.240 --> 2:25:48.560]  having to hype the danger we're in and i can tell you the united states has no how should i say
[2:25:48.560 --> 2:25:55.120]  viable alternative we have no anti missile defense system we've got so many traders in our military
[2:25:55.120 --> 2:26:04.240]  within without and and we watched the vaccination that's my word of the i would say this those who
[2:26:04.240 --> 2:26:12.640]  would not comply to die basically now we have a weakened military we have the obama promise that
[2:26:12.640 --> 2:26:17.920]  in essence watch what he's going to do to the united states he's the united states is greatest
[2:26:17.920 --> 2:26:22.960]  nation in the world and we intend to change all that ladies and gentlemen has changed most people
[2:26:22.960 --> 2:26:29.440]  live in an illusory world i think in america's the top dog on the block and it no longer is
[2:26:29.440 --> 2:26:35.600]  and there is no protection civil defense wise everything is on a personal level level and
[2:26:35.600 --> 2:26:41.200]  eric i'm sorry you were just showing you know alex the billionaires for bunkers they've all
[2:26:41.200 --> 2:26:48.800]  hightailed it they're out of here so the idea that were cannon fodder that's there's i can't make it
[2:26:48.800 --> 2:26:55.520]  any more urgent than it is again if the american people knew that a belligerent nation
[2:26:55.520 --> 2:27:02.320]  launched an intercontinental ballistic missile with a 50 kiloton nuclear warhead these are real
[2:27:02.320 --> 2:27:07.360]  numbers would you think that maybe somebody would say boy it's later than we think by the way i mean
[2:27:07.360 --> 2:27:11.120]  i know you always have incredible sources is that in the news or is that your intel sources because
[2:27:11.120 --> 2:27:16.320]  it's happened seven or eight times i remember when from submarines and from overseas china rush and
[2:27:16.320 --> 2:27:22.240]  others we've done it to them fire dummy warheads you know they fire an icbm to show we can hit you
[2:27:22.240 --> 2:27:26.000]  but then have it just crash into the ground without a payload is that what you're saying happened
[2:27:26.800 --> 2:27:32.160]  i'm saying that there was a live based on my back sources and by the way the story
[2:27:32.160 --> 2:27:40.000]  coming out of the uconn was they watched two metal objects crash in the air so something
[2:27:40.000 --> 2:27:45.200]  was intercepted an icbm an intercontinental intercontinental ballistic missile has to use
[2:27:45.200 --> 2:27:51.600]  a higher flight path and then a hypersonic missile so we know it wasn't russia because russia had
[2:27:51.600 --> 2:27:57.840]  the kinzal hypersonic missile so who else has nuclear capability well pretty well leaves china
[2:27:57.840 --> 2:28:05.520]  and it pretty well leaves north korea the dismissal of the events that have been taking place on the
[2:28:05.520 --> 2:28:12.720]  north korean border obviously the scrambling of quite a few what 24 jets of the north koreans it
[2:28:12.720 --> 2:28:16.560]  was sure i mean japan just last week told everybody shelter and home because of a missile that flew
[2:28:16.560 --> 2:28:22.560]  right over the island correct and i'm told by my sources and again ladies and gentlemen
[2:28:22.560 --> 2:28:27.040]  there's you've got to get away and and alex most people have got to get away from the fact that
[2:28:27.040 --> 2:28:32.160]  if it isn't on fox if it isn't on msnbc if it isn't on the major networks it can't be true
[2:28:32.160 --> 2:28:36.960]  everything we've warned about that we've been called all the names you've been called has come to pass
[2:28:36.960 --> 2:28:41.760]  and now nuclear war and everybody was saying oh there will never be a nuclear war and the president
[2:28:41.760 --> 2:28:47.200]  and the president says hey there's gonna be a nuclear war and he's the one that is facilitating
[2:28:47.200 --> 2:28:52.560]  and i would say this initiating and provoking the guy in control of the nuclear launch codes starting
[2:28:52.560 --> 2:29:00.080]  the war tells you armageddon is here we'll be right back look around you everything i predicted
[2:29:00.080 --> 2:29:05.600]  from the globlestone documents from their own admissions is now happening info wars credibility
[2:29:05.600 --> 2:29:10.080]  my credibility has never been higher and it's because of your backing of this operation
[2:29:10.080 --> 2:29:16.080]  that i could steadfastly despite the censorship and the boycotts and the attacks and the lawsuits
[2:29:16.080 --> 2:29:23.520]  stay on air but now we're reaching the most critical juncture in the fight together so i want to ask
[2:29:23.520 --> 2:29:29.440]  all of you today to help keep me on the air in my decades on air i've never asked for personal
[2:29:29.440 --> 2:29:34.240]  donations but i'm being forced by the bankruptcy court to pay for 40 percent of the legal fees
[2:29:34.240 --> 2:29:42.880]  and i can't fund those myself it's unsustainable so please visit save info wars dot com save info
[2:29:42.880 --> 2:29:48.720]  wars dot com where you can make straight donations five 10 50 hundred dollars whatever you can so
[2:29:48.720 --> 2:29:53.520]  that i can continue to persevere i'll never give up i'll never give in but i could give out thank
[2:29:53.520 --> 2:30:00.080]  you for your support wouldn't be without you save info wars dot com the biggest sale of 2022 is now
[2:30:00.080 --> 2:30:05.680]  live it's only running in the last week of september and the first week of october dozens of our best
[2:30:05.680 --> 2:30:12.000]  selling products are finally back in stock and they're 40 to 50 off across the board and the most
[2:30:12.000 --> 2:30:19.120]  important of them all is survival shield x3 all three types of the very best iodine documented to
[2:30:19.120 --> 2:30:24.240]  not just boost your libido your stamina your health your energy your cells your immune system but to
[2:30:24.240 --> 2:30:32.640]  overall give you more energy it's the foundation of everything from energy to fertility x3 50 off
[2:30:32.640 --> 2:30:37.920]  is finally back in stock exclusively at info wars store dot com you've heard the callers you've seen
[2:30:37.920 --> 2:30:44.880]  the rave reviews now experience x3 for yourself exclusively at info wars store dot com 50 off
[2:30:44.880 --> 2:30:48.480]  and while you're there check out some of the other great products that are finally back in stock
[2:30:48.480 --> 2:30:54.080]  and massively discounted as well part of the info war store super sale running for two weeks only
[2:30:54.080 --> 2:31:04.240]  again x3 back in stock 50 off i have been in a 28 year marathon battle with a globalist i have come
[2:31:04.240 --> 2:31:10.960]  from nowhere to the very heights of politics not just in america but the world we are engaging
[2:31:10.960 --> 2:31:16.640]  the globalist at point-blank range in the information war but i don't deserve the credit
[2:31:16.640 --> 2:31:22.080]  yes i've persevered but the listeners and viewers who support them for the real reason
[2:31:22.080 --> 2:31:27.120]  we've had the success we're having now the greatest victories in the fight against the
[2:31:27.120 --> 2:31:34.640]  new order we've ever had we are now entering the final mile of the marathon and that's why
[2:31:34.640 --> 2:31:39.840]  today it's more important than ever realize how important you've been in this fight and to continue
[2:31:39.840 --> 2:31:45.680]  in the efforts you've been tearing out and to intensify them i bless you all i salute you i thank
[2:31:45.680 --> 2:31:50.960]  you and i beg you to intensify what you're doing now because we are over the target and this
[2:31:50.960 --> 2:31:55.920]  grief is happening the fight is my fight it's your fight it's our fight god bless you all
[2:31:57.040 --> 2:32:04.480]  ladies and gentlemen the biggest sale of 2022 is now live at infowarstore.com it's the info war
[2:32:04.480 --> 2:32:12.320]  store super sale 40 to 50 off all products in the store survival shield x3 sold out for almost
[2:32:12.320 --> 2:32:19.120]  six months back in stock 50 off brain force ultra back in stock 50 off brain force plus
[2:32:19.120 --> 2:32:25.600]  back in stock 50 off dna force plus back in stock 50 off fizzing magnesium both of the highest
[2:32:25.600 --> 2:32:30.960]  quality types of magnesium nobody else has got that 50 off organic greens fiber caps highest
[2:32:30.960 --> 2:32:37.040]  quality 50 off survival fatality fuel fatality 50 off ultimate creole back in stock 40 off
[2:32:37.040 --> 2:32:43.600]  knockout sleep support 40 off it goes on and on vitamin d3 gummies 40 off vasovics 40 off
[2:32:43.600 --> 2:32:48.240]  ultimate fish oil 40 off you need to do this for your immune system this fall and winter
[2:32:48.240 --> 2:32:52.480]  plus it funds the info war thank you for your support the only way you lose is not going
[2:32:52.480 --> 2:32:59.120]  to infowarstore.com and getting 40 to 50 off on all these amazing products leading a frontal
[2:32:59.120 --> 2:33:13.920]  assault on the lies of the new world order it's alex jones waging war on corruption it's alex
[2:33:13.920 --> 2:33:22.560]  jones coming to you live from the front lines of the info war we are sleepwalking into armageddon
[2:33:22.560 --> 2:33:26.800]  the icon exposing the new world order the guy that said all the information for anybody else
[2:33:26.800 --> 2:33:32.400]  steve quail of steve quail.com is our guest now i've been trying for two weeks to get steve on
[2:33:33.360 --> 2:33:36.560]  so the fact that we're in the middle of this escalated crisis was not like he just came on
[2:33:36.560 --> 2:33:40.000]  the day because it's happening he's been worrying this for a long time but this is when he could
[2:33:40.000 --> 2:33:45.760]  come on perfect timing the way the lord works but i also wanted to get him on because he's an
[2:33:45.760 --> 2:33:50.720]  expert on preparation and getting ready and nobody can break down how important satellite phones
[2:33:50.720 --> 2:33:55.280]  and things like that are than steve and steve's a guy a few years ago got us in touch with one of the
[2:33:55.280 --> 2:33:59.760]  biggest sat phone sales groups out there and their patreons that supply the board patrol
[2:33:59.760 --> 2:34:03.280]  you name it he was going to talk about that some today and how people should get storeable food and
[2:34:03.280 --> 2:34:06.560]  all the rest of it what's going on in the world you don't need to even tell you that with the
[2:34:06.560 --> 2:34:12.240]  things that are happening well steve i want to get back in to russia ukraine how we de-escalate this
[2:34:12.240 --> 2:34:16.720]  boy think the globals are planning next claus glop sing you know imminent cyber attacks but then
[2:34:16.720 --> 2:34:20.640]  he says he wants to shut down industrial society the poison shots all of it with you but let's
[2:34:20.640 --> 2:34:26.880]  spend some time on this you got us the amazing sponsor a few years ago that have been great
[2:34:26.880 --> 2:34:32.480]  the problem was everybody sold out of high quality but at the same time affordable sat phones they
[2:34:32.480 --> 2:34:38.560]  finally got them back in the shipments arriving next week they're free phones when people sign
[2:34:38.560 --> 2:34:42.080]  up for the service so you're just simply signing up to make sure that when it comes in you get it
[2:34:42.800 --> 2:34:49.520]  and so they also have this amazing bivvy stick dongle that turns any phone into a sat phone
[2:34:49.520 --> 2:34:53.600]  i've got it my family's got it something everybody needs spend a few minutes telling folks about
[2:34:53.600 --> 2:34:58.800]  info wars phone dot com that simply takes them to this great group an organization that has
[2:34:58.800 --> 2:35:04.000]  these products right now so many of which nobody else has got info wars phone dot com steve tell us
[2:35:04.000 --> 2:35:10.560]  about that well first of all anybody who's watched what happened in florida absolutely saw people
[2:35:10.560 --> 2:35:16.240]  without power people without communication and the word when you lose communication is you panic
[2:35:16.240 --> 2:35:23.040]  the nice thing about satellite phone stores uh the owners have dedicated themselves to making sure
[2:35:23.040 --> 2:35:29.760]  everyone can stay in touch with their loved ones that they understand how fragile the electrical
[2:35:29.760 --> 2:35:34.400]  grid is and also the cell phone communication grid i'm told that there are hundreds of thousands
[2:35:34.400 --> 2:35:39.520]  of people without cell phones in florida and what was neat about satellite phone store
[2:35:39.520 --> 2:35:44.800]  alex they sent out vans and we're finding people that had to communicate to let their loved ones
[2:35:44.800 --> 2:35:51.840]  know that they're alive communication in a survival situation is paramount not just to be
[2:35:51.840 --> 2:35:57.040]  keeping in contact with your loved ones but for information services so the bivvy stick
[2:35:57.040 --> 2:36:01.280]  which i'm holding in my hand right now actually we'll leave it on the screen like you did i mean
[2:36:01.280 --> 2:36:08.080]  you can send out 1000 character messages the bivvy stick obviously is satellite to satellite
[2:36:08.080 --> 2:36:14.160]  you use your cell phone in airport or airplane mode but this is probably one of the neatest
[2:36:14.160 --> 2:36:18.800]  things there is and and these are free just with a year contract ladies and gentlemen this is
[2:36:18.800 --> 2:36:22.640]  explained even though your cell phone doesn't have service this does so it's a so when your
[2:36:22.640 --> 2:36:27.600]  cell phone doesn't have service it plugs into this and now you can send text messages correct text
[2:36:27.600 --> 2:36:31.840]  messages the difference between the bivvy stick and satellite phone actually satellite phone
[2:36:31.840 --> 2:36:36.880]  is a voice communication but you're limited to the amount of text you can send with a bivvy stick
[2:36:36.880 --> 2:36:41.520]  you can give more important data and there are people around the world now alex they can give
[2:36:41.520 --> 2:36:47.120]  us a heads up on what's going on in the world through bivvy stick messaging and that's one of
[2:36:47.120 --> 2:36:53.840]  the things that's so important communication is the key to your mind being kept in a and they
[2:36:53.840 --> 2:36:57.280]  have the bivvy stick in stock at info wars phone dot com takes you right to the great
[2:36:57.280 --> 2:37:01.680]  satellite phone company or the biggest in the u.s they have it stocked they have a huge shipment
[2:37:01.680 --> 2:37:06.640]  coming in this next week this is already friday then they'll start shipping it's a free phone you
[2:37:06.640 --> 2:37:10.080]  sign up for the service so just get signed up and as soon as the phone's there as soon as you get
[2:37:10.080 --> 2:37:14.640]  delivered as soon as you activate it you just pay for the service this is a great deal one of the
[2:37:14.640 --> 2:37:20.640]  best deals out there and their patriots info wars phone dot com pre-order the free isat tube
[2:37:20.640 --> 2:37:25.360]  satellite phone get a free satellite phone below the 150 minutes of talk time per month
[2:37:25.360 --> 2:37:30.960]  only 9995 per month for the talk time uh the text are free makes calls and text from anywhere in the
[2:37:30.960 --> 2:37:36.000]  world completely secure off the grid you can also get unlimited free calls to it even though it's a
[2:37:36.000 --> 2:37:40.240]  sad phone it's just a calls up to satellite costs money works anywhere that you're out in the open
[2:37:40.240 --> 2:37:45.440]  they have antennas so you can be inside as well they have in stock the bivvy stick and a free bivvy
[2:37:45.440 --> 2:37:50.400]  stick device with unlimited data unlimited data from only $55 a month the bivvy stick is pocket
[2:37:50.400 --> 2:37:55.520]  sized device that allows you to any regular smartphone as a satellite communication device
[2:37:55.520 --> 2:38:02.160]  send unlimited text data gps usage and and weather reports from anywhere go to info wars
[2:38:02.160 --> 2:38:12.560]  phone dot com or 941 955 1020 941 955 1020 that's info wars phone dot com or 941 955 1020 this is
[2:38:12.560 --> 2:38:19.120]  essential everybody needs this and again alex i think it's critical that people understand and
[2:38:19.120 --> 2:38:26.480]  and and really focus on this is that ladies and gentlemen we're in no man's land when we're talking
[2:38:26.480 --> 2:38:30.960]  about nuclear war and we're not talking about in the future we're not talking about cold war policy
[2:38:30.960 --> 2:38:34.960]  we're not talking about a strategic we're not talking about kim jong-un having five of moving
[2:38:34.960 --> 2:38:41.040]  the russians with 10 000 of them you got it and here's the deal when you're looking at the weapons
[2:38:41.040 --> 2:38:46.400]  development a Poseidon nuclear torpedo by the way alex our defense department until russia
[2:38:46.400 --> 2:38:52.800]  showed them at a weapons uh fair didn't believe that there was such a thing as an autonomous
[2:38:52.800 --> 2:39:00.400]  self-directed by ai uh intelligent uh torpedo weapon that was 100 megatons and they're already
[2:39:00.400 --> 2:39:08.400]  saying look we can generate a 1600 foot radioactive tsunami which is true and just because the powers
[2:39:08.400 --> 2:39:16.800]  of b are so ignorantly blind they will not understand hypersonic the reason hypersonic is so well
[2:39:16.800 --> 2:39:23.200]  developed is that the russians and the indians and believe it or not the north koreans and others
[2:39:23.200 --> 2:39:29.040]  have been working on them and the meantime the majority of the us attempt to even achieve hypersonic
[2:39:29.040 --> 2:39:35.760]  missiles has gone by the wayside and so this isn't this is not a game see this is what makes me the
[2:39:35.760 --> 2:39:43.040]  most uh torqued okay is that people somehow think that this stuff all this is just happening and if
[2:39:43.040 --> 2:39:47.440]  it was real it'd be on the mainstream news the mainstream news some of the reporters will be
[2:39:47.440 --> 2:39:53.680]  sitting with their microphones in new york city when all of a sudden the screen goes blank and well
[2:39:53.680 --> 2:40:00.480]  ladies and gentlemen it's so critical that we stand behind info wars that we support financially
[2:40:00.480 --> 2:40:08.240]  because in essence the entire truth movement is what the enemy is because there is no truth in them
[2:40:08.240 --> 2:40:13.360]  they live in a world of lies they live in a kingdom and they know if we take over the infrastructure
[2:40:13.360 --> 2:40:18.400]  of the planet the globalists are out so they want nuclear wars famines bio weapons to wipe us out
[2:40:18.400 --> 2:40:24.080]  that they'll reorganize the wreckage right and i want to make a statement too that we need to understand
[2:40:24.080 --> 2:40:31.040]  ladies and gentlemen with all of the residual dna that's been gathered through the tests
[2:40:31.040 --> 2:40:37.920]  and all of the genetic testing banks and all of the ancestry dot com the chinese on the you said
[2:40:37.920 --> 2:40:44.000]  ancestry dot com ten years ago was selling at the china and all came out last year yep and and again
[2:40:44.000 --> 2:40:49.040]  you know i got a lot of crap that people said oh they can't target individuals yes they can uh
[2:40:49.040 --> 2:40:55.840]  representative cox excuse me uh just came out crown uh no crow i'm sorry three different people
[2:40:55.840 --> 2:41:01.840]  representative crow just came out and said uh his major concern at the aspen institute is biological
[2:41:01.840 --> 2:41:09.360]  weapons that are targeted to individuals individually targeted bio weapons so ladies and gentlemen
[2:41:09.360 --> 2:41:15.520]  everything that you think is private there is no privacy any longer down to a genetic level
[2:41:15.520 --> 2:41:23.040]  so let's say a specific group has uh has been designated a problem group by the integration
[2:41:23.040 --> 2:41:29.520]  of their dna and their individualization of that dna anybody can be targeted and i believe that
[2:41:29.520 --> 2:41:35.280]  obviously uh if it weren't for the prayers of your listeners my listeners alex they absolutely would
[2:41:35.280 --> 2:41:41.520]  have succeeded in taking me out i'm not grandstanding i'm just telling you that going back as you know
[2:41:41.520 --> 2:41:48.320]  when i start talking about individual bio individual bio weaponized strains of viruses that would be
[2:41:48.880 --> 2:41:54.640]  person specific individual specific people just laughed well ladies and gentlemen you can laugh
[2:41:54.640 --> 2:42:00.480]  but all the imagery right now all the news look at drudge i think it unless it's still there drudge
[2:42:00.480 --> 2:42:08.880]  has a uh an atomic explosion they're quoting biden and alex we the united states are the ones that
[2:42:08.880 --> 2:42:14.320]  initiate thank you very much that we are the ones that initiated the talk of nukin russia and then
[2:42:14.320 --> 2:42:19.920]  zalinsky now is having to backpedal because he basically said the united states needs to do a
[2:42:19.920 --> 2:42:26.400]  first strike on russia russia's been defined and by the way interestingly enough everybody wants
[2:42:26.400 --> 2:42:31.120]  to vilify them but it is the globalists that want russia taken out of the way because they're
[2:42:31.120 --> 2:42:37.040]  simply want russia's fresh water 25 of the fresh water in the planet is in lake p call and russia
[2:42:37.040 --> 2:42:42.800]  they want their week they want their gold they want global control and russia's nationalist i'd
[2:42:42.800 --> 2:42:50.400]  say this when president putin and this is a fact when president putin put a floor on gold he put
