[00:00.000 --> 00:24.120]  It's a helpless feeling.
[1:55:04.560 --> 1:55:06.560]  rapture of the church
[1:55:06.560 --> 1:55:08.560]  no you're right they are
[1:55:08.560 --> 1:55:10.560]  and again people say well wait it's all predestined
[1:55:10.560 --> 1:55:12.560]  no there's predestined plans
[1:55:12.560 --> 1:55:14.560]  but it's up to us
[1:55:14.560 --> 1:55:16.560]  it's kind of like the choose your adventure books when you're a kid
[1:55:16.560 --> 1:55:18.560]  where there's four or five ways it can end
[1:55:18.560 --> 1:55:20.560]  and that's literally
[1:55:20.560 --> 1:55:22.560]  free will God already has a plan
[1:55:22.560 --> 1:55:24.560]  it's going to be fulfilled the question is
[1:55:24.560 --> 1:55:26.560]  how bad is it going to be going through this
[1:55:26.560 --> 1:55:28.560]  or can we lessen it
[1:55:28.560 --> 1:55:30.560]  like none of it got 100 year reprieve
[1:55:30.560 --> 1:55:32.560]  and you know we're all synced up here understanding
[1:55:32.560 --> 1:55:34.560]  God's kingdom began in 70 AD
[1:55:34.560 --> 1:55:36.560]  the old covenant was gone
[1:55:36.560 --> 1:55:38.560]  and that is
[1:55:38.560 --> 1:55:40.560]  where we are in the new covenant
[1:55:40.560 --> 1:55:42.560]  and then this is the big test there'll be one more test
[1:55:42.560 --> 1:55:44.560]  after the thousand year reign
[1:55:44.560 --> 1:55:46.560]  and that's where we are God bless you sir
[1:55:46.560 --> 1:55:48.560]  and I appreciate your call
[1:55:48.560 --> 1:55:50.560]  I'm going to go to another caller
[1:55:50.560 --> 1:55:52.560]  we only got two minutes to go on the break so I'm going to
[1:55:52.560 --> 1:55:54.560]  go to Holy Stride
[1:55:54.560 --> 1:55:56.560]  in California welcome Holy Stride
[1:55:56.560 --> 1:55:58.560]  Alex thank you for taking my call
[1:55:58.560 --> 1:56:00.560]  I loved your show
[1:56:00.560 --> 1:56:02.560]  been listening for a long time
[1:56:02.560 --> 1:56:04.560]  I want to
[1:56:04.560 --> 1:56:06.560]  I want to add kind of what the last caller said
[1:56:06.560 --> 1:56:08.560]  he kind of beat me to it
[1:56:08.560 --> 1:56:10.560]  it seems like
[1:56:10.560 --> 1:56:12.560]  everything you've said is a lot of it
[1:56:12.560 --> 1:56:14.560]  most of it has happened now and people
[1:56:14.560 --> 1:56:16.560]  are so scared and fearful of what
[1:56:16.560 --> 1:56:18.560]  can come
[1:56:18.560 --> 1:56:20.560]  based on you being right and I think it's obvious
[1:56:20.560 --> 1:56:22.560]  now and many people I know personally
[1:56:22.560 --> 1:56:24.560]  when I talk to them about this
[1:56:24.560 --> 1:56:26.560]  they don't really want to hear it
[1:56:26.560 --> 1:56:28.560]  because they don't know what to do about it
[1:56:28.560 --> 1:56:30.560]  and they're scared and I think that that comes
[1:56:30.560 --> 1:56:32.560]  no they're right they can't
[1:56:32.560 --> 1:56:34.560]  beat it and God can beat it
[1:56:34.560 --> 1:56:36.560]  the answer is God
[1:56:36.560 --> 1:56:38.560]  yeah but I agree
[1:56:38.560 --> 1:56:40.560]  totally I just wanted to stay with that
[1:56:40.560 --> 1:56:42.560]  that maybe perhaps
[1:56:42.560 --> 1:56:44.560]  there has to be in my
[1:56:44.560 --> 1:56:46.560]  opinion some sort of
[1:56:46.560 --> 1:56:48.560]  spiritual oneness
[1:56:48.560 --> 1:56:50.560]  and correct biblical theology
[1:56:50.560 --> 1:56:52.560]  taught to the masses and people
[1:56:52.560 --> 1:56:54.560]  have to hear it because when they hear it
[1:56:54.560 --> 1:56:56.560]  and understand the scripture there's many Christians
[1:56:56.560 --> 1:56:58.560]  hold on don't hang up Holy Stride I'm going to come back
[1:56:58.560 --> 1:57:00.560]  to you in two minutes we start the next hour
[1:57:00.560 --> 1:57:02.560]  well here's the good part about it it's all going to
[1:57:02.560 --> 1:57:04.560]  get fulfilled anti Christ world government
[1:57:04.560 --> 1:57:06.560]  mass extermination and so people are going to have
[1:57:06.560 --> 1:57:08.560]  to get the real God because that's all
[1:57:08.560 --> 1:57:10.560]  they got I mean folks you will
[1:57:10.560 --> 1:57:12.560]  have nothing you will own nothing
[1:57:12.560 --> 1:57:14.560]  they are this is all going to go down
[1:57:14.560 --> 1:57:16.560]  but it's okay because they lose
[1:57:16.560 --> 1:57:18.560]  they get
[1:57:18.560 --> 1:57:20.560]  a very short period you can debate
[1:57:20.560 --> 1:57:22.560]  how long a year or two years
[1:57:22.560 --> 1:57:24.560]  it's going to be bad you're just seeing the
[1:57:24.560 --> 1:57:26.560]  beta test now but it's over after that
[1:57:26.560 --> 1:57:28.560]  alright
[1:57:28.560 --> 1:57:30.560]  so understand that
[1:57:30.560 --> 1:57:32.560]  understand ladies and gentlemen the only way you win
[1:57:32.560 --> 1:57:34.560]  is gutting up realizing you're going to have to
[1:57:34.560 --> 1:57:36.560]  take your licks I'm going to have to take them
[1:57:36.560 --> 1:57:38.560]  you're going to have to take them
[1:57:38.560 --> 1:57:40.560]  they're probably going to chop my head off folks
[1:57:40.560 --> 1:57:42.560]  it's fine I'll be in Jesus' arms
[1:57:42.560 --> 1:58:10.560]  right back
[1:58:10.560 --> 1:58:15.560]  on
[1:58:15.560 --> 1:58:38.560]  the
[1:58:38.560 --> 1:58:47.120]  cellular, Wi-Fi, Bluetooth, RFID, camera, EMP, weather, and even GPS today.
[1:58:47.120 --> 1:58:52.640]  I designed over 200 t-shirts the last 25 years, and we have some of those original designs
[1:58:52.640 --> 1:58:54.960]  still for sale at infoworkstore.com.
[1:58:54.960 --> 1:58:55.960]  These are real classics.
[1:58:55.960 --> 1:59:00.760]  But, ladies and gentlemen, they're all about to be limited edition because we're selling
[1:59:00.760 --> 1:59:01.960]  out of them.
[1:59:01.960 --> 1:59:06.720]  They're about to be history, and we're selling out of the hoodies, the ball caps, the t-shirts,
[1:59:06.720 --> 1:59:12.160]  all these amazing designs at cost infoworkstore.com, except for this fundraiser shirt that is
[1:59:12.160 --> 1:59:13.680]  a real hit, and people love it.
[1:59:13.680 --> 1:59:14.680]  It's $24.95.
[1:59:14.680 --> 1:59:18.600]  Alex Jones is right on the front, the Red Thunderbolt, and then again, on the back,
[1:59:18.600 --> 1:59:20.600]  a big bolt, infowars.com.
[1:59:20.600 --> 1:59:25.560]  Exercise your First Amendment, don't let the leftist and the globalist bully silence you
[1:59:25.560 --> 1:59:28.200]  and fund the info war at the same time.
[1:59:28.200 --> 1:59:32.560]  There is not a more politically incorrect shirt that sends a stronger message of freedom,
[1:59:32.560 --> 1:59:36.920]  resistance to the new world order than the Alex Jones was right shirt, exclusively available
[1:59:36.920 --> 1:59:37.920]  at infowarsstore.com.
[1:59:37.920 --> 1:59:41.160]  And again, this shirt is limited edition as well.
[1:59:41.160 --> 1:59:45.560]  We're doing one more run, and then no more, infowarsstore.com.
[1:59:45.560 --> 2:00:11.560]  Here's today.
[2:00:11.560 --> 2:00:19.560]  A lot of people can be made to enjoy a state of affairs, which by any decent standard,
[2:00:19.560 --> 2:00:21.560]  they ought not to enjoy.
[2:00:21.560 --> 2:00:24.560]  I have sure better starve from the beginning.
[2:00:24.560 --> 2:00:29.560]  I have sure better starve from the beginning.
[2:00:29.560 --> 2:00:35.560]  I have sure better starve from the beginning.
[2:00:35.560 --> 2:00:40.560]  Too many kids are what's making the planet worse.
[2:00:40.560 --> 2:00:43.560]  A lot of these kids come from bad gene pools.
[2:00:43.560 --> 2:00:47.560]  They don't have stable parents making good decisions.
[2:00:47.560 --> 2:00:53.560]  Mercury-containing vaccines may help not harm kids according to two new studies in the journal
[2:00:53.560 --> 2:00:54.560]  Pediatric.
[2:00:54.560 --> 2:00:58.560]  These new studies suggest that the opposite, that the preservatives may actually be associated
[2:00:58.560 --> 2:01:01.560]  with improved behavior and mental performance.
[2:01:01.560 --> 2:01:06.560]  A ride in water is supposed to fight tooth decay, but could it also cause cancer?
[2:01:06.560 --> 2:01:11.560]  Now the government had the right under U.S. law to conduct secret testing on the American public
[2:01:11.560 --> 2:01:13.560]  under a specific condition.
[2:01:13.560 --> 2:01:17.560]  I have to work the dark side over the last 10 times in the shadows.
[2:01:17.560 --> 2:01:21.560]  Any attempt to achieve world order must be the work of the devil.
[2:01:21.560 --> 2:01:25.560]  Well, join me, and I'm glad to sit here at the right hand to see.
[2:01:25.560 --> 2:01:28.560]  There's a need for a new world order.
[2:01:28.560 --> 2:01:33.560]  Someday, in the next few years,
[2:01:33.560 --> 2:01:36.560]  the solution will emerge.
[2:02:03.560 --> 2:02:08.560]  This is the end of this video.
[2:02:38.560 --> 2:03:06.760]  I am now completely banned.
[2:03:06.760 --> 2:03:14.840]  I want them shut down, I want them silent, I want them muted, I think they are horrible
[2:03:14.840 --> 2:03:15.840]  for our society.
[2:03:15.840 --> 2:03:17.840]  These people aren't terrifying or anything.
[2:03:17.840 --> 2:03:22.400]  There's also guys on CNN that spend their whole day calling Facebook and saying, can
[2:03:22.400 --> 2:03:23.680]  you ban this person?
[2:03:23.680 --> 2:03:27.680]  These are very extreme individuals and no matter what anyone tells you, they are extremists
[2:03:27.680 --> 2:03:30.920]  and that's why Facebook decided to get rid of them.
[2:03:30.920 --> 2:03:34.720]  Basically they've deemed these individuals to be dangerous is what Facebook is saying.
[2:03:34.720 --> 2:03:38.320]  Those individuals include people like right-wing conspiracy theorist Alex Jones.
[2:03:38.320 --> 2:03:43.640]  Organizations like Media Matters have pointed out consistently how Alex Jones and other
[2:03:43.640 --> 2:03:50.200]  info wars pages had just simply circumvented any ban by starting a different account or
[2:03:50.200 --> 2:03:51.200]  going on Instagram.
[2:03:51.200 --> 2:03:55.440]  If you don't like someone on Facebook, don't follow them, it's not that hard to figure
[2:03:55.440 --> 2:03:56.440]  out.
[2:03:56.440 --> 2:03:59.400]  Facebook, are you going to do something about the liberals who call me the n-word?
[2:03:59.400 --> 2:04:03.840]  No, because big tech is only interested in going after conservatives.
[2:04:03.840 --> 2:04:05.440]  You know, the really dangerous ones.
[2:04:05.440 --> 2:04:08.520]  Dangerous as in saying things that Mark Zuckerberg doesn't like.
[2:04:08.520 --> 2:04:13.000]  President Trump retweeted Paul Joseph Watson twice and a brief video by Infowars Millie
[2:04:13.000 --> 2:04:17.560]  Weaver, social media's hall monitor, Frank Stelter, was not very happy about it.
[2:04:17.560 --> 2:04:21.040]  He is promoting the same alternative universe as Infowars.
[2:04:21.040 --> 2:04:25.240]  Back to your point though about the Infowars presidency, I want to know and I tweeted this
[2:04:25.240 --> 2:04:29.320]  all the day, what is the difference right at this point between Trump's Twitter feed
[2:04:29.320 --> 2:04:31.000]  and infowars.com?
[2:04:31.000 --> 2:04:33.680]  Infowars content is useful to him.
[2:04:33.680 --> 2:04:35.920]  Infowars personalities align with them.
[2:04:35.920 --> 2:04:39.920]  I want them shut down, I want them silenced, I want them muted, I think they are horrible
[2:04:39.920 --> 2:04:40.920]  for our society.
[2:04:40.920 --> 2:04:45.400]  I want them shut down, I want them silenced, I want them muted.
[2:04:45.400 --> 2:04:53.080]  Don't worry, these people aren't terrifying or anything.
[2:04:53.080 --> 2:04:58.920]  Infowars, the most banned network in the world.
[2:04:58.920 --> 2:05:03.920]  Ladies and gentlemen, Ultra 12, the highest quality B12 you are going to find on the market,
[2:05:03.920 --> 2:05:08.200]  has been sold out for many months but now it's back in stock at infowars.com.
[2:05:08.200 --> 2:05:13.120]  Now in the next 45 seconds, I don't have time to get into vitamin B12 but do your own research
[2:05:13.120 --> 2:05:19.760]  and realize when it is organic, high quality vitamin B12, it energizes every other vitamin
[2:05:19.760 --> 2:05:23.760]  mineral in your body and all of your hormones and so much more.
[2:05:23.760 --> 2:05:25.440]  Ultra 12 is incredible.
[2:05:25.440 --> 2:05:29.720]  You take it out of the tongue, so it's better absorption into your body and it is a game
[2:05:29.720 --> 2:05:30.720]  changer.
[2:05:30.720 --> 2:05:37.200]  Infowarsstore.com has Ultra 12 back in stock and despite the fact it's back in stock, despite
[2:05:37.200 --> 2:05:41.920]  the fact it's sold very quickly, it is 40% off for a limited time.
[2:05:41.920 --> 2:05:48.920]  So at now, find the info war, experience the purest, highest quality B12 now at infowarsstore.com
[2:05:48.920 --> 2:05:53.760]  or call toll free, triple eight, two five, three three one three nine, thank you all for
[2:05:53.760 --> 2:05:54.760]  your support.
[2:05:54.760 --> 2:06:01.760]  Now take action and get your bottle of Ultra 12.
[2:06:01.760 --> 2:06:16.760]  From the front lines, from the front lines of the information war, it's Alex Jones.
[2:06:16.760 --> 2:06:26.760]  And there's nowhere I want to be better than the front lines of the information war.
[2:06:26.760 --> 2:06:27.760]  He's making some really good points.
[2:06:27.760 --> 2:06:32.480]  We'll go back to him and then everybody in the order their calls are received here on
[2:06:32.480 --> 2:06:34.360]  this live Friday the 13th transmission.
[2:06:34.360 --> 2:06:37.200]  All right, go ahead.
[2:06:37.200 --> 2:06:38.200]  He just dropped.
[2:06:38.200 --> 2:06:39.200]  I was going right back to him.
[2:06:39.200 --> 2:06:40.200]  Okay.
[2:06:40.200 --> 2:06:41.200]  Well, that's all right.
[2:06:41.200 --> 2:06:42.200]  Good to have you call.
[2:06:42.200 --> 2:06:43.200]  Appreciate that.
[2:06:43.200 --> 2:06:44.200]  Daniel in North Carolina.
[2:06:44.200 --> 2:06:45.200]  Daniel, welcome.
[2:06:45.200 --> 2:06:51.680]  Hey, Alex, I wanted to start off first by thanking you for coming in and bringing the
[2:06:51.680 --> 2:06:53.560]  truth every day.
[2:06:53.560 --> 2:06:57.840]  And even if that's what God called God called you to do and that's your self preservation,
[2:06:57.840 --> 2:07:01.800]  you made the choice to crawl through it every day and I appreciate that and we all need
[2:07:01.800 --> 2:07:02.800]  it.
[2:07:02.800 --> 2:07:03.800]  You're the only one we can come to.
[2:07:03.800 --> 2:07:05.200]  Well, God bless you brother.
[2:07:05.200 --> 2:07:09.040]  I want you to know that being through this has been great actually.
[2:07:09.040 --> 2:07:12.880]  It's been painful, but it's made me a better man so I want listeners to know persecution
[2:07:12.880 --> 2:07:16.440]  when we're doing the right thing only becomes sweet in the end.
[2:07:16.440 --> 2:07:18.960]  It's it's it's it's it's better sweet brother.
[2:07:18.960 --> 2:07:22.200]  So I get to talk to you and to talk to so many other beautiful souls.
[2:07:22.200 --> 2:07:28.480]  So I appreciate you Daniel from my topic today will be cultural appropriation.
[2:07:28.480 --> 2:07:33.520]  I vote that it's a good thing that it forged generational peace treaties in the past and
[2:07:33.520 --> 2:07:37.160]  that's the only way the different cultures and ethnicities would know what they know
[2:07:37.160 --> 2:07:38.600]  about each other today.
[2:07:38.600 --> 2:07:42.520]  That's what the melting pot is exactly and they're saying the melting pots bad because
[2:07:42.520 --> 2:07:46.520]  they don't want us to come together and that's the only way we can do it.
[2:07:46.520 --> 2:07:50.360]  If they got friends in high places, we need friends in low places and they don't want
[2:07:50.360 --> 2:07:53.200]  us to do that do that.
[2:07:53.200 --> 2:07:54.800]  That's beautiful brother.
[2:07:54.800 --> 2:07:57.120]  What else is on your mind?
[2:07:57.120 --> 2:07:59.080]  Well, oh, I thought on news.
[2:07:59.080 --> 2:08:01.400]  I haven't heard it from y'all today.
[2:08:01.400 --> 2:08:04.560]  Some Russian ships apparently acquired Ukrainian grain.
[2:08:04.560 --> 2:08:08.400]  They've been shipping it around, but they've been denied port to port to port.
[2:08:08.400 --> 2:08:12.880]  I didn't see that and I think I see you guys in video, I forgot to ask for it on the list
[2:08:12.880 --> 2:08:16.640]  in China and all over the world, a caller called in about this yesterday, so I looked
[2:08:16.640 --> 2:08:17.640]  it up.
[2:08:17.640 --> 2:08:19.120]  I mean, I'd seen it, but it was a big deal.
[2:08:19.120 --> 2:08:20.480]  I should have made a big deal about it.
[2:08:20.480 --> 2:08:24.840]  Did you know they're blocking African food because African produces a lot, Latin American
[2:08:24.840 --> 2:08:26.720]  food and a bunch of others.
[2:08:26.720 --> 2:08:29.160]  And as you said, claiming it has COVID.
[2:08:29.160 --> 2:08:35.720]  So they test the lettuce, which is a false test, you know, it's like the Zimbabwe president.
[2:08:35.720 --> 2:08:42.160]  Remember, he tested a donkey and three different fruits and papaya and some other fruit and
[2:08:42.160 --> 2:08:45.120]  they're like a vegetable and they all came up false positive.
[2:08:45.120 --> 2:08:47.920]  They're blocking food shipments claiming it has COVID.
[2:08:47.920 --> 2:08:51.080]  I mean, it's insane.
[2:08:51.080 --> 2:08:54.720]  Well, it probably won't last much longer.
[2:08:54.720 --> 2:08:59.200]  I'm pretty sure most people are tired of it.
[2:08:59.200 --> 2:09:00.200]  We are brother.
[2:09:00.200 --> 2:09:01.200]  God bless you, Daniel.
[2:09:01.200 --> 2:09:02.200]  Yeah, let's roll this.
[2:09:02.200 --> 2:09:06.440]  I think this is Chinese, but I've got the news articles where China is testing the food,
[2:09:06.440 --> 2:09:08.720]  won't feed people and saying it has COVID.
[2:09:08.720 --> 2:09:11.840]  I mean, well, a virus dies in seconds in the sun.
[2:09:11.840 --> 2:09:15.280]  The damn head of lettuce don't have COVID.
[2:09:15.280 --> 2:09:20.640]  But I mean, it's all about shutting everything down.
[2:09:20.640 --> 2:09:21.640]  You'll have nothing.
[2:09:21.640 --> 2:09:22.640]  You'll own nothing.
[2:09:22.640 --> 2:09:24.480]  They told you, go ahead and go ahead and play with audio.
[2:09:24.480 --> 2:09:25.480]  Here it is.
[2:09:25.480 --> 2:09:38.960]  He's in his radio listeners.
[2:09:38.960 --> 2:09:40.960]  He's in his stupid hazmat suit.
[2:09:40.960 --> 2:09:46.360]  He's got a communist armband on and he's testing ahead of lettuce.
[2:09:46.360 --> 2:09:47.440]  He's got a cucumber there.
[2:09:47.440 --> 2:09:49.880]  He's been tested as well.
[2:09:49.880 --> 2:09:50.880]  And celery.
[2:09:50.880 --> 2:09:51.880]  There's nothing more evil.
[2:09:51.880 --> 2:09:56.680]  And he goes, oh my gosh, it's COVID positive.
[2:09:56.680 --> 2:10:00.800]  Again, COVID's real, folks, but it's not your lettuce.
[2:10:00.800 --> 2:10:03.320]  How do you say, God?
[2:10:03.320 --> 2:10:08.640]  How do you say, God?
[2:10:08.640 --> 2:10:10.160]  This is all a political hysteria.
[2:10:10.160 --> 2:10:13.840]  It distracts you from what the globalists are doing.
[2:10:13.840 --> 2:10:16.800]  And they're bringing the medical ID, they're tracking everything you do, that's all this
[2:10:16.800 --> 2:10:17.800]  is.
[2:10:17.800 --> 2:10:22.800]  Oh, look, the head of lettuce is positive for COVID.
[2:10:22.800 --> 2:10:26.680]  You can't trust anybody but the government and the big corporations that are raping you.
[2:10:26.680 --> 2:10:30.360]  You can't have children, they can't.
[2:10:30.360 --> 2:10:35.880]  You can't fly on a public plane, they can fly private.
[2:10:35.880 --> 2:10:39.040]  And next he moves on to the evil zucchini.
[2:10:39.040 --> 2:10:46.440]  Yeah, Tanzanian president, they killed him right after this, he's a medical doctor.
[2:10:46.440 --> 2:10:53.320]  Kids coronavirus, kids after animal test, goat, sheep, a bunch of fruits and vegetables,
[2:10:53.320 --> 2:10:56.840]  they all came up positive, it's all BS.
[2:10:56.840 --> 2:11:01.400]  Africa has the lowest COVID death rate because they won't take the shots.
[2:11:01.400 --> 2:11:07.400]  Meanwhile, in China, they are in full martial law, but they don't wear military uniforms.
[2:11:07.400 --> 2:11:12.960]  They wear the white bunny suits.
[2:11:12.960 --> 2:11:14.520]  Unbelievable garbage.
[2:11:14.520 --> 2:11:19.960]  Okay, taking calls who are the received, Kevin in Pennsylvania, welcome Kevin.
[2:11:19.960 --> 2:11:21.960]  Hello, can you hear me?
[2:11:21.960 --> 2:11:23.960]  I can brother, go ahead.
[2:11:23.960 --> 2:11:31.760]  Hey man, man, I love you man, you're everything man, I listen to you every day.
[2:11:31.760 --> 2:11:40.760]  First of all, I'd like to say, I listen to your show by a 605-475-5800 every day.
[2:11:40.760 --> 2:11:46.400]  I get on there and I listen when you come out, Verizon blocked my car from the cell
[2:11:46.400 --> 2:11:52.720]  phone, I'm hiking the Appalachian Trail and I'm at a quality end right at the moment.
[2:11:52.720 --> 2:11:56.240]  When you prayed earlier, that was awesome.
[2:11:56.240 --> 2:12:02.400]  And the globalists and these guys that are trying to kill us all, remember, they got
[2:12:02.400 --> 2:12:06.400]  the scorched earth, they got no one to answer to now.
[2:12:06.400 --> 2:12:09.920]  Once they take us out, they got no one to answer to.
[2:12:09.920 --> 2:12:12.120]  I don't put anything beyond them.
[2:12:12.120 --> 2:12:20.720]  My mother tried to wake me up a long time ago and it was you man and AI and Joe Biggs.
[2:12:20.720 --> 2:12:25.840]  They are January 6th, Ashley Barrett, Joe Biggs.
[2:12:25.840 --> 2:12:31.800]  They need to let these people out and you release them and I can't believe that this
[2:12:31.800 --> 2:12:33.720]  has went on like this.
[2:12:33.720 --> 2:12:37.920]  You're right, they're political prisoners and if we don't stand up, people like Joe
[2:12:37.920 --> 2:12:42.600]  Biggs, we are all going to be Joe Biggs, we're all going to be people like Stuart Rhodes
[2:12:42.600 --> 2:12:43.600]  who they totally set up.
[2:12:43.600 --> 2:12:47.160]  I don't believe anything they say because in filings against us, they just tell total
[2:12:47.160 --> 2:12:48.160]  lies.
[2:12:48.160 --> 2:12:51.960]  They say Owen attacked the Capitol, Owen doesn't work at Info Wars, he's indicted.
[2:12:51.960 --> 2:12:56.600]  I don't believe a damn thing they say, Kevin.
[2:12:56.600 --> 2:12:57.600]  Exactly.
[2:12:57.600 --> 2:13:05.800]  And I know two people, I'm from, I'm in Pennsylvania, the voter capital of the world, a voter fraud
[2:13:05.800 --> 2:13:13.960]  capital of the world, but I'm from West Tennessee and I know two people who got the shot exactly
[2:13:13.960 --> 2:13:18.200]  14 days later, they had heart attacks, they're still alive.
[2:13:18.200 --> 2:13:22.320]  I know another guy, he's a bodybuilder.
[2:13:22.320 --> 2:13:27.200]  He took the shot two weeks later, he dropped dead and I'm not ready.
[2:13:27.200 --> 2:13:35.280]  I can't release this now, but let's say there's the top five bodybuilders in history.
[2:13:35.280 --> 2:13:40.440]  Arnold Schwarzenegger, Frank Zane, those names are up there.
[2:13:40.440 --> 2:13:47.000]  But it's a younger, no he's not young, but he's came after them, but he's the top guy.
[2:13:47.000 --> 2:13:49.520]  The top, I said his name, everybody would know it.
[2:13:49.520 --> 2:13:57.480]  He took, he's, he's, well I'm not going to say any more, he's a medical doctor.
[2:13:57.480 --> 2:14:02.440]  He took the second Pfizer shot and has blood clots for six months and his legs of atrophied
[2:14:02.440 --> 2:14:07.720]  and he might die.
[2:14:07.720 --> 2:14:08.960]  That's what we're talking about here.
[2:14:08.960 --> 2:14:11.240]  Thank you, brother, I appreciate your call.
[2:14:11.240 --> 2:14:18.720]  This is not a joke because I know this person.
[2:14:18.720 --> 2:14:25.240]  I was out in California with him a couple months ago and he was already sick from it,
[2:14:25.240 --> 2:14:31.080]  but you get it, he's tough guy, he can take it, you want to be able to go to all the events
[2:14:31.080 --> 2:14:36.360]  in the Arnold Classic and now he might have to get his legs cut off.
[2:14:36.360 --> 2:14:47.920]  Listen to game, we're going to go to break, Dylan and Lee and Brandon and Chad and Malto
[2:14:47.920 --> 2:14:51.920]  meal and we're going to continue to call so we can open the phones back up and we'll
[2:14:51.920 --> 2:14:57.360]  take more of your calls at 877-789-2539-877-789 Alex.
[2:14:57.360 --> 2:15:00.240]  The crew knows to put like 20 calls on the board and then just stop there.
[2:15:00.240 --> 2:15:03.600]  We're going to have time to get to more people, more of your calls, we'll take a few more
[2:15:03.600 --> 2:15:06.560]  after that as well.
[2:15:06.560 --> 2:15:13.920]  But yeah, I mean, they've had a 50,000% was the number I saw increase in heart attacks
[2:15:13.920 --> 2:15:18.520]  and microcarditis, heart swelling in football players and soccer players and basketball
[2:15:18.520 --> 2:15:20.720]  players and just everybody.
[2:15:20.720 --> 2:15:28.080]  It creates blood clots in the body and remember, Pfizer pulled out of a deal with India after
[2:15:28.080 --> 2:15:32.000]  India wanted to get vaccine independently medically checked.
[2:15:32.000 --> 2:15:37.000]  Meanwhile, kindergartners are being given assignments as mainstream news to masturbate
[2:15:37.000 --> 2:15:38.080]  at home.
[2:15:38.080 --> 2:15:41.040]  This disgusting madness has to stop.
[2:15:41.040 --> 2:15:43.760]  Calvin Klein hires pregnant man for new campaign.
[2:15:43.760 --> 2:15:47.680]  Well, won't be buying any Calvin Klein.
[2:15:47.680 --> 2:15:51.960]  I mean, it's just full on assault on reality because they're selling his tyranny.
[2:15:51.960 --> 2:15:57.840]  Well, they're right back, stay with us.
[2:15:57.840 --> 2:15:59.200]  You see this?
[2:15:59.200 --> 2:16:04.400]  It's an info wars, republic defense card with original info wars art designed by yours truly
[2:16:04.400 --> 2:16:09.520]  with a little gold bar implanted in it and on the back, it's got a hologram.
[2:16:09.520 --> 2:16:14.240]  There are only 25,000 of these in existence and they'll never be made again.
[2:16:14.240 --> 2:16:18.080]  The bank that owns the men that has started putting these out the last few years just
[2:16:18.080 --> 2:16:24.160]  sold out of 300,000 of a similar offering that was 40% more than we're selling this
[2:16:24.160 --> 2:16:25.160]  for.
[2:16:25.160 --> 2:16:29.080]  If you hear more, you can get these at 50% off and they fund the info war.
[2:16:29.080 --> 2:16:33.960]  Please visit infowarstore.com and check out this amazing new art slash gold product.
[2:16:33.960 --> 2:16:38.080]  It's a collector's item and you'll know you help fund the second American revolution against
[2:16:38.080 --> 2:16:40.200]  the globalist at such a critical point.
[2:16:40.200 --> 2:16:45.200]  Get your gold bars and so much more exclusively at infowarstore.com and I want to thank you
[2:16:45.200 --> 2:16:49.160]  for your support over the years because without you, all of the great success we have had
[2:16:49.160 --> 2:16:50.760]  together would not have happened.
[2:16:50.760 --> 2:16:54.320]  We are the tip of the spear, you are the tip of the spear and I salute you and thank you.
[2:16:54.320 --> 2:16:56.320]  This is infowarstore.com today.
[2:16:56.320 --> 2:17:01.560]  It's time to show them what a real alpha male looks like with one of our most powerful
[2:17:01.560 --> 2:17:04.120]  products ever made, Alpha Power.
[2:17:04.120 --> 2:17:07.640]  As you age, your body can lose testosterone over time.
[2:17:07.640 --> 2:17:11.960]  With the incredible ingredients in this formula, we can help you beat the test of time and
[2:17:11.960 --> 2:17:16.680]  assist in restoring that lost energy and blue that comes with time and age.
[2:17:16.680 --> 2:17:21.000]  Alpha Power's incredible ingredients can help you boost your sports performance or enhance
[2:17:21.000 --> 2:17:26.840]  your day-to-day life with ease while encouraging hormonal balance, perfect by itself or with
[2:17:26.840 --> 2:17:30.600]  super male vitality in the true alpha male pack.
[2:17:30.600 --> 2:17:35.720]  Alpha Power can help boost performance, help maintain normal testosterone levels, support
[2:17:35.720 --> 2:17:37.720]  healthy cholesterol and more.
[2:17:37.720 --> 2:17:41.480]  Let Alpha Power help bring you to the peak of your optimal health.
[2:17:41.480 --> 2:17:44.560]  Don't fall short on energy in the fight against tyranny.
[2:17:44.560 --> 2:17:48.640]  Show the world what a true alpha male looks like today with Alpha Power.
[2:17:48.640 --> 2:17:57.440]  Head to infowarstore.com today.
[2:17:57.440 --> 2:18:02.280]  The newest product from InfoWarsLife is now available exclusively at infowarstore.com.
[2:18:02.280 --> 2:18:07.920]  It is concentrated known herbs and compounds that will supercharge your body's natural
[2:18:07.920 --> 2:18:12.960]  defenses, your immune system, while at the same time, funding the info war.
[2:18:12.960 --> 2:18:17.480]  Our immune systems have always been critical, but in this globalist era, with all the criminal
[2:18:17.480 --> 2:18:21.920]  activity they're involved in, it is more important than ever to take the tools God gave us and
[2:18:21.920 --> 2:18:24.120]  supercharge our immune systems.
[2:18:24.120 --> 2:18:29.920]  InfoWarsLife immune support is a game changer, and everyone out there that wants to be healthy
[2:18:29.920 --> 2:18:33.560]  and wants to boost your natural defenses should get it today.
[2:18:33.560 --> 2:18:38.720]  Out of the gates is 25% off at infowarstore.com, and a lot of other great products that boost
[2:18:38.720 --> 2:18:43.960]  your immune system as well, but this one is the very strongest we've got, so anybody out
