[00:00:06.405 --> 00:00:09.189]  Well, here we are ladies and gentlemen in the year 2022.
[00:54:35.079 --> 00:54:38.242]  So as much as they try to hide the truth, they can't.
[00:54:38.242 --> 00:54:44.407]  The judicial branch of government serving as an effective bulwark against leftist tyranny from the other two branches.
[00:54:44.407 --> 00:54:49.752]  Special election for two vacant Senate seats in Georgia last January was devastating to the conservative movement in America.
[00:54:49.752 --> 00:54:53.476]  Both seats flipped blue, resulting in a 50-50 split.
[00:54:53.476 --> 00:54:54.477]  But then as you'll see,
[00:54:58.680 --> 00:55:05.025]  That was the furthest left, but the court ruled against Biden's attempt to shut down Trump's Remain-in-Mexico immigration policy.
[00:55:05.025 --> 00:55:11.390]  Federal courts have knocked down various provisions of Biden's tyrannical vaccine mandates, and SCOTUS will be addressing the matter as well.
[00:55:11.390 --> 00:55:18.556]  But that remains to be seen, because I don't know about you guys, but it's a little bit nerve-wracking with what the Supreme Court's going to
[00:55:19.116 --> 00:55:19.616]  Gonna do.
[00:55:19.616 --> 00:55:22.817]  I don't know that we can fully trust them at this point.
[00:55:22.817 --> 00:55:25.298]  And then it says number... Did I miss one?
[00:55:25.298 --> 00:55:27.999]  I feel like I missed one.
[00:55:27.999 --> 00:55:28.980]  Let me see real quick.
[00:55:28.980 --> 00:55:29.900]  Sorry.
[00:55:29.900 --> 00:55:30.480]  Oh, four.
[00:55:30.480 --> 00:55:31.401]  Yeah, no, I didn't.
[00:55:31.401 --> 00:55:32.361]  The Judicial Grants.
[00:55:32.361 --> 00:55:34.142]  And then number three, we're entering an election year.
[00:55:35.939 --> 00:55:42.047]  Since we're talking about Republicans, I mean, we've seen already some victories in this past election.
[00:55:42.047 --> 00:55:47.915]  And then, I mean, I don't know how anyone could vote for more of what we've been enduring.
[00:55:47.915 --> 00:55:52.381]  But I guess you just never know, especially since we have to have faith in our election system.
[00:55:52.381 --> 00:55:53.523]  But there is reason to have hope.
[00:55:54.143 --> 00:55:56.005]  And I mean, we have Ron DeSantis definitely getting an award.
[00:56:15.537 --> 00:56:18.719]  Number one, because what other choice do we have but to have hope?
[00:56:18.719 --> 00:56:21.341]  That's a nice way to end it.
[00:56:21.341 --> 00:56:22.782]  What other choice do we have?
[00:56:22.782 --> 00:56:25.324]  But I think that there's always reason to have hope.
[00:56:25.324 --> 00:56:28.186]  There is the other verse, a hope deferred makes the heart sick.
[00:56:28.186 --> 00:56:31.448]  At times I think many of us are battling that feeling, sick.
[00:56:31.448 --> 00:56:32.649]  You know, what is going on?
[00:56:32.649 --> 00:56:34.350]  What are we going to find out next?
[00:56:34.350 --> 00:56:36.451]  Are we in the last days?
[00:56:36.451 --> 00:56:39.073]  Definitely true, hope deferred makes the heart sick.
[00:56:39.073 --> 00:56:43.376]  But we know who the final say is, and we know that God wins in the end.
[00:56:44.276 --> 00:56:49.880]  So, then I was reading this article that I thought was satire at first, but it's actually not.
[00:56:49.880 --> 00:56:50.620]  It's from the Hill.
[00:56:50.620 --> 00:56:51.821]  Let's be honest, 2021 wasn't all bad.
[00:56:54.953 --> 00:56:56.995]  The economy is humming, they say.
[00:56:56.995 --> 00:56:59.517]  Unemployment rate down 4.2%.
[00:56:59.517 --> 00:57:14.929]  They talk about inflation going down and that since interest rates will surely be raised maybe twice or three times, that's going to get even better with no context of what that does to the entire economy and to our money as a whole.
[00:57:14.929 --> 00:57:22.695]  And then it even has this whole section on, wait till you see this, a scandal-free Biden administration.
[00:57:23.775 --> 00:57:25.737]  That's the way it should be, but isn't always.
[00:57:25.737 --> 00:57:31.181]  Think back four years ago, the Trump administration looked more like the Godfather without the skill.
[00:57:31.181 --> 00:57:33.503]  A scandal-free Biden administration?
[00:57:33.503 --> 00:57:35.965]  This whole thing has been a scandal.
[00:57:35.965 --> 00:57:43.611]  Maybe that's because The Hill was reporting on fake and phony news of a Russian collusion hoax and making up scandals.
[00:57:43.611 --> 00:57:46.434]  There's no scandal because you're not reporting on the scandals!
[00:57:50.908 --> 00:57:52.569]  This is a great sponsor.
[00:57:52.569 --> 00:57:57.992]  We have one of the best deals you're going to find out there on a high-quality, high-rated satellite phone.
[00:57:57.992 --> 00:58:02.654]  So you can't be tracked, you can't be traced, and it'll work anywhere in the world where you can see the sky.
[00:58:02.654 --> 00:58:07.016]  You can also buy cheap antennas and things for in your car or in your house that also are on the site.
[00:58:07.016 --> 00:58:08.917]  Infowarsphone.com.
[00:58:08.917 --> 00:58:10.418]  That's just a site that takes you to these folks.
[00:58:10.418 --> 00:58:13.279]  They supply the board for everybody with their systems as well.
[00:58:13.279 --> 00:58:15.981]  They're amazing folks, and you get a free phone at $650 value.
[00:58:15.981 --> 00:58:16.541]  Absolutely free.
[00:58:19.302 --> 00:58:23.645]  Smartphones are always tracking everything you do.
[00:58:23.645 --> 00:58:24.105]  These aren't.
[00:58:24.105 --> 00:58:26.087]  And the calls are free when folks call you.
[00:58:26.087 --> 00:58:30.870]  You just pay $99.95 a month for your minutes, 150 minutes.
[00:58:30.870 --> 00:58:32.050]  So the calls here are free.
[00:58:32.050 --> 00:58:33.211]  Works like a regular cell phone.
[00:58:33.211 --> 00:58:34.512]  You're not being tracked or traced.
[00:58:34.512 --> 00:58:35.813]  And I keep one in my car.
[00:58:35.813 --> 00:58:37.654]  I've given them to my parents as gifts.
[00:58:37.654 --> 00:58:40.055]  Way out in the middle of nowhere where regular phones don't work, they work.
[00:58:40.055 --> 00:58:41.036]  Infowarsphone.com or 941-955-1020.
[00:58:41.036 --> 00:58:42.137]  941-955-1020 and ask the Alex Jones Special.
[00:58:49.361 --> 00:58:56.766]  Ultimate Bone Broth is back and better than ever and 20% off plus free shipping and double Patriot points for our new sale.
[00:58:56.766 --> 00:59:03.911]  After years of being off the shelves, we're bringing back one of the biggest fan favorite formulas ever and it's now been reformulated and is even stronger.
[00:59:03.911 --> 00:59:05.792]  It's Ultimate Bone Broth Plus.
[00:59:06.432 --> 00:59:15.458]  It's got concentrated high-quality chicken broth protein, turmeric root that's so amazing, chaga mushroom, bee pollen, goji berry, alfalfa herb powder.
[00:59:15.458 --> 00:59:19.101]  Then it's got added magnesium and potassium for electrolytes.
[00:59:19.101 --> 00:59:25.625]  It's got real organic cocoa bean powder with natural chocolate flavor and a touch of sea salt.
[00:59:25.625 --> 00:59:27.566]  It even tastes better than the last formula.
[00:59:27.566 --> 00:59:30.048]  And what it does for your body is simply amazing.
[00:59:30.048 --> 00:59:31.429]  Again, it has that cutting edge.
[00:59:31.909 --> 00:59:37.491]  Chicken broth, protein, isolate powder for better flavor and dissolvability.
[00:59:37.491 --> 00:59:41.633]  You're gonna love this and what it does for your joints, what it does for your body, what it does for your bones.
[00:59:41.633 --> 00:59:44.414]  It's simply amazing and it helps fund the InfoWar.
[00:59:44.414 --> 00:59:50.396]  This is really the best bone broth out there, so get yours at InfoWarStore.com today.
[00:59:50.396 --> 00:59:56.278]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:00:09.949 --> 01:00:14.093]  Welcome back to InfoWars, Christi Lee, happy to be guest hosting today.
[01:00:14.093 --> 01:00:23.403]  Here's my verse of the day, guide me in your truth and teach me for you are God my Savior and my hope is in you all day long.
[01:00:23.403 --> 01:00:27.187]  As we're searching for truth, as we're exposing truth, it's important to
[01:00:28.368 --> 01:00:41.117]  Stay centered, stay balanced, make sure that we're looking to the truth, truth personified, to make sure that we're always checking ourselves, you know, because the Bible also says the heart is deceitful above all things.
[01:00:41.117 --> 01:00:48.522]  So I want to make sure I'm open minded enough to understand that there might be things that I'm deceived about, that my heart is deceived about.
[01:00:48.522 --> 01:00:58.068]  I think that's so important to keep that open mind because the alternative is the folks that we're fighting right now that are under mass formation psychosis.
[01:01:00.049 --> 01:01:07.092]  You can't even break the lies that they've been told because they are so convinced that that is the truth.
[01:01:07.092 --> 01:01:13.535]  So let's make sure that we keep ourselves open to truth revealed and then also exposing the truth.
[01:01:14.477 --> 01:01:17.778]  All that's true coming out in 2022.
[01:01:17.778 --> 01:01:20.499]  That's what I'm saying and that's what I'm hoping for.
[01:01:20.499 --> 01:01:26.962]  And just want to remind you that you are going to want to stick around today because Harrison Smith will be doing SNL tonight.
[01:01:26.962 --> 01:01:29.163]  So just want to make sure that you are aware of that.
[01:01:29.163 --> 01:01:36.666]  He will be taking over for SNL and I'm hoping to get an interview in here in this hour, but we'll see.
[01:01:37.406 --> 01:01:38.807]  We'll see.
[01:01:38.807 --> 01:01:44.610]  And also remind you that you can be sharing this whole concept of mass formation psychosis.
[01:01:44.610 --> 01:01:49.173]  You can find the article about how this is picking up steam on InfoWars.com.
[01:01:49.173 --> 01:01:55.497]  It has a really nice comprehensive look, a clip from Joe Rogan and Dr. Robert Malone talking about this concept.
[01:01:55.497 --> 01:01:57.218]  You can share that article.
[01:01:57.218 --> 01:02:01.701]  You can also share the highlights of my interview with Dr. Robert Malone.
[01:02:01.701 --> 01:02:03.162]  That is up on Band.Video.
[01:02:03.162 --> 01:02:06.924]  And we're actually going to be playing Part 2 of that.
[01:02:07.985 --> 01:02:13.469]  In the next segment, so don't miss that if you haven't had a chance to see all this.
[01:02:13.469 --> 01:02:27.481]  Like Alex was saying earlier, there are things that Dr. Robert Malone revealed in his interview with Joe Rogan that he and I didn't really get to, but there are actually other things that he and I talked about that he did not reveal or get into with Joe Rogan.
[01:02:27.481 --> 01:02:32.025]  So if you really want the full experience, make sure you watch, take the time to watch all of that.
[01:02:32.825 --> 01:02:33.846]  And you know where to find it.
[01:02:33.846 --> 01:02:46.692]  And make sure you share, share, share, because Free World News TV is always a great one where you can get on Facebook and Twitter, share these informations and they won't, they haven't really caught on to censoring those.
[01:02:46.692 --> 01:02:53.275]  And make sure that you're staying up on all the information yourself so that you are not deceived.
[01:02:53.275 --> 01:02:58.738]  So, I wanted to talk about giving hope, because like I said before, hope deferred makes the heart sick.
[01:02:59.258 --> 01:03:03.160]  Let's always look and try and find positive news, things to uplift us in.
[01:03:03.160 --> 01:03:03.940]  Oh, look here!
[01:03:03.940 --> 01:03:07.602]  Judge blocks Biden's vaccine mandate for federal education program.
[01:03:07.602 --> 01:03:08.502]  That's a win.
[01:03:08.502 --> 01:03:10.603]  Let's celebrate the wins when they have them.
[01:03:10.603 --> 01:03:14.785]  This came out on HeadlineUSA.com today.
[01:03:14.785 --> 01:03:22.309]  If the executive branch is allowed to usurp the power of the legislative branch to make laws, then this country is no longer a democracy.
[01:03:22.309 --> 01:03:23.089]  It is a monarchy.
[01:03:25.070 --> 01:03:32.456]  And then according to the Associated Press, President Joe Biden cannot require teachers in the Head Start early education program to be vaccinated against COVID-19.
[01:03:32.456 --> 01:03:39.302]  A Louisiana federal judge ruled Saturday, handing a victory to 24 states that had sued the federal government.
[01:03:39.302 --> 01:03:40.483]  So not everyone's giving up.
[01:03:40.483 --> 01:03:42.065]  People are fighting back.
[01:03:42.065 --> 01:03:42.305]  U.S.
[01:03:42.305 --> 01:03:52.273]  District Judge Terry Doty wrote that the Biden administration unlawfully bypassed Congress when ordering that workers and Head Start programs be vaccinated by January 31st.
[01:03:53.434 --> 01:04:00.017]  And that students two years or older be masked when indoors or when in close contact outdoors.
[01:04:00.017 --> 01:04:05.359]  Head Start is a federally funded program that promotes education for children under the age of six who are from low-income families.
[01:04:05.359 --> 01:04:07.780]  Isn't it strange that they're still pushing these things?
[01:04:07.780 --> 01:04:09.480]  Like you can't even figure that out.
[01:04:09.480 --> 01:04:13.822]  So you have Biden saying, it's up to the states now.
[01:04:13.822 --> 01:04:15.783]  We can't, this isn't a federal problem anymore.
[01:04:15.783 --> 01:04:20.905]  But then he still allows these federal mandates to be pushed and challenged and then
[01:04:21.940 --> 01:04:23.883]  Thank you for joining us.
[01:04:38.141 --> 01:04:45.369]  That masks are required, even though in Texas it's against the law to do that, but they're going to push them anyways.
[01:04:45.369 --> 01:04:53.138]  And this is all after many in the CDC and the CNN analysts and everything else said, these cloth masks don't work.
[01:04:53.138 --> 01:04:56.862]  We've been saying that this whole time, but they're finally admitting it and they're still trying to require it.
[01:05:00.220 --> 01:05:07.685]  It's only been in the last 60 years that we've had satellites that can decently measure what's happening in the atmosphere.
[01:05:07.685 --> 01:05:14.770]  But if you look at all the different studies and reports brought by NASA and other governments and other agencies, they all disagree on what's really happening to the climate.
[01:05:15.575 --> 01:05:21.122]  The only constant, the only great truth is, change is the only constant.
[01:05:21.122 --> 01:05:23.885]  So yes, climate change is totally real.
[01:05:23.885 --> 01:05:30.834]  But notice, first they called it global freezing back in the 70s and 80s, and then it's gonna be global warming, and that didn't really happen the way they wanted it to.
[01:05:30.834 --> 01:05:32.816]  Okay, now it's just climate change.
[01:05:32.816 --> 01:05:34.818]  But did you know that man-made climate change
[01:05:35.619 --> 01:05:42.182]  Is a real thing when it comes to the United Nations and the Department of Energy and Bill Gates and the UN.
[01:05:42.182 --> 01:05:45.263]  They have weather control treaties from 1979.
[01:05:45.263 --> 01:05:48.705]  Bill Gates has been manipulating the weather for a very long time.
[01:05:48.705 --> 01:05:55.928]  In fact, back in 1994, two scientists won a Nobel Prize for an idea of spraying different particles out of jet engines to control the weather.
[01:05:55.928 --> 01:05:57.689]  So yes, man-made climate change is real.
[01:06:14.305 --> 01:06:20.731]  InfoWars, tomorrow's news today.
[01:06:20.731 --> 01:06:36.665]  Tomorrow's news today, that is right, mass formation psychosis is going crazy on Twitter, going crazy with people searching it for Google and so of course Google is on it trying to bring up random, random dudes trying to
[01:06:37.305 --> 01:06:42.787]  Criticize a concept rather than the experts that actually know what they're talking about.
[01:06:42.787 --> 01:06:48.029]  But like I said, tomorrow's news today, we've been talking about this concept, mass formation psychosis.
[01:06:48.029 --> 01:06:53.071]  You can find us, a month ago, we were talking with Dr. Malone about this.
[01:06:53.071 --> 01:06:58.292]  There's a little over 25 minute video about we are being hypnotized according to Dr. Malone.
[01:06:58.292 --> 01:06:59.553]  You can find that on BANDOT video.
[01:07:00.373 --> 01:07:06.959]  We've been talking about it, but as Alex even says, we don't care who makes it pick up steam, we just want the information out.
[01:07:06.959 --> 01:07:19.850]  So, happy that it's getting out, happy that it's getting out after his bombshell interview with Joe Rogan, and very thankful that he decided to swing by and sit down with our first one-on-one, person-to-person interview.
[01:07:19.850 --> 01:07:27.437]  I had done multiple interviews with Dr. Malone before, but it was always through Zoom and Skype, and this time I got to sit down across from him.
[01:07:27.677 --> 01:07:36.303]  And so we want to play, we put together a 15 minute highlights video because we know not everyone can sit there for three hours or an hour plus.
[01:07:36.303 --> 01:07:40.266]  So we wanted to have a snackable version and we're going to play the second half of that.
[01:07:40.266 --> 01:07:42.407]  We played the first half of that in the first hour.
[01:07:42.407 --> 01:07:48.231]  We'll play the second half of that in this hour so you can see what you need to be sharing with your friends and family.
[01:07:48.231 --> 01:07:50.153]  Here it is.
[01:07:50.153 --> 01:07:55.056]  From basically European intellectual inquiry into what the heck happened in Germany.
[01:07:56.084 --> 01:08:01.808]  In the twenties and thirties, you know, very intelligent, highly educated population and they went barking mad.
[01:08:01.808 --> 01:08:04.349]  Um, and how did that happen?
[01:08:04.349 --> 01:08:08.492]  Um, the answer is mass formation psychosis.
[01:08:08.492 --> 01:08:19.598]  When you have a society that has become decoupled from each other and has free floating anxiety in a sense that things don't make sense, we can't understand it.
[01:08:19.598 --> 01:08:25.482]  And then their attention gets focused by a leader or, uh, just, just a good guy.
[01:08:26.551 --> 01:08:39.516]  That's, I think that, you know, yeah there's been some hits and all this and it's never fun to take these arrows from the media and as you know they can be a little wicked from time to time.
[01:08:39.516 --> 01:08:51.700]  I've been on social media for a long time and I've kind of gotten desensitized to the trollery.
[01:08:53.308 --> 01:08:55.089]  That's been really helpful.
[01:08:55.089 --> 01:09:04.655]  Just being able to say, hey, you know, there are haters in the world and that's just the way it is.
[01:09:04.655 --> 01:09:07.417]  For me it has been an awakening journey.
[01:09:07.417 --> 01:09:10.719]  There's no question.
[01:09:10.719 --> 01:09:12.380]  I didn't seek this.
[01:09:12.380 --> 01:09:14.761]  I never expected it.
[01:09:14.761 --> 01:09:19.064]  I find myself at the center of this storm of the resistance.
[01:09:19.064 --> 01:09:20.104]  That's what it is, really.
[01:09:22.168 --> 01:09:35.376]  And I'm still amazed, but it has profoundly changed my view of the information that we receive.
[01:09:35.376 --> 01:09:38.077]  You talk about me becoming more outspoken.
[01:09:38.077 --> 01:09:40.178]  I've seen that with my peers too.
[01:09:40.178 --> 01:09:48.503]  So for instance, Peter McCullough, he's kind of chilled out a little bit, but when you're attacked all the time,
[01:09:49.554 --> 01:09:56.479]  And you have all of this weaponized information against you, and no respect.
[01:09:56.479 --> 01:10:07.486]  I mean, I'm Mr. Malone, who claims to have invented all this language, the kind of classic yellow journalism language, to have it all deployed against me.
[01:10:08.406 --> 01:10:11.409]  Uh, is in absolutely no respect for what I actually did.
[01:10:11.409 --> 01:10:13.830]  And they never cite all the patents.
[01:10:13.830 --> 01:10:16.212]  I mean, they just gloss over all that.
[01:10:16.212 --> 01:10:18.374]  And like you said, it's an information warfare.
[01:10:18.374 --> 01:10:27.981]  So, Reuters is now coming after you with a fact check, particularly on the piece about risk-reward-benefit with children.
[01:10:27.981 --> 01:10:30.022]  So, you're fighting back with information.
[01:10:30.022 --> 01:10:31.964]  So, tell me about that and how that's going.
[01:10:32.768 --> 01:10:45.456]  So, having had the experience now of being subjected to this, you know, it's not fair, it's not right, it's not proper, and they don't care, right?
[01:10:45.456 --> 01:10:50.759]  It doesn't matter what the truth is, it matters what the storyline is that they want to promote.
[01:10:50.759 --> 01:10:57.083]  Having had that experience now a few times and dealt with the fact-checkers and dealt with this young reporter at Atlantic Monthly,
[01:10:58.684 --> 01:11:02.106]  And seeing how that all plays out.
[01:11:02.106 --> 01:11:22.119]  For instance, when Peter Navarro and I wrote the op-ed and put it in the Washington Times, which by the way was the thing that triggered that Atlantic Monthly piece, in retrospect it's now clear that that was intended to shut me down because I was starting to speak at that point about policy and criticize the Biden policy.
[01:11:23.339 --> 01:11:36.488]  And the criticism, by the way, that I was making, the proposal that I was putting out, was essentially that of the Great Barrington Declaration, which is these three fringe epidemiologists.
[01:11:36.488 --> 01:11:40.291]  They're from Harvard, Stanford, but they're fringe.
[01:11:40.291 --> 01:11:45.154]  Yeah, right, full professors.
[01:11:45.154 --> 01:11:46.755]  So having dealt with this,
[01:11:47.876 --> 01:11:54.340]  The question, so I get this new fact-checker attack by the Reuters fact-checker team.
[01:11:54.340 --> 01:11:56.802]  It sounds very official.
[01:11:56.802 --> 01:11:59.564]  And they have spoken to the MHRA.
[01:11:59.564 --> 01:12:02.305]  And the MHRA has these comments that it listed.
[01:12:02.305 --> 01:12:05.427]  So this is the equivalent of the FDA in Great Britain.
[01:12:05.427 --> 01:12:11.251]  Which, by the way, up until the beginning of the year, was not doing any FDA-type regulatory work.
[01:12:11.251 --> 01:12:13.713]  It was all being done by the Central European Union.
[01:12:14.213 --> 01:12:16.454]  So they're actually newbies at this.
[01:12:16.454 --> 01:12:23.057]  And so they put out this statement to Reuters that they were quoting that was intrinsically full of falsehoods.
[01:12:23.057 --> 01:12:25.478]  Like they said, for instance, there have been no pediatric deaths.
[01:12:25.478 --> 01:12:28.860]  Well, that took about two seconds to prove that false.
[01:12:28.860 --> 01:12:36.043]  You can cite the, if nothing else, you can cite the multiple media pieces coming out of Vietnam with the four kids that died from the Pfizer jab.
[01:12:39.324 --> 01:12:48.469]  We, I reached out to my network and I got a huge volume of information about all the pediatric deaths and in VAERS and Yellow Card, Test Lori helped.
[01:12:48.469 --> 01:12:58.014]  I mean, it was, so the question, the question was, was there a way to flip the script on the fact checkers?
[01:12:58.014 --> 01:13:08.139]  And so I consulted with these media analysts and media warriors that I work with that wish to remain confidential because they run big companies.
[01:13:09.291 --> 01:13:12.593]  And we came up with a strategy.
[01:13:12.593 --> 01:13:20.677]  Because what happens is you'll write back to these guys and you'll say, well here's the citation, here's the citation, here's the citation, and they'll ignore it.
[01:13:20.677 --> 01:13:28.201]  And they'll go ahead and put out whatever attack and they'll say, you know, well Dr. Malone cited some irrelevant documents that aren't properly peer-reviewed or whatever.
[01:13:28.201 --> 01:13:30.122]  They'll trash whatever you put out.
[01:13:30.122 --> 01:13:30.282]  Right?
[01:13:30.282 --> 01:13:35.024]  Because it's not about evaluating truth, it's about enforcing the narrative.
[01:13:35.024 --> 01:13:35.765]  So what we did
[01:13:36.704 --> 01:13:43.990]  And I invite anybody to adopt this strategy that's under this kind of pressure.
[01:13:43.990 --> 01:13:48.033]  I sent in a very terse, brief quote.
[01:13:49.062 --> 01:13:50.343]  To the fact checkers.
[01:13:50.343 --> 01:13:55.146]  And I said, basically, thank you so much for the opportunity to respond.
[01:13:55.146 --> 01:13:59.709]  And always trying to be nice, because this is going to go public.
[01:13:59.709 --> 01:14:06.134]  And you can find the answers that you're looking for, the information that you're seeking, at this website.
[01:14:06.134 --> 01:14:06.374]  Bang.
[01:14:07.254 --> 01:14:10.518]  All right, let's pull it out of that right now.
[01:14:10.518 --> 01:14:14.022]  We'll play the last couple minutes perhaps later if we can.
[01:14:14.022 --> 01:14:20.069]  So just a little bit of background on this interview, this first sit down with interview with Dr. Malone.
[01:14:20.069 --> 01:14:21.871]  It was very interesting because
[01:14:23.953 --> 01:14:27.517]  Just the journey, and that's a funny thing, too.
[01:14:27.517 --> 01:14:33.404]  That was the sermon today for church that I was listening to, is this journey.
[01:14:33.404 --> 01:14:41.975]  So for a new year, you always get like five steps to succeed in the new year, or three things to think about in the new year, and the sermon was just about how
[01:14:42.475 --> 01:14:49.860]  This is a journey, and we need God's grace every day to navigate the journey.
[01:14:49.860 --> 01:14:53.142]  So there's no steps or anything as far as that goes.
[01:14:53.142 --> 01:14:57.064]  It's just, it's taking the journey, and that's why we don't know what's next half the time.
[01:14:57.064 --> 01:14:59.045]  Certainly, I never thought I'd be sitting here.
[01:14:59.045 --> 01:15:04.909]  If you had told me that, like, two or three years ago, that I would be sitting in an InfoWars chair, I would have been like, what?
[01:15:04.909 --> 01:15:06.910]  Yeah, right, you gotta be kidding me.
[01:15:06.910 --> 01:15:07.710]  So it's just the journey.
[01:15:08.971 --> 01:15:15.428]  As far as that goes, when I had left traditional media and was going out alone, you need to have like a little bit of a more...
[01:15:18.619 --> 01:15:23.043]  National or global outlook on things, you know, because I'd always been a lead anchor for local news.
[01:15:23.043 --> 01:15:27.587]  And so I'm like, where do I even begin with finding like a national figure to interview?
[01:15:27.587 --> 01:15:31.230]  And I actually had some help with another independent journalist.
[01:15:31.230 --> 01:15:33.652]  When I reached out to her, I thought she had an interesting interview.
[01:15:33.652 --> 01:15:36.395]  She had me on her show and I was like, can you connect me with this guy?
[01:15:36.395 --> 01:15:40.739]  So Dr. Malone was my very first independent news journalist interview.
[01:15:40.739 --> 01:15:42.820]  And then here we are.
[01:15:43.661 --> 01:15:47.942]  Months later, and I got to sit down with him in person right after he'd appeared on Joe Rogan.
[01:15:47.942 --> 01:15:51.544]  So it's just crazy how God has led the way through this.
[01:15:51.544 --> 01:15:59.666]  But good news, I'm going to be talking with that journalist who made the connection next.
[01:15:59.666 --> 01:16:03.088]  What are champions made of?
[01:16:03.088 --> 01:16:04.188]  Here's a man who can show you.
[01:16:10.874 --> 01:16:13.055]  AAA-253-3139, AAA-253-3139, AAA-253-3139 is the InfoWars store hotline!
[01:16:13.055 --> 01:16:15.215]  AAA-253-3139, AAA-253-3139, AAA-253-3139 is the InfoWars store hotline!
[01:16:15.215 --> 01:16:17.256]  AAA-253-3139 is the InfoWars store hotline!
[01:16:17.256 --> 01:16:18.956]  AAA-253-3139 is the InfoWars store hotline!
[01:16:18.956 --> 01:16:20.796]  AAA-253-3139 is the InfoWars store hotline!
[01:16:20.796 --> 01:16:22.757]  AAA-253-3139 is the InfoWars store hotline!
[01:16:22.757 --> 01:16:25.157]  AAA-253-3139 is the InfoWars store hotline!
[01:16:25.157 --> 01:16:26.658]  AAA-253-3139 is the InfoWars store...
[01:16:36.980 --> 01:16:40.445]  InfoWareStore.com is simply the best.
[01:16:40.445 --> 01:16:42.909]  InfoWareStore.com beats out all the rest.
[01:16:42.909 --> 01:16:44.611]  888-253-3139, 888-253-3139, 888-253-3139 is the InfoWareStore hotline.
[01:16:44.611 --> 01:16:44.731]  888-253-3139, 888-253-3139,
[01:16:57.869 --> 01:17:00.732]  It's time to protect your privacy.
[01:17:00.732 --> 01:17:08.640]  It's time to come to grips with the fact that even though you don't have anything to hide, criminals, hackers, corporations, big tech, government,
[01:17:08.880 --> 01:17:14.702]  They are stealing all of your data and creating a map and a database of where you go and what you do.
[01:17:14.702 --> 01:17:19.144]  So in the future, under their globalist takeover, they can shut you down.
[01:17:19.144 --> 01:17:27.507]  Protecting your privacy, protecting your credit cards, protecting your bank accounts, protecting your photos, protecting everything that's on your phone is paramount.
[01:17:28.027 --> 01:17:30.748]  That's why everybody should visit InfoWarsStore.com.
[01:17:30.748 --> 01:17:39.553]  We're carrying a huge new line of very compliant, made-in-America products that have 100% reviews and are simply incredible.
[01:17:39.553 --> 01:17:40.453]  It's a 360 win.
[01:17:40.453 --> 01:17:46.397]  Protect your privacy and shop at InfoWars to support the overall InfoWars against the Globalists.
[01:17:46.397 --> 01:17:48.197]  A true 360 win.
[01:17:48.197 --> 01:17:51.199]  Get your Faraday cages at InfoWarsStore.com.
[01:17:51.199 --> 01:17:52.300]  Check out the new line.
[01:17:52.300 --> 01:17:52.840]  It's amazing.
[01:17:57.389 --> 01:17:59.931]  Christmas 2021 is gone.
[01:17:59.931 --> 01:18:07.479]  It's in the rearview mirror, but you can still take advantage of Christmas prices going to the New Year at InfoWareStore.com.
[01:18:07.479 --> 01:18:11.502]  On to our best-selling products, now finally back in stock.
[01:18:11.502 --> 01:18:14.725]  We have the number one bestseller of all time,
[01:18:15.746 --> 01:18:24.113]  X2, the Deep Earth Crystal Iodine that is essential for all your body's activities, electrochemical functions of the cells, the mitochondria, your immune system.
[01:18:24.113 --> 01:18:25.715]  It is back in stock.
[01:18:25.715 --> 01:18:32.461]  X2 is 50% off at InfoWarsTour.com and right in time for the deepest part of winter.
[01:18:33.578 --> 01:18:38.962]  We have Winter Sun Back in Stock, the highest quality vitamin D3 for your immune system.
[01:18:38.962 --> 01:18:44.005]  And again, your whole body is back in stock, ready to ship to you right now at InfoWarsTore.com.
[01:18:44.005 --> 01:18:45.086]  So it's a 360 win.
[01:18:45.086 --> 01:18:50.350]  It keeps us on air and it also makes your life so much healthier and better.
[01:18:50.350 --> 01:18:54.813]  So get your supply up to date at InfoWarsTore.com right now.
[01:18:57.398 --> 01:19:04.581]  Everything we've witnessed in the last few decades has only been the build-up for what the globalists are doing right now.
[01:19:04.581 --> 01:19:06.281]  This is their big offensive.
[01:19:06.281 --> 01:19:07.762]  This is their takeover.
[01:19:07.762 --> 01:19:11.763]  And this is the point that they're at their very weakest because now they've revealed themselves.
[01:19:11.763 --> 01:19:16.725]  Now their world government, their permanent martial law, their medical tyranny is out in the open.
[01:19:16.725 --> 01:19:18.906]  Their depopulation agenda has been exposed.
[01:19:19.986 --> 01:19:25.587]  They're using their corporate power and trillions to go across the planet and shut down people telling the truth.
[01:19:25.587 --> 01:19:31.008]  So listen, Paul Reveres, when you spread the word about the broadcast, when you pray for the broadcast, you're the tip of the spear.
[01:19:31.008 --> 01:19:34.669]  And when you buy products at InfoWarsTore.com, you keep us on air.
[01:19:34.669 --> 01:19:41.731]  Plus, we've got great products that have been sold out for months that are back in stock, 50% off, X2 and Winter Sun.
[01:19:41.731 --> 01:19:43.811]  Both of these are in our top five best sellers.
[01:19:43.811 --> 01:19:45.011]  They are so good for your body.
[01:19:45.011 --> 01:19:46.792]  And if there's two things you do for your body,
[01:19:47.452 --> 01:19:48.553]  It's these two products.
[01:19:48.553 --> 01:19:50.775]  They're all back in stock at Infowarshore.com.
