[00:00:00.089 --> 00:00:00.570]  Red alert.
[01:26:00.667 --> 01:26:05.726]   And if you're not getting sunshine every single day, whether you're black or white or Hispanic, it doesn't
[01:26:05.726 --> 01:26:06.108]  matter.
[01:26:06.108 --> 01:26:10.747]   Your body will be susceptible and wide open to so many of the threats that are out there.
[01:26:10.747 --> 01:26:14.067]   It's just like you need oxygen, you die in four minutes without oxygen.
[01:26:14.067 --> 01:26:16.547]  You die in five or six days without water.
[01:26:16.547 --> 01:26:17.988]  You die in a month without food.
[01:26:17.988 --> 01:26:24.188]   Well, that's because these key minerals and elements and vitamins are in the food that you need.
[01:26:24.188 --> 01:26:28.667]   And one of the most important for your immune system and your overall health is vitamin D3.
[01:26:28.667 --> 01:26:34.226]   We have the highest quality in winter sun with vitamin K that boosts all your body's defenses.
[01:26:34.226 --> 01:26:39.226]  Available right now for 50% off at infowarestore.com.
[01:26:39.226 --> 01:26:42.828]  Everybody, old, young, black, white, you need vitamin D3.
[01:26:42.828 --> 01:26:46.547]   This is the best quality out there and it funds the info or 50% off.
[01:26:47.282 --> 01:26:50.485]  All right, this mega massive NaturalNews.com story just broke.
[01:26:50.525 --> 01:26:52.166]  It's at InfoWars.com.
[01:26:52.666 --> 01:26:53.927]  I suggest you share it.
[01:26:54.808 --> 01:26:55.308]  Woo!
[01:26:57.790 --> 01:26:59.311]  And this is another piece of the puzzle.
[01:26:59.331 --> 01:27:00.192]  We know what's going on.
[01:27:00.212 --> 01:27:02.994]  We know Omicron was made in a lab by White Hats.
[01:27:03.454 --> 01:27:04.435]  The scan's complete.
[01:27:05.135 --> 01:27:16.264]  It's got more than 50 changes, but 20 plus in one area, 30 plus in another, to kill the spike protein and make it weak.
[01:27:16.970 --> 01:27:19.930]  and then give you immunity to the spike protein itself.
[01:27:19.930 --> 01:27:26.170]   Very sophisticated genetic engineering, way beyond Moderna and Gates creating it in 2016,
[01:27:26.170 --> 01:27:27.210]  which has now come out.
[01:27:27.210 --> 01:27:29.930]  And so that's what's pissing me off.
[01:27:29.930 --> 01:27:32.329]  It still gets you sick, but nothing like the other variants.
[01:27:32.329 --> 01:27:36.809]   And so Gates has announced his next battle plan, which we told you about a long time ago.
[01:27:36.809 --> 01:27:39.289]  What do you think COVID-19 is?
[01:27:39.453 --> 01:27:42.816]  They didn't just give it to people through humans or through the shots.
[01:27:42.896 --> 01:27:43.716]  It's sprayed in the air.
[01:27:44.076 --> 01:27:45.738]  He approached the Pentagon about that in 2017.
[01:27:46.018 --> 01:27:46.858]  That's all come out.
[01:27:47.499 --> 01:27:48.119]  They said no.
[01:27:48.600 --> 01:27:52.443]  Bill Gates developing needleless vaccine that spreads like a virus in the unvaccinated.
[01:27:52.823 --> 01:27:53.924]  It is a virus.
[01:27:54.764 --> 01:27:56.085]  We're gonna lay all that out.
[01:27:56.646 --> 01:27:57.106]  Coming up.
[01:27:58.047 --> 01:27:59.968]  But right now, let's go to your calls here.
[01:28:00.849 --> 01:28:02.690]  Who has been holding the longest?
[01:28:03.871 --> 01:28:04.651]  That would be...
[01:28:05.825 --> 01:28:07.246]  Mark, in the great state of Texas.
[01:28:07.286 --> 01:28:07.927]  Sir, go ahead.
[01:28:09.408 --> 01:28:10.048]  Oh, great.
[01:28:10.088 --> 01:28:11.809]  It's a big honor, Alex.
[01:28:11.929 --> 01:28:15.232]  I'm a two-time 1776 point holder.
[01:28:15.932 --> 01:28:22.457]  And what I really wanted to talk about was I'm running a Part 15 broadcaster.
[01:28:24.338 --> 01:28:28.701]  And it's a great way of getting all of your podcasts out to all my neighbors.
[01:28:29.602 --> 01:28:32.524]  And I hope that other folks will pick up on that.
[01:28:32.624 --> 01:28:35.466]  And for folks who don't know about that, it says here, low-powered TV station.
[01:28:37.023 --> 01:28:37.684]  It's a radio.
[01:28:38.104 --> 01:28:38.624]  It's radio.
[01:28:39.185 --> 01:28:41.146]  And it's more power.
[01:28:41.426 --> 01:28:44.688]  You can run more power legally than you might think.
[01:28:46.730 --> 01:28:47.390]  I love it, brother.
[01:28:48.211 --> 01:28:48.951]  That's fantastic.
[01:28:48.991 --> 01:28:51.933]  What's on your mind about the military docs, Russia and Ukraine?
[01:28:56.175 --> 01:29:14.956]  Some of the news that I was seeing last night about Ukraine keeping all the men between 18 and 60 in the border, not letting them leave, got me to thinking, and I pulled up the military manuals about friend-to-foe ratios, and to delay an invading force, it's 1 to 6, and to defend, it's 1 to 3.
[01:29:16.055 --> 01:29:27.994]  So if you keep all of the men between 18 and 60 engaged in militarily with a 1 to 3 to a 1 to 6 ratio, Ukraine actually has a stronger force than Russia.
[01:29:31.280 --> 01:29:34.143]  Well, Putin has not really exaggerated his military.
[01:29:34.183 --> 01:29:36.827]  And again, because I'm not in love with Vladimir Putin, I just cover facts.
[01:29:37.728 --> 01:29:40.471]  He's admitted that their military is not that strong, other than nuclear.
[01:29:40.871 --> 01:29:44.516]  They've got really hypersonic missiles that the U.S., by the way, does have.
[01:29:44.576 --> 01:29:47.579]  But they've really produced some amazing aerospace products.
[01:29:49.441 --> 01:29:58.651]  I just look at Russia as one big, delicious, juicy place full of resources and full of smart people and just where we should be developing.
[01:29:59.192 --> 01:30:04.817]  I would love there to be a big open, free society and fly over there and own farms over there.
[01:30:05.118 --> 01:30:06.479]  The place is untapped.
[01:30:06.539 --> 01:30:08.581]  It's the biggest country in the world.
[01:30:08.942 --> 01:30:09.883]  It's full of everything.
[01:30:11.820 --> 01:30:15.704]  The globalists are always fighting over it instead of just having free market.
[01:30:16.064 --> 01:30:23.451]  So let them have their Nord Stream 2 and let us have our pipelines and let's just stop all this war and get down to business!
[01:30:25.038 --> 01:30:33.002]  Absolutely, and I think that's another reason that COVID has been unleashed, is to soften us up before the Civil War or Russia-China invasion.
[01:30:33.602 --> 01:30:37.824]  Or if they don't get us softened up enough, then maybe they'll have to resort to nukes.
[01:30:38.004 --> 01:30:40.305]  But I think it's all orchestrated.
[01:30:40.505 --> 01:30:43.547]   It's all Absolutely.
[01:30:43.647 --> 01:30:44.067]  I agree.
[01:30:44.227 --> 01:30:44.627]  I agree.
[01:30:44.687 --> 01:30:46.368]  But the UN's not going to come at us with blue helmets.
[01:30:46.388 --> 01:30:50.849]  They're going to come to the Medical Corps, the lockdowns, the liberals, Black Lives Matter.
[01:30:50.929 --> 01:30:53.050]  That is the UN Globalist Shock Force.
[01:30:53.090 --> 01:30:54.731]  And sir, thank you for getting three of the coins.
[01:30:54.751 --> 01:30:56.451]  Again, people are like, well, why is it an investment?
[01:30:56.471 --> 01:30:57.232]  It's way marked up.
[01:30:57.552 --> 01:31:04.754]  You're buying a piece of Keeping Us On Air, a piece of history, a limited edition event, and those coins are already going for four times what people bought them.
[01:31:04.995 --> 01:31:08.756]  So thank you so much, Mark, for your support and all you do, brother.
[01:31:10.563 --> 01:31:11.123]  Thank you, Alex.
[01:31:11.183 --> 01:31:11.963]  Thank you for all you do.
[01:31:12.243 --> 01:31:12.623]  Thank you.
[01:31:13.804 --> 01:31:29.487]  Somebody putting up a low-powered TV station or radio station that doesn't interfere with other stations and telling your neighbors, hey, I got some forbidden info up, goes out a mile or whatever, put up a few signs, people tune in, and if you reach 100 people that start tuning in, you've changed the world.
[01:31:30.167 --> 01:31:31.828]  And so what he's doing is so amazing.
[01:31:32.068 --> 01:31:34.208]  Little things together do huge things.
[01:31:34.608 --> 01:31:35.808]  Many hands make light work.
[01:31:35.967 --> 01:31:44.608]  We'll be right back with more of your calls in 60 seconds.
[01:31:44.608 --> 01:31:54.608]  [BLANK_AUDIO]
[01:31:45.761 --> 01:31:48.242]  The people that have got green are going to be so proud of it.
[01:31:48.742 --> 01:31:52.304]  They're just going to be... I don't have that credit.
[01:31:52.324 --> 01:31:53.124]  I've got green rating.
[01:31:54.304 --> 01:31:58.606]  They just walk right through, you know, at the hotels and at the airports and train stations.
[01:31:59.967 --> 01:32:01.047]  My RFID.
[01:32:01.067 --> 01:32:02.247]  They scan the chip and the license.
[01:32:02.287 --> 01:32:02.928]  I just passed that.
[01:32:03.268 --> 01:32:03.848]  Nah.
[01:32:04.748 --> 01:32:05.809]  I've got EasyPass.
[01:32:05.889 --> 01:32:07.109]  I've got everything.
[01:32:07.489 --> 01:32:08.710]  I've got everything.
[01:32:09.170 --> 01:32:11.091]  I'm first class and you're not.
[01:32:13.024 --> 01:32:14.645]  Honey, I just got a letter!
[01:32:15.366 --> 01:32:16.106]  I just got an email!
[01:32:16.246 --> 01:32:17.247]  I'm yellow rating!
[01:32:17.587 --> 01:32:19.148]  You didn't pay that boy on time!
[01:32:19.508 --> 01:32:20.289]  It's alright, honey.
[01:32:21.549 --> 01:32:22.650]  We'll go in and talk to the men.
[01:32:22.670 --> 01:32:24.171]  They're in scheme-ass machine guns.
[01:32:24.491 --> 01:32:25.652]  You wanna go in to see a director?
[01:32:25.992 --> 01:32:28.233]  Please, I'm with the Neighborhood Command.
[01:32:28.293 --> 01:32:29.114]  I deserve it.
[01:32:29.134 --> 01:32:30.134]  Alright, go on in.
[01:32:30.835 --> 01:32:32.616]  We can get that back to green rating.
[01:32:33.116 --> 01:32:34.837]  I want 20,000 creds.
[01:32:38.760 --> 01:32:39.920]  Oh, you've got green rating again.
[01:32:39.940 --> 01:32:42.482]  Alright, we're out of time, ladies and gentlemen.
[01:32:43.516 --> 01:32:44.777]  Long after I'm dead.
[01:32:45.598 --> 01:32:47.959]  It could be a year, it could be 10 years, it could be 20 years.
[01:32:48.180 --> 01:32:49.340]  YOU'RE GONNA BE LIVING THIS!
[01:32:49.480 --> 01:32:51.642]  AND I WANT YOU TO REMEMBER IT!
[01:32:51.862 --> 01:32:53.123]  DO YOU HEAR ME, SCUM?
[01:32:55.885 --> 01:32:57.426]  I'm talking to the yuppies right now.
[01:33:00.989 --> 01:33:01.749]  Do you hear me?
[01:33:02.570 --> 01:33:03.891]  I defended this republic.
[01:33:04.251 --> 01:33:05.552]  I did everything I could.
[01:33:05.572 --> 01:33:07.894]  I fought as hard as I could.
[01:33:11.144 --> 01:33:11.964]  Well, that's from 2005.
[01:33:12.445 --> 01:33:16.326]  Vintage Alex Jones.
[01:33:17.667 --> 01:33:21.408]  You got Bitcoin mining going on, you got Alex Jones old clip mining.
[01:33:22.049 --> 01:33:23.649]  These clips are getting millions of views.
[01:33:23.669 --> 01:33:25.270]  The people that grab them, it's all free to air.
[01:33:25.290 --> 01:33:30.072]  A lot of them are running and they're making advertising, tens of thousands of dollars, mining Alex Jones clips.
[01:33:33.473 --> 01:33:34.594]  But I'm not dead yet.
[01:33:35.737 --> 01:33:36.418]  I'm still here.
[01:33:37.218 --> 01:33:39.840]  Wow, what a world, what a time, what insanity.
[01:33:40.361 --> 01:33:43.784]  Imagine what 20 years, 22 years from now will be like if we're still alive.
[01:33:44.804 --> 01:33:46.165]  We haven't vaporized the planet.
[01:33:46.786 --> 01:33:49.048]  Carlos in Canada, thanks for holding her on the air.
[01:33:50.229 --> 01:33:51.690]  Thank you Alex, we're still here.
[01:33:53.391 --> 01:33:59.716]  Just a quick, I don't think President Putin had a choice to do what he did.
[01:34:01.117 --> 01:34:12.860]   President Zelensky, a few weeks back, Threatened to reactivate the nuclear capabilities that were left in Ukraine from the Soviet Union days.
[01:34:13.540 --> 01:34:18.742]  I thought the nukes, I saw the threat to rearm, but weren't the nukes all moved out?
[01:34:20.983 --> 01:34:21.883]  Well, we don't know.
[01:34:22.244 --> 01:34:24.945]  What we do know is that that sealed the deal.
[01:34:25.525 --> 01:34:36.539]   And also, at the same time, there's another dimension which is not mentioned here too much, and that is that the Nord Stream 2 pipeline Yeah, because they wanted their pipeline.
[01:34:36.580 --> 01:34:39.181]  But why has Biden killed the Israeli pipeline too?
[01:34:39.041 --> 01:34:42.341]  and Israelis have been opposed to it from day one.
[01:34:42.341 --> 01:34:44.280]  Yeah, because they wanted their they wanted their pipeline.
[01:34:44.280 --> 01:34:50.081]   Exactly. The moment that you sealed the North Stream two pipeline,
[01:34:50.081 --> 01:34:56.920]   then you have to rely on the central pipeline that lunch that goes from the east to the west of Ukraine to Germany.
[01:34:56.920 --> 01:34:58.841]  That meant that.
[01:34:58.841 --> 01:35:01.020]  Why has Biden killed the Israeli pipeline, too?
[01:35:01.020 --> 01:35:02.320]  It's just insane.
[01:35:02.320 --> 01:35:06.141]   And then when he did that at that point and they put actually they put bombs
[01:35:06.341 --> 01:35:11.980]   in the eastern side of the near the Lugansk area of the central pipeline.
[01:35:12.252 --> 01:35:16.496]  At that point, Putin realized that he, you know, obviously had no choice.
[01:35:16.676 --> 01:35:18.457]  He had to protect the pipeline to Germany.
[01:35:18.878 --> 01:35:26.044]   This is not a bad thing for Germany, by the way, because if it would have cut that line as well, going through Ukraine, No, you're right.
[01:35:26.184 --> 01:35:28.566]  They did blow up some of the lines, and people said it was a false flag.
[01:35:29.126 --> 01:35:34.030]  All I know is the globalists are cutting our pipelines off, the Israeli pipeline, the Russian pipeline.
[01:35:34.410 --> 01:35:35.991]  I say the more pipelines, the merrier.
[01:35:36.331 --> 01:35:39.293]  The Chai Koms want pipelines, even though I don't like communists.
[01:35:39.934 --> 01:35:41.795]  People need more energy, don't you agree?
[01:35:42.456 --> 01:35:48.840]  It's an act of war against poor people to artificially restrict energy being lower.
[01:35:48.880 --> 01:35:49.561]  Don't you agree with that?
[01:35:50.319 --> 01:35:50.739]  I agree.
[01:35:50.779 --> 01:35:58.125]  What we have here is, you and I talked about this in the past, this is the octopus, you know, playing Russia against the United States.
[01:35:58.525 --> 01:35:58.905]  I agree.
[01:35:58.925 --> 01:36:05.050]  You know, the moment that Victoria Nuland came back to the White House, I began to take notes.
[01:36:05.230 --> 01:36:15.597]  And for those that don't know, she's the one that helped run the coup eight years ago, with Soros on record, and the one that was caught, the Russians released the intercepts, where she says, F the Europeans and F Russia and F the Ukrainians.
[01:36:16.137 --> 01:36:18.199]  They're literally in there just robbing the place.
[01:36:19.241 --> 01:36:19.661]  Exactly.
[01:36:19.921 --> 01:36:25.805]  I think the next time we talk longer, because I'd like to clear the lines, but I want to tell you, Alex, you're doing a great job.
[01:36:26.005 --> 01:36:28.446]  Please, everybody, support InfoWars.
[01:36:28.626 --> 01:36:29.507]  Do whatever you have to do.
[01:36:29.867 --> 01:36:33.329]  I don't have any more money to buy iodine.
[01:36:33.389 --> 01:36:34.830]  This is a fantastic product.
[01:36:36.511 --> 01:36:37.091]  I hear you, brother.
[01:36:37.111 --> 01:36:38.892]  We're under massive Democrat Party attack.
[01:36:38.992 --> 01:36:40.813]  Remington went bankrupt and rolled over to them.
[01:36:41.293 --> 01:36:41.814]  We haven't.
[01:36:42.194 --> 01:36:45.496]  We've been fighting them for years, and they've just spent hundreds of millions trying to destroy us.
[01:36:45.936 --> 01:36:48.197]  They got CNN specials out to try to annihilate us.
[01:36:48.217 --> 01:36:52.600]  They got CIA spy op groups, but we're still, because of you, on air.
[01:36:52.740 --> 01:36:56.782]  So we need your prayer, your word of mouth, and your financial support at infowarrestore.com.
[01:36:56.822 --> 01:37:01.465]  And I'm just going to keep marching and attacking until no matter what happens, until we run out of gas or whatever happens.
[01:37:01.525 --> 01:37:04.427]  And I just know as long as I go 110%, God's not going to be mad at me.
[01:37:05.027 --> 01:37:08.748]  I'm just going to keep going, keep going, until they arrest me, kill me, put me in prison, or we win.
[01:37:08.788 --> 01:37:09.989]  I'm just going to keep going and going.
[01:37:10.249 --> 01:37:10.849]  Thanks for the call.
[01:37:11.829 --> 01:37:12.229]  All right.
[01:37:12.850 --> 01:37:18.632]  Up next here is... That would be Armand in California.
[01:37:18.672 --> 01:37:19.352]  Welcome, Armand.
[01:37:19.372 --> 01:37:22.513]  Hello, can you hear me?
[01:37:22.813 --> 01:37:23.213]  Yes, I do.
[01:37:23.233 --> 01:37:23.533]  Go ahead.
[01:37:24.954 --> 01:37:25.634]  Glad to be on.
[01:37:25.914 --> 01:37:27.114]  I just want to talk a little bit.
[01:37:27.214 --> 01:37:32.016]  I have concerns about the pace of the Russian assault on Ukraine.
[01:37:32.429 --> 01:37:37.989]   It's always hard to understand what Putin's motives are in any theater of conflict, but
[01:37:37.989 --> 01:37:44.389]   the Russian military has the capacity to essentially destroy the degraded Ukrainian army, which
[01:37:44.389 --> 01:37:45.889]  has been at war for eight years.
[01:37:45.889 --> 01:37:50.788]   They have the capacity to essentially destroy all the hardware in the first 48 hours of
[01:37:51.677 --> 01:37:53.418]  Yeah, but he's about to seize all that hardware.
[01:37:53.458 --> 01:37:54.519]  He's about to run the country.
[01:37:54.559 --> 01:37:58.782]  So he wants him to get, he wants to do as much pressure as needed to get him to give up.
[01:37:58.842 --> 01:38:00.783]  It's like spanking one of your children.
[01:38:01.384 --> 01:38:02.424]  You don't break their arm.
[01:38:02.464 --> 01:38:04.626]  You just do enough for them to stop going out in the street.
[01:38:04.646 --> 01:38:05.447]  Does that make sense?
[01:38:06.547 --> 01:38:06.727]  Yeah.
[01:38:07.548 --> 01:38:07.708]  Yeah.
[01:38:07.728 --> 01:38:09.630]  No, I'm just concerned of a really, really bloody ground.
[01:38:09.650 --> 01:38:12.872]  Cause he seems like he's, he's digging his heels in for the long haul.
[01:38:13.280 --> 01:38:18.004]  You know, I mean, he could have occupied Kiev by now if he really wanted to with an air assault.
[01:38:18.465 --> 01:38:21.588]  The fact that they haven't, it's deliberate.
[01:38:21.908 --> 01:38:22.909]  Well, tell me your theory.
[01:38:22.989 --> 01:38:27.994]  I was just throwing out that they're mainly only targeting military targets.
[01:38:28.414 --> 01:38:31.497]  They're trying to get them to just give up and stop becoming a vassal state.
[01:38:31.777 --> 01:38:33.579]  Look, Russia's very jealous of Ukraine.
[01:38:34.767 --> 01:38:37.048]  Ukraine has always been the big, sexy Hollywood.
[01:38:37.128 --> 01:38:38.228]  It's where Russia came from.
[01:38:38.368 --> 01:38:42.847]   It's always been richer and more powerful per capita than Russia, whereas Russia has
[01:38:42.847 --> 01:38:49.328]   been bigger and stronger and won the wars and saved Ukraine 900 years ago.
[01:38:49.328 --> 01:38:59.927]   So they've been through this over and over and over again, and so they see their big
[01:38:59.927 --> 01:39:02.488]  juicy being their milk cow.
[01:39:02.488 --> 01:39:05.807]   I mean, it's true that that's where they get like half their food and stuff being taken
[01:39:05.807 --> 01:39:06.807]  away and they're jealous.
[01:39:06.807 --> 01:39:10.168]   It's like watching your wife go off with somebody else and leave.
[01:39:10.168 --> 01:39:11.167]  And so what are they...
[01:39:11.167 --> 01:39:16.888]   Plus, not just like the wife left them, then the wife moves, moves the boyfriend onto Russia's
[01:39:16.888 --> 01:39:19.127]  porch with a shotgun.
[01:39:19.127 --> 01:39:20.127]  Does that make sense?
[01:39:20.127 --> 01:39:20.127]  Yeah.
[01:39:20.127 --> 01:39:21.127]  Yeah.
[01:39:21.127 --> 01:39:31.127]  [BLANK_AUDIO]
[01:39:22.304 --> 01:39:30.132]  Yeah, right now, I don't know, it seems like Putin's just trying to sort of destabilize Ukraine, you know, as opposed to just a wide, full occupation.
[01:39:30.172 --> 01:39:33.735]  Right now, he's just trying to empty out the cities and scare everyone out, essentially.
[01:39:34.056 --> 01:39:34.817]  That's what it seems like.
[01:39:34.857 --> 01:39:38.360]  He's throwing in a lot of conscripts who have been in the military for only a couple months.
[01:39:38.740 --> 01:39:45.680]   He's throwing in cannon fodder from You're right.
[01:39:45.740 --> 01:39:48.061]  I mean, look at this Reuters article that's out right now.
[01:39:48.581 --> 01:39:49.321]  Is that Bloomberg?
[01:39:49.641 --> 01:39:58.324]  Putin calls on Ukrainian military to seize power to better negotiate with Russia because he knows it's a bunch of globalist factions in there and a bunch of former presidents jockeying for control.
[01:39:58.345 --> 01:40:01.786]  He's like, listen, I'll negotiate with the military, which is a very smart move.
[01:40:02.246 --> 01:40:04.107]  I would expect this to be over in 48 hours.
[01:40:04.147 --> 01:40:04.587]  What do you think?
[01:40:06.839 --> 01:40:11.563]  Right now it's very strange because the civilians are being mobilized in Ukraine.
[01:40:12.204 --> 01:40:14.145]  There's so many variables.
[01:40:14.225 --> 01:40:15.486]  But that's because they don't know.
[01:40:15.946 --> 01:40:18.268]  The military already has turned tail and run.
[01:40:19.309 --> 01:40:22.532]  There are no real military units fighting the Russians.
[01:40:22.552 --> 01:40:24.874]  Those are just people that think it's their job to defend their country.
[01:40:25.154 --> 01:40:26.495]  They don't know the deal's already been made.
[01:40:28.297 --> 01:40:28.937]  Yeah, I could believe that.
[01:40:28.957 --> 01:40:31.199]  I could believe that there's Western operators.
[01:40:31.219 --> 01:40:33.420]  Most wars are won before they start, brother.
[01:40:33.961 --> 01:40:34.701]  I appreciate your call.
[01:40:34.921 --> 01:40:42.326]  Listen, I'll go back to World War II and with Poland and with France.
[01:40:44.188 --> 01:40:45.669]  In both cases, deals were already made.
[01:40:46.758 --> 01:40:48.419]  And so a fraction of the Poles fought back.
[01:40:48.439 --> 01:40:49.500]  They didn't know they'd been sold out.
[01:40:49.520 --> 01:40:51.662]  I mean, the Poles aren't wimps.
[01:40:51.682 --> 01:40:53.323]  They would have held out years, okay?
[01:40:53.663 --> 01:40:54.484]  They actually had real leaders.
[01:40:55.125 --> 01:41:01.029]  The French only held out a few weeks because most of their high command had already sold out, who were then put in as dictators.
[01:41:01.349 --> 01:41:05.312]  So Putin is taking a page from Hitler and saying, hey, you want to be Vichy French?
[01:41:05.673 --> 01:41:06.433]  You want to be in charge?
[01:41:06.493 --> 01:41:07.134]  Military, hey!
[01:41:08.835 --> 01:41:11.597]  It's better than having NATO military running.
[01:41:11.617 --> 01:41:14.500]  He says, okay, Ukrainian military, you want to be in charge?
[01:41:15.287 --> 01:41:16.687]  And that's basically what's going down here.
[01:41:16.707 --> 01:41:18.648]  And it doesn't mean I'm endorsing any of this.
[01:41:18.688 --> 01:41:20.549]  This is the real world, folks.
[01:41:20.929 --> 01:41:26.731]  We've got a very special guest joining us with a huge amount of information and more straight ahead.
[01:41:26.771 --> 01:41:27.671]  You don't want to miss this guest.
[01:41:28.551 --> 01:41:30.152]  What have I been saying for days?
[01:41:30.932 --> 01:41:31.872]  It's not hard to say it.
[01:41:31.932 --> 01:41:32.053]  It's 101.
[01:41:34.190 --> 01:41:41.855]  In real wars, you invade and then you buy off the military leadership to give up, either before you invade or once you invade.
[01:41:42.436 --> 01:41:43.556]  And that's what Putin's doing.
[01:41:43.596 --> 01:41:47.159]  I've been saying behind the scenes, most of the military's already stood down.
[01:41:47.819 --> 01:41:49.160]  They don't want to be known as traitors.
[01:41:49.180 --> 01:41:50.421]  They make deals behind the scenes.
[01:41:52.202 --> 01:41:58.306]  So Putin gives them the offer that Hitler did when he invaded France back in 1940.
[01:41:59.647 --> 01:42:03.130]  He said, give up and I'll put the military in charge.
[01:42:04.329 --> 01:42:07.991]  Now I know why Putin did this, and I'm not against the Russians, but I don't like these wars.
[01:42:08.511 --> 01:42:13.014]  I know NATO was bringing in troops and weapons and they had no choice, but I still don't like any of this.
[01:42:14.035 --> 01:42:15.155]  This is dangerous as hell.
[01:42:15.436 --> 01:42:19.178]  And now they're getting ready to blame cyber attacks on Russia and escalate things out of control.
[01:42:19.198 --> 01:42:24.681]  They got all the talking heads saying, they do one cyber attack, they invoke Article 5, and we go to war with Russia.
[01:42:25.121 --> 01:42:29.544]  And if you think the globalists won't do it, and they're bunkers to depopulate us, you're stupid.
[01:42:31.405 --> 01:42:34.866]  Putin calls on Ukrainian military to seize power to better negotiate.
[01:42:35.006 --> 01:42:37.127]  Reuters, AP, Bloomberg, it's all being reported.
[01:42:37.147 --> 01:42:39.268]  Reportedly gave a press conference.
[01:42:39.288 --> 01:42:39.888]  We're getting the video.
[01:42:41.129 --> 01:42:42.229]  So that's what you do.
[01:42:42.249 --> 01:42:43.349]  And that's what I think is going on.
[01:42:43.570 --> 01:42:44.450]  This is a real invasion.
[01:42:45.030 --> 01:42:46.811]  But they got most of the military to stand down.
[01:42:46.831 --> 01:42:49.492]  But you better do when you invade somebody.
[01:42:49.892 --> 01:42:51.452]  Royce White joins us for two segments.
[01:42:51.492 --> 01:42:53.893]  I really appreciate him coming on.
[01:42:53.953 --> 01:42:58.902]   He just announced a few days ago But he's running for Congress and he's a super smart guy.
[01:42:59.582 --> 01:43:17.323]   I'm not supporting him in his run against Ilhan Omar because he's a famous NBA player and an MA guy or all that, but because he stood up for Everybody and against tyranny and against the Democratic Party and against the corrupt Republicans and against the Chinese Communists and the Uyghur persecution.
[01:43:17.984 --> 01:43:23.909]  And his website is RoyceWhite.us to find his congressional run or RoyceWhite.substack.com.
[01:43:24.309 --> 01:43:26.671]  He's written a great new article, an open letter to Democrats.
[01:43:26.691 --> 01:43:27.692]  We'll get to that next segment.
[01:43:27.992 --> 01:43:31.055]  But Royce, obviously people want to know they should vote for you for Congress.
[01:43:31.435 --> 01:43:38.541]   Anybody would be better than Ilhan Omar, but my goodness, an amazingly smart, You know, Christian, patriot, great looking.
[01:43:38.561 --> 01:43:40.742]  I mean, you got everything we need, brother.
[01:43:41.142 --> 01:43:44.144]  And to unify the people, I couldn't think of a better type of candidate.
[01:43:44.464 --> 01:43:50.748]  You could be the new model instead of these people like, you know, Ilhan Omar and this idiot woman, AOC.
[01:43:50.788 --> 01:43:52.268]  I don't care if women get elected, that's great.
[01:43:53.649 --> 01:43:56.571]  But my God, these communist idiot people is really a problem.
[01:43:56.791 --> 01:44:01.734]  But with all going on, I'm sure you want to respond to Russia and to all the news coming out.
[01:44:03.539 --> 01:44:04.820]  Well, thanks for having me back, Alex.
[01:44:04.840 --> 01:44:06.120]  You know, it's an honor, man.
[01:44:06.140 --> 01:44:07.060]  I'm a big fan.
[01:44:07.541 --> 01:44:13.363]  I've been watching the show for some time, and I'm thankful to be able to share, you know, my story and who I am with your audience.
[01:44:16.224 --> 01:44:17.724]  We're in a crisis, right?
[01:44:17.824 --> 01:44:18.805]  This country is in trouble.
[01:44:19.325 --> 01:44:23.206]  I think the free people of the world are in trouble, but this country is in trouble.
[01:44:23.746 --> 01:44:30.849]  And, you know, there's a lot of crisis across the board, but I really believe the front line of crisis is citizenship, right?
[01:44:30.949 --> 01:44:43.271]   And ultimately, You know, we are in a battle where there are a lot of people in this country that just believe America is dead, right?
[01:44:43.331 --> 01:44:49.677]  And there are a lot of people in power who believe that, you know, we're in this sort of managed decline.
[01:44:50.678 --> 01:44:54.401]  And I'm not willing to give up the American dream, right?
[01:44:54.461 --> 01:44:55.942]  I'm not willing to give up on America.
[01:44:56.002 --> 01:44:57.744]  I'm not willing to give up my stake in America.
[01:44:58.380 --> 01:45:10.298]  I think that people like Ilhan Omar and AOC think that they're getting some type of quid pro quo deal where when the authoritarians take over, when tyranny really comes down to bear, that it'll miss them.
[01:45:11.139 --> 01:45:24.424]  And I see past that, and I'm trying to urge, you know, this sort of free people of America, this populist movement, to press down on the gas and fight back against tyranny, against authoritarianism, against this technocracy, against new world order, globalism.
[01:45:24.564 --> 01:45:25.064]  I love that.
[01:45:25.164 --> 01:45:27.725]  Recognize we're under attack by globalists and press on the gas.
[01:45:27.765 --> 01:45:28.345]  How do we do that?
[01:45:28.365 --> 01:45:34.788]  Well, I think it's two-tiered, right?
[01:45:35.188 --> 01:45:38.689]  The grandiosity of the federal government is undermining the meaning of community.
[01:45:39.386 --> 01:45:42.549]  And the arrogance of globalism is undermining the value of country.
[01:45:43.269 --> 01:45:43.490]  Right?
[01:45:43.730 --> 01:45:52.457]  And so we have to understand that our citizenship, American citizenship, is the front line of defense against tyranny around the world.
[01:45:53.418 --> 01:45:54.779]  And we have to take up that mantle.
[01:45:54.799 --> 01:45:56.240]  We have to hold that responsibility.
[01:45:56.280 --> 01:46:07.650]  We have to hold the line here in America for our citizenship and the value that it holds and the rights that it holds in order to slow down the momentum of tyranny from here all the way to, you know, the South Pacific.
