[00:26.000 --> 00:28.000]  You don't need
[40:20.000 --> 40:22.000]  when I see this
[40:24.000 --> 40:26.000]  it just boggles the mind
[40:26.000 --> 40:28.000]  it just boggles the mind
[40:30.000 --> 40:32.000]  and there's really not even words to describe it
[40:32.000 --> 40:34.000]  the democratic party working for the UN
[40:34.000 --> 40:36.000]  and the globalist
[40:36.000 --> 40:38.000]  does a worldwide lockdown
[40:38.000 --> 40:40.000]  opens the borders, floods us with tens of millions of people
[40:40.000 --> 40:42.000]  and then the republicans ship
[40:42.000 --> 40:44.000]  50 people
[40:44.000 --> 40:46.000]  to the naval observatory in DC
[40:46.000 --> 40:48.000]  where the vice president puppet lives
[40:48.000 --> 40:50.000]  Kamala Harris
[40:50.000 --> 40:52.000]  and they ship 48 people to Martha's Vineyard
[40:52.000 --> 40:54.000]  and they ship a few thousand to Chicago
[40:54.000 --> 40:56.000]  and
[40:56.000 --> 40:58.000]  they literally call it human trafficking
[40:58.000 --> 41:00.000]  and they call it illegal
[41:00.000 --> 41:02.000]  when they're the ones running and all
[41:02.000 --> 41:04.000]  it's just so insane
[41:04.000 --> 41:06.000]  to watch them say
[41:06.000 --> 41:08.000]  we are so enriched by the 48 illegal aliens
[41:08.000 --> 41:10.000]  that came here
[41:10.000 --> 41:12.000]  but we shipped them all away
[41:12.000 --> 41:14.000]  and to see gushing articles how good the left is
[41:14.000 --> 41:16.000]  and how wonderful they are
[41:16.000 --> 41:18.000]  and to see Twitter left us celebrating
[41:18.000 --> 41:20.000]  how they love migrants
[41:20.000 --> 41:22.000]  when they're the first people that don't want any
[41:22.000 --> 41:24.000]  of these folks around them
[41:24.000 --> 41:26.000]  it is just incredible
[41:28.000 --> 41:30.000]  White House compares republican governors
[41:30.000 --> 41:32.000]  to migrant smugglers, White House press secretary
[41:32.000 --> 41:34.000]  we got the video of that
[41:36.000 --> 41:38.000]  Hillary Clinton calls Martha's Vineyard
[41:38.000 --> 41:40.000]  migrant crisis illegal human
[41:40.000 --> 41:42.000]  trafficking
[41:42.000 --> 41:44.000]  Newsom asked DOJ
[41:44.000 --> 41:46.000]  to explore kidnapping charges
[41:46.000 --> 41:48.000]  against GOP governors
[41:48.000 --> 41:50.000]  for busing migrants
[41:50.000 --> 41:52.000]  attorneys representing more than 30 migrants
[41:52.000 --> 41:54.000]  going to Massachusetts urged criminal investigations
[41:54.000 --> 41:56.000]  when we're there
[41:56.000 --> 41:58.000]  over the last few years showing children
[41:58.000 --> 42:00.000]  being handed to random men
[42:00.000 --> 42:02.000]  to be put in vans
[42:02.000 --> 42:04.000]  and driven to God knows where
[42:04.000 --> 42:06.000]  true human smuggling
[42:06.000 --> 42:08.000]  the left loves it, they cover it up
[42:08.000 --> 42:10.000]  they say oh Jones staged that footage
[42:10.000 --> 42:12.000]  a kid's being loaded in the van, no it was real
[42:16.000 --> 42:18.000]  but then when they do it
[42:18.000 --> 42:20.000]  it's a good thing
[42:20.000 --> 42:22.000]  and then when Republicans
[42:22.000 --> 42:24.000]  just take a few people
[42:24.000 --> 42:26.000]  that were already vetted and released
[42:26.000 --> 42:28.000]  about to be flown to Florida
[42:28.000 --> 42:30.000]  and when the states fly that up
[42:30.000 --> 42:32.000]  when the states do that
[42:32.000 --> 42:34.000]  they totally freak out
[42:34.000 --> 42:36.000]  here's the headline, they're enriching us
[42:36.000 --> 42:38.000]  migrants 44 hour visit leaves
[42:38.000 --> 42:40.000]  in double the mark on Martha's Vineyard
[42:40.000 --> 42:42.000]  well don't worry you trendy
[42:42.000 --> 42:44.000]  soulless scum, more is coming
[42:44.000 --> 42:46.000]  then democrat open borders activist
[42:46.000 --> 42:48.000]  says the Santa sitting
[42:48.000 --> 42:50.000]  migrants in Martha's Vineyard is dumping trash
[42:50.000 --> 42:52.000]  imagine a Republican call these people
[42:52.000 --> 42:54.000]  these refugees from globalism trash
[42:54.000 --> 42:56.000]  what would happen
[42:56.000 --> 43:18.000]  the best selling book in America last week was the great reset and the war for the worlds written by Alex Jones
[43:18.000 --> 43:28.000]  the paper that started the Iraq war by lying about weapons mass destruction and got a million people killed
[43:28.000 --> 43:30.000]  the great reset and the war for the world
[43:30.000 --> 43:32.000]  the historic book that lays out the plans
[43:32.000 --> 43:34.000]  of the great reset Death Star
[43:34.000 --> 43:36.000]  and exposes the new world order's plans
[43:36.000 --> 43:38.000]  for global enslavement
[43:38.000 --> 43:40.000]  get your copy now
[43:40.000 --> 43:42.000]  at amazon.com
[43:42.000 --> 43:44.000]  to keep the book at number one
[43:44.000 --> 43:46.000]  at infowarstore.com
[43:46.000 --> 43:50.000]  to help keep info wars on the air
[43:50.000 --> 43:52.000]  the great reset and the war for the world
[43:52.000 --> 43:54.000]  by Alex Jones
[43:54.000 --> 44:18.000]  now number one in the world
[44:18.000 --> 44:24.000]  take a couple of these capsules an hour before bed
[44:24.000 --> 44:26.000]  there are actually some studies out there
[44:26.000 --> 44:28.000]  linking it to amazing
[44:28.000 --> 44:30.000]  events in the brain
[44:30.000 --> 44:32.000]  but I want you to experience it yourself
[44:32.000 --> 44:34.000]  we know it's good for your heart
[44:34.000 --> 44:36.000]  we know it's good for your brain
[44:36.000 --> 44:38.000]  we know it's good for your arteries and veins and your lungs
[44:38.000 --> 44:40.000]  and every other function in your body
[44:40.000 --> 44:42.000]  but I want you to experience
[44:42.000 --> 44:44.000]  this high grade fish oil
[44:44.000 --> 44:46.000]  this ultimate fish oil
[44:46.000 --> 44:48.000]  that it does if you take it before bedtime
[44:48.000 --> 44:50.000]  ultimate fish oil
[44:50.000 --> 44:52.000]  50% off now exclusively available
[44:52.000 --> 44:54.000]  at infowarstore.com
[44:54.000 --> 44:56.000]  thank you all for your support
[44:56.000 --> 44:58.000]  you're really going to miss out if you don't get it
[44:58.000 --> 45:00.000]  ultimate fish oil
[45:00.000 --> 45:02.000]  is back in stock at infowarstore.com
[45:02.000 --> 45:04.000]  what does ultimate mean?
[45:04.000 --> 45:06.000]  that's just our name for the best
[45:06.000 --> 45:08.000]  the highest grade
[45:08.000 --> 45:10.000]  what this
[45:10.000 --> 45:12.000]  concentrated and showy oil
[45:12.000 --> 45:14.000]  pure arctic krill oil
[45:14.000 --> 45:16.000]  and high quality wild caught salmon oil
[45:16.000 --> 45:18.000]  does
[45:18.000 --> 45:20.000]  for your brain, your heart
[45:20.000 --> 45:22.000]  your cardiovascular system
[45:22.000 --> 45:24.000]  and for your entire body's functions
[45:24.000 --> 45:26.000]  is insane
[45:26.000 --> 45:28.000]  regular low grade fish oil
[45:28.000 --> 45:30.000]  in all the studies does outstanding things
[45:30.000 --> 45:32.000]  this is the highest grade
[45:32.000 --> 45:34.000]  and it's not been pasteurized
[45:34.000 --> 45:36.000]  it's not been boiled
[45:36.000 --> 45:38.000]  so it has its original effects intact
[45:38.000 --> 45:40.000]  ladies and gentlemen
[45:40.000 --> 45:42.000]  everybody should visit infowarstore.com
[45:42.000 --> 45:44.000]  today and get ultimate fish oil
[45:44.000 --> 45:46.000]  finally back in stock
[45:46.000 --> 45:48.000]  for 50% off
[45:48.000 --> 45:50.000]  for our regular fans and our big supporters
[45:50.000 --> 45:52.000]  you're going to love it, you know how great it is
[45:52.000 --> 45:54.000]  but for folks that have been on the fence
[45:54.000 --> 45:56.000]  experience ultimate fish oil for yourself
[45:56.000 --> 45:58.000]  try taking some before bedtime
[45:58.000 --> 46:00.000]  and see what happens with your dreams
[46:02.000 --> 46:04.000]  granny do right
[46:04.000 --> 46:06.000]  granny do right, thanks for holding her on the ear
[46:06.000 --> 46:08.000]  go ahead
[46:08.000 --> 46:10.000]  first of all let me say I love your products
[46:10.000 --> 46:12.000]  granny and for all the
[46:12.000 --> 46:14.000]  senior citizens out there that may have
[46:14.000 --> 46:16.000]  spent a lifetime in the sun like me
[46:16.000 --> 46:18.000]  I was loaded up with sunspots
[46:18.000 --> 46:20.000]  or age spots as they're lovingly called
[46:20.000 --> 46:22.000]  but since taking your X2
[46:22.000 --> 46:24.000]  for the last couple of years my skin
[46:24.000 --> 46:26.000]  is just really gorgeous actually
[46:26.000 --> 46:28.000]  people think I'm 55 years old
[46:28.000 --> 46:30.000]  and
[46:30.000 --> 46:32.000]  I was already taking your other supplements
[46:32.000 --> 46:34.000]  but I thought, you know, well maybe that's what
[46:34.000 --> 46:36.000]  I need to do because I just thought it was
[46:36.000 --> 46:38.000]  a hopeless situation but when I started
[46:38.000 --> 46:40.000]  taking it, I mean it doesn't happen immediately
[46:40.000 --> 46:42.000]  but, you know, over a period of
[46:42.000 --> 46:44.000]  time I started noticing
[46:44.000 --> 46:46.000]  okay, you know, this is the ticket
[46:46.000 --> 46:48.000]  this is working, this is wonderful, you know
[46:48.000 --> 46:50.000]  I don't have to put
[46:50.000 --> 46:52.000]  on derma blend anymore, you know
[46:52.000 --> 46:54.000]  so anyway, it worked wonderfully
[46:54.000 --> 46:56.000]  and it really has totally
[46:56.000 --> 47:10.000]  cleared up my skin
[47:32.000 --> 47:34.000]  we have confirmed
[47:34.000 --> 47:36.000]  reports
[47:36.000 --> 47:38.000]  and videos around the world
[47:38.000 --> 47:40.000]  with major corporations
[47:40.000 --> 47:42.000]  funding drag queen pedophile time
[47:42.000 --> 47:44.000]  in many cases any convicted pedophiles
[47:44.000 --> 47:46.000]  that 5 year old sit on their knee
[47:46.000 --> 47:48.000]  while they're reading books
[47:48.000 --> 47:50.000]  this is the predators marking their prey
[47:52.000 --> 47:54.000]  and we see all over the western world
[47:54.000 --> 47:56.000]  tens of thousands, hundreds of thousands
[47:56.000 --> 47:58.000]  of children being sterilized
[47:58.000 --> 48:00.000]  little girls breasts being cut off
[48:00.000 --> 48:02.000]  little boys genders being cut off
[48:02.000 --> 48:04.000]  all this is going on
[48:04.000 --> 48:06.000]  if you're a radio listener, you're lucky
[48:06.000 --> 48:08.000]  you're not going to have to see this
[48:08.000 --> 48:10.000]  but the video and the photos are on infowars.com
[48:10.000 --> 48:12.000]  it surfaced
[48:12.000 --> 48:14.000]  Friday
[48:14.000 --> 48:16.000]  footage
[48:16.000 --> 48:18.000]  out of a major
[48:18.000 --> 48:20.000]  Ontario high school
[48:20.000 --> 48:22.000]  of a man, dressed as a woman
[48:22.000 --> 48:24.000]  with
[48:24.000 --> 48:26.000]  500D breasts
[48:28.000 --> 48:30.000]  these are breasts that each one is bigger
[48:30.000 --> 48:32.000]  than a beach ball
[48:32.000 --> 48:34.000]  with giant nipples
[48:34.000 --> 48:36.000]  I'm describing this
[48:36.000 --> 48:38.000]  with a disgusting, grotesque, ugly man
[48:38.000 --> 48:40.000]  with a blonde wig on
[48:40.000 --> 48:42.000]  in front of his ninth grade students
[48:42.000 --> 48:44.000]  wandering around
[48:44.000 --> 48:46.000]  in front of them
[48:46.000 --> 48:48.000]  and the school has now
[48:48.000 --> 48:50.000]  defended this
[48:50.000 --> 48:52.000]  poorly be going on weeks
[48:52.000 --> 48:54.000]  and school started
[48:54.000 --> 48:56.000]  update Ontario high school defense
[48:56.000 --> 48:58.000]  transgender teacher
[48:58.000 --> 49:00.000]  who wears massive grotesque boobs
[49:00.000 --> 49:02.000]  at school in the name of
[49:02.000 --> 49:04.000]  inclusivity
[49:04.000 --> 49:06.000]  woke Ontario high school defense
[49:06.000 --> 49:08.000]  transgender teacher who flaunts
[49:08.000 --> 49:10.000]  massive fake boobs in class
[49:10.000 --> 49:12.000]  infowars.com
[49:12.000 --> 49:14.000]  Ontario high school teacher seen wearing
[49:14.000 --> 49:16.000]  massive prosthetic busts
[49:16.000 --> 49:18.000]  to class
[49:18.000 --> 49:20.000]  men
[49:20.000 --> 49:22.000]  Ontario high school teacher seen wearing
[49:22.000 --> 49:24.000]  massive prosthetic busts
[49:26.000 --> 49:28.000]  it's not just putting men
[49:28.000 --> 49:30.000]  in women's wrestling and cycling
[49:30.000 --> 49:32.000]  and swimming to dominate it
[49:32.000 --> 49:34.000]  and soccer and track
[49:34.000 --> 49:36.000]  now it's men
[49:36.000 --> 49:38.000]  dressed like total clowns
[49:38.000 --> 49:40.000]  running buzz sauce
[49:40.000 --> 49:42.000]  can't make that up
[49:42.000 --> 49:44.000]  with giant fake breasts
[49:44.000 --> 49:46.000]  to flaunt it and roll it in your face
[49:46.000 --> 49:48.000]  and make everything about weird sexual
[49:48.000 --> 49:50.000]  perversion
[49:50.000 --> 49:52.000]  this is how they're messing with our children
[49:52.000 --> 49:54.000]  and I saw this
[49:54.000 --> 49:56.000]  meme out today
[49:56.000 --> 49:58.000]  a radio literature I'll describe it
[49:58.000 --> 50:00.000]  shows a 1980's teenager
[50:00.000 --> 50:02.000]  with wild blonde hair
[50:02.000 --> 50:04.000]  says 1980's kids
[50:04.000 --> 50:06.000]  I can't believe
[50:06.000 --> 50:08.000]  I had that hairstyle
[50:08.000 --> 50:10.000]  2000's kids I can't believe
[50:10.000 --> 50:12.000]  I dressed like that
[50:12.000 --> 50:14.000]  2000's kids
[50:14.000 --> 50:16.000]  I can't believe I cut my breast off
[50:20.000 --> 50:22.000]  this is all CIA
[50:22.000 --> 50:24.000]  new world order
[50:24.000 --> 50:26.000]  destabilization tactics
[50:26.000 --> 50:28.000]  to get you ready to accept
[50:28.000 --> 50:30.000]  eating bugs, drinking sewage
[50:30.000 --> 50:32.000]  having nothing, homeless camps
[50:32.000 --> 50:34.000]  everywhere they admit
[50:34.000 --> 50:36.000]  this is their plan
[50:38.000 --> 50:40.000]  and they think you're so weak
[50:40.000 --> 50:42.000]  that you're gonna put up with it
[50:42.000 --> 50:44.000]  but if you are a nationalist
[50:44.000 --> 50:46.000]  a Christian or conservative
[50:46.000 --> 50:48.000]  and you're on Facebook
[50:48.000 --> 50:50.000]  and you're having private messages
[50:50.000 --> 50:52.000]  with people and organizing
[50:52.000 --> 50:54.000]  I told you years ago they were spying on these
[50:56.000 --> 50:58.000]  Facebook spied on private messages
[50:58.000 --> 51:00.000]  of conservative right wing individuals
[51:00.000 --> 51:02.000]  then reported them to the FBI
[51:02.000 --> 51:04.000]  for domestic terrorism despite there was no terror
[51:04.000 --> 51:06.000]  and no terror charges
[51:06.000 --> 51:08.000]  criticizing the election
[51:08.000 --> 51:10.000]  criticizing open borders
[51:10.000 --> 51:12.000]  and no control
[51:12.000 --> 51:14.000]  got you put on an FBI list
[51:14.000 --> 51:16.000]  by Mark Zuckerberg
[51:16.000 --> 51:18.000]  these people are criminal tyrants
[51:18.000 --> 51:20.000]  using psychological warfare
[51:20.000 --> 51:22.000]  good news out of Texas
[51:22.000 --> 51:24.000]  court rules against social media
[51:24.000 --> 51:26.000]  companies in free speech
[51:26.000 --> 51:28.000]  censorship fight
[51:28.000 --> 51:30.000]  meanwhile
[51:30.000 --> 51:32.000]  in the show trial going on in Connecticut
[51:32.000 --> 51:34.000]  that I'll be at starting tomorrow
[51:34.000 --> 51:36.000]  Alex shows the info wars were immediately sanctions
[51:36.000 --> 51:38.000]  five minutes into his second damages
[51:38.000 --> 51:40.000]  trial vice news
[51:40.000 --> 51:42.000]  Yahoo news, AP Reuters all of them
[51:42.000 --> 51:44.000]  she'd already done it saying we couldn't raise evidence
[51:44.000 --> 51:46.000]  she'd already done it saying we couldn't
[51:46.000 --> 51:48.000]  basically talk
[51:48.000 --> 51:50.000]  had to tell her all our questions
[51:50.000 --> 51:52.000]  she already found us guilty
[51:52.000 --> 51:54.000]  now she's trying to restrict us even challenging that
[51:54.000 --> 51:56.000]  this is a kangaroo court
[51:56.000 --> 51:58.000]  this is their system
[51:58.000 --> 52:00.000]  on trial
[52:04.000 --> 52:06.000]  Donald Trump slams militant
[52:06.000 --> 52:08.000]  left winger Tim Ryan for kill
[52:08.000 --> 52:10.000]  MAGA comments
[52:10.000 --> 52:12.000]  after the summit
[52:12.000 --> 52:14.000]  Biden had Thursday
[52:14.000 --> 52:16.000]  big tech step censorship
[52:16.000 --> 52:18.000]  against anyone
[52:18.000 --> 52:20.000]  criticizing this criminal regime
[52:20.000 --> 52:22.000]  this is a
[52:22.000 --> 52:24.000]  takeover period
[52:24.000 --> 52:26.000]  and now
[52:26.000 --> 52:28.000]  no one's even denying that
[52:30.000 --> 52:32.000]  and that's what I wanted to say earlier
[52:32.000 --> 52:34.000]  let's play that clip again of the standing ovation
[52:34.000 --> 52:36.000]  at
[52:36.000 --> 52:38.000]  turning point USA and Phoenix
[52:38.000 --> 52:40.000]  yesterday
[52:40.000 --> 52:42.000]  I was interviewed or basically have a speech for an hour
[52:42.000 --> 52:44.000]  by Charlie Kirk
[52:44.000 --> 52:46.000]  and
[52:46.000 --> 52:48.000]  the heart of the Republican resistance
[52:48.000 --> 52:50.000]  gave me a standing ovation
[52:50.000 --> 52:52.000]  well they were already big supporters
[52:52.000 --> 52:54.000]  they were already good people
[52:54.000 --> 52:56.000]  but now even the heart of the Republican
[52:56.000 --> 52:58.000]  system
[52:58.000 --> 53:00.000]  knows I'm right
[53:00.000 --> 53:02.000]  and knows you're right as an info warrior
[53:02.000 --> 53:04.000]  these are incredible success so as bad as things are
[53:04.000 --> 53:06.000]  and as the laundry
[53:06.000 --> 53:08.000]  list of things I go over is so terrible
[53:10.000 --> 53:12.000]  the good news is
[53:12.000 --> 53:14.000]  we're winning the hearts and minds
[53:14.000 --> 53:16.000]  that's why they want to flood the zone with
[53:16.000 --> 53:18.000]  obese men and blonde wigs
[53:18.000 --> 53:20.000]  with giant fake breasts in front of children
[53:20.000 --> 53:22.000]  and drag queen shory time is just to do so much crazy stuff
[53:22.000 --> 53:24.000]  you get overwhelmed and give up
[53:24.000 --> 53:26.000]  don't get overwhelmed
[53:26.000 --> 53:28.000]  don't give up
[53:28.000 --> 53:30.000]  realize we're winning that's why they're doing this
[53:30.000 --> 53:32.000]  I stay in the fight because I know
[53:32.000 --> 53:34.000]  the enemy is collapsing
[53:34.000 --> 53:36.000]  everyone's turning against him and we're going to win in the end
[53:36.000 --> 53:38.000]  so here's that standing ovation
[53:54.000 --> 53:56.000]  this is what
[53:56.000 --> 53:58.000]  panics the deep state
[53:58.000 --> 54:00.000]  this is what upsets them
[54:00.000 --> 54:02.000]  this is what they can't stand
[54:04.000 --> 54:06.000]  so let's talk about the leadership
[54:06.000 --> 54:08.000]  we've got
[54:08.000 --> 54:10.000]  the leader of the conservative party set to win the next
[54:10.000 --> 54:12.000]  election is totally anti-new world war
[54:12.000 --> 54:14.000]  his rhetoric is as good as balsam
[54:14.000 --> 54:16.000]  arrow he's under massive attack
[54:16.000 --> 54:18.000]  and all over the world
[54:18.000 --> 54:20.000]  in Sweden and in Italy
[54:20.000 --> 54:22.000]  they're electing people that are super hardcore
[54:22.000 --> 54:24.000]  as well so again as bad
[54:24.000 --> 54:26.000]  as things are
[54:26.000 --> 54:28.000]  they expected to roll out their global collapse
[54:28.000 --> 54:30.000]  and have us just accept it
[54:30.000 --> 54:32.000]  but we didn't accept it
[54:32.000 --> 54:34.000]  and there's other great people
[54:34.000 --> 54:36.000]  like Kerry Lake
[54:36.000 --> 54:38.000]  who in real polls is 20 points ahead of the democrat
[54:38.000 --> 54:40.000]  who won't even debate her
[54:40.000 --> 54:42.000]  declaration of invasion
[54:42.000 --> 54:44.000]  Kerry Lake's bold plan
[54:44.000 --> 54:46.000]  to end border crisis exactly this is an invasion
[54:46.000 --> 54:48.000]  this is an emergency
[54:48.000 --> 54:50.000]  Ron DeSantis
[54:50.000 --> 54:52.000]  this hypocritical rich elite ship
[54:52.000 --> 54:54.000]  migrants all over the 48 hours
[54:54.000 --> 54:56.000]  DC mayor browser
[54:56.000 --> 54:58.000]  we're not a border town
[54:58.000 --> 55:00.000]  we don't have the infrastructure to handle this type of level of immigration
[55:00.000 --> 55:02.000]  to our city but poor texas towns do
[55:02.000 --> 55:04.000]  it goes on and on
[55:04.000 --> 55:06.000]  this is the big
[55:06.000 --> 55:08.000]  awakening Wayne Allen root says
[55:08.000 --> 55:10.000]  how we destroy democrats make it rain illegal
[55:10.000 --> 55:12.000]  aliens everywhere woke liberals live
[55:12.000 --> 55:14.000]  absolutely
[55:14.000 --> 55:16.000]  and it goes on
[55:16.000 --> 55:18.000]  from there that's why they're wanting
[55:18.000 --> 55:20.000]  criminal indictments against republican
[55:20.000 --> 55:22.000]  leaders that just ship a few illegal
[55:22.000 --> 55:24.000]  aliens to their area
[55:24.000 --> 55:26.000]  because they want to use this
[55:26.000 --> 55:28.000]  as a political cultural weapon
[55:28.000 --> 55:30.000]  against everybody else
[55:30.000 --> 55:32.000]  not against us
[55:32.000 --> 55:34.000]  but it's backfiring
[55:34.000 --> 55:36.000]  and their propaganda and their brainwashing
[55:36.000 --> 55:38.000]  isn't working
[55:40.000 --> 55:42.000]  as I mentioned earlier
[55:42.000 --> 55:44.000]  Florida governor Ron DeSantis breaks gubernatorial fundraising record
[55:44.000 --> 55:46.000]  by a massive swath
[55:46.000 --> 55:48.000]  way ahead of the election
[55:48.000 --> 55:50.000]  again if people simply fund the opposition
[55:50.000 --> 55:52.000]  and fund the resistance
[55:52.000 --> 55:54.000]  we will win in spades
[55:54.000 --> 55:56.000]  if you don't
[55:56.000 --> 55:58.000]  we will lose and I'll say it again
[55:58.000 --> 56:00.000]  great go fund DeSantis
[56:00.000 --> 56:02.000]  that's a good place to give money
[56:02.000 --> 56:04.000]  but man info wars wrote the book
[56:04.000 --> 56:06.000]  the battle plan I wrote the book
[56:06.000 --> 56:08.000]  literally
[56:08.000 --> 56:10.000]  the literal blueprint of the enemy operation
[56:10.000 --> 56:12.000]  number one book in the world
[56:12.000 --> 56:14.000]  and yeah in a few months we'll probably get a
[56:14.000 --> 56:16.000]  lot of money for the book we sold and that'll be great
[56:16.000 --> 56:18.000]  ain't got the money yet need support now
[56:18.000 --> 56:20.000]  get a signed copy of the book as a fundraiser
[56:20.000 --> 56:22.000]  or an unsigned copy
[56:22.000 --> 56:24.000]  at infowarstore.com
[56:24.000 --> 56:26.000]  get a copy for 20 something bucks
[56:26.000 --> 56:28.000]  unsigned or be a fundraiser
[56:28.000 --> 56:30.000]  and get
[56:30.000 --> 56:32.000]  the signed book a piece of history we need your support now
[56:32.000 --> 56:34.000]  infowarstore.com
[56:34.000 --> 56:36.000]  or AAA 253 313
[56:36.000 --> 56:38.000]  and it takes money
[56:38.000 --> 56:40.000]  to win wars it takes energy
[56:40.000 --> 56:42.000]  it takes focus it takes dedication or
[56:42.000 --> 56:44.000]  you can take the consequences what they're going to do to you
[56:44.000 --> 56:46.000]  it's your choice
[56:46.000 --> 56:48.000]  I'm not backing down I'm not slowing down
[56:48.000 --> 56:50.000]  I'm peddling the metal balls the walls
[56:50.000 --> 56:52.000]  but I can't do it without you now
[56:52.000 --> 56:54.000]  I'm going to start the next hour
[56:54.000 --> 56:56.000]  with
[56:56.000 --> 56:58.000]  the world economic forums latest developments
[56:58.000 --> 57:00.000]  latest announcements for you and your family
[57:00.000 --> 57:02.000]  and Bill Clinton
[57:02.000 --> 57:04.000]  and the globalist pushing critical race theory
[57:04.000 --> 57:06.000]  and the huge
[57:06.000 --> 57:08.000]  stack of news I've got on covid 9
[57:08.000 --> 57:10.000]  tyranny covid 19 tyranny
[57:10.000 --> 57:12.000]  we have got a lot of good developments and a lot of
[57:12.000 --> 57:14.000]  bad developments and a lot of ugly developments
[57:14.000 --> 57:16.000]  but the US military is now announcing
[57:16.000 --> 57:18.000]  no more four shots that whole
[57:18.000 --> 57:20.000]  hoax is imploding and I've got a statistic
[57:20.000 --> 57:22.000]  I'm going to show you that's so critical
[57:24.000 --> 57:26.000]  I'll show you from the CDC
[57:26.000 --> 57:28.000]  some numbers this graph as we go to break
[57:30.000 --> 57:32.000]  this graph is people taking a shot
[57:32.000 --> 57:34.000]  no one is taking it now
[57:34.000 --> 57:36.000]  that shows they failed
[57:36.000 --> 57:38.000]  this is the biggest success we've had yet
[57:38.000 --> 57:40.000]  they were hoping for capitulation
[57:40.000 --> 57:42.000]  but you didn't capitulate
[57:42.000 --> 57:44.000]  you didn't give up it's coming up
[57:44.000 --> 57:46.000]  hour number two stay with us
[57:46.000 --> 57:48.000]  info wars.com
[57:50.000 --> 57:52.000]  just look at these
[57:52.000 --> 57:54.000]  headlines from Reuters
[57:54.000 --> 57:56.000]  world faces unprecedented global hunger crisis
[57:56.000 --> 57:58.000]  UN chief says going into
[57:58.000 --> 58:00.000]  2023
[58:00.000 --> 58:02.000]  world food program warns of global
[58:02.000 --> 58:04.000]  food catastrophe
[58:04.000 --> 58:06.000]  looming global catastrophe
[58:06.000 --> 58:08.000]  the world could run out of food by 2023
[58:08.000 --> 58:10.000]  major studies say and the reports
[58:10.000 --> 58:12.000]  are going on and on
[58:12.000 --> 58:14.000]  we told you this was a designed program
[58:14.000 --> 58:16.000]  by the globalist two and a half years ago
[58:16.000 --> 58:18.000]  we told you energy and food prices would explode
[58:18.000 --> 58:20.000]  and now they're up more than 40% in the US alone
[58:20.000 --> 58:22.000]  some areas of the world are up over 100%
[58:22.000 --> 58:24.000]  the only way you beat inflation
[58:24.000 --> 58:26.000]  and protect yourself and your family
[58:26.000 --> 58:28.000]  is with high quality, affordable food
[58:28.000 --> 58:30.000]  ready to ship right now at
[58:30.000 --> 58:32.000]  preparetoday.com
[58:32.000 --> 58:34.000]  at a very rare sale of 10% off
[58:34.000 --> 58:36.000]  site wide
[58:36.000 --> 58:38.000]  not just on affordable food but survival
[58:38.000 --> 58:40.000]  food.com
[58:40.000 --> 58:42.000]  and on top of it any order above $99
[58:42.000 --> 58:44.000]  gets free shipping that is a huge part
[58:44.000 --> 58:46.000]  of the cost of affordable food
[58:46.000 --> 58:48.000]  so go to preparetoday.com
[58:48.000 --> 58:50.000]  and protect yourself and your family while you still can
[58:50.000 --> 58:52.000]  ladies and gentlemen if millions of people get this book
[58:52.000 --> 58:54.000]  our funding problems will be over
[58:54.000 --> 58:56.000]  and it's starting to happen that's why I said
[58:56.000 --> 58:58.000]  go to info wars.com get the book
[58:58.000 --> 59:00.000]  it starts shipping in a couple weeks
[59:00.000 --> 59:02.000]  the great reset in the war for the world
[59:02.000 --> 59:04.000]  but I said go to Amazon because it's the number one book chart
[59:04.000 --> 59:06.000]  in the world and if it goes to number one
[59:06.000 --> 59:08.000]  it's political not of history
[59:08.000 --> 59:10.000]  not of US history it's already number one over 40 categories
[59:10.000 --> 59:12.000]  like political science
[59:12.000 --> 59:14.000]  you name it 40 plus categories is number one
[59:14.000 --> 59:16.000]  ladies and gentlemen
[59:16.000 --> 59:18.000]  drum roll please
[59:18.000 --> 59:20.000]  of books in the world
[59:20.000 --> 59:22.000]  the great reset in the war for the world
[59:22.000 --> 59:26.000]  is 1, 2, 3, 4, 5, 6, 7, 8, 9
[59:26.000 --> 59:28.000]  we are now number 9
[59:28.000 --> 59:30.000]  in the world
[59:30.000 --> 59:32.000]  this is major
[59:32.000 --> 59:34.000]  this is political this could fund our war chest
[59:34.000 --> 59:36.000]  just go to Amazon.com everybody
[59:36.000 --> 59:38.000]  and buy 10 copies
[59:38.000 --> 59:40.000]  send this blueprint to the Death Star
[59:40.000 --> 59:42.000]  and the New World Order
[59:42.000 --> 59:44.000]  cause you read this you know their whole plan how to stop them
[59:44.000 --> 59:46.000]  get the great reset in the war for the world now
[59:46.000 --> 1:00:14.000]  we are back live and I'm getting on a plane tomorrow morning to go to Connecticut
[1:00:14.000 --> 1:00:16.000]  where they have a literal second rig trial
[1:00:16.000 --> 1:00:18.000]  where I've already been found guilty
[1:00:18.000 --> 1:00:20.000]  and where the judge came out and said
[1:00:20.000 --> 1:00:22.000]  oh you're gonna have to fight us on appeal
[1:00:22.000 --> 1:00:24.000]  you will be found guilty
[1:00:24.000 --> 1:00:26.000]  she's found me guilty now the jury decides
[1:00:26.000 --> 1:00:28.000]  how guilty
[1:00:28.000 --> 1:00:30.000]  that is coming up
