[00:00:00.349 --> 00:00:02.210]  Emergency Tuesday broadcast.
[01:34:17.676 --> 01:34:19.997]  gave details from his sources.
[01:34:19.997 --> 01:34:29.997]  [BLANK_AUDIO]
[01:34:21.441 --> 01:34:23.363]  Now it's all vindicated with the Durham investigation.
[01:34:23.383 --> 01:34:24.323]  That's coming up in a few minutes.
[01:34:24.483 --> 01:34:32.048]  But getting back to these other legal issues, Norm Pattis, constitutional lawyer, what do you make of the Sarah Palin situation?
[01:34:32.108 --> 01:34:32.969]  I like Sarah Palin.
[01:34:33.669 --> 01:34:41.054]  I think it's wrong that the New York Times falsely said that she put crosshairs over the head of a Congresswoman and others that later got shot, six killed.
[01:34:42.674 --> 01:34:46.155]  But I believe in the First Amendment, and we can't prove they lied on purpose.
[01:34:46.955 --> 01:34:50.996]  I really think the New York Times versus Sullivan or Sullivan New York Times should stand.
[01:34:51.636 --> 01:34:56.738]  But it seems we're creating a system where the New York Times gets its speech, but Alex Jones doesn't get its speech.
[01:34:56.758 --> 01:34:58.478]  There's the Alex Jones exception.
[01:34:58.498 --> 01:34:59.618]  So I like Sarah Palin.
[01:35:00.098 --> 01:35:02.539]  But at the same time, she was a vice presidential candidate.
[01:35:03.610 --> 01:35:04.811]  She's been a big politician.
[01:35:05.292 --> 01:35:09.096]  She's in a big, you know, man-woman's world.
[01:35:09.136 --> 01:35:12.039]  And in my experience, you get in the arena, you better expect stuff.
[01:35:12.279 --> 01:35:17.344]  I mean, if I sued people every time they lied about me or said, you know, really bad things, I'd be in the court all day.
[01:35:17.744 --> 01:35:18.525]  That's my view.
[01:35:18.545 --> 01:35:19.987]  People say, why haven't I sued a bunch of people?
[01:35:20.007 --> 01:35:20.928]  Well, that's not who I am.
[01:35:21.568 --> 01:35:25.874]  I sued the January 6th committee with you because that's my private stuff and they don't deserve it and it's a lie.
[01:35:26.755 --> 01:35:35.086]  But just in closing, what do you make of the judge, while the jury deliberating, throwing out and saying they didn't have malice of forethought with intent to do harm?
[01:35:35.126 --> 01:35:36.268]  I mean, how do we know that?
[01:35:37.805 --> 01:35:49.915]  Well, all judges have a responsibility to prevent cases from getting to a jury unless there's sufficient evidence for a reasonable jury to find in favor of the plaintiff or the government if it's a criminal case.
[01:35:50.255 --> 01:35:52.517]  This judge concluded that Ms.
[01:35:52.557 --> 01:35:58.182]  Palin had not produced at trial sufficient evidence of malice to permit the case to go to judgment.
[01:35:58.342 --> 01:36:01.605]  However, the judge did something very, very significant.
[01:36:01.885 --> 01:36:06.509]  He basically took a reservation on that decision and he's letting the jury continue to deliberate.
[01:36:07.189 --> 01:36:14.132]  So that if the jury disagrees and says it did, and the case goes up for appeal, they won't have to retry the case.
[01:36:14.172 --> 01:36:15.693]  So it's an unconventional move.
[01:36:16.333 --> 01:36:18.374]  The judge is a guy named Ned Rakoff.
[01:36:18.414 --> 01:36:20.334]  He's a very bright person.
[01:36:20.655 --> 01:36:23.076]  I've seen these sort of reservations taken before.
[01:36:23.436 --> 01:36:28.898]  But the larger issue is whether the New York Times' V. Sullivan will survive.
[01:36:29.378 --> 01:36:38.681]  And whether as to public figures, there will be a finding of actual malice as necessary for a case to get to a jury on defamation.
[01:36:39.101 --> 01:36:45.683]  Now, you know, Palin, I guess, got lucky that the plaintiffs didn't, you know, move for a default against her.
[01:36:46.024 --> 01:36:49.205]  We wanted to raise the same defense in your case.
[01:36:50.085 --> 01:36:59.646]   And, you know, as the case evolved, the Koskoff plaintiffs were able to create an image of what your company should look like and persuaded judge because it didn't look that way.
[01:36:59.646 --> 01:37:03.487]   You weren't complying with discovery and she entered a disciplinary default.
[01:37:03.487 --> 01:37:08.047]   We disagree with that ruling and if necessary, we'll take an appeal at the
[01:37:08.047 --> 01:37:13.646]   appropriate moment. But, you know, the first amendment is on the line everywhere
[01:37:13.646 --> 01:37:16.207]  and, you know, public to protect debate.
[01:37:16.207 --> 01:37:20.327]   The New York Times versus Sullivan has said of public figures that you have to
[01:37:20.327 --> 01:37:21.926]  prove more than that.
[01:37:21.926 --> 01:37:24.605]  A speaker got something wrong.
[01:37:24.605 --> 01:37:26.207]  You have to prove actual malice.
[01:37:26.207 --> 01:37:29.407]  Some people say that standard is too high.
[01:37:29.407 --> 01:37:32.407]  I'm able so I'm.
[01:37:32.259 --> 01:37:34.601]  Um, to, um, have the same standard for everyone.
[01:37:34.661 --> 01:37:35.921]  Norm, Norm, your sky is breaking up a bit.
[01:37:36.001 --> 01:37:38.103]  I mean, I'm a lay person, but all I know is this.
[01:37:38.583 --> 01:37:42.785]  The New York Times gets one treatment, which I think the First Amendment sacrosanct, they should get that.
[01:37:42.805 --> 01:37:46.908]  Unless there's a smoking gun that they light on purpose, you know, they shouldn't be in trouble.
[01:37:47.961 --> 01:37:51.223]  And then over here, though, the other side defaults us.
[01:37:51.363 --> 01:37:52.303]  We give them all our stuff.
[01:37:52.323 --> 01:37:53.644]  They lie and say we didn't give it to them.
[01:37:53.964 --> 01:37:58.906]  And then now I'm just guilty, the judge says, and then I've got to be shut down.
[01:37:59.286 --> 01:38:05.269]  That is extremely dangerous, and that goes with everything else we're seeing, where justice is one way for the left and one way for the right.
[01:38:06.761 --> 01:38:16.729]  Well, I think there's a growing tendency to want to protect mainstream media and say of citizen bloggers that we're not journalists, that we don't have First Amendment protection.
[01:38:17.009 --> 01:38:18.310]  The case law says we do.
[01:38:18.710 --> 01:38:24.034]  Not everyone has to have the editorial board of the New York Times in their back pocket to vet their utterances.
[01:38:24.333 --> 01:38:27.693]  So I think there is a double standard emerging in the law.
[01:38:27.693 --> 01:38:33.773]   The mainstream media, the New York Times, CNN, the large networks, they're going to
[01:38:33.773 --> 01:38:37.773]   be held to one standard which is permissive because they're going to be assumed to be
[01:38:37.773 --> 01:38:41.212]  doing the responsible thing, vetting, fact-checking.
[01:38:41.212 --> 01:38:45.733]   Those of us who don't have those resources are going to be penalized for speaking our
[01:38:45.733 --> 01:38:52.012]   minds and the elimination of actual malice as a standard is going to have an inhibiting
[01:38:52.012 --> 01:38:56.934]   effect on speech, speech of ordinary people, people like you, people like me.
[01:38:56.934 --> 01:38:59.894]   Well that's right, if you're not a big powerful corporation, you don't get speech because
[01:38:59.894 --> 01:39:03.974]   you're not, you know, have a huge fact-checking group behind you that's obviously a bunch
[01:39:03.974 --> 01:39:05.173]  of corporate liars.
[01:39:05.173 --> 01:39:06.894]  Thank you so much, Norm Paddis for talking to us.
[01:39:06.894 --> 01:39:08.012]  Look forward to speaking to you again soon.
[01:39:08.012 --> 01:39:09.012]  Thank you.
[01:39:09.261 --> 01:39:09.922]  Thanks for having me, Alex.
[01:39:09.862 --> 01:39:10.862]  Alex, be well.
[01:39:10.862 --> 01:39:14.780]   All right, we've got him for the rest of the hour, and I'm really, really excited.
[01:39:14.780 --> 01:39:20.341]   Former judge, former top Fox News host, completely vindicated on spying on Trump,
[01:39:20.341 --> 01:39:25.582]   got suspended at Fox for saying this four plus years ago, and then that was the slow decline
[01:39:25.582 --> 01:39:27.900]   that kind of locked him up, and we didn't hear much from him.
[01:39:27.900 --> 01:39:29.060]  Then I predicted what would happen.
[01:39:29.060 --> 01:39:32.662]   They would wait 'til people forgot about him by shutting him down and then get rid of him.
[01:39:32.662 --> 01:39:34.581]  Totally vindicated, a real hero.
[01:39:34.581 --> 01:39:37.862]   The Durham investigation, I'll be able to lay it all out on the other side
[01:39:37.862 --> 01:39:41.141]   or here in just a moment, but I wanted to play a short compilation of him
[01:39:41.141 --> 01:39:46.422]   back in the time, 2017, doing what no other mainstream media person would do,
[01:39:46.422 --> 01:39:47.502]  tell the truth.
[01:39:47.502 --> 01:39:48.341]  Here it is.
[01:39:48.732 --> 01:39:55.358]  Former judge and frequent Fox News contributor Andrew Napolitano has reportedly been taken off the air for now.
[01:39:55.818 --> 01:40:06.126]  Multiple outlets say Napolitano has been sidelined at Fox for repeating on-air unverified claims that former President Obama asked UK intelligence to spy on Trump Tower.
[01:40:06.447 --> 01:40:08.528]  Did Barack Obama spy on Donald Trump?
[01:40:09.269 --> 01:40:14.593]  When President Obama was in the White House and President Trump was Mr. Trump running for office.
[01:40:15.054 --> 01:40:16.835]  Well, we don't really know the answer to that.
[01:40:17.015 --> 01:40:27.744]  Sources have told Fox News that President Obama could very easily have and probably did use a foreign intelligence service to gather this information for him.
[01:40:28.204 --> 01:40:34.889]  Three intelligence sources have informed Fox News that President Obama went outside the chain of command.
[01:40:35.130 --> 01:40:36.391]  He used GCHQ.
[01:40:37.151 --> 01:40:38.652]  What the heck is GCHQ?
[01:40:39.093 --> 01:40:43.577]  That's the initials for the British spying agency.
[01:40:43.817 --> 01:40:51.003]  Both White House Press Secretary Sean Spicer and President Trump defended accusations against Obama by pointing to Napolitano.
[01:40:51.163 --> 01:40:55.266]  Fox News' Shepard Smith walked back Napolitano's claim shortly thereafter.
[01:40:55.507 --> 01:40:59.250]  Fox News cannot confirm Judge Napolitano's commentary.
[01:40:59.750 --> 01:41:15.065]   Fox News knows of no evidence of All right, so, four plus years later, Judge Napolitano totally vindicated.
[01:41:15.085 --> 01:41:26.850]  We're about two minutes from break, but sir, I know you're not about vindicating yourself, but we could see you getting penalized, shut down, and then removed from error for telling the truth and going after Obama, Hillary, the whole deep state.
[01:41:26.890 --> 01:41:31.832]  Now you, I mean, you are like going to be the image of the dictionary next to the word vindication now.
[01:41:32.092 --> 01:41:33.693]  Thanks for joining us on Short Notice, Judge.
[01:41:34.626 --> 01:41:40.369]  You're very kind to say that, Alex, and thank you for running those old clips when my hair was a little darker.
[01:41:42.189 --> 01:41:45.531]  Look, I mean, I woke up yesterday morning like everybody else did.
[01:41:45.571 --> 01:41:49.793]  I hadn't paid attention to what Durham had filed over the weekend.
[01:41:50.753 --> 01:42:02.382]   But we now know that a significant arm of the federal government, armed with FBI agents and CIA agents, Is that the craziest thing in your career?
[01:42:02.402 --> 01:42:05.143]  I mean, in my life, I've never seen anything like this.
[01:42:05.023 --> 01:42:09.422]   his presidential campaign and on President Donald Trump after he was
[01:42:09.422 --> 01:42:11.942]  already the president of the United States.
[01:42:11.942 --> 01:42:15.362]   We now know that and the federal government of the United States
[01:42:15.362 --> 01:42:20.262]   acknowledges it, and if it has to, is prepared to prove it in court in
[01:42:20.262 --> 01:42:21.823]  the case against Michael Sussman.
[01:42:21.823 --> 01:42:25.143]  Is that the craziest thing in your career?
[01:42:25.143 --> 01:42:27.042]  I mean, in my life, I've never seen anything like this.
[01:42:27.042 --> 01:42:27.663]  This is crazy.
[01:42:27.663 --> 01:42:33.382]  Well, it was crazy because nobody would accept it.
[01:42:33.959 --> 01:42:35.560]  Nobody wanted to accept it.
[01:42:36.000 --> 01:42:40.043]  People came to me and begged to me, you owe President Obama an apology.
[01:42:40.223 --> 01:42:41.164]  For what?
[01:42:41.824 --> 01:42:58.477]   You know, about three months later, five GCHQ, that's British intelligence agents, went to the Guardian of London, a left-wing publication, and said, That judge in New York is correct.
[01:42:59.037 --> 01:43:01.278]  We didn't personally do it, but we know who did.
[01:43:01.658 --> 01:43:03.759]  So there was somewhat of a vindication then.
[01:43:03.799 --> 01:43:07.960]  The United States government, the Obama administration, still didn't accept it.
[01:43:08.561 --> 01:43:14.703]  But the filing from John Durham on Friday afternoon is so definitive.
[01:43:15.543 --> 01:43:24.248]   There's no way he could have made that filing unless he has the absolute proof I was going to say, it gets deeper, sir.
[01:43:24.288 --> 01:43:24.809]  Please stay there.
[01:43:24.849 --> 01:43:25.269]  We're right back.
[01:43:25.289 --> 01:43:26.229]  You're going to have the floor.
[01:43:26.270 --> 01:43:30.972]  We're so honored to have you because this is so big of the future of our country to expose this bureaucratic coup.
[01:43:31.012 --> 01:43:31.552]  We'll be right back.
[01:43:33.374 --> 01:43:40.277]  Well, I got to tell you, ladies and gentlemen, I am starstruck right now because I've always loved Judge Knapp, watching him decades on TV.
[01:43:40.297 --> 01:43:43.519]  I got to interview him before and, you know, hang out with him some in New York.
[01:43:43.559 --> 01:43:50.098]   But now that he's vindicated and been punished and basically taken off the air, For telling the truth.
[01:43:50.119 --> 01:43:55.582]  He was suspended and then phased out for exposing illegal deep state spying.
[01:43:55.602 --> 01:44:06.188]  And now we know it wasn't just the British, it wasn't just these private corporations, but then the government was involved and the wheels are coming off this and we're just blessed to have him here to lay this all out.
[01:44:06.228 --> 01:44:10.591]  Be sure and bookmark his site and find his weekday show, JudgeNap.com.
[01:44:11.031 --> 01:44:12.212]  JudgeNap.com.
[01:44:13.052 --> 01:44:17.735]  Judge, I wonder, I'm not going to criticize Fox News or others, but are they going to have you on for a victory lap?
[01:44:18.595 --> 01:44:25.739]  Now that you're so incredibly vindicated, I mean that's probably a tongue-in-cheek question, but you were saying this is a huge deal.
[01:44:25.799 --> 01:44:26.400]  It certainly is.
[01:44:26.440 --> 01:44:39.927]  Explain to us why this is so definitive and what this Durham investigation means and now the former head of national intelligence and all these folks say dozens of more indictments are coming out because they quote gave Durham the documents.
[01:44:39.947 --> 01:44:40.608]  What does all this mean?
[01:44:42.796 --> 01:44:51.662]  Well, I don't know about the indictments, because some of these crimes have a five-year statute of limitations, and much of this happened in 2016, so do the math.
[01:44:52.442 --> 01:44:55.905]  We're beyond the five years, which means Hillary herself may skate.
[01:44:56.065 --> 01:45:09.293]  However, if this was a conspiracy, and apparently it was, and if John Durham can report it, the five years is measured when the crime is completed, not when the crime started.
[01:45:09.333 --> 01:45:14.755]   So it would depend How far into the Trump administration the conspiracy extended?
[01:45:15.316 --> 01:45:19.559]  If the conspiracy ended on election day, it's too late to do anything about it.
[01:45:19.879 --> 01:45:27.525]  But it appears from the documents that John Durham filed on Friday afternoon, that the conspiracy did not end on election day.
[01:45:28.166 --> 01:45:40.335]  It appears that there was a conversation in the Oval Office after Trump was elected, in which President Obama himself participated.
[01:45:41.158 --> 01:45:45.980]  And discussions were had about using federal assets to spy on him.
[01:45:46.360 --> 01:45:50.661]  And there are two very interesting people present there besides the President Obama.
[01:45:51.242 --> 01:45:59.084]  One is Jake Sullivan, who was Mrs. Clinton's chief intelligence advisor on spying and intelligence matters.
[01:45:59.605 --> 01:46:04.086]  He's now President Joe Biden's national security director.
[01:46:04.106 --> 01:46:08.128]  He has the highest national security clearance in the country.
[01:46:08.188 --> 01:46:09.408]  It's the same as the President's.
[01:46:10.134 --> 01:46:13.376]  The other interesting person there was Vice President Joe Biden.
[01:46:14.556 --> 01:46:16.577]  Now this, of course, was four years ago.
[01:46:16.917 --> 01:46:24.601]  Was he part, Alex, was he part of the conspiracy to undermine Donald Trump's presidency?
[01:46:25.325 --> 01:46:27.166]  By using federal assets.
[01:46:27.607 --> 01:46:29.288]  You know, you can compare this to Watergate.
[01:46:29.648 --> 01:46:42.156]  Watergate was the use of private assets paid for by the Republican National Committee to break into an office and seize proof of who was having sex with whom and who was paying who off.
[01:46:42.777 --> 01:46:44.998]  This is the use of federal assets.
[01:46:46.039 --> 01:46:48.241]  Jim Comey, all the way on the left there.
[01:46:48.981 --> 01:46:51.142]  John Brennan had the FBI at the time.
[01:46:51.203 --> 01:46:53.264]  John Brennan, all the way on the right there.
[01:46:53.752 --> 01:46:55.333]  Head of the CIA at the time.
[01:46:55.733 --> 01:47:06.440]  So this is, according to Durham, the use of federal assets to undermine a presidency.
[01:47:06.661 --> 01:47:09.102]  Now that is a half dozen different crimes there.
[01:47:09.122 --> 01:47:17.548]  It would just depend upon when these crimes were committed, or when this conspiracy ended, or how much fortitude Durham has and who he goes after.
[01:47:18.397 --> 01:47:30.700]  So there's been a lot of criticism of Durham taking years and years, but to me, I'm not a famous judge like you or a legal scholar, but this is like a super big ballsy move to do this with Merrick Garland as the Attorney General and all this.
[01:47:30.740 --> 01:47:35.041]  I mean, this is like the hydrogen bomb effect, because we knew it was going on.
[01:47:35.081 --> 01:47:38.742]  I should ask you how you knew from your sources, but we had our sources.
[01:47:38.782 --> 01:47:39.922]  We were talking about it, too.
[01:47:39.962 --> 01:47:42.103]  But this is just such a big deal.
[01:47:42.403 --> 01:47:47.064]  This has got to really concern, as you said, not just Hillary, but clearly this goes above that.
[01:47:48.641 --> 01:47:50.423]  Well, you know, it does.
[01:47:50.523 --> 01:47:52.465]  And I know you want to talk about this eventually.
[01:47:52.786 --> 01:47:55.068]  Why isn't the media covering this?
[01:47:55.589 --> 01:48:00.554]  Why is Infowars and Newsmax and Fox News and the Wall Street Journal?
[01:48:00.594 --> 01:48:00.935]  Exactly.
[01:48:00.975 --> 01:48:02.056]  I should have said that first.
[01:48:02.176 --> 01:48:03.037]  No one's covering.
[01:48:03.057 --> 01:48:06.301]  I mean, this makes Watergate look like a child's play.
[01:48:06.321 --> 01:48:07.302]  I mean, this is huge.
[01:48:07.462 --> 01:48:07.943]  It does.
[01:48:08.423 --> 01:48:08.964]  Yes, it does.
[01:48:09.024 --> 01:48:09.624]  This should be.
[01:48:10.405 --> 01:48:14.046]  Never mind my allegations against the Obama administration.
[01:48:14.266 --> 01:48:16.286]  This is proof from a federal prosecutor.
[01:48:16.626 --> 01:48:29.268]  This should be on the front page, top of the fold, of the same Washington Post that brought Richard Nixon down, and the same New York Times that claims it's the standard in American journalism.
[01:48:30.208 --> 01:48:31.589]  But you haven't heard a peep about them.
[01:48:31.609 --> 01:48:37.870]  You haven't heard it on CNN or MSNBC or CNBC or any of the networks.
[01:48:39.397 --> 01:48:43.060]  Think and hope that by ignoring this, it will go away.
[01:48:43.080 --> 01:48:48.824]  Now, it could go away if Michael Sussman pleads guilty.
[01:48:48.964 --> 01:48:55.930]  That's the lawyer accused of lying to the FBI, who was a lawyer for Hillary Clinton's campaign.
[01:48:56.590 --> 01:49:00.913]  Because he pleaded not guilty and there will be a trial, this stuff will come out at the trial.
[01:49:01.354 --> 01:49:04.176]  Now, I gotta say a word about the crime that Sussman's charged with.
[01:49:04.796 --> 01:49:07.819]  I don't believe it should be a crime to lie to the FBI.
[01:49:07.979 --> 01:49:08.239]  Why?
[01:49:09.099 --> 01:49:12.341]  Because the Supreme Court has said the FBI can lie to you.
[01:49:12.822 --> 01:49:15.824]  Well, if the FBI can lie to you, you should be able to lie to them.
[01:49:15.864 --> 01:49:17.525]  They're not morally superior to you.
[01:49:17.926 --> 01:49:19.026]  But I am wrong.
[01:49:19.407 --> 01:49:20.487]  The law is what it is.
[01:49:20.587 --> 01:49:26.892]   If you lie to the FBI in an official inquiry, You can be indicted and prosecuted.
[01:49:27.212 --> 01:49:28.453]  That's what happened to Sussman.
[01:49:28.513 --> 01:49:30.315]  And Judge, let me interrupt because I'm always interested about this.
[01:49:30.335 --> 01:49:31.816]  That's why I won't talk to the FBI.
[01:49:31.836 --> 01:49:33.097]  I won't talk to the Jan 6 Committee.
[01:49:33.477 --> 01:49:34.718]  It's not that I'm gonna lie.
[01:49:34.778 --> 01:49:36.739]  It's that they're gonna say I'm a liar and indict me.
[01:49:37.020 --> 01:49:38.541]  So it's not just that you can't lie to them.
[01:49:38.581 --> 01:49:41.963]  They then say you're lying and play little split hairs games.
[01:49:42.304 --> 01:49:45.166]  When did that become the law that you can't lie to the FBI?
[01:49:46.360 --> 01:49:52.091]  Oh, I don't know, but it's been the law for a long time, and the FBI will use it to the hilt.
[01:49:52.352 --> 01:49:54.416]  Here's a, you know, in the Martha Stewart case.
[01:49:55.140 --> 01:49:59.521]  In the same conversation in which she lied to them, they lied to her.
[01:49:59.861 --> 01:50:02.242]  The FBI agent who lied to her got a promotion.
[01:50:02.742 --> 01:50:03.602]  She went to jail.
[01:50:03.642 --> 01:50:04.643]  She was convicted of lying.
[01:50:04.883 --> 01:50:06.623]  This is considered a low-level crime.
[01:50:07.244 --> 01:50:09.524]  The maximum penalty is just a year in jail.
[01:50:09.724 --> 01:50:14.045]  To a lawyer, it's devastating because you'll lose your license to practice.
[01:50:14.826 --> 01:50:18.467]  But the committee that you talk about sought you.
[01:50:19.107 --> 01:50:22.468]  In the Sussman case, he sought the FBI.
[01:50:23.416 --> 01:50:25.559]  He knocked on the door and said, I have to come to you.
[01:50:25.639 --> 01:50:31.586]  I have devastating information about this guy, Donald Trump, and his connections to Russia.
[01:50:32.066 --> 01:50:34.669]  Question, are you representing the Hillary Clinton campaign?
[01:50:34.910 --> 01:50:35.771]  Oh, no, no, no, no.
[01:50:35.851 --> 01:50:37.813]  I have this from independent sources.
[01:50:38.314 --> 01:50:39.775]  That's the alleged lie.
[01:50:41.037 --> 01:50:43.600]  He instigated the conversation himself.
[01:50:44.229 --> 01:50:52.432]  During which it is alleged that he lied, and he had the conversation with his now former friend, Peter Baker, who was the General Counsel of the FBI.
[01:50:52.712 --> 01:50:59.875]  Normally, you don't get to talk to the General Counsel about this evidence, but when you're a high-ranking, big-shot Washington, D.C.
[01:50:59.915 --> 01:51:05.858]  lawyer, and the General Counsel is your friend, and you want to feed him some nonsense, that's the guy you go to.
[01:51:06.718 --> 01:51:07.058]  Wow.
[01:51:07.078 --> 01:51:08.399]  We're going to go to break and come back.
[01:51:08.439 --> 01:51:09.479]  This is just riveting.
[01:51:09.519 --> 01:51:18.177]   Judge Andrew Napolitano, I know you want to make this about yourself, but just in 50 seconds here, I mean, how did you know all this stuff?
[01:51:18.197 --> 01:51:18.997]  I guess sources?
[01:51:19.017 --> 01:51:20.057]  Because you've been proven right?
[01:51:22.218 --> 01:51:23.458]  Well, yes, I had sources.
[01:51:23.638 --> 01:51:27.979]  One of my sources outed himself in the New York Times, one for his jugular.
[01:51:28.039 --> 01:51:32.720]  But something of this magnitude, you have to verify it to three levels.
[01:51:32.820 --> 01:51:42.963]  So in addition to the source who outed himself, I had two other sources who were able to verify what I said before I said it.
[01:51:43.900 --> 01:51:46.101]  Wow, Judge Andrew Napolitano is with us.
[01:51:46.121 --> 01:51:48.481]  You've got to bookmark his site and watch his show.
[01:51:49.381 --> 01:51:51.222]  I watch it all the time, JudgeNap.com.
[01:51:51.702 --> 01:51:54.763]  And man, I just thought of him instantly this weekend when this all broke.
[01:51:54.823 --> 01:51:56.283]  I was like, oh my gosh.
[01:51:57.423 --> 01:52:00.244]  Because I mean, he was one of the top guys at Fox.
[01:52:00.284 --> 01:52:02.965]  As soon as he covered this, bloop, they phased his ass out.
[01:52:03.365 --> 01:52:05.225]  And that's what people pay for, to tell the truth.
[01:52:05.245 --> 01:52:05.785]  We'll be right back.
[01:52:05.825 --> 01:52:06.385]  He's a hero.
[01:52:07.926 --> 01:52:13.067]  Well, completely vindicated, the capital V, Judge Andrew Napolitano joins us.
[01:52:14.542 --> 01:52:27.510]  The minute in 2017 he covered illegal spying against the Trump campaign and President Trump from his sources, they suspended him and then basically pulled him off TV until he was finally let go.
[01:52:27.530 --> 01:52:29.512]  And that was the reason for that.
[01:52:29.532 --> 01:52:30.392]  We could all see it.
[01:52:31.093 --> 01:52:31.933]  And he's a tough guy.
[01:52:31.953 --> 01:52:32.814]  He's not whining about it.
[01:52:32.834 --> 01:52:35.175]  He wants to just talk about the current news and how big this is.
[01:52:36.436 --> 01:52:42.093]   But wow, Clinton campaign paid to infiltrate Judge Uh, Napolitano broke all this.
[01:52:42.413 --> 01:52:44.814]  Again, Trump campaign paid to infiltrate Trump Tower.
[01:52:46.194 --> 01:52:48.535]  White House servers to link Trump to Russia.
[01:52:49.055 --> 01:52:49.855]  Durham fines.
[01:52:50.255 --> 01:52:51.215]  And he's got the evidence.
[01:52:51.936 --> 01:52:53.416]  And he's indicted the Clinton lawyer.
[01:52:54.396 --> 01:52:56.476]  And we know all this went on.
[01:52:56.837 --> 01:52:58.277]  And as you said, they outed themselves.
[01:52:58.677 --> 01:53:01.978]  They had a New York Times article on January 20, 2017.
[01:53:04.031 --> 01:53:08.272]  Where they bragged that they had wiretapped Trump and claimed that was the evidence he was a Russian.
[01:53:08.512 --> 01:53:09.452]  But there was no evidence.
[01:53:09.472 --> 01:53:10.672]  So that was the first outing.
[01:53:11.172 --> 01:53:14.373]  Then Napolitano dug into it and found out more.
[01:53:14.413 --> 01:53:26.835]  So I could ask a thousand questions, Judge, but in the 25 minutes we've got left, I'd like to just give you the floor, just the run of this show as the guy that tried to stop this deep state coup against America on what's currently happening.
[01:53:26.855 --> 01:53:29.095]  How do you think they're going to respond back to this?
[01:53:29.175 --> 01:53:29.915]  What is Hillary?
[01:53:30.255 --> 01:53:31.196]  What does Obama do?
[01:53:31.236 --> 01:53:32.856]  Because what do you call this?
[01:53:32.876 --> 01:53:33.696]  That's my first question.
[01:53:34.096 --> 01:53:46.362]  You know, that's a good question.
[01:53:46.682 --> 01:53:52.525]  Somebody who's good at this stuff will put a handle on it, and that handle will last.
[01:53:53.085 --> 01:53:58.768]  But the law will call this a conspiracy, an agreement to break laws.
[01:53:58.948 --> 01:54:01.689]  And that's really the danger to Mrs. Clinton.
[01:54:02.829 --> 01:54:15.055]  Because if this conspiracy continued on into 2017, probably up to the time that President Trump fired Jim Comey, which is May of 17.
[01:54:15.715 --> 01:54:18.357]  Well, that's fewer than five years ago.
[01:54:18.957 --> 01:54:21.138]  Five years is the statute of limitations.
[01:54:22.159 --> 01:54:25.780]  So the statute begins to run when the crime is committed.
[01:54:25.820 --> 01:54:28.882]  If you pull a trigger and kill somebody, that's when the crime is committed.
[01:54:29.774 --> 01:54:36.355]  But if it takes that person two or three months to die, the statute of limitations doesn't start to run until they die.
[01:54:36.955 --> 01:55:01.271]   If you have a conspiracy to interfere with a valid election of a president of the United States, I'm talking about the election of Donald Trump in 2016, and that conspiracy continues into 2017, even after he's the president, well, that is Fewer than five years ago, because the statute of limitations is five years.
[01:55:02.132 --> 01:55:09.075]  So those who are breathing a sigh of relief probably have more to worry about than they think they do.
[01:55:09.255 --> 01:55:25.449]   When John Ratcliffe, the former congressman from Texas and former director of national intelligence under Donald Trump, told my former colleagues at Fox News just this past weekend, That there may be some indictments coming.
[01:55:25.509 --> 01:55:26.851]  I'm pretty sure that's Ratcliffe.
[01:55:27.692 --> 01:55:30.817]  I'm pretty sure that's what he was talking about.
[01:55:31.378 --> 01:55:48.177]   So if Mrs. Clinton and Jake Sullivan and John Brennan and Jim Comey entered into an agreement in the fall of 2016, and that agreement carried into the presidency of Donald Trump until Comey was fired in May of 2017.
[01:55:49.878 --> 01:55:53.359]  Well, May of 2017 is fewer than five years ago.
[01:55:54.079 --> 01:55:59.661]  So Durham then has time to present all of this to a grand jury and ask them to indict.
[01:56:00.101 --> 01:56:12.749]   On the other hand, if the conspiracy ended at the election of Donald Trump, In November of 16, well then, those who want to see these characters prosecuted are out of luck.
[01:56:13.209 --> 01:56:23.212]  But what Durham is saying as this continued on into the White House, and if you look at this, and the things they said and did, I mean, I think that's where Durham's going.
[01:56:23.232 --> 01:56:23.992]  What do you think's happening?
[01:56:24.912 --> 01:56:26.753]  I think that's where he's going as well.
[01:56:27.813 --> 01:56:33.415]  And he very well may be targeting the former president, Barack Obama.
[01:56:34.042 --> 01:57:10.100]   I mean, if Barack Obama convened a group of people, if he convened a group of people in the Oval Office, which included Jack Brennan, whom you see there, then the head of the CIA, Jim Comey, the head of the FBI, Mrs. Clinton, Joe Biden, Jake Sullivan, and himself, and they agreed To use the assets of the federal government to spy on and thus undermine the President-elect, who was about to become the President of the United States, then we have a very, very serious problem on our hands.
[01:57:10.140 --> 01:57:12.421]  Now, let me suggest this to you.
[01:57:13.182 --> 01:57:29.150]   We know the spying was going on, at least up until the time of the inauguration, because two days after the inauguration is the FBI's infamous visit To General Flynn in his office in the White House.
[01:57:29.970 --> 01:57:42.412]  And they were able to ask him questions and get him to contradict what they knew he had said on the phone to the Russian ambassador just a week or so before.
[01:57:43.292 --> 01:57:53.934]  So were they spying on the Russian ambassador or spying on General Flynn after he was announced he was going to be the chief, the national security advisor to President, then President-elect Trump?
[01:57:54.254 --> 01:57:55.454]  Or were they spying on both?
