[00:00.000 --> 00:11.000]  And it's time for humanity to stand up in the Info War and say, I don't know what's going
[1:58:48.000 --> 1:58:50.000]  I'm a humble person.
[1:58:50.000 --> 1:58:52.000]  And I want to say that I'm just a man.
[1:58:52.000 --> 1:58:54.000]  But I'm not just a man.
[1:58:54.000 --> 1:58:55.000]  Just like you.
[1:58:55.000 --> 1:58:58.000]  No matter what color you are, whether you're a man or a woman,
[1:58:58.000 --> 1:59:00.000]  you were made by the creator of the universe.
[1:59:00.000 --> 1:59:02.000]  Who had a plan for you.
[1:59:02.000 --> 1:59:04.000]  Who has a destiny for you.
[1:59:04.000 --> 1:59:07.000]  That's why the system hates you and fears you.
[1:59:07.000 --> 1:59:08.000]  That's why they hate me.
[1:59:08.000 --> 1:59:13.000]  It's because the spirit I carry is one of justice and truth and courage
[1:59:13.000 --> 1:59:15.000]  and honor and will and love.
[1:59:15.000 --> 1:59:18.000]  My friends, the enemies coming after me,
[1:59:18.000 --> 1:59:21.000]  not because I'm a loser, but because I'm a winner.
[1:59:21.000 --> 1:59:24.000]  They're coming after you, not because you're a bad person,
[1:59:24.000 --> 1:59:26.000]  because you're a good person,
[1:59:26.000 --> 1:59:29.000]  because you love God and God loves you.
[1:59:29.000 --> 1:59:30.000]  And so I signed up for this.
[1:59:30.000 --> 1:59:32.000]  I signed up for this fight.
[1:59:32.000 --> 1:59:33.000]  And I'm not a victim.
[1:59:33.000 --> 1:59:34.000]  I'm an overcomer.
[1:59:34.000 --> 1:59:36.000]  But I can't fight this fight without you.
[1:59:36.000 --> 1:59:39.000]  That's why I want you always to remember that I appreciate you
[1:59:39.000 --> 1:59:41.000]  and I thank you because Info Wars is your fight.
[1:59:41.000 --> 1:59:42.000]  Info Wars is your baby.
[1:59:42.000 --> 1:59:44.000]  It's the thing you built.
[1:59:44.000 --> 1:59:45.000]  We did this together.
[1:59:45.000 --> 1:59:47.000]  So God bless you all.
[1:59:47.000 --> 2:00:15.000]  Thank you.
[2:00:15.000 --> 2:00:17.000]  Thank you so much.
[2:00:45.000 --> 2:00:47.000]  Thank you so much.
[2:01:16.000 --> 2:01:20.000]  So I said about however necessary to take over the United States.
[2:01:20.000 --> 2:01:23.000]  President Kennedy has been seriously wounded by the shooting.
[2:01:23.000 --> 2:01:25.000]  I'd subvert the churches first.
[2:01:25.000 --> 2:01:27.000]  I'd begin with a campaign of whispers.
[2:01:27.000 --> 2:01:31.000]  With the wisdom of the serpent I would whisper to you as I whispered to Eve.
[2:01:31.000 --> 2:01:32.000]  Do as you please.
[2:01:32.000 --> 2:01:34.000]  To the young I would whisper that the Bible is a myth.
[2:01:34.000 --> 2:01:38.000]  I would convince them that man created God instead of the other way around.
[2:01:38.000 --> 2:01:42.000]  I would confide that what's bad is good and what's good is square.
[2:01:42.000 --> 2:01:45.000]  In the old I would teach you to pray after me.
[2:01:45.000 --> 2:01:48.000]  Our father, which art in Washington.
[2:01:48.000 --> 2:01:50.000]  And then I'd get organized.
[2:01:50.000 --> 2:01:53.000]  I'd educate authors in how to make a lurid literature exciting
[2:01:53.000 --> 2:01:56.000]  so that anything else would appear dull and uninteresting.
[2:01:56.000 --> 2:01:59.000]  I'd threaten TV with dirtier movies and vice versa.
[2:01:59.000 --> 2:02:01.000]  I'd peddle narcotics to whom I could.
[2:02:01.000 --> 2:02:04.000]  I'd sell alcohol to ladies and gentlemen of distinction.
[2:02:04.000 --> 2:02:07.000]  I'd tranquilize the rest with pills.
[2:02:07.000 --> 2:02:11.000]  If I were the devil I'd soon have families at war with themselves.
[2:02:11.000 --> 2:02:15.000]  Churches at war with themselves and nations at war with themselves
[2:02:15.000 --> 2:02:18.000]  until each in its turn was consumed.
[2:02:18.000 --> 2:02:24.000]  And with promises of higher ratings I'd have mesmerizing media fanning the play.
[2:02:24.000 --> 2:02:27.000]  The president of the United States is racist.
[2:02:27.000 --> 2:02:31.000]  If I were the devil I would encourage schools to recline young intellects
[2:02:31.000 --> 2:02:34.000]  but neglect the discipline of motions just like those one while.
[2:02:34.000 --> 2:02:37.000]  Within a decade I'd have prisons overflowing.
[2:02:37.000 --> 2:02:39.000]  I'd have judges promoting pornography.
[2:02:39.000 --> 2:02:43.000]  Soon I could evict God from the courthouse, then from the schoolhouse
[2:02:43.000 --> 2:02:45.000]  and then from the houses of Congress.
[2:02:45.000 --> 2:02:50.000]  And in his own churches I would substitute psychology for religion.
[2:02:50.000 --> 2:02:55.000]  I would lure priests and pastors into misusing boys and girls and church money.
[2:02:55.000 --> 2:02:58.000]  If I were the devil I'd take from those who have
[2:02:58.000 --> 2:03:04.000]  and give to those who wanted until I had killed the incentive of the ambitious.
[2:03:04.000 --> 2:03:06.000]  I would caution against extremes.
[2:03:06.000 --> 2:03:10.000]  I'm here to warn people you keep telling me to shut up. This isn't a game.
[2:03:10.000 --> 2:03:14.000]  In hard work, in patriotism, in moral conduct,
[2:03:14.000 --> 2:03:17.000]  I would convince the young that marriage is old fashioned,
[2:03:17.000 --> 2:03:21.000]  that swinging is more fun, that what you see on TV is the way to be.
[2:03:21.000 --> 2:03:24.000]  And thus I could undress you in public
[2:03:24.000 --> 2:03:30.000]  and I could lure you into bed with diseases for which there is no cure.
[2:03:30.000 --> 2:03:37.000]  In other words, if I were the devil I'd just keep right on doing what he's doing.
[2:03:37.000 --> 2:03:57.000]  Now you know the rest of the story.
[2:04:01.000 --> 2:04:04.000]  The year is 1995.
[2:04:04.000 --> 2:04:09.000]  And Infowars launches the last of America's counter-globalist probes.
[2:04:09.000 --> 2:04:15.000]  In a freak mishap, Infowars.com and Alex Jones are blown out of their trajectory
[2:04:15.000 --> 2:04:19.000]  into an orbit which freezes his life support systems
[2:04:19.000 --> 2:04:24.000]  and returns Alex Jones to Earth 25 years later.
[2:04:24.000 --> 2:04:28.000]  Transdimensionally, over the space time continuum, they're full space.
[2:04:28.000 --> 2:04:32.000]  Where people are extremely lazy, the social engineers are there laughing.
[2:04:32.000 --> 2:04:37.000]  What we envisioned 100 years ago, 20 years ago, is now reality.
[2:04:37.000 --> 2:04:40.000]  While the society unravels, men run around totally frantic,
[2:04:40.000 --> 2:04:44.000]  not knowing how to be men, and women run around frantic, not knowing how to be women,
[2:04:44.000 --> 2:04:48.000]  and they don't understand that it's an animating contest of life
[2:04:48.000 --> 2:04:52.000]  and that it's fulfilling to be informed, it's fulfilling to be involved,
[2:04:52.000 --> 2:05:03.000]  it's fulfilling Infowars, Tomorrow's News, today.
[2:05:23.000 --> 2:05:30.000]  The immune support formula is incredible by itself.
[2:05:30.000 --> 2:05:32.000]  These other three together, it is amazing.
[2:05:32.000 --> 2:05:33.000]  60% off.
[2:05:33.000 --> 2:05:36.000]  Then the trapezec to immune support, 50% off.
[2:05:36.000 --> 2:05:39.000]  On immune support, X2 and D3 gummies.
[2:05:39.000 --> 2:05:44.000]  And then 40% off on X2, now back in stock, at Infowars.com.
[2:05:44.000 --> 2:05:48.000]  Now, just the X2 alone is the missing link with most people.
[2:05:48.000 --> 2:05:53.000]  Highest quality deep breath crystal iodine, beyond critical for immune system in your whole body.
[2:05:53.000 --> 2:06:21.000]  It's 40% off back in stock, but get four of the products together for 60% off.
[2:06:24.000 --> 2:06:28.000]  And I'm joined by Lee Stranahan here.
[2:06:28.000 --> 2:06:36.000]  We're going to be discussing the latest developments in the Ashley Biden Diary story.
[2:06:36.000 --> 2:06:40.000]  Here are some of the headlines leading up to this.
[2:06:40.000 --> 2:06:45.000]  President Joe Biden's daughter reportedly writes of alleged abuse in diary.
[2:06:45.000 --> 2:06:51.000]  Why is the FBI investigating Ashley Biden's missing diary?
[2:06:51.000 --> 2:06:57.000]  Ashley Biden Diary reveals child sex trauma, drug abuse, resentment for Joe.
[2:06:57.000 --> 2:07:01.000]  And so it ultimately ended up with Project Veritas.
[2:07:01.000 --> 2:07:03.000]  They said, oh, it was fake, it was fake.
[2:07:03.000 --> 2:07:06.000]  And then the feds rushed in to grab it, so obviously it was real.
[2:07:06.000 --> 2:07:10.000]  And the details of the diary are sorted indeed.
[2:07:10.000 --> 2:07:12.000]  Lee Stranahan with me now.
[2:07:12.000 --> 2:07:22.000]  So Lee, I mean, of all the affairs of the Biden family that we now know of, Hunter Biden's drug abuse and addiction, sex abuse and addiction,
[2:07:22.000 --> 2:07:27.000]  his need to film this and put it on his computer and on the internet.
[2:07:27.000 --> 2:07:32.000]  Of course, we know about Hunter Biden sleeping with his sister-in-law.
[2:07:32.000 --> 2:07:34.000]  Joe Biden gave it a full endorsement to the public.
[2:07:34.000 --> 2:07:46.000]  But perhaps maybe the most sorted of all of this is the notion that Ashley Biden writes in her diary about potential sex abuse from Joe Biden in the shower when she was a kid.
[2:07:46.000 --> 2:07:52.000]  I mean, of all the sort of details of the Biden family, this might be the worst, Lee.
[2:07:52.000 --> 2:07:56.000]  Well, on the face of it, I agree with you.
[2:07:56.000 --> 2:08:01.000]  And Ashley Biden's diary is very clear.
[2:08:01.000 --> 2:08:11.000]  She says in one paragraph, what this diary is, is she was going through a bad period during the Biden campaign.
[2:08:11.000 --> 2:08:18.000]  She was using a lot of drugs and having a number of affairs and her marriage was on the rocks.
[2:08:18.000 --> 2:08:26.000]  And she was fair to say she was unable to control sexuality.
[2:08:26.000 --> 2:08:29.000]  So what she might call sex addiction.
[2:08:29.000 --> 2:08:37.000]  And I won't get into the technical psychological definition of that, but she was being very self-destructive with her sexuality.
[2:08:37.000 --> 2:08:39.000]  Does that make sense?
[2:08:39.000 --> 2:08:40.000]  Yeah.
[2:08:40.000 --> 2:08:53.000]  And for people, if they want to understand, if you've ever known somebody that's had a very degenerative drug addiction and they just prioritized the drug abuse and the drug use over everything else,
[2:08:53.000 --> 2:09:00.000]  that's basically similar to what goes on with a sex addiction is, and that's why Ashley Biden, I guess, would write about all these affairs,
[2:09:00.000 --> 2:09:03.000]  is you prioritize that over everything else.
[2:09:03.000 --> 2:09:09.000]  So she was going around, I guess, just sleeping with a bunch of men, and that was her most important thing in her life at the time.
[2:09:09.000 --> 2:09:17.000]  And there is a brain chemistry thing in association with that, but that's basically what is a sex addiction.
[2:09:17.000 --> 2:09:23.000]  Well, and for instance, one person she slept with, and she slept with him very quickly after meeting him.
[2:09:23.000 --> 2:09:29.000]  She felt an attraction and slept with the person, then she finds out afterwards he's married.
[2:09:29.000 --> 2:09:35.000]  So she's sitting here trying to figure out, and she could have seen that coming.
[2:09:35.000 --> 2:09:36.000]  Does that make sense?
[2:09:36.000 --> 2:09:37.000]  She thought.
[2:09:37.000 --> 2:09:44.000]  So in her diary, she's basically saying, why do I get involved with these people who are unavailable to me?
[2:09:44.000 --> 2:09:46.000]  Does it make sense?
[2:09:46.000 --> 2:09:49.000]  Yes, yes.
[2:09:49.000 --> 2:09:59.000]  And so in the diary, she's writing for herself, and this diary has been confirmed with a handwriting analysis.
[2:09:59.000 --> 2:10:03.000]  And furthermore, I'm going to say something here.
[2:10:03.000 --> 2:10:10.000]  The New York Times confirmed that this is Ashley Biden's diary, not Project Veritas.
[2:10:10.000 --> 2:10:12.000]  The New York Times confirmed that.
[2:10:12.000 --> 2:10:22.000]  And I'll come to Veritas in a second, but she was going through this bad period and relapsing on cocaine and so on.
[2:10:22.000 --> 2:10:26.000]  So she's trying to figure out why she's doing this.
[2:10:26.000 --> 2:10:27.000]  Does that make sense?
[2:10:27.000 --> 2:10:29.000]  She was trying to figure out why I'm not like this.
[2:10:29.000 --> 2:10:30.000]  Yes.
[2:10:30.000 --> 2:10:33.000]  So let me just kind of, let me kind of, because I understand where you're going with this.
[2:10:33.000 --> 2:10:36.000]  You're trying to explain, she's writing in this diary.
[2:10:36.000 --> 2:10:38.000]  She's kind of going through her own head.
[2:10:38.000 --> 2:10:40.000]  She's processing in her own head.
[2:10:40.000 --> 2:10:42.000]  Why did she become like this?
[2:10:42.000 --> 2:10:43.000]  Why did she get addicted to sex?
[2:10:43.000 --> 2:10:45.000]  Why did she get addicted to drugs?
[2:10:45.000 --> 2:10:48.000]  Why is she behaving in such a degenerative way?
[2:10:48.000 --> 2:10:52.000]  She's kind of self-reflecting on all these developments in her life.
[2:10:52.000 --> 2:10:53.000]  Right.
[2:10:53.000 --> 2:10:56.000]  And then ultimately, she lands on what's as the cause?
[2:10:56.000 --> 2:11:00.000]  Well, she asked herself and she answers.
[2:11:00.000 --> 2:11:03.000]  She said, was I molested as a child?
[2:11:03.000 --> 2:11:05.000]  I think I was.
[2:11:05.000 --> 2:11:07.000]  She says that very explicitly.
[2:11:07.000 --> 2:11:13.000]  By the way, if you want to listen to the diary and I say, listen, someone on YouTube, if
[2:11:13.000 --> 2:11:19.000]  you search for Ashley Biden's diary, talked it, it's about an hour.
[2:11:19.000 --> 2:11:22.000]  They did an audio book of the diary.
[2:11:22.000 --> 2:11:28.000]  So you can, without reading her handwriting, if you want to see what she wrote, you can
[2:11:28.000 --> 2:11:30.000]  listen to a guy narrate it.
[2:11:30.000 --> 2:11:37.000]  So, at one point, she says, was I molested as a child?
[2:11:37.000 --> 2:11:38.000]  I think so.
[2:11:38.000 --> 2:11:43.000]  And then a few paragraphs later, she says, and I'm paraphrasing here, but she says, I've
[2:11:43.000 --> 2:11:45.000]  always been boy crazy.
[2:11:45.000 --> 2:11:50.000]  She said, I remember sleeping with friends at a very young age.
[2:11:50.000 --> 2:11:59.000]  And she said, and showers with my father, probably inappropriate.
[2:11:59.000 --> 2:12:04.000]  That's in the midst of her trying to figure out why she is this way.
[2:12:04.000 --> 2:12:11.000]  She says she took showers with her father that were probably appropriate.
[2:12:11.000 --> 2:12:18.000]  So basically the conclusion that she's, she's reaching or that she's, she's considering
[2:12:18.000 --> 2:12:21.000]  is that she was sexually abused as a kid.
[2:12:21.000 --> 2:12:25.000]  And one example would be her father, Joe Biden, in the shower with her.
[2:12:25.000 --> 2:12:26.000]  Right.
[2:12:26.000 --> 2:12:30.000]  And so we're not accusing Joe Biden of that.
[2:12:30.000 --> 2:12:34.000]  She says, why am I like this?
[2:12:34.000 --> 2:12:36.000]  And that's something she hypothesizes.
[2:12:36.000 --> 2:12:38.000]  Does it make sense?
[2:12:38.000 --> 2:12:39.000]  Yes.
[2:12:39.000 --> 2:12:40.000]  What with you?
[2:12:40.000 --> 2:12:45.000]  In other words, I think it's, I don't know what happened.
[2:12:45.000 --> 2:12:46.000]  You don't know what happened.
[2:12:46.000 --> 2:12:49.000]  But I know she said that's what happened.
[2:12:49.000 --> 2:12:53.000]  And I know to dismiss it is insulting to her.
[2:12:53.000 --> 2:12:55.000]  Does it make sense?
[2:12:55.000 --> 2:12:56.000]  Of course.
[2:12:56.000 --> 2:12:57.000]  I mean, believe all women.
[2:12:57.000 --> 2:12:58.000]  We've all heard that a hundred thousand times.
[2:12:58.000 --> 2:12:59.000]  Believe all women.
[2:12:59.000 --> 2:13:06.000]  And I'm not saying believe it, but there's, there's no reason to dismiss it out of hand.
[2:13:06.000 --> 2:13:10.000]  Well, I mean, I'm being facetious when I see, when I say believe all women, because that's
[2:13:10.000 --> 2:13:11.000]  just a leftist trope.
[2:13:11.000 --> 2:13:15.000]  But no, what you're saying here is this is Ashley's own words.
[2:13:15.000 --> 2:13:19.000]  This is in her own mind, what she's considering.
[2:13:19.000 --> 2:13:22.000]  And so if we want to be empathetic, right?
[2:13:22.000 --> 2:13:25.000]  I mean, legitimately empathetic.
[2:13:25.000 --> 2:13:32.000]  If we feel badly for the, you know, like you feel badly for someone's alcohol, alcoholic,
[2:13:32.000 --> 2:13:33.000]  right?
[2:13:33.000 --> 2:13:35.000]  And they're trying to figure that out.
[2:13:35.000 --> 2:13:40.000]  And they said, I think my father gave me beer when I was eight all the time.
[2:13:40.000 --> 2:13:44.000]  You wouldn't say you're a liar immediately.
[2:13:44.000 --> 2:13:48.000]  You'd say, okay, let's consider that, right?
[2:13:48.000 --> 2:13:51.000]  Because they're trying to work out their own problems.
[2:13:51.000 --> 2:13:58.000]  So Ashley Biden said that in a diary when she was going through rehab and she's in the
[2:13:58.000 --> 2:14:02.000]  middle of rehab as she's writing a diary.
[2:14:02.000 --> 2:14:08.000]  Then what happened was she was staying in a house in Delray Beach, California, forgive
[2:14:08.000 --> 2:14:10.000]  me, Florida.
[2:14:10.000 --> 2:14:15.000]  And you hear it referred to as Palm Beach, but it was actually Delray Beach.
[2:14:15.000 --> 2:14:20.000]  She was staying at a person's house, a house with a pool and everything.
[2:14:20.000 --> 2:14:28.000]  And then she left the house in the middle of the campaign to go to Philadelphia.
[2:14:28.000 --> 2:14:36.000]  And in doing so, she left a devil bag and a suitcase full of papers with her name all
[2:14:36.000 --> 2:14:37.000]  over them.
[2:14:37.000 --> 2:14:45.000]  And she left the diary under the bed, you know, tucked under the mattress or something
[2:14:45.000 --> 2:14:46.000]  like that.
[2:14:46.000 --> 2:14:55.000]  Now, then having left and left that stuff there, a woman named Amy Harris moved into
[2:14:55.000 --> 2:14:56.000]  the house.
[2:14:56.000 --> 2:15:03.000]  She was apparently friends with the owner and she was going through a breakup and she
[2:15:03.000 --> 2:15:10.000]  and her children moved in and they found this diary and it's very clearly and they found
[2:15:10.000 --> 2:15:14.000]  papers saying they belong to Ashley Biden.
[2:15:14.000 --> 2:15:18.500]  Now right here, there was no theft, right?
[2:15:18.500 --> 2:15:23.000]  If I'm staying in a house and I leave my stuff there and you move into the house and you
[2:15:23.000 --> 2:15:27.000]  find it, you didn't steal it, right?
[2:15:27.000 --> 2:15:28.000]  That's correct.
[2:15:28.000 --> 2:15:32.000]  That's like the Hunter Biden laptop being left at an IT store.
[2:15:32.000 --> 2:15:33.000]  Exactly right.
[2:15:33.000 --> 2:15:40.160]  And it's a good analogy because let me ask you a question I don't have the answer to,
[2:15:40.160 --> 2:15:42.920]  but I have my suspicions.
[2:15:42.920 --> 2:15:50.920]  Do you really think that maybe Ashley Biden wanted someone to see this?
[2:15:50.920 --> 2:15:52.680]  You know, let's leave it right there.
[2:15:52.680 --> 2:15:53.680]  Great question.
[2:15:53.680 --> 2:15:55.720]  As we take a break, we'll answer it on the other side.
[2:15:55.720 --> 2:15:58.800]  The globalists are making their move.
[2:15:58.800 --> 2:16:00.720]  Their great reset is here.
[2:16:00.720 --> 2:16:02.240]  They're coming for your children.
[2:16:02.240 --> 2:16:04.560]  They're coming for the value of your currency.
[2:16:04.560 --> 2:16:06.680]  They're coming for your national sovereignty.
[2:16:06.680 --> 2:16:11.360]  They're coming for your very bodies with their biomedical tyranny.
[2:16:11.360 --> 2:16:13.680]  They're coming for your free speech.
[2:16:13.680 --> 2:16:15.560]  They're coming for your privacy.
[2:16:15.560 --> 2:16:20.480]  And ladies and gentlemen, they're coming for your right to vote and have your representative
[2:16:20.480 --> 2:16:23.920]  in government that you and your fellow Americans choose.
[2:16:23.920 --> 2:16:29.560]  The new film, the seminal film, the most important documentary ever made in my view, 2000 Mules
[2:16:29.560 --> 2:16:35.440]  is now available on DVD with expanded extras at infowarsstore.com.
[2:16:35.440 --> 2:16:41.320]  You can also get the powerful film with other documentaries discounted at infowarstore.com.
[2:16:41.320 --> 2:16:45.560]  Everyone needs this DVD in their library to show everyone you know.
[2:16:45.560 --> 2:16:48.240]  We have the tools to bring these criminals to justice.
[2:16:48.240 --> 2:16:52.400]  If they're planning to run the same scams again, this film can stop them if you take
[2:16:52.400 --> 2:16:53.400]  action.
[2:16:53.400 --> 2:16:58.520]  infowarstore.com, 2000 Mules.
[2:16:58.520 --> 2:17:00.920]  Info Wars has made history.
[2:17:00.920 --> 2:17:03.080]  You have made history in your support of Info Wars.
[2:17:03.080 --> 2:17:08.880]  And one of the biggest tools we've had to circumvent and override the sensors has been Patriot
[2:17:08.880 --> 2:17:12.840]  Apparel so we can identify each other, so we can spread the word, and so we can push
[2:17:12.840 --> 2:17:17.680]  people to websites like infowars.com so they can understand the globalist plan and how
[2:17:17.680 --> 2:17:18.680]  to stop it.
[2:17:18.680 --> 2:17:21.680]  Now ladies and gentlemen, two months ago we announced we're blowing out of all of our
[2:17:21.680 --> 2:17:25.440]  designs of t-shirts, some of which go back more than 25 years.
[2:17:25.440 --> 2:17:26.680]  All these shirts are limited edition.
[2:17:26.680 --> 2:17:30.840]  They are about to be history and will only exist in your closet, your drawer, or your
[2:17:30.840 --> 2:17:31.840]  wardrobe.
[2:17:31.840 --> 2:17:36.200]  So, there's only 15,000 shirts of 60 plus thousand left in a couple weeks.
[2:17:36.200 --> 2:17:38.080]  They'll all be gone and they'll be history.
[2:17:38.080 --> 2:17:44.720]  We're selling them all at cost at infowarstore.com, so thank you all for your support.
[2:17:44.720 --> 2:17:50.080]  Please visit infowarstore.com and get one of these historic shirts, hoodies, long sleeves,
[2:17:50.080 --> 2:17:52.080]  ball caps, you name it, while you still can.
[2:17:52.080 --> 2:18:02.080]  I want to thank you all for your support, infowarstore.com.
[2:18:02.080 --> 2:18:03.520]  I want to say Brain Force is great.
[2:18:03.520 --> 2:18:05.520]  I want to say Turbo Force is amazing.
[2:18:05.520 --> 2:18:06.520]  It is.
[2:18:06.520 --> 2:18:09.000]  I took it with Bish oil.
[2:18:09.000 --> 2:18:10.960]  It's like the fish oil is it.
[2:18:10.960 --> 2:18:14.200]  The fish oil is better than it, and that's an example of what I'm talking about.
[2:18:14.200 --> 2:18:19.840]  Fish oil is liquid energy, brain, body, heart, the cleanest, the best out there.
[2:18:19.840 --> 2:18:23.640]  Crill oils is the best, and it'll give you the damn burps, and I'm just sorry, you want
[2:18:23.640 --> 2:18:25.360]  something like this, you don't get stuff for free.
[2:18:25.360 --> 2:18:28.440]  The Crill is hallucinogenic, it's so good, in my view.
[2:18:28.440 --> 2:18:32.080]  I'm not a medical statement here, but let me tell you something, I eat five caplets
[2:18:32.080 --> 2:18:33.440]  of Crill oil before I go to bed.
[2:18:33.440 --> 2:18:36.960]  I'm seeing Santa Claus that night.
[2:18:36.960 --> 2:18:44.440]  So your brain is made basically out of what fish oil is.
[2:18:44.440 --> 2:18:47.880]  So we don't make a big profit off of it, but you know what, I just obsess, because whatever
[2:18:47.880 --> 2:18:50.320]  the best is we've got, I just can't lie to you.
[2:18:50.320 --> 2:18:51.320]  I just can't do it.
[2:18:51.320 --> 2:18:52.320]  Infowarstore.com.
[2:18:52.320 --> 2:19:03.240]  I don't have to tell you that fish oil is known to be so good for your brain, so good
[2:19:03.240 --> 2:19:08.800]  for your heart, so good for your cells, your cardiovascular system, your lungs, your sleep,
[2:19:08.800 --> 2:19:09.800]  it's amazing.
[2:19:09.800 --> 2:19:16.800]  Well, we set out a few years ago to go out and develop with top manufacturers the strongest,
[2:19:16.800 --> 2:19:21.800]  highest quality, purest fish oil out there, and this blend is amazing.
[2:19:21.800 --> 2:19:25.760]  Ultimate Fish Oil, back in stock at infowarstore.com.
[2:19:25.760 --> 2:19:32.320]  Wild anchovy purified fish oil, ultra pure arctic Crill oil, high quality wild caught salmon
[2:19:32.320 --> 2:19:38.560]  oil, vitamin D, vitamin E, supports optimal heart health, supports optimal joint health,
[2:19:38.560 --> 2:19:42.600]  supports optimal cognitive health, supports immune function, supports vascular health,
[2:19:42.600 --> 2:19:45.040]  supports circulatory health, it goes on and on.
[2:19:45.040 --> 2:19:46.880]  Get your ultimate fish oil.
[2:19:46.880 --> 2:19:47.880]  Discount it.
[2:19:47.880 --> 2:19:58.320]  Discount it right now at infowarstore.com and open Crill Oil as well, infowarstore.com.
[2:19:58.320 --> 2:20:05.320]  Meeting of frontal assault on the lies of the New World Order, it's Alex Jones.
[2:20:05.320 --> 2:20:26.000]  We're here with Lee Stranahan, the question he asked before the break as he was describing
[2:20:26.000 --> 2:20:34.640]  the situation that landed the Ashley Biden diary in the hands of journalists is, could
[2:20:34.640 --> 2:20:41.120]  Ashley Biden have intentionally left that diary behind, hoping somebody would see it
[2:20:41.120 --> 2:20:42.720]  like a cry for help?
[2:20:42.720 --> 2:20:46.400]  Maybe you could ask the same question about Hunter Biden's laptop.
[2:20:46.400 --> 2:20:52.840]  Now, let me just say this before we get into this with Lee Stranahan, I'm somebody that
[2:20:52.840 --> 2:20:58.360]  studied psychology in college and actually was considering about going into advanced
[2:20:58.360 --> 2:21:00.880]  studies of it, but I didn't want to stay in college.
[2:21:00.880 --> 2:21:01.880]  I didn't really like college.
[2:21:01.880 --> 2:21:04.760]  I didn't really like all the prerequisites you had to go through to get an advanced degree
[2:21:04.760 --> 2:21:05.760]  in psychology.
[2:21:05.760 --> 2:21:09.240]  So I skipped that and I ended up just getting a degree in media, going into media.
[2:21:09.240 --> 2:21:14.480]  But psychology, human psychology was something that was very intriguing to me.
[2:21:14.480 --> 2:21:18.800]  I excelled at that in those studies just because it came naturally, it was intriguing to me.
[2:21:18.800 --> 2:21:27.480]  So there are examples, Lee, probably the best example would be in criminal psychology, specifically
[2:21:27.480 --> 2:21:32.720]  dealing with serial killers, where there reaches a point where they want credit for their work
[2:21:32.720 --> 2:21:34.920]  and they want to be caught.
[2:21:34.920 --> 2:21:39.680]  Now this might not be the best example, I'm just saying there's a level of human psychology
[2:21:39.680 --> 2:21:47.520]  where you might do something not even maybe subconsciously, you're doing something subconsciously,
[2:21:47.520 --> 2:21:52.680]  not even realizing you're doing it because you want to be caught, you want credit, or
[2:21:52.680 --> 2:21:56.240]  in this case with the Ashley Biden diary, it's like a cry for help.
[2:21:56.240 --> 2:21:58.800]  There's no other way she can really cry for help.
[2:21:58.800 --> 2:22:01.680]  She doesn't even know how to do that in her own mind.
[2:22:01.680 --> 2:22:04.640]  She can't even convince herself that she was abused as a kid.
[2:22:04.640 --> 2:22:09.600]  So this is kind of her subliminal subconscious crying for help, like if I just leave this
[2:22:09.600 --> 2:22:15.040]  here and somebody finds it, maybe I can have my cries for help answered.
[2:22:15.040 --> 2:22:20.200]  I don't know if that's been the case for her or not, but why, Lee, let's just get back
[2:22:20.200 --> 2:22:22.040]  to the details here.
[2:22:22.040 --> 2:22:27.680]  She leaves the diary behind, it gets found by the next family, you know, talk about.
[2:22:27.680 --> 2:22:32.200]  So she leaves the diary behind, I mean, would you really want to leave something like that
[2:22:32.200 --> 2:22:33.200]  behind?
[2:22:33.200 --> 2:22:35.280]  Apparently left some other personal belongings behind.
[2:22:35.280 --> 2:22:37.520]  Seems like something you don't leave behind, Lee.
[2:22:37.520 --> 2:22:44.680]  Well, also you know psychology, so I will say the diary also contains points where
[2:22:44.680 --> 2:22:46.880]  she says she loves her father.
[2:22:46.880 --> 2:22:54.440]  She says as several points, she loves her father and that's consistent with the confusion.
[2:22:54.440 --> 2:23:00.080]  She might feel that doesn't saying she loves her father does not prove that he didn't
[2:23:00.080 --> 2:23:02.720]  want her right.
[2:23:02.720 --> 2:23:08.640]  It proves that she's out of two minds on it.
[2:23:08.640 --> 2:23:15.880]  One, she thinks that these inappropriate showers happen and two, that children naturally
[2:23:15.880 --> 2:23:18.880]  love their parents, right?
[2:23:18.880 --> 2:23:25.480]  So that's the confusion that someone who's acting out sexually to get approval for men,
[2:23:25.480 --> 2:23:28.240]  because that's obviously what's going on.
[2:23:28.240 --> 2:23:30.880]  She talks about that a little bit in the diary too.
[2:23:30.880 --> 2:23:35.280]  So I want to be clear about one thing I'm saying here.
[2:23:35.280 --> 2:23:42.720]  At no point did James O'Keeffe or Project Veritas accuse Joe Biden of taking showers
[2:23:42.720 --> 2:23:46.360]  with his daughter.
[2:23:46.360 --> 2:23:54.800]  The accusation is made by Ashley Biden in this diary that eventually Project Veritas
[2:23:54.800 --> 2:23:57.000]  came to be in possession of.
[2:23:57.000 --> 2:24:07.680]  Now the FBI says that AH, which is assumed is Amy Harris and R.K. is a friend of hers,
[2:24:07.680 --> 2:24:14.280]  sold it to Project Veritas and they have not denied that.
[2:24:14.280 --> 2:24:19.760]  So it seems like Amy Harris, the woman who came into possession of the diary when she
