[00:00:00.169 --> 00:00:00.730]  I'm a fighter.
[01:29:14.257 --> 01:29:17.279]  Well, doesn't the FBI know they're destroying their credibility?
[01:29:17.740 --> 01:29:19.921]  I mean, I guess they just don't care they're going for broke.
[01:29:21.443 --> 01:29:22.844]  I guess they don't care.
[01:29:23.084 --> 01:29:26.617]   And in fairness, It's not all the FBI.
[01:29:26.657 --> 01:29:28.238]  There are FBI agents.
[01:29:28.278 --> 01:29:29.178]  Look at Mike German.
[01:29:29.198 --> 01:29:30.558]  We both know Mike German.
[01:29:30.598 --> 01:29:31.418]  Now he's retired.
[01:29:31.898 --> 01:29:40.220]  A serious libertarian FBI agent who spent his career in the FBI defending the Constitution.
[01:29:40.280 --> 01:29:42.760]  There are many FBI agents like that.
[01:29:42.920 --> 01:29:44.540]  Not most, but many.
[01:29:44.920 --> 01:29:50.201]  There are other FBI agents who do whatever their bosses in the DOJ tell them to do.
[01:29:50.261 --> 01:29:56.262]   And in fairness to the FBI, imagine a DOJ Run by the Trump administration.
[01:29:56.322 --> 01:30:02.547]  Now imagine the same FBI and the same DOJ run by the Biden administration.
[01:30:02.567 --> 01:30:09.731]  You have entirely different bosses, an entirely different culture, entirely different instructions, and they have to do what they're told.
[01:30:09.751 --> 01:30:11.172]  So sometimes they don't have a choice.
[01:30:11.532 --> 01:30:16.756]  They always have a choice when it comes to lying or breaking the law, but they often don't have a choice.
[01:30:17.336 --> 01:30:20.518]  As to who they're going to target in criminal cases.
[01:30:21.318 --> 01:30:21.659]  All right.
[01:30:21.759 --> 01:30:24.340]  Judge Andrew Napolitano is with us for the rest of the hour.
[01:30:24.400 --> 01:30:26.662]  His great website is JudgeNap.com.
[01:30:27.102 --> 01:30:32.065]  Podcast, Judging Freedom, available on YouTube and everywhere else, really getting popular.
[01:30:32.505 --> 01:30:39.609]  Find his censored information at JudgeNap.com, or again, Judging Freedom, available on YouTube and other platforms.
[01:30:40.049 --> 01:30:42.331]  When we come back, we're going to get into the topics he wanted to hit.
[01:30:43.752 --> 01:30:50.554]  DOJ says CIA data that came from Clinton Lawyer is not technically plausible.
[01:30:51.474 --> 01:30:55.756]  Elon Musk, we're going to get into so much more with him.
[01:30:55.776 --> 01:30:59.157]  The abortion laws, trying to kill babies after they're born.
[01:30:59.717 --> 01:31:04.138]  All of this and more is coming up with Judge Knapp today.
[01:31:04.599 --> 01:31:05.419]  Please don't forget.
[01:31:06.963 --> 01:31:17.190]  Yes, we've declared limited bankruptcy because I can't pay for these trials, I can't pay for all these lawsuits, and the Democrats suing me keep claiming I've got hundreds of millions of dollars.
[01:31:17.671 --> 01:31:19.692]  I don't have three million dollars in extra cash.
[01:31:20.373 --> 01:31:23.155]  And so I want a federal court and magistrates to come in.
[01:31:23.655 --> 01:31:25.476]  To set the amount so it's known.
[01:31:25.536 --> 01:31:27.096]  That's why I did this.
[01:31:27.116 --> 01:31:30.497]  Because the Democrats are absolutely trying to shut down our free speech.
[01:31:30.977 --> 01:31:34.619]  And they're absolutely trying to lie to juries and tell them that I'm Daddy Warbucks.
[01:31:34.679 --> 01:31:35.659]  It'd be fine if I was.
[01:31:35.719 --> 01:31:36.379]  I wish I was.
[01:31:36.399 --> 01:31:38.000]  But it's just not true.
[01:31:38.460 --> 01:31:39.960]  We'll be right back on the other side.
[01:31:39.980 --> 01:31:41.401]  Infowars.com.
[01:31:41.721 --> 01:31:43.081]  Tomorrow's news today.
[01:31:43.121 --> 01:31:45.482]  It's a revolutionary act against tyranny.
[01:31:45.502 --> 01:31:46.262]  To share that link.
[01:31:47.663 --> 01:31:50.084]  Monday through Friday from 11 a.m.
[01:31:52.199 --> 01:32:00.902]  The Vaunted Info Wars is live despite everything Big Tech and the Democratic Party and the establishment has done.
[01:32:01.062 --> 01:32:06.264]  You, the listeners, have like held us in the sky like God holds the sun in the sky.
[01:32:06.324 --> 01:32:08.424]  Your gravity, your will has done it.
[01:32:08.545 --> 01:32:12.326]  I salute you and I thank you because you are everything we've got.
[01:32:12.946 --> 01:32:14.286]  And again, I just want to stay in this fight.
[01:32:15.667 --> 01:32:21.429]  Judge Andrew Napolitano valiantly has come out and exposed the illegal spying.
[01:32:22.864 --> 01:32:24.305]  He's exposed the election fraud.
[01:32:25.125 --> 01:32:29.366]  He has exposed so many things that scared the power structure.
[01:32:30.067 --> 01:32:34.708]  And he's here with us today saying things that the system doesn't want you to hear.
[01:32:34.788 --> 01:32:44.372]  So let's get into this ongoing Durham investigation and the DOJ and saying the CIA has data from a Clinton lawyer that's not technically plausible.
[01:32:44.792 --> 01:32:50.394]  Explain how big this is, because I read Zero Hedge and others saying this shows the CIA was spying.
[01:32:50.794 --> 01:32:52.355]  Not just the DOJ was lying.
[01:32:52.676 --> 01:32:55.778]  What's really going on from an expert eye like yours?
[01:32:55.799 --> 01:33:01.544]  All right, I just want to give you some breaking news that just came down, Alex, and it's very happy news.
[01:33:02.284 --> 01:33:09.851]  A federal judge in Florida has just invalidated the CDC mask mandate.
[01:33:10.370 --> 01:33:18.175]  Throughout the entire country, on buses, trains and planes.
[01:33:18.255 --> 01:33:21.017]  That mandate is gone as of an hour ago.
[01:33:21.377 --> 01:33:24.920]  Now the Feds will probably appeal it and who knows where that will go.
[01:33:25.400 --> 01:33:30.704]  But for the time being, she's written a 60-page opinion, which I did my best to read during the break.
[01:33:31.284 --> 01:33:33.606]  Basically saying Congress never gave the CDC this power.
[01:33:33.626 --> 01:33:34.286]  Well, I'll tell you what, Judge.
[01:33:34.306 --> 01:33:35.027]  Let's start over.
[01:33:35.067 --> 01:33:39.510]  Let's get into the FBI, CIA, Trump spying in a moment.
[01:33:39.550 --> 01:33:41.612]  Let's get, because yeah, there's USA Today.
[01:33:41.932 --> 01:33:42.933]  Put that headline back up.
[01:33:43.013 --> 01:33:50.238]  Judge overturns, federal judge, Florida judge, overturns CDC mass mandate for public transit and planes.
[01:33:50.619 --> 01:33:51.439]  This is a big deal.
[01:33:51.479 --> 01:33:52.360]  Tell us about this, Judge.
[01:33:53.080 --> 01:33:54.642]  Well, this is a huge deal.
[01:33:54.702 --> 01:34:04.191]   So this judge, first of all, found that the Congress never gave the CDC the authority To regulate things like relations between landlords and tenants.
[01:34:04.231 --> 01:34:04.812]  We know that.
[01:34:05.793 --> 01:34:08.516]  And to tell you what to wear on your face.
[01:34:09.216 --> 01:34:14.882]  The CDC has authority to kill diseased animals.
[01:34:15.680 --> 01:34:20.242]  And to suggest what what medications people should take.
[01:34:20.642 --> 01:34:23.764]  But it doesn't have the authority to tell you what to wear on your face.
[01:34:23.824 --> 01:34:39.570]  It doesn't have the authority to interfere in the relationship between the customer, the passenger, and the owner of the means of passage, whether it's Amtrak, which is owned by the federal government, or whether it's an airline, which is owned by the owned by the shareholders.
[01:34:39.951 --> 01:34:44.132]  So the CDC, A, failed to give reasons.
[01:34:44.813 --> 01:34:53.108]   B, We failed to give notice to the Congress that it was going to do this, to give Congress the opportunity to invalidate it.
[01:34:53.268 --> 01:34:55.029]  Those are the technical violations.
[01:34:55.450 --> 01:35:04.215]  But the constitutional violation is, Congress never gave the CDC the authority to compel us to wear masks.
[01:35:04.675 --> 01:35:08.697]  And once and for all, a federal judge has just determined that.
[01:35:09.218 --> 01:35:16.535]   So if you take an airline flight today, this afternoon, Monday, April 18, 2022, 3 o'clock Eastern today.
[01:35:16.355 --> 01:35:22.274]   2022, 3 o'clock Eastern today, you don't have to wear that mask.
[01:35:22.274 --> 01:35:27.475]   Well, that is certainly great news because when it elapsed, as you know, a
[01:35:27.475 --> 01:35:31.874]   few weeks ago, Biden put it back in for 15 days and had a spokesperson say, just
[01:35:32.553 --> 01:35:33.314]  It's never going to end.
[01:35:33.714 --> 01:35:43.102]  Why do you think when we know it's prophylactic, when we know it doesn't long term do anything, even the better masks don't fully protect you, the regular ones do nothing.
[01:35:43.563 --> 01:35:46.445]  In fact, if you have them on too long, they create bacterial pneumonia.
[01:35:47.066 --> 01:35:49.167]  Why on earth are they obsessed with these?
[01:35:49.227 --> 01:35:51.830]  Is it because it's a symbol of fear and their power?
[01:35:53.126 --> 01:36:01.697]  Yes, because the government likes to give the impression, and we talked about this earlier, when the government creates artificial crimes.
[01:36:02.369 --> 01:36:04.210]  And then solves these crimes.
[01:36:04.610 --> 01:36:07.191]  The government likes to give the impression it's a hero.
[01:36:07.471 --> 01:36:15.455]  When they arrested those people in Michigan that they claimed were going to kidnap the governor, the FBI was patting itself on the back for days and weeks.
[01:36:15.875 --> 01:36:20.577]  So the government does the same thing in different formats and different lanes.
[01:36:21.097 --> 01:36:25.819]  One is create crime, solve the crime, take credit for a crime that never existed.
[01:36:26.283 --> 01:36:28.865]  Another is make it look like we're doing something.
[01:36:29.185 --> 01:36:31.146]  Make it look like we're keeping you healthy.
[01:36:31.426 --> 01:36:37.810]  Make it look like we're keeping you safe and scare the daylights out of you while we're doing it so that you will do it voluntarily.
[01:36:38.270 --> 01:36:43.573]  We all know that these masks are more harmful than they are good.
[01:36:43.793 --> 01:36:48.444]   We also know that if somebody wants to wear a mask, they can wear the
[01:36:48.444 --> 01:36:50.974]  mask. The issue is not wearing the mask.
[01:36:50.974 --> 01:36:57.774]   The issue is the government has no power to compel you to wear the mask. So when they make up a rule
[01:36:57.774 --> 01:37:02.814]   and claim they can compel you to wear the mask, it looks like they're doing something and people
[01:37:02.814 --> 01:37:08.333]   will praise the government for doing something, doing anything, whereas in reality, it's exceeding
[01:37:08.333 --> 01:37:14.173]   the Constitution, it's violating the law, and it's causing you harm. Well, for me,
[01:37:14.895 --> 01:37:19.454]   it is claustrophobic to fly on a five, six hour flight with a damn mask and you're trying
[01:37:19.454 --> 01:37:21.373]  to drink a drink, they're bitching at you about it.
[01:37:21.602 --> 01:37:26.847]  And my question is, if the mask protects you, then you're wearing it, you're protected.
[01:37:26.887 --> 01:37:27.647]  Let me do what I want.
[01:37:27.687 --> 01:37:28.008]  Same thing.
[01:37:28.248 --> 01:37:32.451]  Oh, you're not taking an injection and inoculation, so you're going to make me sick.
[01:37:32.531 --> 01:37:32.871]  Wait a minute.
[01:37:33.012 --> 01:37:35.213]  I thought this shot protects you.
[01:37:35.534 --> 01:37:37.996]  Then why don't you let me be an idiot and not take it?
[01:37:38.036 --> 01:37:40.157]  It's just the logic is out the window, Judge.
[01:37:41.538 --> 01:37:44.341]  Because the government doesn't believe in giving us choices.
[01:37:45.194 --> 01:37:46.974]  The left doesn't believe in choices.
[01:37:46.994 --> 01:37:49.795]  There are even people on the right that don't believe in choices.
[01:37:49.835 --> 01:37:56.536]  The government wants to tell us how to live because it thinks it knows what's better for us than we know for ourselves.
[01:37:56.576 --> 01:38:00.077]  That's why I said, if you want to wear a mask on a plane, go ahead and wear it.
[01:38:00.577 --> 01:38:02.858]  But the government has no authority to compel you.
[01:38:03.118 --> 01:38:10.099]  So the government's rule says you can take the mask off when you're eating and when you're drinking.
[01:38:11.067 --> 01:38:23.517]  As if the virus knows not to come out of your mouth when you're eating and drinking, but you can't take the mask off when you're talking, when you're reading, or when you're sleeping.
[01:38:23.978 --> 01:38:32.727]   So because of that absurd inconsistency, The court found there was no rational basis for the rule.
[01:38:33.228 --> 01:38:38.312]  Everything the government does, theoretically and under the Constitution, has to have a rational basis.
[01:38:38.853 --> 01:38:51.504]  If the government has no basis, or if the government's basis is irrational, or if the government's basis exceeds the authority given to it by the Constitution, then the government's behavior is unconstitutional and should be enjoined.
[01:38:51.823 --> 01:38:52.904]  God bless this judge.
[01:38:53.224 --> 01:39:00.988]  A lot of judges would have said, I'm going to enjoin you, but I'm going to stay my own ruling until an appellate court can rule.
[01:39:01.048 --> 01:39:01.889]  She didn't do that.
[01:39:02.249 --> 01:39:04.771]  She enjoined the feds immediately.
[01:39:05.411 --> 01:39:08.493]  So now it's up to the airlines, but the airlines don't want the masks.
[01:39:08.933 --> 01:39:17.238]  The airlines spent two hours in the Oval Office begging old Joe not to extend the mask rule last week, and they didn't succeed.
[01:39:18.083 --> 01:39:22.455]  But these private litigants succeeded in a federal courtroom in Miami just a few hours ago.
[01:39:22.901 --> 01:39:26.982]  Well, I'm so glad, Judge Andrew Napolitano, you were here while this broke today.
[01:39:27.002 --> 01:39:31.923]  You've got a bunch of big subjects you want to raise, but here in my stack, I want to ask you about this in the last segment.
[01:39:31.943 --> 01:39:37.965]  Next time, we'll get into the Durham investigation and the huge developments there that are so big with the permanent deep state.
[01:39:38.745 --> 01:39:50.768]  But then later, I'm sure you've seen the Washington Post, the New York Times, Bloomberg, Financial Times, all calling for dictatorship now, saying dictatorships are good and that that is what we need.
[01:39:51.208 --> 01:39:56.590]   So we're going to be Looking at some of that with Judge Knapp on the other side of this quick break as well.
[01:39:57.330 --> 01:40:02.253]  Again, ladies and gentlemen, there's so much censorship of populist and conservative libertarian news.
[01:40:02.713 --> 01:40:11.678]  We have millions listening right now, but if the millions listening tell friends, neighbors, family, strangers about the show and tell them to tell folks, it causes the chain reaction.
[01:40:11.698 --> 01:40:13.699]  So remember, we're in a revolution.
[01:40:13.919 --> 01:40:15.119]  It's not a spectator sport.
[01:40:15.439 --> 01:40:16.940]  We need your help now to spread the word.
[01:40:16.960 --> 01:40:18.181]  But right back with Judge Knapp.
[01:40:19.605 --> 01:40:33.409]  So I remember watching Judge Andrew Napolitano 15, 16, 17 years ago on Fox News and also listened to him on the radio warn about if we erode American freedoms and due process, we're all going to lose.
[01:40:35.289 --> 01:40:43.852]  And then now here we are in the year 2022 and I have videos we played last week of Klaus Schwab and his main spokesperson, Noah Harari.
[01:40:44.851 --> 01:40:51.171]   and others saying your free will's gone, robots will control everything you do, and humanity's
[01:40:51.171 --> 01:40:56.851]   a horrible species. And then now Dallas, Texas at Love Field has seven-foot robots that bark orders
[01:40:56.851 --> 01:41:01.971]   and scream at you if you're not wearing a mask. I mean, that's way crazier than stuff I said 10
[01:41:01.971 --> 01:41:05.361]  years ago. And believe me, I'm not glad I've been vindicated.
[01:41:05.361 --> 01:41:06.771]  Well, then I look at this.
[01:41:06.771 --> 01:41:12.931]   Suddenly, all over the Twitter and the Instagram, without even looking, I've got stuff like this.
[01:41:13.341 --> 01:41:14.582]  Financial Times of London.
[01:41:14.622 --> 01:41:16.143]  That is the voice of the establishment.
[01:41:16.563 --> 01:41:19.366]  Democracy works better when there is less of it.
[01:41:20.427 --> 01:41:21.748]  Autocracy is what we need.
[01:41:22.929 --> 01:41:23.530]  Bloomberg.
[01:41:23.810 --> 01:41:27.233]  To save democracy, we need a few good dictators.
[01:41:29.935 --> 01:41:30.796]  Washington Post.
[01:41:30.836 --> 01:41:33.699]  It's time to give the elites a bigger say in choosing the president.
[01:41:34.974 --> 01:41:35.514]  There's more of these.
[01:41:35.595 --> 01:41:42.201]  I mean, we are in this situation because of having these establishment people who are out of control.
[01:41:42.601 --> 01:42:00.257]  Judge, I want to get into the other big issues with you, but just as a judge, as a talk show host, as an American, what is it like to just see them go from denying they want tyranny or denying they want to take our guns to, hell yes, we're going to take your guns, and hell yes, we're going to make you take a shot, and hell yes, we're going to have robots control your life.
[01:42:00.317 --> 01:42:00.658]  It's like...
[01:42:01.598 --> 01:42:07.301]  But paradoxically, those of us that say it's bad, the media says we're crazy, it doesn't exist.
[01:42:07.601 --> 01:42:08.942]  What do you call that, Judge?
[01:42:10.623 --> 01:42:17.146]  I call it terrifying, Alex, and I call you prescient for having warned against these things.
[01:42:18.606 --> 01:42:30.352]  You know, some of us suffered dearly when we warned against what big government was doing, whether it was a foreign government doing its bidding at the American government's request so the American government could have plausible deniability.
[01:42:30.854 --> 01:42:43.157]  Or whether it's the elites finally admitting that because they are better, brighter, stronger, richer, smarter, in their own view, that they should run the world.
[01:42:43.877 --> 01:42:46.097]  In a dictatorship, there is no choice.
[01:42:46.657 --> 01:42:47.978]  The elections are controlled.
[01:42:48.438 --> 01:42:49.678]  The police are the military.
[01:42:49.778 --> 01:42:50.998]  Fear equals control.
[01:42:51.458 --> 01:42:52.458]  Speech is suppressed.
[01:42:52.799 --> 01:42:53.959]  The economy is looted.
[01:42:54.279 --> 01:42:55.379]  The people are slaves.
[01:42:56.639 --> 01:42:57.239]  That's you.
[01:42:58.460 --> 01:42:59.880]  That's you 10 years ago.
[01:43:00.592 --> 01:43:02.613]  When people laughed at you for saying that.
[01:43:03.273 --> 01:43:17.256]  Today, as you just pointed out by showing everybody, including me, the headlines from the newspapers in the past 48 hours over the Easter weekend, it's practically acknowledged that this is what they're trying to do.
[01:43:17.276 --> 01:43:19.837]  I mean, the left is trying to get babies.
[01:43:20.475 --> 01:43:22.936]  Five-year-old kids to change their genders.
[01:43:23.877 --> 01:43:25.418]  And I want to talk to that.
[01:43:25.458 --> 01:43:26.178]  That's in your stack.
[01:43:26.198 --> 01:43:27.199]  Let's get into that now.
[01:43:27.579 --> 01:43:29.520]  Let's hit that now and then we'll get into the DOJ stuff.
[01:43:29.540 --> 01:43:31.501]  You sent me these incredible articles.
[01:43:31.521 --> 01:43:32.822]  I don't even know about these latest ones.
[01:43:33.342 --> 01:43:38.125]  Aborted babies discovered in DC may indicate infanticide.
[01:43:38.185 --> 01:43:39.565]  You've got some other articles about that.
[01:43:39.605 --> 01:43:40.526]  What's your view on this?
[01:43:42.607 --> 01:43:44.528]  Well, I believe abortion is homicide.
[01:43:45.769 --> 01:43:52.674]   But the law in DC says if the baby comes out alive, This is disgusting what I'm about to tell you.
[01:43:53.414 --> 01:43:55.696]  The doctor can let the baby starve to death.
[01:43:56.116 --> 01:43:56.397]  Wow.
[01:43:56.417 --> 01:44:01.501]  But if the baby comes out alive and the doctor personally kills the baby, that's homicide.
[01:44:02.281 --> 01:44:04.083]  So somebody took five photographs.
[01:44:04.103 --> 01:44:05.984]  These things are very difficult to look at Alex.
[01:44:06.044 --> 01:44:07.906]  I'm glad your guys are blurring them a little bit.
[01:44:08.606 --> 01:44:14.831]  Somebody took five photographs of babies in a trash can in Washington, D.C.
[01:44:15.312 --> 01:44:17.994]  that belonged to an abortion facility.
[01:44:18.527 --> 01:44:29.518]  The police took the babies to have autopsies performed to see if they were murdered after they came out of the mother's womb.
[01:44:29.678 --> 01:44:33.682]  And by the way, for those who are watching, viewer discretion is advised.
[01:44:33.722 --> 01:44:35.263]  I think on the record, I'm giving people a warning.
[01:44:35.283 --> 01:44:38.206]  I'm going to show the photos because this is what happened.
[01:44:38.286 --> 01:44:38.927]  Keep going, Judge.
[01:44:40.388 --> 01:44:49.144]   I mean, the photos show It appears that these babies were squalded to death with acid, but we don't know exactly what happened.
[01:44:49.184 --> 01:44:53.066]  We don't know if they were still living and still feeling pain.
[01:44:53.526 --> 01:45:15.533]   You know, the reaction on the part of the left to the fear that the Supreme Court will invalidate Roe v. Wade, I think it's a legitimate fear, I think the court will invalidate it, has been in Washington, D.C., in California, and sadly where I am now, my home state of New Jersey, To make abortion lawful up to the moment of birth.
[01:45:16.894 --> 01:45:20.494]  And in all three places, if you can't afford it, the government will pay for it for you.
[01:45:21.515 --> 01:45:27.996]  But what was discovered over the weekend may have been abortions committed after birth.
[01:45:28.797 --> 01:45:35.538]  After the baby came out alive and intact, the homicide was committed.
[01:45:35.738 --> 01:45:37.659]  To me, all abortion is homicide.
[01:45:38.012 --> 01:45:42.974]  The government's most profound obligation is to preserve, protect, and defend human life.
[01:45:43.054 --> 01:45:44.675]  You're right, but this is totally cut and dry.
[01:45:44.695 --> 01:45:54.700]  These are viable babies outside the womb for adoption, and as we know, they either drowned them or put them in a bed of acid, which again violates the law of killing the baby.
[01:45:54.780 --> 01:45:55.680]  It's just incredible.
[01:45:56.000 --> 01:45:58.762]  How do any of us feel safe if we have no empathy?
[01:45:58.782 --> 01:46:00.843]  Because I'm for animal rights too, some basic ones.
[01:46:01.043 --> 01:46:02.323]  But what about human rights here?
[01:46:02.343 --> 01:46:03.384]  What about rights of babies?
[01:46:03.744 --> 01:46:03.924]  Correct.
[01:46:03.944 --> 01:46:04.165]  Correct.
[01:46:04.225 --> 01:46:05.005]  You're 100% correct.
[01:46:05.126 --> 01:46:10.326]   As lab rats, the left all got mad that Fauci had beagles strapped into these cages with
[01:46:10.326 --> 01:46:14.405]   flesh-eating bugs. I'm totally against that, but how about we don't do it to babies either, Judge?
[01:46:14.405 --> 01:46:20.485]   Correct, correct. You're 100% correct. But the same crowd that will defend the rights of animals...
[01:46:20.738 --> 01:46:21.799]  And I'm an animal lover too.
[01:46:21.839 --> 01:46:22.979]  My Chris is all over the place.
[01:46:23.019 --> 01:46:27.941]  He loves to, my beagle German shepherd mix, he loves to get on camera.
[01:46:28.381 --> 01:46:35.483]  The same crowd that will defend the right of animals will have nothing to do with the right of babies in the womb.
[01:46:35.883 --> 01:46:38.124]  Because their goal is to destroy the family.
[01:46:38.504 --> 01:46:44.667]   Because the family It's the basis, the structure for freedom in Western civilization.
[01:46:44.687 --> 01:46:51.971]  And the left, which wants one world government, wants the government to control everything, is beginning at the bottom by destroying the family.
[01:46:52.391 --> 01:47:16.375]   That's why also here in New Jersey, again it's sickening and sad to say, the Department of Education issued regulations to every second grade teacher in the state Those kids are six and seven years old that tell them that they can change their gender and they can change their sexual identity because quote, now I'm going to use a quote.
[01:47:16.475 --> 01:47:18.597]  It's a little off putting, but it's a quote.
[01:47:19.458 --> 01:47:22.640]  You don't have to have a penis to be a boy.
[01:47:22.660 --> 01:47:23.761]  Geez.
[01:47:24.782 --> 01:47:33.369]  Now the reaction to that was so extreme, even on the part of blue collar, mainly Catholic Democrats.
[01:47:34.136 --> 01:47:44.941]  That the governor himself, who's a hard lefty authoritarian who wants to succeed Joe Biden in the White House, Phil Murphy, first claimed he didn't know anything about it.
[01:47:44.981 --> 01:47:46.602]  Then he claimed he had nothing to do with it.
[01:47:46.962 --> 01:47:50.744]  Now he's asked the education department to revisit it.
[01:47:51.263 --> 01:47:58.386]  But until three or four days ago, all these second grade teachers were told, starting in September, this is what you must tell these kids.
[01:47:58.586 --> 01:48:02.327]  And they literally teach children self-harm, cut your genitals off.
[01:48:02.788 --> 01:48:04.708]  This is like a satanic hallucination.
[01:48:04.728 --> 01:48:05.709]  It doesn't even make sense.
[01:48:05.729 --> 01:48:08.590]  It has nothing to do with gay rights or any of that stuff.
[01:48:08.850 --> 01:48:21.035]  This is literally the state in a weird medical cult wanting to form a relationship with little children, not just to have sex with them, that'd be bad enough, but to teach them they're another gender and then line them up to be sterilized.
[01:48:21.415 --> 01:48:23.277]  I mean, that's abominable!
[01:48:24.538 --> 01:48:44.257]  This is child abuse, and it violates a terrific opinion by the Supreme Court, which basically says the relationship between the parent and the child is the highest, most protected relationship, protected from the government, that we have in the country.
[01:48:45.174 --> 01:48:46.335]  And the government.
[01:48:46.375 --> 01:48:49.158]  Remember, I don't call them public schools, they're government schools.
[01:48:49.458 --> 01:48:53.301]  The government has no business intruding itself in that relationship.
[01:48:53.622 --> 01:48:59.006]  It's up to the parents to decide when those kids should learn and what they should learn about sexuality.
[01:48:59.327 --> 01:49:05.030]   To which Governor Murphy said, well, Uh, the parent can get the kid excluded from class if he wants.
[01:49:05.090 --> 01:49:05.971]  That's not good enough.
[01:49:06.431 --> 01:49:09.874]  Those kids will be ridiculed by their... Unbelievable.
[01:49:09.994 --> 01:49:11.795]  I mean, children are very impressionable.
[01:49:12.216 --> 01:49:21.102]  I know when I was in elementary, I did whatever the teacher said, wanted to do a good job, and the teacher's not teaching you how to do math or art or literature, uh, or, or, or, or P.E.
[01:49:21.142 --> 01:49:25.566]  You're learning about weird sex stuff I didn't learn about until I was a teenager.
[01:49:26.266 --> 01:49:27.367]  This is insane.
[01:49:27.507 --> 01:49:31.549]  Final segment with Judge Andrew Napolitano, who by the way has great Skype.
[01:49:31.569 --> 01:49:32.970]  He looks like he's in studio with us.
[01:49:33.370 --> 01:49:34.170]  Looks great there.
[01:49:34.250 --> 01:49:34.671]  I love it.
[01:49:35.491 --> 01:49:36.491]  So good to have him here with us.
[01:49:36.732 --> 01:49:38.192]  Looks better than Fox News right there.
[01:49:38.493 --> 01:49:43.935]  We'll come back with him on other DOJ news with the CIA spying on Trump and more.
[01:49:44.336 --> 01:49:45.897]  Total vindication for Judge Nap.
[01:49:45.917 --> 01:49:46.297]  Stay with us.
[01:49:47.096 --> 01:49:56.520]  Well, Judge Andrew Napolitano or Judge Knapp always did a great job on Fox, but man, him unedited, uncensored, able to go for 10 minutes at a time is amazing.
[01:49:57.700 --> 01:50:01.222]  I can always count on him to give us a straight answer and it always turns out to be accurate.
[01:50:02.282 --> 01:50:08.366]  Looking at Durham and his special probe and the statute of limitations you were on a few months ago and everything else.
[01:50:08.446 --> 01:50:12.088]  And as you said, there's new crimes covering up old crimes and extends it.
[01:50:13.028 --> 01:50:13.589]  Is he good?
[01:50:13.729 --> 01:50:14.309]  Is he bad?
[01:50:14.369 --> 01:50:15.410]  What's really going to come out of this?
[01:50:15.430 --> 01:50:20.252]  Because his filings show a lot of what the deep state was doing.
[01:50:20.292 --> 01:50:26.496]  So why don't you, as an expert, fill folks in on why this is important and what you really think is going on and where you think this is going.
[01:50:28.237 --> 01:50:31.979]  Alex, and thank you very much for your kind words about me.
[01:50:32.574 --> 01:50:34.435]  It's always a pleasure to be with you.
[01:50:34.715 --> 01:50:40.199]  The government rarely investigates itself and the government hates investigating itself.
[01:50:40.879 --> 01:50:43.681]  And I originally was not in favor of this.
[01:50:44.682 --> 01:50:54.628]  A special prosecutor, not answerable to anybody, sort of a rogue person in the DOJ, much like Bob Mueller was in the Trump DOJ.
[01:50:55.489 --> 01:51:00.412]  But John Durham, just on the snippets of information, I must assume there's more.
[01:51:00.902 --> 01:51:12.066]  That he's revealed to a federal judge in DC involving this lawyer for Hillary Clinton, who went in to speak to the general counsel of the FBI in order to dupe the FBI.
[01:51:12.486 --> 01:51:18.468]  John Durham has shown his cards and has shown that some really bad things were going on.
[01:51:18.568 --> 01:51:19.929]  Here's what he has shown.
[01:51:20.949 --> 01:51:22.630]  And again, he's going to have to prove this.
[01:51:23.246 --> 01:51:27.308]  To a jury, but he has made a prima facie case.
[01:51:27.368 --> 01:51:32.211]  He's laid out a case strong enough to know, so that we know there's something there.
[01:51:32.592 --> 01:51:45.699]  Hillary Clinton's people attempted to put the FBI onto Donald Trump by duping the FBI into believing that there was a real Trump-Russia connection.
[01:51:46.520 --> 01:51:50.122]  This was not something done just by one lawyer.
[01:51:51.074 --> 01:51:54.235]  Who decided it was time for Trump to have a bad day.
[01:51:54.695 --> 01:51:58.617]  This was planned and plotted and orchestrated at the highest levels of the campaign.
[01:51:58.857 --> 01:52:09.620]  There's no evidence of Hillary's fingerprints on it, but knowing her personality, knowing her being a control type person, it's hard to believe that she did not know about this.
[01:52:11.641 --> 01:52:18.423]  The CIA was apparently monitoring the Trump campaign.
[01:52:18.874 --> 01:52:20.474]  Now that's good and bad.
[01:52:20.594 --> 01:52:24.555]  It's good because the CIA is saying, we saw this stuff and we knew it was garbage.
[01:52:25.016 --> 01:52:28.776]  It's bad because they should have told the FBI that it was garbage.
[01:52:29.077 --> 01:52:36.438]  They should have spared Trump what he went through for the first two, two and a half years of his presidency.
[01:52:37.139 --> 01:52:39.159]  They're all part of the deep state.
[01:52:39.639 --> 01:52:41.139]  There are some good FBI agents.
[01:52:41.200 --> 01:52:43.360]  We talked about that about 45 minutes ago.
[01:52:43.820 --> 01:52:45.541]  There are some good CIA agents.
[01:52:45.601 --> 01:52:46.281]  Guess what they do?
[01:52:46.321 --> 01:52:47.061]  They usually quit.
[01:52:47.734 --> 01:52:52.535]  Like Phil Giraldi when they realize what the CIA is up to.
[01:52:52.915 --> 01:53:05.757]  But if the CIA knew that what Hillary Clinton's people gave to the FBI was garbage and did nothing about it, that's because of the old boy rivalry between the CIA and the FBI and it's bad.
