[00:00:04.086 --> 00:00:09.368]  Here we are, right in the center of the fight, live Sunday, December 18, 2022.
[00:45:59.117 --> 00:46:07.848]  So they found a match through a member at their church, and they paid to have the proper protocol take place for Alex to receive that donor's blood.
[00:46:08.729 --> 00:46:21.481]  However, when it came time for the hospital to initiate the transfusion, the doctors and nurses claimed they were unable to locate the unvaccinated donor's blood the parents had procured.
[00:46:22.222 --> 00:46:27.687]  So, without the parents' consent, they took blood from the hospital's general stockpile.
[00:46:28.228 --> 00:46:33.272]  The doctors and nurses assured the parents that baby Alex would be fine.
[00:46:34.053 --> 00:46:38.419]  And told them babies rarely, if ever, get blood clots.
[00:46:39.540 --> 00:46:44.707]  Shortly after the transfusion, baby Alex developed a large blood clot.
[00:46:45.428 --> 00:46:49.172]  The blood clot ran from his knee all the way up to his heart.
[00:46:50.322 --> 00:46:57.526]  The hospital changed their tune, saying babies get blood clots all the time, and this was normal.
[00:46:58.186 --> 00:47:04.530]  Baby Alex was put on the highest dose of blood thinners possible for his age and size.
[00:47:05.530 --> 00:47:08.352]  But the blood clot didn't dissipate at all.
[00:47:09.332 --> 00:47:15.516]  Just 12 days later, Alex sadly passed away as a result of a blood clot.
[00:47:17.096 --> 00:47:32.725]  And now, the Sacred Heart Children's Hospital that killed him claims there's no record of baby Alex being at the hospital, despite ample evidence, including photographs, medical bills, and his death certificate.
[00:47:33.705 --> 00:47:34.726]  What is going on here?
[00:47:36.519 --> 00:47:47.430]  Just days ago, Cole Reeves and Samantha Savage had their infant child, Will, taken by the New Zealand government to explicitly be given vaccinated blood.
[00:47:48.487 --> 00:48:01.016]  Will is still healthy, and his father suggests the possibility that hospital workers may have disobeyed the government and used clean, unvaccinated blood for Will's surgery.
[00:48:01.977 --> 00:48:07.541]  One can only hope that eventually people will start standing up against this mass murder.
[00:48:08.141 --> 00:48:09.422]  And the sooner, the better.
[00:48:10.122 --> 00:48:15.867]  Because young, innocent children like Alex are being murdered in hospitals all over the world.
[00:48:16.627 --> 00:48:22.449]  And these monsters are still pushing to inject every single child with this deadly poison.
[00:48:23.829 --> 00:48:26.350]  Reporting for InfoWars, this is Greg Reese.
[00:48:27.910 --> 00:48:33.452]  That scumbag devil, Team Simmons, says, oh, you always take your shots.
[00:48:33.512 --> 00:48:35.232]  No, there are no mandatory shots in free countries.
[00:48:35.292 --> 00:48:37.533]  These aren't even vaccines, you pig.
[00:48:37.553 --> 00:48:38.413]  We'll be right back.
[00:48:38.433 --> 00:48:38.773]  Stay with us.
[00:48:43.151 --> 00:48:44.591]  All right, we're now into hour number two.
[00:48:44.611 --> 00:48:46.872]  Owen Troyer comes up at 6 p.m.
[00:48:46.932 --> 00:48:48.372]  Central with Sunday Live.
[00:48:48.732 --> 00:48:52.693]  I'm your host Alex Jones.
[00:48:52.873 --> 00:48:53.994]  Let's talk facts here.
[00:48:54.834 --> 00:49:13.322]   There is nothing more frustrating than having the Senate reports, than having all the documents, than having the state police investigations in Arizona, Texas, you name it, where they admit that millions of underage children Have been smuggled in the last few years under Biden.
[00:49:14.203 --> 00:49:16.484]  Say what you want about Trump, but he almost completely ended it.
[00:49:17.245 --> 00:49:28.934]  And there are caravans of hundreds of thousands a week slamming in tens of thousands per group to places like El Paso, Texas, where they now report 14,500 a day coming into the city alone.
[00:49:32.967 --> 00:49:36.053]  Now I have this headline I run all the time, emergency broadcast.
[00:49:36.594 --> 00:49:41.482]  And if you go back 15, 20 years ago, I would say emergency broadcast maybe once a year.
[00:49:41.502 --> 00:49:45.810]  Kind of like Drudge would put up the red siren when something was really big.
[00:49:46.587 --> 00:49:51.811]  But as the crises intensify, half the time the headline is emergency broadcast.
[00:49:52.152 --> 00:49:54.053]  Tonight it says emergency broadcast.
[00:49:54.794 --> 00:49:58.137]  Because even the top globalist Kissinger says we're about to have nuclear war with Russia.
[00:49:58.477 --> 00:49:59.498]  The peace deal isn't done.
[00:49:59.518 --> 00:50:01.380]  It's escalating into nuclear war.
[00:50:01.720 --> 00:50:04.250]   The U.S.' Greenland attacks inside Russia with missiles has been
[00:50:04.250 --> 00:50:06.960]  going on for three weeks.
[00:50:06.960 --> 00:50:16.639]   So you have the lockdowns for two plus years in the third world.
[00:50:15.138 --> 00:50:16.159]  It totally collapses.
[00:50:17.060 --> 00:50:26.170]  And if you go back 10 years ago, the UN advertised to Africans and to Middle Easterners and others, if you can get to Europe, everything's going to be paid for.
[00:50:26.811 --> 00:50:27.952]  Everything is going to be free.
[00:50:29.875 --> 00:50:36.905]   And the very same non-governmental organizations That ran the operations in Europe.
[00:50:36.785 --> 00:50:46.044]   The very companies have been hired by Biden two years ago to run the sectors on the 2,300 mile border
[00:50:46.044 --> 00:50:49.825]   between the United States and Mexico on our Southern border.
[00:50:49.825 --> 00:50:57.624]  Think about that.
[00:50:57.624 --> 00:51:07.624]  [BLANK_AUDIO]
[00:51:01.046 --> 00:51:01.947]  And let that sink in.
[00:51:03.755 --> 00:51:06.756]  And so now, what do the Deep State Democrats do?
[00:51:07.336 --> 00:51:14.197]  As their cities, like D.C., and New York, and Denver, get flooded, and people are like, what the hell is this?
[00:51:18.698 --> 00:51:22.338]  The Red Cross is overwhelmed, the local charities are overwhelmed.
[00:51:24.099 --> 00:51:28.019]  The mayors get up and say, it's the Republicans' fault, they broke the border.
[00:51:28.099 --> 00:51:31.060]  That's what the press secretary said last week, he played the clip on Thursday.
[00:51:32.842 --> 00:51:35.805]  And we just need to totally get rid of the border to fix this problem.
[00:51:36.166 --> 00:51:37.207]  And we need more money.
[00:51:37.687 --> 00:51:40.450]  We don't have money for our homeless people or our vets.
[00:51:40.771 --> 00:51:45.836]  But we're supposed to have money for 10 plus million people a year the last two years.
[00:51:46.117 --> 00:51:50.702]  And now they're saying with Title 42 going away next week, it's going to be five times worse.
[00:51:51.062 --> 00:51:52.604]  They're talking about 50 million.
[00:51:52.644 --> 00:51:53.605]  You know, that's a crazy number.
[00:51:54.045 --> 00:51:59.846]   The U.N.' 's Replacement Migration Program talked about collapsing the third world a decade ago, organizing the U.N.
[00:51:59.886 --> 00:52:14.389]  refugee centers, and moving the people up from Africa and from areas of Asia and the Middle East and from other parts of the world into North America and into the U.S.
[00:52:16.230 --> 00:52:17.070]  So here's the headlines.
[00:52:17.470 --> 00:52:21.071]  El Paso mayor declares state of emergency over border crisis.
[00:52:22.463 --> 00:52:25.444]  New York City declares emergency over migrant crisis.
[00:52:26.784 --> 00:52:33.706]  Denver Mayor declares emergency says city on verge of reaching breaking point amid influx of illegal immigrants.
[00:52:34.026 --> 00:52:35.006]  And they've got an answer.
[00:52:36.006 --> 00:52:37.126]  More federal funding.
[00:52:39.547 --> 00:52:42.028]  Which then the Democrats skim the money off of.
[00:52:43.188 --> 00:52:47.009]  And then they give them jobs on top of their welfare checks and the Democrats steal that.
[00:52:47.069 --> 00:52:47.729]  It's all on record.
[00:52:49.076 --> 00:52:50.397]  So I've done special reports.
[00:52:50.477 --> 00:52:51.599]  I've been to the border many times.
[00:52:51.659 --> 00:52:54.742]  We've listed the UN NGO.
[00:52:56.584 --> 00:52:59.727]  You look it up, running the Texas border.
[00:52:59.747 --> 00:53:09.076]  You go there and it's all a bunch of Soros, purple and green and blue haired liberals telling the Border Patrol what to do with these giant migrant centers on the border.
[00:53:09.617 --> 00:53:10.517]  They're in charge.
[00:53:10.858 --> 00:53:11.659]  They're the bosses.
[00:53:13.285 --> 00:53:23.667]  They're violating all the laws, they're giving little kids away to people with no IDs, all of it's human smuggling, all of it's felonies, and they're just doing it out in the open in front of everybody.
[00:53:26.048 --> 00:53:27.608]  Just like they do everything else criminal.
[00:53:28.209 --> 00:53:33.870]  So I pointed out to Governor Abbott and others here on air, and I've asked listeners to point it out to them, that what are you doing?
[00:53:36.631 --> 00:53:43.351]   You have state grand juries, You know, we always show this footage.
[00:53:43.411 --> 00:53:44.231]  It's not even the bad footage.
[00:53:44.531 --> 00:53:49.875]  We have footage of unaccompanied children being handed over to strangers into cars, trains, and buses.
[00:53:50.335 --> 00:53:51.016]  We have footage.
[00:53:51.136 --> 00:53:52.336]  I mean, it just goes on and on.
[00:53:52.456 --> 00:53:53.497]  Just don't even show any of it.
[00:53:53.517 --> 00:53:55.578]  We're not going to show the hardcore stuff.
[00:53:55.618 --> 00:53:55.939]  It's fine.
[00:53:56.539 --> 00:53:57.420]  You know, just whatever.
[00:53:57.460 --> 00:53:59.281]  It's just, it's all, it's just, you know.
[00:54:00.842 --> 00:54:13.657]   So, you know, the one thing InfoWars is not good at, The live show crew is great, but we have all this other crew.
[00:54:14.397 --> 00:54:18.957]   is compilations of all the incredible stuff we've shot and things we've done.
[00:54:18.957 --> 00:54:28.477]  And just like like like how horrific it is.
[00:54:28.562 --> 00:54:29.483]  But, but I digress.
[00:54:30.663 --> 00:54:38.386]  So now, we have Texas Governor Abbott seeks state probe of NGOs aiding illegal immigrants crossing border.
[00:54:42.273 --> 00:54:42.973]  It's felonies?
[00:54:43.994 --> 00:54:49.296]  Why hasn't the state police, the Texas Rangers, why haven't the grand juries moved forward?
[00:54:49.636 --> 00:55:01.021]  Because almost every city and major town in Texas has George Soros district attorneys and county attorneys and judges and they love it and they like it.
[00:55:01.892 --> 00:55:11.255]  Project Veritas weeks ago exposed child sex traffic from the border up into Dallas, up into Austin, into Houston, and the rest of the country.
[00:55:11.715 --> 00:55:14.556]  Six-year-olds saying, yeah, I don't know who these people are I live with.
[00:55:14.756 --> 00:55:16.017]  They make me have sex with people.
[00:55:16.197 --> 00:55:17.037]  Will you save me?
[00:55:18.658 --> 00:55:22.339]  And nobody's coming to save you because the FBI loves it.
[00:55:23.359 --> 00:55:25.300]  The Democratic Party loves it.
[00:55:27.489 --> 00:55:32.076]  The NGOs and the law firms, they love it.
[00:55:33.038 --> 00:55:35.121]  They think it's funny and cute.
[00:55:37.165 --> 00:55:41.752]  God knows where these children are going, ladies and gentlemen.
[00:55:45.285 --> 00:55:53.868]  But we have the footage at the airports where the same woman all day goes to the migrant center, takes the newborn babies, the six-month-old babies, and then she goes, it's my baby!
[00:55:54.048 --> 00:55:58.770]  And with no paperwork, hands it over to NGOs, and the babies just disappear.
[00:56:01.451 --> 00:56:09.874]  And weird, creepy men pulling up in vans, and they just hand them little kids, six, seven, eight-year-old girls and boys, and they just drive off with them.
[00:56:11.579 --> 00:56:21.023]  Oh, but when you come back from a trip to Europe or Cancun, Mexico, anywhere, oh, let me check your passport, let me run it, let me ask you questions to make sure you are who you say you are.
[00:56:21.344 --> 00:56:24.985]  But when they're doing it on this scale, we just sit there and we take it.
[00:56:25.045 --> 00:56:30.308]  So, all the border states and other states have laws against this.
[00:56:30.648 --> 00:56:32.309]  This is all incredibly illegal.
[00:56:32.709 --> 00:56:33.949]  You know, my sister's adopted.
[00:56:34.029 --> 00:56:35.570]  My mother couldn't have children after me.
[00:56:35.910 --> 00:56:37.191]  She got the Dalkon shield.
[00:56:39.285 --> 00:56:43.765]   contraceptive that was actually a sterilant. She won a lawsuit against them. That's a side issue.
[00:56:43.765 --> 00:56:49.845]   Hundreds of thousands of women dead in the class action lawsuit. So we adopted my sister from South
[00:56:49.845 --> 00:56:57.124]   Korea. It took two years and a whole bunch of red tape and hundreds of thousands of dollars to make
[00:56:57.124 --> 00:57:00.885]   sure we were a good family, to make sure it was all taken care of, to make sure she wasn't taken
[00:57:00.885 --> 00:57:05.045]   from another family. There was a woman wanting to give up a child and that's my sister and I love
[00:57:05.045 --> 00:57:06.164]  her and she's great.
[00:57:06.367 --> 00:57:22.111]   All that vetting to adopt my sister but zero when they just hand these children off and this mass crime is committed We'd go down there three years ago, two years ago, a year ago, and there'd be total corporate media control.
[00:57:22.591 --> 00:57:35.881]  Twitter, Facebook, Instagram, Google would not let one bombshell, insane video that we got of crime, of smuggled children coming out, and the good corporate media worked together and they didn't release it.
[00:57:36.161 --> 00:57:37.082]  But you know who else didn't?
[00:57:38.228 --> 00:57:40.790]  Oh, you don't share an InfoWars link, you might get censored.
[00:57:41.070 --> 00:57:43.012]  Oh, you don't promote an Alex Jones link, you might get criticized.
[00:57:43.372 --> 00:57:46.374]  So the general public didn't promote those videos.
[00:57:48.916 --> 00:57:51.478]  The general public knew to just, that's not kosher.
[00:57:51.798 --> 00:57:52.639]  You just don't go there.
[00:57:52.879 --> 00:57:59.003]  So now the general public has aided and abetted the kidnapping and smuggling of children.
[00:58:00.885 --> 00:58:01.445]  Ladies and gentlemen.
[00:58:05.668 --> 00:58:06.489]  So that's where we are.
[00:58:07.864 --> 00:58:12.348]  But at least now they're talking about criminal investigations and grand juries because, I mean, it's open and shut.
[00:58:12.888 --> 00:58:15.650]  Just start arresting these people and it'll all fall like dominoes.
[00:58:17.552 --> 00:58:19.433]  And we are back on this live Sunday show.
[00:58:19.453 --> 00:58:21.034]  I want to make this final point about the border.
[00:58:23.336 --> 00:58:29.381]  You have mass human trafficking, mass sex trafficking, kidnapped children, all of it on record, all of it admitted.
[00:58:30.413 --> 00:58:47.439]  And you have famous UN-run, non-governmental organizations giving debit cards to people in faraway countries to come to the Texas border, to come to other European borders, and to flood into the United States, many of them with kidnapped children in tow.
[00:58:49.220 --> 00:58:53.261]  And if anybody tries to stop it, you're a terrorist, you're bad.
[00:58:55.322 --> 00:59:02.348]  And so yes, I'm calling for the head of the main NGO down in South Texas to be arrested for human trafficking.
[00:59:02.388 --> 00:59:02.888]  They've done it.
[00:59:03.229 --> 00:59:03.989]  They organized it.
[00:59:04.069 --> 00:59:06.271]  They paid people they knew had kidnapped kids to do it.
[00:59:06.692 --> 00:59:07.312]  Arrest them!
[00:59:08.974 --> 00:59:14.899]  We have a bunch of politically correct, sold-out people who aren't part of the trafficking themselves who just go along with it.
[00:59:15.579 --> 00:59:19.523]  So it is good that Governor Abbott's finally talking about this.
[00:59:21.343 --> 00:59:25.186]  Because if he doesn't do something about it, he's guilty of it as well.
[00:59:25.986 --> 00:59:30.249]  Texas Governor Abbott seeks state probe of NGOs aiding illegal immigrants crossings.
[00:59:31.870 --> 00:59:34.692]  They're aiding the crime that violates federal crime.
[00:59:37.294 --> 00:59:39.195]  And now we have a state of emergency.
[00:59:42.418 --> 00:59:44.899]  We are in a major emergency.
[00:59:46.160 --> 00:59:48.662]  We are in an intense emergency.
[00:59:50.270 --> 00:59:51.551]  And then we've got all this news.
[00:59:54.413 --> 00:59:58.397]  Court rules against biological females over Connecticut transgender athlete policy.
[00:59:59.858 --> 01:00:04.121]  Gates and Bezos invest in Australian-designed brain implant.
[01:00:04.422 --> 01:00:05.322]  I'm going to get to that.
[01:00:06.183 --> 01:00:09.846]  An electric car charging twice as expensive new study.
[01:00:10.246 --> 01:00:11.387]  I'll get to that next segment.
[01:00:11.407 --> 01:00:12.788]  But let's go to this right now.
[01:00:13.769 --> 01:00:19.314]  Because there's a great report here.
[01:00:21.547 --> 01:00:22.729]  That really needs to be aired.
[01:00:22.809 --> 01:00:29.879]  This is Neil Oliver, based out of Scotland, who does a great job.
[01:00:31.661 --> 01:00:41.188]  And he talks about how you have MPs, Members of Parliament, coming out with government whistleblowers that know that the shots create blood clots and kill people and erase your immune system.
[01:00:41.568 --> 01:00:46.912]  And when the Member of Parliament's there speaking, warning, no one's there to even listen to him and the media doesn't pick it up.
[01:00:47.252 --> 01:00:49.614]  Again, we're signed on to armed destruction.
[01:00:49.914 --> 01:00:55.418]  Do you think it's not going to get worse if we don't wake up and say, no, we're not going along with this?
[01:00:56.859 --> 01:00:57.820]  Here's part of that report.
[01:00:59.619 --> 01:01:03.660]  What is being alleged about the so-called vaccines is of monumental importance.
[01:01:04.180 --> 01:01:15.083]  What Bridgen and Malhotra have claimed ought to be the biggest story in the country, in the world, and yet anyone interested in familiarising themselves with most of what was said has to go looking for it online.
[01:01:15.883 --> 01:01:20.745]  Bridgen noted withdrawals of those other medical products when their safety was credibly questioned.
[01:01:21.565 --> 01:01:29.231]  That's the world I thought we lived in, where doubt voiced in the face of credible research leads to the pausing of a course of action and a rethink.
[01:01:29.811 --> 01:01:44.463]  And yet here we are, with peer-reviewed research demonstrating one in every hundred people receiving the Pfizer jab suffers a serious reaction, and medical professionals of unimpeachable credentials urging at least a pause in the rollout, if not a full and final stop.
[01:01:45.183 --> 01:01:53.657]  And still, the government-sponsored adverts are everywhere, in the mainstream and online, inviting people of all ages to take even more of the same product.
[01:01:54.485 --> 01:02:09.036]  Dr Malhotra said on this channel last week in relation to the Pfizer jab, quote, the original trial data, which was reanalyzed, suggested one was more likely to get serious adverse effects from the vaccine than one was to be hospitalized with Covid.
[01:02:09.917 --> 01:02:10.698]  What does that mean?
[01:02:11.118 --> 01:02:16.602]  It means if that is correct, which it seems to be, it should never have been approved in the first place.
[01:02:17.714 --> 01:02:23.376]  Questions have been asked all over the world about blood clotting and any possible connection with the AstraZeneca product.
[01:02:24.017 --> 01:02:29.399]  Countries across Europe have stopped using it and it's no longer being given to people under 30 in the UK.
[01:02:30.139 --> 01:02:40.984]  It's worth noting that on Wednesday, Pascal Sauriot, Chief Executive Officer of AstraZeneca, was knighted by King Charles for services to life sciences in a ceremony at Windsor Castle.
[01:02:41.804 --> 01:02:46.588]  All around the world, there is mounting evidence of deaths and injuries caused by the so-called vaccines.
[01:02:47.148 --> 01:02:48.870]  There are more and more excess deaths.
[01:02:49.150 --> 01:02:51.332]  People of all ages dying every day.
[01:02:51.632 --> 01:02:53.353]  Deaths unrelated to Covid.
[01:02:54.154 --> 01:02:56.216]  Pause for a moment to consider the following.
[01:02:56.816 --> 01:03:01.820]  In the United States, in the second half of 2021, 61,000 Americans between the ages of 25 and 44 died of causes unrelated to Covid.
[01:03:06.684 --> 01:03:11.089]  The death toll of the same age group during the decade-long Vietnam War was 58,000.
[01:03:11.149 --> 01:03:16.114]  Here in the UK, at the start of the lockdown in 2020, in the week ending 23rd of March, there were 1,379 excess deaths.
[01:03:16.414 --> 01:03:21.934]   In the week ending 23rd of March, there were 1,379 excess deaths.
[01:03:21.934 --> 01:03:28.173]  In the week ending 21st October this year, the figure was 1,822.
[01:03:28.173 --> 01:03:35.534]   There are more people dying every week now of causes unrelated to Covid than at the height of a pandemic.
[01:03:35.712 --> 01:03:39.294]  Daily we were invited to look on in horror at the Covid death toll.
[01:03:39.834 --> 01:03:42.416]  Where is the outrage about these latest deaths?
[01:03:42.936 --> 01:03:44.257]  The round-the-clock coverage?
[01:03:45.202 --> 01:03:55.831]  Dr John Campbell, a regular contributor to this channel, said last month in relation to the ONS data regarding those excess deaths, there is something pretty horrible going on.
[01:03:56.471 --> 01:04:04.117]  Over 1,800 deaths a week, more than we would expect, and it's been going on for a long time now, and we need an explanation.
[01:04:04.938 --> 01:04:09.321]  What we get instead is the relentless continuation of the rollout, the push to get boosted.
[01:04:09.842 --> 01:04:13.624]  Fauci in the US and others here in the UK say we're still in a pandemic.
[01:04:14.185 --> 01:04:22.151]  If that's true, it's the longest lasting pandemic in modern history, much longer than the Spanish flu pandemic at the end of the First World War.
[01:04:23.151 --> 01:04:29.556]  The concern being voiced now by Bridgen and Malhotra has been being shouted from the rooftops by many, many others for years.
[01:04:30.317 --> 01:04:39.044]  For as long as we've had the products marketed as vaccines, there have been voices asking questions, and those were silenced, derided, ridiculed, reputations ruined.
[01:04:39.704 --> 01:04:45.929]  Back in 1995, US physicist Carl Sagan demanded restless inquiry from all scientists.
[01:04:46.770 --> 01:04:50.171]  Science requires an almost complete openness to all ideas, he said.
[01:04:50.631 --> 01:04:54.892]  On the other hand, it requires the most rigorous and uncompromising scepticism.
[01:04:55.692 --> 01:04:57.552]  And so how did we get to where we are now?
[01:04:58.232 --> 01:05:10.435]  When did we set aside uncompromising scepticism and decide to live in a world in which we must, all of us, do precisely what we're told by our governments and their preferred experts, without ever raising so much as a questioning voice?
[01:05:11.417 --> 01:05:25.222]  The chamber in which Bridgen made his speech was all but empty because, with a few exceptions, apparently none of the rest cared to listen to what he had to say about a course of action affecting tens of millions of lives here in the UK and billions around the world.
[01:05:26.092 --> 01:05:27.352]  Let's give the devil his due.
[01:05:27.793 --> 01:05:36.075]  Let's imagine many are daily in receipt of messages raising the alarm, but find their survival in the world of politics means they keep shtoom rather than rock the boat.
[01:05:36.836 --> 01:05:47.039]  I hear from other journalists saying they're in contact with MPs, with medical professionals, with high-profile media types, all of whom have decided now to stay well clear of the so-called vaccines.
[01:05:47.739 --> 01:05:50.540]  Some of those people have taken some jabs, some none.
[01:05:51.181 --> 01:05:59.665]  But the fear of speaking out, the culture of silence in the face of what so many know to be an egregious wrong is enabling the narrative to persist largely unchallenged.
[01:06:00.585 --> 01:06:05.087]  The behaviour of governments and corporations in the last two or three years has changed the world.
[01:06:05.848 --> 01:06:10.310]  It might still look the same, more or less, but in all the ways that matter it has been altered.
[01:06:11.090 --> 01:06:16.333]  Those who are awake to it all perceive a new reality and wonder how on earth they missed the signs for as long as they did.
[01:06:17.094 --> 01:06:27.881]  That all-but-empty House of Commons said loud and clear that the powers that be, the allied powers of governments and corporations, no longer feel the need to be answerable in any meaningful way to the people.
[01:06:28.641 --> 01:06:32.842]  Paradoxically, their absence from the chamber only made them more glaringly visible.
[01:06:33.482 --> 01:06:36.783]  The willful blindness about the vaccines is just the tip of the iceberg.
[01:06:37.284 --> 01:06:39.524]  Soaring excess deaths in all age groups.
[01:06:39.844 --> 01:06:43.425]  The complicated truth of the war in Ukraine still not openly discussed.
[01:06:43.985 --> 01:06:46.486]  The greatest transfer of wealth in the history of the world.
[01:06:46.806 --> 01:06:48.407]  The wholesale erosion of our rights.
[01:06:48.747 --> 01:06:51.948]  The nudge away from cash and towards central bank digital currencies.
[01:06:52.648 --> 01:06:57.570]  People are freezing in their homes and turning to food banks in what has been a first world country.
[01:06:58.090 --> 01:07:03.952]  Here's the thing, the near emptiness of that chamber was a moment of history, a warning about the future.
[01:07:04.532 --> 01:07:14.736]  If our MPs don't care enough about harms to populations around the world to turn up and listen to one of their own, then it's time we reminded the whole damn lot of them that we are still here.
[01:07:15.396 --> 01:07:18.078]  They might have their hands over their eyes, but we can see them.
[01:07:18.098 --> 01:07:21.741]  They keep their mouths shut, but the silence is deafening.
[01:07:22.381 --> 01:07:25.203]  Look, Trump would always say it, it was totally true.
[01:07:25.263 --> 01:07:27.645]  He said, they're not coming after me, they're coming after you.
[01:07:28.286 --> 01:07:29.366]  I'm just standing in their way.
[01:07:29.386 --> 01:07:31.288]  That's totally true.
[01:07:32.088 --> 01:07:37.012]  My best defence for my family is to save America, save the world, promote liberty and defeat the globalists.
[01:07:37.352 --> 01:07:39.414]  Running off and hiding is not an option.
[01:07:40.415 --> 01:07:43.677]  But, we're rapidly going into that position.
[01:07:44.372 --> 01:07:45.253]  So I'm not going to lie to you.
[01:07:45.273 --> 01:07:46.273]  There's a huge awakening.
[01:07:46.673 --> 01:07:57.419]  We've got a big chance to beat these people, but folks can't become comfortable with the imploded borders, with the pedophilia, with the wars, with the GMO, with all of it.
[01:07:57.459 --> 01:07:59.460]  You've got to start getting upset.
[01:07:59.500 --> 01:08:00.401]  You've got to get angry.
[01:08:00.461 --> 01:08:01.761]  You've got to say no to it.
[01:08:03.682 --> 01:08:07.584]  So the European Union is basically a new communist super state run by the globalists.
[01:08:08.105 --> 01:08:10.326]  They're fascist above it, but they use communism for control.
[01:08:11.809 --> 01:08:21.694]  And they've come out, put the headline on screen, and said anybody flying to Europe by boat or any other way, you're going to pay a carbon tax just to come to Europe.
[01:08:21.754 --> 01:08:23.154]  Not under any legal alien, of course.
[01:08:23.955 --> 01:08:35.320]  European Union reaches agreement to force everyone in EU countries to pay for CO2 emissions, first step, a personal carbon credit, and anyone coming to the EU to pay the tax as well.
[01:08:36.454 --> 01:08:37.475]  Spent a whole show on that.
[01:08:37.915 --> 01:08:41.678]  As if carbon's bad for the planet, when carbon's what makes the planet live.
[01:08:41.738 --> 01:08:47.481]  It's what creates the surface of the earth and the environment for plants and animals to thrive.
[01:08:48.322 --> 01:08:55.327]  Now, you want to bring in something you've got total control over, list life as something bad, and now you can regulate it.
[01:08:56.367 --> 01:08:57.328]  But here's the good news.
[01:08:57.908 --> 01:08:59.429]  They have to suppress info wars.
[01:09:00.396 --> 01:09:07.059]  And my guest host and myself and our great crew and our reports and everything because they're wildly popular.
[01:09:08.019 --> 01:09:08.680]  They admit that.
[01:09:09.520 --> 01:09:24.067]  They have to move heaven and earth to suppress us and spend billions of dollars just to suppress this broadcast with all the hundreds of thousands of articles and thousands of shows and programs and HBO and NBC and ABC and New York Times, everything attacks us.
[01:09:24.844 --> 01:09:26.705]  Because we're not psychotic.
[01:09:26.745 --> 01:09:29.186]  We're not selling out to this devilish system.
[01:09:29.406 --> 01:09:30.626]  They'll destroy us anyways!
[01:09:33.387 --> 01:09:34.888]  We're not dead inside.
[01:09:36.088 --> 01:09:41.991]  And so they spent, reportedly, a hundred million dollars shooting and promoting and advertising.
[01:09:42.031 --> 01:09:42.931]  You saw it everywhere.
[01:09:43.752 --> 01:09:44.652]  AOC's movie.
[01:09:47.776 --> 01:09:51.758]  Just like CNN spent 450 plus million dollars.
[01:09:52.158 --> 01:09:57.700]  Some estimates are 500 million on CNN plus and they had like 2,000 viewers on average.
[01:09:58.741 --> 01:09:59.241]  Any one time.
[01:10:00.982 --> 01:10:03.943]  Obama gives a speech, he's got 5,000 views on YouTube.
[01:10:04.383 --> 01:10:06.564]  Somebody lets me on their show, 2 million views.
[01:10:07.624 --> 01:10:08.625]  With them suppressing it.
[01:10:09.045 --> 01:10:11.446]  So it's not about bragging, oh hey we're really popular.
[01:10:11.746 --> 01:10:15.528]  It's saying the public is not dead yet, they know the truth.
[01:10:17.901 --> 01:10:19.422]  So, here's Fox News.
[01:10:20.723 --> 01:10:25.085]  AOC Climate Change documentary earns $80 per theater.
[01:10:26.166 --> 01:10:29.347]  Huge millions of dollars in advertisement.
[01:10:30.268 --> 01:10:31.048]  Huge budget.
[01:10:32.049 --> 01:10:33.109]  They're saying it's up to $100 million.
[01:10:33.129 --> 01:10:34.570]  $80 per theater.
[01:10:34.590 --> 01:10:36.731]  $10,000 in a week nationwide.
[01:10:36.771 --> 01:10:36.731]  $10,000.
[01:10:36.591 --> 01:10:39.751]  $10,000 in a week nationwide.
[01:10:39.751 --> 01:10:43.951]  $10,000.
[01:10:43.951 --> 01:10:50.911]   So, so, so they spend millions and millions and millions and millions
[01:10:50.911 --> 01:10:55.671]   and millions and millions and millions of dollars and no one goes and watches it.
[01:10:55.671 --> 01:11:05.671]  [BLANK_AUDIO]
[01:10:59.130 --> 01:11:06.355]  So, yeah, those of us standing up, we're under attack, because what we're saying is true and it's popular, and if we're allowed to keep doing this, we'll win!
[01:11:07.476 --> 01:11:13.280]  I go back to that Internet saying, nobody knows who said it, but the propaganda wouldn't be necessary if the situation was hopeless.
[01:11:14.284 --> 01:11:18.886]  It's far from that, but people have to get how do or die this is.
[01:11:20.667 --> 01:11:24.369]  All my demonization, all the attacks, I'm more popular than ever on the street.
[01:11:25.110 --> 01:11:29.732]  But the algorithms and the AI is censoring us and crushing us down.
[01:11:30.052 --> 01:11:33.514]  So our popular message of defeating this can't get out.
[01:11:33.634 --> 01:11:34.715]  This is your war.
[01:11:34.835 --> 01:11:36.835]  This is our war.
[01:11:36.835 --> 01:11:42.835]  She puts out a documentary.
[01:11:42.835 --> 01:11:52.835]  [BLANK_AUDIO]
[01:11:44.926 --> 01:11:46.747]  With a budget in the tens of millions of dollars.
[01:11:47.567 --> 01:11:52.365]   They run tens of millions of dollars of advertising. They get promoted on every channel and they can't get
[01:11:52.365 --> 01:11:55.646]  10 people in every movie theater.
[01:11:55.646 --> 01:12:07.596]   They got eight people in the average movie theater with all that promotion
[01:12:07.596 --> 01:12:09.487]  because people don't buy it.
[01:12:09.677 --> 01:12:11.298]  People don't want it.
