[00:00:00.169 --> 00:00:01.450]  Is the pandemic over?
[01:22:27.689 --> 01:22:31.691]  The number that Scott Pelley brought up was the month of August, folks.
[01:22:31.951 --> 01:22:33.312]  Literally last month.
[01:22:35.214 --> 01:22:38.636]  He goes, it's not like that number is from the last month.
[01:22:39.397 --> 01:22:41.698]  It's literally from the last month.
[01:22:42.539 --> 01:22:42.939]  Continue.
[01:22:42.959 --> 01:22:51.024]  In the meantime, we created all these jobs and prices have gone up, but they've come down for energy.
[01:22:51.404 --> 01:22:54.706]  The fact is that we've created 10 million new jobs.
[01:22:54.966 --> 01:22:56.026]  Pause this right here.
[01:22:56.927 --> 01:22:58.468]  Now this is a little confusing to me.
[01:22:59.707 --> 01:23:01.288]  I'm not going to pretend to have all the answers.
[01:23:01.348 --> 01:23:03.149]  Sometimes I just have questions.
[01:23:03.589 --> 01:23:04.690]  Maybe the question is the answer.
[01:23:05.230 --> 01:23:09.513]  This one is a little confusing to me because, look, Trump claimed he had the most jobs created.
[01:23:09.753 --> 01:23:11.454]  Biden claims he has the most jobs created.
[01:23:11.534 --> 01:23:13.195]  I mean, how are you really to know?
[01:23:14.816 --> 01:23:16.457]  And my answer would be, well, what does it look like?
[01:23:16.497 --> 01:23:18.178]  What does the world look like when I go out into it?
[01:23:19.835 --> 01:23:26.621]  I gotta say, I mean, I've never seen in my life more help wanted signs than I see now.
[01:23:26.741 --> 01:23:28.623]  And maybe that's because Austin is booming?
[01:23:28.923 --> 01:23:29.283]  I don't know.
[01:23:29.323 --> 01:23:39.532]  But I mean, you drive around Austin, you drive around the town just for 10, 20 minutes, whatever, folks, it's help wanted signs everywhere, $20 an hour starting wage.
[01:23:40.713 --> 01:23:43.195]  I mean, I've never seen that before.
[01:23:43.436 --> 01:23:49.414]   I remember when I was in college and before that, like, You could find a job, but it took a bit of an effort.
[01:23:49.535 --> 01:23:54.437]  You might have to apply a couple places, do a couple interviews, and you'd be lucky if you could get $10 an hour.
[01:23:54.777 --> 01:23:55.418]  I'm not that old.
[01:23:55.458 --> 01:23:55.578]  I'm 33.
[01:23:56.038 --> 01:23:57.779]  We're talking just 10 plus years ago here.
[01:23:59.540 --> 01:24:01.061]  But now, I mean, my goodness!
[01:24:02.221 --> 01:24:04.843]  With inflation, I guess $20 an hour ain't what it used to be.
[01:24:05.423 --> 01:24:14.388]  But still, I mean, I can drive for 5 miles in Austin, and I'll find 10 jobs where I can start immediately making $20 an hour.
[01:24:16.377 --> 01:24:20.840]  So what's odd about that is, why is nobody taking these jobs?
[01:24:21.400 --> 01:24:22.601]  That's the real question here.
[01:24:22.981 --> 01:24:25.383]  So maybe the jobs have been created, why is nobody taking them?
[01:24:25.663 --> 01:24:28.345]  But let's continue here and finish up this section of the interview.
[01:24:29.005 --> 01:24:32.327]  The fact is that we've created 10 million new jobs.
[01:24:32.948 --> 01:24:34.729]  We're in a sense, we came to office.
[01:24:34.789 --> 01:24:40.373]  We're in a situation where the unemployment rate is about 3.7%, one of the lowest in history.
[01:24:40.913 --> 01:24:44.996]  We're in a situation where manufacturing is coming back to the United States in a big way.
[01:24:46.601 --> 01:24:48.924]  Yeah, I just can't believe any of what he's saying.
[01:24:50.146 --> 01:24:53.691]  I don't know why people aren't working, but it's not for a lack of jobs.
[01:24:55.173 --> 01:24:58.938]  But people are definitely struggling more so than they have under Trump, I would say.
[01:24:59.319 --> 01:25:01.862]  Ten year treasury yield jumps to 3.5%, the highest level since 2011.
[01:25:05.910 --> 01:25:11.555]  Since 2011, last time DEMOCRATS were in the White House.
[01:25:11.635 --> 01:25:12.515]  See, there's a theme here.
[01:25:12.555 --> 01:25:14.317]  When did Russia invade Ukraine last?
[01:25:14.417 --> 01:25:16.058]  When DEMOCRATS were in the White House.
[01:25:16.818 --> 01:25:18.540]  When was the last time inflation was this bad?
[01:25:18.780 --> 01:25:20.741]  When DEMOCRATS were in the White House.
[01:25:21.502 --> 01:25:23.804]  There's a common theme here to all of our problems.
[01:25:24.824 --> 01:25:25.945]  And what is that theme, class?
[01:25:26.426 --> 01:25:27.046]  Say it with me.
[01:25:28.107 --> 01:25:28.987]  DEMOCRATS.
[01:25:29.228 --> 01:25:30.609]  There we go, we're learning.
[01:25:31.752 --> 01:25:35.134]  You know, it's amazing how Joe Biden will just tell a lie.
[01:25:36.315 --> 01:25:39.257]  It just flows off of his tongue like he doesn't even think twice about it.
[01:25:40.677 --> 01:26:01.812]   Whether it's making up stories about riding on the Amtrak, making up stories about a guy who worked there, telling him about how many miles he's traveled when the guy had long been deceased, to Joe Biden's History in Pennsylvania that never existed or his scholarly achievements in college that also didn't exist.
[01:26:02.793 --> 01:26:05.056]  I mean, the guy just makes stuff up all the time.
[01:26:05.076 --> 01:26:06.578]  He's a known plagiarist as well.
[01:26:08.560 --> 01:26:12.846]  And the latest big lie from Joe Biden that goes unchecked.
[01:26:13.985 --> 01:26:14.765]  Because he just lies.
[01:26:15.586 --> 01:26:17.106]  It's common for Joe Biden to just talk.
[01:26:17.126 --> 01:26:17.687]  He just lies.
[01:26:17.727 --> 01:26:18.267]  It just flows.
[01:26:18.987 --> 01:26:22.329]  Joe Biden tells Brits Queen Elizabeth reminded him of his mother.
[01:26:22.349 --> 01:26:23.869]  He's just making that up.
[01:26:23.889 --> 01:26:24.369]  He's just lying.
[01:26:25.510 --> 01:26:30.492]  Problem is, Joe's mother was a vicious woman who hated the Queen and wrote nasty poems about her.
[01:26:31.072 --> 01:26:32.433]  That's funny, isn't it?
[01:26:33.550 --> 01:26:36.013]  But see, Joe Biden sees, ooh, the Queen's dead.
[01:26:36.413 --> 01:26:37.875]  I can build myself off this.
[01:26:37.935 --> 01:26:39.496]  I can get some momentum off the Queen's death.
[01:26:39.556 --> 01:26:41.999]  I'll say that the Queen reminded me of my mother.
[01:26:42.039 --> 01:26:43.260]  That'll be good for my ratings.
[01:26:43.300 --> 01:26:44.562]  That'll be a good TV clip.
[01:26:45.042 --> 01:26:46.003]  It's totally untrue.
[01:26:46.043 --> 01:26:46.824]  It's a complete lie.
[01:26:48.226 --> 01:26:49.547]  But it's Joe Biden.
[01:26:49.827 --> 01:26:52.190]  And so if he's not lying, he's not talking.
[01:26:54.752 --> 01:26:55.954]  And man, oh man, I gotta tell you.
[01:26:57.591 --> 01:27:03.714]  The obsession over the royal family is just, honestly, it's kind of disgusting, really.
[01:27:04.674 --> 01:27:06.735]  Look, it's not my culture.
[01:27:07.576 --> 01:27:08.476]  I'm not from England.
[01:27:09.837 --> 01:27:17.200]  You know, I've kind of, in my confusion over the obsession, I've read some stories trying to explain it and I just, I'm sorry, I just don't get it.
[01:27:18.522 --> 01:27:22.185]  I just don't get this obsession with royalty.
[01:27:22.345 --> 01:27:23.926]  It's kind of pathetic, actually.
[01:27:24.427 --> 01:27:27.249]  But, uh, the Queen Elizabeth funeral for the 30th time there.
[01:27:27.889 --> 01:27:31.432]  Uh, every morning I wake up, turn on the news, look, I'm gonna get some news here to start my day.
[01:27:31.752 --> 01:27:32.753]  Queen Elizabeth funeral.
[01:27:32.773 --> 01:27:35.255]  I'm sick of it.
[01:27:36.876 --> 01:27:37.937]  But the obsession is real.
[01:27:39.016 --> 01:27:39.777]  And real pathetic.
[01:27:40.837 --> 01:27:42.779]  Just like Joe Biden's dementia.
[01:27:42.839 --> 01:27:46.601]  Now, so he claims, oh, he has no problems.
[01:27:46.721 --> 01:27:48.062]  He's as fit as a fiddle.
[01:27:48.102 --> 01:27:49.563]  He's as sharp as a tack.
[01:27:49.903 --> 01:27:55.267]  He's the smartest guy in the room, unless Hunter's in the room with him doing crack, cocaine, or parmesan cheese.
[01:27:55.287 --> 01:27:56.688]  He's not sure the difference at this point.
[01:27:57.268 --> 01:28:00.911]  And he says he's broke while he's cutting million dollar deals with Chinese nationals.
[01:28:01.271 --> 01:28:02.352]  But he won't pay child support.
[01:28:03.252 --> 01:28:07.075]  And I'm sure Joe couldn't afford to fork a few bucks over to his illegitimate grandson.
[01:28:07.990 --> 01:28:08.390]  Watch me.
[01:28:08.831 --> 01:28:13.295]  If you think I don't have the energy level, mental acuity.
[01:28:13.114 --> 01:28:17.394]   So here is a little reminder, Biden denies he has dementia, but here's the clips proving
[01:28:17.394 --> 01:28:18.394]  he doesn't.
[01:28:18.394 --> 01:28:19.394]  Fifteen.
[01:28:19.394 --> 01:28:20.394]  Watch me.
[01:28:20.394 --> 01:28:24.755]   If you think I don't have the energy level of mental acuity, the best way to get something
[01:28:24.755 --> 01:28:32.153]   done if you if it holds near and dear to you that you like to be able to.
[01:28:32.153 --> 01:28:43.074]   Anyway, from from Char, excuse me, from Charlotte, one another line going from in Florida.
[01:28:43.074 --> 01:28:44.434]  down to Tampa.
[01:28:44.394 --> 01:28:46.095]  Of Putin's kleptocracy.
[01:28:47.696 --> 01:28:47.956]  Yeah.
[01:28:49.877 --> 01:28:53.119]  America is a nation that can be defined in a single word.
[01:28:53.139 --> 01:29:07.961]   I was going to put him in, uh, the idea that, um, Los Angeles and, uh, and, uh, uh, um, what am I doing here?
[01:29:08.682 --> 01:29:09.522]  For two reasons.
[01:29:10.583 --> 01:29:22.708]  One, to... We haven't been able to communicate it in a way that is, uh, um, let me say it another way.
[01:29:22.968 --> 01:29:35.716]   With the nature, not a solid meeting with, um, with, uh, They make a very good point.
[01:29:35.776 --> 01:29:36.396]  Here's the deal.
[01:29:39.378 --> 01:29:45.281]  Here's what drives the driver in the states that are affected.
[01:29:45.802 --> 01:29:47.723]  Here's what you can do, the drivers.
[01:29:48.644 --> 01:29:49.624]  Everything is fine.
[01:29:49.684 --> 01:29:50.765]  Joe Biden's fine.
[01:29:50.825 --> 01:29:52.266]  Right liberals, right Democrats.
[01:29:52.326 --> 01:29:53.246]  Joe Biden is fine.
[01:29:53.286 --> 01:29:54.387]  We should just listen to you guys.
[01:29:54.207 --> 01:30:06.606]  You guys are always being honest.
[01:30:07.279 --> 01:30:08.480]  And I believe the most powerful.
[01:30:08.900 --> 01:30:11.963]  The man in the arena coin, Teddy Roosevelt.
[01:30:13.504 --> 01:30:14.905]  Citizen of a republic.
[01:30:15.981 --> 01:30:16.941]  The man in the arena.
[01:30:17.482 --> 01:30:19.522]  There's only 10,000 of this coin.
[01:30:19.883 --> 01:30:20.903]  It exists in the world.
[01:30:21.323 --> 01:30:22.904]  It will never be made again.
[01:30:22.924 --> 01:30:25.545]  It's not just an amazing historic coin.
[01:30:25.965 --> 01:30:29.206]  It funds the information war against the globalists.
[01:30:29.546 --> 01:30:31.727]  This is something you want to hand down to your grandchildren.
[01:30:32.087 --> 01:30:33.308]  This is something you want to own.
[01:30:33.808 --> 01:30:39.030]  And as a fundraiser, it is funding the information war against the globalists.
[01:30:39.590 --> 01:30:41.931]  Ladies and gentlemen, 10,000 coins are available.
[01:30:41.971 --> 01:30:42.992]  They'll sell out very quickly.
[01:30:43.672 --> 01:30:46.373]  Please be part of history and thank you all for your support.
[01:30:47.213 --> 01:30:53.535]  You can go to 1776coin.com or you can go to patriotcollectibles.com and secure this coin.
[01:30:53.815 --> 01:30:58.217]  There's only 10,000 of this coin in existence and it funds the Infowar.
[01:30:58.897 --> 01:31:01.678]  Man of the arena coin, Teddy Roosevelt.
[01:31:01.878 --> 01:31:02.478]  1776coin.com.
[01:31:02.998 --> 01:31:05.339]  Yeah, I mean, maybe we've got it all wrong, guys.
[01:31:05.899 --> 01:31:11.901]  Maybe the American left, liberal, progressive, democrat, globalist, conformist, tyrants, authoritarian, fascists.
[01:31:13.685 --> 01:31:14.566]  Maybe they got it right.
[01:31:14.646 --> 01:31:15.767]  You know, maybe life sucks.
[01:31:15.807 --> 01:31:17.308]  Maybe we should just be slaves and die.
[01:31:18.408 --> 01:31:22.391]  You know, what are we doing here enjoying life and consciousness and this divine creation?
[01:31:23.812 --> 01:31:24.592]  We're so stupid.
[01:31:26.474 --> 01:31:33.718]  We should just... We should just let the Democrats destroy America, destroy freedom at the hands and behest of the globalists.
[01:31:35.099 --> 01:31:39.082]  And we should stop driving cars and stop flying on airplanes and stop...
[01:31:40.336 --> 01:31:42.438]  Heating our house in the winter and having A.C.
[01:31:42.458 --> 01:31:47.883]  in the summer and we should stop eating steak dinners and having barbecues with our neighbors.
[01:31:48.203 --> 01:31:49.504]  This is all bad stuff, folks.
[01:31:49.684 --> 01:31:50.886]  This is stuff that's not good.
[01:31:52.607 --> 01:31:56.771]  And, you know, I think we should just listen to Joe Biden and the Democrat liberals.
[01:31:56.831 --> 01:31:58.332]  You guys really got it right, don't you?
[01:31:59.093 --> 01:32:04.097]  And we should probably, when a young boy is born, we should probably just chop his genitals right off, right then and there.
[01:32:05.026 --> 01:32:08.407]  And when a young girl is born, we should probably just give her a mastectomy right then and there.
[01:32:08.427 --> 01:32:10.548]  I mean, why waste time?
[01:32:10.989 --> 01:32:15.891]  Why put that off for five years till the teachers can do it in the classrooms with the kids?
[01:32:16.951 --> 01:32:24.874]  And I mean, really, we should probably just take any medical procedure that the government tells us to without question our entire lives.
[01:32:25.735 --> 01:32:25.975]  Really.
[01:32:25.995 --> 01:32:29.696]  I mean, that's what we should probably be doing, right?
[01:32:29.756 --> 01:32:30.257]  Liberals, right?
[01:32:30.297 --> 01:32:30.737]  Democrats.
[01:32:31.915 --> 01:32:33.375]  We've got it all wrong here, guys.
[01:32:33.395 --> 01:32:34.736]  We've had it all wrong the whole time.
[01:32:35.896 --> 01:32:36.756]  Freedom is bad.
[01:32:36.937 --> 01:32:37.757]  Truth is bad.
[01:32:37.897 --> 01:32:38.917]  Justice is bad.
[01:32:39.477 --> 01:32:40.718]  Prosperity is bad.
[01:32:41.418 --> 01:32:42.558]  Having fun is bad.
[01:32:43.899 --> 01:32:45.519]  Eating healthy meals is bad.
[01:32:45.999 --> 01:32:47.400]  Freedom to travel and commerce.
[01:32:47.440 --> 01:32:48.360]  It's all bad, folks.
[01:32:48.380 --> 01:32:48.940]  This is all bad.
[01:32:48.980 --> 01:32:50.901]  The experiment with freedom has obviously failed.
[01:32:51.881 --> 01:32:52.461]  Liberals are right.
[01:32:52.501 --> 01:32:53.501]  Democrats are right, folks.
[01:32:53.541 --> 01:32:54.242]  Freedom has failed us.
[01:32:55.722 --> 01:32:58.243]  Of course, I'm being facetious.
[01:32:59.830 --> 01:33:00.691]  It's the exact opposite.
[01:33:01.191 --> 01:33:09.696]  Oh, why does America take in more refugees, asylum seekers, and illegal immigrants than every other country on earth combined?
[01:33:11.016 --> 01:33:11.757]  Why would that be?
[01:33:12.737 --> 01:33:24.304]  Not only that, America also gives out more welfare and humanitarian aid to other countries than every other country on earth combined!
[01:33:25.848 --> 01:33:26.869]  How could that be possible?
[01:33:27.229 --> 01:33:34.873]  How could America give away more than every other country on earth combined and take in more than every country on earth combined?
[01:33:35.493 --> 01:33:37.495]  Because freedom worked!
[01:33:38.635 --> 01:33:39.816]  Freedom worked!
[01:33:40.116 --> 01:33:41.557]  Self-government worked!
[01:33:43.123 --> 01:33:44.764]  Capitalism worked!
[01:33:45.184 --> 01:33:55.848]  It worked so well, that we've been able to take in more people into our system than everywhere and anywhere else on Earth, and we've still been able to give away more than every other country on Earth.
[01:33:56.128 --> 01:33:58.429]  Because freedom worked!
[01:33:59.910 --> 01:34:05.092]  And now the Democrats and Liberals and Globalists are trying to destroy it.
[01:34:07.553 --> 01:34:08.514]  Really amazing stuff.
[01:34:08.774 --> 01:34:09.414]  We go back.
[01:34:11.095 --> 01:34:15.876]   Now, To Joe Biden, who's now hedging on himself.
[01:34:16.016 --> 01:34:20.538]  Now, this is obviously Joe Biden's controllers telling him, stop telling people you're running.
[01:34:20.618 --> 01:34:21.878]  We're not going to let you run.
[01:34:23.079 --> 01:34:26.560]  And so Biden just, you know, naturally thinking, of course, I'm going to say I'm going to run.
[01:34:26.580 --> 01:34:28.021]  This is all about showing confidence.
[01:34:28.221 --> 01:34:32.922]  Yes, I'm running because we're doing so great with the economy and we're doing so great with this and that.
[01:34:32.962 --> 01:34:33.903]  So, of course, I'm going to run.
[01:34:33.943 --> 01:34:36.103]  I'm a success story, says Joe Biden.
[01:34:36.143 --> 01:34:39.144]  But that's not what the Democrats actually want.
[01:34:39.164 --> 01:34:40.445]  They don't want Joe Biden to run.
[01:34:42.651 --> 01:34:48.634]  And so he's been told, do not promote that you're running anymore, even though he has been for a year.
[01:34:50.235 --> 01:34:58.258]  And they filed with the FEC that he's going to run, or with whatever government entity when you file to run for president, I forget the name of it.
[01:34:58.739 --> 01:35:02.941]  But then last night on 60 Minutes, all of a sudden he changes his tune in clip 10.
[01:35:04.611 --> 01:35:06.633]  Sir, are you committed to running again?
[01:35:07.194 --> 01:35:10.077]  Or are there certain conditions that have to be right?
[01:35:10.517 --> 01:35:18.445]  Look, if I were to say to you, I'm running again, all of a sudden a whole range of things come into play that I have requirements I have to change and move and do.
[01:35:18.765 --> 01:35:19.746]  In terms of election laws?
[01:35:19.766 --> 01:35:20.807]  In terms of election laws.
[01:35:21.448 --> 01:35:24.050]  Then it's much too early to make that kind of decision.
[01:35:24.411 --> 01:35:24.551]  No.
[01:35:24.711 --> 01:35:26.353]  I'm a great respecter of fate.
[01:35:26.673 --> 01:35:27.073]  Pause it.
[01:35:27.093 --> 01:35:27.574]  Pause it.
[01:35:27.594 --> 01:35:28.415]  And rewind it briefly.
[01:35:30.203 --> 01:35:31.344]  This guy is so weird, man.
[01:35:31.364 --> 01:35:32.464]  He's like an animatron.
[01:35:33.605 --> 01:35:34.906]  Just so strange.
[01:35:34.926 --> 01:35:36.987]  Did you see his face when we just paused there?
[01:35:37.007 --> 01:35:37.808]  Did you guys notice that?
[01:35:39.069 --> 01:35:41.650]  He's had so much surgery on his head and face.
[01:35:41.670 --> 01:35:43.031]  He's like a robot, folks.
[01:35:43.211 --> 01:35:44.652]  And I get, like, people think it's fake.
[01:35:44.672 --> 01:35:45.913]  People think Joe Biden's a clone.
[01:35:45.933 --> 01:35:47.494]  People think he's wearing a prosthetic mask.
[01:35:48.594 --> 01:35:48.975]  I get it.
[01:35:49.015 --> 01:35:50.255]  The guy is so weird.
[01:35:51.396 --> 01:35:55.459]  And because of all the surgeries he's had on his face and everything, he looks like a damn robot.
[01:35:56.399 --> 01:35:58.961]  He looks like Jack Nicholson as the Joker.
[01:36:01.574 --> 01:36:01.997]  Sheesh.
[01:36:02.681 --> 01:36:02.983]  Anyway...
[01:36:04.229 --> 01:36:09.112]  He acts like, oh, it's so unprecedented for a sitting president to say he's running again.
[01:36:09.152 --> 01:36:09.973]  It's just impossible.
[01:36:09.993 --> 01:36:10.793]  You just can't do it.
[01:36:11.194 --> 01:36:13.635]  I mean, again, it's just such blatant lies.
[01:36:14.416 --> 01:36:16.997]  Like, like, like that's not been done before.
[01:36:17.218 --> 01:36:19.539]  Like sitting presidents don't announce that they're running again.
[01:36:20.019 --> 01:36:21.580]  Like Trump didn't just do that.
[01:36:22.141 --> 01:36:24.202]  Like Joe Biden didn't just do that.
[01:36:24.702 --> 01:36:27.024]  The entire last year he's been saying he's running again.
[01:36:27.404 --> 01:36:30.546]  Now all of a sudden he tells Scott Pelley, oh, well, I can't say I'm running again.
[01:36:30.586 --> 01:36:31.587]  It's just too complicated.
[01:36:31.607 --> 01:36:33.048]  There's too many legal issues.
[01:36:35.942 --> 01:36:36.983]  Just total lies!
[01:36:37.423 --> 01:36:39.285]  And he thinks you're so stupid that you'll believe it!
[01:36:40.586 --> 01:36:44.950]  Alright, go back to the prosthetic-faced president.
[01:36:45.971 --> 01:36:49.534]  Boss, then it's much too early to make that kind of decision.
[01:36:50.174 --> 01:36:51.816]  I'm a great respecter of fate.
[01:36:51.996 --> 01:36:52.516]  It's already done.
[01:36:52.576 --> 01:37:00.283]  So what I'm doing is I'm doing my job and we're going to do that job and within the time frame that makes sense after this next election cycle here.
[01:37:00.303 --> 01:37:01.604]  Pause it again, pause it again.
[01:37:01.824 --> 01:37:09.749]   You know, it's just I get frustrated with myself, but I have to address every little lie he tells.
[01:37:10.209 --> 01:37:10.709]  And that's the problem.
[01:37:10.749 --> 01:37:15.811]  I could have a five minute clip of a Democrat speaking, but I need five hours to break down all the lies.
[01:37:16.431 --> 01:37:19.673]  So first he says, well, you know, it's too early to say I'm running again.
[01:37:19.933 --> 01:37:21.593]  He's been saying he's running again for a year.
[01:37:21.613 --> 01:37:27.756]  It's just, it's just unbelievable.
[01:37:30.177 --> 01:37:32.678]  Guys, remind it one more time for me.
[01:37:33.820 --> 01:37:35.800]  I just get overwhelmed with so many lies he's told.
[01:37:36.181 --> 01:37:37.481]  I've lost track of them now.
[01:37:37.921 --> 01:37:39.341]  So, okay, play it again.
[01:37:39.761 --> 01:37:40.721]  He should move and do.
[01:37:41.022 --> 01:37:42.022]  In terms of election loss.
[01:37:42.042 --> 01:37:43.062]  In terms of election loss.
[01:37:43.782 --> 01:37:46.283]  And it's much too early to make that kind of decision.
[01:37:46.363 --> 01:37:46.883]  He already did.
[01:37:46.983 --> 01:37:48.623]  I'm a great respecter of fate.
[01:37:49.163 --> 01:37:51.644]  And so what I'm doing is I'm doing my job.
[01:37:51.664 --> 01:37:52.344]  Doing his job.
[01:37:52.364 --> 01:37:53.244]  Okay, pause the right time.
[01:37:54.444 --> 01:37:55.825]  He's doing his job.
[01:37:56.925 --> 01:38:02.046]  How many different times now has Joe Biden said that he's not in charge?
[01:38:03.544 --> 01:38:04.125]  Four times?
[01:38:04.185 --> 01:38:04.805]  Five times?
[01:38:05.466 --> 01:38:08.348]  Where he'll be at a press conference and he says, oh, I'm not allowed to take questions.
[01:38:08.388 --> 01:38:10.090]  Or he'll look around and say, what am I supposed to do?
[01:38:10.110 --> 01:38:11.851]  Or he'll say, oh, they don't want me to do that.
[01:38:11.871 --> 01:38:13.632]  It's happened four or five times now.
[01:38:13.953 --> 01:38:15.134]  So he's not in charge.
[01:38:15.934 --> 01:38:17.055]  He's not running the show.
[01:38:18.016 --> 01:38:19.037]  Everybody knows that.
[01:38:20.899 --> 01:38:29.206]  And then he goes up there and tells Scott Pelley, acting like he's in control, he's the president, he's running the things, when he's not, he's on vacation 50% of the time.
[01:38:30.226 --> 01:38:30.727]  Finish the clip.
[01:38:32.233 --> 01:38:38.075]  Makes sense after this next election cycle here, going into next year, make a judgment on what to do.
[01:38:38.695 --> 01:38:42.597]  You say that it's much too early to make that decision.
[01:38:42.997 --> 01:38:45.558]  I take it the decision has not been made in your own head.
[01:38:46.198 --> 01:38:48.939]  Look, my intentions I said they began with.
[01:38:49.659 --> 01:38:49.759]  What?
[01:38:49.779 --> 01:38:50.980]  Is that I would run again.
[01:38:51.180 --> 01:38:52.240]  But it's just an intention.
[01:38:52.620 --> 01:38:53.901]  But is it a firm decision?
[01:38:53.921 --> 01:38:55.281]  That I'd run again?
[01:38:55.621 --> 01:38:56.622]  That remains to be seen.
[01:39:00.049 --> 01:39:00.369]  I see.
[01:39:00.569 --> 01:39:21.079]  So, you've already announced you're running again, you've already filed the paperwork to run again, standard procedure for a president that wants to run again, totally normal, but the Democrats don't want you to run again, and you've been such a disaster that it's bad to say that you're running again ahead of the midterms, so you act like you're not running again, even though you admit that you already made the decision to run again and announced it.
[01:39:23.621 --> 01:39:23.881]  I see.
[01:39:25.370 --> 01:39:28.471]  Do you liberal Democrat, I mean, do you enjoy being lied to so much?
[01:39:29.212 --> 01:39:34.894]  It's gotta be tough, this balancing act, this juggling act you do with all of your lies.
[01:39:35.274 --> 01:39:36.335]  I mean, it's gotta be tough.
[01:39:37.015 --> 01:39:39.456]  And I understand why no Democrats want to debate anymore.
[01:39:40.356 --> 01:39:44.618]  It's gotta be tough to keep up with all the lies you've told, because that's the thing, folks, you have to understand.
[01:39:46.039 --> 01:39:56.511]  Anything that comes out of a Democrat's mouth, they know that they probably have said the exact opposite, and people can just go back into the internet archives and find them saying the exact opposite thing.
[01:39:57.411 --> 01:40:00.735]  Whether it's, I mean, it was Bill Clinton that first said, make America great again.
[01:40:01.075 --> 01:40:03.418]  It was Democrats that used to talk about closing the borders.
[01:40:03.678 --> 01:40:04.759]  I mean, you can just go on and on.
[01:40:08.982 --> 01:40:16.025]  It's hard for Democrats to actually speak publicly because they know that they've probably said the exact opposite at some point in their career in the past.
[01:40:17.246 --> 01:40:19.467]  So it's gotta be hard to be a liberal Democrat.
[01:40:19.487 --> 01:40:28.711]  I mean, to just balance all the lies and juggle all the lies knowing that anything you might say, you've probably said or believed the exact opposite in the past.
[01:40:29.571 --> 01:40:31.112]  It's got to be a chore.
[01:40:32.652 --> 01:40:39.369]   And it's a chore that It's a chore I'll never have to experience because I'm certainly not a conformist communist liberal democrat.
[01:40:39.729 --> 01:40:40.691]  I don't know why anybody would be.
[01:40:41.171 --> 01:40:46.899]  Alright ladies and gentlemen, you know we've got big specials at InfoWarsStore.com and uh... I'm gonna...
[01:40:48.988 --> 01:41:31.427]   I'm going to be a bad boy here because I'm supposed to be plugging the big specials we have, letting you know about DNA Force Plus being back in stock, and vitamin D3 gummies, and vitamin C with zinc, and then the immune support combo pack of all those three in one pack for 50% off, the new limited edition coin, which I know there's one around here somewhere I could show it off for the camera, but I am a user of the supplements at Infowarsstore.com and for somebody that lives a, let's call it a high-intensity, high-impact life where I'm just constantly on the go, sometimes it's hard to have a good diet where you know you're getting all the vitamins, minerals, nutrients you need and that's why I supplement so often.
[01:41:33.322 --> 01:41:35.823]  I was talking to the crew, because I'm sure this is the way with a lot of people.
[01:41:36.343 --> 01:41:44.245]  Whenever there's a change of the seasons, I tend to have, I don't know if I would call it allergies, but it's referred to as seasonal distress.
[01:41:44.965 --> 01:41:54.708]  And I used, honestly, I used to, it would very rarely if ever happen when I lived in Missouri, but with Texas down here, there's a lot more pollen, mold, cedar, and other stuff in the air.
[01:41:55.068 --> 01:41:58.169]  So I have what is called seasonal distress.
[01:41:59.614 --> 01:42:00.975]  And it's about to change season.
[01:42:01.015 --> 01:42:05.096]  And so I noticed it really started to hit me at the end of last week and last weekend.
[01:42:05.116 --> 01:42:07.377]  You might be able to kind of hear my voice is a little different than normally.
[01:42:07.897 --> 01:42:08.618]  And it sounds normally.
[01:42:09.158 --> 01:42:14.880]  Folks, I have to tell you, I have truly discovered the answer to dealing with this.
[01:42:16.321 --> 01:42:18.942]  And I'm telling you folks, give it a try for yourself.
[01:42:19.642 --> 01:42:33.773]   If you're somebody that suffers from seasonal distress at the changing of the seasons, and there's just some discomfort for a couple weeks there as you go into the new season, Pollen block is an incredible relief factor.
[01:42:34.613 --> 01:42:42.936]  And I'm just going to tell you, this is not a be-all end-all solution, but it acts immediately.
[01:42:43.736 --> 01:42:47.657]  As soon as you take it, whatever seasonal distress, it acts immediately.
[01:42:47.697 --> 01:42:50.118]  You're feeling better and there's immediate distress relief.
[01:42:50.218 --> 01:42:51.998]  It's incredible, pollen block.
[01:42:54.062 --> 01:43:03.471]  This has been one that we really struggle to keep on the shelves because when people that have seasonal distress learn about how effective Pollen Block is, they go there and buy it in bulk immediately.
[01:43:05.362 --> 01:43:09.344]  Knowing that the changing of the seasons is ahead and they're going to be stocked up on pollen block.
[01:43:09.364 --> 01:43:11.786]  But let me just give you another little hint here.
[01:43:12.046 --> 01:43:18.190]  Now I went to check to see if we have this in stock before doing this plug because we don't really talk about these things.
[01:43:18.410 --> 01:43:20.331]  There's so much on InfoWarsStore.com.
[01:43:20.751 --> 01:43:24.814]  I mean we don't even mention like 70% of the products that we have at InfoWarsStore.com.
[01:43:26.114 --> 01:43:31.978]  But one of the things you might experience when you're having seasonal distress like me is congestion.
[01:43:33.326 --> 01:43:40.612]  And the worst time to have congestion, if it's not when you're on air and you need to breathe, or exercising, it's when you're trying to sleep.
[01:43:41.392 --> 01:43:42.113]  For two reasons.
