[00:00:01.340 --> 00:00:03.661]  Put the U.S.
[01:34:45.178 --> 01:34:45.398]  Yeah.
[01:34:45.418 --> 01:34:46.438]  We're brainwashing you.
[01:34:46.478 --> 01:34:47.079]  But, you know.
[01:34:48.339 --> 01:34:49.199]  It's good for you.
[01:34:49.719 --> 01:34:52.941]   And if you say it exists, It doesn't exist.
[01:34:55.704 --> 01:35:13.304]  Now, the average person brought up to conform, when their brain swallows that, it begins to create the node or like the toehold on which the psychosis grows.
[01:35:14.102 --> 01:35:20.103]  You can use psychology terms all day, but let's just say mental illness, delusions, this comes out of things like that.
[01:35:20.383 --> 01:35:24.524]  Yeah, of course we're scaring you with Pentagon technology and lying to you, but it's for your own good.
[01:35:24.564 --> 01:35:28.525]  And plus, oh, but no one's lying to you to create mass psychosis.
[01:35:28.725 --> 01:35:29.345]  But we are.
[01:35:29.365 --> 01:35:30.566]  But it's good.
[01:35:30.726 --> 01:35:31.586]  But it doesn't happen.
[01:35:31.786 --> 01:35:32.226]  But it's good.
[01:35:32.506 --> 01:35:34.867]  So see, they're trying to tell you, just accept it as good.
[01:35:35.087 --> 01:35:37.367]  But if it isn't good, I'm going to be mean to you.
[01:35:37.787 --> 01:35:39.928]  So just say 2 plus 2 equals 5.
[01:35:41.451 --> 01:35:42.852]  And next week I'll tell you it equals seven.
[01:35:43.112 --> 01:35:44.413]  And tomorrow I'll tell you it equals four.
[01:35:44.633 --> 01:35:46.075]  And the next day I'll tell you it equals zero.
[01:35:47.936 --> 01:35:52.560]  You're not going to have any analytic thoughts in your little head.
[01:35:53.320 --> 01:35:59.565]  You're just going to receive what I say like you're a pass-through circuit.
[01:35:59.945 --> 01:36:01.927]  You're not a sentient being with consciousness.
[01:36:02.207 --> 01:36:03.868]  You're not a sentient being with free will.
[01:36:05.369 --> 01:36:11.174]  You are somebody that we are going to just sit here and program.
[01:36:14.289 --> 01:36:15.609]  And how's that feel?
[01:36:16.190 --> 01:36:16.930]  Well, I don't want to be programmed.
[01:36:16.950 --> 01:36:17.670]  Nobody's programming you.
[01:36:18.050 --> 01:36:19.251]  But you just said you're going to program me.
[01:36:19.691 --> 01:36:22.112]  Well, if you accept the programming, it exists and it's good.
[01:36:22.152 --> 01:36:24.152]  If you say it is bad, it doesn't exist.
[01:36:24.893 --> 01:36:28.174]  And they're doing that out in the open, like, oh, the vaccine totally works.
[01:36:28.434 --> 01:36:29.394]  That's why it doesn't work.
[01:36:29.414 --> 01:36:30.034]  You got to have more.
[01:36:30.214 --> 01:36:31.935]  And also those that don't take are the reason you're sick.
[01:36:33.382 --> 01:36:35.163]  All that is flying in the face of logic.
[01:36:35.423 --> 01:36:36.884]  And you say, well, why do they do it?
[01:36:37.164 --> 01:36:39.125]  Why do they file all these things?
[01:36:39.165 --> 01:36:42.306]  I've read dozens of these indictments and gone and checked the cases.
[01:36:42.546 --> 01:36:43.207]  It's literal.
[01:36:43.747 --> 01:36:46.468]  Like, you read it and you're like, huh, what, what?
[01:36:46.508 --> 01:36:48.269]  Like, you know it's not true.
[01:36:48.889 --> 01:36:50.950]  Owen Schroer, winning the Capitol, beat people up.
[01:36:51.350 --> 01:36:54.152]  Owen Schroer does not work in Infowars.
[01:36:54.252 --> 01:36:58.254]  Owen Schroer was not with Alex Jones on January 6th when Alex Jones tried to stop the riot.
[01:36:58.454 --> 01:36:58.994]  It says that!
[01:36:59.055 --> 01:37:00.335]  And you're like, he's with us!
[01:37:00.675 --> 01:37:02.396]  They're bullhorning people trying to stop them!
[01:37:02.576 --> 01:37:03.557]  He's with me the whole time!
[01:37:04.324 --> 01:37:19.177]  And they file in front of a judge, and then imagine if you're in front of the judge like, Owen, how do you even sit there with a straight face, with some weird weirdo in a black outfit, sitting there, when you've given them the video files, and they go, I'm not going to look at those, I'm just going to rely on the state.
[01:37:22.060 --> 01:37:22.561]  They said that.
[01:37:23.321 --> 01:37:29.287]  And our lawyers really attacked, they're like, this is a lie, we have all these lies, we have all, none of this is true, he works at Imperial Wars.
[01:37:29.507 --> 01:37:30.588]  The judge goes, no he doesn't.
[01:37:32.719 --> 01:37:35.941]  Your trial goes forward years in prison for attacking the Capitol.
[01:37:36.701 --> 01:37:43.765]  I mean, so like when you're faced with that level of gaslighting, what are they trying to do?
[01:37:46.087 --> 01:37:47.147]  I'll tell you what they're trying to do.
[01:37:47.788 --> 01:37:54.231]  It's big, powerful, rich families that are inbred and crazy that are just giving orders to people that run things to do this.
[01:37:55.072 --> 01:37:56.193]  And it's going to explode.
[01:37:56.273 --> 01:37:57.793]  It's going to just, it's already happening.
[01:37:58.794 --> 01:37:59.715]  Everything's breaking down.
[01:37:59.735 --> 01:38:00.935]  The supply chain's breaking down.
[01:38:00.995 --> 01:38:01.916]  Everything's going to hell.
[01:38:04.287 --> 01:38:08.170]  And it's all because people don't have morals.
[01:38:09.812 --> 01:38:21.762]  If the average person said no to this, if these judges looked at these things and said this isn't true, you're lying, you're in trouble, the FBI and the Justice Department wouldn't do it.
[01:38:23.843 --> 01:38:38.072]  And you look at these FBI agents and these Justice Department people and, like, you want to think of America as strong and upright people and you want to believe in things, and you look at them, they're like little oily lawyers, and like, oh, yeah, and like, because I've been around these people, and you're like, what the hell?
[01:38:38.332 --> 01:38:45.436]  This is the opposite of, like, imagine G-Men, you know, on TV in the 1960s or something, because they are the opposite, folks.
[01:38:45.496 --> 01:38:46.677]  Those G-Men weren't perfect.
[01:38:46.717 --> 01:38:47.738]  Everything political's got problems.
[01:38:48.018 --> 01:38:49.479]  These are really bad people.
[01:38:51.445 --> 01:38:55.268]  And they know that, and there's the shame of who they are, and the shame of how they lie.
[01:38:55.649 --> 01:38:59.132]  But if they just go ahead and lie, they'll get promoted up the chain.
[01:39:02.695 --> 01:39:07.619]  Oh, but if you don't lie, well, you'll just be fired, or you'll be... It's a nightmare.
[01:39:08.200 --> 01:39:16.427]  And it's all about a system for the devil to train us to sell ourselves out, we believe, to get ahead.
[01:39:16.667 --> 01:39:18.429]  But you don't get ahead.
[01:39:20.765 --> 01:39:21.806]  By serving these people.
[01:39:22.787 --> 01:39:23.087]  Oh, what?
[01:39:23.127 --> 01:39:26.370]  You get a bigger house maybe for a while, and then your kid dies of fentanyl?
[01:39:26.830 --> 01:39:30.093]  I mean, seriously, I read about these globalists, and I read about their lives.
[01:39:30.133 --> 01:39:32.635]  The richest ones have the worst lives.
[01:39:33.216 --> 01:39:35.718]  Like, you look at top globalists, almost all their kids commit suicide.
[01:39:36.839 --> 01:39:38.620]  That's why globalists have stopped having children.
[01:39:39.041 --> 01:39:42.443]  Almost every EU leader, I think one EU leader out of 35 countries has kids.
[01:39:42.704 --> 01:39:43.164]  It's a cult.
[01:39:43.805 --> 01:39:45.326]  Because if you have kids, you actually care about the future.
[01:39:46.495 --> 01:39:52.119]  But like the DuPonts and all of them, like almost all their kids end up in mental institutions or committing suicide.
[01:39:54.740 --> 01:40:07.608]  Because they have sold out their country and their people and everybody else and they're just these demonic, hateful, ravenous animals that want to dominate and control and access to your children.
[01:40:07.908 --> 01:40:11.411]  That's the one thing Alexander Soros wants is access to your children.
[01:40:12.287 --> 01:40:15.469]  And if I gotta go to prison or get killed to expose him, I'll do it.
[01:40:16.270 --> 01:40:18.671]  Alright ladies and gentlemen, we are back live.
[01:40:18.911 --> 01:40:37.464]  It is now mainstream news and confirmed that the Justice Department and the White House have sent letters out to the school board saying we want you to ask for FBI assistance and that's how they generated the letter in Virginia and others saying terrorists are here, we want you to arrest the parents, we think people protesting us is illegal.
[01:40:38.164 --> 01:40:46.064]   Is the Justice Department wants to open up a front Not with the Russians, not with the Chinese, not with radical Islam, not with the open borders and human traffickers.
[01:40:46.104 --> 01:40:49.947]  They work with them, but with parents, because their main target is the children.
[01:40:49.967 --> 01:40:54.231]  I mean, that's really an evil occupied government.
[01:40:54.971 --> 01:40:59.696]  But again, all of that's done to discredit the government and discredit our institutions.
[01:40:59.736 --> 01:41:00.496]  That's not the U.S.
[01:41:00.536 --> 01:41:00.877]  government.
[01:41:01.397 --> 01:41:04.180]  That's hijackers that have taken the country over.
[01:41:04.400 --> 01:41:14.191]   If somebody hijacks an airplane and pulls a gun out and takes over the cockpit, And makes the pilot take off his uniform and the hijacker pokes it on.
[01:41:14.511 --> 01:41:16.572]  That's not American Airlines pilot.
[01:41:18.033 --> 01:41:19.433]  That's a hijacker.
[01:41:20.314 --> 01:41:29.418]  So I'm not even defending institutions that are horrible, they're out of control, but the globalists want to fully destroy them because then they're going to bring in real tyranny on their ashes.
[01:41:29.698 --> 01:41:33.620]  And if you think our institutions and our police and stuff have problems now, you ain't seen nothing yet.
[01:41:36.501 --> 01:41:46.295]   And they hire a bunch of followers to get into their system That think they're winning and look at a one-dimensional goal, but if they extrapolate it out, it's the total collapse of society.
[01:41:47.990 --> 01:41:50.191]  Now, I'm not here to bash Stuart Rhodes.
[01:41:50.331 --> 01:41:53.172]  I've known Stuart 12, 13 years since he founded Oath Keepers.
[01:41:53.192 --> 01:42:00.434]  He was a lawyer, worked for Ron Paul's congressional office, and was a great guy we would have on.
[01:42:01.194 --> 01:42:07.636]  And I told people when they were saying, folks think he's a Fed, I said, I just really don't think Stuart's a Fed.
[01:42:08.336 --> 01:42:14.478]  And I didn't hear Stuart or anybody say they wanted to overthrow stuff on January 6th, because he'd been around some in D.C.
[01:42:14.498 --> 01:42:15.198]  We saw him some.
[01:42:17.546 --> 01:42:24.087]  And I read last night and this morning twice the 40-something page indictment of he and 10 others.
[01:42:25.308 --> 01:42:26.868]  And I don't know if this is true.
[01:42:27.448 --> 01:42:33.449]  I know Tucker Carlson had one of the indicted people on who is very credible, who's a retired Navy commander, disabled.
[01:42:34.270 --> 01:42:35.530]  And he didn't have a boat.
[01:42:35.770 --> 01:42:37.050]  He's not in these messages.
[01:42:37.110 --> 01:42:37.790]  It's not true.
[01:42:38.170 --> 01:42:41.211]  And he says they just make it up and put fake stuff in here.
[01:42:41.991 --> 01:42:45.992]  Now, I wouldn't believe that because that's reckless and crazy, except they did it to Owen Schroer.
[01:42:47.754 --> 01:42:53.720]  And I looked at other cases where you're reading something that isn't just partly a lie, the whole thing's a lie.
[01:42:54.641 --> 01:42:57.283]  And it doesn't... Try to explain this to the government.
[01:42:59.005 --> 01:43:01.107]  You scare me, but not in the way you think.
[01:43:01.527 --> 01:43:04.250]  Like, I really care about my children, and the country, and the world, and the future.
[01:43:04.510 --> 01:43:05.411]  You people are nuts.
[01:43:05.992 --> 01:43:08.014]  I mean, the Nazis just went and grabbed people and killed them.
[01:43:09.807 --> 01:43:15.868]  You guys literally go before judges and publish stuff that none of it's true.
[01:43:16.188 --> 01:43:17.948]  And that's why we don't believe anything you say.
[01:43:17.968 --> 01:43:24.550]  So why do you, like, who gives these orders?
[01:43:24.610 --> 01:43:31.991]  Like, oh, you're going to be promoted because you're going to go say, oh, and Troyer attacked people inside the Capitol.
[01:43:32.751 --> 01:43:33.691]  So we're going to go to our guests.
[01:43:33.711 --> 01:43:35.011]  He'll be with us a little bit at the next hour.
[01:43:35.491 --> 01:43:38.452]  And then Norm Pattis is going to come in here to hit a bunch of the other news that's taking place.
[01:43:39.898 --> 01:43:52.707]  This is serious stuff, and when the FBI comes and visits you, and they give you an anti-terrorism card, and they tell you your organization's under investigation as a terrorist group, I mean, it's just, it's like, you want to laugh at it, but it's not funny.
[01:43:56.249 --> 01:43:57.190]  And it's the end of this country.
[01:43:58.211 --> 01:43:59.952]  And people say, oh, Alex, how are you taking it?
[01:44:00.672 --> 01:44:04.455]  Um, like the people that try to go to school boards?
[01:44:07.029 --> 01:44:09.550]  And they protest critical race theory?
[01:44:09.570 --> 01:44:14.851]  I mean, can you imagine something more evil and antithetical to the Christian ethos and what America is based on?
[01:44:15.771 --> 01:44:18.692]  Than to say white people are inherently bad?
[01:44:19.012 --> 01:44:22.613]  And then to teach five-year-olds and up they're bad because of their skin color?
[01:44:23.934 --> 01:44:25.814]  That destroys people's self-confidence!
[01:44:26.074 --> 01:44:26.834]  That hurts them!
[01:44:27.114 --> 01:44:27.455]  And what?
[01:44:27.615 --> 01:44:32.436]  Because some white people did something mean to black people before this person's guilty?
[01:44:33.283 --> 01:44:37.709]  Because somebody looks like me a hundred years ago and did something, then I'm in trouble?
[01:44:37.749 --> 01:44:39.131]  That is so evil, folks.
[01:44:40.444 --> 01:44:41.885]  But that isn't being run by black people.
[01:44:41.925 --> 01:44:43.487]  They get a few black racists up there pushing it.
[01:44:43.707 --> 01:44:44.888]  It's run by the social engineers.
[01:44:45.209 --> 01:44:47.911]  It's run by the bad guys to turn us against each other.
[01:44:48.151 --> 01:44:49.272]  They're like, well, what do we do now?
[01:44:49.312 --> 01:44:56.299]  Just take white people's health care away and tell them black folks are better than them and that they're inherently bad.
[01:44:57.380 --> 01:45:00.343]  But I love Americans of every race, color, and creed.
[01:45:00.623 --> 01:45:01.664]  They see right through this.
[01:45:01.704 --> 01:45:03.286]  And that's why the Justice Department's panicking.
[01:45:03.746 --> 01:45:13.210]  Because they're not a justice department, they're social engineers that have hijacked it and gotten control of it, that are literally... Remember first, oh we're not teaching that, oh really, here's the syllabus.
[01:45:16.592 --> 01:45:22.314]  Teaching children, oh the devil doesn't exist, God doesn't exist, but you have original sin because of your color.
[01:45:26.876 --> 01:45:32.339]  You know in the Quran, it says that blacks committed sin or whatever in their lines, they deserve to be slaves.
[01:45:33.601 --> 01:45:38.463]  And then whites picked that up in the transatlantic slave trade 500 years ago from the Arabic slave trade.
[01:45:38.483 --> 01:45:38.943]  It's on record.
[01:45:38.963 --> 01:45:43.265]  He said, well, we'll say they're the from ham and that it was a cursed line.
[01:45:43.406 --> 01:45:44.666]  That's black people, ham.
[01:45:46.727 --> 01:45:47.868]  Like a Middle Eastern group.
[01:45:47.888 --> 01:45:52.810]  The point is, is that is that that stuff all comes from there.
[01:45:53.070 --> 01:46:07.032]   And so you take something about original sin, saying black people have the mark of Cain on them from A twisted interpretation of the Bible, and because that was done 600 years ago, you now do that to people today?
[01:46:07.172 --> 01:46:08.292]  Five-year-old children?
[01:46:10.933 --> 01:46:14.253]  And of course, it's come out, we'll go to break, come back to our guest.
[01:46:14.293 --> 01:46:14.934]  I appreciate being there.
[01:46:14.954 --> 01:46:17.874]  He's taking care of a sick family member right now, so he's on the phone.
[01:46:18.294 --> 01:46:20.775]  We really appreciate John D. Shirley coming on.
[01:46:20.795 --> 01:46:26.976]  We'll have a little bit in the next hour, as I said, but I wanted to just fill you in on the level of this evil.
[01:46:26.996 --> 01:46:29.257]  So people ask me, Alex, how are you taking it?
[01:46:32.870 --> 01:46:33.891]  Well, we're being destroyed.
[01:46:34.331 --> 01:46:34.951]  We're on fire.
[01:46:35.371 --> 01:46:36.292]  They poured gasoline on us.
[01:46:36.972 --> 01:46:41.034]  But when I look at how I'm under attack, I look at the House, and it's on fire.
[01:46:41.054 --> 01:46:42.955]  I look at my country, it's on fire.
[01:46:43.015 --> 01:46:43.515]  The world's on fire.
[01:46:43.775 --> 01:46:45.236]  We're all under this attack.
[01:46:46.497 --> 01:46:48.058]  I'm just somebody trying to fight this.
[01:46:48.478 --> 01:46:51.399]  So, John D. Shirley, let me introduce him, we'll go to break, come back to him.
[01:46:51.919 --> 01:47:00.624]  Spent 20 years with the Houston Police Department before retiring, and later being appointed and then re-elected as the Constable of Hood County, Texas Precinct 2.
[01:47:01.661 --> 01:47:08.727]  While a Houston PD, he spent half his career as a full-time investigator, culminating with an assignment as a sergeant in the Financial Crimes Unit.
[01:47:09.167 --> 01:47:15.012]  He's a certified rescue diver, private pilot, and holds a certified fraud examiner certification.
[01:47:16.073 --> 01:47:22.138]  He was a founding member of Oath Keepers in 2009, and eventually was asked to be part of the board of directors a few years later.
[01:47:22.678 --> 01:47:25.220]  He resigned in November 2020, shortly after the election.
[01:47:26.942 --> 01:47:32.625]   YouTube, forward slash, Rumble, Facebook, The Blue Shark Show.
[01:47:32.985 --> 01:47:35.907]  The BlueSharkShow.com is how you find him.
[01:47:35.947 --> 01:47:37.108]  The BlueSharkShow.com.
[01:47:37.128 --> 01:47:37.968]  And I appreciate him holding.
[01:47:38.529 --> 01:47:41.010]  We'll come back and talk to him about his concerns.
[01:47:41.871 --> 01:47:44.692]  And really an honest retrospective on Stuart Rhodes.
[01:47:44.752 --> 01:47:46.553]  Because I didn't know what was being planned.
[01:47:46.994 --> 01:47:49.255]  And again, I wish I could rely on the Justice Department.
[01:47:49.535 --> 01:47:50.696]  But I've seen their lies.
[01:47:50.736 --> 01:47:51.476]  So they're capable.
[01:47:51.496 --> 01:47:52.437]  I don't know if any of this is true.
[01:47:55.484 --> 01:48:08.171]  We need to be really retrospective here, and we know the Feds were there, we know provocateurs were there, we know Antifa was there, but there were a minority of people out of a million that did want to overthrow things and were pissed.
[01:48:09.252 --> 01:48:17.436]  And at a certain point in 1776, you've got an illegitimate government, I see that, but you don't take a government back with that type of activity, and I'm totally against it.
[01:48:19.337 --> 01:48:20.798]  And it's just terrible.
[01:48:21.338 --> 01:48:33.514]   And if what they say about Stuart Rose is even half true, I'm personally really pissed off because he could have got a lot of people killed, a lot more people killed, and could have got me killed, the whole country, in a lot worse situation.
[01:48:33.694 --> 01:48:42.980]  Because if things have gone off the way Stewart wanted to in this indictment, if it's true, that he wanted a big bloody civil war to be triggered there, then there might be millions dead right now.
[01:48:43.380 --> 01:48:45.001]  So this is a big problem, folks.
[01:48:45.341 --> 01:48:45.862]  We'll be right back.
[01:48:46.702 --> 01:48:59.446]   Here on TV Reviewer, you're seeing footage out of North Texas, a suburb of Dallas, Little Elm, Where Stuart Rhodes was staying at a friend's house and was raided by the FBI and the Justice Department.
[01:49:00.426 --> 01:49:01.667]  But no arrest of Ray Epps.
[01:49:02.627 --> 01:49:04.228]  And they had the case ready against Rhodes.
[01:49:04.248 --> 01:49:06.248]  That's clear whether it's accurate or not.
[01:49:07.209 --> 01:49:13.551]  But we know that Ray Epps and Congress and all that coming out about the FBI is why they've gone after him now.
[01:49:15.051 --> 01:49:17.152]  That said, I wear my Arnold sleeve.
[01:49:18.658 --> 01:49:20.999]  Everything I do in my own life, I just talk about it here on air.
[01:49:21.039 --> 01:49:22.780]  The good things I've done, the bad things I've done.
[01:49:23.520 --> 01:49:27.221]  And I know I'm under FBI investigation for terrorism and sedition and everything else.
[01:49:27.281 --> 01:49:27.862]  Total crap.
[01:49:28.462 --> 01:49:31.563]  The only thing I'm guilty of is being naive and walking into a trap.
[01:49:32.202 --> 01:49:35.443]  On January 6th, but I wanted to get John D. Shirley.
[01:49:35.543 --> 01:49:36.204]  I know who he is.
[01:49:36.224 --> 01:49:37.864]  He has the bluesharkshow.com.
[01:49:38.505 --> 01:49:46.348]  Again, a retired police officer from here in Texas, and he's got a family member that's fighting for their life right now, so we appreciate him joining us from the hospital.
[01:49:46.408 --> 01:49:48.689]  I'm just putting that in there because this is important.
[01:49:48.709 --> 01:49:49.449]  That's why he's here.
[01:49:50.409 --> 01:49:59.993]  And he resigned from Oath Keepers right before January 6th for the reasons he laid out in an email that I'll show you right here.
[01:50:00.712 --> 01:50:12.376]  But he can give his own testimony because he's somebody that's been an oath keeper since the beginning and is a guy in good standing with the community and has a great record about what he thinks of this indictment and how much of it could be true.
[01:50:13.177 --> 01:50:16.198]  Because again, this is Stephen King level writing if it's fake.
[01:50:17.238 --> 01:50:19.659]  And so that's why I wish the government was not this criminal.
[01:50:19.679 --> 01:50:20.799]  I mean, I wish they weren't criminal.
[01:50:20.819 --> 01:50:24.141]  I wish I could read an indictment and at least believe maybe part of it's true.
[01:50:25.061 --> 01:50:31.891]   But if it is true, we're going to admit That it wasn't totally federally provocateur and that this was wrong.
[01:50:32.152 --> 01:50:33.595]  Because I don't want a civil war, folks.
[01:50:33.615 --> 01:50:34.617]  They're trying to start one.
[01:50:34.978 --> 01:50:36.260]  It's the last thing we want.
[01:50:37.914 --> 01:50:41.897]  And I'll be damned, as they say, if I'm going to get set up as somebody wanting this.
[01:50:42.538 --> 01:50:46.260]  Because killing a bunch of military and police and them killing a bunch of us is not how we fix this country.
[01:50:46.580 --> 01:50:48.702]  We have to politically wake up, spiritually wake up.
[01:50:48.722 --> 01:50:49.402]  I'm going to stop ranting.
[01:50:49.743 --> 01:50:51.924]  John D. Shirley, thank you so much for spending time with us.
[01:50:52.425 --> 01:50:53.866]  And just start wherever you'd like.
[01:50:54.186 --> 01:50:56.868]  We've got a lot of points here about his history in the Oath Keepers.
[01:50:57.288 --> 01:50:58.949]  Stewart in Texas, 2019-2020.
[01:50:58.969 --> 01:51:00.190]  Events leading up to the first D.C.
[01:51:00.210 --> 01:51:00.390]  rally.
[01:51:03.212 --> 01:51:04.473]  Thanks for having me, Alex.
[01:51:04.553 --> 01:51:09.797]  I reached out to your team because this is a story that needs to be told, and I don't have the whole story.
[01:51:09.997 --> 01:51:11.138]  I wasn't there January 6th.
[01:51:10.978 --> 01:51:16.896]   resignation. So thanks for joining us, sir. Thanks for having me, Alex. I reached out
[01:51:16.896 --> 01:51:21.177]   to you to your team because I this is a story that needs to be told and I don't
[01:51:21.177 --> 01:51:27.417]   have the whole story. I wasn't there January 6th. I was at home and I was
[01:51:27.417 --> 01:51:33.137]   part of some events after the election before January 6th that led me to resign
[01:51:33.137 --> 01:51:36.097]  from the organization.
[01:51:34.554 --> 01:51:38.956]  And in order for me to get the start of that, I want to go back to the first DC rally after the election.
[01:51:40.796 --> 01:51:49.760]  I was asked to come to DC to help assist with some of the security planning or security of some important people that were going to be going through the rally.
[01:51:49.960 --> 01:51:50.701]  And I remember you there.
[01:51:50.721 --> 01:51:51.921]  I think I shook your hand, right?
[01:51:52.661 --> 01:51:53.022]  Yes, sir.
[01:51:53.082 --> 01:51:53.562]  Yes, you did.
[01:51:54.142 --> 01:52:04.737]   And if you remember, Alex, when we left the Freedom Plaza that day, Walking toward the Supreme Court block, Stuart Rose was nowhere to be found.
[01:52:06.078 --> 01:52:06.738]  Do you remember that?
[01:52:07.258 --> 01:52:13.682]  I remember saying to Tim Entenloh, my head security guy, and I'm not a paranoid person, but I'm like, man, Stuart's acting creepy.
[01:52:13.722 --> 01:52:14.623]  Why is he never around?
[01:52:15.664 --> 01:52:18.886]  OK, so we got through that rally and it went great.
[01:52:19.146 --> 01:52:23.989]  I mean, as far as we got you through the event and the other dignitaries, there was no problems.
[01:52:24.029 --> 01:52:26.731]  It was a great America celebrating event.
[01:52:26.971 --> 01:52:28.172]  OK, but I left there.
[01:52:28.931 --> 01:52:29.831]  With some concerns.
[01:52:30.511 --> 01:52:36.133]  And this was a giant rally that had 300, 400,000 people, a sea of people, us and the Supreme Court, totally peaceful.
[01:52:37.273 --> 01:52:37.713]  Absolutely.
[01:52:37.773 --> 01:52:39.294]  Alex, I want to tell you, there were some D.C.
[01:52:39.314 --> 01:52:46.116]  police officers who were involved with your security details, some retired ones, who were at the Million Man March back when it was done.
[01:52:46.176 --> 01:52:50.657]  And they told us, point blank, there's just as many people at that first D.C.
[01:52:50.837 --> 01:52:52.238]  rally as there was at the Million Man March.
[01:52:52.418 --> 01:52:54.058]  OK, so it was a very large event.
[01:52:54.758 --> 01:52:57.379]  But following that event, I had some concerns.
[01:52:58.329 --> 01:53:05.594]  That the organization that I was part of for almost 10 years at that point, something wasn't right, okay?
[01:53:06.975 --> 01:53:15.501]  So I left DC questioning if the organization really existed, anything more than really as an online presence in any real way at that point.
[01:53:17.063 --> 01:53:20.205]  I was asked to be part of the Atlanta rally like a week later.
[01:53:22.662 --> 01:53:31.165]  I arrived along with an associate of mine from prior in my career that I trusted and actually has more training and more experience than I did.
[01:53:31.585 --> 01:53:46.830]  And I brought him in because I wanted a fresh pair of eyes that wasn't deeply involved in Oath Keepers, hadn't been involved, and would be an independent voice, you know, to listen to maybe confirm or help me explain the things that didn't make sense to me that went on in DC.
[01:53:49.330 --> 01:54:05.799]   The night before the Atlanta rally, I had a discussion with Stuart, and he told me, you're the on-ground guy in charge, which after seeing what happened in DC, to me meant nothing because there was no organization there, okay?
[01:54:06.860 --> 01:54:16.270]  So, when he told me that, I said, that's fine, but I want the person that I trust to be my number two guy, because he's going to be actually part of my security detail.
[01:54:16.940 --> 01:54:28.646]  And Stuart and I for the first time actually had a pretty open, open, loud, not loud, open disagreement because he wanted his friend Whip, which is person number 10 and all the federal stuff.
[01:54:29.546 --> 01:54:33.588]  He was named by Mother Jones in an article as Mike Simmons.
[01:54:34.169 --> 01:54:41.372]  I don't know his real name, but what I can tell you is he was not part of the Oath Keepers organization until sometime in early late 2019 or early 2020.
[01:54:41.212 --> 01:54:52.731]   early 2020. When I got to Atlanta, Stuart made it known that WIP was a VP of the organization.
[01:54:53.406 --> 01:55:10.930]   Now, I have an issue with this because as a member of the Board of Directors Vote Keepers, I was never asked to vote to approve some new vice president, but I wasn't too surprised when I heard it because the organization's organizational structure had crumbled somewhat in the last few years of the organization's
[01:55:10.930 --> 01:55:11.210]  life.
[01:55:11.210 --> 01:55:14.810]   Sure, and we got 30 minutes to the next hour and I know you got a lot to talk about and
[01:55:14.810 --> 01:55:18.010]   I know you want to go off what you know, but just gut level stuff.
[01:55:18.010 --> 01:55:21.049]   Because I knew Stuart, you know, 12 years ago he seemed pretty normal.
[01:55:21.049 --> 01:55:25.130]   A few times he'd come around though, he seemed very apocalyptic, crazed.
[01:55:25.130 --> 01:55:27.610]   When I would see him, he never really came over and talked to us much.
[01:55:27.610 --> 01:55:32.490]   He was always at the edge of things in rallies around the country, like acting very strange.
[01:55:32.490 --> 01:55:36.409]   And I remember saying, like, you think he's gone crazy or is he a fed or, I mean,
[01:55:36.409 --> 01:55:38.810]  What do you think happened to him? Bad influences?
[01:55:38.931 --> 01:55:40.772]  What do you think is going on?
[01:55:40.812 --> 01:55:46.376]  My personal opinion is Stuart didn't seem to be a very strong and very... He's very good with rhetoric.
[01:55:46.396 --> 01:55:51.259]  He's a guy that he's got a pretty amazing mind, but sometimes he gets locked in his mind.
[01:55:51.339 --> 01:55:54.861]  So his organizational skills to run an organization were lacking.
[01:55:55.341 --> 01:56:06.308]  I'm afraid there were rogue elements that got involved in Oath Keepers sometime a year, year and a half before what happened on January 6th and started pulling the organization in the wrong direction.
[01:56:06.428 --> 01:56:13.834]   In my story, Explains why I resigned and I think gives a nod to that things were going really wrong.
[01:56:14.855 --> 01:56:15.536]  Let me ask you this.
[01:56:15.556 --> 01:56:20.340]  Let me ask your opinion because you're a long-term veteran police officer and Oath Keepers from the very start.
[01:56:21.901 --> 01:56:25.863]  What are you real because I read this indictment and I mean it's it's it's true.
[01:56:25.923 --> 01:56:26.383]  It's horrible.
[01:56:26.904 --> 01:56:28.144]  The problem is they lie so much.
[01:56:28.204 --> 01:56:35.808]  I don't know if any of it's true and then you took a Carlson had a guest on who's been reindicted and you and enlisted in this and they didn't have a boat.
[01:56:35.828 --> 01:56:38.549]  They weren't planning an attack that guy wasn't even in the Capitol.
[01:56:38.969 --> 01:56:40.950]  So so and I believe him because I've seen the lies.
[01:56:41.010 --> 01:56:42.891]  So what do you think is really going on here?
[01:56:44.512 --> 01:56:52.514]   Well, I my gut tells me that did the the left the cabal needed A change in narrative.
[01:56:52.754 --> 01:57:05.297]  And I think they planned on indicting Stewart and I guess the other guys at some point, but I actually believe that they're trying to do a narrative shift because post January 6th, their narrative is collapsing when it comes to January 6th.
[01:57:05.637 --> 01:57:11.318]  Then you have the Supreme Court knocking down the majority of the OSHA mandate for the vaccine.
[01:57:11.378 --> 01:57:13.559]  They needed desperately a change in narrative.
[01:57:13.979 --> 01:57:18.540]  And so I think they threw out this, what I think is a pretty embarrassing looking indictment.
[01:57:19.213 --> 01:57:29.143]  Um, I've, I've, I've written, uh, you know, statements and supportive indictments during my career, and they always have detail, specific detail.
