[00:00:00.000 --> 00:00:03.359]  [MUSIC PLAYING]
[00:53:12.511 --> 00:53:13.652]  Infowarrestore.com.
[00:53:14.132 --> 00:53:15.012]  We need your support.
[00:53:15.313 --> 00:53:16.273]  You need X2.
[00:53:16.673 --> 00:53:18.395]  You need VasoBeats for your heart.
[00:53:18.835 --> 00:53:20.936]  You need Ultimate Fish Oil and Crystal Oil.
[00:53:20.996 --> 00:53:21.817]  Highest quality.
[00:53:22.157 --> 00:53:25.599]  So insanely good for your whole body, your brain, your cardiovascular.
[00:53:25.859 --> 00:53:28.121]  With all the stuff going on, you need to bolster that more than ever.
[00:53:29.349 --> 00:53:29.850]  That's all.
[00:53:29.870 --> 00:53:31.492]  40 to 75% off all of our products.
[00:53:31.512 --> 00:53:31.752]  40 to 75% off.
[00:53:31.771 --> 00:53:41.811]   All of our products 40 to 75% off info war store.com pollen block, Dr. Jones Naturals,
[00:53:41.811 --> 00:53:45.451]   tooth whitening natural toothpaste or the activated charcoal toothpaste
[00:53:45.451 --> 00:53:48.751]   and the essential oil mouthwash, the hair and beard formula,
[00:53:48.751 --> 00:53:52.610]   which is really a high quality vitamin mineral formula for everybody, it's 75% off.
[00:53:52.610 --> 00:53:56.431]  It's all there at info war store.com.
[00:53:56.431 --> 00:53:59.971]  And I appreciate you supporting us and being our sponsors.
[00:53:59.971 --> 00:54:02.092]  The enemy is so pissed you've done this.
[00:54:02.092 --> 00:54:05.811]   And I ask you to double down now at the critical part of the fight
[00:54:05.811 --> 00:54:10.931]   and to support us at info war store.com while getting great products at the same time.
[00:54:10.931 --> 00:54:15.170]   Also, we split off the food sales and a lot of preparedness items
[00:54:15.170 --> 00:54:21.052]   so we can have great folks who worked with for years at my Patriot, run the site, run it all.
[00:54:21.052 --> 00:54:23.630]  It's interface, their whole catalog, their latest deals.
[00:54:23.630 --> 00:54:26.710]   That way that order doesn't go out in a week, it goes out in a day or two.
[00:54:28.011 --> 00:54:32.931]   And then we get 20, 30% of the profits there 'cause there's not much markup.
[00:54:32.521 --> 00:54:34.221]  It's like 40-50% markup depending on the product.
[00:54:34.602 --> 00:54:36.803]  Most foods have like a three times markup at the grocery store.
[00:54:37.863 --> 00:54:38.964]  PrepareToday.com.
[00:54:39.424 --> 00:54:41.966]  Your order goes in within days it is shipped.
[00:54:43.052 --> 00:54:43.993]  Sometimes the same day.
[00:54:44.113 --> 00:54:45.034]  It's insane now.
[00:54:45.494 --> 00:54:48.037]  I just said, hey, off source it, let them run it.
[00:54:48.437 --> 00:54:49.478]  But then everybody goes through.
[00:54:49.498 --> 00:54:52.921]  We can monitor it in live time and get our support.
[00:54:52.941 --> 00:54:53.962]  So preparetoday.com.
[00:54:54.883 --> 00:55:02.350]  All the great survival items, all the preparedness items, all the high quality, affordable food with great containers ready to ship right now in stock.
[00:55:02.370 --> 00:55:03.411]  That's how you beat inflation.
[00:55:03.671 --> 00:55:05.273]  Preparetoday.com.
[00:55:05.513 --> 00:55:07.655]  But everything else is at infowarsstore.com.
[00:55:08.516 --> 00:55:09.016]  All right.
[00:55:09.016 --> 00:55:16.036]  Let's go ahead and just plow through this news.
[00:55:16.036 --> 00:55:26.034]  [BLANK_AUDIO]
[00:55:17.935 --> 00:55:20.736]  This is news out of Spain.
[00:55:22.717 --> 00:55:24.318]  Also Portugal and others are announcing it.
[00:55:24.398 --> 00:55:25.518]  A fifth dose is needed.
[00:55:25.578 --> 00:55:26.638]  Israel also said this.
[00:55:27.619 --> 00:55:28.659]  And there's the article right there.
[00:55:29.860 --> 00:55:30.920]  Erases your immune system.
[00:55:31.700 --> 00:55:33.481]  Denali National Park in Alaska.
[00:55:33.501 --> 00:55:34.021]  I've never been there.
[00:55:34.041 --> 00:55:34.481]  I want to go.
[00:55:35.542 --> 00:55:37.082]  Brings back mask mandates.
[00:55:37.142 --> 00:55:39.223]  Joins five other parks with reinstatements.
[00:55:39.243 --> 00:55:40.464]  They're coming back with the lockdowns.
[00:55:40.904 --> 00:55:42.604]  Come back with the masks after the election.
[00:55:42.924 --> 00:55:44.145]  Those documents have been leaked.
[00:55:45.230 --> 00:55:46.771]  Look at this political fact statement.
[00:55:47.211 --> 00:55:48.351]  This just came out last week.
[00:55:50.072 --> 00:55:56.394]  Biden says that we must make all medical workers take these shots because it gives you 100% protection from the virus.
[00:55:56.454 --> 00:55:57.375]  It means you can't spread it.
[00:55:57.795 --> 00:55:59.455]  All a total lie on record.
[00:56:01.736 --> 00:56:03.537]  New survey reveals significant doubts.
[00:56:03.577 --> 00:56:06.258]  The vast majority of Americans don't think the vaccine works.
[00:56:06.318 --> 00:56:07.118]  It's not a vaccine.
[00:56:07.698 --> 00:56:09.299]  And know that masks don't work.
[00:56:09.439 --> 00:56:11.100]  Huge article from Zero Hedge.
[00:56:11.360 --> 00:56:12.160]  Big national polls.
[00:56:12.540 --> 00:56:13.481]  Infowars.com.
[00:56:13.901 --> 00:56:17.155]   But then you've got All these LibTard articles.
[00:56:19.256 --> 00:56:28.837]  Dr. James Smith of York U wearing his Bane Batman outfit in a bakery yesterday.
[00:56:28.957 --> 00:56:31.398]  Big male maskless customer using cash.
[00:56:31.438 --> 00:56:32.258]  That's even dirtier.
[00:56:33.538 --> 00:56:36.879]  Turns around and sees me and four older women all wearing masks.
[00:56:37.379 --> 00:56:40.980]  Sheepishly he says, okay, I guess I should be wearing a mask.
[00:56:41.020 --> 00:56:42.060]  You know, that's a made up story.
[00:56:42.807 --> 00:56:50.771]  But it's all about shaming you into the mental psychology of you're dirty, you're bad, so these high priests of control can brainwash you.
[00:56:51.231 --> 00:56:55.153]  Los Angeles set to reinstate the mask mandates.
[00:56:59.335 --> 00:57:05.598]  But more and more people are saying no.
[00:57:06.903 --> 00:57:07.343]  The fraud.
[00:57:08.144 --> 00:57:09.625]  And it's all about depopulation.
[00:57:09.645 --> 00:57:10.866]  It's all about humans being dirty.
[00:57:11.287 --> 00:57:12.528]  It's all about humans being bad.
[00:57:12.808 --> 00:57:14.830]  Look at this Economist publication.
[00:57:15.230 --> 00:57:16.611]  A Mother Rothschild headline.
[00:57:17.232 --> 00:57:19.994]  Low fertility is here to stay.
[00:57:20.955 --> 00:57:22.156]  We should embrace it.
[00:57:23.877 --> 00:57:26.339]  Yeah, don't ask why sperm counts are down 90%.
[00:57:27.901 --> 00:57:30.143]  Don't ask why autism's up 10,000%.
[00:57:30.923 --> 00:57:31.424]  Don't ask.
[00:57:31.524 --> 00:57:34.026]  Just embrace your death.
[00:57:35.686 --> 00:57:44.273]  And if you can't kill a baby in the womb or after they're born, get them as little kids to have their testicles cut off or their ovaries or breasts cut off.
[00:57:44.614 --> 00:57:46.655]  And I went to the doctor and said, cut my finger off.
[00:57:46.675 --> 00:57:48.777]  They called the paddy wagon to the mental institution.
[00:57:49.057 --> 00:57:54.202]  But oh, if I want to cut my son's balls off, it's a good thing.
[00:57:54.282 --> 00:57:55.203]  It's a liberal thing.
[00:57:57.284 --> 00:58:01.568]  From safe and legal and rare to we love killing babies.
[00:58:02.929 --> 00:58:03.890]  A new incredible clip.
[00:58:05.236 --> 00:58:07.576]  Pro-abortion protesters screams, we love killing babies.
[00:58:07.797 --> 00:58:09.417]  We have hours of this, but it's a new clip.
[00:58:09.537 --> 00:58:12.537]  We'll air coming back next segment.
[00:58:12.537 --> 00:58:17.037]  [BLANK_AUDIO]
[00:58:17.037 --> 00:58:19.037]  And it goes on and on.
[00:58:19.119 --> 00:58:24.420]  Oh, and all the churches now have the rainbow flags and protect trans kids.
[00:58:25.000 --> 00:58:30.181]  Progressivism will hollow out your religion and wear its skin like a trophy.
[00:58:30.801 --> 00:58:34.962]  Boy, that is perfectly said.
[00:58:38.336 --> 00:58:39.497]  Then we have Austin, Texas.
[00:58:40.037 --> 00:58:45.900]  I can't homeschool my kids because they need to be properly socialized with pedophiles coming to visit them at the schools.
[00:58:46.280 --> 00:58:50.742]  Democrat judge blocks Texas from investigating two families cutting their children's testicles off.
[00:58:51.843 --> 00:58:54.424]  Yeah, you know, you spank your kid, they'll take them away.
[00:58:55.004 --> 00:59:00.187]  But if you want to cut their balls off, well then, my goodness, why didn't you just say so?
[00:59:01.127 --> 00:59:03.228]  Or cut your daughter's breast off, that's even more liberal.
[00:59:03.749 --> 00:59:06.949]   Some of them have their uteruses cut out. That's even more liberal.
[00:59:06.949 --> 00:59:15.549]  [MUSIC]
[00:59:15.549 --> 00:59:19.829]  Me, which I'm not counted for, lose the chops.
[00:59:19.860 --> 00:59:34.925]  So we will see definitely a lot of anger already now, but probably increase by the end of the year because this crisis will be with us until we really have found a remedy.
[00:59:35.586 --> 00:59:39.072]  So, we have to prepare for a more angry world.
[00:59:39.873 --> 00:59:42.117]  And how to prepare?
[00:59:43.159 --> 00:59:46.746]  It means to take the necessary action to create a fairer world.
[00:59:48.135 --> 00:59:55.335]   to see that we provide everybody with decent access to the health system,
[00:59:55.335 --> 01:00:04.456]   that we make sure that those people who are really left behind, and I'm not speaking only
[01:00:04.456 --> 01:00:09.815]   on national level, I'm speaking also internationally, I see now the tragedy.
[01:00:09.815 --> 01:00:19.815]  That's a very poor argument.
[01:00:19.815 --> 01:00:32.936]  We love killing babies.
[01:00:33.195 --> 01:00:39.458]  Klaus Schwab wants to make it a fair world after he locked down the world economy, released the deadly virus, pushed the poison shot.
[01:00:41.627 --> 01:00:42.708]  It's Sunday, July 10th.
[01:00:42.728 --> 01:00:44.690]  We're well into the second hour here.
[01:00:44.730 --> 01:00:46.331]  We're taking your phone calls right now.
[01:00:46.351 --> 01:00:51.015]  Sabrina, Mark, Vinny, Betty, Larkin, Don, Brian, and others.
[01:00:53.337 --> 01:00:55.618]  Let's talk to Larkin first in FEMA Region 8.
[01:00:56.099 --> 01:00:58.060]  What is it like to be in the middle of the New World Order?
[01:00:58.080 --> 01:01:04.205]  Because Klaus Schwab and Bill Gates and Joe Biden, they all admit we're in the liberal New World Order right now.
[01:01:04.586 --> 01:01:06.908]  What's it like for you to be living in the New World Order?
[01:01:08.229 --> 01:01:08.889]  It's incredible.
[01:01:10.205 --> 01:01:13.147]  I've got Bill Gates taking over farmland just down the road.
[01:01:14.608 --> 01:01:18.011]  The Attorney General here in North Dakota is perfectly fine with that.
[01:01:19.072 --> 01:01:26.438]  And, I don't know, as a meatpacker, I'm seeing farmers come in, making no money, farms going under.
[01:01:27.879 --> 01:01:28.760]  It's crazy.
[01:01:28.800 --> 01:01:35.145]  We're watching the implementation of Cloward v. Piven, the devaluation of our dollar.
[01:01:35.165 --> 01:01:38.227]  You can hardly fill your gas tank for less than $100.
[01:01:41.888 --> 01:01:43.849]  It's wild times to be alive.
[01:01:43.869 --> 01:01:46.131]  Larkin, are folks waking up in North Dakota?
[01:01:47.552 --> 01:01:47.872]  They are.
[01:01:47.892 --> 01:01:49.293]  Stickers all over.
[01:01:49.433 --> 01:01:50.594]  Defend the First Amendment.
[01:01:51.455 --> 01:01:53.977]  Stop signs with arrest Bill Gates stickers.
[01:01:54.037 --> 01:01:57.239]  They're popping up everywhere.
[01:01:57.299 --> 01:01:58.780]  People are talking in the diners.
[01:01:58.820 --> 01:02:00.201]  They're talking in the gas stations.
[01:02:00.822 --> 01:02:11.632]   They have had it and it's wonderful to see this movement across the world of people, you know, waking up to Who the puppet masters really are.
[01:02:11.732 --> 01:02:18.696]  People aren't aware of BlackRock and who these corporate rulers really are.
[01:02:18.736 --> 01:02:20.477]  They need to watch Monopoly.
[01:02:20.597 --> 01:02:21.458]  Who owns the world?
[01:02:21.918 --> 01:02:22.218]  I agree.
[01:02:22.258 --> 01:02:23.219]  Let me say this, Larkin.
[01:02:25.700 --> 01:02:26.701]  I want to give you the credit.
[01:02:26.821 --> 01:02:28.102]  It's not just me that gets it.
[01:02:28.142 --> 01:02:28.943]  It's all of us together.
[01:02:29.563 --> 01:02:33.506]  You understand that what you've done, you called in.
[01:02:33.606 --> 01:02:34.447]  You're obviously a listener.
[01:02:34.467 --> 01:02:35.127]  You spread the word.
[01:02:35.448 --> 01:02:38.010]  What we've done together, brother, is so positive.
[01:02:38.330 --> 01:02:39.271]  I'm getting chills right now.
[01:02:39.431 --> 01:02:40.772]  We've not been caught flat-footed.
[01:02:41.092 --> 01:02:44.094]  So they're executing this, counting on us, not knowing it's them.
[01:02:44.555 --> 01:02:45.195]  They're screwed.
[01:02:45.275 --> 01:02:46.596]  How do you see that unfolding?
[01:02:46.636 --> 01:02:52.081]  Because when the unstoppable force meets the immovable object, that is explosive.
[01:02:54.013 --> 01:02:55.074]  Exactly, exactly.
[01:02:55.114 --> 01:03:16.349]  And people are... I mean, we've got the whole show trial with January 6th, and you see how the propaganda machine can definitely be used against the people, but I think they kind of shot themselves in the foot with that, because people are starting to see what the mainstream lying media really is, and that's just a megaphone for the New World Order.
[01:03:16.909 --> 01:03:17.509]  Absolutely.
[01:03:17.950 --> 01:03:18.670]  We love you, brother.
[01:03:18.710 --> 01:03:20.011]  Keep spreading the word, North Dakota.
[01:03:20.031 --> 01:03:20.471]  We love you.
[01:03:21.032 --> 01:03:21.972]  Let's talk to Sabrina.
[01:03:23.325 --> 01:03:23.965]  California.
[01:03:23.985 --> 01:03:24.886]  Go ahead, Sabrina.
[01:03:25.486 --> 01:03:26.427]  Hi, Alex.
[01:03:26.727 --> 01:03:27.667]  Hi, how are you?
[01:03:28.268 --> 01:03:29.088]  I'm great talking to you.
[01:03:29.128 --> 01:03:30.469]  We're still on air, and that's a big deal.
[01:03:30.529 --> 01:03:31.689]  It's all thanks to you and God.
[01:03:32.430 --> 01:03:39.813]  I'm so grateful for that, because I don't... When you were gone for that week and a half, it was just... I just thought the worst, so I'm so glad you're back.
[01:03:41.014 --> 01:04:03.684]   I just want to say that we would not have a ruling class if people simply just did not obey these unlawful, unethical, and unconstitutional orders, and I don't know how to reach out to To the law enforcement community, because those are the ones that need to really listen to you more, because they're the ones that are going to turn their backs on us.
[01:04:05.085 --> 01:04:15.891]  And I know that because I was married to somebody who, 20 years ago, used to talk about the New World Order all the time, and then he rose up in his department.
[01:04:16.091 --> 01:04:17.431]  I'm not going to name which one.
[01:04:17.491 --> 01:04:18.872]  Very well-known cases.
[01:04:19.993 --> 01:04:21.874]  And he won't even discuss it now.
[01:04:23.288 --> 01:04:24.588]  So he's been brainwashed.
[01:04:25.008 --> 01:04:27.149]  Well, they adapt to surviving.
[01:04:27.189 --> 01:04:32.070]  They believe going along with it will make them okay, but they're going to find out in the end it will destroy them.
[01:04:32.490 --> 01:04:39.331]  I'm so sorry to hear that, but thank God, Sabrina, that you've kept your soul intact, and it's obviously we're not mad at your ex for this.
[01:04:39.371 --> 01:04:40.831]  We just feel very sorry for him right now.
[01:04:41.711 --> 01:04:53.457]   Yeah, I mean, I can tell you firsthand that just the stuff that I know that he has to watch and see, and I think that really Affects these law enforcement officers.
[01:04:53.477 --> 01:04:55.839]  They're just desensitized to everything.
[01:04:55.879 --> 01:04:56.419]  Well, they do.
[01:04:56.479 --> 01:04:58.340]  But I'm not going to tell any personal stories.
[01:04:58.901 --> 01:05:00.942]  But I've not talked about the things they've done to me.
[01:05:00.962 --> 01:05:02.463]  And I'm not a victim.
[01:05:02.483 --> 01:05:03.183]  I'm an overcomer.
[01:05:03.223 --> 01:05:12.389]  But I have been to the point where the system has said that we'll stop this.
[01:05:12.409 --> 01:05:13.370]  I'm not talking about lawsuits.
[01:05:13.390 --> 01:05:13.870]  That's nothing.
[01:05:14.511 --> 01:05:17.653]  But things with my family, if you'll just won't do this.
[01:05:19.537 --> 01:05:23.621]  They don't kill you, they kill members of your family.
[01:05:25.122 --> 01:05:29.266]  And some people know that we've definitely stayed the course, and they know that.
[01:05:29.466 --> 01:05:30.828]  So that's why they're really scared.
[01:05:31.128 --> 01:05:31.789]  They're scared of you.
[01:05:32.329 --> 01:05:34.191]  And I appreciate you, and I love you, and I appreciate you.
[01:05:35.252 --> 01:05:35.873]  Thank you, Sabrina.
[01:05:36.994 --> 01:05:38.435]  Let's go ahead and take another call.
[01:05:38.455 --> 01:05:40.076]  Let's talk to a caller in Arizona.
[01:05:40.857 --> 01:05:41.698]  Betty, you're on the air.
[01:05:41.758 --> 01:05:42.499]  Go ahead, you're on the air.
[01:05:43.191 --> 01:05:49.953]  Hey Alex, you're big on talking about the straw man and teaching people about false flags and how they misidentify.
[01:05:50.393 --> 01:05:59.856]  But as a history buff, kind of like yourself, it's important to go back to the original straw man, which in our country became the birth certificate.
[01:06:00.677 --> 01:06:07.459]  And we were all bonded and insured and sold into slavery unbeknownst with these birth certificates.
[01:06:07.899 --> 01:06:26.539]   And unless we claim dominion, With these banksters who keep their secret off-book accounts on our bodies and sell us and wheel and deal us in Wall Street under the form of treasury bonds, we can't take dominion back over those who seek to destroy us.
[01:06:27.160 --> 01:06:31.624]  And the way to do something positive is to study this.
[01:06:32.065 --> 01:06:34.527]  Check out the different... Change your status!
[01:06:35.430 --> 01:06:41.113]  We have different statuses under the State Department that have immunity against a lot of these strange things.
[01:06:41.174 --> 01:06:41.814]  Statutes.
[01:06:42.414 --> 01:06:43.115]  Mandates.
[01:06:43.695 --> 01:06:47.637]  And people are not aware of it because they haven't studied the history.
[01:06:48.038 --> 01:06:51.980]  And they don't really give you information you need to make the proper choice.
[01:06:52.440 --> 01:06:58.604]  Well, Betty, there's no doubt that we're going under admiralty law and administrative law and the system just does whatever the hell it wants.
[01:06:59.144 --> 01:07:02.687]  I've experienced that in battling these people.
[01:07:02.707 --> 01:07:04.808]  They've already removed the law.
[01:07:06.067 --> 01:07:07.968]  They've already brought us to an absolute tyranny.
[01:07:09.590 --> 01:07:11.171]  And now they're preparing to execute that tyranny.
[01:07:11.191 --> 01:07:11.671]  Thank you, buddy.
[01:07:12.492 --> 01:07:12.792]  All right.
[01:07:15.054 --> 01:07:15.715]  We're gonna go to break.
[01:07:17.016 --> 01:07:26.343]  We're gonna come back with Mark and Don and Mike and Brian and Coco and Vinny and many other callers in the order they received.
[01:07:26.383 --> 01:07:27.424]  And I love these calls.
[01:07:28.344 --> 01:07:30.226]  I'm giving each caller a minute and a half so we get to everybody.
[01:07:31.257 --> 01:07:35.258]  I think everybody likes that fact I've been doing that, so no disrespect when I hang up on you.
[01:07:35.778 --> 01:07:36.639]  Gotta get to everybody.
[01:07:37.159 --> 01:07:39.979]  We'll be right back doing the verboten forbidden thing.
[01:07:40.760 --> 01:07:45.281]  Humans that love God and justice and freedom and a good future speaking together.
[01:07:46.281 --> 01:07:46.801]  It's beautiful.
[01:07:47.722 --> 01:07:48.282]  We'll be right back.
[01:07:48.102 --> 01:07:49.102]  Stay with us.
[01:07:49.102 --> 01:07:50.102]  [Music]
[01:07:50.102 --> 01:07:51.102]  You say you want to go to a place.
[01:07:51.102 --> 01:07:52.102]  You say that you want to go to a land that's far away.
[01:07:52.102 --> 01:07:53.102]  I want to go to a place that's far away.
[01:07:53.102 --> 01:07:54.102]  I want to go to a place that's far away.
[01:07:54.102 --> 01:07:55.102]  I want to go to a place that's far away.
[01:07:55.102 --> 01:07:56.102]  I want to go to a place that's far away.
[01:07:56.102 --> 01:07:57.102]  I want to go to a place that's far away.
[01:07:57.102 --> 01:07:58.102]  I want to go to a place that's far away.
[01:07:58.102 --> 01:07:59.102]  I want to go to a place that's far away.
[01:07:59.102 --> 01:08:00.102]  I want to go to a place that's far away.
[01:08:00.102 --> 01:08:01.102]  I want to go to a place that's far away.
[01:08:01.102 --> 01:08:02.102]  I want to go to a place that's far away.
[01:08:02.102 --> 01:08:03.102]  I want to go to a place that's far away.
[01:08:03.102 --> 01:08:04.102]  I want to go to a place that's far away.
[01:08:04.102 --> 01:08:23.102]  I want to go to a place that's far away.
[01:08:23.102 --> 01:08:34.662]  I want to go to a place that's far away.
[01:08:34.609 --> 01:08:53.104]  And now they're injecting six-month-old babies with their poison.
[01:08:53.124 --> 01:08:59.229]  I have a stack of mainstream news admitting it erases your immune system and causes blood clots.
[01:09:01.071 --> 01:09:02.072]  And doesn't protect you.
[01:09:03.900 --> 01:09:06.442]  And national polls show the vast majority of Americans know that.
[01:09:07.023 --> 01:09:08.925]  So we're winning the fight.
[01:09:09.785 --> 01:09:11.467]  But they've already killed millions of people.
[01:09:12.608 --> 01:09:16.591]  They're preparing new bioweapon releases that are far worse than what we just saw.
[01:09:18.053 --> 01:09:21.115]  We just lived the beta test.
[01:09:23.598 --> 01:09:25.059]  Now our enemies are going operational.
[01:09:29.824 --> 01:09:31.145]  But God is in control.
[01:09:32.006 --> 01:09:33.547]  And God is holding our hand.
[01:09:34.108 --> 01:09:36.950]  God has his hand on our shoulder with guardian angels.
[01:09:36.970 --> 01:09:38.251]  And it's so real.
[01:09:38.271 --> 01:09:42.035]  And I've been through so much and experienced so much that I can't even tell you all about it.
[01:09:42.475 --> 01:09:44.817]  Because we don't give the enemy any operational information.
[01:09:44.857 --> 01:09:46.259]  But just let me explain something.
[01:09:46.599 --> 01:09:48.000]  This is 100% real.
[01:09:48.400 --> 01:09:50.062]  And you don't need me to tell you that anymore.
[01:09:50.102 --> 01:09:51.063]  You've seen it for yourself.
[01:09:52.284 --> 01:10:01.966]  So thank you for joining us on this live Sunday broadcast that is literally in defiance to everything these parasites and these psychopaths and these demons are doing.
[01:10:03.446 --> 01:10:04.146]  It's a real blessing.
[01:10:05.186 --> 01:10:06.507]  I'm exactly where I want to be.
[01:10:07.867 --> 01:10:13.788]  I've just got to turn it loose and give it to God and stop getting so upset to see their operations because in the end they will fail.
[01:10:14.968 --> 01:10:19.709]  I give it to God here on air and ask God to bring me to the high place that King David talked about.
[01:10:24.121 --> 01:10:26.460]  applied place the most high.
[01:10:26.460 --> 01:10:31.300]   And the lead got to direct me so that I can continue this operation
[01:10:31.300 --> 01:10:35.640]   because we have been given nothing but success, nothing but victory.
[01:10:35.640 --> 01:10:37.640]  It has been spectacular.
[01:10:37.640 --> 01:10:45.000]   And you, the viewers and listeners, you did this, and that's why when I salute you,
[01:10:45.000 --> 01:10:52.181]   I'm not into self-harming, but I just archetypally want to take
[01:10:53.980 --> 01:10:59.280]   this dagger and just cut a finger off right on air to show you how much I appreciate you
[01:10:59.280 --> 01:11:00.681]  and what you've done.
[01:11:00.681 --> 01:11:04.860]  'Cause giving up a finger to beat these people's nothing.
[01:11:04.860 --> 01:11:09.621]  You have changed the world.
[01:11:09.621 --> 01:11:14.199]  You have stood up against evil.
[01:11:14.199 --> 01:11:16.501]  You have turned the tide.
[01:11:16.501 --> 01:11:19.699]  And I salute you, and I thank you.
[01:11:19.699 --> 01:11:24.541]  You've got that from the very bottom of my heart.
[01:11:24.541 --> 01:11:27.041]  You've got my full commitment.
[01:11:26.653 --> 01:11:28.394]  Because you need to know in the universe they're real people.
[01:11:28.714 --> 01:11:32.195]  You need to know in the universe there's people like you who aren't evil, who don't serve Satan.
[01:11:33.136 --> 01:11:34.876]  That's why they all day say I'm an actor.
[01:11:35.056 --> 01:11:36.237]  All day say I'm a fake.
[01:11:36.617 --> 01:11:38.358]  All day say I'm a fraud with no evidence.
[01:11:39.178 --> 01:11:41.519]  Because they know I didn't sell out to them.
[01:11:42.019 --> 01:11:44.120]  They know you didn't sell out to them.
[01:11:44.620 --> 01:11:45.280]  They know.
[01:11:48.101 --> 01:11:50.022]  But I'm not going to cut my finger off to prove that.
[01:11:50.703 --> 01:11:51.323]  You don't want me to.
[01:11:52.978 --> 01:11:54.719]  But I will cut down the enemy.
[01:11:56.860 --> 01:12:00.001]  I will resist the globalists, and I will continue to do it.
[01:12:00.442 --> 01:12:09.946]  And I just pray for providence and manifest destiny of God's plan, and I pray you join me in that prayer.
[01:12:09.966 --> 01:12:14.449]  Let's go to your phone calls.
[01:12:15.649 --> 01:12:16.990]  Who's been holding the longest here?
[01:12:18.931 --> 01:12:20.592]  Who has been holding the longest?
[01:12:22.096 --> 01:12:24.037]  Let's talk to Don in New York State.
[01:12:24.057 --> 01:12:24.977]  You're on the air, welcome.
[01:12:26.598 --> 01:12:27.499]  Yes, are you there?
[01:12:27.939 --> 01:12:28.739]  I am, brother, welcome.
[01:12:29.880 --> 01:12:32.721]  Yes, sir, and it's a pleasure and a privilege to talk to you.
[01:12:32.741 --> 01:12:33.902]  I've been listening for years.
[01:12:34.462 --> 01:12:37.624]  I didn't used to know if you were right, but now I do, sadly.
[01:12:38.404 --> 01:12:47.008]  Listen, the one reason I called, you know, the New World Order and the Great Reset and all of that, I don't know if it's possible, but I'm a very country person.
[01:12:47.028 --> 01:12:48.629]  I'm in the northern part of the state.
[01:12:49.369 --> 01:12:52.791]  Great Adirondack Mountains, biggest wilderness east of the Mississippi.
[01:12:52.811 --> 01:12:54.192]  Yeah, what a gorgeous... I've been there.
[01:12:54.212 --> 01:12:55.513]  What a gorgeous place you live in.
[01:12:56.673 --> 01:12:57.234]  Thank you, sir.
[01:12:57.714 --> 01:12:58.474]  I think so, too.
[01:12:58.975 --> 01:13:01.456]  Well, I think I want to try to leave these people behind.
[01:13:01.536 --> 01:13:12.182]  My buddies and I, we're planning to make our own ammo, we'll mold our own lead for bullets, and we're going to make our own black powder, and we're going to try... No, that's great you're doing that, but your real problem is going to be food.
[01:13:13.483 --> 01:13:13.923]  Yes, sir.
[01:13:13.963 --> 01:13:19.360]   Well, hunting fish, and heirloom crops if we can get them and hope that they
[01:13:19.360 --> 01:13:24.841]   leave us alone will be all right and I don't know but I wanted to throw that in also to say that I have vacuum
[01:13:24.841 --> 01:13:30.039]   tube radio equipment hoping it will withstand an EMS attack.
[01:13:30.039 --> 01:13:34.680]   No, I think that's great and I just think spend half your time getting ready the other half waking
[01:13:34.680 --> 01:13:38.770]   people up which I'm sure you're doing you're calling in to talk radio right now brother we love
[01:13:38.770 --> 01:13:39.000]  that.
[01:13:39.000 --> 01:13:43.881]   Yes sir and not only that I got a diesel generator that's got old-time
[01:13:43.881 --> 01:13:47.800]   injection it's non-electronic and I'm hoping that that keeps running
[01:13:47.800 --> 01:13:52.520]   then we may be able to do a little listening and also some talking hem operator.
[01:13:52.752 --> 01:13:53.412]  Beautiful, Don.
[01:13:53.432 --> 01:13:53.992]  We love you.
[01:13:54.633 --> 01:13:56.494]  Let's go to Coco in Michigan.
[01:13:56.554 --> 01:13:57.595]  Coco, you're on the air.
[01:13:57.635 --> 01:13:57.955]  Welcome.
[01:13:59.356 --> 01:13:59.597]  Hi.
[01:13:59.757 --> 01:14:00.998]  Thank you for everything.
[01:14:01.058 --> 01:14:02.319]  Thank you for being on the air.
[01:14:02.359 --> 01:14:05.041]  Thank you for being so strong and so courageous.
[01:14:05.061 --> 01:14:05.281]  Thank you.
[01:14:05.301 --> 01:14:05.981]  And your family.
[01:14:06.001 --> 01:14:06.822]  Thank you.
[01:14:07.482 --> 01:14:09.584]  So, I did want to mention two things.
[01:14:10.559 --> 01:14:17.362]  So, my new response when anyone asks me to wear a mask, which I obviously will not, is, what do you mean?
[01:14:18.062 --> 01:14:19.222]  I am a mask.
[01:14:19.643 --> 01:14:23.624]  I identify as a mask, and I find you to be highly offensive.
[01:14:23.824 --> 01:14:24.244]  Exactly!
[01:14:24.284 --> 01:14:26.425]  They arrest people all the time as posing as cops!
[01:14:26.725 --> 01:14:29.126]  Why do they identify as a cop?
[01:14:29.206 --> 01:14:29.847]  There you go.
[01:14:29.987 --> 01:14:31.227]  I identify as a mask.
[01:14:31.867 --> 01:14:32.448]  There you go.
[01:14:33.048 --> 01:14:39.078]   Second, I wanted to say, you asked specifically, How does it feel to be alive during this?
[01:14:39.278 --> 01:14:46.122]  And I will say that thanks to you and Dr. Zelenko, it feels absolutely amazing, a gift, and a blessing.
[01:14:46.142 --> 01:14:48.323]  So thank you for that.
[01:14:48.483 --> 01:14:49.604]  Couldn't find a better hill to die on.
[01:14:49.624 --> 01:14:50.224]  Well, you're right, Coco.
