[00:00:06.197 --> 00:00:07.687]  I'm not sure.
[00:55:26.829 --> 00:55:46.460]  It's interesting in the face of the so-called war on terror recently re-energized by the Boston Marathon bombing, that the novel goes into the subjugation and destruction of religious groups and interestingly predicts the targeting of Islam as a grave threat to the elitist vision of a new world order.
[00:55:47.160 --> 00:55:55.385]  In the Wells novel they go after Islam first, but they get around to eradicating the most visible symbols of Christianity as well.
[00:55:56.451 --> 00:56:11.626]  Alex Jones has been trying to warn people for years that Christians would be used by the godless elites to wage war on Islam, but would be betrayed and also destroyed once the Islamic world had been neutralized.
[00:56:12.785 --> 00:56:25.333]  In the CNN duel between world views, insufferable Piers Morgan was literally playing the part of John Cabal, and Alex was more or less cast by fate in the role of the Chief.
[00:56:26.373 --> 00:56:34.899]  It's a striking comparison when you look at Imperious Piers Morgan and Raymond Massey playing John Cabal, both dripping with condescension.
[00:56:35.619 --> 00:56:44.541]  Things get really spooky when you hear the voice and see the body language of Alex Jones and his counterpart Sir Ralph Richardson playing the Chief.
[00:56:45.222 --> 00:57:01.566]  Jones is a Texas good old boy, a Jeffersonian natural aristocrat, blessed with near total recall, and Richardson was an acclaimed British Shakespearean actor, but accents aside, their vocal instruments are remarkably similar.
[00:57:05.458 --> 00:57:08.881]  This storyline isn't just a corny relic of the past.
[00:57:09.621 --> 00:57:20.970]  It's a template of the future as important to the modern cabal of self-anointed masters as the Parthenon was to architects throughout the ages.
[00:57:21.770 --> 00:57:29.501]  It's weird staginess and broad strokes weren't the accidental result of primitive cinema technology.
[00:57:30.162 --> 00:57:36.491]  Filmmaking was quite advanced by the mid-1930s, some would say never to be surpassed.
[00:57:37.625 --> 00:57:42.749]  The film was meant as a vehicle to talk down to the unwashed masses.
[00:57:43.209 --> 00:57:46.812]  An early effort at what we now call predictive programming.
[00:57:47.432 --> 00:57:55.458]  The depression era audiences of young people unable to get jobs would be very receptive to any message of change and renewal.
[00:57:56.079 --> 00:58:01.743]  The young and disenfranchised would see nothing wrong with the central planning point of view of things to come.
[00:58:02.466 --> 00:58:22.939]  Younger audiences in love with anything new or different would think, why not get rid of a bunch of troublemakers like the Chief and his dirty backward companions, so that we could live in a brave new world where men fly into space, live and work in compartments made of clear plastic, surrounded by flat screen TVs.
[00:58:23.739 --> 00:58:34.824]  Even Hitler knew that young people would applaud the concept of out with the old and in with the new because they haven't learned to appreciate and value tradition.
[00:58:35.485 --> 00:58:38.586]  The Hitler Youth Movement was proof of concept.
[00:58:39.106 --> 00:58:49.211]  To them the past is a place they didn't live and the present is a place where older people and their traditions seem to be a straitjacket on youthful energy.
[00:58:49.931 --> 00:58:54.096]  That's why Things to Come was specifically aimed at immature minds.
[00:58:54.576 --> 00:59:01.924]  That's also why such skilled filmmakers would intentionally produce a film so utterly lacking in subtlety.
[00:59:02.805 --> 00:59:08.892]  It should be noted that there is a major flaw in the film as a vehicle to brainwash young blue-collar people in the 1930s.
[00:59:10.673 --> 00:59:20.199]  In the segment that takes place in the idyllic technocratic future, the men of the future are shown wearing, of all things, short skirts.
[00:59:20.599 --> 00:59:28.724]  Not an appealing concept to the average moviegoer of the time, or any time or place outside of Nancy Pelosi's congressional district.
[00:59:29.424 --> 00:59:43.329]  Knowing what we now know about the cabal of elitists responsible for this movie, this inexplicable gaffe and misjudgment is a clue about the true nature of these self-proclaimed elitists.
[00:59:44.270 --> 00:59:53.113]  It's interesting to note that Things to Come has a connection to Star Trek in this regard, a later and much more successful effort at predictive programming.
[00:59:53.920 --> 01:00:08.258]  In the Steven Whitfield book, The Making of Star Trek, it's mentioned that Gene Roddenberry also planned to have some of the men aboard the Enterprise walking around in skirts to show that gender roles would be done away with in the future.
[01:00:09.190 --> 01:00:24.800]  The NBC executives of the mid-1960s killed the idea, but in the first episodes of Star Trek The Next Generation, after Roddenberry had gained total control over the production, a few men were shown wearing a skirt uniform.
[01:00:25.661 --> 01:00:31.745]  But even in the mid-1980s, this proved to be too disturbing for audiences and was quickly dropped.
[01:00:34.261 --> 01:00:45.735]  Even with all that has happened in America to destroy conventional morality, even in our modern Barney Frank reality, this cross-dressing element of things to come is disturbing.
[01:00:59.406 --> 01:01:01.988]  Hi, Ted Anderson, President of Midas Resources.
[01:01:02.188 --> 01:01:11.913]  With over 30 years of experience in the precious metals business, I can tell you without a doubt, we are facing the most dangerous and volatile times, not just in the United States, but worldwide.
[01:01:12.094 --> 01:01:14.535]  Peace of mind is gold and silver.
[01:01:14.755 --> 01:01:16.536]  Now is the time to invest in gold.
[01:01:16.736 --> 01:01:20.899]  When it comes to bullion coins, our prices are competitive and the closest to melt.
[01:01:21.159 --> 01:01:24.641]  If it's numismatics you're looking for, we have some of the best deals out there.
[01:01:24.921 --> 01:01:30.904]  Visit MidasResources.com today or go to Infowars.com and click on the link to see our daily specials.
[01:01:31.164 --> 01:01:35.326]  Here's an example of one of our long-term specials we've been offering for more than a year.
[01:01:35.566 --> 01:01:42.509]  Two silver dollars from the turn of the last century, plus two powerful films, The Obama Deception and The American Dream.
[01:01:42.769 --> 01:01:48.411]  We also add in the book, Dishonest Money, all for $72 and free shipping.
[01:01:48.491 --> 01:01:52.013]  The most trusted name in precious metals is Midas Resources.
[01:01:52.313 --> 01:01:57.075]  Call 1-800-686-2237 or go to Infowars.com.
[01:01:57.256 --> 01:01:59.737]  I'm Ted Anderson with Midas Resources.
[01:02:00.277 --> 01:02:06.760]  We are now only entering the edge of a global financial superstorm the likes of which the planet has never seen.
[01:02:07.060 --> 01:02:15.945]  Here in the United States, the private Federal Reserve is giving more than 85 billion dollars of taxpayer money a month to themselves and other offshore foreign banks.
[01:02:16.185 --> 01:02:20.307]  And the worst part is, we have to pay the banks' interest on the money we give them.
[01:02:20.527 --> 01:02:27.532]  There is now a race between the global central bank mafia cartels to see who can devalue their country's currencies the fastest.
[01:02:27.913 --> 01:02:32.316]  We are already seeing big increases in inflation at the grocery store and the gas line.
[01:02:32.416 --> 01:02:34.457]  This will eventually lead to hyperinflation.
[01:02:34.638 --> 01:02:42.183]  More than a dozen top globalists like George Soros have been buying record amounts of gold while at the same time bad-mouthing it to the public.
[01:02:42.363 --> 01:02:43.945]  Don't just listen to what they say.
[01:02:44.245 --> 01:02:46.166]  Watch what they do for more than 6,000 years.
[01:02:47.547 --> 01:02:57.989]  Before investing in metals, it is important to do your own research and find a reputable company.
[01:02:58.189 --> 01:03:02.690]  Midas Resources has the highest Better Business Bureau rating of an A+.
[01:03:02.910 --> 01:03:06.371]  Unfortunately, very few precious metal companies can boast of that.
[01:03:06.611 --> 01:03:12.392]  Midas Resources has assembled one of the most educated, researched, and professional teams of brokers in the industry.
[01:03:12.572 --> 01:03:14.172]  The evidence is overwhelming.
[01:03:14.332 --> 01:03:17.173]  In uncertain times, gold and silver is safer.
[01:03:17.913 --> 01:03:19.494]  Now is the time to invest in gold.
[01:03:19.614 --> 01:03:25.998]  Call 800-686-2237 and Midas Resources will mail you 10 reasons to own gold absolutely free.
[01:03:26.238 --> 01:03:26.778]  No shipping.
[01:03:26.958 --> 01:03:28.119]  It's absolutely free.
[01:03:28.379 --> 01:03:35.403]  And finally, Ted Anderson wants to challenge you to find any deal that comes close to his two silver dollars at cost.
[01:03:35.603 --> 01:03:40.047]  With free shipping with two free films and a book for $72.
[01:03:40.228 --> 01:03:44.772]  That's more than $160 value for $72 shipping included.
[01:03:44.992 --> 01:03:49.517]  Click the link at InfoWars.com to go to the MidasResources.com specials page.
[01:03:49.757 --> 01:03:54.842]  Brought to you by MidasResources.com and Ted Anderson, the trusted name in precious metals.
[01:04:06.209 --> 01:04:08.149]  Welcome back to the InfoWars Nightly News.
[01:04:08.189 --> 01:04:15.191]  Hope you enjoyed that extended break with one of our entries to the Paul Revere Film Festival.
[01:04:15.231 --> 01:04:17.171]  That was John Cabal vs. Alex Jones.
[01:04:17.851 --> 01:04:27.413]  I want to go to another video real quick, but this is just as serious in nature, but also more hard-hitting and more in-your-face because it shows more mainstream media lies.
[01:04:28.073 --> 01:04:31.594]  Lawrence O'Donnell, an MSNBC Skexy Award winner.
[01:04:32.819 --> 01:04:39.021]  Went on the air right after Ron Paul came out and said there was martial law in Watertown.
[01:04:40.561 --> 01:04:49.063]  He had militarized police, he had people being forced from their homes with their hands up, and he said this was martial law and this is ridiculous.
[01:04:49.103 --> 01:04:55.325]  And Lawrence O'Donnell got in there and was being an apologist for all that, saying those are all lies, there was no martial law.
[01:04:55.933 --> 01:05:07.786]  So we're going to go to a piece now with David Knight introducing Dan, but not showing first showing Lawrence O'Donnell's lies and then going to Dan Bodondi, who interviewed people, residents in Watertown.
[01:05:07.826 --> 01:05:14.974]  And when we get back from that, we have another resident from Watertown to shed more light on this fake martial law that never happened.
[01:05:15.034 --> 01:05:16.376]  So enjoy this video.
[01:05:28.504 --> 01:05:30.506]  I'm David Knight with InfoWars Nightly News.
[01:05:31.147 --> 01:05:36.932]  Now recently, Ron Paul was on the Alex Jones Show and he expressed concern about the way the police conducted themselves.
[01:05:36.972 --> 01:05:38.333]  He had some pretty strong language.
[01:05:38.834 --> 01:05:41.356]  He called it martial law and we agree.
[01:05:41.616 --> 01:05:43.678]  Governments are supposed to protect our liberties.
[01:05:44.139 --> 01:05:48.243]  Once they decide they're going to make us safe, economically and physically safe,
[01:05:48.923 --> 01:05:51.485]  Uh, they can only do this by taking away our liberties.
[01:05:51.525 --> 01:05:54.147]  Those pictures really concern me.
[01:05:54.267 --> 01:06:01.912]  That is such a visual image when you see thousands and thousands of troops, and they weren't your local friendly policemen that were involved.
[01:06:02.032 --> 01:06:04.614]  I mean, can you imagine all these people being locked?
[01:06:04.634 --> 01:06:05.694]  They became prisoners.
[01:06:05.955 --> 01:06:08.376]  It was, uh, accepted too easily.
[01:06:08.797 --> 01:06:10.718]  It was, uh, martial law.
[01:06:11.058 --> 01:06:34.173]  But Lawrence O'Donnell took exception to that and he very strongly called Ron Paul a liar repeatedly on his show for what he said about the way the police conducted themselves going house to house, pointing guns at people in windows and houses, dragging them out of their houses at gunpoint, going down the streets in armored personnel carriers with full police
[01:06:35.374 --> 01:06:37.295]  Wait, I want to show pictures first.
[01:06:37.695 --> 01:06:40.517]  Show some of the pictures of the Boston police, okay?
[01:06:40.838 --> 01:06:41.338]  Look at this.
[01:06:41.798 --> 01:06:45.521]  I mean, if this is what you have, why don't you invade a country?
[01:06:46.902 --> 01:06:47.923]  Show some of the other ones.
[01:06:48.023 --> 01:06:49.324]  I mean, go up to Canada.
[01:06:49.364 --> 01:06:50.065]  Take their oil.
[01:06:52.346 --> 01:06:52.807]  Look at these.
[01:06:52.827 --> 01:06:54.068]  These are half-tracks.
[01:06:54.108 --> 01:07:03.315]  I don't care what you... You might want to call it an urban assault vehicle, but this country is becoming a police state, and it is very troubling to me.
[01:07:03.715 --> 01:07:05.016]  We believe that's very excessive.
[01:07:05.096 --> 01:07:10.759]  We believe that that is setting a template for martial law to be gradually eased in, and so does Ron Paul.
[01:07:10.799 --> 01:07:12.840]  But Lawrence O'Donnell called him a liar.
[01:07:12.940 --> 01:07:22.465]  He said from the very beginning to say that this was forced is a lie, that the governor was just simply telling people to shelter in place, and it was a suggestion.
[01:07:22.845 --> 01:07:25.527]  Police don't need warrants.
[01:07:26.328 --> 01:07:33.953]  Families thrown out of their homes at gunpoint to be searched without probable cause.
[01:07:34.694 --> 01:07:39.217]  No guns were pointed at any families.
[01:07:39.737 --> 01:07:41.679]  What a vile lie!
[01:07:41.719 --> 01:07:48.804]  There were no tanks and there were no police pointing their weapons at innocent citizens.
[01:07:49.724 --> 01:07:56.088]  Well, when the government points a gun at you and suggests that you do something, we call that force.
[01:07:56.709 --> 01:08:00.071]  And they may call it something else, but they're just playing with semantics.
[01:08:00.872 --> 01:08:08.197]  We wanted to add to the pictures that people have already seen, pictures that were already there when Lawrence O'Donnell called Ron Paul a liar.
[01:08:08.657 --> 01:08:15.722]  So we sent Dan Bodondi to interview residents and tell us what they experienced during this excessive manhunt.
[01:08:16.242 --> 01:08:17.163]  And here are those interviews.
[01:08:17.523 --> 01:08:27.730]  A cop pointed his gun at me and then they called SWAT in and then SWAT came and picked me up by a shield and they threw me in the back of a car and then dropped me off in the middle of Newton.
[01:08:28.130 --> 01:08:30.331]  They dropped you off in the middle of nowhere and what time of night was that?
[01:08:31.112 --> 01:08:31.772]  What time was that?
[01:08:31.872 --> 01:08:32.413]  Like 5?
[01:08:33.613 --> 01:08:33.914]  Yeah.
[01:08:34.894 --> 01:08:35.635]  Broad daylight.
[01:08:35.915 --> 01:08:38.397]  Just dropped me off, took me out of the cuffs and told me to walk.
[01:08:38.917 --> 01:08:41.839]  And when they put the cuffs on you, did they read you your Miranda Rights?
[01:08:42.910 --> 01:08:45.631]  So you were unlawfully detained from being on public property?
[01:08:45.992 --> 01:08:46.192]  Yeah.
[01:08:46.492 --> 01:08:47.652]  Did they ask to search your house?
[01:08:49.313 --> 01:08:50.894]  They told me they were going to search the house.
[01:08:51.114 --> 01:08:52.395]  So they didn't ask you, they just told you?
[01:08:52.615 --> 01:08:54.356]  They told me they were going to come in and search.
[01:08:54.456 --> 01:08:56.057]  And did they command you to leave your home?
[01:08:56.957 --> 01:08:58.378]  They told us we had to leave, yes.
[01:08:58.818 --> 01:09:11.405]  One thing I was very, very upset about is that when we were leaving here, all the lights were on in the house, TVs, you know, and back door, they had gone to the back door down my basement.
[01:09:12.345 --> 01:09:15.686]  And they told me, I said, let me just close all my doors and lock up.
[01:09:15.706 --> 01:09:16.866]  And they said no, they would do it.
[01:09:16.926 --> 01:09:17.507]  I came home.
[01:09:17.987 --> 01:09:18.927]  Back door was open.
[01:09:19.107 --> 01:09:20.547]  This is hours now later.
[01:09:20.607 --> 01:09:21.468]  Back door was open.
[01:09:21.528 --> 01:09:22.528]  Front door was open.
[01:09:23.008 --> 01:09:24.329]  Basement door was open.
[01:09:24.389 --> 01:09:25.049]  Lights were on.
[01:09:25.109 --> 01:09:25.789]  TVs were on.
[01:09:26.209 --> 01:09:27.149]  No one did anything.
[01:09:27.329 --> 01:09:31.391]  So they basically left your house unsecured with the doors wide open where nobody was home?
[01:09:31.571 --> 01:09:32.091]  Yes, they did.
[01:09:32.531 --> 01:09:34.231]  And you say there's bullet holes in your car here?
[01:09:34.391 --> 01:09:35.612]  Yes, this is a bullet hole here.
[01:09:35.632 --> 01:09:38.073]  And they didn't shatter that quick?
[01:09:39.133 --> 01:09:39.293]  And...
[01:09:40.970 --> 01:09:42.192]  There's a bullet hole here.
[01:09:42.212 --> 01:09:45.517]  It shot out the window on the side there.
[01:09:45.537 --> 01:09:49.985]  And in my car, there's a bullet hole
[01:09:50.965 --> 01:09:53.306]  As you can see, I don't know where it is.
[01:09:53.406 --> 01:09:54.226]  Maybe it's in the castle.
[01:09:54.486 --> 01:09:55.146]  I have no idea.
[01:09:55.526 --> 01:09:58.287]  But the back window's blown out and the side window's blown out.
[01:09:58.327 --> 01:10:02.529]  What they did, they disrupted this entire world for a day.
[01:10:02.669 --> 01:10:15.112]  We initially got a report from the police department that it was voluntary searches, but then after talking to the residents, we found out that they weren't asking if they could have permission to enter homes.
[01:10:15.132 --> 01:10:18.613]  They were just forcefully entering people's homes to search.
[01:10:18.933 --> 01:10:20.514]  So did they knock at your door just walking?
[01:10:21.391 --> 01:10:28.737]  They knocked the door, but you know what I mean, the door, they almost pushed the door through.
[01:10:28.797 --> 01:10:30.258]  Did they ask you to search your home at all?
[01:10:30.439 --> 01:10:31.059]  Or they just did it?
[01:10:31.219 --> 01:10:31.820]  They just did it.
[01:10:31.840 --> 01:10:33.981]  You know, they just came in and they went through.
[01:10:34.282 --> 01:10:35.923]  And did they command you to leave your home?
[01:10:36.824 --> 01:10:37.024]  Yes.
[01:10:38.285 --> 01:10:40.447]  We left and they said, let's lock the doors.
[01:10:40.787 --> 01:10:42.168]  They said, no, no, we'll take care of it.
[01:10:42.228 --> 01:10:43.469]  We'll lock your doors and everything.
[01:10:43.930 --> 01:10:46.692]  We came home midnight and everything was open.
[01:10:47.873 --> 01:10:48.933]  And nobody was around here.
[01:10:49.173 --> 01:10:51.674]  So they left your house also unsecured and wide open?
[01:10:51.994 --> 01:10:52.474]  Exactly.
[01:10:52.734 --> 01:10:53.815]  And nobody was around here.
[01:10:54.115 --> 01:10:54.935]  What takes anybody?
[01:10:54.975 --> 01:10:56.095]  Anybody can walk in.
[01:10:56.315 --> 01:10:58.016]  They mistreated the elderly then, right?
[01:10:58.356 --> 01:10:58.996]  Yes, yes.
[01:10:59.116 --> 01:10:59.656]  Unbelievable.
[01:10:59.856 --> 01:11:00.996]  Yes, you know, I didn't like that.
[01:11:01.016 --> 01:11:03.877]  You know, like I said, they tried to do the job, you know what I mean?
[01:11:04.237 --> 01:11:04.437]  No.
[01:11:04.937 --> 01:11:07.718]  But at this point here, I got very upset.
[01:11:07.758 --> 01:11:08.358]  Very upset.
[01:11:08.798 --> 01:11:10.639]  Did they ask to search your house or they just searched it?
[01:11:11.796 --> 01:11:15.378]  Um, they wanted to search the house, but my grandma said nobody was in there.
[01:11:15.538 --> 01:11:21.381]  And then they proceeded to ask my grandma for my, my uncle lives upstairs and the house is a deadbolt.
[01:11:21.541 --> 01:11:23.662]  And my grandma said, no, there's no one up there.
[01:11:23.682 --> 01:11:29.865]  I didn't hear anyone go up the stairs, but they still made her give the house key and unlocked it with that key and searched upstairs and all the way up to the attic.
[01:11:29.885 --> 01:11:34.387]  Well, they, they, um, didn't want to give the key back, but they ended up giving the key back.
[01:11:34.728 --> 01:11:35.528]  My grandma, they did.
[01:11:36.525 --> 01:11:40.089]  And did they command you at all anytime to leave your home or stay in the home?
[01:11:40.229 --> 01:11:41.290]  It was stay inside.
[01:11:41.550 --> 01:11:51.360]  The thing overall that caught my eye is that my friend on Franklin Street lived across the street and the army people did a huge search in their garage.
[01:11:53.321 --> 01:11:55.002]  The boat was directly across the street.
[01:11:55.042 --> 01:11:56.422]  They didn't search the boat, not once.
[01:11:56.962 --> 01:11:57.982]  They didn't even go around it.
[01:11:58.122 --> 01:12:00.103]  And that's where the younger brother was found?
[01:12:00.123 --> 01:12:01.323]  That's where the suspect was.
[01:12:01.663 --> 01:12:04.184]  And it's funny because the police didn't find him when they did the thing.
[01:12:04.604 --> 01:12:08.105]  The person finally got to leave their house because they said everyone stay inside.
[01:12:08.485 --> 01:12:10.525]  He left his house and saw the blood on the boat.
[01:12:10.565 --> 01:12:12.786]  We, you know, had to go through multiple checkpoints.
[01:12:12.806 --> 01:12:13.926]  We researched ourselves.
[01:12:14.066 --> 01:12:18.327]  Other journalists on the scene were told to lay on the ground as they were searched.
[01:12:18.787 --> 01:12:21.088]  So it was a very, very touchy, very
[01:12:21.648 --> 01:12:24.150]  It's a pretty intense situation to be in.
[01:12:24.550 --> 01:12:28.353]  Matter of fact, the morning we woke up, a big shootout that was coming from over here.
[01:12:28.954 --> 01:12:30.495]  It was a lot like a Vietnam.
[01:12:31.656 --> 01:12:33.417]  Those guns that were going left and right.
[01:12:33.737 --> 01:12:35.499]  Yeah, all your neighbors' houses got hit.
[01:12:35.959 --> 01:12:36.599]  Oh, we did, too.
[01:12:36.619 --> 01:12:37.320]  Mine, too.
[01:12:37.340 --> 01:12:38.160]  We got a stone door broken.
[01:12:38.180 --> 01:12:39.201]  They passed my stone door.
[01:12:39.241 --> 01:12:40.622]  And the other door is our stone door.
[01:12:40.642 --> 01:12:42.183]  And the door from upstairs, yeah.
[01:12:42.203 --> 01:12:43.645]  It was a broken door.
[01:12:43.745 --> 01:12:47.247]  If I never put four more feet on this side, they would have get me on my bedroom.
[01:12:47.608 --> 01:12:49.769]  Oh, that's where you sleep inside.
[01:12:51.590 --> 01:12:55.012]  Were guns pointed at you at any time and did they tell you to put your hands up in the air or anything?
[01:12:55.352 --> 01:12:56.492]  Not me, but my boyfriend.
[01:12:57.032 --> 01:12:59.713]  So your boyfriend had his hands up in the air and they were searching him?
[01:13:00.193 --> 01:13:03.195]  Yes, because he came out to check his diesel in the back of his truck.
[01:13:03.355 --> 01:13:07.096]  They were pretty much right here in front of my house and they were just shooting down that direction.
[01:13:08.877 --> 01:13:14.559]  That went on for a couple minutes and then there were two more booms with the last one just really lighting the entire neighborhood up.
[01:13:15.419 --> 01:13:17.680]  It shook the house, set off all the car alarms.
[01:13:18.522 --> 01:13:20.023]  And did they make you put your hands up?
[01:13:20.904 --> 01:13:23.647]  When we came out, we put our hands up and they searched us.
[01:13:23.727 --> 01:13:25.148]  But other than that, we just walked out.
[01:13:25.288 --> 01:13:26.770]  And did they ask you at all to search you?
[01:13:28.011 --> 01:13:28.752]  Yeah, they asked.
[01:13:28.772 --> 01:13:30.974]  Well, they told us that they were going to be searching us.
[01:13:39.616 --> 01:13:59.486]  So what you just saw, the mainstream media, MSNBC, hosts coming out saying that anybody who questions the fact that this was a police state, this was martial law training, this was training for the citizenry to give up your Fourth Amendment, to give up any notion of privacy, anytime there's any type of crime.
[01:13:59.526 --> 01:14:03.328]  You know, in this case it was a 19 year old kid who turns out he wasn't even armed at all.
[01:14:03.648 --> 01:14:06.670]  Turns out he probably didn't even shoot the cop they said he shot.
[01:14:07.652 --> 01:14:11.053]  Uh, there's more and more information coming out on this every day.
[01:14:11.713 --> 01:14:19.736]  And when we played the report just featuring Dan Badondi interviewing people last weekend, uh, over the weekend, I got contacted by our next guest.
[01:14:19.756 --> 01:14:21.376]  And he said, Hey, you should have interviewed me.
[01:14:21.396 --> 01:14:22.657]  I was right there.
[01:14:22.717 --> 01:14:23.717]  I saw it all happen too.
[01:14:23.777 --> 01:14:29.099]  And he sent me this picture that we're going to put up on screen and it's, it's see the tanks and there he is right there.
[01:14:29.979 --> 01:14:30.359]  And, um,
[01:14:31.414 --> 01:14:34.536]  So he's an intuitive healer who recently just moved to Boston.
[01:14:34.556 --> 01:14:35.958]  He's not a long-time resident there.
[01:14:35.978 --> 01:14:38.419]  And he witnessed all this stuff.
[01:14:38.439 --> 01:14:43.784]  And he's going to say the same thing that all the other people that Dan Benanti talked to said.
[01:14:44.164 --> 01:14:45.965]  You know, these people were intimidated.
[01:14:46.045 --> 01:14:46.846]  They were scared.
[01:14:46.986 --> 01:14:54.512]  It was a tyranny, and it is a precursor to what is coming if we don't start getting our stuff together, needless to say.
[01:14:54.552 --> 01:14:57.234]  So we go to our guest now, Greg Von Hassler.
[01:14:57.454 --> 01:14:58.335]  Greg, how are you doing today?
[01:14:59.352 --> 01:14:59.832]  I'm doing great.
[01:14:59.872 --> 01:15:00.372]  How are you, Rob?
[01:15:00.652 --> 01:15:01.453]  I'm doing great.
[01:15:02.033 --> 01:15:03.053]  You know, I really don't.
[01:15:03.493 --> 01:15:08.475]  I'm glad we're covering this stuff, but this is a really an insane time we're living in.
[01:15:08.775 --> 01:15:10.175]  Why don't you tell us what happened?
[01:15:10.476 --> 01:15:20.599]  You actually heard the gunshots Thursday night with this so-called gun battle, which now seems like it was probably one sided and only one side was firing shots.
[01:15:21.959 --> 01:15:24.160]  Well, when it initially happened,
[01:15:25.180 --> 01:15:30.683]  Let me just start off by saying, as soon as the Boston bombing occurred, I knew somehow it was going to come to my neighborhood.
[01:15:31.104 --> 01:15:32.264]  I just had a gut instinct.
[01:15:32.304 --> 01:15:34.486]  I had a gut intuition, okay?
[01:15:34.986 --> 01:15:41.430]  The night it happened, it was Thursday night, and I was talking with my wife, and I hear, I heard gunshots.
[01:15:41.510 --> 01:15:44.371]  My wife thought they were firecrackers, but I'm like, no, honey.
[01:15:45.012 --> 01:15:46.773]  I come from a relatively, you know,
[01:15:48.178 --> 01:15:49.160]  I think so.
[01:16:02.242 --> 01:16:03.863]  Lots of bullets were happening.
[01:16:03.883 --> 01:16:07.106]  Then you hear, explosion, one, not too big.
[01:16:07.166 --> 01:16:08.446]  So maybe that was a firecracker.
[01:16:08.487 --> 01:16:09.627]  Explosion two, big.
[01:16:10.148 --> 01:16:11.709]  And then explosion three, huge.
[01:16:11.769 --> 01:16:16.172]  And you're like, okay, whoa, this is obviously going to be related to the Boston Marathon somehow.
[01:16:16.192 --> 01:16:17.253]  It's running through my head.
[01:16:17.573 --> 01:16:18.834]  They're going to pull up a police state.
[01:16:18.954 --> 01:16:20.955]  I just, I know it all is going to happen.
[01:16:21.295 --> 01:16:22.076]  So I'm like, great.
[01:16:22.316 --> 01:16:23.437]  My whole weekend is ruined.
[01:16:24.358 --> 01:16:25.799]  That's exactly what I'm thinking.
[01:16:26.359 --> 01:16:26.699]  Okay?
[01:16:28.340 --> 01:16:29.541]  So that was the beginning.
[01:16:29.561 --> 01:16:30.402]  That was Thursday night.
[01:16:31.242 --> 01:16:34.224]  Progressing into Thursday night, FBI did show up.
[01:16:34.965 --> 01:16:42.069]  Within several seconds of the actual alleged crime happening, there was at least 20 police cars coming in.
[01:16:42.590 --> 01:16:45.752]  Within minutes, they were just zoom, zoom, zoom, zoom, zoom.
[01:16:46.592 --> 01:16:47.793]  So many, okay?
[01:16:47.973 --> 01:16:49.714]  How many streets over was this from you?
[01:16:49.795 --> 01:16:51.195]  This didn't seem like it was right.
[01:16:51.275 --> 01:16:52.776]  It wasn't on your street though, right?
[01:16:53.557 --> 01:16:55.558]  It was roughly two blocks away.
[01:16:55.758 --> 01:16:55.999]  Okay.
[01:16:56.639 --> 01:16:56.839]  Okay.
[01:16:58.908 --> 01:17:03.250]  So close enough, but I didn't actually see it with my own eyes, but I felt everything.
[01:17:06.651 --> 01:17:13.713]  What progressed into the night was basically knowing that something huge had occurred.
[01:17:13.733 --> 01:17:15.174]  I was scared.
[01:17:15.254 --> 01:17:15.934]  It felt like
[01:17:17.158 --> 01:17:19.560]  I was in the diary of Anne Frank for a moment, okay?
[01:17:19.840 --> 01:17:27.746]  Because yes, it was called a lockdown, and yes, you had to stay inside your home, and yes, you were fearful of something going on outside.
[01:17:27.766 --> 01:17:29.468]  Let me stop you real quick.
[01:17:29.508 --> 01:17:31.589]  How did you get that information that it was a lockdown?
[01:17:31.629 --> 01:17:33.110]  Did it break in over the radio?
[01:17:33.130 --> 01:17:34.111]  Did it come through the TV?
[01:17:34.171 --> 01:17:35.392]  How did you receive that info?
[01:17:36.044 --> 01:17:39.947]  We had, it was coming in through the internet, which is where we predominantly get all of our information.
[01:17:40.147 --> 01:17:40.368]  Okay.
[01:17:40.408 --> 01:17:42.489]  And let me, let me tell you what else happened.
[01:17:42.529 --> 01:17:50.416]  The first report that I had heard actually, which I had not found on the internet since, was that it was a controlled explosion by the police.
[01:17:51.257 --> 01:17:52.097]  Ah, that night.
[01:17:52.117 --> 01:17:54.680]  That was the first report that I had heard that night.
[01:17:55.961 --> 01:17:58.543]  And so my instinct was thinking, this is fishy.
[01:17:59.023 --> 01:18:03.147]  Obviously, this is the same cabal, uh,
[01:18:04.065 --> 01:18:05.406]  Coming to my neighborhood.
[01:18:05.966 --> 01:18:07.926]  And because of that, I was mortified.
[01:18:08.106 --> 01:18:10.007]  Because I know how these people are.
[01:18:10.047 --> 01:18:10.727]  I know how they act.
[01:18:10.807 --> 01:18:13.668]  And I knew that this was going to be a horrific experience for me.
[01:18:13.688 --> 01:18:14.909]  Okay?
[01:18:16.949 --> 01:18:19.870]  So, that was my initial feeling.
[01:18:20.090 --> 01:18:22.411]  Like I said, it felt like Nazi Germany.
[01:18:22.711 --> 01:18:25.512]  And, Frank, we had to be fearful of looking outside.
[01:18:25.532 --> 01:18:26.452]  This is Thursday night.
[01:18:29.446 --> 01:18:30.026]  That night.
[01:18:30.226 --> 01:18:35.469]  This is something else which I find greatly disturbing and I haven't had too much chance to talk about.
[01:18:35.969 --> 01:18:44.493]  I saw a suspect in custody and he looked exactly like this guy who they have now identified as Sunil Trafali.
[01:18:45.554 --> 01:18:45.774]  Okay.
