[00:00:42.233 --> 00:00:43.836]  It's July 9th, 2013.
[00:55:16.955 --> 00:55:18.575]  I think there's only a
[00:55:18.695 --> 00:55:34.749]  There's a slight difference here, Alex, really, and I think this conversation has really got us honed in on this minor tactical difference between what we are talking about and where you are saying, well, if we do this and we create this mechanism still at the federal level, we can correct certain problems.
[00:55:35.070 --> 00:55:35.690]  And I agree.
[00:55:36.011 --> 00:55:37.952]  Your plan would have that advantage.
[00:55:37.992 --> 00:55:43.597]  If you said we're going to reclaim the federal government and we're going to use it for justice and we're going to do X, Y, and Z,
[00:55:44.418 --> 00:55:52.281]  The only disadvantage of that, and the danger in that, is that you are still relying on a great central authority that will and can be corrupted.
[00:55:52.321 --> 00:55:54.982]  So you're saying I shouldn't use the Ring of Mordor?
[00:55:55.002 --> 00:55:57.403]  You're saying it will always go bad?
[00:55:57.423 --> 00:55:57.583]  Yes.
[00:55:58.023 --> 00:56:11.568]  I am saying what you are proposing should happen, except it should be done with ruthless localization, pushing the power down, and all of the aims that you are looking for can be achieved at the state or more local levels.
[00:56:12.128 --> 00:56:17.711]  Well, you know, every time you're on, I see comments and stuff by, kind of, collectivists saying, well, what about all the federal money?
[00:56:17.751 --> 00:56:21.813]  They really don't get that that money's local money.
[00:56:23.054 --> 00:56:34.720]  It's all fiat, exactly, but that that's energy symbols, energy stolen from the states, expropriated to basically a globalist crime syndicate, and then they give us a little bit back with strings attached.
[00:56:35.256 --> 00:56:35.456]  Right.
[00:56:35.756 --> 00:56:47.786]  And, oh, it's disgusting that people don't get that, but you're right, it's collectivists who believe in the economic fallacies of a central government, of Keynesianism, essentially, that, you know, the government can create wealth out of thin air.
[00:56:48.127 --> 00:56:58.555]  And, you know, just today, I'm sure you covered the New York Police Department gas attack, or, you know, $3.4 million to study how gas moves through the subway system in New York.
[00:56:58.856 --> 00:57:01.458]  And what's offensive to me about that is not that it's
[00:57:02.258 --> 00:57:06.421]  Used to scare the American people or to make you think, oh, you need government to protect you.
[00:57:06.501 --> 00:57:07.662]  Sure, it's a psy-op.
[00:57:07.862 --> 00:57:15.788]  No, but it's 3.4 million dollars that if not spent by government would be spent by the people to meet real human needs.
[00:57:15.888 --> 00:57:16.568]  And to me that's what's important.
[00:57:16.588 --> 00:57:19.330]  And then it's given to a firm that's a buddy of the insiders.
[00:57:19.370 --> 00:57:21.231]  You know, it's this whole complex.
[00:57:21.251 --> 00:57:22.292]  Well, look, it's clear.
[00:57:22.732 --> 00:57:25.874]  I see like twice the police I saw just ten years ago driving home.
[00:57:26.495 --> 00:57:28.116]  The police literally act like
[00:57:28.436 --> 00:57:31.059]  Many of them like they were just released from an insane asylum.
[00:57:31.899 --> 00:57:36.043]  Now the police in Texas pull you over without a warrant and shove their hand up your butt.
[00:57:36.664 --> 00:57:47.695]  Alex, let me just, if I may suggest, going back to the distinction between what we're proposing, the specific advantage of what I'm talking about, because when you say we're going to retake the federal government,
[00:57:48.055 --> 00:57:56.484]  You suggest then you need a national leader, you need some national management of this new government, you need everybody in the nation to somehow agree on a plan.
[00:57:57.124 --> 00:58:07.535]  What I'm suggesting of simply returning all that authority immediately to the states has this great advantage of being able to unify people who are of vastly different opinions.
[00:58:07.815 --> 00:58:10.878]  They don't have to wake up, they don't have to agree with us philosophically,
[00:58:11.158 --> 00:58:14.920]  They don't have to think about what we are proposing or what we believe in.
[00:58:15.220 --> 00:58:25.045]  If they know that they are going to get better governance, the closer it is to them at the state level where it better reflects the needs of their communities rather than the national level.
[00:58:27.259 --> 00:58:43.829]  In the plan I put forward, this is based on a lot of historical research and things that others have put out, great minds, I actually say nullification and that states should secede to point out that it is not even a real federal government.
[00:58:44.049 --> 00:58:45.530]  So I just end that debate.
[00:58:45.930 --> 00:58:54.335]  And then if the states decide, because we're now the people of the states, we're deciding that we want to get rid of the federal government, then there is a plan developed
[00:58:54.955 --> 00:59:00.450]  To do that, but in the process we've already withdrawn our consent and checkmated them.
[00:59:01.277 --> 00:59:17.023]  Well, let me ask, Alex, if you saw that the 50 United States that we have today were completely independent, do you think there would be a possible political process for you to get 50 state governors to agree to the same thing, to come on board on the same plan?
[00:59:17.424 --> 00:59:25.547]  I think that's a much greater challenge and it's very unrealistic, but it also suggests that we're going to get people back into this giant collective.
[00:59:25.607 --> 00:59:27.268]  But we did it in 1789.
[00:59:28.428 --> 00:59:29.909]  Listen, maybe we wouldn't do that.
[00:59:30.529 --> 00:59:36.312]  The whole point is, is the Declaration of Independence, it's our right, our duty to abolish the forms we've become accustomed to.
[00:59:37.092 --> 00:59:40.374]  1789 was a step backwards from the Articles of Confederation.
[00:59:40.394 --> 00:59:41.955]  I agree with you.
[00:59:41.995 --> 00:59:48.998]  Listen, listen, hey, I'm trying to go with something that I believe people would actually, were already occupied by the New World Order.
[00:59:49.398 --> 00:59:52.140]  And they're trying to mop up the free press and shut down whatever's left.
[00:59:53.782 --> 01:00:03.169]  And in a way, your radical plan is great, because it moves the Overton window so far towards liberty, that it makes my plan sound moderate.
[01:00:03.629 --> 01:00:11.615]  So in a way, we're kind of doing what the Marxists do, you know, where they say, total communism, kill everybody, and then the Socialists just goes, no, only collectivize 90%.
[01:00:11.895 --> 01:00:15.798]  You know, so regardless, it's a good discussion to have.
[01:00:16.738 --> 01:00:17.459]  It's just that
[01:00:20.410 --> 01:00:27.032]  It's like Ron Paul has said, so much of the public is so collectivized and so sadly demoralized.
[01:00:27.052 --> 01:00:28.793]  We don't have to challenge that even.
[01:00:29.193 --> 01:00:36.636]  All we have to convince them at this point is that the mechanism of the federal government is not in our best interest and it would be pretty hard to argue against that now.
[01:00:38.089 --> 01:00:40.152]  Let me get off the subject for a moment.
[01:00:40.452 --> 01:00:47.581]  What do you see happening as all the NSA spying comes out and as the government running Al Qaeda now comes out?
[01:00:48.322 --> 01:00:49.344]  I'm not trying to toot my horn.
[01:00:49.384 --> 01:00:56.253]  It's just that everything I've talked about from my just straight-up analysis of the situation and the experts I talked to has now been proven.
[01:00:56.773 --> 01:00:58.756]  Oh yes, I saw it coming too.
[01:00:58.956 --> 01:01:06.966]  I'm sure your analysis goes way further back than mine, but I assumed since I was an activist in 2007 that everything was being recorded.
[01:01:07.527 --> 01:01:08.648]  And it's not hard.
[01:01:08.708 --> 01:01:12.974]  I mean, it's not that hard to predict when you see the technology available that governments are going to abuse it.
[01:01:13.234 --> 01:01:20.217]  Exactly, so the government's in a technological build-up against us, knowing that collectivism and centralization always fails.
[01:01:20.537 --> 01:01:25.379]  They've said, they call it the final revolution, where they're going to amass such tyranny we never escape.
[01:01:25.699 --> 01:01:30.301]  I mean, you read this stuff by Bertrand Russell and people, they really are crazy control freaks.
[01:01:30.621 --> 01:01:41.406]  My question is, how do you really see all this playing out, and what do you expect to come out of doing things like going down and locking and loading in front of the Capitol?
[01:01:42.076 --> 01:01:47.383]  That's a great question, Alex, and it really does feel like we have the destiny of humanity in our hands right now.
[01:01:47.463 --> 01:01:56.635]  Not just you and I, but all the people that are addressing these issues and are looking at this, and it does feel sometimes like it could go one of two directions, either to freedom or fascism.
[01:01:57.156 --> 01:02:10.520]  And I have such great faith in humanity, having seen how we have already progressed forward, that although we seem to go two steps forward, one step backwards, and we're in the middle of a big step backwards right now, I really believe we are on the verge of a major step forwards.
[01:02:10.780 --> 01:02:13.661]  But it's going to take a lot more, and it's going to take a certain awakening.
[01:02:13.981 --> 01:02:22.984]  But I believe that technology is fundamentally empowering, and as much as it empowers government, and as far ahead as they can get, the distribution of that technology is also accelerating.
[01:02:23.344 --> 01:02:25.585]  I'm sure you've heard the analogy with cell phones,
[01:02:27.225 --> 01:02:40.231]  The information capabilities that President Clinton had when he left office in 2001 are now surpassed by a Bushman in the desert with a smartphone in his hands.
[01:02:40.791 --> 01:02:43.972]  And in that sense, the technology is also distributed a lot faster.
[01:02:44.252 --> 01:02:48.114]  It took decades before the printing press had a worldwide impact.
[01:02:48.474 --> 01:02:50.775]  So I believe that technology is empowering.
[01:02:51.115 --> 01:02:55.057]  And empowerment leads to liberty, because it leads to the assertion of self-ownership.
[01:02:55.077 --> 01:03:02.662]  Now, just yesterday, to answer your original question about the spying, I went to the White House, and it was in between interviews I had in D.C.
[01:03:02.702 --> 01:03:16.550]  with the mainstream media ditto-heads, and I took some time out to do some man-on-the-street interviews, and I wanted to ask people how they felt about being spied on, and my brilliant girlfriend suggested that I ask people for their cell phones.
[01:03:17.310 --> 01:03:20.912]  And so I went up to people and I started with, hey, what's your name, where are you from, what are you doing here?
[01:03:20.932 --> 01:03:22.572]  And then, can I have your cell phone?
[01:03:22.632 --> 01:03:23.473]  I just put out my hand.
[01:03:24.133 --> 01:03:31.736]  And I interviewed at least a dozen people and every single one of them, one of them questioned as he was handing me his cell phone.
[01:03:31.776 --> 01:03:33.537]  And I didn't answer, I just ignored it and kept going.
[01:03:34.037 --> 01:03:38.178]  Every single one of them handed me their cell phone and I just started going through it.
[01:03:38.539 --> 01:03:41.700]  Oh, you've got a text from so-and-so, that sounds suspiciously terroristic.
[01:03:42.020 --> 01:03:46.821]  I'm going to have to put this in my pocket, take it back to my studio, and download it for you.
[01:03:46.881 --> 01:03:47.861]  And we'll get it back.
[01:03:48.422 --> 01:03:49.502]  It's for your own safety.
[01:03:50.262 --> 01:03:55.383]  And humanity really, again, the paradigm determines the system of government.
[01:03:55.543 --> 01:04:04.505]  And also, there was one thing that Marx got very right, which was that technology determines systems of social organization more than any individual political will.
[01:04:04.585 --> 01:04:09.907]  So I really believe that with or without us as individuals, humanity is evolving to this point.
[01:04:10.247 --> 01:04:11.107]  And when we get to this
[01:04:11.647 --> 01:04:11.747]  Sure.
[01:04:33.670 --> 01:04:38.373]  Sure, well what I've found the biggest issue is, people are either awake or they're getting deeper in a trance.
[01:04:38.593 --> 01:04:54.942]  Medically, the brainwaves are lower, TV heads especially, mainline TV viewers are in a suspended disbelief, and that's why like a magician can say, take a bite of this apple and it's really a potato, they taste an apple, the public is highly suggestible.
[01:04:55.362 --> 01:05:01.446]  And that's how you or Mark Dice or my crew can go out and say, let's put all conservatives in FEMA camps for Obama.
[01:05:02.146 --> 01:05:09.092]  However, historically, think about how less open to suggestion humans are because of the knowledge available.
[01:05:09.332 --> 01:05:16.858]  Think back just a few thousand years, you could tell people that the earth was flat, despite evidence that they could see right in front of them of the horizon disappearing.
[01:05:17.178 --> 01:05:19.901]  You could convince most of the human population.
[01:05:19.921 --> 01:05:26.186]  Sure, Adam, what I'm getting at is that those people just took, you were confident, you said, give me your phone,
[01:05:26.866 --> 01:05:27.426]  And they did it.
[01:05:27.486 --> 01:05:29.747]  It's the same reason criminals come and say, give me your watch.
[01:05:30.287 --> 01:05:31.748]  Oh, the guy gave it to me, officer.
[01:05:32.008 --> 01:05:34.069]  And cops pull over and go, I'm going to search your car.
[01:05:34.429 --> 01:05:35.830]  I'm going to take a blood sample now.
[01:05:36.110 --> 01:05:36.650]  Yes, sir.
[01:05:36.990 --> 01:05:38.871]  I'm going to stick my hand inside your body.
[01:05:38.931 --> 01:05:39.451]  Yes, sir.
[01:05:40.412 --> 01:05:43.173]  I'm saying, what I'm seeing, Adam, is a breakaway.
[01:05:43.653 --> 01:05:49.055]  It's still not nearly as bad as what we had just 60 years ago with the World Wars.
[01:05:49.115 --> 01:05:52.717]  And even in the wars now, the excuses are harder to get people to fight.
[01:05:52.737 --> 01:05:55.138]  Or they would tell black people, you've got to sit at the back of the bus.
[01:05:55.558 --> 01:05:58.501]  Right, you can't convince people to enforce stuff like that anymore.
[01:05:58.782 --> 01:06:10.614]  And I think while you can say that the growth of government is continuing exponentially, largely because of technological reasons, industrialization, things like that, what you can convince people of is getting to be less and less.
[01:06:12.836 --> 01:06:13.577]  No, I agree with you.
[01:06:13.657 --> 01:06:15.259]  I'm not giving a negative view.
[01:06:15.359 --> 01:06:16.780]  I'm saying there's a dichotomy.
[01:06:17.526 --> 01:06:20.208]  There's a purification process.
[01:06:20.228 --> 01:06:26.052]  You're either getting more mindless, more unconscious, or more awake, more informed.
[01:06:26.272 --> 01:06:28.173]  Even then, I understand what you're saying.
[01:06:28.193 --> 01:06:34.197]  I think that's part of a temporary step backwards as people get fluoridated and dumbed down and obese and things like that.
[01:06:34.737 --> 01:06:40.701]  But even the dumbest, most propagandized American in that state can't be convinced that the world is flat.
[01:06:40.821 --> 01:06:51.768]  And I really believe that unless that was a universal thing, Alex, unless it was every last man, woman, and child in that state, you know, they can still look to people who are free, who are happier.
[01:06:51.808 --> 01:06:59.492]  And I think this is so important about my message, personally, that being enlightened to these facts means you get to live better as a result, you know?
[01:06:59.532 --> 01:07:03.695]  If being a libertarian means you're going to be miserable, then you shouldn't be doing
[01:07:03.735 --> 01:07:12.240]  I totally agree with you, and I think it's essential that people that are awake, not just watch my show or your show, they go out and be leaders themselves.
[01:07:12.740 --> 01:07:15.082]  That is the absolute essential here.
[01:07:15.502 --> 01:07:17.423]  Leaders by example, by living well.
[01:07:17.963 --> 01:07:19.424]  Let me go back to something here at the end.
[01:07:20.125 --> 01:07:28.410]  Are you noticing, though, that more either police, where the rubber meets the road, and government and the people, collectivism and the individual,
[01:07:29.210 --> 01:07:43.921]  Either they're waking up and withdrawing their consent quietly, because I'm running into a lot of cops that are awake now, more than ever, or they're going more insane, and like I said earlier, now they're going to, without warrant, stick their hands in our bodies?
[01:07:44.222 --> 01:07:52.688]  I mean, this really shows the logical fallacy of government worship, and how have they gotten so whacked out?
[01:07:52.728 --> 01:07:55.030]  What's your take on those videos that are coming out?
[01:07:55.749 --> 01:08:06.079]  Oh man, that is such a deep topic and a very important one, because the relationship of the government with the enforcement class and the general population really does serve as an important indicator about the status of government.
[01:08:06.500 --> 01:08:11.865]  And I think right now, with the size of government, they're able to significantly isolate people from the general population.
[01:08:12.245 --> 01:08:17.246]  But I've thought about this extensively in military terms, being a combat veteran myself.
[01:08:17.706 --> 01:08:24.748]  The only way that you could get troops to go and fire on innocent Iraqis was to dehumanize them, to separate them.
[01:08:25.088 --> 01:08:32.670]  And similarly, the police have to have that kind of mentality in order to commit these atrocities that they commit in the streets of America every single day.
[01:08:33.011 --> 01:08:35.471]  And there is that dehumanization that takes place.
[01:08:35.791 --> 01:08:36.892]  Oh, you're just a citizen.
[01:08:37.052 --> 01:08:38.192]  Oh, you're just a subject.
[01:08:38.252 --> 01:08:38.972]  That kind of thing.
[01:08:39.372 --> 01:08:41.653]  But again, I see the long-term trend here.
[01:08:42.153 --> 01:08:51.896]  Well, there is a step backwards in many ways with the police state as we have it today because the court system, you know, protects corrupt cops, encourages them to lie on the stand.
[01:08:52.536 --> 01:08:56.317]  We have the broader trend of connection with people.
[01:08:56.357 --> 01:08:59.098]  We have the broader trend of police accountability.
[01:08:59.198 --> 01:09:03.839]  I think we're coming to a point where everybody's going to have, you know, if not Google Glass or some equivalent,
[01:09:04.099 --> 01:09:09.582]  They're going to have that in their contact lenses, or embedded in their eyeballs, and it's going to upload their entire lives to the cloud.
[01:09:09.902 --> 01:09:20.427]  And while if it's government that's in charge of that, it's a very dangerous thing, but if it's the people that have that as a means of accountability, I think it's going to go a long way to accountability for police officers.
[01:09:20.467 --> 01:09:31.732]  And if anything, I really do think, Alex, while we might see some individual incidents, I really believe we've hit the high watermark of what individual officers are capable of in America in terms of depravity.
[01:09:32.472 --> 01:09:34.335]  Well, and it's causing a massive debate.
[01:09:34.355 --> 01:09:39.723]  And the power structure should notice, if Congress has a 10% approval rating, the mainstream media is hemorrhaging to death.
[01:09:40.063 --> 01:09:44.330]  Obama's poll numbers with his trendy under 30s is hemorrhaging.
[01:09:44.991 --> 01:09:46.874]  You can see the trend of history towards liberty.
[01:09:47.014 --> 01:09:47.414]  I agree.
[01:09:48.015 --> 01:09:50.077]  I'm stating the big battle is joined.
[01:09:50.097 --> 01:09:54.422]  All forces need to be on the field, not in the bleachers.
[01:09:54.942 --> 01:09:58.065]  This is historic, what is happening right now.
[01:09:58.166 --> 01:10:01.649]  It's an incredible time to be alive.
[01:10:02.350 --> 01:10:04.452]  I appreciate Adam Kokesh.
[01:10:04.472 --> 01:10:05.934]  I appreciate you joining us tonight.
[01:10:06.554 --> 01:10:08.517]  And I look forward to speaking to you in the future.
[01:10:09.017 --> 01:10:11.020]  And I tell you, people can say whatever they want about you.
[01:10:11.040 --> 01:10:15.245]  That's bold to go into Mordor and load that shotgun and do all that.
[01:10:15.285 --> 01:10:25.517]  And I guess you haven't gotten any word yet from the forces of Mordor about your daring as a slave to bring a weapon into their spider hole?
[01:10:26.300 --> 01:10:31.283]  I think they're afraid to give me any more publicity at this point, Alex, but I really appreciate the conversation.
[01:10:31.303 --> 01:10:32.784]  I think this is a very important one.
[01:10:33.144 --> 01:10:35.265]  But I hope when it comes down to it, you'll be in D.C.
[01:10:35.305 --> 01:10:36.206]  next Independence Day.
[01:10:36.246 --> 01:10:52.395]  Again, with or without me, this is going to happen the same March, the same single call, and if it's the only step in my plan, it's still the first step in your plan to abolish the federal government, to have the states secede, reclaim federally held property, and start moving towards justice and eventual self-governance.
[01:10:52.475 --> 01:10:55.757]  Oh, I do think the western states should seize all federal property.
[01:10:56.057 --> 01:11:00.440]  Some states have got like 90% and the federal government doesn't even exist anymore.
[01:11:00.700 --> 01:11:01.741]  So on that we agree.
[01:11:01.801 --> 01:11:07.544]  Let's kick the District of Criminals back to Europe where it came from, back to the New World Order.
[01:11:07.884 --> 01:11:10.226]  Let's kick that hive of scum out of here.
[01:11:10.546 --> 01:11:12.847]  Let's kick the private fellow reserve out.
[01:11:13.148 --> 01:11:15.109]  You want to abolish the private fellow reserve, right?
[01:11:15.769 --> 01:11:16.309]  Absolutely.
[01:11:16.329 --> 01:11:18.170]  Yeah, because I mean, I'm focusing on that.
[01:11:18.230 --> 01:11:23.633]  That's the real amoeba that's entered the political brain, that is the main force behind it.
[01:11:23.813 --> 01:11:26.494]  And after they're gone, listen, I'm happy to get rid of all of it.
[01:11:26.794 --> 01:11:30.876]  Because most Americans have no idea how extensive the influence of the Fed is.
[01:11:31.136 --> 01:11:35.538]  But if they go, well, our money comes from the federal government, well, now we can have money come from state governments.
[01:11:35.598 --> 01:11:37.079]  And that's as much as they think about it.
[01:11:37.539 --> 01:11:38.319]  We can use that.
[01:11:38.379 --> 01:11:39.320]  We can work with that.
[01:11:39.380 --> 01:11:40.620]  We can get that consent.
[01:11:40.660 --> 01:11:42.821]  We can get that consensus from the American public.
[01:11:42.861 --> 01:11:44.002]  Oh, I agree with all the technology.
[01:11:44.002 --> 01:11:44.902]  We need to do something first.
[01:11:59.369 --> 01:12:00.090]  Thank you, Alex.
[01:12:00.550 --> 01:12:01.130]  All right, folks.
[01:12:01.851 --> 01:12:04.413]  That's it for this edition of InfoWars Nightly News.
[01:12:04.733 --> 01:12:05.914]  Great job to the crew.
[01:12:06.355 --> 01:12:10.838]  Great job to you, the supporters and viewers of InfoWars Nightly News.
[01:12:11.139 --> 01:12:14.721]  If you have a PrisonPlanet.tv membership, they're $5.95 a month.
[01:12:14.982 --> 01:12:19.065]  That is 11 people that can use that simultaneously with a username passcode.
[01:12:19.365 --> 01:12:23.709]  If you are a PrisonPlanet.tv member, today, share it with your friends and family.
[01:12:24.369 --> 01:12:25.969]  Ask friends and family, are they using it?
[01:12:26.429 --> 01:12:29.050]  Tell them to go watch the films in high depth that are there.
[01:12:29.390 --> 01:12:31.790]  The expanded extras, we're going to premiere next week.
[01:12:32.831 --> 01:12:35.191]  The documentary, State of Mind.
[01:12:35.671 --> 01:12:36.071]  All of it.
[01:12:36.691 --> 01:12:41.612]  Operation Awaking the Sleeping Giant, use those PrisonPlanet.tv memberships.
[01:12:42.012 --> 01:12:43.032]  I mean, look at my crew.
[01:12:43.312 --> 01:12:47.593]  Look at the incredible still image they had of me in that first tile.
[01:12:47.913 --> 01:12:51.354]  The comedy level of what my crew does, that right there.
[01:12:52.375 --> 01:12:54.299]  It's just off the charts awesome.
[01:12:54.680 --> 01:12:56.324]  So again, gold star for that one.
[01:12:58.462 --> 01:12:59.163]  Unbelievable.
[01:12:59.683 --> 01:13:05.909]  Anyways, ladies and gentlemen, bottom line, becomeaprisonplanet.tv member today.
[01:13:05.949 --> 01:13:18.761]  I want to thank all of you that are members, but if you're watching this on YouTube later, a lot of money was donated by people voting with their dollars to be prisonplanet.tv members over the years to buy books, t-shirts, films, you name it.
[01:13:19.161 --> 01:13:20.903]  Become a member, support us.
[01:13:20.923 --> 01:13:23.045]  We're working our butts off 18 hours a day.
[01:13:23.065 --> 01:13:24.026]  I know I am most days.
[01:13:24.466 --> 01:13:25.647]  to bring you this information.
[01:13:25.927 --> 01:13:27.248]  Go to PrisonPlanet.tv.
[01:13:27.288 --> 01:13:27.808]  Become a member.
[01:13:27.828 --> 01:13:28.909]  It takes one minute to sign up.
[01:13:29.289 --> 01:13:33.872]  Get the July issue with the ten bumper stickers in it to wake people up in your area.
[01:13:34.192 --> 01:13:36.334]  America has been occupied by globalist forces.
[01:13:36.354 --> 01:13:38.615]  You know, bumper stickers like that.
[01:13:38.895 --> 01:13:39.556]  Take action!
[01:13:40.436 --> 01:13:44.017]  Buy the ProPure, best filters out there, 10% off, promo code WATER.
[01:13:44.417 --> 01:13:47.318]  Go to InfowarsStore.com, vote with your dollars.
[01:13:47.358 --> 01:13:51.459]  We're not the criminal globalists and the federal government that come with a gun to your head taking your money.
[01:13:51.839 --> 01:13:56.380]  If you believe in what we're doing and want to help us get the word out, you know we're working the hardest of anybody out there.
[01:13:56.720 --> 01:14:03.782]  Donate, support, buy the products, InfowarsStore.com or call toll free 888-253-3139 and then we're a platform to support all these other
[01:14:06.783 --> 01:14:07.323]  We're good to go.
[01:14:37.472 --> 01:14:38.853]  That's not going to happen until you've done that.
[01:14:38.953 --> 01:14:41.894]  So, again, that's it for this extended edition.
[01:14:41.914 --> 01:14:43.815]  Great job of Paul Watson doing the news segment.
[01:14:44.115 --> 01:14:47.436]  And again, if you're not a PrisonPlanet.tv member, become one today.
[01:14:47.836 --> 01:14:53.078]  If you are not sharing your membership with friends and family, do it!
[01:14:53.759 --> 01:14:54.519]  Put it in an email.
[01:14:54.539 --> 01:14:56.560]  Say, here's your free membership to PrisonPlanet.tv.
[01:14:59.232 --> 01:15:00.613]  Go check out these films now.
[01:15:01.013 --> 01:15:02.593]  And that's how we're going to reach more people.
[01:15:02.653 --> 01:15:03.434]  It is so easy.
[01:15:03.834 --> 01:15:05.795]  Print up your username and passcode on cards.
[01:15:06.075 --> 01:15:07.075]  Give it to friends and family.
[01:15:07.375 --> 01:15:12.097]  And then if 11 people start tuning in at once, and you can't log on, go, thank God!
[01:15:13.238 --> 01:15:13.698]  Wow!
[01:15:13.858 --> 01:15:15.819]  I've got 11 people watching the show!
[01:15:16.159 --> 01:15:18.160]  And go get another 595 membership.
[01:15:18.440 --> 01:15:20.021]  Keep it for yourself or share it as well.
[01:15:21.519 --> 01:15:24.623]  It's incredible what you can do by you taking action.
[01:15:24.903 --> 01:15:28.668]  The individual is king when the individual stands up.
[01:15:28.988 --> 01:15:33.514]  Alex Jones signing off for another edition of InfoWars Nightly News.
[01:15:57.051 --> 01:16:02.298]  Now you can watch the Alex Jones Show live as it happens at InfoWars.com slash show.
[01:16:02.658 --> 01:16:07.725]  You'll find links to all of our content there and a free 15 day trial for Prison Planet TV.
[01:16:08.226 --> 01:16:14.013]  More than 60 movies and documentaries all in one place at InfoWars.com slash show.
