[00:00:00.109 --> 00:00:00.469]  Brother.
[01:36:42.978 --> 01:36:45.881]  And that's how they are now going to be known.
[01:36:46.662 --> 01:36:48.944]  We saw them confiscate guns after Katrina.
[01:36:49.385 --> 01:36:52.248]  Please don't think that, oh, my government wouldn't do that.
[01:36:52.648 --> 01:36:54.370]  They already have done that.
[01:36:54.851 --> 01:37:04.361]  And so that's why this battle is so crucial and why supporting something like Steve Stockman's bill, he's the representative from outside of Houston.
[01:37:05.342 --> 01:37:05.902]  We're good to go.
[01:37:21.804 --> 01:37:22.185]  Larry!
[01:37:44.719 --> 01:37:45.739]  Here's my issue.
[01:37:46.079 --> 01:37:52.981]  You've been able to stop, with Gun Owners of America, a lot of legislation when the NRA was sold out, you know, a decade ago.
[01:37:53.021 --> 01:37:55.202]  They've gotten a little bit better because of pressure and your pressure.
[01:37:55.822 --> 01:37:56.522]  And that's a good thing.
[01:37:56.562 --> 01:37:59.723]  As Ron Paul said, you're the only non-compromised gun lobby in Washington.
[01:37:59.743 --> 01:38:05.365]  There's a lot of other great state groups and others, but, I mean, you guys are the ones that are really scientifically on it, historically.
[01:38:05.945 --> 01:38:07.506]  But see, they're over the top.
[01:38:07.566 --> 01:38:08.387]  They're taking over.
[01:38:08.407 --> 01:38:09.588]  They're saying we're terrorists.
[01:38:09.848 --> 01:38:10.889]  They're saying we're horrible.
[01:38:10.929 --> 01:38:12.651]  They're saying we're culpable for dead kids.
[01:38:13.231 --> 01:38:16.034]  They're doing all this while butchering the rest of the Bill of Rights.
[01:38:16.054 --> 01:38:17.135]  They're going for it all.
[01:38:17.975 --> 01:38:21.659]  And I think we have a tendency to hold back.
[01:38:23.177 --> 01:38:29.240]  Because of this idea that, oh, it's mainstream, you know, to be genteel about this and to not go all the way.
[01:38:29.280 --> 01:38:33.543]  But there's no way to not call it what it is.
[01:38:34.543 --> 01:38:37.905]  And they are a pack of lying criminals that want to disarm us, to enslave us.
[01:38:38.085 --> 01:38:40.046]  We have a map we'll put on the TV screen for listeners.
[01:38:40.066 --> 01:38:42.267]  I'll have this posted on Infowars.com.
[01:38:42.747 --> 01:38:44.468]  FBI statistics for gun violence.
[01:38:44.488 --> 01:38:46.149]  And then it says 2012 voting pattern.
[01:38:47.890 --> 01:38:51.953]  And the crime is all in the Democratic blue areas.
[01:38:52.053 --> 01:38:53.334]  I mean, they are criminals.
[01:38:53.374 --> 01:38:54.395]  They are a criminal culture.
[01:38:54.675 --> 01:38:55.736]  I'm not even a Republican.
[01:38:55.776 --> 01:38:56.877]  They're the Democrat light.
[01:38:57.337 --> 01:39:04.483]  My point is, look at the Akron findings, where they go into every other Akron and they're like, yeah, we want sex slave children.
[01:39:05.023 --> 01:39:06.104]  You want to make some cash?
[01:39:06.665 --> 01:39:14.551]  I mean, it's just these people are gangs of lawless lunatics with moron camp followers on welfare behind them.
[01:39:15.311 --> 01:39:17.132]  And they mean to have a war.
[01:39:17.172 --> 01:39:18.313]  They're training for war with us.
[01:39:18.573 --> 01:39:22.836]  There should be a congressional hearing over Obama's new army manual.
[01:39:22.856 --> 01:39:24.797]  Guys, put up army manual, gun confiscation.
[01:39:25.198 --> 01:39:29.501]  In it, it talks about getting our social security numbers, taking our guns, putting us in FEMA centers.
[01:39:30.141 --> 01:39:34.164]  But it sounds so radical when it's the new army manual that's public.
[01:39:34.404 --> 01:39:35.845]  This isn't even classified.
[01:39:36.085 --> 01:39:44.190]  I mean, this is red alert, run down the street with your hair on fire, like Paul Revere saying, the New World Order red coats are here.
[01:39:44.471 --> 01:39:45.091]  They ain't coming.
[01:39:46.332 --> 01:39:54.937]  Fast and Furious already took place, and it only stopped when, to the government's surprise, we managed to find out about what they were doing.
[01:39:55.498 --> 01:40:09.447]  Over 400 dead Mexicans that we know of so far connected with those guns, and a couple of our federal agents murdered by people using Fast and Furious guns, and it just drives me
[01:40:10.222 --> 01:40:10.963]  No, the criminal is...
[01:40:27.643 --> 01:40:39.792]  What do you think of Snoop Dogg with all of his drug arrests and convictions and murder arrests and plea bargains and all the gun arrests saying we need to all turn our guns in?
[01:40:39.832 --> 01:40:43.715]  I mean, guaranteed Snoop isn't going to turn in his illegal guns.
[01:40:43.755 --> 01:40:47.618]  By the way, it's internment and resettlement operations FM 3-3940.
[01:40:47.658 --> 01:40:49.300]  Folks, read it and weep.
[01:40:49.360 --> 01:40:50.581]  February 2010.
[01:40:50.821 --> 01:40:56.085]  I mean, I'm just sick of these people in my face, criminals, saying turn my gun in.
[01:40:56.425 --> 01:40:57.386]  You first, criminal!
[01:40:57.666 --> 01:40:58.227]  Go ahead, I'm sorry.
[01:40:59.749 --> 01:41:05.615]  Well, I think we might ought to ask the government to start turning in their guns, because they don't put them to very good use.
[01:41:06.936 --> 01:41:16.186]  This is just... And if they really think that guns are the problem, if that's what Mayor Bloomberg, for example, thinks is the problem, then you and I need to be disarmed.
[01:41:16.626 --> 01:41:16.847]  Mayor,
[01:41:17.547 --> 01:41:25.777]  I'll give some credence to your argument and I'll consider it when I see you tell the bodyguards that you've got to go on home.
[01:41:25.797 --> 01:41:27.399]  You're not going to need them anymore.
[01:41:28.100 --> 01:41:35.369]  No more armed men around you, no sirree, because we know that guns only make it likely that there's going to be more violence.
[01:41:35.629 --> 01:41:36.129]  Absolutely.
[01:41:36.169 --> 01:41:40.171]  In closing, Larry Pratt, I asked the question before the break and digressed after we came back.
[01:41:40.672 --> 01:41:43.413]  What do you think is going to happen if they succeed?
[01:41:44.033 --> 01:41:58.040]  And clearly their plan is to then persecute gun owners and nickel and dimes and misapply gun statutes like the ATF does, where a guy's AR-15 M4 misfires and shoots three bullets in front of everybody.
[01:41:58.100 --> 01:42:01.241]  It's a military veteran, no criminal record, and they throw him in prison.
[01:42:01.662 --> 01:42:03.863]  I mean, clearly they want to persecute us.
[01:42:04.724 --> 01:42:06.526]  As a litmus test, they hate our guts.
[01:42:06.947 --> 01:42:09.611]  Being criminals, you have that criminal instinct to go after good men.
[01:42:09.631 --> 01:42:11.534]  I mean, what's going to happen?
[01:42:11.554 --> 01:42:12.996]  Because it's not just me.
[01:42:13.016 --> 01:42:15.680]  A lot of others are saying this is going to become a civil war.
[01:42:16.340 --> 01:42:19.802]  This can only happen if the Republicans let it happen.
[01:42:20.522 --> 01:42:28.385]  And if they think they're going to be immune from consequences at the polls, I think they're making a very serious political mistake.
[01:42:28.966 --> 01:42:34.188]  There's a more conservative constituency voting in this off year coming up.
[01:42:34.668 --> 01:42:37.530]  The drones tend to come out more for the presidential election.
[01:42:38.050 --> 01:42:42.292]  But the producers and the more conservative people are going to be voting.
[01:42:43.232 --> 01:42:44.933]  There's going to be primaries.
[01:42:45.709 --> 01:42:59.877]  And believe me, we're going to be looking for credible primary opponents to each and every one of these Republicans that votes wrong, that votes to basically do away with the Second Amendment and to infringe away.
[01:42:59.897 --> 01:43:03.879]  This is serious stuff and this will have consequences.
[01:43:03.960 --> 01:43:07.401]  Before this goes to blows like Bunker Hill, that's what they're looking for.
[01:43:08.562 --> 01:43:22.458]  I'm going to use every means necessary that's non-violent, and if that means picketing, if that means bullhorning, if that means a politician that's anti-gun, if I can sue them for something else they're doing wrong, I mean, I'm pulling out the stops, okay?
[01:43:23.602 --> 01:43:32.729]  I mean, I personally am going to start, you know, frequenting bars that anti-gun city council people stay at, and I'm going to catch them with a hooker.
[01:43:33.049 --> 01:43:36.532]  I mean, I'm running counter-terrorism against them.
[01:43:36.632 --> 01:43:37.572]  I'm turning it loose.
[01:43:37.893 --> 01:43:41.836]  It's time to get, do what the Veritas Project does, or Project Veritas.
[01:43:42.216 --> 01:43:43.877]  I mean, because let me tell you, I know these people.
[01:43:44.397 --> 01:43:45.338]  All of them are crooks.
[01:43:45.418 --> 01:43:48.060]  I'm telling you, 99% of these globalists are crooks.
[01:43:48.500 --> 01:43:51.663]  And if we just start, get them on anything we can.
[01:43:51.943 --> 01:43:54.064]  Larry, this is all out war, is it not?
[01:43:55.764 --> 01:44:00.066]  They're declaring it, so they shouldn't be surprised if it actually happens.
[01:44:00.146 --> 01:44:04.528]  I guess they figure that they've been used to getting away with a lot of stuff.
[01:44:06.148 --> 01:44:08.049]  I think that's going to be coming to an end now.
[01:44:08.229 --> 01:44:12.811]  I've never seen people this upset this long.
[01:44:14.091 --> 01:44:17.232]  Not even after a Columbine, when they were in our face pretty bad.
[01:44:17.292 --> 01:44:20.413]  They're not upset, they're probably staging and all, and they stage Fast and Furious.
[01:44:21.074 --> 01:44:29.596]  Well, it's going to be serious stuff, so I think they'd better consider what they're doing.
[01:44:30.517 --> 01:44:33.898]  I know that the servers on Capitol Hill have been
[01:44:35.872 --> 01:44:36.492]  Breaking down.
[01:44:36.572 --> 01:44:40.893]  There's been so much contact coming in from us Roots.
[01:44:41.693 --> 01:44:43.133]  And they disregard that at their peril.
[01:44:43.153 --> 01:44:46.474]  Well, what do you make of all the FBI and Secret Service and federal marshals?
[01:44:46.574 --> 01:44:50.255]  Feds have been speaking out and quitting like Bongino and so many others.
[01:44:50.495 --> 01:44:53.935]  They're really getting, wow, bad guys are really running the federal government.
[01:44:53.955 --> 01:44:55.015]  I mean, this is really bad.
[01:44:55.696 --> 01:44:58.176]  And what, there's a flip side to that too.
[01:44:58.236 --> 01:45:04.117]  Those that are in, like the Bonginos of the world, these are guys that are highly trained
[01:45:05.104 --> 01:45:11.008]  And if they're not going along with the program, they're your worst enemy, Mr. Administration.
[01:45:12.769 --> 01:45:14.150]  History is repeating itself.
[01:45:14.230 --> 01:45:20.194]  We have front row seats to trying to stop basically Hitler in 1935 or so after he's already in.
[01:45:20.234 --> 01:45:22.736]  And again, I know Romney was a globalist.
[01:45:22.796 --> 01:45:24.097]  Romney basically rolled over.
[01:45:24.117 --> 01:45:25.298]  It was all pretty much staged.
[01:45:25.678 --> 01:45:27.219]  But I got to tell you, I mean...
[01:45:28.780 --> 01:45:33.863]  You know, I've been critical of all these groups, but I'm telling you, Obama is so much worse than I even thought.
[01:45:33.983 --> 01:45:47.091]  And, I mean, the fact that they're just going for it, and shutting our power plants down, and I mean, they're trying to, it's not rhetoric, they're trying to bring America down to collectivize us, like Mao Zedong did in China.
[01:45:47.391 --> 01:45:49.312]  I mean, these, and they all quote Mao Zedong!
[01:45:49.592 --> 01:45:50.953]  They say our kids belong to them!
[01:45:50.993 --> 01:45:53.895]  I mean, they're flaming authoritarian dirtbags!
[01:45:54.676 --> 01:45:57.241]  They're tearing down dams in the West.
[01:45:57.281 --> 01:46:03.673]  They want to rewild the country, kind of like Romania, move us all into large
[01:46:04.506 --> 01:46:09.047]  I mean I'm gonna be honest with you ladies and gentlemen, I mean this is just freaking me out.
[01:46:32.691 --> 01:46:38.074]  Because all I do is watch these liars lie and use dead kids and everything else when they all know full well.
[01:46:38.354 --> 01:46:48.580]  And then, if you're not a TV viewer, we just showed the map of everywhere that the socialists are in control in America, and that's where the crime rate is 2, 3, 4, 5 times.
[01:46:51.018 --> 01:46:54.660]  And then they spin it going, well, we do need to take all the guns in the urban areas.
[01:46:54.680 --> 01:46:55.561]  That's where the crime is.
[01:46:55.581 --> 01:47:02.464]  That's because that's where you've got all the people from countries that never had a Second Amendment who were domesticated and roll over to crime.
[01:47:02.785 --> 01:47:04.525]  And that's where you've got the corrupt police forces.
[01:47:04.606 --> 01:47:05.906]  And that's where it is.
[01:47:05.926 --> 01:47:09.728]  I mean, Mexico has the highest crime rate in the world.
[01:47:10.249 --> 01:47:12.070]  And notice everywhere on the Mexico-U.S.
[01:47:12.110 --> 01:47:14.031]  border has the highest crime rate.
[01:47:14.071 --> 01:47:15.992]  If you go pull up the numbers.
[01:47:17.533 --> 01:47:19.634]  Just type in FBI statistics for gun violence.
[01:47:21.266 --> 01:47:27.047]  Actually, put the URL up on screen for TV viewers so I can give that to them, or ask Kurt Nemo and Adon Salazar to post that.
[01:47:27.267 --> 01:47:31.188]  If you wanted to fix Mexico, at first it'd be like, you know, getting over a bad flu.
[01:47:31.228 --> 01:47:32.108]  There'd be a high fever.
[01:47:32.528 --> 01:47:34.408]  You would arm everybody in Mexico.
[01:47:34.768 --> 01:47:43.790]  Get rid of all gun laws, and that's all... There's a few dozen cities that have had their crime rates drop, because citizens finally got guns, probably legally from the U.S.
[01:47:43.870 --> 01:47:47.070]  and Mexico, and they have vigilante squads, and the crime rates have imploded.
[01:47:47.511 --> 01:47:49.771]  The criminals only come in when they know they're not going to be opposed.
[01:47:51.052 --> 01:47:52.554]  That's government criminals and others.
[01:47:54.716 --> 01:48:05.246]  They've got all these Mormon communities down in Mexico, where they just have guns illegally, and they've told the police, and they've told the military, and they've told the cartels the same thing.
[01:48:05.506 --> 01:48:06.347]  We're ready for war.
[01:48:06.467 --> 01:48:07.108]  Leave us alone.
[01:48:07.388 --> 01:48:07.989]  Don't come in.
[01:48:08.089 --> 01:48:10.031]  And they've been in control of those areas for a few years.
[01:48:10.351 --> 01:48:11.693]  Crime rate has just disappeared.
[01:48:12.734 --> 01:48:22.418]  And because they have, you know, the men, like, you know, well, it's your night to stay up all night up there at the sharp shooting positions with the Barrett .50 Cal and the night vision.
[01:48:24.518 --> 01:48:31.741]  I mean, you've got four or five watchmen in a town of thousands of people and the criminals stop showing up because they know there's somebody there with a gun on them.
[01:48:32.141 --> 01:48:34.542]  I mean, this is not rocket science, ladies and gentlemen.
[01:48:35.142 --> 01:48:35.382]  Okay?
[01:48:35.402 --> 01:48:39.464]  They've taken all the guns in Mexico from the people hundreds of years ago.
[01:48:40.922 --> 01:48:43.423]  And now you, I mean, it's just amazing.
[01:48:43.503 --> 01:48:44.263]  It is amazing.
[01:48:44.283 --> 01:48:46.884]  And I said I'd get into the Globalist Master Plan.
[01:48:48.584 --> 01:48:53.225]  And I even recorded some notes this morning, points I wanted to make in the middle of the night, and all of it.
[01:48:53.285 --> 01:48:54.626]  And I covered some of it in the first hour.
[01:48:54.666 --> 01:48:55.346]  I'll have to do it.
[01:48:55.966 --> 01:49:01.308]  I'll have to do it in overdrive today after Shooter Jennings leaves.
[01:49:02.628 --> 01:49:04.228]  Or I'll have to do it tomorrow on the air.
[01:49:04.548 --> 01:49:06.429]  And I don't procrastinate covering this.
[01:49:07.918 --> 01:49:12.920]  It's just the magnitude is so great that I just... I need to do a special report or something.
[01:49:15.121 --> 01:49:22.004]  And again, I just want to ask listeners to pray for this show because the globalists are radical in their attack because they know that's how they take over.
[01:49:22.385 --> 01:49:24.686]  We have to, quote, be radical in our counter response.
[01:49:24.986 --> 01:49:25.766]  It's not radical.
[01:49:26.446 --> 01:49:27.247]  You see, they lie to you.
[01:49:27.367 --> 01:49:28.807]  Normal response they call radical.
[01:49:28.847 --> 01:49:30.748]  They go, don't be like Alex Jones.
[01:49:31.088 --> 01:49:32.029]  That's discrediting.
[01:49:32.249 --> 01:49:34.010]  And the people are so mindless, they go, oh,
[01:49:34.790 --> 01:49:39.153]  I better be soft-spoken and say, maybe you shouldn't take our guns.
[01:49:39.193 --> 01:49:41.274]  You know, have you seen the statistics?
[01:49:41.815 --> 01:49:43.175]  Guns lower the crime rate.
[01:49:43.636 --> 01:49:44.636]  Shut up, baby killer!
[01:49:44.656 --> 01:49:48.119]  You killed the kids at Newtown when they're the ones that want to kill babies up to age three.
[01:49:48.559 --> 01:49:50.320]  They're the ones trying to abort as many babies as they can.
[01:49:50.920 --> 01:49:51.901]  They're a death cult.
[01:49:51.941 --> 01:49:53.002]  They're sick freaks.
[01:49:53.042 --> 01:49:53.842]  They're scum.
[01:49:54.043 --> 01:49:54.883]  They're trash.
[01:49:55.083 --> 01:49:55.964]  They're garbage.
[01:49:57.425 --> 01:49:59.686]  And every day I think about how I've got to risk my life.
[01:49:59.746 --> 01:50:00.527]  Believe me, I am.
[01:50:00.647 --> 01:50:02.288]  And my family and everything.
[01:50:04.321 --> 01:50:06.283]  Because we cannot let them take over!
[01:50:07.464 --> 01:50:11.168]  And again, it's not because any of us that are fighting tyranny are heroes or anything.
[01:50:11.569 --> 01:50:13.110]  Folks, it's because it's in our gut.
[01:50:15.993 --> 01:50:21.900]  Yeah, we actually have an FBI graphic you guys can even show that's in the computer that goes through it and breaks it down and shows the numbers 49% drop.
[01:50:29.329 --> 01:50:30.710]  By the way, the crew does a great job.
[01:50:30.730 --> 01:50:34.454]  I get so focused on fighting the new world war, I'm like, get that document, get this document.
[01:50:34.494 --> 01:50:39.679]  And I think over the years, not my crew now, but some people have thought I'm like mad at them because I'm so craved.
[01:50:40.540 --> 01:50:41.881]  I'm craved, not craven.
[01:50:43.162 --> 01:50:47.407]  And I just, I mean, I just, I'm trying to stop Lenin before he takes power.
[01:50:47.447 --> 01:50:51.551]  I mean, I, I mean, or Lenin's in charge, but he hasn't secured the whole country yet.
[01:50:51.951 --> 01:50:53.272]  You know, it took him a decade.
[01:50:53.432 --> 01:50:53.613]  I mean,
[01:50:59.130 --> 01:51:00.771]  Curious about what comes next?
[01:51:01.551 --> 01:51:07.755]  Next is the feeling of vulnerability you get after you arrive home to discover your house has been ransacked by burglars.
[01:51:08.235 --> 01:51:11.277]  Fool the bad guys with a new improved fake TV.
[01:51:11.617 --> 01:51:17.881]  You asked for it, we listened, and we made our new fake TV three times brighter than our previous model.
[01:51:18.101 --> 01:51:21.443]  The brightness of our new fake TV is equivalent to a 40-inch TV.
[01:51:22.163 --> 01:51:26.964]  It simulates the color and motion of a real TV while you're away from home.
[01:51:27.485 --> 01:51:33.606]  And when burglars think someone is home watching television, they're likely to pass your house and move on to an easier target.
[01:51:33.946 --> 01:51:38.368]  The new Brighter Fake TV is only $39.95 and includes free shipping.
[01:51:38.768 --> 01:51:41.448]  Go to faketv.com or call 1-877-5-FAKE-TV.
[01:51:41.488 --> 01:51:41.789]  That's 877-532-5388.
[01:51:41.849 --> 01:51:43.209]  Or go to faketv.com.
[01:51:52.272 --> 01:51:55.716]  Hello, I'm Alex Jones.
[01:51:55.976 --> 01:52:06.426]  Myself, my family, the Infowars.com team want to relay to you and your families that we are intensifying our efforts against the globalists on every front.
[01:52:06.646 --> 01:52:10.810]  Infowars.com is leading the fight against the technocrats.
[01:52:11.110 --> 01:52:13.593]  But we can't do that without your help.
[01:52:13.853 --> 01:52:14.934]  By getting the films,
[01:52:15.174 --> 01:52:18.216]  Bumper stickers and t-shirts at Infowars.com.
[01:52:18.376 --> 01:52:24.680]  You will wake up people in your area and support our operation as we move to the next level.
[01:52:25.100 --> 01:52:28.362]  We need your help to spread the word like never before.
[01:52:28.602 --> 01:52:34.225]  They wish to hide themselves during this tectonic battle between the forces of freedom and darkness.
[01:52:34.745 --> 01:52:44.171]  You are the response to the globalist technocrats and their program of global eugenics dehumanization and ultimate extermination.
[01:52:44.631 --> 01:52:45.792]  The war is here.
[01:52:46.133 --> 01:52:47.534]  It's an info war.
[01:52:48.015 --> 01:52:49.756]  The spirit of 1776 versus the mindset of 1984.
[01:52:54.844 --> 01:52:57.505]  The coming financial collapse is real.
[01:52:57.885 --> 01:53:00.627]  The subsequent social unrest will happen.
[01:53:01.087 --> 01:53:05.048]  Even if you made it out of suburbia alive, where would you take your family?
[01:53:05.549 --> 01:53:13.152]  Act now to secure your survival retreat in the American Redoubt with the experts at survivalretreatconsulting.com.
[01:53:13.512 --> 01:53:19.635]  The American Redoubt is the designated safe haven for all liberty-minded patriots relocating to Idaho.
[01:53:19.915 --> 01:53:21.456]  Montana and Wyoming.
[01:53:21.776 --> 01:53:24.939]  Get eyes, ears, and boots on the ground.
[01:53:25.219 --> 01:53:28.061]  Get professional, confidential, discreet advice.
[01:53:28.422 --> 01:53:31.424]  Get survivalretreatconsulting.com.
[01:53:31.784 --> 01:53:33.866]  Call 208-627-2855.
[01:53:33.946 --> 01:53:44.014]  Save time, money, and stress while you secure your ultimate survival retreat property now, before it's too late.
[01:53:44.614 --> 01:53:44.934]  Water.
[01:53:45.555 --> 01:53:45.975]  Energy.
[01:53:45.995 --> 01:53:46.815]  Food.
[01:53:47.316 --> 01:53:47.776]  Defense.
[01:53:48.156 --> 01:53:49.897]  SurvivalRetreatConsulting.com
[01:54:08.898 --> 01:54:13.543]  Everybody knows I'm a big Waylon Jennings fan and I'm also a big fan of his son, Shooter Jennings.
[01:54:14.143 --> 01:54:16.907]  I've never met in person, talked to him on the phone quite a bit.
[01:54:18.729 --> 01:54:23.931]  Of course, a lot of his music's been used in a film like Police State 4, The Rise of FEMA.
[01:54:24.011 --> 01:54:29.834]  But, I mean, to meet him in person, it's like he looks even a lot more like his dad in person than he does even in his photographs.
[01:54:30.114 --> 01:54:32.074]  It's like, it's amazing.
[01:54:32.515 --> 01:54:35.816]  I don't get Star Trek over just regular, you know, like anybody who's a celebrity.
[01:54:36.076 --> 01:54:37.057]  I like people I admire.
[01:54:37.337 --> 01:54:43.219]  I can't tell you how many mornings we've cooked breakfast with our kids, or back when I was a kid, listening to Waylon Jennings and people.
[01:54:43.239 --> 01:54:44.460]  I mean, I just love Waylon Jennings.
[01:54:45.620 --> 01:54:53.845]  Shooter Jennings is here coming in studio at the 5 after break in the next hour to talk about fighting the New World Order, and he's kicking his nationwide tour off right here today.
[01:54:53.865 --> 01:54:56.627]  He's going to be outside Austin playing tonight.
[01:54:56.947 --> 01:55:09.995]  Okay, let's go to the man who was on with us Tuesday and said he predicts an imminent Bitcoin crash, and it went from 260-something down to 100 in just an hour, just as he predicted.
[01:55:10.015 --> 01:55:13.578]  And I added the prediction that it would bounce back up, which it did partially.
[01:55:14.699 --> 01:55:22.708]  So joining us via Skype for this segment and the next is Mike Adams from his farm, from his extremist compound.
[01:55:23.969 --> 01:55:29.256]  Mike Adams, I mean you called it, some are saying that we actually caused it, I say Boulder Dash.
[01:55:30.237 --> 01:55:31.538]  Hi Alex, thanks for having me on.
[01:55:31.558 --> 01:55:33.099]  There's no way that we caused this.
[01:55:33.159 --> 01:55:39.683]  I mean, even if we did, then that would mean the currency is so weak that it was a joke to begin with.
[01:55:40.023 --> 01:55:44.146]  We couldn't have caused it just by predicting a crash would happen at some future date.
[01:55:44.166 --> 01:55:51.551]  But it is true that on your show, you and I predicted, we called it 100% accurate that a disastrous crash was coming.
[01:55:51.611 --> 01:55:54.993]  It happened less than 24 hours later, crashing from $2.66 down to $1.05.
[01:55:56.994 --> 01:56:01.757]  But the real story here is that I believe this was an attack by central bankers.
[01:56:02.458 --> 01:56:04.639]  I believe, this is my personal belief.
[01:56:04.659 --> 01:56:06.400]  Well you predicted that too on the air.
[01:56:06.801 --> 01:56:07.741]  Yes I did, yes I did.
[01:56:07.841 --> 01:56:09.743]  It unfolded exactly as we talked about.
[01:56:10.957 --> 01:56:15.822]  There is a user out there called Bitcoin Billionaire who dumped bitcoins onto the market.
[01:56:16.723 --> 01:56:25.451]  I believe this was a probe attack by the central bankers to determine what's called the buoyancy, the resilience, of the bitcoin price support.
[01:56:25.971 --> 01:56:35.480]  By dumping a predetermined amount into the market and watching how much it crashes, they can then calculate the amount needed to crash it down to any desired target level.
[01:56:36.201 --> 01:56:46.288]  So I believe this was a central banker probe attack that could be followed by a disastrous crash, which could be accomplished with less than $1 million in capital.
[01:56:46.609 --> 01:56:49.791]  That's how vulnerable Bitcoin is to market manipulations.
[01:56:50.431 --> 01:56:59.198]  The other important point here, Alex, is that the volatility of Bitcoin now proves that no large merchant will ever accept this currency.
[01:56:59.858 --> 01:57:03.139]  So, Bitcoin has failed as an experiment.
[01:57:03.479 --> 01:57:04.480]  I'm sad to say that.
[01:57:04.580 --> 01:57:14.063]  I wanted it to work, but I have to admit it has failed in terms of a usable currency that large-scale merchants like Amazon.com would theoretically accept.
[01:57:14.424 --> 01:57:22.807]  They won't touch it now because the one-day volatility is now over 50%, even 60%, meaning that merchants can't trust it as a currency.
[01:57:23.507 --> 01:57:28.590]  That means that Bitcoin's only use, real use, is to buy and sell Bitcoins.
[01:57:28.991 --> 01:57:30.552]  Which means it's a speculative bubble.
[01:57:31.132 --> 01:57:39.278]  And it means that those people who are now pushing and hyping Bitcoins are really, in my opinion, engaged in what can only be called the Bitcoin cult, Alex.
[01:57:40.458 --> 01:57:41.619]  It doesn't make rational sense anymore.
[01:57:41.639 --> 01:57:42.419]  You heard it at first.
[01:57:42.479 --> 01:57:43.780]  The Bitcoin.
[01:57:44.080 --> 01:57:44.880]  It was cultish.
[01:57:44.900 --> 01:57:46.521]  I've been out on the street like six months ago.
[01:57:46.541 --> 01:57:47.562]  They're like, you've got to cover this.
[01:57:47.802 --> 01:57:48.682]  It's the greatest thing ever.
[01:57:48.882 --> 01:57:49.683]  It will bring them down.
[01:57:49.703 --> 01:57:51.383]  And I'm like, but they'll just short.
[01:57:51.583 --> 01:57:54.365]  I mean, I mean, they're suppressing gold while they hoard it and buy it.
[01:57:55.005 --> 01:57:56.346]  And people say, well, that's a gold cult.
[01:57:56.406 --> 01:57:57.986]  No, the elite are the ones buying that.
[01:57:58.727 --> 01:58:02.288]  But I mean, again, I like the idea of this type of free currency.
[01:58:02.608 --> 01:58:06.730]  The problem is whatever's big and whatever comes out first, the enemy is going to try to blow it up.
[01:58:07.051 --> 01:58:07.911]  That's the basic warning.
[01:58:08.231 --> 01:58:12.052]  It's super easy for the central banks to manipulate it, to crash it, to discredit it.
[01:58:12.392 --> 01:58:17.474]  And the main Bitcoin exchange has now frozen all transactions for 12 hours.
[01:58:17.794 --> 01:58:19.575]  It's a Bitcoin bank holiday, Alex!
[01:58:20.495 --> 01:58:22.375]  A Bitcoin bank holiday.
[01:58:22.775 --> 01:58:24.316]  But you're bad because you're right.
[01:58:25.176 --> 01:58:26.076]  Bad Mike Adams!
[01:58:26.277 --> 01:58:27.297]  Bad, bad, bad!
[01:58:27.697 --> 01:58:29.217]  Start getting it wrong all the time.
[01:58:29.237 --> 01:58:33.079]  We'll give you an MSNBC show or a CNBC show to talk to nobody.
[01:58:35.419 --> 01:58:37.140]  You are listening to GCN.
[01:58:38.939 --> 01:58:41.108]  Visit GCNlive.com today!
[01:58:46.957 --> 01:58:54.623]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[01:58:55.063 --> 01:58:58.686]  Alex and his staff have used these pure soap products for years.
[01:58:59.126 --> 01:59:05.951]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[01:59:06.452 --> 01:59:09.254]  See them on the web at 5starsoap.com.
[01:59:09.474 --> 01:59:13.958]  Or call 800-340-7091 for a free catalog.
[01:59:14.298 --> 01:59:19.962]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[01:59:20.243 --> 01:59:25.347]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[01:59:25.647 --> 01:59:27.268]  This is an amazing deal.
[01:59:27.629 --> 01:59:32.232]  You can save thousands of dollars and you will love the way real soap makes you feel.
[01:59:32.873 --> 01:59:35.335]  See them on the web at 5starsoap.com
[01:59:35.595 --> 01:59:36.315]  Or call 800-340-7091 for a free catalog.
[01:59:59.537 --> 02:00:03.740]  Big Brother, Mainstream Media, Government Cover-Ups.
[02:00:04.381 --> 02:00:05.181]  You want answers?
[02:00:05.962 --> 02:00:06.903]  Well, so does he.
[02:00:07.503 --> 02:00:11.166]  He's Alex Jones on the GCN Radio Network.
[02:00:11.707 --> 02:00:15.770]  And now, live from Austin, Texas, Alex Jones.
[02:00:24.787 --> 02:00:28.411]  All right, right outside that door is Shooter Jennings, amazing new album out.
[02:00:28.471 --> 02:00:29.672]  I'm telling you, he's just phenomenal.
[02:00:31.053 --> 02:00:32.574]  Certainly a chip off the old block.
[02:00:33.736 --> 02:00:35.297]  And we're going to be talking to him in studio.
[02:00:35.357 --> 02:00:39.541]  I'll also give you the latest updates that are up at DrudgeReport.com when we come back in the next segment.
[02:00:40.402 --> 02:00:43.685]  I mean, Biden has thanked MSNBC for helping destroy the Second Amendment.
