[00:00:00.280 --> 00:00:09.607]  Ladies and gentlemen, you saw, you heard the broadcast title today of the Alex Jones Show.
[01:31:13.865 --> 01:31:15.346]  It's vitamin D3 taken out of the tongue.
[01:31:15.646 --> 01:31:17.927]  It's the highest quality organic vitamin D3 for your immune system.
[01:31:18.128 --> 01:31:20.189]  People say, well why does it say sweetener on the back?
[01:31:20.809 --> 01:31:23.670]  Regular true organic vitamin D3 tastes sweet.
[01:31:23.991 --> 01:31:25.371]  People say, yeah that's crazy.
[01:31:25.912 --> 01:31:28.373]  Just like our Ultra 12, highest quality B12.
[01:31:28.593 --> 01:31:30.114]  People say, why does it taste sweet?
[01:31:30.734 --> 01:31:33.695]  Well, because real organic B12 tastes sweet.
[01:31:34.195 --> 01:31:36.275]  So, you've got to experience this for yourself.
[01:31:36.375 --> 01:31:39.476]  I personally put up my mineral water and drink them together to make sure I get them.
[01:31:39.676 --> 01:31:42.996]  If you want even higher absorption, put it under your tongue, let it sit there for about a minute.
[01:31:43.036 --> 01:31:54.718]  But where you also know you're getting results is keeping this broadcast on air and letting us get around the sensors and letting us diversify and decentralize in a lot of ways that a lot of folks were working with.
[01:31:55.058 --> 01:31:58.719]  And so, look for InfoWars to expand in this critical time under ATT&CK.
[01:31:59.179 --> 01:31:59.940]  On the other side.
[01:31:59.960 --> 01:32:01.463]  All right, we'll tell you our guest story.
[01:32:01.823 --> 01:32:07.112]  It's pretty amazing when we come back and get some of his censored comedy straight ahead with Derek Richards.
[01:32:07.212 --> 01:32:07.793]  We'll be right back.
[01:32:09.475 --> 01:32:10.577]  You talk about creepy.
[01:32:10.617 --> 01:32:13.241]  Yesterday we played video of a teacher saying to the students...
[01:32:14.417 --> 01:32:16.078]  You're killing people not wearing masks.
[01:32:16.098 --> 01:32:16.618]  You're bad.
[01:32:16.658 --> 01:32:17.258]  You're evil.
[01:32:17.678 --> 01:32:23.401]  Well, now a new creepy video has come out showing a teacher making toddlers sing pro-mask nursery rhymes.
[01:32:24.001 --> 01:32:28.943]  Yeah, we're globalist patients now to be eradicated, to be demonized, to be depopulated.
[01:32:28.963 --> 01:32:32.084]  That's why we're wearing masks to hide our dirty, ugly faces.
[01:32:32.124 --> 01:32:33.645]  This is cult programming.
[01:32:33.665 --> 01:32:34.345]  Here's the video.
[01:32:35.326 --> 01:32:36.626]  Two, three.
[01:32:37.927 --> 01:32:41.008]  I wear a mask to school.
[01:32:41.208 --> 01:32:43.309]  I wear a mask to school.
[01:32:44.048 --> 01:32:49.170]  Hi-ho the derry-o, I wear a mask to school.
[01:32:49.650 --> 01:32:51.671]  It helps to keep me safe.
[01:32:52.411 --> 01:32:54.372]  It helps to keep me safe.
[01:32:55.092 --> 01:32:59.374]  Hi-ho the derry-o, it helps to keep me safe.
[01:33:00.034 --> 01:33:01.915]  It keeps my friends safe.
[01:33:02.576 --> 01:33:04.396]  It keeps my friends safe.
[01:33:05.157 --> 01:33:09.558]  Hi-ho the derry-o, it keeps my friends safe.
[01:33:09.938 --> 01:33:11.399]  And let me see a hooray!
[01:33:11.419 --> 01:33:13.300]  Put your hands up in the air!
[01:33:16.843 --> 01:33:18.744]  That's cult programming, ladies and gentlemen.
[01:33:19.504 --> 01:33:22.605]  Oh, haven't had the experimental shot that the Pentagon admits actually makes you sicker?
[01:33:23.145 --> 01:33:23.865]  Well, you're fired.
[01:33:23.925 --> 01:33:26.526]  Thousands of nurses fired just this week in New York and other areas.
[01:33:27.087 --> 01:33:29.948]  Oh, Southwest Airlines will fire if you don't take the experimental shot.
[01:33:31.048 --> 01:33:32.769]  Even though the evidence amounts, it's killing people.
[01:33:33.009 --> 01:33:35.970]  DoD docs prove COVID vax not safe or effective.
[01:33:36.730 --> 01:33:51.524]   And then if you make fun of Biden years ago, Well, you're not allowed to be part of the Armed Forces Entertainment Network that was set up during World War II, the USO.
[01:33:52.285 --> 01:33:54.765]  And so we've got a guest on to talk about this.
[01:33:54.805 --> 01:34:00.667]  Military bases in the Middle East might miss out on stand-up tour after comedians' anti-Biden tweets surfaced.
[01:34:00.687 --> 01:34:02.688]  And indeed, it's been cancelled.
[01:34:03.766 --> 01:34:11.429]  The upcoming Department of Defense-sponsored tour of American Forces Entertainment is in question because of tweets by one of the comedians scheduled to be on the tour.
[01:34:11.449 --> 01:34:16.150]  So you can have the National Press Club dinner where they talk about killing President Trump.
[01:34:16.190 --> 01:34:16.871]  That's okay.
[01:34:17.171 --> 01:34:19.172]  You can have Kathy Gribbon with severed heads.
[01:34:19.192 --> 01:34:20.992]  You can have plays about stabbing Trump.
[01:34:21.032 --> 01:34:22.013]  Nothing gets canceled there.
[01:34:22.293 --> 01:34:27.813]   This guy, we've got the tweets, did some mild jokes, you know, about flies on Kamala Harris,
[01:34:27.813 --> 01:34:35.013]   and that's not allowed. Derek Richards of DerekRichards.com, TheIrishComedyTour.com,
[01:34:35.013 --> 01:34:41.812]   and Comedian Richards on Twitter joins us. Well, fellow thought criminal, give us details of this.
[01:34:41.812 --> 01:34:44.293]  Well, thanks for having me on, Alex.
[01:34:44.417 --> 01:34:45.118]  I appreciate it.
[01:34:45.298 --> 01:34:48.441]  Now, I got contacted by the producer.
[01:34:48.461 --> 01:34:52.485]  I was supposed to go off on an Armed Forces Entertainment tour, November 1st through the 18th.
[01:34:52.505 --> 01:34:58.251]   That was going to start in Egypt and then go to Jordan, Saudi Arabia, Qatar, and United Arab Emirates.
[01:34:58.992 --> 01:35:12.660]  And I was contacted by the tour producer that said they were contacted by the Department of Defense and Armed Forces Entertainment that said that I had some social media posts that were considered offensive.
[01:35:13.320 --> 01:35:21.412]   I was labeled anti-vaxxed, anti-POTUS, anti-LGBTQ, Pro-insurrection.
[01:35:22.092 --> 01:35:29.496]  Somebody else had also put out there through retweets and quoted tweets that said, um, I was advocating murdering the president.
[01:35:30.616 --> 01:35:32.297]  Uh, all that stuff is completely false.
[01:35:33.258 --> 01:35:40.641]  And so, I mean, I had, uh, so because of this, because of these posts that were out there, I was, uh, removed from the tour.
[01:35:40.681 --> 01:35:41.982]  The tour itself is still going off.
[01:35:42.822 --> 01:35:44.683]  And the other comedians on there are fantastic.
[01:35:44.703 --> 01:35:45.844]  They're very, very funny people.
[01:35:46.918 --> 01:35:49.640]  I'm just disappointed that I'm not going to get a chance to go back over there and do it.
[01:35:49.660 --> 01:35:51.322]  I've done shows for the military since 2001.
[01:35:52.163 --> 01:35:53.544]  My dad was Navy.
[01:35:53.584 --> 01:35:54.705]  My grandfather was Army.
[01:35:54.825 --> 01:35:57.688]  I, you know, I'm as American as they come.
[01:35:57.848 --> 01:35:59.149]  I am not anti-military.
[01:35:59.169 --> 01:36:01.031]  I'm not anti-vax.
[01:36:01.312 --> 01:36:06.316]  I had to get vaccinated because one of the reasons I got vaccinated was so that I could go ahead and do this tour.
[01:36:06.917 --> 01:36:08.719]  Well, let's just talk about what's really going on here.
[01:36:09.747 --> 01:36:15.310]  It's brainwashing, it's intimidation, it's bullying, where you can't have a job if you don't take this shot.
[01:36:15.390 --> 01:36:16.951]  Now, oh, you don't like Biden.
[01:36:17.331 --> 01:36:19.472]  So we're not going to say we're banning you because you don't like Biden.
[01:36:19.492 --> 01:36:19.953]  You're right.
[01:36:20.553 --> 01:36:22.034]  Oh, you're an insurrectionist.
[01:36:22.074 --> 01:36:26.196]  So just supporting Trump or not liking Biden now means you're a terrorist.
[01:36:26.576 --> 01:36:41.437]   And now the National Association, you know, the National Education Association came out two days ago and said, we want people speaking out against masks and vaccinations at public school meetings to be harassed by the FBI as terrorists.
[01:36:41.477 --> 01:36:42.477]  They said, quote, terrorist.
[01:36:42.777 --> 01:36:46.479]  And indeed, now the attorney general says, yes, we're going to send the FBI out.
[01:36:46.879 --> 01:36:48.199]  This is like Russia.
[01:36:48.520 --> 01:36:51.061]  This back during the Soviet era.
[01:36:51.121 --> 01:36:51.941]  This is criminal.
[01:36:54.116 --> 01:36:55.419]  Yeah, I mean, it is nuts.
[01:36:55.499 --> 01:37:01.149]  I mean, you know, the stuff that I had posted on social media, I mean, never came from any place of anger or hatred.
[01:37:01.169 --> 01:37:03.674]  I mean, it was just stuff that was trying to get a laugh.
[01:37:04.549 --> 01:37:07.511]  And, like anything with comedy, like any art form, it's subjective.
[01:37:07.571 --> 01:37:09.832]  I mean, some stuff you're gonna like, some stuff you're not gonna like.
[01:37:10.393 --> 01:37:15.035]  I thought some of the accusations that were being leveled against me, I think all of them are false.
[01:37:15.696 --> 01:37:16.796]  I'm not anti-poetess.
[01:37:16.916 --> 01:37:18.637]  I'm not anti-LGBTQ.
[01:37:19.478 --> 01:37:20.899]  I'm not pro-insurrection.
[01:37:21.339 --> 01:37:34.027]   I mean, literally, the tweet that was posted, that I had posted, was some file footage from the January 6th incident, where all the people were coming into the Capitol, and it looked, Alex, like Just the mall at Christmas time.
[01:37:34.087 --> 01:37:40.430]  So I put on the overlying on the tweet was looks like a bustling day of commerce at the mall during the holidays.
[01:37:40.570 --> 01:37:41.791]  All that's missing is Santa.
[01:37:42.711 --> 01:37:48.913]   So literally, because of that post that was out there, I was being labeled Pro-insurrection.
[01:37:48.973 --> 01:37:53.436]  So, it's just crazy to see how things can take off and get a life of their own.
[01:37:53.456 --> 01:37:57.719]  And I harbor no ill feelings towards Armed Forces Entertainment or the Department of Defense.
[01:37:57.739 --> 01:38:00.361]  I mean, at the end of the day, they're a corporation.
[01:38:00.381 --> 01:38:01.922]  No, Derek, I understand all that.
[01:38:01.942 --> 01:38:03.543]  We understand you're a nice guy.
[01:38:03.583 --> 01:38:04.464]  You're the victim here.
[01:38:04.504 --> 01:38:05.385]  We're all the victim here.
[01:38:05.405 --> 01:38:06.926]  These are lying bullies.
[01:38:07.526 --> 01:38:12.771]  I mean, so what if you were a serious Christian or right-wing Christian and that you thought that homosexuality was a sin?
[01:38:13.352 --> 01:38:15.133]  You know, you're not there attacking them at the event.
[01:38:15.153 --> 01:38:15.954]  You're telling comedy.
[01:38:15.974 --> 01:38:17.355]  It should be what your comedy is.
[01:38:17.836 --> 01:38:22.020]  And the whole point is, now you've got the LGBT groups attacking people that are straight.
[01:38:22.360 --> 01:38:24.162]  So I've always been an open, inclusive guy.
[01:38:24.422 --> 01:38:26.824]  But the left and their groups are not inclusive now.
[01:38:27.065 --> 01:38:31.489]  They're not inclusive of people that are pro-gun or pro-America or pro-Republican.
[01:38:31.769 --> 01:38:32.390]  And it's wrong.
[01:38:32.870 --> 01:38:41.739]  And so this is tyranny, this is mind control, and what happened to you is BS, and this is all part of the leftist takeover and purge inside the military.
[01:38:41.959 --> 01:38:43.841]  You're just a collateral damage of that.
[01:38:46.013 --> 01:38:50.976]  Yeah, I mean, sadly, in this case, like I said, I'm disappointed that I'm not going to get a chance to head over there and do the show.
[01:38:51.016 --> 01:38:55.399]  I mean, none of these accusations that are being thrown at me are based on anybody.
[01:38:55.499 --> 01:38:57.120]  I don't know Debra Messing.
[01:38:58.001 --> 01:39:08.108]  I don't know Martina Navratilova, who actually had retweeted something that Debra Messing had posted and had quoted in there, said, Derek Richards is pure poison.
[01:39:08.968 --> 01:39:13.794]  Yeah, let's talk about who tattled on you, because you've got a really funny Twitter site.
[01:39:13.854 --> 01:39:18.360]  I mean, you really put out some funny stuff, and it's not because you're hateful, it's because you're effective.
[01:39:19.581 --> 01:39:21.384]  Tell us about the celebrities that tattled on you.
[01:39:23.345 --> 01:39:32.288]  Well, the celebrity that got involved the most or the one that seemed to get the most light shine shined upon her was Deborah Messing from Will and Grace.
[01:39:33.089 --> 01:39:36.050]  And she's very active on social media with her narrative.
[01:39:36.650 --> 01:39:38.491]  And then so because of.
[01:39:39.191 --> 01:39:42.333]  Her post, things really ended up seeming to take off.
[01:39:42.373 --> 01:39:47.357]  And like I said, Martina Navratilova had gone on and quoted her tweet and called me pure poison.
[01:39:47.857 --> 01:39:49.778]  And again, I don't know any of these people.
[01:39:50.018 --> 01:39:51.319]  They haven't seen my stand-up.
[01:39:51.379 --> 01:39:53.621]  What I do on stage is not reflective of that.
[01:39:53.641 --> 01:39:56.403]  Brother, you need to start the National Pure Poison Tour!
[01:39:58.834 --> 01:39:59.775]  You want to come on it with me?
[01:39:59.915 --> 01:40:00.296]  We'll do it.
[01:40:00.596 --> 01:40:02.218]  I would go on some of the venues.
[01:40:02.558 --> 01:40:03.760]  I'm banned in most venues.
[01:40:03.780 --> 01:40:05.722]  Because they don't want people to actually hear what I say.
[01:40:06.082 --> 01:40:09.887]  They take out of context, twist things, and then want to take me off air, but sure.
[01:40:11.128 --> 01:40:16.594]  Joe Rogan told me that if I get better at comedy and stuff, maybe I can sometime go on one of his shows or something.
[01:40:16.915 --> 01:40:19.378]  But yeah, it's definitely incredible.
[01:40:20.293 --> 01:40:21.694]  I just need to bring you out on stage.
[01:40:22.214 --> 01:40:29.820]  We just need to not... Don't make a big deal that you're there, but then all of a sudden it's going to be like when Steven Tyler comes out on stage and sings a song with Paul McCartney.
[01:40:30.361 --> 01:40:30.561]  Right?
[01:40:31.021 --> 01:40:31.822]  It's not advertised.
[01:40:31.842 --> 01:40:36.645]  Oh yes, and I've shown up at the awesome clubs that don't ban me, and it's always yelling and screaming.
[01:40:36.685 --> 01:40:37.506]  I mean, I'm popular.
[01:40:37.546 --> 01:40:42.650]  That's why they don't want me out in the public, for people to see that, because it breaks the illusion that I'm Prasada Nangrata.
[01:40:45.498 --> 01:40:46.179]  No, it's crazy.
[01:40:46.239 --> 01:40:56.671]  It's crazy that people seem to take the First Amendment of free speech, which you are entitled to, but you're not entitled to level false accusations at people.
[01:40:58.257 --> 01:40:59.597]  You know, and cause distress.
[01:40:59.637 --> 01:41:01.358]  I think that's just, like you said, it's bullying.
[01:41:01.758 --> 01:41:11.019]  I want to do another segment with you, and I want to come back and go over your Twitter and show some of these to TV viewers and read them in radio listeners, because, I mean, these are way better jokes than most, you know, big national comics.
[01:41:11.039 --> 01:41:14.180]  I know you're a big successful comic, but this is really funny stuff.
[01:41:14.720 --> 01:41:20.321]  And again, that's why they're trying to shut you down, not because it's hateful, but because it's attractive and it's fun.
[01:41:20.341 --> 01:41:22.902]  And I mean, I would call you what, like a populist conservative?
[01:41:22.922 --> 01:41:23.662]  What would you call yourself?
[01:41:25.219 --> 01:41:28.602]  I mean, I'm considered... I consider myself more libertarian than anything else.
[01:41:28.682 --> 01:41:38.369]  I mean, I lean towards the right, but... Which is not illegal yet in this country, but they'd like to... And a bunch of Hollywood bullies that made their living in the First Amendment, like Sacha Baron Cohen, wants to be arrested.
[01:41:38.849 --> 01:41:41.892]  Sacha Baron Cohen is an oxymoron.
[01:41:41.912 --> 01:41:42.672]  We'll be right back.
[01:41:42.692 --> 01:41:43.053]  Stay with us.
[01:41:44.144 --> 01:41:50.247]  The left have lost their battle for control over the hardsome minds of the population of this planet.
[01:41:50.828 --> 01:41:54.189]  So now they're resorting to AI, big tech, and forced censorship.
[01:41:54.269 --> 01:42:01.774]  And Derek Richards was shut down for that and banned from a major comedy tour touring the U.S.
[01:42:01.854 --> 01:42:02.354]  military.
[01:42:03.780 --> 01:42:12.244]  Penalized, trying to bankrupt him, trying to destroy him, trying to keep him from being successful at his successful comedy career.
[01:42:12.824 --> 01:42:24.390]  An act of war, an act of siege, an act of blacklisting, something the left claims the right wing did to them in Hollywood in the 1950s that did happen and was wrong, but was one one millionth of what we're seeing now.
[01:42:25.010 --> 01:42:29.132]  Everything they say conservatives are and libertarians are, they themselves are.
[01:42:29.692 --> 01:42:35.235]   Here's famously Obama at the National Donald Trump is here tonight.
[01:42:35.074 --> 01:42:36.074]  in front of Trump.
[01:42:36.074 --> 01:42:39.873]   Now they've canceled the dinner because of lack of viewership, because it became such
[01:42:39.873 --> 01:42:41.434]  an attack operation.
[01:42:41.434 --> 01:42:43.413]  But I don't say censor them.
[01:42:43.413 --> 01:42:46.034]  They censor themselves because it's not funny.
[01:42:46.034 --> 01:42:50.274]  But here's what they say got Trump to finally run.
[01:42:50.274 --> 01:42:54.113]  Donald Trump is here tonight.
[01:42:54.113 --> 01:43:00.534]   Now I know that he's taken some flack lately, but no one is happier.
[01:43:00.534 --> 01:43:05.953]   No one is prouder to put this birth certificate matter to rest than the Donald.
[01:43:05.953 --> 01:43:07.873]  (audience laughing)
[01:43:07.998 --> 01:43:12.302]  And that's because he can finally get back to focusing on the issues that matter.
[01:43:12.322 --> 01:43:16.085]  Like, did we fake the moon landing?
[01:43:19.668 --> 01:43:21.189]  What really happened in Roswell?
[01:43:22.650 --> 01:43:24.371]  And where are Biggie and Tupac?
[01:43:25.072 --> 01:43:29.876]  Say what you will about Mr. Trump, he certainly would bring some change to the White House.
[01:43:33.786 --> 01:43:38.569]  All kidding aside, obviously we all know about your credentials and breadth of experience.
[01:43:42.211 --> 01:43:56.819]  For example, no seriously, just recently in an episode of Celebrity Apprentice at the Steakhouse, the men's cooking team did not impress the judges from Omaha Steaks.
[01:43:58.885 --> 01:44:10.235]  And there was a lot of blame to go around, but you, Mr. Trump, recognized that the real problem was a lack of leadership, and so ultimately you didn't blame Little John or Meatloaf.
[01:44:12.356 --> 01:44:13.657]  You fired Gary Busey.
[01:44:16.720 --> 01:44:18.842]  And these are the kind of decisions that would keep me up at night.
[01:44:22.185 --> 01:44:23.245]  Yeah, there you go.
[01:44:23.325 --> 01:44:32.668]  So Derek Richard, tell us about, and we'll show some on screen, some of the evil tweets that the Hollywood folks got up in arms over a guy with 4,000 Twitter followers or so.
[01:44:32.988 --> 01:44:40.430]  They had to squash you because they've squashed so many others and taken so many others off the air, like husbands that lost their wives to the vaccines.
[01:44:40.510 --> 01:44:41.691]  They're not allowed to speak up either.
[01:44:41.711 --> 01:44:44.152]  Or fathers who lost their sons from the shots.
[01:44:44.432 --> 01:44:46.692]  They're silenced too because the left's so loving and good.
[01:44:47.373 --> 01:44:48.753]  So tell us about some of your thought crimes.
[01:44:50.751 --> 01:45:08.651]  Well, I mean, some of the stuff that I had posted up on there was, you know, I was labeled anti-vax because I had posted online, I said, the FDA now approves the vaccine, which is kind of like me taking a bottle of grape juice and put it in the back of the pantry, letting it sit there six months and then calling it wine.
[01:45:10.799 --> 01:45:16.323]  You know, a very innocuous tweet, no big deal, but I was labeled anti-vax for saying that.
[01:45:16.523 --> 01:45:18.425]  I was labeled anti-POTUS.
[01:45:18.565 --> 01:45:25.390]  And again, some of the stuff that I had shared on social media were things that were being passed around the internet from a number of people.
[01:45:25.430 --> 01:45:30.614]  I mean, there was, you know, thousands of retweets and shares on every social media platform.
[01:45:30.634 --> 01:45:45.256]   There was one where I was told that I was advocating murdering the president because there was a meme Of Mike Lindell, from MyPillow, holding a MyPillow, standing next to President Biden, who was lying in a bed.
[01:45:46.297 --> 01:45:49.100]  And so, yeah, that particular one in the upper right hand corner.
[01:45:49.120 --> 01:45:50.221]  And sure, it's like from Godfather 2.
[01:45:50.501 --> 01:45:51.402]  It's hilarious!
[01:45:52.303 --> 01:45:55.847]  And it says, and the headline on it says, Make America Great Again.
[01:45:56.447 --> 01:45:59.070]  Now, anybody can take that any way they want.
[01:45:59.090 --> 01:46:00.712]  But it's obviously a joke!
[01:46:01.847 --> 01:46:10.475]  I see it as Mike Lindell clearly saying that President Biden had an uncomfortable pillow and he was offering one of his good-my-pillows for the President to lay upon.
[01:46:10.815 --> 01:46:11.836]  Don't you see that, Alex?
[01:46:11.916 --> 01:46:12.436]  I see that!
[01:46:12.596 --> 01:46:13.477]  Well, here's the deal.
[01:46:13.497 --> 01:46:17.460]  Kathy Griffin did a severed head of Trump, and I think it was protected speech.
[01:46:17.480 --> 01:46:19.342]  She didn't say, go kill him, I want to kill him.
[01:46:19.702 --> 01:46:20.583]  That was telegraphed.
[01:46:20.683 --> 01:46:22.185]  It didn't cross the line, but almost did.
[01:46:22.605 --> 01:46:25.968]  Yours didn't go one-tenth as far as that and is obviously good-natured.
[01:46:27.543 --> 01:46:31.365]  No, everything that I do is just coming from a comedic angle, Alex.
[01:46:31.425 --> 01:46:33.266]  I mean, that's, you came up with that?
[01:46:33.306 --> 01:46:34.247]  That's smart as hell.
[01:46:35.407 --> 01:46:37.548]  No, no, that one there was, that was shared.
[01:46:37.589 --> 01:46:41.010]  Somebody shared that with me, which is, which is funny because people are quick to point out.
[01:46:41.030 --> 01:46:42.371]  Hey, I want to make a t-shirt out of that.
[01:46:42.391 --> 01:46:42.851]  I don't care.
[01:46:42.911 --> 01:46:43.872]  I'm making one right now.
[01:46:43.892 --> 01:46:44.852]  It's funny.
[01:46:44.952 --> 01:46:45.793]  I think it's hysterical.
[01:46:45.813 --> 01:46:46.373]  It's funny.
[01:46:46.513 --> 01:46:48.174]  I didn't, I didn't come up with that.
[01:46:48.254 --> 01:46:49.175]  I merely shared it.
[01:46:49.775 --> 01:46:50.175]  Oh my God.
[01:46:50.215 --> 01:46:50.876]  Well, let me be clear.
[01:46:50.896 --> 01:46:52.637]  The last thing I want is Joe Biden to get hurt.
[01:46:52.677 --> 01:46:53.677]  That'd turn him into a martyr.
[01:46:54.458 --> 01:46:56.719]  I don't want to put people that have Alzheimer's in prison.
[01:46:57.902 --> 01:47:03.163]  I, you know, and I, and again, when people call me anti-POTUS, I'm not anti-President.
[01:47:03.183 --> 01:47:05.304]  Listen, I want him to succeed.
[01:47:05.584 --> 01:47:08.304]  He is running the house that I live in.
[01:47:08.544 --> 01:47:09.425]  Exactly, but he's not.
[01:47:09.445 --> 01:47:13.045]  So I want it to be, but I want it to be a good house.
[01:47:13.465 --> 01:47:14.126]  So I'm not anti-POTUS.
[01:47:14.146 --> 01:47:16.526]  So we need to parachute in like a Navy SEAL.
[01:47:16.566 --> 01:47:17.366]  Mike Lindell!
[01:47:18.827 --> 01:47:20.127]  Oh my God.
[01:47:20.187 --> 01:47:20.807]  Exactly.
[01:47:21.724 --> 01:47:31.629]  Well, I was labeled the anti-LGBTQ, and the post that I had put up there, which was one of the group posts that was shared there, was of the U.S.
[01:47:31.649 --> 01:47:35.490]  women's soccer captain Megan Rapinoe, and it was a picture of her underneath.
[01:47:36.011 --> 01:47:38.672]  It was a picture with the Swedish team on top because they had won.
[01:47:39.432 --> 01:47:40.373]  There we go.
[01:47:40.533 --> 01:47:46.476]  And it says Megan Rapinoe with her purple hair, and all I wrote on there was, purple-headed dude seems irked.
[01:47:48.757 --> 01:47:49.157]  That's it!
[01:47:50.199 --> 01:47:51.822]  But she's the holy messiah.
[01:47:52.103 --> 01:47:53.405]  You're not allowed to talk bad about her.
[01:47:53.425 --> 01:48:01.761]  You know, and then again, another antipodist thing was the one that I put up there that says Biden.
[01:48:01.981 --> 01:48:02.863]  It says Biden.
[01:48:03.590 --> 01:48:05.971]  Guys, there's a helicopter landing in the backyard.
[01:48:06.011 --> 01:48:06.931]  This is so awesome.
[01:48:06.951 --> 01:48:09.972]  And then the next line says, Secret Service.
[01:48:10.953 --> 01:48:12.413]  Mr. President, that's Marine One.
[01:48:12.433 --> 01:48:13.013]  Finish your pudding.
[01:48:13.033 --> 01:48:15.194]  Well, let me go back to her.
[01:48:15.554 --> 01:48:18.275]  You could have had a joke saying, hey, have you seen the new Joker poster?
[01:48:18.595 --> 01:48:20.196]  Or who knew the Joker played soccer?
[01:48:21.056 --> 01:48:22.396]  There's so many jokes we could do.
[01:48:22.416 --> 01:48:24.377]  In fact, we should do a meme contest of her.
[01:48:24.757 --> 01:48:26.717]  And just because, I mean, she's a loser, too.
[01:48:27.037 --> 01:48:29.098]  And all she does is run around going, I'm a lesbian, I'm a lesbian.
[01:48:29.358 --> 01:48:30.958]  Big deal, lady, we don't care!
[01:48:30.978 --> 01:48:33.959]  See, I'm like you, I'm like a socially libertarian.
[01:48:34.219 --> 01:48:36.419]  And I'm so sick of these people going, I'm gay, I'm lesbian.
[01:48:36.699 --> 01:48:38.440]  Ooh, wow, so amazing.
[01:48:38.760 --> 01:48:40.500]  Let's talk about what you do in your bedroom all day.
[01:48:40.600 --> 01:48:41.320]  It's boring.
[01:48:41.560 --> 01:48:43.621]  Then they attach it to all their communist BS.
[01:48:45.714 --> 01:48:58.879]  Yeah, I mean, you know, everything that comedians post out there, and it's, you know, for somebody to go ahead and say, like, the post that I believe was shared out there was, how can the government have somebody who is anti-president?
[01:48:59.019 --> 01:49:02.340]  Which, by the way, if you do a Google search, a friend of mine had pulled this up.
[01:49:02.860 --> 01:49:07.600]   Uh, apparently 75% of comedians that had gone overseas or that had done shows for,
[01:49:07.600 --> 01:49:13.740]   um, the military 75% of them between 2016 and 2020 during the Trump administration,
[01:49:13.740 --> 01:49:17.140]  75% of them were avid Trump haters.
[01:49:17.140 --> 01:49:18.440]  And.
[01:49:18.440 --> 01:49:21.480]   You know, for some odd reason, they were able to still go ahead and
[01:49:21.480 --> 01:49:22.600]  continue doing what they do.
[01:49:22.600 --> 01:49:22.920]  Well, that's it.
[01:49:22.920 --> 01:49:25.961]   Cause the map is in control of all the booking and controls in this country.
[01:49:25.961 --> 01:49:29.860]   I was going on a trip with my family to Alaska just for like a week, never been.
[01:49:30.300 --> 01:49:34.059]   And we'd, we'd rented a boat for just a day to drive around in some of the areas
[01:49:34.059 --> 01:49:35.659]  of Juneau and.
[01:49:35.596 --> 01:49:37.397]  And they call us and, oh, you're Alex Jones.
[01:49:37.937 --> 01:49:39.198]  We're not going to let you go on that boat.
[01:49:39.238 --> 01:49:40.359]  We just want to cancel the trip.
[01:49:40.779 --> 01:49:47.923]  But I mean, that's just an example of the technocracy and how the left uses the Internet to harass and stalk people.
[01:49:48.243 --> 01:49:53.526]  Derek Richards, DerekRichards.com, TheIrishComedian.com, EtComedianRichard.
[01:49:53.906 --> 01:49:54.847]  Thank you so much.
[01:49:55.027 --> 01:49:59.329]  And I really want to maybe ever come to Austin or playing a gig here or something or in Dallas.
[01:49:59.649 --> 01:50:01.390]  I'll come up there and I'll jump up on stage with you.
[01:50:01.670 --> 01:50:02.791]  God bless and good luck, brother.
[01:50:03.783 --> 01:50:04.483]  Thank you so much.
[01:50:04.302 --> 01:50:05.302]  Thanks for having me on, Alex.
[01:50:05.302 --> 01:50:06.302]  Thank you, sir.
[01:50:06.302 --> 01:50:07.302]  Wow, he's a great comedian.
[01:50:07.302 --> 01:50:08.302]  I've seen quite a bit of his stuff.
[01:50:08.302 --> 01:50:10.443]  People should check it out, DerekRichards.com.
[01:50:10.443 --> 01:50:11.782]  But that's the mind control we've got.
[01:50:11.782 --> 01:50:14.061]  We've got a bunch of new clips, a bunch of stuff just broke.
[01:50:14.061 --> 01:50:15.582]  We're gonna hit it when we come back on the other side.
[01:50:15.582 --> 01:50:16.582]  Stay with us.
[01:50:16.582 --> 01:50:20.782]  You know, Infowars.com is a really important site.
[01:50:20.782 --> 01:50:26.103]   It gets millions of visitors every single day, and we're trying to save lives.
[01:50:26.103 --> 01:50:27.662]  And we heard Ted Nugent on.
[01:50:27.662 --> 01:50:29.863]  I've never heard him that focused, that angry.
[01:50:29.863 --> 01:50:30.863]  He's always very well-spoken.
[01:50:30.863 --> 01:50:32.382]  He's a machine.
[01:50:32.382 --> 01:50:37.101]   He sounded really scary, because I could hear it in his voice.
[01:50:37.105 --> 01:50:38.506]  And I know Ted Nugent in person.
[01:50:38.546 --> 01:50:39.767]  He's an intimidating guy.
[01:50:39.787 --> 01:50:43.870]  I've been around guys a lot bigger, guys supposedly a lot tougher, but you can pick up on Ted Nugent.
[01:50:43.890 --> 01:50:44.510]  It's the real deal.
[01:50:44.530 --> 01:50:46.952]  And he's like a caveman, but a smart caveman.
[01:50:47.072 --> 01:50:47.793]  I mean, I'm the same way.
[01:50:47.813 --> 01:50:53.297]  And I could tell he's really getting close when he was on with us.
[01:50:54.745 --> 01:50:58.669]  And that's because we're all getting close to whatever that is because we're being attacked.
